ParlaMint-HR_2017-11-29-0.u55794	One break on national security.
ParlaMint-HR_2017-11-29-0.u62602	Thank you. Six is a replica, the first is the esteemed colleague of the Podolnjak. Here you go.
ParlaMint-HR_2017-11-29-0.u62603	Dear colleagues. At the beginning of your presentation, you said that, as a rule, the Proposer adopted a number of remarks and suggestions given in the debate on the basis of the first reading debate. If that were the case, then we at the Most Club would not personally submit eight amendments to this final bill because the motioner has not adopted in much of the views that I was talking about, here starting with the entry into force of the law, the council's fees, the institution of mutual disbandment on the budget, means those essential topics. The promoter adopted one suggestion that the government's commissioner would not be on the job for a year, and that is correct, but do not say that he accepted the position to allow the representative body to make a decision seeking a referendum on impeachment. I have proposed a solution that you have originally incorporated into the law in time, which is that this impeachment can be initiated by a decision of qualified majority of all members of the representative body, not by a two-thirds majority. And that institution that I'm going to talk more widely about in the presentation will prove to be an institute that's impossible to achieve one such majority. So to install something that is truly impossible and that will prove to be a dead letter on paper as a rule, do not say that this is the adopted suggestion that we made in the debate. Thank you.
ParlaMint-HR_2017-11-29-0.u62604	Replication response, please.
ParlaMint-HR_2017-11-29-0.u62605	Thank you very much. Dear colleague Podolnjak. I said most of the remarks from the debate were passed. Here we can read the proposal of Agent Robert Dolnjak regarding the Commissioner. Furthermore, the remarks by MPs among others from counterparts Bačić, Milosevic and Robert Podolnjak related to two-thirds of the members of the representative council. Those remarks you spoke about the budget also relate to the Budget Act. I didn't say and for sure that not all objections were adopted, but you must admit that this is one of the few laws of the final draft law in which numerous objections and opposition advocates are included. Thank you.
ParlaMint-HR_2017-11-29-0.u62606	Second replica, dear colleague Felak. Here you go.
ParlaMint-HR_2017-11-29-0.u62607	Your Honor, Mr. President, Your Honor. My colleagues Juričev-Martinchev, so let me say a few words that I fully support this presentation on behalf of the HDZ Club, but I would like to highlight some more things that I think should be highlighted, and in the end I will ask you something. I would like to point out one thing that as far as I can see the most objections to this law came to the last local elections and did not receive voter confidence in these elections. So I guess now we'd like to make it as easy as possible for them to come back to the election. Which is not good at all, as you said, every election bear not only the cost, but also the delay in the work of local self-government and it is not good first of all for the citizens. We must stress that local self-government and regional self-government leaders are elected in the most democratic way. So, by direct elections as it was requested for four years, it's the law and I don't see any reason why it would try every year or two days, to cause some early elections. And it is this law that goes in this direction that does not occur and that in a precise way determines the relationship between the directly elected leader and the representative bodies. And I think that's good. Is what I wanted to ask you, do you think there will still be no use in voting the budget, by submitting amendments, which so, either do not comply with the law or are within the limits of the law and thus try to change that originally delayed budget and that it may try to be a lever to provoke, however, the vote of mistrust to the mayors and mayors. Thank you very much.
ParlaMint-HR_2017-11-29-0.u62608	Thank you. Replication response. Here you go.
ParlaMint-HR_2017-11-29-0.u62609	Thank you very much, so colleague Felak, for sure there will be plenty of objections and dissatisfaction by the leaders of units of local and regional (regional) self-government when it comes to amendments. But if they are within the legal option and they are not jeopardizing other laws or other revenues, or expenditures, then the head of that unit of local self-government will have to treat them. There have already been presentations in the first reading, and there will be certain that there will be some leaders who will work harder on those projects that they have put forward, and put in the second plan these other projects, but that, too, stands in some way at the end. Namely, there comes budget implementation, budget implementation, rebalancing and so on, coming back to the benches of representative bodies, and they are the ones who re-provide each individual case.
ParlaMint-HR_2017-11-29-0.u62610	Let's move on. Dear colleague Sagar.
ParlaMint-HR_2017-11-29-0.u62611	Thank you, President of the Croatian Parliament. Dear colleagues of Juričev Martinchev, I answered the replica because you mentioned it in your discussion of the local committees. The minister, in the light of this law, mentioned that it avoids incurring the autonomy of units of local self-government. I can understand that. However, autonomy and measures on the ground are two different things. I don't think the ministry should run from not introducing order. No, I'm stressing again, it's not good for some leaders to have five-time, six-time higher salaries in the same unit of local self-government, I mean the same size, same powers, by financial capacity. The truth here has even been thrown out of the law to regulate and compensate the council. But now back to the local committees, direct involvement of citizens. It would be interesting to see if the Ministry of Administration had data, how many units of local self-government, there are actually local committees that have their own financial independence, which manifest in their account, which they have. You can see that it's actually a defeating data. In fact, all the declarations, all the aspirations of the developed world, are going to make the decision as direct as possible, as close to the citizens. And in that sense, the Ministry of Administration should take a step. He shouldn't be afraid of taking autonomy. Let's make it even. Because you see, in March of this month, we have a decision in the Zagreb Assembly, to make sure that the presidents of the city districts are determined a fee of 7750 kn gross. The chairman of the local committee, £3875 gross. You know what it is in small municipalities? Well, this is science fiction. People out there in small municipalities say that the administrative body should take care of the local board. But he needs to be worried. Perhaps this law should, but perhaps this law should take advantage of the possibility that we should already form administrative departments, to form an administrative department that will take care of local committees.
ParlaMint-HR_2017-11-29-0.u62612	Replication response. Here you go.
ParlaMint-HR_2017-11-29-0.u62613	Dear colleague Zhagar, you mentioned among other things the salary of the officials, meaning mayor, chief of the same units of local self-government. I must correct you that there is a law that regulates those wages. So it's true, if the unit of local self-government below 3,000 inhabitants, what coefficient and base can be so orderly? Of course, that leader will not allow his principal, or counselor, to have higher incomes than he does. And that's how it works, I'd say systemically, so that's how it's regulated. As far as local committees are concerned, the mayor has so far had power and is now transferring it to a representative body. So, as they will disband, so will they, as they have so far had only the power to call elections for local committees, now they can disband.
ParlaMint-HR_2017-11-29-0.u62614	Thank you very much. The answer is here. The next replica is the esteemed representative of Maria Jelkovac.
ParlaMint-HR_2017-11-29-0.u62615	Thank you very much, dear Vice President of the Croatian Parliament. Dear colleagues, therefore, I would just like to comment on what has already been said in the replicas by my colleague Bulja, how this bill actually implements an anti-constitutional provision that now the power to appoint and disband, i.e., resolved members of the board of directors at the local self-government unit, is being transferred from the representative bodies to mayors, mayors, or mayors, which is not true. This has been the case so far and is in line with the Law on Commercial Companies which indicates who appoints and solves it as well. So, what the paper in this law is just that there is no longer a obligation to deliver the decision to the representative body because it is unnecessary, since these decisions must be published in the official publication of units of local and regional self-government. And as such, I believe that many other things that are more detailed in this proposal are in favour of the better functioning of the units of local self-government, and so are the more detailed powers of the Government's commissioners, as well as what is important to justify the absence of members of representative bodies during their work in the representative body. What I must say is, it is unacceptable for me that both this law and so far in a negative sense are mentioned as a lex sheriff, our and the mayors and mayors and mayors were elected directly to the elections, they are responsible for everything they do and according to a number of regulations, sign a declaration of fiscal responsibility, etc. I believe that we must also enable them, accordingly, to justify what they have promised their voters, to give them the opportunity to manage the units of local, regional (regional) self-government responsibly. As you were mayor, please tell me how you look at it, thank you.
ParlaMint-HR_2017-11-29-0.u62616	The answer of the respected representative of Juričev-Martinchev.
ParlaMint-HR_2017-11-29-0.u62617	Thank you very much, so colleague Jelkovac, thank you first for mentioning some segments that I haven't been able to mention, meaning from the board of directors, the appointment, it's really been done by the mayor, or the mayor, and he just had the duty to report to the representative body. Now there's no need to report any more than it will publish in the next official journal, so there's no delay or anything else. As regards both the Commissioner and these conditions, no specific conditions have been laid down so far and we now have from the conditions prescribed to the conditions for its appointment and for the resolution and the powers themselves are laid down in a very narrowed form. The central authority of the state administration is also responsible for local, regional (regional) self-government and will be empowered to propose appointments and resolutions.
ParlaMint-HR_2017-11-29-0.u62618	Thank you very much. The next replica is the esteemed representative of Mark Velligay.
ParlaMint-HR_2017-11-29-0.u62619	Thank you, President of the Croatian Parliament. My colleague, it's nice that you actually think that by this law, I'm going to say so to prevent all these instabilitys that you reported, which you stated in your debate that there was a delay in the payment of scholarships, that there could be no compensation for high school transportation etc., etc. I just don't think so, because that's not how we're gonna solve the instability. You're always, you're now going from that premise, okay, the representative body is going to the election, they're probably going to get a list that will be supported by the mayor's majority, and then we're going to have some kind of stability. What if it doesn't, what if it doesn't? We've had about a year of an election process. So it's not good, it's just in that, in that thing it's not good and it's not right. Here it simply defends itself, defends one principle why this law is not good, defends the principle of one development of local democracy where you have to go to involve more people. The representative body is both the Constitution and the local self-government representative of these people, so it is clear that the two documents that the Croatian Parliament actually adopted and ratified, so this is very clear. We have to go to include more citizens in that. And the impression created in this law and these legal provisions is that we're actually shutting down the citizens and we're turning it all over to the executive leader. I'm saying it from the position of executive leader. So someone who got 72% in the election a few months ago. It's, it's just facts that, I don't know, I don't know how to defend them at all. The leader means, we still have that situation, so the leader doesn't actually carry any sanctions unless he proposes a budget. And they're just gone, he can suggest it now, he can pull it back, then he's got a date again, so we don't have it there, that's it, it's completely unclear and it leads everything towards being done for certain people and unfortunately to reduce the role of the representative body. Thank you.
ParlaMint-HR_2017-11-29-0.u62620	Thank you. The answer of the respected representative of Juričev-Martinchev.
ParlaMint-HR_2017-11-29-0.u62621	Thank you very much. I congratulate you first of all on your election result, that speaks enough about your work, but the accent is that everyone is responsible for their part. So if the mayor doesn't propose a budget, he's responsible. If it proposes a budget to the representative body and does not adopt it, it shall not, by amendment, modify it in its proper manner, be responsible for the representative body. Why should the mayor, if he wishes to purposely cause early elections, by failing to submit his budget, lead to the fact that the representative body should also be disbanded on what must be re-election. I think this is the best solution because everyone answers to the citizens. So the mayor in the front row is responding to his citizens. And it'll fit if you don't suggest a budget or as you said if in the day it pulls it back. The same thing, so if he pulls it, if he's not satisfied with that budget, he's the only one going to the polls again and the representative body stays in the same system that won the previous elections.
ParlaMint-HR_2017-11-29-0.u62622	Thank you. The next replica is the esteemed representative of Stjepan Kovac.
ParlaMint-HR_2017-11-29-0.u62623	I thank the honourable Vice President of the Parliament. Dear colleagues of Juričev-Martinchev, so here are some things we might agree with, and no, and I am one of those local leaders, the mayor, I'm not going to brag about the election result, it was in the first round, but it doesn't matter here at all right now. There are some things in this law that should be improved and defined and perhaps settled, we talked about in the first reading, that is what you said that the members of the Council will be able to influence the budget with amendments. And you've also connected to this tomorrow's state budget where it will be possible for the amendments. And you know for a fact that tomorrow the amendments of those in the coalition will pass, I will give you a fine example tomorrow. And every mayor when they choose him first sees that he has stability in the city council or municipal if he is the mayor or the county assembly if he is mayor and of course he sees that he has stability, that he can bring and implement, in the end and what the citizens have chosen him for, his election programme. And there's what I've been saying about the development strategy of a city that's been working for many years and we should work on, which is brought by the mayor with professional people and by which we should work. And then someone from the opposition who's in the council can change it or just out of some ink maybe, some amendments you actually didn't plan on. And of course you can accept something, you don't have to, nothing obliges you to do it. Because after all, we all do some budget rebalances at the end of the year. You've got a year with which you can work as mayor uninterrupted. There comes a rebalancing you say unfortunately the funds weren't as we're going to listen here tomorrow because there's no money for all that and you know it.
ParlaMint-HR_2017-11-29-0.u62624	Thank you. The answer of the respected representative of Juričev-Martinchev.
ParlaMint-HR_2017-11-29-0.u62625	Thank you very much. Well, dear colleague Kovac, how about tomorrow we'll see about that. But here's your point when it comes to appointments and resolutions and announcements in the official messenger is respected in this law. I agreed with you, I remember the debate in the first reading when it comes to fiscal responsibility. Unfortunately, this does not apply to this law, but to the Law on fiscal responsibility. Therefore, I think that there was a place and time to look back in our individual debate for 10 minutes, and perhaps open our eyes to some others, as well as to the minister that this project and what needs to be changed in the state budget is something that the rest of us will also support. There's no need to lose hope, no energy, and we all know how it works. I used to be an opposition parliamentary representative, and that is unfortunately so that that voice is heard less.
ParlaMint-HR_2017-11-29-0.u62626	Thank you very much. Now we're going to go to the next club representative. That's the HNS on behalf of which the respected representative Milorad Batinic will speak. Here you go.
ParlaMint-HR_2017-11-29-0.u62627	Thank you, Vice President, Secretary of State, colleagues and colleagues. What we in the HNS believe is that these amendments and additions to the law characterise several key things primarily balance, inclusiveness and responsibility. The balance between the local leader and the representative body, i.e. inclusiveness means they will have to work more on mutual cooperation and responsibility far greater than they may have been in practice so far. And all of this should result in greater concern for the interests of citizens, for the interests of local, regional self-government than it has now been. The HNS will support these amendments to the law. In my debate, I will also briefly look back on what has been done through first reading and suggestions and comments and certain considerations that we agree with, which we cannot simply agree with. Obviously, we all forget that in 2009 it was a turning year when local leaders, regionalally elected directly by the name and by the last name of the direct will of the citizens. Until then, the representative bodies had that possibility. Furthermore, the budget is referred to as a turning point. These amendments now and I am pleased to see that the proposal has been accepted, that two thirds of the members and members of the representative bodies can launch a referendum procedure in which it would then be seen whether a particular head is not doing his job well, that it can be replaced if there are justified reasons. Furthermore, this part of which has been respected, and this was also the proposal by the CNS that the law does not restrict the way in which compensation will be paid and amounts to compensation for representative bodies primarily for the reasons that it does not comply with the European Charter. Equally, it is part of a decision that only the City Council must make and therefore we believe that the State's interference is not in place. As far as the structure is concerned, it is possible for the representative body to adapt the structure at local, regional level to its needs and also to its possibilities. What this law generally sees is the establishment of one I said at the beginning of a balance. So far, you have had the possibility that either the head of local self-government or the representative body could have caused a political crisis, or a new election. The Head of the Local Self-Government simply did not give the draft budget, and the representative body had no possibility either through amendments, nor through discussion, to change the budget in substance, or if the Head of the Local Self-Government gave the representative body an examination of the budget, they did not either put it on the agenda or hold a session. Therefore, we consider these changes to be good because balance is being established. The same is the shared responsibility between the leader and the representative body. As for the misunderstanding of a part of their colleagues, or they simply do not want to understand and accept the fact that the leaders are elected directly by the will of the citizens. And when you look at the election results from municipalities, cities, the county all the leaders elected were given more votes than any list. Whether it has an absolute or relative majority so that I can, I mean, regret it, for such thinking simply because it's exactly what they're talking about. It says the will of the citizens is denied. Well, this is exactly how the will of the citizens is denied. It means that the representative body that received the absolute number of votes replaces the local self-government leader who received more votes. Obviously it's either a misunderstanding, I wouldn't say that someone here is having trouble collecting and subtracting, or it's simply about denying those facts that are actually what they are, and the figures don't lie. As for the relationship between local self-government leaders versus the representative body, that is the key line of inclusiveness, of course, that all, the vast majority, perhaps a small number would even dare to show absolutely everyone who has been elected, that they have chosen the lists, especially those who have expressed their personal candidacy to want to work in the interest of citizens of the improvement of their environment. They simply need to start talking, as well as members and members of the representative body, which so far has not been the case in the vast majority of environments should start reading the laws, urban acts, the budget law, the rules of procedure which they have and begin to study a little more in detail how they can, with amendments, correct the budget and impose that part of the projects, the programmes from their programmes where they have received a number of votes. Of course, it doesn't mean it'll always pass. Democracy is also the law of numbers, most decide both here in the Parliament and in the representative body. Equally, there was a proposal here that the half majority could initiate a referendum. I don't think the analogy with the Parliament can simply replace the Parliament as the bodies electing the Prime Minister and we can't pull any parallel with the local level. As regards the very act of budgetary adoption, it was also said that there was a possibility, namely the question of the amendment whether they were submitted in accordance with the law, in accordance with the Rules of Procedure, etc., so I want to believe that no one will be able to act as representative body or most of them have to vote on the amendment that they will propose a conflicting decision because it is simply not possible for this law to prevent it. Although I have had a lot of doubts about the decisions of some leaders, as well as members and members of the representative body, it is known very well that, to what level, the amendments in the budgets can be changed. Can you change the amount of employees' salaries? I don't think so. Can you change some donations prescribed by some other laws or capital aid or something like that? You can't. And we had in previous years before these last local elections and situations. Of course, then all of these central administration offices that should be the mediator, or that should give a word to these things. I want to believe that the vast majority, especially those who are local leaders and members and members of representative bodies, will accept this possibility, that all together in the interests of citizens will work on as much communication as possible in the interests of the citizens themselves and I believe that there will be no need for new elections except in the case of some more force. The HNS Club will support this bill. Thank you.
ParlaMint-HR_2017-11-29-0.u62628	Thank you. We have two replicas, the first respected representative of Tomislav Zhagar. Here you go.
ParlaMint-HR_2017-11-29-0.u62629	Thank you, Vice President of the Croatian Parliament. Dear fellow Batinic. As regards the establishment of administrative departments in local self-government units, I am aware and in the past replica, I have pointed out that although we are making the law for the territory of the Republic of Croatia, we cannot partially bring it for certain parts of the Republic of Croatia, not all are in the same position. If you remember here, then he was Prime Minister Mr. Milanovic, he proposed so-called. Revolving the door where the administration would come with elected authority and then leave. This has been sharply attacked because people are believed to have to choose from the competition. And now you take a small municipality where there's a single management department and there's a head of that single management department, the truth I haven't gotten from the minister's answer yet, what's going to happen the moment that the single management department is lifted and more administrative departments are set up, what's going to happen to those leaders? A good part of them has an ESS, the truth is regulated by probably a special law, but now a second reading is being set. If these small municipalities and form administrative departments who will dare to go to work in such a job because the next mayor, the next mayor may propose a second change of structure and simply those people will lose their jobs. To get into a serious job, he needs a certain experience, he needs to gain experience that will last for years, and then it will happen that after some time because of the collapse of another political option, it can be a motive for the head of that body to change the structure actually to propose it to a representative body that will change the structure and that these people remain let's say conditionally on the street. This happened in practice, it happens regularly at county level, it happens at city level, in municipalities less than what there is in the single administrative department. But that danger certainly exists to tell who will decide to go to such a Khan of Galilee. Thank you.
ParlaMint-HR_2017-11-29-0.u62630	Thank you. The answer of the respected MP Batinić.
ParlaMint-HR_2017-11-29-0.u62631	Thank you. You asked a few questions here about course that we have different opportunities to organize the structure of local self-government. The logic is that small municipalities, smaller municipalities have one administrative department, larger cities have more of that, but that is the absolute autonomy of the representative body and, of course, as an authorised promoter of leaders. Is the practice of changing the authority of the executive or representative body and changing the structure? So maybe if it's for the better, I can support it, but if the structure changes, and there are such situations, there are now after these elections that certain leaders want to be replaced by the heads of certain administrative departments, and that's the only reason why new systematicization is done, which, by the way, we also have examples in the Varazdin County that has nothing to do with it. But it has been deliberately changing precisely for the reason that people who have been in those positions for about 10, 15 years are being replaced. That's one thing. Secondly, you asked who would go to work. I agree that's a question that's not only in front of the Minister of Administration, but in front of all of us. The way to solve it, and that's what's been announced on the board today, and the minister has announced. So it's about preparing for one let's say a more comprehensive strategic approach a little bit more quality and that it's finally going into public administration reform as such. It's a huge process. So we have to start from the bar to the top or vice versa, however they go, they're just human. If they do their job in a quality way, if they are evaluated as to what the law should give them the opportunity to change it if it has a very good, excellent grade and then to change it. How much can this be solved by law I believe it is, but that's what's coming to us.
ParlaMint-HR_2017-11-29-0.u62632	Thank you very much. The next replica is the esteemed representative of Ante Sanader.
ParlaMint-HR_2017-11-29-0.u62633	Thank you, Vice President. My dear colleague, I agree with your debate. Most of the time, I just want to point out this relationship that you were talking about, the relationship between the head of the unit of local, or regional administration and the representative body. Unfortunately, this law is called lex sheriff as some object of ridicule as if our leaders were not chosen by the will of citizens, especially now that we choose them directly. Then we make fun of the will of the citizens in this way. I personally think that the representative body should be more corrective and this second part already when you talked about the amendments. Well, not every leader in his campaign can come out with a concrete program, with concrete activities. And now someone with their amendments can cut down on any of his programs, not allow him to realize. How will he realize the projects he has offered? And secondly, perhaps not listed in this law, and I also think it should be regulated, which is. That's what you're coming aboard with the ready crew. When you come as the elected mayor, the mayor, the mayor with the leaders who may not match your vision or will not be able to fulfill the visions, activities, programs that you have offered in your pre-election program. So I think that our leaders should be the same as the ministers, that you're coming with the team and leaving with the team. Because it's become a job and now you have to change the systemization, invent whatever nonsense in collaboration with, you have to come to a representative body and with a representative body it's now a coalition of some kind, and then it turns into a trade. So I think there should be a leader who's chosen just as we choose to give him and that freedom and the possibility that he comes with his team and doesn't need to invent and play those games about changing the systemization to bring someone into his team.
ParlaMint-HR_2017-11-29-0.u62634	Thank you. The answer of the respected MP Batinić.
ParlaMint-HR_2017-11-29-0.u62635	Thank you. A fellow Sanader may agree in part. It is understandable to me, and I support the national level that the minister brings his team, but I believe that that part of the public administration is whether it is to the level of the head of the sector, whether it is the head of the county or a slightly lower category or in the city, but there should still be one constant simply for the reasons of continuity, simply for reasons of continuity of knowledge and, above all, I think that the ultimate goal and interest of all professionalising public administration. This does not mean that people working in public administration, regardless of what level they should not be or should not be members of some political parties. That's absurd, but I'm saying they should absolutely be professionals. So there are evaluations of officers, subsistences if they work quality, but I believe that the vast majority of them work that work. I don't think that's where we should maybe go to that level in that way. And it should also, so there's a local self-government leader who's able to express whether or not he's satisfied with someone. And as for this one called lex sheriffs, that's what he says most about those who use it and who say it. It's mostly people who either tried at the local level, so they didn't make it, or those who think they'd been invited to the high schooloretics who think they know everything.
ParlaMint-HR_2017-11-29-0.u62636	Thank you. The next club of representatives is that of GLAS and HSU in the name of which the respected representative, Anka Mrak Taritash, will speak. Here you go.
ParlaMint-HR_2017-11-29-0.u62637	President of the Croatian Parliament, respected secretary of state, colleagues and colleagues. Here we are in the second reading of amendments to the Law on local and regional self-government. Every time I talk about some law or some topic I try to find an affirmative part so I go, then I say but. So, I always appreciate when the minister was there and the minister was there and presented the law for a simple reason with which the minister shows that he cares about the material he does, as well as respects the parliamentary representatives to hear what they have to say. This law was about two weeks ago in the first reading, and here we have shown how two readings can be done in a relatively short time. I assume that and the date that's in the year is related to it, because here are some calculations that have already been passed. Today, the budget for Zagreb County is, or Zagreb County cancelled its assembly, so it will obviously wait for this law to be passed because it will obviously have reasons. The City Assembly of Zagreb has a budget tomorrow, but the City Assembly of Zagreb, unlike all others, has a budget in two readings, so tomorrow will be the first reading, December 21st will be the second reading. Really in the debate when we talked about this law we called it lex sheriff, we also called him lex Bandic. I am deeply convinced that this law should not have been passed, and he was not needed to Mr Bandic, who has been mentioned so many times in this assembly for the simple reason that he has shown through his way of managing that when it comes to the budget that he can always agree and especially that when the budget is in that Christmas period, he is a very broad time and all the amendments that are, he accepts, installs and then will already be what it will be, therefore, it should not be brought about. I've been asking myself a question on the board, and I keep asking myself why? If I get some kind of decent answer to why it goes into one law change, why does it seem, I don't have to agree with that, I can think it's a certain way wrong, but I'll take it somebody decides. I still don't understand why. I understand only because it can be, so we can prove that, and that's why. So, we had one model, is he the most ideal, we can discuss it. Could've been better, it's the same topic of discussion. But we had one model that worked, a model where we knew what and how to do it, and now we decided to cut through that model with another model, and the reason for that was stability. You know, the greatest stability is in autocracy, there's absolute... [[I don't know what you're talking about.]]
ParlaMint-HR_2017-11-29-0.u62638	... [[The speaker is not enabled.]]
ParlaMint-HR_2017-11-29-0.u62639	... [[You can't hear the speaker.]]
ParlaMint-HR_2017-11-29-0.u62640	If it's all right with you... [[You can't hear the speaker.]]
ParlaMint-HR_2017-11-29-0.u62641	I suggest you take a break, I can continue my debate behind it, I think that's the only thing that's decent right now.
ParlaMint-HR_2017-11-29-0.u62642	I agree, I agree.
ParlaMint-HR_2017-11-29-0.u62643	I don't have any problem with the remaining 11 minutes of my debate, I'm doing it at a time when it'll be acceptable, so I don't think I have anything against a break at all.
ParlaMint-HR_2017-11-29-0.u62644	I agree, and here he is, and I thank you for your understanding. I propose a 10-minute break, requested by a colleague... Anyone else want a break from the club? [[The speaker doesn't understand.]] If not, I'll see you at 11 and 50. It's 11:00. 40 o'clock. [[CONTINUATION AFTER THE MEETING IN 11.50 HOURS]] It's 12 o'clock.
ParlaMint-HR_2017-11-29-0.u62648	Good morning, esteemed colleagues and colleagues. We're going back to work. So we continue to discuss the final draft law amending and supplementing the Law on Local and Regional Self-Government, the second reading of P.Z. No. 215. I would like to remind you that the applicant is the Government of the Republic of Croatia on the basis of Article 85. This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Rules of Procedure of the Croatian Parliament. When discussing this item of the agenda, the provisions of the Rules of Procedure relating to the second reading of the law shall apply. Amendments may be submitted until the end of the debate pursuant to Article 197. Rules of Procedure. We were standing at the hearing of the GLAS and HSU Representatives Club. She spoke to a respected colleague of Anka Mrak-Taritash. So we should continue with that debate. But before, here I see a colleague of Bunyan, a colleague of Bulj.
