ParlaMint-HR_2017-02-09-0.u24659	Dear colleagues and colleagues, we continue our work. Representative Misic.
ParlaMint-HR_2017-02-09-0.u30505	The second part of the proposal's presentation will be taken over by MP Ivan Vrdoljak.
ParlaMint-HR_2017-02-09-0.u30506	Thank you very much. President, ladies and gentlemen! I admit Prime Minister Andrej Plenkovic was right. He was right when he said that the request for the replacement of education and science minister Dr Pave Barisic was not directed against the minister personally but that there was another goal. And I admit that the essence of our demands is not at all Minister Barisic as a person, our ultimate goal is to defend, for example, Minister Barisic, Croatia as we wish and in what kind of Croatia we want to raise and educate our children. We have requested the immediate resignation of the Minister of Confirmed plagiarist and not because it is my opinion or some explicit evidence that other scientists, such as Djikic, have presented, and even that is irrelevant. I say that because I respect the institutions of this country and the Croatian Parliament, and the Croatian Government, and the institution of the minister. Respect for the Parliament means that we respect its decisions and one of these decisions is the appointment of a Committee on Ethics, Science and Higher Education. And when the board finds that it is plagiarism, my personal views and the belief of Prime Minister Plenkovic are completely irrelevant and that it is an accidental failure or only one footnote that is relevant, and that is the decision of the board because it has been appointed by the Croatian Parliament with the task of making just such decisions. Out of that respect for the institutions, the request for the replacement of Minister Barisic also arises. Politics has the task of making decisions and taking responsibility for it but has no right to ignore institutions. We want Croatia in which we respect every institution, every parliamentary representative, the Croatian Parliament, prime minister, ministers and who do not accept alternative facts instead of the truth. We have as many as four very important reasons, for Croatian reasons why Minister Barisic should step down. I have already talked about the first, and this is to preserve the integrity of democratic institutions and it is our common responsibility to prevent further breach of public confidence in democratic institutions because the consequences of this violation of the integrity of the institution can be far-reaching and very dangerous. The second question is fundamental values in education. If the first man of the education system carries the burden of plagiarism and it goes unpunished with which legitimacy and authority tomorrow people in the education system will continue to work on the education of our children. If copying and lying to the public are references to the most powerful and influential how we will encourage children to learn, analytical and critical thinking, creativity, innovation, anything that will allow them to be self-aware of successful people tomorrow. The third reason in the interest of Croatia's future is the question of standards in politics and every day, every month, every year, each government has the task of being better than the previous ones with standards and raising those standards, and we are witnessing a violated reputation of politicians and politicians in the general public and we must in practice show that certain politicians are allowed what is not citizens. We want Croatia in which we are all involved in politics so that we would like to change society for the better, that we are proud to say that politics is an honorable calling and I really want to work and live in such Croatia. The fourth reason is respecting the profession in Croatian society. How do you expect to respect politics like our profession if politics doesn't respect other professions? We have authorized the Committee on Ethics, Science and Higher Education to represent the profession and through the committee, she has said her assessment by asking Minister Barisic to be replaced, we are asking for the respect of this particular profession because we have moved away from politics on the board. And we want Croatia in which the prime minister cannot ignore the official and authorised professional body, we want Croatia in which education and science are at all times the most important social theme and the main priority of politics because quality education and science will result in quality solutions in the economy and in every other social area, we want Croatia as a country of knowledge where the curricula reform is not delayed but continuously implemented as a never-ending process, we want Croatia in which the academic community does not agree with the calculator's policy of uncertainty, fear of politics, of an autocessor, or of any kind in which the value of higher education is not subject to the amount of money obtained from the state budget. And we want Croatia that is moving in step with time and looks forward, which instead of the commission to face the past established a commission to face the future. And yes, we want Croatia in which life-long education has not flossed but the inevitableness of today's time. We want a country where there are no gaps between education and the labour market because this gap creates inequalities in society that none of us really want. We want Croatia that guarantees the reputation of knowledge and education just as a reputation for teachers and teachers, Croatia that cultivates passion for learning, knowledge and as a starting point in creating a society in which each individual has an equal chance of success. We've come into a situation where the scientific community has extremely divided on one wheel. This should not be necessary for Croatia in 2017. And any policy will take responsibility for setting standards and based on these standards will be assessed by its citizens. The way we did it, that's how you'll do it, so tomorrow some futures will work, set standards. Don't base your policy on debauching others. It is a short-term goal that is sometimes achieved, but in the long term or in the medium term, it comes to all of us because we have lost our reputation in Croatian society. And because of such a Croatian Minister Barisic, we should vote no confidence. And neither I nor any of you should stand on your own wishes, but do your very best. And I will personally do my best to do what I know and I can, however little or much we can make Croatia better. Let's save the standards that you or we or some future ones have set. We can't go back. In this situation where we're talking today I'm going to repeat the prime minister's right it's not a question of a person. I don't even know my colleague Barisic. It's not a question at all whether it's a name or a last name, it's a question of standard, and it sees what's most important to us for the future, which is knowledge and education. Thank you.
ParlaMint-HR_2017-02-09-0.u30507	I'd like to thank counsel Vrdoljak. The representative Josip Boris first reported on the replica of MP Bernardic's presentation.
ParlaMint-HR_2017-02-09-0.u30508	Thank you very much, Your Honor. Here I will replicate the part where my colleague Bernardic spoke about how the people should remember us, our people, our members, etc. Well, I'll read at the beginning how he's remembered and loved by his party from an interview a few days ago. His colleague Ostojic says: "Bernardic runs the SDP with messages no one remembers alive, the party slips downhill, and his leadership has no weight. He doesn't offer anything." That's how they love you, how they remember you in your party. Why did I have to say that? Because we are in Croatia witnessing that there is already an ethical court, it is called the Croatian Ethics Court. However, another court was formed in the Assembly, which is a parliamentary party court. It's daily labeling, Stigmatizing, in direct TV broadcasts trying to deal with individuals. Who's this about? It's about the heroes of the left of Croatia. All in a row of moral verticals in society – Mr. Stazić, Maras, Jovanovic, Glavasevic, Mrs. Glasovac, etc. I don't want to pick it up. What is their basic mission? So find one mistake, sentence doesn't matter whether it's two days, whether it's 20 years, 10 years on the basis of which we're going to condemn you here in the assembly and then move on. Media labels are on the move, and, of course, we need to defend ourselves. If I agreed to be part of that court, then after yesterday's debate, I would. Your statements when you left the Office of the President, when you made it clear that the president for Mr. Barisic's shift, and then the President's office denied it for you could say that you were Mr. Bernardic who lied, that it was a lie. But I don't want to say it, because I think a young socialist who has to change the party he's headed and if you don't change it You could be a Bero loser very soon. [[/Intruder President: Thank you. Time's up.]] Thank you.
ParlaMint-HR_2017-02-09-0.u30509	... My colleagues would say next, and that's what you need to stick to the subject. [[Specially enabled.]] Do not take advantage of the context, do not take advantage of these situations, do not put words in your mouth with which I could in any way answer you and exercise some articles that would be quite deadly to you about plagiarizing and about everything else. Therefore, let our affairs be democratically resolved unlike you.
ParlaMint-HR_2017-02-09-0.u30510	Thank you. In part, I allowed you to have a replica through it because Mr. Boric, but on the other hand also your representative who presented the exhibition did not fully stick to the subject. If we're going to allow the width of the exhibit, what I'd really like to ask is not the problem of letting the width of the context describe it, but the only thing I'd ask is without really insulting inside the assembly. Representative Peja Grbin also said the Rules of Procedure had been violated.
ParlaMint-HR_2017-02-09-0.u30511	Thank you, Mr. President. Before I move on to my breach of the Rules of Procedure, your obligation is in accordance with Article 236 of the Rules of Procedure to determine whether Mr. Boris was injured in the same way as my colleague Ostojić pointed out, and I will now move on to the injury that I experienced. This is about Article 238. Rules of Procedure. Dear counterpart Boris has set out to list my colleagues, his colleague, Glavasevic, Stazic, Maras, that they are an ethical court party that judges others in this assembly, in Croatia. I felt deeply offended because he didn't mention me among his colleagues, so I ask you to warn your colleague, Boric. Thank you very much.
ParlaMint-HR_2017-02-09-0.u30512	It's nice to meet you, Mr. Grbin. If you are just as hurt you have the possibility to react within 24 hours. Reply to the replica, MP Bernardić.
ParlaMint-HR_2017-02-09-0.u30513	I thank the President of the Parliament. Thank you, colleague, for your observation. So I don't want to convince you, nor will I convince you of my conversation with the president. I said very clearly that we did not talk about Minister Barisic, the media conveyed it as they conveyed it. But what is quite certain is that the president acted anxiously and acted as if she cared about the implementation of the curricula reform and I believe she did. So today we're discussing it. She seemed to care and I believe she did and that's what I'm going to say. The other thing, what you mentioned yourself is watch the media, media articles, so it's famous that I'm not some fan of the media. I don't know if there's a positive newspaper comment about me, either. But as you can see, I'm still alive, I'm still healthy and I'm getting better. Therefore, regardless of what the media is writing or how it is interpreted, at the end of the message and the key things still find ways to get to the public and how to get to the public I will dare say the hearts and minds of all people living in Croatia. But that's what I'm going to get at, and I'm going to tell you, yes, so we supported you in the good things you've done. So I supported Christmas Eve's intention to take INA under Croatian control. Well, we supported you on Christmas Eve. On the other hand, the problem would be what happened later. That without any plan and no financial analysis, a plan was presented which was simply what the profession later said was unsustainable. So this isn't even about a minister of the type I don't know personally. This is all about principles and the desire to implement educational reform in Croatia, and we can only do so if those who implement it are not in any way burdened. Thank you.
ParlaMint-HR_2017-02-09-0.u30514	Thank you. Representative Stevo Culej spoke for a replica of the presentation of MP Bernardic.
ParlaMint-HR_2017-02-09-0.u30515	Dear President, every story in our Croatian Parliament will end ours and yours and in the divisions, so I will read to you the division of the Scientific Community from the academics Vladimir Para who sent me this – "Key information in the process of passing the official verdict of the proven plagiarist Barisic by the Committee on Ethics is usually silent. That decision from the scientific field of philosophy was made by the bristle body composed of 5 scientists far from philosophy. According to the rapporteur available, the expert on fisheries has competently reported that it is a proven plagiarism in the field of philosophy in which the remaining members of the Ethics Committee agreed. Two in medicine, one in economics and one in art history. In addition, they completely ignored the fact that years earlier, the competent parent body at the University of Split rejected Barisic's indictment as unfounded." It further says: "A short method of uncanny plagiarist hunting as applied by our Committee on Ethics in the case of scientist Barisic almost every prominent scientist in our country and in the world could be accused of being a proven plagiarist. Any scientist exposed to this unknown persecution should be duly defended no matter what political option it belonged to. The language of scientific arguments should be the basis of every scientist's scientific ethics, and the political language of a proven plagiar should go where it is natural and place in the Gines Book of Records as a proven plagiarism of an unspeakable fiction." Academic Vladimir Par. There's still a lot of text here, but now there's another debate.
ParlaMint-HR_2017-02-09-0.u30516	Thank you. Reply to the replica, MP Bernardić.
ParlaMint-HR_2017-02-09-0.u30517	Well, I know very well, but it's my professor, I'm from physics, I'm from the PMF. So, look, we're unfortunately coming up today to discuss this, while we've come into the situation that the public is divided, while we've come into a situation to talk about plagiarism, we've already lost, we've lost as a society. The kids lost. The future has lost, and that is a big problem. And I call upon you to set standards, to change it because there is nothing to bury each other on its own side and defend at this time indefensible. Let's see what we can do to make this situation change. Well, it's not the last thing in the world to reconstruct the government. Well, it's not something that's never happened before. So it's no problem and it's not a sin to admit a mistake. The problem is to insist, and that's the key.
ParlaMint-HR_2017-02-09-0.u30518	Thank you. Representative Miroslav Tudjman reported for the replica.
ParlaMint-HR_2017-02-09-0.u30519	Thank you, Mr. President. Comrade Bernardić, you said in your performance: "The system begins today and here. You should play by the rules." Now I'm asking you when you're gonna start playing by the rules? When will you start playing by the rules? When will you start respecting the institutions of Croatian society and Croatian state? There are two institutions or three institutions: and the Ethics Commission of the Faculty of Philosophy in Split before 6, 7, 2011, and now calculate how many years the University of Zagreb has also given its statement that it is not plagiarism and Rectorski has confirmed it for the same reason. But these institutions obviously have no weight or importance in your thinking. And the Committee that presented this position fell apart and in incomplete composition precisely because it went to be politically instrumentalised from today's opposition before it brought its own court because it was meant to have an opinion, arguing with 9 members per 5 members. So, come on. [[The Intruder President: Time. Excuse me.]] But it wasn't at zero when it started. [[(The President's intrusion: time's up and half a minute.) I'm sorry, time's up and half a minute.)]]
ParlaMint-HR_2017-02-09-0.u30520	I apologize to all the MPs. Replication response.
ParlaMint-HR_2017-02-09-0.u30521	Professor Tudjman, you're a smart man and I respect you. But what I have to say is, you're coming from the same university as the minister in question, and that's not good as a message first of all. On the other hand, here in the House, we voted the people sitting on that Committee on Ethics, Education and Science. We voted them unanimously here, both SDP and HDZ, and now you're saying that these people are a problem. That's what this is about. Dochim, we've come to the point of discussing this, we've already lost as a society. Therefore, I urge you to overcome reason and to do what needs to be done.
ParlaMint-HR_2017-02-09-0.u30522	Thank you, Agent Bernardic. Representative Zeljko Reiner responded for the replica.
ParlaMint-HR_2017-02-09-0.u30523	Thank you very much. Mr. President of the Croatian Parliament! I will relate to what my colleague Vrdoljak said even though I speak of what my colleague Bernardic said, which is that it is not good political goals to achieve insults and defile others. I'm sorry that you used, for example, the terms of the Prime Minister's counterfeiter, that he cheated on the minister and that he was a plagiarizer. Now, speaking of the plagiarizer that has been repeating itself in this House for about two weeks now in all possible contexts and with all kinds of issues when it comes to railways, when it comes to copyright, anything keeps repeating it. Of course, the media conveys it and everyone thinks it's almost plagiarism. I would be very interested to have you specifically state what part of the article is plagiarized and what is really plagiarized, whether it is plagiarized or not, because look at the plagiarism is clearly defined in the Croatian encyclopedia as a blind copying or the acquisition of other works or literary, scientific and other works created by copying as a whole in essential or recognizable parts and the acquisition of other people's work invested in this work Croatian encyclopaedic dictionary. Which parts are plagiarized if they are because everyone thinks it's almost done and nobody says what's plagiarized because if it went into it, it would be understood that the plagiarism is gone at all, but for political purposes it's good and this. Thank you very much.
ParlaMint-HR_2017-02-09-0.u30524	Thank you. Is there an answer to the replica?
ParlaMint-HR_2017-02-09-0.u30525	So you have this explanation, maybe if you read it, it wouldn't be bad, so here's what I suggest.
ParlaMint-HR_2017-02-09-0.u30526	I'd just like to ask one thing, if I don't have to personally or if the chairman doesn't have to ask if there's an answer to the replica, I'd like you to call first. Representative Drazen Bosnjakovic reported on the replica.
ParlaMint-HR_2017-02-09-0.u30527	Thank you very much. Mr. President! My colleague Bernardić, you said that Mr Barisic was judged by the Ethics Committee. I would ask you if you really think that this committee has been ethically acting, whether it is ethical for him to extend his authority and jurisdiction to conduct such a procedure at all, whether it is ethical to act if half the members of that committee escapes and resigns because he sees that it is actually a political affair, a political process in which the Rules of Procedure is violated, where in public the opposite of the Rules of Procedure are presented various facts and especially when he sees whether a member of that commission can be, or a committee may be, a political competition of one whose work is being challenged and that is Vlatko Silobrčić, and that is one otherwise the man we discussed yesterday, who is very ethically 25 million kunas of the Immunological Institute, has been transferred to the savings of his friend on the terms of deposited interest, and could have achieved 15 on the market, that he did it wisely and the Immunological Institute today is actually recovered from him. Is it all really ethical and do you think things aren't done right here?
ParlaMint-HR_2017-02-09-0.u30528	My colleague Bernardić, I would only ask you to lift the board, it was a warning from the chairman, so it is a practice. Here you go.
ParlaMint-HR_2017-02-09-0.u30529	Thank you. So see, was that ethical by the commission, so you gave up your hand for these people among other things. But you've now opened up a topic from which you'll have to get involved in whatever way you know, and if you don't change the minister, you've de facto accused the Committee of Ethics in Science and Education of acting unethically, you must replace that committee. You have to replace that committee. Today, if you don't change the minister, you've just got to replace that committee. I'm expecting that proposal.
ParlaMint-HR_2017-02-09-0.u30530	Thank you. The next replica is the esteemed representative Branko Bacic.
ParlaMint-HR_2017-02-09-0.u30531	Thank you, Mr. Vice President. I believe that you as a responsible politician have read the Constitution, so it is not clear to me how you sign a document requesting the impeachment of Minister Barisic based on an act that has been taken by a single body which, with such a decision, roughly injures one article of the Constitution, article 68, which speaks of guaranteed autonomy of the university. This body, which you said to the Committee on Ethics in Science and Higher Education, is appointed by this Parliament, is not disputed, but by its own decision, the ethical code came out of the framework prescribed by the Higher Education Act and declared itself a second-degree body and thus did not matter what the Ethics Committees and Committees said in Zagreb and Split. If such a logic was guided by the SDP and the HNS, then they would give the Justice Committee of the Croatian Parliament the full right to change the decisions of the Supreme Court by their own decision because, as the judiciary in Croatia is independent and separate from the legislative and representative body, it is identical from the Parliament independently and this guarantees Article 68. The Constitution and Croatian universities. Therefore, in this way, the SDP and the HNS rely on one opinion of an ethical commission that has extended itself the power of two laws and what the Parliament has given him, and it is an argument for you to seek, on the basis of such an opinion, the resignation and impeachment of the minister. And I'll end up with what I started to read and read is the Constitution, but if you understood by the end you wouldn't have put a signature on the motion for Minister Barisic's recall.
ParlaMint-HR_2017-02-09-0.u30532	Thank you. Replication response. Here you go.
ParlaMint-HR_2017-02-09-0.u30533	Dear Representative Bacic, do you think I'm comfortable here today? I'm uncomfortable here, I feel uncomfortable in this situation, but I believe that's what the MPs are feeling about, that's what this is about. The Committee on Ethics, you voted on it, is the body chosen by the Croatian Parliament, this assembly, adopted reports, home of the Croatian people, as you will, it is the Committee on Ethics. Look, the situation is such that if you don't change the Minister you have to change the Committee on Ethics and it will be the last nail in the coffin, trying to reform education and science in Croatia.
ParlaMint-HR_2017-02-09-0.u30534	Thank you. The next replica is Honorable colleague Goran Dodig.
ParlaMint-HR_2017-02-09-0.u30535	Representative Bernardic, you spoke here about the importance of science, about the future of children but you are done with the word and with a statement the minister must leave. In this way you have shown that you are prepared to judge before any facts you have and the facts you have have a commission that has been elected by this House, but that is why this House is superior to this committee and is obliged to determine the truth first. It is certainly certain here that this committee has not found the truth but that it has been politically colored and I agree that we must respect the institutions of this country and the parliamentary board and the commission but we must respect both that and the truth that will become the standard. I'm the last person I was to not set standards but standards can't be set on lies. We've been exposed to lies and lynch here for 15 days. A new article has already appeared today on the fact that Minister Barisic has plagiarised his graduate work. ... [[Intruder: The speaker is not on, you can't hear.]]
ParlaMint-HR_2017-02-09-0.u30536	I'm asking you not to throw away.
ParlaMint-HR_2017-02-09-0.u30537	No, an article came up because you're based on newspapers and you've come to these conclusions and based on the false findings of the commission. And you fellow, I have to talk to you, you'd have to know that today can't be a doctorate without two articles that are an integral part of that doctorate being published previously. ... You won't let me talk. [[Intruder: The speaker is not on, you can't hear.]]
ParlaMint-HR_2017-02-09-0.u30538	Thank you. Time's up.
ParlaMint-HR_2017-02-09-0.u30539	You've started making decisions based on lies and the truth. Don't do this.
ParlaMint-HR_2017-02-09-0.u30540	Thank you.
ParlaMint-HR_2017-02-09-0.u30541	This commission was incompetent.
ParlaMint-HR_2017-02-09-0.u30542	Comrade Dodig, thank you. Dear colleague Bernardic, reply to the replica.
ParlaMint-HR_2017-02-09-0.u30543	Thank you very much. First of all, I don't feel like a judge here, but I just feel like a voice of reason. Judge, I didn't want to be, and the judge was someone else. There was a commission you voted together here, i.e. The Committee on Ethics in Science and Education. Therefore, they were a judge. Well, I'm uncomfortable here, so I see a man for the second time in my life. So how can I tell you, so I feel uncomfortable because of the situation this Parliament has come to, in which the committee has come, to which science and education has come to Croatia, I feel uncomfortable today. How many times do I have to tell you? The commission, not ok, did not establish well but why you did not form perhaps a committee to determine the fact that the establishment is good or not good next to the highest commission Croatia has, you could have done so and it would not be the first commission. Well, we have an Ina commission, so we'll have a commission to deal with the past. When you don't know what you're going to set up a commission. Guys, let's not do this.
ParlaMint-HR_2017-02-09-0.u30544	Next replica representative Ivan Pernar. Here you go.
ParlaMint-HR_2017-02-09-0.u30545	Thank you. The Honorable Chairman! I must say, in absolute terms, I agree with the presentation of my colleague Bernardic and I would only like to draw attention to him. He said if he had morals, if I had to say so, etc., that HDZ should replace the minister who admitted even that he had plagiarized, because here what's interesting here is whether the commission said it right and the minister himself did not admit it, and apologized for it. And now, what is it, Mr Bernardic that HDZ has the shame they would steal 24 million kunas from the register of state-owned companies and channel it to their company HDZ, they would put it back in the budget.
ParlaMint-HR_2017-02-09-0.u30546	I ask my colleague Pernar to have such insinuations and meals.
ParlaMint-HR_2017-02-09-0.u30547	But you admitted it, sir, you admitted it. HDZ has confessed to this, your government, Ratko Cat.
ParlaMint-HR_2017-02-09-0.u30548	Don't bring up such meals because you had yellow envelopes too, and that's the same confession that came from any of your ranks.
ParlaMint-HR_2017-02-09-0.u30549	The Supreme Court saved you. Thank you.
ParlaMint-HR_2017-02-09-0.u30550	Thank you very much. Answer? There's no response to the replica. The next is the distinguished representative Ljubica Lukačić. Here you go.
ParlaMint-HR_2017-02-09-0.u30551	Thank you very much. Mr. Vice President! Comrade Bernardiæ, you have asked an extremely large number of questions in your presentation today, you are not one. You were talking about child education, the future of children. The question you didn't ask me I'll ask you. Do you know what that means when a child with difficulties has an assistant in class? I know you know about it because even during the time of the SDP government, there was a lot of talk about it. And do you know that Minister Barisic is the first minister on his initiative to pass a law in which it is stated that a rule can be passed on to assistants in the follow-up that we have never had before and that has been discussed for years. So for the first time, students with developmental difficulties will have helpers in teaching, but in a just way as it really is necessary and as necessary for their future and their education. So they're allowed the future, they're allowed education, they're allowed to get into life. Thank you.
ParlaMint-HR_2017-02-09-0.u30552	Thank you. Replication response.
ParlaMint-HR_2017-02-09-0.u30553	Dear mistress, we've known each other a long time, we always hug and greet when we see each other, and we agree that the society of equal opportunities is exactly the society that needs to be made possible, especially for those who have difficulty learning in the same way, later on, that they can come into a position to get a job and then start a family. And that's what I think you and I are deeply understanding and getting along. But what is said here and what I will repeat is all that is good and what is well done should be commended. But what was bad and what burdens the educational scientific system there should set standards together. And I think that's where you understand me and I believe that, intimately and in your heart, you support me. And as for the assistant in the follow-up, then I'll say that right here, the SDP MPs, we've made it possible for them to pay salaries that haven't been paid for them lately. That's not gonna say a thing that needs a big political debate. But when order is introduced into the country and these things are put on the agenda, then he should be aware of it. Therefore, here I and you have believed deeply intimately we agree, deeply believe in a society of equal opportunities in which everyone should be enabled whether they have difficulties or not because they are not people with special needs, these are people who have the same needs as all of us just have disability. To grow, to work and to develop and to get a chance. So, for all the good, thank you, for what's bad together, let's set standards and turn to the future.
ParlaMint-HR_2017-02-09-0.u30554	Thank you very much. The next replica is distinguished counterpart Zeljko Jovanovic.
ParlaMint-HR_2017-02-09-0.u30555	Thank you, Mr. Chairman. Comrade Bernardić, you have well noticed in your opening statement that our request is only one small part related to the printing error, the fus note. They are actually the tip of the iceberg, the tip of the iceberg on which the entire system of education and science can be sucked because of the interesting lobbies you were talking about. There's a great text in my hand. It was written by Mrs Mirjana Kasapovic and called "Anatomia of a plagiarist and a network into which the plagiar has become involved". Great text that almost describes the exact same situation today. Here's just one quote. This file, what we are doing here today, only partially exposes the forms of plagiarization of conflicts of interest, monopoly, nepotism and clienteleism in one segment of the Croatian academic scientific community that create the perfect framework for the development, the emergence of intellectual corruption. Although at the heart of a plagiarist scandal, the minister is not his only or most important actor. He is a wheel in an older and wider clienteletist network, a segmental academic octopus that feeds on unconscious scientific and irresponsible teaching work, illegal and uncommon acquisition of academic titles, honours, awards, benefits, and directly and indirectly includes a number of other state and private institutions from Croatia. And the best example is that Mr. Minister has not yet been able to send administrative surveillance due to an illegal and non-static decision destroying Croatian studies. And by the way, dear colleagues, there's no university anatomy related to science institutes. So, the Committee on Ethics, the science in higher education absolutely without any encroachment in university autonomy, discusses the work in 70% of Mr Barisic's time at a scientific institute that is not part of the university.
ParlaMint-HR_2017-02-09-0.u30556	Replication response, dear colleague Bernardic.
ParlaMint-HR_2017-02-09-0.u30557	So, fellow Jovanovic, you have opened each other here in my opinion an extremely important topic in science, a high school system, and that is whether Croatia can be satisfied with the position means high school system, the position of science. Can she be satisfied with the location of Zagreb today as well as many other universities? The answer is no. And we must do everything as a society to reform science, scientific institutions in Croatia, if you want the university to make those who are the best and most competitive, dictate standards and do whatever it takes to make Croatia and Croatian universities fit in the society of the developed. If one university is not unfortunately in the company of a thousand, then it's a very clear message that simply people shouldn't come here. So we want students from other countries. And we have to do everything to reform this system sometimes with measures that may not be popular to talk about in public, which you may have tried to implement yourself and have encountered certain obstacles, decisions by senior state bodies even the decisions of the Constitutional Court. And with these measures to try to do everything we need to do right now at the Zagreb University, but also in every other Zagreb university, I will dare say hope for all people who come there to study. And that is why it is extremely important for this system of science to be completely unburdened. And what we're discussing today is a great burden for any future reform of that system.
ParlaMint-HR_2017-02-09-0.u30558	Next replica, distinguished counterpart Domagoj Hajdukovic.
ParlaMint-HR_2017-02-09-0.u30559	Thank you very much, Mr. Vice President. My colleague Bernardic, I want to say two things in the replica. First of all, I want to add a little bit of your exposure because colleagues on the right hand side of the assembly are very often and very fond of each other, and they have proven many times alternative facts. And I just want to warn you that it is no longer said here that the University of Zagreb decided on the Barisic case because it did not. Former Rector Beliš himself denied the current rector and said that the University of Zagreb had never decided on the Barisic case because it was not competent for him. That's the first thing. It's another thing. My colleague Bernardic, I would ask you, would you argue in this tone in this House if, for example, the Minister of Finance were not accused, but caught stealing or embezzling money, that the Minister of Defence is a high treason, that the Minister of Justice is a perjurer, that the Minister of Construction is the one who is building illegally or has illegal buildings? Would you argue in a tone like this? If we're talking about plagiarizing, plagiarizing is a mortal sin in the sciences of fellow colleagues and fellow mortal sin. There's nothing worse than that, and that's why I have to ask myself rhetorically, how a person who is a plagiarist can be a role model to our scientists, what kind of message we send to young people, etc. All of this reminds me, in fact, of the statement by a Mr. Sokol, who, at the time, defended some actors in Croatian politics that money is not property. That's what it comes down to. Or defenses where the associations we're discussing now are headed, and then they're sending out support memos. Or when the dean of the university of decree asks students and professors to send support to the minister. Is that the Croatia we want? Is this an open, free Croatia, Croatia where you can express opinions that are not always at the will of what is said and Croatia in which science is above all?
ParlaMint-HR_2017-02-09-0.u30560	Thank you. Comrade Bernardic, come in.
ParlaMint-HR_2017-02-09-0.u30561	Well, thank you for this replica. You probably meant your colleagues on the left, on my left side of the assembly. Of course, it has nothing to do with any archive opening. But it has something to do with this debate you started, and it's about standard. Croatian society has changed over the past 25 years. We fought for independence. We fought for NATO. We have fought for the European Union. We've entered NATO. We have entered the European Union and we no longer have any other goals. We don't have a national development plan. We have no vision of Croatia in the 21st century. We have no agreement or consensus on key national issues. That, and that conversation, I have called upon the representatives of the ruling ones. I didn't get the answer. We don't have a plan where and how. But what we have in the last 25 years is a higher standard and a higher criterion for certain things. It is impossible to do things in Croatia that could have been done 10 or 20 or 30 years ago. And Croatian society, I hope it evalouirated. And we will today right through this debate and through the vote to show if it really is. Therefore, I invite you to raise standards in Croatia. Let's not put them down, especially if we don't go back to the way we were.
ParlaMint-HR_2017-02-09-0.u30562	The last replica to be given to counterpart Bernardic is distinguished counterpart Nenad Stazic.
ParlaMint-HR_2017-02-09-0.u30563	A colleague, Bernardic, is primarily a question of credibility, and this is no longer the credibility of Minister Barisic, because he lost his credibility the moment he failed to resign, and the plagiarism was discovered. Not even Prime Minister Plenkovic, because he lost his credibility when he didn't replace him. You know, when Prime Minister Oreshkovic appointed Mr. Hasanbegovic as minister, I warned him then don't do that or you'll put that disgraceful Ustasha hat on your head. He wouldn't listen to me. Oreskovic is not prime minister today, Hasanbegovic is not minister. What's this about? About the same thing. counterpart Bernardic, if Prime Minister Barisic is not relieved, Barisic's sin falls on his head and it will take a long time. He'll be a stone around your neck for the entire term. There will be no day to mention that you are protecting the plagiarizer and plagiarists. And there's probably not gonna be a day when that paper won't write to you. But this is about the credibility of our MPs who will vote on this. We'll probably propose an individual vote. First of all, you've already said once that you'll be correct to HDZ. You've already stopped the HDZ from setting up one plagiarizer for the minister. This is about your credibility, what you say every day here in Parliament that you're a bridge, that you're not just a political party like others, that you're here to solidify your morale, to fix your policy. This will be about the credibility of each of you by name and last name whether you will protect plagiarizers and plagiarists or not.
ParlaMint-HR_2017-02-09-0.u30564	Thank you. Replication response.
ParlaMint-HR_2017-02-09-0.u30565	Thank you, fellow Stazic. This is all you said when you warned on time about certain problems is something that the system in our country should function. And I see this message of yours and ours together as no rebuke, but I see just as an opportunity for this government to be better and more successful, an opportunity for the Prime Minister to be more successful, an opportunity for Mr. Minister not to be burdened and relieved. And with a feather move, you can break this agony and make it easier for the country to be better, to set more standards, to make it easier for yourself, but make it easier for me and our fellow minister.
ParlaMint-HR_2017-02-09-0.u30566	Now we move on to the replicas of the esteemed colleague Vrdoljak. First responds representative Kresho Beljak. Here you go.
ParlaMint-HR_2017-02-09-0.u30567	Thank you very much, Vice President. I'd like to replicate an esteemed colleague of Vrdoljak with one hypothesis or hypothetical question. Let's assume that at this point the Prime Minister of the Republic of Croatia, Mr Davor Bernardić, suppose Mr Ivan Vrdoljak is the Minister of Science and Education, assume that the President of the Republic of Croatia Mr. Anka Mrak Taritaš is speaking daily about the national consensus on certain matters, as he speaks about the standards of certain things, as he speaks about the future of Croatian youth or the necessity of consensus on the education system, around Croatia as it will look in 20 years. Suppose Prime Minister Davor Bernardic daily invites the people to unity, invites the nation to unity, invites political parties to consensus on these particulars, so not all but on these certain things, which may be the most important thing or the most important resort is education and science. I ask you, Mr. Vrdoljak, that you, the minister who caused the division, were guilty or not guilty because the question of plagiarism or plagiarism is no longer asked. The Croatian public is divided, the political parties are divided, the academic community is divided, all divided, would you be a gentleman and what you would do if the entire Croatian Parliament and the entire Croatian public were broken around you and about your possible plagiarism or not. Thank you very much.
ParlaMint-HR_2017-02-09-0.u30568	My colleague, Vrdoljak, I ask you to raise the board next time because there are rules.
