ParlaMint-NL_2016-11-08-tweedekamer-37.u1	Let's move on to the debate. All Members are very welcome to follow the debate.
ParlaMint-NL_2016-11-08-tweedekamer-37.u42	That's obvious. Let's take a look ahead. Looking back is nice, but you should never do that too long. We now have the letter and the forthcoming summit in Europe. I believe that the Prime Minister will return on 16 December. That is also the last moment that the cabinet can come up with something. Did I get that correctly? Isn't there another round, even though we're almost there? I don't want to.
ParlaMint-NL_2016-11-08-tweedekamer-37.u43	No one really wants that. Not you, not the Chamber, not us, nor the European colleagues. Everything is aimed at reaching conclusions at that European Council.
ParlaMint-NL_2016-11-08-tweedekamer-37.u44	I know the area a little bit. The irony of the Prime Minister's commitment is that tonight in the Kremlin, as far as they are paying attention and not dealing with America, the champagne will be uncorked and the vodka will be caught. There's an email to Vladimir Putin: it's even more beautiful than we thought. There will be no military cooperation, the Ukrainians cannot enter Europe, there will be no money and fill in. The Prime Minister says: we are doing this to Russia. You're helping the Ukrainians out of the rain in the drip. You're going to add all kinds of things that the Ukrainians might have hoped for. You're putting them even more into the hands of the Russians, because they can't do anything anymore, and you won't be able to help them. The whole debate is not about that, but what you are talking about is that you are even more lagging behind the Ukrainians. This is exactly what the Russians want: lock them up and let them go nowhere.
ParlaMint-NL_2016-11-08-tweedekamer-37.u45	On this point, Mr Monasch is opposed to Mr Buma, who claimed exactly the opposite. I agree with Mr Buma. We are not adding anything to the treaty. We make it clear what the treaty is about and not what it is about. That is necessary because there has been an enormous amount of noise. If you are not careful, it also threatens to become part of the history of law and at some point get its own reality. What we are doing with the legally binding declaration is 'boiling back' to what it is all about. It is a treaty on the fight against corruption, economic cooperation, supporting Ukraine in strengthening the rule of law and democracy and all related matters. We do so because we have an interest in stability at the borders of Europe. Everything that has been said about it by important European leaders in recent years and is causing confusion, all these things, we are bringing back into the legally binding declaration to what it really is. That is what we are striving for. That does not change the treaty. We don't. No, we are making sure that we are legally binding on what the treaty is about and not about. This is very important in order to avoid any misunderstanding in the future, including the interpretation of the Treaty. That is why it must also be legally binding. In this respect, Mr Buma was right and Mr Monasch was completely wrong.
ParlaMint-NL_2016-11-08-tweedekamer-37.u46	You can only say that if you had addressed the arguments first. But you started with a passionate plea why it was so good for the sake of world peace, for the sake of Syria and for the sake of other countries to do so against Russia. But all the conditions you add are conditions in favour of Russia. Because the Ukrainians are now locked up by your terms. Don't come up with what we're bringing back the treaty to. You say that this is necessary to counter Russia's threat. But all you're doing is pushing Ukraine into the hands of the Russians with those conditions even more.
ParlaMint-NL_2016-11-08-tweedekamer-37.u47	No, Mr. Chairman, this doesn't make any sense at all. We're not gonna change the treaty. We are going to ensure that there can be no misunderstandings and that this is also legally binding. Because there are a lot of misunderstandings. You can say anything about that, but that is the essence of what we want to achieve. Mr Monasch then says: yes, but the things that you make clear that the treaty is not about it, with a legally binding definition of what it is about, are all things that Ukraine might want. Could be, I don't know. I'm not about Ukrainian ambitions. But they'll be outside this treaty. So this treaty itself is not about it. Why is it so important now that this treaty does not go away? That is, of course, because of what is in the Treaty. The treaty is indeed about a lot of things; I have just mentioned them. It is also important because the Treaty is an important symbol in itself. It is a symbol of a Europe which, with several countries in the Eastern Partnership, is of course particularly important to Ukraine, because of its enormous size and geopolitical and strategic location, is working on stability in those countries, strengthening the rule of law and strengthening democracy and thus combating instability. We are making it more difficult for a country such as Russia to mess around and weaken such a country. That is exactly why I started my speech. If the neighbors of your neighbors invade people and you don't do anything about it, if they invade your neighbors and you don't do anything about it, if the whole street is about lawlessness, where a normal way of dealing with people is called into question, you shouldn't look crazy when you're threatened at some point yourself. So, as a Europe, you have to make one fist, stand strong and stand strong against Russia. The withdrawal of the association agreement weakens our position.
ParlaMint-NL_2016-11-08-tweedekamer-37.u48	Finally, Mr Monasch. You all have a second term, too.
ParlaMint-NL_2016-11-08-tweedekamer-37.u49	That is not true if you withdraw it and then come forward with a new proposal. Then you just stick to the referendum bill. The point is that the Prime Minister starts his speech here after a trade treaty suddenly was something that threatens world peace... with the claim that we must act against Russia. All he does is push the Ukrainians even more into Russia's hands. They can't come here, they don't get any money, and there's no military cooperation. If you take that threat so seriously, you have to keep all these things intact, but what does the Prime Minister do? Because he was flogged back by Mrs Merkel in Brussels, he suddenly comes up with very different arguments. It can't be. You have to be consistent, because the arguments put forward by the Prime Minister are arguments which put Putin out very well.
ParlaMint-NL_2016-11-08-tweedekamer-37.u50	This is in danger of becoming a repeat of moves.
ParlaMint-NL_2016-11-08-tweedekamer-37.u51	Yeah, I was just about to say that.
ParlaMint-NL_2016-11-08-tweedekamer-37.u52	I had exactly the same questions in the second round of this interruption. I answered it then. I'd give the same answer now, but maybe I shouldn't, because then we're repeating ourselves.
ParlaMint-NL_2016-11-08-tweedekamer-37.u53	I don't think that's a good idea. I thank the Prime Minister for his answers. We now move on to the second term of office. Speaking time is 1 minute and 20 seconds, one third of the time in the first term, including tabling motions. Mr Bontes has waived his speaking time.
ParlaMint-NL_2016-11-08-tweedekamer-37.u54	Mr. Chairman. I would like to ask the question that I wanted to ask in the event of an interruption, but only now in the second term, as you wish. The Prime Minister just said literally: we are not going to change that treaty; we are going to add a legal statement to the treaty. That is, of course, the problem. So that legal statement is a sweetener, an empty shell. I'd like to get a response to that. The Prime Minister literally said we're not going to change the treaty. Listening to the Prime Minister, I get a déjà vu. This reminds me of the referendum in 2005. Even then, we heard threats. It would be war if that constitution didn't come. None of that happened. It was shameless blackmail. Today, the Prime Minister is doing exactly the same thing, while it is only one thing: respect the outcome and get that treaty off the table. To that end, I have the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to implement Article 11 of the Advisory referendum Act and to immediately submit a repeal law on the approval of the EU-Ukraine Association Treaty,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Jasper van Dijk and Mr Thieme. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1165]]
ParlaMint-NL_2016-11-08-tweedekamer-37.u55	Mr. Chairman. I thank the Prime Minister for his input. He put it this evening as follows: it would do many great things if we now threw the treaty in the trash. But he also said: you shouldn't be in this business all the pressure to keep your job, so busy that you can't do your job anymore. In doing so, he summarized the core of what we need to do here, embedded in the task of a representative of the people. We must do something to combine the results with our national interest. As representatives of the people, we combine the will of the people with the national interest. We ask the question what is best for the Netherlands, or as I have often said during this campaign: as a politician, you put your ear to listen, but do not necessarily leave it hanging. The challenge for this cabinet is to do something with that result, so that it does justice to the outcome, but also to our interests, stability, security and prosperity. In this light, I would like to encourage the cabinet to continue its efforts and to do everything possible to get something out of that outcome that does justice to the concerns, to the fear that this agreement would be a stepping stone to Ukraine's EU membership, that the agreement would require the Netherlands to cooperate in military matters, that this agreement would provide a bag of money and that we would import a stream of workers or corruption with this agreement. The commitment must be a result of negotiation that meets the concerns that we have heard everywhere. It is clear that that is the direction of the government. We support them.
ParlaMint-NL_2016-11-08-tweedekamer-37.u56	Mr. Chairman. It is not up to the Prime Minister to interpret what it means no. There are too many reasons for this. The "no" means only one thing, namely to table a repeal law in order to be able to withdraw the Association Treaty. We have co-signed the motion of the SP, because we want this cabinet to come forward with a repeal proposal as soon as possible.
ParlaMint-NL_2016-11-08-tweedekamer-37.u57	Mr. Chairman. Putting the Dutch interest at the centre, I hear the Prime Minister say. Apparently, the Prime Minister knows what that is: it's his interpretation. That is how the Prime Minister is dealing with the electorate's ruling. Actually, he says the voter doesn't get it. In doing so, the Prime Minister cancels the democratic contract with the citizen to honour his contract with the EU, with Brussels, with European Commissioners without a democratic mandate. He determines what the Dutch interest is, against the will and against the healthy insight of the electorate. 'Cause the voter's not stupid. He is well aware of his importance, and that is not a treaty with Ukraine. The voter is always right. The Minister is undermining this law. He declares the voter to be an immaculate, ill-informed asshole people and calls that leadership. He declared the electorate silly and naive when it came to geopolitical relations in connection with a treaty that was first a trade treaty when the Prime Minister thought he could bring in ratification by reducing the treaty. Now that that doesn't work, he's trying to talk about the war and peace bay. The EU must not blink to the Russian bear. The Prime Minister does not blink at the electorate and the Chamber. He looks his own citizens unbroken in the eyes and says: you don't understand, you don't even understand your own interests; I think for you and now stop whining. The Prime Minister has therefore terminated the contract. That has a name, two names even: arrogance and opportunism. If this trajectory does not result in a repeal law, then this episode will remain attached to this cabinet for a very long time, but also to this Prime Minister and his party, the VVD. This is damaging to him and his party, but especially very damaging to the political process, which many citizens will be disappointed to avoid. That's very bad.
ParlaMint-NL_2016-11-08-tweedekamer-37.u58	Mr. Chairman. It is clear that tonight, as it were, it is a choice between headache and abdominal pain: doing what is most sensible with fresh reluctance. I also called it "crunching teeth." However, D66 still wants to deal responsibly with the situation that has arisen in the last seven months after the referendum. We have thought carefully about this. We need a serious answer to the no vote. That serious answer must respond to all the objections that I have heard repeatedly, every day, every evening, day in, day out in the campaign in all those rooms. In any case, the cabinet indicated in the letter that it would like to try. We want to give it this opportunity, as I said in the first term, but again, not heartily after the way it all happened. Finally, I have a motion for a resolution. Since the Prime Minister himself started the bombings, I repeat a motion that I tabled two weeks ago. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that Russia in the UN Security Council recently vetoed a resolution calling for the cessation of bombing of Aleppo in Syria and a ceasefire to enable humanitarian aid;]] [[whereas European unity is the best response to Russian foreign policy leading to destabilisation of Europe's borders;]] [[Whereas this is not only about Crimea and Eastern Ukraine but also about Syria and the hundreds of thousands of innocent civilians trapped in Aleppo;]] [[calls on the Government to commit itself to additional sanctions on behalf of the European Union on Russia,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Verhoeven and Mr Sjoerdsma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1166]]
ParlaMint-NL_2016-11-08-tweedekamer-37.u59	Mr. Chairman. I would like to thank the Prime Minister for his reply. I said in my first term that the automatic monitoring of the outcome of an advisory referendum does not meet the responsibility of government and parliament. The government is right to say that. That is why the government always has the right to indicate the interests involved in this treaty. The Prime Minister has put that on a heavy footing. For the sake of balance, I would also like to highlight the other side of the coin. If the government ignores the outcome of the referendum, it can also seriously damage the citizens' confidence. It is not so much a burden of misunderstandings about the Treaty, something which should be repaired by tutoring or package leaflets, but it is above all a burden of distrust towards a Europe that has been constantly deepened, and a Europe that does not have enough message of acceptance, especially among the national population. That mistrust is on good grounds. I hope that the cabinet will also be very keen to keep that side of the coin in mind. We will undoubtedly discuss this with each other.
ParlaMint-NL_2016-11-08-tweedekamer-37.u60	Mr. Chairman. At the end of whatever comes out of this process, the Netherlands will not feel that democracy has come closer or that decision-making in the country has become clearer. I think that in the end people will only be more cynical about the way in which the House of Representatives and the government operate. That goes for the collective. I would like to say the following about the debate we are having today, also in the direction of the Prime Minister. It seems that today we were debating why the treaty with Ukraine is so good. I can also have that debate, because that treaty is indeed good. But something happened: I told you. A referendum was held. With our eyes open, we stepped into it. It also happened in front of the Prime Minister. That's what changed it and what makes it different. All the arguments I hear now should have been weighed at that time. Whether it was fun or not, it should have just been said at the time: this referendum may be advisory, but beware, we cannot do this for some reason. Now the cabinet will continue to negotiate in Brussels. That's up to the cabinet. After all, a cabinet is allowed to negotiate. I say this, which makes me so critical of the content of this negotiation. It is said that there is no money from this treaty. No, but do we honestly tell them that EUR 11 billion is going to Ukraine? That is not from the Treaty, but such a sum goes to Ukraine. That's not told. It is said that security guarantees are not provided by the Convention. No, of course not, because that is not what the European Union is about. That's what NATO's about. Article 5 of NATO does not apply, because Ukraine is not a member of NATO. That is the second point. The third point is that it is said that the Treaty does not result in EU membership. That is true, but under Article 49, Ukraine will be able to apply for membership tomorrow. We're probably not gonna do that, but none of this has anything to do with the treaty. That is why I am so critical of negotiating for something that comes with the Treaty when that is not the answer. The cabinet can do that: that is up to the cabinet. But it is not an answer to the outcome of the referendum. My final point is this. Then I'll stop, so don't be afraid, Mr. Chairman. I find it truly unprecedented that the Prime Minister, after all this, says: you also understand that the referendum law is going ahead. No, I don't understand! I also think it is totally irresponsible, given the mess this referendum has already brought on Ukraine.
ParlaMint-NL_2016-11-08-tweedekamer-37.u61	I didn't see the CDA during the campaign. Three points are always mentioned: military cooperation, membership and the money that would go to Ukraine. It seems to me that Mr Buma is now making a link between the association agreement, which does not contain any of these three points, and that it could all be done. Is Mr Buma now of the opinion that the three things he mentioned today all stem from the association agreement, or is he not? I would like to be clear about this, because in this way he really scares the people again of something that could have been made clear in the debate a year ago.
ParlaMint-NL_2016-11-08-tweedekamer-37.u62	Those are at least relatively big words at the end of this debate. They deserve an answer. What I say is that all of these three things, namely money, security guarantees and membership, are not in the Treaty. So it's weird when we say to the Netherlands: we've brought in something; it's not happening. No, it didn't happen already. Then it just turns out something else, and I think that's gonna make people even more cynical. I'm serious. 'Cause what turns out to be? There's definitely money going to Ukraine. Not by this treaty. There's going to be 11 billion. Only the treaty doesn't do anything about it. So it doesn't help or it doesn't get any less. But let's face it. It is good and it has to be, because this country needs to be helped to make it more democratic and safe. But it's not about this treaty. That's my point. Membership of the European Union? The CDA is very opposed to that. The cabinet is against it. You're against it. We're not gonna let that happen. It's not gonna happen. So that whole statement just has nothing to do with me, because it wasn't in the treaty. Security guarantees? It had to be added that the European Union was going to provide security guarantees. The European Union does not even have an army. No, that's what NATO does. In itself, others have said that too. I do not think military cooperation is so crazy at all. We are now being said very loudly: we are not doing that. I'm sorry to hear that. So your point is correct, it wasn't in the treaty, but we have to be precise. Let us not say: do not be afraid, there is no money going through this treaty to Ukraine. There are other ways of getting money to Ukraine. Let's not fool the people either.
ParlaMint-NL_2016-11-08-tweedekamer-37.u63	Finally.
ParlaMint-NL_2016-11-08-tweedekamer-37.u64	Mr Buma makes it very clear that both membership and military cooperation and the funds that go to Ukraine are not the result of the Ukraine Treaty. However, he is very angry that the cabinet is going to try to make it clear that these matters do not arise from the Ukraine Treaty. I don't get it anymore.
ParlaMint-NL_2016-11-08-tweedekamer-37.u65	Then you are very different from what you yourself said in the campaign. It's okay, but I think it's very special. A referendum is not a motivated question why you are for or against. We can interpret, but I also spoke to people at the time, and perhaps others who were just very angry with us and therefore voted against. I don't think that's a good argument, but yes, it was a referendum, so it's okay. No justification is required. You can't read the reasons. We can try, but I think it's unwise. Again, why do I think people get cynical? They see that eventually money goes to Ukraine. Then they say, "Yes, but the government said it wouldn't happen." Then we say: no, that was not because of the treaty, it happened in a different way. That is inexplicable and unwise. The cabinet's moving on. I don't think that's helping. Anyway, we'll see what the cabinet comes back with. I'm serious.
ParlaMint-NL_2016-11-08-tweedekamer-37.u66	I just saw a plea from the Prime Minister to the CDA. He would very much like you to join him in his search for support for the treaty. But the CDA has been clear from day one, hasn't it?
ParlaMint-NL_2016-11-08-tweedekamer-37.u67	Yes.
ParlaMint-NL_2016-11-08-tweedekamer-37.u68	"No is no, we do not agree with the treaty. Submit the repeal law now."
ParlaMint-NL_2016-11-08-tweedekamer-37.u69	My group has supported Mr Van Bommel's motion, along with a lot of others here. I'm still holding on to that.
ParlaMint-NL_2016-11-08-tweedekamer-37.u70	Finally, Mr Van Dijk.
ParlaMint-NL_2016-11-08-tweedekamer-37.u71	Then why do you write in a newsletter to your members: "The CDA will wait and see how the cabinet in Brussels continues"? No isn't it, according to the CDA?
ParlaMint-NL_2016-11-08-tweedekamer-37.u72	Yes. But I really need your help. What's wrong with that? 'Cause, of course, I'm just waiting to see what the cabinet's gonna do. That makes sense, doesn't it? That's what I'm saying here. Only I was just explaining that what the cabinet is doing now, I don't think it responds to the question people had. By the way, it is good that Mr Van Dijk reads the CDA letter. That could be a double membership, but I don't know.
ParlaMint-NL_2016-11-08-tweedekamer-37.u73	I thought you'd say that.
ParlaMint-NL_2016-11-08-tweedekamer-37.u74	I'm serious. I think Mr Van der Staaij just said the same thing. It's up to a cabinet to negotiate, but don't ask me to give it up.
ParlaMint-NL_2016-11-08-tweedekamer-37.u75	"The CDA will wait and see how the cabinet continues in Brussels, but with an 'inlay sheet' to the treaty, the voter's confidence has not been regained." With this, Mr Buma is opening the door. So if the Prime Minister comes up with something more than an "inlege sheet," Mr Buma suggests in his newsletter, then the CDA can agree. Isn't that quite different from the fact that in April he said "no is no"?
ParlaMint-NL_2016-11-08-tweedekamer-37.u76	I really like it, but I wrote that text myself. The author of that text is the same person that's standing here with the same brain, and that means what I just said. I still think it is a beautiful text, and I still find it strange for the Chamber to say: Cabinet, don't go to Brussels anymore. If the Prime Minister wants to do that, he has to do it. But again, don't ask for applause, because I don't see how it's going to take away cynicism. And don't forget, we're all dealing with this deeper problem.
ParlaMint-NL_2016-11-08-tweedekamer-37.u77	That cynicism which Mr Buma touched and which he also wrote in his letter of Members is part of this debate. Mr Buma and I are both opposed to referenda. We're both against this drug. And what do I see Mr Buma doing now? He makes that tool which is clearly "advising" with cow letters, something that is binding and thus dismisses the entire Chamber from the obligation to do its job. So he's worsening the ailment. I don't understand that very well. Can he explain that to me?
ParlaMint-NL_2016-11-08-tweedekamer-37.u78	I'd be happy to. I did the same in the first term. What's the point with that word "advising"? It's not about advice. That is why a "consultative referendum" is also a goddess. Other consultative referendums are not seen by the public as advisory either. If the population does what politics wanted in advance, then it is implemented and if the population does not do what politics wants, then it is not implemented. That is what we mean by "consultative"; that is not possible. Advice means asking for an opinion, but not asking for an opinion. After all, the question is: are you for or against the Ukraine Treaty? I know what these people are thinking. They're thinking, "We're finally gonna get to talk." That's the mistake we all made here. We've all been there. We're all in on that. There's one thing I'm saying: we have to get out of there. The Prime Minister's not gonna do it, you're not gonna do it, because you're just gonna do it for six months, and it has to stop. As I have just said, we are going to have more referendums that are going to happen, and then we are all going to be standing here and wondering what happened again. Then we all look back at the CDA and the Prime Minister begs me again: Buma, come save me! I'm okay with it, but saving it starts with the cabinet taking responsibility for it and stopping it. It is a representative democracy or not. If it's not a representative democracy, you're giving up the choices. That impression may have been given to the people. The only thing that is then said is: yes, but that was not the intention. I just don't think that's possible.
ParlaMint-NL_2016-11-08-tweedekamer-37.u79	The reality is that we have lost that debate here in this Chamber. This has resulted in a law for an advisory referendum, and you are implementing that law or not. In this case, I do not quite understand that representatives of the representative democracy are Mr Buma and myself, who do not come to the conclusion that there is still a role for Parliament to do something with that advice that weighs the national interest against other interests and that you have also tried to weigh up what you have heard from all those voters who have shown up. I was there with Mr Verhoeven. I've heard those people and I've tried to translate them. I do not see Mr Buma doing that.
ParlaMint-NL_2016-11-08-tweedekamer-37.u80	But this isn't a translation, is it? I'm serious about that, and that's why I'm so hard on it. This is not a translation; that is to say: Sign. When the Prime Minister says 'this is a matter of national importance', it is of course very strange that he then goes to Brussels with the message: if we do not bring it in, we are against it. What does Brussels think? He has just said in his own country "this is a national interest, so sign," so the man is going to sign and if he doesn't, he eventually contradicts himself again, because then the national interest was not big enough. How can you clamp yourself like that? I think that's incredible; I'm serious about that. The Prime Minister has put himself completely on hold and he is now coming to Buma and saying: come and save us! No, I see that a referendum was held; that was real and that was not good. I ask the Prime Minister one thing: do not do that again. And what's he saying? He says, "You know I'm not gonna stop that, of course." Again, I don't understand.
ParlaMint-NL_2016-11-08-tweedekamer-37.u81	Mr. Chairman. I would like to thank the Prime Minister for his first-term response. I have already said it, and I would like to repeat it: the PvdA wants to give the cabinet room now to give a place to the main objections of the no-vote. It remains that it is important that we have a good relationship with Ukraine and that this agreement, this association agreement, can contribute to that. It is a trade treaty, but it is also a treaty that contributes to stability in the region and to improving human rights and democracy in Ukraine. It also states that the result of the referendum was as it was and that we want to respect it. It is a tough and frustrating process; we have seen this in today's debate, but we expect the Prime Minister and the Cabinet to give us a conclusion on this for the European Council on 15 and 16 November.
ParlaMint-NL_2016-11-08-tweedekamer-37.u82	Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Noting that the government did not give a clear answer to the Pechtold and Others motion. (34550-13);]] [[considers that action should be taken on the advisory outcome expressed by a large majority of voters, namely the rejection of the EU-Ukraine Association Treaty;]] [[Calls on the Government to implement Article 11 of the Advisory referendum Act and to submit before 1 December 2016 a repeal law on the approval of the EU-Ukraine Association Treaty,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Klein. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1167]]
ParlaMint-NL_2016-11-08-tweedekamer-37.u83	Mr. Chairman. Mr Van der Staaij repeated the feeling among many people of a pervasive Europe. I agree with him; we have also discussed this in the first term. I do think that we should also keep an eye on that side of the matter. It is the intention of me and the cabinet to include this aspect in the discussion that we will have in the Chamber, even when we talk about 60 years of the Treaty of Rome and the Bratislava process, which comes from the Brexireféendum. In recent years too, the cabinet has been focusing on this: a Europe that goes back to its core tasks, namely a strong market, security, external borders and migration, and does not deal with all kinds of other issues. I would therefore like to make a commitment to Mr Van der Staaij that we shall be discussing this in much more detail as far as I am concerned and that we will also include this aspect separately. At the same time, I appeal to Mr Van der Staaij not to make that point in relation to this referendum, because in my opinion, for all the reasons I mentioned in the first term, we do not serve the Dutch interest. I therefore agree with his argument. I'm just asking him not to make that point by being against this now. So my request is actually to consider that. Actually, I have the same request to the CDA. Mr Buma has not so much the point of a pervasive Europe as the general point of 'no is no', the democratic argument. I get that. At the same time, in the first period, I outlined the urgent reasons I see for trying to honour the no as well as possible. I think that is more than what Mr Buma said here, but that will be evident when we come back from Brussels; I think that is more than as small as Mr Buma is now making it, and at the same time keeping an eye on the European interest. On sanctions against Russia, a motion has been tabled by D66. So I'm gonna go into that later, if that's okay. Mrs Thieme asked me to base the interpretation of the results. Of course, that's always vulnerable. I have often said that this was the most pressing point in the debate in Nieuwsuur between Diederik Samsom of the Labour Party and Emile Roemer of the Socialist Party and in all the points mentioned. But I'm not the only one. I mentioned what Bart Nijman and Thierry Baudet said about this after the referendum. There's no automatism that should be no. Anyway, I put that forward in the first term. Now I come to the three motions. I'm deceiving the motion in part No. 1165. We enforce the law. The motion seems to suggest something else. We will come as soon as possible with either a confirmation or a withdrawal law. The motion in part No. 1166 by Mr Verhoeven and Mr Sjoerdsma are about sanctions against Russia. I'll leave that judgment to the Chamber. We very much share the indignation about what Russia is doing in Syria. That also requires an answer. At the same time, we must also note that there is currently no shared picture in Europe of the use of additional sanctions. I agree with the authors, but our first priority must now be to maintain sanctions linked to the events in Crimea and Eastern Ukraine. With that remark, I would like to leave the opinion on the motion to the House. With the content, with the direction, the cabinet simply agrees. I would point out, however, that this is very difficult in Europe. This proved to be the case at the last European Council. We must not break European unity. It is very important, also on this point. The motion in part No. 1167 with the same arguments as those with which I dissuade the first motion. I believe I have answered all the questions.
ParlaMint-NL_2016-11-08-tweedekamer-37.u84	I asked the following question. Does the Prime Minister share my view that he has said: we are not going to change the treaty, we are only going to use a legal statement as an addition to the treaty?
ParlaMint-NL_2016-11-08-tweedekamer-37.u85	As indicated in the letter, we are committed to a legally binding declaration. We are not focusing on changing the text of the Treaty, but on a legally binding declaration. That is important, because it can become part of the history of the law and with that any misunderstanding is gone. That statement is therefore part of the drafting of the Treaty. This gives a compelling context to the Treaty at the time of ratification by the European Union. Judges must also take this into account when interpreting Community law and the association agreement in particular. So that statement has a lot of meaning. It also ensures that all kinds of misunderstandings that have arisen are removed, not in our campaign, but in everything that has been said about it outside the Netherlands and by all kinds of others, and that uncertainties in coherence are removed within the Treaty. That is different from what Mr Monasch said, namely: you restrict the treaty with it. No, we are legally binding on what it is and what it is not about.
ParlaMint-NL_2016-11-08-tweedekamer-37.u86	It was already clear to me that the treaty had to go into the trash can. The Prime Minister doesn't want to do that. He bets on a legally binding statement. He acknowledges that the treaty itself is not being changed. That makes me see that that's an empty shell casing.
ParlaMint-NL_2016-11-08-tweedekamer-37.u87	That's just not true. That's just bullshit. But that's what we describe in the letter.
ParlaMint-NL_2016-11-08-tweedekamer-37.u88	Has there been a question left, Mr Ten Broeke?
ParlaMint-NL_2016-11-08-tweedekamer-37.u89	Yes. I have another question about the second motion, the Verhoeven and Sjoerdsma motion on sanctions. The Prime Minister actually says he likes it. At the same time, he pointed out that he did not see any one-two-three aid being granted.
ParlaMint-NL_2016-11-08-tweedekamer-37.u90	No.
ParlaMint-NL_2016-11-08-tweedekamer-37.u91	Now I have the following difficulty. I think everyone likes that motion. The big question, however, is whether there will not be the same thing on this subject: if the Netherlands is going to argue on its own for something that is not going to happen, then you can only show once again that the European Union cannot agree on this. So it is sympathetic, but failure may be just as harmful. I think that was the answer we heard last time.
ParlaMint-NL_2016-11-08-tweedekamer-37.u92	Yeah, that's true. I like the motion because you'd like it. However, there is also a risk. I do not think that risk is as great as the rejection of the association agreement. Nor should we exaggerate if this does not happen immediately. It is also a step-by-step approach. But the fact is that the realization of A28 will not succeed in the short term. The most important thing now is to maintain the unity there is with regard to the sanctions associated with the occupation of Crimea and the interference with Eastern Ukraine. The good news is that the noise you have heard here and there is that we may have to loosen the sanctions a little bit, is actually gone and that everyone says: no, we have to maintain the sanctions. That's the good news. However, the creation of a new set of sanctions consistent with what is currently happening in Syria, which is being called for in the motion, does not appear to me, either, to be one-two-three. That's also kind of the dilemma I'm having. Perhaps that is a reason for Mr Ten Broeke and Mr Verhoeve to look at this together. Maybe there's something lyrical to come up with. I could just imagine that.
ParlaMint-NL_2016-11-08-tweedekamer-37.u93	We can do it till Tuesday.
ParlaMint-NL_2016-11-08-tweedekamer-37.u94	We can do that until the vote. Perhaps both groups could take a look at it together.
ParlaMint-NL_2016-11-08-tweedekamer-37.u95	The Prime Minister said earlier on a similar motion: it is really not going to work in Europe, and that is why I am not advising her. Now he's taking a different approach. Does this mean that suddenly there is more chance that this will be achieved in Europe?
ParlaMint-NL_2016-11-08-tweedekamer-37.u96	It's a dime on its side if you look at the way of advising. It is not a dime on its side if you look at the situation in Europe. I don't see it one-two-three happening. That has not changed; Mr Van der Staaij is right. But then you come to the advice. I think we are all, or at least a lot here, sympathetic to such a movement. Every time I say no, it leads to the accusation, which I understand very well, that the government is apparently against it. This was said here and there in the first term. That's not true, but I want to prevent you from fighting for something that then harms the image of unity. This cannot be compared with the rejection of the association agreement, which is of a much greater order than a failure to debate additional sanctions. But it's not helping. When you look at the words, I think it should be possible to solve that textually.
ParlaMint-NL_2016-11-08-tweedekamer-37.u97	We have come to the end of this debate. I would like to thank the Prime Minister and his officials for the answers. I would also like to thank the Members of Parliament, the people in the public gallery and the people who have followed this debate through another medium.
ParlaMint-NL_2016-11-08-tweedekamer-37.u98	We will vote next Tuesday on the motions tabled.
