ParlaMint-NL_2016-06-14-tweedekamer-24.u1	Six speakers have spoken on the side of the Chamber. First of all, Mr Omtzigt has the floor.
ParlaMint-NL_2016-06-14-tweedekamer-24.u24	Those are special congregations.
ParlaMint-NL_2016-06-14-tweedekamer-24.u25	It is true that they have their own tax legislation.
ParlaMint-NL_2016-06-14-tweedekamer-24.u26	They do indeed have their own tax legislation. Fantastic! Then we have fiscally seen four Dutch. I'm gonna have to think about that.
ParlaMint-NL_2016-06-14-tweedekamer-24.u27	There are five tax Netherlands.
ParlaMint-NL_2016-06-14-tweedekamer-24.u28	I do not understand why Mr Omtzigt laughs in this debate only when he has bad news to report.
ParlaMint-NL_2016-06-14-tweedekamer-24.u29	The number of tax areas is exploding, so it is indeed difficult to keep track. However, I am still waiting for the answer. What parts of the Kingdom of the Netherlands, which the President has just given a comprehensive list of, have a tax treaty with the US, at least to some extent preventing such problems from occurring?
ParlaMint-NL_2016-06-14-tweedekamer-24.u30	I merely have something to say about the possibility that each country of the Kingdom may make individual agreements. Sint-Maarten wants that too in the long run, but Aruba is not considering doing so, but that is not entirely the answer to the question.
ParlaMint-NL_2016-06-14-tweedekamer-24.u31	No, that's not the answer that reassures me. Curaçao was part of the Netherlands. Then Curaçao hitched a ride on the tax treaty between the Netherlands and the United States. For about a year we have a tax regime between the Netherlands and Curaçao. That is a kind of tax treaty between two countries within the Kingdom. This means that Curaçao no longer has a tax treaty with the United States. Add that the FATCA rules are introduced. Moreover, we do not know how many people have a green card or American nationality. So you don't know anything, but you know one thing for sure: it's going to miss out on a lot of people. What preparations has the Netherlands made? The banks have been informed, but not the citizens. What risks do these citizens face and how do they know that they are at risk?
ParlaMint-NL_2016-06-14-tweedekamer-24.u32	Is this question now about the Netherlands or one of the other countries within the Kingdom?
ParlaMint-NL_2016-06-14-tweedekamer-24.u33	This is about Curaçao. It is good that the Secretary of State asks this question. Curaçao has no tax treaty with the United States. The Secretary of State does not know how many people on Curaçao have a green card, or American nationality.
ParlaMint-NL_2016-06-14-tweedekamer-24.u34	That's right.
ParlaMint-NL_2016-06-14-tweedekamer-24.u35	We do not know what taxes are now accepted by one country or another. So we do not know anything, but we know one thing for sure: a category of a few thousand people in Curaçao is in terrible trouble because of this FATCA legislation in the United States, but not because of Dutch legislation. What has the Dutch Government done to ensure that these residents of the Kingdom of the Netherlands do not end up in a Catch 22 situation where they cannot move?
ParlaMint-NL_2016-06-14-tweedekamer-24.u36	I just reported that the first battle of communication has been struck. That was done by the government in Curaçao. It has done so in all kinds of ways and people have pointed out that this is happening. I mentioned a campaign, a letter and actions by financial institutions. I have just promised Mr Van Dijck that he will make sure that there are recognizable red flags for the Netherlands, so that everyone knows where he is in that zone, but to do the same for Curaçao is really up to Curaçao. It is not up to me and it would be extremely awkward, on behalf of the Curaçao Government, to tell the people of Curaçao where they might be at risk in relation to American legislation. That is the responsibility of the Curaçao Government, which has provided appropriate information on this matter, in order to announce that this American legislation will be enforced in this way. I have little on offer in terms of additional information campaigns on Curaçao.
ParlaMint-NL_2016-06-14-tweedekamer-24.u37	Will the Netherlands hang out with Curaçao to ensure that Curaçao can ride along with relevant countries on the conclusion of tax treaties? This does not need to be done with Ghana, but cooperation with Venezuela, the United States, the Netherlands, France, especially for Saint Martin, of course, would be useful for an important country, so that there is a tax treaty with the most relevant countries. I can imagine that the countries concerned would not be able or should not be able to set up an entire department within their Ministry of Finance.
ParlaMint-NL_2016-06-14-tweedekamer-24.u38	I have regular contact with the Minister of Finance of Curaçao in order to provide support and knowledge development in a variety of areas. Those are very pleasant conversations. I do not know whether it is specific in the area of treaties, but there is an open dialogue that allows for all kinds of help and information exchange. I do not know whether the Curaçao government has any difficulty in concluding treaties at all, but we are now very far from the debate. I stand here on behalf of the Foreign Minister, who talks about FATCA on behalf of the Curaçao Finance Minister. But the question is about the ability of the Curaçao government to conclude treaties with other countries. I do not have the answer to that, but the debate is not about that either. However, I would like to reassure Mr Omtzigt that there is active contact between the tax authorities of these two countries, but also between the directors of these two countries, on all kinds of technical assistance.
ParlaMint-NL_2016-06-14-tweedekamer-24.u39	I think that you are formally standing here on behalf of the Kingdom Government, but that is quite aside.
ParlaMint-NL_2016-06-14-tweedekamer-24.u40	The last few days I've been dealing with such a variety of subjects, that I've really wondered who I'm actually acting on. I was just standing here, I believe, on behalf of Minister Kamp. Is there a difference in content between the FATCA Netherlands and the FATCA Curaçao? The Treaties aim at the same thing: to facilitate the exchange of information with the Americans. There are different models for this and in both cases model 1 is embraced. There are specific exceptions, which are linked to the pension sector. It is of a very different nature and was not covered by American legislation, which allowed the exchange of information to be changed, but essentially the same logic has been followed. I think I've run out of questions. The CRS questions are still coming, including reciprocity.
ParlaMint-NL_2016-06-14-tweedekamer-24.u41	I do not see any colleagues jumping up, so we can move on to the second term of office. At the request of Mr Omtzig, I shall suspend the sitting briefly.
ParlaMint-NL_2016-06-14-tweedekamer-24.u42	Mr. Chairman. I would like to thank the replacement of the State Minister for Foreign Affairs for his first answer. We still have a problem. We are now doing a bit lightly about FATCA, but I feel that problems are about to arise for residents of Curaçao, who have no idea what is ahead of them. We have also been able to see those inhabitants in the Netherlands. It's not about black savers. It's about the American accident. I very much encourage the Secretary of State to really raise the issue of tax treaties with his colleague from Curaçao and perhaps his colleagues from Aruba and St Martin. In certain cases, we can just hang out together. Perhaps they want to get rid of a number of treaties. It's just got to be possible. This simply benefits the inhabitants of that part of the Kingdom. I'd like to get a commitment on that. Because we have handed over that note and I expect some problems as well, I shall table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas residents of the Netherlands should not be faced with double taxation in several countries without cross-border activities;]] [[noting that Dutch citizens of American nationality are required to make tax returns and pay taxes in both countries, not only for people of American nationality but also for a slightly larger group;]] [[noting that double taxation is not always removed by the tax treaty between the Netherlands and the US and that there is no tax treaty applicable between Curaçao and the US;]] [[calls on the Government to endeavour to avoid double taxation for residents of the Netherlands, both from the European part and from Curaçao and other parts, for example by having two nationalities;]] [[calls on the Government to inform the Chamber and the States of Curaçao within 10 weeks of the concrete results achieved by the Government to resolve this problem,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Omtzigt, Mr Aukje de Vries and Mr Van Weyenberg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34371-7]]
ParlaMint-NL_2016-06-14-tweedekamer-24.u43	Mr. Chairman. Thank you for the answers, though I still have a lot of answers to get. In the previous debate on FATCA, I also asked questions about Common Reporting Standards. They are closely linked, because they are both about the exchange of information to deal with black savers. In particular, in the context of the agreement with America, we discussed reciprocity. We deliver to the Americans on the basis of FATCA. Then the question is, what are the Americans going to do? Will they eventually join CRS? As regards reciprocity, the Secretary of State said at the time: this reciprocity is just going to happen; we have no doubts about it. It is a little unsatisfactory if I now have to wait for a letter stating whether it finally came, because that is what it comes down to. It's nice to have that letter, but I want it a little bit more. And what will the Secretary of State do if there isn't? Is he going to include this issue in a letter on behalf of the European Member States, in which he also deals with the problems of the American accident? I assume, however, that reciprocity of information is also an important point. I would also like to hear whether there are any banks that are still refusing customers on the basis of their American nationality, for example when it comes to investment accounts. That is still not clear to me. Are there any banks that say: you are an existing customer; from tomorrow onwards not anymore. Is that still possible? You can say that it is a small bank and you can go somewhere else, but that seems harsh to me. I'd like an answer to that, too.
ParlaMint-NL_2016-06-14-tweedekamer-24.u44	Mr. Chairman. In the last question from the SP about the bank account and the services, especially to seated customers, I can join. That's not quite clear to me either. If you are already an existing customer and you have to go somewhere, then you can face high costs. How does it work out between the different banks when they have to switch? Then I come to my second point about the banks. The Secretary of State has indicated that there is a lower limit of €50,000 and that it is up to the banks to determine whether or not they use it. I'd say just let the banks handle that lower limit. Perhaps that can be highlighted again in a consultation with the Dutch Association of Banks and any other financial institutions, because that can remove concerns and uncertainty from a number of people. In fact, we cannot regulate matters in the tax treaty, according to the Secretary of State. I understand that you are in a negotiating position, but the Americans too will sometimes want something that we have a little more trouble with. I ask the Secretary of State to continue to try to settle matters in the tax treaty if necessary. Mr Omtzigt has already tabled a motion on our behalf and on behalf of D66. We believe that steps should be taken to achieve concrete results. As far as we're concerned, you could do it very unorthodoxly. I understand that our government is in contact with the U.S. government and that there is contact between the tax authorities, but an important player right now is the U.S. Congress. There are people who love the Netherlands, for example those who are involved in the Dutch Caucus. With a number of MPs we visited the chairman, Bill Huizenga; I don't think you can get it much more Dutch. Perhaps that line could also be used to try to keep up the momentum in the U.S. Congress. If help is needed from the Chamber and it would fit better at that level, then we could consider it. Let us come up with creative solutions for these kinds of problems, which are inexplicable to many people and in some cases poignant.
ParlaMint-NL_2016-06-14-tweedekamer-24.u45	Mr. Chairman. I would like to thank the Secretary of State for replying. I see a bit of a powerless Secretary of State who also sees that it doesn't really have a pass like there are 40,000 people in the Netherlands who suddenly have to pay taxes on the profits they make on a house. The Secretary of State stands by and says, "Then they've had bad luck." I have another nice example for this Secretary of State. A dga that withdraws its mortgage from the e.g. is not taxed in the Netherlands and may pay dividend tax in the United States. You wonder why we actually have a treaty with America, because America simply says: we tax everything; if you have already paid something in the country where you live, then we may want to settle it, but we will not go beyond that. What about the Caribbean Netherlands? Is the Caribbean Netherlands also covered by the treaty between the Netherlands and the US? That has a 0% Vpb. Are all companies with an American dga going to be hit in America with a vpb of about 35%? In the Caribbean Netherlands, the highest Ib rate is 30%. Are all those people in the Caribbean Netherlands being attacked with an American passport? It is good that there are proposals for accidental Americans up to 18 years old and you name it. I'd give a shit if I were you. How's that going? Is that in Congress, and does it need another tap? That could save all those American accidents that are being caught now, namely a lot of misery. Finally, I look forward to the letter from the Secretary of State on the red flags.
ParlaMint-NL_2016-06-14-tweedekamer-24.u46	Mr Groot has waived his second term. The Secretary of State says he can answer immediately.
ParlaMint-NL_2016-06-14-tweedekamer-24.u47	Mr. Chairman. I would like to say to Mr Omtzig that I will give the point of good information, and also Mr Van Dijck's idea of indicating to the taxpayers where the red flags are so that they know when to watch out, to my colleagues as soon as I have consulted them. Questioning shows that Curaçao and the United States do have a tax treaty, since 1948. That's probably a little dusty. That means that Curaçao intends to renew that. As is the case in several areas, the Netherlands is willing to provide technical support to Curaçao. I should like to make it quite clear that there is a limit to what Mr Omtzigt has said. They're separate countries. They can do whatever they want. It could be that, in the tax sense, Curaçao is capable of treaties and agreements that the Netherlands would not be prepared to do. This could mean that the Netherlands should conform to practices in which it does not want to go along or that Curaçao would feel hindered in carrying out the things it supports. We certainly shouldn't do that. However, technical support is in progress in a wide range of areas.
ParlaMint-NL_2016-06-14-tweedekamer-24.u48	For the record, this will be a treaty with the Netherlands Antilles because it was concluded before 10 October 2010.
ParlaMint-NL_2016-06-14-tweedekamer-24.u49	Excuse me.
ParlaMint-NL_2016-06-14-tweedekamer-24.u50	You spoke of a tax treaty between Curaçao and the United States, but that treaty must then be concluded between the Netherlands Antilles and the US. Curaçao took over on 10-10-10.
ParlaMint-NL_2016-06-14-tweedekamer-24.u51	No. The tax treaty which then applied to the whole of the Kingdom has now been changed by the Netherlands itself. The treaty also applies to the BES islands, Curaçao, St.Maarten and Aruba. That treaty still applies there, including the BES. I didn't have that kind of insight, by the way. Mr Omtzigt says outside the microphone 'and we will find out in the second term', but is it so strange that we do not have information about the tax treaties of the BES in a debate on FATCA, between America and Curaçao? Mr. Chairman. The motion-Ontzigt c.s. in piece No. 7 Everyone is taken from the heart: do something about it! Mrs De Vries even says: be creative! The motion comes down to: Tom Poes, make up a ruse, do the impossible and do it quickly and report to us within ten weeks what impossible things I have invented. I, too, am impressed by this, but it is not realistic. This has been done for years what we can, not only by the Netherlands, but also by the other at least 100 countries, which are actively struggling with this. By leaving the verdict on the motion to the Chamber, I would suggest that there are still many things possible, that we have been sitting on our backs until now and that we are finally taking action to do all those things that we can still do. That's not realistic. In the technical sense, it is not a question of double taxation, but of where the tax has not yet been paid. That's a bummer and not the reason why I'm dissuading the motion, but I'm not gonna recommend it. Mr Merkies simply gets answers to his questions about CRS. I simply did not understand Mr Merkies' question about the existing bank. He asked me what happened to an existing bank... no, I don't know; I just missed it.
ParlaMint-NL_2016-06-14-tweedekamer-24.u52	It's not an existing bank, it's an existing customer at a bank. Can the bank, if you're already there, say to you: yes, but now we have a lot of trouble with American legislation, so we'd rather lose you now?
ParlaMint-NL_2016-06-14-tweedekamer-24.u53	I don't know the answer to that. It seems to me to be a somewhat untruthful situation, but it can happen. The Dutch Banking Association has not guaranteed that no one will ever have to change banks, but that there will always be plenty of options for account holders and buyers of financial products. It could happen, but I haven't heard any cases yet. In this context, Mrs De Vries was concerned whether you could not incur high costs. I don't know how much the cost of switching banks is. I didn't switch banks too long ago. I don't remember high costs, but it was tough.
ParlaMint-NL_2016-06-14-tweedekamer-24.u54	Of course, it's not out of the blue. This has happened. I've been notified of this, but I don't know if it's occurred recently. That is precisely the question to the Secretary of State. He did not rule it out, when he said at the time that the big banks no longer do so and that he hoped that small banks would follow. So it wasn't clear to me whether people who already sit by that couch could sit by that couch.
ParlaMint-NL_2016-06-14-tweedekamer-24.u55	The Ministry of Finance knows a lot, but I simply cannot say much about the contacts and switches between specific account holders and specific banks. I don't know. I did not get any complaints, nor did my colleague, the Minister of Finance, who feels responsible for the banking sector. If it's different, I'll let Mr Merkies know. Mrs De Vries calls on me to urge the banks to apply the lower limit. I believe, with the danger that I will be dismissed as a far-reaching liberal, that banks, as commercial institutions, will be able to weigh up whether they are providing a certain service, possibly with a higher cost level, or that they will refrain from providing that service and then perhaps apply a lower cost level. I would simply like to leave that to the banks themselves, but I believe that this debate is being followed well enough from the banking sector, so that Mrs De Vries' appeal towards the banks will be heard enough. Mrs De Vries urged us to continue to make full use of all the possibilities. I'd love to, but I have a call in reverse. Yes, it may be that members of the U.S. Congress, for example, can also exercise influence. That seems to me to be right on Mrs De Vries's path. It is so much easier for her as a parliamentarians to talk to fellow parliamentarians than I would interfere. So let's all do our part. Let's all work together. My appeal, on behalf of Mrs De Vries, to all of you is: keep trying. Mr Van Dijck is talking about it. So far we have had Mr Omtzigt's tile, but Mr Van Dijck has added a little bit to that. "Mightless" I am; "powerless," not even able to just pilot a bill through the U.S. Congress. You're gonna have to admit it. What am I doing here? He owes me the answer to his question about the Caribbean Netherlands. The status of Obama's proposal is that it's in Congress. It needs to be dealt with now and then adopted. Mr Van Dijck's comment, he did not put it as a question, I correct it anyway. Yes, I have promised to see if we can communicate more clearly what the red flags for the Netherlands are. I have said that I will look for existing channels of information for this purpose, but I have expressly said that it does not make much sense to send a letter to the Chamber. I just wanted to process that in the current information channels so it could reach the people who need the information. I don't want to dedicate a separate letter to that.
ParlaMint-NL_2016-06-14-tweedekamer-24.u56	One thing's not quite clear to me yet. So there is a bill in the U.S. Congress which would make it much better for those "accidental Americans," which are exceptional cases. But I think there was also a proposal on reciprocity. I do not know if that is the same bill; that was actually my question. The Secretary of State hasn't gone into that yet. Last time, a year and a half ago, he said that the bill was there, that it would all work out and that reciprocity would come about. I haven't really had an answer to that.
ParlaMint-NL_2016-06-14-tweedekamer-24.u57	No, but that answer's coming. That reciprocity is not in FATCA. FATCA is a mechanism for making Americans pay taxes in America. So this is about the one-sided supply of data from other countries to America. There's no reciprocity in that. CRS is precisely what Mr Merkies wants to talk about, namely to prevent avoidance by means of information exchange. It's gotta be reciprocal. Their status, with information already exchanged in two directions, is mentioned in that letter, which deals with CRS. This reciprocity applies to CRSs. That's what I'm gonna tell you in that letter. Mr Merkies gets the answer.
ParlaMint-NL_2016-06-14-tweedekamer-24.u58	Okay, I get the answer in the letter. However, I have also made a request. Is the question of reciprocity included in the letter which apparently goes to America on behalf of several European Member States? I can get an answer, but besides that, I am particularly interested in what the Americans are hearing from us. After all, they do not participate in CRS. They only have FATCA. Otherwise, I have an answer, but reciprocity is still not settled.
ParlaMint-NL_2016-06-14-tweedekamer-24.u59	That's another file. First of all, let us not assume that there is such a big problem with reciprocity that several European Member States have to send letters about it to America. Secondly, they are completely different dossiers. FATCA is really a different type of regulation than CRS. They come from different sources, the backgrounds and goals are different, it works differently, the timeline is different and the diplomatic balance is different. So let me dedicate the letter about CRS to CRS. I do not want to mix that with FATCA discussions, not even in the exchange of letters between Europe and the United States.
ParlaMint-NL_2016-06-14-tweedekamer-24.u60	I do regret that the Secretary of State responds to the motion as he responds. The answer to two questions I asked was precisely the reason for us to table that motion. On the call to think creatively and to see what you can do, for example, towards the American Congress, the Secretary of State bounces the ball back very nicely. That's fine, but the call was to look creatively at what is possible and to see if you can do something through other channels. The same goes for the lower limit of $50,000. The Secretary of State says: I do not think it is liberal to talk to the Dutch Association of Banks about this in order to send out that signal. The cabinet is going to talk to business when it comes to higher salaries, although we are not talking about higher salaries. There is a lot of talk with the Dutch Association of Banks. I think it is very confusing for people who are involved in this, that everyone has a different lower limit. I would ask the Secretary of State, even though it may be unusual, to discuss this with the Dutch Association of Banks in the light of what is often done.
ParlaMint-NL_2016-06-14-tweedekamer-24.u61	I don't know if it's confusing, because most people only have one bank. Let me put it this way. Without wanting to be binding on the banks, I will say that I will ask my colleague, the Minister of Finance, who feels responsible for the banking sector and sometimes also consults with the banks, to deposit this parliamentary wish with the Dutch Association of Banks and to make it clear that there is a desire here to have all Dutch banks apply the same lower limit. Is that how I'm gonna give it to you?
ParlaMint-NL_2016-06-14-tweedekamer-24.u62	I see a nod from Mrs De Vries.
ParlaMint-NL_2016-06-14-tweedekamer-24.u63	It's getting a little mixed up. I have another question for clarification on what exactly the treaty between the Netherlands and America means. The Secretary of State says: if you do not pay taxes here in the Netherlands on something that you would have had to pay taxes on in America, then America can raise taxes, as in the example of selling the house. But is that why I just came up with this switch-over that, if I did pay taxes on something here in the Netherlands when I had to pay more taxes on that in America, would America be allowed to override that difference? These two things make quite a difference: on the one hand, no tax and on the other hand, increasing the amount of tax to the American level.
ParlaMint-NL_2016-06-14-tweedekamer-24.u64	American tax laws simply determine how much tax you have to pay for what. What if I had to pay 100 on this glass of water in America? If only 60 has been paid for in the Netherlands, you will then have to pay 100 with a deduction of 60 in America. That makes 40. If we raise this figure by 120 to 120, that is very common, because the Netherlands has high taxes like the speaker, and I think I both regret it, then 100 minus 120 will have to be paid. That outcome is negative and then there is no need to pay. In essence, it amounts to the word "uplifting," although the system is not designed in this way. You simply pay American taxes and deduct the tax already in place. So if that's zero, you're gonna have to pay the full U.S. tax. If you've already paid a share, you'll only have to pay the remaining part. In very many cases it will be so that the taxes you have paid in the Netherlands exceed what you owe in America. You won't hear from the Americans.
ParlaMint-NL_2016-06-14-tweedekamer-24.u65	I also think that in many cases it does not matter to the Dutch. However, we are now talking about Curaçao with a completely different tax system. Next week, we'll be talking about IGA Saint Martin. I asked about that, but I haven't gotten an answer yet. IGA Aruba is coming too when we talk about IGA Curaçao. Caribbean Netherlands has very favourable tax conditions in the area of Vpb, income tax and so on. All those Americans who now live on Bonaire can therefore expect a very big attack, when they actually thought in Bonaire.. where they emigrated to have fulfilled all their obligations. So it makes sense to say to every American now: don't go to Bonaire, because you're fucked!
ParlaMint-NL_2016-06-14-tweedekamer-24.u66	That is why I was so pleased with Mr Van Dijck's suggestion. He said: convey to colleagues that they clearly define where the red flags are. That could be more than the red flags we issue in the Netherlands. It is a very sensible suggestion to point this out to people. You say, "Listen, you can be eligible here and for this, and considering this, and this could cost something, so if you're in this and this position, you have to pay attention. I therefore think that Mr Van Dijck's warning is quite right. I also think his suggestion and solution is very good. I have promised to pass that on to my colleagues.
ParlaMint-NL_2016-06-14-tweedekamer-24.u67	I have another question about the motion. Was there a commitment or was it taken over? That's not entirely clear to me.
ParlaMint-NL_2016-06-14-tweedekamer-24.u68	It's been dissuaded.
ParlaMint-NL_2016-06-14-tweedekamer-24.u69	I heard a promise. Sorry.
ParlaMint-NL_2016-06-14-tweedekamer-24.u70	No, the motion has been dissuaded.
ParlaMint-NL_2016-06-14-tweedekamer-24.u71	Next Tuesday we will vote on the two laws and the motion.
