ParlaMint-NL_2016-04-13-tweedekamer-6.u1	I give the floor to Mr Klaver.
ParlaMint-NL_2016-04-13-tweedekamer-6.u66	Finally, Mr Pechtold, this point has already been discussed and repeated a number of times.
ParlaMint-NL_2016-04-13-tweedekamer-6.u67	It is a pity that Mr Zijlstra agrees with the principle and does not want to take the final step. We are not talking about a financial problem here. We are talking about a problem that a number of international organisations are dealing with, respected and equipped with. What problem does Mr Zijlstra have with taking that last step towards the Chamber and creating real support for it, by saying together? I shall weaken it, hoping that Mr Zijlstra will say yes, but we are thinking of organisations such as the UN and UNHCR. Is it so crazy to say: I don't think that's a crazy idea?
ParlaMint-NL_2016-04-13-tweedekamer-6.u68	This is beginning to take such forms that I am not going to give in at all! What the hell is this? After Mr Voordewind received an answer to this question half an hour ago, Mr Pechtold is constantly asking whether we can make sure that the agreements are complied with. I say yes to that, but I do not want to decide in advance who should do so. Then Mr Pechtold continues to see through, of: yes, but can we not say that this or that organisation is really one of them? No, I'm not doing that here! We agree on the principle and I believe that this is the key point: ensuring that the agreements made are respected and that checks are made on whether they are. Whoever is going to do that will undoubtedly be agreed at some point. That is not something we are just going to mention in the debate. Each organisation has pluses, but also loves, and that needs to be balanced and balanced.
ParlaMint-NL_2016-04-13-tweedekamer-6.u69	That's exactly why we're asking through. When we make an appointment with the Greeks about finances, we also tell them who's going to check when, how and what and when reports will come. Mr Zijlstra deliberately does not want to take that last step and, as far as I am concerned, he is, perhaps unjustly, placing a great deal of suspicion on himself. There is now a second debate, after many debates, a concrete proposal, and Mr Zijlstra is defending it. Now ask parties: be specific, indicate that you not only want supervision, but also how you want to fill it out and by whom. At the first best deal on Greece and money, the VVD is leading the way to checking agreements and making them transparent, but now we have to say that we will come back to them later. No, Mr Zijlstra has had his cabinet present a deal today and he does not want to say how we are going to implement it and who is going to control it. It is a pity if Mr Zijlstra stays there, but it would be an incredible step if the VVD says: we are not sure whether we should listen to Amnesty or the Turks or look at news reports; that is why agreements include a control system, there are bodies for that and we are going to work on that. That's all I'm asking. But when organizations are mentioned, they are put away as clubs.
ParlaMint-NL_2016-04-13-tweedekamer-6.u70	I think you have made your point sufficiently clear.
ParlaMint-NL_2016-04-13-tweedekamer-6.u71	What Mr Pechtold just said was not his question. I answered that question with a yes 45 minutes ago. The point is indeed the interpretation of these organisations. We're not going to do that yet, but we already agree on that point. Mr Voordewind had already brought it in. That is right, because we in Europe have a duty to ensure that when we make agreements, we also check whether what we have agreed is going to happen.
ParlaMint-NL_2016-04-13-tweedekamer-6.u72	I believe that this point has been sufficiently discussed. I still want to move on.
ParlaMint-NL_2016-04-13-tweedekamer-6.u73	I wanted another organization... no, I have another question. We just got somewhere with Mr Zijlstra, when it was about the role of Turkey and the expulsion of refugees by Turkey to Syria. We can't, because Syria is a war zone. Mr Zijlstra placed a comma. I heard that very well, but that was more about: if there were a safe area there, then we should be able to do so because we are also doing so with Iraq. That is what Mr Zijlstra said at the time. According to recent reports, Turkey has deported people to Syria. If that proves to be true, then surely it is a fact that Turkey is not a safe third country and that it does not comply with international conventions.
ParlaMint-NL_2016-04-13-tweedekamer-6.u74	Mr. Klaver says "if it turns out to be true." Let's establish that first. If it is true that Turkey does not comply with the commitments made, then there is a problem. We do not disagree.
ParlaMint-NL_2016-04-13-tweedekamer-6.u75	That's important. If it turns out that not only the people we have sent back to Turkey but all Syrian refugees residing in Turkey have been expelled, then the question is what is the result of this. I do not understand why Mr Zijlstra does not want to say: until we are sure that this is not the case, we are not deporting people. Erdogan and his government are not the most reliable source, so is there any certainty that people will not be deported? Why does Mr Zijlstra not want to say that? I don't quite understand.
ParlaMint-NL_2016-04-13-tweedekamer-6.u76	Because the reality of every day is that we have already had a great deal of difficulty in getting this flow of refugees under control at all. We now have agreements that seem to work. Let's say you're saying to Turkey right now: thank you for sticking your neck out, they did, too, but we have so little faith in you that we're putting those appointments aside. I think that means the end of the deal. Of course, we have a duty to ensure that these agreements are complied with in all respects. However, Mr Klaver knows as well as I do that if you do so now, there is such a motion of censure against the person with whom you have made the agreements that there is a good chance that he will ignore them. The result is that all this electricity will start again, that all these boats will disappear and that all the consequences in Europe and also at sea will happen again. On the basis of the current information, I am not prepared to take responsibility for this.
ParlaMint-NL_2016-04-13-tweedekamer-6.u77	If Turkey considered that to be a vote of no confidence, I do not think it is a partner with which you can make good agreements. It seems perfectly normal to me that you ask to check made appointments. Mr Pechtold spoke about this. If we make agreements with Greece, a European Member State, we will send the troika, the IMF, the European Commission and the European Central Bank there to check that these agreements are being complied with. The same is what we expect from Turkey. Only when we are sure that Greece is in order will they receive money and only when we are sure that it is in order in Turkey should you send refugees back. In the end, it is not just about whether we can control the flow of refugees to Europe, but also whether we can protect the lives of refugees, including in Turkey. That is our very first task.
ParlaMint-NL_2016-04-13-tweedekamer-6.u78	Mr Klaver is now taking a different point from what I said. He asked to suspend the appointments and the evictions. I'm not prepared to do that, because when you do that, you make agreements with each other, and then you say, "I don't trust you." Then you better hope they want to do it again sometime later. I'm not prepared to do that. I'm putting the responsibility in a different way. We also have a responsibility to control the flow of refugees. It weighs very heavy for me. But it is equally important that I should also like to know whether the agreements are being complied with by Turkey. That must also be verified. I'd like to hear from the cabinet what's possible there. However, I am not of the line that says: oh, there are signals, so let's stop everything, with all the risks of that. I find that irresponsible.
ParlaMint-NL_2016-04-13-tweedekamer-6.u79	Please continue.
ParlaMint-NL_2016-04-13-tweedekamer-6.u80	It's all very early, but developments are going to be positive in all honesty. Where a few weeks ago, on average, a few thousand asylum seekers crossed the border a day, a few dozen are currently coming from Turkey to Greece. Last week we also saw the first boats sailing back from Greece to Turkey. The Netherlands also included 31 Syrians last week, in return for those who have been sent back. Those are quite different numbers than we've been used to in the past few months. This potential success now has many fathers, but the hardest thing is that we are not yet there with this agreement. We can already see that smugglers are going to choose alternative routes now that the main route through Turkey is closed. This week there were reports that the route through Italy is becoming popular again. Austria has reinforced border controls in preparation for a reason. Therefore, according to the VVD one more step is needed. As long as the whole world can apply for asylum here, the huge flow of migrants will remain. And we can't handle that. We cannot maintain our extensive social services with such influx. We already have a lot of problems with the integration of the guest workers and their children. Allowing large groups of people with similar backgrounds is not going to help. Large groups don't integrate, they segregate. That is why we need to adapt the international conventions that give everyone the right to asylum in Europe. Every continent must take responsibility for the refugees from its own region. As long as Europe is an alternative, many refugees, such as those from Africa, will nevertheless be able to make the dangerous crossing to Europe. I understand these people, but precisely because it is so understandable, it is also clear that we need to intervene. The fact is that alternative routes will continue to exist as long as international conventions continue to give asylum rights in Europe. The only solution is therefore to amend these conventions in such a way that this right lapses. We're gonna have to take that extra step. It is a step that some might think is going too far now, but if we have learned something in the past year, it is that major problems require far-reaching solutions. Solutions that were previously unthinkable have now been introduced. This Prime Minister has shown that we can offer such solutions, and this will also be necessary in the near future.
ParlaMint-NL_2016-04-13-tweedekamer-6.u81	I suggest you finish your contribution first.
ParlaMint-NL_2016-04-13-tweedekamer-6.u82	We all know here that the agreements with Turkey are not the end of the refugee crisis. If we are to avoid far-reaching tensions in the Netherlands, we must recognise that the end of support in society is in sight. This week's messages indicate that, too. Even now that the influx has dropped dramatically, municipalities have difficulty finding the necessary places. Many people wonder whether in ten to twenty years' time the Netherlands will know the achievements and freedoms that we now consider so normal and important. That is why it is so important that the agreement with Turkey has been reached. This seems to enable us to control the main route to Europe. However, we cannot afford to sit back now. Further steps are needed. As far as the VVD Group is concerned, no action is excluded.
ParlaMint-NL_2016-04-13-tweedekamer-6.u83	I was surprised to see how Mr Zijlstra wiped out his own weird Turkey deal in an hour, because he succumbed immediately after some left-wing pressure to release an independent investigation on the Turks. I wonder what Erdogan thinks of that. But I have one more question about this weird Turkey deal. Mr Zijlstra indicated that boats are now returning from Greece to Turkey. Does he know how many Syrian asylum seekers were on those boats?
ParlaMint-NL_2016-04-13-tweedekamer-6.u84	No, I don't know the exact number.
ParlaMint-NL_2016-04-13-tweedekamer-6.u85	Zero. An important part of this strange deal is that all Syrian asylum seekers would be sent back from Greece to Turkey. That's not gonna happen! Nothing's happening. That is particularly harsh because the cabinet promised that these Syrian asylum seekers would be rejected in Greece within a few hours, so they would go back. Turns out that's a deception. Why are the VVD, the VVD Secretary of State and the VVD Prime Minister trying to sell such a deal with deception? That's what's going on.
ParlaMint-NL_2016-04-13-tweedekamer-6.u86	I look at a deal, at appointments always what's on paper and what's on paper is clear. We will stick to that, too, to all aspects. The interruptions sometimes go one way and now they go the other. We have agreements with Turkey. The VVD is always off the line: if you make appointments, you have to keep them. That must also be the case in this case. Only then will the early success that is now also settled, because it is early. If we do this in any way, including in the way Mr Fritsma says, then the house of cards will collapse. That is the last thing we want, because then we will have the big problem of the flow of refugees back on our plate immediately. That's the last thing the VVD wants.
ParlaMint-NL_2016-04-13-tweedekamer-6.u87	I just want an answer to the next question. That deal states that Greece is sending Syrian asylum seekers back to Turkey and that the EU will take back one for every Syrian who is returned. What do we see in practice? Not a single one, I repeat: no Syrian asylum seeker has been sent back from Greece to Turkey. Meanwhile, the Prime Minister has already collected dozens of Syrians from Turkey with the approval of the VVD. How is it possible for Mr Zijlstra to accept that?
ParlaMint-NL_2016-04-13-tweedekamer-6.u88	We have a fairly clear agreement with Turkey: for the Syrian refugees who go back, we take one-on-one Syrian refugee from the refugee camps in Turkey. The deal's up. Where it is not exactly the same on a daily basis, it is simply discontaminated with each other. That agreement is being implemented, and we are not going to violate it.
ParlaMint-NL_2016-04-13-tweedekamer-6.u89	The VVD has adopted an air bridge, which the PvdA has been asking for for months, to pick up Syrians from Turkey. That is in itself crazy, but it would only begin if Syrians were sent back from Greece to Turkey, but that is not happening at all! So we are now faced with the bizarre situation that the VVD is okay with the fact that no Syrian is going back from Greece to Turkey and that dozens of Syrians are being brought to the Netherlands by the Prime Minister. It's crazy.
ParlaMint-NL_2016-04-13-tweedekamer-6.u90	That's bullshit!
ParlaMint-NL_2016-04-13-tweedekamer-6.u91	Look at the facts. It's crazy that the VVD is okay with this.
ParlaMint-NL_2016-04-13-tweedekamer-6.u92	That's bullshit! We have very clear agreements: we are going to take back one-on-one people. And yes, if Mr Fritsma wants to hear that: if you start looking at everything on a daily basis, it will not be the same. No, that's gonna be a little tricky in terms of execution. But the agreement is clear and so it will be implemented: for Syrian refugees who go back, people come here. If it hadn't happened before, it would have happened. I would like to hear what I have to say to the cabinet, but I have no doubt that it will be so.
ParlaMint-NL_2016-04-13-tweedekamer-6.u93	Finalizing, Mr. Fritsma.
ParlaMint-NL_2016-04-13-tweedekamer-6.u94	In conclusion: look at the facts!
ParlaMint-NL_2016-04-13-tweedekamer-6.u95	I do.
ParlaMint-NL_2016-04-13-tweedekamer-6.u96	The cabinet has promised that Syrian asylum seekers will be sent back from Greece to Turkey within a few hours. That's for everyone to read. That's not gonna happen! Turns out it's pure deception. No one's going back. No Syrian asylum seeker goes back to Turkey. I regret that the VVD tries to sell such a deal with pure deception. That's too bad.
ParlaMint-NL_2016-04-13-tweedekamer-6.u97	Let Mr Fritsma stop for once. The appointments are just very clear. These kind of smoke signals are........................................................................................................................................................ The appointments are clear. The number of Syrians is falling enormously, because there are almost no more people crossing. So the one-on-one agreement doesn't create large flows of refugees this way either, because you don't have to do one-on-one with people who don't cross anymore. That was the whole idea of this deal. Undoubtedly, the numbers will not be the same on a daily basis, but it will not be the case that people from refugee camps come here, when no people have been sent back. That won't be the end result of the calculation. It's gonna go straight to zero. I just don't think I'm going to convince Mr Fritsma, but that was probably the case before then.
ParlaMint-NL_2016-04-13-tweedekamer-6.u98	Mr Zijlstra mentioned the important point of the treaties that need to be amended. This is desirable in the Netherlands. I believe that we wanted it for the first time in the Chamber in 2000. Internationally, however, it is difficult. The CDA asked the Prime Minister at the beginning of the Presidency whether he was prepared to recruit for this during the Presidency. He said there were more important things to do. Will Mr Zijlstra support me if I call on the Prime Minister to do so again today? Because now that is possible and the Netherlands will no longer be President.
ParlaMint-NL_2016-04-13-tweedekamer-6.u99	I do not think that the most important treaty on which matters should be dealt is the Refugee Convention. Anything I just said can be within the current Refugee Convention. You don't have to adapt to that at all. The biggest problem is the European Treaty. We have certainly been there since we had the cozy referendum with a slight challenge, but that treaty will still have to be amended. The agreements currently in force in Europe have been made in a completely different era. They need to be adapted to the present time. So that's what I'm very much for. That's what I was there for, and that's what I'm here for. It always depends on how it is written down, but on the basic idea we agree.
ParlaMint-NL_2016-04-13-tweedekamer-6.u100	It was a little fast for me. Mr Zijlstra said that we should go back to accommodating our own people in a region of the world. This means that Mr Zijlstra and the VVD Group believe that only European refugees should be received in Europe. My specific question is then what Mr Zijlstra is doing with the resolution programme that we now know and which is even part of the Turkey deal.
ParlaMint-NL_2016-04-13-tweedekamer-6.u101	We presented a plan last year of which resolution is part. Now we're in a different phase. We made agreements with Turkey which are in line with what we said then. There's gotta be something to that. It is not going to work if we say to Turkey alone: we are closing the borders; good luck with it; we are not doing anything. That is also apparent from the agreements we have made. If we look further than we do now, we will see some practical problems. There has been a large flow of refugees from Libya, and it is now coming again. That flow of refugees is controlled by IS. ISIS makes money from human trafficking. That also brings with it all kinds of security issues. Only, Libya is a total anarchy. Frankly, the West has also contributed to this. Mr Pechtold said very euphemistically that Libya has four governments, but actually it is just anarchy. It's very difficult to make appointments with an anarchy. So we will also have to look at why people are coming here in a different way. They do so because they can enter an asylum procedure. I am sorry to leave this to Mr Voordewind, but there is often the following. Those people end up in an asylum procedure. The people who really are refugees are assigned. That's fine. It's just that other things happen. A lot of people who are rejected go into illegality. There are always parties, and the Christian Union is unfortunately often at the forefront of those who say that these people are rooted in society because they have had children. Then we need a general's pardon. And so people keep coming because they can go into the asylum procedure. If that's one of the root causes, the main causes, you have to have the courage to do something about it.
ParlaMint-NL_2016-04-13-tweedekamer-6.u102	This is one of the consequences of the signing of the Refugee Convention. If you want to comply with this, you're really gonna have to cancel the Refugee Convention. Let me get this straight: I understand that the Azmani plan is now in the trash can. Because in the Azmani plan, Mr Azmani is here, and indeed there is still a settlement from the region. That's not ruled out. In fact, if the borders in Europe were to close, I know the plan by heart, there could be substantial resolution from the region. Mr Zijlstra is now saying that we are going to close Europe's borders on a massive scale and that we are not going to talk about resolution anymore. That's clear. That's a new plan, the Zijlstra plan.
ParlaMint-NL_2016-04-13-tweedekamer-6.u103	I'm not saying that at all. That's a crazy conclusion. The Azmani plan stands first and foremost proudly. In fact, it's far-reaching. Secondly, we are talking about further steps. You can't make that kind of deal with every country. The Refugee Convention does not state that every refugee in Europe must be taken care of. The Refugee Convention says you have to protect refugees. As far as we are concerned, this protection must take place in our own region. That's also in the Azmani plan. We continue to say that, even in such a situation, you always have resettlement programmes through UNHCR or through the United Nations. That's what we're doing right now. That's a responsibility you can always take on yourself. It is independent of the right to asylum. Many people, whether from Argentina, Swaziland or Thailand, come here, say they want asylum and go into the procedure. For a lot of people, that's a reason to come our way. So you have to do something about the right to asylum. If you're afraid to do that, you're gonna keep an uncontrolled migration flow.
ParlaMint-NL_2016-04-13-tweedekamer-6.u104	Mr. Chairman. The EU-Turkey agreement has come to fruition. It's the first time the Chamber has talked about it after it's in progress. It will be no secret that the Christian Union was against the Turkey deal, simply because it could have been different and better, also to prevent boat trips. We could have just organized a settlement program at the Turkish-Greek border and no one would have had to take those boats. But Europe was not prepared to do so.
ParlaMint-NL_2016-04-13-tweedekamer-6.u105	Mr Zijlstra, Mr Voordewind has just begun.
ParlaMint-NL_2016-04-13-tweedekamer-6.u106	Yes, Mr. Chairman, I'm still in the flow. Mr Klaver has said something like this in the past. Then I asked him the question that I now put to Mr Voordewind. Mr Voordewind says: organize a legal migration settlement flow from Turkey, because then the people do not have to be on the boat. Does Mr Voordewind say that the illegal boats, the illegal flow, must be stopped? Or, like Mr Klaver at the time, he says: no, we are doing something about the legal flow, but we are not doing anything about the illegal flow.
ParlaMint-NL_2016-04-13-tweedekamer-6.u107	Refugees would be crazy if they took their children on such a boat if Europe had organised a resettlement programme in Turkey. When the Syrian crisis had just begun, I tabled a motion here to increase the resettlement programme which Mr Zijlstra's group was very enthusiastic about from 500 to 750. Please note: 250 extra and they were Syrian refugees. The VVD voted against. Had we then organised a legal route through Turkey, they would never have taken those boats. In fact, I agree with Mr Zijlstra. I was also at the border in Macedonia. I saw 7,000 people come in one day. Then I also told the fellow organisations that what happened there was unimaginable. We should have settled it in Turkey, on the Turkish-Greek border. We would then have simply launched the resolution programme which Mr Zijlstra is also enthusiastic about from the beginning.
ParlaMint-NL_2016-04-13-tweedekamer-6.u108	That's a bit of a crazy argument, because it said no to 250 extra refugees. Then we talked about 7,000 a day. That's a bit of a weird equation. But Mr Voordewind has not answered my question. Mr Voordewind says that our solution is an official resolution programme for legal power, which can be used. There are also people who do not go by that route, even though we would like to. They do not qualify for the limited number of places, because that is not unlimited. If they take the boat and cross to Greece, will Mr Voordewind send them back or not?
ParlaMint-NL_2016-04-13-tweedekamer-6.u109	Europe should have organised hotspots much earlier. My group has also argued in favour of this. Greece did not want to participate in this at first, but we insisted on this in the Chamber. A selection at the gate was then organised at the external borders of Europe. We could have done the same in Turkey at the Turkish-Greek border. People might have taken a boat, but they wouldn't have gotten any further than Greece. Now they walked for months along the Balkan route in the direction of Germany. It would have been different, but no one in Greece wanted to do so, and here in the Chamber they did not want to come to the resolution programmes.
ParlaMint-NL_2016-04-13-tweedekamer-6.u110	I'm making a third attempt to get an answer to my question. Suppose someone is so naughty not to do what Mr Voordewind expects, namely to wait for an official resolution programme. I can imagine people wouldn't do that. If you're just not with those numbers and you want to go to Europe, you can sit on that boat with all the risks. If people do that and they come to Greece, will Mr Voordewind send them back or not? Will he close that illegal route, or will he say, "Once you're inside, you can still go into the asylum procedure?" If that happens, two routes have been created: a legal route that comes on top of the illegal route. Then Mr Voordewind is farther away from home than he is now.
ParlaMint-NL_2016-04-13-tweedekamer-6.u111	If we had organized the selection at the gate in Italy, I have been to Lampedusa, where the people were also coming in massively, we would also have said that the people who did not qualify for or were rejected should return. Then they would have counted their knots, and perhaps they would not have made the crossing. Much fewer people would have taken a boat if we had organized hotspots and selection criteria in Turkey on the Greek border. There would have been far fewer victims; I believe that more than 2,000 or 3,000 people have already been drowned in the Mediterranean. We could have prevented this.
ParlaMint-NL_2016-04-13-tweedekamer-6.u112	It's nice to get an answer; I'm tasting it by now. In fact, Mr Voordewind says that people who still make the illegal crossing and apply for asylum are simply coming into procedure. They won't be sent back. So you've got two streams.
ParlaMint-NL_2016-04-13-tweedekamer-6.u113	We send people back, too. When people arrive in Ter Apel, they come into procedure. If the IND and the decision-makers find that they are not entitled to asylum or refugee status, people will be returned. To some countries this cannot be done, because they are war countries. I refer, for example, to Iraq, although Mr Zijlstra believes that this can be done. However, we cannot force people to return to Iraq. However, people are being sent back to other countries. I also said at Lesbos and Chios that it makes sense for people from the Maghreb to be returned. However, they are entitled to a procedure, even if they arrive in Greece, but if they are rejected, they must return.
ParlaMint-NL_2016-04-13-tweedekamer-6.u114	Please continue.
ParlaMint-NL_2016-04-13-tweedekamer-6.u115	A number of Syrians have just been referred back to Turkey. Does the Prime Minister recognize that the Turks might be having a perverse incentive? If they allow many Syrians to go to Greece, this actually means that Europe must allow much more resettlement from Turkey to Europe. Does the Prime Minister recognize that perverse incentive? According to the deal, the Refugee Convention must be respected. Turkey was not yet a safe third country before the deal, but I understand that it has suddenly become a safe country on paper. We have shared the messages from Amnesty International. The Syrian Human Rights Observatory has also laid down a document in support of the fact that Turkish border guards shot at least 16 refugees, including three children. UNHCR has referred to the forced expulsion of 16 Afghans without pre-empting an asylum procedure. Can the Prime Minister promise that UNHCR will be the most important organisation to monitor when Greece's refugees return to Turkey? I am not just talking about the Syrian refugees, but about all the refugees. I ask the Prime Minister what happens now to the Iraqis, the Jezidis and the Christians who fled Iraq. We know the footage from two years ago, from the mountains in Sinjar. We were very involved in the genocide that took place at that time. What happens to the Jezidi girls who apply for asylum in Turkey? Are they being sent back to Iraq, too? In fact, the Turkey deal is only about the resettlement programme for Syrian refugees who want to go to Europe. So the Iraqis are not included. I would like to hear a response from the Prime Minister on this point. Then I'll go into the reports from Amnesty International. We've just had an interrupting debate. I also direct Mr Zijlstra's questions to the Prime Minister. Is he also in favour of an independent investigation following the reporting on the forced return of Syrian refugees to Syria? I would like to see a broadening of this to the Iraqis and Afghans. Until recently, they were the largest group. Is the Prime Minister prepared to put that into effect? Last Tuesday, the Foreign Minister announced an investigation to be carried out by the European Commission. What's the outcome of that? After all, the Commission would also investigate this. When will Greece have its affairs in order? In Europe we knew the Dublin claim. However, it did not apply to Greece because the asylum procedure in Greece could not be guaranteed. When will this be the case? Which European countries are actually going to participate in the relocation from Greece and the resettlement programme from Turkey? The Turkey deal does not mention specific numbers or countries. They are not in the letter we received just before this debate today. Then I come to visa liberalisation. We're getting very close to July 1st. Of course, they're being held a sausage. It was supposed to be over on July 1st. We know about the 72 conditions. The trial's been going on for three years. Is it not fair to say to the Turks that 1 July will simply not be met? I would like to have clarity on this point. Finally, I would like to ask a question about the waterbed effect, which ended the last interruption debate. Is there going to be a Libya deal or is there going to be a Turkey deal? How are we dealing with that now? Yesterday, the first more than 2,000 refugees arrived in Italy.
ParlaMint-NL_2016-04-13-tweedekamer-6.u116	Mr. Chairman. A common approach is crucial in this refugee crisis. The fact that we have to work with Turkey is geographical realism. My group did, however, set conditions for the agreements in question, as did many of my colleagues. These conditions would safeguard the rights of people fleeing war. I am very concerned about these conditions at the moment, because I am hearing disturbing reports. The Greek hotspots turn into detention centers. Asylum seekers are deported without proper procedure. Yesterday, the news came that Turkey is actively sending refugees back to Syria, while the cabinet previously denied this and seemed blindly to rely on information from Turkey. Why didn't the Cabinet investigate this further? There were even reports of targeting Syrians trying to cross the border. The Foreign Minister responded briefly to these messages. Turkey strongly denies it. He does not have any indication that refugees are being shot at. My group finds it hard to believe that these agreements simply continue without serious research, especially now that journalistic research has shown that there is an active deployment to Syria. I have just asked you in the case of interruption: is the Prime Minister prepared to advocate an independent monitoring of the implementation of these agreements, not only for European supervision, but also for monitoring by others such as the UNHCR? I am thinking here of a special rapporteur. With all these major problems, it is all the more worrying that these agreements have not been submitted to the House of Representatives or the European Parliament. Has an informal agreement been deliberately chosen instead of an official treaty which would not put the European Parliament out of play? The European Union simply needs to provide more support to get the Greek system in order. Minister Koenders has already called for this, but how are we going to ensure that it really is delivered? Nor should we forget that Turkey already provides shelter to more than 2.5 million refugees. European support is therefore only logical. My group sees the importance of a joint approach, but we object to this way of implementing it. There is now a rush to evictions, without complying with international law conditions. That is why my group has already tabled a motion calling for the suspension of implementation. I appeal once again to the cabinet: stop expulsions to Turkey until both Greece and Turkey have put their affairs in order. Let us ensure that there is sufficient European support to achieve this. I would like to receive a response from the Prime Minister. My group also had concerns about mixing agreements on refugees with agreements on visa-free travel and accession to the European Union. The many requirements Turkey has to meet seem far from being met. Terrorism legislation does not comply with European standards. Judicial cooperation, for example, is far from being in order. Does the cabinet really expect all these requirements to be met by 1 June 2016? When is the next progress report due? Will we get a comprehensive cabinet response as soon as possible? The agreements, as they now lie and are being implemented, are unworthy of Europe. First, make sure that there is sufficient support from the European Union so that Greece can get everything in order. Make sure Turkey does comply with the Refugee Convention. Ensure independent investigation of reports of human rights violations. Make sure, especially in the role of European President, that there are now serious commitments from Member States on resettlement. And until then, stop turning off and stop detaining. Finally. We are talking about the European approach today, but let us not forget that there are already a lot of people in the Netherlands. That is why it is our responsibility to work together to ensure decent care and good integration.
ParlaMint-NL_2016-04-13-tweedekamer-6.u117	Mr. Chairman. This cabinet quacks from low to low. Everyone can see that. One of the last examples of this is, of course, the wretched asylum deal that the EU has concluded with Turkey. Unfortunately, that deal has come about with enthusiastic support from the Prime Minister. The PVV sees that as a historical mistake. The Prime Minister simply gave the fate of the Dutch people out of his hands to the unreliable Turkish tyrant Erdogan. This is a first-order weakness, because the cabinet itself cannot do anything and the EU itself cannot do anything. Turkey is now the big winner of the deal and is on the buttons. Erdogan knows that and can now blackmail it. He demands his rewards as a matter of urgency, and those rewards don't lie about it. He gets billions of euros, he gets an insight into Turkey's accession to the EU and, as a blow, visa-free travel for all Turks who want to go to EU countries. This means that, in addition to the current asylum influx, we will also have a Turkish invasion. That, and only that, is the only certainty this deal offers. 80 million Turks will soon be able to move in this direction without having to take the threshold of an asylum application and without complying with the corresponding conditions. 400,000 Turks in the Netherlands can easily invite neighbors, cousins, brothers and acquaintances to come here and that is often the start of illegal stay in the Netherlands. Frontex also confirms that more and more illegal immigrants come from countries that no longer have a visa requirement for the EU. With Turkey, the "bed-bath-bread resorts" of this cabinet will soon be extremely busy. Islamization is also, of course, in a higher gear. This is all the more true if all Turks will soon be able to establish themselves as future EU nationals in Western Europe and in the Netherlands, because that nightmare scenario is deliberately set in motion by this cabinet. This deal with Turkey does not guarantee any reduction in migration flows to the EU and the Netherlands. Migration routes simply change with the result that only a waterbed effect occurs. Reports are already coming in that some 200,000 migrants are about to make their way back to the EU from Libya. Nevertheless, the cabinet as one of the first to start taking over Syrians from Turkey. The PvdA has been dreaming of such an air bridge for months and that air bridge has already started. There are dozens of Syrians who have been transferred to the Netherlands without them, as I have just said to Mr Zijlstra, that even one Syrian asylum seeker has been sent back to Turkey by Greece. Even according to the deal made, that's not the point. The Netherlands is therefore once again completely unnecessary in the front to bring asylum seekers here. Moreover, the cabinet also acts as one of the few in Europe. Other countries are looking forward to setting up such an air bridge for Syrians. So the Prime Minister is really pulling everything out of the closet to be the crazy Gerritje of Europe. All in all, the deal proves that this cabinet is doing exactly what the Dutch people do not want. I therefore call on the Prime Minister to finally take matters into his own hands. Stop making the Dutch citizens dependent on the EU and Erdogan. Do so by closing the Dutch borders and not allowing any more asylum seekers. I'd like to leave it at that.
ParlaMint-NL_2016-04-13-tweedekamer-6.u118	Then what is it?
ParlaMint-NL_2016-04-13-tweedekamer-6.u119	That's a short interruption.
ParlaMint-NL_2016-04-13-tweedekamer-6.u120	That's what I've just completed. The Netherlands should not rely on a failing EU and on a villain like Erdogan. That's the worst thing you can do. You don't have to, because you can take matters into your own hands by closing the Dutch borders. You can use the Marechaussee and our defense to guard the borders. In this way, asylum seekers, as well as terrorists, can be stopped. That is what the Netherlands must do.
ParlaMint-NL_2016-04-13-tweedekamer-6.u121	We have hundreds of kilometres of border, 400 official border crossings, sea and airports, and the PVV still insists that you can make it waterproof, so that no human being will get through it. Is that right?
ParlaMint-NL_2016-04-13-tweedekamer-6.u122	Of course. The Netherlands has tens of thousands of soldiers. You would really wrong those soldiers if you said that they would not be able to guard the Dutch borders. Of course they are capable of doing so. If you also ensure that there is no more asylum reception in the Netherlands and no more asylum procedure, as the PVV wants, then of course people will no longer come to the Netherlands. You often talk about the refugee treaty, but what you do not say is that it can simply be unilaterally denounced. If we don't have asylum shelter or asylum procedure, people won't come here anymore. The Dutch military and the Dutch military are indeed able to guard our borders.
ParlaMint-NL_2016-04-13-tweedekamer-6.u123	Every day, 400,000 cars move across the Dutch border; 400,000! Let's think about what it would mean to our economy if we had to control all those cars. That's something you can think of. In 2010, but also in 2011 and 2012, the PVV was one of the coalition partners in the Rutte I cabinet. She supported the VVD and the CDA. Even then, the PVV said she didn't want any refugees. Yet more than 16,000 refugees entered this country under your responsibility. Not only do you promise fairy tales for the future, but your results from the past are worthless.
ParlaMint-NL_2016-04-13-tweedekamer-6.u124	It is the fear of the D66 Group that border controls would be detrimental to the economy. Let's see what open borders cost: about €36,000 per asylum seeker. Let us look at the pressure on social services such as benefits, housing and health care. They cost money, as I say to Mr Pechtold. The collapse of the Dutch economy with border controls is ridiculous nonsense. Look at the controls between Canada and the United States of America. There, too, is always monitored and the economy has not collapsed. So border controls are and cannot be detrimental to the economy. I hear all kinds of mumbling from the benches, but I didn't get that right.
ParlaMint-NL_2016-04-13-tweedekamer-6.u125	In any case, you have invited Mr Zijlstra to an interruption.
