ParlaMint-NL_2016-09-27-eerstekamer-3.u1	I would like to welcome the Minister of Health, Welfare and Sport to the First Chamber.
ParlaMint-NL_2016-09-27-eerstekamer-3.u29	It's just in the structure. It's not in one article, it's in the structure. When the system is put into effect in this way, you end up with a nationwide system, a nationwide switching point. Perhaps the biggest flaw is that there is no explicit regulation that excludes a national referral index. If a national referral index had been excluded, it would have been much safer, but that is not settled.
ParlaMint-NL_2016-09-27-eerstekamer-3.u30	You will have to do so, Mr Bruijn.
ParlaMint-NL_2016-09-27-eerstekamer-3.u31	I had stayed with a quote from Mr Helmorn of the Netherlands Patient Federation. I continue: "This bill focuses strongly on the self-conscious patient who is able to make informed and informed choices and who to some extent has insight into his medical situation. However, there is another reality in the care: there are plenty of people who can't. A Motivation study shows that just under half of Dutch healthcare consumers fall under the category "less self-reliant'. The group also includes very vulnerable patients; people who rightly assume that the doctor or another healthcare professional is doing what is in their best interest or what is good. This includes taking responsibility for electronic data exchange. However, the problem is that ICT systems are rather black and white: consent or no consent. That one-sided focus on informed choice or on the dangers of exchanging medical data may have undesirable effects and may pose risks to vulnerable people. (...) I conclude with the question: how do we ensure that less self-reliant people cannot suffer and that caregivers are not limited in acting in the vital interest of their patients through a lack of consent in the system?" This was a long quote, but it does clarify an important question. I'd like to hear a response from the Minister. I also have a quote from Mr Voest from Branch Organisations Zorg. He says: "Finally, I mention the costs that this entails. If we have to take care of everything as it now stands, huge investments must be made in ICT and in infrastructure. More importantly, this will keep the doctor and the nurse away from the patient. They must first explain what the system is like. That is extremely annoying." Can the Minister indicate whether she can endorse this position and whether she can provide insight into the expected costs and effects on the doctor-patient relationship? Finally, a quote from Mrs Van Leeuwen of the Consumers' Union: "The direction of what happens to that data and when must lie with the consumer. He must have knowledge of that and be able to make his choices. We do not see enough of that in this bill. In our view, the cause of this problem is that it builds on a system that is not based on this principle but that gives more substance to the situation we now know." Would the Minister like a response to this position regarding the patient's directional function: does the Minister think that it has been sufficiently completed? In 2011, this Chamber unanimously rejected the bill, as privacy would not be sufficiently guaranteed. Senator Mrs Dupuis, a member of the minister's party, responded as follows: "The basic question was what the advantage of such a large-scale, rural system is. That question has not been answered." In November 2011, with the Mulder motion, the already rigged infrastructure of the EPD will be used for a new version of the EPD: the rural switching point (LSP). With regard to the PVV, the current proposal still fails to meet the basic question put by Senator Dupuis. "If one sees what is right and fails to do so, that is a lack of courage." This quote by Confucius was used earlier by our PVV colleague-senator Fritters, when she had this portfolio and this file under her care. It's a striking application here. The Minister has seen what is right, namely that the first bill was unanimously rejected by the First Chamber in April 2011. Afterwards, in the eyes of the PVV Group, she failed to submit a new, solid bill that responds to the previous objections of this Chamber. In doing so, she shows a lack of courage. The patient suffers from this, because the privacy of his medical data is at stake. Moreover, safety requirements are still not met, it remains too large-scale, liability in the event of abuse is not properly regulated and the patient still does not have sufficient control over his own medical record.
ParlaMint-NL_2016-09-27-eerstekamer-3.u32	Mr. Chairman. We live in an era in which we have 160,000 apps at our disposal in health alone, in which we can collect our steps, heart rate and other data through wearables, and in which an increasing number of hospitals offer patient portals. In his book The Patient Will See You Now from 2015, Eric Topol outlines the expectation that the arrival of the smartphone will mean "de Gutenberg" of healthcare. Topol's central thesis is that where the invention of the use of loose letters in printing by Johannes Gutenberg transformed modern times around 1450, the smartphone will transform healthcare. Where it's still the doctor who decides when the patient's turn is "the doctor will see you now," the smartphone will turn the proportions really radically, says Topol: "the patient will see you now." By eHealth.......................................................................................................................................................... Digital access to and exchange of data is the most normal thing in the world, but under harsh conditions. In this digital age, clarity about the rights, duties and responsibilities of all parties involved in the electronic exchange of medical data is literally vital. However, the scope of today's law seems more limited than the name suggests. It is not about electronic data exchange in the broad sense. The law ensures electronic exchange of data through systems used by multiple healthcare providers. It does not cover push traffic, such as whatsapp and email, and not internal patient portals. Can the Minister confirm that, so that we have no ambiguity about the scope of the law? Since 2009, this house has been talking about the digital exchange of medical data. This was first in the context of the electronic patient file and then on the basis of the current Client Rights Bill electronic data processing. There have been several letters, consultations, technical briefings and expert meetings over the last two years. My assessment is that many of us agree on the importance of the safe and accessible exchange of medical data. It is particularly important for patients who depend on multiple medicines to have a complete overview of their medication use. In a recent joint letter from a number of patient organisations, it was pointed out once again that good and safe medication use is becoming more urgent in an ageing society. The fact that this bill has been discussed so long and intensively does not have to do with the ultimate objective of secure digital file-making, exchange and access based on the patient's explicit consent. However, it has to do with the framework conditions, the feasibility and the fundamental sensitivity of medical data. My group has serious concerns about the feasibility and possible undesirable side effects of specified consent and about whether the rights of clients and patients are adequately guaranteed in the legislative proposal, in particular security and privacy. Firstly, my group questions the way in which the authorisation requirement is implemented. We agree that there should at least be explicit consent to the sharing of medical data. This is also legally secured by the General Data Protection Regulation and the Personal Data Protection Act. The Bruins Slot amendment has clarified this as "specific consent'. This sounds nice, but it introduces a legal problem. In international medical-ethical literature there are many forms of consent: explicit consent, broad consent, specific consent, informed consent, stepped consent and dynamic consent. However, the term specified permission was new to me. There is therefore no clear meaning in literature, in science and in the profession. A first question I should therefore like to put to the Minister under this legislation is the following. Can the Minister clarify this once and for all, which I have not yet found in the written preparation? The patient doesn't exist. We're all different, even if we get sick. This pluralism in society is reflected in health care. As far as my group is concerned, consent for the sharing of data should not only be explicit, but above all customised, allowing patients to adjust their consent if their situation, preference or understanding changes. In international literature, this is referred to as "dynamic consent': people can log into a file or portal and choose to open up all their data, open up specific data, or open up certain data only to certain helpers or applications. It is called dynamic, because you can change your preference at any time. My group would like to know whether the Minister had any such specific consent in mind. At the same time, there are hooks and eyes attached to such a system. It is quite difficult to make an assessment from your computer or at the desk of a pharmacy of exactly what you are consenting to and whether some medication data might be more relevant than you think at the time. So if people choose not to unlock certain data, that is their right. However, there will have to be some kind of warning, so that people are aware that there can be a risk. How does the Minister see that? And does the Minister guarantee that people remain free at all times not to consent to electronic data exchange at all? Recently, the National Family Doctors Association reported that patients and caregivers are being pressured to hand over copies of their files. I would like to hear a response from the Minister. And what about liability if patients do not consent to share certain medication data and therefore suffer serious harm due to side effects? Then I come to the technical feasibility of specified consent, which I have already called attention to. The Minister is putting this Chamber before a dilemma: we are asked to agree to the introduction of a system that provides for a system that is not technically possible at all. It is the role of the First Chamber to assess the quality of a law in its entirety, and that is difficult here. Over the next three years, the responsible parties will have to work together on an ICT system that provides specified consent in technical form and is also sufficiently safe and effective. Can the Minister give my group confidence that this will work? It is not exactly the case that other ICT projects involving the government have always been very smooth and safe. Can the Minister undertake to involve all relevant stakeholders in the "go/no go" decision? The Minister chooses to bring provisions 15a-c into force later, namely in three years' time. What is the Minister's plan if it appears that the specified consent cannot be technically achieved during the specified period of time? Let's look at it as optimistic as we are. Suppose, driven by the present bill, a good technical system has already been developed within a year. Then why does it only enter into force two years later? Can the provisions of Article 15a-c also enter into force earlier than the deadline set? The same applies to the digital copy: why do patients not get it for three years? In a number of hospitals where patient portals have been developed this can already be done! In other words, in principle, my group welcomes the shift from generic consent to dynamic consent, but we have questions and concerns about interpretation, liability, feasibility and voluntaryity. We also have concerns about the security and privacy of electronic exchange systems. Let me start with a disclaimer: 100% digital security and privacy means that we have to disconnect our computers and bury them underground. I realise that absolute 100% security cannot be guaranteed, and so we are talking about the moment when a system is safe enough. Two aspects can play a decisive role in the acceptability of digital exchange of patient data. A first risk to privacy is unauthorized access to files. By giving patients insight into the logging data and by refusing healthcare insurers access, a step in the right direction is taken here. I'll be right there with you on this. A second risk concerns insufficient security or careless handling of digital patient data. The NEN Standards Bill sets out the requirements for electronic exchange systems. My group supports the formulation of such standards, but believes that additional safeguards for the security of such sensitive data are necessary. For example, in recent years, double verification has been added in electronic payments, with the user having to give additional permission to make a payment by means of a text message or a login device. As a result, online abuse and fraud have fallen significantly. Is the Minister prepared to instruct to develop additional safeguards for the security of care data? The European Data Protection Regulation requires data protection-by-design when processing personal data. This was called privacy-by-design. Is the Minister prepared to agree and also to ensure that data protection-by-design is the starting point of any system? I expressly say 'what kind of system', because the proposal aims to be technical and system neutral. However, I get the strong impression that it alludes to a continuation and extension of the nationwide linking point. Working with such a referral index has been assessed by the Dutch Data Protection Authority and recently by the judge as sufficiently safe, but direct communication between helpers without a point of contact can even better guarantee privacy.
ParlaMint-NL_2016-09-27-eerstekamer-3.u33	I see a third problem for data security. That's what's in the digital transcript of patient data to the patient. As soon as the patient receives the information, the professional secrecy lapses. The data will then be in the hands of a patient who owns it. Mrs Bredenoord started her speech with all the beautiful apps that are available today and the enormous pressure app developers put on users to throw data they own into those apps. That is, of course, terribly unwise, but we all know that it is actually happening. How does Mrs Bredenoord view that this patient can so easily drop professional secrecy?
ParlaMint-NL_2016-09-27-eerstekamer-3.u34	I would no longer call it professional secrecy, because it is at that time a matter for the patient how he deals with his or her medical data and personal data. I will also have a question about this later when I come to the specified consent. This is part of the complex whole: to what extent are patients now able to control and manage the data with these systems? In a few minutes, I will have a question for the Minister on this subject.
ParlaMint-NL_2016-09-27-eerstekamer-3.u35	I am very interested in that question, but I would also very much like to know from Mrs Bredenoord what she thinks. I think she is right to say that the current patient is unable to oversee the consequences and risks. Let me make a comparison with traffic. We all wear seat belts for our own safety, but he is legally obliged, because we know that the citizen likes to get in the car without wearing the seat belt.
ParlaMint-NL_2016-09-27-eerstekamer-3.u36	As far as I am concerned, it is time for some sort of digital civil rights agenda. I do not think that we are sufficiently prepared for the large-scale digitisation of society. We don't oversee the terms or agreement of whatsapp, or any other app we download. I think this is a much broader issue. By the way, my party has this digital civil rights agenda in the election programme. I see this as a very broad issue which needs to be worked very hard in the coming period.
ParlaMint-NL_2016-09-27-eerstekamer-3.u37	Finally, Mrs Gerkens.
ParlaMint-NL_2016-09-27-eerstekamer-3.u38	Finally. Then it could be no different than that D66 as a party on privacy says that this is not a good development and that the citizen is not yet ready; let us first ensure that the citizen is sufficiently secure and strengthened to be able to cope with it.
ParlaMint-NL_2016-09-27-eerstekamer-3.u39	As far as I am concerned, we are debating this today. I'd also like to wait for the Minister's answers. I will continue to work with such a referral index. This has been assessed by the Dutch Data Protection Authority and recently by the judge as sufficiently safe, but direct communication between helpers without a switching point can even better guarantee privacy. How system or technique neutral is this law? What is the chance for alternative, perhaps safer, ICT systems? In any event, monitoring of the electronic exchange of data and the techniques and practices used will need to be stepped up. For example, fines against unauthorised access to files have been formulated, but this must be subject to control. The Personal Data Authority should be able to keep pace with developments in the field of digitalisation in healthcare in its task. If the Dutch Data Protection Authority still works with the budget of the pre-digital era, it does not have the capacity to conduct in-depth investigation and supervision. Is the Minister prepared to investigate ways of significantly increasing the monitoring of the electronic exchange of information and to inform this Chamber of these possibilities? Depending on the Minister's reply, I am considering asking the Chamber for a ruling on this matter. In addition, health insurers may have access to medical records in case of suspected fraud. The House of Representatives recently adopted bill 33980. A number of predecessors have already mentioned this. This bill has yet to be dealt with in our Chamber. How do the provisions of the Law 33980 relating to access to medical records by health insurers relate to the prohibitions contained in the present bill? Are health insurance companies allowed to look into digital patient files or not? In this digital age, clarity about the rights, duties and responsibilities of all parties involved in the electronic exchange of medical data is literally vital. My group still has serious concerns about the feasibility and possible undesirable side effects of specified consent and about whether this bill adequately guarantees the rights of clients and patients, especially security and privacy. We await the answers with interest.
ParlaMint-NL_2016-09-27-eerstekamer-3.u40	I would like to ask a question, partly in connection with the interruption by Mrs Gerkens. At the moment, information is widely exchanged. At the moment, there are all kinds of systems for it. At the moment, patients are already getting a copy of that. This law regulates, for example, Article 15c that the healthcare provider has an obligation to provide information. He must inform the patient about these data and about the dangers that occur if he deals with them in an unwise manner. We're all thinking in the same direction. Surely it is necessary for the law to be introduced now that we have been exchanging these data on a large scale for decades without any such security measures. Article 15c actually responds to what Mrs Bredenoord is asking.
ParlaMint-NL_2016-09-27-eerstekamer-3.u41	Article 15c is one of those important provisions that is being postponed.
ParlaMint-NL_2016-09-27-eerstekamer-3.u42	That seems logical to me, because at the moment that specified consent is not yet in question. If you are now in favour of the earlier introduction of Article 15c, we can discuss this.
ParlaMint-NL_2016-09-27-eerstekamer-3.u43	If previous implementation is possible, not only technically, but the whole of health care must be ready and we must all find it safe enough, we can of course talk about it.
ParlaMint-NL_2016-09-27-eerstekamer-3.u44	Mr. Chairman. Good care comes together. This is a statement that is not only about a good dialogue between people who are ill or have a disability and their healthcare provider, but also about pooling expertise and information from different healthcare professionals to ensure that people get care that suits them. It is a good development that more and more healthcare providers are involved in the care of one patient or patient. Client: Diseases are increasingly interrelated, medication for one ailment affects the functioning of another medicine and specialists can watch with other care providers remotely to make good diagnoses and achieve effective treatments. The increasing technological potential relates not only to innovations in diagnostics and treatment options, but also to the use, storage, processing and sharing of data on the care provided. Other colleagues have also commented on this. Today, we are discussing a legislative proposal that focuses on the framework conditions for electronic data processing by healthcare providers and the rights of the client in doing so. The bill has a long history with a search for the division of roles between the government, healthcare providers, patients/clients and also other field parties when it comes to capturing and sharing client data. The Electronic Patient File Act was rejected in this Chamber in 2011. This means that the discussion in recent years has shifted to the question of how we can make good and workable agreements with each other on the collection, retention and sharing of electronic information about clients and their care provision. The digitisation of client data has taken off in the last decade. Almost every healthcare provider has now electronically recorded the client's data. On a local scale, and in part also nationally, customer information is exchanged. As a general rule, clients shall have no objection to their legal representatives as well as to their legal representatives. Often they will even be happy to share data if their care is improved, if they no longer have to provide the same information and/or do not have to repeat investigations. At the same time, it is perfectly understandable that people want and need to be able to make reservations about who can see and use what information. After all, it is very personal information that you normally only want to provide to healthcare providers if it helps to improve the care you receive. As a PvdA group, we do not want to let go of the ambition of working towards a situation in which every person becomes the owner of his own electronic client file, also known as personal health file, with all the elements of the care he has received anywhere. Everyone must be able to decide for themselves who can use their medical information. We are curious whether the Minister shares our ambition and whether, in addition to the bill we are discussing today, she is working on supporting policies and legislation to ensure that a safe personal health file is created, whereby every Dutchman can decide who can access his data. We realize that there is still a long way to go before each person has their own integrated personal health file. This means that until then, like today, we are mainly talking about how to deal with the data that healthcare providers record from clients. The legislative proposal now before us is intended to provide clarity from the legislator on the rules of play that everyone has to observe when information from clients is electronically recorded by healthcare providers and where it is at issue.... is shared with other healthcare providers. The bill is clear about what we are working towards: specified consent whereby the client determines who may view and use what information. This also applies to the provision of electronic information to the client about whom his data has been accessed and/or used. We thank the Minister for the clarity she has given in the written answers to the committee's questions on this bill and the clear technical briefing of the staff of her ministry. Let us point out that the PvdA Group welcomes the complete clarity of the bill on the prohibition of access to data for health insurance companies, occupational doctors, insurance doctors and medical examiners. People absolutely do not want their personal and medical data to come into the hands of these parties. This has been demonstrated not only in the preparation of this bill, but also in the reactions of people to Bill 33980, which deals, among other things, with the use of medical data for the fight against fraud by health insurance companies. A tricky point in dealing with this law is that the Minister is asking us to agree to the whole law, while it contains a number of articles of law which are already known that healthcare providers will not be able to act in accordance with these articles in the coming years. This concerns both the specified consent in electronic exchange of client data and Article IIA which refers to the AMvB with privacy requirements and references to NEN standards. This raises a number of questions about the implementation and feasibility of the law. The question is also how we as the First Chamber are involved in the follow-up process. The Minister repeatedly stressed in the responses to the questions raised by this Chamber that it was important that this bill should enter into force as soon as possible in order to clarify to the field parties how to deal with the use, processing of client data and the rules of play applicable to the electronic exchange of this data. Field parties such as the Patient Federation Netherlands, the KNMP, the Reuma Fund, the PCOB, the Union KBO and earlier ActiZ also demand this clarity. They indicate that this will help to make progress in achieving systems and agreements on specified electronic data exchange. Other parties expressed their reservations and objections to this bill in writing and in the hearing. They deal with several issues: the fear of increasing administrative burdens, the uncertainty about the rules of the game that will apply with specified permission, the fear that privacy will come into play when data is stored in the cloud and about objections to making the NEN standards mandatory in the AMvB at all or now. To begin with, the draft of the said AMvB still has to be submitted to the two Chambers of the States General. The PvdA Group is curious when the Minister expects to be able to offer the AMvB. The Minister has already stated in the note on the report that the AMvB "mandatory reference" is made to NEN standards 7510, 7512 and 7513, and that the AMvB includes compliance with, I quote, "the latest state of science and technology of privacy-enhancing measures." This raises a number of questions. How does the Minister intend to realise that all healthcare institutions always comply with "the latest state of technology and science of privacy-enhancing measures"? Although this ambition sounds attractive, the question is how to implement such a provision. Moreover, it seems reasonable to us to give care institutions sufficient time to adapt their systems when new privacy-enhancing measures become available. I would like a response from the Minister on these points. To questions from our group about the time provided by healthcare providers to comply with all privacy requirements, the government responds in the note following the report that the AMvB can enter into force at the same time as the legislative proposal. We are curious as to how the Minister came to this conclusion. Especially now that this AMvB is not yet available. In addition, VGN and ActiZ stated in their letter that they are not involved in the creation of the AMvB that deals with the privacy aspects, do not yet know the concept of the AMvB and that their members have not yet been able to form an opinion. They expect their member institutions to need at least one year to meet the requirements of the AMvB. If it were true that most institutions in long-term care do not yet comply with the NEN standards, this would mean that almost all institutions are certainly more than 600 institutions - in the long-term care after immediate entry into force of the AMvB in the introduction of the law acting in violation of the law. That doesn't seem like the PvdA's intention. It will give the client false security and potentially unintentional clients a sense of insecurity rather than safety about how to deal with the data that their healthcare provider has recorded or wants to share with other healthcare providers. The question also shows that the introduction period of one year is common. This is also the deadline that healthcare providers, such as hospitals, needed to implement the NEN standards. In particular, the standard was 7510. Is it true that the industry associations in the care sector are not or only limited in their involvement in the development of the concept of AMvB? If so, why was that chosen? Can the Minister indicate how many of the institutions in the care of the elderly and the disabled have already implemented the NEN standard 7510 and in its extension NEN 7512 and/or 7513? Is the Minister prepared to agree to allow the AMvB to enter into force only in 2018 in the context of its feasibility to give institutions sufficient time to meet the requirements of the AMvB? Then the articles relating to the specified consent. The Minister proposes that the provisions on specified consent and the provisions on electronic access and copies should not enter into force until three years after the introduction of the law. These are Articles 15a, c, d and e. We would ask the Minister to explain how it has reached a period of three years and what factors determine whether the said period is real. In doing so, we kindly ask the Minister to address four specific points: The Ministry and the relevant field parties indicated at the end of 2015 that it would take a year for it to be clear whether the specified consent would be technically possible. We're almost a year away by now. We would like to hear from the Minister about the state of the exploration of the feasibility of the specified consent and how it is now looking at the moment when the said articles should come into force. Furthermore, following the report, the Minister states that the availability of public and private means of authentication at a high level of reliability is essential to give clients electronic access to their files. Others were talking about that, too. Pilots are currently being carried out. The Minister for the Interior and Kingdom Relations has now informed the House of Representatives about the pilot conditions and criteria. In its letter of June last year, the VWS Minister established a link between the speed with which these resources are being developed and the introduction of the deferred parts of Article 15. Does this mean that the introduction of these articles cannot continue as long as these authentication tools are not available? We have received many reactions from people who fear that this bill is an erosion of self-determination over their data and that the privacy of their medical data by storing the data in the cloud is at stake. What is the Minister's response to the concerns expressed by these people? Finally, in response to questions from GroenLinks, the Minister states in the note following the report that some institutions will now be able to operate with specified consent about ten hospitals earlier than the three years mentioned above. The said provisions of Article 15 shall not yet apply. How can it be ensured that these situations are conducted in accordance with the law and that these institutions are governed by the provisions governing their actions and the design of the systems? In view of the responsibility this Chamber has for assessing the quality and feasibility of legislation, we would ask the Minister to inform us periodically, for example every year, of the progress of the pathways initiated to ensure that the deferred sections of Article 15 come into force in three years' time. In addition, we would ask the Minister to enter into consultation with this Chamber should circumstances arise which would prevent the introduction of these articles within three years. The question then arises as to whether and, if so, how to do justice to the broad wish of this and the House of Representatives to allow clients to decide for themselves who will have access to data about them collected and shared in health care. The question is also what will happen if unexpectedly in the coming months or years it turns out that it will be possible to work with specified consent in a simple, large-scale and secure manner. Our final questions are about the role of the ministry in the steps that need to be taken to create a working system in which all Dutch people have confidence.
ParlaMint-NL_2016-09-27-eerstekamer-3.u45	Mrs Nooren keeps saying that it is so important that the patient becomes the owner of the data and that he will determine who he wants to share it with and who he doesn't. I see a dilemma in this too, because the patient does not always know who should have what data. What doesn't always make sense to me as a patient is sometimes badly needed. Does Mrs Nooren also see this dilemma and how does she intend to resolve it if the patient has total control over the sharing of data?
ParlaMint-NL_2016-09-27-eerstekamer-3.u46	I will put a number of questions to the Minister on this, because I acknowledge that this is the issue. At the same time, it is a responsibility of the Ministry and healthcare providers to properly inform people about why it is necessary, just as it is now. There must always be a dialogue about what needs to be done, no matter how you do it. That's no different than it is now.
ParlaMint-NL_2016-09-27-eerstekamer-3.u47	I understand that it is no different than now, but now the direction lies with my GP or specialist who decides with me on further research; he will then share the data. It is, of course, two-fold. There may be pressure where it is not necessary and I can remember where it should be needed. How do we ensure that nothing goes wrong?
ParlaMint-NL_2016-09-27-eerstekamer-3.u48	It's a misunderstanding that I wouldn't be going over my medical records right now. I can go to a health care provider every day and get a copy of my medical records. As weird as it is, I can even put that on the Internet. That situation doesn't change because of this bill. However, this legislative proposal contains a number of provisions, such as the NEN standard 7510, which say a lot about how to handle data even wider than electronic data and what rules apply to it. The essence, in my opinion, is that we expect healthcare providers to have a dialogue on what information is needed to provide good care. This is regulated in the training and in the Medical Treatment Agreement Act. This bill does not change that responsibility.
ParlaMint-NL_2016-09-27-eerstekamer-3.u49	Finally, Mrs Gerkens.
ParlaMint-NL_2016-09-27-eerstekamer-3.u50	I have to conclude that I am not getting an answer to my question. It is precisely how we incorporate these safeguards into the system that we say that the patient is the one who manages and controls all the data and that he decides who they are shared with. That is a slightly different situation than it is now, since we do have the right to request our file and we can decide on changes, additions and even removal. It's all possible, but it's in the health insurance company's computer and it's not in my computer.
ParlaMint-NL_2016-09-27-eerstekamer-3.u51	In my opinion, this bill is not about whether the file is in the hands of the patient or the client. The proposal before us today is about determining who will share the data available from providers via a push or pull system. That's as far as this bill goes. It seems important to the PvdA Group that the VWS Ministry should play a stimulating and, if necessary, guiding role in meeting the ambitions of this bill and that the Ministry should involve and facilitate all field parties. Does the Minister recognise this interest? And if so, how is she going to fill this role? And if not, what is her confidence based on that without the active involvement of VWS care wide both the privacy aspects of working with and sharing electronic client data and the specified consent will be achieved as soon as possible? Finally, on behalf of the PvdA Group, I would ask for specific attention to be paid to the way people are being prepared for the choices they can make to provide data that a healthcare provider records about them. When you talk to people about this bill, the ideas and expectations vary greatly. You come across people who value the fact that they are dealing with the question of who gets what information about them and who attach great importance to their decision. In addition, there are many people who think that their caregivers can already access all their data. Then there are people who assume that if they give permission in one place and then it is usually about their pharmacy or general practitioner they have arranged that every health care provider they will need in their lives has all the necessary information. How will the Ministry ensure that all Dutch people get a good idea of the content and meaning of this bill and are well guided in the choices they can make? And how do we prevent people from becoming dependent on the way in which individual healthcare professionals look at the bill, in particular with regard to making medical data available to other healthcare providers, providing information to clients from their files and their use? I'll come to a conclusion. The Client Rights Bill in electronic data processing can make an important contribution to the information security of healthcare systems and the individual right of disposal of the information collected about them by healthcare providers. In order to achieve a functioning system, it is essential that the technical conditions are realised as quickly and safely as possible, but above all that all parties want to put their shoulders on it to ensure that implementation is carried out as quickly as possible and that people are adequately supported in their choices. According to my group, the VWS Ministry will continue to play a crucial stimulating and facilitating role on the road from idea to practice in the coming years. It assumes that the Minister and the Ministry are willing to do so and looks forward to the Minister's answers to her questions.
ParlaMint-NL_2016-09-27-eerstekamer-3.u52	Mr. Chairman. This bill has a long history and has its origins in rejecting the electronic patient file in the First Chamber because the guarantees of that electronic patient file were not sufficient. The Minister then gave the free hand to private parties to develop the EPD, something that was already going on during the EPD discussion. Some parties will say that the electronic patient file is long overdue and that if we do not lay down detailed rules, the safeguards are insufficient and the patient is poorly protected. The question before us is whether this bill provides better protection for the patient. In my speech, I will focus on three issues: what are the problems facing the SP? These themes are: 1. giving generic or specified consent, 2. the right of access to the file, and 3. the e-health companies and their interests. I'll start with the permission issue. In the discussion on the electronic patient file, the First Chamber clearly told the Minister that it did not want generic consent. It also stated that the patient has the right to decide whether or not to give consent. The patient's interests always formed the background to this dossier, namely the prevention of errors due to lack of knowledge of the file, as well as the ease of the patient who does not have to repeat her whole story over and over again, although this may be in the patient's best interest, but that may be on the side. One of the points of discussion is whether or not to grant generic consent. No sane person is in favour of generic consent. Both chambers have also expressed their views on this issue clearly in the past. Moreover, it is illegal to grant that generic authorisation. However, the law is so broad that it can easily lead to generic consent. Generic consent is undesirable and the Minister now wants to send a clear signal. So it comes up with a law to put pressure on industry, which must have regulated the specified consent within three years in its systems. In three years' time, it must really be settled, because then that part of the law will come into force, which has now been repealed. Until then, however, generic consent is required. What happens if no specified consent is possible within those three years? Do we then retain the generic consent? I like to be clear about that. Subsequently, a number of parties called on the First Chamber to wait a while with this law, because it is not yet clear whether the specified consent is possible or workable at all. What if they're right? Why not wait until the time is clearer that specified consent is possible in the way we want? If the specified consent is indeed not possible within three years, will this part of the law be suspended any longer? Does the Minister then arrive on a shortcut at a situation where, in the opinion of the First Chamber, the protection of the patient is not adequately regulated? What exactly is that specified permission? Can the Minister explain this? That the granting of specified permission has quite a few feet in the earth, was already demonstrated by the plea of the LHV which states that the patient must give very much consent. Patients should be able to specify authorisation at a very detailed level which may require a large number of consents. The question is how to keep an overview of what you have or have not given permission for. In the end, the patient will have three choices: to open up everything, to open up a section according to the rules as described or to close everything. My question is whether the patient can properly assess the risks involved in giving consent or not. I believe that the majority of patients cannot look into a glass ball and therefore cannot know what consent might be possible in the future. That conversation should be held in the general practitioner's office. My feeling tells me that this should not only be easier, but also safer. The pressure on the patient to release everything so that he or she will not miss anything will be great. Three weeks ago, I had to get my youngest child medication at the hospital pharmacy because my usual pharmacy didn't have it in stock. I was asked if the child was connected to the LSP. It is not, and I specifically chose this because of the privacy sensitivity. Then I was told that the medicine could not be given; that was only possible if the child was connected to the LSP. At a time like this, you're scared, especially when that drug is needed, and that's it. Luckily, I was able to regroup and tell you what medication my child had. I got the medicine after all. However, I wonder how many people are able to take that step. I'm telling you this to illustrate the pressure of the parties to release and unlock files, and not to stick to the non-sharing of that data. Digitising those files is a fact and a process that cannot be stopped. By the way, this is already worth a policy debate. I refer to the complaints of, for example, VU doctors who lose their freedom of choice in the treatment of the patient as the system requires them to do their job. The question is whether this digitization is done in the best possible way for the patient. It's true, it provides more protection than paper files I see lying around the desks at the hospital. No, that's not very privacy-minded, I agree with Mr Bruijn. But if anyone sees my file there and has the chance to go through it, then a few of them know about my file and not the whole world. That is the risk of a system full of big data: in a hack everything is on the street. I challenge the Minister to convince me that such a system can be set up safely and unhackable. That's impossible, that's impossible. So it's up to the government to get the developer to think about how to set up these systems safely. So that's not with big data.
ParlaMint-NL_2016-09-27-eerstekamer-3.u53	Apart from the fact that the SP in the Lower House the motion in part No. 35 which states that the exchange of medical data, regardless of the exchange system used, can be secured in a foolproof manner. My group in the House of Representatives did not vote in favour of this, after all, is the question to Mrs Gerkens whether we are going to introduce systems with this legislative proposal or whether we are going to secure existing systems as well and as badly as we can. The latter seems to me to be the case. I share Mrs Gerkens' concerns and interpret them as a plea to introduce this law as soon as possible.
ParlaMint-NL_2016-09-27-eerstekamer-3.u54	Yes, Mr Bruijn, you and I differ. We agree that protection is not properly regulated at the moment. We agree that this should be done much better. However, I disagree with you that this law regulates this. On the contrary, I believe that the law further worsens the patient's position. I would have preferred the Minister to have come up with a law that would provide that security. That's not true.
ParlaMint-NL_2016-09-27-eerstekamer-3.u55	So you are actually in favour of speeding up the implementation of, for example, Article 15c, which at least ensures that the patient is properly informed before entering the path of electronic data exchange?
