ParlaMint-NL_2016-02-17-tweedekamer-5.u1	I would like to welcome the Prime Minister and the Foreign Minister.
ParlaMint-NL_2016-02-17-tweedekamer-5.u38	Mr. Chairman. The Prime Minister is about to return to the umpteenth EU summit, and that is a pity. The most important point at that summit is once again the asylum crisis. However, this crisis is not resolved by the European Union, but only made worse. After all, in recent years, Brussels has come up with only rules and guidelines in favour of asylum seekers and foreigners. Asylum seekers are never stopped and are always entitled to procedures and reception. They can receive residence permits on the basis of the most soft criteria, and that even applies to criminals among them. With the full support of the cabinet, the European Union has made itself so weak that it wants the asylum crisis to be resolved by Turkey. With that country, with Turkey, a deal has been made that is too wretched for words. In exchange for a lot of money, in exchange for a vision of EU accession, in exchange for a vision of visa liberalisation, Turkey must limit the flow of migrants to the EU. In addition, many refugees from Turkey need to be taken over by European countries. In a letter today, we read that unfortunately the cabinet agrees with that. Then, of course, the question arises as to how many that will become. The EU and the cabinet are all in the throes of Erdogan, who can now blackmail himself completely. Our Prime Minister has also been fooled with open eyes. In order to sell this Turkey deal to the citizens, the Prime Minister is constantly deluding himself with figures and with deadlines for resolving the crisis. In December last year he already said that the asylum influx through Turkey really had to be reduced within a few weeks. Of course that didn't work out, after which he kicked out the can a month later. Then there was the announcement that there really had to be results within six to eight weeks. Those days are almost over and in the meantime no one knows what will happen if that does not happen again. The cabinet itself is the least clear about that. The only thing that is visible is the powerlessness and total lack of action of the cabinet. The time for muddying must really be over. Stop making senseless EU meetings. Do not always mirror the citizen before he stays out. Get a really big line through that embarrassing deal with Erdogan. That's what the PM's PVV is asking. Finally take matters into your own hands and choose the Netherlands. Close your own, Dutch borders and don't allow any asylum seekers. I'd like to hear a response. Unlike our Prime Minister, many Eastern European countries dare to counter the unelected Brussels bureaucrats. These countries say, for example, that they are not going to participate in making asylum seekers from Italy or Greece appear. These countries refuse to participate in the Brussels policy of mopping with the tap open. patriotism lives there. It is wonderful to see that more and more countries are no longer being united in common EU policies, policies that fail on all fronts. Many countries want their own freedom back. Many countries want their own borders back. That is what is causing the EU to collapse, and that is very good news. The forthcoming referendum in the United Kingdom can hopefully speed up that process.
ParlaMint-NL_2016-02-17-tweedekamer-5.u39	What Mr Fritsma is saying here again is not new. But I'm still in it week in, week out to hear it all again. So let me ask a few substantive questions about it again. Mr Fritsma says: Europe is powerless and it is impossible to tackle this together with Europe. He says: say it all, don't go there anymore, stay in the Netherlands and close the borders. So you have to cancel all kinds of international treaties. In general, the PVV is not so sensitive to this. Well, I guess I'll just have to ask you the next question. The PVV wants to close the borders completely. How exactly does the PVV intend to do that? America is failing to close the border with Mexico. Not even North Korea can close its own borders. How exactly does the PVV see that? This is a delusion that is raised every time. I just want to know how the PVV wants to do that.
ParlaMint-NL_2016-02-17-tweedekamer-5.u40	We've explained that a lot. You can man border posts. You can check between border posts. You can use the military and the military for that. Furthermore, you simply stop maintaining asylum reception and asylum procedures. I say again: no more asylum seekers will be admitted and no more asylum seekers will be received here. That is what needs to be done logically. Even Mr Verhoeven's group must see that it is a chaos in Europe and that the cabinet in Brussels supports a policy that fails enormously. We're not getting anywhere near a millimeter. Hotspots, redistributing refugees? It's crazy, it's not working. That's why you have to choose your own boundaries, indeed. That's what the PVV keeps repeating as long as it's necessary.
ParlaMint-NL_2016-02-17-tweedekamer-5.u41	D66 does not want to close its borders, of course, D66 wants to cooperate with other countries and D66 wants to trade. However, I am talking about what the PVV wants. Who says it's possible, who claims time and time again that it's possible to physically close the borders with border posts and the army. I told you, America can't close the border with Mexico. How does the PVV intend to ensure that the Dutch border is closed at all places? How's the PVV gonna make that happen? It sounds good, but it's never worked out properly. You should want that, too.
ParlaMint-NL_2016-02-17-tweedekamer-5.u42	I regret that D66 underestimates our Defense and our Royal Marechaussee. Of course, our army is capable of doing so. Of course, border posts can be manned. Of course, there can be surveillance in between so that you can actually stop asylum seekers. Once again, if we take this asylum procedure off the table, if we stop providing asylum, they will not even come to the Netherlands. That is what the PVV is in favour of, and we keep repeating it. Once again, we have not created this chaos, as groups like yours have done with this open border policy, which we are now reaping from.
ParlaMint-NL_2016-02-17-tweedekamer-5.u43	Mr Verhoeven, I don't think you're getting along very well, but go ahead.
ParlaMint-NL_2016-02-17-tweedekamer-5.u44	Mr President, sometimes in a debate it is not necessary to get together but to force each other to work out what sounds so good here in the Chamber, which sounds so good for the camera, which sounds so good in the media, just to see if it works or not. I think that should be done today. I therefore believe that Mr Fritsma should answer all my questions about this...
ParlaMint-NL_2016-02-17-tweedekamer-5.u45	I'd love to!
ParlaMint-NL_2016-02-17-tweedekamer-5.u46	... because it's all bullshit. Apart from the fact that D66 has a completely different picture of how to solve this problem internationally and everything that is needed for it, I keep saying that what the PVV says it can do is impossible. I think it is bad that the PVV is turning everyone's mind with a solution that will never be realized. I would therefore ask Mr Fritsma to be very clear about all the steps that are being taken to 'close the borders', those words, because I have never seen them.
ParlaMint-NL_2016-02-17-tweedekamer-5.u47	I just explained that. Mr Verhoeven is talking about the Refugee Convention. We tabled a motion to withdraw it years ago. You can do that, you can do that unilaterally, you don't even need other countries to do that. Again, treaties can be abandoned. We can now start closing the borders. Mr Verhoeven talks about rules and treaties. Look what Germany is doing! Germany is throwing the Dublin Regulation overboard. Those are rules that are thrown overboard, but then suddenly it can be D66. If it is to the advantage of asylum seekers and foreigners, anything is allowed. That is the hypocrisy I would like to mention. The rules we had in the Netherlands for the admission of asylum seekers have also simply been thrown overboard by your group. In 28,000 cases, a general has been pardoned. In 28.000 cases, the judge has said "there is no grounds for residence, you must leave the Netherlands," but your group says: don't worry about the judge, throw the judgments through the shredder. That is throwing policy overboard, so do not come to me with the remark that something can or cannot be done.
ParlaMint-NL_2016-02-17-tweedekamer-5.u48	Please continue.
ParlaMint-NL_2016-02-17-tweedekamer-5.u49	As I said, it is wonderful to see that many countries in Europe are no longer united in common EU policies. The EU is collapsing, and that is wonderful news. The forthcoming referendum can speed it up, as I said. The end of the EU is a real prospect and a good prospect for the PVV which the Prime Minister must anticipate with regard to the PVV. Freed from the EU, the recovery can begin towards a free, prosperous and safe Netherlands. A Netherlands without mass immigration, without asylum invasions and without Islamization. That's what the PVV is ready for.
ParlaMint-NL_2016-02-17-tweedekamer-5.u50	Mr. Chairman. Without any shame, Prime Minister Rutte succumbs to Turkey's pure blackmail. The EU is bluffed off like a little boy. It's an extremely dangerous game. The Turks get what they want, many billions of them and a view of Turkish accession. According to the Turkish Prime Minister, even great steps were taken last week. The only thing the EU brings in is new Turkish threats to open the gates to Europe. The negotiations are steeped in weakness and fear. It's terrible to see. We say to the Prime Minister: no longer bow to Turkey, don't give the country any more euro cents and never make it a member of the EU. The Erdogan regime also shows its double agenda in Northern Syria. That's where the heroic Kurds are bombed. Why does the Cabinet keep quiet about these cowardly attacks? Take a strong distance from the Turkish alliance with ISIS. I'd like to get a response from the Prime Minister. Even NATO must now intervene in the asylum crisis. But why doesn't she send the boats with asylum seekers back to the Turkish coast? NATO needs to put together a fleet blockade that doesn't get through anything or anyone. I'd like to get a response from the Prime Minister. A number of countries are finally taking firm action. Since Sweden introduced border controls, 90% fewer migrants enter. France is putting a total stop to the inclusion of asylum seekers. The Eastern European countries too are courageously opposed to Merkel's plans and want to build a Bulgarian-Macedonian fence. We say: close the Dutch borders too, finally stand up for the interests of our own people. The Maastricht, Schengen and Dublin Treaties have failed. A Brexit is in sight. The end of the European Union is getting closer and closer. That's very nice news for the Netherlands.
ParlaMint-NL_2016-02-17-tweedekamer-5.u51	Mr. Chairman. I would like to address three issues: first migration, then Turkey and finally the United Kingdom. "Of course you can stop migration." I quote a recent headline from one of the national newspapers. The key message of that article was: first of all, the EU must put its external borders in order and address migration problems at the root. The SGP strongly supports both measures. The Schengen area cannot function without proper surveillance of the external borders. Cooperation between European Member States is essential. The harmonisation of procedures, procedures and investments in border control is one thing, but we believe that border surveillance remains primarily the responsibility of the Member States. The government agrees with this, and so it is all the more remarkable that the government wants to agree to a possible unilateral decision on border intervention by Frontex in a Member State, even if that Member State does not want to do so. I believe that this goes directly against the principle of subsidiarity and undermines the sovereignty of the Member States. I ask the Minister once again about his view of the legal basis chosen by the European Commission in relation to the sovereignty of the Member States. Why, in the case of long-term weak border controls, does the Minister choose to restrict national powers instead of temporarily removing them from the Schengen area? The President's Report of 13 February mentions the importance of good return mechanisms for migrants. What is the Minister going to do at European level to further strengthen the policy on this issue? I come to my second point: Turkey. Cooperation with Turkey as it takes shape is essential, but it cannot be cooperation at all costs. We agree that Turkey should receive political and financial support to make the refugee crisis manageable. At the same time, political pressure is needed to improve the overall human rights situation and also the worrying Turkish military actions in Syria. If the West is not careful, then Turkey drags NATO into a ground war; that is at least the ambition that Turkey recently expressed. I would say: if they need ground troops, they could appeal to the Syrian Kurds who are fighting against a common enemy instead of bombing them. As far as the SGP is concerned, we must never be messed up in a ground war. We must recognise Turkey's regional key position, but at the same time we must pay attention to the many other political and economic interests it is pursuing. Everything continues to point out that Turkey is not fit for EU membership. Does the Minister share that view? My final point concerns the United Kingdom. I'll take that from the east to the west border. It is essential for Europe to meet the requirements of the United Kingdom so that the Netherlands and other European Member States also benefit from this agreement. This is good for the EU as a whole. It is a good thing to turn a rigid colossus of power into a whole that serves the Member States, which together form the EU. Unlike the cabinet, the SGP believes that concerns about the impact of EU decision-making on Member States should also be taken into account if they hinder or hinder the development of the euro area, also because such concerns often concern these developments from and within the euro area. The SGP supports the proposal to introduce EU targets for reducing regulatory pressure from the EU for increased competitiveness. The SGP is also in favour of a subsidiarity mechanism to further strengthen or re-establish the position of national parliaments in order to ensure national sovereignty. In addition, the SGP aims to establish a safeguard mechanism against the negative effects of differences in national social systems leading to migration flows. These are all wishes that the United Kingdom has also put on the table. All in all, the SGP says that it is precisely if we want to keep the United Kingdom in the EU that we must meet the requirements, especially when it comes to strengthening national sovereignty and more consistent application of the principle of subsidiarity. I'd like to get a response from the Minister. I would like to add the following question. Are we not forced by the wishes of the United Kingdom to at least think more thoroughly about defining the borders of European integration? The whole mechanism that ensures that the EU's power continues to expand must stop at some point.
ParlaMint-NL_2016-02-17-tweedekamer-5.u52	Mr Voordewind of the Christian Union also mentioned the unstoppable integration within the European Union. I do not think that image is entirely in line with reality at the moment. We need a common solution to the problem of the flow of refugees. We need a common solution to tackle terror. We can find a common solution to strengthen our energy procurement. None of that's gonna happen. Why, therefore, is there still talk of 'further European integration', whereas the Member States of the Netherlands are also guilty of the fact that they are constantly on the brakes? Why does the SGP bring that image forward all the time?
ParlaMint-NL_2016-02-17-tweedekamer-5.u53	This picture is based on the way in which the EU itself acts. As a result, many national parliaments are aware that in this Chamber, too, there is a danger that all kinds of tasks will go to Europe step by step. Everything shows that Europe's objective is political unification, or at least a kind of federal state in which a sort of United States of Europe is created. You can tell by all kinds of measures that are being proposed. However, the objective of many Member States is sound cooperation. Europe has become a power within itself. You have to distance yourself from that. If the EU accepts and is satisfied with a clear form of cooperation and clearly defined powers, I think that decision-making, including in the field of energy and counter-terrorism, would be much more flexible. My last question to the Minister was about that.
ParlaMint-NL_2016-02-17-tweedekamer-5.u54	Mr Bishop says that Europe has become a power within itself. I see it almost exactly opposite. I believe that Europe is very powerless to tackle problems that must be on Europe's side, namely cross-border problems. I find it very strange that, for example, after the attacks in Paris, we did not take the step towards exchanging information between national intelligence services. We have left that step behind in European cooperation. Does Mr Bishop not agree with me that we really need to solve a number of problems at European level rather than pretending every time that Europe is making a fuss when in fact it has become powerless to solve people's problems?
ParlaMint-NL_2016-02-17-tweedekamer-5.u55	Then you could also ask how it is that the Member States are not prepared to make such an exchange; the concrete example given by Mr Verhoeven. In my analysis, the reason for this is that people are very concerned that a new European power, a European body, is being created that intervenes in all kinds of national competences. In fact, that means that as a country, as a nation state, you return your own sovereignty. There's the great fear. I can understand that very well.
ParlaMint-NL_2016-02-17-tweedekamer-5.u56	I can understand that fear, too, but when we ask the people of Europe if they want a solution to the risks and dangers of terror and the uncontrolled flow of refugees, they all say 'yes'. If you claim, almost like the PVV, that this can only be done at national level without wanting European cooperation, I hope I have misunderstood you. I fully agree with you that the fear of unnecessary integration is justified. But let us resolve a number of issues which are indeed cross-border and are therefore on the European Union's side, also with the European Union.
ParlaMint-NL_2016-02-17-tweedekamer-5.u57	Mr. Chairman. Allow me to reassure Mr Verhoeven that he has misunderstood me when it comes to rejecting European cooperation.
ParlaMint-NL_2016-02-17-tweedekamer-5.u58	I'll allow you to do that.
ParlaMint-NL_2016-02-17-tweedekamer-5.u59	Thank you very much. I strongly reject the forces that go further towards European integration at the expense of national sovereignty, but I am a warm supporter of European cooperation on the basis of equality between Member States.
ParlaMint-NL_2016-02-17-tweedekamer-5.u60	Mr. Chairman. It's storming in Europe. Today we are discussing two issues: the so-called Brexit and migration. The question is whether things are going well in these areas. Commissioner Timmermans said not so long ago that the European project could end. I just noticed that some parties were a bit waiting for that. Europe is making quite a lot of money for the Netherlands. According to the Central Planning Bureau, we owe about 50 billion to economic growth to the EU. We would lose it if the EU collapsed. Then the jobs are gone, but also the tax revenues. We'd have to cut 20 billion. The party that just called for the EU to fall apart did not know four years ago how quickly it had to leave the Catshuis when it had to cut a significantly lower amount. So I'm curious what's going to happen to that party. The discussion about the Brexit is an exciting one. In the United Kingdom, David Cameron's position is not jealous. His own party is divided. That division extends to his cabinet.
ParlaMint-NL_2016-02-17-tweedekamer-5.u61	I was asked what would happen to my party if the EU collapsed. The answer is simple: then it will be a celebration, because then we will finally be freed from the strange Brussels rules that are destroying our country. Then we are freed from mass immigration. Then we are liberated from the asylum invasion. Then we are freed from Islamization. After all, those negative things that flood us come directly from EU policies. I was therefore called upon to answer Mr Mulder's question. That's what I've done.
ParlaMint-NL_2016-02-17-tweedekamer-5.u62	That's a little bit like your speech just now.
ParlaMint-NL_2016-02-17-tweedekamer-5.u63	Of course, my colleague in the VVD should not ask any more questions if he does not need this answer.
ParlaMint-NL_2016-02-17-tweedekamer-5.u64	We will lose 50 billion in economic growth. As far as the fist is concerned, 40% of the GNP goes to the tax and contribution revenues for the care. I think the PVV always thinks care is important and that's where it goes. In part, the care becomes priceless. Then you're gonna have to cut back on that. I wonder what the PVV will do and whether it will still be cheering.
ParlaMint-NL_2016-02-17-tweedekamer-5.u65	There are other figures, which my group has had calculated. This shows that this is the right thing to do. Let me tell you this: if we had not had mass immigration and asylum invasion, for which your party is responsible, we would have saved billions. Your party leaves the borders wide open to this day. The reception of a single asylum seeker costs tens of thousands of euros a year and you ask for cuts. Stop that! Close the borders! Stop mass immigration! Look how much money you have left when you finally have the guts to do that.
ParlaMint-NL_2016-02-17-tweedekamer-5.u66	The EU provides us with 50 billion a year. The PVV wants to distance itself from that, already screaming. You can do that. I told you, David Cameron's position isn't jealous. As far as the VVD is concerned, the United Kingdom remains in the European Union. There's a deal in the making with the United Kingdom. The VVD can live with that package. In fact, you would almost think that Mr Cameron has shopped in the VVD election programme, because he wants more competition, austerity of social security and an growth model, which is also in our election programme. He doesn't want to index the child benefit anymore. Those are, like the red card procedure, proposals that we support. So, apart from the efforts to keep the UK in the EU, we agree with the UK's proposals. That is why I agree with Mr Voordewind's question as to whether these measures will apply not only to the United Kingdom but also to the Netherlands. In fact, what is the government's view that, if the United Kingdom leaves the EU unexpectedly after the referendum, this package should apply in Europe? I'd like to get a response to these two questions.
ParlaMint-NL_2016-02-17-tweedekamer-5.u67	Mr Mulder made a wonderful pro-European speech. I congratulate him on that; it is good to hear it. However, the VVD is very enthusiastic about the British's proposals. Does the VVD want all proposals taken over at all costs? Then I'm a little worried, because we're sending our prime minister to that summit tomorrow. We know our Prime Minister as a smooth negotiator, who sometimes wants to be involved with other parties. So Cameron simply gets his sense at the expense of all kinds of things that we in the European Union have now settled properly. Is this for the VVD a blank check for the prime minister, just "go with that banana"? Is there any criticism of the free movement that is important for the economy, or is it simply a good thing?
ParlaMint-NL_2016-02-17-tweedekamer-5.u68	I did say it. A large part of the proposals can come out of the VVD's election programme: the growth model, child benefit, more competition, fewer rules. The only question we have left concerns the level playing field for the banks; we must be careful of that. There is a discussion about this: what is Britain doing in this area? Otherwise, the package looks pretty good.
ParlaMint-NL_2016-02-17-tweedekamer-5.u69	Yeah? The same applies to the British's proposal to discuss the decisions taken by the euro area as a non-euro area country? The VVD is okay with that, too? The VVD is often afraid of transferring sovereignty. This is also a form of transfer of sovereignty. You let the pound talk about the euro.
ParlaMint-NL_2016-02-17-tweedekamer-5.u70	You have to be careful with that, but we can embrace the points I have just mentioned: sovereignty, social security, competition.
ParlaMint-NL_2016-02-17-tweedekamer-5.u71	That point that you should be careful with is, of course, important at the negotiating table tomorrow. I think this is how it's gonna go. Cameron says, "I want a deal." Our Prime Minister sits there and thinks, "Well, that's actually a good idea; I'm from the VVD, I like that." He's just gonna let this pass. So the VVD's gonna let that happen today? Does the VVD agree that the British can talk to us about the euro area, or does the VVD draw a line somewhere? Otherwise, it's a blank check.
ParlaMint-NL_2016-02-17-tweedekamer-5.u72	I just mentioned the space the Prime Minister has. It's too easy what D66 does. D66 talks about blackmail by the United Kingdom. It has to come from both sides. You cannot say here: I am all against it, ready; then the United Kingdom has to get out. That's too easy. You should think of something that will help both the European Union and the Netherlands and the United Kingdom. You can't just say it's blackmail, shame. My group believes that it is wise to keep the United Kingdom on board.
ParlaMint-NL_2016-02-17-tweedekamer-5.u73	It's a little opportunistic, I'd almost say. Mr Mulder said that it was the proposals from the VVD's election programme and that the VVD could therefore agree. The simple question, however, is the following. What if next week Poland turns to the EU and the Netherlands and says: we are leaving the European Union if the rules are not addressed and Poland is not given more freedom in the media? What does the VVD say?
ParlaMint-NL_2016-02-17-tweedekamer-5.u74	I should not go into that, because then I will give the Poles an idea. So I think it would be unwise to answer that question here.
ParlaMint-NL_2016-02-17-tweedekamer-5.u75	This what-if question is very relevant. The VVD says that we must keep the British at all costs and that we must talk about this. The VVD says that things are also being proposed that it wants and that we must therefore go along with them. But surely as the largest government party, the VVD has a greater responsibility? Then it must not only check whether it agrees with what the British are proposing, but also look at the precedent? How will other countries within the European Union deal with this later? Are we not getting a race to the bottom, which actually means that the European Union is getting more and more undressed, so that we are less and less united and the European Union may eventually fall apart? That's not what the VVD wants. I would therefore ask my colleague to deal with this. What does it mean that we are now negotiating with the United Kingdom? Can other countries claim this? Can other countries also express their wishes?
ParlaMint-NL_2016-02-17-tweedekamer-5.u76	It's unwise to say that. The situation in Great Britain is as it is. Mr Verhoeven called that an election stunt. Yes, I can indeed say that Mr Cameron is playing a high game. The British call that brinkmanship: going down the edge of the abyss to get something in. The question is whether it's good Brinkmanship. That's gonna have to prove it. I do not want to give other countries the idea of doing this, but that is of course up to those countries themselves.
ParlaMint-NL_2016-02-17-tweedekamer-5.u77	Mr Mulder says that he is going to give ideas to other countries, but he should not overestimate himself. I think this idea's been alive for a long time. If they see how successful the United Kingdom can be in these negotiations, then they might as well do so. I'll finish, Mr. Chairman, because I can't get through this with questions. The VVD colleague is blowing it off. I'd like to give him to be very careful with what he's giving away. Because negotiating with the knife on the throat usually makes you show others that you are weak and that they too can bring in what they want.
ParlaMint-NL_2016-02-17-tweedekamer-5.u78	What is happening in this Parliament is also being followed by other countries.
ParlaMint-NL_2016-02-17-tweedekamer-5.u79	I have said it before: people play big games. Also for the Prime Minister of the United Kingdom this is an all-or-nothing game. You may wonder if that's wise, but it's happened now. That is the situation we are dealing with now. I'm going into migration. Last week, Thursday evening, there was a lot of talk about this. The VVD is deeply concerned about the expected spring peak in the asylum stream. It is time for this stream to take off, now that the limits of capacity for society have been reached. The VVD has been advocating the agreement between the EU and other countries on the reception of refugees in its own region for a year. That is why we are also in favour of a European solution with Greece and Turkey: reception in the region, hotspots, return and a NATO reinforced border and coastguard. Anyone who wants open borders in Europe must guard the external borders.
ParlaMint-NL_2016-02-17-tweedekamer-5.u80	In this connection, how does Mr Mulder view the actions which Turkey, to which we are approaching, is now taking against the Kurds in Syria?
ParlaMint-NL_2016-02-17-tweedekamer-5.u81	We are not happy about that, to put it mildly.
ParlaMint-NL_2016-02-17-tweedekamer-5.u82	In Mr Mulder's view, what should this mean for the planned reopening of negotiations with Turkey as of April?
ParlaMint-NL_2016-02-17-tweedekamer-5.u83	A lot of words were said about this last week. Mr Voordewind just quoted all my group chairman who said about Turkey: never. So that's clear. At the same time, we need Turkey. If you want to solve the migration issues, you can't escape Turkey. So you'll have to keep drinking coffee or tea with Turkey and point out its responsibilities, whether you like it or not. We need it to solve the asylum problem.
ParlaMint-NL_2016-02-17-tweedekamer-5.u84	Does the VVD believe that, in these circumstances, in which Turkey violates all international standards and values, Turkey should be given the signal that accession to the European Union can be renegotiated by April?
ParlaMint-NL_2016-02-17-tweedekamer-5.u85	A great deal has been said about this too. We should not negotiate with the accession criteria. My group chairman has never said 'no', so in that respect it is clear what the VVD thinks about Turkey's possible accession to the European Union. However, we must continue to talk to Turkey, because we need it. But we must not negotiate with the criteria and we must not take any further steps towards accession.
ParlaMint-NL_2016-02-17-tweedekamer-5.u86	Mr Mulder says: no further steps towards accession. I would like to remind him that the accession negotiations will be reopened by April. Last week we did not have the case that Turkey is going to bomb itself on Syria against the Kurds, while the Netherlands is training the same Kurds in Iraq. Mr Mulder then says: yes, sorry, we need the Turks. And he also says here that, from April onwards, we will be negotiating with the Turks again, the opening of chapters is called concrete, about just one word: 'accession'.
ParlaMint-NL_2016-02-17-tweedekamer-5.u87	No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, The VVD said "never" last week.
ParlaMint-NL_2016-02-17-tweedekamer-5.u88	On the basis of that firm statement of the VVD, because that was one last week, it is also obvious that the Netherlands would stop paying the pre-accession fees. From 2014 to 2020, we are paying Turkey 4.5 billion dollars in negotiating money for business, such as democracy and human rights, which is now making things worse. Does the VVD agree, after that firm statement last week, that we should look at those pre-accessional fees?
ParlaMint-NL_2016-02-17-tweedekamer-5.u89	You have to keep those two things apart. We are clear about accession. At the same time, you must note that we need Turkey. So before you put pressure agents, you need to think about where you want to come out. We know that in terms of EU accession. But we need them. You can say we have to do this or that, but does that help solve the other big problem? That's the big question. That's the trade-off you have to make. It's often not and-and.
ParlaMint-NL_2016-02-17-tweedekamer-5.u90	When it comes to the refugee problem, I understand that. The European Union has designated the 3 billion for this, so it must also be used for this purpose. It is a good thing that this amount is paid in instalments so that we can see if that happens. But last week the VVD stated that Turkey could never become a member of the European Union. We have earmarked EUR 4.5 billion for Turkey to become a member of the European Union. How does Mr Mulder rhyme with these two things? If you already know the outcome is that it shouldn't be a member, isn't that money thrown away? That's what the pre-accessional fees are for.
ParlaMint-NL_2016-02-17-tweedekamer-5.u91	The world isn't as ideal as you'd like. We do not want Turkey to join the European Union, but we do need it for another problem. Then you have to be careful what you do. You must be clear about this accession and, for the rest, consider carefully when it is wise to use what means of pressure. If only the world were as black and white as Mr Voordewind would want.
ParlaMint-NL_2016-02-17-tweedekamer-5.u92	We might have had a whole different world, but we wouldn't have had that. This is linked, but I'm not tying it up. These accession funds, which amount to 4.5 billion, are intended to lead Turkey to the European Union. I'm not making that link. Look, you can have several reasons to keep the relationship with Turkey open, but to keep talking to Turkey you can also use other instruments, such as bilateral treaties or European treaties.
ParlaMint-NL_2016-02-17-tweedekamer-5.u93	What's your question?
ParlaMint-NL_2016-02-17-tweedekamer-5.u94	My question is: why does Mr Mulder separate these two things, the accession fees and membership of the European Union, when these are actually linked?
ParlaMint-NL_2016-02-17-tweedekamer-5.u95	I just made that clear.
ParlaMint-NL_2016-02-17-tweedekamer-5.u96	The VVD Group has sunk quite deeply by saying that we need Turkey, that we need the Turkish tyrant Erdogan. What kind of bullshit is that? Of course, we should not rely on him or the EU. Now my question. Unfortunately, the cabinet also depends on Erdogan. Today, in a letter, it even declared itself willing to take asylum seekers from Turkey. What does the VVD Group think about that? I hope they will give the Prime Minister a whistling back on this point, because we are already taking over refugees from Italy and Greece, and now Turkey is joining us.
ParlaMint-NL_2016-02-17-tweedekamer-5.u97	The question is what the ideal solution is. The PVV starts with closing the borders. I already told you what this cost. You can also look at it physically. 400,000 vehicles cross the border a day. So these are going to be rows of vehicles and trucks. Our ideal solution is to try to solve it with Greece and Turkey. Let's try that first. That's what we're talking about. This solution is preferable many times over dense borders, with rows of lorries at the border and all the economic consequences of that.
ParlaMint-NL_2016-02-17-tweedekamer-5.u98	That is not the beginning of an answer to my question. Does the VVD group agree with the cabinet that we should take asylum seekers from Turkey or not? If that's the case, how many are there supposed to be? What does the VVD think? 50,000? 100,000? 150,000? Let me get this straight.
ParlaMint-NL_2016-02-17-tweedekamer-5.u99	The latter has often been mentioned. Is it wise to give an exact number? No, because then it's about the number. If you want to have a solution for Europe with quotas, you will have to take over refugees, but, and there is the reservation, then the unbridled migration across the Aegean must first be resolved. That's the first condition. The question is whether this will succeed at this European summit.
ParlaMint-NL_2016-02-17-tweedekamer-5.u100	I ask two very simple questions. Does the VVD agree that refugees are being taken over from Turkey or not? If so, how many? Then Mr Mulder says: but then it is about numbers. The VVD Group must have an opinion on that, right? Come on! It's time for her to think about something.
ParlaMint-NL_2016-02-17-tweedekamer-5.u101	It's been tried to pin it on a number before. It has often been debated, but it is unwise to do so. Otherwise, I've already answered those questions. Finally, I would like to respond to a question from, I believe, the CDA's colleague, about Visegrád. How does the government view what the Czech Republic, Slovakia, Poland and Hungary are doing with the closure of the border with Bulgaria and Macedonia?
ParlaMint-NL_2016-02-17-tweedekamer-5.u102	I had hoped that Mr Mulder would go into more detail on what is to be done with regard to NATO's operation in the Aegean. Can I have a vision from the VVD on whether or not NATO should actively help to send boats back and, if not, whether NATO should be helping to save drownings in that sea?
ParlaMint-NL_2016-02-17-tweedekamer-5.u103	As far as the VVD is concerned, NATO helps send boats back, and if there is a drowning man, you can't let them swim.
ParlaMint-NL_2016-02-17-tweedekamer-5.u104	So both. In any case, there must be a pushback towards Turkey of migrants moving towards Europe, even when it has not yet been established that Turkey is a safe third country, and in the meantime, do people's lives need to be saved?
ParlaMint-NL_2016-02-17-tweedekamer-5.u105	Yes. We want a pushback. So back to Turkey if you get caught in the Aegean.
ParlaMint-NL_2016-02-17-tweedekamer-5.u106	I have thought for a moment about Mr Mulder's speech. I believe that there is some kind of imperfection in that speech, some kind of inconsistency, and I would like to ask Mr Mulder about that. First, he says that the European Union is worth 50 billion in trade and income. That's great. Then he says: I give the Prime Minister a blank cheque to negotiate tomorrow to keep the British, because we think it is such good plans. I do agree with Mr Klaver; is it not right to open the door to Europe falling apart at the expense of the 50 billion that Mr Mulder considers so important? That is what other countries are going to do. So isn't there a tension field there? I would ask Mr Mulder to go into this in more detail in order to clarify this as the largest party in this country.
ParlaMint-NL_2016-02-17-tweedekamer-5.u107	We are a government party and we are not waiting for countries to leave the EU. However, now that the Prime Minister of the United Kingdom has said so, you called it a stunt, I call it a high game, you have to deal with that situation. You can't take it back. In this situation of high-level play, we believe it is important that the United Kingdom stays with us. There's a price to it. We don't think that price is so high. I already outlined that they were proposals that could have come out of the VVD election programme.
ParlaMint-NL_2016-02-17-tweedekamer-5.u108	I say then: the next step is that all kinds of other countries can come up with all kinds of different wish lists, of which the VVD and certain countries will be able to say that the price is too high, thus creating a real danger of the break-up of the European Union, as Timmermans has also outlined. I'd like to hear from the VVD if that danger is well thought out at her party office. I hear a kind of cheer story about the Brexit, but there are five other countries in the finch rope. Then I would like to know from the VVD whether she has thought about some countries that are going to the Prime Minister and say: I would also like to sign a deal next week on this, this and this, with the cross. Then, by the way, the Prime Minister has already signed the cross once because you gave him that blank cheque.
ParlaMint-NL_2016-02-17-tweedekamer-5.u109	The situation is as it is. The position of D66 is actually easy: we want to keep them, but we do not want to make a concession. It can't be both. Here's what's going on. We'd like to keep them on board. Great Britain is playing a big game, you know, because it is going to come out of the referendum. So I don't recommend a country to do it like this.
