ParlaMint-NL_2016-03-15-eerstekamer-8.u1	I give the floor to Mrs Stienen.
ParlaMint-NL_2016-03-15-eerstekamer-8.u124	You can see me smiling a little now. I always say that everyone is very happy with the Environment Act, except the consulting firms, which have done all the research so far, and the environmental law lawyers, who so far only knew the way in the mess of rules of the game. The essence of what we are trying to do is to create clarity. The AMvBs are still in the making. It will initially be addressed and a consultation round will be held again. It will be possible to improve some things, so I will not completely destroy his input. I think, on the contrary, that it is going to be much clearer than the current system. We will not be thanked by everyone.
ParlaMint-NL_2016-03-15-eerstekamer-8.u125	I understand from this lawyer that he would be very happy if that baker could do a lot of himself. You say it will be absolutely clear to everyone. The stories I hear about the AMvB's are rather disturbing at this point, in the sense that they are very difficult and almost unfathomable. We are going to see them later, but the Minister is now saying: they are just going to be good, clear and accessible AMvBs for everyone.
ParlaMint-NL_2016-03-15-eerstekamer-8.u126	As I just told you, there's a pointer, so you don't have to go through everything. This is digitally unlocked, including an explanation. Of course, it doesn't do me any good to make opaque AMvBs. The essence of this operation is to make it easier for people to know what they like. A yes or a no, because you also need to know quickly that you don't like something. That often takes a very long time. You may pull my jacket again in due course if you do not think it is clearly organised enough, but I think it will always be better than the 26 laws, the 60 AMvBs and the 100 ministerial regulations that we now know in the various areas. Mrs Stienen also asked whether the implementing rules will not lead to an impenetrable forest of rules again. The implementing rules are subject to the same improvements and principles of the system review, as well as the same core instruments and concepts. We are going to harmonise, integrate and clean up. We will also continue the line of the legislative proposal in implementing legislation. The consultation of the draft AMvBs is on 1 July. Isn't it weird that these AMvBs are being hung? That was a question from the SP. I would like to repeat why both the consultation and the veil at the House of Representatives are taking place on 1 July. We have said that it is a good preparation that you can have a broad public debate at an early stage. This can be done both through direct participation and public input as well as through discussion in Parliament. The Lower House has already asked several times to get an insight into the AMvB's. In this way, for example, hearings can already be organised. The Chamber will have more time than the consultation phase takes. It may involve the outcome of the consultation in its final decision-making. In any case, it was important for the House of Representatives that she had enough time. She explicitly asked for a quick insight. The advantage is that hearings can already be organised and preparations can be made. I have promised that, after the consultation has been completed and we have processed the results, the Chamber will receive them from us. It is not, therefore, the case that the Chamber will only deal with the original proposal, but with the totality of information. It is above all a gesture to give the Chamber longer time. Is there sufficient time for the treatment of large AMvBs? I think I just talked about that. Some are long and some are short. Can the AMvBs still be adapted to the Supplementary Act and the Implementation Act? That was a question from Mrs Teunissen. Yeah, you can. The adoption decision and the supplementary decisions still allow for adjustments to be made to the AMvBs. It will then be possible to ensure that they are up-to-date and coordinated upon entry into force. For the additions, the same procedure is followed as for the AMvBs. Parliament's involvement is thus guaranteed. As far as I'm concerned, that's it for the subject of law versus AMvB. Let me now turn to digitization. Many questions have been asked about digitisation and many concerns have been expressed. Is the government really good at these kinds of trajectories now? What's it gonna cost and how am I gonna organize it? The most important thing for us is that you can see with one click on the map what can and may be done at a location. You need a digital system that works under the Environment Act. That is what we are now working on with fellow governments. I'm not gonna say it's simple and the government can handle it easily. It will be a very complex task. From the introduction of the Wabo and its digitisation, we have learned that if you introduce a law while the digital system behind it is not yet well organised, it is very complex and creates an undesirable situation. In any case, we want to ensure that what we have now can be translated one-on-one, so that the current activities will soon be made available under the Environmental Act. Of course, we also have much more ambitions. As far as these ambitions are concerned, we have to agree on "go/no go" moments each time, together with the other governments. It is then a question of: can we handle it already, have we financially arranged it, is it wise to do it now or do we need a little more time? You have to do such a journey very carefully. We also have a relapse variant in case we do not come out with the various governments, a kind of minimum legal requirement to make the Environment Act work. It wouldn't be my preference, but it's a variant you can fall back on if you don't come out with the other governments. The talks with the other governments are now underway. We are not done with this now, but I hope that we will not take too long, because we also need time to do the preparatory work properly. The most important thing is that we also have a clear picture of the savings made by the various organisations. How much less time and money are spent on research costs and what does it ultimately mean for governments to work with them? I can tell you a lot more about it, but I see Mr Flierman standing at the interrupting microphone.
ParlaMint-NL_2016-03-15-eerstekamer-8.u127	I am a little shocked by the Minister's comment on the relapse option. I'm aware that there is. Scenario 1 is called in the jargon, I believe. I understand that the current level of service should be maintained. I thought that was a minimum requirement for the introduction of the law. If we were to go back to a lower level, it would really be a question for me whether the moment of the law being introduced is already there. The Minister does say 'I do not find the minimum variant attractive', but I would actually like to hear 'I do not think he is acceptable'.
ParlaMint-NL_2016-03-15-eerstekamer-8.u128	Through the President, I say, over the back of Mr Flierman to the people in the public gallery above that: we will, of course, have to come out with IPO, VNG and the Union of Water Boards. We have to do this together. There's a reason you put in a law amendment like that. You do that because you think that other governments benefit from it. We have mapped that out and also shown the financial side. I think it is very important that we introduce not only this legislative change, but also the digital system that supports it. As far as I'm concerned, that should preferably be as advanced as possible, because you can do very nice things with it. At the same time, I also think that the government should say: if there is no support and if the government has to pull it alone, we will do so, but then we will choose the variant that matters to ourselves. Honestly, I do not expect us to come to that conclusion, but I have to say in this Chamber that there is a relapse option if we do not get out of it.
ParlaMint-NL_2016-03-15-eerstekamer-8.u129	In the first period, I indicated the minimum for our group to vote in favour of the introduction law. When I hear the Minister say 'I have to get out with the other governments', I am all the more curious about her response to my question about powers to make a number of decisions on this issue. It is precisely in order for the system to work properly in the near future that, in my view, you should be able to say at a number of points in relation to this underlying infrastructure: that is what we are doing and that is how we are doing it together.
ParlaMint-NL_2016-03-15-eerstekamer-8.u130	Therefore, the minimum variant is also the variant in which the Empire can decide on its own. We can do that, and we can do that in the short term. I believe that a well-functioning digital system is a prerequisite for the entry into force of the law. You said that you want to be able to see in due course that it works well before you can pass the adoption law. It seems logical to me that at such a moment you should look at what exactly is there and whether or not that is good enough. On the other hand, I mention the minimal variant consciously, because I keep saying that at least we are going to make sure that we can deliver what we have now. That's what happens when we get together. Otherwise there will be something extra and more ambitions. That's what I can do with drivers of other domes. If we don't figure it out, I do have the minimum variant. We can work with that, but she is less desirable and I do not know whether the Upper House and also the Lower House will find it sufficient. Nor do I know whether Mr Flierman is asking me to force municipalities, provinces or the Union of Water Councils to contribute to this. If he asks, I will have a very different conversation, while I am here arguing for the autonomy and independence of the various levels of government. I want us to get out of this together, and there won't be a coercive variant of the board agreement.
ParlaMint-NL_2016-03-15-eerstekamer-8.u131	Of course, it would be preferable for us to work things out, but my experience with these projects is that you also have to have someone who makes a knot every once in a while. The Minister says that she does so for herself at a minimum level, but I wonder if that is acceptable. Perhaps the Minister, precisely in order for the system to work properly as such, will need some firm authority here and there to carry on in order to realise the infrastructure. I hope it's not necessary, but as far as we're concerned, she has the space to look at it.
ParlaMint-NL_2016-03-15-eerstekamer-8.u132	Such possibilities always exist. Let's start with the good conversation first. So far, so good. Every once in a while, it still moves a little bit. I hope that we will get there quickly and, if not, we will indeed have relapse options with which we can get to work quickly. I understand that at least we get backup from the CDA in the First Chamber if we want to take further steps. Mr Flierman or his successor can always determine whether the ICT system is far enough away at the time of its introduction. How's it gonna look? There are all information houses and different systems. We don't want to make another whole new system and get it all out, because it takes a very long time. We're trying to create some kind of counter, behind which are the other information houses, and improve the information that's in the information houses. To achieve that ambition, we need chain partners. It is very important that this is done in the best way possible. I indicated that it was a growth model, which goes from the current minimum situation to greater ambitions through phased decision-making with go/no-go decisions. Intergovernmentally, we have set ourselves the goal of offering the system in 2018. It concerns the realisation of the central user facility, the underlying technical infrastructure, filling with data and application of standards. If we choose this commitment together, I trust that we can achieve 2018, at least for turnover one-on-one, and that we can complement the ambitions in subsequent years. We have looked closely at the Elias Committee to find out what we should or should not do. We will always be advised on this. We will also ensure that we have good people on it, because it is quite complex. The Environment Act is already difficult for many to understand because of its complexity. Translating her into 1-0-1-0, the language spoken by the people who ultimately have to make sure that things are digitized, is also very complex. So we're on top of it to do it as well as we can. The digital system will not only show its added value if the technology is good, but also, and above all, as soon as users make their contribution. The PvdA asked how these users are going to do that. Municipalities will have to supply planning data as source holder. Such data must comply with quality requirements. At the time of entry into force, not all data on the physical environment will be digitally accessible, but the standards will apply from then on. Therefore, the validated data is provided from the outset via the digital system. To ensure that useful standards are developed, I have set up a working group, as stated in the administrative agreement. This creates support for standards and encourages the development of standards. It's still quite a display of generic standards, but it seems to me that thanks to the deployment of the inter-administrative implementation programme, we'll succeed. I would just like to say to Mr Flierman that the administrative agreement lays down that the minister is responsible for the system. This responsibility is therefore in place, just as it is enshrined in the introduction laws and regulations. It also sets out powers in relation to the system, responsibilities and quality assurance. We had a little discussion about the level at which it will take place. More important than the guarantee of formal responsibility, I consider the responsibility shown by all parties in the development and implementation of the digital system.
ParlaMint-NL_2016-03-15-eerstekamer-8.u133	This communication falls into the category "something more reassuring." I get the impression that the Minister, as a system manager, finally sets these standards, for example. I have mentioned in my input "study efficiency," but of the concepts of scaffolding, building or business building, every municipality can use its own definition if you do not regulate anything. Since municipalities have to introduce information into the system as source owners, it is essential that someone says at some point: this is the definition of a scaffolding; everyone has to abide by it. It's my job to make sure that's settled, otherwise it's gonna be a mess.
ParlaMint-NL_2016-03-15-eerstekamer-8.u134	I intend to set the standards in the introduction scheme, which means that they will be applied in a binding, binding manner. This is a continuation of the current approach to spatial planning. It also sets the standards by regulation. In order to ensure acceptance, I will, of course, develop this through the inter-administrative implementation programme. The working group has already developed semantic standards. Mr Flierman referred to this. If necessary, as chairman of that working group, I will make a decision. Are we, as a government, able to run such a project ourselves? Can we hire third parties for ICT and the like? Fortunately, there is a lot of knowledge and expertise available, but it is also complex. As I said before, these things should not be looked at lightly. Drivers are usually more interested in the law than in its implementation, but I must say that I see the digital system as a more complex task than creating the Environment Act. That was already quite a complex task, so I certainly see it as my child, as far as I'm concerned. I hope that my successor will see that as well, not as a matter of implementation, but also as his or her administrative responsibility. I'll report to the Chamber on progress every year. I told you, I'm using the lessons of the Elias Commission. We will monitor this through audits, gateway reviews, BIT tests and monitoring. I think I have answered most of the questions on this subject. I come to the relationship between the governing bodies. I must say that this is relatively brief. However, this subject was frequently discussed during the creation of the Environment Act. What is the relationship between the Empire, the Province and the Municipality? That's always an interesting issue. There are a number of issues in this context that I can address, such as the relationship between central and subsidiarity. Let me start with that last one. The SGP asks me how to better anchor the subsidiarity principle in the legislative proposal. I believe that the principle of subsidiarity, which is based on the reluctance of the higher authorities, is well anchored in the legislative proposal. The criteria of efficiency and effectiveness are set out in Article 2.3, which aims to steer more than the Wro does on an explicit and visible balance by the board. The judge can check this out if there's any lawsuits left. Of course, it is not intended that the judge sits on the driver's seat, but he can check whether that instruction rule is properly justified by the application of the criteria. The proposed criteria therefore give the judge clearer guidance. Therefore, and because of the intention of restraint expressed in the administrative agreement, I expect provinces and the Empire to be cautious. Should the principle of subsidiarity also apply to the environment and programmes? This was a question from Mrs Jorritsma, among others. The objectives and policy documents can sometimes serve as a starting point for the application of national powers and provincial powers. However, we do not choose to apply the principle of subsidiarity to the visions and programmes, because an environment vision or a programme does not contain a standard and therefore does not restrict the tasks or powers of other authorities. It may also have an undesirable effect. Interests in the field of physical living environment are often complementary or concern shared interests. Think of water safety, the protection of nature, subjects such as population growth or - shrinkage, or office policy. As a result, it is often very effective and effective to formulate policies at different levels of administration. If the subsidiarity principle were to apply to visions and programmes, it would no longer be possible to do so. For this reason, I do not want to include in the legislative proposal an obligation to apply the principle of subsidiarity to an environmental vision or a programme. However, the subsidiarity principle should be applied in the application of the standard-setting powers, such as rules of instruction. It does apply to that. This means that in the question of what instruments are being used to implement the vision, the principle of subsidiarity already plays an indirect role. This sufficiently ensures the application of this principle in policy-making. It has been asked whether I can explain why I believe that the administrative judge will now be examining aspects of efficiency and effectiveness. This question also came from Mrs Jorritsma. In fact, I have already answered them: because those criteria give greater clarity in Article 2.3 and therefore the judge can also check them more easily and get clearer handle on them. That's why this is going to happen now. It has been asked whether a municipality can object to opinions from other public authorities. Among other things, the CDA, through Mr Flierman, asked for this. That is not possible, because it is an opinion and not a decision within the meaning of the General Administrative Law, because it is not aimed at legal effect. It is not necessary, because the advice is only important for municipalities. Deviation must therefore be motivated only. Suppose that the municipality as competent authority for the conversion of a non-archaeological national monument receives the advice of the minister of OCW to grant the environmental permit for the modification of the national monument only with additional requirements. In this case, the municipality will as a general rule follow this opinion and include the rules in the permit in accordance with other rules. Mrs Meijer asks whether the decentralisation has not gone through. Should the national authorities not continue to set proper frameworks? Are the governments actually ready for their role? In fact, all governments traditionally have a role to play in the physical environment. The system review shall not make any essential changes to that division of tasks and powers. The national authorities continue to set frameworks for many topics. For example, we now have thirteen national interests: energy supply, cultural heritage, water security and so on. We have established these interests at national level. Provinces have provincial interests and the municipalities of course also have their own tasks and powers. These frameworks are now getting together more clearly. Wherever possible, the public authorities will also be given greater discretion. Sometimes things change. For example, we have transferred a number of national landscapes to the provinces. Some have remained national, others have become provincial. It may also be that provinces will fill in more, for example in the retail discussion. There is therefore a change in powers from time to time, but it is not the case that there is decentralisation under this law. I would actually like to call it more "deregulation." The law provides instruments to make good use of the various legal tasks, for example the territorial coordination of municipalities and water authorities. Within the domes we are working on the right administrative culture to shape the distinction in the tasks well with each other. Mr Verheijen asked for "decentral, unless." How far does that principle go? Are decentralised municipalities also affected by exceedances on which they can exercise no or only limited influence? How does this relate to intergovernmental coordination and cooperation? Does that lead to additional synergy between the levels of government? The principle of "decentral, unless" is indeed central. The need for an administrative culture based on coordination and cooperation is also central. This is reflected in Articles 2.2 and 2.3. However, this does not mean that the Empire and provinces can shift their responsibilities to municipalities, for example by calling on municipalities to exceed environmental values on which they cannot exercise influence. On the contrary, the principle of subsidiarity means that it is always necessary to consider who can best take on which level and choice of administration. The same applies to environmental values. The Empire is the first step when it comes to environmental values for the national waters. The municipalities are for air quality, because we expect that there will be local overruns in a few years' time at the most. If necessary, the government which is in the process of taking action will involve other public authorities in the programme. Governments are jointly responsible for meeting environmental values. The starting point of 'decentral, unless' and the administrative culture based on coordination and cooperation are therefore not opposites, as far as I am concerned. On the contrary, the legislative proposal offers a nice set of instruments that will put the various levels of government in place in cooperation and coordination where necessary. This will enable them to formulate joint policies in joint programmes. I therefore believe that the synergy between central and decentralised governance can be strengthened. Mrs Vos asks why the Empire does not have an ultimum remedium, in the form of a designation power, for example in the case that municipalities take up too much administrative space for coastal building. With the Law revitalisation generic supervision, a system change in inter-administrative supervision (IBT) has recently taken place. Supervisory instruments are limited to the generic instruments suspension and destruction and entry into force of the Municipal Law and the Province Act. Specific or additional IBT instruments may still be provided only in special cases. In particular, where an exception is justified for a province, the law provides for a reactive intervention power. For the Empire that is not necessary; that can use a generic IBT-instrumentarium, destruction by the Crown. It only does that if it is judged that something is contrary to national interests. In the event of a development contrary to the national interest, e.g. in the construction of the coastal foundation, the Crown can destroy the municipal decision. A reactive intervention or designation power is therefore not necessary for the Empire on that point. Mrs Jorritsma asked me about the right of appeal for local authorities. Will the limitation of the right of appeal of local authorities come back? An appeal to the Administrative Court is governed by the General Administrative Law Act. The Crisis and Recovery Act currently excludes the possibility for local authorities to appeal against an application plan or the State's decision on the route. The Environment Act does not contain any special arrangements in this respect. The Implementation Act will repeal the Crisis and Recovery Act and amend the General Administrative Law Act. In this context, I will decide whether objections and appeals by co-governments will be abolished. The Court can then assess the legal protection in total. So much for the comments on the relationship between the Empire, the provinces and the municipalities. As far as I am concerned, each layer takes its own responsibility. When a provincial or national interest is defined, you can ensure that one operates within your provincial or national interest. "Overruling" is perhaps the wrong word... The rest of the time the division of responsibility is just clear and clear.
ParlaMint-NL_2016-03-15-eerstekamer-8.u135	I do not know if the Minister will come back to it, but I had also asked how sustainable the governance agreement is in these intergovernmental relations. How does the Minister see that in the light of elections of Lower House, Municipal Councils, States and so on? Perhaps the Minister will come to that, but otherwise I would like to hear something about it now.
ParlaMint-NL_2016-03-15-eerstekamer-8.u136	I do not know if this will be reflected in the reply later, but I can say something about it right away. In this case, the governance agreement has been concluded for a long time, but an administrative agreement is always valid until governments find that the world is different. You can try to shut that down, but eventually every board layer in the end will say it's up to him. How many times have we tried to lift or strengthen provinces, lift or strengthen waterboards, give municipalities more autonomy and so on? Those changes are there. I note that, so far, we have come to these joint agreements in very good consultation with the domes. I can only imagine that this will be continued in the future. I will strive for that, and I expect my successors to do the same. When I'm gone, you might be there in time to keep an eye on that. Of course, I cannot promise that nothing will change, but perhaps that was not the question either.
ParlaMint-NL_2016-03-15-eerstekamer-8.u137	I am not asking for the promise that nothing will ever change, but if you make agreements with each other now and if I am right, the Minister is also involved in this, you want any changes to take place again in consultation and after mutual agreement. I would find it a very regrettable development if one of the parties were to say that we did indeed agree to this in 2015, but it is now 2017 and we are not doing it that way anymore. In such a case, perhaps the Minister or her successor should say: we are not married, friends; we are keeping to the agreements we have made!
ParlaMint-NL_2016-03-15-eerstekamer-8.u138	I agree. For example, you saw such a discussion around the coastal foundation. The House of Representatives said that there should be no more space, while all examples of building the coastal foundation that were given were not possible at all in the coastal foundation. It was about the underlying area, in the dunes and in the coastal municipalities, where building is simply allowed within their own powers. I can't and I don't want to change that. All we can do is sit down with the municipalities and the provinces and discuss whether we want it that way, but you cannot intervene as a Empire. The only thing I can do on behalf of the Empire is the coastal foundation itself. So that relationship is always clear. If anyone thinks there should be something else in the administrative relationship in this case it was in the House of Representatives, but it could also be another party you should keep your back straight and point out the agreed powers.
ParlaMint-NL_2016-03-15-eerstekamer-8.u139	I have a question about the provinces and municipalities in the field of nature conservation. Provinces are now responsible for nature policy. Doesn't it make sense to give them at least the right to consent if a municipality wants to develop a particular activity that may have a significant impact on nature? Can the Minister say anything about that?
ParlaMint-NL_2016-03-15-eerstekamer-8.u140	Since provinces are responsible for nature policy, they will also have to record what they want and what their development is. If they define this as a provincial interest and if it is actually a provincial interest, a municipality will have to comply with it. This will not apply to any subject that affects nature at all, because everything around us is nature, but I can imagine that the province will test this in case of major interests.
ParlaMint-NL_2016-03-15-eerstekamer-8.u141	So the province in the environmental regulation will set environmental values for nature which the municipalities have to abide by?
ParlaMint-NL_2016-03-15-eerstekamer-8.u142	If a licensed activity has an effect on nature, you also need a permit for a nature activity. Think of building in a nature reserve; that is both a building activity and a nature activity. The Nature Protection Act will be fully incorporated into the Environment Act. In the Nature Supplementary Act, the competent authority for this application will be definitively regulated. If the municipality is competent for the entire permit application, the province has the right to consent to the nature activity. If the province does not agree to this activity, the permit must be refused.
ParlaMint-NL_2016-03-15-eerstekamer-8.u143	I have not yet heard the Minister comment on the aspect of the project decision and the reduction of planning capacity. Can she still do that? I think that's part of this block.
ParlaMint-NL_2016-03-15-eerstekamer-8.u144	This may also come to the attention of the other questions, but in principle you want municipalities to look at how they can reduce planning capacity. As a province in your provincial plan, you can also indicate what you think and what areas you want to realize, for example, offices, retail or something like that. A project decision was a very heavy instrument, with which you finally said not only that there should be less capacity, but also how. With the Environment Act, we aim to ensure that the province can determine that there should be less, but that it should leave it to the municipalities because it is their responsibility and authority to come up with new or different plans. That's the difference between one and the other.
ParlaMint-NL_2016-03-15-eerstekamer-8.u145	I understand that and I support that, but I now miss the opportunity to reduce the planning capacity in the extreme. I will give you an example from the province of Utrecht, where I myself live. There's a million square feet of office space empty, while there's another 3 million planned. If we leave everything to municipalities by mutual agreement, it will be a Polish country day. I asked the Minister whether, with a view to subsidiarity, we could give the province a little bit more teeth in that area, not for each time, but for the only exception that would not otherwise be forthcoming.
ParlaMint-NL_2016-03-15-eerstekamer-8.u146	I know the plan of the province of Utrecht. I know how she does this. I think it's a good thing she took the lead to deal with that void. We expect that from other provinces as well. The provinces have been given more powers in the field of spatial planning, already with the SVIR. We expect them to take that space, too. The difference between the plan that Utrecht has submitted and what we want to achieve is that the province of Utrecht has not only said that planning capacity must be removed, but also how it should be done. She just cut it out. We think you should say that there should be less planning capacity, but that you should leave it to the municipalities how they do it. That is why it has now been decorated in a different way than it has been so far, with a different instrument.
ParlaMint-NL_2016-03-15-eerstekamer-8.u147	This is a repeat. I appreciate that, because it's perfectly clear to me now, but what if the municipalities don't come out? Then we will keep this problem and the law will no longer solve it.
