ParlaMint-NL_2016-04-05-eerstekamer-4.u1	I would like to welcome the Minister of Security and Justice to the First Chamber.
ParlaMint-NL_2016-04-05-eerstekamer-4.u24	It's horrible what they've been through. So there's already a discharge, but it's never enough. For some victims it might be enough and they can place it, but it's perfectly normal that you're disappointed as a victim. You can see it now, and judges will report it. It's the last minute before the suspect goes to jail. There is then something like: I can say something now. Then it comes out: that pent-up sadness, for example when you've lost your child. Then people want to express themselves: goddamn it, you took everything away from me! That's accompanied by a lot of emotion.
ParlaMint-NL_2016-04-05-eerstekamer-4.u25	My question was as follows: what does it do with the expectations of victims if they are allowed to plead for a certain measure of punishment and what does it do with the pressure on the prosecutor and the judge? Can Mrs Wezel comment on that for a moment, so let's separate ourselves from the emotions?
ParlaMint-NL_2016-04-05-eerstekamer-4.u26	At least they've been able to express it. I'm just gonna say hang him up! At least they've been able to express what they want to happen. The fact that they can express themselves is very important. In the reactions you notice that of course they know that they are in the top of what... But it's about expressing: do something with my feeling! Judge, understand that what happened to me is bad!
ParlaMint-NL_2016-04-05-eerstekamer-4.u27	Finally, I note...
ParlaMint-NL_2016-04-05-eerstekamer-4.u28	Finally, Mrs. Strik.
ParlaMint-NL_2016-04-05-eerstekamer-4.u29	I note that it is more important for the SP Group to express itself than the risks it might entail.
ParlaMint-NL_2016-04-05-eerstekamer-4.u30	That is why I have also asked critical questions such as: how do we keep the balance in the criminal proceedings?
ParlaMint-NL_2016-04-05-eerstekamer-4.u31	Next time, I'd like to go through the chairman, Mrs. Wezel.
ParlaMint-NL_2016-04-05-eerstekamer-4.u32	Mr. Chairman. The legislative proposal we are debating today extends the right of victims and their families to speak. This bill also ensures that road-crime relatives can receive compensation through an extension of the compensation fund for survivors of serious traffic offences. This law regulates what victims or their next of kin may say during criminal proceedings. What victims or their next of kin may say during criminal proceedings in accordance with current law is limited, too limited. If this bill is passed, it will be possible for victims or their next of kin to make their comments during the criminal trial without restrictions. This bill further strengthens the victim's or the victim's next of kin during the criminal proceedings. Our group welcomes this. This enlargement will hopefully contribute to the "satisfaction" element for the victims or their families. This enlargement will hopefully also lead to greater awareness among the perpetrators and judges of the damage and suffering caused by a criminal offence. And perhaps this will make the judge more willing to punish, so higher. I'm gonna have to say it all carefully. Although our group is going to vote in favour of this bill, the PVV believes that this proposal does not go far enough.
ParlaMint-NL_2016-04-05-eerstekamer-4.u33	Perhaps against my better judgment, I'd like to ask a question.
ParlaMint-NL_2016-04-05-eerstekamer-4.u34	We're gonna try.
ParlaMint-NL_2016-04-05-eerstekamer-4.u35	I'd say do your best.
ParlaMint-NL_2016-04-05-eerstekamer-4.u36	Nice to meet you, too.
ParlaMint-NL_2016-04-05-eerstekamer-4.u37	Maybe we'll come to something. Mr Markuszower points out that his group does not believe that judges are sufficiently severely punished at the moment.
ParlaMint-NL_2016-04-05-eerstekamer-4.u38	That's how you can read it in our party program.
ParlaMint-NL_2016-04-05-eerstekamer-4.u39	Yeah, but I don't read that. But I would like to hear from you here in this debate...
ParlaMint-NL_2016-04-05-eerstekamer-4.u40	Through the chairman!
ParlaMint-NL_2016-04-05-eerstekamer-4.u41	Madam President, I do not read that programme. I would therefore like to ask Mr Markuszower, through you, if he could give a little more explanation of the observation that judges would not punish severely enough and how this bill, if it came into force, could lead to that.
ParlaMint-NL_2016-04-05-eerstekamer-4.u42	Thank you for this question. I hope, through the chairman to Mr Engels, that we can live in a country where judges are going to punish higher. To this end, my party has in the past proposed the introduction of minimum penalties. We believe that judges now moderate their punishments. I have already mentioned the second part of the answer to the question in my speech. I hope that judges will listen carefully to the victims and their families and that they will therefore be inclined to show more compassion for the victims than for the perpetrators and thus to punish them higher. As I said before Mr Engels interrupted me, I must say it all carefully, because although my group is going to vote in favour of this bill, the PVV believes that this proposal does not go far enough. The position of the victim and their next of kin is not yet enshrined in the law after the adoption of this bill. The PVV in the Lower House has tried by two motions to repair the defects found. In the first motion, the PVV suggested that suspects should be required to appear in court if the victim or the next of kin avail themselves of their right to speak and wish to have the suspects present. The second motion submitted by the PVV in the Lower House wanted to oblige the judge to take effective account of the contribution of the victim or of the next-of-life. Both motions aim to persuade both the defendant and the judge to listen. Hearing isn't enough. The victim also needs to be taken seriously. The victim doesn't just want to speak. Of course, the victim or the victim's next of kin want something to be done about their contribution to the hearing. Both motions didn't make it in the Lower House. The Minister also advised against the motions. However, he undertook to consult the Council on these two points in its case-law. Can the Minister tell us what the outcome of that consultation with the Council of Ministers was for the case-law? In writing, my group in this Chamber asked the Minister whether he did not find it painful that it is now impossible and impossible for this law to be passed, for example, for a stepmother or a step-sister of a murdered girl to speak in criminal proceedings. This example actually played out recently. I was disappointed by the Minister's reply. He did not consider it appropriate to promote, in an ongoing process, legislative changes extending the circle of speakers and preferred to include this element only in the review of the law. The Minister is prudent. He doesn't want to interfere in an ongoing process. That is a commendable attitude, but it is not in this example that it is. In my view, the current law and legislative proposal are not clear enough about the circle of spokespersons and the importance of legal certainty outweighs the prudentness exercised. Parliamentary clarification here and tightening up of the law are now needed to establish the circle of spokespersons. Does the Minister agree with me that both the current law and the legislative proposal are not clear enough as to who does and who does not belong to the electorate's circle? If so, is the Minister prepared to do something about this ambiguity? Perhaps he could put forward the evaluation of the proposed legislative proposal. Mr President, I will conclude. In the event of an appropriate response, my group intends to vote in favour of this proposal.
ParlaMint-NL_2016-04-05-eerstekamer-4.u43	Mr. Chairman. In recent decades, the position of victims in criminal law has been strengthened in many ways. The introduction of the victim's right to speak during the 2005 trial is one of these reinforcements. Since then, victims and relatives have been able to explain in the public hearing the consequences of the crime on them. The introduction of that right of speech was intended to recognise the suffering and thus contribute to the recovery of emotional damage. In addition, the right to speak would inform the judge and would contribute to the prevention of crime. The bill now before us aims to extend this right of speech indefinitely, so that victims and relatives can also express their views on the evidence and on the level of punishment they want. When my group decided whether or not to support this proposal, we considered the need and added value of this enlargement, but also the potential impact of this enlargement on the criminal process as a whole. I will briefly address these aspects. The answer to the question of the need and added value of the proposed enlargement lies partly in the experience of the already existing right to speak. The Scientific Research and Documentation Centre (WODC) concludes from its evaluation that mainly traumatized victims and those who experience not having control over the recovery process would like to have their say in the courtroom; they want to be able to tell the judge and the perpetrator about the suffering they suffered and thus influence the imposition of penalties, we read. Those who exercise their right to speak generally feel more seriously taken as victims and believe that their statement has contributed to their emotional processing. However, the same research also shows that their participation in the right to speak does not reduce post-traumatic stress, fear and anger towards the perpetrator. Those who exercise the right to speak are mainly those with chronic post-traumatic stress. And although they appreciate their right to speak, their complaints do not actually take away. It can be concluded that a large proportion of the victims and survivors do not need the current right to speak and that those who do are satisfied, even though it does not, at least not evidently, contribute to the restoration of emotional damage. In these findings, my group sees no convincing reason to go one step further now. During the evaluation study, some respondents expressed the wish to be able to explain themselves on the penalty level, but does the government not agree with my group that such an extension should really have a function and not just be the outcome of a wish? What could that function be? There is no reason to expect that the extension of the right to speak will contribute more to repairing the emotional damage. The government has not given any arguments for this either. I'm here to talk about the effects. My group does, however, see possible negative effects of an unlimited right of speech, in particular the right to express a demand and the right to speak about the evidence. First of all, there is a risk that a victim or next of kin will be sucked more into the criminal proceedings by allowing him or her to respond to all the elements. Mrs Van Wezel has just made it clear how this can be achieved. The victim or the next of kin can, without being aware of it, make incriminating statements and thus unwittingly play a greater role in the criminal proceedings. Does the Minister consider it undesirable with my group if this is more likely to be the result? How does the Minister assess this risk? How does he intend to reduce this? In addition, a victim or next of kin may be particularly disappointed if the sentence imposed deviates from the desirable punishment he has pronounced. This might increase anger and frustration rather than reduce it. It seems to my group that the bill can provoke an emphasis on retaliation, while victims are unlikely to help deal with their trauma and rebuild their lives. Does anyone really gain from the possibility of processing and healing? It is no longer in other instruments such as reparation law, where in a safe environment and with the help of professional mediation the parties come together and the victim can ask a perpetrator to explain and tell us about the consequences. The unsub is given the opportunity to express personal regret or explain matters. The great advantage is, in addition to a more protected environment, that the confrontation then takes place with an already convicted offender and not with someone who is still only suspect in the trial. Indeed, in the course of the hearing, the facts still have to be proved, and offendership and victimisation still have to be established. Furthermore, the question arises as to how an unlimited right of speech affects the position and behaviour of all parties to proceedings. As a result of the shift in attention towards the victim, the Office has been increasingly playing the role of the victim's representative over the past decade. Mrs Van Wezel pointed out this as well. We do not look at this development without care, because a prosecutor has a majestic position and has to keep several interests in mind. An extension of the right to speak with statements about a measure of punishment desired by the victim could put further pressure on the prosecutor. After all, he or she may be inclined not to go too far with the desire expressed by the victim or to defend himself against the victim if he or she deviates. If it is right, the prosecution's punishment is the outcome of a broader consideration, involving not only retribution aspects, but also special and generic prevention. In addition, the Office should take into account any directives in order to ensure that the criminal requirements in the case of similar offences do not vary too widely. Victims do not have this responsibility and can only be guided by their need for retribution. Can the Minister imagine that their plea for a certain measure of punishment puts the prosecutor in a more difficult position, just to put it in terms of justice? The same pressure can also apply to the criminal court. This may face two pleas for a certain measure of punishment. The victim or the next of kin is no longer entitled to advice; fortunately this idea has not been pursued. But even without formal proceedings, a judge will be inclined to relate in one way or another to the victim's pleas, at least through his justification, but perhaps even further. The insertion of this element at the court hearing could pollute the criminal proceedings, because the investigation is primarily for the purpose of finding the truth. The facts must come to light and the judge must be able to act unbiased. My group is highly committed to the professionalism of judges. Nevertheless, it is conceivable that emotional, comprehensive or far-reaching speeches by victims or relatives affect the atmosphere of the hearing, but perhaps also the attitude of the judge. How does the Minister view that? Finally, it will also affect the defendant's position. The defendant must defend himself not only against what the D.A. says, but also against what the victim claims. Could this not lead to a hardening of the investigation in plenary session? And is that to the benefit of the truth? How does the Minister see that? The Minister writes that the defense will be inclined to restraint, because the victim's statement will not be useful as evidence. But what happens if the judge finds the allegations so important that he wants to hear the victim as a witness? Then a suspect will want to give his own perspective on the case, won't he? Will the Minister evaluate the extensive right to speak on all the possible effects that my group has just mentioned? We wonder whether the right to speak really brings the victim what is best for him. Isn't it much more useful for all parties to better frame the existing right to speak in criminal proceedings, rather than extending it? For example, through better consultation with the victims and more information, they can gain greater understanding of the roles to be distinguished and of the criminal process as a whole. As a result, expectations can become more realistic. The limited right to speak will then continue to make sense for the recognition of the suffering and the rest of the victim's attention may focus on the repair of the emotional damage. In short, my group is reluctant about the proposal to introduce an unlimited right to speak. My group will take the Minister's answers into account in its position. My group supports the extension of the benefits of victims of road traffic offences to the next of kin, but unfortunately we will only be able to vote one vote later. I therefore await the answers with interest.
ParlaMint-NL_2016-04-05-eerstekamer-4.u44	Does one of the Members still wish to speak in the first term? That is not the case. I shall suspend the sitting until 3.45 p.m. This suspension is linked to the meetings of the Security and Justice Committees and Immigration & Asylum.
ParlaMint-NL_2016-04-05-eerstekamer-4.u45	Mr. Chairman. First of all, let me thank the Members of your Chamber for their many comments and questions. I would also like to thank them to a particular extent for the broad support I have experienced for this bill. During the break I learned that the groups of the CDA, the VVD, the PvdA and the SP, the PVV will support the bill. Of course, that depends on the treatment, but I am very happy about that. In doing so, we are taking an important step forward in modernising our criminal proceedings, and we are doing justice to the position of victims in this process. I fully realise that I still have a major task this afternoon in relation to the D66 and GroenLinks groups. I am going to try, given the comments made and the questions put, to draw these two groups over the line. I do so in the interests of victims and in the interests of modernising our criminal proceedings, including on this point. Let me say first of all that there appears to be a clear need for victims and relatives to do their whole story at the trial and not to be limited in a way that is not understandable to them. This was reflected in the 2010 evaluation of the discussions conducted during the consultation phase following the legislative proposal and in the opinions of, for example, victims' groups, victims' attorneys and of Victim Support Netherlands. I will get back to the figures from that evaluation, but the vast majority indicate that this is very important for victims. As some of your Members have pointed out, this proposal also contributes to legal unity and equality. It is true that most judges already allow this possibility, in view of this wish. Within the judiciary, it is already recognised that it is important for victims to have the opportunity to air their hearts in this type of serious crime and to release their views and thoughts to the courts in freedom. This means, however, that in one courtroom there is the possibility of saying what you want in full freedom, but that in the other courtroom that freedom does not exist. Mrs Strik is right when she says that we can also opt for the other situation: we restrict it further and frame it further. However, I think we should realise that most judges in our country are not doing this for nothing at the moment. They do that because they realize there's an important need. That is also the conviction with which the government has put forward this bill.
ParlaMint-NL_2016-04-05-eerstekamer-4.u46	I also asked whether it would not be helpful to organise a setting after the investigation and the court hearing. There is already a clear statement on who the perpetrator and the victim are. This exchange can then take place through, for example, mediation or in a protected setting. Judges can easily refer to that. With good prior information, it might be easier to split up these things.
ParlaMint-NL_2016-04-05-eerstekamer-4.u47	I should like to say a few words in advance on the subject of good information. I'm gonna leave that point for now. In fact, Mrs Strik asked in the first period whether mediation could play a role in this. I am very much in favour of this. We have therefore carried out an evaluation of the pilot projects on recovery law. Mediation was part of that. The pilot has shown that there is a need for this, especially in the post-trial phase, but not instead. I am, I have promised to the House of Representatives, looking into whether I can find funding to make those possibilities of mediation possible in the criminal proceedings structurally. I am very positive about that. Legally, you can do it. From my point of view, Article 51 makes it possible to apply all those forms of alternative law. That's why I think we should do that.
ParlaMint-NL_2016-04-05-eerstekamer-4.u48	I am glad that the Minister is so positive about this and that this may be followed up. But it's not for nothing that judges don't cut off now, they let it go. But if it is organized in this way, so an unlimited right of expression afterwards, would it not be easier for judges to say at the hearing where all this still has to be determined, where truth is at the forefront, "Dear sir or madam, now you can talk about the suffering you have suffered, and the other matters can you put forward in another setting after the trial?' Wouldn't that make it easier for judges to cut off in a friendly way?
ParlaMint-NL_2016-04-05-eerstekamer-4.u49	I can well imagine what Mrs Strik means by this. You would say: then we will not broaden the right to speak, but then we will offer that possibility afterward through mediation. The first problem is that not all victims want to be directly confronted with the perpetrator or the suspect. They choose not to want to do so in the dialogue, although they do want to do so in court. The judge doesn't play any role in mediation. If you want to do your story with the judge, only the criminal trial is available for that. Mediation offers many other benefits, but not this. When, in 1994, Mr Dittrich of D66 took the first step towards a much-needed introduction of the right to speak, he explicitly recognised that it is important for you as a next of kin to be able to make your case to the judge as a victim. That was at the time the underlying idea behind the then bill, and it certainly is in the current bill.
ParlaMint-NL_2016-04-05-eerstekamer-4.u50	That is, of course, already in the limited right to speak. But we are now talking about why enlargement would be necessary. But perhaps the Minister will come to that.
ParlaMint-NL_2016-04-05-eerstekamer-4.u51	That's what I'm getting at right now. I should like to express my thanks to Mrs Van Bijsterveld for the support she has expressed, including for the principle of the right to speak, because the evaluation has shown that it is now even the case that some victims are abandoning the possibility of exercising the right to speak as they currently do, because they feel that it is too limited. They don't think it makes any sense, since they can't say what they want to say, so they don't participate in the right to speak. The government feels that this is an undesirable situation. It therefore proposes to remove any restriction on the right to speak, as Mr Schouwenaar stressed. That means, of course, it's up to the judge. The judge is the one who gives the judgment on how the victim uses that freedom. The judge is and will remain responsible for the order of proceedings within the courtroom, for which he has all the powers to handle it wisely. In practice, this is done very carefully. I will come to the seat that was thrown to a judge, on which Mr Jensma wrote. We note with each other that, even though the victim is expressing himself on the level of punishment, it is always up to the judge, in the end, to arrive at an independent assessment of the level of punishment on the basis of the law. It is therefore up to the judge to show whether or not he has done anything with it, heard the victim. When I started this bill, I thought, wouldn't victims always ask more than what's possible? I asked that question to Victim Aid Netherlands and the D.A. There I was told that, when they have indicated the frameworks within which the judge must operate, victims very often indicate that they wish to pass on that message to the judges within those frameworks. This is without prejudice to the fact that, especially in the case of sex crimes or life crimes, many relatives consider it desirable that at least a TB or a strong prison sentence should be pronounced. But that does not mean, of course, that the judge should be guided by it. The victim has no advisory right, as provided for in the original legislative proposal under consultation and for which no support could be found in practice. This also means that the government agrees with Mr Schouwenaar who believes that the victim should be able to decide for himself what he or she wants to talk about. With all the legislative changes, including these, we run a number of risks. Mrs Beuving and others pointed that out. It may be that, in spite of the information that I believe is necessary, a victim may express a certain degree of disappointment about the level of punishment if that penalty is not imposed by the judge. On the other hand, however, the same victim should not even express that wish in the current situation. He or she has that wish, but is unable to express it, because the law does not allow it. Then it depends on which courtroom you end up in as a victim, but the frustration and disappointment are there anyway, since in the current situation the victim may have clear ideas about this, which he or she would like to express, which in turn is not allowed. The disappointment as a risk in the current legislative proposal is already embedded in the current situation. This means that, taking into account everything, the government has said: then it is more important that we ensure careful preparation and embedding of the opportunity to say something about the measure of punishment, so that we then give the possibility to judge and officer to do something about it, if that is deemed appropriate.
ParlaMint-NL_2016-04-05-eerstekamer-4.u52	I want to talk about the role of the judge and the disappointment of victims and relatives. A number of speakers, not only myself, therefore I dared to come forward and point out that, in practice, judges tend not to cut off an argument that goes in that direction and see how that can be reasonably applied. Doesn't that mean that the problem that we want to address with this bill is much less serious in practice than is now possible from what you have just said?
ParlaMint-NL_2016-04-05-eerstekamer-4.u53	I understand very well that Mr Engels is asking that question. It could be said that the current practice is already in breach of the law, so why not continue this practice? But the problem is that the law is being followed by a number of judges, with right, and the victim is being interrupted. In the view of many victims, as Mr Schouwenaar rightly pointed out, this applies censorship which is regarded as offensive.
ParlaMint-NL_2016-04-05-eerstekamer-4.u54	I'll be more precise. We agree on the latter, but I was concerned about the element of disappointment. Is it true that the degree of disappointment that is taking place from today's practice is so great that we can only deal with this bill? Quite a point is made of the fact that the judges deal with this differently. But isn't it inherent to the case law with its Einzellrechteit that there is never a format in which judges always do exactly the same in all cases? I tend to put those two points into perspective.
ParlaMint-NL_2016-04-05-eerstekamer-4.u55	I understand that very well. I think that is always good, for the simple reason that judges are people and for that reason give their own meaning and to some extent hear it. However, in this particular case, the legal provision is not followed by a large number of judges because they see that there is a need and they can handle it very wisely. On the other hand, there are judges who say, "Wait a minute, I'd like to do that, but wait until there's a change in the law." Then we must also carefully weigh that up. Therefore, the government's consideration is to change the law. It then becomes clear that there is very great support not only for the Public Prosecutor's Office, the victims and the relatives, but also for the judiciary for releasing that right of speech, because one knows and understands the unnecessary effect of the restriction that is now in place. I would like to say that this is without prejudice to the fact that we can reach that conclusion, because we once took that first step to allow the right to speak. That was after very strong debates at the initiative of the D66 Group. We could never have reached that conclusion if we had never taken those steps in 1994 and 2005. So I think we should also recognise that this is a continuing process and that we now see that this right of speech is a success, but that the obstacle we created at the time is no longer necessary. I would be very grateful if the D66 Group would reconsider that idea of modernisation at the end of this debate when it comes to assessing how the vote is cast. In this context, Mr Engels asked whether the government believes that the victim's right of speech and punitive thinking could give rise to the risk of influence. I have to say, I appreciate that risk differently. This is also reflected in the current practice in which the right to speak is already widely granted by judges. I am not aware that there would be any abuses in that area. I hope that in those cases where he is guessed, for example, in the judgment or in the explanatory statement, when the victim is present, the judge will say something about how he weighed that thought of the victim. In the House of Representatives, it was asked whether this should not give rise to an obligation to state reasons. The government is not in favour of that, because you then require the judge to do much more than they intend to do. I can imagine you say as a judge: I do need to explain to the victim why the penalty is different than the victim might have thought. That is certainly the issue in the so-called punishment interview that the prosecutor conducts with victims in this kind of serious cases.
ParlaMint-NL_2016-04-05-eerstekamer-4.u56	It's very interesting what the Minister is saying now. It's also content. Here's what I was wondering. If the judge is forced to follow the Minister's advice and explicitly takes into account in the judgment or the reasoning of a judgment what was said in the hearing because of the right to speak, is there not the risk that a victim, who already has a greater role in the trial, will be more or less actually turned into a party? I cannot imagine that a statement of reasons in a sentence and judgment can be different from that based on the law, the facts and the circumstances. That is not so much a question of the experience or feeling of a victim or of a survivor, no matter how right and understandable. Are we not going to cross a line that we, as legislators, should not, in fact, be subject to criminal penalties?
ParlaMint-NL_2016-04-05-eerstekamer-4.u57	I understand very well that Mr Engels is asking that question. If there were any judges saying that the Minister forced them to do so, then I fully agree with him. The last thing I want to do is to impose this pressure on the judges, because, throughout the legislative proposal, I assume that the professionalism of the Dutch case law is undisputed and that the independent and professional position of the judge is also undisputed. That is why I also said to those Members in the House of Representatives who wanted to have an obligation to state reasons that this is not the case. There can and should be no compulsion, but in human relations you might well say as a judge: I will bring that up anyway, which could very well help with the acceptance of the verdict. It's possible. It may also have no effect. But I really think that freedom should stay with the judge. There, for example, in continuing training, which will be offered in the framework of this legislative proposal and also consists of deepening the insights of judges in the fields of psychology, logic and science. How do you handle that wisely? Then any judge can make his own choice. I come to the question raised by the SP Group, the VVD Group and the D66 Group, among others, about the risk of escalation in the courtroom. We saw a very poignant example of this not too long ago. There was a situation in which a young child was killed by someone who had drunk far too much and then not for murder or manslaughter, but was sentenced to death by guilt, and then, in the family's opinion, to a relatively low sentence, namely community service. One of the family members threw a chair through the courtroom. This is also the example cited by Mr Jensma and put forward by a number of Members here. In this case, it is very poignant to see exactly why this bill is made up of two parts. The Damage Fund Violent Crimes is also open to these types of cases. These are cases where, on a legal basis, no murder or manslaughter can be accepted, for the simple reason that the person who gets drunk behind the wheel does not intend to kill a specific person. That's necessary for manslaughter or murder. You must have the intent to kill or kill that person. But of course, for society, but certainly for a next of kin, it is perceived as a similar crime. This means that, in this particular situation, not so much the right to speak was at issue, but the limitations that the law imposes on the courts. This puts great demands on the explanation that Victims help and the Public Prosecutor's Office can give in preparing victims in this area. But, of course, we will never be able to eliminate that entirely, because we cannot solve this situation, for the simple reason that murder and manslaughter can never be dealt with if there was no intent to put the victim concerned to death. This is without prejudice to the fact that I am very pleased with the support from your Chamber for the second part of this bill, that we are opening up the Damage Fund Violent Crimes for exactly the same reasons: from the point of view of the victims, there is little difference between the consequences of the death of someone due to a serious traffic accident under those very nasty circumstances and the deliberate death of someone. For this reason, the government has no concern that there should be any fear of escalation in the courtroom other than at present and that it is precisely here that the information of Victim Aid Netherlands and the Public Prosecutor's Office can mitigate the risks. It was also asked whether the court had sufficient instruments to monitor the order at the hearing. The government is convinced of that. The judge has not only the usual verbal possibilities, but also the presence of the strong arm within the courtroom to respond adequately. I think that system is positive in itself. Mr Engels asked whether we could not continue with the current practice. I have said that after 11 years of experience, we have come to the conclusion that we must make a change to that. Not only because victims want it, but also because the practice requires it, the Public Prosecutor sees no objections, the victims' lawyers point out how important it is and the evaluation study has shown it. Maybe it would be good if I said something about that at this point. Mrs Strik asked whether this need really exists among victims. The evaluation carried out by INTERVICT shows that 59% of the entitled victims would like to speak, but that this increases to 84% if they are allowed to speak freely. This means that a very large number of people do not have the right to speak because they cannot say what they want and do not do it for that reason. I think we should keep this in mind when assessing this bill. The effect of the law as it is today is that people are kept from speaking, while we all consider it important that people, even in the current situation, can speak. But that's not the effect. The effect of the law is that a large group of people say: I don't want to speak under those circumstances, because I think I should be able to tell the judge and the officer more in criminal proceedings than I can.
ParlaMint-NL_2016-04-05-eerstekamer-4.u58	Of course, that's always difficult to investigate. Of course, many people have not been asked why they do not now use the right to speak. It also appears to be a specific group of victims who do exercise the right to speak. I called them the more traumatized victims. I understand that half of them have said that they would prefer it wider. The question is, of course, whether they would still say that if they were then asked through and if they had been asked whether they would still be if they could be questioned at the hearing. The question is whether people are aware of the possible consequences at the time they say that. They haven't been investigated.
ParlaMint-NL_2016-04-05-eerstekamer-4.u59	This has not been investigated in itself, because when the evaluation took place in 2010 this question was not yet before. I propose that we do so in the evaluation we will carry out after five years. Mr Schouwenaar and Mrs Beuving have already spoken about this. I think this is precisely one of the points that we should take into account in this evaluation. What are the effects? Has the concern we have shared here been realized in five years' time or not? Or are there perhaps quite different effects that we cannot overlook? I personally think it is very important that victims in victim surveys after the criminal trial explicitly state that they give the fact that they are allowed to speak ample enough and that they consider, above all, the resulting recognition for victimisation, the so-called victim voice, but also the feeling that they are being taken seriously. This is precisely where people object to the current situation. They say that I cannot and cannot say what I want to say, and that is why I am not taken seriously. Mr Schouwenaar referred to the word 'censorship'. I have also heard that word very often among the fellow lottery groups I have visited.
ParlaMint-NL_2016-04-05-eerstekamer-4.u60	I have read the evaluation in such a way that people who exercise the right to speak are already satisfied with the fact that it recognises that they are victims and that it is therefore already having a positive effect. I would not simply link that to the desire to expand it. It already has a certain function.
ParlaMint-NL_2016-04-05-eerstekamer-4.u61	That's what I meant to say. The people who use it already indicate that they are satisfied, but that is without prejudice to the fact that there is a significant number of people who do not use it because of the existing restrictions. Then, of course, there is the justified question of whether we know what effects the exercise of the right to speak could have psychomedically or medically-therapeutically. What about now and what about in the future? As Mr Engels and Mrs Strik said, little research has been done on this. We do know that Victim Support The Netherlands, the fellow-fate organisations and the victims' lawyers who gain experience with this in their daily practice all indicate that it can be expected to have a positive effect. We also know that the right to speak has no significant influence on the emergence or continuation of post-traumatic stress complaints. So the good news is that it doesn't work the other way either, but it would be good if we could say a little more about that in the future evaluation. I think we should try to clarify this, however difficult it may be, also methodologically. Mr Kunst has expressed his concerns on a number of points, but he also says that he recognises that the ability to exercise the right to speak contributes to the feeling of recognition among the victims. They need to recognise the fact that they are victims. I therefore believe that there should no longer be any procedural obstacles in this respect. In fact, I have already dealt with the issue of secondary victimisation. Disappointment is always a possibility, but in the current system this disappointment is already contained because people are not allowed to do what they would like to do. At the same time, the right of free speech offers the judge the opportunity, if he is guessed to be able to do something about this possible disappointment, because he simply knows whether a victim has expressed himself or what the expectations were. As I have already said, it is important that the preparation is carried out carefully. Victim support The Netherlands, the Public Prosecutor's Office and the judiciary are prepared to do so. The same applies, in particular, to the victim's lawyer. A number of Members raised the question of whether there is still a need for financial space. The good news is that this financial area of justice was already needed. After all, a legislative proposal can only be dealt with if there is coverage for any additional costs. They are expected to appear before the Council before the Court of Justice and are therefore taken into account in the negotiations currently under way on the budgets for the coming years. At the same time, the Dutch Public Prosecutor's Office and Victim Aid indicate that they are already talking to victims and that there is no need for additional funding on this additional subject and on this additional information. In addition, the Public Prosecutor's Office is currently preparing a new digital victim window. It allows people who need it and who have access to it to be informed in a very interactive way about the possible adverse effects of free speech. By the way, that is no different than it is now, because even now there is the possibility of being heard when you use the opportunity offered by the judge to speak freely and if you go further into that by, for example, saying something about the facts, denying what a suspect has said or by introducing new facts. I believe that Mrs Van Bijsterveld pointed that out too. In any case, it is very important that the victim's interview is designed in such a way that the victim knows what awaits him. This also means that all the parties I have just mentioned will have to play their own role. I taste a great willingness on their part to do the same. Like the spokesperson of D66, Mrs Beuving asked about the innocence charge. I see her at the interrupting microphone, but maybe she doesn't want to ask me about that right now.
ParlaMint-NL_2016-04-05-eerstekamer-4.u62	I asked about the division of roles between these organisations. I assume that all these organisations are doing their job so well and conscientiously that it will be more likely that the victim or the next of kin will be informed. However, I would like to hear how it is prevented, for example, from the prosecution thinking that there has been talk with Victim Help Netherlands and that that organisation thinks that it is the other way around. How's that? Who's what?
ParlaMint-NL_2016-04-05-eerstekamer-4.u63	That is a good question from Mrs Beuving. Victim support The Netherlands basically does the psychosocial and legal assistance in light cases, but also has a case manager who is available for heavy cases. The family detectives explain how the police trial is going on. The specialised victims' lawyers provide legal assistance in serious cases, but are generally also of great importance in informing about what will take place at the hearing. It is also their job to provide ample advice and information to the victim. The state's attorney's office provides information on the victim's rights. The so-called victim interview also discusses the possible measure of punishment and the consideration that the officer will make between the act on the one hand and the possibility of punishment on the other. This is, of course, extremely important because victims often have great need and great expectations for it. It is also very important for the Public Prosecutor's Office to state that his sentence requirement will not necessarily be taken one-on-one by the judge. It is, of course, important to show victims that the judge has an independent position and makes a completely independent assessment. That is the case in the current criminal proceedings, it has always been and will always be. I think it is a good thing that all three bodies, including, where appropriate, the case manager in serious cases, also indicate that there are risks if victims want to exercise the right to speak in full, especially if something is said about the facts. That's how the roles are divided. Mrs. Beuving asked about the innocence charge. I am convinced that the possibility for a victim to express his or her opinion freely in court does not affect the objective consideration of the facts by the judge, who has, of course, heard the views of the defendant and the prosecutor. The innocence charge continues to apply fully to the court in relation to the defendant. Of course, the innocence charge does not apply to the victim. With him, there's no doubt about the defendant's guilt. Perhaps it is good to emphasise that, unfortunately, victims and suspects know each other very well in many cases. Many crimes take place in a family context and between acquaintances or there is still a clear reminder and therefore also a clear recognition of the victim in the crime. Unfortunately, for many victims, the question is whether this is the culprit is therefore irrelevant.
