ParlaMint-NL_2016-01-20-tweedekamer-6.u1	I would like to welcome the Minister for Security and Justice. I call Mr Omtzigt.
ParlaMint-NL_2016-01-20-tweedekamer-6.u70	Mr Bontes did not ask a question, but gave a statement.
ParlaMint-NL_2016-01-20-tweedekamer-6.u71	Mr President, I also find it rather embarrassing what is happening here. Mr van Oosten constantly stressed the need to defend the interests of victims and survivors. That's what we all do here. Mr Van Oosten says that he finds it annoying that we should debate this now because it may hurt people again. The fact that we have to debate this now has three people already to blame. In any case, the Minister is to blame. It has begun, by making statements that were not based on anything. Then it took him three-quarters of a year to put that right. That is why we are having this debate here today. Can Mr Van Oosten respond to that?
ParlaMint-NL_2016-01-20-tweedekamer-6.u72	It is quite right that we should have a debate today. A number of colleagues have quite rightly asked questions. I, too, have questions which I would like to put in my contribution. It is therefore quite right that there should be a debate on this issue. Mr Van Nispen does not hear me about this at all. Let me be as clear about that as possible.
ParlaMint-NL_2016-01-20-tweedekamer-6.u73	Please continue with your speech, Mr van Oosten. I think you should get started.
ParlaMint-NL_2016-01-20-tweedekamer-6.u74	Yes. By the way, I have already made a few comments which I would have liked to make in my contribution. Let me briefly outline the situation we are talking about. We are talking about a lecture given in April last year. It was a lecture, as we now understand from the pieces, which differed somewhat on parts from the so-called basic presentation. Photos were shown that could be traced back to the person. There were body parts to be seen. There was talk of what I call "criminal aspects." They're outside Professor Maat's field of work. We are talking about a lecture 'a chat', read in the pieces 'which was so about the disaster with the MH17, a disaster in which, I just said, a huge number of victims have been killed. This also happened at a time when the cabinet, of course, made every effort to ensure that the trial was conducted as carefully as possible, precisely because of the interests of those relatives, of those victims. In that light, I really do understand the emotion that overwhelmed the minister. That's what I'm trying to tell my colleagues. I mean, the minister is just a human being. At least that's how I see him. Of course, this minister doesn't want anything other than to protect those victims. At least I assume it could have been nothing but that. That also explains why the Minister said what he said. How bad is it actually someone to take that this has been said, if that's why it's been said? But, I also say, what should happen if it turns out, after that investigation, that Professor Maat in general can give a presentation? And it turns out it is now. There were more lectures given on the basis of such a basic presentation. It has also been shown that clear frameworks, or whatever you want to call them, were missing. If that proves to be the case, it would be appropriate for a minister of security and justice to apologize for the statements he made in April, overwhelmed by emotion. Then it suits the Minister to apologize.
ParlaMint-NL_2016-01-20-tweedekamer-6.u75	I have a question for you. That was not apparent from the documents, but it was only when the Chamber asked for them. If it had been up to the minister, it wouldn't have been apparent from those documents at all.
ParlaMint-NL_2016-01-20-tweedekamer-6.u76	No, that is why I am also saying, in response to a number of questions from colleagues, that it is also thanks to colleagues, who have continued to ask for this information, that we are talking about it today. That was already discussed before. This is the result of this. What I constantly try to point out is that I really understand why those statements were made by the Minister as they were made. I even understand that even today people feel the same emotion in relation to the relatives and victims and therefore say what they say.
ParlaMint-NL_2016-01-20-tweedekamer-6.u77	It is now being suggested that something should not have been said at first in a rush of emotion and that, when the facts were known, the minister was admitted to be wrong. That is not the case. The Minister didn't apologize until the Chamber forced him to make the report public. When Professor Maat did that himself, when there was no other choice, an apology was made. That's not equestrian, it's done of its own accord.
ParlaMint-NL_2016-01-20-tweedekamer-6.u78	You are not asking me a question, but you are giving a reading. Well, I guess I'll just have to leave it at that.
ParlaMint-NL_2016-01-20-tweedekamer-6.u79	I get the impression that Mr Van Oosten is trying to justify the fact that the Minister has misinformed the Chamber and incompletely. I'd like a response to that.
ParlaMint-NL_2016-01-20-tweedekamer-6.u80	The only thing I've been trying to do over the last few minutes in which I've been allowed to speak here is to say that I understand that emotion so well. You all understand that, because we can't imagine anything more terrible. Then it is perfectly normal for this minister, faced with this suffering, to say what he said? But it's also perfectly normal that, if that investigation took place, you make that apology. What doesn't take away, by the way, is sorry for my somewhat long answer, which is that I don't think Professor Maat can be blamed at all. That is why I think it is quite right that I do not read this as such in the Minister's letter last year, nor in the Minister's letter last Friday.
ParlaMint-NL_2016-01-20-tweedekamer-6.u81	Finally, Mr Bontes.
ParlaMint-NL_2016-01-20-tweedekamer-6.u82	Once again, I believe that the emotion of the victims is being used to wrongly inform the Chamber by the Minister of the negligence, the sloppyness, the wrong information and the right to speak. That really bothers me in this discussion. That is a remark to which Mr Van Oosten may be able to respond, but in sincerity and not with a whole wall of words which is not really pure.
ParlaMint-NL_2016-01-20-tweedekamer-6.u83	I think a lot of victims are listening. So I would very much like this debate to be conducted in a dignified manner.
ParlaMint-NL_2016-01-20-tweedekamer-6.u84	That's what I want. That is why I would like to respond very briefly. I understand the emotion that gets people caught. I understand that it makes statements as they have been done. But I also think that, especially if you are Minister of Security and Justice, there should be a business reflection on that at some point, and it has taken place.
ParlaMint-NL_2016-01-20-tweedekamer-6.u85	Mr Van Oosten pointed out that the Minister had apologized for the words he used, such as the word "tasteless." But the problem was not so much the words, nor was it the non-activation during a study, because that could be the fact that the relationship with Professor Maat ended the debate. We will come to the question of whether this was done by the police or by the minister. Does Mr Van Oosten think that this should have been done retroactively before the police investigation? After reading the story, does he think it was appropriate to fire Professor Maat, who was one of the five people who gave a lecture for mayors in Twente? Or should we say retroactively that this discharge should not have taken place?
ParlaMint-NL_2016-01-20-tweedekamer-6.u86	It may be good to include in my answer the timeline that we have all received. Last Friday's letter states, if I recall correctly, that Professor Maat has been held inactive. After the investigation, the cooperation with him ended. There is no doubt that we are going to discuss the question of whose initiative and so on, because a lot of questions have been asked about this. That's important to report. Why do I think it's important to report that? Because I understand, again, that with regard to the effect of such a lecture, you do what you do as a police officer and as a LFTO. If you read that story, you have done so. You also read that Professor Maat is not entirely free of blame. I can't make it prettier than it is. However, he is not alone in that.
ParlaMint-NL_2016-01-20-tweedekamer-6.u87	In the debate on 23 April, the Minister said that because of his remarks the relationship with Professor Maat will be terminated. He repeats that a second time. In that debate it is also said by at least two spokesmen of the House of Representatives. Everyone can see that that relationship is over. You're gonna give us a word game. Do you think that this relationship should not have ended during the investigation and that excuses are appropriate now that it has?
ParlaMint-NL_2016-01-20-tweedekamer-6.u88	I understand very well that at that time a non-activation was chosen, because that is what it is, although de facto this may lead to the same thing. I understand that very well, given the impact. We were just talking about the apology. Things are getting a little messed up right now. Do you know why I think these excuses are appropriate? Exactly for the reasons mentioned by the Minister in his statement. These excuses are in order because the Minister has given qualifications that do not suit a minister. It shows that he was overwhelmed by emotions. The qualifications should have been more businesslike. That's what the excuses are about. I think it's more than fair.
ParlaMint-NL_2016-01-20-tweedekamer-6.u89	I will give you an opportunity to interrupt later, Mr Omtzigt. I propose that Mr Van Oosten should first continue his speech.
ParlaMint-NL_2016-01-20-tweedekamer-6.u90	Thank you very much for that, Mr President. I think I can take the step towards how we should deal with these kind of readings in a general sense. Measures are being taken on future readings on the MH17, as I understand from the Minister's letters. I think that's very sensible. For lectures by those involved in the National Team of Forensic Investigation, permission should be sought from now on, so that the target group and the content of the presentation can be considered critically. Victims and next of kin are just entitled to that. I think it is wise that a working group has been set up to examine how the lessons learned by the LTFO from disasters can contribute to scientific purposes. After all, let us not forget that you must continue to develop such a profession. Forensics should be able to stay at the highest level and that requires knowledge and information. I hope that something positive will come out of this whole, partly as a result of the measures taken by the Minister. Mr Omtzigt put the point of that thick file........................................................................................................................................................................................................................................................ I'm surprised at that, too. Let's not make that a secret. We can infinitely discuss with each other the question of who is responsible for the fact that these black-painted passages have finally become public. The fact is that I am most pleased that I read back in the Minister's recent letter on October that the Minister writes "I should have done this differently in October." I read the letter "I should have informed the Chamber about the content of the report; I should have been aware of it on my own." The Chamber is entitled to that, too. At most, I would like to ask the Minister whether he has perhaps been over-guided by the WOB criteria rather than by the Constitution. With regard to information, the letters we received earlier in the year, I would like to join those colleagues who have already asked about this. I too think it is important for us to be clear about this in this debate. My conclusion may be brief. I think I am quite sure that I can say that we are all, at least for everyone in this Chamber, for the Minister and, of course, for Professor Maat, that we are all deeply involved in the families of the victims of the disaster with the MH17. I am truly convinced that all our efforts are constantly focused on the careful handling and promotion of their interests. I therefore think it is very important that we learn lessons from this issue. I'd like to hear the Minister on that. I am curious to hear his reaction in this regard. I expect he will. The letter says something about that, too. We have already exchanged things here and we will exchange more, but I really want to get more information from the Minister.
ParlaMint-NL_2016-01-20-tweedekamer-6.u91	Mr Van Oosten has spoken a great deal about emotion. He said he could understand that. I have that, too. He talked about apologizing to Mr. Maat. He has said that he understands it, even though they relate only to the expressions that just went a little too far. Okay, they're Mr Van Oosten's words. Then there was the question of how such a reading should take place and at the end two sentences were devoted to the provision of information to the Chamber. I find that incomprehensible. In fact, Mr Van Oosten simply said: I follow the Minister in his cavalier recognition of the fact that what he did in December, namely to give confidential access, could have been done in October. Did I really understand that? Is that the criticism of the VVD when for three-quarters of a year the reality is covered?
ParlaMint-NL_2016-01-20-tweedekamer-6.u92	No, Mr Van Nispen did not understand that correctly. That's because he weighs the number of minutes I've talked about emotion, against the number of minutes I've talked about how to deal with lectures and the provision of information to the Chamber. The fact that I spoke longer about emotion is not because I wanted to say much more about it in my speech, but because you asked me all about it, even before I even said a word about it.
ParlaMint-NL_2016-01-20-tweedekamer-6.u93	And that was because of the remarkable statements made by Mr Teeven this morning. I would like to hear Mr van Oosten's opinion on the way in which this Minister has informed the Chamber of this matter. I can't imagine the VVD saying, "There's actually been little wrong. If what was made confidential for inspection in December had been made confidential in October, it would have been better, and we do not have such an opinion on it." Mr Van Oosten must recognize that there have been many times when the Minister should have known the seams of the stocking and should have informed the Chamber completely and correctly.
ParlaMint-NL_2016-01-20-tweedekamer-6.u94	I agree with Mr Van Nispen, but the Minister already writes that. The Minister writes in his letter that he should have informed us in October. I would have had a problem if the Minister had not done so, because in previous debates, as you know, I have called attention to the provision of information to the Chamber. That was then about very different themes. I and Mr Van Nispen cannot do our job properly if we are not properly informed. I'm very attached to that. That is why I am so pleased with the remark made by the Minister in his letter.
ParlaMint-NL_2016-01-20-tweedekamer-6.u95	If I had to sum up Mr Van Oosten's contribution, I would write as key words 'the minister is a man'. We agree on that. There may be emotion. This could also be the case with MPs. We choose the victims. In order to make that clear, we can make a firm statement through the press about Professor Maat, which is not abandoned. There is still a little push in that direction, because he may have made mistakes as well. And that's about it, when it would have been the best thing for everyone and everything if this had been done by September and if the facts had been on the table here and at the ministry. It would have been best if conclusions had been drawn, if apologies had been made and if we could have put an end to it. With regard to the victims, it would have been much better than the discussion that is taking place here today.
ParlaMint-NL_2016-01-20-tweedekamer-6.u96	Can I point out to Mr Segers that the conclusions on how to cooperate with Professor Maat and the measures announced in relation to lectures and so on have already been drawn in fact last June? In that respect, I do not quite understand Mr Segers' question. That's done at the same time. Afterwards, and this is of course very relevant to the Chamber of Commerce, there has been a lot of discussion about the structure of the documents that led to the Minister's letter of office, the way in which we were informed and so on. But in the core, nothing has really changed about the conclusion et cetera.
ParlaMint-NL_2016-01-20-tweedekamer-6.u97	At the beginning of this month, an apology is being made on the basis of the fact story one month earlier, beginning of December. That story of fact was there a long time ago. The facts were known a long time ago. This calls for much more self-reflection than we have heard from the VVD group for the past ten or fifteen minutes and not to give another touch to Professor Maat and say that the minister is a human being. We all understand emotion, but this calls for much more self-reflection of the Minister's actions, on the relationship between Cabinet and Chamber and also on the attitude of the VVD Group as a whole.
ParlaMint-NL_2016-01-20-tweedekamer-6.u98	Mr Segers is asking for self-reflection, but I have tried to do nothing else in the past ten to fifteen minutes. I mean that sincerely. I really didn't try to do anything else. I think it is more than right for the Minister to apologize for these remarks.
ParlaMint-NL_2016-01-20-tweedekamer-6.u99	Mr Segers has tried, Mr Van Nispen has tried and I would like to try one last time. Mr Van Oosten says that the apologies are more than justified. Does Mr Van Oosten think that the apology is timely? It has already been said: the facts were known in June, the excuses are offered in January.
ParlaMint-NL_2016-01-20-tweedekamer-6.u100	We can discuss for a long time what the moment of that apology should have been. I would stress that the conclusions on Professor Maat's actions and the manner in which you then deal with them have not changed at all. In retrospect, having studied all the documents and after the Minister himself indicated that he should have informed the Chamber in October, I believe that perhaps the moment of apology could have been a little earlier. That would be in line with the Minister's logic. Perhaps that would have led to discussion in this Chamber at another time, but in the end it is about the fact that there are excuses. We may have another discussion about the moment, but they are there and they are appropriate.
ParlaMint-NL_2016-01-20-tweedekamer-6.u101	Is it "appropriate" that excuses have been made for statements, but not for the resignation? Then I would like to tell Mr van Oosten what the findings of the general commanders are in the factual account: '1. The main cause is the operation of the police. 2. The charging of Professor Maat alone goes too far. 3. Measures at system level are needed, not at individual level. 4. The Minister must reconsider the measures against Maat." How does the VVD feel about that?
ParlaMint-NL_2016-01-20-tweedekamer-6.u102	The word "only" shows that it is wider than Size: not only Size, but not outside Size. I can't make it better. Then may I give you a small list of whatever we've read back in the response? "Sensitive matters outside the field in the lecture," "students of health sciences, a fairly broad target group," "the impact," "to make yourself aware of what consequences this might have" and "the fact that there may have been no rules is separate from the fact that, especially in the case of something like this, you should always have your own mind in mind: is this the time when this can take place?" I also read that in the reports. In that context, therefore, I do not find it so strange that I should make another comment.
ParlaMint-NL_2016-01-20-tweedekamer-6.u103	Mr Van Oosten said just now that we in the House of Representatives cannot do our job properly unless we are informed in good time, incomplete and incorrect. I ask him the question I have already asked Mr Recourt. Does the VVD Group think that we have been informed in good time and correctly in this dossier? Or does the Group of the European People's Party (Christian Democrats) and European Democrats, like the Group of the European People's Party (Christian Democrats) and European Democrats, think that we are far too late, incorrect and always incompletely informed in this process?
ParlaMint-NL_2016-01-20-tweedekamer-6.u104	I've actually already answered that. The Minister himself states in his letter that he should have informed the Chamber in October. I agree.
ParlaMint-NL_2016-01-20-tweedekamer-6.u105	Mrs Van Tongeren, finally.
ParlaMint-NL_2016-01-20-tweedekamer-6.u106	This is the third file in which we find the same situation. If a minister in a third file does not inform the Chamber in a timely and incomplete manner, is the conclusion of the VVD Group that saying sorry is enough? Or does the VVD Group really think that something more should happen?
ParlaMint-NL_2016-01-20-tweedekamer-6.u107	Now I am repeating myself, because the Minister has apologized for the statements he made in April, overwhelmed by emotion, towards Professor Maat. That is what I read in the communiqué, in the statement he himself gave. I think that's appropriate.
ParlaMint-NL_2016-01-20-tweedekamer-6.u108	Mr. Chairman. For the third time since this Minister took office, he has been talking about his functioning. After the Volkertfoto and the Teevendeal we are talking today about the file of George Maat. The names of the files differ, but the contents show great similarities. In all three cases, the Minister did not communicate fully or fully with the Chamber. In addition, crucial information was deliberately withheld or withheld. Are we actually still talking to the Minister of Security and Justice today, or are we talking to the Minister of Hidden and Shocked? The Minister was guided by emotions when he qualified Maat's performance last year as "inappropriate and distasteful." That's worrying. At no ministerial post does the PVV want to see emotional error and certainly not in the position of the Minister of Security and Justice. Moreover, if there were so many emotions in the game, why wasn't the Minister prepared to get the truth out of the table as quickly as possible? Why didn't he even bother to see the full police investigation and why didn't he send it to the Chamber unpainted? Given the societal relevance and the emotional charge, that would have only made sense. I would like a response from the Minister. According to Professor Maat, his innocence has been established for a long time, but a letter from former Chief Constable Bouman was changed by intercession of the Ministry. Suddenly, after the Ministry's intervention, Maat had acted incriminatingly. That is why I have this question: is Professor Maat's explanation correct that the Minister himself has intervened and changed the letter to crucial parts? The Minister has mistakenly stacked up on the file on Professor Maat. This error festival finally led to the Minister's apology last week. Why did Professor Maat's honor recovery take so long? It is thanks to Professor Maat himself that the truth has come out and his name has been cleared. The fact that the Minister did not apologize until the documents were published by Professor Maat is significant. The excuses come, it seems, not from the motive to rehabilitate Maat, but to save the Minister's name. Why did this happen? Because the Minister was simply forced to apologize by the disclosure of the police investigation by Professor Maat. He couldn't get out of it then. The PVV loses confidence in this minister at record rate. How many more excuses will there be if this pace of error and subsequent apology is continued? The minister is guided by emotions, does not find truth and withholds documents. The PVV demands today a clear explanation from the Minister. How does he judge his own performance? What mistakes did he make in this file? I'd like to get a full list and an explanation of that. What exactly did he apologize for to Professor Maat? I want him to say that here. Who else would the Minister like to apologize to today? I ask the Minister to take ample time for this. There are many other important files in the ministry. If the Minister does not come up with a clear and acceptable story today, it will be over and out for us. Think, for example, of the important file on the criminal prosecution of the perpetrators in the MH17 case. We cannot leave that in the hands of a minister who is misguided and trying to cover it up. It is precisely for this reason that the bottom stone must emerge at all costs.
ParlaMint-NL_2016-01-20-tweedekamer-6.u109	Mr. Chairman. Once Mr Van der Steur was Dutch champion debater. He is an honorary member of the debate society Leiden, won the first Cicero-debate tournament and is a member of the committee of recommendation of the Dutch Championship Policy debate. Those were mostly debates about the emperor's beard. They were verbal skirmishes for no other purpose than to trump the opponents in the debate. However, when he became Minister of Justice, the content of the debate did matter. And then it went wrong. Never has a Minister of Justice talked himself into trouble so quickly and so often and then tried to talk himself out of it like a hare again. The incident with the photo in De Telegraaf might still be interpreted as a beginner's error. The rustling around the Bitch Deal could still have been dismissed as a legacy of the past. With the Maat case, however, the measure could be full. Bringing someone of name and fame into discredit is below all standards. That will be agreed with me attorney Van der Steur, as will the professor Van der Steur. However, the question is how Minister Van der Steur deals with it. Not researcher Maat, in the words of the minister, behaved "extremely inappropriate and distasteful" but the minister himself by going so far on a scientist who had been knocked down by RTL News and lying on his back when the minister finished the job with a kicking move. Certainly, the Minister has apologized and Mr Maat has accepted them. However, the Minister of Justice has for a short time seriously damaged the image of politics and confidence in politics. I know there's been a non-aggression agreement between the VVD and the PvdA. I know that the PvdA has already provided the Minister with virtually unconditional backing and that the arrogance of power seems therefore to strike again. There is no doubt that the Minister of Justice is going through the dust during this debate, but I would very much like to know what he thinks of the sorry democracy and, in particular, of his role in it. By sending a completely blackened police report to the Chamber, the Minister has literally shown that he does not care about everything. In that report, all the exculpatory information on Mr Maat had been covered, so that the only readable rules appeared to exonerate the Minister, not Mr Maat. That can only be described as an insult to Parliament. It doesn't fit a Minister of Justice. Not only do I want to hear the Minister's excuses, but above all I want to know what he is going to do to break the pattern of chatting himself into trouble and then chatting himself out there again. A third yellow card within a year is a serious warning. Everyone knows that, even those who practice sports in which yellow cards are not distributed. I don't think the minister is a footballer, but in another sport, baseball, something similar applies, namely three strikes and you're out. The Minister is lucky that the PvdA does not apply that rule, otherwise he could have moved to the side. If the PvdA saves the minister from ruin, I would very much like to know what the Minister's good intentions are and how he intends to ensure that in practice they will lead to the desired result. I look forward to the Minister's reply with interest.
ParlaMint-NL_2016-01-20-tweedekamer-6.u110	This brings us to the end of the first term on the part of the Chamber. There is a need for a long suspension.
ParlaMint-NL_2016-01-20-tweedekamer-6.u111	Before I give the floor to the Minister, I would like to put a question to the Members. Mr Krol was unable to take part in the debate in connection with a debate elsewhere. He's asking if he'll be allowed to interrupt. If there's no objection, I'd like to allow it. There is no such thing, so I shall now give the floor to the Minister.
ParlaMint-NL_2016-01-20-tweedekamer-6.u112	Mr. Chairman. I have listened carefully to the comments, the questions, the criticisms and the concerns expressed by the Chamber. You know I like to come to the Chamber, Mr President, but this is not a debate for which you would like to come to the Chamber. I am therefore well aware that in the next few minutes I will have to remove the concerns of the Chamber in a number of areas. On a number of points, I will contradict the criticism. I will also have to explain on a number of points how things have been the way they have been and why this can be explained. Since the disaster with the MH17, there have been three priorities: the repatriation of victims and their possessions, the investigation of the conduct and the detection and prosecution of the perpetrators. On 22 April, the message came that information related to victims of the MH17 disaster would have been handled carelessly. The next of kin were shocked, like many others. I, too, was very shocked. From consultations between my department and the police on 22 April, before I made the statements that same night, it appeared that something had to be done to restore the broken trust of the next of kin. The police decided to deactivate Professor Maat on April 22nd. The police also announced an internal investigation. I agreed with this. On the evening of April 22nd I let myself be guided too much by emotion. It would have been better if I'd been more businesslike. Over time I have reflected on my own functioning. This led me to invite Mr Maat to speak at my office in September last year. Then We had a good and open conversation, and each one went our ways. Then, in the light of the developments in this dossier, I reviewed my own workings. I wondered how, if I were to be faced with a similar situation today, I would be speaking about that situation. I came to the conclusion that I would have been more businesslike. Despite my emotions, despite my involvement with the next of kin, even though I knew that the actual situation had caused a lot of concern, concern and shock to the next of kin, I had been more businesslike. The first lesson I drew from this dossier is therefore that it would have been appropriate if I had been more businesslike on this issue on the night of 22 April. I've come a long way to recognize that for myself. That is also the reason why I did not apologize earlier to Professor Maat for these remarks, but that I did so in all honesty last week. Professor Maat has therefore indicated that he will accept my apology. The second point that was raised in the relationship with Professor Maat is that the suggestion was raised everywhere in this debate today, too, that I would have in one way or another cast doubt on Professor Maat's expertise, quality and commitment. I would refer you back to the debate on 23 April. In this, I explicitly began to tell you how important Professor Maat's work has been for the identification of victims of the disaster with the MH17, but also how important he has been in previous situations in the identification of victims of the tsunami and the Tripoli disaster. I also referred in my letter to a number of other work carried out by Mr Maat. There has never been any doubt in my mind about his expertise. I think it is important that I stress this again. I have done so in both my discussions, both in September and recently, because Professor Maat's expertise has never been under discussion. So to all those MPs who have said "Professor Maat has gone through the mud," "Professor Maat is this," "Professor Maat is that," I say: just look at what I said on April 23rd and what I repeated in many letters afterwards: Professor Maat's expertise and quality are above me. That is also the reason why, despite the decision of the Chief Constable of 10 June to end the cooperation on the MH17 identification process, the police announced that I already informed the Chamber in September that she would like to use Professor Maat's expertise in the future. I am glad that Professor Maat has indicated, of course, as he said, that he is prepared to be here. My meeting on 14 January with Professor Maat, in which I apologized to him, was covered by a report which I sent to the Chamber. I think it is important to note that Professor Maat cannot agree with the opinion of the Chief Constable of 10 June, which led to the end of the cooperation in the identification process for MH17. Professor Maat believes that the decision would have been different if the decision was based entirely on the Report of Report, dated 4 June, rather than on the subsequent judgment of the General Commanders. This means that Professor Maat has indicated that he disagrees with the judgment of the general commanders, and that it is also nothing to do with the Chief of Staff's opinion based on the report. I have then endorsed that judgment again. At the same time, Professor Maat has indicated that he considers my apologies, the recognition of his expertise and the fact that the police will use them again, where appropriate, as sufficient restoration of honour.
ParlaMint-NL_2016-01-20-tweedekamer-6.u113	The minister now says that the Chief Constable made the decision on June 10 to end the relationship with Maat. However, on 22 April in the evening, the police communicated that he had been put off duty and on 23 April the minister in the Chamber said: "I myself gave a qualification of Mr Maat's speech yesterday. As a result, I can also inform you that cooperation with Mr Maat will be terminated." The Minister has just apologized for this qualification. A few sentences later he repeated that, after there had been an interruption of one of the coalition's colleagues. "I have said what I have said. It doesn't fit in with the arrangement that was there. It should never have happened. That is also why Mr Maat has today been put off the agenda and why it has now been established that cooperation will be terminated." Doesn't that mean it wasn't the Chief Constable? We will come back to the question of whether the Chief Constable under pressure from the Ministry or... the head of the NCTV. The Minister himself has said twice in the Chamber, I have a third quote if the Minister would like to see the cooperation terminated before he started a police investigation.
ParlaMint-NL_2016-01-20-tweedekamer-6.u114	I've seen that myself. When I read the documents, I see that I have indicated with different words what the factual situation was. I wrote that in the letter, too. The factual situation was that on 22 April the police notified the fact that they had declared Mr Maat inactive and that an investigation would be initiated. I'm announcing that investigation. The fact that I announced this so explicitly in the debate is one of the problems I have with the Chamber. I have recalled that there was talk of decommissioning and of ending cooperation. Those words go all the way through each other. If Mr Omtzigt asks me what lesson 2 is that I have learned from this dossier, then I say that it is certainly wise not to use different terms. It is clear that there has been no cessation of cooperation other than decommissioning on 22 April. It was not until 10 June that the Chief Constable decided to terminate the cooperation for the MH17 identification process. These are the facts that Mr Omtzigt also knows.
ParlaMint-NL_2016-01-20-tweedekamer-6.u115	I would like to repeat what the Minister himself said on 23 April: 'That is why Mr Maat has been put off the agenda today and why it has now been established that cooperation will be terminated. "That's what the Minister said twice. The police themselves thought that, because at the beginning of the fact-finding investigation, one of those blackly painted sentences said: "On Thursday 23 April, by order of the Minister of Security and Justice, the cooperation with Professor Maat was terminated." So everyone, the police, the MPs and the minister, repeatedly used the word "end." The press used the word, and then the police investigation started. There's nowhere, anywhere, to find a piece where the minister takes it back. He was reminded of it in the debate. We understood the inaction, but the Minister had ended the cooperation for the police investigation, which had become completely worthless. Did the minister do that or didn't he?
ParlaMint-NL_2016-01-20-tweedekamer-6.u116	No, I didn't.
ParlaMint-NL_2016-01-20-tweedekamer-6.u117	Well?
ParlaMint-NL_2016-01-20-tweedekamer-6.u118	I understand very well. Because when I read it back myself, I also feel that I did not make that clear. I also indicated in the letter that I said the same thing in different words. I am not authorized to enter into the cooperation relationship between the National Police and third parties with whom she is cooperating. Under the Police Act, that is reserved for the Chief Constable. Nor have I given any burden or instruction, at any time, to end this cooperation. I did not do that on 22 April, not on 23 April, but not on 10 June or before or after. I don't have that authority as a minister. However, under Article 31 of the Police Act, I have a designation authority. I didn't use a clue like that. But I do admit to the Chamber that, if I have to learn a lesson, that lesson is that it was unwise to say the same in different words. But there is no question of a burden. I understand that, for this reason, that phrase was later deleted from the WOB report, because it concerned a personal policy view of the official concerned.
ParlaMint-NL_2016-01-20-tweedekamer-6.u119	Finally, on this point.
ParlaMint-NL_2016-01-20-tweedekamer-6.u120	This is not unclear. I just thought the Minister was very clear here. It says it twice. All MPs repeat it. In the second period, he shall not oppose the termination of the cooperation. All the media say it's finished. The police say this one's been terminated by order. The Minister is not making any attempt to rectify that at the time. Does the Minister agree with me that it was very clear at the time? He says: first on inactive, but now terminated. That's not confusion, but it's obvious. The Minister ended the relationship on 23 April in the experience of the entire National Police Corps.
ParlaMint-NL_2016-01-20-tweedekamer-6.u121	No, not in the sense of the Chief Constable and not in the experience of Professor Maat himself. Nor is it in the perception of the facts, because otherwise the investigation I announced in the same debate will have no function either. It is quite clear that an investigation has been initiated by the Chief Constable with the request to advise him. That's what happened. The Court now knows that the general commanders have established the facts and have given an opinion on them. I'll get back to you on that. The Chief Constable made his own conclusion to that. Then I endorsed it. In this way, it is also regulated by the law.
ParlaMint-NL_2016-01-20-tweedekamer-6.u122	The Minister says that he did not end the cooperation in the assessment of the Chief of Police and in the assessment of the police. What is the Minister's opinion? Did he end the cooperation himself? After all, it was the Minister who used these precise words not once, not twice, but three times in the relevant debate on the Chamber.
ParlaMint-NL_2016-01-20-tweedekamer-6.u123	No, because under Article 27 of the Police Act, only the Chief of Staff is responsible for the leadership and management of the Corps. This includes the decision to terminate or not to terminate partnerships. The police turned Professor Maat off duty on April 22, prior to the debate and prior to my statements on April 22 in the evening. I did that in different terms. I have already said that I should not have done this in different terms. I have also informed the Chamber of this, also in response to questions from Mr Sjoerdsma. The investigation was then initiated. This resulted in a judgment of the Chief Constable under the same legislation of 10 June of that year. I have endorsed that judgment. By the way, and for the record, I am entirely politically responsible for any judgment of anyone in this arena and in this place.
ParlaMint-NL_2016-01-20-tweedekamer-6.u124	Yes, but this is not a debate club where we can mix synonyms with each other without any consequences. "Non-active" simply means something quite different in this Chamber than ending the working relationship. The Minister says that he has learned a lesson and that he should have been more careful in it. But this is about a person whose employment relationship within the police he makes a ruling on. The Minister says, "I'm not in charge of that." But he's gonna do it anyway. How is that possible?
ParlaMint-NL_2016-01-20-tweedekamer-6.u125	No, because then it really comes down to the point. My intention was no different than to tell you what happened. I admit it doesn't say happy. It says, and I will read it literally, because it is not quite as Mr Sjoerdsma now says: "It should never have happened. That is also why Mr Maat has today been put on a non-active basis and why it has now been established that cooperation will be terminated." That cessation of cooperation shall be the non-activation. That concludes the cooperation. That is how Professor Maat himself understood it, as he told me and also in the media. He never heard that the cooperation was terminated at that time. That wasn't until June, after the Chief Constable's decision.
ParlaMint-NL_2016-01-20-tweedekamer-6.u126	I just want to check exactly what happened. Perhaps there was no formal instruction by the Minister; there was no burden. But there has been contact between the department and the police about ending the cooperation. That is what the Minister acknowledges in answering the parliamentary questions: there was consensus on the decision of the police that the services could no longer be used until the internal investigation was completed. How did this consensus come about and what was discussed by the Ministry and the police?
