ParlaMint-NL_2016-09-29-tweedekamer-10.u1	I would like to welcome the Secretary of State for Finance. Speaking time is four minutes.
ParlaMint-NL_2016-09-29-tweedekamer-10.u67	A special metaphor: flour in the mouth. I have the impression that some flour has been thrown into the ears from time to time. I think that the position I have taken is very clear, very clear. It is a pity that our group chairman is mentioned, that it is said that he would have sent me. I think this is a debate for the spokesmen. I've been spokespersonzzp since 2010, so I think it's also a good thing that I'm behind the microphone here. But when it comes to the firm words that have been spoken, yea, they are spoken. That has to do with the fact that we stand for that ZP, for that self-employed professional. We're in front of that client. And we also want clarity. I've given it in my contribution. I haven't been unclear about that. I didn't have flour in my mouth about that. I was very clear. We're talking time limits. You have to see how big the problem is. And suddenly throwing everything over the head and creating even more uncertainty for that vp'er, so that even more vp'ers don't get orders, that's incorrect. And we have to fight that. There's got to be some clarity.
ParlaMint-NL_2016-09-29-tweedekamer-10.u68	What is clearer now than to decide today that this monstrosity goes into the trash? We're going back to the VAR. All thosezzp'ers of yours have another VAR in the drawer this year. In other words, they can get back to work tomorrow with a VAR and rake the assignments back in. But no, you say to thosezzp'ers: stay home for six months waiting for 1 January. In the meantime, they are already in welfare, they must eat their homes and you have put them into poverty. That's what you do to thezzp'ers. You do not stand up forzzp'ers but send thezzp'ers directly to the assistance, by keeping them waiting until January 1st for a glimmer of security.
ParlaMint-NL_2016-09-29-tweedekamer-10.u69	This is pure rhetoric. It is quite simple: for years, during the period I was spokesperson for thezzp'ers, we had reactions fromzzp'ers that they wanted to abolish the VAR. Now it is said by the PVV that it is apparently a very nice solution, but at the time it was abhorred. The organisations ofzzp have therefore proposed to abolish the VAR.
ParlaMint-NL_2016-09-29-tweedekamer-10.u70	So you think this Law DBA is better than the VAR?
ParlaMint-NL_2016-09-29-tweedekamer-10.u71	This is bullshit...
ParlaMint-NL_2016-09-29-tweedekamer-10.u72	No, no, no. That's the question. Is the Law DBA better than the VAR?
ParlaMint-NL_2016-09-29-tweedekamer-10.u73	This is bullshit. The DBA Act is apparently intended to ensure that the client and the contractor agree. With the VAR, the risk was unilaterally deposited with one party. That doesn't mean anything's better or worse. It's very simple. What I indicated was that at the time the DBA Act was created by the input of all those organizations. Apparently, there has not been sufficient thought about its impact. That's what we're finding out here. Then let us look at a solution.
ParlaMint-NL_2016-09-29-tweedekamer-10.u74	There was still some uncertainty about the dates on which the VVD intends to look at exactly what is the time to decide whether or not we should continue to do so. Actually, I'd like it to be a little more specific. Where does it depend for the VVD to determine whether it will become a "go" or a "no-go" for this law in January?
ParlaMint-NL_2016-09-29-tweedekamer-10.u75	Suppose the reports show that the vast majority of the ZPs get no assignments and that clients are completely shy. If you add up the facts that you're going to get, I imagine you're going to say we have to go another way. That may be very fast, but it really depends on how you're going to assess that data with each other in the end. That's what we do here in this room.
ParlaMint-NL_2016-09-29-tweedekamer-10.u76	We all do that in this Chamber, but I think it might be important for the Secretary of State to know what the VVD is going to test. If Mr Ziegs talks about the majority of those who no longer receive orders, does he mean 51%? How are we going to determine that? Can Mr Ziengs then indicate what the scissors he cuts with? Is it because of the DBA Act or because there is no work? Could the VVD perhaps give a little more direction to the Secretary of State, so that the Secretary of State knows when he is on the right track?
ParlaMint-NL_2016-09-29-tweedekamer-10.u77	I understand that Mrs Schouten is asking this question. Then we have to call percentages, numbers and so on. But every ZP who is not in business at the moment has always chosen to work at his own expense and risk in that construction, but is now out of business, is important to us. This means that we are going to make that assessment at the time the report comes. If in a particular group it appears that several ZPs do not receive orders and are excluded, then we will have to adjust. Then it could be a number or a percentage. However, it seems to me that it is a bit premature to set percentages and numbers already.
ParlaMint-NL_2016-09-29-tweedekamer-10.u78	It wasn't my job to do the percentages or the numbers. Mr Ziegs made a comment about the majority.
ParlaMint-NL_2016-09-29-tweedekamer-10.u79	You know what a majority is.
ParlaMint-NL_2016-09-29-tweedekamer-10.u80	So it's 51%. My point is more that, in my view, we should indicate to the Secretary of State the direction in which we are going to assess whether this law works or not. I get the feeling from the VVD that we are going to look at it in the hope that model agreements will then be established. I am trying to fill it out for Mr Ziengs, but once again, will he clarify this to the Secretary of State? Perhaps even more important: does he want to clarify to thezzp'ers the question of what the VVD will ultimately come up with?
ParlaMint-NL_2016-09-29-tweedekamer-10.u81	I would very much like to do that, and I believe that I indicated in my speech how important we think it is for thatzzp'er to continue to do his job and continue to receive these assignments. That's what we stand for. Our message to the Secretary of State is as follows. We call for an evaluation of these model contracts in December. That evaluation will show you how it works out and whether it works out right. On the basis of this report, we can say 'it is not good', but the Secretary of State himself can also establish that. If this is not good, if it is red, if the assignments are not good according to the hotline, then we will have to adjust immediately.
ParlaMint-NL_2016-09-29-tweedekamer-10.u82	I hear a lot of vague words in the vein of "if things don't go well." I hear only one specific statement, namely that if the vast majority ofzzp'ers are no longer given orders, then the law has failed. There's almost a millionzzp'ers. Is it really the case that half a million people have to be left without a single job and without any income before the VVD concludes that this law has failed?
ParlaMint-NL_2016-09-29-tweedekamer-10.u83	It is always so pleasant that in such a debate there is a wave of numbers. We know very well that the term "zzp'er" is very broad. This varies from logopedist to translators to all kinds of services and there are a lot of zzp'ers who just work as a zzp'er and don't need a model agreement at all. If you are a painter and you provide your services to individuals, you do not need a model contract, although the opposite is sometimes suggested. Let's stay away from the numbers and just see what the ultimate goal is. We know that we want to stand in front of thatzzp'er, we also think that things are going wrong, given all the mail messages we've all received in our mailbox. Let's go find solutions instead of throwing each other numbers to the ears of when and when not, ours more, ours less. Let's just come to a solution, I think that's the goal.
ParlaMint-NL_2016-09-29-tweedekamer-10.u84	I don't come up with a number. That was the number Mr Ziengs referred to spontaneously. He said: it is a failure if the vast majority do not have a job. Then I think to myself: if that is the barrier that the VVD puts on self-employed people, then the Secretary of State can do just about anything. When I ask what exactly should happen, there will be something about speech pedists. I'm just missing the plumbers, because they don't need a model agreement if they're only fixing something for half an hour. That's right, there's a category that doesn't need that whole thing. But there is a large group ofzzp'ers who currently don't know what they're up to and who aren't hired. What are the concrete actions for them, apart from setting up a hotline, which is going to take a month and wherezzp'ers will have to put all their files on the table, with the chance that they will then be fined and recharged? What are the concrete actions that the VVD believes should be taken to make this law into less chaos? I use Mr Zijlstra's words, but Mr Ziengs does not think it is chaos. What needs to be done to make it a better law?
ParlaMint-NL_2016-09-29-tweedekamer-10.u85	I have indicated this in my contribution. I even asked the Secretary of State for a more detailed explanation of the hotline. I also said that we see a hotline as a point where things are not just reported; they also need to be resolved. That is what I said in my speech, and I think I will answer Mr Omtzigt's question.
ParlaMint-NL_2016-09-29-tweedekamer-10.u86	Finally.
ParlaMint-NL_2016-09-29-tweedekamer-10.u87	If the VVD to determine what the problems are now needs a hotline that doesn't start for another three weeks, I notice that Mr Ziengs hasn't read his e-mails and hasn't dared to draw a conclusion about where the angels of the DBA Act are.
ParlaMint-NL_2016-09-29-tweedekamer-10.u88	This is a rather lame conclusion, because all the mails that have come in have been treated seriously. In fact, they have also ended up in the Ministry and I have even understood from almost all those who have sent us emails that action has also been followed directly by the Tax Administration. I am very pleased that these contacts have now been made. If the suggestion is raised here that in the few weeks that those e-mails have been received, no action has been taken, that is incorrect. Only now we formalize it, to make it even wider, so that any client who finds out that he or she is in trouble can report it. And I ask the Secretary of State to take action there. It seems to me that this has been a good action.
ParlaMint-NL_2016-09-29-tweedekamer-10.u89	Mr Van Weyenberg, you have already interrupted twice. We haven't agreed on numbers of interruptions, but we're not supposed to go on endlessly with about the same questions. Very briefly, please.
ParlaMint-NL_2016-09-29-tweedekamer-10.u90	I'll be very brief. According to Mr Ziengs, it's not a code red, it's not chaos. He wants to intervene when most of thezzp'ers lose their jobs. I don't believe the latter. I do not think that Mr Ziengs wants to intervene until then. He'll do that before half a million people run out of assignments. I have a simple question. Today's situation is that 50,000 people are at risk of losing their jobs. We get examples from all kinds of sectors of clients who no longer give orders. If it stays the way it is today, my conclusion is that there is chaos and the law needs to change. If it remains as it is today, what conclusion does Mr Ziengs draw in the middle of December?
ParlaMint-NL_2016-09-29-tweedekamer-10.u91	It is remarkable that I am now being presented with this question in a different form. I think I have already said something about this in response to another question. I refer to the General Political Reviews, when the group chairmen discussed this issue explicitly. That's where they switched cases. Periods are agreed. In fact, it's been reported who did and who didn't need to be dealt with. I have just said that we can always throw it at one ounce more or less and a figure here and a figure there. Then stay busy with number... there's a hard word for that that I probably shouldn't mention here. We're doing the right thing finding a solution with each other. The letter gives clues for that. I hope that the Secretary of State will, in his reply, take the coat-sticks we are handing him. In the speeches made by previous speakers, I see sufficient points of departure to be able to reach full agreement in the end.
ParlaMint-NL_2016-09-29-tweedekamer-10.u92	Finally.
ParlaMint-NL_2016-09-29-tweedekamer-10.u93	I'm not asking for a specific number. That is what Mr Ziengs himself brought up. The opposition as a whole, Mr Van Vliet, has yet to speak, says that it is not going well at the moment; it cannot go on like this. What we have been trying to hear from Mr Ziengs for ten minutes now is: does he agree with us that it cannot remain as it is now?
ParlaMint-NL_2016-09-29-tweedekamer-10.u94	That's odd. I have emphasised in my contribution that things are just not going well. I have indicated that those e-mails have arrived with me as well. I have indicated that there is a great deal of unrest. I'm not gonna let you fool me that I wouldn't see the trouble. I do see that one. I think I've always indicated that from behind this microphone.
ParlaMint-NL_2016-09-29-tweedekamer-10.u95	I'll be very brief. This is a case of dampening the well when the calf has drowned. You only want to say that there is a problem when thezzp'ers can prove that they no longer have a job. Isn't it much better to see what the current situation is? The ABP prohibits the offer ofzzp'ers contracts. At PGGM there are already 160zzp'ers out. ING and Brunel quit.
ParlaMint-NL_2016-09-29-tweedekamer-10.u96	You said you'd be brief.
ParlaMint-NL_2016-09-29-tweedekamer-10.u97	Let me give you the seriousness of the problem. You don't have to look at whether or not azzp'er gets a job, but you have to look at the clients who are systematically giving away work at the moment. Municipalities are forcingzzp'ers to start a payroll construction. In short, on the part of the clients, it is nothing but misery. You should take that side. You have to make sure that clients givezzp'ers work again. You make it very easy by saying that in December you will see ifzzp'ers have any work to do.
ParlaMint-NL_2016-09-29-tweedekamer-10.u98	You need to ask a question.
ParlaMint-NL_2016-09-29-tweedekamer-10.u99	I ask Mr Ziengs whether he will admit that it is not a matter of looking at what thezzp'er is losing, but of looking at the clients who do not want to give up work.
ParlaMint-NL_2016-09-29-tweedekamer-10.u100	It was quite an argument.
ParlaMint-NL_2016-09-29-tweedekamer-10.u101	Of course.
ParlaMint-NL_2016-09-29-tweedekamer-10.u102	That's not the point. You have actually already used your speaking time.
ParlaMint-NL_2016-09-29-tweedekamer-10.u103	The question has become clear in the end. I've listened very carefully. Of course, the clients have become shy. They are indeed afraid that they are at risk. At the time at the old VAR they were not at risk. Then the risk was only on the contractor. Now, however, we see that as soon as the client no longer provides contracts, the contractor, who apparently used to be able to work in a certain situation, simply does not receive any more assignments at this time. So of course we will also have to look at the role of the client. It's as simple as that. Except we're dealing with that DBA. How do we deal with that? How do we get rid of that concern for that client?
ParlaMint-NL_2016-09-29-tweedekamer-10.u104	Very briefly, Mr. Chairman.
ParlaMint-NL_2016-09-29-tweedekamer-10.u105	Yeah, that's what we were talking about.
ParlaMint-NL_2016-09-29-tweedekamer-10.u106	I conclude it's and-and. So we look at the assignments that thezzp'ers do not get, but it is also very important that we look at which clients show avoidable behaviour. So that is also a question which the Secretary of State will have to deal with in the near future. Which clients are shy? Mr Ziengs is also very happy when he can hear that.
ParlaMint-NL_2016-09-29-tweedekamer-10.u107	Thank you very much, Mr Ziengs.
ParlaMint-NL_2016-09-29-tweedekamer-10.u108	Mr. Chairman. Lose your income in one go. Don't know how long you're gonna have to sing it out with your savings. The rent or your mortgage can't pay. That's terrible, that's really terrible. I also heard that design assignments from artists disappear abroad because the clients no longer dare to order the artists. The commitment of this debate is to make sure that thesezzp'ers get their assignments back. This can only be done by removing the ambiguity from the clients, about as per yesterday. But in order to do that, it's important to know how manyzzp'ers we're talking about right now. How manyzzp'ers are in trouble for this now? I have heard from Mr Spaninks the number of about 50,000zzp'ers. They would now have no or fewer assignments. That's a lot of them, but does that mean that the other 1 millionzzp'ers don't have any problems with this law? This opens up a different perspective on the problems. It is therefore very important that the Secretary of State gets more insight very quickly into the question of how manyzzp'ers now have problems with the implementation of this law. How does he intend to get those figures available? And when is the model agreement for public service broadcasting, for journalists? We have read that they have actually been in consultation for a long time and that the Tax Administration is making it difficult. Does the Secretary of State also speak with thezzp'ers themselves or with their associations? I am thinking of the FreeLancers Association, the NVJ, FNV KIEM, FNV Self-employed, the PZO. There people know very well how to work in the creative sector from the perspective of thezzp'ers in that sector. In my view, this is very important to achieve model agreements. So when is the Secretary of State going to talk to public service broadcasting and the other journalists' associations? And does he involve thezzp'ers and their associations? Another way to increase the security of clients is to clarify enforcement. When does it start, and how? The PvdA Group thinks it's a good governance testimonial anyway if you don't start to enforce until there's just clarity about the law. My group has the impression that this clarity is not yet there. The following could also clarify the situation. Can the Secretary of State present a few examples of "too bad faith" in this debate this evening? What exactly is that in this context? I think we all know what "in good faith" is. But what is "too bad faith"? Who should really be afraid of any post-taxes? Can the Secretary of State give us some examples of this? If enforcement is started once, either by May or perhaps later, then it would help if the government could indicate in which sectors or sub-sectors that enforcement will take place. Everyone here has broken down the tent about the parcel delivery guys. It is an insult to everyzzp'ers that a parcel delivery company from PostNL is called a self-employed person. Who amazes us all: PostNL does have a model agreement. The same applies to medical specialists. A medical specialist in a hospital can be azzp'er while he just always gets his work through the hospital and that work just comes in at regular intervals. I've never understood what kind of "Entrepreneurship" is about it. If the Secretary of State starts to maintain, I would like him to give priority to two sectors, namely the package sector and the medical specialists sector. Then we might have been able to deal with some false self-employment at the bottom and at the top. What is the Secretary of State going to do forzzp'ers who have actually been employed for years and who are now dropped at once by the client? This is particularly important in the construction sector, for example in the case of a 50-year-old construction worker who is not given any more assignments at once and is probably no longer employed as an employee. What will the Secretary of State do in such a case? Will he, in consultation with Bouwend Nederland and the Contractors Federation, ensure that this man still gets a job as a construction worker? After all, they are far from finished. I come to my final point, about the payroll companies and intermediaries. We now see that they are more often engaged. That is also because they have spread so much fog over the past few months about what can and cannot be done. Sometimes those were even lies. Is the government going to act faster on those lies now? Can the government deal with this more quickly? The PvdA strongly supports the fact that our taxpayers' money is being made up of fantastic programmes by public service broadcasting, but it should not be the case that 10% goes on to payroll companies. That should not happen: not a tax cent to the payroll companies! That can't be the result of the DBA. Finally, the purpose of the DBA was less hassle for thezzp'er, more responsibility for the client and less bogus self-employment. The PvdA was and still stands behind that.
ParlaMint-NL_2016-09-29-tweedekamer-10.u109	I understand the PvdA is committed to public service broadcasting. Finally, that is their advertising machine to make something of the next election. But public service broadcasting costs the taxpayer a small billion, I believe 900 million. Then, of course, it is not the intention that the people who work there should pay taxes again. Imagine that! But that wasn't my question.
ParlaMint-NL_2016-09-29-tweedekamer-10.u110	No, I understand. I was talking about payroll companies.
ParlaMint-NL_2016-09-29-tweedekamer-10.u111	Imagine Jeroen Pauw couldn't work as a vzzp'er with his five tons, but he'd have to pay taxes on that. We shouldn't want any of that, especially the PvdA. I couldn't help myself, Mr. Chairman. But my question was something else. We're all stunned. Mrs Mei Li Vos just said something very important, namely that this law does not protect against false self-employment, from false constructions. She gave two fine examples: the specialist in the top and the postman at the bottom. Both of them can just go on living with a model contract, while this Secretary of State has told us that this is the solution to bogus constructions. Does Mrs Mei Li Vos agree with me that this law actually misses its purpose?
ParlaMint-NL_2016-09-29-tweedekamer-10.u112	If you have listened carefully, I would ask you to proceed to enforcement if there is clarity as to what is meant by a model agreement and what is to be done with it. I am surprised, like the rest of the Chamber, that there is a model contract for the parcel deliverer. That is why, when enforcement begins, I want it to be done as a matter of priority in these two sectors. Because I also find this very strange, just like the PVV apparently.
ParlaMint-NL_2016-09-29-tweedekamer-10.u113	We find that very strange, too, but we find it even weirder that the model agreement of those postmen fully meets the criteria. In fact, you couldn't even refuse a model agreement under this law if those criteria of pay were met and you could be replaced. If it says that you can have your neighbor deliver the mail once you're sick, you're, uh, hop, azzp'er.
ParlaMint-NL_2016-09-29-tweedekamer-10.u114	That was precisely my question on the oral questions. What is meant by "replaceability"? I would find it very strange if replacement is the only criterion and then you are an entrepreneur at once. That has been the subject of discussion here before.
ParlaMint-NL_2016-09-29-tweedekamer-10.u115	It is rather amusing to see the PVV and the PvdA in debate, as both parties voted in favour of this bill, both here and across the street. And now there's a lot of crying. Mrs Mei Li Vos referred to the payroll contracts that are now being used to make realzzp'ers temporary workers. The Hamer motion has also been adopted on this. That motion was not adopted recently, but two and a half years ago, and has still not been implemented. Does Mrs Mei Li Vos support the SP's call for this motion to be carried out as quickly as possible, so that payroll workers are given the same rights as other employees?
ParlaMint-NL_2016-09-29-tweedekamer-10.u116	Sure. But even so, I don't think the payroll construction should be necessary. That's just extra transaction costs. It is, of course, very strange that, if you can have a normal employment relationship, there should be a payroll company in between. I understand that it is necessary for some sectors, but I would find it very strange if, for example, in the public service broadcasting sector, some of our taxpayers' money is being skimmed by payroll companies. So yeah, sure, I still feel the urge to carry out the Hamer motion. For some sectors it does not have to be necessary at all.
ParlaMint-NL_2016-09-29-tweedekamer-10.u117	Finally, Mr Bashir.
ParlaMint-NL_2016-09-29-tweedekamer-10.u118	Unfortunately, we do see that realzzp'ers, not bogus self-employed people, but people who have been working independently for years, are now forced to work as temporary workers through payroll companies. That is due to the law that is now in force and for which the PvdA has voted. In any case, I am pleased to hear that the PvdA also wants to work quickly on the Hamer motion.
ParlaMint-NL_2016-09-29-tweedekamer-10.u119	Sure.
ParlaMint-NL_2016-09-29-tweedekamer-10.u120	I share Mrs Vos' frustration about PostNL. I know she's always been very clear about that. There you are quite replaceable, despite your van, your uniform and your driving times. Besides, you don't have your own invoice. Then there is something wrong with this law when it is said at the same time to people working in the broadcasters: no, journalist, you are taking part in a group meeting... I mean drafting, a group meeting is our profession and we are notzzp'ers. That's a nice slip! It is said to a journalist that you are taking part in the drafting meeting, so you are not self-employed. To an entrepreneur in higher education is said: oh, but that is authority, because you are told which room you are in. Hop, 400 self-employed people out at Utrecht University of Applied Sciences. A musician who also plays in orchestras is told: you may have all kinds of different jobs, but you are looking at the conductor and he is also conducting Bach today, so yes, that's authority. Then there's just something wrong with that law, isn't there? Does Mrs. Vos agree with me?
ParlaMint-NL_2016-09-29-tweedekamer-10.u121	Then the question is: what law? De facto, I think we are talking about Book 7 of the Civil Code, which regulates the employment relationship. There are three things in there. The case law always weighs what authority means. That is why I asked the Secretary of State: if you are going to talk to public service broadcasting, include FNV Self-employed and FNV KIEM. They know very well what authority really means in the creative sector. Then it's not about listening to a conductor. When I waszzp'er and typed columns and couldn't work under authority at all because I wanted to type very nasty things, "not under authority" meant that I could run away at any moment. I've never had a problem with that. I therefore welcome the fact that the Boot Committee is coming up with an opinion. I think that "authority" can have different definitions. If we're going to explain "mighty" so thinly that listening to a conductor with a conductor's stick of authority alone, then nothing can be done. That is not the intention of this law, and we did not want it to be so at the time. We wanted to tackle false self-employment. That's a lot more than just a roster. I hope D66 agrees with me that the phenomenon of medical specialists, so-called self-employed people who walk into hospital every day with their breadbox and get their customers through the hospital, has nothing to do with entrepreneurship.
ParlaMint-NL_2016-09-29-tweedekamer-10.u122	In our election programme, they're paid, so we'll find each other there. The practice is that in the review by the far too heady Tax Administration this is exactly the point where the model contracts are broken. Among them are examples of people that Mrs Vos and I really think are independent entrepreneurs. However, they are not getting to work anymore because the clients there are already going to say wrong: I am afraid to do so. I welcome this answer. In the second term, I will also table a motion on this particular point. When I hear it like that, Mrs. Fox will be able to agree to that.
ParlaMint-NL_2016-09-29-tweedekamer-10.u123	Certainly, and I hope that this debate will take away much of the heads-up of the clients.
ParlaMint-NL_2016-09-29-tweedekamer-10.u124	Mr. Chairman. If there is a relationship of authority and remuneration for work and replacement, then there is a tax relationship. The employer or client must pay a wage charge and the employee or contractor does not receive tax facilities such as the self-employed. That was the case at the time of the VAR and that is still the case with the DBA Act. Of the total labour force of some 8.3 million people, some 1.040 000 are employed as employees. As of 1 August 2016, some 4,500 applications for the assessment of a model agreement had been received by the tax authorities. That's 0.43%. Apparently, for those other 99.5% of thezzp'ers it is simply clear that they are real self-employed and not persons who, for example, spend five years with one client. I am therefore convinced that the DBA Act does indeed provide the necessary clarity. Of course, applications for the assessment of model contracts have to be processed much faster than within 11 weeks. I've even been finding six weeks for a long time. The expansion of the tax administration's capacity and the new complaint hotline will hopefully be beneficial, but when will a significant reduction in the treatment period be achieved according to the State Secretary? I have to leave it at that again.
ParlaMint-NL_2016-09-29-tweedekamer-10.u125	You're over your time, but thank you.
ParlaMint-NL_2016-09-29-tweedekamer-10.u126	Mr. Chairman. When is someone a benevolent entrepreneur? And when are you going to be a real self-employed person? These are two seemingly simple questions on which the most bizarre discussions are now being held. When a client tells you what time to be on an assignment, are you self-employed or not? If there's a supervisor in the workshop who makes a comment about your work, are you self-employed or not? With the DBA Act we wanted to offer certainty, but there has been a lot of uncertainty. Let us be clear: my group supported this law in the House of Representatives. I still share the aim of combating false self-employment. But in the performance, it's not going well. Zzp'ers who want to do business, are no longer hired because the clients no longer dare. In permanent service is also not an option, because a lot of work takes place on a project basis. When the DBA Act was introduced, the impression was that a number of model agreements would be drawn up which would provide clarity. I understand that 10 general and some 50 sectoral model agreements have now been concluded. But how clear are these model agreements? The Secretary of State states that some clients need more detailed or business-specific model agreements. He talks about "some clients," but if you look at the figures, it is a euphemistic formulation. 4.700 model contracts have been submitted to the Tax Administration, of which only 450 have been approved. 1,200 agreements have been repealed, 1,100 agreements have been rejected and about 2,000 more have to be assessed. In short, a bureaucratic monster has been created. How is this possible? The Secretary of State puts the ball to the principals: they want more clarity. But can it also be that they have reason to be insecure, because a published model agreement does not provide sufficient clarity? How often does the Tax Administration say at a client's request: but here is also a model contract? Why does it take so long for a model agreement to be adopted and finally published? The Secretary of State states that no fines will be imposed until 1 May. That seems to me to be the least in such a period of implementation. However, the crux for many clients will be at the risk of post-charges. If there are still discussions between companies and the Tax Administration, then after-taxes can't be discussed until 1 May, can they? The Secretary of State wants to protect self-employed people at the bottom of the market with the DBA Act. The question is whether this will happen now. My colleague Vos was just talking about it. I too am getting signals that the substitution criterion in the model contracts has created a worse situation for workers at the bottom of the labour market. The model agreement has then suddenly become an approval mark for an undesirable situation. Does the Secretary of State acknowledge this situation and find it undesirable? What's to be done now? Is the Secretary of State prepared to give an interim evaluation of the law at the beginning of next year, with the state of play in assessing the model agreements and the complaints received from the Tax Administration? Is he willing to make a weighting or does the law do what he has to do, with a cabinet juice valuation or can be held to the law? In some sectors, a model contract has been pinged back and forth for a long time. Is the Secretary of State going to make sure that we are clear now; rather tomorrow than in three months' time? Is the Secretary of State prepared not to impose post-tax charges if there is any discussion between principals and the Tax Office about the alleged employment relationship? Would the Secretary of State like to see whether some model agreements do not bring workers at the bottom, for example in package delivery, further into dependence?
ParlaMint-NL_2016-09-29-tweedekamer-10.u127	The next item is Mr Tony van Dijck, on behalf of the PVV Group.
ParlaMint-NL_2016-09-29-tweedekamer-10.u128	Mr. Chairman. We're discussing the Law on Deregulation Assessment of Labour Relations today. I think something goes wrong in the naming of deregulation and judgment, because it's a mess, a battlefield. SMEs even called it a bloodbath. The Law DBA is a freak. We see that 4,500 contracts have been submitted and only 370 have been approved. The rest is still under treatment and 1,000 have been rejected. There's a lot of uncertainty. The lead time for assessing a contract is ten weeks, writes the Secretary of State in the letter. Ten weeks of uncertainty. Clients are uncertain about the risks and drop out. Zzp'ers are distraught and without assignments and without perspective. Payroll companies and intermediaries, on the other hand, work overtime. The result is that 50,000zzp'ers will be unemployed at home, thanks to this secretary of state. Is this what this is supposed to be? The DBA was sold to us as a cure for uncertainty and abuse, but the cure is now worse than the ailment. The professionals get frustrated, because they are ultimately irreplaceable, and the little bogus self-employed for which the law was actually intended is facilitated, as has been said by others. Of course, abuse must be dealt with as hard as you can. That begins by clearly defining false self-employment. What, according to this Secretary of State, is a bogus self-employed person? Maybe that's where the crux is. There is an employment relationship when pay is paid, if there is an employer's authority and if one cannot be replaced by a personal job. Let me give you a few examples. Is a stucadoor that is hired as an expert by a contractor to come and play, at a fixed hourly rate, at an agreed time and without being allowed to be replaced, azzp'er or not? He gets money, he's under authority, and he can't be replaced. Or that Spanish teacher who teaches one hour a week in 20 schools, who is bound by the authority and the teaching times and uses the material of the school, and so on? Or the interim managers who perform reorganisations, or the freelance cameraman who makes a documentary, or the substitute for pregnancy? Are these employees or entrepreneurs now? Who knows, let's say it. For the PVV it's clear. Apparent self-employment is that cleaning lady who is hired by the same company she worked for after she was discharged. Because she's a victim and not azzp'er. You have to deal with that, but not by making the whole group ofzzp'ers suspicious and all the clients shy. That seems to be happening right now. Therefore, the PVV proposes to withdraw the DBA Act immediately and to revive the VAR. The Secretary of State must think carefully about how he is going to deal with the real sham self-employment. I'd say back to the drawing board!
ParlaMint-NL_2016-09-29-tweedekamer-10.u129	Mr. Chairman. I'm in favour of deregulation assessment of employment relationships. Beautiful is that, deregulation, with only the SP against this deregulation, but what a disaster scenario is implementation. So at the core, it's a bad law. Instead of giving more certainty tozzp'ers, more uncertainty is given and loss of work takes place. Clients no longer engagezzp'ers, as I just indicated, by hannes at the IRS. I don't think there's anything liberal about that. In fact, a disastrous situation arises for thezzp'ers: 1 millionzzp'ers in trouble. Our group has already asked 30 parliamentary questions. The answers went from bad to worse, from problems at the UWV to problems at the Tax Administration that are not getting clear. Now there is no maintenance, but the aftercharges are now hanging over the clients like a sword of Damocles. In short: stop bullying entrepreneurs, stop bullying DBA. There's a lot of juridification without any use. There are hundreds of similarities that just don't help anyone at all. I agree with the comments made by the PVV: let us go back to the VAR. The VAR provides clarity for the contractor and thus offers a real opportunity to give "fix the basics" content.
ParlaMint-NL_2016-09-29-tweedekamer-10.u130	It's very easy to bitch afterwards. This applies both to Mr Klein and to the PVV. From Mr Klein I still understand; he is a one-man group. He could not take part in legislative debate because it demands too much from a Member of Parliament to be present everywhere. However, the PVV is a large party. The PVV did not participate in the legislative consultation.
ParlaMint-NL_2016-09-29-tweedekamer-10.u131	Mr Bashir, Mr Tony van Dijck was just standing here. He's having trouble getting out of...
ParlaMint-NL_2016-09-29-tweedekamer-10.u132	Mr President, my comment is addressed to both Members of Parliament.
ParlaMint-NL_2016-09-29-tweedekamer-10.u133	It is customary to interrupt when the MP is behind the speaker's seat and not when he is back in the Chamber.
ParlaMint-NL_2016-09-29-tweedekamer-10.u134	Mr Klein can also answer. It's very easy to talk afterwards. When this bill was on the table, Mr Klein was not there and the PVV was not there, but now they are.
ParlaMint-NL_2016-09-29-tweedekamer-10.u135	That's right. I will certainly not hide behind the fact that we are a one-man group. On the contrary, because a one-man group has a responsibility, just like everyone else in this Chamber. I will stand for that too, and we have voted in favour of it. What is at issue is that we have chosen principles at a certain point in time. We have chosen to combat bogus self-employment by laying down more problems or, rather, responsibility on the client's part. I've worked for years with a VAR profits out of business myself. That works fine. That works in a good way. That way, you just want to give the client an extra chance with this law.
ParlaMint-NL_2016-09-29-tweedekamer-10.u136	Thank you.
ParlaMint-NL_2016-09-29-tweedekamer-10.u137	That is why it is right that we were in favour of the law at the time, because the law would lead to deregulation and cause less problems for thezzp'er.
ParlaMint-NL_2016-09-29-tweedekamer-10.u138	Mr. Klein.
ParlaMint-NL_2016-09-29-tweedekamer-10.u139	But, Mr President, it makes sense that, now that it doesn't turn out to be...
ParlaMint-NL_2016-09-29-tweedekamer-10.u140	You had one minute's speaking time and you have been speaking for about two minutes.
ParlaMint-NL_2016-09-29-tweedekamer-10.u141	Mr Bashir had a serious question. He is asking me to play a role in the legislative process.
ParlaMint-NL_2016-09-29-tweedekamer-10.u142	You replied. Thank you.
ParlaMint-NL_2016-09-29-tweedekamer-10.u143	I have had a clear role in the legislative process...
ParlaMint-NL_2016-09-29-tweedekamer-10.u144	Thank you.
