ParlaMint-NL_2016-09-08-tweedekamer-7.u1	I would once again like to welcome the Minister for Health, Welfare and Sport.
ParlaMint-NL_2016-09-08-tweedekamer-7.u82	Mr. Chairman. We are talking about the amendment of the Health Organisations Act to improve monitoring, detection, compliance and enforcement. That sounds promising. We have known for years that for billions of euros a mistake is declared in healthcare, often consciously. Healthcare providers are not at all impressed by the supervision, detection, compliance and enforcement practices of the government, because the probability is low and the penalty is also low. E is simply under-controlled and not strict enough. The PVV finds this unacceptable. If someone fills their pockets by making a mistake and he can just get away with it, then we must not leave it at that. We must use all the instruments to bring back these billions of fraud. Last week, however, we were able to read that the investigation into malpractice with declarations at the VUmc was stalled. The Tax Intelligence and Investigation Service has been trying to investigate sensitive data for a year and a half. This is not possible because it involves patient data and is subject to medical professional secrecy. First of all, I'm gonna ask if the patients are gonna be involved in the search. Has they been asked to assist in the investigation of fraud and whether their medical records can be used for this purpose? That is the problem: medical data must not be accessed without the consent of the patient. Then I look at the schedule of the material control steps of Health Insurance companies Netherlands and I don't see the patient in the picture anywhere. At no stage is the patient asked to make data available. I don't understand. I think patients are quite willing to cooperate in detecting fraud, not all of them, but most of them are. The NPCF survey shows that over 60% believe that the health insurance provider should contact the patient before requesting the file. This percentage will certainly increase if we realise that there may have been too much own risk paid or that fraud will increase the premium every year by billions. In my view, therefore, between steps 7 and 8 in the above schedule should be given an opportunity to provide the patient with missing information. I understand that healthcare insurers in the Netherlands are not in favour of this. Among other things, it would delay the investigation; as if there were no delays in the VUmc investigation, for example. I'd like a response from the Minister. I would like to stress that I am not asking to inform the patient in advance, but to ask him to cooperate in advance. There is a fundamental difference. From getting the patient involved in advance, I come to inform him afterwards. Informing the patient afterwards about access to his file because of possible fraud is a condition that my group believes should not be missing from the legislative proposal. We cannot leave that to the arbitrariness of health insurers; we simply have to make this compulsory. I have therefore tabled an amendment to this effect and have now understood that the Minister is in favour of this. I hope that the House will also support this amendment and thank the VVD for that.
ParlaMint-NL_2016-09-08-tweedekamer-7.u83	Mrs Klever is right to make a point. We should not leave it to the care insurers to inform patients. Has her group considered possible sanctions if this does not happen? We can capture it, but what do we do when it doesn't happen? We both probably know from personal experience how long it takes before you get a look at a claim that might have been made a year ago. If that is already very complicated, reporting within three months will also become complicated.
ParlaMint-NL_2016-09-08-tweedekamer-7.u84	Now, I think it's 2,500 visits a year. That's to be seen. That is quite different from the 1 billion in declarations, of which a very large part is too late. So I think the problem that Mrs Volp sees is not that big. Now it's non-binding; health insurance companies can do it. One's doing it, too. I think it is important that we anchor this in the law and that all health insurance companies are obliged to do so.
ParlaMint-NL_2016-09-08-tweedekamer-7.u85	I imagine we need to think about the cases where it doesn't happen. There's another downside, a possible side effect. If you see how scared patients are about the safety of their data with the health insurance company, it can lead to health insurance companies not looking anymore. Their controlling task, and the steps we put in place with this law, will no longer take them on their own. Does the PVV see that risk?
ParlaMint-NL_2016-09-08-tweedekamer-7.u86	I'm not sure I understand the question. Is Mrs Volp saying that health insurance companies are no longer going to look into files when they are obliged to inform patients that these files are being looked into in the context of a fraud investigation? So I don't know if I understood the question correctly, but I don't think so. It is a core task of health insurance companies to check claims. This is a step in the right direction, but I think the Chamber and the Minister should keep the health insurers behind their pants to make sure they check all the declarations.
ParlaMint-NL_2016-09-08-tweedekamer-7.u87	I think there is such a risk. The NZa monitor also indicates that there have been fewer reports because the requirements have been tightened by the NZa. There is therefore a risk of a retreating movement of health insurers. We can also ask the Minister for her views on this.
ParlaMint-NL_2016-09-08-tweedekamer-7.u88	I do not see that danger, but I am indeed looking forward to the Minister's response. It is important that health insurers realise that their core task is to check declarations.
ParlaMint-NL_2016-09-08-tweedekamer-7.u89	I know Mrs Klever from other debates as being rather straightforward and usually not very interested in what the government claims about laws. Now she has tabled an amendment to let the patient know 30 days after it has happened that his data has been consulted. Isn't that a rather compromise proposal from the PVV? I'm actually surprised at that. Why not just choose to give that information in advance? Why not inform the patient in advance when his file has been used?
ParlaMint-NL_2016-09-08-tweedekamer-7.u90	That's a very good question. If you inform a patient in advance, you run the risk of harming the investigation, that a healthcare provider will be told that there is an investigation into certain claims. You want to avoid that, of course. You want to prevent such a healthcare provider from destroying administration or whatever. I think it's important that the patient knows, but in this case it's best to inform afterwards.
ParlaMint-NL_2016-09-08-tweedekamer-7.u91	Mrs Klever is now very close to it from the chance that the fight against fraud will be hampered by prior information. That might be true, but honestly, I think that's not so bad. Let us look at it from the other side: what happens if you inform someone afterwards that their file has been used wrongly or far too wide or by far too many bodies? Then the suffering is already suffered, then it is too late. So the PVV agrees with that risk.
ParlaMint-NL_2016-09-08-tweedekamer-7.u92	Let me be very clear. As far as we are concerned, it is also fine if the patient is informed in advance, but there are some risks. In any case, we think it is important that the patient is informed afterwards that there may have been fraud and that his file is therefore looked at. I believe that this is also a preventive effect. I think it's an incentive for a healthcare provider not to cheat, because he knows what happens when his patients find out. Then he's gonna be in a less good light. I therefore believe that my amendment is a preventive one. I therefore hope for the support of D66.
ParlaMint-NL_2016-09-08-tweedekamer-7.u93	For the sake of clarity: informing afterwards is better than not informing. In that sense, I am looking at your amendment with a small amount of joy. I will discuss it very openly in the group. If the PVV also wants to agree to pre-inform Mrs Klever just now, then it is of course no longer necessary to inform afterwards. I hope that Mrs Klever's amendment to inform you afterwards will not block the possibility of informing the House in advance. As far as I'm concerned, you don't have to inform me twice. In advance is better than afterwards and afterwards is only necessary if it does not succeed in advance. Does Mrs. Klever agree with me?
ParlaMint-NL_2016-09-08-tweedekamer-7.u94	I absolutely agree with Mr Verhoeven. In fact, I said in my speech that we want the patient to be involved in advance, that the patient should be asked in advance to look into his file. Of course, that would be the most beautiful road.
ParlaMint-NL_2016-09-08-tweedekamer-7.u95	In hindsight, the suffering was done. Mrs Klever has explained why she prefers to inform in advance. We give the health insurance companies room to look into medical data with or without a solid or less solid step-by-step plan. Is Mrs Klever satisfied with the attitude of health insurers at the moment when it comes to care fraud or checking up-coding, which should not be called fraud? Does she think that the health insurance companies are doing enough?
ParlaMint-NL_2016-09-08-tweedekamer-7.u96	First of all, we are not giving health insurers the opportunity to look into dossiers. Mrs Leijten says that all the time, but there is a whole step-by-step plan. It is only in step 9 that a medical adviser to a health insurance company is allowed to look in a file. Why a medical consultant? Because it's kept under medical confidentiality. So it is not the case that health insurers are allowed to look at all the files at once. It is really very carefully decorated, with a lot of guarantees. This raises the question of whether I am satisfied with the efforts made by health insurers to detect fraud. No, that could be much better. There's a lot more to check out there. This law is a step in the direction, this law gives the health insurers a little more opportunity to detect actual fraud, but it is far from enough.
ParlaMint-NL_2016-09-08-tweedekamer-7.u97	Okay, so you're giving the health insurance company or the medical advisor to the health insurance company, but it's still in the service of the health insurance company, possibilities, while you're saying they're not doing enough right now. I just reported it: 12.5 million per fraud tracker from an insurance company a year. This concerns all the declaration rules. That's crazy, of course. At the same time, there are only 65 reports from health insurers about cases that they do not rely on those 1 billion declaration rules. Is it in proportion, I ask Mrs Klever, to say now: they can go all the way, they can see everything, even if it is a medical consultant and even if it happens after nine steps? There is no prior information, while at the moment they just don't give at home when it comes to tracking. Shouldn't we make sure that we've arranged it properly before we say: okay, we're also stretching out the possibilities to look into all medical records?
ParlaMint-NL_2016-09-08-tweedekamer-7.u98	I think we both should. Yes, health insurers need to run faster and yes, health insurers need to check more claims, but then we need to give them the opportunity to do so, albeit in a careful way. I would like to distance myself from the point made by Mrs Leijten that the health insurers look into the dossiers. I believe that the Minister has come up with a very well-balanced and careful legislative proposal which allows a medical adviser to look into a dossier in step nine of the entire control plan. That medical adviser simply has professional secrecy and may then pass on only anonymised data to the health insurance provider. I think this is a very good step towards a better fight against fraud, and I really do not understand why the SP is so opposed to it! I remember the debate on fraud very well. Then the SP was standing here shouting that much more had to be done. Now the Minister takes a step in the right direction and there is a lot of resistance coming from the SP. However, I imagine that the SP would like the healthcare premium to remain low and that the health insurance companies would be able to detect all fraud for that purpose. Even if it is only a dime: all fraud must be detected and the premium must be able to be reduced in this way.
ParlaMint-NL_2016-09-08-tweedekamer-7.u99	Finally, Mrs Leijten.
ParlaMint-NL_2016-09-08-tweedekamer-7.u100	We already know that the PVV has no message at all about privacy and the sensitivity it gives if medical professional secrecy is not guaranteed. We already know that we're considering it. I said: take on the consultants who fill their pockets by dealing with maximum declarations; make sure that the investigating authorities are ready when the insurer says: it is no good, they are left behind. Make sure the health insurance companies themselves do much more! This law does not provide any guarantee for this, but it does guarantee that our medical data will be in the hands of the health insurance companies, with all the risks involved. To be honest, I find it remarkable that the PVV has left everything you can do, now, without broadening the law, and thinks this is a good step in the right direction.
ParlaMint-NL_2016-09-08-tweedekamer-7.u101	I fully agree with Mrs Leijten that we need to tackle the consultants. I also asked Parliament questions about this. Maybe Mrs. Leijten missed it. I fully agree with Mrs Leijten that we need to tackle this fraud much harder, that we need to extend the investigation bodies and intensify the investigation. I said all that in the fraud debate. However, it starts with the health insurance companies checking the accounts and I don't understand why the SP thinks it's normal that health insurance companies pay blindly without checking whether the care has been delivered at all. Isn't that what the fight against fraud starts with? For this purpose, I think this law is a step in the right direction. And once again, no medical confidentiality is thrown in here. It's a very careful step-by-step plan. It is a medical consultant who looks into the file and not the health insurance company, and that medical consultant is kept under professional secrecy, so there is no professional secrecy at all. Medical confidentiality is important for the patient's access to care and privacy, the PVV believes. What is discussed between doctor and patient remains basically secret, but professional secrecy should not be a cover for fraudsters. What worries me is that inspection will take place, and I quote: 'under the responsibility of a medical adviser'. The PVV wants to prevent a random intern from gaining access to medical data at a health insurance company and getting away with a complete file via the poorly secured LSP. I would therefore like the Minister's guarantee that supervision will always be carried out by a medical adviser who is covered by professional secrecy. Can the Minister take care of that? As has been said, the PVV Group is in favour of a tougher approach to fraud in healthcare. This bill is a small step in the right direction. The detection of fraud billions is our priority. We need to increase our chances of getting caught, we need to raise our fines and we need to take the fraud approach as a deterrent. Fraud must never pay.
ParlaMint-NL_2016-09-08-tweedekamer-7.u102	Mr. Chairman. The key question when making laws should be: what problem are we going to solve with this law? In addition, the question is: how do we avoid creating new problems? At the heart of this change of law is a sliding scale of incorrect declarations of care money, errors, perverse incentives, because-it-can-be-be-behaviour and genuine fraud. The first question you have to ask in case of errors is: why is the system too complicated? We'll have to do something about that. Because it's about the perverse stimuli, the stretching of what's neat, the scale turning your way. Fraud, the deliberate undermining of our solidarity-based care system and abuse of it, must be combated. The question is just how; how do we ensure in legislation that proportionality and subsidiarity are guaranteed? Or to say it in doctor's language: what side effects do you accept with a treatment? The first question is: have you made the correct diagnosis based on the symptoms? If you're assuming that diagnosis, what is the appropriate treatment? I now have a number of questions about this in the course of the debate. In the current legislation, there is an arsenal of instruments for detecting fraud. There is also an arsenal of players in the care field. Do they do all that they have to do and do all that they can do? Do they work well together? You have to ask those questions before you commit yourself to a very heavy instrument, namely breaking professional secrecy: legally anchoring access to the healthcare file. That is an ultimatum remedium, and that too has been said earlier today. Let me point out, like all the parties here, that the PvdA shares the Minister's ambition to tackle care fraud and to tackle those who deliberately undermine the solidarity of our healthcare system. We have to be sensible and economical with care money, but privacy is a sacred good. We must therefore be sure that the aim, preventing and punishing fraud, cannot be achieved in a less radical way and we must be sure that if we proceed with access to the medical file, that really is the ultimate remedium and that there has been a testable step-by-step plan.
ParlaMint-NL_2016-09-08-tweedekamer-7.u103	We may differ as to whether or not you should eventually go over that bridge with a change of safeguards and roadmaps and regulate it legally. I don't think the Labour Party should cross that bridge. You ask a lot of questions to the Minister; let us wait for the answers. I have another question for the Labour Party. Before the summer, only after almost a whole year of questions were answered by this Chamber about this legal treatment. The Minister has really taken ample time to do so. Then the law came and the Labour Party supported the groups of the VVD and the PVV in seeking to deal with the bill as soon as possible. Can the Labour Party state why it considers it so priority to do so at the moment?
ParlaMint-NL_2016-09-08-tweedekamer-7.u104	There is an easy and more complicated answer to that. The complicated answer is: I did not do that at the time, but I can imagine everything that is necessary to deal with fraud and to anchor it on a legal basis. I think Mrs Bruin Slot has said a few words about it. The legal anchoring also gives us more control possibilities. I think it is important, provided that the Minister is clearly accompanied by an explanation of how we do this carefully and responsibly, to continue this legal anchoring in the reasonably short term.
ParlaMint-NL_2016-09-08-tweedekamer-7.u105	I was already surprised because in addition to that discussion about the care fraud and the alleged necessity, health insurers can look into those medical records, even if it is after an eternal step-by-step plan and even if it is by a medical consultant.
ParlaMint-NL_2016-09-08-tweedekamer-7.u106	Those are nuances.
ParlaMint-NL_2016-09-08-tweedekamer-7.u107	Yeah, but that step-by-step plan makes the Dutch Data Protection Authority chop, but okay. With regard to medical professional secrecy, there is another course on which we are discussing very tragic situations; I would like to mention Bart from you. Can we at the time that this should be in the interest of society look at medical records of someone, in the interest of the police, public order and so on? The Minister has taken a step in that debate: I consider medical professional secrecy to be very important, I am going to investigate whether in those situations where there may be a danger to public order another independent doctor can look into that file and give advice on it, that is what she is going to find out. I think the whole Chamber has said: very well, Minister, go find out. Well, then it's kind of crazy that we shouldn't wait for that route with this law. If that is a good way, if an independent doctor looks at it and indicates that it is appropriate to break medical confidentiality...
ParlaMint-NL_2016-09-08-tweedekamer-7.u108	The question!
ParlaMint-NL_2016-09-08-tweedekamer-7.u109	Then that could also apply to this law, to fraud detection, wouldn't it?
ParlaMint-NL_2016-09-08-tweedekamer-7.u110	I believe this calls for a different way of looking at a medical file. If you're gonna ask another doctor to look into that, you're still gonna have to apply those due diligence requirements that we want in there right now. Before looking into the medical records, it won't matter if a medical consultant or another doctor does. What does matter, however, is that this does not happen until all the other possibilities for dealing with possible fraud have been fully exploited. I have questions about that. I don't think another doctor is a good solution. Mrs Leijten is right to talk about horrible things. Medical confidentiality also allows a right to be changed. I'm dealing with medical confidentiality and with my colleagues. There are situations in which you can say: we are very concerned about this; at that time this can be done. You need to be careful now that you're comparing apples and pears. I understand your concerns once again, which we share about how to deal with something that is incredibly important, namely medical professional secrecy. Now you're asking how you should do that. I don't think that's the issue right now.
ParlaMint-NL_2016-09-08-tweedekamer-7.u111	The interruptions must be really short, so must the answers.
ParlaMint-NL_2016-09-08-tweedekamer-7.u112	As a result of the right to change and the discussion that is taking place, the Minister says: I am going to go along the route with an independent doctor who is watching and advising on this. Then it's about public order. You should definitely take that route in case of fraud. However, that is now being cut off, because this law must be rushed through the Chamber quickly, quickly and quickly, while a careful route is being followed as a result of the debate on the right to change. I was curious to see why the Labour Party is on these two different routes, but apparently you do not have an answer to that. So it's fine if the health insurance company looks into a medical file when it comes to money. But when it comes to security and the right to change, we have to go further and further. I think that's a little crazy.
ParlaMint-NL_2016-09-08-tweedekamer-7.u113	It's a little short-sighted to say I don't have an answer to that. I have an answer that you don't like. My answer is that you compare apples and pears. My answer is that if, in the extreme, we need a medical record, when all the other options for detecting fraud are exhausted, it doesn't matter if you involve another doctor. It must be done by a doctor, a medical adviser, with guarantees. It is then necessary to assess whether this has been appropriate and, if not, to take action. My answer will not be the answer you want to hear, but I think it is indeed an answer.
ParlaMint-NL_2016-09-08-tweedekamer-7.u114	Mrs. Volp says she has to deal with medical confidentiality herself. She's actually saying it's not that bad. She has spoken about guarantees and other things, but she actually says that this does not put any pressure on medical professional secrecy. That was pretty much what she said, and that's why I'm gonna ask her about the wife. Does Mrs Volp think that this law creates a movement that puts pressure on medical professional secrecy? In other words: is this law in any way contrary to medical professional secrecy?
ParlaMint-NL_2016-09-08-tweedekamer-7.u115	I distance myself from the impression I would have given Mr Verhoeven that I find medical professional secrecy something easy or that I want to give it away. Anything but! My contribution today will therefore mean that this is a very important thing. Again, I know how important that is. But if we are dealing with fraud, for example by colleagues of mine who do not use their medical professional secrecy and their medical oath properly to provide good care, but for example to enrich themselves, then we have no way of making that clear with the current steps, which are already laid down in the ministerial regulation, and of punishing people who abuse our solidarity-based care system. I therefore believe that we should deal with this very carefully. That will also be the focus of my input. That must also be tested.
ParlaMint-NL_2016-09-08-tweedekamer-7.u116	I asked a short question and I'll ask an even shorter one. I will listen carefully to Mrs Volp's contribution. I have heard that she has used words such as 'carefulness' and 'guarantees', but my question is the following, and I think that is the fundamental question in this debate. Is this law creating a movement that puts pressure on medical professional secrecy because of the opportunities offered to health insurers? Does Mrs Volp think that this is the case, or does Mrs Volp think that this is absolutely not the case?
ParlaMint-NL_2016-09-08-tweedekamer-7.u117	The shortest answer I can give is that if the Minister can explain properly how that is well anchored in this law, I do not think so.
ParlaMint-NL_2016-09-08-tweedekamer-7.u118	So Mrs Volp now claims that this law does not really put pressure on medical professional secrecy through this measure.
ParlaMint-NL_2016-09-08-tweedekamer-7.u119	Unless all the guarantees in this law are really good. I'll ask the Minister about that. What we need is clarity about the steps to be taken. This has already been discussed and concerns have been expressed by various parties. It is therefore really up to the Minister to explain how she sees these steps now, what they are going to mean in concrete terms, how she intends to see them enshrined in legislation and what steps need to be taken before a dossier can be accessed in order to prove fraud. What do the players do now and what could they do? In the report Gathering Point on Healthcare Fraud, which Mrs Leijten van de SP also referred to, it is stated that the number of signs of care fraud has decreased significantly. This decline is largely due to the fact that fewer signals from consumers and healthcare providers met the stricter requirements to be introduced into the system. The monitor shows that the largest group of detectors are patients or close relatives. The share of health insurers and health offices increased, but also whistleblowers and healthcare providers are sending out some more signals. This is an important point. Can the Minister explain in a response how she interprets these figures? How does she see this? The NZa's demands are important, but they should not lead to a drop in the number of signals; this should only be done because there is less fraud. I would very much like a response to this. Yesterday, the Patient Federation of the Netherlands conducted a study on this subject. The Minister gave her interpretation of this in a letter. However, more than half of those questioned indicate that they believe that their data are not safe with a health insurance provider and a large part of them have no knowledge of the current regime at all. That's what worries me. The Minister must therefore also ensure that this law does not lead to any further deterioration in patients' sense of safety regarding their medical records. I would also like a comprehensive response to this. I want the players who now get a position in the law and the opportunities they get to tackle fraud, walk by and ask a number of questions per player. First of all, the insurers. Are the insurers and the health offices now taking up their role? In the explanatory memorandum, I read that the detection of fraud and unlawful declarations costs more than it costs, because it is often complicated, extensive and costly to carry out physical checks and fraud investigations and because the amount they save through fraud investigations does not automatically return to them. The question then is, of course, to what extent this bill offers a solution. Is this situation not the same, since this law does not necessarily reduce the time and money spent on research? How do these statements by health insurers relate to the fact that they deal with public premium money? They must deal with this effectively. They are supposed to carry out that task. Tackling fraud is part of their task within the current healthcare system. They may not deserve that job directly, but frankly I do not care. It is a matter of essential trust in our healthcare system. What possibilities does the Minister have to point out to health insurers this part of their current legally anchored task? What added value does it once again see in what it intends to do with this bill? I also read in the explanatory statement that there is another explanation from insurers: their effort is mop-up with the crane open, because the relevant legislation and regulations are far too broad, unclear and too complex, which makes it difficult for them to prove that something is unlawful, ineffective, abuse or fraud. That piece needs to be solved. I don't see that directly in this law amendment. Does this change of law therefore provide a solution to that problem and, if so, which one?
ParlaMint-NL_2016-09-08-tweedekamer-7.u120	Mrs Volp has a striking description of the need for health insurers to detect fraud, but at the moment they are not doing enough, and where they are doing so, it is very complicated because of the complicated declaration system. What exactly is the problem with this bill?
ParlaMint-NL_2016-09-08-tweedekamer-7.u121	Mrs Leijten has heard me ask these questions to the Minister. I need that answer. I do understand the intention of this change of law. It is aimed at situations where we have exhausted all the resources, but we do want to know whether there is fraud and we cannot do it in any other way. That means looking at the current barriers and the way in which health insurers now have to do what they can already do. I understand that intention, but Mrs Leijten has heard me very well; I really want more information from the Minister.
ParlaMint-NL_2016-09-08-tweedekamer-7.u122	The health insurance companies must detect fraud, but they do not do enough. If they do it, it's hard to prove it. We know that there is also an army of care consultants out there who advise on how to make a maximum declaration. When I hear this list, why do we have to deal with this bill so quickly? Mrs Volp just said that that was logical, but I get the impression that the Labour Party wants to support the Minister in pretending that she is doing a lot against care fraud, while this operation is not necessary at all at the moment.
ParlaMint-NL_2016-09-08-tweedekamer-7.u123	That is really the last impression I would like to give. But I want us to anchor things very well. This can be better done in legislation than in a ministerial arrangement. Then we in the Chamber can exercise more influence. Mrs Bruins Slot has spoken wisely about this. We need to establish how to deal with fraud situations in which we really want to go ahead and where we cannot do so in any other way. The conditions must therefore be in order. I want us to do this carefully. It's definitely not about a quickie. Another player is the Taskforce Integrity Healthcare Sector. What are the exact results of that task force? What's going on now? Where is the task force's priority and why? What's in it for you? Why, for example, is the CAK not in the task force? Then I come to the last player: the NZa. The explanatory memorandum states that supervision by the Healthcare Authority is being stepped up. This is an essential point, including for us, in order to properly assess the added value of this legislative proposal. Can the Minister comment on the role of the NZa? What powers are to be attached to this legally defined intensification? What does this mean for the role of the NZa? How will these improvements or will this step-up be achieved in practice with this legislative amendment? The explanatory memorandum states that it is expressly not intended that the Supervisory Authority should assume the responsibilities of the field parties in the context of supervision. That is also one of my concerns: do the field parties take responsibility? Can they, too, as it turns out to be incredibly complicated with the current legislation and regulations in order to be able to deal effectively with them? So I would very much like to explain the role of the NZa and its method of scrutiny in particular. How can it monitor health insurers for carrying out fraud checks and for correctly applying the rules to access medical data? We have already heard several options regarding access to files. I would like to hear from the Minister, for example, how she sees control by the NZa in the way in which health insurers do so. In addition to all the parties mentioned separately, cooperation in this area is the most important. Can the Minister answer that? How does cooperation now work and does it consider that sufficient? Is there a vision, is the chain organized and is there a plan of action? That plan of action should focus on four things: preventing, detecting, removing the incentive and tackling it. Are the roles now clear and the tasks defined on outcome? That's what I'm wondering, because without purpose, you'll never get an optimal result. I will make no mistake about when and how medical data should be handled. Who does what when? For the interpretation of the law, it is important for the Minister to indicate how the steps to be taken, before a health insurer can look into the file, look concrete, all the more so because we have already been criticised by the parties. That does not seem to be clear. The interpretation of the law is one of the most important conditions for a law. What is the legal anchoring of the way the NZa tests? And caregivers are complying with their legal duties? Again, this is a legal task already laid down in the various laws which govern the task of health insurers and health offices. The NZa must check on two points. Does the health insurance company actually do that and does it the right way? When checks have been made in a careless manner, is there a possibility of sanctions? What does it mean if a health insurance company didn't actually look in a medical file at the right time? What are the penalties for this? It is also an important point for my party to be able to assess whether there is an incentive for health insurers to do so with all due safeguards. A good balance between working and updating is what this law should offer. As far as my party is concerned, the Minister is now inclined to explain what this balance is like in the law and also to explain how she sees it in practice. There is a difference between "mistakes because it can" behaviour and fraud. At the heart of this law is the possibility of tackling the latter. The Organisation of Health Organisations Act should set out how to deal with signs, suspicions and the final evidence collection in cases of fraud, with the possibility of accessing the medical file as a last and last step. In doing so, a clear and verifiable step-by-step plan must ensure that access to the medical file is properly regulated, and that a review is carried out in the cases where this is done.
ParlaMint-NL_2016-09-08-tweedekamer-7.u124	Mr. Chairman. As the last speaker, you have the advantage that you have been able to follow the debate a little bit and see the broad lines. One line that I have noticed is that the advocates of this bill greatly increase the fraud that needs to be combated. I will explain in a moment why I think that the extent of the fraud might not be too great. The proponents of this bill drop the word "fraud" dozens of times in their contributions. They then pretend that the privacy damage, the infringement of the patient's personal data, is very minor. In other words, the problem is huge and the solution we have devised with this proposal has almost no negative consequences. That is the impression that a number of spokesmen who are in favour of this bill want to create here. I don't think this is a good idea. My group really believes that professional secrecy is being put under pressure by this law. On behalf of my group, of course, I would also point out that every euro that is being cheated in the care sector is one too many. Everyone thinks so, and so does D66. Any doctor who intentionally makes an unnecessary declaration and any insured person who tries to withdraw money from the system together with a healthcare provider must be stopped. We all agree on this, but the bill we are discussing today is an extension of the obligation for healthcare providers to make personal data of insured persons available to health insurance companies. The bill also provides for the Dutch Health Authority to be able to share personal data with more bodies in the context of the fight against fraud. This combined approach should combat fraud in health care. Of course, it is very good that this minister and this cabinet want to tackle fraud, but the question is, of course, whether this bill is proportionate, effective and careful. My group is wondering that out loud. That is why I have a number of questions for the Minister. First of all, I ask the Minister whether it is true that she based this bill on figures from the 2013 NZa, which showed that EUR 6 billion to EUR 7 billion was wasted each year on irregularities. How many percent of those cases were frauds at the time? I also ask the Minister whether she agrees with the figures of Health Insurance companies in the Netherlands, which indicate that only 0.01% of care money actually involved fraud. I'd like to get a response from the Minister to those figures.
ParlaMint-NL_2016-09-08-tweedekamer-7.u125	Mr Verhoeven reduced the level of fraud and started to increase the scope for looking at medical records. The interesting thing is that it's been possible to access medical records for a long time now. That is settled by ministerial regulation. This can already be done with natural policies. The bill now ensures that this can also be done in the case of refund policies. Where has D66 been all these years to tackle this apparently major problem for D66 and to come up with proposals not to allow this to be possible? After all, this can be done today.
ParlaMint-NL_2016-09-08-tweedekamer-7.u126	We have a law here now. That law makes it legally possible to actually do something. That's the law we're discussing right now. D66 is critical of that law and the VVD is fine with that law. The VVD can now take the measure of where I or my group have been in recent years, but we are critical of developments that damage or put pressure on medical professional secrecy. In this case, this is done by law. We are talking about this now and we are critical of it. I hope that the VVD is also critical of this.
ParlaMint-NL_2016-09-08-tweedekamer-7.u127	So I can conclude that D66 only wants to change something if this government submits a law to the Chamber and that D66 only then has an opinion on it.
ParlaMint-NL_2016-09-08-tweedekamer-7.u128	No, that's not a good conclusion. The conclusion is that D66 is currently looking critically at this law and that the VVD is pretending to be a huge fraud in the care sector and as if it justifies the fact that we now have legislation that health insurers can obtain medical data from patients. That's what we're talking about right now. If the VVD is so critical of that and if she thinks that D66 has done too little to prevent that, we must now move together. Now there's a law and now we can stop this. So my question to Mr De Lange is whether I can find him by my side.
ParlaMint-NL_2016-09-08-tweedekamer-7.u129	Finally, Mr De Lange.
ParlaMint-NL_2016-09-08-tweedekamer-7.u130	I will surprise Mr Verhoeven: I have even gone along with the thinking of D66. What did I read in D66's publications? That D66 considers that tackling fraud in the Netherlands is such a big problem that D66 believes that there should be a national fraud commissioner. There are billions of dollars worth of fraud in the Netherlands. In doing so, D66 explicitly mentions the approach to care fraud. Mr Verhoeven, where are you going with your plans if that is what you are proposing and if that is what you are putting into this debate today? Does D66 take seriously the claim that fraud must be tackled in this country or does D66 simply not give up at home because there are by chance a number of objections or bears on the road, while it is properly regulated in this law, with all kinds of conditions?
