ParlaMint-NL_2016-12-20-eerstekamer-16.u1	I give the floor to the Minister for Economic Affairs.
ParlaMint-NL_2016-12-20-eerstekamer-16.u37	However, I would like to return to what the Minister has already said about the handling of damages. In my speech, I said that we understood that a lot of small damage cases are handled satisfactorily and smoothly. I don't want to take anything away from that. At the same time, the Minister repeated an example I mentioned, where you can see that many well-meaning schemes also have perverse effects. These perverse effects lead to a great deal of frustration and disappointment. Well, that's all about the increase in value. The Minister outlined it exactly as I understood it. If you have a little more than €1,000 damage, you will be compensated for your damage plus an amount to improve your property in other ways. Of course, that is very good for the people involved, but for the people who suffer from their damage just below €1,000, the frustration is only increasing. So you get an interest in having more than €1,000 damage to your property. I wonder if this kind of arrangement, if you look at the whole of it, would improve the credibility of the settlement of damages in Groningen.
ParlaMint-NL_2016-12-20-eerstekamer-16.u38	Mr Flierman has put his finger on a sore spot a number of times in his speech. This is one of them. You can certainly think of this as Mr Flierman is suggesting. Mr Flierman knows what discussions we have had in the House of Representatives. He also knows the views of the municipal and provincial leaders in Groningen. The people in Groningen who give their views on what is going on there in various civil society organisations have also been expressed. I had a long discussion with the House of Representatives. The House of Representatives has said that this arrangement was there and we unanimously believe that it should remain. I then tried to find support in Groningen for a change to that arrangement. Turns out there wasn't. Once in a democracy, it's over. If the directly elected parliament in the House of Representatives unanimously says that something must be done, it will be done in the end. That is the case with this value increase scheme. In practice, more than 60,000 damage cases have already been dealt with. In more than 40 000 cases a concession has already been granted under the value increase scheme. At some point, there's not that much left. This arrangement is gradually coming to an end, because you cannot get such an arrangement for one house several times. In the end, what remained in that arrangement has the disadvantages that Mr Flierman mentioned, but it is the result of democratic decision-making. That's worth something, too.
ParlaMint-NL_2016-12-20-eerstekamer-16.u39	I accept, of course, the outcome of that discussion in the Lower House. Nevertheless, I think that for drivers, thinking should never stop. In another context, I said that this morning, in response to questions from Mrs Vos. I can imagine that there will be a moment to review the whole of these arrangements. I suppose, also on the basis of a number of discussions we have had earlier today, for example, on the improvement of housing and on the housing that needs to be dealt with thoroughly, that discussion will be resumed in the near future. Then I would like to suggest to the Minister that these arrangements, including the shadow side of them, should be reviewed to see if this is what we wanted to achieve with each other. That is what I am asking him, because I can actually tell in his words that he agrees with me a little bit on this point.
ParlaMint-NL_2016-12-20-eerstekamer-16.u40	That is what Mr Flierman can conclude. The same goes for what he says about the strengthening task we stand for. He suggests that a relationship could be established between the increase in value and the strengthening that should take place. I think that Mr Flierman is right to combine it. I have talked about these matters with the directors in Groningen, the people in Groningen and the House of Representatives. Yet this had come out of it. We have to realise that as a responsible minister, I am in a disadvantaged position with regard to the people of Groningen. They are constantly confronted with the problem. These people have seen this problem grow for years. They have had the idea, I do not think that the seriousness of this problem was not sufficiently understood. Now that we can see it, they also want satisfaction. They have strong views on what the people's representatives are listening to. That's how it's supposed to be in a democracy. Eventually, after a very long, repeated discussion in the House of Representatives, this came out. There is a problem in the last 5 to 10% of damage cases. There may be disagreement. If you have damage, the first possibility is that you agree with the first valuer. Then you can appoint a valuer yourself. That might come out again. It was true that a third valuer could be used. Then, if you still disagree with it, you can submit it to the arbitrator. He'll decide. If you don't agree with the arbitrator, you can also go to court. If you can't agree, it's gonna last a long time. That does not mean that the other side would not be prepared to deal with the matter, but for that willingness you need two sides. We think it is necessary to do a number of things for those complex cases and cases of persistent disagreement. The first is that the National Coordinator is going to interfere. He'll take over a case of complex damage. He takes over the direction of finding a solution in the matter. So if the National Coordinator doesn't get out of there eventually, we've set up an arbitrator. The arbitrator shall give a ruling. That ruling is binding on the NAM and on the Centre for Safe Living, but not on the damage detector. So the damage reporter can still go to court if he wants to. The legislative proposal that is now under discussion provides for a reversal of the burden of proof, i.e. a presumption of evidence. It's complicated, but it's all about the people reporting damage. Even if the case is complex or if people cannot agree with those who have to assess the damage report, we have arranged for them to be properly listened to at a number of stages, to have a good look at what they want, whether they are right and whether they can be met. I am convinced that we are doing justice to all claims.
ParlaMint-NL_2016-12-20-eerstekamer-16.u41	The Minister actually says: we should not exaggerate, things are going well, 70% to perhaps 80% is going well. Yesterday's Bröring report, which was written by the University of Groningen on behalf of the province, gives a very different picture. The picture is that the damage treatment has been organised in such a way that 13 bodies are now working on it and that the public is not aware of it. Due to the lack of transparency in the handling of damages, citizens have little confidence that they will be assessed fairly. These are the conclusions of the report, followed by recommendations. It seems that the Minister is completely ignorant of this and says: there are only a few more difficult points. Then I haven't even mentioned the new and remodeling scheme. This does not go as smoothly as the Minister suggests.
ParlaMint-NL_2016-12-20-eerstekamer-16.u42	The minister's just going to give us a heads-up on what the facts are. I wasn't talking about 70%. I was talking about 80%, which in the first instance already comes to an agreement with the person who assesses the claim. I referred to 90% to 95% of the valuer's agreement in the second instance. I was talking about 5% to 10% of the claims remaining and that there is a careful procedure for those cases to do justice to the interest of the claims detector at a number of stages. I would certainly like to comment on the report of the University of Groningen. A number of master students from the University of Groningen have prepared that report. I got it yesterday. So I can only say a few words about it. You can, of course, describe what has been set up by us and then call it complicated. You can talk about thirteen parties, but one of those parties is Shocking Groningen and another party is the Groninger Soil Movement. So those are just people in Groningen who organized themselves. They wished to have a say and have been given it. It's hard to say that these bodies create complexity and nuisance.
ParlaMint-NL_2016-12-20-eerstekamer-16.u43	Does this mean that the Minister says: be satisfied with it, I am satisfied with it and the damage handling is going well?
ParlaMint-NL_2016-12-20-eerstekamer-16.u44	I'm not happy with it. I'm just gonna give you the facts as they are. I'm always looking forward to improving things. The three legislative proposals now before us are proof of this. I think there is still a lot to be done, both in optimising schemes and in optimising implementation practice. I think it is important to have a strong public direction on this. We have also appointed the National Coordinator Groningen. It has drawn up a multiannual programme in consultation with all concerned. It does justice to the interests of the people in the area. That's how we're working on it now. We are doing this as best we can, but I am convinced that further improvements are possible. We will certainly make use of these opportunities in the future. "Satisfaction" is therefore the last word I would like to say in relation to the situation in Groningen, but if it is said here that the settlement of damages is stagnating and is actually on its way, I would like to give you the facts. It is said that it is quite complicated. We've set up an independent counsel. You can call that complicated. We have set up a committee to assess particularly poignant situations. You can call that complicated. We removed the damages at the NAM and set up a separate organization, the Centrum Secure Living. Is that complicated? We've put the public direction in the hands of the National Coordinator. Is that complicated? Is the minister complicated? I think we've tried very carefully to do justice to the people in Groningen. Where there are opportunities for improvement, we will certainly make use of them. The most important thing that we have done is to have a National Coordinator set up there, with an intergovernmental service consisting of people from different ministries, provinces and municipalities. In the meantime, several hundred people are working under the guidance of the National Coordinator to ensure that NAM does not take things off in practice and to prevent people from knowing what to aim for and feeling at the mercy of the person who caused the damage. No, instead, the governments put together someone who can do what is necessary. I shall come back to this later when I say that we are going to strengthen the position of the National Coordinator even further, what we have done before and what will be discussed here in the First Chamber on that point.
ParlaMint-NL_2016-12-20-eerstekamer-16.u45	I think the Minister is going to say to me: I will come back to that in a moment. This is what I wanted to ask him. I spoke this morning about the intimidating role of the NAM towards the victims of earthquakes and the like. Now I hear the Minister say that the NAM is completely out of it. I hear complaints from Groningen, among others from politicians of the Republic, that the NAM still has a very big finger in its mouth. So I would very much like the Minister to go into this again in detail.
ParlaMint-NL_2016-12-20-eerstekamer-16.u46	I'll be sure to. In anticipation, the NAM is the party responsible for the extraction of natural gas. As a result of natural gas extraction, there are earthquakes. As a result of the earthquakes, there is damage. The NAM is bound to compensate for that damage. The NAM remains in the picture, because it is liable to damages. Now it's about how you handle that damage. We removed it from the NAM and deposited it at the Safe Living Center. We then transferred the supervision of the Centre Safe Living to the National Coordinator. We had an independent committee for that at first, but we have now created the National Coordinator for that. I will indicate later, and I can do so now, that we will also use the National Coordinator for the protocols, the working methods and so on of the Centre for Safe Living. The National Coordinator is also going to remove the complex cases from the Centre Secure Living to handle them itself. I think that in this way and by legally anchoring the position of the National Coordinator, we are gradually moving towards a situation where there is maximum clarity. This means: the NAM is liable for damages, the execution is at the Centre Secure Living and the direction over the whole process has the National Coordinator. Eventually, we're gonna get to that model.
ParlaMint-NL_2016-12-20-eerstekamer-16.u47	I have a very short question. The Minister is now describing a situation. If I understand correctly, that's the situation he's working on. That situation has not yet entered into force. Should the position of the National Coordinator be further strengthened in future legislation?
ParlaMint-NL_2016-12-20-eerstekamer-16.u48	We have come a long way, because the National Coordinator is already in full swing. In practice, he brings the various things together and ensures that there is guidance from the government. He has the confidence of the province, the municipalities and the cabinet. We very much appreciate and support his activities, but think that he can be further strengthened by legally anchoring his position. Moreover, we think he should have perseverance and be able to give instructions when necessary. We have also worked out arrangements for this. A bill has already been passed by the Council of State. I will no doubt have another discussion about that bill here in the First Chamber. The distribution I have just indicated to Mrs Meijer must ultimately be simple and applied consistently. We're already growing to that at a high rate. We've made some progress in that direction.
ParlaMint-NL_2016-12-20-eerstekamer-16.u49	It is, of course, those 5 to 10% of the cases that the Minister mentions where parties cannot agree immediately. Of course, the feeling of this is very easy: savings are being made here; they do not want to give us what we are entitled to. In practice, the feeling is very easy: the NAM is behind it, he does not want to pay too much for it, which ensures that it has to be negotiated over and over again. Is the Minister now explicitly saying that the NAM has nothing to do with it and does not interfere with it?
ParlaMint-NL_2016-12-20-eerstekamer-16.u50	We're not there. We've already removed the damage settlement from the NAM by the Center for Safe Living. I didn't have to do that against the will of the NAM. The NAM has worked with conviction in this respect. So we have created a separate organization. That organisation was under independent supervision. Now we have said: we need to make that even clearer, because public control must be clearly in the hands of the National Coordinator. This means that we will also leave the supervision of the Centre for Safe Living with the National Coordinator. Then the experts are sent out with protocols, with pieces showing how to act and what to do when to do in what way. I believe that these should also be determined by the National Coordinator. In this way, I think we are rapidly growing into a situation in which one is liable to damages, the other does the execution and the third provides public direction on the whole. This is being discussed further at the moment, because it is not a matter of its own accord.
ParlaMint-NL_2016-12-20-eerstekamer-16.u51	From the complaint so far, from that point on, the NAM is behind it, so we can't just say it's not true. The NAM could be behind that. It affects the Center for Safe Living. It affects all the protocols that need to be completed. That means that there has indeed, so far, been a big finger in the porridge of the NAM. The blames can therefore be at least partly justified in this respect. But you're willing to take care of it differently, aren't you?
ParlaMint-NL_2016-12-20-eerstekamer-16.u52	If something is done by the NAM, it does not necessarily mean that it is done wrong. I think a lot of good is being done by the NAM, with a good intention. They're acting the right way. They're cooperating. When I started out as Minister of Economic Affairs, I only dealt with the NAM in relation to the settlement of damages. Back then, the Center of Safe Living wasn't there yet. The Center for Safe Living was set up in my period. Now we're working on further self-sustaining in the way I've just described it. The relationship with the NAM can be arranged in different ways. You can say: every bill that has to be paid goes to the NAM and she has to pay it. Another possibility is that you get a budget for a year, that the NAM pays and that within that budget you will settle the business that needs to be done and at the end of the year you will see whether additional money is needed or whether there is money left that can be moved to the next year. That's a possibility. You could work with a fund. I am not in favour of that, but it is a possibility. Those are all technical performances. From a situation with only the NAM and the damage detectors we now have a situation with the NAM, the National Coordinator, the Centrum Secure Living and the damage detectors. What I'm doing right now is to optimally organize that over three bodies, namely NAM, Centrum Secure Living and the public direction, all acting for the benefit of the people in Groningen. We are in that process now, and we are well advanced in that process.
ParlaMint-NL_2016-12-20-eerstekamer-16.u53	My group has expressed the wish that the Centre for Safe Living should operate completely independently of the NAM. Do I understand correctly that the Minister says that the Safe Living Centre operates independently of the NAM when it comes to dealing with the damage?
ParlaMint-NL_2016-12-20-eerstekamer-16.u54	That's not the case at the moment. I've indicated the ideal final situation. One is liable for damages, the other is responsible for execution and the third is responsible for direction. That's where we're working. We've made some progress. Are we there yet? No. Are we working there? Yeah, and I'll do it as soon as I can.
ParlaMint-NL_2016-12-20-eerstekamer-16.u55	I understand from the Minister that we are not here yet, but that he is going to ensure that there is an independent Safe Living Centre that operates independently of the NAM in the damages settlement. That's the target he's working towards.
ParlaMint-NL_2016-12-20-eerstekamer-16.u56	I have already mentioned, including with regard to the gas building, that I consider transparency to be of the utmost importance. Everyone must be able to see and understand what is happening. This is important with regard to the gas building. It is also important with regard to the handling of the damage. The NAM is liable for damages, but also has rights to which justice must be given. But above all, the NAM must ensure that the damage it causes is compensated. That damage must be determined and dealt with by the Centre for Safe Living. That's gotta be public direction. I think you can organize these things optimally if you take these different roles apart and let each one play its own role. I have to answer to you for all of this. The best way to answer that question is if the case is well organized. So I'm working on an optimal organization, in line with what you just described, Mrs. Vos.
ParlaMint-NL_2016-12-20-eerstekamer-16.u57	Finally, Mrs Vos, on this point.
ParlaMint-NL_2016-12-20-eerstekamer-16.u58	Finally. That is quite clear, Mr President. When will that situation be achieved? How fast does the Minister work in this? When can we hear from him that the Safe Living Centre is indeed operating independently?
ParlaMint-NL_2016-12-20-eerstekamer-16.u59	I can't report that. If you want to work with protocols, those protocols need to be drawn up. The case needs to be organized. It has to be agreed. We have already made some progress in a period of four years. I'll try to finish it as soon as I can. When it's done, I don't know. I think it would be useful to inform the Chamber about that process. I intend to do so as a result of Mrs Vos' comment, to outline a perspective, including in time, of when we want this to happen.
ParlaMint-NL_2016-12-20-eerstekamer-16.u60	I welcome the improvements the Minister wishes to make. By the way, he is in line with Bröring's report. The minister just said he wants to give the National Coordinator more powers and perseverance. He's got a bill with the Council of State. I'm assuming that the positions he just outlined will be taken care of. When can that bill reach the Chamber?
ParlaMint-NL_2016-12-20-eerstekamer-16.u61	Not only with this bill, it can be arranged. It's more complex. There must also be practical organisation and regulation outside the legislative proposal. As soon as we have a legislative proposal in the Council of Ministers, it goes to the Council of State. Then there will be an opinion from the Council of State. Depending on this, it will be discussed again in the Council of Ministers. How long will that take? It may be two or three months with the Council of State, depending on the complexity as assessed by the Council of State. Then it will return to the Council of Ministers as soon as possible. That's usually a matter of weeks. Then it goes to the Lower House. I have the ambition to get a long way with that during the period when I am allowed to bear this responsibility, including to you. I'm counting on July next year for now.
ParlaMint-NL_2016-12-20-eerstekamer-16.u62	Does this streamlining of the process also mean that the costs of the process itself go down? Now about 36% of the costs and the cost of damages go to the trial itself. Can that percentage go down? Does the Minister have any ideas about that yet?
ParlaMint-NL_2016-12-20-eerstekamer-16.u63	I could bring that back, for example, by deleting the second expertise. After the resident has made a claim, he will be given an expert from the Safe Living Centre who will determine the damage. If the resident disagrees, he may appoint a second expert himself. I could get rid of that second expert. I'll have less expense. I could delete that you can go to the arbitrator. I could delete all sorts of things, but I don't think I should do that right now. There's a lot of distrust in the area. The trust must be regained. That's what you have to do with careful procedures aimed at doing justice to the people. The price we are currently paying for that procedure is high, but I think it is justified. As we experience it, we will regain the confidence of citizens, the case law will develop further, the process will streamline and the costs will be reduced. But first of all, I am now focused on making sure that we do the right things and regaining people's trust. Mr Flierman spoke about the desirability of a fund filled by the NAM. I'm not convinced yet. I'm looking at how best to do that right now. Once I've separated those three different functions and worked with them, I can see how that works best: the accounts each to the NAM, an annual budget or a fund. I haven't figured that out yet; I'm looking at that. I shall come back to that in the direction of the Chamber, once I have drawn my final conclusion on that. Mr Pijlman asked about the report of the University of Groningen. I already told you I got it yesterday. It is a report in which master students interviewed stakeholders. On this basis, conclusions have been drawn. The report calls for further examination by me before I can come up with a response. In general, I can say that we have come a long way, as I have just indicated. I believe that the role of the National Coordinator is important in itself, but also very important is the multiannual programme with which it is working. He did that after talking to the people in the area, the administrators in the area and the ministries. The multiannual programme has been dealt with in the Council of Ministers, it is dealt with in Deputy States, the colleges of B & W and municipal councils. So we have a wide-ranging programme that aims to do what is necessary from the government in that area. We are well aware that much remains to be done. If we get reports with recommendations, I will study them with pleasure and see what can still be done to further improve what we are doing. Mr Dercksen spoke about the Christmas tree, with thirteen organisations. I have already indicated that this includes the Groninger Gasberaad and all kinds of civil groups. You can identify them all as stakeholders, then you can say it's all so complicated. I think what we have now plays a role. I'm sure I can see opportunities to streamline. These possibilities will initially be seen by the National Coordinator, who will undoubtedly make proposals for them. But for the time being I focus on the quality of the performance and doing justice to the people in Groningen. I spoke immediately about the handling costs. Mr Flierman asked how I estimate the role of the two shareholders of the NAM, from their perspective. It is companies that have to act responsibly. Do they commit themselves to the settlement of damages? In general, I can say that I have never felt obstructed by the NAM and/or its shareholders in respect of the proper handling of damages. I have always noticed that they are very well aware of their responsibility, to which they want to do justice, always wanting to deal with me and my staff in a solution-oriented way. I see the attitude of the NAM, Shell and ExxonMobil as supporting the process. Mr Pijlman wondered what was against disclosure of the agreement between the NAM and the Centre Secure Living. Agreements with which I am involved must be transparent, because I am accountable. But if companies or private organisations make agreements between themselves, the Centrum Secure Living was established on behalf of the NAM. It is not for me to make those agreements public. However, I believe that the whole process should be transparent. So I will look at, as soon as those relations I have just described have been clarified, how we can make the underlying documents transparent for everyone. The reinforcement notice has been mentioned. This task is very great. It is not the case that a pilot inspection of 1,450 homes was carried out, as Mr Pijlman said. Those 1,450 homes are the homes in the priority areas, which we thought were: we have to look first at those homes in those areas in order to know what is necessary in terms of strengthening and strengthening. That's what happened. The conclusion has been drawn that almost all these homes need to be strengthened. It is understandable that it is now being said: it is a lot more housing in its entirety, so you can extend your conclusions to the total number of homes. I'm careful with that. In the past, I have seen a report commissioned by the Deputy States of Groningen, in which more than 100,000 homes had to be strengthened. I later saw pieces in which there were hundreds of homes that need to be strengthened. Now I see pieces in which there are several tens of thousands of homes. It is still on the move, which also depends on the inspections and on what we hold for risks we run. Do we still have to assume 5 on the Richter scale, or should 4.5 on the Richter scale be the strongest indicated earthquake ever in the world.............................................................................................................. Should we consider the current NPR, with the standard of reinforcement, or should we also take into account the fact that next July there will be a new, adapted NPR, which may still contain refinements? It is all in motion, but I do think that reinforcement is a very big task, which is very deep in the area. I am pleased that we have a public direction on that process, in cooperation with municipalities, provinces and ministries, in the form of the National Coordinator. That is really necessary in this whole process. I've learned to think in large numbers of homes. I am thinking first of all of someone who lives in his house with his family, and suddenly hears that the house must be fortified, so that he must get out of that house, after which that house will be fortified. What does that mean for a family like that? We need to discuss with that family how and when that can be done. I am well aware that it is mainly a sum of people for whom this is very far-reaching. It's about large numbers, but it's about individuals in the first place. I have to make sure they're done justice. That means we have to make speed and strengthen a lot of houses. Furthermore, these individual citizens must be treated very carefully. That is what the National Coordinator is doing; I appreciate that very much. Mr Flierman and Mr Pijlman questioned the buying-in arrangements. I must say that I am not in favour of the government buying up all the housing in that area or that the government is offering anyone who wants to leave there the opportunity to sell the house. I am not in favour of that right now. I think it is important that we maintain the area. The area has a social structure. If you get large-scale movements from the population there, you disturb that structure and you just have to wait and see what you get in return. It is important to deal with this very carefully. We must ensure that risks are reduced as far as possible by reducing natural gas extraction. We need to reduce the risks by strengthening houses in a good way, flanked by all kinds of compensatory measures. For distressing cases, we need to find practical solutions. I can imagine that a buy-out scheme could also play a role in this. That is why we have set up a pilot, which is currently being evaluated. If that evaluation is there, I will draw conclusions from that and then we will see what we need to do in the interests of the people in Groningen and of the proper functioning of the housing market in Groningen in order to improve there. I don't want to anticipate that.
ParlaMint-NL_2016-12-20-eerstekamer-16.u64	I am listening to the Minister with increasing amazement. He says not to be in favour of a buy-back scheme, which distorts the structure. The current structure is that people are trapped in their homes. They often want to sell that place, but they can't get rid of it, because nobody wants their house. We have seen that there was a buy-back scheme, which was empty within no time, because everyone wanted to use it. People looked at each other ugly, because one did and the other couldn't use it. And then the minister says he's a little disappointed to destabilize the structure. I believe that this destabilization has already taken place by wanting to continue to win 24 billion m3, which has made the area unsafe. It's been proven. That's what they say in Groningen. I am actually listening to the Minister with increasing amazement.
ParlaMint-NL_2016-12-20-eerstekamer-16.u65	I am listening to Mrs Meijer with increasing amazement. That 24 billion m is a half cut of the extraction that was there before the cabinet took office. I didn't say I don't want a buy-in at all. I told you, I don't want a buy-back arrangement right now. I also said that I am concerned about social cohesion in the area. It is one of the old coherent rural areas of the Netherlands, a very beautiful area that I like to maintain in its social structure. I said that we are working on a buy-back scheme and that we will evaluate it. Based on the outcome, we will see what we have to do to do justice to the people in the area and to make the housing market function properly. Mrs. Meijer says there's no house being sold. Why does she say things like that? The housing market in the area has recovered. The prices of the houses are again at the level of 2012. There is still a serious problem with regard to the level of sales prices and the length of time a house is for sale. So there is certainly another problem that needs to be resolved, but prices are back to 2012 levels. These are positive developments that we are working on together. Increasing value, reducing natural gas extraction, strengthening, economic improvements in the area: we all do that to achieve this kind of thing. I also said that, as far as the buy-in is concerned, the future is still open and depends on the evaluation of the pilot we are going to carry out. On the basis of this evaluation, we will see what can still be done, in the form of buy-back, in a responsible way, to further improve the situation in the area.
ParlaMint-NL_2016-12-20-eerstekamer-16.u66	Mrs. Meijer, one more question.
ParlaMint-NL_2016-12-20-eerstekamer-16.u67	Very briefly, if you don't mind.
ParlaMint-NL_2016-12-20-eerstekamer-16.u68	Very briefly, please. I'll look at the clock, because I don't want it to be midnight.
ParlaMint-NL_2016-12-20-eerstekamer-16.u69	I want it to be the middle of the night, but we'll be out of here by then. I'd like to draw two conclusions. The 48 billion m is halved to 24 billion m. That could still be a dangerous level. The Minister always shields with it, but I think he should be honest about it. My other conclusion is that people are trapped in their homes. People are talking about that. They don't feel safe and live with a suitcase under the stairs. Then I think it's a little nice talking to say that we need to maintain the structure. That's really out of line.
ParlaMint-NL_2016-12-20-eerstekamer-16.u70	Mr. Pijlman, then.
ParlaMint-NL_2016-12-20-eerstekamer-16.u71	Mr President, I...
ParlaMint-NL_2016-12-20-eerstekamer-16.u72	Mrs Meijer says I'm a beautiful speaker and I should be honest. I do not think Mrs Meijer does justice to my commitment. I'm being honest and I'm trying to paint reality to the Chamber as best I can. Beautiful talk and that I wouldn't be honest with you, I find wrong qualifications.
ParlaMint-NL_2016-12-20-eerstekamer-16.u73	I believe the Minister is sending a somewhat double message. On the one hand, he says he's trying to imagine what a family like that is going through that needs to get out of his house. We need to talk about how things are going to go on. On the other hand, he says he wants to maintain the structure of this beautiful, original area. That's what we all want. That's what he connects to the pilot buy-back scheme. However, that was not the way the pilot was designed at all. That pilot buy-back scheme was just as organized as the minister just said, namely that he wants to support the citizen. It was an arrangement for people who wanted to sell their homes, for example because they got another job or wanted to move through family conditions or went to a care centre. They'd be stuck with their house that wasn't sold. There was supposed to be an appraisal. One would not get the value of the valuation, but something below it and with that they were helped. That was the scheme, and I do not think it has anything to do with the structure of the area. This arrangement does exactly what the Minister says: he wants to be for the good of the people, because he wants to do them justice.
ParlaMint-NL_2016-12-20-eerstekamer-16.u74	I do not understand where Mr Pijlman and I have different views. I have said that a general buying-in scheme, which is advocated, does not seem to me appropriate at the moment, since such a general buying-out scheme could be at the expense of the social structure and cohesion of the area. The second thing I have said is that we need to see how, with a certain kind of buy-back scheme, we can make a responsible contribution to improving the housing market and how we can do justice to the inhabitants of the area. That's what we've targeted that pilot, where more than 50 homes have been purchased. That pilot is currently being evaluated. Let's see what comes out of it. On the basis of the outcome, we will see whether my conclusion that a generic buy-back scheme is not desirable remains valid. If it is maintained, we will also see whether specific forms of the buying-in scheme can contribute to the improvement of the area. That's what I said. I do not see very clearly the difference between what Mr Arrowman is trying to identify.
ParlaMint-NL_2016-12-20-eerstekamer-16.u75	May I ask the Minister a question? You're getting a lot of interruptions. We're gonna try to narrow that down a little bit. How much longer do you think you'll need?
ParlaMint-NL_2016-12-20-eerstekamer-16.u76	The way it's going now is an hour or two.
ParlaMint-NL_2016-12-20-eerstekamer-16.u77	No, no, you look very serious. You're getting a lot of interruptions. I'm trying to cut back on that. Mr Ten Hoeve, don't interrupt now, I'm just having a conversation with the Minister. I just said it shouldn't be midnight. I'm very serious. How much longer do you think you'll need yourself?
ParlaMint-NL_2016-12-20-eerstekamer-16.u78	If I could speak undisturbed, I think I'll be through it in 45 minutes to an hour.
ParlaMint-NL_2016-12-20-eerstekamer-16.u79	I'll take a look around the room. You know what we're up to. Mr Ten Hoeve, a very short question, a very short one. Then, for the time being, I'll have the Minister tell his story without interruptions. Everyone still has their second term and it will take 45 minutes. Then we have the Minister's second term. So it's midnight!
ParlaMint-NL_2016-12-20-eerstekamer-16.u80	Coming back, however, to what the Minister said...
ParlaMint-NL_2016-12-20-eerstekamer-16.u81	Briefly, Mr Ten Hoeve.
ParlaMint-NL_2016-12-20-eerstekamer-16.u82	He said he doesn't want a buy-back arrangement right now. I agree with his point of view. The buy-back scheme that was in place was targeted and such a buy-back scheme could be restored. However, if we have to wait for all sorts of evaluations, do we not want the people who are in trouble now?
