ParlaMint-NL_2016-11-02-tweedekamer-12.u1	I am the first speaker to give the floor to Mr Azmani on behalf of the VVD.
ParlaMint-NL_2016-11-02-tweedekamer-12.u89	I appreciate that. We would be very much blaming the Turks if they were not allowed to speak there. That is not the issue here either. In this motion, therefore, a strong appeal is made not to return to the old roads of the LOM Council and to make us dependent on them. I'm fine with that. This is also in line with Mr Marcouch's motion. He is asking us to ensure that we get that much broader group at the table, however difficult, because we cannot talk to so many hundreds of thousands of Dutch people with a Turkish background at the same time. That bet is mine, too. I therefore consider both motions to support the policy. Then I come to the PVV's request for a quick answer to the Parliamentary question. I will do my best, because I understand why this request is being made. In his motion in part No. 165 calls on Mr De Graaf to end dialogue and cooperation with Islamic organisations immediately. I don't recommend that motion. In essence, I do so in accordance with my response to Mr Azmani's motion. It's really nice to be able to decide for myself who I'm talking to and who I'm not talking to. In the motion in part No. 166 is asked to shorten municipalities that facilitate Islamic organisations on the Gemeentefonds. That too seems to me to go too far. I'm gonna have to dissuade that motion. Mr De Graaf's motion for a resolution 167 calls for every effort to be made to dismantle Islamic organisations. This is also contrary to the freedom of religion and the freedom of association enshrined in the Constitution, to which Mr De Graaf has pledged or sworn allegiance. I'm also dissuading that motion. Mr Marcouch's motion on item No. 168 calls for contacts to be stepped up as widely as possible and to have and invite a different generation of women, Turkish Dutch, to the table. In the light of what I just said in response to Mr Azmani's motion. I want to see that motion as a policy support. Then I come to the question of D66 if you can't talk about "Dutch." Sure, when it comes to Dutch people, you talk about Dutch people. However, it seems very important to me that, if there are problems relating to or related to someone's background or group, we do name them. That could make it easier to solve them. In that light, I see that discussion. So it's not about political correctness, it's about precision in language. I can always be found for precision. We will respond to the new reports, but I believe that this is a line that everyone should be able to address: not vague classifications, but precision and things so that you can solve them. In the motion in part No. Mr Van Meenen asked 169 to change the system of integration. I don't recommend that motion. A large number of actions have been announced to improve the integration system, but the umpteenth change in the system in a very short time is not in the interests of the people who need to integrate.
ParlaMint-NL_2016-11-02-tweedekamer-12.u90	It is very doubtful whether that is not in their interest. A very large part of it doesn't pass the integration exam. OCW is primarily focused not only on education, but also on monitoring its quality. Many of the providers are lacking in this respect. This isn't a system change, it's housing at another ministry. It is something that in part already runs and could be expanded by making it more of a public function.
ParlaMint-NL_2016-11-02-tweedekamer-12.u91	I read something else, namely a high-quality public offering of the integration pathways. This is quite different from the supervision in which OCW, or rather the Education Inspectorate, can play a role. I can only take it as a motion which calls for a fairly far-reaching change in the system. I don't think that's a good idea right now. I'm taking my advice to the Chamber. I shall now come to the motion by Mr Heerma and Mrs Keijzer on item No. 170, asking for glorification to be punishable. I'm gonna have to advise against that motion. There's no need for separate criminal charges. We have seen in the shadow of the context case-law that much of what Mr Heerma is trying to bring into Dutch criminal law is already covered. As soon as it comes close to sowing hatred, sedition or recruitment, a criminal standard is exceeded. Depending on the appearance of the glorification, there may be conduct that may be construed as inciting terrorist offences under Article 137 d of the Code of Criminal Law. For that reason, I must advise against this motion.
ParlaMint-NL_2016-11-02-tweedekamer-12.u92	The Belgian Government has explicitly referred to the glorification of terror as a reason to expel this imam from the country. Is the government prepared to contact the Belgian Government to hear what is being thought about in Belgium and whether it should be seen more broadly in Belgium than in Dutch legislation? That is not what people do.
ParlaMint-NL_2016-11-02-tweedekamer-12.u93	We are in close contact with the Belgian government about this whole complex of issues to protect you from radicalisation and terror. It is no trouble to discuss this case further. By the way, when issuing visas, for example, you see that the Netherlands, even where there is no direct evidence of a criminal offence such as provocation to terror, sometimes makes the choice to deny people access to the Netherlands or to the Schengen area. So that doesn't always have to be the same. There is no question of whether it is wise to constantly ensure that other countries deal with radicalisation and terror in terms of legislation. We are certainly prepared to do so. Then there is Mr Öztürk's motion on item No. 171. It calls on the government to counter the insinuation, suspicion and stigmatisation of Turkish Dutch. I very much agree with that. Unfortunately, I have just heard a few examples of it. The government is also asked not to exclude Turkish Dutch people, but to embrace them. Well, we don't need to be asked, because we already do. I'm dissuading the motion.
ParlaMint-NL_2016-11-02-tweedekamer-12.u94	One question on the motion, Mr Öztürk.
ParlaMint-NL_2016-11-02-tweedekamer-12.u95	If you agree with the motion, why do you advise her? Normally, you say support policy or judgment room. You're usually a little more positive, but now you say: I agree, we're already doing this, but I advise against the motion. What's the logic of that?
ParlaMint-NL_2016-11-02-tweedekamer-12.u96	I agree that we should insinuate, suspect and stigmatize Turkish Dutch people. I am sorry to hear that Mr Öztürk himself is guilty of this. Mr Öztürk asked the government not to exclude the Turkish Dutch but to embrace them. I cannot, of course, take over the motion, because we do not do that first. That's why I don't recommend the motion.
ParlaMint-NL_2016-11-02-tweedekamer-12.u97	Thank you. This brings us to the end...
ParlaMint-NL_2016-11-02-tweedekamer-12.u98	No, we're doing an interruption in two.
ParlaMint-NL_2016-11-02-tweedekamer-12.u99	Ask your last question.
ParlaMint-NL_2016-11-02-tweedekamer-12.u100	Minister, just be honest. Is it because I filed the motion? Or do you disagree with the content?
ParlaMint-NL_2016-11-02-tweedekamer-12.u101	I refer to my earlier comments.
ParlaMint-NL_2016-11-02-tweedekamer-12.u102	I would like to thank the Minister for Social Affairs and Employment for his response. We shall be voting on the motions tabled next Tuesday.
