ParlaMint-NL_2016-04-26-tweedekamer-32.u1	I would like to welcome the Minister for Social Affairs and Employment.
ParlaMint-NL_2016-04-26-tweedekamer-32.u30	The question now is: how long can the Minister keep breeding if it is up to Mr Kerstens? After the summer, we must have proposals from the Minister for how that could be done. Does Mr. Kerstens agree with me?
ParlaMint-NL_2016-04-26-tweedekamer-32.u31	I was always better at the flowers and the bees, but Mr Ulenbelt is right: the breeding takes place on an egg and it must indeed lead to something very beautiful. I have just indicated that it is a short time to ask the Minister to come out with that brood before 1 June, so with the inventory of what we can and should do. But I heard Mr Ulenbelt say: after the summer. I'm fine with that. And I don't mean "after the summer" just before the summer of 2017. I mean as soon as possible after the summer, actually at such a time that we might be able to do something with it in budgetary treatment or something. I think it is very necessary that we take further steps. We are getting a lot closer to effectively tackling exploitation, unfair competition and repression, but we need to look at what else is needed.
ParlaMint-NL_2016-04-26-tweedekamer-32.u32	Thank you. You might as well be spokesmen for agriculture. I now give the floor to Mrs Schouten of the Christian Union.
ParlaMint-NL_2016-04-26-tweedekamer-32.u33	Mr. Chairman. You would almost come in a spring mood after these words, if it wasn't even colder outside than during Christmas, so I understand. Hopefully that will not affect the Minister's condition. The proposal before us must prevent exploitation and repression. We know the poignant examples, because it was the government itself that gave the space for that, though not meant. In the construction of the A4, the A15 and the A2 we have indeed seen very poignant examples, which we believe should be eliminated as soon as possible. This bill is taking some good steps in this respect; I can be quite clear that my group is looking at it this way. I do have a question. Has the Minister finally made it clear when he thinks this law is working properly? When is it an effective law? We don't really have a picture of exactly how many seconded people we're talking about. How's the minister gonna decide if the law does what he's supposed to do? What are his estimates of that? I also have a question about reporting. We have seen that this can only be implemented by 2018. What's taking so long? There are examples of other countries, such as Belgium, where this is already happening. It seems to me that there can be some acceleration in that. I would like a response from the Minister. The law that we are discussing today has suddenly changed its character last week. Last week, the Minister launched a major plan to correct the labour market, including a system for seasonal workers. The Minister presented a strengthened basis for agreements between the social partners on seasonal workers, which he had put in place in the second letter of amendment to this law. I understand that, because the season is coming when we're going to work in greenhouses and the like again. Instead of the general exception, there will be a specific derogation with stricter requirements for seasonal workers. The intervals are shortened from six to three months. We think that's good news. We have talked about this for a long time, and we have always identified the bottlenecks. It is good that something is finally being arranged for this group of people. I am curious as to why it has been chosen to regulate it so specifically in the law and not through the ordinary exception, which was already in the law. And what are we going to do about those sectors where there is no collective agreement? That question has been asked before and we are still asking it after this letter of amendment. I hope that the Minister will be able to clarify this today. More things came out last week, including the minimum youth wage. We are going to deal with this later, but let me say right away that we are very happy that this is going to be settled now, because a young person who has completed a training course and who does a full job must also be entitled to full pay. I would like to congratulate Young & United once again, who has clearly put this point on the map. As far as we're concerned, the credits are for them. We're going to talk about that further. I have just indicated in my interruption that I have missed a part during the whole presentation of the plans, and I find that sincerely disappointing. It's about the position of invaders in education. If they come under the Work and Security Act, and under the chain clause, then after three weeks of raiding they have a fixed contract or they are sentenced to payroll-like constructions. I would also like to offer that assurance to those invaders; let us be clear about that. But I find it really incomprehensible that on the one hand we say to education that all these people should be taken into permanent employment, while on the other hand there is no extra money. If that is what we want, let us be consistent, because now there are schools with their backs against the wall. Let me say more specifically: this does not apply to all schools, but only to special and special education. Public education is excluded, because it is governed by civil service law. If it is such a fundamental point for this minister, why doesn't he arrange it equally for all schools? Now there is a strange distinction between two different types of school, one having to follow the chain determination and the other not. But more importantly, a number of schools really get in trouble. Yes, there are opportunities to shape certain pools, but precisely the schools of a specific direction, of which there are not so many, come into a mess with their personnel policy and, if they want to set up such a pool, should literally take their invaders from all over the country. We can find all kinds of things that these schools are there, but we do have freedom of education here. A school simply has the opportunity to conduct its own personnel policy. That discussion is not on the table here, but these schools are going to suffer. I know that there are collective bargaining and I know that it is being discussed now, but I also know that time is running out. On July 1st, it must all be settled. I honestly don't trust it. I hope the Minister can tell me and the Chamber that it's all settled. If that is the case, then I will remove the amendment from the table, because I am concerned that it should be dealt with, not who will take care of it. Now that we have settled one part of the problem in the Working and Security Act for seasonal workers, I do not understand why the Minister does not want to take care of the other part, because it is a real problem. That is why, together with Mr Heerma and Mr Van Weyenberg, I have tabled an amendment which regulates that the supply chain provision for the incursion forces does not enter into force, but that further rules can be laid down at AMvB to prevent abuse of that provision. We do not want that either. I am quite prepared to look into whether I should work on that amendment in order to make it clearer. I really care about the case. I hope the Minister is prepared to find a solution to this pressing problem.
ParlaMint-NL_2016-04-26-tweedekamer-32.u34	Mr. Chairman. We are discussing two proposals for the price of one today. I think that the Minister is not in the Chamber after the previous speakers' speeches, but I can also tell him, on behalf of my group, that we are broadly positive about both aspects. I will begin with the enforcement directive. In my view, this is an excellent step towards combating unfair competition in our labour market with Eastern European workers as a result of unequal pay. From which parts does the Minister himself expect the greatest effect? For example, what does he expect of the possibility of collecting cross-border fines? This is an important part of justice. Previously, colleagues also asked: what exactly does the Minister expect from the clarification about the hard core of working conditions? What effect will that have on enforcement? I'm gonna go with the report. Mr Ulenbelt has just spoken about his warm memories of the debates with Mr Van Hijum on this subject. He then interpreted it as an exotic Limosa system. I think that discussion has been going on for years. In the previous period, the cabinet did not want it, but I think it is very good that it is now in place. The Belgian results also show why. From the Limosa system comes three times as many numbers as from A1 statements; that says something. 130,000 is not a small number, but almost 400,000 is really different. In my opinion, the fact that they are then known through the reporting obligation offers many possibilities for enforcement. First of all, you'll know who's out there. Second, you know something's not right when you find people who haven't been reported. So you can perform. Several colleagues have already asked whether this enforcement regime is sufficient. The VVD Group points out that it wants to see the results of the enforcement directive first and really does not want to talk about the Detachment Directive until then. My group is not in the same position. Moreover, the ESC and the employers themselves are different in this respect. At the end of 2014, the ESC has already advocated an amendment to the Detaching Directive. The reality is that there are considerable differences in the minimum wage level and social conditions in Europe. That is what the VVD Group has already mentioned. So when borders between countries are open, there are problems. When we talk about open borders for work in Europe and, in fact, about globalisation, we must realise that these kinds of developments know winners and losers. Open borders are really a different principle. Soon you will lie awake at night and wonder whether your children will get a job at all or whether it has been taken over by cheaper Eastern European workers. It is therefore a good thing that this enforcement directive is being implemented. I think that is a possibility, but it is not enough. I believe that it will be of real value and that it will only be possible to really do something if the Detaching Directive is properly adapted, as Mr Kerstens has just pointed out. I'm worried about what's going on right now. That's what I said in the AO. Isn't the 24-month period too long? Doesn't the back door inside continue to cause problems? If a construction is legal, there is nothing to maintain. I would also like to receive a response from the Minister. In my view, Mr Van Weyenberg also asked what the value of the enforcement directive would be if you did not properly adapt the Detaching Directive. I have repeatedly raised the issue of seasonal work on behalf of the CDA in the past period. I am very pleased that the social partners and the partners in the coalition have now really taken steps. They do not wait for 1 May and then see what the Explorer comes up with and then discuss whether adjustment is necessary. No, the adjustment was there at the end of last week. Usually I tend to say: hasty haste is rarely good. Thursday a proposal was made and here is all the incorporating bill. That's pretty quick. But the need is high and time is running out. That is why I am positive that in this particular case it has been chosen to do so so quickly, because there are real problems in agriculture, horticulture, catering, recreation and amateur sport. The transitional period is coming to an end, and it is therefore a good thing that we are now going to do something about it. I do have some questions and concerns about this, especially those that have not been settled. How are things, for starters, working in practice? There are concerns about how it will work out once the collective agreement has been reached. Then there's a list of functions. What then happens at company level? Does it have to be proved by function that this is the case? Or can companies make use of the list if agreements have been made at job level in the sector? My concern about amateur sport hasn't disappeared either. Mr Van Weyenberg mentioned this earlier. A lot of amateur sports clubs don't have a collective agreement. This also raises the wider question of how to use it as a seasonal worker if there is no collective agreement somewhere. This morning I received an e-mail from a company from mussel fishing, which said: we do not have a collective agreement, but clearly we do have seasonal work. What is the Minister going to do to avoid creating problems in sectors where there is no collective agreement? Otherwise we will be back here in a few months or a year to make another adjustment, because it appears that new sectors have emerged without a collective agreement where the problems remain. The second part of amateur sports are indoor and outdoor sports. In the letter we received, it is quite clear that the problems have been solved there, as far as nature and seasons are concerned. But that is true for outdoor sports. Is it true that we have arranged something for outdoor football but not for indoor football? I wonder what the Minister thinks of that. All these sports work with seasons. It cannot be that we have now arranged for outdoor sports but there are problems for amateur sports clubs in the room, for example in basketball or volleyball? I would like to conclude with the education which Mrs Schouten has already made in detail. That's not seasonal work. The Minister does not have to explain to me again in his first term that education is not seasonal work, because we have exchanged this with each other in the AO; everyone has acknowledged that. But the problems are real and of a similar nature. That is why the CDA, together with the Christian Union and D66, has tabled an amendment to solve the problems of replacement, which are particularly affecting small schools. In addition, I have the following question. I thought the scout would also look at education, but there is nothing about that in his report. The letter we received yesterday, however, refers to the mediator who has now been appointed for the collective bargaining problems. Did the scout indeed not look at it because the mediator does so? Are they interfering with each other? What does the Minister expect this to work out, and at what time does he think there is a solution? My group also does not believe that this is regulated per amendment. As long as it's taken care of.
ParlaMint-NL_2016-04-26-tweedekamer-32.u35	Mr Heerma pointed out that the Detaching Directive could take a long time. If there is no rule, there is nothing to maintain, he rightly said. Mr Van Hijum wanted to go further than Europe should at the time. Mr Kerstens and I asked the Minister to come forward with proposals as soon as possible after the summer. Does Mr Heerma agree with me, in line with Mr Van Hijum at the time, that there should also be proposals that are a bit chasing with existing European law?
ParlaMint-NL_2016-04-26-tweedekamer-32.u36	It is clear from what I have said that, in my group's view, it may be a little tighter than what is currently being agreed in Europe, partly in view of what I have said about the problems of the labour market and the losers of globalisation. In the AO I recently said that 24 months is too long for my group and that we see more in a period of 6 months. Also, we think we need to get out the back door. I am not giving carte blanche, but if the Minister comes forward shortly after the summer with proposals to look up the edges, I am sympathetic to them.
ParlaMint-NL_2016-04-26-tweedekamer-32.u37	But Van Hijum just wanted to go over the edge according to the thought of then; later it was allowed. Surely the Minister should have something on the edge of the CDA?
ParlaMint-NL_2016-04-26-tweedekamer-32.u38	I think we have to conclude afterwards that Mr Van Hijum did not want to go over the edge, because now what he advocated is ahead of us. I think that's a good thing. Mr Kerstens has also indicated that a notification is late as of 1 January 2018 when we talk about the Limosa system. If that can be done faster, it would be a very good thing. But then it remains that you cannot tackle the real problems of posting with this enforcement directive alone, because with the current Detachment Directive, some competition is unfair but legitimate. The Detachment Directive will therefore also have to be adapted accordingly.
ParlaMint-NL_2016-04-26-tweedekamer-32.u39	This brings us to the end of the first term of office.
ParlaMint-NL_2016-04-26-tweedekamer-32.u40	Mr. Chairman. It is good to taste a lot of support in the Chamber for the bill we are discussing, which is about the implementation of the Enforcement Directive. It is part of the Detachment Directive and ensures that rules on the applicable working conditions can be better enforced. We have often talked about it in the Chamber: free movement brings the Netherlands a great deal of good. It is a great asset and it gives our country a lot of prosperity and a lot of jobs on the ground, but if you want to continue to benefit from it, you must also be prepared to do something about the negative effects on the shadows of that free movement. We come across a certain amount of structures using that freedom of movement to make labour as cheap as possible. PO Box companies and revolving door constructions are used to evade Dutch legislation or collective agreements which have been declared generally binding. We have seen this at the A2 near Maastricht and at the Eemshaven in Groningen. There, the Detaching Directive had become a business model of malicious companies. This bill is called the Working Conditions Law on posted workers in the European Union. It regulates which working conditions workers are at least entitled to work temporarily in the Netherlands, and it contains measures to enforce those rules. In doing so, we are taking a good step to prevent the Detaching Directive from being used as such a earning model in which workers are not given the working conditions they are entitled to and there is an uneven playing field. The proposal contains five measures. Firstly, it contains a handle for inspection services to look at when there is posting. We will work that out in an AMvB and I will inform the Chamber by letter. Secondly, the exchange of information between inspection services will be facilitated. Thirdly, it will be easier to collect cross-border fines. Mr Heerma asked an important question about this. We cannot now collect 74% of the foreign fines, and that is not in line with our sense of justice, as he pointed out. It is important that we can collect it; if you are caught, it must have consequences. Fourthly, there is the issue of reporting. A lot of questions have been asked about this that I will answer in a moment. Fifthly, it will make it easier for companies to find out exactly what the working conditions apply. This is made easier not only because of the website, but also because the law itself defines what working conditions should be included in the so-called hard core and should therefore at least be granted. This will clarify the establishment and applicability of collective agreements for posted workers. In addition, the enforcement directive allows Member States to introduce a chain of liability for pay, so that clients who want to do business with malicious service providers can be dealt with harder and better. I have already implemented this part in the Fake Constructions Act, which both Chambers have unanimously agreed to. All in all, these are very useful measures to enforce the rules of the current Detachment Directive. But, I say, if the rules of the game themselves are not fair, you can never get the game completely fair. Many parties have asked for this, and an answer to this is that this bill makes an important contribution, but does not solve all the problems. It is also necessary to adapt the rules of the game itself and I therefore welcome the Commission's proposals. Adaptation of the Detaching Directive is necessary to combat competition on working conditions between workers in Europe and to ensure a level playing field, which is in the interest of many Dutch service providers. They do not come into play because larger companies often use the Detaching Directive to obtain an unfair competitive advantage. That is unfair, but it is not illegal, as Mr Heerma put it, and that must change. Then I come to the question of whether I think the 24-month proposal is sufficient. Of course, we discussed this with each other just before the Informal Council. If I had been allowed to write the proposal myself, I think I would have chosen a shorter deadline. I think the Chamber could have sensed that because of the way in which I reacted. I said that I was pleased with the proposals that were put forward, but not satisfied. We have now had a first informal conversation. The force field is clear but not simple. It will therefore be a great challenge to reach agreement on the proposals as they stand, apart from the questions that the Chamber has asked and which I have brought to the Commission on a number of possible weaknesses in the proposals. I thank the Chamber for its written contribution. I hope that I have answered the questions sufficiently in this respect. I now turn to the more specific questions that have been asked today. The Directive gives Member States the possibility of reporting obligations. In order to verify that service providers comply with the Detachment Directive and that the employment conditions and conditions applicable to posted workers are applied, it is necessary to know where they are located. This is therefore immediately an answer to the SP's question what this would have helped in the cases we know, namely Eemshaven and A2. Due to the reporting obligation, the inspection had known that large-scale workers were posted. That could have led to a targeted inspection. Then there were undoubtedly a number of things that were perhaps undesirable but allowed under the Detachment Directive, namely the business model, the earning model. We could have acted more appropriately against the illegal phony structures, which were also mentioned. We have also seen people earning €5 a day and having to eat snails from misery. With this law, this enforcement directive, you could have been better able to detect and deal with these issues more effectively. At the moment, we have no way of seeing which foreign service providers are in our country. It is only after 183 days that a service provider is obliged to make himself known to the Tax Administration for the payment of payroll taxes. This means that in the first half of the year, the A1 declaration which enables an employee to demonstrate that he is socially insured in another Member State is now the best we have. Such an A1 declaration is not mandatory, it is an unreliable means to gain insight into posting to the Netherlands. Moreover, such a statement does not contain any information on what kind of work is being done. You know that we are also looking at what we can improve on this A1 at European level, but it is clear that this is not enough in view of what we are trying to achieve here, and that is why we are obliged to do so. Before the start of the work you must indicate how long and for whom you are going to work, where and with which employees. In order to keep the administrative burden as low as possible, we also have an interest in the provision of services is created a system that enables service providers to comply with the reporting obligation online. I think it is a very good sign that many parties are asking whether this could not be done before 1 January 2018. I think that date is sufficiently challenging in all honesty. Although the notification system will ultimately be simpler for the user, there is a lot to be seen in the development. It is important for the personal data to be properly protected.The VVD also asked about this and we will have to make good arrangements with the Dutch Data Protection Authority. It has the necessary feet in the earth if you want to arrange it neatly and properly; simple for the user, but in accordance with all the laws and rules we have for that. Then 1 January is still quite ambitious. An exception is made for small businesses, because they can make a report that is valid for one year. It would also be too heavy for international transport companies, because they are constantly driving into and out of the Netherlands. Therefore, they are also excluded from the reporting obligation. What's such a small business now? You don't want a glass washer washing the glasses from Belgium or vice versa to report every time he drives into the street. We are trying to strike a balance between the objective of the law that can really contribute, but it must of course be bearable for entrepreneurs. The Labour Party asks me in what other ways abuses in the transport sector are being dealt with. Transport always has our special attention, both to me and to my colleague from Infrastructure and the Environment. There is a collaborative project between the Inspection SZW and the ILT, in which data are exchanged in order to be able to carry out joint risk analyses. With the ILT, the Inspection SZW conducts several interventions, including re-inspections and investigations. In doing so, they take false constructions and fined the notorious offenders. They focus, among other things, on the Dutch transport companies with branches in more than one Member State, and mailbox companies of Dutch transport companies located in another country, with particular attention to national and international transport companies in refrigeration and freight transport. The prevention of infringements is being pursued by better informing about what the laws and regulations entail. In addition, reports of fines imposed for infringements are important, as this is a positive influence on the pick-up perception. That's a preventive effect. Moreover, it is motivating for all those employers who do keep to the law, to see that the culprits are caught. Finally, this question has also been raised.................................................................................................................................................. It depends a little on when the King signs it, I suspect he's not due to it tomorrow, but as soon as possible. That could really fall on the bus one of these days. The SP asks to what extent the inspection can check whether a company does not have to comply with the reporting obligation because a company has less than 10 employees. If the inspection suspects that a particular service should have been reported because a company is actually larger, the Inspection may request information on the number of employees and the country of establishment via the liaison office. If one chooses such a devious path, it is not without risk. The VVD asks what exceptions to reporting are made in other countries. I do not have a perfect view of this right now, but I know that exceptions have been made in Belgium for short business discussions and performers. All Member States should, after implementation, inform the Commission whether and how they introduce a reporting obligation. As soon as I get that, I'll share it with the room. The SP Group has asked if I am prepared to record the address and bank account number of posted workers. To this end, an amendment has also been tabled by Mr Ulenbelt. The data we request must be proportionate and contribute to the purpose. The question of a bank account number and residence address would be considered disproportionate, as these data are not necessary to obtain an insight into the service providers in the Netherlands and to obtain an answer as to whether they are granting the right conditions of employment. It may serve a different purpose, as Mr Ulenbelt has just argued, but that is not the purpose of this directive or this law. That makes it disproportionate. I understand Mr Ulenbelt's concerns. In this respect, it is important to point out that the inspection on the basis of the Law can impose a burden on underpayment under penalty payment. Thanks to the Enforcement Directive, other enforcement authorities in other Member States will soon be able to collect this penalty payment. So we get a better grip on people who think we can get away with the dance. It is my opinion that asking for a place of residence and bank account number for all posted workers would be too far-fetched with any notification.
ParlaMint-NL_2016-04-26-tweedekamer-32.u41	Nevertheless, the Minister shares the concerns about all the misery we have seen, for example about housing. What does the word "disproportionate" mean in this context? Can't? Is it contrary to the directive? Or does the Minister think so? If the minister wanted to, could it be possible?
ParlaMint-NL_2016-04-26-tweedekamer-32.u42	In my view, the directive only allows notification for the purpose of the directive. If you put other things on it, it becomes disproportionate. In the end, it is up to the European Court to determine whether the directive has been properly implemented, but in my view this would be disproportionate and therefore cannot be implemented.
ParlaMint-NL_2016-04-26-tweedekamer-32.u43	I mentioned it earlier with Mr Kerstens: we must also take measures which may not be Europe's right but which serve a purpose. This clearly serves a purpose. Then it can't be disproportionate, can it? This is a matter of public policy. Then it's okay to do it again, isn't it?
ParlaMint-NL_2016-04-26-tweedekamer-32.u44	If something serves a purpose, it can still be disproportionate. We may disagree, but ultimately it is a question of interpretation of European law on this point. In my view, this is disproportionate, so I'm not in favour of it. The fact that it serves an objective, which may be a legitimate objective but not the objective of this directive, does not give a definitive negative answer to the question of proportionality.
ParlaMint-NL_2016-04-26-tweedekamer-32.u45	Please continue.
ParlaMint-NL_2016-04-26-tweedekamer-32.u46	The digital reporting system also allows the inspection to carry out risk analyses of the data that are available there and to use techniques such as data mining. This also means that inspection capacity can be more targeted. That's gonna help combat maliciousness. That is also an advance on the answer to the SP Group's question as to whether there should be more capacity. The D66 Group also asked for this. No misunderstanding: if I had unlimited budgets, I would have liked to have more inspection capacity. I do not think that has been a secret between the Chamber and me in recent years either. It is precisely because of the targeted commitment and the possibility of data mining as a result of the reporting obligation that I think we can use the inspection more efficiently and effectively. I have been asked what enforcement rate I consider sufficient. Let me not improvise on that for a moment, but promise that I will send the latest figures to the Chamber very quickly. I'm pretty sure we'll talk about that again. Strictly speaking, this is an independent debate, which does not necessarily need to be conducted now.
ParlaMint-NL_2016-04-26-tweedekamer-32.u47	The Minister writes that he expects that percentage to be increased by this law. So can I assume that we will find a higher new enforcement target in next year's budget?
ParlaMint-NL_2016-04-26-tweedekamer-32.u48	Unless there are reasons why, despite the positive effect of this law, there are reasons to correct that, I agree with that. Of course, reporting is only effective if you can't get out of it. Rogue companies are gonna want to stay under the radar. Therefore, a verification obligation is also included for the Dutch recipient of the service. It must check that the report has been made and that the report is correct. If he doesn't, he'll have to pass it on. If he fails to do so, and if the inspection finds that no notification has been made or has been misreported, the recipient of the service may also be fined. If the notification has not been made or is incorrect and the recipient of the service has passed it on, the recipient of the service shall be protected. The Detachment Directive applies only to employees. Self-employed persons are excluded from the Directive. The use of bogus self-employed workers is therefore attractive for malicious companies. This will enable them to evade the directive. For this reason, self-employed workers in certain risk sectors will be subject to reporting obligations. By doing so, however, you limit the prevention of unnecessary administrative burdens. After consultation with the social partners, we will identify the sectors in question at AMvB and in line with the case law of the European Court of Justice in Luxembourg.
ParlaMint-NL_2016-04-26-tweedekamer-32.u49	I would like to return to the duty of verification. This obligation applies to the user employer or the client. I am very pleased with that, because it prevents him from looking the other way, as sometimes happens now. I asked the Minister a specific question on this. If the user employer or the client reports that something is not right, the client is protected, but the infringement can still take place. Isn't the Minister assuming, like me, that the Labour Inspectorate would go for such a report?
ParlaMint-NL_2016-04-26-tweedekamer-32.u50	Sure. The system won't work until the inspection does something with it. If a malicious report is made with wrong information, then we will have to deal with it. There is no guarantee that what is being done with it in 100% of cases, but we agree on the principle.
ParlaMint-NL_2016-04-26-tweedekamer-32.u51	I almost wanted to ask for a guarantee, but it is indeed not to be given. We have just talked about risk-based supervision. This is where the risk occurred. Then we can all assume that the inspection will be carried out, because it is almost a red tape. This does contribute to the success of all kinds of service providers in the Netherlands.
ParlaMint-NL_2016-04-26-tweedekamer-32.u52	Mr. Chairman. The Labour Party and the SP ask why the reporting requirement does not apply to all self-employed persons in all sectors, while the VVD asks why there is a reporting requirement for self-employed persons, who are not covered by the Detachment Directive. Well, the European Court of Justice has ruled that, in the fight against false self-employment and in the context of enforcement and posting, a targeted reporting obligation is justified, but not for all sectors. We are also following this line in this legislative proposal, precisely because we all agree on the objective of preventing unfair competition and false self-employment and thus preventing people who do it in a proper manner from getting rid of all responsibility and bread. There will be no extension to all self-employed workers, because the European Court of Justice believes that you would go too far, beyond what is necessary. The risk sectors will be identified together with the social partners. In the meantime, I have asked the social partners to look into it. I'll be sitting around the table with them soon. Then we'll see what they come up with, but we'll also see what signals the Inspection SZW has collected. D66 asks how a private individual will be informed of his inspection obligation if he hires a Polish independent construction worker. Individuals will also be informed about the reporting obligation. It may be that a private individual failed to carry out an accident check. Of course, there will be policy rules on fines. In the written procedure, I have already indicated that a warning is also possible. It's not about scaring the shit out of friendly individuals. It's all about the system itself. You don't want that to be undermined or evaded. I think that we can balance the effects on employers who deliberately abuse them, on the one hand, and on the other hand, the possibility of a private mistake.
ParlaMint-NL_2016-04-26-tweedekamer-32.u53	That last one's very nice. We have seen poignant examples in the framework of the Foreign Labour Act and the old anti-fraud rules. It is good that a warning is possible if someone is mistaken. It is good that the Minister has said this again explicitly in the debate. I can imagine that the information campaign is not yet ready to every comma, but when does the Minister expect to know what the campaign is going to be like? Would he like to share that information with the Chamber? I think it is quite a task, especially for private clients.
ParlaMint-NL_2016-04-26-tweedekamer-32.u54	I'd like to say I share this with the Chamber. I don't have that ready yet. I am now focusing on ensuring that the treatment in the House of Representatives is carried out successfully. Then I'll be going to the First Chamber soon. It is being worked on, but on this point I would like to inform the Chamber about how we are going to do it. I agree that you want to use that communication to get between the ears what the rules are. Those rules should, if it is right, be taken for granted by most. But this particular point is important. The VVD notes that the data can be exchanged and concerns about privacy. The Enforcement Directive itself lays down what data can be shared and which must be met, such as retention periods. In the legislative proposal, I have arranged for the AMvB to be able to determine to which bodies such data can be provided if they come from other countries. We will do a privacy impact assessment so that the effects of the data exchange can be properly mapped. I mentioned this earlier when it came to the date of introduction of the reporting obligation. It is precisely this type of element that needs to be properly regulated. Moreover, only non-privacy sensitive data will be shared with social partners. They are not provided with information on the identity of the employees, but with information on the number of employees and the duration of the work. The exchange of data between Member States will then take place through the European IMI system. That's a good, state-of-the-art security system. So that point too has been seen. But again, we are not doing a privacy impact assessment for nothing, to make sure that we do this properly. I come now to the hard core of working conditions. The Detachment Directive lays down which working conditions should at least apply to employees employed by a foreign service provider, who temporarily work elsewhere. These include pay, working hours, equal pay and working conditions. It concerns both the legal standards and the provision of a generally binding collective agreement. Which provisions are and are not covered by these provisions is the subject of discussion. What do you mean by minimum remuneration? Mrs Schut asked the same question. The Labor Foundation therefore asked the Cabinet in 2014 to give a more detailed explanation of that hard core. We have done so in the cabinet response to the ESC opinion on labour migration, on the basis of the latest case law of the European Court of Justice. With this bill, we actually codify that answer. That is also the answer to the VVD's question to the legal basis of that interpretation. It's not something new. It's not a change. There's no delta. It's capturing what the shared insights are at that point. This will increase legal certainty, including for Dutch companies that are going to work with it. It helps the social partners in their discussions on what should and should not be included in the hard core. We have simply stated that we are following, as it were, the interpretation I gave in response to the ESC opinion. Why is this not limited to a minimum? Well, there is a ruling from the European Court of Justice, in which the minimum remuneration is widely interpreted. This may also include minimum wage scales and collective wage rates, appropriate to the nature of the work. The Detachment Directive explicitly states that occupational pension schemes are not a core issue. The Labour Party and the SP asked for that. The most effective way to reduce the wage gap would, of course, be for foreign service providers to pay the Dutch pension and social security contributions from day one. Apart from the fact that European law does not allow this, it has considerable disadvantages in terms of large administrative burdens for employers. You get shredded rights and shredded pension combinations. Anyway, even if you think all this is worth it, it still cannot be done on the basis of European law. The SP asked about pay-as-you-go payments in case of illness. This should also be seen as social security and should not be included in the hard core of European law.
ParlaMint-NL_2016-04-26-tweedekamer-32.u55	I'm going to go into the hard core when it comes to minimum remuneration. I asked what the European legal basis is to say that collective bargaining can be counted as such. The current directive speaks of minimum remuneration. So I am not talking about the Commission's proposal of March, which indeed refers to pay in broad terms. At the time when this law is a codification of the directive, it seems to me that you should talk about minimum remuneration and not about pay in the broad sense.
ParlaMint-NL_2016-04-26-tweedekamer-32.u56	Certainly, but "minimum remuneration" has been interpreted by the European Court of Justice as including the minimum scales in the collective agreement. I do not think that is enough, because this can still be a disadvantage for a Dutch construction worker of hundreds of euros per month. It is higher than the Dutch statutory minimum wage. This has long been accepted case law on the interpretation of what is to be understood as a minimum wage under the existing Detachment Directive, not the Commission's proposed amendment. The European Court of Justice has established that "minimum remuneration" should be understood broadly; it can also be the minimum wage scale in a collective agreement. We see this in Dutch construction, for example. However, a wage based on a minimum wage scale can be significantly lower than the reward of an experienced construction worker. With this codification of the case law, it is still possible for a highly experienced Polish worker in construction to be paid as if he were just beginning, i.e. on the basis of the minimum wage scale in the collective agreement, and thus hundreds of euros cheaper than an equally experienced Dutch employee. The latter is changed in the Commission's proposal by amending the Detaching Directive. On that basis, the two construction workers simply have to be paid equally. Equal pay for equal work in the same place. That is not the case at the moment; we are going to discuss this further. However, the fact that there is a higher wage than the statutory minimum wage is not surprising. Several Member States do not have a minimum wage at all. Soon you will come to a collective determination of what should be seen as a minimum. At the moment, we codify what has been a longstanding practice in legal practice, as a result of the Court of Justice case-law.
ParlaMint-NL_2016-04-26-tweedekamer-32.u57	I would like to go back to the proposal now before us to amend the Detaching Directive. It contains a more comprehensive definition of what falls under the hard core of working conditions. It would be good if we followed it. I can't do that right now. Does the Minister intend, if the proposed amendments to the Detaching Directive in this area are to reach the final stage in Europe without any harm, to wait and see if we can translate that broader definition into the Dutch legislation of that time?
ParlaMint-NL_2016-04-26-tweedekamer-32.u58	Of course. The Dutch Government is in favour of the amendment of the Detachment Directive. We also stressed this in the letter on the Presidency and in the BNC vision on several points. The Prime Minister has been a farmer in Europe for this. That is precisely what the Netherlands would like to achieve. However, this is not yet the case. The proposal refers to "remuneration," i.e. pay rather than minimum wage. For the Netherlands, this is the most relevant profit of the proposal. Other countries, for example, which do not have a system of avv, benefit much more from other proposals made by the Commission. We all know that the force field is very divided. We had a first informal discussion on this last week in Amsterdam. Honesty requires that we have come to an end now, but that much remains to be done before there is a common position, a directive that has also been adopted by the European Parliament and subsequently implemented by the Dutch Parliament.
ParlaMint-NL_2016-04-26-tweedekamer-32.u59	The reasonable expectation is that this will take years. The Minister himself points out that major differences can persist. Then why does he not simply take national measures which we believe lead to equal pay for equal work? Does this not happen because it is not allowed by Europe? Then I say, "So what?" Then they'll come after you, but we'll have settled it by then.
ParlaMint-NL_2016-04-26-tweedekamer-32.u60	Yeah, but we didn't settle things that weren't legal. You can say "so what" twice, but you can't last a minute. That's not helping. We do what is possible nationally. We have the Law approach fake constructions. In general terms, I have promised the Chamber that I will continue to think about what else can be done. However, what Mr Ulenbelt is proposing is not possible. It is precisely for this reason that it is so important that the Detaching Directive is amended.
ParlaMint-NL_2016-04-26-tweedekamer-32.u61	That is what Mr Van Hijum and I heard from Minister Kamp when we talked about the Limosa directive. It turned out to be possible in retrospect. If we deal with this now, if the Detachment Directive is to be amended, there will be nothing to worry about, will there?
