ParlaMint-NL_2016-01-14-tweedekamer-9.u1	I give the floor to Mr Van Gerven on behalf of the SP Group.
ParlaMint-NL_2016-01-14-tweedekamer-9.u47	I have a second motion, which deals with inclusion in our foreign policy. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the UN Convention on Persons with Disabilities includes both national and international components;]] [[Considers that the interests and rights of people with disabilities can be better taken into account in the implementation of foreign trade and development cooperation policies and within the Dutch government's human rights agenda;]] [[calls on the Government to include people with disabilities in the dialogue with partner countries, to develop policies to learn from each other's experiences and to make inclusion of people with disabilities an integral part of human rights policy and foreign trade and development cooperation policy,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Dik-Faber and Mr Van der Staaij. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33990-43]]
ParlaMint-NL_2016-01-14-tweedekamer-9.u48	I'm rounding up. We can never say that life is only valuable if it meets certain criteria. Every life is valuable, with or without limitations, from the very beginning to old age. This treaty underlines that. I look forward to ratification. The process is complete if the amendment of the Labour Party, Christian Union and GroenLinks is adopted. I can only imagine that the Secretary of State wants that to happen deep down.
ParlaMint-NL_2016-01-14-tweedekamer-9.u49	Mr. Chairman. I said in my first term that the cabinet's proposal for ratification of the UN Convention on the Rights of People with Disabilities is too weak in terms of ambition. We believe that the Netherlands should want to be an example on this issue. I am tabling a number of motions and I hope that I will be able to deal with the amendments later. If it doesn't come from the cabinet, it'll have to come from us as a chamber. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[believes that an inclusive society means that people with disabilities can contribute equally to democracy;]] [[believes that this means creating the right framework conditions for people to develop their abilities and talents;]] [[calls on the Government to examine the extent to which people with disabilities have representative or administrative functions, which are obstacles to them and to take measures to remove obstacles to active participation in democracy,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Voortman and Mr Otwin van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33990-44]]
ParlaMint-NL_2016-01-14-tweedekamer-9.u50	In my contribution in the first term, I have paid particular attention to the importance that people with auditory limitations can also follow the debates. That's really important. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Second and First Chamber debates cannot be followed by people with hearing impairment;]] [[considers that monitoring the democratic process is essential for political participation;]] [[believes that everyone, with or without limitation, has the right to political participation in our country and that this right should be safeguarded as far as possible;]] [[invites the government, the Second and First Chamber debates to follow through the livestream and NPO Politics, to also make available as soon as possible to people who are deaf or hearing impaired and to inform the Chamber about this,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the Empire has an important role to play, especially in terms of accessibility and personnel policy;]] [[noting that the population of the Empire is still far below the targets of the quota scheme for the participation of people with disabilities;]] [[noting that the accessibility of public facilities such as Rijksbouwen is still lagging behind;]] [[noting that many government websites do not comply with the accessibility web guidelines, thereby excluding people with disabilities from information;]] [[calls on the government to take its role as a model and to take steps to implement this model role, including on employment participation and (digital) accessibility,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Voortman and Mr Otwin van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33990-45]] [[This motion was tabled by Mr Voortman and Mr Segers. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33990-46]]
ParlaMint-NL_2016-01-14-tweedekamer-9.u51	I do not often repeat a question, but I am doing it now, because I am a little surprised at the motions tabled by the authors of the amendment. They have tabled an amendment which sets a legal standard for accessibility, but at the same time they have tabled all kinds of motions to ensure accessibility in a wide range of areas. I also asked Mr Van Dijk: is the amendment now leading or are we going to change it through all sorts of motions? I think you have to choose between an amendment or a motion.
ParlaMint-NL_2016-01-14-tweedekamer-9.u52	I think I will be tabling a motion which Mrs Bergkamp has co-signed. I think this is a bit of a wonderful reaction. I think you should do both. You have to take good care of it in the law, but at the same time you can make it clear in motions which aspects are at stake. So I think the two of them are good for strengthening each other.
ParlaMint-NL_2016-01-14-tweedekamer-9.u53	I don't think it's as strong as anyone's replying to the person asking the question. I asked the GroenLinks spokesperson what's more important to her. Do we set the standard for accessibility or are we going to adjust in all kinds of facets? Isn't that a little bit off?
ParlaMint-NL_2016-01-14-tweedekamer-9.u54	No, it's not at all at odds. That standard is important, but it is also important that we clarify what we are really talking about. That is why we say: we have the amendment and we have the motions. I think they're mutually reinforcing. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas accessible public transport is an important requirement for the mobility of people with disabilities;]] [[Whereas there are still too many obstacles to people with disabilities, including in the case of new facilities or new equipment;]] [[calls on the Government, in addition to existing policies, together with the OB sector and experience experts to draw up a plan of approach for accessible public transport and to inform the Court of Justice of this before the summer of 2016,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Voortman and Mr Otwin van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33990-47]]
ParlaMint-NL_2016-01-14-tweedekamer-9.u55	I shall table the next motion with Mrs Keijzer. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[believes that an inclusive society should be sought;]] [[believes that policies should be made not for people with disabilities but for those with disabilities and that the experiences of people with disabilities are indispensable for the removal of barriers;]] [[calls on the Government to ensure the involvement of experience experts in national policies, starting with the implementation of the UN Convention on the Rights of People with Chronic Disease or Disabilities, and to inform the Chamber of the measures taken to this end,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Voortman and Mr Keijzer. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33990-48]]
ParlaMint-NL_2016-01-14-tweedekamer-9.u56	Finally, I am tabling a motion on where the responsibility for human rights for people with disabilities should be invested. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that cooperation between public authorities in the field of human rights within the Netherlands can still be significantly improved;]] [[noting that the Ministry of the Interior is responsible for coordinating human rights policy within the Netherlands and the National Human Rights Action Plan;]] [[Whereas the credibility and effectiveness of the Dutch foreign policy are strengthened by giving sufficient attention to human rights in the Netherlands;]] [[calls on the Government, in consultation with civil society organisations, to appoint a national human rights coordinator to coordinate and mainstream human rights within the government;]] [[calls on the Government to invest responsibility for the implementation of the UN Convention on the Rights of People with Disabilities with the Minister of the Interior,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Voortman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33990-49]]
ParlaMint-NL_2016-01-14-tweedekamer-9.u57	I would like to respond to the reaction of the cabinet to my and Mr Van Dijk's amendment to reach 100% accessible voting rooms. The cabinet states that supplementing the current legislative text with "as much as possible" would be sufficient, but we do not agree with that. Now we see in the cabinet's proposal that this should at least go to 25% accessible voting rooms. I think that's way too skinny. I think we should go to 100% accessible voting rooms. I don't think that's what you're gonna achieve if you assume at least 25%. That is why we have tabled an amendment calling for this 100%. We understand that's impossible to reach immediately. It is very important that we add a 'comply or explain' clause. It is important that the College then does enough to reach 100% accessible voting rooms. If that is not possible, it must be explained why it is not possible. There are currently insufficient accessible buildings. If we were to say that voting must necessarily take place in an accessible building, it would lead to fewer voting rooms. Then you could say that at that time we do not need to reach that 100%. I think that is crucial and therefore the argument of the cabinet does not apply. The Cabinet also states that the amendment is not covered and leads to costs. I think this is a sad observation. Apparently, economics is booming here. We are talking about human rights here. Then it's about what you want and how you can make that happen. That may also cost some stakes. And yes, it can also be about simple adjustments and then it doesn't have to cost so much at all. We would like to move towards a fully inclusive society. This includes full participation in democracy. I believe that this can only be done with 100% accessible voting rooms.
ParlaMint-NL_2016-01-14-tweedekamer-9.u58	Mr. Chairman. The first response by the Secretary of State took place on the International Human Rights Day, a special day to talk about a special treaty, a human rights treaty. I think it's good to emphasize that. The starting point is that everyone, regardless of their limitation, should have equal opportunities and should be able to participate in social life. The goal is therefore an inclusive society. This requires the commitment of the cabinet and of municipalities, but even more so of society as a whole. Unfortunately, the end of the debate had to be postponed because there was no response to the Van Dijk amendment. It was very unfortunate that it was decided a day in advance. This was especially annoying for the people who had asked for freedom or arranged transport to come to the Chamber. In my opinion, this is also a typical example: fixing everything in advance, arranging assistance, a ramp and special transport. That is such a difference with someone without disabilities, who can easily get on a train or bus and easily change the route or plan. On the Van Dijk and others amendment A lot has already been said. It is in line with the objectives of the UN Convention. In an inclusive society, accessibility should be the norm and inaccessibility should be an exception. In doing so, we are, after all, changing the cabinet's proposal somewhat. We shall therefore support the amendment. I actually wanted to make it a cliffhanger, but Mr Van Dijk indicated that we would support it and that is true. This is happening from a social point of view, because we are striving for a society that everyone can participate in. At the same time, we are also realistic, and that is why we have considered with Mr Van Dijk whether we are not asking the impossible. The amendment states that these are simple adjustments, i.e. not disproportionate taxation and graduality. If weird things still happen, we still have a General Measure of Governance to adjust our framework. If there had been a plan of action after ten years with changing cabinets but with parties who were often in them, it might have been different. But since we do not have a plan of action after ten years and even a motion has to be tabled to formulate objectives, that has given us that extra push. Apparently, it doesn't go on its own, despite all the good intentions.
ParlaMint-NL_2016-01-14-tweedekamer-9.u59	I am very pleased that D66 supports the amendment. However, it already included graduality and unreasonableness. What has been added is that the amenities are simple.
ParlaMint-NL_2016-01-14-tweedekamer-9.u60	May I respond to that?
ParlaMint-NL_2016-01-14-tweedekamer-9.u61	If you can suspect what Mrs. Voortman...
ParlaMint-NL_2016-01-14-tweedekamer-9.u62	About the first part. I have been in contact with Mr Van Dijk in order to make it clearer in the explanatory statement. In fact, it seemed as if "improper taxation" was linked to "conductivity." This has also been a change in order to make a better explanation of the structure.
ParlaMint-NL_2016-01-14-tweedekamer-9.u63	But the word "simple" was one of the things we added, because we think it is very important that there should be a majority. A simple facility can also make a building accessible, but it would be very good if entrepreneurs did it in a way that is really good. I was wondering if Mrs Bergkamp would agree with that. It is therefore a very small addition to the amendment. Could we not put in place that the provision of general accessibility can be simple in nature? Wouldn't that be a good idea?
ParlaMint-NL_2016-01-14-tweedekamer-9.u64	I think it has been pointed out a few times that D66 has had a lot of consultation with the PvdA to amend the amendment. The result has been presented today, namely the amended amendment. That is also the amendment which we support and which we support. Of course, people can always do more, but it is important in this legal process that you do not ask for the impossible and that you are realistic. Hence, adjustments are simple. Of course, people can do more, but you don't have to settle that in a law.
ParlaMint-NL_2016-01-14-tweedekamer-9.u65	Now it says that amenities are simple. I understand that Mrs Bergkamp indicates that they can be simple and that you can do more. Then it would be a good idea to add that. It's a minor change.
ParlaMint-NL_2016-01-14-tweedekamer-9.u66	There's a confusion of speech. It's legal. Mrs Keijzer has drawn attention to this and she has a point to make. As it stands now in the explanatory memorandum, it is simple adjustments. That is what we now agree on in the law, and that is a step forward when we see what we have now. Apart from that, people can always do more than a law. That's different than changing the law now. I hope I explained that clearly. The amendment as it stands now has the support of D66. I think we're taking quite a step in that direction. The Secretary of State also responded to other amendments, including those concerning assistance in the voting booth. It is said that intimidation must be prevented. However, when someone asks for help from a member of a polling station, it is not about help in choosing the party but about help in carrying out an act. People with physical disabilities are apparently allowed to be helped, but people with intellectual disabilities are not. So it is assumed that you are open to intimidation if you have an intellectual limitation. Of course, that does not have to be the case at all. Why can't you go to the polling station and the voting booth, but can't you get help voting? The members of the polling bureau shall not influence the vote. That's what the Tickets Act says. Unfortunately, assisted dogs are still refused too often. Thanks to an assistance dog, people can continue to participate. These dogs can help you dress up, cross the street and post-traumatic stress disorder. They can even warn you of an epileptic seizure. Developments are continuing. These dogs can ensure that their owners can remain independent. I always think the word "boss" is a bit childish, but I don't have a better word for it. It is very important that people can remain independent. If the dog can't go in, the owner can't go in either. I am pleased that the Secretary of State leaves the opinion on the amendment, which has also been explicitly supported by the CDA, to the Chamber. Hopefully this will also be regulated in the law, so that we can make a clear statement together: assistance dogs are welcome everywhere, the doors are open everywhere. I also hope that we are united, as we were when Helma Verhoeven offered us a petition two years ago. I hope that this amendment can count on broad support. I do have one more question about this. The Secretary of State was still going to find out if this would solve the problem of taxis. Often assistance dogs are also refused in the taxi. I hope so. I make another motion, because awareness often plays a role in refusing assistance dogs. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that an awareness-raising campaign will be launched aimed at an inclusive society;]] [[Considers that people who encounter obstacles in daily life due to disability, illness or chronic illness can bring meaningful knowledge and experience into the design of this campaign;]] [[calls on the Government to launch the public campaign in close cooperation with experience experts;]] [[calls on the government to pay attention to the importance of assistance dogs in the campaign,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Bergkamp and Mr Otwin van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33990-50]]
ParlaMint-NL_2016-01-14-tweedekamer-9.u67	I come to my next topic: the sexual rights of people with disabilities. Last time I asked if the Secretary of State wanted to be a figurehead on this subject. I understand that this may go a little too far, but I do think it is important to emphasise this issue. Sexuality of people with disabilities is, after all, still a very big taboo. I shall table the next motion for a resolution on this matter. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the basis of the UN Convention on the Rights of Persons with Disabilities is that people with disabilities have equal rights, including in the field of sexual health;]] [[noting that unfamiliarity with sexuality experience in people with disabilities often leads to restraint in the environment, including parents and caregivers;]] [[noting that the government considers that breaking this taboo requires a broad, long-term effort by the government and society itself;]] [[calls on the Government to make this effort and to this end, in consultation with organisations such as Rutgers WPF, the National Family Doctors Association, the Health Services and Everyone, to reach a plan of action aimed at removing restraint and breaking the taboo and informing the Chamber in mid-2016,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Bergkamp. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33990-51]]
ParlaMint-NL_2016-01-14-tweedekamer-9.u68	I'm coming to my final motion. Mrs Voortman already indicated that we would table a motion together. It has nothing to do with accessibility itself and all the motions that have been tabled. She's on a whole different subject. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the amendment tabled by Mr Van Dijk and others. "general accessibility" is intended and that its assessment will be carried out by the College of Human Rights;]] [[Considering that this is likely to constitute an additional tax for the College of Human Rights;]] [[calls on the Government to examine the means needed by the Human Rights College to carry out this task properly and to make the necessary resources available for this purpose,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bergkamp and Mr Voortman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33990-52]]
ParlaMint-NL_2016-01-14-tweedekamer-9.u69	Mr. Chairman. I have already argued on behalf of my group in the first term why we support the content of the UN Convention on the Rights of the Disabled. My contribution was mainly about the discrepancy between the Convention and the dismantling of the level of facilities for people with disabilities over the last three years. I am talking about the major cuts in care, nursing, housekeeping, day-to-day spending and counselling. It is also about income, education, self-direction, living, working, dependency, deprivation of liberty and accessibility. At my criticism that the coalition is dampening the pit if the calf has already drowned, the Secretary of State, in response, only came up with the excuse that the new laws have been tested under the Treaty. Yeah, right! Everyone understands that if this treaty had been dealt with first in recent years and only then the new WMO and the remaining 105 cuts in total, it would not have been possible to cut as sharply at the level of provision as it is now. Indeed, the Treaty provides for progress rather than decline; the Treaty provides for more rather than less. We cannot support the Van Dijk amendment on compulsory general access for individuals. Not only because of the hypocrisy about the dismantling of the level of facilities for disabled people by himself and his party in recent years, but also because of the division, the hardening in society to which his amendment leads in my view. Firstly, the point of hypocrisy. When it comes to the dismantling of the provision level by the Labour Party, I cannot reconcile it with the fact that the running aids, not only the rollator but also the tripod, the walking racks, crutches and so on, have been thrown out of the package. As a result, not even all people with disabilities will be able to leave their homes to go to the shops that are made public. Another example of hypocrisy about the degradation of the level of provision is the standard of living. The Labour Party halved the income compensation WTCG and removed the compensation for its own risk. Many people with disabilities have fallen financially and could not even eat a bite in a restaurant which will soon be made public by the Labour Party. I understand that these are harsh arguments against this amendment and not substantive ones, but I would like to emphasise it once again. Let us now turn to my substantive arguments against this amendment. I do not think this is the way to achieve general accessibility. If, for example, disabled people are not treated normally in a catering establishment, as we sometimes read, we need to reduce or stop bringing our money to the entrepreneur concerned. The same applies to accessibility. For example, if we encounter a web store that is inaccessible to others, such as people with visual disabilities, we can send an e-mail to the company in question to point out this kindly. If nothing is done with that e-mail, we can better spend our money at a web store that is accessible. I pointed out in the first instance that it is inherent to undertake to acquire as much business as possible. That is simply the core of entrepreneurship. If you as an entrepreneur with your shop, catering establishment, administration office, taxi, website or whatever, are insufficiently accessible, then you are just stupid. If you leave out a potential of about 2 million customers, you're a jerk. The reaction to that should not be to criminalize that entrepreneur. No, we have to kindly point it out to him or her first, and if nothing changes, spend our money on someone else who is accessible. Of course it's easier said than done, I get it. I also understand the annoyance when you constantly run into inaccessibility, but facing each other in a court of law is not the solution. I have also argued that there is usually no unwillingness, but ignorance. I understand that this could cause irritation, but let's not criminalize ignorance. Just join us all. An inaccessible cafe? Bye, we're going to the neighbors. An inaccessible store? I'll take my money to the competitor. An inaccessible website? Let's see who else is offering those products. I believe that this is equivalence, and I believe that this is an inclusive society. Finally, I would like to say that none of the 2 million people with disabilities benefit from treatment other than normal treatment. Normal treatment also means normal amendments and not special amendments, i.e. amendments with cost and coverage; not without cost or coverage because they are disabled. I ask the Secretary of State once again to provide these costs and I ask my colleagues to provide their amendments with proper coverage. An equal treatment begins here in the Lower House of the States-General. In short, we support the UN Convention on the Rights of the Disabled, but we do not support the Van Dijk amendment.
ParlaMint-NL_2016-01-14-tweedekamer-9.u70	I would like to comment on Mrs Agema's argument in substance not to support Mr Van Dijk's amendment, Mrs Dik-Faber and myself. She points out that it is important to ask kindly first to make a facility accessible, but have we not done so long enough? Isn't it time to say that friendly questions are over?
ParlaMint-NL_2016-01-14-tweedekamer-9.u71	I think that we should not resort to criminalisation. I spoke in my first term of office about what it was like when Mr Van Dijk became our colleague. At that time, so many adjustments had to be made. No one anticipated that. However, I also know that the Chamber is full of people who have not done so on purpose. That was ignorance. I understand that this is annoying. The government must indeed be accessible, but I do not think that the people with a shop or restaurant should be criminalized and brought to justice. I think we should just ask for it. If people don't, we go to the neighbors. Then we'll just go to someone else.
ParlaMint-NL_2016-01-14-tweedekamer-9.u72	I can imagine that someone who wants to go to a restaurant, university building or any other building is getting tired of checking whether it's accessible. The idea of our amendment is precisely that it should be dealt with from the outset. It's not meant to go to court, it's meant to take care of things. It is intended to ensure that people with disabilities do not have to arrange this separately. I hope that Mrs Agema thinks that is important as well.
ParlaMint-NL_2016-01-14-tweedekamer-9.u73	Mrs. Voortman is a Member of Parliament. Laws lead to rules, court cases and case law. That is why she is making an amendment. I get the trouble and the irritation. I understand that it's very annoying if you can't get over a threshold or through a screen either physically or because you're hearing impaired. However, we should not make the people responsible for this inaccessibility into criminals. I think that's a bad thing. I don't think it should be regulated by law. I do not think it should lead to criminalisation of individuals. I think we should settle this in a friendly way and on a voluntary basis.
ParlaMint-NL_2016-01-14-tweedekamer-9.u74	I think Mrs Agema is making an endlessly naive speech. What does she care that it's gonna be okay? That's what she says. If you look at where we have come from over the past 20 years, and where we are now, hardly any real progress has been made. What does Mrs Agema mean that nothing needs to be arranged and that it will be okay?
ParlaMint-NL_2016-01-14-tweedekamer-9.u75	I find the words "infinitely naive" really inappropriate. I had a scale three and a half years ago at my fifth neck vertebrae. I've got MS. I've been able to experience what it's like to have a big problem in your body since your fifth neck vertebrae. I have also experienced the thresholds that this creates. So I'm not boundlessly naive. It's what solution you see. I don't see a solution through the judge. I don't see it, but I understand the annoyance. I believe that as a society, the 2 million people with disabilities first and also everyone without disabilities, we must join forces together and achieve this in a friendly way. I know this is not settled from today to tomorrow, but we will have to look at it that way. We should not engage in criminalisation and legal proceedings. It doesn't solve anything.
ParlaMint-NL_2016-01-14-tweedekamer-9.u76	Every day, 2 million Dutch people, together with Mrs Agema and myself, face obstacles, which prevent them from participating in society, as everyone wants. In my opinion, putting your hands together is a matter of society so that everyone can just do their thing, whether you're in a wheelchair, have MS, be blind or deaf, or have any kind of limitation. You need to be able to participate, without having to call, plan or arrange in advance. You have to be able to assume that society is open to everyone. That's the hand job. You take care of that because it hasn't happened for 20 years, by law. That's what we're here for.
ParlaMint-NL_2016-01-14-tweedekamer-9.u77	I do not agree with Mr Van Dijk. I have been pleading in this house for nine years for rights to stay in nursing homes so that people can go outside, take a shower and have rights in the nursing home where they live. That's not settled in our country. There are houses that only shower on Sundays. Some people get hospitalized and never come out again. There are people who have been washed with an impregnated washcloth for months, when they actually want to take a shower. I fought for those rights for years and years. Eventually they ended up in the Wlz by this secretary of state. I'm grateful to him for that. However, it was Mr Van Dijk who personally removed the basic right of residence for the most vulnerable and most sick people in our country from the law, because he did not want a claim culture. And now he wants to. I understand his frustration and his bullshit, but he's not gonna accomplish it by forcing it through criminalizing people who are benevolent.
ParlaMint-NL_2016-01-14-tweedekamer-9.u78	I do not understand Mrs Agema's speech. It has spent three weeks studying how it can justify being against the amendment. She'll come up with, "I'm messy." In doing so, she herself points out that this is actually not a good argument. But the substantive balance is also wrong. If you assume the right of residence for nursing homes and the fact that there must be certain rights, you do so by law. What is the difference, in essence, from the legal regulation of the accessibility of, for example, a catering establishment?
ParlaMint-NL_2016-01-14-tweedekamer-9.u79	I can also ask Mr Van Gerven this question, because he was against the right of residence.
ParlaMint-NL_2016-01-14-tweedekamer-9.u80	We were in favour of people in a nursing home getting those things they need. We guarantee that right, but we have done it in a different way. However, Mrs Agema is trying to dodge my question. My question was: if you set a standard by law, how do you criminalize the one who has to implement that standard? What is there for a catering company, a library or any other criminal to ensure that accessibility is the norm and not the threshold? What's criminal about that? I don't understand. Mrs. Agema leaves people with disabilities in the cold.
ParlaMint-NL_2016-01-14-tweedekamer-9.u81	That's not true. That is also evident in my speech. I am sure that there are still images of the great debate of concern in which we were opposed to each other and Mr Van Gerven clearly indicated that he was opposed to the right of residence. That's one point. It's about right of residence like you have right of residence in prison. You don't live at home anymore and you're at the mercy of someone else. Can you still have basic right of residence? The second point concerns the word 'criminalisation'. If you go to court, you want a verdict. Someone wins or loses that trial. It's very common for people to call that "criminalizing." That's what I call it. That's a very normal word. We need to give space to individuals in our country and we need to call for them to be and become more accessible. That's much better than going to court. It's a little more friendly. Parties such as Mr Van Gerven are full of things like polarizing and I know what, but he is creating them now. I think we should be a much more friendly society for people who are willing to change their business. After all, they want more business.
ParlaMint-NL_2016-01-14-tweedekamer-9.u82	Mr. Chairman. I would like to thank the Secretary of State for the oral and written answers and the response to the amendments. It is good that today, so soon after the recess, we can continue to deal with this important treaty and really help the people with disabilities in practice. That is also the impatience behind it in the Chamber. It was a disadvantage that we could not continue with the second term immediately after the first deadline, but it has the advantage that Mrs Dik-Faber can be present today. It has so often called for this legislation to be dealt with quickly that it should be pleased to be able to speak today, in the second term. Let me start with the pièce de résistance, I would almost say, but we only use Dutch here, so I say: with the most important remaining part of the discussion. That is the amendment tabled by Mr Otwin van Dijk and others. in piece No. 36. But "c.s." stands for "cum suis." That's not really a good Dutch either. You should say: and others. On the amendment to item No. 2 of the motion for a resolution (Doc. 36 I said in the first instance, and I say again, that we fully support its objective, namely that general accessibility should be the norm. In view of the previous questions and concerns that we had and the reaction of the cabinet, I have to say that the SGP Group cannot support this amendment in this way, not even with the adjustments that have been made. This is something I wanted to have in mind before I made a judgment, but it is very limited. Our main objection is that the amendment does not provide sufficient legal certainty. I think it is very important that everyone knows what they are doing, that companies and public institutions know what to do and that people with disabilities know what they are entitled to. We do not believe that legal certainty is sufficiently guaranteed by this general wording in such a broad area of education, housing, services and labour. I find that legally vulnerable. I also think this is vulnerable to the legislative process, because I also wonder how the Upper House, which is often even more critical on these points than the Lower House, will react to this. Aren't you running the risk that the entire legislation will be considerably delayed? Some explanatory words have been used, but I do not find them in the clear general text that is now in the text. There is a general duty of care for accessibility in all these areas, unless it is a disproportionate burden. With all the objections, you can say that there is an escape of disproportionate taxation, but that is the same thing. You can say it never hurts that way, but what does it offer for extra clarity? In addition to insufficient legal certainty, there is also a vital danger of huge judicial justice; that what is meant will have to be fought in court. I don't like that, especially when you say you support the objective. I began by saying that we are impatient because there is not enough progress. I don't want to leave it at that. I asked the question whether there are any possibilities for agreeing to it, based on this legal text. In my view, these possibilities are indeed there, for example, if you do not make a decision on them. Now you're actually saying that that standard is there, in paragraph 1, and that you can still lay down rules with General Measure of Management, but you can also say that there are rules, based on the idea that paragraph 1 is still too undetermined. It could also indicate what these rules should relate to, for example at the rate, which would gradually revert to the legal text. You can also specify which facilities you can specifically require. Another point is to clarify more clearly what is meant by the exception of the disproportionate tax. If the amendment were to be amended in this way, we would find it much more sympathetic. I'm just waiting for the discussion to see if that movement can be expected. If not, I will try to come up with a sub-amendment to this amendment. That is what I wanted to say on the most important point of discussion in this second term, namely the amendment. In the first period, the Secretary of State gave a positive response to the amendment to item No. 35. That is a technical amendment to an amendment tabled earlier by Mrs Bergkamp and myself in respect of item No. 19. It states that municipalities have an important role to play now that they are responsible for supporting adults and young people with disabilities, a condition or a chronic disease. Supporting work with a disability must be given concrete hands and feet, in conjunction with and in line with the planning obligations already in place. I have already said that this is to be achieved in cooperation with people with disabilities and the organisations representing them. I would like to thank the Secretary of State for the positive assessment of this amendment. We have taken account of the suggestions for technical improvement. We have co-signed a motion by the Christian Union on foreign policy. I see I'm already in injury time, Mr. Chairman. I will therefore refer to it briefly.
ParlaMint-NL_2016-01-14-tweedekamer-9.u83	That's good. Would you like to finish?
ParlaMint-NL_2016-01-14-tweedekamer-9.u84	I will conclude with another, but important, topic, namely the protection of unborn life. If we want to work towards a society in which people with disabilities can participate fully, we must, in the opinion of the SGP Group, also take account of unborn life. The Secretary of State has already said that he sees an obligation to do so in the Treaty. There could also be a positive impetus for information and this aspect could be taken into account in the action plan. At the same time, we continue to have great difficulty with the interpretative statement in Article 10. In fact, it says that we have our legislation from the 1980s, and that is what we are doing. I do not want to open the debate on this, which is not the time and the subject is too comprehensive, but I would like to table a motion. It proposes that further consideration should also be given to this sensitive issue in the light of the legislation before us today. This motion reads as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the UN Conventions on the Rights of the Child and on the Rights of Persons with Disabilities also concern unborn life;]] [[Whereas in other countries such as the United Kingdom, this has led to a further discussion on the practice of abortion on grounds of disability;]] [[calls on the Government to examine whether, in the light of these conventions and their application in other countries, there is a need to adapt policies or regulations on abortion for reasons of disability,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van der Staaij and Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33990-53]]
ParlaMint-NL_2016-01-14-tweedekamer-9.u85	Mr. Chairman. I thank the government for the first-term answers. I would like to ask a number of follow-up questions, but I would like to clarify something before I do that. No matter how many attempts are being made within and outside this Chamber to paint another picture, the VVD is a strong supporter of an inclusive society. It is not for nothing that we consider equal treatment of each individual to be the core values of liberalism and of our party, whether it be people of a particular sex, with a certain sexual orientation or, as in this case, with people with disabilities. We do not therefore disagree on the right of people with disabilities to participate fully in society, but on the way in which this right must be respected. The VVD believes that the cabinet has taken a big step with the law that we are discussing here today. In my first term, therefore, I said that the UN Convention which was sent to the Chamber by the government can count on our agreement. With this treaty and with all kinds of laws in the area of care, education and support, with the Environmental Law, the Building Decree and many other laws, the framework conditions for inclusive society are laid down. However, you cannot regulate everything by law. Society also has a move to make. It is my firm belief that you can do and achieve a great deal if you put your hands together. The VVD pursues no other goal than my colleagues here, but has a different opinion on how you achieve it. The Chamber is not only a auditor, but also a co-legislator. This obliges us to monitor that laws that are going to apply to every Dutchman are proportionate and that they contribute to the goal that we have in mind. The legislation now before us provides a good balance between rights and obligations, the interests of various groups in society and the importance of emancipation and the rights of people with disabilities, all on the road to a society in which everyone can participate. The proposals put forward by my fellow Members in the form of amendments do have sympathetic aims which are worth pursuing, but the VVD is not convinced that this will require legal anchoring. Take the amendment which seeks to require the accessibility of voting rooms. That sounds nice, but dealing with this in such a rigid way means at the same time taking the risk that people who are badly on their feet will have to walk longer to a polling room that is farther away, and that only because it has to meet all the requirements. In such a case, the law misses its purpose. That is why I will not support that amendment.
