ParlaMint-NL_2016-12-15-tweedekamer-8.u1	I would like to welcome the Minister for Social Affairs and Employment.
ParlaMint-NL_2016-12-15-tweedekamer-8.u39	If you lock up behind the dikes a little bit and don't look abroad, I understand this. But Mr De Graaf also knows, or else I will tell him now that the minimum wage applies in Austria, Denmark and Germany from the age of 18. That's no problem at all. If you talk a lot about equal rights, what's equal pay for equal work, whether you're 18, 19, 20 or 21? That makes sense, doesn't it?
ParlaMint-NL_2016-12-15-tweedekamer-8.u40	This is logical, and the outcome will ultimately be the same, but my group believes that you should not do so at once, because then you will bring about a very big change in the economy, which could also cause the same young people to suffer. That's why we like the idea of kicking.
ParlaMint-NL_2016-12-15-tweedekamer-8.u41	Why do you let fear rule you? Our neighbors, Germany, did it on 1 January 2015. 4 million people benefited from this. It had no effect on employment. I think Mr De Graaf is a bit scared because he is not now defending equal rights. The PVV lets young people aged 18 work for half a wage. Yeah, it's possible, but it's not neat.
ParlaMint-NL_2016-12-15-tweedekamer-8.u42	These are Mr Ulenbelt's qualifications. I get it from his side. He fought for it for years. So now we're going along with it. We also think that this is a very good step and Mr Ulenbelt is not happy again! I don't understand. Mr Van Weyenberg also said: Jantje is laughing, Jantje is crying; I do not know which way to look when I hear Mr Ulenbelt talking. Germany is a different economy, although it is partly similar to the Dutch economy. We have dealt with a different cabinet than the people in Germany. There are different circumstances. That is why we believe that this is a good point. Eventually, after Mr Ulenbelt's years of struggle, perhaps we will reach the same point. That'd be great. Well, that's scary, isn't it? Fine. Mr Ulenbelt thinks so. I don't think so. I was almost at the end. Mrs Schouten had already mentioned evaluation. The effects on employment rates by drawing the international definition of unemployment from 12 hours to 1 hour per week must be filtered out if the next step is to be taken and a possible next step is to be discussed. Can the Minister promise that he will ensure that his successor takes this up in an evaluation from the Ministry in this way? In the confidence that the two years between the two steps provide sufficient certainty to ensure that these adjustments are stable, I will advise my group to vote in favour of the proposal.
ParlaMint-NL_2016-12-15-tweedekamer-8.u43	Mr. Chairman. As far as I am concerned, this is a very happy and beautiful day, starting with the young people of Young & United, who, after a beautiful, optimistic and innovative campaign, managed to put something on the agenda in a year, which also brings about real change, after decades of debate. That's good. That is good for them and for all young people who are now going to earn more when they work at 22, have to pay rent and do groceries. They are just as productive and perform just as well but now get less pay. But I also think it is a good signal, as Mrs Schouten quite rightly said, to everyone, in the sense that it makes sense to use yourself, whether in politics, in the trade union movement, in an entrepreneurial club or at your school or university. Joining in and letting you know have some effect. I like that. I also think it's a nice day because it shows that working together in the Chamber pays off. A majority in parliament has clearly said to the cabinet: we want this and if you do not come out ourselves, we will come up with an initiative law. This shows that cooperation can lead to beautiful solutions. I hope that the House's motion, supported by a majority in the Chamber, has also put some extra pressure on the kettle. I also think it is a good day because coalition parties, including in the polder, can overcome differences in exchange, which, as far as I am concerned, made everyone better. For those who had forgotten: besides the increase in youth wages, the problem of seasonal work was also solved. As far as I am concerned, these are both extremely sensible and good measures. It is a good thing that the Minister has arranged this and has directed it in the polder. It is, of course, an extra fine day because, after hearing about her for years, we are allowed to see Mrs Wijker, although I still call her Mrs Ulenbelt, because Mr Ulenbelt always calls her that. I have to give her one bad news, because there is one member of the Ulenbelt household who is mentioned more often, namely Mr Ulenbelt's cleaning robot. Before I gave Mrs Vermeij the idea of taxing this technology in the spirit of Joop den Uyl, I thank her for the fun Joop den Uyl quote. A major and important step is being taken today, but in the Chamber's vote we were asked to do so wisely. This is also a first step as far as D66 is concerned, as I say to Mrs Voortman, although unfortunately she is not here right now, because we believe that your benefits and not your age or seniority should ultimately be decisive for your wages. In that light, I would ask the Minister once again for his attention to the wage curve. As far as I am concerned, performance is still too little at the centre of this as opposed to age and seniority. Does the Minister agree with me? And yes, I am aware that politics is not about the wage curve, but I continue to find that a problem, also because you can still employ three 30-year-olds for the wages of two 55-year-olds. I still firmly believe that many older jobseekers do not help in their often very difficult search for work after they have lost their jobs. This proposal is wisely phased in two steps. As far as I'm concerned, it's clip-and-ready: age goes to 22 and then to 21. That's what the law says. I also noticed the sentence quoted by Mrs Schouten from the explanatory statement. I think that sentence is incorrect. How I read the explanatory statement and what it should have been like as far as I'm concerned is: the age at which you get the minimum wage goes first to 22 and two years later to 21. If there were any unexpected major problems, the cabinet would have to come up with a bill to avoid doing so. That's how I interpreted it. I'm asking the Minister to confirm that here. This is a first step and you can celebrate it. By the way, I saw that the young people of Young & United did the same. With a number of colleagues I even got a nice sash from it once. I do not get it every day and if it is given during a 1 May celebration, you will understand that I had a very special day in the Oosterpark. But all madness: we must, of course, be extremely careful, because the effect on the labour market position and on the education of young people is something that we must carefully monitor. That's what the bill says. In that light, I do have a question about the bl'ers. Mrs Schouten mentioned that as well. The increase in wages for your 18th, 19th and 20th does not apply to people who follow a bl. For them, the wage increase applies to 21- and 22-year-olds. For employers, the low income advantage is to ensure that wage costs do not increase by just over a third of the difference. Two thirds are compensated by employers by the low income advantage. Can the Minister look very explicitly at the effect on the places in the monitoring, including for 21- and 22-year-olds? I support the choice made, which is pragmatic. I do not have a better alternative, but this is one of the points my group was concerned about when this bill was drawn up. I ask the Minister to pay particular attention to this. As far as my group is concerned, age is now going from 22 to 21, and if what I expect is going to happen, namely that it is not so bad, then a next step can be taken. Mr Ulenbelt wanted to cross the road at once, because he thought that was safe, but then I would like to give him another comparison. If you cross a fast flowing river, it is wise to jump from rock to rock and not walk through it in one go. 'Cause you can't make chunks. It must not be the case that the unemployment rate among young people, which is fortunately lower in the Netherlands than in a whole number of other countries but which is still far too high here, is rising or that young people may go to school less. Mr Ulenbelt and I should not think about that. That's why I think this is wise. I have two questions about other parts of the bill. The first question concerns piecework and the introduction of the law. There are companies that want to do this nicely. I am thinking in particular of DHL. This company is a little concerned about the timetable. The law has yet to be passed by the Senate and will enter into force on 1 July. This requires adjustments from them; they work consciously with a piecework and with people employed, and therefore not withzzp'ers. What is the Minister's view of implementation? In my view, there is absolutely good will, but there is some concern about that timetable and how to implement it. Is the Minister aware of this point? Is the Ministry having any discussions about this? And how does the Minister see that? I am not saying this in order to change the date of introduction of the law, but to ensure that parties who are going to comply with the law naturally have sufficient time to do so. Because, yes, some work processes need to be adapted. My second point is the host parents. It seems to me an unintentional effect if this bill fails this group. We are explicating a standard that is in practice unworkable for enforcement. Of course, you weren't allowed to earn below the minimum wage, but that didn't work for inspection in enforcement anyway. There is now an improved system in place. But what if that means that host parents get in big trouble? That is not at all intended. Nor is it a sector where there is a problem. I have the impression that this law is aimed at a specific number of sectors. Is there anything you can do about it? A question precedes that. Is the care of the host family business justified? Or doesn't that concern even apply? Should that concern have any cause for concern, Mrs Vermeij asked for it, too, could it not be considered how we solve it? I think that is an unintentional effect. I'm asking the Minister to fix that. I also wanted to ask questions about the leaflet and newspaper delivery staff, but I have seen the amendment tabled by colleagues Van 't Wout and Heerma. I understand it's legal complex, but I agree with the search. So I have a positive feeling about this and I look forward to the Minister's response. When it comes to hotel cleaning, I have already drawn attention to this with Mr Heerma and Mrs Vermeij, and I would like to add my voice to the questions put by Mrs Voortman. All in all, I think this is a beautiful day. A beautiful day for the involvement of young people. I also think it is a beautiful day because it shows that in politics you can achieve things by working together and compromise. May I also take this opportunity to say a word of thanks to Mrs Vermeij? This is her last debate. I've always worked with her with extraordinary pleasure. We have made agreements with each other, but perhaps I liked the debate as much as we disagreed. At least I enjoyed both.
ParlaMint-NL_2016-12-15-tweedekamer-8.u44	There is something about Mr Van Weyenberg's hearing capacity today. I don't have a cleaning robot. I have a vacuum cleaner robot. That's a whole other thing.
ParlaMint-NL_2016-12-15-tweedekamer-8.u45	You're absolutely right. I'm sorry.
ParlaMint-NL_2016-12-15-tweedekamer-8.u46	And I'm still very happy about it. Mr Van Weyenberg uses the metaphor of crossing the river from stone to stone. We're doing step one now, but when are we going to be across the river when it comes to the minimum wage at 18 years? When's the half-wage with 18 years gone?
ParlaMint-NL_2016-12-15-tweedekamer-8.u47	I think we're laying more than one rock; we're laying two. So we're halfway across the river. We're going to 22 and 21 years. The law is clear about that. That's making a lot of sense. We really do something about the bars between 18 and 20 years old. Those kids are just gonna make more money. Let us not give the impression that nothing changes there. I know that Mr Ulenbelt does not want that either. Then we'll check it out. If it turns out that it does not have very bad effects, then we can take another step, the same starting point as in the previous Chamber motion. I still want to know that it has no counterproductive effect on education. I know that the same applies to Mr Ulenbelt. If it turns out that it's almost problem-free to go to 21, then the time comes for the next step.
ParlaMint-NL_2016-12-15-tweedekamer-8.u48	The chairman of the D66 group always talks about a dot on the horizon. I wonder where the dot lies for Mr Van Weyenberg when crossing his river. Is it a little close? Is it on the horizon? If there are no effects, which I suspect, and if employment attracts, it is a wonderful time to raise wages. The Dutch Bank says the same thing. Is D66 prepared to seriously face the 18 years in the foreseeable future?
ParlaMint-NL_2016-12-15-tweedekamer-8.u49	Yes. I have already said that this is a first step for me. I think that, in the end, the performance should apply. I will weigh this up if it turns out that this can be done without problems and we can do this later in a way that does not have an adverse effect on educational participation. Mr Ulenbelt is not concerned about that, but I am. The Minister too, because that is why he does not want to change the stalls between 15 and 18 at the moment. The starting point is clear: I think you should just earn the wage that goes with the performance. I hope, moreover, that I will find Mr Ulenbelt on my side more broadly in the wage building and not just among young people.
ParlaMint-NL_2016-12-15-tweedekamer-8.u50	Mr. Chairman. We have spoken on this subject several times over the past few years as a Chamber. In my opinion, three subjects have always returned to these debates. The first was Mrs Ulenbelt, whom I would also refer to as Mrs Ulenbelt. The second topic was the consistent actions that Young & United managed to enter into around these debates. The third was the fact that the proposal that lies here now knows many spiritual fathers and mothers; Mrs Schouten also said it. With regard to Mrs Ulenbelt, after Mr Ulenbelt's story, perhaps we should note that patience is a good thing. With regard to Young & United, we can conclude that they have shown a lot of professional lobbying agencies how to effectively lobby. Several compliments have already been given for this. With regard to all the spiritual fathers and mothers of this bill, after Mr Ulenbelt's contribution, we must note that Mrs Ulenbelt, with her patience, must be seen as the spiritual mother of this bill. Internationally, the Netherlands is an exception to the fact that an adult minimum wage does not apply until 23 years of age. In view of the changes in the socio-economic and social position of young people, the government proposes to gradually reduce the age of the adult minimum wage to 21 years. The CDA also sees these changes, but has always been reluctant to reduce the age, because there is also a risk that you will give young people a higher wage for a job that they will then get less easily. Contrary to what Mr Voortman said in her first term, empirical research shows that a higher minimum wage can have a negative impact on young people's employment. It's not so much as a "one-on-one" thing, and that's what the Cabinet also writes very clearly, that you can translate that one-on-one into differences between countries, because the differences between countries are even greater than the way in which the minimum youth wage is handled, but there is a relationship. The CPB notes that there is also a relationship with the incentive for young people to complete or not complete their training. I therefore tend first to think that what has been agreed around the bbl-course is wise. However, I also see that Mr Schouten has asked questions about this because she has doubts about it. I look forward to the Minister's answers to that. I am also curious how it will be viewed in the two years between the first and second steps and how to keep a finger on the wrist. We all know that we have had a debate on whether there are enough bbl-spots for young people. So I'd like to get an explanation about that. I think the cabinet's proposal is sensible. It's wise not to go further, not to 18 years. It is also sensible to do it step by step, because we have always been afraid that too large, rigorous and substantial a step might be taken, because I believe that the motion for a resolution could be accompanied by job losses for young people. My question is how the cabinet that wants to monitor precisely between that first and second step in the coming years and how it is going to keep its finger on the pulse. And what does that line mean? How's that trade-off going? Like most colleagues, I have a number of questions about the piecework. Let me start by saying that I can see the problem. We talked about the hotel cleaning and the abuses in it. It is a good thing that something is happening to put an end to that. However, in a more general sense, I have the question of the enforcement task. Does this really make it easier? Can the Minister explain how that works? How is it going to be easy to maintain that? Is the inspection also involved and has the inspection given advice on whether this enforcement task will be simplified? I agree with the questions put by several colleagues before me, in any case with those of Mrs Vermeij and Mr Van Weyenberg on the host care. Shouldn't something be arranged for that, or in this law, or in the bill surrounding the ovo's in front of the Upper Chamber? I would also like to join the questions that have been asked about DHL. We have talked extensively here about the problems of parcel delivery, but I do not think that the companies that employed people represented the bottom of the market. How can we prevent more companies from working with zzp structures instead of hiring people? After all, that is not the right move. I shall conclude with one final point. I co-signed an amendment by Mr Van 't Wout to deal with the newspaper delivery. We have also discussed this very extensively in the legislative proposal on the ovo's. We really must avoid creating a new problem by solving a problem. I would like the Minister to respond to this amendment and to hear whether this can be a solution in the newspaper delivery.
ParlaMint-NL_2016-12-15-tweedekamer-8.u51	I am extremely pleased that Mr Heerma is now also in the camp to take a step. I thought he was good at his own struggle with that. I am glad that he also concludes that this is a sensible step. My question is about the host parents. If it turns out that there is indeed a problem for me, that is the question, perhaps not, and I hope, of course, that Mr Heerma does not agree with me that it should now, with this law, be amended by the cabinet with a small letter of amendment? He referred to the law surrounding the ovo's in front of the Senate in the First Chamber, but that seems complicated to me. Honestly, I'd like to solve something that comes out of this law, even in this law.
ParlaMint-NL_2016-12-15-tweedekamer-8.u52	I left it open because I tend to think there's a problem. I would like to say to Mr Van Weyenberg: first let us wait and see the Minister's answers and see if there is a problem. I see ways to solve it both ways. I don't want to make any tough demands. Whether there is a problem, it can be left or right: I am satisfied in both cases.
ParlaMint-NL_2016-12-15-tweedekamer-8.u53	Mr. Chairman. With this amendment to the minimum wage law, we are trying to reduce injustice for young people. Today we heard that unemployment in our country has been below 500,000 people for the first time since 2012. This minister was proud of that. He even called it a milestone and he said it offers hope. Today, however, it also emerged that one in four young people with a migrant background is unemployed, while one in ten young people with a non-migrant background are unemployed. So, unfortunately, migrant young people are two and a half times more unemployed than young people with a non-migrant background. Does the Minister think that this is a milestone? Do these figures offer hope? Over the past few years, this minister has received EUR 600 million for his sector plans. But young people with a migrant background are still far from getting a job. They're still too much at home. We must fight injustice in all areas. Today we are talking about the salaries of young people. The position of DENK is clear: adults who work must receive an adult wage as much as possible. Our young people are not cheap labour, our young people are our future and you need to invest in that future. That is not happening at the moment. Too many young adults in our country are now working for a hunger wage, for a low salary that they can barely make ends meet. They are used by employers to keep the costs of their business low; they are cutting back on our young people. A 18-year-old person is more than half cheaper than a 24-year-old person, while he often does exactly the same work and is often equally productive. Too many employers in our country use a "road culture" because of this injustice. If they need help in their business, they quickly hire a cheap youngster. But if this kid's gonna make a little more money, he's gonna get kicked out and kicked out. For this youngster, there is no future in the company. Then just the next cheap kid gets hired. We think this has to stop. We haven't looked back on our young people's salaries for too long. Our young people must be treated more fairly. DENK wants an adult wage for adult employees. Our young people must be paid to work. We therefore want young people to receive 100% of the statutory minimum wage immediately at the age of 21. DENK wants 18-year-olds to receive at least 70% of the statutory minimum wage instead of the proposed 50%. The Netherlands is now one of the worst boys in the class in Europe. Almost nowhere in Europe is the minimum youth wage so low compared to the statutory minimum wage here. The Netherlands is running out of pace internationally. Young people aged 18 receive 45% of the statutory minimum wage in the Netherlands. The Minister wants to adjust this to 50%, but in the rest of Europe they usually receive more than 70%. In Germany and Belgium, they even get 100%. A few kilometers across the border saves hundreds of euros. For example, a young person aged 18 in Belgium will receive €800 more, a young person aged 19 in France €700, a young person aged 20 in Germany almost €500, and a young person aged 21 in Ireland will now receive €400 more. That's a great injustice, isn't it? The Council of Europe has not stopped us for nothing. He calls it unmistakably unfair and unfair. Young people are less easy to live on than before, according to the statistics of the CBS. At the beginning of this century 45% of young people were able to live well, now it is only 25%. Young people are therefore more often financially dependent on others. 15% of MBO students feel they have a financial problem. 37% of MBOs over 18 are in debt. That's why it's time for action. That is why it is time to do something for our young people. Legislation on minimum youth wage has not been amended since 1983. The law didn't go with the time. You cannot compare the young people of the 1980s with the young people of today. Young people are more independent, young people have different needs and more is expected of young people. The Minister's proposal therefore raises an important problem. We believe, however, that the proposal does not go far enough and that it is slow. Young people aged 18 will initially receive only 2%, while their peers across the border still earn many more euros. The subsequent increase of 2.5% depends on the results of a study. That's gonna ring a bell for us. Since the Motivation investigation, we know what research at this minister means: to steer on the desired results. I understand the struggle between the VVD and the PvdA. I understand that this law is the result of negotiation. I understand that the PvdA hasn't been able to make the best of it. I would therefore like to say to the VVD: all those entrepreneurs you claim to stand up for are also fathers and mothers. These fathers and mothers want their children to be treated justly. These fathers and mothers think of more than just their profits. These fathers and mothers want to invest in the future. The Minister's proposal is not going fast enough. Too much injustice remains, there remains an international imbalance, there remains a culture of young people's driving away. We therefore call on the Minister to make this bill much more robust. We have tabled an amendment to give it more teeth. Minister, dare to look at our young people, dare to be just!
ParlaMint-NL_2016-12-15-tweedekamer-8.u54	Mr. Chairman. Mr Van Weyenberg already referred to it. Last week, I myself took a very close look at the budget debate. We agreed on a package in the coalition and with the social partners in April. In it we do some seasonal work. In doing so, we are going to do something about the transition fee. And this bill is also the result of the package. Certainly around this package I have worked intensively with Mrs Vermeij. She said just now that this is her last debate. I hope she'll just be in the Chamber until 15 March. I would like to sincerely thank her for the good and pleasant cooperation. I think we should be proud that, despite all our differences, we have managed to achieve things. If you assess the overall package and the bill on their merits, there is a explanatory package. The bill provides an answer to the question you always have to ask yourself. Everyone gets a higher wage for young people, but they have to have a job for that. That is why it is good to be careful and not to take too rigorous steps. You need to look at how to mitigate any effects on employment. That is what we are doing with the low-income advantage, which is being increased, and with the 100 million that comes on top of it to relieve employers. We are satisfied with this and we feel strengthened in it because employers and unions are involved and say: this is a good point. The bill is not only about the minimum youth wage, but it also regulates a number of issues relating to piecework and extra work.
ParlaMint-NL_2016-12-15-tweedekamer-8.u55	I have a question about being careful because of the effects. It's been almost 33 years since the law has been amended. This is the time to tackle this injustice against young people. With 2% and 2.5% added, a lot of young people are happy, I understand that, but this is the time to tackle this great injustice. Doesn't Mr. Van 't Wout think he's missing a big moment?
ParlaMint-NL_2016-12-15-tweedekamer-8.u56	No, because I mentioned the issue of higher wages and employment. I give a higher wage to every young person, but I give them a job in the first place.
ParlaMint-NL_2016-12-15-tweedekamer-8.u57	We see that young people in Belgium and Germany earn very well. With the fear that employment may cost, a sense of fear is created, so that young people can be deprived of the money. How can Mr Van 't Wout assume that in advance?
ParlaMint-NL_2016-12-15-tweedekamer-8.u58	We're taking a step here. In doing so, we are taking measures to mitigate the effects. Halfway, we're going to see how it works out in practice. Of course, we don't do that for nothing. Mr Öztürk can pretend that wage increases have no effect anywhere, but there is that effect. Look at all the studies that have been done. I think we have found a balanced answer to this issue. There will always be a trade-out more or less. Let us look halfway at how this step has worked out. Mr. Chairman. As I said, besides the minimum wage, there are also a number of other issues here, the piecework and the extra work. This is actually about the principle that you can earn the minimum wage that we have agreed with each other if you just work and if we can check that that actually happens. That supports the VVD. That principle supports the VVD, but we are very alert, because: principles are beautiful, but just as important is how they work out in practice. These measures affect very different types of companies and very different sectors and we want to make sure that everything is going well. My main concern is that Mr Heerma and others have already referred to it as part of the daily and leaflet delivery. People there do their work very independently and actually out of sight of the employer. Sometimes they're okay with doing eight hours on delivering a paper route. No one has a problem with that right now, but this bill would make that incredibly complicated. I just don't think that's the point. That is why we have tabled an amendment. Mr Van Weyenberg said about the amendment that it is not the shortest and simplest amendment. I admit that it is, but it is quite complex matter. Moreover, in such an amendment, you try to do justice to the idea behind the bill and to build in some sort of security around the piecework without making it impossible for people to deliver their leaflets at their own pace. Another care also pronounced before is what DHL has indicated. DHL says: fine, we want to do this, but make no mistake about the effects it all has. These are all kinds of practical matters, which I cannot immediately see. An example is the computer systems that need to be adapted. I ask the Minister to involve the companies affected by the bill in a really good way in the further roll-out and implementation. That also applies to the inspection, because then it is clear to everyone what the inspection is going to look at after 1 July. I would ask the Minister to let us know in the spring how the preparatory process is going. I ask that in order to prevent a small part of the software from operating on 1 August and that therefore a company that is of good will gets into trouble at once. Mr President, I'm accelerating something. For the sake of clarity, I would like to add my voice to the questions that have been asked about the host parents. In my opinion, the problem lies in the fact that in the House of Representatives it has been said that piecework is precisely the solution not to get into trouble with the contract of assignment. Things are threatening to cross over now, and that problem just needs to be solved, because I'm not married to the way we solve it in the bill. I cannot imagine that it is someone's intention to make that kind of childcare complicated or impossible at once.
ParlaMint-NL_2016-12-15-tweedekamer-8.u59	Before I suspend, I would like to ask Mr Öztürk about his amendment. Mr Öztürk, you would table that amendment, but will it indeed be distributed later? I can see you nodding yes, so you still owe us that amendment. I suggest we suspend for 15 minutes.
