ParlaMint-NL_2016-04-26-tweedekamer-30.u1	At the request of a number of Members, I propose that the following motions be renewed: 32849-59; 32849-60; 34300-XIII-37; 34300-XIII-38; 31936-311; 31936-312; 34199-63; 28345-147; 28345-148; 28345-149; 29984-649; 31409-99; 23432-401; 28973-150; 27858-314. I propose to add to the agenda: VAO Shipping, with Mr Jacobi as the first speaker on behalf of the PvdA; the VAO Integration, with Mr Sjoerdsma speaking on behalf of D66 as the first speaker; VSO Drones (31936, nr. 326), with Mr Elias of the VVD as the first speaker; VAO Staff Defence, with the first speaker, Mr Belhaj, on behalf of D66.
ParlaMint-NL_2016-04-26-tweedekamer-30.u141	I am a little hesitant to ask for an early 30-member debate, because those two things do not relate very well to each other here in the Chamber. That will also be up to ourselves, with the amount of 30 Members' debates we are requesting. As far as we are concerned, support for this, but also support for the possibility of asking for this to be discussed in an AO with the Secretary of State for Finance and the Secretary of State for Social Affairs on Thursday, if that were to be decided.
ParlaMint-NL_2016-04-26-tweedekamer-30.u142	It is indeed a big problem that people miss out on a lot of fees. We know how long it takes for debates to be held in plenary. My suggestion is to involve it in the AO that comes very quickly and is about the Tax Administration. That will allow us to address this problem. If that is not satisfactory then we can always continue in plenary.
ParlaMint-NL_2016-04-26-tweedekamer-30.u143	So no support for the time being?
ParlaMint-NL_2016-04-26-tweedekamer-30.u144	My proposal is to involve it in the AA. No support for the time being.
ParlaMint-NL_2016-04-26-tweedekamer-30.u145	As far as we are concerned, it is fine to ask for a letter on this and then to involve it in the next AO; that could be the AO Tax Office.
ParlaMint-NL_2016-04-26-tweedekamer-30.u146	Support for a plenary debate, because the supplement system is simply too complicated. Now a lot of people seem to be getting hurt. I do not think this is appropriate at all for an AO Tax Administration, because that is about the functioning of the Tax Administration and this is about something quite different.
ParlaMint-NL_2016-04-26-tweedekamer-30.u147	I agree with what Mr Groot said. I would like an extensive letter from the cabinet and then we can talk about it the fastest.
ParlaMint-NL_2016-04-26-tweedekamer-30.u148	Mr Bashir, you do have support for a 30-member debate.
ParlaMint-NL_2016-04-26-tweedekamer-30.u149	The advantage of a plenary debate is also that we may be able to reach more people and thus show that they may be entitled to allowances. I would therefore like to maintain my request. Why soon? Because, of course, the Tax Administration also needs time to adapt the systems so that people are told after making the declaration that they are entitled to surcharges. Therefore, it would be nice if we could find a way to discuss this with the Secretary of State before the Tax Plan.
ParlaMint-NL_2016-04-26-tweedekamer-30.u150	I propose that the stenogram of this part of the meeting be transferred to the cabinet. I call Mrs Leijten, on behalf of Mr Van Gerven.
ParlaMint-NL_2016-04-26-tweedekamer-30.u151	Mr. Chairman. In a moment there will be a VAO Medicines Policy. This concerns, among other things, a medicine that will no longer be reimbursed on 1 May, while a new medicine will be more expensive, which will result in huge additional payments. We would like to make a pre-announcement for votes. It is possible that the Minister will take over a motion and the Chamber will agree to it. The vote could then lapse again, but I would like to point out that we do attach great importance to the fact that, if necessary, we can vote on the motion for a resolution on that medicine for ADHDs, preferably on Thursday. It is about a motion that we are about to table, and that is what the time pressure is on.
ParlaMint-NL_2016-04-26-tweedekamer-30.u152	We'll see how we deal with it. I call Mrs Keijzer, on behalf of the CDA.
ParlaMint-NL_2016-04-26-tweedekamer-30.u153	Mr. Chairman. The Lelie care group stops nursing in Zwolle and Amersfoort, because the rates paid for this are simply no longer sufficient. This is not only a major problem for people's freedom of choice, but, as far as I am concerned, is the beginning of a discussion that we have already had in domestic care, namely about bankruptcy due to too low rates, and which is now apparently gradually moving to community care.
ParlaMint-NL_2016-04-26-tweedekamer-30.u154	And you want a debate?
ParlaMint-NL_2016-04-26-tweedekamer-30.u155	How did you guess, Mr. Chairman?
ParlaMint-NL_2016-04-26-tweedekamer-30.u156	Yeah, I can't believe it.
ParlaMint-NL_2016-04-26-tweedekamer-30.u157	I would very much like to have a debate on this with the U.S. Secretary of State.
ParlaMint-NL_2016-04-26-tweedekamer-30.u158	Support.
ParlaMint-NL_2016-04-26-tweedekamer-30.u159	Congratulations on your support. We have enshrined identity-related care in all laws. We can see that this is already complicated in the big cities, let alone in some smaller municipalities. So I wholeheartedly support the debate, and I would also like a letter from the Secretary of State, in which he addresses the areas of concern, because I am getting reports that this concerns not only regular home care but also terminal care. That would, of course, be completely horrible. It is both bad, but the terminal care is very dear to us all. I would like to make that clear.
ParlaMint-NL_2016-04-26-tweedekamer-30.u160	Support for the debate and the letter requested, because the SGP is also concerned about the disruption of the supply of care.
ParlaMint-NL_2016-04-26-tweedekamer-30.u161	Of D66 no support for the debate but for a letter.
ParlaMint-NL_2016-04-26-tweedekamer-30.u162	I support the request for a debate, but I would like to inform Mrs Keijzer that we have already planned a general consultation on community care, which will take place much earlier than this debate. Maybe that'll help us all a little bit.
ParlaMint-NL_2016-04-26-tweedekamer-30.u163	Support for a letter; not for a debate. A general consultation seems to me to be the quickest way to talk about this.
ParlaMint-NL_2016-04-26-tweedekamer-30.u164	GroenLinks joins Mrs Leijten.
ParlaMint-NL_2016-04-26-tweedekamer-30.u165	Support for a letter; no support for a debate.
ParlaMint-NL_2016-04-26-tweedekamer-30.u166	Mrs Keijzer, you have no majority in favour of holding a debate.
ParlaMint-NL_2016-04-26-tweedekamer-30.u167	No, it is not, Mr President; it is for a 30-member debate. I would like that to be included on the list in case there is not enough room in the AA to talk about whether there will be insufficient answers, which could also be the case. Then we have another moment to discuss this.
ParlaMint-NL_2016-04-26-tweedekamer-30.u168	I propose that the stenogram of this part of the meeting be transferred to the cabinet. I call Mr Omtzigt of the CDA.
ParlaMint-NL_2016-04-26-tweedekamer-30.u169	Mr. Chairman. I have just asked a number of questions in Question Time about yesterday's broadcast of Nieuwsuur which showed that the Tax Administration has not promised absolute secrecy to a tipper and that it has not fairly informed the court in Arnhem-Leeuwarden and the Supreme Court. In almost every question, the Secretary of State referred to a letter that had yet to come. So he didn't really give any answers. I get that, too, because it's a pretty tough case. That is why I propose that this Chamber hold a written round of questions through the Finance Committee, in which it can formulate a very precise number of questions...
ParlaMint-NL_2016-04-26-tweedekamer-30.u170	Yeah, we'll have to do that through the committee.
ParlaMint-NL_2016-04-26-tweedekamer-30.u171	Well, as preparation, or else I'm not allowed to stand here, I know, I...
ParlaMint-NL_2016-04-26-tweedekamer-30.u172	No, but...
ParlaMint-NL_2016-04-26-tweedekamer-30.u173	... at a plenary debate on this important matter. I hope to be able to get a majority for that, because it would be serious if the Tax Administration did not indeed tell the full truth to the judge.
ParlaMint-NL_2016-04-26-tweedekamer-30.u174	Indeed, the Nieuwsuur broadcast raised a lot of questions and that has not been reduced by my group after Question Time, so I wholeheartedly support a debate. It is indeed a good idea to have a further round of questions before that, in addition to the commitments already made by the Minister in Question Time to Mr Omtzigt and myself.
ParlaMint-NL_2016-04-26-tweedekamer-30.u175	Also support from the PVV. If the taxpayer isn't telling the truth to the Tax Office, he's gonna get a big fine. The Tax Administration does not do so itself, and that is why I support the request. I do indeed have a number of supplementary questions.
ParlaMint-NL_2016-04-26-tweedekamer-30.u176	Support for the written round of questions and also for the debate. It can't be that the tax authorities transmit false information to the state's attorney's office.
ParlaMint-NL_2016-04-26-tweedekamer-30.u177	Also support from GroenLinks.
ParlaMint-NL_2016-04-26-tweedekamer-30.u178	Full support for a written round of questions. We've just had an advance on the debate. I propose that the decision to hold a debate on it should be taken only after that written round. We need to prevent Parliament debates and court cases from getting mixed up, so that requires careful preparation. So full support for a written round of questions. Let us then decide whether a debate makes sense.
ParlaMint-NL_2016-04-26-tweedekamer-30.u179	Support for a letter and a written round. It's a complex file. I think that's what needs to be done with that letter from the Secretary of State. I think it is right that when we have the letter, we should determine exactly how we proceed with it, also in the light of all the legal procedures.
ParlaMint-NL_2016-04-26-tweedekamer-30.u180	Support for a careful debate.
ParlaMint-NL_2016-04-26-tweedekamer-30.u181	Mr Omtzigt, there is no majority in favour of holding a debate.
ParlaMint-NL_2016-04-26-tweedekamer-30.u182	I very much regret that, especially because there are no legal procedures at all at present. It's been to the Supreme Court. If this is seriously asked whether the truth has been spoken in court, then I really don't understand where the coalition parties are getting the guts to say that we don't have to talk about it. I put my request in a request for a 30-member debate. Following the answer to these questions, I will come back here and ask for a plenary debate with the Secretary of State for Finance and possibly also with the Minister for Security and Justice. This affects the rule of law. I'm a little disappointed in some of my colleagues.
ParlaMint-NL_2016-04-26-tweedekamer-30.u183	I propose that the stenogram of this part of the meeting be transferred to the cabinet. I give the floor to Mr De Graaf on behalf of the PVV.
ParlaMint-NL_2016-04-26-tweedekamer-30.u184	Mr. Chairman. Last Saturday we read in De Telegraaf that 16 TV's were stolen in the azc in Alphen aan den Rijn, but we also read that the wet rooms are too dirty to clean. The warden says, "That's right, only we should've known sooner." There was a denial at the Judicial Institution Office, which was subsequently cleared by Secretary of State Dijkhoff. Mr President, I am almost done with the factual background to the request for debate.
ParlaMint-NL_2016-04-26-tweedekamer-30.u185	Yeah, I hear it.
ParlaMint-NL_2016-04-26-tweedekamer-30.u186	There have already been 51 incidents involving the need for police. There's drug trafficking, a suspicion of recruitment, and so on. Why don't you go talk to a white-goed farmer, because he's only getting his sales out of azc's these days? We also read in Trouw that all asylum seekers have a snippet to repair their children's bikes, especially stealing things.
ParlaMint-NL_2016-04-26-tweedekamer-30.u187	You've already said everything.
ParlaMint-NL_2016-04-26-tweedekamer-30.u188	Since this lawlessness reigns and this list of incidents at least suggests that it does not only take place in one azc, but in far more than the stories you hear from the country, I would like to request a debate on this with Secretary of State Dijkhoff. This lawlessness must be denounced, it must be brought to an end and those azc's must be closed.
ParlaMint-NL_2016-04-26-tweedekamer-30.u189	We have just concluded that we are going to have a rather extensive debate on the DJI and perhaps this issue can be taken into account.
ParlaMint-NL_2016-04-26-tweedekamer-30.u190	So no support?
ParlaMint-NL_2016-04-26-tweedekamer-30.u191	No, Mr. Chairman.
ParlaMint-NL_2016-04-26-tweedekamer-30.u192	No support either. I do find it interesting to receive a letter containing some clarification from the cabinet.
ParlaMint-NL_2016-04-26-tweedekamer-30.u193	I think Mrs Van Toorenburg is making a good proposal. I also agree with a letter, but not in a separate debate.
ParlaMint-NL_2016-04-26-tweedekamer-30.u194	On that last point, I really do not agree with both colleagues. I think the debate on asylum influx should be conducted. I do not support the PVV's request, not even because I make out from the media that the DJI does not recognize this image at all. I would, however, need a letter, in which the cabinet sets out this point, so I agree with Mr Van Oosten's request.
ParlaMint-NL_2016-04-26-tweedekamer-30.u195	We'll have another asylum debate right after the recess. I support the request for a letter and clarification from the cabinet. We certainly need to take these signals seriously, and we definitely need to ask the cabinet for a response. Perhaps the letter for the AO on asylum shelter, which we have just after the recess. I do not support the request for a debate.
ParlaMint-NL_2016-04-26-tweedekamer-30.u196	A letter seems fine to me, and anyone who wants it can involve them in the AA on asylum policy.
ParlaMint-NL_2016-04-26-tweedekamer-30.u197	Fine. I also agree with what Mrs Van Toorenburg has said.
ParlaMint-NL_2016-04-26-tweedekamer-30.u198	Mr De Graaf, you have no majority in favour of holding a debate.
ParlaMint-NL_2016-04-26-tweedekamer-30.u199	In any case, I have heard that it is advisable to add this point to the other debate. I'd like to go into that. I would like the letter well in advance and I would also like a short written round in advance.
ParlaMint-NL_2016-04-26-tweedekamer-30.u200	We can do that through the committee.
ParlaMint-NL_2016-04-26-tweedekamer-30.u201	Well, I'll take care of it that way, Mr. Chairman.
ParlaMint-NL_2016-04-26-tweedekamer-30.u202	I propose that the stenogram of this part of the meeting be transferred to the cabinet. Finally, I give the floor to Mrs Koşer Kaya, who speaks on behalf of D66.
ParlaMint-NL_2016-04-26-tweedekamer-30.u203	Mr. Chairman. Marks and labels: consumers now understand very little about them. Today's Volkskrant contains an article on this subject. Dietists, food experts and the Consumers' Union all point out that we need to get rid of that at some point. I would also like to request a debate on this on behalf of Mrs Sjoera Dikkers of the PvdA.
ParlaMint-NL_2016-04-26-tweedekamer-30.u204	The VVD does not support this request. I believe that on Thursday we have a procedural meeting of the Permanent Chambers Committee on Economic Affairs, in which Mrs Koşer Kaya announces a special procedure or a discussion. I believe that there are a number of debates going on, not only at EZ, but also at VWS, in which this is discussed. So no support for a debate, because we can discuss this much earlier in a different way.
ParlaMint-NL_2016-04-26-tweedekamer-30.u205	Mr Geurts has informed me that a debate on the WRR report on food is about to take place. Perhaps it could be involved.
ParlaMint-NL_2016-04-26-tweedekamer-30.u206	I agree with the latter.
ParlaMint-NL_2016-04-26-tweedekamer-30.u207	Support.
ParlaMint-NL_2016-04-26-tweedekamer-30.u208	Unfortunately, from the whole WRR report on food policy, the government has taken on only three points on which it wishes to make a contribution. One of these points concerns the labels. So let us address this issue in that debate. I therefore do not support the request for a separate debate.
ParlaMint-NL_2016-04-26-tweedekamer-30.u209	You have no majority in favour of your request, Mrs Koşer Kaya.
ParlaMint-NL_2016-04-26-tweedekamer-30.u210	The debate on the WRR report is still not on. However, this is a recurring point every week. However, I can also count and see that there is no support for a debate on this at the moment. I will put this on the agenda again on Thursday, together with another point on the labels that I would also like to raise.
ParlaMint-NL_2016-04-26-tweedekamer-30.u211	You didn't ask for a letter, so I won't have to pass through this section of the stenogram. Then we have come to the end of the arrangement of work.
