ParlaMint-NL_2016-06-15-tweedekamer-10.u1	I welcome the Minister of Security and Justice. I call Mr Pechtold on behalf of D66.
ParlaMint-NL_2016-06-15-tweedekamer-10.u53	Apart from resources, I also make a calculation myself. We're talking about an organization in which around 60,000 agents work. We are talking about an organisation with around EUR 5 billion. We are talking about an organisation in which extra investment has also been made in recent times. If I add that to my own view of this whole issue, I will not let that happen at all. I hear questions from the Minister. Well, I'll wait for the answers.
ParlaMint-NL_2016-06-15-tweedekamer-10.u54	The opposition is asking questions about numbers we can check and the answer we get is about numbers we can't control. It's a newspaper report on possible investments next year. Apart from the fact that it is not an answer to the question we are asking, because it is about the budget for this year, my simple question is: is that newspaper report correct or not? If it isn't true then we need to wipe it off the table now and we can't talk about it anymore and if it is true then we need to know the figures, then we need to know much more. Then we must know as much as you know, Mr Van Oosten.
ParlaMint-NL_2016-06-15-tweedekamer-10.u55	I'm referring to newspaper articles, so I know as much as you know. You know that newspaper article, too. I'm glad I read that newspaper article. Why? Because in that I taste and recognize the intentions of many around me, within my own group, who are therefore fully committed to that security. Yeah, that's right.
ParlaMint-NL_2016-06-15-tweedekamer-10.u56	I find this very problematic. We are talking about figures that we can calculate. We have been to the organizations and we have spoken to the top people. They say, these are the holes, these are the numbers, we have to send people away. We can check that out. Mr Van Oosten does not want it. He turns around and says, "Well, I don't know, I have my own calculations." Then we need to see those calculations. He shields with figures we can't say anything about, which we officially know nothing about and which we only know on Prince's Day. That's not a defense. That's not a decent debate.
ParlaMint-NL_2016-06-15-tweedekamer-10.u57	I do not need to go along with Mr Segers' rules for a debate. He asks me a question; I answer him. But it is always circulating the question of what effort is being made for safety in this country. That's what it's all about in the end. We share that. If we then zoom in completely on the police, then it is important that this police care stays in order. That's what I want. When I see that there is a lot of money going to the police organisation and look at the absence of illness, I think: gee, that police organisation might also be able to contribute to that. That's why I mentioned the issue of absenteeism. When I see the additional investments that have been made, I agree with Mr Segers' question to the Minister as to exactly what is happening. But I won't let that happen. That's what this is all about, isn't it? I am not gonna let it happen that police care is being stripped of, and I hope neither is Mr Segers. We're not gonna let that happen, are we?
ParlaMint-NL_2016-06-15-tweedekamer-10.u58	This is almost a point of order: we must have the same figures as we are debating here. Whether Mr Van Oosten has more information and displays figures for next year. Then we must have them all. Or he doesn't have them. Then we are going to leave it out of the equation and we are going to talk about the figures for this year, which the top people say are going to be: holes are falling, things are no longer going to be this way, we must send people away and, more importantly, we have been counting on the promises made by the cabinet this autumn and which it has not complied with. That should concern the VVD Group.
ParlaMint-NL_2016-06-15-tweedekamer-10.u59	I would just like to look at the question put to me by Mr Segers. Without repeating too much; I refer to a newspaper article. Mr Segers knows that too. When he talks about the figures as projected in the spring note, he knows them. I know him, too. Mr Segers says that as a result there is not enough money for the police. I say to that: I will not let it happen that there is not enough money for the police. Maybe that's where we're different.
ParlaMint-NL_2016-06-15-tweedekamer-10.u60	First, I would like to make a comment about absenteeism. The same applies; I hope that Mr Van Oosten will check with the police. Now he's saying something like, "The police have to do something about that absenteeism." But if he makes the same visits as me and talks, then he knows that the cause of that absenteeism is the overstress of many policemen: PTSS (posttraumatic stress disorder), the greater pressure, more violence, a lot of overtime... Now Mr Van Oosten nods yes, but he just said: it's the police. That little ball to the police organization just doesn't bounce. I'll come back to the chief of police who indicated that there's 300 million too little. I am going to ask one question, and that is an attempt to make something concrete. Today, it says in the paper that there's an extra deficit in the Justice Department. Those are figures, I say quite honestly, which are not surprising at all, because the services have been saying that there is a problem if there is no solution. Does Mr Van Oosten think that it is acceptable, if these figures are correct, that there should be a reduction in police, NFI and counter-terrorism again?
ParlaMint-NL_2016-06-15-tweedekamer-10.u61	You're talking about that article in De Telegraaf about the 53 million or what was it?
ParlaMint-NL_2016-06-15-tweedekamer-10.u62	I'm talking about that article in De Telegraaf this morning, yes.
ParlaMint-NL_2016-06-15-tweedekamer-10.u63	I would actually like to make a very different comment on that question, in response to that question. I think you should eventually grow into a system where you don't let the ministry that's watching over our security depend on the proceeds of fines. Last year I argued in favour of this in the budgetary procedure. I'd really like you to shape that whole system in a different way, but I didn't arrange that today.
ParlaMint-NL_2016-06-15-tweedekamer-10.u64	I'm incredibly pro-growing. The more we grow into a better system, the better, but that was not my question. My question was this. This morning there was a figure in the newspaper that was not a surprise in itself but very serious. And I do not want to "growing up"; I want to know if Mr Van Oosten thinks it is justified to cut back on those services in 2016, which is now threatening to happen again. He can say: yes, I think that is justified. Then we'll leave it that way. Or he could say, "No, I don't think it's justified." Then we, not you as the Minister's squire, but together as the Chamber, are trying to call on the Minister to close that hole this year, because security concerns us all.
ParlaMint-NL_2016-06-15-tweedekamer-10.u65	That security concerns all of us, I can give you a hand in that, Mr Buma, because that is what I think. Whether that should have the effect that the EUR 53 million has to be processed... It will have to be, because that hole seems to be there when I understand that article. By the way, if I may make a suggestion: I have a solution. I have a solution for that amount. If you call on your group in the First Chamber to vote in favour of the law against which you have been against in the Second Chamber, you will be given a second chance to charge the criminal proceedings costs to those who have caused them, then you will create around the same amount. I believe 47 million euros or something. Why don't you? Then you'll help me out.
ParlaMint-NL_2016-06-15-tweedekamer-10.u66	Oh, it's good. Mr Van Oosten now refers to the First Chamber because we have rejected a proposal which he himself knows will never come and it is simply impossible. We really don't do that. The fact is that, apart from that, that money was already covered and so it is regularly a new problem has arisen. Mr Van Oosten accepts that an additional 53 million will probably be cut this year on the police. That's the conclusion of his input.
ParlaMint-NL_2016-06-15-tweedekamer-10.u67	Mr Buma has, in part, the solution if that should be the conclusion. He thus deprives the taxpayer of the opportunity to recover a little bit of that money, with which convicted criminals have put society at a cost. I don't think it's wrong to do that at all. That challenge lies with Mr Buma's party and not mine.
ParlaMint-NL_2016-06-15-tweedekamer-10.u68	I believe that Mr Van Oosten is completely neglecting his control role as a representative of the people. He asks questions to the minister in the name of: Minister, are the police okay? Then the Minister will say: yes, the police are fine. And then Mr Van Oosten says: fine, then we can go home, because the Minister himself said that things were going well. The figures from De Telegraaf do not recognise Mr Van Oosten, because he is posting a 'you-bowl' in the direction of Mr Buma. About the layoffs, he says there's really nothing going on, because he doesn't have any figures to show that. How is this possible?
ParlaMint-NL_2016-06-15-tweedekamer-10.u69	I don't want to repeat too much, but I have to because you're asking the same question again. I'm just not gonna let that happen. That's the bottom line. The VVD doesn't let it happen that the police are failing in quality. We're not gonna let that happen, are we? That's what this is about. That's what I try to say here every time.
ParlaMint-NL_2016-06-15-tweedekamer-10.u70	Then do something about it, as I say to Mr Van Oosten. The police are 2,000 fte down on it. We all know that; independent reports show that. Let me give Mr Van Oosten a hand. I have answers to parliamentary questions here in the 2015 Accountability debate. The answer to question 81 shows that 100 FTE goes off at the Public Prosecutor's Office in a short period of two years. The answer to question 82 shows that people have to leave the NFI. The Minister confirmed that this afternoon, and Mr Van Oosten was there. The budget of the NFI is declining; more than 10% of the budget is falling. Mr Van Oosten says: I do not know these figures. And: I'll ask the Minister how he's doing, won't I? I am confronting Mr Van Oosten with the figures. I can't imagine that he didn't read the documents, so he knows that people are going out, whether they're being forced to leave, or they're leaving because of work-to-work policies or course of course. Those people are getting out, and Mr Van Oosten knows that very well, but he simply denies it here. I find that really incomprehensible.
ParlaMint-NL_2016-06-15-tweedekamer-10.u71	I only want to serve one purpose here. I'm trying to contribute my stone to the full commitment that should be focused on that safety. You may think that is a platitude, a repetition, but that is how it is. That means you need a police organization that needs to be in order. So that doesn't mean you're gonna have to pick the cops off the street. I certainly don't want to do that either. That means you have a D.A. that needs to be in order and streamlined and works with the police. That means you have to have high-quality judges, which means you have to have prisons. That's what I fight for every day.
ParlaMint-NL_2016-06-15-tweedekamer-10.u72	Lots of words, no deeds. This is really no different from the word 'ostrich policy': the head in the sand for the consequences of the VVD's cuts on security.
ParlaMint-NL_2016-06-15-tweedekamer-10.u73	I stand here as group chairman with many colleagues, because we think this is important, against a, at least I hope, seasoned judicial and police spokesperson of the VVD, who does not know the numbers. He refers to the minister over and over again. Let me give it a try, because it's such a ball-ball thing and before you know it, that whole budget string tape is. Let me zoom in on the fines. In the spring note we see a setback in the fines. Does the VVD exclude that this minister will increase the fines in the next six months or that more fines will be issued to close these gaps in the budget?
ParlaMint-NL_2016-06-15-tweedekamer-10.u74	I would not like the fines to be increased further. I have just made a very concrete proposal, for which I have already asked for attention during the last budget debate. That's what I'm gonna keep doing. I think you should get rid of that whole system. I think you should go to a system where the proceeds of fines from another ministry countries, just in the state treasury, so that you can have a discussion at the Ministry of V and J about the justice of the fine. You have to ask yourself whether you want to impose a fine and so on, without making a ministry that has to guarantee security and the rule of law dependent on its proceeds. Doesn't that make anyone happy? Well, that's what it turns out now.
ParlaMint-NL_2016-06-15-tweedekamer-10.u75	Six years the VVD delivers the Prime Minister. For six years, the VVD provides the Minister of Security and Justice. Now I hear from my question: yes, I would like a new system of fines in the future. You've had time for that! I am now asking a very specific question. There's a deficit of about 40 million in fines. Does the VVD exclude that in the next six months the fines will be increased or that additional fines will have to be issued to close the holes of Security and Justice?
ParlaMint-NL_2016-06-15-tweedekamer-10.u76	I have little ambition to raise fines, if you ask me so specifically. Should there be more fines? Fines must be written out when people don't follow the rules. Yeah, I can't be clearer. Mr President, if I may, I would like to move slowly but surely on to the rest of my contribution.
ParlaMint-NL_2016-06-15-tweedekamer-10.u77	I understand you want to leave, yes! No, I want an answer to my question. There's a 40 million deficit on the fines. 14 million is covered by the pencils and pens fund, and the Minister is going to take the old bottles to the glass bowl again, and that might yield some deposit money. That leaves 26 million. Is that money from increasing fines, yes or no? Or is that, as happened at the beginning of this year, from increasing the administrative deficit by €2 and increasing the fines by 1% anyway? Or do we get the coupon quotas back? I can't ask you any clearer than this. Yes or no?
ParlaMint-NL_2016-06-15-tweedekamer-10.u78	I give you my full ambition not to go there, but I also say to you, Mr Pechtold, and also to Mr Buma, that you also have a key on this point. They are the same amounts every now and then. You have chosen to say in this Chamber, for reasons of principle, state law, or I know what else: no, I do not really think it is important to let those criminals themselves pay for the criminal proceedings. That is actually exactly the same as the example you give yourself of the administrative burden you get at the CJIB. Well, why don't you put that down to the criminals? Then we'll solve the financial problem you're sketching out right away, because I'll share it with you.
ParlaMint-NL_2016-06-15-tweedekamer-10.u79	Then in this country we're going to sign the cyclist and the one who crosses. You pay €170 fine if you forget to pull up on the green light. Yeah, you'll pay for that, Mr. Chairman. You just pay €27 and then still €9 administration costs far above the cost price if you drive 2, 3 kilometers per hour too fast. That's all that VVD campaign point. I'm gonna try it for the fourth time. There are people listening who think: yes, I've been flashed on that A2 so many times; the VVD allows you to drive faster, but then you get that fine again. Will the deficits in V and J à raison of 26 million be covered by higher fines or more fines? Yes or no?
ParlaMint-NL_2016-06-15-tweedekamer-10.u80	First of all, I have some difficulty with the fact that Mr Pechtold's question actually makes the following conclusion: well, you know what, 130 kilometers per hour is the speed you are allowed to drive and if you drive a little faster, too bad, then you pay a fine.
ParlaMint-NL_2016-06-15-tweedekamer-10.u81	That wasn't the question, was it?
ParlaMint-NL_2016-06-15-tweedekamer-10.u82	No, but you are also leading your question for quite some time, and I am doing the same with my answer. What I want to say, and I am doing that no different than I have just done, is that I have no ambition whatsoever to increase those fines. No ambition at all! But you also have a key, because there is a problem. That hole is right there. You determined that with me. If you were to help in the First Chamber to do what we have done for fines for many years, namely that piece of administrative tax, also with criminals. People who simply deliberately violate the penal law in this country are there, aren't we? Then we made it.
ParlaMint-NL_2016-06-15-tweedekamer-10.u83	You may make one last attempt, Mr. Pechtold.
ParlaMint-NL_2016-06-15-tweedekamer-10.u84	Last try: yes or no?
ParlaMint-NL_2016-06-15-tweedekamer-10.u85	You do it with the answer I just gave you, because you can help solve the problem yourself.
ParlaMint-NL_2016-06-15-tweedekamer-10.u86	The VVD does not exclude that in the next six months the fines in this country will rise or coupon quotas will return to cover the problems with V and J.
ParlaMint-NL_2016-06-15-tweedekamer-10.u87	I suggest you continue, Mr Van Oosten.
ParlaMint-NL_2016-06-15-tweedekamer-10.u88	Yes, Mr President, because I think I have said enough on this point. If Mr Pechtold wishes to conduct the discussion along that road, it is up to Mr Pechtold. But I do have another comment in the direction of Mr Pechtold. That's my contribution; I'm trying to make a little bridge there.
ParlaMint-NL_2016-06-15-tweedekamer-10.u89	That's what you're using Mr. Pechtold for?
ParlaMint-NL_2016-06-15-tweedekamer-10.u90	The debate is called "investment in the security chain." We've been talking about investments all along, but when you're talking about the security chain, you can't do it with investments alone. It is also about creating powers. Then I also have other, very serious concerns. We must give our police and our Public Prosecutor the powers to do their job properly. These powers are about cybercrime, the crime of the future. There is a proposal on the shelf that should be adopted in this Chamber in order to infiltrate the darknet of the Internet. Those are really nasty pits, where weapons are traded, where drugs are traded and where children may be traded. And what do I see when I take up the report, with the questions that have been asked so far by MPs from D66 and by the way also from the SP? That people are concerned about privacy and whether fundamental rights are sufficiently guaranteed. I have only one answer to that: as far as the VVD is concerned, this is not at all the case with criminals of this kind. We need to create powers for our organisations, that is police and the Public Prosecutor's Office, in order to deal with this. I'm closing up. There is no such thing as 100% safety. So let us stop awakening the illusion that this can be done, as if we could guarantee security if there is enough money. We are doing what we can with the resources and powers we have at our disposal. I call on all colleagues to work together. Please, let us move together instead of standing up against each other and suggesting that security for this coalition, for the VVD and, I hope, for the PvdA, would not be of the utmost importance.
ParlaMint-NL_2016-06-15-tweedekamer-10.u91	I have one question. Something must be done about the powers of the police on the Internet, but I hope that the VVD does not say: leave fundamental rights and the rule of law, because these powers must come at all costs. I believe that the VVD also believes that this should be done within the limits of the rule of law.
ParlaMint-NL_2016-06-15-tweedekamer-10.u92	The borders of the rule of law are constantly guarding the VVD. There is no other way, as these are confirmed in our Constitution. However, I also hear the appeal of the Public Prosecutor's Office, even today in a press release: please Lower House and Upper House, make sure that we get that power, make sure that we can infiltrate those criminals who may still be out there, but will soon be on the Internet, on the digital web. Let us ensure that they are given those powers and that we can actually take up the creeps who are involved in this.
ParlaMint-NL_2016-06-15-tweedekamer-10.u93	Mr. Chairman. The justice chain is cracking. That has been clear for a number of years. Reductions and reorganisations require a lot of the organisations in the Justice Department. These concerns have been explicitly addressed in the examination of the 2016 budget. At that time, the Chamber, including my group, adopted three motions for resolutions. These motions laid down conditions for the 2016 budget. They had to be solved by the spring note. Firstly, the police must be given sufficient resources, as stated in the amended Kooiman c.s motion. (34300-VI, No. 69). Secondly, sufficient resources must be made available to the public prosecutor in view of the new tasks for this organisation. It's in the Pechtold c.s. motion. (34300-VI, No. Thirdly, there must be sufficient resources to keep six courts fully open, according to the Oskam c.s motion. (34300-VI, No. 34). What happened next? I'll start with the police. In the spring note, 188 million go to the police. This can cover the collective agreement. In addition, it can cover the costs of higher asylum entry and the short-term impact on staff and ICT. That should be enough for 2016. But if that's unexpectedly not enough, then what? Is there a buffer? Is there a structural solution to the problems the police have to deal with? That's a rhetorical question, because my answer is no. But the spring note is not for structural adjustments, but for occasional adjustment if necessary. That's what happened. The six dishes are also open and remain open in 2016. There is therefore no need for adaptation in 2016. I would also point out that this does not remove the structural problems of housing and the financing of justice. The same applies to the Public Prosecutor's Office, but more on this later. Still, I'm stuck with questions about 2016. What about earlier announcements by some judges, prosecutors and police officers that things are not going well in 2016 and that people should now be out who may need to be re-assigned later? By the way, I do not know any official sources for this, but I do hear this, because I also go to work. What about today's message from De Telegraaf that the extra money is almost gone again, because the police have to cope with penalties? How was the Chamber informed about this? RTL today managed to produce a list of the Ministry with a deficit per chain partner for 2016. How are we supposed to explain that? Now I come to the structural solutions. As has already been said, it is right that the cabinet should not come up with this now. However, I do expect these to be presented on Prince's Day. Because it's necessary. The Public Prosecutor's Office rightly complains that it cannot continue to regulate the case with incidental funding, that tagged funds are in the way of business operations and that additional setbacks cannot be borne. The prosecution is also right to point out that a chain is as strong as the weakest link. Investment in the police has a direct impact on the workload of the D.A. That has to be taken into account. What's the status of putting the criminal justice chain in order? Then I'll get to the fines. If you raise the speed limit...
ParlaMint-NL_2016-06-15-tweedekamer-10.u94	We will soon be able to deal with the fines with the Minister. I think the general picture of this ministry is more important. In 2012 Recourt spokesperson on behalf of the PvdA said that he was worried and that things had to be different. Today, four years later, the same spokesperson says that he cannot fully assess whether what the opposition indicates is true. When this budget was adopted, the PvdA also said that there was a problem. Now that all these motions have been adopted here and on the other side, in the First Chamber, I ask Mr Recourt whether the PvdA believes that these motions should also be carried out. Those motions were about the Spring Note.
ParlaMint-NL_2016-06-15-tweedekamer-10.u95	Across the street, across the street. The motions that have been passed here, I have in front of me. I've looked at them and I think they've been executed. I agree with Mr Pechtold that this has not solved the problem in a structural manner, but these motions have been carried out on an occasional basis. Mr Pechtold's motion states: "The government requests that sufficient resources be made available in the 2016 Spring Note to ensure these additional tasks and to inform the Chamber separately'. That motion is about the state's attorney's office. The Public Prosecutor's Office has received three, four different jars, labeled for work associated with them, including for the Hoekstra Committee. The Public Prosecutor's Office then says: 'Thank you for getting that, but this is not a good way to organise things; we need structural funding for that.' Mr Pechtold's motion for a resolution has not been accepted.
ParlaMint-NL_2016-06-15-tweedekamer-10.u96	It's not true. This year, the Public Prosecutor's Office has a deficit of 15 million, supplemented by own funds, a 2 million hole in investment that should be part of the budget this year. Then I zoom in on one part of the problem. The counter's at 17 million. Mr Beuving, senator of the PvdA, even said in the Senate that the motions should be carried out here; motions that are very clear. Mr Recourt is challenging me to go into one section, namely the Public Prosecutor's Office, and I am already shooting a 17 million hole in his story. What's his reaction?
ParlaMint-NL_2016-06-15-tweedekamer-10.u97	Ms Beuving, PvdA senator in the First Chamber, will debate with the Minister in the First Chamber. It's not about our motions. The Public Prosecutor's Office has hired De Galan Group for the Galan II investigation report. That's critical. Then another research hit was done by De Jong. It has been concluded that the quality offered can be achieved, provided that the extra funds from 2020 are pumped back into the years 2016 and beyond. If external validation says so and if the public prosecutor himself also says that the water is up to his neck and that structural funding is needed, then you have to take it seriously. But they don't say: we're sinking through the ice in 2016. That is what Mr Pechtold and his colleagues are suggesting. I didn't hear that.
ParlaMint-NL_2016-06-15-tweedekamer-10.u98	Isn't it absurd that a four-year coalition should get money from 2020 to cover the problems in 2016? Surely it is absurd for a four-year coalition to make promises after the 2017 elections, when we do not know what our economy is like in Europe. There will be a referendum in England in a few days. Everyone has to believe that the money will be there. Mr Recourt himself comes from that sector. We're talking about the state's attorney's office; that's what he wants. You'll just be a state's attorney with qualities, with ambition, and see that your organization doesn't perform, that things remain on the shelf, that there's a threat of shortages, that there'll be a build-in on the equity to keep the case in the running. Then you're gonna apply for a job, aren't you? Then you're not gonna wait for your resignation, are you? That means the same thing. It's a repeat of what we saw at the AIVD. The people with quality, with a labour market perspective, are applying away, because this minister, because your coalition simply needs to be driven out year after year by the opposition to get money to put things in order. Then we're not even talking about the new ambition. Then we're just talking about cheese holes. We are asking for opposition from all sides and I think that Mr Recourt de VVD can help us to discuss together with Minister Dijsselbloem for about 200 million and if you do it very sharply 150 million, now just not an entire evening, but to see if there is a healthy coverage. Or even... there was money shortage. Well, that $200 million, I'll let it go. Are you prepared to just get together, to take care of that police officer, to take care of that prosecutor, to follow up on the feeling that we have to do something now, and not just the feeling that we have to do it until next year after the elections?
ParlaMint-NL_2016-06-15-tweedekamer-10.u99	We differ on the facts. I know the D.A.'s under pressure, but it's not like officers are doing a massive job interview. This has not happened massively with the AIVD either. We have already had that debate about four times. There's got to be money. That's what I'm saying. I don't know if that's gonna happen on Prince's Day. I hope so; I've read the papers as well, but I don't know. I didn't talk about that either. I said that we need structural money. The question is whether organisations will sink through the ice in 2016. The answer is no. I have not been able to see that. I do have questions, and I asked them to the Minister. I haven't read anything about getting people out of the cops. So I'm not asking. I'm sure I'll be asked, because I can't ask on this side. I read that the reorganisation is incredibly difficult. Those are two different things. I do not recognize the image that the opposition calls for it to cease in 2016. That image doesn't come back in the numbers either.
ParlaMint-NL_2016-06-15-tweedekamer-10.u100	On that last point, I know Mr Recourt as a regular visitor. That is why I cannot make that point at all. Now let's get back to the facts. At the end of November we received a letter from the Minister announcing extra money for the budget. That happened before we had a very serious discussion here about the budget of Security and Justice. We found unanimously that it was not enough and that it could not be done, but it was all complicated. At that time, motions were tabled, which Mr Recourt has just mentioned. Today we are talking about the Spring Note and Mr Recourt says that the motions have been carried out. I really don't believe what I'm hearing, because those motions haven't been carried out. In November we deliberately tabled motions, but in the spring note there is really nothing to add. Take the D.A.'s office. How can Mr Recourt say that the motion by Mr Pechtold and others has been carried out?
ParlaMint-NL_2016-06-15-tweedekamer-10.u101	I have had a debate with Mr Pechtold about the Public Prosecutor's Office. Mr Van Nispen's group has tabled a motion on the police. That's $49 million. I also read reports about the police and hear what's being said. The police themselves mention 300 million and the works council and trade unions an even higher amount; I want to get rid of that. But that's not about 2016: but a bit is about 2016. The Kooiman c.s. motion. is about 2016. For this, money has been raised, namely 49 million. I say that structural money must be added at the time when you must do so in the tradition of the Dutch Parliament, namely on Princess Day.
ParlaMint-NL_2016-06-15-tweedekamer-10.u102	Mr Recourt also knows very well that this 49 million has been labelled, because it has to do with the reception of refugees. The report initiated by the Ministry itself shows that structural money is needed. Mr Recourt can now say that we cannot solve the issue of the Spring Paper, but he should not have supported that motion either, because it literally stated that sufficient resources should be made available in the Spring Paper. Does Mr Recourt agree with his party colleague, Minister of Finance Dijsselbloem, who says that we are a little done with the opposition's begging about police and justice? I'm curious about that, too.
ParlaMint-NL_2016-06-15-tweedekamer-10.u103	No. I'm a justice spokesperson. Once again, I join these organizations and see how they are financially mangled for years. I have also been advocating structuralally more money for years. So you do not hear me say that these organizations should not complain. I see these people working way too hard for that in practice.
ParlaMint-NL_2016-06-15-tweedekamer-10.u104	It is good to hear that Mr Recourt distanced himself from that, but I insist that it is your controlling task to do something about it if you support motions here and they are not being carried out. You should then call the Minister to account and not wait for a newspaper report showing that there may be extra money on Princess' Day. For Mr Pechtold is right: what we are about to have to recover is being destroyed. Mr Recourt cannot allow that to happen either.
ParlaMint-NL_2016-06-15-tweedekamer-10.u105	So we differ on that, because I have just explained why I think those motions have been carried out. We agree that it is very difficult. The suggestion that we are now destroying what we need to recover in the future, I do not recognize. Again, I don't recognize the need to get people out. I don't hear that. I'd love to hear it, but I don't know where.
ParlaMint-NL_2016-06-15-tweedekamer-10.u106	One of those motions was about justice. We have spoken with the Council of Justice. It says, if we don't get anything, we're going down 30 million; we have 15 million own funds, so we have a negative equity of 15 million. Mr Recourt just said: I sometimes go to work and don't know the story. Has he heard a story other than the one we've been told?
ParlaMint-NL_2016-06-15-tweedekamer-10.u107	When we talk about justice, I should like to start by referring to that motion. It's about the dishes. That's not gonna happen in 2016. I know that the courts are in agreement on financing, because although there are fewer cases before the courts, I think they are right to say that things are much more complex, so they want to talk again about financing. That's the PxQ discussion. It's taking place right now. For 2016, I see no problem on this issue. I do see a problem in the long term, because own funds are indeed pretty much exhausted and we still need to get money for the Oskam motion on those six courts. I fully agree with Mr Segers. But the question is whether the motion has not been carried out. I can't conclude that; it's just not that it hasn't been carried out.
ParlaMint-NL_2016-06-15-tweedekamer-10.u108	That wasn't my question. My question was as follows. We are told the story: we are going into the ship for 13 million, and that amounts to a negative equity of 15 million. That is the result of this year's policy. I can tell Mr Recourt that there was also a slight lack of parliamentary and diplomatic language, because promises have been made. Those people are very disappointed. What story should Mr Recourt hear in order to be convinced of the need to make additional money now, including in the case-law?
ParlaMint-NL_2016-06-15-tweedekamer-10.u109	Once again, I believe that price agreements are currently being negotiated. Once you've been negotiated, you'll know if it's worked out or if there's a shortage left. In fact, once you've been negotiated, you've both added some water to the wine and you're satisfied. As in collective bargaining, things can go wrong. That is what we hear, but not now, not when negotiations are under way. That would be a little crazy.
ParlaMint-NL_2016-06-15-tweedekamer-10.u110	One last attempt: should the Council write a letter to Mr Recourt before the Court of Justice, should the Council write a newspaper article, should the Council come to the journal, should the Council tell the story that he has told us and that he would like to tell every political group, in public, before Mr Recourt is convinced of the need for extra money? What action should the Council take to convince Mr Recourt of the need to make extra money available in the case-law?
ParlaMint-NL_2016-06-15-tweedekamer-10.u111	I have said a number of times that I share the view that there should be structural money, but it is about 2016. I have not heard that from the Council of Justice. Why not? Because the price agreements are being negotiated.
ParlaMint-NL_2016-06-15-tweedekamer-10.u112	I have a question about what was in the newspaper today, namely that additional deficits are threatening. Does Mr Recourt consider it acceptable that the police, the judiciary and the NFI should bear these deficits themselves in 2016?
ParlaMint-NL_2016-06-15-tweedekamer-10.u113	That could be acceptable. We have already talked about equity. That's there to catch occasional setbacks and buffer a little bit. This applies not only to the judiciary, but also to the state. I imagine that's what you're doing. Structurally, I do have a problem with it.
ParlaMint-NL_2016-06-15-tweedekamer-10.u114	You too are going on work visits, so you should also know that own funds are already being called under the acceptable limit for the deficit that is already there. There's a big part of it. I do not understand that Mr Recourt has great stories about the unacceptableness of the money and the border we are on, and then he has already agreed to an additional EUR 50 million.
ParlaMint-NL_2016-06-15-tweedekamer-10.u115	I am familiar with the debate on own funds in the courts. That debate is real, because the courts are sinking. I don't know that kind of discussion about the police and the D.A.'s office.
ParlaMint-NL_2016-06-15-tweedekamer-10.u116	A single visit would help. Mr Recourt is now saying that the courts are failing, but I still wonder how you can refer to 2017. Every time it is said that there is no money, but Mr Recourt also knows that, with all the pressure there is, justice has raised a huge amount of settlement over the past year. Surely it is to be expected that the Minister responsible negotiates in such a way that in this particular year, with all these problems, money does not go to the big pot of Minister Dijsselbloem, but stays in the justice chain? Is Mr Recourt prepared to argue with the CDA that this money will remain in the justice chain alone for this year?
ParlaMint-NL_2016-06-15-tweedekamer-10.u117	Last September's budget debate turned that around. It always went straight to the Justice budget, but in order to make the money structural, not to occasionally book those fines but simply to cover 100 million in structural terms, Finance said: okay, we guarantee 100 million; if you get less, we plus you, you get more, it goes into our pocket. The moment you let that go, you're structurally losing $100 million, for example to cover the police. I'm afraid that's just a breach of accounting agreements.
ParlaMint-NL_2016-06-15-tweedekamer-10.u118	You should never even start solving a real problem in the justice chain for accounting reasons. What is going on this year is that some 350 million has been raised with some settlements, of which 100 million are allowed to remain in the chain with the pardon of Minister Dijsselbloem. But it is one year and 258 million or at least part of it. Surely it is a perfectly normal question for a Member of Parliament, who does not speak on behalf of the Minister, but speaks for himself and sees the major problems, to let most of that money flow into the justice chain for this one year? I really don't understand why that wouldn't be possible.
ParlaMint-NL_2016-06-15-tweedekamer-10.u119	Because next year, maybe only 50 million will be taken away. Then that deal is gone and a 50 million hole falls, which must then be covered by the budget of the police, the prosecutor and the judiciary. I must say that we all benefit from this, only through the general and not through the specific pot. This year would be an advantage, but next year could be a disadvantage. Mr. Chairman. I would have stayed with the fines. If you increase the speed limit to 130, it makes sense that you have less fine revenue. Add to this the success of the route checks. People have the puzzles along the road about how fast you can drive by now. In the coming years, therefore, there will be a structural reduction in income. How is this covered? Do we do this by oiling foreseeable deficits over the chain every year? I don't think that's a good idea. The rack's out in the justice department.
ParlaMint-NL_2016-06-15-tweedekamer-10.u120	Did Mr Recourt say about the route checks 'they have now understood how fast you are allowed to drive and therefore the penalties go down'? In other words, we have made it so complicated as a cabinet with that 130 km/h driving and every time we switch on purpose that we would get a lot of fines. Could Mr Recourt read his text literally again?
ParlaMint-NL_2016-06-15-tweedekamer-10.u121	I read the text, like it says here. Mr Pechtold's conclusion is just not correct. Those signs were an incredible puzzle, at least for me because I do not know how Mr Pechtold went.
ParlaMint-NL_2016-06-15-tweedekamer-10.u122	It cost a lot of money.
ParlaMint-NL_2016-06-15-tweedekamer-10.u123	Exactly. Mr. Pechtold said it already: on the A2 you were allowed another 120 km/h on a piece in the evening but not on the piece afterwards. The reason for this is not bullying citizens, but noise standards, environmental standards and that kind of work.
ParlaMint-NL_2016-06-15-tweedekamer-10.u124	So I misunderstood you when you said "travel checks, they're on to it by now." You said that in the context of the falling number of fines, but it was not your intention to impose a fine on people because they didn't realize how hard they were supposed to be. But it was a good time; that's what it is.
