ParlaMint-NL_2016-09-27-tweedekamer-26.u1	I see that Mrs Van Toorenburg wishes to speak. Go ahead.
ParlaMint-NL_2016-09-27-tweedekamer-26.u42	Mr. Chairman. It was almost a year ago when colleagues mentioned that Mrs Swinkels took us in her maiden speech, in her search for the woodworm and its threats or whatever, and in her plea to the Court of Justice of the European Union in Luxembourg. A few months have passed now and so I reviewed the Acts again to see where we were again. That's exactly why I know. A large number of amendments have been tabled and they are being reviewed again. I do not know whether the Minister is going to pass on all these amendments, but perhaps he will soon be able to look at a somewhat higher level of abstraction as to what the Court's opinion is on every point. That would at least help me to advise my group. I would like to make four more points. In part, I've been treating them a few months ago. In part, the current situation in recent months has caught up with us on some points. I'll start with the waiver of fines. I would very much appreciate it if, for the sake of the Acts, the Minister, in accordance with the letter we received from the Secretary of State, explicitly pointed out that the starting point was and remains that financial sanctions should be met. Perhaps there are reasons to think about the way you continue to deal with it, for example in terms of deadlines or I know what. If, however, such a person again commits something that is punishable by speeding, committing a crime, committing an offence or whatever, the flexibility that may then be offered in the context of payment periods may be withdrawn. I understand that this is still being worked out in the Administrative Enforcement Act. I would like to hear from the Minister when this is going to happen, because then I can pass that on to the relevant spokesperson at the VVD Group.
ParlaMint-NL_2016-09-27-tweedekamer-26.u43	I have listened to my VVD colleague, but it is still not quite clear to me. Is he saying never forgiveness can never happen? Or does he say that in the event of recidivism, if someone gets another fine after a waiver, we should have a good look at what we do?
ParlaMint-NL_2016-09-27-tweedekamer-26.u44	I'll say what I say. I think the starting point should be that you pay financial sanctions, fines, just like that. I would also like the Minister to repeat this. After all, it is a punishment imposed. You've committed a crime yourself, and you're responsible for it yourself. So you can't just avoid the punishment. I take note of the fact that the government is making proposals for deadlines and so on. I'm just saying that I don't see any reason to be so flexible as to allow someone to continue committing the same crime.
ParlaMint-NL_2016-09-27-tweedekamer-26.u45	Then it's the tone that makes the difference. Everyone agrees that you should pay fines in principle. Everyone also agrees that if you get opportunities, then significantly less flexible is handled with you. Luckily, the VVD also thinks that we can give people who are really stuck, and I recommend that Mr Van Oosten join us with a director or a debt relief provider. Now they are being withdrawn from their legs because they accumulate fines, so they never come out of a debt relief situation.
ParlaMint-NL_2016-09-27-tweedekamer-26.u46	Then it is not only the tone that makes a difference between Mr Recourt and me, but perhaps also the content, as we zoom in on it a little more deeply. As far as I'm concerned, it starts with whoever commits the offense. He's responsible for that. I see around me that there is a need to provide more time limits. All at your service; I think there should be paid in the end. However, I also think that you should be strict and rigid when someone then ignores all the rules we have agreed with each other in this country. Now I will also mention the other points, first of all the conditional release. When we had this discussion a year ago, I assumed that the WODC would investigate the desirability of conditional release. That turned out not to be the case, as it became clear to me during that debate, but I would like that to be the case. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the system of conditional release allows a prisoner to be released on parole after two thirds of imprisonment;]] [[noting that the early release of detainees after serving two-thirds of the prison sentence should not become an automatic procedure and that an individual assessment should be made;]] [[Whereas, in order to make this assessment, the interplay of probation and the Judicial Institutions Service (DJI) determines the advice given to the Public Prosecutor's Office (OM) for the purpose of designing conditional release (vi);]] [[calls on the government to carry out an investigation into the current system and whether this is still satisfactory and, if no, should be tightened up in order to prevent conditional release from becoming de facto automatic, and to send the results of this investigation to the Chamber,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Oosten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34086-35]]
ParlaMint-NL_2016-09-27-tweedekamer-26.u47	I'm not about judging a motion, but this seems just standing policy. It's not automatism. Early release is I do this out of my head in 2008 turned into a conditional release. So the automatism is off. However my group feels about conditional release, that is simply a fact. What exactly is this investigation supposed to prove? I hear Mr Van Oosten say: if the system is not satisfactory. When won't it be enough? I don't understand this motion.
ParlaMint-NL_2016-09-27-tweedekamer-26.u48	I would like to thank Mrs Helder for this question. That's exactly why I want that looked at. I have my questions with regard to the system of conditional release that is now in place, because I find that a lot of prisoners may not be automated according to the letter of the law, because that is what Mrs Helder is right about, in fact, after two thirds of the sentence outside the prison wall. That is why we are having this discussion with each other. I wonder whether this is useful, necessary and desirable in all cases. Exactly that's what I want to take a critical look at.
ParlaMint-NL_2016-09-27-tweedekamer-26.u49	Mrs. Helder, finally.
ParlaMint-NL_2016-09-27-tweedekamer-26.u50	Finally, may I ask Mr Van Oosten whether he means that the conditions that can be imposed, the range we have today, will also have to pass the test of criticism in that investigation?
ParlaMint-NL_2016-09-27-tweedekamer-26.u51	Absolutely. I simply want to see a broad assessment, including the content and the kind of conditions that are imposed, and whether these need to be strengthened, as this study shows. Then we can discuss this with each other. I see that time is moving forward, but I would like to make one more comment about the self-detectors. I'm telling you honestly: I'm getting a whiff of the fact that we're confronted with it over and over again. I don't blame anyone for this happening. There are figures who are convicted by the judge and who, when they receive a call to report to the prison gate, do not show up. I can't get this explained. I don't think that's a good behavior. I don't know why they should be rewarded with the possibility of conditional release. To that end, I shall table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that most persons sentenced to prison do not receive them immediately after the sentence has been pronounced;]] [[establishing that these persons are subsequently called upon to report to a penitentiary establishment to serve their sentence;]] [[noting that a large number of these so-called "self-detectors" do not report themselves and that high costs are incurred in trying to put these persons behind bars;]] [[Whereas this is totally undesirable and this behaviour does not allow these persons to understand the crimes committed by them;]] [[Whereas it is desirable that the fact that a person does not report himself to a penitentiary establishment should not remain without consequences for the execution of the prison sentence imposed;]] [[calls on the Government to investigate the possibility of withholding conditional release if persons who are allowed to report themselves after imprisonment do not report themselves to a penitentiary facility,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Oosten and Mr Van Toorenburg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34086-36]]
ParlaMint-NL_2016-09-27-tweedekamer-26.u52	I hear Mr Van Oosten say that if someone did not come in after conviction, and the police finally tracked him down, at least that last phrase I read between the rules by............................................................................................................................................................................................................................................ Does Mr Van Oosten think that they will come forward more quickly?
ParlaMint-NL_2016-09-27-tweedekamer-26.u53	With this I aim to make something clear when these kinds of figures don't come. They have the opportunity to sit at home in anticipation of their punishment. They should have learned lessons from the verdict and, in Mrs Helder's view, should have been present at the delivery of that judgment. If they put all this aside, we'll say "come now" in good faith, and they won't come. Yeah, I'm sorry. I'm done with those kind of guys. Then good behavior is far away. I am not in the mood for such figures to be rewarded. I ask the Minister to take a critical look at it and investigate it. That is the thrust of the motion.
ParlaMint-NL_2016-09-27-tweedekamer-26.u54	Mrs. Helder, finally.
ParlaMint-NL_2016-09-27-tweedekamer-26.u55	Finally, Mr President. If you are serious about this, you must ensure that those figures do not have the opportunity to report themselves and therefore to withdraw from the execution of the sentence to be imposed. Then you must make sure that they are present at the verdict. Then they can be taken to prison immediately.
ParlaMint-NL_2016-09-27-tweedekamer-26.u56	I agree with Mrs Helder that it is a search for how to optimize that system, so to speak. We also know that we are dealing with the actual situation that what Mrs Helder is trying to achieve is not the case and in some cases difficult to organise for constitutional reasons. I will make my final point, if the President will allow me.
ParlaMint-NL_2016-09-27-tweedekamer-26.u57	I'll allow you to do that.
ParlaMint-NL_2016-09-27-tweedekamer-26.u58	Several colleagues have already said a few things about community service. I read the letter the Secretary of State sent about this. Fortunately, this makes it clear that the situation we read about in the AD does not arise. However, I find it terrible to find that there are figures in our system who are given the opportunity to carry out a punishment in the open, and who in such an unbelievable way destroy it, by grossly insulting or intimidating the probation staff, as we heard the director of probation tell on television, and also read in the newspaper. I am pleased to read in the letter from the Secretary of State that he is taking measures to this end. I think you should put in rücksichtslos that replacement custody. I would very much like to hear from the Minister how we prevent this kind of community service from being punished even though I read in the letter that this is only a small group of people who ultimately avoid the punishment, because they do not deserve it at all.
ParlaMint-NL_2016-09-27-tweedekamer-26.u59	We are therefore in second place at the end of the Chamber's contribution. I'm suspending the meeting for ten minutes.
ParlaMint-NL_2016-09-27-tweedekamer-26.u60	We need the Minister's response. I suggest that he only responds to the amendments in so far as he has not yet done so in the previous discussion. It is therefore only a question of the amendment to item No. 32, because that is a new amendment.
ParlaMint-NL_2016-09-27-tweedekamer-26.u61	No. 32? You mean no. 27? There is no No. 32.
ParlaMint-NL_2016-09-27-tweedekamer-26.u62	It's no. 32 to replace No. 27.
ParlaMint-NL_2016-09-27-tweedekamer-26.u63	Oh, because Mr. Van Oosten co-signed. I understand.
ParlaMint-NL_2016-09-27-tweedekamer-26.u64	Yeah, because of the signing. Go ahead.
ParlaMint-NL_2016-09-27-tweedekamer-26.u65	I will, Mr. Chairman. I do not, by the way, comply with the request made by one of the Members who said that I would be very grateful if I were to pass through all the amendments. I won't, at your request.
ParlaMint-NL_2016-09-27-tweedekamer-26.u66	I don't think that's necessary. Let me look at the Members of Parliament: it is a matter of reading what has been said about it. I therefore propose that you only deal with the new amendments.
ParlaMint-NL_2016-09-27-tweedekamer-26.u67	Things aren't going well, Mr. Chairman.
ParlaMint-NL_2016-09-27-tweedekamer-26.u68	Yes, questions have been asked...
ParlaMint-NL_2016-09-27-tweedekamer-26.u69	No, a number of amendments have been amended and I would like to change my opinion. Otherwise, it won't go well.
ParlaMint-NL_2016-09-27-tweedekamer-26.u70	Then things are really different.
ParlaMint-NL_2016-09-27-tweedekamer-26.u71	I am therefore only doing so for the amendments that have been amended.
ParlaMint-NL_2016-09-27-tweedekamer-26.u72	I'd say so. A question has also been asked here and there. I'm sure you'll agree to that, too. I am concerned that we do not have to pass the amendments one by one if this is not necessary in substance. Go ahead.
ParlaMint-NL_2016-09-27-tweedekamer-26.u73	I will try to meet your request as much as possible. I'll do my best and be very brief. Mr. Chairman. First of all, I would like to thank Members for their contributions in the second term. Indeed, the first period is still fresh in my mind. It was Mrs. Swinkels' first speech in the Chamber, her maiden speech, an impressive story about fainting and blackouts that she had received in her career. At that time I thought: that is hopeful; we will see this several times over the coming months and that is nice and quiet. But I can tell you that Mrs Swinkels' promise has not been fulfilled. I haven't found anything from blackouts or fainting. She has developed over the past ten months into an excellent MP, who has not yet shown any blackouts or fainting. Tobias is of course ten months now. I haven't seen him since, so I don't know exactly what his reaction is to the fact that he's in the Acts. I do know that his father has been with us for months now with great success, so I think Tobias is doing well too. I would like to comment briefly on the purpose of this bill. A lot of questions are asked in response to current events, which almost makes you think that the bill is organizing a few small things, while it is a fundamental part of the revision of the Code of Criminal Procedure. It is one of the first legislative proposals in this context and is given great importance in practice. Contrary to what Mrs Swinkels suggested, the Public Prosecutor is strongly in favour of this bill, precisely for the reason given by Mr Recourt. The Public Prosecutor himself says: let us do what we are meant to do, namely find and prosecute, and let the execution of criminal decisions no longer take place under our responsibility, so that everyone can do what they are designed to do. Mrs Swinkels suggested that she might advise her group to vote against the bill, whereas in practice this is very much awaited, particularly by the Public Prosecutor's Office. I just wanted to bring that to your attention. What do we do with this bill? Provisions that were fragmented about the Code of Criminal Law and the Code of Criminal Procedure have now been brought together in a new book of the Code of Criminal Procedure. The procedures and languages have been merged and modernised. The legal reality is thus brought into line with what is actually happening in the implementation. The Minister will be directly responsible for the implementation tasks, which, moreover, are already largely carried out by my executive services. At the same time, the implementation of the implementation is improved by the realisation of the AICE. Together, this should achieve the main objective of improving the quality of implementation. This means that the system of implementation as a whole is re-established. Thus, this bill is the first instalment of the modernisation of the Code of Criminal Procedure. The penalties must be implemented quickly and effectively. I'm tasting that call here in the Chamber. Bodies should be informed in a timely and complete manner. The Public Prosecutor continues to be the exclusive supplier of criminal decisions to the Administration and Information Centre for the Executive Chain. The Public Prosecutor's Office is also dependent on the quality of delivery by the judiciary; of course we must realize that. The Public Prosecutor's Office holds its magisterial role in enforcement. Nothing's gonna change that. Under the direct responsibility of the Minister, the AICE will issue the execution orders; it will maintain the direction and central overview. This enables the person-oriented temporary implementation. It is ultimately up to the enforcement services that operate under the responsibility of me and the Secretary of State to ensure that penalties imposed are implemented as effectively and efficiently as possible. For that, I can see broad support in the Chamber. Mrs Swinkels has repeated a number of points which she had already raised in the first period. Is there a risk that the D.A.'s office will be controlled politically? In the first term, I have already shown that this is not the case. That is not the purpose of this bill, let alone of its actual implementation. In any case, the person in charge shall be accountable for the manner of implementation in concrete cases. A good example is the question of community service, which was immediately answered by the Secretary of State today. That's the system we've had for a long time. So, as I demonstrated in detail in the first period, I have no fear of any political influence as a result of this bill, other than the situation we already have. Mrs Swinkels said that there is no report, so I have understood her saying that this is the way it should be. In this context, I would like to refer again to the Court of Auditors' report on performance in the criminal justice chain. This showed that there was no central control, that a number of things between all these different organisations were not going well and that from the beginning to the end they did not know exactly where these things actually were. I would like to refer Mrs Swinkels to a specific recommendation from that report, because I think it is very important that the first part of the legislative proposal in the context of modernising criminal proceedings should also be endorsed by D66. One of the recommendations in the report of the General Court of Auditors is that it should be possible to provide central guidance, albeit in my opinion the Court of Auditors does not go far enough. In close consultation with the state's attorney's office, we're doing that in this bill now.
ParlaMint-NL_2016-09-27-tweedekamer-26.u74	We also fully agree with what the Court of Auditors says about the lack of central control, but it is still unclear to D66 why the central direction within the bosom of the Public Prosecutor could not be improved. We haven't actually heard about that.
ParlaMint-NL_2016-09-27-tweedekamer-26.u75	The D.A.'s office doesn't include this in its core task. The public prosecutor would like to carry out his core task; I have explained this to Mrs Swinkels in the first term. The public prosecutor wants to get rid of this task and feels it is okay if it retains its majestic role, but is no longer harassed with the execution. I can't tell you any better than that. The public prosecutor is strongly in favour of this bill, because it itself recognises that it is not well-designed to carry out that task. The AICE, in combination with the CJIB, is.
ParlaMint-NL_2016-09-27-tweedekamer-26.u76	My colleague from the SGP has rightly pointed out that it is not clear at the moment I hope that the Minister still deserves clarification where the powers of the Public Prosecutor end and those of the AICE begin.
ParlaMint-NL_2016-09-27-tweedekamer-26.u77	For this, I refer to the legislative proposal, because this has been mentioned in the legislative proposal. However, I shall return to Mr Bishop's question in a moment. Mrs Van Toorenburg referred to a small debate she had with the Secretary of State on the division of responsibility: who is responsible for this? It should be clear that the directors are able to respond to the results achieved. We already are, but we are in a more direct sense because we take care of the direction ourselves. That means that the Chamber is still at the right place with me and my colleague, the Secretary of State, especially when it comes to execution. Mrs. Kooiman asked about the political influence. I have already demonstrated in detail in the first period that it is not on the agenda. Mrs Kooiman also asked why the judge's opinion was not binding on enforcement. The purpose of the opinion is to enable the judge to rule on the manner in which he or she wishes to be enforced. This is not binding, but in all cases where the opinion is delivered, it is brought to the attention of and, as far as possible, followed by the authorities responsible for the effective enforcement of the sentence. You can then think of a particular location on which I have had an exchange of views with Mrs Van Toorenburg about the execution of a custodial sentence or task or a specific time for enforcement, for example that it should or should not take place during a celebration such as the turn of the year. You can imagine that a judge can say: I would appreciate it if the wheeldriver concerned were to be punished just during the turn of the year. That advice is very important, but it is not binding. Mrs Kooiman asked about the risks of providing information. That is always a legitimate question when it comes to new systems. In this case, I note that the implementation of the USB design, as it is so beautifully called, is phased through what is called an "incremental approach" in terms of experts. If Mrs Kooiman dares to ask another question, I do not know, Mr President! This means for normal people that an ICT part project can only start when all the conditions are met. The chainwork process needs to be worked out. Decision-making took place on the basis of an implementation test. Financial coverage is arranged, both for incidental and structural costs. At the end of the day, this means that an ICT project can only start when there is a view of the amount of resources needed and when funding is regulated. This reduces the risks of such an ICT project. Mr Recourt and Mrs Kooiman asked about the probation staff. I think that in his letter the Secretary of State puts the right emphasis on the fact that we all find it unacceptable when people who are part of the criminal justice chain, in any way, behave unfairly towards people who are working with them on behalf of society. Of course, that applies to police officers, firefighters and paramedics. Let me just add that it also applies to conductors in public transport, enforcers and boas on the street. It's unacceptable for people to behave unfairly or aggressively against these people. The same applies to parole staff. I know that Mr Recourt himself has had experience of this, as he so nicely said. A big mouth is up to that point, but that is also what I think, and the Secretary of State already thinks that goes a long way with me. In the meantime, we realize that the target group is becoming increasingly complex. We are increasingly dealing with psychological problems. This also means that the behaviour of the task force is more often explosive and less predictable. In the meantime, the parole board is also taking measures to do this. The probation organizes meetings how best to deal with that complex target group. In addition, attention is paid to increasing the resilience of the probation staff. The probation will actively focus on better recording of incidents with aggression and increasing the reporting and declaration readiness of employees. Let me be very simple about this. I can figure out a number of reasons why you might not press charges if you're a parole officer confronted with behavior beyond the limits. I could imagine that you realize, precisely because you, as a parole officer, know the person concerned well, that it might be counterproductive in the process you want to go through. In all other cases, I cannot actually come up with an argument not to press charges, especially if that is an argument that people expect to have problems with them. There must always be a report if there are no professional considerations to avoid doing so. These declarations should also be followed up, as the Secretary of State writes. I come to Mr Bishop's question as to whether I can confirm that the penalties for a substantial part are served by foreigners. He asked that in response to his amendment. I can confirm that in the case of penalties of less than three years imposed on foreign nationals, half of the sentence may be suspended. That is therefore a provision which applies to penalties of less than three years' duration. Punishment of three years and more may be granted after two thirds of the sentence. I remember that we also discussed this in the first period of time, which would mean less punishment for the person concerned, but would then be expelled. Mr Bishop asked if I can guarantee that all community service will be carried out. I can answer that question very easily, because I am not going to answer it, although I am, of course, responsible for it in some sense. That's what the Secretary of State is about. I think we should look very closely at the Secretary of State's letter. He wrote that 93% of all community service sentences were carried out in some form, and that 7% of the problems raised by the Secretary of State in his letter appeared. There is no doubt about the ambition of both directors of Security and Justice: community service should simply be implemented. Of course, we cannot guarantee that, but I have just said that it is a complex target group and of course the convicted also do their best to stay under the radar as much as possible. However, the ambition may be clear and the figures that are now available, those 93%, I think are perfectly acceptable. It would be better if it were 100% and it would be even better if the deadline for achieving that ambition were shorter. This is also endorsed by the Secretary of State. Mr Bishop asked about the time limit for delivery, those two weeks. He's worried about that. Let me first say that I have just discussed this. The nice thing is that in the youth domain it is said from the practical point of view that the two-week period is actually very long. I think that's what Mrs. Kooiman pointed out. Especially among young people, lick-on-piece policies are inconceivablely important. So I say together with the people from the field: let's not rest in those two weeks, let's make it go faster. There's that need. The deadline will of course not run until the prosecution receives a ruling or a decision that can actually be enforced. That is why I said in my introductory words that it is essential that the statement, once it is there, fully meets all the quality requirements. The public prosecutor depends on the quality of the case-law for the enforcement of such decisions. The time limit will therefore not run until the judgment is given, and if the time limit runs, it must be feasible within two weeks. I have no doubt about that. Mr Van Oosten asked whether the starting point was that financial sanctions should also be implemented. I can reassure him in that. The answer to that is yes. That is and will remain the starting point. Stopping the collection is subject to strict rules. The Secretary of State has also reported this to the House of Representatives. That letter also lays down the principles which I am sure Mr van Oosten can refer to. Then there is a question from Mr Bishop about the division of responsibility between the Minister and the Public Prosecutor's Office. I'm gonna take a break for a sip of water.
ParlaMint-NL_2016-09-27-tweedekamer-26.u78	I shall return to the Minister's words. This is not the case if someone commits another offence, ignores a fine and so on. I can take that, can't I? Otherwise, I think bad behavior still seems to be rewarded, and I think that is wrong.
ParlaMint-NL_2016-09-27-tweedekamer-26.u79	No, bad behavior is not rewarded. Mr Van Oosten and I agree on this.
ParlaMint-NL_2016-09-27-tweedekamer-26.u80	I'm glad to hear that, but I put another question to that. Perhaps the Minister would have come back to that. I understand from the Secretary of State's letter that a further frame work follows in another legal procedure, a legal procedure which may be avoided from the spokesmen present here, at least to me. It's about the law... I have to keep the name guilty, but I just mentioned the proposal.
ParlaMint-NL_2016-09-27-tweedekamer-26.u81	The Administrative Enforcement Act traffic regulations, the WAHV.
ParlaMint-NL_2016-09-27-tweedekamer-26.u82	Right.
ParlaMint-NL_2016-09-27-tweedekamer-26.u83	In my opinion, does it ever come up here, or does it belong to the spokesmen in the field of traffic? I'm gonna check on my backup. I see nodding, so that proposal is probably being dealt with by the spokesmen in the area of traffic. The WAHV, that is the settlement of the Law Mulder. It will be dealt with by the traffic spokesmen, but I will ensure that your thoughts and suggestions are taken into account. Of course, the spokesmen are always free to agree with the colleagues of traffic themselves that the bill will be dealt with by this committee. Mr Bishop asked about the division of responsibility between the Minister and the Public Prosecutor's Office. I could easily remove that question by referring Mr Bishop to the law, because that is what it says. We have also discussed this in detail in the explanatory statement. Let me briefly repeat what it says. The Minister will be directly responsible for the enforcement of criminal decisions upon entry into force of the law. This will ensure that I have an overview of the entire implementation chain and that it can be steered centrally so as to enable the swift and effective enforcement of criminal decisions. Decisions taken during the implementation phase shall be taken by the Minister in so far as it does not result from the law that such decisions must be made by the judge or the Public Prosecutor's Office. The Minister is legally entrusted with and directs the execution of criminal decisions. The coordination of actual implementation shall be central to the CJIB. The AICE was established for this purpose; it is part of the CJIB. The shift of responsibility also means that the Minister becomes directly responsible for the actual enforcement of the provisional detention decision after the entry into force of the USB Act. In the new situation, the Public Prosecutor's Office shall provide the Minister with all enforceable decisions. In addition, the Public Prosecutor's Office remains responsible for specific tasks within the implementation. I can mention that for a while, but that's a whole list. I hope that Mr Bishop has received sufficient answers to his questions. If he doesn't, he'll probably ask another question about it.
ParlaMint-NL_2016-09-27-tweedekamer-26.u84	That's the case.
ParlaMint-NL_2016-09-27-tweedekamer-26.u85	Thank you. These are official answers which can also be found in the text of the law, but in the course of the preparation, you are opposed to the fact that this is a matter of concern for the sections involved, just like the other point I have raised, that two-week period. As far as I am concerned, the Minister cannot simply refer to the formal texts. This is a signal from the professional groups themselves. I invite the Minister to pay particular attention to this issue of concern in the contacts with the professions, so that there can be no uncertainty in any case. I would appreciate it if that could be the tone of the answer.
ParlaMint-NL_2016-09-27-tweedekamer-26.u86	Then I would ask Mr Bishop to tell us which professions he means. The Public Prosecutor, who is directly responsible for this, has no question about this. They read the law and know where they stand. They are delighted when this law is passed by both Chambers. That can't be where the question is. I cannot imagine that there would be any ambiguity in the legal profession, because it is in the law. The legal profession is ideally suited to read and interpret the law. The judiciary works with this, but for them nothing really changes. They don't care who does the execution, as long as it happens. So there can be no doubt there either. So the question is which professions Mr Bishop is referring to. Maybe he can say something about that.
ParlaMint-NL_2016-09-27-tweedekamer-26.u87	Without going into detail, it is these professions where these kinds of signals can be received, especially in the judiciary and the Public Prosecutor's Office. I do not think it is appropriate to make this public here, but I invite the Minister to take this as a signal and to ensure that this remains a point of attention in communication and in further discussion of it.
ParlaMint-NL_2016-09-27-tweedekamer-26.u88	Let us point out that this bill has been discussed extensively by everyone. The judiciary, the prosecutor, the lawyer and all the committees that are involved have advised on this. Of course, there are consultations with these parties in the implementation process, including the way in which they are implemented. This will not be a 24-hour route, as the Chamber knows. Of course, we are discussing all the steps we are taking with all the parties concerned, and I can reassure Mr Bishop. But the law is and will remain the law. There can be no doubt about that. I can confirm to Mr Recourt, on the basis of the letter from the Secretary of State, that the probation will, of course, be supported in the care of his own staff as far as she feels appropriate. Mrs Helder asked about the obligation to appear in plenary session. I shall return to the debate on the motion in a moment. I always find that a good point of discussion. On the fine, I will return to the amendment in a moment. I'm going to see Mr Van Oosten. In the meantime, I see that it is the judicial spokesmen who will judge the Law Mulder, the Enforcement Act. The framework for the remission of fines, which Mr van Oosten is concerned about, will take place in the implementing legislation under this bill. The policy rules may therefore be reviewed by the Court for further review.
ParlaMint-NL_2016-09-27-tweedekamer-26.u89	The question I am about to ask is perhaps a far too procedural one for this company and for this Chamber. Does this, according to the Minister's science, automatically come to us? Or should the Chamber actively ask for it?
ParlaMint-NL_2016-09-27-tweedekamer-26.u90	The policy rules are not, I presume, automatically submitted to the Chamber. So you're gonna have to ask for that.
ParlaMint-NL_2016-09-27-tweedekamer-26.u91	Can I do this along this road, or should I go another way?
ParlaMint-NL_2016-09-27-tweedekamer-26.u92	This is agreed.
ParlaMint-NL_2016-09-27-tweedekamer-26.u93	Well, we're not in the world to make each other's lives miserable or to complicate things. I will ensure that the policy rules are also presented to the Chamber so that the spokesmen can take a look at them. I come to the amendments. I'm just gonna walk by them real quick anyway. I think that's a good idea. The opinion on the amendment to item No. 13 of the SGP, I left it to the Chamber. The amendment in part No. 14 from the SGP, I have advised against it. The amendment in part No. 15 from the PVV, I didn't recommend it. The amendment in part No. 16 from the CDA, I didn't recommend it. The amendment in part No. 19 from the CDA, I didn't recommend it. The amendment in part No. 20 from the SP, I've advised against it. The amendment in part No. 22, by the CDA, was amended after consultation and after the debate last time. I leave the opinion on that amendment to the House. The amendment in part No. 23, from the CDA, was also modified after the consultation last time. I would also like to leave this amendment to the House. The amendment in part No. 24, of the SGP, was amended after the first deadline. I leave the opinion on that amendment to the Chamber. The amendment in part No. 25 was previously submitted by the SGP in document No. 11. I did not recommend that amendment at the time. The PVV has now supported this amendment. However, I still cannot reach a different verdict. I must therefore advise against it, knowing that this may lead to the loss of Mrs Helder's support for this bill. I'd rather not lose that support. I hope that Mrs Helder, considering everything, will realise that everything that is regulated in this law is of such importance that perhaps this point should be considered subordinate. But it is up to Mrs Helder and her group to decide. I remember that in the first period on the amendment to item No. Mr Bishop. - (FR) Mr President, ladies and gentlemen, I should like to begin by thanking the President-in-Office of the Council and the President-in-Office of the Council. This amendment, too, has now been signed by Mrs Helder. That is why it now has No. 26 whereas it was originally No. 12 had. I did not recommend the amendment, and that remains the opinion. That is when a new amendment was tabled, namely No. 32. That was tabled by Mr Van Toorenburg and Mr Van Oosten. I can speak long and broad about this amendment, but it is very simple. In principle, we would come to an evaluation anyway. So this amendment may not be urgently necessary, but I have no objection to it being done in this way. I shall therefore leave that amendment to the House. I'll get on the motions. The first is the Van Toorenburg/Kooiman motion, in part No. 28. It calls on the government to propose and implement concrete measures before the budget of Security and Justice, i.e. before the end of November, in order to reduce significantly the percentage of unexecuted community sentences. The percentage of non-executed community service is 7. The ambition is to reduce it, but it will not happen before the budget is dealt with. You cannot make proposals and implement them in a month's time. That's too hard. I fully support the thrust of the motion. Of course, we are striving for 100% of community service to be carried out, but we also know that this will never happen. Mrs Van Toorenburg knows that too. I therefore support the thrust of the motion, but the motion as such must be discouraged. Then I come to the Van Toorenburg motion on part No. 29, which says: before 1 January. I agree with the motion in that I leave the opinion to the Chamber if Mrs Van Toorenburg is prepared to say to me that she also understands that I cannot do so before 1 January. I will endeavour to provide that information in spring 2018. If Mrs Van Toorenburg agrees, I will interpret the motion in this way...Sorry, I mean: spring 2017.
ParlaMint-NL_2016-09-27-tweedekamer-26.u94	I was startled, because the minister suddenly shot over it for a year and a half. With regard to this other time-limit, we have been working together for six years to get effective in the implementation of community service. So I'm not going to hold on to that motion.
ParlaMint-NL_2016-09-27-tweedekamer-26.u95	Okay, but this one does? Mrs Van Toorenburg does not have to hold her. This is my opinion on the motion on item No. 29. Mrs Van Toorenburg says her motion in part No. 28 to be put to the vote. I'd advise against it. From the motion in part No. 29 I am merely saying: if I may interpret her in such a way that 1 January is to be read as "spring 2017," then I can leave the judgement to the Chamber. The Helder motion in part No. 30 is about the obligation to appear. What the hell are we gonna do with that? I have had to discourage a similar motion for many reasons. Mrs Swinkels also asked the question: what about an injunction? That is also the answer we have. Here, the judge can continue to do customized work. That's my preference, so I'm gonna have to discourage that motion. The Helder motion in part No. 31 removes the customization. That is Mrs Helder's intention, but I think it is very important that we establish that the legal basis is that conditional release (vi) is revoked if the convicted person has not complied with a condition. In the end, the judge will decide on this at the request of the D.A.'s office. The judge may then withdraw the vi in whole or in part. That customization is necessary in order to be able to react proportionally to non-compliance with the conditions. I remember Mrs Helder and I had an exchange of views on this earlier. Then I gave the example: if one of the conditions is a notification obligation and a person, by chance, does not come to that notification obligation or arrives a day later, is that a reason to put him in jail? The answer is, I don't think so. But there's no other way. If you were to endorse this motion Helder, it must be, because it is a violation of the provision. I do like it so much that we can deliver customization.
ParlaMint-NL_2016-09-27-tweedekamer-26.u96	We have had this discussion before. That was also the reason for me to add a number of words to the motion. Indeed, I have it in my mind: "calls on the government to legislate that the Public Prosecutor always withdraws'. But it also says: "calls on the government also to regulate legally that when a judge has ruled that conditions have been violated." If a person is indeed unable to comply with an obligation to report due to an accident or something like that, no judge will decide that he should then serve the remainder of the sentence. So that customization is still in there. The hole is only a lot smaller. So, a little reading.
