ParlaMint-NL_2016-12-15-tweedekamer-10.u1	Six speakers have signed up for this legal process. We shall begin with Mr Van Meenen of D66.
ParlaMint-NL_2016-12-15-tweedekamer-10.u67	I wanted to tell you how we're informing students now. If the end date of the training is known to DUO, the student shall be informed in October or November of the previous year of the obligation to stop the travel product in good time. In addition, students receive another message a month before the travel product has to be stopped. Students who stop their study funding via My DUO are also immediately informed that the travel product must be stopped at a pick-up machine. Mr Mohandis spoke about this. This is repeated in the confirmation email of My DUO who then receive students. DUO checks monthly that the student is still registered. If the student is not registered and has not stopped the student travel product in time, the student receives a message from DUO that advises him to stop the travel product. In addition to this personal coverage, the need for timely cessation of the travel product is brought to the attention of students in other ways. For example, the way in which the travel product can be stopped is clearly explained on the website of DUO and on the website www.studentreisproduct.nl. In addition, 260,000 students receive a newsletter four times a year which pays attention to this. DUO also sends a monthly message via Twitter to the DUO followers, calling for the travel product to be stopped in time at a pick-up machine. Finally, student organisations regularly inform their supporters of this and public transport companies have included information on the obligation to stop the travel product in good time on their websites and in their leaflets. So we've been doing a lot of things. Students must be able to read this information in many ways. The big problem is that most of those messages are sent to My DUO. They come to students indirectly. They only hear that they must go to My DUO and do not immediately receive a message stating that they must act now. That's what I'd love to do. However, that is not possible, because I have to deal with all kinds of regulations on privacy sensitivity. I can't just do that. So it's not as simple as we might think. To complete the story, I'm also going into progress. If there is an actual claim, there will be a decision stating the origin of the debt, its reason and how to prevent a higher debt. If the student still receives student funding, the claim will be settled. If there are no more payments, a payment request will be sent. If there's no response, there's a memory. If there is once again no response, a warning will follow. In the event of an increase in debt, this cycle starts over and over again. As part of the information campaign, Mr Van Meenen asked whether the message could not be a little less general and whether the student could not simply get a message via e-mail, whatsapp, text or whatever, stating: "You have to do something now, otherwise you will get a fine." I'd say I could do that now. I indicated in my letter of June that I am working to improve communication. This communication, as I say to Mr Duisenberg, is currently being worked with DUO, transporters and student organisations. Part of this is to see if a notification message can be less common. At present, privacy laws are still preventing this. We cannot just send students an e-mail or text message: beware, you will get a fine if you do nothing now. Moreover, it is not the case that a student suddenly receives a claim. Before it is done and even if the claim has already been imposed, the student is repeatedly informed. So we have a lot of ways to inform students. Mr Mohandis asked whether or not we are aware of this in the case of students who do not cancel the card; one does not cancel the card because the information is not adequate; the other may knowingly not be able to see if they have travelled with their card. No, DUO can't see the data itself. If I could, it would be easier. Then you could find out more easily whether a former student really shows calculating treaty to abuse the O.V. card. If DUO does want to access these data, they must be requested individually. We are talking about 100,000 students a year and DUO should follow these students every two weeks for a whole year. What is even more important is that we would not consider it desirable either, because the government would then follow very closely the travel behaviour of a huge group of citizens. Let us not forget that the students are more than 30% of the travelers. The students are therefore crucial for the survival of all OPT parties. Due to all privacy legislation and advice, it would not be possible to make such a large proportion of travellers subject to a very far-reaching data check. Several members, including Mr Mohandis, Mr Van Meenen, Mr Rog and Mrs Siderius, have asked why there can be no automatic termination. That is a crucial question. I told you, that's the absolute preferred option. It would be the simplest thing to do if we were able to say with the O.V. parties: if you quit your study, that would automatically lead to the end of the O.V. card. Unfortunately, this cannot be done for technical reasons. I wish I could! I would very much like to talk to the O.V. parties about that. Here too, we are talking about a huge group of travellers. In fact, the public transport operators estimate that 160,000 students each year have the right to use the public transport card. That's a huge number. It is now the case that unjust possession of student travel rights ends after 12 months with the end of the public transport card. After that time, the card comes on the so-called black list of the transporters. 10% of former students who do not terminate their travel rights in due course keep this in possession for the full 12 months. There are so many of them. The system of the black list is technically very complex. This is also used by public transport operators to exclude and invalidate stolen cards or cards which are fraudulently used. If a card landed on the black list is held against a post, the subscription that is wrongly held will be removed. That's how it works now. According to transport operators, the system is not originally intended to remove student travel rights from maps of former students. That's too bad. You could say: if we had thought it up better with each other then, we might have been a lot further. We can do a lot with technology, but we can't do everything. We must be very careful not to make systems completely crazy either. I have experience of this as the minister responsible for DUO. I know how complicated that is. I am glad that DUO is doing very well, that we are among the best performers. And I want to keep it that way. I don't want to mess up the whole public transport either. In short, I think this is the most desirable option in principle. I'd really like it to be possible, too. That is what we must strive for. But what I don't want right now is that as long as we can't do that and as long as we don't have that information in order 100%, the good will suffer the bad. We should not be distracted in that respect. I also think that we should not, in this respect, be distracted from what is at stake: a good provision for students. We have to keep pointing out to students that when they graduate, they have to turn in their I.V. card. We need to improve information on this. As far as I am concerned, once this information has been further improved, there is also the possibility of more differentiation, and therefore of applying a higher fine. I think that is also in line with the request made by the Chamber more than six months ago. At that time, therefore, we are going to increase the fine.
ParlaMint-NL_2016-12-15-tweedekamer-10.u68	I continue to wonder at the fact that apparently it is not possible to stop an OS student travel product automatically, while the Minister and the entire Chamber want it to. But that is the reality with which I have to live. We're just gonna file that motion. The Minister says that information will be improved. 90% already know, so that's all right. Still, it's gonna get even better. When will the Minister have that in order? Would it then help if we modified our amendment in such a way as to link it to a real date on which the Minister should have her information in order?
ParlaMint-NL_2016-12-15-tweedekamer-10.u69	Allow me, then, to begin by discussing the amendments. Then I have answered everything, including in the field of technology, and perhaps we can reach an overall conclusion. I come to speak on the amendment to item No. 9 by Mr Van Meenen. With this amendment, the author wants to ensure that students are not fined for the first month. It also provides for an increase in the number of working days for clarity to 20. I must advise against this amendment. Students are themselves responsible for canceling their travel product. They are pointed out through different channels and in different ways. If they do not stop their student travel product in time, there will be a claim. In fact, students can now stay in possession of a student travel product for up to five working days longer than they are entitled to without getting a claim. So I do not see anything to increase the deadline, also because it would have financial consequences. It also deviates from the principle of principle that I have previously exchanged with the Chamber. Students just have to stop their cards when they're not a student anymore. That's what I want to focus my energy on. I want to focus on improving the information position and then, if we can, I want to make a distinction between those who are in good faith and those who are really deliberately abusing that card. In the amendment to item No. 10 by Mr Van Meenen it is arranged that students do not pay a fine if they do not use the travel product after the travel right has been terminated. I would advise against that amendment. If you are entitled to a student travel product, you can load it on your OV-chipkaart. If you are no longer entitled, you simply have to remove the travel product from your OV card. It's as simple as that. And if you don't do that in time, you have to pay a claim as a student. By looking at whether or not students use that card, we are only further away from the path and away from the clear distinction that improper use should ultimately be punished. I agree with Mr Duisenberg and Mr Rog. In my view, it is also Mr Mohandis's commitment that unfair use should ultimately be punished. There are limits to the extent to which we can accommodate students. Apart from that, it would also be very complicated in practice. It would be hard to carry out. DUO must then, before it can impose a claim, check whether a student is still travelling with the student travel product every two weeks for more than 100,000 students for a whole year. If we were to check something for so many students, I would rather follow the previous option, namely to see if you could put them on that blacklist. I have already said that this is not possible. I really don't think this is a good option. I shall now turn to the Rog/Duisenberg amendment to item No. 13. I also advise against this amendment. We have discussed this with each other before, also on the basis of Amendment No Mohandis/Duisenberg. At that time the Chamber said that information is not yet in order, so that we do not have to increase it now. At that time, the Chamber said that it was undesirable to introduce this increase now. I have tried to listen to honour and conscience there. I have had that research carried out, from which we can draw the conclusion that less than one in every ten students exhibits strategic behavior. In other cases, even better communication and information is possible. This information is now being worked on. There have been talks with DUO, transporters and student organisations. Representatives of deans in MBO and higher education have also been asked to make proposals for improvement. On the basis of these talks, actions are now being developed. At the moment when communication has actually improved, I am prepared to engage with the student organisations, with the aim of preventing strategic behaviour. Then the increase of the claim as a real option appears. Then I am not fundamentally opposed to a stabbing, in the vein of: we give you two weeks or two weeks to communicate properly. However, I do not want to anticipate this. I was asked when this would happen. Well, I know that we do not yet have enough in order, because it is a very complex process. It could be the end of 2017. I would like to keep to the right order, namely that the Chamber allows me to further improve information and communication, which we are already working on. Then, at the time we have done so, I would be happy to make a proposal to the Chamber to make a clearer distinction between the group that is in good faith and the group that uses the student card for the wrong reasons. abused. This could very well include an increase in the fee for the use of that card.
ParlaMint-NL_2016-12-15-tweedekamer-10.u70	At the beginning of her speech, the Minister repeatedly talked about students' own responsibility for turning in that card and then went all the way along with the pathetic cult of the Labour Party and D66. I don't understand. What is the reason why the Minister accepts that 16,000 former students can continue to take advantage of this card on an annual basis?
ParlaMint-NL_2016-12-15-tweedekamer-10.u71	I have to say, I'm a little surprised at this accusation. I did so partly on the basis of the debate I had with the Chamber earlier. It clearly states that the amount of the fine must be maintained and that the increase in the fine must be waived: see Amendment No Mohandis/Duisenberg. We said at the time: let us first see what it is like. I am, in some respects, quite shocked by ResearchNed's research, because this indicated that more than my original story was, there was still some lack of information. I recognize that equestrianly. I think the government should get its affairs in order before we include students who are in good faith in the increase in the fine. As soon as we're in order, I'm willing to take action. See also my original bill. Nor are we that far apart in that respect.
ParlaMint-NL_2016-12-15-tweedekamer-10.u72	If only the Minister had been so careful in communicating with the introduction of the loan system, but that aside. The Minister says that she thinks she will have this done on 1 January 2018, but that she does not yet want to talk about a law in which that can be arranged. It does not want to set that amendment with a new date, so that students can prepare themselves for it. I believe that the Minister will explain this once again, especially in relation to the responsibility of students.
ParlaMint-NL_2016-12-15-tweedekamer-10.u73	Among other things, I learned from ResearchNed's report that reality is resilient and I hope we will have this in order by the end of 2017, but I can't guarantee it. We are talking about legislation here. I'd like to do things in the right order. I think I should first say to the Chamber that it is time and that we have it in order. Then it is not at all so complicated to settle that in a legislative proposal. You don't need a law of your own. By the way, we included the "O' card part in the BES study funding bill. Mr Van Meenen says that this is wrong. I do not think so, because we have been very explicit and transparent about this. We do that all the time. We also include parts in the adaptation of the WHW. That could be very good here, too. That is not something for which we need to go through a whole legislative process with years of procedures. If we, your Chamber and I, find together that the moment is when we have everything in order and that the government can make a good and sharp distinction between those who are too good and those who are too bad faith, then it really doesn't take much time to settle that in the law.
ParlaMint-NL_2016-12-15-tweedekamer-10.u74	Thank you very much.
ParlaMint-NL_2016-12-15-tweedekamer-10.u75	But it has to be in that order.
ParlaMint-NL_2016-12-15-tweedekamer-10.u76	Mr Duisenberg, would I really like to move on to the second term, or do you still have a very urgent interruption?
ParlaMint-NL_2016-12-15-tweedekamer-10.u77	DUO has already easily changed the introductory wording of the mail you receive. It just says in that e-mail: there is a payment request for you. It's as simple as that. I therefore ask the Minister once again how difficult it is to improve this information and to agree here that it is simply ready before 1 January 2018.
ParlaMint-NL_2016-12-15-tweedekamer-10.u78	I understand that it seems simple, but I am dealing with information that I may or may not pass on for privacy reasons and that DUO may or may not pass on. So it's not just a matter of changing something in an e-mail from DUO. We also need to make sure that we do it properly, so that we do not run into privacy rules. If we do it carelessly, then we are all farther away from home. There has to be only one student who appeals against it and then there can be nothing at all. It's no different. We must take due account of what is lawful and what is not in the legislation and information.
ParlaMint-NL_2016-12-15-tweedekamer-10.u79	If I listen to the Minister in this way, her conclusion, as far as I am concerned, is wrong, but I would like to explain to him that you must leave the fine as it is. Her previous proposal of that €150 on day one was perhaps a bit short. That was also why I said that you should not do that, because that is too short in turn and not well substantiated. In view of this report, I do not understand at all why the Minister maintains this €100. Why does it knowingly, knowingly and knowingly, maintain abuse of that card by students who have been educated and who have had a free travel right for five years? What's the base for that $100? Why not €50, €25, why not €200? That €150 might still have a good reason. It might have been rational, because those were the real costs. But I just don't get that $100.
ParlaMint-NL_2016-12-15-tweedekamer-10.u80	I think what Mr Duisenberg is doing is really a little lame. I can now bring forward his amendment very faintly once again. The amendment in part No. Mr Mohandis and Mr Duisenberg said that an increase to €150 per half month should be waived. Why was that?
ParlaMint-NL_2016-12-15-tweedekamer-10.u81	I have a point of order, Mr President. A point of order.
ParlaMint-NL_2016-12-15-tweedekamer-10.u82	Because the distinction between those who are in good faith and those who are in bad faith was not sharp. So what we are doing now is making sure that we can make that distinction sharp.
ParlaMint-NL_2016-12-15-tweedekamer-10.u83	I'll let the Minister finish her sentence, Mr Duisenberg. Listen up, colleagues. Let me say in general that it's five to eight. I know everyone's tired and we've had a busy education week. So I really want to move on to the second term as soon as possible. I now give the floor to Mr Duisenberg for a point of order.
ParlaMint-NL_2016-12-15-tweedekamer-10.u84	Actually, I just want to respond to this. It was just a very stupid proposal the minister made. I'm sorry, I can't help it. That is why the amendment has been tabled. Then the minister may have come up with other reasons, but it was just a silly proposal.
ParlaMint-NL_2016-12-15-tweedekamer-10.u85	Okay. If we're gonna talk this way, I'm gonna step in anyway. I ask the Minister whether she has already come to the end of her speech.
ParlaMint-NL_2016-12-15-tweedekamer-10.u86	I can go into this again, but I do not think that this is a significant contribution to the quality of the debate. I also think that it is not very well-founded and well-founded in terms of content, I have to say. I have seen Mr Duisenberg better. His reasoning is generally well founded. Let's not make it any bigger than it is. I'm very, very open to a table. I'm very open to an increase in the fine. If I can make a clearer distinction between those who now state that they have not been given enough information and that as such they experience it as a large group, which is actually simply in good faith and those who consciously abuse that card, I will not hesitate, with Mr Duisenberg, with Mr Rog and I also think with others in the Chamber, to ask for a higher remuneration for it. Again, students are no better, are no different and are certainly not more pathetic than other citizens. They must therefore simply pay, as well as everyone else, when it comes to the cost of an O.V. card. Then we shall once again agree on a very large part of the central reasoning, when I see the non-verbal movements in the Chamber.
ParlaMint-NL_2016-12-15-tweedekamer-10.u87	Oh, thank God. Thank you very much, Minister. Then we move on to the second term. From the side of the Chamber, I am the first to give the floor to Mr Mohandis.
ParlaMint-NL_2016-12-15-tweedekamer-10.u88	Mr. Chairman. I would like to thank the Minister for her detailed reply. I have two motions, as I have announced before. Given the time, I'll read them to you right away. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that research conducted by ResearchNed on behalf of the government found that only 10% of former students who do not end the student travel product or do so too late for strategic (financial) reasons;]] [[Considering that, on the basis of the high number of former students not knowingly and without intention stopping the travel product, the government is right to waive this substantial increase, which would unduly and extra affect many former students, on top of the already existing fine of €97 per half calendar month;]] [[considers that efforts should first be made to eliminate the reasons why former students stop their travel product too late, such as the use of improved information and a simple (online) method to stop the travel product;]] [[points out that there should be no increase in the fine and that solutions should first be developed to make students more aware and informed and, in so doing, to use simplification of the end of the travel product,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Mohandis, Mr Jasper van Dijk, Mr Grashoff, Mr Ouwehand, Mr Van Meenen and Mr Krol.]] [[She's getting No. kst-34331-14]]
ParlaMint-NL_2016-12-15-tweedekamer-10.u89	The subject of my second motion has already been discussed in the debate. That motion is about the possibility of ending the O.V. card online. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that research by ResearchNed on behalf of the government indicates that lack of knowledge is the reason for most students not to stop the travel product or not to stop it in time;]] [[Noting that the Minister in her letter of 17 June. in response to the report, indicated that it would refrain from increasing the fine for improper possession of the student travel product and to focus more on communication and information;]] [[Considers that this is in the right order, first focusing on information and communication and then on how to continue to combat "strategic behaviour" by a small group of 10% of former students;]] [[Considers that alternative technical methods should also be considered in order to facilitate the cessation of the travel product, e.g. through the online or automatic termination of the student travel product if the right to travel expires;]] [[calls on the Government to discuss this matter with the relevant public transport companies and to facilitate the cessation of the travel product and to inform the Court of Justice in spring 2017,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Mohandis, Mr Jasper van Dijk, Mr Grashoff, Mr Ouwehand, Mr Van Meenen and Mr Krol.]] [[She's getting No. kst-34331-15]]
ParlaMint-NL_2016-12-15-tweedekamer-10.u90	Mr. Chairman. How nice it would be if we didn't have to have this debate because the card would end automatically and it would all go automatically in 2016. That'd be great. But I think this is a fairly fundamental debate, also because it is simply about public resources. So let's zoom out for a second. As the Minister said, students aren't pathetic. I think we all agree on that. These are the highly educated people of the Netherlands. They are educated at the highest level. That's what the Minister defends every day. I think we can say here that these students really can handle a lot. They are free of charge for five years of travel duty of €4,000 per year. Of these students, 90% are on time with the strike, but 10% are unable to do so. The minister said earlier that the latter has to do with laxity. She didn't say that during this debate, but she did say that in the media before. For another part, it just has to do with deliberate abuse. The Minister's first proposal, which was almost a year ago, was 'unwise'; I say to Parliament. However, the proposal now before us may be even more ill-advised. I do not understand why the Minister, the PvdA, D66 and the SP simply continue to allow the abuse in question with this proposal to maintain the fine, which is simply not justified. I welcome the efforts being made to further improve the provision of information. I also hear that we are open to a statement and that there is broad support for it. Finally, I would like to propose, including my fellow Members, that we include in our amendment that this will enter into force on a date to be specified when the information is in order, for example on 1 January 2018 or as much earlier as possible. I hope that we can do justice to both sides of this story. I hope that we will be able to ensure that the abuse is no longer allowed by parties on the left side of the Chamber. The taxpayer has to pay for this abuse.
ParlaMint-NL_2016-12-15-tweedekamer-10.u91	Thank you very much. I call Mrs Siderius. I see that she does not give up her speaking time in the second term. I call Mr Rog.
ParlaMint-NL_2016-12-15-tweedekamer-10.u92	Mr. Chairman. I don't think the Netherlands understands anything. We are talking here in The Hague about a so-called 'fine', when we really want to charge students the real costs of an O.V. travel right that they have wrongly. The Minister has exhausted himself in his reply, for which he thanked, on the way in which DUO is already communicating with students. The discussion now seems to focus on something very strange. The Minister suddenly makes a distinction between students who, in good faith, do not turn in the card and students who, in bad faith, do not hand in the card. However, we are talking about the right to have a student travel product or the wrong to have a student travel product. If former students are no longer entitled to the student travel product, I just want them to have the bill presented. I do not understand the attitude of D66 and the Labour Party, but so be it. I have two motions, which I have tabled together with Mr Duisenberg. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas part of the students do not cease the student card because they find the communication of DUO on the termination of the right to the card unclear and have the first fine reported;]] [[calls on the Government to encourage DUO to communicate in a clear and distinctive manner the imminent end of the right to use the card, as well as former students, if they are fined for improper possession of an OS student card, to inform without delay,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that in 2014, 60,000 students paid a fine of at least €97 for not stopping their student card in time;]] [[noting that DUO is aware of each student when the right to study funding is terminated and that this right is linked to the right to an O.V. student card;]] [[calls on the Government, in consultation with interested parties such as DUO and the NS, to stop the student card automatically if the right to do so has been terminated,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Rog and Mr Duisenberg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34331-16]] [[This motion was tabled by Mr Rog and Mr Duisenberg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34331-17]]
ParlaMint-NL_2016-12-15-tweedekamer-10.u93	If automatic cessation is not possible, I am very much in favour of the amendment I tabled together with Mr Duisenberg. Otherwise we as a Chamber legitimize improper, calculating use of the OV card by 10% of former students. If I understood the Minister correctly that this is a group of 160,000 former students, it is 16,000 former students. I'd think it'd be a lot of fun if this house legitimized abuse.
ParlaMint-NL_2016-12-15-tweedekamer-10.u94	I am happy to give the floor to the Minister.
ParlaMint-NL_2016-12-15-tweedekamer-10.u95	Mr. Chairman. I'll walk by the motions. In the motion Mohandis c.s. in piece No. 14 points out that it is first necessary to work on solutions to raise awareness and information among students, while also focusing on simplifying the termination of the travel product. I'll leave the verdict on this motion to the Chamber. This is in line with what I said earlier, namely that it is very important that this communication is indeed improved. The applicants state that there should be no increase in the fine or, formally, in the recovery of the costs of the O.V. product and that this solution should first be worked on. That's in line with what I indicated. So I could say that this is policy support. I shall therefore leave this motion to the House. I really believe that recovery should be made when we have improved it, but I read that in the motion as well.
ParlaMint-NL_2016-12-15-tweedekamer-10.u96	Let me be clear, so that I can give my group good advice: what exactly is the Minister going to change as a result of this ruling by the Chamber?
ParlaMint-NL_2016-12-15-tweedekamer-10.u97	Like I said, it's policy support.
ParlaMint-NL_2016-12-15-tweedekamer-10.u98	So it's an unnecessary motion?
ParlaMint-NL_2016-12-15-tweedekamer-10.u99	Well, I don't think she's entirely unnecessary, because the place we're standing right now is marked in it. The motion also sets out the order of things, which is different from what is indicated in the amendments. I have to admit that, in my opinion, it is not very far apart, but there is a different emphasis in this. That is why I see this motion as a support for policy and, in this case, leave it to the Chamber to decide. In the motion Mohandis c.s. in piece No. 15 The Government is invited to discuss alternatives to facilitate the cessation of the travel product and to inform the Court of Justice in spring 2017. I like this motion, but I do have a problem with "spring 2017." I said earlier in an interrupting debate with Mr Rog and Mr Duisenberg that I hope that we will have everything in order by the end of 2017, but unfortunately not everything we would like is technically feasible. We're working on that as fast as we can, but that's not one-two-three solved. We need to discuss how to do this, not only with DUO, but also with the OB parties, and there are several. Spring 2017 is really not feasible, but summer 2017 would be feasible. With the remark that "spring of 2017" can be made "summer of 2017," I leave the verdict on this motion to the Chamber.
ParlaMint-NL_2016-12-15-tweedekamer-10.u100	Summer of 2017.
ParlaMint-NL_2016-12-15-tweedekamer-10.u101	I can live with that remark. We are concerned with the result and the care. With this addition I can and can live the rest of the proposers.
ParlaMint-NL_2016-12-15-tweedekamer-10.u102	So, if I understand you correctly, would you like to change the motion here and make it "in the summer of 2017"? For then that is settled. Is that right? I see that this is the case. Then we'll do it for you.
ParlaMint-NL_2016-12-15-tweedekamer-10.u103	The motion Mohandis c.s. (, No ) has been amended to read as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that research by ResearchNed on behalf of the government indicates that lack of knowledge is the reason for most students not to stop the travel product or not to stop it in time;]] [[Noting that the Minister in her letter of 17 June. in response to the report, indicated that it would refrain from increasing the fine for improper possession of the student travel product and to focus more on communication and information;]] [[Considers that this is in the right order, first focusing on information and communication and then on how to continue to combat "strategic behaviour" by a small group of 10% of former students;]] [[Considers that alternative technical methods should also be considered in order to facilitate the cessation of the travel product, e.g. through the online or automatic termination of the student travel product if the right to travel expires;]] [[calls on the Government to discuss this matter with the relevant public transport companies and to facilitate the cessation of the travel product and to inform the Court of Justice in the summer of 2017,]] [[and goes to the order of the day.]] She gets no, was no. 15 ().
ParlaMint-NL_2016-12-15-tweedekamer-10.u104	The Rog/Duisenberg motion in part No. 16 contains parts of the Mohandis c.s. motion. in piece No. 14, but this motion actually calls on the government to encourage DUO to communicate in a clear and distinctive way about the further end of the right to use the card and to inform students about its improper possession. I also see this motion as a support for policy, but I really cannot find any more emphasis here than what is already in my letter. For that reason, I advise against this motion. In the motion in part No. 17 the Government is invited, in consultation with interested parties, to conclude an automatic termination of the student card if the right to do so has been terminated. On this motion, I'll leave the verdict to the Chamber. This is also support for policies, but there is also an additional incentive to come to the specific solution of automatic discontinuation. I would totally love it if the Chamber would be able to make the motion in part no. 15 and the motion in part No. 17 to be put together. In fact, they are very close together. Then I can promise the Chamber that I will also inform her about the automatic shutdown in the summer of 2017. Mr Duisenberg announced that he might be prepared to amend the amendment. I find it complicated. It is an amendment that calls for the law to be amended. There may be a date to be determined, but that does mean that you can no longer get out of it. I want to do things in order as I have indicated here. That mostly corresponds to the motion in part No. 14 by Mr Mohandis and others Again, if we agree at the end of 2017 that it is justified to do it then, then it is not really complicated, given all the above, to do it with one of the laws relating to study funding or.q. higher education in the short term. That is what I really prefer to do rather than change the law now, because it sends out the wrong signals. In this context, I have a more positive appreciation of Mr Mohandis' motion. Again, I see that the Chamber and I are not very far apart from each other in the end. They're accent differences. Mr. Chairman. I'll leave it at that.
ParlaMint-NL_2016-12-15-tweedekamer-10.u105	The votes on the amendments, the motions and the legislative proposal will take place next Tuesday.
