ParlaMint-NL_2016-02-16-eerstekamer-6.u1	I would like to welcome the Minister of Security and Justice to the First Chamber.
ParlaMint-NL_2016-02-16-eerstekamer-6.u53	Mr. Chairman. The European Nationality Convention is clear: a State which has endorsed the Convention may provide in its national law for the loss of nationality in the event of conduct seriously affecting the essential interests of the State which is a party. Moreover, that provision is only possible if it does not render the person concerned Stateless. This is the result of the UN Convention to limit statelessness. I ask the Minister immediately whether this is the treaty framework within which he works and wants to continue to work, or whether he wants to adapt. Those who go through the proposals of the Ministry in recent years can get a different picture. Back to the loss assessment. I quote from one of the minister's ministers: "There are serious problems with such a provision. In particular, it will be necessary to impose high requirements on evidence to take account of the far-reaching consequences of the withdrawal of nationality; only if it is established that the person concerned has acted in a way that has harmed the essential interests of the country, nationality may be withdrawn. The person concerned will not provide the necessary information himself soon and it will often be difficult to collect the necessary evidence by other means. The Belgian and Slovenian authorities, whose legislation has a similar loss clause, have indicated that, precisely in view of the high requirements to be imposed on the proof, the removal of nationality in the cases referred to here is virtually non-existent in practice. Considering this, I believe that the inclusion of such a provision in the Rijkswet op het Nederlanderschap should be waived." Was signed, one of the ministers of this Minister of Justice, in a letter in the course of the examination of the Rijkswet op het Nederlanderschap in September 2000. Times are changing. We are seeing new forms of terrorism, which unfortunately also attracts hundreds of young people in our country. This calls for a firm and well-founded approach to this new phase in terrorism. The criminal consequences, as well as the consequences for the citizenship of the Kingdom, must be considered when compatriots become sympathetic to a terrorist group, prepare to join such a group or even participate in terrorist acts. But the urge for a good and effective approach must also remain an encouragement to weigh up new legislation on usefulness, necessity and effectiveness. The Minister argues that this bill expresses that the Netherlands should not in any way facilitate the commission of foreign terrorist offences or to prepare persons for the commission of terrorist offences. Can the Minister explain how Dutch citizenship is facilitating for the persons covered by the functioning of this bill? After all, is the other nationality that they own not so much as facilitating the legislative proposal only for citizens of dual nationality? What happens in the case of a similar loss determination in the other country of origin? More importantly, what makes this proposed provision useful in comparison with the remarks made by the minister's predecessor in 2000? At that time, European colleagues who had such a provision in the law themselves pointed out that there was hardly any practical application. Did the Minister request an update from his colleagues? The Minister argues that a conviction under Article 134a of the Criminal Code is sufficient to assume that the essential interests of the State have been harmed. That's what he's deriving from the eight-year sentence. But in our country, fortunately, we don't have minimum sentences. The judge is judging. Suppose the judge sentenced one suspect to one year and another to eight years in jail on the basis of this article. Does it matter? If not, how can the Minister argue that, on the basis of the penalty level, this article already makes it clear that the essential interests of the State have been harmed? What exactly are these essential interests, according to the Minister? It is difficult to define on the basis of penalties. I know that the Rijkswet op het Nederlanderschap is already coming to that reasoning by the penalty level, but precisely because we have already seen examples of minors who collect there are more extremes to mention, I think it is important for the Minister to define more precisely what these essential interests are. Can the Minister also indicate the number of convictions under Article 134a of the Criminal Code? Then there's the procedure for this bill. For such a well-defined little bill, that is what the procedure is called downright messy. Let me start with the consultation phase. The Advisory Committee on Foreign Affairs and the Judicial Board have been consulted. Why only the former advisory committee? This is Dutch, isn't it? Why not other advisory committees, such as the State Committee on Private International Law and the Advisory Committee on Civil Status and Nationality? Since the bill was tabled on 30 August in response to an approved motion of the House of Representatives which mentioned 1 September as a deadline, my group has been concerned that the speed has not had any effect on due diligence. After the draft law was issued with a blank opinion from the Council of State, a letter of amendment was followed which is certainly not technical. While the Minister is rather proud of that blank advice, he refuses to submit the amendment to the Council of State. That raises questions. The amendment affects the principle of legality. As a result, the right of transition is limited. I am trying to sum up the Minister's reasoning: because the amendment of the National Law does not concern criminal law, but administrative law, the principle does not apply that a conduct can only be punishable if there was a law at the time of the crime. According to the Minister, the Rijkswet is not about the criminality of a behavior. At the same time, I believe that this is a sanction which makes itself felt not only administratively, but also punitively. The Minister doesn't deny that. With this reasoning, therefore, administrative sanctions are possible on the basis of criminally convicted offences where one could not yet know at the time of committing the offence that there would be an administrative sanction. My group feels uncomfortable with this reasoning. We would have liked to have heard the opinion of the Council of State on this. I would also like to ask whether this reasoning has a precedent. In combating the connection with terrorist organisations and combating radicalisation, the Christian Union expects the salvation to a lesser extent of this type of legislation and much more of the struggle for ideas, solid deradicalisation paths with proven working methods, effective criminal prosecution in crimes and no mercy for the spread of hate-bearing ideology that calls for violence. How's that going? Isn't it more important to put all the energy in there? Of course, there are situations that are conceivable that the only consequence is that the Dutchmanship is being taken away. The law already mentions about 60 possibilities. I look forward to the Minister's reply to hear why Article 134a of the Penal Code should be added to it and listen particularly carefully to his answer to our questions.
ParlaMint-NL_2016-02-16-eerstekamer-6.u54	Mr. Chairman. I have the honour and the pleasure of speaking again after a long time, partly on behalf of the OSF Group. This, of course, gives my contribution a special weight. This legislative proposal allows for an extension to take away Dutch citizenship in cases where there is assistance in committing terrorist activities or in the preparation of such activities. A conviction based on Article 134a of the Code of Criminal Law, which criminalizes these conducts, has so far not been able to impose the measure to withdraw the Dutch citizenship. The fact that the legislator considers these acts to be serious is demonstrated by the degree of punishment: a prison sentence of up to eight years. It reflects the seriousness of the breach of the essential interests of the State. With the proposal to take away the Dutch community after a criminal conviction, the cabinet wants to express that the Dutch community should not in any way facilitate the commission of foreign terrorist offences or to prepare persons for them.
ParlaMint-NL_2016-02-16-eerstekamer-6.u55	I hear Mr Engels say that the seriousness of the offences is evident from the level of punishment. However, it may well be that the judge does not impose any penalty or measure. So, what's the seriousness of it?
ParlaMint-NL_2016-02-16-eerstekamer-6.u56	From the ruling given by the legislator in this article of law. I repeat what seems to have been the judgement of the legislator to attach this maximum penalty to the crime. It's a description.
ParlaMint-NL_2016-02-16-eerstekamer-6.u57	It doesn't have to be a serious crime, does it?
ParlaMint-NL_2016-02-16-eerstekamer-6.u58	Then we'll be in a different phase. I have only spoken about what seems to have been the will of the legislator. I do not consider the extent to which, in a specific case, the application of this legal provision by the judge could or could not be a serious offence. That's casuistic.
ParlaMint-NL_2016-02-16-eerstekamer-6.u59	Finally, Mrs Wezel.
ParlaMint-NL_2016-02-16-eerstekamer-6.u60	We're here to determine if 134a is added to 14, paragraph 2. We decide here whether, on the basis of a conviction, Dutch citizenship can be taken away. A conviction based on 134a can be very limited. The actions can be very limited. Does that justify, in D66's view, that in all cases the Dutch community can be deprived of it?
ParlaMint-NL_2016-02-16-eerstekamer-6.u61	I'm not ready for that question at all. I'm just getting started.
ParlaMint-NL_2016-02-16-eerstekamer-6.u62	I'd like you to answer my question.
ParlaMint-NL_2016-02-16-eerstekamer-6.u63	Then you'll have to be patient.
ParlaMint-NL_2016-02-16-eerstekamer-6.u64	Mr Engels continued his speech.
ParlaMint-NL_2016-02-16-eerstekamer-6.u65	Thank you very much, Mr President. In general terms and on its own, this can be regarded as a reasonable and understandable objective. The European Convention on Nationality (EVN) also allows for the withdrawal of nationality in conduct which seriously harms the essential interests of the State. Apparently, the bill does not focus, at least not primarily, on increasing state security and combating jihadism. The government states in the reply that the legislative proposal does not seek to change the existing system of withdrawal of Dutch citizenship. The aim of the proposal is merely to extend the already existing wide scope for the withdrawal of Dutch citizenship. In the meantime, it is striking that, according to the explanatory statement by the cabinet, this bill is nevertheless explicitly placed in the context of the fight against jihadism. After all, the cabinet wants to implement a motion by Mr Dijkhoff, who wanted to strengthen the possibilities for the loss of Dutch citizenship in terrorist activities. Earlier, this ambition was reflected in the cabinet letter of 30 June 2014 on measures for what is called the "approach" of jihadism in today's political language. It is not for nothing that the explanatory statement explicitly mentions the relevance of the proposal for so-called Syrians and the consequences for the Dutch legal order in case of return to the Netherlands. The D66 and OSF groups cannot entirely escape the impression that the proposal is also intended to contribute to the reduction of jihadism and the prevention of the exodus of Dutch young people to Syria. The fact that a bill has been announced in the Plan of Action on jihadism and is now before the Council of State for the amendment of the National Law on the Netherlands for the withdrawal of Dutch citizenship in the interest of national security does not remove this impression. I would ask the Minister once again to state exactly what the position and significance of this bill is in the government's policy on combating jihadism. A second issue concerns the impact of the draft law on Dutch people of dual nationality. We understand that international law prevents the application of a national legal rule, in this case the withdrawal of Dutch citizenship, from leading to statelessness. It could be concluded that the Netherlands with a dual nationality enjoy less protection or even that there could be legal inequality. After the withdrawal of Dutch citizenship, they will not become stateless. They are then subject to foreign law, which may have consequences after the sentence has been served. The Minister states in the reply that there is a justified and necessary distinction here. On this point, the D66 Group and the OSF still need a more detailed explanation. The Minister may refer to the protection of the Treaty against statelessness as a basis for a distinction in the basic position of nationality which is justified and necessary. I would like to hear whether our groups have seen this correctly. I would also like to ask the Minister to confirm that the share of a crime, the seriousness of a crime and the actual imposition of penalties cannot be grounds for making a difference in the application of this bill by adopting an administrative measure in the case of Dutch nationals of dual nationality. My group then drew attention in the written preparation to the amendment of the transitional right in the case of amendments. This amendment, on which the Council of State has not been able to advise, makes it possible to deprive the Netherlands of the Dutch citizenship of persons convicted under Article 134a of the Code of Criminal Law, after the new law has entered into force, but who have committed the conduct before the entry into force of this law. Questions on possible complications in the light of the concept of "criminal charge" in Article 6 of the ECHR and the principle of legality guaranteed in Article 7 of the ECHR have turned the government away by stating that the Minister's decision is subject to administrative law and not to criminal law. This decision could not be regarded as a criminal measure and therefore could not be found to be contrary to the ECHR. In the interpretation of Article 7 of the ECHR, no penalty without a legal basis...................................................................................................................................................................................................................................................... The initial question when assessing a measure in the light of Article 7 of the ECHR is whether the measure follows a conviction for a crime. In assessing the criminal nature of a sanction, the European Court also considers, for example, whether the disadvantage to the convicted person by imposing the penalty or the measure was greater than he or she had to contend with in the course of conduct. The Group of the Party of European Socialists and of the European People's Party (Christian Democrats) and European Democrats are not convinced that such a serious measure as the withdrawal of Dutch citizenship, although not punitive in nature and not automatic in criminal proceedings, could not be brought under the term 'penalty' by the European Court of Human Rights. In other words, our political groups are hesitant as to whether the adapted transitional law can maintain a constitutional status and I would ask the Minister once again to state explicitly what risk the Dutch State is running here. I look forward to the Minister's reply.
ParlaMint-NL_2016-02-16-eerstekamer-6.u66	Mr. Chairman. Two years, almost two full years, the Ministry of Security and Justice had to quibble and weigh, dubbe and tub, before the government could submit to the Second Chamber the bill "Amendment of the Rijkswet op het Nederlanderschap in order to extend the possibilities for depriving the Netherlands of terrorist offences." A whole mouthful for a very slimming version of the initial proposal. The original motion, which of course could count on the support of the PVV, went a lot further and was a lot firmer. In this motion, the government was called upon to deny nationality to persons convicted of participating in a terrorist organisation. Now only a few opportunities are being extended for taking away the Dutchmanship, but that's all. Another year later, we're standing here, in the First Chamber. That concerns my first comment and ask the Minister. The Netherlands must make a catch-up with regard to creating the right anti-terrorist measures. That includes new laws. They must be carefully established. I would like to hear from the Minister whether he agrees with me that things can be done faster and faster. I'd like to get a response from the Minister. As far as my group is concerned, it must also be a lot tougher, but that will prove difficult, at least with this cabinet. This bill also shows how our cabinet is more afraid of the European judges and of the European treaties than of the terrorists. As far as PVV is concerned, the European treaties are not sacrosanct or heavenly. They are only tolerated, in another century, in another time, closed in another reality. Once the Netherlands sees that these treaties restrict us in our war on terrorism, then we must amend those treaties or, if they do not succeed, withdraw from them. Countries around us, such as England and France, have adopted stricter laws in the fight against terror and are therefore less attracted to those silly judges in their ivory towers in Luxembourg or Strasbourg. A few years ago, the Netherlands was still lovingly called the best boy in the European class. I fear that ISIS cum suis Netherlands will find Europe's biggest loser in this context. We are therefore talking today about only a marginal extension of the possibilities for depriving the Netherlands of terrorist offences, a marginal extension that we, as a PVV group, will support. After all, something is better than nothing. The current threat level in the Netherlands is, according to the National Coordinator on Counter-Terrorism and Security, substantial. This means that the chance of an attack in the Netherlands is real. It is now time to roll up the sleeves and take the necessary measures to give our citizens the protection they and we are entitled to. The radicalisation of immigrants is particularly alarming. The failing integration of large groups of Muslims in the Netherlands, combined with a constant influx of new asylum seekers, often combat-ready young men from Islamic countries, rapidly leads to a huge fifth column within our own borders. These are at least people who reject Western society with all its freedoms and other achievements. At worst, and unfortunately many of these have already made headlines, they are life-threatening terrorists, who are ready and able at any time, at any time, to blow up yourself, you, your children, the train in which you are travelling, the airport in which you are flying, the hotel in which you are sleeping, the school where your children are sitting or the shopping streets where we do our shopping. The terrorist in 2016 leans on international networks, increasing the impact of the local terrorist spectacularly. Three quarters of the Dutch Muslims qualify Syrians as heroes, and up to an average of 25% of Muslims support terrorism or would be willing to support it. I refer, respectively, to the investigations of Motivation and Pew Research Center. Worldwide, terrorist organisations have approximately 3 million comrades. The Dutch contribution is not childish with about 200,000 potential Allah soldiers. The purpose of these religious fanatics is to overthrow everything we have built in the free West. With multiple attacks in New York, Paris, Tel Aviv, Amsterdam, London, Madrid and many other cities, the terrorists have proven to be able to take a hell of a lot of hits, blows that can and will seriously disrupt our free societies and seriously reduce the sense of security. The Netherlands must take a package of measures. We must not fall into the trap of terrorist propaganda and gain sympathy or understanding for the purpose of a terrorist organisation. Terror is never a legitimate weapon, in any fight. The sanction for committing and supporting terrorist attacks must be greatly increased and our Ministry of Security and Justice must work more quickly and seriously on such legislative proposals, with more urgency and more seriousness at least than the legislative proposal we are debating today. I am convinced that if we are really committed, we will have the capacity to defeat terrorism. All we need is the world.
ParlaMint-NL_2016-02-16-eerstekamer-6.u67	Mr. Chairman. With this bill, the cabinet is taking another step in making Dutchmen conditional, and in tightening the distinction between Dutchmen with a second nationality and Dutchmen who do not. According to the Cabinet, there's nothing new under the sun. Another crime is added to the grounds for the withdrawal of Article 14 (2) of the Rijkswet op het Nederlanderschap. This time, in short, it is a broad definition of preparatory actions relating to the commission of a terrorist offence. You can reason that the Dutch system already provides for a criminal conviction in respect of 60 crimes as a grounds for withdrawal, and so there is no reason for a critical reflection on this bill anymore. My group feels differently about this. Each step widens the gap between groups of Dutch and therefore raises questions about the necessity and proportionality of the withdrawal. Article 134a of the Criminal Code is very broad. Mrs Wezel has already mentioned a number of examples that could be included. It may be a presence in a terrorist training camp or the acquisition of knowledge necessary for the preparation or commission of a terrorist offence, or, for example, the collection. The context is very important for a criminal conviction. The acts must be linked to a terrorist offence. The assessment is only left to the criminal court. My group understands from the written response that the decision to withdraw is not based on the degree of culpability or seriousness, unless there is a conviction without penalty or a low sentence due to greatly reduced accountability. My group would like to know why the actual imposition of penalties does not play a role in the decision to withdraw. Suppose the judge sentenced someone to two years in prison, because his role is considered relatively small. Then that's a relevant fact, isn't it? The condition for the withdrawal is that the conduct constitutes serious damage to the essential interests of the Dutch State, on the basis of Article 7 of the European Convention on Nationality. So I'd like an explanation of that. Next, the starting point is withdrawal, unless there are special circumstances that stand in the way. Does this principle guarantee a complete, integrated individual consideration of the interests and circumstances, in order to examine whether the withdrawal is proportionate? My group would like to clarify this further, because that is not yet clear to us. For example, the Minister writes that age can play a role, but whether the Dutchman was born here does not matter. The relationship with the country of origin does not play an independent role either, the Minister writes. To what extent will all the elements be taken into account and how will this become apparent in the final decision? In assessing this legislative proposal, it is also important whether Union law is a review framework or not. In the Rottmann judgment, it has been mentioned before, the Court of Justice has ruled that Member States must respect EU law in the exercise of their competence in matters of nationality. In the case of decisions which may lead to the loss of nationality, the State will have to apply the proportionality test, taking into account the possession of European citizenship and its rights. As my group has already pointed out, in addition to the principles of Union law, the Charter of Fundamental Rights also plays a role, including Article 24, which entitles children to direct relations with both parents and the obligation to make the child's interests the first consideration for Member States. Article 7 also obliges Member States to respect the right to family life. Article 47 implies that the judicial review of such a revocation decision takes place in full, so that the judge can also properly examine whether all interests and circumstances have been sufficiently taken into account. The question is therefore whether the Minister recognises these Union-law obligations for this bill and whether he complies with them in the withdrawal procedures and precisely what that individual assessment is about. The withdrawal of Dutch citizenship is a very serious intervention in someone's life. That withdrawal has far-reaching consequences and comes on top of a criminal conviction, which has already sanctioned the crime itself. The cabinet does not want to call the withdrawal a punitive sanction, and that is precisely why it must be able to justify that withdrawal is really necessary in order to prevent a serious violation of Dutch interests. Furthermore, my group would like to join the groups of D66 and the OSF, which question whether the ECHR is also applicable in relation to its punitive nature. The question raised by my group is: does the proposal to withdraw not show insufficient confidence in our criminal justice system? Our criminal law is also intended to prevent such a violation, and our investigation policy is also aimed at finding a possible repetition quickly. Why is the withdrawal of Dutch citizenship necessary to safeguard these interests, when no terrorist offence has been committed in this case? That question is important because of the far-reaching consequences of the measure. Given the strict gliding scale for foreigners, there is no doubt that the former Netherlands and the entire Union area will have to leave, often accompanied by an entry ban for years. As a result, the person concerned must break his ties with family members, friends and acquaintances and often with the country in which he grew up, with his own country. It may be that he has no connection with the country of second nationality and does not even speak its language. As a minister, you must be quite sure that the withdrawal is nevertheless strictly necessary in order to prevent a serious violation of an essential state interest. Does this constitute a separate consideration or does the Minister believe that the conviction under Article 134a of criminal law always lead to such an infringement? In our view, this should be examined separately. I would like to join Mrs Bikker's questions on the criteria for carrying out that test. Another objection from my group to the ever-expanding category of grounds for withdrawal is the distinction between two groups of Dutch. After all, a Dutchman without a second nationality who is convicted of the exact same crime is not withdrawn and other Dutch people do. Is it possible to state in such a situation that even then withdrawal is strictly necessary to protect an essential interest of the Dutch State, but that this cannot be done because of legal obstacles? Apparently we know how to take such measures that this group of Dutch people can live in our society. Does that make our society extremely dangerous? As far as this group is concerned, we have to deal with the functioning of criminal law. The fact that these measures do not apply to all Dutch people therefore raises questions about the need for a specific group. The government therefore makes a heavy distinction between two groups of Dutch. This requires a very important objective justification. My group does not think that this international commitment to one group is a convincing justification. This is all the more so because it is not a terrorist offence as such but merely a behavior that can be associated with it. I ask the Minister to also comment on the ECHR judgment in the "Hode and Abdi' case of 2013. In that case, the United Kingdom distinguished between two groups in exactly the same situation and also invoked international obligations. However, in response, the Court stated that this was not sufficient justification for making such a distinction. I'm gonna be happy to get an explanation about it later. I ask the Minister how he looks at Dutch citizenship. Traditionally, the consequence of naturalisation is that you become a citizen like all citizens in the Netherlands, with the same rights and duties. Revocation was a very high exception not so long ago. With the extension of the grounds for withdrawal, the question becomes more pressing as to whether we can also gain a different understanding of Dutch citizenship or have a different perception of it. Does the Cabinet consider it possible to be some kind of conditional right? My group believes that we should be very careful about this. We must not create first and second-class citizens. A Dutchman committing a crime is our Dutchman, our criminal, whom we must punish. In particular, let us invest heavily in preventing such crimes, in preventing radicalisation. Finally, the right of transition. In view of the principle of legal certainty, my group believes that the withdrawal should only be applied to offences committed after the entry into force of the law. After all, someone must know in advance what the consequence of his behaviour may be. Why does the cabinet not adhere to this principle? The Minister thinks he can apply this limited transitional right, because it is not criminal law. However, the Minister does not recognise the profound consequences I have outlined for this. That is why I am still pleading that the law should not be applied to crimes that have already been committed before the bill, if it is already passed, should the law reach the Official Journal.
ParlaMint-NL_2016-02-16-eerstekamer-6.u68	Mr. Chairman. The threat of terror has quite a grip on the Western world. The terrorist attacks we have been facing, the horrible events at Charlie Hebdo and last November in Paris, to mention a few recent examples close to home, have left deep traces, not only because of the human dramas and suffering they have brought, but also because of the fear and social instability that these attacks have caused. These examples are not isolated, but we must place them in the context of international developments: the instability on the edges of Europe, Africa and the Middle East and the violence of IS, which is the right thing to do to create political, social and social instability and which has no message of the values of our democratic rule of law. We must therefore place this bill as one of the government's measures to respond to this reality of terrorist threats in this international context. This legislative proposal extends the possibility of absolving the Netherlands in cases where there is assistance in committing or preparing terrorist activities. This is an expression of the fact that many people in the Netherlands have said to me that they should not be in any way facilitating the commission of foreign terrorist offences or the preparation of persons for the commission of terrorist offences. My group wholeheartedly supports the aim of the legislative proposal. The reason for the legislative proposal lies in the need to take action against Dutch people taking part in terrorist activities abroad, such as the so-called Syrians. It concerns both the travelling Syrians and those who train young people in the Netherlands to commit a terrorist offence. Originally, the bill provided that in the event of an irrevocable conviction, the person concerned would automatically lose the Dutch citizenship. Fortunately, in the opinion of the VVD Group, this element has been removed from the legislative proposal. It is the Minister of Security and Justice who has the power to withdraw Dutch citizenship, a discretionary power, a possibility to say it in domestic language. Each time, an individual balancing of interests, a weighting of proportionality must take place before nationality is withdrawn. What are the factors that will play a role in this? What criteria will the Minister have to assess? Can the Minister further highlight this balance of interests, that proportionality weighting? How will he express this in his decision? The Minister's decision is a decision within the meaning of Article 1.3 of the AWB. That decision must therefore meet the criteria laid down by the AWB, such as the criterion of further justification. The Minister is also being checked. It will be the administrative judge who will review the Minister's decision on appeal or appeal. Has the Minister been able to reach a reasonable conclusion? What criteria will the judge have to take into account? In other words, what criteria will the judge test? The principle remains that the withdrawal of Dutch citizenship can only take place if it does not result in the person concerned becoming stateless. That would also be contrary to the UN Convention. So that will be a criterion in any case. How does the Minister deal with the possibility that the decisions he makes may be discriminatory? In the same cases, the Minister may take different decisions. In one case, the Minister deprives someone of his Dutch nationality because he still has a nationality. In the other case, which is exactly or almost the same as the first case in terms of facts and circumstances, he cannot make such a decision. A law is an instrument for achieving policy goals. It will not only be about the government, the Dutch who have been involved in terrorist crimes abroad or who in the Netherlands are involved in making preparations to take away the Dutch identity. Of course, that is not an end in itself. More importantly, participation in preparations for committing terrorist offences is strongly discouraged. What measures does the Minister intend to take in this respect? Does he want to indicate which have already been carried out and what its effects are? The VVD Group has assessed the proposal in question on the basis of the criteria of feasibility, enforceability and legality. To start with the latter: previous points of this bill have fortunately been removed, such as the automatic loss of Dutch citizenship and the commission of a crime as a criterion, rather than the irrevocableity of the conviction as a criterion for the withdrawal of Dutch citizenship. The VVD Group finds these essential points of improvement. Without this, she would not have been able to support the bill. It considers it important, however, for the government to provide clear answers to questions about the testability of the minister's administrative decision and the possible discriminatory nature of its decisions. In order to make a final assessment of the feasibility and legal status of the bill, my group looks forward with interest to the Minister's answers.
ParlaMint-NL_2016-02-16-eerstekamer-6.u69	Article 134a is not about committing terrorist crimes, but about aid and support. Does that still justify for the VVD that the Dutch community can be deprived in all cases?
ParlaMint-NL_2016-02-16-eerstekamer-6.u70	Providing assistance in committing terrorist offences is almost as terrible as committing terrorist crimes themselves.
ParlaMint-NL_2016-02-16-eerstekamer-6.u71	Even if that didn't happen at all?
ParlaMint-NL_2016-02-16-eerstekamer-6.u72	Even if that didn't happen at all. We are concerned with the irrevocable conviction of the crime, as described in the bill.
ParlaMint-NL_2016-02-16-eerstekamer-6.u73	Thank you.
ParlaMint-NL_2016-02-16-eerstekamer-6.u74	Does one of the Members still wish to speak in the first term? That is not the case.
