ParlaMint-NL_2016-09-06-tweedekamer-8.u1	At the request of a number of Members, I propose that the following motions be renewed: 31839-518; 34351-9; 33959-6; 28286-864; 32336-48; 29683-212; 31936-348; 31936-347; 31936-346; 34300-XIII-37; 34300-XIII-38; 31936-311; 31936-312; 34199-63; 28345-147;28345-148; 28345-149; 29984-649;31409-99; 28973-150; 27858-314; 34087-4; 28973-51; 34300-XIII-131;27428-251; 34300-XIII-50; 34000-XIII-118; 33043-17; 31239-159; 31239-158; 3026-454; 306-394; 34000-XVII-31; 34000-VIII-51; 32735-134; 26485-205; 33495-89; 31293686. At the request of the applicant, I propose that the debate on prisoners processing medical data be removed from the list.
ParlaMint-NL_2016-09-06-tweedekamer-8.u149	I think it is useful and good to debate this. Mrs Keijzer pointed out that this had been discussed here earlier, in the House of Representatives; I recognize that. I also agree with Mr Potter who proposed a broad debate. There's more going on around nursing home care. I therefore think it is important to plan a debate on this, but that should be a broader debate.
ParlaMint-NL_2016-09-06-tweedekamer-8.u150	I also support the request for a broader debate on this issue. We're still waiting for information from the Secretary of State on the occupation standard. That information should be included in this. I therefore support the proposal to have a broader debate on nursing care.
ParlaMint-NL_2016-09-06-tweedekamer-8.u151	The D66 group would like to receive a letter from the cabinet in response to this. It also supports the request to hold a debate on this subject, but in a broader context as others have proposed.
ParlaMint-NL_2016-09-06-tweedekamer-8.u152	I'm not very original. We also support the proposal to hold a debate on this subject, but in a broad perspective.
ParlaMint-NL_2016-09-06-tweedekamer-8.u153	GroenLinks also thinks it is a good idea to broaden Mrs Agema's request.
ParlaMint-NL_2016-09-06-tweedekamer-8.u154	I support this request, and I urge the cabinet to go into the line-up, because that is where it insists.
ParlaMint-NL_2016-09-06-tweedekamer-8.u155	Mrs Agema, you have broad support, but she also sees the holding of a wider debate.
ParlaMint-NL_2016-09-06-tweedekamer-8.u156	"A broader debate on the shortage of staff" I interpret as a debate on staff shortages and occupation standards, not only in nursing homes, but also in home care...
ParlaMint-NL_2016-09-06-tweedekamer-8.u157	No one contradicts that. So I'm assuming that's about...
ParlaMint-NL_2016-09-06-tweedekamer-8.u158	... in the care of the elderly, in the care of the disabled. In short: staff shortage care.
ParlaMint-NL_2016-09-06-tweedekamer-8.u159	I propose that the stenogram of this part of the meeting be transferred to the cabinet. I call Mr De Graaf of the PVV.
ParlaMint-NL_2016-09-06-tweedekamer-8.u160	Mr. Chairman. Mr Voordewind has just made a request for a debate. Mr Ten Broeke has proposed to add the subject on which I would now like to request a debate. My subject really deals with the Islamic Turkish tribal struggle that has been raging in the Netherlands for decades and is now coming to the surface. As far as we are concerned, it is good to add this subject to the debate that Mr Voordewind has requested, because it will take place soon. I saw that PvdA and VVD already agreed. So there is already a majority in favour of this, but I would of course ask for the support of the rest of the Chamber so that we can merge these debates in good consultation.
ParlaMint-NL_2016-09-06-tweedekamer-8.u161	Broad support has already been expressed, even before this request was made, but if Members of Parliament have the need to confirm this briefly, then it is okay.
ParlaMint-NL_2016-09-06-tweedekamer-8.u162	Support.
ParlaMint-NL_2016-09-06-tweedekamer-8.u163	Here's the deal, Mr. Chairman.
ParlaMint-NL_2016-09-06-tweedekamer-8.u164	Support.
ParlaMint-NL_2016-09-06-tweedekamer-8.u165	Then we'll do it formally. Then we support that!
ParlaMint-NL_2016-09-06-tweedekamer-8.u166	Mr Mohandis?
ParlaMint-NL_2016-09-06-tweedekamer-8.u167	Support.
ParlaMint-NL_2016-09-06-tweedekamer-8.u168	There is indeed broad support for your proposal, Mr De Graaf.
ParlaMint-NL_2016-09-06-tweedekamer-8.u169	That's great. But then we'll know for sure.
ParlaMint-NL_2016-09-06-tweedekamer-8.u170	That's right. I give the floor to Mrs Van Tongeren on behalf of GroenLinks, but I can see that Mrs Voortman is observing for her.
ParlaMint-NL_2016-09-06-tweedekamer-8.u171	Mr. Chairman. I'm home from all markets! I accept my colleague Van Tongeren's request to request a debate on behalf of GroenLinks, but also on behalf of the Labour Party, on the news that the cabinet plan on reducing CO emissions is insufficient. A motion has previously been adopted which states that measures will have to be taken this year in order to come up with a good plan for this. I would very much like to have a debate on this with the Secretary of State of I and M.
ParlaMint-NL_2016-09-06-tweedekamer-8.u172	We have known from the beginning of this cabinet period that the plans are insufficient. That is why I wholeheartedly support this debate.
ParlaMint-NL_2016-09-06-tweedekamer-8.u173	D66 also supports this request. We await with great interest the letter on the closure of coal power stations, which could be involved.
ParlaMint-NL_2016-09-06-tweedekamer-8.u174	Also on behalf of 50PLUS wholehearted support.
ParlaMint-NL_2016-09-06-tweedekamer-8.u175	No support. The cabinet is working hard on it and comes up with plans in the autumn. The title of the article does not stand for nothing between quotes, because that title simply doesn't add up.
ParlaMint-NL_2016-09-06-tweedekamer-8.u176	The Christian Union is also eagerly awaiting the cabinet plans for the implementation of the Urgenda climate judgment. I very much support the request for debate and hope that the cabinet will soon come to the Chamber with the plans so that we can involve them in the debate.
ParlaMint-NL_2016-09-06-tweedekamer-8.u177	I support the request for debate.
ParlaMint-NL_2016-09-06-tweedekamer-8.u178	Support.
ParlaMint-NL_2016-09-06-tweedekamer-8.u179	You have a majority, Mrs Voortman. I call Mr Van Weyenberg.
ParlaMint-NL_2016-09-06-tweedekamer-8.u180	Mr. Chairman. In Question Time it was already about the Law on Deregulation Assessment of Employment Relations (DBA), about self-employed persons without staff. We see that many companies no longer dare to hire self-employed people and that many self-employed people do not come to work and lose jobs. We can also see that there is still a great deal of work to be done in approving the model agreements. That is why I would like to have a short-term debate on this with the Secretary of State for Finance.
ParlaMint-NL_2016-09-06-tweedekamer-8.u181	Support for the debate, because if it is scheduled, we will already have all the evaluations that we are already getting.
ParlaMint-NL_2016-09-06-tweedekamer-8.u182	On behalf of the SP Group, I express my support. It would be helpful if we could get a letter with the state of play, explaining to the Secretary of State what is going on and what taxpayers should do when there is still uncertainty.
ParlaMint-NL_2016-09-06-tweedekamer-8.u183	Support for the debate, but certainly for the request for a letter.
ParlaMint-NL_2016-09-06-tweedekamer-8.u184	The letter was already promised during Question Time. Support for the debate.
ParlaMint-NL_2016-09-06-tweedekamer-8.u185	Support from GroenLinks for this debate request.
ParlaMint-NL_2016-09-06-tweedekamer-8.u186	Support for the request.
ParlaMint-NL_2016-09-06-tweedekamer-8.u187	Support.
ParlaMint-NL_2016-09-06-tweedekamer-8.u188	Support for the debate. Here too, there is a need for some urgency, but that is what we all say, of course. This is really about people who are no longer getting contracts and companies who are no longer able to put people to work.
ParlaMint-NL_2016-09-06-tweedekamer-8.u189	I agree with that. This is very urgent. People's work portfolio is drying up, while work should be at the top of the list.
ParlaMint-NL_2016-09-06-tweedekamer-8.u190	There is a majority, Mr Van Weyenberg.
ParlaMint-NL_2016-09-06-tweedekamer-8.u191	Mr. Chairman. I am very pleased with the support of all my fellow Members and the fact that I do not have to beg you alone to plan the debate quickly, because colleagues have already done so. I am confident in your ingenuity.
ParlaMint-NL_2016-09-06-tweedekamer-8.u192	Thank you. I call Mr Van Meenen.
ParlaMint-NL_2016-09-06-tweedekamer-8.u193	Mr. Chairman. One of the consequences in the Netherlands of the Turkish question, to put it this way, is that some schools suddenly lose dozens and sometimes even more than 100 pupils. This has major financial, human and educational consequences. This applies not only to the schools where these pupils leave, but also to the schools where they go. I would like to have a debate with the Secretary of State for Education on these consequences and on what we can do about them.
ParlaMint-NL_2016-09-06-tweedekamer-8.u194	Erdogan's long arm now reaches into our classrooms. The CDA supports Mr Van Meenen's request. I would point out that the cabinet answers the questions I asked together with Mr Omtzig and Mr Knops for the planning of that debate.
ParlaMint-NL_2016-09-06-tweedekamer-8.u195	I do not see with the best will in the world where that debate should lead. The current situation is a result of D66's open border policy. That's what brought this Turkish tribal struggle to our schools. I really don't know what the debate is about. So I don't support it.
ParlaMint-NL_2016-09-06-tweedekamer-8.u196	GroenLinks supports this debate request.
ParlaMint-NL_2016-09-06-tweedekamer-8.u197	I too was caught by the impact that something far away can have close, but I would like to have the facts first. I would therefore like to ask for a letter first.
ParlaMint-NL_2016-09-06-tweedekamer-8.u198	So for the time being, no support.
ParlaMint-NL_2016-09-06-tweedekamer-8.u199	A letter always seems good to me, but certainly also support for the debate.
ParlaMint-NL_2016-09-06-tweedekamer-8.u200	We support the proposal.
ParlaMint-NL_2016-09-06-tweedekamer-8.u201	We are very concerned about the tensions for children, parents and teachers. We therefore support this request. We would like a letter in advance which sets out the facts. Because this is so urgent, children must be able to feel safe at school. I could also imagine that, if this were to be more convenient in terms of the agenda, this would be converted into an AO. However, I leave that to the applicant.
ParlaMint-NL_2016-09-06-tweedekamer-8.u202	Mr Van Meenen, there is a majority in favour of holding a debate.
ParlaMint-NL_2016-09-06-tweedekamer-8.u203	Fine, Mr. Chairman. I would also like to point out that there is some urgency. This may not be as urgent as some other debates, but the financial consequences will be felt on 1 January. So it would be nice if we had the debate before that.
ParlaMint-NL_2016-09-06-tweedekamer-8.u204	I propose that the stenogram of this part of the meeting be transferred to the cabinet. I call Mrs Voortman, on behalf of GroenLinks.
ParlaMint-NL_2016-09-06-tweedekamer-8.u205	Mr. Chairman. Last Saturday, the Volkskrant reported that pharmaceuticals pay millions to doctors. This focuses on specific professions and on a limited number of doctors. Within these professions, a high percentage of doctors receive donations from the pharmaceutical industry. That also affects the independence of doctors. That is why we would like to have a debate on this with the Minister for Health, Welfare and Sport.
ParlaMint-NL_2016-09-06-tweedekamer-8.u206	This is a serious matter. So please support D66. Ho! This mistake is unforgivable. Support on behalf of 50PLUS.
ParlaMint-NL_2016-09-06-tweedekamer-8.u207	What the heart is full of!
ParlaMint-NL_2016-09-06-tweedekamer-8.u208	We wholeheartedly support a letter, which we can then involve in a general consultation on medicines as soon as possible. Then there's a bit of a pace in the business.
ParlaMint-NL_2016-09-06-tweedekamer-8.u209	Support for the debate. I can also imagine that we are considering whether we can deal with this in a shorter period of time in an AA, but at least support for the debate.
ParlaMint-NL_2016-09-06-tweedekamer-8.u210	Support from the PVV.
ParlaMint-NL_2016-09-06-tweedekamer-8.u211	We have pointed out this kind of bad practice before. So there is full support for this debate.
ParlaMint-NL_2016-09-06-tweedekamer-8.u212	It's bizarre that this exists. I wholeheartedly support the debate, but I can also imagine that we would add this to a general discussion if we were to get this on the agenda more quickly. In any case, it is very important to have a debate on this with each other and also to ask for a cabinet response.
ParlaMint-NL_2016-09-06-tweedekamer-8.u213	Support for a letter, which we would like to involve in a general consultation.
ParlaMint-NL_2016-09-06-tweedekamer-8.u214	Support for a letter and for the debate. If the debate were to wait a long time, perhaps it would be a good suggestion to include this in the bill on favour, which will soon be on the agenda.
ParlaMint-NL_2016-09-06-tweedekamer-8.u215	Support for this debate, but I would like to suggest to Mrs Voortman that at the procedural meeting of the VWS Committee, she should argue in favour of planning an AO pharmaceutical policy. That seems to me to be the most effective in practical terms. I would not add this to the consideration of a legislative proposal, because it might be at the expense of that bill.
ParlaMint-NL_2016-09-06-tweedekamer-8.u216	Mrs Voortman, you have no majority in favour of holding a debate.
ParlaMint-NL_2016-09-06-tweedekamer-8.u217	So I've heard. I have also heard that at least there is broad support for a letter. So we will look at this further.
ParlaMint-NL_2016-09-06-tweedekamer-8.u218	I propose that the stenogram of this part of the meeting be transferred to the cabinet. I call Mr Arno Rutte, on behalf of the VVD.
ParlaMint-NL_2016-09-06-tweedekamer-8.u219	Mr. Chairman. The final deadline for the debate on active donor registration is scheduled for next Thursday. This concerns Mrs Dijkstra's own-initiative proposal of D66. Now, last Sunday, Mrs Dijkstra sent a rather substantial letter of amendment to the Chamber. "Great" is not about the number of pages but about the content of the bill. I would very much appreciate it if the Chamber could have an extensive exchange of views with Mrs Dijkstra on this matter and therefore ask for a third term.
ParlaMint-NL_2016-09-06-tweedekamer-8.u220	I think that change came last Friday. It is indeed a major change. It is very commendable that Mrs Dijkstra is trying in this way to obtain a majority. If that can lead to new insights from the VVD Group, then I wholeheartedly support the request.
ParlaMint-NL_2016-09-06-tweedekamer-8.u221	The Christian Union supports the request.
ParlaMint-NL_2016-09-06-tweedekamer-8.u222	Support.
ParlaMint-NL_2016-09-06-tweedekamer-8.u223	I support the request, but add another question. Mr Rutte is not about that, but perhaps it is possible to plan it immediately after the rejoinder. Because then we don't waste a lot of time.
ParlaMint-NL_2016-09-06-tweedekamer-8.u224	Support.
ParlaMint-NL_2016-09-06-tweedekamer-8.u225	I support the request, but I do have a practical question. I'm assuming that Thursday's rejoinder will continue. Then a third period may take place thereafter. However, I would also like to ask Mr Rutte what period he had in mind. In fact, I can imagine that he still attaches great importance to getting a haircut, so that he can think about it again. I want to leave it open. As far as I'm concerned, both options are possible.
ParlaMint-NL_2016-09-06-tweedekamer-8.u226	I agree with that.
ParlaMint-NL_2016-09-06-tweedekamer-8.u227	Do you have a new suggestion, Mrs. Wolbert?
ParlaMint-NL_2016-09-06-tweedekamer-8.u228	Well, no. But my message is as soon as possible. If we can't get it right away, then we are already opposed to the treatment of budgets and then everything is getting mixed up.
ParlaMint-NL_2016-09-06-tweedekamer-8.u229	The Chamber supports your request for a third term, Mr Rutte. We will see whether it can be arranged in a different way this week, but in good consultation with the initiator.
ParlaMint-NL_2016-09-06-tweedekamer-8.u230	If the third deadline is planned this week, I will not oppose it.
ParlaMint-NL_2016-09-06-tweedekamer-8.u231	Okay. I call Mr Dijkgraaf.
ParlaMint-NL_2016-09-06-tweedekamer-8.u232	Mr. Chairman. I'm doing a pre-announcement of a VSO Agriculture and Fisheries Council, to be held this week, including votes. No one's really waiting for that. The Secretary of State knows what he has to do to prevent this; the answers have yet to come in. If you, President, now redirect this section of the stenogram to the Secretary of State, then we as a Chamber have the chance to just keep the agenda open for other things, and so does he.
ParlaMint-NL_2016-09-06-tweedekamer-8.u233	I propose, as Mr Dijkgraaf said, that the stenogram of this part of the meeting be transferred to the cabinet. I call Mr Van Vliet.
ParlaMint-NL_2016-09-06-tweedekamer-8.u234	Mr. Chairman. It's nice to be back here.
ParlaMint-NL_2016-09-06-tweedekamer-8.u235	Nice to meet you.
ParlaMint-NL_2016-09-06-tweedekamer-8.u236	I had applied for a VSO in connection with the Social Housing Security Fund. That's scheduled for today. Tonight, however, there is a rather heavy technical fiscal debate, in which I am going to operate heavily. My simple practical request is: something of delay. It's okay for me to be one, two or three weeks. It is a very meaningful VSO. So, delay, please.
ParlaMint-NL_2016-09-06-tweedekamer-8.u237	Support from D66.
ParlaMint-NL_2016-09-06-tweedekamer-8.u238	Support.
ParlaMint-NL_2016-09-06-tweedekamer-8.u239	No problem.
ParlaMint-NL_2016-09-06-tweedekamer-8.u240	I support this request. I would like to give colleagues immediate consideration to calling it off completely.
ParlaMint-NL_2016-09-06-tweedekamer-8.u241	That is the suggestion I wanted to make, but Mr Van der Linde is ahead of me.
ParlaMint-NL_2016-09-06-tweedekamer-8.u242	So you're in favour of a postponement.
ParlaMint-NL_2016-09-06-tweedekamer-8.u243	Support for the request.
ParlaMint-NL_2016-09-06-tweedekamer-8.u244	Support for the request.
ParlaMint-NL_2016-09-06-tweedekamer-8.u245	No problem. Support.
ParlaMint-NL_2016-09-06-tweedekamer-8.u246	Great!
ParlaMint-NL_2016-09-06-tweedekamer-8.u247	I'm gonna go check around and see if anyone else has anything to say. I think we've had it all.
