ParlaMint-NL_2016-02-04-tweedekamer-8.u1	I would like to welcome the Secretary of State for Social Affairs and Employment.
ParlaMint-NL_2016-02-04-tweedekamer-8.u60	My story was indeed about what we did. If Mr Kuzu had given me a little longer time, he would have been able to hear what wishes and ambitions we still have. I can mention a number of other things we've done. This morning, the CBS announced the outcome of the struggle we have waged to spare the people with the lowest incomes and to give them more air, space and money. And what does it turn out to be? With the reform of child schemes, we have been able to meet precisely those objectives in this coalition. I'm proud of that. 10% of the people with the lowest incomes benefit from the reform of child schemes. I'm proud of that. We've made sure more kids can work out. Previously, my colleague Tjeerd van Dekken did so. We have done so again in the last budget debate. I'm proud of that. This Secretary of State is very much in the process, including on the basis of our motion and with the broad support of this Chamber, of encouraging municipalities to provide more child packages. They are facilitated to do so and they are given tools to do so. It is very important for us to help children in poverty and ensure that they can participate equally. I'm proud of that, but are we there? No. I myself believe that we really need to re-examine the whole of the debt policy. Hence our motion, which was also widely supported by this Chamber and which called for a good cost-benefit analysis. After all, we always get signals that this costs more than it brings. At the same time, our own government unintentionally pushes people far too often into problematic debt situations; that is the worst. It can't be. We want that different, and we can do it differently.
ParlaMint-NL_2016-02-04-tweedekamer-8.u61	Mrs Yücel says she is proud of a number of things. I am indeed glad that this has been set in motion. That may well be said, but I am ashamed that, year in, year out, at several times in the year, we get the news that one in five, six or seven people or families is in problematic debt. I have heard a number of proposals from the PvdA spokesperson. I also hear: yes, we have made a social cost-benefit analysis. The specific question is then: what do people in trouble and in debt have to do with a social cost-benefit analysis? Again, it is three years since the PvdA took government responsibility, implying that it would do something for this group. I would just say: Mrs Yücel, PvdA, I am ashamed of these figures and I am not proud of them.
ParlaMint-NL_2016-02-04-tweedekamer-8.u62	I will comment on the substance of Mr Kuzu's interruption. We haven't done that social cost-benefit analysis yet. If Mr Kuzu had followed it all correctly, he would have known. We asked for this at the last budget debate. So that analysis is going to be done. Why? Because I myself and many colleagues in this Chamber see very well, also because of the signals we get out of the field, that we can give budgeting education much better a place in education, that municipalities can work much more preventively and that we can set up our government's collection systems much smarter, so that people do not become unnecessarily in debt. Last week or two weeks ago, for example, there was a proper discussion about the annual public health card. Sometimes young people forget to cancel the O/V year card when they leave school or when their education ends. Then they get a fine of €50. The government or the DUO wants to increase that further, to €300. When people forget something like this because of their own faults, I think they should at least pay it back, but can't we all look for a smarter system? There may be some kind of automation thing that can be linked to it, so that the government can get a picture exactly when someone has dropped out of training and so that the O.V. year card ends. Children and young people will not end up in debt unnecessarily. These are precisely the interventions that could result from such an SME analysis which should lead to a review of our debt policy. What is the state of play with regard to the implementation of the social cost-benefit analysis that we requested in December? When can we expect the first results? And is the Secretary of State prepared to draw the results of this analysis into an integral vision of debt policy, a review? That is what we do from time to time with the tax system. At some point, that system is so rigged up that you don't see the forest through the trees anymore. Our debt policy is in need of revision, is my position. We cannot accept that the debt collection policy of the government, for example, is too often putting people in insoluble debt situations. For example, debtors cannot pay back their debts properly as they should, and this sometimes leads them to fall unnecessarily below the minimum standard of living. We don't want that. Too many people in the Netherlands are in debt. It's hard for people to participate when they're worried if they can still pay the rent and if there's food on the table tonight. The most vulnerable people are pushed further into the swamp; that is a thing indeed. People who are most in need of government are the most vulnerable people and those on low incomes are the most intricate bureaucratic forms we have come up with. I will draw attention to this in any debt debate or poverty debate. It's all got to be simpler. The locally offered, legally compulsory debt relief also does not involve all those who need it. That too could be better. What are the causes of this? Finally, I have two points to make. Because of the decentralisations, we also have district teams everywhere. That is quite right to be closer to those families and households. I have tabled a motion for a resolution on this matter before. Can the Secretary of State encourage that the adage "one family, one director, one plan" should also be given a place in the way of debt relief and the fight against poverty? My final question concerns the elderly. I ask the Secretary of State to give the Chamber an insight into the spending of the 45 million municipalities that are intended for chronically ill with a tight wallet. They're often elderly. Is that enough for this target group? That is really a question, because older people, especially if they are chronically ill or have structural health care, are unnecessarily burdened. There are jars and facilities for that in itself, but do they reach this target group?
ParlaMint-NL_2016-02-04-tweedekamer-8.u63	There is an interruption by Mrs Karabulut, who is very active today.
ParlaMint-NL_2016-02-04-tweedekamer-8.u64	That's how you know me, isn't it, Mr. Chairman? I do like a little activity; after all, we're not sitting here for nothing. Mrs. Yücel has a lot of questions and I have one to ask her. How does it explain the fact that the poorest 10% in the Netherlands have gained 20 billion more debts in total 58 billion in debt, while the richest 10% has been added 50 billion in crisis years and has a total capital of 754 billion?
ParlaMint-NL_2016-02-04-tweedekamer-8.u65	My explanation is that the economic crisis, with which no one was pleased, has left really deep traces. Especially low-income people have always been the most vulnerable. That is also apparent from the figures. I started my speech with that too. That is why I am very pleased that the measures we have tried to take in this coalition, such as the revision of child schemes, are making people on low incomes progress. That is why I am pleased that this coalition, at least as far as the Labour Party is concerned, is very much focused on a balanced distribution of income in all its policies. That is why our group always makes a very clear assessment: what are the low-income measures, the middle-income measures and the high-income measures?
ParlaMint-NL_2016-02-04-tweedekamer-8.u66	I know the plans. I also know the basics. I follow politics every day. Mrs Yücel cannot seriously believe that the crisis is the only cause of the rich getting richer and the poor getting poorer? It must be honest about it, and it is clear from all the reports: the fact that more and more people end up in problematic debt and in poverty also has to do with the priceless care and with the increase in rents, including for the elderly. That's the policy of her cabinet, isn't it? Does she not have a little bit of regret with the knowledge of the present that the vast majority of the 50 billion in burdens has hit the poorest very hard?
ParlaMint-NL_2016-02-04-tweedekamer-8.u67	Of course, Mrs Karabulut is right to say that not only does the economic crisis contribute to increasing the debt problem, where that is at issue. It also sometimes has to do with the way we deal with our government bureaucracy or with our national collection method. Sometimes it also has to do with people's spending patterns themselves or with mistakes that we do not know how to solve easily; I mention the early warning. Of course, the Labour Party has an eye for people with high burdens because of the rents and the care costs. I note that we have a system of surcharges for that. I also note that we have given local authorities special assistance or extra help to people with chronic diseases, but that sometimes that money does not end up well with those people either. That is why I continue to ask questions to the Secretary of State and continue to press it, including with this cabinet, to work much more effectively to prevent debt. Mrs Karabulut calls out of the microphone: that is your responsibility. We certainly take responsibility. That is why I stand here every time with a big agenda for preventing poverty and debt.
ParlaMint-NL_2016-02-04-tweedekamer-8.u68	I would ask Mrs Yücel to give a more concise answer.
ParlaMint-NL_2016-02-04-tweedekamer-8.u69	The Labour Party often talks about the lower income groups, which need to be helped. Only, the Labour Party is the preferred party that ensures that there are very high burdens combined with all kinds of surcharges, money returned to people because life becomes too expensive. The marginal pressure for people in the assistance can even rise to 80% to 90%. If these people go to work, then they will have to deal with a huge poverty trap, because they will lose all kinds of bonuses. This keeps people stuck in those low-income groups. What is the Labour Party doing to finally reduce marginal pressure at the bottom?
ParlaMint-NL_2016-02-04-tweedekamer-8.u70	We all know that the system of surcharges is a crime, just to say it in my own words. I think more and more people think so. However, there is a discussion on how to revise our tax system so that it all becomes simpler. And indeed, the Labour Party wants to leave the lowest incomes, but also the middle incomes, sufficient to pay the cost of living and everything well. With regard to the relapse, which is there when you come from a benefit situation, and the marginal pressure we always try to make optimal choices. I do not know whether Mr Van Klaveren wants to raise the flat tax with his question. Perhaps, but perhaps he could ask his question a little more concretely.
ParlaMint-NL_2016-02-04-tweedekamer-8.u71	My question was very specific. The Labour Party creates a huge marginal pressure at the bottom. She causes people to linger in their income groups, in this case in those of low incomes. My question is: what is the Labour Party doing in concrete terms to ensure that those people at the bottom and in the middle class are left with more money in their pockets? The Labour Party makes and keeps people poor.
ParlaMint-NL_2016-02-04-tweedekamer-8.u72	We have been able to make a tax reduction of 5 billion, with the support of the Chamber. We've made working from a benefit situation more rewarding. I can give you more examples, if this is indeed an answer to Mr Van Klaver's question.
ParlaMint-NL_2016-02-04-tweedekamer-8.u73	Well, I've got some more on that last point...
ParlaMint-NL_2016-02-04-tweedekamer-8.u74	No, Mr Van Klaveren, we're doing interruptions in two. You have received an answer to your question, perhaps not to your satisfaction, but it was an answer. You have the floor now, but as a next speaker and for your own contribution.
ParlaMint-NL_2016-02-04-tweedekamer-8.u75	Mr. Chairman. The Netherlands is sighing under enormous burdens and more than 600,000 unemployed. The Netherlands sighs under high care costs, high rents, high municipal taxes, high income tax, high VAT and high excise duties, in many cases also increased by this cabinet. This can lead to a monthly deficit for many people in the country, and even to debts for one in five Dutch households. Left-wing parties will and masse point to the government that we have seen today too, which must intervene and with all kinds of jars and surcharges should compensate for the far too high burden. However, the structural response is to reduce the burden. The answer lies in a drastic reduction in income tax to 23%, with a duty-free foot, which means that many more people are left with much more money in the wallet, especially the lower income groups that are hit very hard by the silly policies of the left. We need to reduce excise duties, reduce corporate tax and make the labour market more flexible. This results in economic growth, purchasing power and jobs. We can do this. Our plans are all neatly calculated by the Central Planning Bureau. As is often the case, our answer is not more, but less government. So stop taking and pumping tax money. Cut into the supplement system. Don't make people with lower incomes dependent on the state. Take the marginal pressure. Facilitate entrepreneurs. Give the people in the country their money back. That is the only structural response to the enormous unemployment and the only structural response to the debt problem. I hope for a substantive response from the cabinet.
ParlaMint-NL_2016-02-04-tweedekamer-8.u76	Mr. Chairman. Every time I read reports of increasing poverty and debt problems, I feel a sense of frustration. Frustration because you would normally expect that if a cabinet bets on something, results will be achieved and the figures will fall. Then you expect poverty problems to be reduced, fewer children growing up in poverty and the number of people in debt reduced. That is why I would like to use my speaking time today to bring an ode to the Secretary of State, just as the romantic poet John Keats once did to the nightingale. I'll start like John Keats with "My heart hurts." My heart hurts when I see the people in debt. And somewhere in her ministry, the Secretary of State sings her song of solidarity. Oh, help me, ask 800,000 citizens in the country. According to Panteia, more and more people are overwhelmed by their debts. They are sent by the State Secretary to the municipality, where 150,000 of them are sent away from debt relief. Go away, go away, say the Secretary of State and the municipalities. Every year we have a vain debate here. Assistance and debt go hand in hand. People they hunt from the cabinet to the wall in once so rich the Netherlands. Oh, Jellejet, how can you continue to rule? How can you stand up for the vulnerable groups if you let the people in debt die? Adieu, adieu, says the PvdA to its voters. They don't think in people, they think in laws. Food banks will always stay, and otherwise you can live off a vegetable garden. Adieu, adieu, sings Klijnsma while she is almost ruled out. Was it a dream? Or is it reality? Beyond that is the music of solidarity.
ParlaMint-NL_2016-02-04-tweedekamer-8.u77	Your ode does raise a few questions.
ParlaMint-NL_2016-02-04-tweedekamer-8.u78	Pretty nice to listen to! If it were true, it would be fun. When I look at the facts, I see that government policy has led, for example, to the fact that the benefits of the reform of the child schemes have come to the lowest incomes. The letter states that the CBS reports a decrease in the number of households that are struggling to make ends meet. That number has fallen to the level before the crisis. They're just two examples. I have just given more examples in my interruptions of the commitment we are making and of the progress we are making. I do not understand Mr Kuzu's ode and contribution very well. They don't quite match the facts. Is there any way he could go into that?
ParlaMint-NL_2016-02-04-tweedekamer-8.u79	Of course I can respond to that. Mrs Yücel of the PvdA can beat herself on the chest and be proud of what has been achieved. I have just said during my interruption that the child arrangements are very good. We have also voted in favour of this. Of course, we always support good proposals, but Mrs Yücel should not pretend to reduce the poverty problem in the Netherlands and reduce the number of households in debt. It should not pretend to be asking for a national debt collection vision or for an SME analysis here, which will reduce these problems. If some progress has been made, I say very clearly, it has not been because of the cabinet, but because of the cabinet.
ParlaMint-NL_2016-02-04-tweedekamer-8.u80	If it is right, we are trying to analyse facts here and, on that basis, to make proposals and to provide input on what we want with our society. I am sticking to the facts and they show progress, also as a result of the efforts made by this cabinet. It was often supported by this Chamber. Is that what we're doing? No. That is why my colleagues and I make very regular proposals and ask questions: how can we do this even more effectively? Now we have listened to Mr Kuzu's beautiful ode. However, I have not heard a single proposal or a single solution. Perhaps Mr Kuzu can say something about that.
ParlaMint-NL_2016-02-04-tweedekamer-8.u81	Mrs Yücel knows very well what my commitment to this subject has been at the time when she and I were still in the same room, in the same group room.
ParlaMint-NL_2016-02-04-tweedekamer-8.u82	You're still in the same room.
ParlaMint-NL_2016-02-04-tweedekamer-8.u83	Yes. I refer to the time when we were still in the same group room. She knows how I feel about it. I have a minute and a half to speak. I can make proposals for a minute and a half. Mrs Yücel also knows very well that she is now addressing a number of things that I set in motion in the group at the time.
ParlaMint-NL_2016-02-04-tweedekamer-8.u84	I see you want to interrupt again, Mrs. Yücel, but you can only interrupt twice.
ParlaMint-NL_2016-02-04-tweedekamer-8.u85	Mr. Chairman. In recent years, our country has been thoroughly reformed and we have put things in order in public finances. The Netherlands is leaving behind the deepest crisis in decades. We are now seeing an increase in the number of jobs, an uplifting economy and an increase in house sales; the good economic news is building up. The measures were necessary, because the government spent much more than it received, year after year. You can't do that in the government, and you can't do that in people's homes. Everyone's been asked for a sacrifice. Every hardworking Dutchman has felt the pain of the measures that were needed to help our country. In doing so, we have taken account of the capacity. Everyone bears the responsibility to balance their income and expenditure, whether it be the police officer, the teacher or the nurse. These people work hard, pay taxes and premiums and then make choices when spending their money. Of course, if you still have a month left at the end of your money, it doesn't give you a pass to present these people with the account of others. Recently, the taxpayer in Amsterdam was informed about his waste tax. It appeared to have been increased by €56 as a result of the waiver of the waste tax for Amsterdammers with an income at welfare level. You can't explain this, can you? You pay your contributions and taxes in a crooked way and you get another person's account on top of that. Thanks to all the Dutch who pay contributions and taxes, we can maintain an extensive network of social services. We don't want anyone to fall through the ice in this country. Didn't you make it through the welfare and with all the supplements and extra arrangements? Or did you spend too much money and charge the bills? Still, the community is waiting for you.
ParlaMint-NL_2016-02-04-tweedekamer-8.u86	Fortunately, the community does, but the VVD does not; at least not in all cases. Apparently, the VVD cannot explain solidarity. We already knew that, so that's not in itself news. Can the VVD explain that the most wealthy have gained 50 billion in wealth and wealth, while the poorest have gained 30 billion extra debts due to this cabinet policy?
ParlaMint-NL_2016-02-04-tweedekamer-8.u87	Mrs Karabulut pretends that debt is a problem of division. They're not a divisional issue.
ParlaMint-NL_2016-02-04-tweedekamer-8.u88	Can you explain the numbers I just told you? I would like an answer to my question first. You could have asked me questions in my term, but you didn't. You just sat there or you weren't there yet.
ParlaMint-NL_2016-02-04-tweedekamer-8.u89	I was there for sure and I listened to your input. You're suggesting that debt is a problem of division, but they're not. This isn't about the distribution of income, it's about how you deal with your housekeeping. This is important both for the government and for the people at home. As I have indicated, there are a lot of people in this country who pay their bills and taxes neatly. What signal do you give with the dependence you advocate of the government...
ParlaMint-NL_2016-02-04-tweedekamer-8.u90	I would ask you to speak through the President.
ParlaMint-NL_2016-02-04-tweedekamer-8.u91	Okay, Mr. Chairman. What signal does Mrs Karabulut send to the people who pay their taxes and their premiums neatly?
ParlaMint-NL_2016-02-04-tweedekamer-8.u92	I think our signals are very good. However, I think the VVD has a problem. You lied to the hardworking Dutch by saying that you would give them €1,000. Secondly, the low and middle incomes have deteriorated terribly. You did that because you are dealing with the State's household book in this way, while all the...
ParlaMint-NL_2016-02-04-tweedekamer-8.u93	Mrs. Karabulut. I would also ask you to speak through the President. That makes the debate a little clearer, and that does not mean that you are directly opposed to each other. Thank you.
ParlaMint-NL_2016-02-04-tweedekamer-8.u94	That's necessary from time to time, but I'll respect your rules, Mr. President. The VVD was the one that made the real rich, the super rich, even richer. However, it completely abandons the rest, the middle class and the people with lower incomes. The VVD was the one that caused unemployment. The VVD was the one who raised the rents of the old folks. That is all VVD policy because the VVD is not so much on the side of the hardworking Dutchman as it is much more on the side of the ultra-rich, the banks and the European superstate. That is the VVD and that must be said.
ParlaMint-NL_2016-02-04-tweedekamer-8.u95	The VVD has taken responsibility under difficult circumstances. I have just said that people have been asked a lot of things. But let's see where our economy is now: the signals are happy to be green and the number of jobs is increasing. Look also at the Tax Plan and at a number of other measures taken during this cabinet period. The VVD takes its responsibility: first to put things in order and then, now that things are better, to let most people take advantage of it. Those are the facts; I can't make them any different. This structural dependence on the government, which Mrs Karabulut and the SP Group always argue for, is not a policy that the VVD stands for. I shall continue with my speech, Mr President. So if it really doesn't work out, the community will be there for you, but there's a responsibility to that. People can call on debt relief. It is for emergencies, for people who are no longer able to get out of it because of major setbacks or in exceptional situations. But adversity is not a free pass to live structurally at the expense of another. I just mentioned something like this with the example of the municipality of Amsterdam. For the VVD it is clear: anyone who calls on the community must also take responsibility. Debt relief is a temporary arrangement that allows a person to catch his or her breath, put his or her life in order and possibly find a job, so that he or she can finally start a clean slate after three years. Debt relief can never be income support. We must get rid of the automation that the government, and therefore the taxpayer, solves these problems.
ParlaMint-NL_2016-02-04-tweedekamer-8.u96	I call the Secretary of State for Social Affairs and Employment.
ParlaMint-NL_2016-02-04-tweedekamer-8.u97	Mr. Chairman. I would like to thank the spokesmen of the Chamber who have contributed to this debate. Especially for the spokesmen and also for the cabinet, the attention and commitment to poverty and debt policies is unabated. I've seen it play on all of them. I am pleased, because we are working together to combat poverty and debt in the Netherlands as much as possible. The cabinet pays an extra 100 million a year for that. Civil society organisations have helped greatly in this regard. Fortunately, I have good contact with these civil society organisations and have regular consultations with them. I can already see Mrs Karabulut running to the microphone.
ParlaMint-NL_2016-02-04-tweedekamer-8.u98	Now that Mrs Karabulut is at the microphone, I would like to raise a point of order and make a proposal to the Chamber. We would have this debate until 4.15 p.m. I have given all the space in the first term, in which Mrs Karabulut has placed eight interruptions. That's okay, I've given the room for that, but I'd like to get the Secretary of State to finish her story first. Then you will have the opportunity to interrupt. You will also have an opportunity for a second term; I am extremely flexible today. I am trying to get the debate in order, but without too much delay, because there will still be rulers next, and that has been taken into account in the time slots. I ask for your understanding of this and give the floor to the Secretary of State.
ParlaMint-NL_2016-02-04-tweedekamer-8.u99	I am also trying to reply as briefly as possible, although I would, of course, like to deal fully with all the honourable Members. Like I said, I have regular meetings. In addition to the VNG I also see them sitting in the gallery, several aldermen participate, like the Kinderombudsman, the Social Alliance, Food Banks Netherlands, Stichting Leergeld, the Youth Sports Fund, the Youth Culture Fund, foundation Kinderhulp, Stichting Jarige Job, Resto VanHarte, Humanitas, Kerk in Actie, het Leger des Heils, de NVVK en Nibud. I also see representatives of the NVVK sitting in the gallery. In addition, there are many parties I speak and support along other ways, because we have a subsidy scheme, including for projects of Refugee Work, the Stichting Urgente Noden and the association SchuldHelpMaatje. Important steps have been taken in addressing debt issues. The result of measures initiated by the cabinet is now becoming apparent. We're not here yet, but it's a matter of re-packing. It is an important milestone that, as of 1 January, all bailiffs are obliged to be connected to the attachment register. That is an important improvement, because it is about protecting the unhindered foot. I have sent the House a general note on this, because we would, of course, like to simplify that unhindered foot. I look forward to the AO on April 6th, where we will discuss this in order. I would like to further develop this proposal and aim to present the necessary legislation to the Chamber as soon as possible. Within two months, Mrs Schouten and Mr Heerma asked me to offer the necessary legislation for the broad legal moratorium for internet consultation, and then I would like it to land with the Chamber as soon as possible. With both spokesmen, I believe that we really must do everything we can to ensure that both Chambers have accepted this moratorium before 1 January. The evaluation of the Municipal Debt Assistance Act I would like to send to both Chambers before 1 July, as I have planned. The evaluation shall also address access to debt relief. We have, of course, talked about this before. Mrs Jungmann, lecturer at the Utrecht University of Applied Sciences and expert in the field of debt relief, also regularly says that not everyone would be welcome in municipalities and that municipalities would exclude people categorically. Let me make it quite clear once again: the law does not allow that. I also told Mrs Jungmann that I really want names and numbers of municipalities that would not do this well, because then they are in breach of the law. So I'd like to hear the names. Mrs Yücel referred to the evaluation for the summer. At an earlier stage, we have already exchanged views that the social cost-benefit analysis will take shape on the basis of this evaluation. Mrs Yücel also asked whether a follow-up study would then be possible. If a follow-up to the inspection is necessary, I'm not against it. I would also like to emphasise that, within the framework of the EU Presidency, I have put the integrated approach to poverty as a priority. We see across Europe that poverty has grown in recent years as a result of the economic crisis. In the context of Europe, too, we are now in the process of putting together a number of Council conclusions so that we can tackle poverty and social exclusion more effectively together. Indeed, there are still too many people with late payments and debts. As has been said, the crisis has played a major role in this. At the same time, however, I believe that we must recognise the points of light that have flourished at the end. With government measures over 90% of households are improving purchasing power this year. It does mean that we have to stick to that for the best result. Then I'd like to zoom in on purchasing power. Mr Krol has called for very specific attention to be paid to poverty among 55+ and non-Western immigrants. Unemployed over 60 can now benefit from the IOW which entitles you to a benefit after the WW up to the AOW age. Of course, that's a big good. I think Mr Krol also knows that Minister Asscher is working with employers and employees on an action plan to further reduce unemployment among over 50 people. He has promised the Chamber that this will be ready in the spring. I imagine that he will make known the name and number of the ambassador in question. The median purchasing power development for all is 1.8%. This year, older people and beneficiaries will increase their purchasing power by 0.7%. I think it's good to report this. Families with children are given extra support by increasing the child-related budget and by increasing child benefit, childcare allowance and income-dependent combination discount. Mrs Yücel asked for an insight into the use of the 45 million municipalities now receiving in connection with the abolition of the chronically ill and disabled (WTCG) Act. I know that in the third progress report Reform of the long-term care that VWS' colleagues have prepared, this has been provided with insight. Municipalities now have the funds released structurally on their budget. So that's 45 million in 2014, rising to 268 million structuralally from 2017. Municipalities use them in different ways, of course. Almost all municipalities have used the means to extend collective insurance for minimum and chronically ill. In addition, funds have been deployed in the form of separate specific financial arrangements for special and necessary costs to reduce own contributions to customised services and/or increase special assistance. Yesterday, at her request, I sent a letter to the Chamber in which I showed once again how, in terms of percentages, that point of turn is indeed being discussed. The CPB shows that we have passed through the deepest valleys. The CBS also provides insights into this. Let me say it very carefully: there is light at the end of the tunnel and you will understand that I find that very pleasant. I would like to comment on municipal debt relief, on which a number of questions have been asked. I've already said a few things about that. I would like to say to Mrs Koşer Kaya and Mr Krol that I am greatly encouraging prevention. Municipalities help each other to exchange best practices well. I say to Mrs Koşer Kaya that I have already informed the Chamber that I have travelled to Amersfoort. I have now drawn attention to the example of the cash counter in Amersfoort in the collection letter to all the municipalities. In this respect, I have done what Mrs Koşer Kaya has said in close consultation with Mrs Yücel in a VAO. I hope that's what a lot of municipalities are doing. For Amersfoort it was indeed an excellent idea. Each municipality of course has its own methodology. I have an addition to that prevention and early warning. It is, of course, extremely important to prevent people from getting into debt. We do this by stimulating financial education, for example by providing subsidies to civil society organisations and organising an activity in the Week of Money. Municipalities and other parties are supported to arrive at early identification of poverty and debt issues. They exchange good examples. We are, of course, very busy with Mrs Yücel's question in order to set up integrated work around the district teams in such a way that debt relief is inextricably linked to this. For a very large part, that's already the case. When families get into trouble, they are almost immediately also financial problems. So that's where you're gonna have to start. Mr Krol asked how many municipalities provide debt relief tozzp'ers and ex-zzp'ers. Mr Krol has a point that is a decentralised policy. Rotterdam, Amersfoort and Lelystad, among others, are already doing a lot about this. They have also provided us with these examples. We're gonna get rid of them again. Of course, it is always the case that the Decision provides assistance to the self-employed (Bbz) in any case. Actually, that's what all the municipalities are doing. The same applies, of course, to 50-plussers. Mr Heerma asked, in close consultation with Mrs Schouten, for the protection regime. They have, of course, already paid attention to this in previous debates. What exactly is the situation with regard to the implementation of the motion? I have had discussions with canton judges, the professional board of directors, Divosa and the VNG, and in the ongoing investigation into the protection regime, additional research questions have been included so as to give a better picture of the alternatives offered by municipalities. We have, of course, also taken this into account in the debate. I intend to send the results of this inquiry to the Chamber in May. In fact, all the spokesmen have brought forward the national collection. I just told you we're working on the batter-free foot. This is, of course, also a very important instrument for the Empire. I intend to have the national debt collection vision landed at the Chamber at least for the next AO. The desire in the Chamber to make that list of preferred creditors clear will be borne in mind. An annex to the national debt collection vision seems to me to be clear. Mrs Schouten asked whether we are going to ensure that the CJIB adheres to current routes. Yes, as from 1 January last year, traffic fines, CJIB fines, may also be included in a friendly debt settlement and may also be partially waived. My colleague Dijkhoff informed the Chamber of this in a recent letter. I come to the late payments and the debts. Mr Heerma asked me how I deal with the banks. The Chamber knows that from time to time I talk to the banks about how they deal with debt relief. Mr Heerma has already called for attention to be paid to living accounts. How do banks deal with blocking in that context? During my last conversation with the banks, I brought this to the attention of the House once again. The banks have reported to me that this is hardly anymore. I would ask Mr Heerma to add a little colour to this in his second term. It's two-and-a-half. Perhaps the banks are not quite telling me what is really going on and Mr Heerma can tell me with his name and back number which bank I should specifically take on board. I very much agree with Mr Heerma that these living accounts simply should not be blocked. Mr Krol asked about the exploration of government debt forgiveness and takeover. This is something that the municipal debt relief already has at its disposal. I believe that this question is in line with Mrs Yücel's motion on the social cost-benefit analysis. I'd like to involve him in that. I would like to place this SME within the broader framework of all measures and we will do so then. Mrs Koşer Kaya asked how we can help people who are stuck in the digital system. That may indeed be an obstacle. I didn't just mention the debt help buddies for nothing, but you also see a lot of other volunteers helping people to see the forest again through the trees. Furthermore, municipalities go hand in hand with the team through their very short lines with many voluntary organisations. I agree with Mrs Koşer Kaya that personal contact is sometimes really necessary, because people who really do not always master digital skills. Mrs Schouten and Mr Heerma asked about the BKR registration and the DUO debts. Of course, student debt is not a credit as such. Of course, banks are obliged to understand and understand the financial position of the applicant from the obligation of care of banks. The applicant shall, in turn, be required to provide information. He can simply turn out an overview from My DUO and send it to the bank. I know that OCW's colleague is not in favour of registration, but if the two members of the Chamber would like to raise this again in a debate with that colleague, that is of course always possible. I have already discussed the integrated approach around the district teams. I think I have come to the end of my speech. Finally, I would like to say to Mr Kuzu that I appreciated his poem for its form but, of course, I cannot fully share the content.
ParlaMint-NL_2016-02-04-tweedekamer-8.u100	Mrs Karabulut has another question. I can imagine that several Members would like to ask another question. I thank them for being willing not to interrupt the Secretary of State in the meantime.
ParlaMint-NL_2016-02-04-tweedekamer-8.u101	There was also little to interrupt, because the Secretary of State has appointed her technique and progress. She has given little or no answer to the political questions I have put to her. I would like the Secretary of State not only to tell the jubilee story that goes so well, but also to comment on Mrs Van Stokhum's example. This woman is lying to her children that she ate! Does the Secretary of State still think it is going so well in the Netherlands? I would also like to get a response from the Secretary of State to the fact that one in five Dutch people has now built up problematic debts. That is 20%, but less than 3% of them are being helped. How is this possible?
ParlaMint-NL_2016-02-04-tweedekamer-8.u102	In my story, I said that although there is a light at the end of the tunnel because the figures do not show any further growth, it is of course also very difficult to live in poverty and in debt. Therefore, it is essential that debt relief is given as much backup as possible. I have indicated that the governments do so, the government and the municipal authorities, but also the water boards do so by providing forgiveness. Those authorities are helped by many institutions and bodies that are also trying to lift these people up. I did not say at all that is simply not so much that we would no longer need the debt. That is absolutely not the case. All I have said is that I am happy to see that the number of people in debt is no longer growing.
ParlaMint-NL_2016-02-04-tweedekamer-8.u103	That is wrong! We can only see the number of people living in debt and poverty growing, including in recent years, unless the Secretary of State has new figures that she has not yet presented to us. Moreover, the Secretary of State does not respond to Mrs Van Stokhum's example. There are still a lot of people like Mrs Van Stokhum, people who simply cannot buy food in this rich country and have to lie to their children! What the hell are they doing? Does the Secretary of State at least recognise that it has something to do with the policy of this cabinet? Is the Secretary of State prepared to be honest about this and then to come up with solutions instead of just talking about the technique and not going into the content? And what objective does the Secretary of State have in the European field? It says that debt and poverty in Europe are only growing. Quite awesome, because the European Heads of Government are working only for a small top of ultra-rich people, while the people are allowed to pay the bill. What is the objective of the Secretary of State?
ParlaMint-NL_2016-02-04-tweedekamer-8.u104	Thank you, Mrs Karabulut. Your question is clear.
ParlaMint-NL_2016-02-04-tweedekamer-8.u105	Thanks to the economic crisis, not only the people with the lowest incomes, but all people have stepped back. That's true. Thanks to this economic crisis, people have fallen so low that they have fallen into debt. That's true, too. We are now all helping to lift people up as quickly as possible. The same applies to all cases referred to by Mrs Karabulut. I also know a lot of people who really are not broad, and then I express myself euphemistically, but the cabinet has tried to provide the lowest income relief as well. This year alone we saw the €56 care allowance for single people and €140 for married couples increase. The child-related budget and child benefit have been increased. Charges have been reduced by higher labour discounts. The lowest incomes have also really improved. This cabinet is doing everything it can to get everyone to take advantage of the fact that we are now getting a little bit more breath.
ParlaMint-NL_2016-02-04-tweedekamer-8.u106	I had another question about the CJIB. It is good news that on 1 January the CJIB will be able to respect the friendly path and possibly to forgive, but it is allowed. Until yesterday I received messages from people who had agreed with great pain and difficulty a journey that was then crossed by the CJIB. That may also be because those debts were before 1 January, but can the Secretary of State guarantee that the CJIB will actually take this into account? Can she promise that it will not only be allowed, but that it will also happen and that agreed routes will not get in the way of the CJIB?
