ParlaMint-NL_2016-12-14-tweedekamer-4.u1	I would like to welcome the Prime Minister. Good day, Mr. Omtzigt.
ParlaMint-NL_2016-12-14-tweedekamer-4.u67	I understand that Mr Van Dijk wants all kinds of statements from me, but I have already made it clear that I am not doing so at the moment. I think we should also look closely at how the instrument of referendum relates to multilateral treaties. That will not be the last word on the subject, but at least it is a difficult affair. The negotiations that the Prime Minister is currently conducting will not remove the discontent about the association agreement, as far as we can judge it at the moment. The Council will also consider the Turkey deal, which is shaky. That deal is linked to a visa liberalisation process that is not going anywhere and which, rightly, cannot be achieved at the moment, given that Turkey is not in any way fulfilling the conditions for it. Turkey flirts with the death penalty and there is a very clear red line drawn, including by the cabinet. What's gonna happen if that Turkey deal snaps? That's a like-dan question. I know that these are always difficult questions, but in the meantime we are at a stage where I think that question is so realistic that it should be asked. Does the EU have a common answer, or should Greece do it itself? The situation there is already almost unacceptable, but it will get worse at a rapid pace. Anyway, we have a responsibility for the refugee issue. In any case, we must note that only 2,761 of the approximately 2.8 million Syrians currently in Turkey are re-established. We have a responsibility for this and things are going badly, with or without Turkey's deal. Can the Minister answer that? In what way will we seriously assume our responsibility as a prosperous continent for at least that part of the refugee issue that we can reasonably contribute to? Offering one promille of war refugees a legal way out is not a solution. With regard to migration, it is good to cooperate with African countries, but there seems to be a process going too far now. I would like to ask the Prime Minister to give specific consideration to this. Are we really going to offer countries money not only to take back people who have come to Europe from those countries but who cannot obtain asylum status there, or are we going to reward those countries, so to speak, for including people from other countries in that region? Are we not actually trying to make something out of this that is going to smell like a reverse human trafficking? I would like a very serious answer to that. In view of my speaking time, I shall leave it at that.
ParlaMint-NL_2016-12-14-tweedekamer-4.u68	Mr. Chairman. The fact that the PvdA group broke its agreement with the electorate was a reason for me to leave the PvdA group. The agreement and thus its credibility were thrown away by the Group of the European People's Party (Christian Democrats) and European Democrats. That's why I'm here alone.
ParlaMint-NL_2016-12-14-tweedekamer-4.u69	I would like to ask Mr Monasch why he did not join the PvdA Group on what was it? On 19 April the Commission decided to initiate proceedings under Article 93
ParlaMint-NL_2016-12-14-tweedekamer-4.u70	That is quite simple: because there was still room at the time to see if one would return to the pace. When it was clear that the cabinet did not intend to do so and that the PvdA Group clearly wanted to pursue that course and no longer support a repeal law, there was no other conclusion than that the group broke its agreement with the electorate. Mrs Maij was one of the first to state that the PvdA Group would stick to the agreement and comply with the ruling. Unfortunately, Mrs Maij did not agree to this appointment, also as a spokesperson.
ParlaMint-NL_2016-12-14-tweedekamer-4.u71	I think Mr Monasch is going around it very nicely. He needed an excuse to leave the group. That certainly wasn't April 19th. Then we said exactly the same thing as in the weeks and months after and now. So I think the argument is a little inappropriate.
ParlaMint-NL_2016-12-14-tweedekamer-4.u72	There's nothing wrong with it. There is only one group that has been wrong and unbelievable in this debate: the group that promised the electorate to accept this statement. When it was clear that the group could not be brought back on that road, I left the group because I have an appointment with the electorate. I respected that voter with the highest sacrifice, namely by leaving the group at the end. My question to the Prime Minister is what impact the change of the PvdA leadership has on government policy. For example, we know that the Prime Minister does not have much to do with the Deputy Prime Minister's Work and Security Act. He has indicated to the Deputy Prime Minister, now in his form as PvdA leader, that he actually sees nothing in this course and actually wants a repeal law. I'm closing this subject with a call. Yesterday there was the happy news that the financial deficit is gone, but the democratic deficit resulting from the break-up of this agreement is not only getting worse in this house because of the disappearance of the majority of the cabinet but, even more importantly, also in society. So file the repeal law! I'm going into the migration deals now. A lot of money goes to Africa for employment projects. We've just had 50 years of development cooperation. Apparently, it didn't work. Why is it suddenly thought that this is going to work? Exactly the opposite is the case. The rate of growth in Africa has never been so high, but at the same time economic emigration has never been so high. Why should additional employment projects, if they are already successful, now suddenly lead to a reduction in this economic emigration? Mr Grashoff van GroenLinks rightly said that it seems that migration deals are a form of reverse trafficking in human beings. Is it not necessary to radically break the human traffickers' business models and, if necessary, intervene with military force in order to break through the terrible trips through the Sahara and beyond on the Mediterranean?
ParlaMint-NL_2016-12-14-tweedekamer-4.u73	Mr. Chairman. I'll be brief today. I am not good at voting, but I am particularly brief because I am so sick and tired of these embarrassing debates with the Prime Minister. That repetition of moves in the 245 days since the referendum... Everyone's argued the same thing ten times. After this we get that verbal acrobatics of the Prime Minister, which only he enjoys, no one else. It is shameful for this house, for parliamentary democracy and, above all, for this is actually my least concern for the Prime Minister himself. We did not hear from the Prime Minister yesterday, but we read in the international media that yesterday agreement was reached on three of the additional conditions that would be important for the Dutch no-thumb: no military assistance, no extra EU money, and the EU members keep the right to limit the immigration of Ukrainians. The remaining theme is whether or not the Association Agreement is a stepping stone to a full membership of the EU. That would be dealt with later in the day. We must read it in the Ukrainian and other media, because the Prime Minister refuses to clarify despite a very urgent request from his own parliament. This is already another stone in the wall of contempt for the people, the wall of indifference and, above all, the wall behind which the Prime Minister is hiding from the anger of the people who, by a large majority, rejected this association agreement. On this side of the wall the people, the Netherlands and The Hague, on the other side of the wall the Prime Minister and the Brussels elite. The people and the rulers don't see each other anymore. Worse still, they can't hear each other either. I conclude that the Prime Minister and his government have shown an appalling lack of leadership throughout this process. They have committed political blunders of the first order and they have by an art grab to save what was to be saved for their Brussels friends, all parties estranged and divided among the Dutch people who are sick and tired of lying. First there was the time when the Referendum Act was adopted, then the announcement of the referendum on the Association Treaty with Ukraine, and then the campaign conducted by everyone, except by the government. First, the Prime Minister tried to sell the Association Treaty to the electorate as a trade treaty, so many of which were "nothing else was going on," but it turned into a magical treaty that even had an impact on stability at the EU's eastern borders. This made it a geopolitical instrument. Suddenly it was: without treaty the Apocalypse about us. People see that; they smell that cynicism remotely. Then promises were made about respecting the outcome. Then there was another endless repetition of those conscious delaying tactics that everyone saw. The cynicism of politics grew rapidly and confidence in politics shrank like snow for the sun. Finally, there was the finding of the spindoctors that meaning had to be given to the voice of the no-thumb. If we were to incorporate these four main concerns into a legally binding document, then the 'no' could also live with the ratification of the Treaty. Everything has been said before in this lingering journey. The no-thumb never spoke out on any of those four spin doctoral themes. There hasn't been an investigation. The spindoctors have based themselves on findings in the mainstream media that are without exception europhile. These mainstream media have given the spindoctors a stick to hit the no-thumb and they should be ashamed of that. That was the trajectory. The Prime Minister stumbled from one failure to the next, rotating, panicking, and above all talking and laughing away in the hope that there would still be something to save for his masters in Brussels. He showed lack of leadership, sowed division and, most importantly, fed cynicism. I quit. For the last time, I ask the Prime Minister, who is also the Prime Minister of the massively victorious neekamp: go tomorrow to Brussels with the one message that reflects the outcome of the referendum and the law that goes with it. Show yourself a man, a leader of the Dutch people and say: ladies and gentlemen, the Netherlands does not ratify because the electorate has spoken and the electorate is always right.
ParlaMint-NL_2016-12-14-tweedekamer-4.u74	Mr Beertema says that no investigation has been carried out into the electorate's motives for voting no. I have a study here from the University of Nijmegen, which is at the top: Corruption in Ukraine, and: Fear of Ukraine becoming a member of the EU. Are these not exactly the two things the Prime Minister is trying to solve in the agreement he is concluding?
ParlaMint-NL_2016-12-14-tweedekamer-4.u75	What college was it?
ParlaMint-NL_2016-12-14-tweedekamer-4.u76	University of Nijmegen.
ParlaMint-NL_2016-12-14-tweedekamer-4.u77	Radboud University Nijmegen! Oh, that is an example of objective science, in Havana aan de Waal. That's how it was, isn't it?
ParlaMint-NL_2016-12-14-tweedekamer-4.u78	Mr. Beertema.
ParlaMint-NL_2016-12-14-tweedekamer-4.u79	These kinds of investigations...
ParlaMint-NL_2016-12-14-tweedekamer-4.u80	Mr. Beertema!
ParlaMint-NL_2016-12-14-tweedekamer-4.u81	This kind of investigation doesn't matter, Mr. President. It's an explanation given afterwards. There was never such a question in the referendum. The question in the referendum was sharp. It was yes or no. A "no" came out of that and then everyone rolled over to give an explanation. I've asked before; there's been no investigation by the High Colleges of State. There has been an explanation that the Prime Minister and you, Mr Mulder, have come out best, because you want nothing but the Association Treaty ratified. That is your message and it brings you very well, Mr Mulder, but don't tell me that these are the problems and that the no-thumb is suddenly satisfied when they are cleaned away. 'Cause it's not like that.
ParlaMint-NL_2016-12-14-tweedekamer-4.u82	Mr Beertema says that no investigation has been carried out. I'm saying that research has been done, and then I get such a lame answer. I think it's a really weak answer.
ParlaMint-NL_2016-12-14-tweedekamer-4.u83	Mr Mulder may think so, but I am speaking about my own words. It's an interpretation afterwards. The referendum on the Treaty was crystal clear. That's all that matters. All ex-post investigations and all ex-post findings are merely an embarrassing attempt to turn the no-choicer in front of a wheel. You should be ashamed, Mr Mulder, that you are cooperating in this way.
ParlaMint-NL_2016-12-14-tweedekamer-4.u84	Shame? I find it a little strange that a study done by a serious university is being muffled away here: science is not important. I guess science is just a gut feeling.
ParlaMint-NL_2016-12-14-tweedekamer-4.u85	Well, chairman, this...
ParlaMint-NL_2016-12-14-tweedekamer-4.u86	Sorry, I wasn't even ready to...
ParlaMint-NL_2016-12-14-tweedekamer-4.u87	... I cast far from me. You shouldn't be interrupting this kind of thing.
ParlaMint-NL_2016-12-14-tweedekamer-4.u88	Mr Beertema, you will have the floor in a moment. Mrs Maij has the floor.
ParlaMint-NL_2016-12-14-tweedekamer-4.u89	This was simply a repetition of what Mr Beertema meant. He laughed away what Radboud University Nijmegen had done. Another point. Mr Beertema says that there was nothing known about the content at all. All this was brought forward by EU-loving media, and that would be the idea that the no-thumb had. I would like to quote from the group chairman of Mr Jasper van Dijk, who is standing next to me. He just said that himself in the media. He talked about EU membership and said: there are a lot of cheap workers coming to the EU; this treaty will bring billions to the corrupt government and oligarchs. So these things were not made up by the media; that was just put forward loudly and clearly by the neekamp as an argument. It was clear that the SP was in the neekamp.
ParlaMint-NL_2016-12-14-tweedekamer-4.u90	That is all true. Mrs Maij and Mr Mulder forget, however, that the lack of confidence of the electorate is precisely because of the lack of clarity, the lack of clarity and the lack of control of yours, Mrs Maij, and also of yours, Mr Mulder. The voter is so sick of it. The distrust of the electorate is so enormous. This has also grown because of the EU's completely dark way of working, which has always denied that it was after a federal states of Europe. It has grown due to the unclear decision-making pathways that characterise the EU. I refer to the statements made by Mr Juncker himself. He's the champion of tricky politics. His most infamous statement is: we decide something, let it rest and see what happens; if no one makes noise and does not rise up because most people do not understand what is being decided, then we move on step by step until there is no turning back. That's what lives very badly with the voter and that's what lives very badly with the no-chooser, including with me. That is also a very important reason for me to turn away from the EU. Mrs. Maij feeds it over and over again.
ParlaMint-NL_2016-12-14-tweedekamer-4.u91	I think that the distrust of the electorate is being fed a little, quite decently, by the fact that all kinds of people from the camp seem to have been making bullshit and now come back to that. They have therefore encouraged the electorate to vote no on the basis of a number of incorrect arguments. I also think that we should not hide behind what is being argued in Brussels. Above all, we must look very carefully at the serious arguments used by the supporters and opponents. The opponents have simply used a number of incorrect arguments. On that basis, the no-camp voted no. So they voted no on the basis of nonsense and that feeds the mistrust.
ParlaMint-NL_2016-12-14-tweedekamer-4.u92	Mr. Beertema, a short response? You don't have to.
ParlaMint-NL_2016-12-14-tweedekamer-4.u93	I've already given it to you, Mr. Chairman.
ParlaMint-NL_2016-12-14-tweedekamer-4.u94	I distance myself from what Mrs Maij insinuates about the SP through the band. I would just remind her of the video in which Mr Diederik Samsom clearly said: no is no. Unfortunately, the Labour Party is now also on the line of: no becomes yes. Mr President, I hear rumblings behind me, so I cannot quietly interrupt. I would advise Mr Beertema to read the National Referenceum Research just as well, because I think that is interesting for him as well. It undermines all kinds of arguments put forward by the europhiles, the proponents. Firstly, a vote against the referendum was not anti-EU.
ParlaMint-NL_2016-12-14-tweedekamer-4.u95	Are you going to read everything?
ParlaMint-NL_2016-12-14-tweedekamer-4.u96	No.
ParlaMint-NL_2016-12-14-tweedekamer-4.u97	Oh, thank God.
ParlaMint-NL_2016-12-14-tweedekamer-4.u98	A second argument from the urophils is that people have remained strategically at home due to the entry threshold. Bullshit! That's what the investigation shows. The share of strategic stayers was only 2.5%. Had there been a voting obligation, the outcome would have been similar. As many opponents as supporters stayed home. Read it again.
ParlaMint-NL_2016-12-14-tweedekamer-4.u99	I thank my SP colleague for the opinion.
ParlaMint-NL_2016-12-14-tweedekamer-4.u100	Mr. Chairman. It started about three months ago. I was bombed on Twitter with questions from EU Finance. The request was to complete a survey. The question was: what about your retirement plan? Correct if I'm always trying to be, then I asked, "Why do you want to know?"; You're not talking about this at all, are you? There was no response. After about a week I sent a reminder and asked if I could answer it. Then I did get an answer, because I was blocked. After two months I put on the naughty shoes and asked that was about this week if there would be another answer to my questions. That came in. I had to tell you what my questions were, because they had apparently thrown them in the trash. The answer to my questions was: the idea of consultation on personal pensions was to involve consumers in possible European initiatives. So this was about European initiatives in the field of pensions. They also wrote: as far as we are concerned, we succeeded; we received more than 500 responses from citizens to the consultation. I was stunned and I find it amazing. Firstly, the answer to my simple informative questions is being avoided in a superior way. Secondly, the number of 500 reactions, of all 17 million Dutch, is measured as a success. Moreover, I find it astonishing that this reveals something of the salami tactic that is often used by European bodies. Perhaps the most interesting part of tomorrow's European Council is dinner afterwards. I hear from the Prime Minister that the food is not great, but it offers opportunities; I will explain that in a moment. The agenda items of the meeting are not insignificant: the issue of migrants, security policy and the association agreement with Ukraine. I do not want to say too many words about the latter. The position of the SGP on the outcome of the referendum is clear: follow the royal road. We have little expectation of the opportunities for a binding legal addendum that really reflects the concerns expressed in the referendum. We await the outcome of the negotiations. Why is the informal afterwards dinner perhaps the most interesting? Well, because then the conversation is about how to deal with the Brexit. Since the food is not great, as the Prime Minister points out, I would ask him to repeat the speech he made in Warsaw for his liberal friends, with those heartfelt statements. They have already been quoted today, but I repeat them, because I think we have seen the light; now we have opportunities. "Too often the elites in Europe say: the citizens do not understand. But it's not. You do not understand." Tell that to the fellow Heads of Government, I would say. Too often European leaders do not respond with modest realism to a crisis like the Brexit, but with a flight ahead. This is how the EU came up with new, very far-reaching pension legislation after the referendum. I found it an extremely painful example of a complete lack of a sense of reality. Of course, on some issues, European cooperation is indispensable and important, and we have never made any misunderstandings about it, but there are many areas that the EU does not have to deal with at all, even though it does. The EU is insatiable, a black hole that absorbs all kinds of powers under the motto of an ever closer union. That still hasn't changed. In the wake of the EU, this also applies to bodies such as the Council of Europe. It was once set up with noble intentions, but if you systematically look at and follow developments, you see that the Council is now becoming an organisation that is primarily focused on survival and becomes a blur of self-pollinating committees and judges, who sing away from parliamentary procedures and frameworks of justice and justice. That's not supposed to happen, is it? The Prime Minister is therefore right to say that the European elite do not understand the citizens. The problem is, however, I hope that the Prime Minister will be able to lie about this, but that is my perception at the moment that these fine words often do not correspond to the practice. In practice, cabinet policy is still in line with an increasing number of EU countries. Is the Prime Minister in Brussels going to put his fist on the table and convince the sleepy and navel-staring colleagues that it is no longer possible to do so? When is the government going to stop playing nicely and come to terms with the question of federalising or really reforming and modernising the EU? I'd like to get a response from the Prime Minister, but I'm sure I'll get it.
ParlaMint-NL_2016-12-14-tweedekamer-4.u101	Mr. Chairman. I'll try to talk soon. I would like to begin with another subject that is also on the agenda, namely the European labour market. In the Netherlands the labour market is attracting, but in other countries we see that the labour market is certainly not attracting. We are very concerned about youth unemployment in a number of European Member States. It is good that the European Union has a plan to provide training and employment for young people, especially in the southern Member States, where 30% to 40% of young people are on the sidelines. At the same time, we are concerned about labour displacement and unfair competition in our own Dutch labour market. What is the state of play with the government's efforts to bring about a thorough revision of the Detachment Directive in order to prevent legal phony constructions in the Netherlands from remaining possible? The principle of equal pay for equal work in the same place is still very important. We have often repeated this here, but the Detaching Directive is still the way it is. What efforts are being made by the Netherlands to ensure that the Detaching Directive is being amended? How are the concerns addressed, for example, by the Member States whose parliament has drawn a yellow card? How's the government talking about that? What will happen to Commissioner Thyssen's labour mobility package? She has spoken commendable words about this. The European internal market is not only an internal market for companies and capital, but above all for workers and people living in the European Union. They should benefit from that. Migration is also on the agenda. It is good that part of the Turkey deal is working, but at the same time another part is really not working. The influx into the Greek islands is quite under control, but the situation on the Greek islands is really problematic. We see that the situation on the Greek islands is not good, but that there is still a division within the European Union as to how the common European asylum policy should now be tackled jointly. Mutual solidarity and agreement are still far away. The PvdA asks the Prime Minister how these pressing issues will be addressed and how, for example, we will improve the situation on the Greek islands. The cabinet says it's worried about this, too. In the context of the three-way presidency, together with Malta and Slovakia, the EESC calls on other Member States to use their capacity to improve reception and asylum procedures in the Greek islands, for example. How does that happen? How much success has been achieved? The images of the Greek islands are still frightening. To what extent is solidarity on resettlement, for example? That is, of course, the part of the Turkey deal that is still not working properly. On the one hand, it is good that part of it works, but on the other hand, decent care in the European Union and resettlement really need to be put in place. All EU Member States will have to deliver. It would really be a failure on the part of the European Union if it did not succeed in providing vulnerable refugees with decent reception and a decent process on the European continent. That would be a tragedy for all the people sitting there, sometimes for months and sometimes for years. We have taken note of the report by EU President Slovakia on the discussions between Member States on the common European asylum policy for the future. How does the cabinet appreciate this report and the progress made in this respect? The PvdA has the impression that these are still few concrete progress and that there is still little concrete agreement. The Slovak Presidency is in favour of an activation mechanism which will enter into force in advance under certain conditions and under certain objective conditions. Can the government say anything more about this? The migration pacts will also be discussed. The PvdA would like to hear the latest state of the migration pacts and also how exactly the agreements made by the Foreign Minister on behalf of the European Union with Mali are working together. What agreements were finally made and how will they be completed? Another point cannot be left unanswered: the situation in Aleppo. Like others, we are very concerned about the situation of the civilian population there. Houses but also schools and hospitals have been destroyed. The city has been bombed away to a large extent. I must say that the images I see on television scare me: a city in ruins and a desperate population. Will this be discussed in the European Council? It can't go unspoken. In last Monday's report by the Foreign Affairs Council, I saw that it was not really discussed. That is a matter of concern, because this is really a matter of attention. I'm coming to Turkey. On Sunday, another bombing took place in Istanbul with Mr Van Dijk remembering the death of at least 38 people. Our thoughts also go out to the victims and to the loved ones of those victims. And yet, at the same time, we are deeply concerned about the situation in Turkey, about the situation of journalists, academics and also politicians who are simply being arrested. A few days ago, there were reports of over 100 scientists being fired. What's science worth! There are also serious reports of torture, rapes and hundreds of thousands of people in south-east Turkey who have been driven out of their homes. The rule of law is being undermined, and that is terrible. What is the force field within the European Union now? We read that this has happened in the General Affairs Council. Can the Prime Minister explain what the next sentence in the conclusion means? I'm sorry, I'm only in English. The sentence reads: "Under the current prevailing circulations no new chapters are considered for opening." What exactly does this phrase mean in the political sense and in what way did Minister Koenders enter into this discussion after the general discussion that we had on this subject?
ParlaMint-NL_2016-12-14-tweedekamer-4.u102	You can try to translate that sentence. That would be nice.
ParlaMint-NL_2016-12-14-tweedekamer-4.u103	Under certain current circumstances, no new chapters are put forward to open. This is a bit of a crooked sentence, but you know what I mean. Finally, I would like to address the issue that we have discussed most with each other today: the Ukraine referendum. That's on the agenda, too. We would like to know from the government what will be concluded tomorrow. We discussed here that it is very important for the PvdA Group to give the no vote at the Ukraine referendum a place. This is possible by laying down the main concerns of the no-voters in a legally binding declaration. Colleagues have already asked about the legal commitment of the declaration in the way it is now proposed. The members of the PvdA Group support the government in seeking a solution. We ask the Prime Minister how promising the compromise that is now being presented is. We see that it is discussed in the draft conclusions, but of course we do not yet have a substantive text. We would like to hear from the Prime Minister how successful he thinks his mission will be.
ParlaMint-NL_2016-12-14-tweedekamer-4.u104	I find the Labour Party in this debate inimitable on two points. That is first of all the fact that a 'no' is a 'no', that the PvdA also said before the referendum that the treaty is then off the table, but apparently not anymore. The second point concerns that legal statement. Does Mrs Maij really think it is acceptable that we should be sent home with a legal statement from the Prime Minister which is not signed by Ukraine, one of the two signatories? This makes legal validity a farce. Does she share that opinion?
ParlaMint-NL_2016-12-14-tweedekamer-4.u105	As far as the first sentence is concerned, Mr Van Dijk and I can shake hands, because I find his contribution to this point completely inimitable. In many debates during the campaign with his colleagues, I debated why the SP now had such serious problems with that treaty. I have never discussed this directly with him, by the way. The points we have also discussed here were membership, a lot of money for a corrupt government, the arrival of a lot of cheap workers in the European Union and military support. Those points were all mentioned. It was said that this treaty would make that possible. Now the government's gonna try to address that and the SP says, "Sorry, no. I really don't understand that. When the concerns of the SP are addressed in this way, should Mr Van Dijk stand here cheering instead of being so disappointed and stomping? Mr Van Dijk has asked two questions. On the second point, I would like to hear from the government how legally binding the proposal is. I think that is a genuine question that Mr Van Dijk and others have asked here. I'd like to hear the Prime Minister's answer to that.
ParlaMint-NL_2016-12-14-tweedekamer-4.u106	The PvdA said just like the SP for the referendum: no is no; if it becomes a no, the treaty is off the table. The PvdA now has a different view. I come to the second point. The legal statement has no legal basis if Ukraine does not sign. Does the Labour Party agree with me that the legal statement in this way is a farce? Does she have the courage to say to the Prime Minister that we, as Labour Party, of course do not agree to such a legal statement? I'd like to get a confirmation.
ParlaMint-NL_2016-12-14-tweedekamer-4.u107	At the risk of provokeing Mr Van Dijk, I say that in the debate surrounding this campaign, the SP also said a lot of things that turned out to be wrong. She spoke of membership and said that, thanks to this treaty, many workers would come to Europe from Ukraine. I would like to raise a few questions about the certainty with which Mr Van Dijk is interrupting the legal commitment. I would particularly like to hear from the Prime Minister what it means. So far, the SP has gone past the truth in the campaign, at least on the issues related to Ukraine.
ParlaMint-NL_2016-12-14-tweedekamer-4.u108	Chairman...
ParlaMint-NL_2016-12-14-tweedekamer-4.u109	No, Mr Van Dijk, I'm sorry. I call Mr Omtzigt.
ParlaMint-NL_2016-12-14-tweedekamer-4.u110	Have they been debated, Mr. Chairman?
ParlaMint-NL_2016-12-14-tweedekamer-4.u111	I'm afraid that's not gonna happen today.
ParlaMint-NL_2016-12-14-tweedekamer-4.u112	No, it was here that they were debating even further. Mr. Chairman. There is an important European summit. There is a comprehensive agenda that reflects the size and many challenges the Union is currently facing. I'll start with Turkey. The annotated agenda said that the progress report wasn't there yet, but it was there four days ago. Why did we get an annotated calendar that wasn't up-to-date? I would like to join Mr Verhoeven. Why have the negotiations with Turkey on membership not been suspended? The government does say that these negotiations are comatose. But are there any discussions with the Turks at official and government level or not? The fact that no new chapters are opened is sold as a victory. That is, of course, completely ridiculous, because there was no proposal at all to open new chapters. A Parliamentary motion has been adopted in which it has been asked whether, in view of the EU's subsidies this year, 23 million people who have been paid for prisons in Turkey can be controlled to ensure that torture is carried out in these prisons. We have not seen any feedback on that. I would like to know whether it was raised or raised at the European summit. I come to the pièce de résistance: the Ukraine Treaty. At the summit on 15 December, the Dutch Government wants to find a solution to the no of the referendum. An obvious solution is, of course, a withdrawal law, but the Prime Minister wants a legally binding unilateral declaration. That figure doesn't know the CDA group. It's a treaty, and if it's a treaty, it's binding. Then it must be ratified, by this parliament, by 27 other parliaments, by Ukraine and by the EU itself. If you fail to comply with that treaty, you can go to the Court in Luxembourg. It's called legally binding. A political declaration shall not be binding. If there is a politically binding statement, I do know some Dutch people who would like to know the address of the court where they can claim €1,000 from Prime Minister Rutte or where they can demand the support back to Greece. They can ask the entire VVD, except for Mr Taverne. Which court can you go to? Which court can you turn to when a new EU promise comes? Does the Union and Ukraine also sign the declaration that is being proposed? If not, they cannot be held to that in any way, I think. It seems that Ukraine is not inclined to sign. In this respect, it is striking that until September, the Prime Minister said every time after the Council of Ministers that a declaration was being made with Ukraine and with the 27 other Member States, and that he was only talking about a statement by the Member States from October onwards. Does Ukraine not want to participate? The second problem is that the content demanded on high legs is rather empty. Let's check out the Prime Minister's demands. The Convention should not confer a right to membership. Well, the treaty doesn't entitle you to membership. That was confirmed by the Prime Minister before the referendum itself at Nieuwsuur. On the basis of Article 49 of the EU Treaty, Ukraine has the right to apply for membership whenever it so wishes. That alone does not follow from the Association Treaty, but from the EU Treaty. The treaty does not provide a collective security guarantee on Ukraine. Well, the EU has never given a collective security guarantee to anyone. That's what NATO does. So this is an empty shell casing. The Treaty does not give Ukrainian workers access to the EU labour market. The Treaty is indeed very thick, but it does not contain that guaranteed access to the labour market. The Association Agreement does not impose an obligation to provide financial support to Ukraine. That was the fourth demand in the declaration, but the Treaty does not include any right to that support. Moreover, the Prime Minister forgets to mention that the EU does pay billions of dollars of support to Ukraine, only that does not go through this treaty. Technically, the sentence is correct. It doesn't follow from the treaty. If these four observations are true, I ask the Prime Minister. Sometimes I wonder if the Prime Minister wants to fool himself, or the entire Dutch population too. Finally, a serious question about the association agreement. Does that have to be changed with the Brexit? Does the Brexit amendment, namely that a country withdraws from the Convention, mean that there is a need for a new Protocol or an amending Convention to be ratified by all Member States at that time? This question was cleverly omitted yesterday, but that would mean that there would be an amendment to the Ukraine Treaty in the near future. I think it's interesting to see how that goes. I'm skipping migration, though that's an important theme. I agree with the question put by some colleagues whether the Dutch Prime Minister is going to bring his ruling on the return of boats to North Africa to the European summit, or whether it was intended for the Dutch public, but not for the European decision-makers?
ParlaMint-NL_2016-12-14-tweedekamer-4.u113	A report from the International Affairs Advisory Council appeared a few weeks ago. It has been mentioned earlier in this debate. The Chairman is Mr Jaap de Hoop Scheffer, former CDA leader, former Foreign Minister and not to mention former NATO Secretary-General. He states that for geopolitical reasons it would be good if the Netherlands ratified the treaty. Does Mr Omtzig agree with Mr De Hoop Scheffer, or does he think his statement is nonsense?
ParlaMint-NL_2016-12-14-tweedekamer-4.u114	There will be a weighting. We were in favour of this treaty. There were all kinds of reasons for this, including geopolitical ones. A referendum was then held in the Netherlands. We have always said that a referendum is not a gratuitous idea. We have political parties in this House of Representatives. I am now looking at the left side of the room, especially the PvdA and D66, which are in favour of a referendum, but which, if a valid referendum turns out to be no, goes on just as hard. Then there's the weighting. For us, this weighting means that the referendum and the result are very important. That does not make any sense to Mr De Hoop Scheffer's arguments.
ParlaMint-NL_2016-12-14-tweedekamer-4.u115	It is good to note that Mr De Hoop Scheffer's arguments are not absurd. It would be good if the CDA would listen to that. It is important to establish that and also that the CDA agrees with that.
ParlaMint-NL_2016-12-14-tweedekamer-4.u116	We were in favour. In contrast to the VVD, we indicated before the referendum that we were in favour of this treaty. I also voted for it in the Chamber. I had several reasons for that, including a geopolitical one. But you can have a referendum and you can't have a referendum. But there has been a referendum. However, a number of political parties here have recently acted as if they were merely expressing an opinion, just as a fellow MEP put the opinion of the University of Nijmegen in a very nasty way as an opinion in the corner. You don't just have an opinion of the entire Dutch people to ask. You have to do something with that.
ParlaMint-NL_2016-12-14-tweedekamer-4.u117	I have always found the position of the CDA very respectable. If you hold a referendum, then you must also stick to the result; that is also what Mr Buma says. Am I right in saying that this should also apply to you, and also to the entire CDA group, including in the First Chamber? I read reports that the Prime Minister wants to make a deal with your colleagues in the First Chamber, but hopefully that is wrong.
ParlaMint-NL_2016-12-14-tweedekamer-4.u118	I hope that Mr Van Dijk knows the Constitution well. It says: "Without burden or back-spokenness." I have some doubts about this with certain parties, but every parliamentarians makes their own assessment. I am not talking about the voting behaviour of colleagues, nor about your voting behaviour, nor even about voting behaviour in my own group, let alone about voting behaviour within the Senate. If it were, the Senate would immediately be superfluous, I would add.
ParlaMint-NL_2016-12-14-tweedekamer-4.u119	That's totally right. However, a political party generally takes a stand. Is it true that the position of the CDA is in the country that you are also spreading that, as far as your group is concerned, this treaty should be repealed?
