ParlaMint-NL_2016-11-30-tweedekamer-4.u1	I would like to welcome the Minister in our midst.
ParlaMint-NL_2016-11-30-tweedekamer-4.u52	Mr. Chairman. Democracy has gone to the ballot box more than once every four years. At local level, there are many initiatives to involve people more in decision-making in a municipality, for example through a G1000. In the meantime, the Ministry has consulted municipalities on an experimental law. We also have the Van der Donk report, the VNG has turned on a think tank and recently we saw the publications of Code Orange. There is one thing all sides agree on, namely that something must change, that other ways of involving people in decision-making must be found alongside representative democracy. As far as the PvdA is concerned, that's good news. So let's take that glove together and take action. After all, paper is patient. Let us really do this from the bottom up by letting the representatives of the people pull the cart at the local level. My party colleague Joop van den Berg was critical in his column last week, but as far as I'm concerned this is something to think about. He wrote: "Ask any club of mayors in the Netherlands to explain their ideas about democracy and they will immediately start to abolish all or part of the city council. With dreams of'self-acting' by the people as an alibi, proposals are made for 'participation' by citizens in a kind of 'direct democracy', in whole or in part to replace the parliament."
ParlaMint-NL_2016-11-30-tweedekamer-4.u53	It is very nice to ask the mayors, but those mayors themselves have a democratic deficit, because they have not been elected at all. All over the world, except in North Korea and the Netherlands, mayors are simply elected. This is the only place they'll be parachuted. They're just from the PvdA network. All those people who are now in the PvdA and who will soon, on 15 March, hopefully get banged out, mayor, unsolicited, unelected and unwanted. Would it not be good if we could vote on who will be mayor, who will be the highest representative in every municipality?
ParlaMint-NL_2016-11-30-tweedekamer-4.u54	In my view, Mr Bosma is asking a little bit about the familiar path, because I think Mr Bosma knows that there is a D66 initiative proposal. He's been in the Chamber for some time, but maybe this went past him. So I think we're gonna talk about the mayor's position soon. Perhaps Mr Bosma did not listen to my speech either, because I am saying that it should not be the mayor who is thinking about this and that we should include the representatives of the people at the local level. In my view, therefore, Mr Bosma and I agree on this point on democracy and on how we should all think about it.
ParlaMint-NL_2016-11-30-tweedekamer-4.u55	Mrs Fokke just said: "Let's take the drivers at local level," but the drivers at local level are much further ahead. They already do all kinds of experiments and ask for space in the Municipal Law to experiment. In fact, they are taking the national representatives with them. So my question to the PvdA is whether it is going to propose today to amend the Municipal Law in such a way that municipalities that want to do so can experiment with deliberative democracy.
ParlaMint-NL_2016-11-30-tweedekamer-4.u56	I would like to await the Minister's answer, but I am indeed in the process of a motion calling for the good ideas from the municipalities. So it's not about blueprints from above. Let us indeed enable the experiments that municipalities indicate they would like to do. Let The Hague not be a barrier; let The Hague participate in proposals that come from below.
ParlaMint-NL_2016-11-30-tweedekamer-4.u57	Finalizing, Mrs. Voortman.
ParlaMint-NL_2016-11-30-tweedekamer-4.u58	I am very pleased with that, because I myself have a motion in preparation. However, my question was whether the PvdA also thinks that we should amend the Municipal Law, because that is one way of actually giving the local administrators who are asking for this space. So it is not just a question of looking at what is already happening. We already know that; beautiful things are happening. We need to ensure that the obstacles that local drivers are currently encountering are removed. That really is a task for the national legislator.
ParlaMint-NL_2016-11-30-tweedekamer-4.u59	I couldn't agree more. I believe that the good news is that the Home Office does not need to develop anything new, because there is already a proposal for an Experiment Law, which examines what laws at local level are obstructive. In this context, municipalities were able to put forward all kinds of proposals to declare a certain law applicable at local level. I think Homeland should learn from that. Let us not be the first to say that it will again be a matter of Community law. Pick up these experiments; do so actively, because in the framework of the Experimentenwet gemeenten that is now there and has already been in consultation, something has apparently already been asked about municipalities. I have to say, however, that very little has come out of it. As far as I am concerned, therefore, municipalities are actively submitting proposals. If there are obstacles in laws, these obstacles should simply be removed as far as the PvdA is concerned.
ParlaMint-NL_2016-11-30-tweedekamer-4.u60	Mr Bosma rightly pointed out that in the Netherlands the mayors are not elected and should be elected. Your reaction to this was that there is a D66 initiative proposal. Are you implying that the PvdA supports this initiative proposal and the election of the mayor?
ParlaMint-NL_2016-11-30-tweedekamer-4.u61	In my view, there is no doubt that we will support the D66 initiative proposal. However, legislation is sometimes persistent. Even if we sometimes want to settle things quickly, we have agreed on the provisions of the Constitution in state law. The legislative proposal must be submitted again at second reading. It goes without saying, however, that we support this and that we are indeed in favour of an elected mayor.
ParlaMint-NL_2016-11-30-tweedekamer-4.u62	That surprises me, because then we could have done so in the past period when the Labour Party was still in the cabinet with a Minister of the Interior? It would have been better if the Labour Party had encouraged its own minister to elect the mayor.
ParlaMint-NL_2016-11-30-tweedekamer-4.u63	I think the D66 Initiative Act has been there for a while. I do like the law of the state and not some sort of dictatorial regime. Mr Klein says that we should have dealt with this in the past period. Then the Minister of the Interior should have put the Constitution into effect. Surely we should not want that in a democracy? Something's been arranged in the Constitution for the mayors. A second reading of the legislative initiative will therefore be required. There is nothing Mr Klein and I can do about that. This democracy is a great asset even though sometimes it is slow and sometimes too slow as far as I am concerned.
ParlaMint-NL_2016-11-30-tweedekamer-4.u64	Before I give the floor to Mr Bishop, I would also like to congratulate him warmly on his birthday on behalf of all of us in this Chamber. It's a beautiful day to have a birthday and ask a question.
ParlaMint-NL_2016-11-30-tweedekamer-4.u65	Mr. Chairman. I'm deeply moved. Thank you for these heartfelt wishes. Where better to celebrate your birthday than among your political friends and enemies? Mrs. Fokke is shouting all kinds of things: "Look at these experiments," "get them up," "make some room," "putting legislation aside." On the contrary, is it not in the best interest of a democratic system to achieve as much stability as possible? Do we not run the enormous risk that if we start to experiment with all kinds of experiments, the cohesion, unity and democratic structures that have been proven will be thrown aside a little carelessly? Do we not need a fundamental debate on the parliamentary system first? Is Mrs Fokke prepared to support the motion that is being prepared for the CDA and the SGP is happy to join in the debate on this parliamentary system?
ParlaMint-NL_2016-11-30-tweedekamer-4.u66	Firstly, my heartfelt congratulations. We have chosen a fine day to deal with the budget: your birthday. Let me start with the final point. I have another reading from that state committee. I do not feel that we decided in an hour after noon that there should be a state committee. A delegation from the Lower House has even discussed this issue in detail in the Upper Chamber. I would add that there was more press in that room than members of the House of Representatives. In the end, we have come to this state committee and come to this conclusion. We can then have a lot of debates on this, but I feel that we can already put in place a whole book on the establishment of the State Commission and then the real state committee has to begin.
ParlaMint-NL_2016-11-30-tweedekamer-4.u67	That's right. The establishment of the State Commission has been an adventure in itself. I'm sure that novel will be written again. However, the answer is not exactly in line with my question. My question is this. If we really think that the parliamentary system may need revision, should we not go beyond all sorts of experiments, at first having a fundamental discussion here as a Chamber about the organization of the parliamentary system and its limits and consequences before we allow all kinds of experiments? Isn't Mrs Fokke afraid that allowing experiments too generous is disintegrating into the solidity of the parliamentary system?
ParlaMint-NL_2016-11-30-tweedekamer-4.u68	I think you should do one thing and not leave the other. I think it is very good that there is a state committee that is going to think about this very carefully. I think it was mainly about parliamentary democracy. However, the local government makes a call. It would like to involve citizens more in the decision-making process. It's not about one call. This is worn very widely. Then you can sit back and wait until the state committee is ready. It'll take a lot of years to get over that. You can also turn around and listen to the local authorities' request to do something about it. You should just give municipalities the opportunity to submit proposals for experiments. I'm not so hesitant about that. They're drivers, aren't they? Those are people's representatives, aren't they? Do we trust the local drivers or not? Now, please, just let that local driver submit a proposal for an experiment. Let us stop by definition coming up with a blueprint from above. Let us let the state committee do its job. Let us get some good ideas from local government and see where there may be legal obstacles. Let's just do that! What is Mr Bishop afraid of?
ParlaMint-NL_2016-11-30-tweedekamer-4.u69	The CDA also asks Mrs Fokke: what is she afraid of now? More press was present in the Upper House; there were a number of Second and Upper Chamber members. We organise round tables, hearings, and I know some minor things. The majority of the parties in the House of Representatives, which does not apply to the number of votes, are in favour of holding a debate on the setting up and commission of the State Committee, but now the coalition is going to have all the heels in the sand. What are you afraid of, Mrs. Fokke?
ParlaMint-NL_2016-11-30-tweedekamer-4.u70	The good news is I'm not that scared. That's gonna save you a lot. I am just saying that this discussion has already been held in detail. If I add up everything that has already been said about this, I can see that there is a book in the closet about this. In the end, you have to say: this is what it looks like and with this mission we put the State Commission to work. Mr Amhaouch wants to talk about this in detail, but I think we have already discussed it in sufficient detail. I agree with the mandate given to the State Commission. That has nothing to do with fear. You can go along with the slowness of The Hague and take a long time about decision-making, but you can also say that it is clear and let the state committee get to work. That's what the Labour Party thinks.
ParlaMint-NL_2016-11-30-tweedekamer-4.u71	I keep hearing Mrs Fokke say 'I' and 'it is clear to me', but the majority of the parties in this Chamber ask the coalition to take her seriously and proposes to have a discussion on this serious subject. Even if Mrs Fokke says in her words that she has enough information, she should at least respect what the Chamber asks.
ParlaMint-NL_2016-11-30-tweedekamer-4.u72	In my opinion, parties are entitled to have their own opinions. The Labour Party is indeed not in favour of this.
ParlaMint-NL_2016-11-30-tweedekamer-4.u73	That's insane. There is an appeal to the Chamber to agree to all kinds of experiments, but if we want to talk about them, we cannot. What kind of experiments are those gonna be? I have already mentioned a few examples from local democracy: officials go on lucky courses, aldermen have to decide whether the municipality of the future is a municipality of Ikhoven or of Mergendam, council members are told that "decisions happen to us." We also know the examples of the mayors who have a world parliament led by Mayor Van Aartsen of The Hague. They travel around the world to have a big chat, to lobby and especially to eat and drink.
ParlaMint-NL_2016-11-30-tweedekamer-4.u74	Your question?
ParlaMint-NL_2016-11-30-tweedekamer-4.u75	What kind of projects are these going to be? Will that be the municipality of the future, the local democracy agenda, the local city agenda? All these management, consultancy and advisory initiatives: is that what Mrs. Fokke has in mind with these experiments?
ParlaMint-NL_2016-11-30-tweedekamer-4.u76	In Estonia, Mr Van Raak, we were reminded of you. There, I believe, was a minister of happiness or something. Then we thought: will we table a motion specifically for Mr Van Raak when dealing with the internal affairs budget? I'm sure I'll tell you that this motion won't be made today. I will answer your question anyway. Do you trust your own local drivers or not? You give very interesting examples. I don't think many of these examples are, but that's what local government is about. The local government finally decides that. I can find a lot of that. I also think very much that your SP is in the coalition in Maastricht and does not want to spend the money for children in poverty on them but simply pour it freely into the general budget. I like that a lot. But I also think that local government is the move. The local representatives are about their choices. If The Hague doesn't like it, it can't always be that The Hague decides what the local government should do. As far as I'm concerned, trust the local government. Why don't you put it on the bottom of those initiatives? Perhaps I am more positive than you about the initiatives that local government comes up with. If you really want to do that, I know you differently, then you can also mention very nice initiatives from the local government. I have already heard this speech in an earlier general discussion. But there are also many other examples. Perhaps we should mention them instead of always the examples that you yourself say: yes, should it be? But it's not up to us.
ParlaMint-NL_2016-11-30-tweedekamer-4.u77	Finalizing, Mr Van Raak.
ParlaMint-NL_2016-11-30-tweedekamer-4.u78	The problem lies precisely in the fact that local directors, local council members and local officials have been given a variety of tasks by this government in the context of decentralisation, but that these tasks are largely carried out at above-regional level. An alderman hardly has anything to say about that, let alone the council members. In order to carry out these tasks, an army of expensive external consultants, consultants and similar types have been hired again. Those same types are going to fill their pockets with all kinds of experiments. That is a problem that the government, this coalition, has poured out on local democracy. And then Mrs Fokke of the PvdA asks local democracy to solve that. So that's not good. That is why I am much more in favour of the proposal to have a fundamental debate here on local government, on the basis of the state committee, and to see where the real pain is and where the responsibility of the government and of the Labour Party lies.
ParlaMint-NL_2016-11-30-tweedekamer-4.u79	Your point is clear.
ParlaMint-NL_2016-11-30-tweedekamer-4.u80	It is very unfortunate that Mr Van Raak does not appreciate what is happening in the local administration. It is also a pity that he gives the same example every time. If you tell yourself a hundred times that an alderman under a common arrangement isn't about anything, you're stuck in that pattern and you don't think it's about anything. I've worked in the local government for years. A common arrangement is not new. Let us not deceive ourselves that since the decentralisations we suddenly have regional partnerships. We've had it for a long time. Municipalities opted for regional cooperation because it was just better for the budget. The good news is, you're still going over it. If very strange decisions are taken in a common arrangement, you can appeal to your own alderman in the city council. Shall we make a bet that will just change the policy? Mr Van Raak is very negative in that. He apparently likes to think from The Hague how things should be in the local government. I just want to put the trust where it's supposed to be: with the local government. I am very pleased that, in the context of decentralisation, there are facilities where they should be: close to the citizen.
ParlaMint-NL_2016-11-30-tweedekamer-4.u81	Mr Van Raak is right on one point, namely that common arrangements are not very democratic. I think it is a very good thing that more and more powers are transferred to the municipalities. I agree with Mrs Fokke that they should be organised closer to the people. But these common arrangements must of course also be implemented democratically. How does the PvdA view this? Can this be experimented with, for example, with the way in which you choose the day-to-day administration or the general administration?
ParlaMint-NL_2016-11-30-tweedekamer-4.u82	I think the good news is that the common regulation does not exist. That's a good thing. I think that municipalities are hard at work and that the Home Office also plays a role in this. You have very good examples in the Netherlands. For example, you have the model in the framework of the Drechtsteden. Let the municipalities learn from each other about the ideal model. If you want, you still have influence.
ParlaMint-NL_2016-11-30-tweedekamer-4.u83	So there are also experiments possible in the area of democratisation of the common regulations, which may differ on parts of each other, for example to see how to better choose the general administration?
ParlaMint-NL_2016-11-30-tweedekamer-4.u84	As far as I'm concerned, yes. It would be foolish of us to say from above that it should not be presented as such an experiment. As far as I'm concerned, the local government has a real move.
ParlaMint-NL_2016-11-30-tweedekamer-4.u85	You will continue your speech.
ParlaMint-NL_2016-11-30-tweedekamer-4.u86	I've been joining the Department of Experimentation Act municipalities for a while. It is a good start, but democratic change in the PvdA is more than involving an external chairman at a committee meeting in a municipality, as is currently proposed in the Experimentenwet. Democratic change takes the guts not to develop a blueprint from above, as we are happy to do here in this Chamber, but to ask municipalities themselves what they intend to do about it. Is the Minister prepared to pick up ideas for experiments with local democracy from the bottom up? Does he also want to keep the momentum going?
ParlaMint-NL_2016-11-30-tweedekamer-4.u87	Do we still have an opinion on that? I just gave an example of something that came from local democracy, namely that mayors are part of a world parliament. Aartsen and other mayors of big cities are in there. They travel around the world and soup up and debate with each other.
ParlaMint-NL_2016-11-30-tweedekamer-4.u88	Can you ask a specific question? We have already discussed this at length. I would like to ask Mrs Fokke a specific question.
ParlaMint-NL_2016-11-30-tweedekamer-4.u89	What does Mrs. Fokke think of that world parliament of mayors? Is that an initiative that she has a heartfelt heart?
ParlaMint-NL_2016-11-30-tweedekamer-4.u90	I think I'm talking about experiments with local democracy. In my opinion, a kind of world parliament has nothing to do with a municipality in the Netherlands. Local representatives say they want to involve citizens more in decision-making, so please let us experiment with that. Now you come up with all kinds of wild ideas, but Mr Van Raak, you can really come up with better ideas. I'm sure.
ParlaMint-NL_2016-11-30-tweedekamer-4.u91	That's right, but this is ahead. The SP finds it insane that our mayors travel all over the world to soothe and debate things that have nothing to do with the congregation. If the PvdA agrees, we can make a proposal together and say we don't want this kind of bullshit.
ParlaMint-NL_2016-11-30-tweedekamer-4.u92	Apart from what I find further, if people at local level really think that this is the way to achieve what, why do you stand at the Interrupt Microphone every time in The Hague and do you want to impose it from above? Do you trust your own local drivers? I think there have been more than less since 2014. Do you trust your own local directors or do you not trust them?
ParlaMint-NL_2016-11-30-tweedekamer-4.u93	We're not supposed to challenge each other with questions. I would like to give Mr Van Raak a very brief opportunity to respond and then ask Mrs Fokke to continue her speech.
ParlaMint-NL_2016-11-30-tweedekamer-4.u94	It's insane! It is insane hobbyism of a whole layer of new public managers who has mastered the local government in the slipstream of decentralisation, earning an enormous amount of money and coming up with the most insane ideas. To my great surprise too, they get away with it.
ParlaMint-NL_2016-11-30-tweedekamer-4.u95	Your point is clear. I would ask Mrs Fokke to continue her speech.
ParlaMint-NL_2016-11-30-tweedekamer-4.u96	Let's look very close, for children in poverty, and not talk very high about world mayors. Then it remains insane that the same party, Mr Van Raak's SP, chooses not to label the money but to put it in general resources. That remains insane to me, because the decentralisation was about people. That's something completely different from world mayors. Good steps have been taken at local level in response to Mrs Wolbert's motion (34300-VII, No. 34) to strengthen the position of council members. We understand that the Ministry, together with the partners in the field, is working hard to implement this. In addition, the issue of neighbourhood rights has been put on the agenda more and more firmly in recent years. For the PvdA this is mainly about learning the examples from the field, from the neighborhoods and the neighborhoods. This also applies: please don't put a blueprint in The Hague. In the context of the active residents, my colleagues Albert de Vries and Voortman have therefore tabled a motion in the budgetary treatment of Wonen and Rijksdienst in order to maintain the subsidy of the LSA (National Partnership Active Residents). This motion has been passed. You would expect the motion to be carried out. However, we are getting reports that this is not the case. If Minister Blok does not carry out this motion, he will still have to fight over it. After all, motions adopted must be carried out. However, we wonder whether the Ministry of the Interior might be prepared to provide part of the subsidy, as part of the LSA's tasks lie in the area of Home Affairs. I have just tabled an amendment on this subject with Mr Voortman (34550/VII, No. 14) tabled. I would also like to talk about involving young people in decision-making. Whoever has the youth has the future. What are we going to do to involve young people in politics early? We have ProDemos, the Student Parliament, the Model European Parliament and youth councils in municipalities, but it often seems like a patchwork. There seems to be no alignment and coordination between the Ministry of Education and Science and the Ministry of Education. As far as we are concerned, one of the two ministries will be ultimately responsible and there will be an attack plan to involve young people more in politics. Is the Minister prepared to take the lead in this?
ParlaMint-NL_2016-11-30-tweedekamer-4.u97	That plan of attack sounds very interesting. When you start young, you understand fundamental rights much better and you can also apply them in your daily life, whether it is about freedom of expression, the way you want to live or the separation of Church and State. I'd like to know a little bit more about that. How exactly does Mrs. Fokke see this? In the past, I have asked and made a number of requests about this. I have not done so in the way Mrs Fokke is now describing, but I have asked for this point to be raised. So I'd like to get a little more explanation on this.
ParlaMint-NL_2016-11-30-tweedekamer-4.u98	I don't think what's happening now is right. There's a section at Education. Last, during the budget debate of the Ministry of Education, there was a discussion on whether or not the Model European Parliament could continue. It is not good that it is unclear when the Ministry of Education is dealing with it and when the Ministry of the Interior is dealing with it. We need to involve young people in politics. That shouldn't be a patch blanket. I just want this place put together. First of all, let the Ministry of the Interior deal with young people and politics.
ParlaMint-NL_2016-11-30-tweedekamer-4.u99	In fact, it might be possible for Home Affairs to have a real say in the area of fundamental rights. I am all for it, but something must also be done financially, because I cannot imagine that this could be set up in a moment. Is that space there, or does Mrs. Fokke think we can do it with the resources we have?
ParlaMint-NL_2016-11-30-tweedekamer-4.u100	I always think we should all be creative in the first place. It's not always the case that the solution is close as long as you have money. Let's think creatively what we can do. As a result of the budget debate on Education, the Secretary of State said: I will look again at what we are going to do about the Model European Parliament. Perhaps the Student Parliament and the Model European Parliament could be put together. Maybe that's very practical. Now one ministry does one and the other ministry does the other. Why, for example, does the Student Parliament fall under the Ministry of the Interior and the Model European Parliament under Education? Let's stop doing that. If we consider the education of young people to be very important, then let us get all this information. There will also be a lot of education and let us draw up a good plan of attack to involve young people in politics.
ParlaMint-NL_2016-11-30-tweedekamer-4.u101	This was the end of your input?
ParlaMint-NL_2016-11-30-tweedekamer-4.u102	Yes.
ParlaMint-NL_2016-11-30-tweedekamer-4.u103	Mr. Chairman. Privacy protection is becoming increasingly important. Since 25 May 2016, there has been new European privacy legislation: the General Data Protection Regulation. This has consequences for all governments. Two years after adoption, i.e. 25 May 2018, all organisations in the European Union must comply with this law. For government organisations that process personal data, it is very important to prepare and take steps towards mature privacy management, not only because 2018 is less far away than it seems, but also and above all because it is already necessary to act privacy consciously. A privacy baseline that provides organisations with concrete tools for dealing with privacy is of great importance. It translates the requirements of the Personal Data Protection Act into concrete, manageable standards, which clarify what organisations need to regulate in order to comply with this law. It is also necessary to use a hand-handling privacy by design when designing processes and information systems. For the PvdA, these are two important steps towards good privacy management. Of course, the Minister does not have to come up with these privacy handles himself. I do call on him to inform governments about and point out the existing privacy baseline and manual privacy by design. These are free to download via the website of the CIP, the expertise centre for information security and privacy protection of, for and by government organisations. I would like to hear a positive response from the Minister to this proposal. I'm here to talk about the open government. During the Accountability Hack held on Friday 9 September at the General Court in The Hague, 21 teams of developers, programmers and designers worked together. Those are all the good-looking headlines my colleague from the VVD mentioned before. They spent a day working on apps that better map government money flows and performance. This hackathon showed that the government itself benefits greatly from open data. Open data contributes to transparent accountability and provides insight into performance. However, it does not yet appear to be sufficiently aware of this awareness. Research by the Open State Foundation shows that very few government organisations report datasets via the Rijkssportal data.overheid.nl. This makes open data difficult to find. Currently, only 21 out of 300 municipalities report one or more datasets. The PvdA joins the call of the Open State Foundation for the Ministry of the Interior to take stock of which governments publish their data and which governments publish their WOB requests. I would like to hear from the Minister how he can respond to this call. In addition to open source, open data and open standards, the government should, if it is up to the fraction of the PvdA, arrange something else, namely the re-use of software. In this respect, I am also inspired by the vision document Government Software as Open Source by Kees Koenen and earlier pioneering work in the context of the Netherlands Open in Verbinding program to promote open source software in government country. The beautiful outcome of that vision document and the Netherlands Open in Verbinding could be "broncode.overheid.nl." There the source code of software, developed and paid out of community money, should always be available in principle. As far as the PvdA is concerned, this is not an unnecessary luxury in a knowledge-based society in which information is of strategic importance. I would like to hear from the Minister whether he is prepared to have this investigated, perhaps in connection with my earlier motion to make all knowledge about open source software available through a knowledge centre. The Minister intended to report to the Chamber by mid-February. I would like him to take this question with him. In accordance with Article 9 of the United Nations Convention on the Rights of Persons with Disabilities, the Netherlands is obliged to take appropriate measures to ensure access to, inter alia, information and communication technologies, including the Internet, on an equal basis with all others. With a government expressing its ambition to communicate digitally with citizens from 2017 onwards, the internet has become more than ever an essential means of accessing information and services and of learning about the content of websites and apps. The PvdA considers it unacceptable to abandon vulnerable citizens in the digital society. The government must continue to ensure that everyone has the same opportunities to experience the benefits of internet and mobile apps, to continue to participate extensively in society and to lead an independent life. The Minister has previously agreed to include in the legislative proposal on generic digital infrastructure an obligation to make the websites accessible. Apps should certainly not be forgotten. The PvdA Group is now very curious about the drafting of this law, which will include the open standards, at the request of the PvdA.
ParlaMint-NL_2016-11-30-tweedekamer-4.u104	Mr. Chairman. It is very good that Mrs Oosenbrug also calls for attention to the vulnerable groups. A while ago, we debated the initiative law of College Taverne on electronic voting and counting tools. That was also a wish of people with disabilities. Is the PvdA prepared to call on the Minister to finish his work and take the lead to meet those people?
ParlaMint-NL_2016-11-30-tweedekamer-4.u105	This one's very interesting. What Mr Taverne proposed was something other than what the Minister was already doing. The Van Beek Committee's report, which contained some very smart minds, states that it can be done safely, but that it does have a price tag. I repeat, a price tag is a political choice. That is what we have said in connection with Mr Taverne's proposal. There was a price tag on that, but he hadn't indicated any cover. That was a reason for my group not to vote in favour of that law. Of course we also want everyone to be able to participate, but democracy has a price.
ParlaMint-NL_2016-11-30-tweedekamer-4.u106	If we call on the PvdA to act swiftly to provide electronic tools, which are already available on the market, to support the vulnerable groups, will it be prepared to support that call?
ParlaMint-NL_2016-11-30-tweedekamer-4.u107	I always fall from one surprise to another here. I have already had a number of debates on this subject. I've told the same story over and over again. We must, of course, provide good resources, but it must be affordable. That's the choice we make here with each other. It has to be reliable, too. A splendid report has been produced on this subject. In it, the Van Beek Committee indicates how it can be done. It's fine if the market says it's possible. In the cabinet's proposal, there's something like: bring on the experiments. It must be my fault, I will not understand the question, but I think we are all doing it and we have had extensive debates about it.
ParlaMint-NL_2016-11-30-tweedekamer-4.u108	I agree wholeheartedly with most of Mrs Oosenbrug's speech, but I have the following problem: the government is going to digitize services. So also municipalities are going to do that. They are going to digitize everything, while I find that citizens often need personal contact in the form of a gentleman or a lady with whom they want to get rid of their worries, their problems. Recognition of your problems is often part of the solution, and if there is someone who thinks with you and looks with you. Part of the solution is not the ticking and the frames. Does Mrs Oostenbrug agree that part of the service may be digitised but that the starting point must always be that you can go to a gentleman or a lady who listens to you?
ParlaMint-NL_2016-11-30-tweedekamer-4.u109	Yes, and that is why I tabled a motion together with the CDA at the time when the people of Finance had thought that that blue envelope had become a symbol. The blue envelope could go under the guise: we're going to digitize everything. So that was the moment when I joined up with the CDA and said: that's very nice on paper, but in reality this doesn't work. We have also had various debates with this Minister and we have said that it will always be possible for someone to watch with you. It can't be that you're pulling out vulnerable citizens at some point. Digitalizing everything is not possible just because there is not a good coverage throughout the Netherlands, while the government itself is responsible for that as far as I am concerned. We cannot, on the one hand, tell citizens that we are only going to communicate digitally with them and, on the other hand, say that we are not having them connected to the Internet. That doesn't work, so you'll have to make sure in any form that you support the other, and you can do that in various ways. That's what I'm saying.
ParlaMint-NL_2016-11-30-tweedekamer-4.u110	Finalizing, Mr Van Raak.
ParlaMint-NL_2016-11-30-tweedekamer-4.u111	That's a bit of a wrap. The Minister says, on behalf of the government, that the service should be as digital as possible within a few years. It must all be digital, when I notice that the distance between local government and citizens is already so great. I am much more in favour of officials, administrators, going into the neighborhoods, going to visit residents and having meetings in the neighborhoods. People could go there to hear what they deserve, to get rid of their worries and ask where they can go with their pile of paper. I understand that from the point of view of austerity, the fact is that local drivers are getting less and less money, and there is a tendency to do it digitally in the sense of: then we can fire people and it's cheaper. But shouldn't we go another way? Isn't it supposed to be less digital? Shouldn't it be a little more human?
ParlaMint-NL_2016-11-30-tweedekamer-4.u112	I understand the plea of the SP, but I'm not in favour of doing one and leaving the other. So I'm for both, and I've always argued that. So make sure that digitization continues, because that also brings a lot of benefits. It's not just about firing people. In my opinion, ICT should never be the means to ensure that people are out of work, because that does not work. If you're going to digitize, you're going to make a certain move within your organization and you can clear some people. These people can then go into the neighborhood and I think this is already happening in many municipalities, precisely because more freedom is being given to set up their own local government. As a result, I see in the beautiful municipality of Lansingerland, where I live, that aldermen get on the bike to visit the residents. I see council members there talking to citizens in the village, at De Vis in Berkel and Rodenrijs, about how the Culture Fund will be filled and what will be spent on art. In my view, these are the advantages of ensuring that all citizens who are able to do so can make an appointment, for example at 10.10 a.m., to pick up the passport. Thus, between 10.00 a.m. and 11.00 a.m. there does not always need to be someone present. You can spend the rest of your time playing outdoors. I say that very disrespectfully, but I mean going outside, going to the citizens. I think we want exactly the same thing and digitalisation is part of it. You can't say we're gonna do one thing and we're gonna leave the other. No, it's got to be a match.
