ParlaMint-NL_2016-11-02-tweedekamer-7.u1	We'll continue with the first term of the Chamber. I call Mr Rog of the CDA.
ParlaMint-NL_2016-11-02-tweedekamer-7.u76	One of the thresholds is the admission code from VMBO to the HAVO which schools have established with each other. The agreement was made that the average final figure for a VMBO exam should be a 6.8 before a student with his diploma is admitted to the HAVO. We need to move towards the natural transition from VMBO to HAVO, so that such standards become superfluous. How's the Secretary of State gonna do this? The cabinet talks about first steps towards a flow-through right. As far as I am concerned, this commitment should be much more ambitious. When will that right be a fact? When have the thresholds been removed to accumulate diplomas? In the MBO this has already been organised through admission law. Let it take an example of this. The Labour Party calls on the Secretary of State to come forward with a bill guaranteeing the right of transit. Students and students deserve equal opportunities, even if their talents come out at a later age.
ParlaMint-NL_2016-11-02-tweedekamer-7.u77	I'm fascinated by this anyway. There is a code that has been agreed in the sector itself. With a 6.8, you can go from, say, Mavo to Havo. Mrs. Vermue wants to get rid of that. At the moment a lot of former sailors with a 6.8 average still remain in Havo-4. Doesn't Mrs Vermue think with me that we are failing the development opportunities of students who are about to get a right, because that's what's so good about it, if we send them to Havo-4 just because they feel like it?
ParlaMint-NL_2016-11-02-tweedekamer-7.u78	I am very surprised by what Mr Rog says here, because failure should never be an excuse to maintain thresholds in education. This means that we have to look together to see how we can eliminate these thresholds. With a legal right of transit, we want to prevent new thresholds being raised in the future.
ParlaMint-NL_2016-11-02-tweedekamer-7.u79	Mrs. Vermue pretends those thresholds are there to bully students. Those thresholds are there because you can see in a predictable way that a particular student is not going to make it. That's what the teachers do out of taking care of those students. Diederik Samsom, of Mrs Vermue's party, drove with a superschool in Rotterdam by Eric van 't Zelfde. Does Mrs Vermue know what the code is there, what number of mavols can flow to the Havo? That's a 7.
ParlaMint-NL_2016-11-02-tweedekamer-7.u80	That does not alter the fact that we want to remove all the thresholds. If we maintain the admission code, this still means that we are taking away students who, for example, reach a 6.7, the opportunity to follow education at a different level. We believe that a diploma should be sufficient to allow it to pass to the State. I'm asking the Secretary of State what he's doing to make that possible.
ParlaMint-NL_2016-11-02-tweedekamer-7.u81	It's like we're suffering from a collective amnesia. On 7 October 2015, a motion was tabled and adopted by a large majority in this Chamber, which states: "The government asks students with a VMBO-TL and VMBO-GL diploma to give the right to flow to the HAVO." That motion was, by the way, now I am going to help Mrs Vermue a little bit, supported by Mr Rog of the CDA, and he has also voted in favour of it. I do not understand his plea here at all. So that motion is just there. Do we have to ask for something nicely or should we just say: goddamn it, sorry, goddamn it, Secretary of State, just do this without further ado or buts?
ParlaMint-NL_2016-11-02-tweedekamer-7.u82	I can wholeheartedly support Mr Grashoff. I agree. But we can go one step further, because we do not want new thresholds and we want to give students every opportunity in the future. That is why we also want a flow towards secondary education to be legally anchored.
ParlaMint-NL_2016-11-02-tweedekamer-7.u83	Once again, I see an appalling lack of confidence in the professionalism of schools and teachers. As if, if further demands are made, that is to block the flow to the follow-up of students, rather than thinking from opportunities for those students. I do not want to challenge my personal experience, built up over decades and knowing exactly how it works from vmbo-4 to havo-4, why choices are made and why schools choose a certain threshold on empirical grounds. That's what happens for the student. The idea that the unambiguous right to flow guarantees the success of these children is now given priority. Why can't the PvdA just have more confidence in the professionalism of teachers?
ParlaMint-NL_2016-11-02-tweedekamer-7.u84	The right to flow must be guaranteed by a diploma. Why should we create additional thresholds? We have a great deal of faith in education. We believe that in the years that pupils are in education, prior to the diploma, they should be brought to justice and that the opportunities should be exploited to the full, so that the students can get the best out of themselves. I ask Mr Bishop why we should raise this additional threshold.
ParlaMint-NL_2016-11-02-tweedekamer-7.u85	I note that this answer completely ignores my question, but I will leave that alone. Unfortunately, because I would have liked to have answered my question. Have you considered a possible undesirable effect of your proposal? If a diploma is to guarantee one-on-one the right to flow, you can guess three times what will happen to the course to be completed in order to obtain that diploma, a diploma that could be sufficient to flow into a more professional MBO, for example. You must ask yourself whether you are proposing this kind of rigidness and are not actually trying to get rid of the students you are trying to help and we are all trying to help. I'd like to reconsider this.
ParlaMint-NL_2016-11-02-tweedekamer-7.u86	I believe that Mr Bishop is doing this to combat symptoms. On the contrary, it is important to take a good look at how we ensure that education is properly aligned. So we face the challenge of removing that threshold instead of defending it.
ParlaMint-NL_2016-11-02-tweedekamer-7.u87	Finally.
ParlaMint-NL_2016-11-02-tweedekamer-7.u88	Knowledge and skills are of course extremely important, but it makes a lot of difference whether there is a study commitment, a practical focus or a more theoretical focus. In concrete terms, Mrs Vermue's proposal mentions the vmbo-t. If this automatically gives the right to flow to the havo, this means that every vmbo-t student who is more practically oriented and who will thus flow to the mbo, must pass under the same yoke. That is the big risk of the proposal that the PvdA is now launching. This is not in the interests of the students.
ParlaMint-NL_2016-11-02-tweedekamer-7.u89	May I respond to that, Mr. Chairman?
ParlaMint-NL_2016-11-02-tweedekamer-7.u90	Yes.
ParlaMint-NL_2016-11-02-tweedekamer-7.u91	On the contrary, I think it is important that we give children and parents that opportunity and that we take their careful consideration seriously instead of excluding them. So I don't agree with that.
ParlaMint-NL_2016-11-02-tweedekamer-7.u92	If we agree on something, it is that we all think in the interests of the students. But here we have a different perspective. I therefore tend to support those colleagues who have just been interrupting. Can't you see the exact opposite of what Mrs Vermue is talking about? Is the fight against symptoms not correct that, if a threshold is introduced, a selection criterion is applied: 6.8, or at the school in Rotterdam which quotes Mr Samsom where it is a 7, this is done because those training courses do not lead enough to the level after that. That is a sign of symptom control. After all, I do not like the 6.8 or the 7. Well, I guess I'll just get rid of that. That's symptom control, isn't it?
ParlaMint-NL_2016-11-02-tweedekamer-7.u93	Schools seem to see risks of failure. This means that, just before that threshold is set, we need to look at how we can ensure that education is sufficiently compatible. That a threshold is undesirable... The question where we place that dot on the horizon to work towards a legal right of transit in secondary education lies ahead of this.
ParlaMint-NL_2016-11-02-tweedekamer-7.u94	Then I come to the conclusion that you come to the same conclusion as the one I came up with in my term: the order is reversed. The order is not to start with a flow-through right and to remove this criterion. No, the order is simply to start with the level of education, so the right level and direction of that pre-training to ensure that it is good enough. The last thing we have to do is lower the bar, because then all the students will be worse off.
ParlaMint-NL_2016-11-02-tweedekamer-7.u95	If we want to give students and students the hope that they can get everything they want out of our education, then we must not set thresholds in advance. Then it is not a point of departure, but different measures that we take side by side.
ParlaMint-NL_2016-11-02-tweedekamer-7.u96	Mr. Chairman. Emancipating education. However long the route may be, in view of the late bloomers in our Dutch education system, this will always have to remain a core task. Challenging every talent to the maximum, because every talent has talent. To offer every child maximum opportunities, without talking about high and low in education. Looking at what someone can do, instead of what they can't. I call that uplifting education: the constant struggle to give everyone an equal chance. Before the summer, we presented an own-initiative paper containing concrete proposals. I am glad that the cabinet has taken on board many of these proposals in the letter. Education calls for the very best to give space to all these children and not to force them to make choices too early to prevent them being pinned down at a certain level at a young age. As a young thirties I experience education from different sides: as a former VMBO, MBO and student in higher education, over the past four years as a guest lecturer in many schools where I myself have had education and recently as a father, a father who has to make a choice for an elementary school, a preschool, daycare. I see beautiful examples in my own city of Gouda of how care, preschool and kindergarten are combined in the same building, where teachers know each other and continuous learning becomes reality. That's a beautiful picture to see. Education not only emancipates, but should also connect. This forming task of education is sometimes under pressure. Children learn respectfully to deal with each other and to share and cherish core values. No heated heads facing each other, but dealing with difference and an open conversation. Social issues have their effect in class. I see this struggle all the time when I'm visiting an average MBO setting. During the hearing organized by the Chamber following the report 2 worlds, 2 realities of Margalith Kleijwegt, this assignment proved more topical than ever: making the undisputable discussion possible, such as the struggle of young people who have many questions about sensitive issues. These deserve attention, a rebuttal, an open conversation. That is why we need to guarantee social education better and more fully in the MBO. In addition to the attention paid to social studies in professional practice, MBO students deserve to receive at least one year's work, as well as their peers on HAVO or VWO. I am glad that the young people in the MBO are making this proposal. I can also fully agree with co-initiator Rog on this point. The challenge in the MBO is huge and not easy. The links between vocational training should be better aligned and closer to the business community in the region. At an MBO institution, all parties must participate and make firm agreements on the direction of education, the guarantee of practical places and internships. It must not happen that motivated young people should leave school because there are no internships. At the end of the day, motivated young people should be able to obtain a diploma and not suffer from the lack of internships. That is and will remain our starting point. When we came up with a proposal to guarantee this, there was no majority for that. However, a motion has been adopted by Mr Jadnansing asking for a final approach to internships. What is the progress on the implementation of this motion? Can the Minister guarantee that there are no motivated young people in the country who would have liked to get the MBO degree, but yes, there was also an internship and the institution said "it's your responsibility, otherwise you'd better drop out of school"? Training should not be training for "no perspective." We therefore want existing training programmes to be checked regularly and, if necessary, completed more quickly if they are trained to nothing. How often have existing MBO courses been reviewed on behalf of the Minister? We welcome the initiative of students, colleges and universities to regularly review existing higher education programmes in the future on the extent to which they relate to the labour market and to social and scientific relevance. How's this going in the MBO? Which partners are involved in this? Does the Minister think that this could also be done in a different way so that the MBO can become more innovative and lead the way? The question must be which training courses we need tomorrow and which training courses young people can then offer a great deal of perspective. The outside world is changing rapidly and the MBO will soon have to act on it. I would like to mention the successes we have achieved in the past period, especially in the MBO. I am proud that many young people in the MBO will receive an OV card as of 1 January 2017 in order to be able to travel from home to study place. For a large number of young people in the region, the fact that they were faced with high travel costs at underage age was a problem. I am glad that not only has that been discussed in the last period, but that this point has also been realised. My group has had this wish for years. It's good that this is settled now. More resources have also been put in place to meet MBOs in their school costs, as can now be seen in this budget. There have been flow-through programs to do something about the illogical connection between the MBO and the HBO, which is there. An MBO gets a degree and then starts thinking about whether or not he's going to study. That's the reality of the MBO. That is why it is so important to teach MBOs in good time what the HBO will bring with them and what it is to study. There has also been more control in the MBO. MBOs, for example, have been given greater participation in relation to school costs and have been given a better position to discuss the budget. My next point is about stacking. We welcome the intention of the cabinet to provide financial incentives to institutions that give more opportunities to students who are stacking within the MBO. Eventually, any MBO who enters at a lower level must be able to flow to the level that is best for him or her. We also welcome the right of admission that we discussed in the Chamber not so long ago. We have done a lot in higher education over the past period. That's good. We have had an intensive discussion about the position of students and teachers and the extent to which they can talk. We've given training committees more power. We have also looked at participation in the introduction of the study advance on the resources available. Students must be in a position to do so, as they should. We have taken a major step in recent times. Work has been carried out on the so-called study advance and the social loan system. Maybe a little too much time has gone into that and it could have been quicker. This is all good for the evaluation, but since 1986 no such major reform has been carried out, precisely to ensure better and smaller-scale education for future generations. I therefore sincerely thank GroenLinks and D66. That's from the bottom of my heart. They have not only called for something else in the past, but they have also taken responsibility for what they consider important. That is why this has now been realized. I am convinced that this will be the norm in higher education for a long time to come.
ParlaMint-NL_2016-11-02-tweedekamer-7.u97	It is nice that GroenLinks and D66 are thanked again for taking responsibility for abolishing the basic grant. However, my question to Mr Mohandis is as follows. Does he feel responsible for the fact that 15% less mbos are currently flowing to HBO? He praises his minister here. All measures have been taken, all of which have cost money, but the effect of this is that there is now 15% less flow from MBO to HBO. Does Mr Mohandis feel responsible for this?
ParlaMint-NL_2016-11-02-tweedekamer-7.u98	I feel responsible for introducing a very important measure to ensure the quality of higher education in the long term. You're gonna have to do a little more than just argue for that. I also feel responsible for the consequences. We had a detailed debate on these figures not long ago. We expected something to happen. On the basis of the final figures, we know exactly what effects there are. I also said at that time that a lot of MBOs do not know what the study advance is like, for example with regard to the increased supplementary grant, which you have already questioned, with or without covering your plans.
ParlaMint-NL_2016-11-02-tweedekamer-7.u99	We are not going to repeat the debate.
ParlaMint-NL_2016-11-02-tweedekamer-7.u100	I don't want to do the debate again. I feel responsible, but the figures that Mr Rog is magical with must be proved. We want to give every MBO who's motivated that opportunity. This system also offers those opportunities. Mr Rog always assumes that this is not the case. I don't share that with him.
ParlaMint-NL_2016-11-02-tweedekamer-7.u101	Perhaps it would be a good idea to go back to the debate on the introduction of that maled loan system. There were a lot of numbers and a lot of research has been done. I said in my own text that there would be 2,700 students less per year. These were in the first year after the introduction of the loan system 9.000; they were 9 000 young people who did not go to HBO.
ParlaMint-NL_2016-11-02-tweedekamer-7.u102	And now the question.
ParlaMint-NL_2016-11-02-tweedekamer-7.u103	My question to Mr Mohandis is how he can beat himself and the Minister here because they would be so incredibly busy increasing opportunities if 9 000 young people did not take the step to HBO. That's almost four times as much... let me put it this way: that's more than three times as much as we expected.
ParlaMint-NL_2016-11-02-tweedekamer-7.u104	I also said in that debate that every young person who does not go because he or she is afraid is one too many. However, I also said at that time that I note that what we have arranged with each other and all the facilities that study makes possible and that ensure that all these young people not only go there but can also count on future higher education that really gives them the chance to get that diploma, are a package of measures that many MBOs I have spoken to say they do not know exactly what has changed. So there's a job there. Others always say that 'well, that's information'. However, that is very important, because a lot of these young people need to be told what studying means. You must also encourage them to do so, if they are willing to do so. Action is also being taken on the flow from MBO to HBO.
ParlaMint-NL_2016-11-02-tweedekamer-7.u105	Please continue.
ParlaMint-NL_2016-11-02-tweedekamer-7.u106	Look at links and choices. I want every motivated young person in the MBO to go there when he's motivated and helped with everything that's needed.
ParlaMint-NL_2016-11-02-tweedekamer-7.u107	Please continue.
ParlaMint-NL_2016-11-02-tweedekamer-7.u108	Then we always find each other on each other's side, because the assumption that we have put in place such an important measure to make that impossible is, of course, nonsense. I've never been in politics before. That is contrary to everything I have in my mind when it comes to fighting for good education. I had come to the performance agreements. We have said a lot about this in the context of the midterm review. These agreements relate to many measures, and it is good that we have considered them over the past period and put an end to them. I refer to the binding study advice in the second year of study and not tuition fees differentiation for excellence pathways but simply accessible talent programmes for all talents, as we discussed in the Strategic Agenda. Studying well for anyone who wants to combine this with, for example, a year of administration, is also possible due to the plan I presented with the VVD and the LSVb. This makes combining their studies much easier than paying for the academic year in which you only take a few courses. Colleagues Rog and Duisenberg have already referred to the Action Plan Attack on Uitval and a better study choice check. We want to make that clear with a proposal later. I look forward to that proposal, which I'm going to cooperate with. Given the agenda, we'll probably file it tomorrow. I'm rounding up. Four years ago, during my maiden speech, I told them about my parents and how they dealt with my school advice from the primary school teacher: embrace without contradiction or the urge to force a higher level. A teacher is authority, respect that. I can still hear my parents saying it. They probably would have been more involved in the education of their children, but because of a lack of knowledge of Dutch education it was sometimes complicated. My parents' rock solid confidence is that every child can get the best out of themselves, whatever level it starts at. It's always inspired me. The beauty of our emancipating education is that as a first-generation student, I finally had the privilege to take that step; to go to college, when no one in my area could tell me exactly what that is. This also makes it easier for me to fulfil my role as a parent, which I consider crucial for the success of children, and share with my own children. With me, there are many who happen to be the same. Education is for many the ladder that makes progress possible. We need to cherish that ladder. We must continue to strengthen it for every talent. After all, every talent is of value. And what's valuable is all of us.
ParlaMint-NL_2016-11-02-tweedekamer-7.u109	Mr. Chairman. Those very fine last words by Mr Mohandis. There seems to be a new theme on the education agenda: the inequality of opportunity. Of course, there is inequality between literate and illiterate environments, where there are no books and where there are no civilized discussions. But the claim that education would segregate instead of integrating is a gotsp. He does so much injustice to all those teachers, especially in the vmbo and in the rocks, who employ their working lives to elevate and emancipate left behind groups, especially newcomers. For 40 years, wonderful and costly educational projects have been devised and funded. This was always at the expense of regular education, because you can only spend an education euro once. Teacher teams have worked very hard to bring all these projects to a successful conclusion. There's still all this extra help. Did all those extra investments work? Well, for large groups of immigrant newcomers, yes. They have grasped the possibilities with both hands. Think of the Yugoslav, Spanish and Italian guest workers of that time, a long time ago; of the Cape Verdens in Rotterdam, of the Surinames, especially the Hindu Surinames, and rather of the Indian Dutch. For all these groups it was not easy, but their second generation found the way to the middle class quite effortlessly. They became participating Dutch people who share our values. To date, however, this integration does not succeed for large groups of Moroccan and Turkish Dutch, nor for Somalis and Syrians. They choose not integration, but a life in a parallel society. They choose to live in the middle of Rotterdam or in the middle of Gouda in their own country. These groups cannot help with an additional €87 million. But our education is also accessible to them. Hardly anywhere in the world that's as accessible as here. Responsibility for integration does not begin with government or education, but at home. Education must uphold standards. Every political intervention, and today we have talked about it again, in order to make education even more accessible, inevitably ends in a reduction in standards and in diploma inflation. The government should not therefore say goodbye to the idea of efficiency in education, because that is precisely what was created to stop this sneaky lowering of standards. We cannot and should not lower our quality standards to qualify groups of students and students who would otherwise not be able to make it. This was done at the time at Inholland and other colleges.
ParlaMint-NL_2016-11-02-tweedekamer-7.u110	Once again we get a PVV-number bashing of Dutch people with other ethnic backgrounds. All the studies of the last few years show that young people with an ethnic background have made a huge catch-up in Dutch education: first to the MBO, now to the HBO and meanwhile they also start to get through to the universities. Of all these groups, Mr Beertema calls for them to live in parallel societies. As a blow to the head, he says that the Syrians also choose to live in a parallel society. These groups have been in here for the last few years. Even if it were, Mr Bertema would not be able to provide any evidence in the short term that there would be even a beginning of truth in it. I would like to call on Mr Beertema to stop saying nonsense.
ParlaMint-NL_2016-11-02-tweedekamer-7.u111	In answer to that, I would like to say: Mr Grashoff, open your eyes in Rotterdam, where you are well known, or in Amsterdam-West, Culemborg, Gouda and Zaandam. In Zaandam the scumbags, who could always sleep in, went to get a croissant at about eleven o'clock and then went out on the street with a camera to stare neighborhood residents. I'm talking about those people. That is the parallel society in which these people live. Mr Grashoff does not want to see that, I know, but he also believes in very other strange things that have not been proven. He likes to look away, that's his right. He's got his place here and he gets to do his story. I'm allowed to. It has nothing to do with bashing population groups, but it has to do with naming problems that he looks away from.
ParlaMint-NL_2016-11-02-tweedekamer-7.u112	It is the same again: naming problems by the PVV, but not the least beginning of a solution to any problem. It is swooning and wallowing in naming problems of young people who jump out of the trap, on which we all agree, Chamberwide, that it cannot be done. But it is also not wanting to see, not wanting to recognize and not wanting to recognize all those large groups of young people who find their way in this society with different than Dutch backgrounds, sometimes with great difficulty. Those groups are all collectively put away by the PVV, over and over again, and I am done with that.
ParlaMint-NL_2016-11-02-tweedekamer-7.u113	When you're done, sit down. You are obviously not listening either, because I have just mentioned large groups in which integration has been excellently successful. I am thinking of the Surinamese, the Cape Verdeans, the Yugoslavs and the Italian migrant workers at the time. What the hell are you talking about? I'm putting away all kinds of population groups. Not at all! Everyone's welcome. Share our values, do your best, and then you'll be fine. If you don't, vote GroenLinks. If large groups of citizens do not want to adapt, every extra euro disappears into a bottomless pit. I will tell you how it can be done, Mr Grashoff. By doing the same thing as all those other citizens, from whatever level of education and background, who want to make their lives a success. Speak Dutch at home, watch Dutch television, teach your children Dutch songs, read Dutch stories before going to bed, send the children to bed in time instead of letting them roam the streets, go to parents' evenings. Form your children into Dutch culture. In short: integrate. Only then will it be okay. If there are any problems, that's okay at all. Of course, there are still problems. Then there is the whole range of help, such as homework guidance, mentors, coaches, pedagogical assistance. I've been there, I've been there, I've been there, I've been there, I've been there, I've been there, I've been there, I've been there, I've been there, I've been there, I've been there, I've been there, I've been there, It still exists, still does. I wonder what the critics want differently. Reduction of standards? Did we do that when we sent the native workers' children to the lts? Do we want the level of education to adapt to those who are left behind? Do we want to take over the parents' responsibilities? Entire generations of the indigenous subclass and of the immigrant newcomers have found the way to emancipation in the middle class with less or more difficulty through education. So there's more than enough help. As far as we are concerned, there is no extra euro for any more target groups policy. Now bring back the Cito test. The PVV advocated this on its own in 2013, 2014 and 2015. Let that test determine the choice of further education, where the teacher's opinion is advisory. That helps. It promotes the accumulation of training and improves the connection between vmbo, mbo and hbo. For example, restore the vm2 pathways in the MBO. Expand them with vm3 trajectories. They were successful. That's how we do meaningful things with our education money. This leads to more results when it comes to inequality of opportunity than the sneaking down of the norm. This is going to happen as it has happened before: no more new diploma frauds. I would like a response from the Minister.
ParlaMint-NL_2016-11-02-tweedekamer-7.u114	There may have been many reasons to interrupt, but let me try to keep it a bit positive. I am also a passionate supporter of the vm2 pathways.
ParlaMint-NL_2016-11-02-tweedekamer-7.u115	Then we'll hang out in there together.
ParlaMint-NL_2016-11-02-tweedekamer-7.u116	That was my question. I've already got the answer. Let's do that. That is truly an achievement that we have lost. Mr Beertema agrees with me. I call all kinds of technology routes, the this route, the that route, full of obstacles and hassle. Let's do it!
ParlaMint-NL_2016-11-02-tweedekamer-7.u117	I'd like to respond to that. These vm2 routes were simple routes with a very nice collaboration between the local rocks and the vmbo's. Typical vmbo students who otherwise got lost in those huge, large-scale roc factories were brought in. The additional advantage was that an incredibly fruitful exchange took place between the teams of the VMBOs and the teams of the roc's. They came together on the floor, something new came up, and that was fantastic. It didn't cost much money and kept a lot of students inboard. As far as I'm concerned, we could extend that to, for example, vm3 Why not?
ParlaMint-NL_2016-11-02-tweedekamer-7.u118	Please continue.
ParlaMint-NL_2016-11-02-tweedekamer-7.u119	As far as we are concerned, there is a discrepancy between alpha-, beta- and gamma-sciences. OECD figures show that the Netherlands, especially compared to Germany, has a high above average number of social sciences students. As a result, the Netherlands produces a lot of educational innovations, which everyone will regret afterwards. I mention the reports on the blessings of gender-neutral toilets in primary education. We build gaybras, you know: those zebras. In Germany they build Porsches and Audi's. That's kind of the difference. The PVV wants, as in the MBO, a macro-efficiency plan in scientific education that can strengthen our national economy. There's been talk of it, but it's not getting anywhere. Does the Minister remember that Rotterdam had two MBO courses in urban dance? That was two because they were so popular with students. Those students then disappeared in the card boxes of the UWV. Fortunately, that's all normalized. Good hits have been made. But so many studies sociology, education, European sciences, gender studies, intercultural communication women's studies! You can't do that anymore, can you? The focus should be on technical education. The applications are going well, so good that there is not enough room to process that run-up. We have just talked about it: all kinds of tricks such as lectures in cinemas and even numerus fixus. But before we do that, the PVV would like to know how many percent of registered technical students are not Dutch. We have just talked about internationalisation in the small-scale debate. It's very important! But should we now encourage internationalisation in such a way that we will not be able to serve our Dutch students and students from China, Singapore or do I know much from where? I'd like to hear a reaction to that. I would also like to hear a comment on the following. Not only I but many people find it incomprehensible that English has become the new language in wo and has replaced Dutch. Please return the Dutch language to the universities and do not let it become a kind of peasant language, as Dutch once was during French domination, while English becomes the language of the elite. The SP came up with a hard attack on article 23. As far as we are concerned, that article is fully maintained. As we know, we want to exclude Islamic education from it for the reason that our rule of law, our Constitution and our way of life cannot afford to allow the same freedom of education to an ideology diametrically opposed to all our values of equality, respect and tolerance, which ultimately wants to be replaced by Sharia. Islam means submission. It's a conquest ideology from our perspective. Mr. Chairman. Education is becoming more culturally-relativist every day, and that disturbs us in every way. This road-with-us mentality within education has led to the bankruptcy of the key objectives of integration. 40 years of integration education has ultimately led to voluntary segregation, culminating in a parallel society and Islamisation of education. At the same time, our own heritage is declared racist, see the black-and-white debate. That has corrupted the Sinterklaas party, which was a children's party for centuries. The focus on school should return to our Dutch identity and culture. I think of that flag and the national anthem, and of that superior Western culture in general. Western values and traditions must be guiding and visible in education. That is also an old task of education. That offers a future! I would ask the government once again to raise the flag at regular intervals in the context of this cultural resilience and in order to strengthen our identity as primary schools and vo-schools. The Dutch flag! That should be accompanied by our national anthem. In the United States, but also in Suriname... Mr President, I see that Mr Kuzu has taken the trouble to attend the debate. I haven't seen him all day, but now he's here. This is very common in the United States, but also in Suriname. It works, too. It contributes to the pride of being a Dutchman. It can't be that our tricolor barely has a place in the public domain. That is why I would also ask the President-in-Office to set an example to education and to give our flag a prominent place in our Parliament, preferably here in plenary. The flag deserves that, and our identity deserves that. Mr. Kuzu!
ParlaMint-NL_2016-11-02-tweedekamer-7.u120	In contrast to the PVV, DENK is a democratic party with members. That means we're also working on an election program.
ParlaMint-NL_2016-11-02-tweedekamer-7.u121	Very old-fashioned. Very old-fashioned!
ParlaMint-NL_2016-11-02-tweedekamer-7.u122	We had a meeting and I have to do several things at once because I only have a small group. A little more understanding and a little more relativity about Kuzu's presence in a debate would be desirable, but I also think it is nice that he missed me.
ParlaMint-NL_2016-11-02-tweedekamer-7.u123	Sure, sure.
ParlaMint-NL_2016-11-02-tweedekamer-7.u124	I would like to have a debate with Mr Beertema. I'd like to ask him if he's ever been to an Islamic school.
ParlaMint-NL_2016-11-02-tweedekamer-7.u125	Oh, yeah. I've been to a number of Islamic schools. I've also been to a Cosmicus school, a Gülen school, as you know as much as anyone else in this house. Those are Islamic schools, and I visited them. I hate it. In the last few years I've been a teacher at Albeda College's secretary school, I've been dealing with groups of girls who are your city, right? They were raised in those attics, where those girls were kept apart. What do you call it? Boarding schools or something? Those girls were raised in the attic, brought to school in vans and were of course completely classically dressed. I've had a lot of fun with those girls, but I thought it was too terrible for words to go through what they were exposed to.
ParlaMint-NL_2016-11-02-tweedekamer-7.u126	Mr. Kuzu!
ParlaMint-NL_2016-11-02-tweedekamer-7.u127	So I'm familiar with it.
ParlaMint-NL_2016-11-02-tweedekamer-7.u128	It is of course nice that Mr Bertema has been there. But did he also see what he's saying here? If so, how does it stand in relation to what he has seen, namely that they would be so-called breeding ponds of hatred? Does he have any experience with that? Did he actually have the right to consider it that way? I know that Mr Beertema is a strong supporter of the Cito test. When we look at that, we see that Islamic schools score a little better than the national average. If we look at the best elementary school in Schiedam, we can see that that's an Islamic school. Why the need to be constantly derogatory and to create an exception to Article 23 of our Constitution?
ParlaMint-NL_2016-11-02-tweedekamer-7.u129	If there is an Islamic school here and there that scores slightly above the national average, it is absolutely beautiful. We have had a whole history of Islamic schools closed because not only the quality of education was very weak and there was no improvement, but also because the direction and governance of these schools was really too terrible for words. There was corruption. Lumpsum money, for example, was spent on pilgrimages and Mecca. Many things have happened there, and I can hardly imagine that Mr Kuzu now wants to give us an image of Islamic education as a model of good governance and great education. But it's not so much about those core targets. Those boarding schools are working hard on the core goals, but it's about what happens during homework counseling, about what happened to those girls I was talking about in the attic interiors, about the indoctrination that was committed there. Those girls all knew for sure that our secular laws were under sharia. It is the way they saw their whole lives destined for a man's service; the way they wanted to give their lives according to the traditions of the Koran and Hadith and the way they stood against terrorism and jihad. I've got the numbers right here in front of me. How much was it? 80% of Turkish youngsters in Rotterdam think terrorists are heroes? Was it?
ParlaMint-NL_2016-11-02-tweedekamer-7.u130	You know by now...
ParlaMint-NL_2016-11-02-tweedekamer-7.u131	Finally, Mr Kuzu.
ParlaMint-NL_2016-11-02-tweedekamer-7.u132	...that those cracked researches that the methodology doesn't make any sense at all?
ParlaMint-NL_2016-11-02-tweedekamer-7.u133	No.
ParlaMint-NL_2016-11-02-tweedekamer-7.u134	What matters is that a human image and a social image of Mr Beertema and of the PVV are displayed here that is contrary to what is happening in those institutions and in those schools. Mr Beertema should really look more closely at what is happening there, using a different human image and a different social image. That makes you happier yourself, Mr Beertema, and that also makes society happier.
ParlaMint-NL_2016-11-02-tweedekamer-7.u135	And that's what you say on November 2, the day of death...
ParlaMint-NL_2016-11-02-tweedekamer-7.u136	Stop that brief world view of you! Take a broader look at the world around you, Mr Beertema! It'll make you happier.
ParlaMint-NL_2016-11-02-tweedekamer-7.u137	And that's what we hear from Mr. Kuzu on November 2nd. On November 2, 2004, Theo van Gogh was murdered by Mohammed Bouyeri, even if someone who was so at home in "mohammedanism," I'll say, and who has produced a lot. And then you're gonna lecture me here, Mr. Kuzu, about my human image? I'd say, come on!
ParlaMint-NL_2016-11-02-tweedekamer-7.u138	Mr Kuzu, you may correct the point.
ParlaMint-NL_2016-11-02-tweedekamer-7.u139	Perhaps I could refer you to the fine note that Mr Dijkgraaf sent to Ebru Umar today. You've probably read it already.
ParlaMint-NL_2016-11-02-tweedekamer-7.u140	I have my other favorite writers I prefer to read from, but Chairman, this is exactly the point. This is exactly what the PVV should get used to: a different human image and a different social image. You need to get used to it, Mr Bertema, that there are people in this society who are Muslims, who have a different background, but still make a full contribution to society. People who don't fit in the booth or the box you'd like them in. Time has changed. Question: Did Mohammed B. go to an Islamic school? I don't know.
ParlaMint-NL_2016-11-02-tweedekamer-7.u141	No, by the way, are you making another contribution here, a text of speech? I'll be able to interrupt you, too.
ParlaMint-NL_2016-11-02-tweedekamer-7.u142	It's his turn.
ParlaMint-NL_2016-11-02-tweedekamer-7.u143	It's his turn? Great.
ParlaMint-NL_2016-11-02-tweedekamer-7.u144	Please continue.
ParlaMint-NL_2016-11-02-tweedekamer-7.u145	Well, what else? I think I've run out of speaking time, Mr President.
