ParlaMint-NL_2016-11-15-eerstekamer-4.u1	I would like to welcome the Minister of Security and Justice to the First Chamber.
ParlaMint-NL_2016-11-15-eerstekamer-4.u32	On several points, the Supreme Court explicitly states that it did not do so. So I wouldn't necessarily assume that. In the reply, the Minister states that the preamble and the preamble which states that a lawyer's statement must be made is merely a recital. I would point out that the Court of Justice refers precisely to the interpretation of those provisions. What is the Minister's answer to that?
ParlaMint-NL_2016-11-15-eerstekamer-4.u33	My answer is that, of course, there is a difference between the preamble and the provisions of the directive itself. The implementation of the Directive will take place with all due care. I am convinced that we meet the requirements of the directive. We'll do it with all due care. We are also doing this flexibly; that was also asked for. We're monitoring that. If there were any reason to change the decision in the future, we will certainly do so. I'm not worried about anything. With the implementation as it stands, we meet the requirements of the directive. There's no other way to do that, because otherwise I wouldn't be filing the bill.
ParlaMint-NL_2016-11-15-eerstekamer-4.u34	Finally, Mrs Strik.
ParlaMint-NL_2016-11-15-eerstekamer-4.u35	I would like to make one more point. The Minister states that it is indeed not binding. But what is the meaning of the preamble? There are no meaningful provisions in such a recital, are there? What is the meaning of that?
ParlaMint-NL_2016-11-15-eerstekamer-4.u36	I have seen a lot of directives pass in recent years with four or five pages in advance, after which the articles follow. The articles are the essence of the matter. The recital indicates colour. I agree with Mrs. Strik. However, this does not give rise to any obligations. The final question is whether the coloring is meant to ultimately indicate a change in the legislative proposal. The preamble is a recital, no more than that. It concerns the actual articles in the directive.
ParlaMint-NL_2016-11-15-eerstekamer-4.u37	I listen intensively and very carefully to colleagues' questions and the Minister's answers. In fact, I was waiting for an answer from the Minister which I do not think I have heard yet. This is about Mrs Strik's final point. I was waiting for the Minister to refer to paragraph 3.6.9 of the judgment of the Supreme Court of 13 September. I believe that in that recital the Supreme Court states that in the event that the policy letter of the Public Prosecutor and its Annex 2 would still be in force after the expiry of the period of implementation of the Directive, the rules contained in that letter and Annex do not have any such content that it can be said at this stage that there would then be a basis for issuing an order to withdraw it or to adapt it by the court of provision for obvious conflict with the directive. I believe that this is an argument for the Minister's reasoning, but I have not heard him mention it, and that makes me a little restless. Hence my question to the Minister whether I am wrong here.
ParlaMint-NL_2016-11-15-eerstekamer-4.u38	I congratulate Mrs Beuving on her remark and thank her very much for bringing it in. As a lawyer, I would have said: I would like to regard this remark as repeated and inserted. However, that is not necessary now, because Mrs Beuving has rightly pointed this out. I would like to join her with warm thanks. That brings me to the end of my speech.
ParlaMint-NL_2016-11-15-eerstekamer-4.u39	Then we have arrived at the second term of office. I give the floor to Mrs Wezel.
ParlaMint-NL_2016-11-15-eerstekamer-4.u40	Mr. Chairman. I would like to thank the Minister for his clarification. I would still like to hear from him why the government has decided not to bear the costs of legal aid at public prosecutor's hearings in which a minor is to receive a service of up to 32 hours.
ParlaMint-NL_2016-11-15-eerstekamer-4.u41	Mr. Chairman. I would like to thank the Minister for his reply. I believe that we continue to differ as to whether implementation is sufficient. The Minister just indicated that he wanted to implement in good time in order to avoid an infringement procedure. I assume that the Minister also wants to avoid the need for infringement proceedings by the Commission on substantive grounds. That is why I have the following question about the substantive implementation. The Minister has already indicated that an evaluation should be carried out within three years. The Commission will then evaluate compliance with the Directive. How does the Minister carry out this evaluation? The rules contained in the OM policy letter shall be included in the decision. I am very curious to know how the Minister is going to ensure that the rules do not work too restrictively on the possibility of active participation in the hearing by the counsellors. Those rules can be restrictive and the question is how you get the idea that this is the case and that a counselor would have wanted and should have applied more than he has been allowed to do. My concerns continue to focus on the way in which funding is currently regulated. If it is not enough, we cannot comply with the directive. In this case, the effectiveness of the Directive is hampered. The Minister states that continuous monitoring is taking place. We can keep an eye on whether the funding is sufficient. We would like to be informed more about its results, even in the interim, should it prove to be a major financial problem. The Minister says that lawyers will continue to provide this assistance, but they may not be able to do so at some point. It may prove possible for a while, but there may be problems in the longer term. If the balance is really negative, there will be more failure. We all have to avoid that.
ParlaMint-NL_2016-11-15-eerstekamer-4.u42	Mr. Chairman. I would like to thank Mrs Wezel for her second question, because she had already put this question in an interrupting debate. I don't have much to add to my answer. The starting point remains the same. The system of legal aid is used where it is necessary. Then you can have a discussion about the borders. Mrs Wezel is also having that discussion. As far as the government is concerned, this principle remains at the forefront. I note, however, that we have not yet discussed the fact that Halt is more applicable than before. In other words, Halt will be chosen much more often. Wherever possible, this is often the best solution for young people. Mrs. Strik asked about the evaluation.
ParlaMint-NL_2016-11-15-eerstekamer-4.u43	I'd like to ask the Minister what he's basing himself on. Parties such as the Public Prosecutor's Office have spoken out against this.
ParlaMint-NL_2016-11-15-eerstekamer-4.u44	As I have just said, Mrs Wezel has already asked that question and I have already answered it. We base ourselves on the premise that, in the opinion of the Cabinet, legal aid should be used wherever it is necessary. We assume that Halt will be used much more in the future. We assume that a minor can always be assisted by a legal representative in the form of his parent or by a legal representative. Then there is the question of where the border is. We have drawn that line at the time when the level of the sentence imposed is such that the assistance is to be paid by the government. That's the line we chose. I spoke about this in the House of Representatives. I understand very well that Mrs Wezel would like to have the border somewhere else, but this is the basis for the government's choice. Mrs. Strik asked about the evaluation. Reviews of a bill like this are carried out in the usual way. There will be an active input from all parties involved: the police, the Public Prosecutor's Office, but also, of course, from the legal profession. Monitoring shall be carried out on a permanent basis. I am convinced that if problems arise with the availability of lawyers, the order of lawyers that will undoubtedly let me know and probably also you and others. That's how I know the order of lawyers. That is understandable, because if there are concerns, they must be shared. I would like to point out that the questioning practice that has arisen since 1 March has been reviewed by the judge. That's not nothing. The judge will also check whether, if lawyers rely on it, the lawyer has had sufficient opportunity, under the law, to have his or her input through the detective with the suspect, whether or not at the end of the interview. This also guarantees a permanent evaluation in the individual criminal case. Funding is regulated and substantial. The funding is actually being evaluated automatically. This is happening in the annual report and also in the budget. So there are two moments when this evaluation takes place. Then the point of failure. Mrs Strik has a point to make. Besides, I don't think there's any fallout. The Wolfsen Committee has said that the task of consultation and interrogation assistance can also be considered for the use of paralegals under the responsibility of a lawyer. I have chosen, in consultation with the order, not to do so, as is reflected in the cabinet response, because the order of lawyers indicated that it was very important that there are lawyers who do so directly. Then it does not happen under the responsibility of a lawyer, but directly. I've agreed to that. For this reason, you will not find the word "paralegal" in the cabinet letter on the opinion of the Wolfsen Committee. However, should there ever be a need in a particular situation, the opinion of the Wolfsen Committee is not incomprehensible in itself. You could do that with paralegals under the responsibility of a lawyer. That will undoubtedly have many hooks and eyes, but if that proves necessary in the future, we will certainly investigate it. At the moment there is no such need, because as a result of the investigation by the Wolfsen Commission, it is clear that in recent years we have received more legal aid providers on the basis of funded legal aid than in the past. So there is more offer of lawyers than less, but in the future this opinion from the Wolfsen Committee could very well be brought up to date. Then I really think this is something to look at. I'd like to close with that. Thank you very much for your Chamber's willingness to discuss this so quickly. I hope that we will have a nice and moving path: the European directive, the ruling of the Supreme Court, an accelerated implementation on 1 March and a practice that has developed very well, with the importance of the suspect and our rule of law high on the agenda.
ParlaMint-NL_2016-11-15-eerstekamer-4.u45	I have come to deal with the legislative proposals. I'll do that by bill. Would one of the Members like to vote on the legislative proposal Implementation of Directive No. 2013/48/EU of the European Parliament and of the Council of 22 October 2013 on the right of access to a lawyer in criminal proceedings and in proceedings for the execution of a European arrest warrant and the right to have a third party informed from deprivation of liberty and to communicate with third parties and consular authorities during deprivation of liberty (PbEU L294) (34157)? That is not the case. The bill is passed without a vote. The President shall: Anybody want a note? That is not the case. Does one of the Members wish to vote on the bill of amendment of the Code of Criminal Procedure and any other laws supplementing provisions on the suspect, the counsellor and some means of coercion (34159)? That is not the case. The bill is passed without a vote. The President shall: Anybody want a note? Nor is that the case.
