ParlaMint-NL_2016-02-18-tweedekamer-12.u1	I would like to welcome the Secretary of Defense. I give the floor to Mr Jasper van Dijk.
ParlaMint-NL_2016-02-18-tweedekamer-12.u54	I'm not that anxious, but I'm kind of anxious to try to act on the basis of facts. What is actually being proposed is a kind of representative sample. However, this has never been the starting point, certainly not for this group study, but also for RIVM. Nor is it what is used in group studies by, for example, other authoritative scientific institutes. A sample examines how often, for example, a particular disease occurs. In fact, you have an average. That doesn't mean anything. A group study like this really goes much further and looks at the nature, extent and severity of all the conditions that can arise from working with a particular substance. It is important to see how this research has been built up. I am referring to the four phases and mention the literature research, the focus group discussions I will get to that in a moment, because there is a lot of misunderstanding about the 23.. laboratory models and calculations and the tests and experiments that have been done. The investigation therefore involves quite a few things. The RIVM has developed six scenarios, in which different conditions have been mimicked with bandwidths and so on. Those scenarios are listed on page 15 of the report. I think Mrs Belhaj has also taken note of this. The RIVM has then developed two hypothetical careers at the Department of Defense to assess the risk. They were called the working lives. These have been tested on two scenarios with relatively high exposures: the military scenario in the armory and on board ships, and the scenario of a civilian who worked with PX-10 for many years. Just those working lives represented the worst case scenarios. That says so much more than a representative sample in which you come up with an average.
ParlaMint-NL_2016-02-18-tweedekamer-12.u55	It's very tempting to discuss research methods, but I'm not going to do that. I do not agree with the analysis made by the Minister, but I do have room to say that a sample would be less than the research done by RIVM. Again, you wouldn't be afraid of that, would you, if this were to give so many people clarity? They may get sick of the idea that they don't know. Surely the Minister could simply have a counter-expertise, a sample carried out? You're not gonna lose anything with that, are you? Isn't that all you're gonna win?
ParlaMint-NL_2016-02-18-tweedekamer-12.u56	Mrs Belhaj did not wish to discuss the research carried out, but suggested a representative sample and counter-expertise. She completely ignores the review that took place prior to publication, the critical capacity that RIVM has organised in any case and the fact that other authoritative scientific institutes would also address such a research in this way. In short, no. If I had been looking for an average, I would have done that right. We were just looking for the answer to the question: what means has been used and what health effects can you expect for employees and former employees? If that causality is established, how can we respond to our employees? At the same time, we have never said that this means that no one can ever get sick because, for example, he has worked with PX-10 or under other circumstances in the Defense Department. That has never been said and for that you also have the individual route. That individual route is also used. I understand very well, by the way. If you get a bad message from the doctor, you think, "Why?" Why me? Why my husband? I've experienced it myself. Then you start looking for causes. Was it in my family? What did I do? Those are all questions. Your life is flashing. It's coming back. You ask the questions again, and at once you think: that might have been it. But that doesn't mean that's it. It may be, but it doesn't have to be.
ParlaMint-NL_2016-02-18-tweedekamer-12.u57	The last interruption, Mrs. Belhaj.
ParlaMint-NL_2016-02-18-tweedekamer-12.u58	This is exactly what this is about. The uncertainty the minister describes is precisely the uncertainty these people feel. It makes great sense to say that the RIVM study met the question that was asked at the time, namely "is it possible that there may be causality?" Fair, but you can also ask the question..... not to the RIVM, because that does not investigate these kinds of things.................................................................................................................................................................. That's another question, and you can just do it. You have that kind of influence and potential. I'd be so happy if you got convinced that it's important for all those people to take away that uncertainty you're describing.
ParlaMint-NL_2016-02-18-tweedekamer-12.u59	Suppose I am sick and I think the working conditions of that time may have contributed to that. When I say that my employer from then on is therefore obliged to find out whether that is the case, that is precisely the reversal of the burden of proof that Mr Van Dijk asked for. That's really going a step too far here. If this so-called causality had been established, you would have had a point, but that is precisely the crux of the whole debate. Let's move on. I think I have said enough about the scenarios and the construction of the report. There has also been a lot of talk about the discussions with the focus groups. There were supposed to be interviews. I just explained that it wasn't a representative stitch group. It was precisely that scientists with certain people, I believe with a group of up to ten people, were able to have good conversations, to ask a lot of questions that they considered relevant in order to chart the scenarios more and more. How often and under what conditions have the work been carried out? This must be known, as must the studies on benzene evaporation and benzene exposure, in order to calculate the risks involved. That's what those focus groups were meant for. So I really think we have to find out here that this is something other than the representative samples that have caused a lot of noise, which I also understand, by the way. I understand that, too. Some of the members said that employees continue to worry. That's right. I believe 2,000 people have been briefed on the fact that that meeting would take place. About 150 employees and former employees had applied. Eventually, 50 came. We will continue to do our utmost to provide these employees with the best possible answers. Employees who are concerned can come forward. Former personnel turn to the ABP healthcare office and active staff turn to the responsible military doctor or the company doctor. In short, I also think it is important that we continue to seek dialogue, but that is really something other than reversing the burden of proof here.
ParlaMint-NL_2016-02-18-tweedekamer-12.u60	Indeed, I have read more often, also in response from the Minister, that people can report, former employees at the health office and actively serving with the company doctor. Can the Minister briefly tell us what the general picture is at the moment? Did people report to those hotlines? Or is that all disappointing? Can the Minister more actively draw the attention of the people concerned to the existing possibilities?
ParlaMint-NL_2016-02-18-tweedekamer-12.u61	There are information pages about PX-10 on the intranet, but also externally. I think it's a complicated question whether there's a storm going on or not. What does that mean? If there's a storm, it would be very bad news. In any case, a lot of people would be worried. That is not the case at the moment, but of course we do have a number of claims. I will come back to that later. There were 50 people at that meeting for a reason. I think it is important that sufficient information is available digitally, but that people can also turn to the ABP's healthcare office, to their own doctor, but also, for example, if they wish to file a claim, to the Legal Services Department, JVD. All this information can be found everywhere and was also disseminated at that meeting. Get in touch with corporate social work, talk to JVD. It may sound annoying to the defense, but it is the right of the people involved to file that claim and then go through the process. What happens then is pretty intense. You need a medical certificate, you need to back all of that up, and your whole life is under review. Not everyone likes that. There is also a very close look at what your lifestyle was. All that stuff will come along. Everyone's free to do that.
ParlaMint-NL_2016-02-18-tweedekamer-12.u62	That's kind of the escape. If people have complaints, they can file an individual claim. That's a lot of hassle, as the Minister himself says, and it could take years. There may also be reference to the RIVM study and it is said that we could not prove any connection.
ParlaMint-NL_2016-02-18-tweedekamer-12.u63	Your question is?
ParlaMint-NL_2016-02-18-tweedekamer-12.u64	My question is whether the Minister, if people do so, can rule out the possibility that nothing will be done about it because the matter is time-barred.
ParlaMint-NL_2016-02-18-tweedekamer-12.u65	As far as I know, I know that question was raised last week, but don't ask me when Defence didn't reject it by appealing to statute of limitations. I wouldn't like that either. I am prepared to ensure this and to inform you more about it. This is too sensitive for that. The problem is also that the working conditions from then on are assessed by the glasses of today. We have talked about this before when we were talking about chromium-6. Sometimes that's hard, because you keep looking at what the norming was then when you inevitably wear the glasses you're wearing today. I don't think statute of limitations is a good thing here. I am not in favour of rejecting cases on the basis of limitation periods. I have to check this out, because I don't have all the claims in my head.
ParlaMint-NL_2016-02-18-tweedekamer-12.u66	I appreciate that. I've been notified that this was said to someone. He should have filed his claim for 2011. I can see if I can get that information to the Minister. She has now made it very clear that statute of limitations cannot be an argument for rejecting a claim.
ParlaMint-NL_2016-02-18-tweedekamer-12.u67	Let us help each other. If there's any information I need to make sure I can keep a commitment, I'm happy to get it.
ParlaMint-NL_2016-02-18-tweedekamer-12.u68	Please continue.
ParlaMint-NL_2016-02-18-tweedekamer-12.u69	I have just received a note stating that after the broadcasts of EenVandaag two people have applied to the ABP and eleven to the legal services, in response to Mrs Güntal's question. Now she has a picture of the numbers. It's still open, by the way. After today's debate, that possibility will certainly not be closed, please. Mr Van Dijk and Mr Knops asked whether I was prepared to carry out a counter-expertise. I explained in the previous debate that RIVM is not an isolated phenomenon, but that it is internationally embedded. In general, it is a combination of different institutions. You can see that here, too. There has been cooperation from the Institute for Risk Assessment Sciences of the University of Utrecht and the Scottish Institute of Occupational Medicine has been intensively involved in the research. RIVM is very good at organizing its own critical capacity. To this end, two foreign experts were employed, namely an expert from the University of Illinois at Chicago in the United States and Mr Schneider, who previously worked at the National Institute of Occupational Health in Copenhagen, Denmark. They have fully reviewed this report for publication. That information is known to the Chamber. Mr Van Dijk or Mr Knops asked whether those reviews could be made public. That is not the case now. I just checked that out. Apparently, it's a WOB request. If the experts agree, it can be made public. That request is now pending. If it can be made public, so will the Chamber.
ParlaMint-NL_2016-02-18-tweedekamer-12.u70	Mr. Chairman.
ParlaMint-NL_2016-02-18-tweedekamer-12.u71	This is your last interruption. It's your second.
ParlaMint-NL_2016-02-18-tweedekamer-12.u72	You're relentless.
ParlaMint-NL_2016-02-18-tweedekamer-12.u73	Tonight it is.
ParlaMint-NL_2016-02-18-tweedekamer-12.u74	Seriously. This is actually the most important point. There is only one simple question that lies above this debate: is the Minister prepared to look very closely at an investigation that is so much to be done about? She refers to other international reviews that were done earlier when the research was done. That's not what we're talking about. On the basis of the questions that have arisen, we ask the following question. On the basis of the questions that have arisen today, is the Minister prepared to have a counter-expertise so that the concerns can be removed? I can't imagine why the Minister would be against that. The only reason I can think of is because she's afraid that things aren't right and that those things will turn up.
ParlaMint-NL_2016-02-18-tweedekamer-12.u75	I'm not that scared or scared; I'm not that scared. I'm actually a little tired of that frame. I am not leaving behind to investigate what needs to be investigated, whether it is possible malpractice in ICT, chromium or anything else. In this case, however, a very renowned independent institute, RIVM, has come to this conclusion, in conjunction with other institutes and other international experts. In the period between that investigation and now, there is no new facts or circumstances. Therefore, I have no reason to question the conclusions of the RIVM. The RIVM has also indicated this and I feel I am committed to it. What kind of research can I go on on if we are seriously starting to question and question this kind of research carried out with care? Are we going to repeat research every few years in the future? That can't be true. Frankly, I do not think that is desirable.
ParlaMint-NL_2016-02-18-tweedekamer-12.u76	It's on a platter now. The Minister is not afraid, and the Minister does not leave to sort things out properly. Great; grab that opportunity! I am not thinking of it myself: this investigation is controversial and it has limitations. The RIVM itself acknowledges that. Some experts say that things are not well measured. I've just given the Minister another document showing up again. The Minister can remove all doubts at once by saying now: let's go, let's do a counter-expertise and then we have clarity. As long as it does not, however, I will continue to question this.
ParlaMint-NL_2016-02-18-tweedekamer-12.u77	I don't hear new facts or new circumstances. I would like to join a very renowned independent institution, which has come to the same conclusion. RIVM researchers indicate that there are no facts or circumstances that would require the conclusions to be reviewed or the investigation to be reopened or restarted.
ParlaMint-NL_2016-02-18-tweedekamer-12.u78	We are actually talking about proportionality. What are we talking about when we're talking about a counter-expertise? Is that a complete review of the whole investigation? Or is it also possible, as I asked in my first term, to make individual claims, for example, that are the cases in which people are really ill, but do not know what caused this to be linked to the circumstances in which they have worked? I mentioned the example of the Navy's revision workshop. The RIVM employees have also said that they are new things for them. Of course, new facts can emerge in the near future, based on people who submit individual claims. And I don't think we're facing each other in this. We are all looking for the answer to the question of how it could have come to this and whether there is a connection, or perhaps a weak link. On the 28th there was talk at that meeting that I had not attended about people with health complaints and different situations. Is the Minister prepared to consider whether there is, on a limited scale, causality in those situations and in those people? I'm kind of on slippery ice because I'm not an investigator. But we have to do everything in our power and proportionality to get something more clear than we are now.
ParlaMint-NL_2016-02-18-tweedekamer-12.u79	First of all, I would like to comment on the example of the revision workshop, which both Mr Knops and Mr Teeven cited. That was indeed at the meeting where these gentlemen were not present, but Mr Van Dijk, for example. Fortunately, we have all been able to see the report. Someone was placed in a certain scenario and didn't recognize themselves in that scenario. That person was of the opinion that that is his right to have fallen into a higher scenario in that presentation. That's how I understood it. During the pause, RIVM spoke with the person concerned and explained that his personal exposure in the situation described by him may indeed be in line with a scenario with higher exposure. But that is no reason to suddenly change the conclusions. These are precisely the six scenarios with which RIVM has always worked. I just gave the example that I'm getting a nasty message from a doctor. I'm thinking, like everyone else. Every human does that. Where did it come from? Why me? How righteous is that? Why am I in that statistic? I'm checking to see if my grandmother had it, who else had it. What the hell did I do in my life that it could have come to this? I think, then, I have just said that, and I am committed to doing so again, because that is what is going on here, that it was the circumstances of that time. I then go to my employer and say that I'm almost certain that I got this sick image because of the working conditions of that time. The employer doesn't recognize himself there is no group study in which any causality has been established and says: I'm not going to investigate it for you, but if you keep it up, you're free to file a claim. The employer is not going to say: fine Mrs. Hennis, I'm going to take care of it for you and I'm going to map out your entire personal life. That is also the case here. Individual claims may be filed. I have just said that it is not the case that because no causality has been established in a group, it can never be that way. After all, it all has to do with personal characteristics in the body. That's what you can see from the number of claims filed. Of the 95 claims now filed, there are 3 to relate leukemia. There is indeed a very close examination of whether the disease is related to the working conditions of that time. So that's the way it's being looked at. I find it very difficult when a number of Members ask me to organise a very quick reversal of the burden of proof. That's going a long way.
ParlaMint-NL_2016-02-18-tweedekamer-12.u80	Finally, Mr Knops. Shortly, please.
ParlaMint-NL_2016-02-18-tweedekamer-12.u81	I haven't really interrupted yet, and this is an important point. I'm trying to be short, but I don't know if it's gonna work.
ParlaMint-NL_2016-02-18-tweedekamer-12.u82	Sorry, I was tall too.
ParlaMint-NL_2016-02-18-tweedekamer-12.u83	I'm not looking for a reversal of the burden of proof. Now suppose that in a number of individual claims there is a causality between the nature of the work and its duration and its circumstances, and the disease picture. Could that lead to some kind of revised conclusion of the overall investigation again? The group causality has not been established. I'm gonna leave that for a while. I'll take that as a gift. Suppose there are ten situations, individual issues, where a causality is established between the fact that people did work in which they came into contact with PX-10 and the fact that they became ill. Can this lead to a different conclusion with retroactive effect, or will we continue to see it as individual claims, individual situations where there is something of causality?
ParlaMint-NL_2016-02-18-tweedekamer-12.u84	Then, in that individual case, it could lead to the recognition of liability by the Defense Department. This is different from taking over the so-called "group causality" at once. I have just said that all the personal characteristics of individuals are very different. It may still be that over the years, despite the modified composition of PX-10, people have suffered from a condition that can be seen in the answers to Mr Van Dijk's written questions by working with them, but it doesn't have to be. So it's not like you're getting anything because you've ever worked with it. In fact, it's been shown to be highly unlikely. However, this is never entirely impossible in individual cases. That is precisely why we have our individual trajectories.
ParlaMint-NL_2016-02-18-tweedekamer-12.u85	Proceed, Minister.
ParlaMint-NL_2016-02-18-tweedekamer-12.u86	I have just answered Mr Teeven's question. Mrs Günal-Gezer asked about the other unions. I know the AFMP filed a complaint. The other unions didn't do that. I think there is a difference between the unions, but I honestly did not talk about it today. They are of course following this with interest, because taking good care of workers, former workers or current workers is not necessarily something of the unions, of the Chamber or of the Minister, but something of all of us together. Everyone wants these employees or former employees to be okay. That's how we got the research for chromium-6. That was something that at some point all the alarm bells went off on me. We were confronted with it every time and a causality was suspected. Then you want to prove it, too. I don't know what's gonna come out of the investigation. However, there was a reason to start an investigation. Just as former Secretary of State De Vries started this investigation. There was a reason for that. PX-10 was associated with a particular disease in a claim. Then that happens again, and then you're gonna investigate. Mr Van Dijk said again that the plea PX-10 was never actually investigated. As a result of the broadcast of EenVandaag, a storm of reports has come across us from people who still had cans in their barn. We also got word from a union. However, we have not received a look. PX-10 should not be confused with other substances that start with PX....................................................................................................................................................................................................................................................... That's kind of tricky. At the time, one of the unions also said that it still had 120 tins. However, I have not seen one look at it, nor have I seen the RIVM, while RIVM has repeatedly asked for it. If someone has a look at PX-10 somewhere, don't hesitate to tell us so that we can immediately forward it to the RIVM. Then a few comments on the survey and the report by Mr De Bruin van ClaimZorg. I really haven't had time to land the entire report. At first glance, it does not seem to contain any new facts. Frankly, as I said to Mrs Belhaj, I think it is a little far-reaching to respond formally to a report which also occasionally uses spicy language with regard to RIVM, for example when it is said that something is a farce. I don't really like that, especially when it comes to RIVM. The only new feature of the report is in fact the result of the survey. The survey results describe a wide variety of health problems experienced by a number of former employees. The problem is only a matter of urgency, but I will really look into it very carefully, because I cannot derive the cause of these health problems from that survey or from the information provided in it. The survey also contains information on the work carried out by the people, but it is unclear whether it was indeed work involving the use of PX-10. We have not yet been able to find the information to verify this in the file. Furthermore, the report describes a number of personal aspects of the work carried out, but these are not exactly new, as this information was already known from the focus group discussions conducted. Mr De Bruin is still talking about 1.7 million people who would have worked with PX-10. We have explained before that this is not true. Indeed, 1.7 million people served between 1950 and 1996, but this does not mean that all those people have worked with PX-10. It is not about interviews or statements by the group of 23, but about information from the focus groups as they were set up. Also, it would only be officers. That's not true at all. I can't just release the ranks, positions and names, because it's about privacy-sensitive information, but it's not true at all that 23 officers are involved. In fact, they were civilians and military, not in the rank of officer. This does not mean that those who took part in it never became officers, but that is another story.
ParlaMint-NL_2016-02-18-tweedekamer-12.u87	How much longer does the minister think he's gonna need?
ParlaMint-NL_2016-02-18-tweedekamer-12.u88	Five minutes.
ParlaMint-NL_2016-02-18-tweedekamer-12.u89	Okay. Then I suggest you finish your story first in those five minutes. Mrs Günal, who is now at the interrupting microphone, will then be given an opportunity to interrupt.
ParlaMint-NL_2016-02-18-tweedekamer-12.u90	Maybe I'll finish early. Mr De Roon asked if there were any new facts on the table after 2011. As far as we know, there has been no new information since 2011 and no better method has been found. There has been the necessary talk about safety instructions, including by Mr Van Dijk, who wanted to know what could be made public. I mentioned earlier that there were no policy instructions on the use of PX-10 other than those published under the Public Administration Act so far. However, if I do find it, I will not hesitate to make it public, just as we have done in the framework of chromium research. Mr De Roon asked whether it was used in foreign armed forces. Something wonderful is going on here. On the issue of chromium, too, I have made contact with armed forces with which we work regularly. That doesn't lead to much information or recognition. That money both if we raise the problems with PX-10, and with the issue of chromium. That's striking. However, you can assume that the product was also used elsewhere, especially since the product specifications were in English. However, we have not pulled everything out of the closet to investigate that with other armed forces, you know. Yet you would expect that if it had been here in all the newspapers, you would find recognition when you call this with a similar country. That is not the case. However, I would like to say once again that this is a product specified in accordance with the international defence standard. If I can find out more about what exactly happened to this, then I will not hesitate to inform the Chamber. However, a first rapid inventory really did not yield anything. I would like to say a few words about the data currently available to me in relation to people who still have a claim in the defense at this point. We are talking about 95 people. They are almost all accompanied by ClaimZorg Injury Damage, so by Mr De Bruin. I was just talking about "the three." Three people have a condition with a clear connection to benzene exposure. In one of those cases liability is recognised. But other factors, such as heredity, can also play a role. You'll get back to those personal qualities. In 16 diseases, this relationship with benzene is really less clear. There are also less strong indications in the literature in these conditions. There are 10 more skin conditions that require further investigation. In the remaining 66 cases, it concerns diseases which are not really associated with benzene in any way. In a number of cases it has not yet been announced. In short, we are all completing these individual routes. I have already said that Mrs Belhaj was quite right to ask how it is possible that the defence, the organisation that deals with security, loses sight of the safety of its own workers. I told you, we have to take into account that this was happening in a different time. We like to judge that time by the glasses of today. That makes perfect sense, and so do I. It is incomprehensible how people sometimes set up working conditions at that time. But we are talking about more than 30 to 40 years ago. At that time people really didn't have the same way as they do now. The report by the Navy shows that, although measures were announced and controls were being carried out, compliance would be really inadequate. The fact that that's not in order bothers you at the same time. If it's all in order, we'll never need inspection again. But I say again: given today's glasses, the circumstances of that time are incomprehensible. In the end, however, decisions must be taken on the basis of facts. That goes for everything. That's what I'm trying to do with the Chamber right now.
ParlaMint-NL_2016-02-18-tweedekamer-12.u91	We know the Minister as very bold. If she thinks it is necessary to accept her responsibility, she does not hesitate to do so. We've seen her do that before, including the chrome-6 case. The Minister rightly stresses the possibility of submitting individual claims. She has also said that there are several ways to file such a claim. We just talked about the 480 people who filled out the ClaimZorg survey. To what extent is the Minister prepared to actively draw these people's attention to the individual claim option?
ParlaMint-NL_2016-02-18-tweedekamer-12.u92	The persons concerned are accompanied by ClaimCare for injury, or should I say Injury Damage ClaimCare? Mr De Bruin knows very well how to advise his clients.
ParlaMint-NL_2016-02-18-tweedekamer-12.u93	Does the Minister say that all these people know that there is an opportunity to file an individual claim?
ParlaMint-NL_2016-02-18-tweedekamer-12.u94	I think everyone has that completely clear on their retina.
ParlaMint-NL_2016-02-18-tweedekamer-12.u95	I'm looking around to see if there's a need for a second term. That's the case. Speaking time shall be one minute, including the tabling of motions.
ParlaMint-NL_2016-02-18-tweedekamer-12.u96	Mr. Chairman. I have a few more questions. When will the reaction to the report of Claimzorg come? When will your response to the document I handed over to you, the 1980 letter, be obtained via EenVandaag? I would like a clear commitment that we will get a response to that. I have now also obtained a document on the limitation period which I can have added to the Acts; it concerns a letter dated 2 February 2016.
ParlaMint-NL_2016-02-18-tweedekamer-12.u97	I assume there is no objection to this document being made available to the Central Information Point of the Chamber. (For inspection at the Central Information Point of the Second Chamber of the States General.)
ParlaMint-NL_2016-02-18-tweedekamer-12.u98	Then I have two more motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the RIVM study on PX-10 is under discussion;]] [[calls on the Government to counter-expertise RIVM's investigation of PX-10,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Jasper van Dijk and Mr Belhaj. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-X-84]]
ParlaMint-NL_2016-02-18-tweedekamer-12.u99	Then my second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government, for victims of PX-10, to draw up the same coulance scheme as for victims of chromium-6,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Jasper van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-X-85]]
ParlaMint-NL_2016-02-18-tweedekamer-12.u100	Mr. Chairman. In order to acknowledge liability, I must see causality, the Minister says. I have a report here from the RIVM and it doesn't show that. It's a fine report, but there are experts who don't think it's a good report. There are also people who think it is a good report, but they say that the question is not correct. I have to say that as a lawyer, I can think along with the minister, but she's more than just a lawyer. It's a bit of a lawyer's point of view. In addition to being a lawyer, she is an employer and as an employer she has a very different responsibility. She likes to say that DOD is a great employer, but this attitude doesn't evoke that image. It is not the first time, because in the history of defence there have been many incidents where it has gone wrong, where workers have suffered harmful consequences and it took a very long time for it to be recognised once. I would argue in favour of avoiding the need for that investigation. If necessary, I won't stand in the way, but I hope it's not necessary. I hope the Minister says, "I will show myself to be a wise and smart employer and ensure that this problem gets out of the way as quickly as possible, I will go to the people who are going to meet with an offer and I will try to come to a comparison with them." Then it's done. Then, in a manner of speaking, this story can be completed within three months and no one needs a long-term study of which the results can be questioned over and over again. None of us have any interest in that.
ParlaMint-NL_2016-02-18-tweedekamer-12.u101	Mr. Chairman. I would like to thank the Minister for her answers. I welcome the Minister's commitment not to see individual claims as individual claims. If there is a pattern or if there is new information, no one knows whether there will be more information than what Mr Van Dijk has presented in EenVandaag and what the Minister will be responding to, then the Minister admits that she will involve and test the new facts in the investigation. That may lead to different conclusions, you never know. One thing is clear: the situation is unsatisfactory. I think neither the Minister nor the Chamber would like that, and certainly not those who have become ill. But if there are no more facts and evidence... we are not here in the Chamber to rewrite scientific reports, that will have to be on the basis of facts. This is unsatisfactory and I would like the Minister's undertaking to the Chamber on this point to act in the interests of the people who have become ill should new facts arise.
ParlaMint-NL_2016-02-18-tweedekamer-12.u102	Mr. Chairman. I thank the Minister for her answers. They were clear. We are still waiting for the government's reaction, but for the VVD group, no new facts and circumstances have emerged from the Claim report. Like Mr Knops, we welcome the Minister's commitment that if there is a new pattern to be found in the pending claims, this will be looked into. Furthermore, we await the situation. I really hope that I will also assume that the Minister will keep the momentum going, so that there will be no unnecessary delay in resolving this dossier.
ParlaMint-NL_2016-02-18-tweedekamer-12.u103	Mr. Chairman. Thank you to the Minister for her clear answers and the commitment to look very closely at individual claims and to get information from them that may be of interest, including to the Chamber. We see that this dossier is handled very carefully by the Minister and by the Defence Department. In a very good way, what happens to individual employees and former employees is investigated. People are very well escorted. Think about the care desk, corporate social work and also the Defense Department itself. We therefore see no reason to ask the Minister to carry out a new or additional investigation or a counter-expertise. We're not scientists, we're not researchers. We still believe that RIVM, as a renowned institute, has delivered an independent, sound and high-quality research.
ParlaMint-NL_2016-02-18-tweedekamer-12.u104	Mr. Chairman. If something has become clear today, it is disappointing. Disappointing because there is no majority to remove the uncertainty among people who are uncertain about the extent to which they have become ill or not. We are very grateful to these people. They take care of our safety. How hard does it have to be, I thought, to do something very simple for these people? The Minister said it nicely. She saw different cases with respect to chromium-6. "I picked up those signals," she said, "and then it turned out there was indeed a causal link." That's how I interpreted it. I think we asked the same question in the debate. I am tasting a fine majority for a motion that I thought might be the only way out. However, it is disappointing that there is no majority for anything else. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the DOD offers former employees who have worked with PX-10 the opportunity to file an individual claim;]] [[calls on the Government to inform the Chamber in six months of the number of former employees of the Defense Department who have submitted an individual claim, as well as to indicate how many of those claims have been shown to be causal between working with PX-10 and diseases that could be caused by them, such as acute AML,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Belhaj and Mr Jasper van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-X-86]]
ParlaMint-NL_2016-02-18-tweedekamer-12.u105	I'm rounding up. I will honestly admit that I really had the hope that something exciting might happen in the sense of new insights or an appeal to the PvdA, the workers' party, the workers' party. I thought something nice could happen on the occasion of the 70th birthday, but it didn't turn out to be.
ParlaMint-NL_2016-02-18-tweedekamer-12.u106	Mr Van Dijk wants to ask a question. I assume it's about the motion.
ParlaMint-NL_2016-02-18-tweedekamer-12.u107	Well, I was just about to say I totally agreed with that last sentence. No, I'll come back to the motion. I thought I signed it, too. Maybe I can just report that for the minutes.
ParlaMint-NL_2016-02-18-tweedekamer-12.u108	Well, that's handy for the Acts.
ParlaMint-NL_2016-02-18-tweedekamer-12.u109	That is an important point: the Socialist Party has tabled this motion together with D66.
ParlaMint-NL_2016-02-18-tweedekamer-12.u110	Then I give the floor to the Minister. I would like to add that the last motion is being distributed at the moment.
ParlaMint-NL_2016-02-18-tweedekamer-12.u111	That is important, because I barely understood the text of that motion. Mr. Chairman. I've read the motion by now. We're good to go. Mr Van Dijk rightly asked for a further response to the document of 3 July 1980. I did not, by mistake, say anything about this in the first term. I'll take a good look at that. I have to react quickly, but as far as we can see, no benzene concentration is mentioned in the document. I always find it a bit difficult, but let me take a closer look at the document and the Chamber will hear from me. Mr Van Dijk also asked for a response to the report by ClaimZorg. I find it very difficult that I should formally report to the Chamber on reports and statements of claims of injury, but I will do so. I will draw up a letter containing a response to the report by ClaimZorg Injury Damage, with the comment I have made. I call on you not to make a habit of it. In that letter I will also refer to the document just referred to by Mr Van Dijk and to the limitation period. So I will take those three points in one letter.
ParlaMint-NL_2016-02-18-tweedekamer-12.u112	I give the floor to Mr Van Dijk for an informative question.
ParlaMint-NL_2016-02-18-tweedekamer-12.u113	When's the letter coming?
ParlaMint-NL_2016-02-18-tweedekamer-12.u114	Early March.
ParlaMint-NL_2016-02-18-tweedekamer-12.u115	2016.
ParlaMint-NL_2016-02-18-tweedekamer-12.u116	Yes, early March 2016. Then I'll go straight to the motions. I have just lost the notes I have made on what everyone has said. First of all, I will respond to what Mr De Roon said about employers' responsibility. I think that's nice, because I heard him right. But precisely because of the employer's responsibility, I started my first term with that. Defence has taken responsibility for having the research carried out by the RIVM as it has been done. At the time, Secretary of State De Vries ordered this, precisely to give clarity to all those who were concerned about the reports at that time. That is actually similar but also different, because we have learned a lot more about how to create support, communicate more and operate more transparently in the run-up to such research. That's why we do it with chromium-6 as we do it now, but in fact the whole run has been the same: people are worried, the employer feels that they are willing to take responsibility and therefore orders that they identify it, from which comes a conclusion that the employer has to do something with. Mrs Belhaj said just as quickly: yes, as with chromium-6, that liability was established at that time. But no, that investigation is still ongoing; that is still ongoing. It is true that the whole research setup has been similar. How's that going? There's gonna be reports in the media. There are registrations at the ABP healthcare office. It's all connected to chromium-6. That's what you're worried about as an employer, and then you want to take responsibility and start an investigation like that. That's what happened at PX-10.
ParlaMint-NL_2016-02-18-tweedekamer-12.u117	It is all true what the Minister says, but look at the image; at the moment the Minister rejects every problem and says: go to trial. In other words, this gives the impression that the Defence Department is an employer who is willing to go to the extreme to sue that employee either dull or broken. I am not saying that the Minister wishes to do so personally, but that is the picture that is now emerging. I say to the Minister, avoid that image! It will cost you a few cents, but it will cost much less than the 1 billion that the cabinet has allocated to accommodate all kinds of asylum seekers and also much less than the €3.450 we are going to offer Ukrainians, as I read, if they go back to their own country. It's gonna cost the minister a lot less. Why don't you do that and meet those soldiers? Then we're done.
ParlaMint-NL_2016-02-18-tweedekamer-12.u118	The image is, of course, a horror. I'm sorry about that, too. I am also concerned about the fact that the picture does not contribute to reassuring workers who may not even be completely ill, but who have once worked with PX-10 in the past. This is what's going on right now. With all due respect, I'm not about broadcasts, I'm not about certain interviews. Defence then wanted to take on its employers' responsibilities, and it was precisely for this reason that it wanted to be carried out very carefully, in order to provide clarity to those who are concerned about the fact that they have worked with PX-10 for a certain period of time. I am now doing everything I can to answer the questions of those who are concerned about the fuss that has arisen. But that's really different from reversing the burden of proof.
ParlaMint-NL_2016-02-18-tweedekamer-12.u119	The Minister says to do everything in his power, but I think she could do something more. I ask the Minister to at least offer to the people who are going to be involved to pay all the costs of research they have to make in order to support their claim.
