ParlaMint-NL_2016-09-07-tweedekamer-8.u1	I welcome the Minister for Education, Culture and Science. We need to get back to work.
ParlaMint-NL_2016-09-07-tweedekamer-8.u72	This is a special situation. If I follow Mrs Siderius' reasoning, it means that she is not going to support a next best amendment, and that is what I hear from her words, while she is still free to vote for or against the law or any part of it. So I invite her to support the amendment at least, because it does not benefit, then it does not harm. It is Mrs Siderius' freedom, which I fully accept, to vote against any part of the law, but it is my commitment to bring this law, with that important right of admission, to a successful conclusion. That's really the jumping point for me.
ParlaMint-NL_2016-09-07-tweedekamer-8.u73	Last but not least.
ParlaMint-NL_2016-09-07-tweedekamer-8.u74	The binding study advice is simply a form of arbitrariness. Students may not be rejected at the start of the training, but after four months. It's just a back door to get rid of students after all. And then GroenLinks says: well, you don't want that at the beginning, but this is a bit, so you should agree to that. I think you can also be very principled in this. The SP doesn't want this. We believe that it is very bad for the accessibility of education and that young people are already rejected at an early age and that their future path may well be broken. The SP really can't agree to that, but GroenLinks apparently does.
ParlaMint-NL_2016-09-07-tweedekamer-8.u75	If that reasoning is correct, the SP should simply reject the whole bill, because that is the consequence. It is the direct consequence of Mrs Siderius' reasoning. I'd be sorry to hear that, because that's what I think the baby with the bath water is throwing away. It means that this important right of admission is not regulated. It is a very beautiful and pure political story, which is characteristic of the SP, but let us not try to find a solution together in a multiparty system and keep the big one equal to the sideline.
ParlaMint-NL_2016-09-07-tweedekamer-8.u76	First of all, I would like to express my appreciation for this fundamental story about the right of admission. I fully agree with that. I would also like to underline the words which Mr Grashoff addressed to Mr Rog, who pointed out that this might make it even more important to do the whole intake, which is already doing well, even better. After all, that depends a lot.
ParlaMint-NL_2016-09-07-tweedekamer-8.u77	What's your question?
ParlaMint-NL_2016-09-07-tweedekamer-8.u78	I have a little less appreciation of his attitude towards the binding study opinion. That too is an extremely fundamental point. In fact, GroenLinks in this Chamber always goes the furthest on this point as far as higher education is concerned. The GroenLinks election programme again states that it does not want a binding study opinion. You can attach exactly the same principles to this. I really don't understand why GroenLinks chooses to let an all-ingang coalition go here. Then let it happen, because we have elections in six months and then everything is possible again. GroenLinks just lets it happen. Apparently, one principle outweighs the other.
ParlaMint-NL_2016-09-07-tweedekamer-8.u79	Do we have an election in six months? There's no sign of that here.
ParlaMint-NL_2016-09-07-tweedekamer-8.u80	The VVD isn't in either.
ParlaMint-NL_2016-09-07-tweedekamer-8.u81	There is always a future in which you can sharpen things further and the like. I shall now turn to Mr Van Meenen's amendment (34457, No. 12), of which I am a co-rapporteur, I wholeheartedly support. But the logic and the way in which we operate together here can lead to you not being 100% right. I think D66 can handle that very well as a rule. A second question is always a bit rude, but I do wonder how D66 is going to behave with regard to this amendment. I too, and I am quite honest in this, have indicated that this is a compromise. However, I would like to stand in favour of this, because I think that this is an important way of getting rid of the stinger. This amendment will no longer allow students to be excluded. I feel that Mrs Siderius has not read this amendment properly at all, because this amendment makes it really impossible for schools to say to students: you need to wolf, you need to get out of here, because we don't want to see you here anymore. That is really something that has been secured, and that is an important turning point for me. I do not think that any compromise is good, but I do think that this compromise is good enough for me to finally find the legislative proposal acceptable. The most important thing, and Mr Van Meenen is right, is that we regulate the right of admission. Surely it would be a shame if those who ultimately do not want anything were to end up here? I find that difficult to imagine.
ParlaMint-NL_2016-09-07-tweedekamer-8.u82	What Mr Grashoff does not seem to realize is that the right of admission is about a limited group. That group may be larger or smaller than a few hundred students, but it is relatively small. That doesn't mean we shouldn't, but it is. Fortunately, most students in the Netherlands end up in the right place. The binding study advice, which is now being introduced by GroenLinks, concerns all students. From now on, all students must live under the sword of binding study advice. We know very well how this is going in higher education at the moment. Mr Grashoff has huge objections to this and wants to get it out of there, while he is now introducing it to all students in the MBO. That's a big deal. Think before you begin!
ParlaMint-NL_2016-09-07-tweedekamer-8.u83	If I continue this reasoning strictly, I fear that D66 will soon reject this bill and join Mr Rog's camp. However, this does not relate very well to the interruptions that have just taken place. I agree with Mr Van Meenen because I do not want a binding study opinion either. I am going to support the amendment and if it achieves a majority, as far as I am concerned, we are where we want to be. But I don't think this could just be the case. The other argument is very difficult and perhaps very pragmatic; I would like to point that out. If we simply remove the binding study advice from the law and replace it with nothing else, the law does not guarantee that it is not by side and therefore outside the legislation, for example through the education agreement, that binding study advice is being re-introduced at individual level by institutions that seem to be attracted to it. It could be worse in the end. I would point that out to myself as well as to Mr Van Meenen. Sometimes you have to pay attention in the harsh practice to see if you are working on getting a real result at the end. I think that is a real result.
ParlaMint-NL_2016-09-07-tweedekamer-8.u84	Are you at the end of your speech, Mr Grashoff?
ParlaMint-NL_2016-09-07-tweedekamer-8.u85	Yes.
ParlaMint-NL_2016-09-07-tweedekamer-8.u86	Mr Mohandis of the Labour Party will then follow.
ParlaMint-NL_2016-09-07-tweedekamer-8.u87	It is a credit to Mr Grashoff that he is looking at a good way of anchoring it in the end. I object to the picture outlined of the binding study advice in the MBO. Two colleagues are against something, but they are for something that is the current state of affairs in the MBO. This also means a hidden binding study opinion that is subject to randomness. I think "against something" is something for certain parties. You're gonna have to sketch an alternative. If we did not have binding study advice, we would fall back on the existing situation. I know from experience that this is really much worse because of the randomness that arises and the fact that there is no generic element in the law. You can be against something, but then you have to know what the current practice of things is. I'm secretly saying this to the colleagues behind me.
ParlaMint-NL_2016-09-07-tweedekamer-8.u88	Mr Mohandis has a point in himself. If you ask me what it should be ideal, I say: no binding study advice, but then we also arrange through the law that there should not be a back door at institution level. I would be happy to table another amendment in order to do so, perhaps together with Mr Van Meenen. I'd love to! But I do not think that is a good argument to say now: then we are just doing a binding study advice. Once again, the essence of this amendment is to remove the stinger. Mr Mohandis will probably agree with me. It shouldn't be about sending away anymore, it should be about...
ParlaMint-NL_2016-09-07-tweedekamer-8.u89	Mr Grashoff, that is going to be a repeat of moves.
ParlaMint-NL_2016-09-07-tweedekamer-8.u90	...the transfer of students from A to B.
ParlaMint-NL_2016-09-07-tweedekamer-8.u91	Mr Grashoff, you must not talk any further now. I say that's going to be a repeat of moves. We need to speed up the debate.
ParlaMint-NL_2016-09-07-tweedekamer-8.u92	I thought I'd finish my sentence. Anyway, that was...
ParlaMint-NL_2016-09-07-tweedekamer-8.u93	Mr Mohandis.
ParlaMint-NL_2016-09-07-tweedekamer-8.u94	We agree on the substance of the amendment, because our signatures are both below it. That's fine. However, I would like to stress that it is an improvement on the existing situation. If colleagues are against a BSA, but do not outline an alternative, they do not serve many young people in the MBO.
ParlaMint-NL_2016-09-07-tweedekamer-8.u95	What is your answer to this, Mr Grashoff?
ParlaMint-NL_2016-09-07-tweedekamer-8.u96	This is a statement, I think.
ParlaMint-NL_2016-09-07-tweedekamer-8.u97	Mr Van Meenen, I am not going to stop your very last interruption.
ParlaMint-NL_2016-09-07-tweedekamer-8.u98	Mr Mohandis is actually talking indirectly to me. That's what he says, so it's not even circumstantial. I would like to respond to his words, if you will allow me.
ParlaMint-NL_2016-09-07-tweedekamer-8.u99	Yeah, but short.
ParlaMint-NL_2016-09-07-tweedekamer-8.u100	The suggestion is raised that current practice is very bad and that the study agreement is a bad thing. I'll fight that. I'd like to record that here for the Acts. The study agreement is an agreement between the institution and the student, which includes the rights and obligations of the institution. That is the big difference from a binding study opinion. That is also why the current practice is no worse than a binding study advice that is only about the rights of the institution to dismiss the student.
ParlaMint-NL_2016-09-07-tweedekamer-8.u101	It's been noted.
ParlaMint-NL_2016-09-07-tweedekamer-8.u102	I would like to respond briefly to that. Of course, I am not opposed to a good educational agreement being concluded with mutual rights and obligations, but Mr Van Meenen knows as well as I do that it does not come about in a free negotiation with equal partners. The situation may then arise, sometimes there is such a thing as the fact that the education agreement regulates matters that are at odds with the right of admission and our desire to keep freedom as wide as possible. That is the practice at the moment, and that can increasingly become practice if nothing is regulated by law. By way of comparison, I mention the situation that was going on this afternoon about contracts in secondary education, where schools suddenly think they can keep people away from an exam. These are practices that we run into and which we have to deal with.
ParlaMint-NL_2016-09-07-tweedekamer-8.u103	Thank you very much. I shall then give the floor to Mr Bishop on behalf of the SGP Group.
ParlaMint-NL_2016-09-07-tweedekamer-8.u104	Mr. Chairman. I have to admit that I find the weighing-up I have to make on this bill a difficult one. How do you find a balance between, on the one hand, the importance and wishes of students and thinking from opportunities for students and, on the other hand, the justified care of educational institutions to ensure the quality of education and the care to bring pupils to justice? Indeed, the staff of such an educational institution brings with it a wealth of experience. That all weighs in on the advice. We drove as follows. The MBO is final education. That means that if you think from opportunities for students or students, the right of admission as formulated in the bill is ultimately acceptable to us. The Minister rightly states that such a right of admission must be seen in relation to the character of MBO as a final education, which qualifies for the labour market and therefore does not lend itself to fundative education. With that, the MBO has a stand-alone position. But if you're gonna take care of admission rights on the one hand, you're gonna need a balance on the other. That is why our group will vote in favour of the binding study opinion. Of course that must be surrounded with care, but I am not afraid of that at all if you know the educational world a bit from within. I totally agree that things go wrong every now and then, but you should not base your policy on that. A binding study opinion is an important tool for the assessment. It is also sufficiently carefully embedded in the proposal so that when pupils pass by themselves, overestimate themselves or simply lag behind and fail to fulfil their obligations at the time when they have made use of the right of admission, the school can take its measures at that time. In this sense, we see this as checks-and-balances and ultimately support the legislative proposal. I could just imagine that this development in the MBO generates all kinds of new actions in the area of supervision. I am a little concerned that this is going to become a measuring bar, for example how often a binding study advice has been issued or you name it. My question to the Minister is how she intends to prevent it from again leading to all kinds of obligations in the MBO sector for schools.
ParlaMint-NL_2016-09-07-tweedekamer-8.u105	This brings you to the end of your speech. I see that Mr Duisenburg wishes to intervene.
ParlaMint-NL_2016-09-07-tweedekamer-8.u106	I would like to thank Mr Bishop for his presentation. He and I are on the same page when it comes to the need to balance the right of admission with the binding study advice. I would like to ask Mr Bishop if he will support my amendment in the same balance sheet, which states that a student must have taken part in study-choice activities and must have registered in time to finally be able to exercise that right of admission.
ParlaMint-NL_2016-09-07-tweedekamer-8.u107	Frankly, we have not yet taken a position on this within the group. A number of amendments may have the unintended effect of putting a lot of extra red tape into schools, and we are pretty shy of that. If that is the effect, then we still have to look at it. I am strongly inclined to advise the group to vote against such an amendment. But I can't say for sure yet.
ParlaMint-NL_2016-09-07-tweedekamer-8.u108	I hear Mr Bishop say that he still has to look at this particular amendment. My question is then whether he can positively assess my invitation to a cup of coffee.
ParlaMint-NL_2016-09-07-tweedekamer-8.u109	If you can do that on Mr Duisenberg's behalf, please.
ParlaMint-NL_2016-09-07-tweedekamer-8.u110	Mr. Chairman. The PVV fully agrees with the MBO Council today and that should be called a miracle, because that has not happened before. Firstly, we are talking about vocational training. I would like to emphasise that. As a successful professional you not only need knowledge and skills, for example, for which a VMBO diploma is a guarantee, but it is also a very different competence that makes you fit for that profession, and that is what the intake procedure is for. As far as we are concerned, the intake procedure on these rocks takes place with care and integrity. I have just spoken about this in the interrupting debate with Mr Grashoff. The teachers in these roc's are especially the professionals who are able to engage in the conversation with potential students. They do so on the basis of their own knowledge and experience in that field, and they do so to the best of their consciences in order to protect students, which is not paternalistic, but pedagogical, and that is something completely different for a wrong choice based on false assumptions. That's common. That is the reality and the result is that I want to outline this at least a lost year and in the worst case a lost education and a huge disappointment, if finding that coveted job does not succeed because the employer does not have a binding admission policy. He's just not gonna pick the candidate. In addition, there are about 150 complaints about around 160,000 applications, and in this respect the law that is now being enforced is really disproportionate. A right of admission may also result in unmotivated students hanging weight in a class for a year as dead, spoiling the climate there and inevitably lowering the level. This is not justified by all those motivated and ambitious MBO students who are also fully entitled to a good training course. Finally, we find it incomprehensible, as Mr Rog said, that the parties who embrace this law are always talking about the autonomy of the teacher, but MBO teachers are currently trying to take away one of those last pieces of autonomy, not least with an disproportionate law that interferes with the very first piece of an educational learning process, namely intake. That is, as far as we are concerned, micromanagement down to the classroom, begging, and above all distrust, I say this to all those parties................................................................................................................................................................... These are four very good reasons, we think, for voting against this bill. As far as we are concerned, the amendments are not going to remedy them either. We are going to look favourably at the Rog amendment, but we will hear it later.
ParlaMint-NL_2016-09-07-tweedekamer-8.u111	That brings us to the end of the second term of office. The Minister states that she is prepared to respond immediately, so I am happy to give her the floor immediately.
ParlaMint-NL_2016-09-07-tweedekamer-8.u112	Mr. Chairman. I am grateful to the Chamber that today we can deal with the second term of this bill. I would send a letter to the Chamber in the recess, including on the binding study advice and Actal, and asked the Chamber to deal with the second period as soon as possible in this week, with a view to further examination in the First Chamber. I think it is of the utmost importance that students and students in the Netherlands should be able to follow the study they want, provided they meet the right pre-training requirements. We have recently been reminded by Mr Van Meenen that, among other things, JOB faces examples of students who have been refused. They have also given examples in recent days. "The intake went very well, but when the school saw my care file, I was still refused." "You have too much intelligence." "You're too old." These are all examples of students who want to study but cannot start anyway. I was allowed to open the MBO year last Monday. In my speech, I said that the extent of our civilisation is determined by the opportunities that people get to become who they want to be. The training you would like to take is essential. As the examples of JOB show, this is not self-evident. Unfortunately. That is why this bill is important. We see transitions remain a stumbling block and selection thresholds, if we do nothing, rise. In particular, students with low-educated parents suffer from this. I think that this is an alarming development, because students who receive less luggage from home, for example in the form of their parents' education level, their standard of income or socio-cultural capital, are given less opportunities. Mr Rog wondered whether this should no longer be considered in a system. Yeah, and we did. We have the report from the education inspector, which indicates that the transitions are the very ones where unequal opportunities arise. We've had the OECD vet our entire education system. And what does the OECD say? I'm glad we're in good shape. Our education is of high quality and offers many equal opportunities compared to other countries. But the OECD also says that these opportunities are under pressure. And where are those odds under pressure? Especially in the transitions of education. As Minister of Education, it is my ambition to reverse this development and achieve equal opportunities for all students. That is why I announced at the time in my letter on vulnerable young people that I would make this bill, for all young people who have the right pre-training. Of course it has to be, because otherwise you will create illusions, as I say to the spokesperson of the PVV. So you have to have the right pre-school education and if you have it, your background should not play a role in accessing the education of your choice.
ParlaMint-NL_2016-09-07-tweedekamer-8.u113	The Minister says: we have all kinds of reports and they point to vulnerabilities in our system. I believe that too, but why do we not look at this in conjunction with the sectors and do we not arrive at one new way of passing through and a possible selection at the gate? 'Cause the minister's only going for the MBO now.
ParlaMint-NL_2016-09-07-tweedekamer-8.u114	I come right to Mr Rog's amendment to item No. 20. When you look at the system, you see that there is some form of admission in all educational sectors, except in the MBO. So I'm fixing an omission in the system. In higher education, in further education, we have a right of admission. If you want to get from MBO to HBO, you have a right of admission. If you want to get out of vwo to college, you also have a right of admission. Indeed, in primary and secondary education, it is different, but it is true that all public schools are subject to admission requirements. Why else is that arranged? Because denominations play a much bigger role there. But even there, a school can't just say: you don't like us, you're too smart or too stupid, you don't get in here. If this is done, it will be on the basis of agreements with the sector and will lead to huge discussions. Look at the appointments in the vo whether you can go from vmbo to havo and what numbers you have to get for that. I very much agree with Mr Grashoff that our system is so structured that you can go to the next level with a diploma and the right pre-training. I think that is a very essential part of the system. That is why this law can be very well integrated into the system. The law is in line with the system because an omission is repaired in it. This means that I must really strongly discourage Mr Rog's amendment, because it brings out a very essential part of the law. In fact, what Mr Rog is saying is that the board ultimately decides on admission and not the student who can choose to study her or his preference. This ultimately means more power for directors, because there will be a binding study advice and no right of admission. This keeps the difference that already exists between the MBO on the one hand and all other education sectors on the other, and I find that very undesirable.
ParlaMint-NL_2016-09-07-tweedekamer-8.u115	The Minister falls off Ton Heerts from the MBO Council, which is still up to that point, but she actually falls off all those teachers, all those intakes, all those people who are involved in the process. The Minister said that as if governing could decide in a form of arbitrariness whether or not students are admitted to training. That is not the situation, that is the Minister's frame, that is the frame of the left-wing parties and the VVD. I do not think that does justice to the current situation. In her introduction, the Minister says: it's all getting worse with that intake. But I do understand that in consultation between the board and the JOB the best and most careful organisation possible is being looked at. Where does the Minister get the idea that things are getting worse and worse?
ParlaMint-NL_2016-09-07-tweedekamer-8.u116	I'm gonna take care of that with this bill, too. You get an early application and thus a warm transfer between vmbo and mbo, where we sometimes lose students. This means more attention to intake, as we also have the study choice check in higher education. This law also improves this. That doesn't mean I don't trust intakes. In general, intakers are very professional, but that does not mean that they are now using a transparent and comparable approach of arguments, because there is no such thing. That is one of the major problems we see. The number and type of complaints indicate that the arguments of the schools are often unclear. I also hear stories from intakes who say they don't want too many students with problems like adhd in class and at some point say someone doesn't fit in. I understand that from their individual perspective, but given the social consequences, it is not good. I'd like to do something about that.
ParlaMint-NL_2016-09-07-tweedekamer-8.u117	I am glad that the Minister, unlike her earlier frame, no longer says it is the directors. It is indeed the intakes, the professionals, the teachers at the MBO schools who now have a right to be taken away from them by these parties. Does the Minister agree with me that the vast majority of all those negative decisions were decisions that were in the best interests of the student and not taken in bad faith?
ParlaMint-NL_2016-09-07-tweedekamer-8.u118	Let me correct Mr Rog. He's now saying I'm choosing a different frame. I'm not. I say: I can move into the position of an intaker, but it is ultimately the board, not for nothing, in the MBO legislation the competent authority, which bears the responsibility. I therefore insist that Mr Rog's amendment reduces the student's legal status and strengthens the position of the person who is ultimately responsible for decisions on who is or is not adopted, namely the driver. The MBO is now the sector with the least rights for young people and the most freedom of policy for drivers. So I do believe that this bill is necessary. Mr. Rog asked how often things are going well. Of course, it goes well all the time. But we make laws here very often for those situations where things are not going well. If we were to reverse that here, it would give us a hell of a lot of time. It would mean a lot less meeting if we only made laws about things that go well. I note that different studies, such as the 2013 ECB study, have shown that selection is to a greater or lesser extent in half of the institutions. Students often experience negative advice to start training as a refusal. I am therefore concerned not only with whether or not I refuse to study, but also with the quality of the argumentation and the effect it has on students. After all, when you get such a decision, it works very negatively for your self-image and for your self-confidence. I find that really indigestible and unacceptable. As far as I am concerned, education must offer those opportunities, and that is more true of those who do not get it from home. So I really think it is important to deal with this in this way. I reject Mr Rog's amendment to item No. 20 strong. I informed the Chamber in my letter about Actal. No further questions have been asked.
ParlaMint-NL_2016-09-07-tweedekamer-8.u119	Mr Duisenberg has another question.
ParlaMint-NL_2016-09-07-tweedekamer-8.u120	Yes, Mr President, I had asked, I believe, through you, whether we would ask the Minister about the conclusion of the discussion whether that amendment was destructive or not.
ParlaMint-NL_2016-09-07-tweedekamer-8.u121	The Minister can advise on this. Whether an amendment is considered destructive is decided by the Chamber itself. But you can ask the Minister's advice on this.
ParlaMint-NL_2016-09-07-tweedekamer-8.u122	Here's to it.
ParlaMint-NL_2016-09-07-tweedekamer-8.u123	I will stick to the words that I strongly advise against the amendment, because it really takes the core of the legislative proposal. If this amendment were to be adopted in the near future, but also if the amendment on the binding study opinion were to be adopted, the balance, which Mr Bishop spoke about, would have disappeared completely. That would mean I'm going to consider the bill.
ParlaMint-NL_2016-09-07-tweedekamer-8.u124	Obviously. Mr Van Meenen, do you have a question on this point, or on another point that has already been raised in the Minister's reply? Otherwise, we'll wait for the sequel.
ParlaMint-NL_2016-09-07-tweedekamer-8.u125	It's possible.
ParlaMint-NL_2016-09-07-tweedekamer-8.u126	The minister's just getting started. Madam Secretary continues her speech.
ParlaMint-NL_2016-09-07-tweedekamer-8.u127	I was at Actal's. No further questions were asked, but thank you for Mr Rog's words. I will go into the questions that have been asked, including the binding study opinion, and the amendments. But I would like to take this opportunity to present another letter of amendment with a purely technical amendment. This is a clearly incorrect reference that is being corrected. Article 8.2.2a, second paragraph, now contains a reference to "grounds referred to in the first sentence', whereas those grounds are set out in paragraph 1. That letter of amendment has just been submitted. I hope it can go around. We now know that this is a completely technical change. It is not my intention to make any changes to the substance by means of devious means. Mr Duisenberg has the amendment to item No. 11 still mentioned. I've already responded to it in the first term, so I'm gonna leave it for what it is. In Mr Duisenberg's amendment to item No. 18 it is arranged that there is no right of admission for students who have not applied in good time or who have not participated in take-up activities required by the institution. I am glad that the mandatory intake activities are not affected. I think it is of the utmost importance that students are well supervised, even if they are not able to handle a study or if they are in the wrong pre-school. In the end, it remains the decision of the student, as is currently the case in higher education. I therefore understand Mr Duisenberg's motivation, because he actually draws the parallel with higher education. I am glad that he makes an exception for those who are still subject to learning and qualification. Then it is obvious to draw the comparison with, for example, vo, because those students simply have to go to school. I'm glad he made them a safety net. At the same time, Mr Duisenberg says that prospective students who register late or who do not participate in compulsory intake activities cannot always follow the study they would like to follow. It is up to the institution, the school to admit them, but they are admissible. If they register after the date in my proposal is that 1 April of this year they may be admitted, but the school does not have to allow them. On the one hand, this stimulates a very good choice of study preparation, because it is an additional incentive to register in good time and thus an additional incentive to be able to conduct that study choice interview properly. It will sometimes lead to disappointment. If this amendment is adopted, I think it is very important to give very good information with the VMBO schools and the MBO schools of upcoming students: if you want to be able to do the education of your preference, please register in good time. All things considered, I leave the opinion on this amendment to the Chamber. I say to Mr Bishop that I do not expect this to lead to many administrative problems. He noted that that was a consideration for him. I see that we also deal with this article in higher education. I leave the judgment to the Chamber.
ParlaMint-NL_2016-09-07-tweedekamer-8.u128	I do foresee major problems, particularly for a certain category of students, especially if the amendment by GroenLinks is adopted, namely those who receive negative binding study advice after 1 April. If that is the case and if the date of registration remains on 1 April, then Mr Duisenberg's amendment will lose the right of admission that is now in the law. They will no longer be able to follow the study of their choice. If they have rightly or wrongly received a negative binding study opinion, they will be escorted to something else. However, they no longer have a right of admission there, because the date of 1 April has already expired. According to Mr Grashoff's amendment, the binding study opinion can only be given after 1 April, at the earliest nine months after the start of training.
ParlaMint-NL_2016-09-07-tweedekamer-8.u129	I shall now come to Mr Grashoff's amendment. It also states that the school has an obligation to accompany the student to another degree programme. I will say this once more: it has not been said that students should not be admitted, because they are allowed to do so. However, if someone has already had a binding study advice once, it is of course very important that the school and the student think together: what is a good solution in that case and what suits you? Then perhaps it is obvious that there is a little more talk about it and that in some cases there is also more control. So I don't see that problem that way. I say to Mr Van Meenen, who stated more generally in his term that he is afraid that this would be detrimental to repeaters and late detectors, that I do not see that problem as well. The starting point is that prospective students who apply after 1 April can still be admitted to the training of their preference. So it has not been said that this can no longer be done. The school must then allow, but does not necessarily have to do so anymore when the training is full. In the case of training where a capacity limitation is applied because it is full, there may therefore be a problem. But then the institution or school should give the prospective student or the student with a binding study advice the opportunity to register with another programme. In doing so, the institution shall take into account the preferences of the prospective student. I would add that I do not expect this bill to cause more early school leaving and switching, since it is also necessary to find a place for prospective students who apply later. On the contrary...
ParlaMint-NL_2016-09-07-tweedekamer-8.u130	Mr President, on a point of order.
ParlaMint-NL_2016-09-07-tweedekamer-8.u131	The Minister's talking out.
ParlaMint-NL_2016-09-07-tweedekamer-8.u132	I am also trying to answer Mr Van Meenen's question. Finally, I think it will reduce early school leaving because we no longer lose students between the transition from vmbo to mbo. We know there's a lot of school leavers out there right now.
ParlaMint-NL_2016-09-07-tweedekamer-8.u133	This is a very comprehensive answer, but not the answer to my question.
ParlaMint-NL_2016-09-07-tweedekamer-8.u134	That still doesn't give you the right to talk through it.
ParlaMint-NL_2016-09-07-tweedekamer-8.u135	I turn to the President on a point of order. I would like an answer to my question. It's an interruption. The Minister is reading prepared texts that have nothing to do with this interruption.
ParlaMint-NL_2016-09-07-tweedekamer-8.u136	If you wish to contradict the Minister, I will give you all the opportunity to do so, but not after she has just spoken. Go ahead.
ParlaMint-NL_2016-09-07-tweedekamer-8.u137	Fine, but I would like to say that you, as President, may have to watch a little more, and that is how I also know you about the fact that there will be an answer to the interruption. I didn't get that. My question is very specific. It's April 1st. That is the fatal date according to the Minister's amendment which has just been given the Chamber's verdict. After that, the student gets a negative advice. It happens. Then the date for applying for admission to another training is over. Then the Minister can say: yes, but it is still not excluded that he will be admitted. No, that's exactly what this law is about. After all, that's the way it is now. My question is very specific: what happens to students who have negative binding study advice after 1 April? Do they, in the eyes of the Minister, hold the right of admission in another training course or not? If not, what is her conclusion?
ParlaMint-NL_2016-09-07-tweedekamer-8.u138	I have just replied a little more comprehensively, because I do not see any substantial difference between a BSA and the other groups that Mr Van Meenen mentioned, namely those who later resign, switchers and early school leavers.
ParlaMint-NL_2016-09-07-tweedekamer-8.u139	A BSA is a binding study opinion.
ParlaMint-NL_2016-09-07-tweedekamer-8.u140	Here too, if they have had a binding study advice, because they have to undergo training, they will no longer be able to follow the training of their preference. They can still sign up, because they're already in school.
ParlaMint-NL_2016-09-07-tweedekamer-8.u141	I am fighting the latter, because the effort required to find another education does not have to be limited to the school on which the student resides. That might as well be another education. We must note that if Mr Grashoff's amendment and Mr Duisenberg's amendment are adopted, 1 April will be a fatal date. Anyone who subsequently receives a binding study advice should not be allowed to do so, loses his right to admission to the training it is about to become and who hopefully is the right choice. That's the conclusion. I don't know if everyone here realizes that, but it is.
ParlaMint-NL_2016-09-07-tweedekamer-8.u142	I think there's really been a misunderstanding here. If you get a binding study advice, the school has a duty to find you another education. Then there's a situation where you don't necessarily have to sign up before April 1st, because there's nothing you can do about it. You will only receive a binding study advice after that. So you can't blame the student for that.
ParlaMint-NL_2016-09-07-tweedekamer-8.u143	This is extremely relevant, because the Minister is actually saying here in so many words: people who are not to blame for this, that is something other than people who register and so on and who could not have known before that they have to go to another training because they only receive the binding study advice after 1 April, retain the right of admission to another training.
ParlaMint-NL_2016-09-07-tweedekamer-8.u144	The school has a duty for those students to seek another education. If they could not sign up before 1 April because of a cause outside themselves, namely because they received a binding study advice from the school, they can still sign up for another education. That is possible after 1 April...
ParlaMint-NL_2016-09-07-tweedekamer-8.u145	Yes, Mr. Chairman. Apologies. This is listening very closely. They can get themselves into another education...
ParlaMint-NL_2016-09-07-tweedekamer-8.u146	Mr Van Meenen, you will let the Minister finish.
ParlaMint-NL_2016-09-07-tweedekamer-8.u147	Again, if a student receives a binding study advice after 1 April, that student has not been in control himself at what time he signs up. You can't blame that student that he didn't sign up before April 1st. This means that in this case the school must also allow the student after 1 April, because that school must therefore seek a different education for the student who has received a binding study advice. This is also strictly regulated in Mr Grashoff's amendment.
ParlaMint-NL_2016-09-07-tweedekamer-8.u148	Clear.
ParlaMint-NL_2016-09-07-tweedekamer-8.u149	Let me explain to you why I'm so strict. The Minister's words are important for the history of law. So it's good to weigh them and have them exactly, in context and completely here. That is why I will not allow Members, anyone, to talk through the Minister in such a way. Go ahead.
ParlaMint-NL_2016-09-07-tweedekamer-8.u150	Mr President, I apologize. You're absolutely right to correct me. The Minister now says that a school should allow a student who receives a binding study advice after 1 April and who goes to another programme to receive the training they then find with each other. That can only be achieved if that education is found at the school where that student is already in. My question to the Minister will then be: does that also apply to another school? After all, this training can be found in another MBO school.
ParlaMint-NL_2016-09-07-tweedekamer-8.u151	This could happen, because if a student is at a small institution, for example, the school could come to the conclusion, in consultation with the student, that other courses at that school do not meet that student either. So a school has to let someone else in. I was just looking for the article. I didn't find it that fast, but luckily I get it a little faster through my associates. Maybe that'll help. You can read along: Article 8.0.1 (3)... I have to look for it myself. 3a. 8.0.1 Article 3a: "a participant who applies to a vocational training other than that in which he was originally registered but who can prove that the notification is the result of an termination of the registration pursuant to Article 8.1.7a, at a time when he could not register by 1 April prior to the year of study for which he wishes to register" and "participants to an experiment continuing learning lines vmbo-mbo as referred to..." I'll come back to that in a minute. I'm gonna check on my associates. I just need to get the exact article, 'cause that'll help...
ParlaMint-NL_2016-09-07-tweedekamer-8.u152	Is it appropriate if we suspend for two minutes? Does that help you?
ParlaMint-NL_2016-09-07-tweedekamer-8.u153	Yes. It's possible. Five minutes of suspension will help, too.
ParlaMint-NL_2016-09-07-tweedekamer-8.u154	That might be so convenient.
ParlaMint-NL_2016-09-07-tweedekamer-8.u155	Because it's a piece of law, I really want to do it exactly.
ParlaMint-NL_2016-09-07-tweedekamer-8.u156	Sure. I'm suspending the meeting for four minutes.
ParlaMint-NL_2016-09-07-tweedekamer-8.u157	I would ask Members to take their seats again. This does not automatically mean that you are taking part in the interrupting microphone, I say to Mr Van Meenen.
ParlaMint-NL_2016-09-07-tweedekamer-8.u158	That's where I was standing when they suspended me. I think the Minister is coming up with an answer to my interruption.
ParlaMint-NL_2016-09-07-tweedekamer-8.u159	Don't move. Don't move.
