ParlaMint-NL_2016-09-29-tweedekamer-5.u1	I would like to welcome the Secretary of State for Health, Welfare and Sport.
ParlaMint-NL_2016-09-29-tweedekamer-5.u69	I see that Mrs Agema still has an interruption, so Mrs Dik is going back to the chair.
ParlaMint-NL_2016-09-29-tweedekamer-5.u70	I also think the contribution of the Christian Union is weak. I wonder what Mrs Dik actually wants from the Secretary of State.
ParlaMint-NL_2016-09-29-tweedekamer-5.u71	Mr. Chairman. I can repeat my entire contribution here, but you will not be able to accept that.
ParlaMint-NL_2016-09-29-tweedekamer-5.u72	No, that certainly can't count on my approval.
ParlaMint-NL_2016-09-29-tweedekamer-5.u73	I have put a number of specific questions to the Secretary of State, just to start with my last heart cry, to organise dispute resolution for conflicts with the healthcare office. I hope for the support of the PVV Group.
ParlaMint-NL_2016-09-29-tweedekamer-5.u74	Why a dispute resolution? We have a situation that is simply impossible in our country. Every month 12,000 other people come into payment problems. Yesterday we received a letter about the e-mail from a health care provider who receives a collection agency for €996,33, while he receives €40,000 from the Social Insurance Bank, which means that he has already had to pay fines to the Tax Administration and to energy suppliers. Dispute settlement! Why is the Secretary of State allowed to remain in the Christian Union?
ParlaMint-NL_2016-09-29-tweedekamer-5.u75	I have asked several questions to the Secretary of State, all of which have to do with the difficulties in implementing the right to draw. I think it is very important for the Secretary of State to take action. This is indeed yet another debate and I share the frustration of the PVV that it is not yet in order. That frustration is not only with me and the PVV, but I think it is with the entire Chamber. Let us work together to ensure that a solution is found and that the last problems are resolved. Fortunately a large group is doing well, but too often things are not going well. To be honest, I find it too easy for the PVV to step forward now and say that it was a weak input, because the whole Chamber is taking the lead to put the budget holders back on the centre and make sure that it gets back in place for the budget holders, that the financial problems come to an end and that everyone gets the direction of the pgb, the caregivers get paid and finally people get the care they need.
ParlaMint-NL_2016-09-29-tweedekamer-5.u76	Mrs. Agema, last time.
ParlaMint-NL_2016-09-29-tweedekamer-5.u77	The whole room barks, but it doesn't bite. The entire Chamber leaves the Secretary of State; the Secretary of State who has been soloist, who has not informed us and who has already had two motions of censure. We now see that the problems are getting bigger and bigger and bigger and that it is not about the last things that still have to be resolved. 61% of the declarations are not lawful.
ParlaMint-NL_2016-09-29-tweedekamer-5.u78	What is your question to Mrs Dik?
ParlaMint-NL_2016-09-29-tweedekamer-5.u79	That's a hell of a lot. Then why does the Christian Union stay with such a lame story? Why isn't she harder? Why doesn't she think the Secretary of State should make room for someone else?
ParlaMint-NL_2016-09-29-tweedekamer-5.u80	The PVV actually concludes that you have a weak story if you do not support a motion of censure. I disagree. I have called on the Secretary of State many times already, and I can see that he is doing it, but it may be firmer, certainly to keep not ten fingers on the wrist, but to bang the fist on the table. That's what this Secretary of State has to do. Don't resign, just perform. To that end, I challenge him.
ParlaMint-NL_2016-09-29-tweedekamer-5.u81	I'm gonna change the subject. Mrs Dik made a motion a while ago to investigate grounds for refusal of personal budgets. Everything we keep reading shows that it is often wrong to refuse to provide a pgb. Now there is an investigation at 10 out of 390 municipalities. Eight municipalities don't keep records at all when they refuse a pgb. I'm just looking for firm words. Does Mrs. Fat think this is a bullshit investigation with me?
ParlaMint-NL_2016-09-29-tweedekamer-5.u82	I'd be happy to pick up that part of my contribution, but...
ParlaMint-NL_2016-09-29-tweedekamer-5.u83	No, I didn't.
ParlaMint-NL_2016-09-29-tweedekamer-5.u84	Let me summarize it briefly. I think it's ridiculous what's lying there. It's totally inadequate.
ParlaMint-NL_2016-09-29-tweedekamer-5.u85	Fine. What are we gonna do about it together?
ParlaMint-NL_2016-09-29-tweedekamer-5.u86	Let the CDA and the Christian Union table a motion together to ask the Secretary of State to broaden this investigation and to implement the support programme that the Secretary of State is about to launch. I have seen that the number of budget holders within the Wmo and the Youth Act has decreased by 30,000 in a year and a half. Those are all pgbs that have been denied. That's just too much. This cannot be explained by the reasons which emerged from the study in the ten municipalities. So more needs to be done. Let us put together a motion. I put in some ingredients for that. I think the CDA has some ideas about that, too. I'd love to.
ParlaMint-NL_2016-09-29-tweedekamer-5.u87	I'd love to.
ParlaMint-NL_2016-09-29-tweedekamer-5.u88	Mrs. Agema, one more time?
ParlaMint-NL_2016-09-29-tweedekamer-5.u89	Yes, Mr. Chairman, on a small new point. I've got that motion. I have also requested the debate on this subject. So I hope we can table a motion together.
ParlaMint-NL_2016-09-29-tweedekamer-5.u90	I see that more and more people are supporting the same point. So let's see where we can get together.
ParlaMint-NL_2016-09-29-tweedekamer-5.u91	Mr. Chairman. There are a lot of heated debates in this house on issues where real political choices are at stake. Do you or do you not want to allow weed cultivation? Do you want or don't you want to have your own risk in care? Do you want to receive refugees here or not or invest in the region? Those are real political choices. The uncomfortableness of the many debates on the pgb lies in the following for me. I have the feeling that there is actually a great deal of consensus about what we want with each other. We all want budget holders to have their personal budgets paid out smoothly and not to end up in a maze. At the same time, on the one hand, we want abuse to be recognised and fought against. On the other hand, errors in declarations made by people who are in good faith must be quickly identified and corrected. If that could be true, if all this were to go smoothly, we would not have to have these many debates. As long as that is the case, we will indeed end up in a technocracy. What should or should not be on the chain director's work agenda? What should the standard contract model look like? Then I think, is that the way we get on with each other? I'd rather hear when the problems are really solved. Exactly how that happens, often lies with the board and management. We should not spend so much of our emotions and motions on that. The fact that it keeps coming back is, of course, because the problems have still not been solved. Sure, there's a lot going well, but we all get frustrated and cranky when we get another e-mail from people who write "you know how many times I've sent in a form again?'. I received an email from a father who had been arranging a pgb for his daughter for months and sent a photo with the two-week holiday harvest: eleven letters from the SVB and four from VGZ. Still the pgb wasn't taken care of. Another e-mail came from a mother of a boy with learning difficulties. She had already started a Wlz application in February. She had sent a lot of letters, which then lost again. It wasn't settled at the beginning of the month. She was wondering if you should have studied at the university to get a pgb done. Again, we do not see and hear what is going well. We have to say that honestly, but there is still too much going wrong. This always raises the question of when things will be smoother. When are people not gonna end up in that maze? That is the first important point, but the second important point...
ParlaMint-NL_2016-09-29-tweedekamer-5.u92	You're already holding back! I assume that Mrs Leijten wishes to interrupt on that first point.
ParlaMint-NL_2016-09-29-tweedekamer-5.u93	Only in the longer term, in 2020, will a solution be available for the SVB's wood rope system. Does Mr Van der Staaij agree with the SP that this form crazy really needs to be resolved in the meantime?
ParlaMint-NL_2016-09-29-tweedekamer-5.u94	Yeah, I agree with the SP. Not only should we put all the cards on the future system, but we should also address as much as possible the problems that now arise in implementation.
ParlaMint-NL_2016-09-29-tweedekamer-5.u95	Then how does the SGP assess the response of the Secretary of State, whom we received last night, to the letter from the lady who had to send 65 pages to get a pgb for her son? In it he writes that in the future there is a possibility to solve this. Does the SGP think that this is not enough?
ParlaMint-NL_2016-09-29-tweedekamer-5.u96	If it were only to say that everything would improve in the future and that the problems would continue for the time being, I find that unsatisfactory. I would like to hear the reaction of the Secretary of State.
ParlaMint-NL_2016-09-29-tweedekamer-5.u97	That was his reaction!
ParlaMint-NL_2016-09-29-tweedekamer-5.u98	Because of other accents, sentences and intermediations, something verbal sometimes comes through differently. Sometimes you read about something, while it turns out to be the essence of the letter. I therefore always like to hear an oral explanation. Sometimes you get even better at what the essence of a letter is. Mr. Chairman. On my second point, Mrs Agema has just asked for attention, as has the Christian Union and the CDA. That point is that a pgb sometimes seems to be deliberately discouraged by exceptionally strict requirements and controls. Sometimes this happens unconsciously, but the effect is the same because you actually get the signal from the insurer or the municipality that you shouldn't get started on it. The research that is available is insufficient. I do not do my best to outdo qualifications such as bullshit research and what else has been mentioned, because I have to acknowledge my superiors in many of my colleagues. It must be improved and it must also be made clearer what is wrong and how it is handled. I'd like to hear that from the Secretary of State. The last point I would like to mention concerns the budget holder portal. In short, everything has to be done to ensure that there is a well-functioning budget holder portal on 1 January 2018. I therefore feel at home with my colleagues who also mentioned this. How can the Secretary of State ensure that?
ParlaMint-NL_2016-09-29-tweedekamer-5.u99	Mr. Chairman. If you read in the newspaper just before the start of the political season that a sample of legality checks shows that half of the person-related budget declarations are incorrect, the courage is falling. Now what? What's going to go wrong? More importantly, you are deeply concerned about the possible consequences of this finding for budget holders when the legality checks do have consequences. A large part of the declarations that were not made by the audit proved incorrect or insufficient. You can't talk about fraud. In the letter from the chain director we read that improvements have also been made. That is necessary, because if you do not properly fill out declarations because the system is so complicated that you can hardly do it properly, then we miss the point. With a personalised budget, people can organise the care they need as appropriately as possible, so that they can live a life that they themselves have control over. That was also the original purpose of the drawing right. It should be a payout system which, apart from being simple and customer-friendly, was also easily verifiable for fraud. In order to achieve this, the first two must not be put at risk and, unfortunately, after the introduction of the current trekking system, this has proved painful. Let me say first of all that my party believes that this longer start-up period is justified. The chain director clearly explains in his letter why this delay was chosen and what is now being done to do it by agreement from 1 November. Delay and no delay! But my party does have a number of questions. What is the State Secretary's expectation of the fall-out after 1 November? What is the experience during this period of the employees of the Social Insurance Bank who call? Do they expect the deficiencies found to be soluble before 1 October? How, and in particular at what rate, will after 1 November look at outages that are really out of fault? Is sufficient capacity available from the SVB? Colleagues also mentioned the message that we read in the AD this morning. I hear different interpretations of that. That makes it so unsatisfactory that we have to wait until October to hear what the future of the new pgb will eventually look like. I would nevertheless like a response from the Secretary of State to what we were allowed to read in the newspaper this morning. Yesterday's letter and mail from Per Recht are a little hopeful to me, but that is also much-needed hope that the chain partners, led by the chain director, are now really taking steps in the development of a new, simpler, customer-friendly and fraud-proof portal system. In October, in accordance with the motion tabled by Mr Potters and my predecessor, can we also expect the Secretary of State to provide us with the information needed to make a clear decision as a Chamber on the future of the pgb, which should be implemented as soon as possible? I have another question about the multi-care procedure. Several colleagues quoted from the letter and talked about the case about which the NOS also reported. The transition between domains is not smooth. The case mentioned is not in itself, because Per Balance has received more than 1,000 signals. Healthcare insurers The Netherlands also recognizes this. Like the whole Chamber, I do not want budget holders to be unnecessarily burdened with unnecessary bureaucracy. The transition between domains must be made more flexible. Can the Secretary of State, in cooperation with Zorgverzekerings Nederland and Per Balance, investigate how this can be done better, actually achieve this and inform us about it for the 2017 budget?
ParlaMint-NL_2016-09-29-tweedekamer-5.u100	In the letter of 23 September, the Secretary of State asks why the checks are not working and why so many declarations are being thrown out of the system. The Secretary of State writes that he follows the advice of the chain partners and that these two controls are unnecessary. This must also be totally inadequate for the PvdA. The checks shall ensure that the work description is in accordance with the agreement and that all information on caregivers is present. That is not even 50% of the declarations that are thrown out of the system! Then you're not here, are you? You have to do a lot more to delete unnecessary rules, don't you?
ParlaMint-NL_2016-09-29-tweedekamer-5.u101	I share your concern about the fact that more than half of this falls out and that the Secretary of State writes in his letter that this would have been remedied by two measures. That would be wonderful, but after 1 November, the controls, which are already on, will have real consequences. We need to know, for example, what the SVB's experiences with phone calls have been during the past period. What happens then? Is it indeed a question of signatures? Does it have to do with unclear forms, as the chain director points out, for which solutions now seem to be solutions? I share your concern. I also want the conditions to be clarified by 1 November. Then the controls will have real consequences. We also want fraud not to pay any more, but there must be clarity about the ticks that people have to put. Unnecessary ticks have to be removed.
ParlaMint-NL_2016-09-29-tweedekamer-5.u102	I'm gonna take a look at the clock. I have given a lot of room for debate, and it should be, but can the interruptions be shorter?
ParlaMint-NL_2016-09-29-tweedekamer-5.u103	Sure. You say you share the concerns, but you are standing here as a PvdA spokesperson while there is a PvdA Secretary of State. You can do much more than just share the concerns, can't you?
ParlaMint-NL_2016-09-29-tweedekamer-5.u104	Yes.
ParlaMint-NL_2016-09-29-tweedekamer-5.u105	Come up with proposals to delete much more. That's not how you're here, is it? Especially when we realize that most fraud is not at all with the budget holder. He sits at shady care offices, who declare and then put the money in their own pocket. I want more of the PvdA. You're in the situation to do something about it. Then do it.
ParlaMint-NL_2016-09-29-tweedekamer-5.u106	Mrs Keijzer says she wants more from me. I want more of this Secretary of State. The area of legality checks without consequences is now up to 1 November. I see there's a call coming in at this time. That is wonderful, but it must be clear to budget holders that after 1 November they can do whatever is necessary to comply. I ask the Secretary of State to delete what appears to be unnecessary in the audit. We need to be clear about this, so that on 1 November the situation does not arise of major failure with any consequences, with all the consequences. That's the question I'm asking the Secretary of State.
ParlaMint-NL_2016-09-29-tweedekamer-5.u107	This debate is also taking place as a result of the transition, the system that concerns it. I have a question about that. Of course, we were all shocked by the article in the Volkskrant which apparently does not meet such a high percentage. It is unclear what the reason for this is. Does the PvdA agree that it would be good to carry out a sample after all? The system is on now, but wouldn't it be good to get an update as a Chamber from the first sample that apparently has been executed?
ParlaMint-NL_2016-09-29-tweedekamer-5.u108	If Mrs Bergkamp means that she wants that information before November, then I would point out that my question to the Secretary of State was: what are the experiences of the SVB with the phone call? That information must be used effectively to ensure that after 1 November we are not faced with a disappointing failure. So that's where I can go with her. Let me point out, however, that this sample should not lead to any delay as far as we are concerned. We do not think that would be justified. We are now at a time when we are doing everything we can to help budget holders. We also see from the letter from the chain director that it's about some pretty simple things. Those simple things need to be solved. Now, if I'm gonna go into what's supposed to be in the sample, I'm gonna be dancing. However, I agree with Mrs Bergkamp that the information that is now being harvested should be used to ensure that we can start with the consequences in November.
ParlaMint-NL_2016-09-29-tweedekamer-5.u109	I am glad that Mrs Volp of the PvdA has indicated this. Let's ask the Secretary of State to send that information to the Chamber so we know what's going on. Of course, people worked with a system that wasn't optimal for a year. Calling and getting a letter is therefore perhaps not enough for a certain group of people, also because the current system of SVB and the questions and answers given are not always good either. I understood that there has been administrative consultation and that carrying out a second sample or an update is not desirable because one is afraid of what can come out of it. If that is the case, does the PvdA agree with me that we should at least say as a Chamber that we should not, of course, and that we should simply be entitled to receive a new state of affairs before it is followed up? I also agree with Mrs Volp that this should not lead to delays.
ParlaMint-NL_2016-09-29-tweedekamer-5.u110	I also agree with the stakeholders, particularly Per Balance, who say that we have come close to the point where the consequences need to be implemented. A sample is fine, but above all I want the action that is now being carried out to achieve as little as possible failure as soon as possible. I do not want us to have another discussion in the future and not to receive what the controls are intended for. So I say yes, but the main purpose of my party is to ensure that those who do not declare now as strictly necessary are able to fish out unnecessary conditions in time.
ParlaMint-NL_2016-09-29-tweedekamer-5.u111	I was a little cranky with my colleagues from the opposition, but I can, of course, be even more cribby with my colleagues in the coalition. I am, truly, bewildered that for a period of five years we are dealing with a government that causes people to get into payment problems with their rent and mortgage, that it is the government's fault that people get fines from the Tax Office and get a debt collection agency from the government on their roof. That period lasts for five years. This Secretary of State is responsible for that soloist. I have a question for the Labour Party. Why does this Secretary of State stay in office and why did Wilma Mansveld have to leave?
ParlaMint-NL_2016-09-29-tweedekamer-5.u112	I'm not here to exchange views and give a reflection on why one Secretary of State should fall and the other shouldn't. I want this solved. You requested this debate. We are talking today about a number of problems that unfortunately exist on this dossier. I also see that we are almost ready to take a step towards solving many of the problems we have experienced in the past period. I suggest we have a semantic discussion about "why is it and why isn't it?" feeding at another time. Let us now continue to motivate the Secretary of State to come forward in October with a response to Mr Potters' and Mr Van Dijk's motion and to ensure that, in November, the consequences can be linked to the checks and that, as far as is currently available, the failure is as little as possible after 1 November.
ParlaMint-NL_2016-09-29-tweedekamer-5.u113	It does not seem to Mrs Volp to understand that she is the one who has the upper hand of the Secretary of State who is soloist responsible for the fact that over a period of five years, 12,000 other caregivers are going to get into payment problems every month by the government, get fines from the Tax Office by the government and get a collection agency put on their roof by the government. Mrs Volp is holding this Secretary of State over his head, but others could fall. Fred Teeven, Ivo Opstelten, Weekers and Mansveld could all leave, but this Secretary of State was not. I hear people say, "He's got to clean up his own mess." But what kind of government do we have if people who cause these problems just sit around?
ParlaMint-NL_2016-09-29-tweedekamer-5.u114	I expected nothing less than that Mrs Agema would be even more disappointed about my input than about some of the opposition's contributions. I want the Secretary of State to do his job now and Mrs. Agema says he has to leave. We disagree on this. He has to do his job. We have now asked a number of questions about it and put a number of very clear conditions to it. That's what my party says.
ParlaMint-NL_2016-09-29-tweedekamer-5.u115	This file has a long history: one and a half years of debate, apologies from the Secretary of State and excuses from the Social Insurance Bank. I read in a letter from the pgb chain director that the lack of the name and address of the healthcare provider is largely due to the lack of the possibility on the SVB wallet. Until September 2016, the SVB-hour note did not have the possibility to properly deliver the declaration. What does Mrs Volp say about that?
ParlaMint-NL_2016-09-29-tweedekamer-5.u116	That's way too late.
ParlaMint-NL_2016-09-29-tweedekamer-5.u117	Too late?
ParlaMint-NL_2016-09-29-tweedekamer-5.u118	Yes.
ParlaMint-NL_2016-09-29-tweedekamer-5.u119	Or is it just insufferable? Trust in the Secretary of State has been damaged and far from recovered as far as the SP is concerned. But trust in the SVB, with this kind of thing? Until this month, people couldn't even fill out an hour note that was right. But it's in the media that people are filing illegal declarations! This cannot go on, I say to the Labour Party. What alternative do we have? Is there an alternative to the Social Insurance Bank in the view of the Labour Party?
ParlaMint-NL_2016-09-29-tweedekamer-5.u120	It is now almost October 2016. In particular, I want the name to be entered on the SVB's hour note and that at least this does not lead to a breakdown at the time when the failure actually has consequences. I agree with Mrs Leijten that it is too late. The problem is that we don't have the information we're getting from the Secretary of State in October. So I can't make any statements about who at what time, in what way in a new execution functionality, will manage it in a new portal. Is that the SVB? I haven't gotten there yet. Is that Zorgverzekerings Nederland? I'm reading it in the paper today. I'd like a response from the Secretary of State. The fact is that, in accordance with the motion, we agreed to be informed in October. Yeah, I can't wait until October, just like you.
ParlaMint-NL_2016-09-29-tweedekamer-5.u121	I simply note that we have debated for a year and a half. In the beginning, nothing was wrong and those who rang the alarm bell, Mrs Keijzer first and then the rest of the opposition, were molested. They would stir up unrest among the people.
ParlaMint-NL_2016-09-29-tweedekamer-5.u122	This is for your second term. What's your question?
ParlaMint-NL_2016-09-29-tweedekamer-5.u123	I note that after a year and a half from the SVB it is still not in order and that the PvdA does not yet have a solution and accepts that the Secretary of State does not have one either. This is not the way to bring this dossier to a successful conclusion. The PvdA should actually honour itself and certainly the Secretary of State.
ParlaMint-NL_2016-09-29-tweedekamer-5.u124	I do not share Mrs Leijten's view. I think that in the letter from the chain directors, also in view of Per Recht's support, we saw very clearly that, at least by November, there seems to be a solution for linking the consequences to the controls. Yes, I am waiting, like everyone else here in the Chamber, for the letter to come in October, after which we will finally be able to take further steps which, as far as our party is concerned, must be taken as quickly as possible.
ParlaMint-NL_2016-09-29-tweedekamer-5.u125	Mr. Chairman. This debate is characterised by the expression 'wait till you weigh one of us'. A lot of people apply for a pgb and have to wait for them to weigh us down before they get it. We ask for solutions from the Secretary of State and have to wait until we have a solution. More than a year and a half ago, the Secretary of State surprised the whole of the Netherlands about the mess caused by the SVB's right to draw. No ICT system, everything manual and still, a year and a half later, there is no solution. I refer to the quote I just read to the colleague of the Labour Party that until this month there was no possibility of filling in the address on a declaration note; I don't know what kind of world we live in. You'd think it was an incredibly good sketch of a satirical program, but no, it's reality, partly caused by this Secretary of State. He was in charge, he's responsible, and we can't see a solution. In fact, the system as it should have been introduced a year and a half ago is as inadequate as anything. Then we read in the paper that it could take another four years until there is a solution. I want to hear from the Secretary of State today that he's taking the lead not to delay, but to speed things up. Of course, that has to be careful, but the longer we wait, the more we are drawn into the trap of regulation by 2020. If the Per Balance, together with Health Insurance companies Netherlands and the VNG, succeeds in achieving a package of requirements for a portal in the summer, I wonder what the Secretary of State has done in the last year and a half. I would like to see real work done on this now. I will make a statement to the Chamber that we are not waiting at all, but that we are simply giving the green light for the development of this portal, but according to the following conditions: it must be the property of the government, so that data cannot come into the hands of health insurers, and it must work carefully as of 1 January 2018. If that is not possible, there must be a good emergency brake, so that we do not get a clean appearance like when the right of draw was introduced in 2014.
ParlaMint-NL_2016-09-29-tweedekamer-5.u126	I know the SP as a party that wants all care to be taken care of by the public. Where is the SP now when it comes to the initiative of healthcare insurers Netherlands? We don't know any more than the information from the General Daily. Mrs Leijten believes that the data should remain public. But I'm a little surprised that the SP says: it's fine that Health Insurance companies Netherlands get a very big role in the whole. Where exactly is the SP, looking at the discussions we have on other concerns?
ParlaMint-NL_2016-09-29-tweedekamer-5.u127	I didn't say they should get a big part. I've seen them play a major role in the absence of the Secretary of State. The Secretary of State, who apologized and said that he would take control and that it would be all right, has done nothing. It is the budget holders, Per Recht, the executives of the Long-Term Care Act, the pgbs, the health insurance companies and the Association of Dutch Municipalities, where the pgbs are located from the Wmo, who obtained a package of requirements for that portal during the summer. I think that's a merit. As far as I'm concerned, they get a compliment for that. Now it's up to the Secretary of State to do that. He should not wait and, as Mrs Keijzer said, see no bumps where you do not have to see them, but simply create speed, but with an emergency braking procedure and in such a way that data is safe. Building a website also means that data can be placed somewhere; we all know those discussions, the chairman like no other. However, the fact that civil society has come to a solution, while the Secretary of State has hired an expensive chain director's office and went on holiday himself, is a sign to me.
ParlaMint-NL_2016-09-29-tweedekamer-5.u128	As you know, with Per Balance, D66 has laid the foundations for the current system of budget holders. I am therefore pleased that Mrs Leijten thinks that is a good scenario.
ParlaMint-NL_2016-09-29-tweedekamer-5.u129	You also know that we supported this.
ParlaMint-NL_2016-09-29-tweedekamer-5.u130	Exactly, so I repeat that. It is sometimes fun to repeat positive things in the debate. However, I am a little surprised at the role of Zorgverzekerings Nederland. Let me say that I am glad that the SP is open minded about this, because I notice in certain discussions that it is being proposed very black and white: everything needs to be public. So I am glad that the SP at least gives an opening and says that if something is organized and managed privately...
ParlaMint-NL_2016-09-29-tweedekamer-5.u131	That's not what I'm here for.
ParlaMint-NL_2016-09-29-tweedekamer-5.u132	Perhaps it is then a good thing that Mrs Leijten explains what the limits are for her when it comes to the role of health insurers in the personal budget. There are also concerns about how health insurance companies are now dealing with the personalised budget. What are the limits for the SP?
ParlaMint-NL_2016-09-29-tweedekamer-5.u133	I'm not quite sure what your question is.
ParlaMint-NL_2016-09-29-tweedekamer-5.u134	It's not a mix-up.
ParlaMint-NL_2016-09-29-tweedekamer-5.u135	What are the limits for SP when it comes to the role of health insurers?
ParlaMint-NL_2016-09-29-tweedekamer-5.u136	That is a very different debate, but I am very pleased that you have given me the opportunity. We'd like to see...
ParlaMint-NL_2016-09-29-tweedekamer-5.u137	Mrs. Leijten, I...
ParlaMint-NL_2016-09-29-tweedekamer-5.u138	Now you're talking through me.
ParlaMint-NL_2016-09-29-tweedekamer-5.u139	Yes, yes, yes, yes, yes,
ParlaMint-NL_2016-09-29-tweedekamer-5.u140	It's about the pgb.
ParlaMint-NL_2016-09-29-tweedekamer-5.u141	She asks how we see the role for the health insurance companies.
ParlaMint-NL_2016-09-29-tweedekamer-5.u142	I keep an eye on things here and time. Mrs Bergkamp is asking a question. That is a very broad question, which we are not going to deal with in detail. I would ask Mrs Leijten to reply briefly.
ParlaMint-NL_2016-09-29-tweedekamer-5.u143	Mr President, may I point it out a little further?
ParlaMint-NL_2016-09-29-tweedekamer-5.u144	No, I give the floor to Mrs Leijten. She understood exactly what you meant.
ParlaMint-NL_2016-09-29-tweedekamer-5.u145	Looking at the problems in the healthcare system, we say that the health insurance companies need not play a role in the future. At the moment, however, they do have that role. They used their knowledge and time during the summer, together with Per Recht and the Vereniging Nederlandse Gemeenten, to make that package of requirements for that portal. That was at the request of the Chamber. In the absence of the Secretary of State and the chain directors, they did so. They're creating blockades now. I say to the Secretary of State: embrace that package of demands, get on with it and do not raise thresholds where they are not. If they are there, then I am prepared, as Mrs Keijzer said, to overcome those bumps in legislative processes or other matters. We all do not want it to be resolved until 2020. And that's what the Secretary of State is aiming for. I think that takes advantage of due diligence criteria. Of course, it must be careful and decent to keep the data in the hands of commercial parties, the health insurers, but the Secretary of State must embrace the portal with the package of demands and give it speed.
ParlaMint-NL_2016-09-29-tweedekamer-5.u146	Can the portal be managed by health insurers? Or does Mrs Leijten just want them to be allowed to formulate the functional requirements and thus stop the role of health insurers?
ParlaMint-NL_2016-09-29-tweedekamer-5.u147	In my view, the proposal is not at all that the management should be the responsibility of the health insurers. If it were to end up there, it would be in the absence of this Secretary of State, so because he doesn't. I'd say don't let that situation happen. After all, if the health insurance companies start to manage this, they will also receive the data. I don't want them on that treasure of data. That was exactly my plea.
ParlaMint-NL_2016-09-29-tweedekamer-5.u148	Were you going to finish?
ParlaMint-NL_2016-09-29-tweedekamer-5.u149	Oh, no, not by a long shot, Mr. Chairman. We have been promised that compensation will be provided for those affected. I haven't seen anything yet. What has the Secretary of State been doing recently? I see that this year's budget has earmarked money for this, but not next year. Can I assume that everyone will be compensated in 2016? Budget holders are put away time and time again as fraudsters, while it appears that it is not possible to add an address field to an hour note. Fortunately, that has now been repaired, but can we stop doing so now and can the Secretary of State stop the SVB from throwing away budget holders as fraudsters? A lot has already been said about having to fill out 65 pages if you have a disabled son. So I can be brief, but what does the Secretary of State think of the Kafkaesque and humiliating system that has been created to show that you actually have a disabled son and that care is really needed, while nothing is being done to offer a solution to people who cannot declare? Is the Secretary of State prepared to come up with a solution, not just in 2020, but just now? If necessary, I'll table a motion for that. After all, I think it is unnecessary that 65 pages should be filled in. It's expensive, but like I said, it's mostly humiliating. Correct declarations show 95% payout. The SVB has informed us that 61% is not lawful. How about this? Does this mean that 95% of the remaining 39% will be paid on time? That could explain why so many complaints are still coming in. I had hoped that today we would have a debate with a solid VVD, which would actually demand that a solution be found today. But the monkey came out of the sleeve: the VVD waits until November to make a decision. I think that's too late. Then we will be pulled into a trap and a solution will only be found in 2020. That is why today, together with anyone who wants to do so, I will press for a solution today, so that we can reach 1 January 2018, because I cannot explain that such a big problem will not be solved within three years.
ParlaMint-NL_2016-09-29-tweedekamer-5.u150	I'm suspending the meeting.
ParlaMint-NL_2016-09-29-tweedekamer-5.u151	I call on the public gallery to remain silent. I would ask Members to take their place. I'd be happy to give the floor to the Secretary of State.
ParlaMint-NL_2016-09-29-tweedekamer-5.u152	Mr. Chairman. I would like to thank Members for their input. I think it would be good to outline at the beginning of the debate where I think we are now. There are two issues at the same time in the debate. On the one hand, there is the debate on the functioning of the current system and on what we are doing with the controls. A number of questions have been asked. On the other hand, we have been asked about the reports and the state of the future. In fact, we have already agreed on a debate on this, which will take place at the end of October, at the beginning of November. A number of Members have already mentioned this. First of all, I would like to outline where we are at the moment; I will of course come back to a number of specific questions. After the problems of early 2015, we have made it a step-by-step way to ensure that the existing system could at least do its job in terms of payments. There has been a step-by-step process of stabilisation. We've been looking at how to get the payment rhythms in order so they could be paid on time. Among other things, there has been use of a coulance scenario, so to speak, in which it was said: of course we control the things that matter.............................................................................................................................................................................................................. We are not doing any other formal administrative checks to ensure that this does not disrupt the payment rhythm. I think that has paid off. We can now see that payments are stable. There are no or hardly any more applications for the so-called "wealth channel," which remains intact. Of course, there are still problems, but as regards payments and the speed of payment, you can see in general that the speed of payment is in order, that almost 100% is paid within 30 days and 95% within 10 days, that there are no more emergency payments and that the accessibility of the Social Insurance Bank has come into order; the Chamber can see the figures on that last point in the letter I sent on this matter. We have come to the point where we intend to take the next step now, namely to carry out the formal administrative checks. At the time, we agreed with the Chamber that that time would come, but also that we would look at how this could be done in a responsible way. I shall come back to that in a moment. The second point is that we are looking at how to do it in the future. We've made a deal about that, too. A debate has been agreed on this. So we are working at the same time to make the system customer-friendly for budget holders in the future, for example by doing digital controls. The term "portal" is the term that has emerged. During the summer, we agreed in this Chamber that it would be a good thing if the budget holders themselves and Per Balance, in consultation with other parties, would formulate the functional requirements for such a portal from the client's point of view. For example, we would have a good basis for assessing later on whether the budget holder portal can work in this way. We have explicitly given Per Balance the lead in defining those functional requirements. I am pleased to say that this has indeed led to results. Thanks to Per Recht and the parties that have worked together, we have not only managed to formulate the functional requirements but also to establish them. I will, of course, inform the Chamber in October about what it means for the next step and how it will then be built. I expect to be able to present to the Chamber that plan, which I will go into in detail later on, at the end of October. We are now working very intensively with the parties to discuss how we are going to achieve it if we can do it with those functional requirements. It is good to say now that I am very pragmatic. I choose speed, provided it can be done carefully. At the moment, I am not so much interested in the question of who will manage it and how it will all turn out. If we now agree on the functional requirements and if we agree on the way in which it could be done quickly, let me say again: I will come back to this in detail later, and that seems to me to be the way forward. I will be able to present that plan to the Chamber in November. I have the ambition and I have the timetable. I can do all that in view of the forthcoming debate.
