ParlaMint-NL_2016-02-16-eerstekamer-5.u1	I would like to welcome the Minister for Social Affairs and Employment to the First Chamber.
ParlaMint-NL_2016-02-16-eerstekamer-5.u22	Mr. Chairman. We are discussing a bill here today that should have been prevented. The question is no longer whether it could have been prevented, because Morocco has made it impossible for the Netherlands to come up with a joint revision of the general treaty and the administrative agreement. The question for today is whether it can be prevented that, without achieving its own objective, the relationship between the Netherlands and Morocco will continue to be bad for a long time. It is true that, in his note on the report, the Minister stresses the links between the two countries, which have been 400 years old, but the text around them shows that there is little more than absolute hope that the withdrawal of the Treaty will not lead to a deterioration in relations. Can the Minister state to what extent Morocco's attitude gives rise to such a firm hope? The note shows that Morocco already in 2014 considered the intention to revise the treaty and agreement to be an unfriendly act of the Netherlands. Morocco's response to this has so far been said several times this afternoon, and the note itself shows that it has been a whole series of unfriendly acts and repeated refraining from friendly acts. One could say that this is understandable in response to what might be seen as a violation of the acquired rights of Moroccan citizens, but one can also say that on the Dutch side there was all the more reason to take account of a form of permanent opposition, given this interest. It is striking that in the note the Minister is somewhat vague about the extent and manner in which neighbouring countries with a large Moroccan community, particularly Belgium, France and the not mentioned Spain, have adjusted the amounts of family allowances for exports. The problem of Western Sahara did not play a role there? Has there been bilateral or European Union consultation or exchange of information and experience? Has it never been pointed out by neighbouring countries or by our own Foreign Minister, who was in Morocco in February 2015, or by our own diplomats, that Western Sahara has been included in the revision of the Convention and the Agreement? The D66 Group would like to be further informed by the Minister. Two things are clear from the Minister's replies in the note to the report. First of all, the termination of the Convention and the agreement does not produce much material results, certainly not in the light of the total Dutch social security budget. Is it correct, I would ask the Minister, that when the EU-Morocco Association Decision is introduced, almost all child benefit and child budget exports can continue to be stopped? Is it also true that, on the basis of the expected entry and exit of children who are entitled to child benefit, we will reach an annual amount of approximately the same amount of EUR 5 million? Is it not to be expected that fewer children will end up going or staying in Morocco when the right to family allowances for new cases is abolished? After all, the relative financial advantage of living and going to school in Morocco is no longer present. We are already talking about small numbers and low amounts, and that seems to be even more the case when we look at Western Sahara numerically. The Minister, as can be seen from the report's note, cannot say how many beneficiaries of family allowances live in that area. However, it is known that in Western Sahara there are seven people with an AOW benefit. That is less than 0.1% of the more than 12,000 AOW beneficiaries living in Morocco. At present, 3100 children in Morocco receive child benefit. It seems very unlikely that in the very sparsely populated Western Sahara, where only 1.5% of Morocco's inhabitants live and which is more than 1000 kilometres away from the area where most Moroccan Dutch people come from, more than one child is entitled to child benefit. Mutatistively, for beneficiaries of other social security benefits, it may also be assumed that they are at most a few individuals. This small numerical exercise is intended to make the dilemma for which the cabinet and this Chamber stand visible. In principle, it is right that, after long negotiations and a near agreement that has already been reached, political demands should not have been satisfied, which, if introduced at the start of the negotiations, should have been taken into account, let us say: in view of the history of Western Sahara, they could and should have been brought in by Morocco, which would have already caused a stalemate. The D66 Group therefore fully understands the intention to terminate the Treaty and the agreement. Nevertheless, it is clear that the preservation of one's own honour and the achievement of moral equality in all other respects is very little. The financial benefits are small and, in part, very temporary in nature. The already difficult cooperation with a country of which more than 1% of the population lives in the Netherlands, while, on the other hand, there is no comparable situation, is still under pressure. That is not in the interests of the Netherlands and the Moroccan Dutch. "The door of Dutch is open to debate," the Minister writes in his note to this Chamber. Does the Minister still see an opportunity to go out that door and see if the conversation can be reopened? If Morocco wants to show that it is allowing the interests of its own citizens to prevail over the interests of those few individual cases in Western Sahara, but above all the thousands of citizens associated with the Netherlands in Morocco itself, rather than sticking to a political demand which, by definition, cannot be accepted, and of course we know that, an amendment to the Treaty should still be possible. My group is sorry to read in the Minister's note that there would be no room for the suggestion that a pragmatic solution should be found in some cases. That conclusion is drawn very quickly and categorically. In the Netherlands, too, a regular postal address is allowed or even created in social security and care in order to provide people without permanent residence or residence with the help and resources they would be entitled to as ordinary established citizens. It is a very bureaucratic logic which allows the AOW to be paid to someone who lives in Western Sahara, but who forbids the payment of child benefit in the same area. I hope for a somewhat more generous reply from the Minister than the short-sighted rejection he has expressed in the note. It is true that, if Morocco and the Netherlands are both prepared to exercise less national pride than the importance of their own citizens and of good relations between them, a solution must be found to this problem which has been brought about again and again. However, that indeed requires an effort on both sides and perhaps it also requires a door-walking that is already open, as far as the Netherlands is concerned.
ParlaMint-NL_2016-02-16-eerstekamer-5.u23	I would like to refer to Mr Schnabel's comment on residence and fictitious residence. The example he mentions is not quite the same as what is happening in the Netherlands in those exceptional cases, because it takes place within the national borders.
ParlaMint-NL_2016-02-16-eerstekamer-5.u24	Of course.
ParlaMint-NL_2016-02-16-eerstekamer-5.u25	That's one. The second is that for tax purposes residences fake fraud. I wonder how Mr Schnabel's residence fiction - which people choose then a fictitious residence - could combine a place of residence in social security law with residence fiction in tax law.
ParlaMint-NL_2016-02-16-eerstekamer-5.u26	That's a technical question. I can't really say anything about tax law. I refer only to situations that we use in the Netherlands, and indeed this happens, for example, to people without permanent residence and residence. It has also happened in the past with people who needed addiction care, but did not have a permanent place to live or stay. For them fictions were created, of which everyone knows and which are also allowed, to ensure that those people can come to their right and certain. I cannot say anything about the tax aspects of this. What's going on should be figured out. I was particularly concerned that this suggestion in the note was dismissed very quickly and categorically as 'we cannot, we do not, we do not want to'. I thought that the exceptions we know in the Netherlands in this area should be able to give some room to think about whether you can find a pragmatic solution to this problem too. I don't want to say it deserves the beauty prize. I am trying to stress that this is a single case and that you should be able to find a solution.
ParlaMint-NL_2016-02-16-eerstekamer-5.u27	Of course, I understand very much that Mr Schnabel does not want to express himself taxly.
ParlaMint-NL_2016-02-16-eerstekamer-5.u28	I can't, either.
ParlaMint-NL_2016-02-16-eerstekamer-5.u29	No, but the comparison of people who live in the gutter at the bottom of society, with people who enjoy their pension in Morocco, possibly with children, does not seem to me to go one-on-one.
ParlaMint-NL_2016-02-16-eerstekamer-5.u30	Retirement wasn't included. The AOW was already out of it, because that's what those people get in Western Sahara. I am not concerned that the situation would be comparable in the social sense. I am concerned that in this situation a construction is being made in the interest of insurance. It is a question of creating the space to look for a very pragmatic solution for people who are actually entitled to something, but cannot realize that right through all kinds of hassle from the governments concerned. That is all you need to read, especially not the idea that it would be a situation that is completely comparable in the social sense.
ParlaMint-NL_2016-02-16-eerstekamer-5.u31	The thought of false constructions is compelling. I'd like to leave it at that.
ParlaMint-NL_2016-02-16-eerstekamer-5.u32	I have one more question for Mr Schnabel. In my view, he does reduce the debate to a case where two people disagree. It must have been up to both parties. He comes with notions like "get it right," "put aside national pride," or "we can figure it out." Doesn't Mr Schnabel think we've been at it long enough? We have been working for five years now, and the reconstruction in the note shows that this has already been recalled in this Chamber. How can Mr Schnabel arrive with notions such as 'national pride' or'self-parking equal', for the sake of a partner who has been completely unreliable and has absolutely not cooperated at all? I really cannot reconcile these notions with your story, Mr Schnabel.
ParlaMint-NL_2016-02-16-eerstekamer-5.u33	It's the notions that are in my story. Let me put it this way: I agree with you that, of course, it has gone on for far too long and that, of course, you will find that it has obviously been a very difficult situation from the outset, in which the other party did not want to cooperate. You described that yourself and others did so today. My plea is correct to say... Of course there is a feeling of hurting national pride. I thought I heard that very clearly in your story and with others as well. However, I am only looking at those involved and at the rights at stake. I think it would be a good gesture if the Minister were still able to say: let us discuss it again, and that may be done in private from me, in order not to sacrifice the interests of citizens on the Dutch side and the interests of citizens on the Moroccan side to something that is perhaps entirely our right, I am not going to fight about it at all. Let us bear in mind that, as parties, Morocco and the Netherlands, we will have to move forward with each other for a very long time, perhaps not for 400 years, but for a very long time. These two considerations led me to a pragmatic solution, in addition to a sense of principles which I believe many in this Chamber share with you and with me.
ParlaMint-NL_2016-02-16-eerstekamer-5.u34	I still have one more question. I understand your story, even if I don't share it. Then how do you assess the fact that in 2014, I believe there was a negotiating agreement in September or November, an agreement with Morocco, which was extremely favourable, with a very flexible transitional regime? Does that not contradict your words when you say that we could or should still be able to make an adjustment?
ParlaMint-NL_2016-02-16-eerstekamer-5.u35	I think that if you read my story again, you will see that in that respect I am also very clear in my assessment of what has happened and how to interpret it. I'm trying to get over that. I am trying to invite the Minister to look again at whether there is still room to be sure that we have done everything we could, in the interests of individuals, but also in the interests of the relationship between the two countries. That would be my answer to your question. I thought I made it clear in the introduction of my story what my opinion is on how Morocco has acted in these negotiations.
ParlaMint-NL_2016-02-16-eerstekamer-5.u36	One more comment. I think that we, as a country, have already done more in all reality, in a very business-like way, than would have been normal.
ParlaMint-NL_2016-02-16-eerstekamer-5.u37	I also asked the Minister to comment on how other countries managed to deal with this. You might be able to learn from that again. We need to see.
ParlaMint-NL_2016-02-16-eerstekamer-5.u38	Mr. Chairman. In the Lower House, the Minister explained in detail on 13 January 2016 that in September 2015 there was a deal with Morocco on an amended treaty. Unfortunately, in December 2015, Morocco made an additional demand that the Dutch government could not respond to. In consultation with the Lower House, the Minister indicated that he still prefers to amend the Treaty, in the interests of both countries. The door is still open and conversations are still going on. Despite this, we are in favour of approving the withdrawal of the agreement with Morocco. Perhaps Parliament's decision-making is part of the negotiating strategy, but what if the Minister comes to the shortest conclusion and at some point has to take action? Then the Netherlands sits with the following proverbial fried pears. In the Minister's letter of 3 June 2014, the Minister himself indicated that he considered the withdrawal of the Convention to be unwise, in particular because of the risks to the fight against fraud and enforcement. The termination of the control arrangements will nullify them and the property controls in Morocco, necessary to establish the right to assistance, will no longer be able to continue. In this case, there is a real risk that the number of cases of fraud will increase. Upon termination of the Convention, the possibility for medical examinations to be carried out by or in cooperation with the Moroccan authorities shall lapse. Medical checks can only be carried out by calling on customers to come to the Netherlands. The UWV pays travel and subsistence expenses for these beneficiaries. Calling to the Netherlands, however, is not always possible because of the lack of travel due to illness and there is no alternative. The insurance doctors of the UWV are not authorized to carry out medical examinations independently in Morocco. The expulsions of illegal foreigners to Morocco will no longer be possible. Since 14 October 2014, no laissez-passer has been issued at all by the Moroccan authorities. The Moroccan authorities already informed the Secretary of State on 9 December 2014 that the reason lies in the intention to terminate the Convention. The detention of illegal Moroccans would then be contrary to Article 59 of the Foreigner's Act, as there is no prospect of expulsion. Abandonment of the treaty can have an attractive effect on Moroccans with criminal intentions, because they know they can't be deported. Transfer of criminal proceedings on the basis of the legal aid agreement between Morocco and the Netherlands since 1 December 2012 will no longer take place. Information relevant to preventing terrorist attacks will no longer be provided. Morocco played an important role in clarifying the identity of the perpetrators of the attacks in Paris. Cooperation in criminal investigations and prosecution will deteriorate. The Netherlands and Morocco now jointly run the Global Counterterrorism Forum. Furthermore, the termination of the Convention will have an impact on trade relations. Morocco regards the termination of the treaty as an unfriendly act. In short, cooperation between the Netherlands and Morocco in the areas of civil law, criminal law, police duties, counter-terrorism, migration, defence cooperation, customs and fiscal cooperation, trade and development cooperation is under pressure. As I understand it, the amended treaty is off the table because Morocco has made an additional demand to include Western Sahara in this social security agreement. To what extent is the government worth taking the risks mentioned with the termination of the Convention? Could the Minister explain the impact of the coming of the new Association Decision between the EU, its Member States and Morocco on the decision to request Parliament's approval for the withdrawal of the agreement with Morocco? On this basis, most Dutch benefits, albeit not family allowances, are again subject to export obligations to Morocco. However, the possibilities offered by this Decision for monitoring the legality of benefits are much more limited than in the present Convention and Agreement. The draft association decision does allow the Netherlands to make new agreements with Morocco on the fight against fraud, but the association export obligation makes the Netherlands' negotiating position weaker from the outset than when the Treaty was amended in 2002 and 2003, as stated in the opinion of the Administrative Court of the Council of State. The SP Group would like to hear the Minister's response.
ParlaMint-NL_2016-02-16-eerstekamer-5.u39	Mr. Chairman. Today I call Mr Bas van der Vlies, who tabled a motion in 2009 with a clear and sober premise, namely that we should take into account the price level or cost level of the country of payment when exporting benefits. This principle, which, of course, has been the subject of discussion for a long time, but which was then laid down in a motion, was finally laid down in 2011 in the Homeland Law principle in social security. This very reasonable principle was rightly supported by Parliament. Now, however, it comes to implementation, especially now that the government actually wants to settle three issues: the end of the export of child benefit and child-related budget for children living outside the EU, the cessation of world coverage for temporary stay outside the EU under the Health Insurance Act and the implementation of the amended Schut-Welkenn/Dijkgraaf motion in the Lower House (26448, no. 515), in which the Government is asked to amend the Convention in such a way that it no longer precludes the application of the Land Law into social security. In recent years, it has been shown that the implementation of the first two measures requires adaptation of the Convention and the corresponding administrative agreement on social security with Morocco. The direct implementation of the principle of housing does not appear to be an option either, since the Central Board of Appeal has established that "the reduction of family allowances under the Housing Land Law for children living in Morocco is contrary to international law." In other words, the current treaty should not be changed. We have to respect that. Now, in the negotiations with Morocco, the government has sought to adapt the Convention so that, in addition to the cessation of child benefit, the child-related budget and the world's coverage, the principle of the country of residence can also be applied in all cases. Two routes are conceivable. The first is the adaptation of the existing Treaty. The Dutch Government has rightly tried to amend the treaty. It was a fine achievement by the Minister when he reached an agreement with Morocco. However, Morocco then came up with additional requirements, in particular with regard to the Western Sahara, as is well known disputed area. The Minister indicated that this would be contrary to national law and international law. Again, we have to respect that. It is quite clear to the Group of the European People's Party (Christian Democrats) and European Democrats that unreasonable demands must not be met and unlawful acts must be rejected. This means, however, that the Dutch Government must be consistent and that Morocco will have to bear the consequences of its own attitude. So only the second route remains: the termination of the current treaty. In fact, this concerns the implementation of the Schut-Welkenn/Dijkgraaf motion. This motion asked the government to come forward with a legislative proposal to terminate the agreement with Morocco if the negotiations did not lead to the desired result. The termination of the Convention will not lead to any new cases of export of benefits to Morocco in the future. This does not appear to have any consequences for those who are currently receiving benefits. Can the Minister confirm that again? Or are the existing benefits still subject to the principle of residence and, if so, what benefits are they? And what happens to families who are now covered by the export benefit scheme and who bring their children to the Netherlands after termination of the treaty, and then leave them to live in Morocco after some time? The SGP Group has taken note of the Minister's replies to the question of whether the withdrawal of the Treaty has implications for other policy areas. I'm just gonna name two now. The first one I mention, because we discovered a pun in it. It says: "We understand that a promised financing of a Morocco exhibition at the Royal Institute of the Tropics has been frozen." It didn't make the SGP hot or cold. Much more difficult is a second point, namely if cooperation in the field of forced return is made more difficult. Is it to be expected that this will lead to major problems and, if so, how does the government intend to respond to them? Meanwhile, the EU is also negotiating an association agreement with Morocco. The Dutch Government has also given a mandate for these negotiations. But what does this mandate mean? Is it just drawing at the cross? Or is the Convention still being submitted to the Member States? The reply shows that the mandate of the EU States for a draft Association Decision with Morocco was already issued in 2010. That was six years ago. Are there no issues in all EU Member States that require a review? In six years' time, there have been developments that could not be foreseen when issuing a mandate. Does the government still see the possibility of responding, possibly in consultation with the EU Member States which also take into account the standard of living of the country to which exports are being made, such as Belgium, Luxembourg, Germany and France? The members of the SGP await with interest the Minister's replies.
ParlaMint-NL_2016-02-16-eerstekamer-5.u40	Mr. Chairman. What a pleasure to see you once in the chair. All thanks to the EU. The PvdA Group regrets that the talks between Morocco and the Netherlands on treaty adjustment have been terminated and that, as far as we are concerned, the House must now deal with this bill. We get the feeling that something is about to go wrong here that shouldn't go wrong. As Mr Schnabel said, we are discussing a legislative proposal here today which should have been prevented. My group recognizes that times have changed with regard to exports of social security services. For this reason, we have in principle advocated the application of the country-of-home principle. However, in the specific case of Morocco, we have always warned that Article 5 of the bilateral agreement with Morocco precluded the application of this principle to social benefits to those entitled in Morocco. It was ultimately the judge who made this clear to the government in various legal proceedings. We have noted with great interest the substantive agreement reached by the governments of Morocco and the Netherlands in the autumn. We believe that this is a fair compromise that does justice to the interests of both countries in a balanced way and to the people who are involved. We appreciate the government's commitment to this. We were therefore disappointed to learn that this compromise, already bearing the signatures of our Minister and his Moroccan colleague, was stranded at the eleventh hour. It's only been eight weeks. However, with steam and boiling water, the government now intends to obtain approval for the planned termination of the entire treaty. Mid-January in the Lower House, already in the Upper Chamber. One-sided termination of a treaty relationship is a serious matter. Seriously for the government, which lets there be no misunderstanding about this with angelic patience and a great deal of commitment and tact in the person of Minister Asscher has tried to prevent this. Seriously affect the overall relations between Morocco and the Netherlands. Seriously also for Moroccan workers and their families, who have made an important contribution to the construction of our welfare state in the Netherlands. My group cannot escape the impression that this great haste, perhaps now also in some resentment of the fickle negotiating behaviour of the Moroccan authorities, threatens to deprive us of reasonable alternatives to the withdrawal of the treaty. Alternatives from which the Dutch message is still sent in an unmistakable manner. It is in this situation of such a high level of conflict between the two countries, all over the heads of Moroccan workers and their families, that the primary task of the First Chamber is to keep a cool head and to propose alternatives and to involve them in the deliberations. How? My group mentions three strategies. Read a cooling-off period and try to agree to give provisional application to the agreement between the two governments which has already been signed by the Ministers. The text of the Amending Protocol is, after all, fully ready, even if it is not attached to the documents for this legislative proposal. If Morocco is not prepared to agree on provisional application in the short term, unilateral suspension of the partial operation of the bilateral convention may be considered as an alternative to the termination of the entire convention. After all, the fact that both governments had agreed on a Amending Protocol means that the old 1972 Convention would remain as a framework Convention. The figure of the old treaty as a framework for amending protocols is regularly found in treaty practice. This also means, in the circumstances, that there has indeed been a dispute over the continued application of the current Convention. In the absence of specific provisions on suspension in the Convention between the Netherlands and Morocco, general treaty law, as laid down in the Vienna Convention, to which both countries are parties, applies. General Treaty law provides that both Contracting Parties have a duty to act in good faith, including during negotiations. They must also take into account, in their contractual relationship, substantial changes in circumstances, in this case in the social security systems currently in force in the Netherlands in respect of those which existed in 1972 at the time of the establishment of the Convention. Finally, another Contracting Party must not be put into an impossible position to implement the Convention. The latter seems to be the case for the Netherlands with the Moroccan requirement to extend the territorial scope of the Convention to Western Sahara. Unlike the government, we believe that unilateral, partial suspension of the Convention could be a justified alternative to total withdrawal of the Convention. With the government, and with many groups here, the members of the PvdA Group do not consider it unlikely that the termination of this treaty could have negative repercussions on the ongoing cooperation between Morocco and the Netherlands in various areas. Many of them have already been mentioned: the fight against fraud, the exchange of cadastral data, cooperation in the fight against terrorism, the fight against marriage coercion, etc. The question arises as to whether the financial benefits provided for by the termination of this social security agreement outweigh the expected disadvantages of a break in the broad cooperation between the two countries.
ParlaMint-NL_2016-02-16-eerstekamer-5.u41	Mr Schrijver's reasoning is that we could temporarily terminate the treaty or at least suspend it.
ParlaMint-NL_2016-02-16-eerstekamer-5.u42	Suspending is something other than canceling.
ParlaMint-NL_2016-02-16-eerstekamer-5.u43	I'm sorry. I just had to get back together. Mr Schrijver is actually in favour of suspending the Convention, but I understand that even if the Convention is terminated, there will be no change in the current cases. The suspension of the Convention could therefore only have consequences for new cases. You're going to apply a modified regime to that. Isn't that a bit of a miraculous reasoning?
ParlaMint-NL_2016-02-16-eerstekamer-5.u44	I don't think so. I would like to thank Mr Schalk for his question, which gives me the opportunity to briefly explain the difference between suspension and termination. In the event of termination, you terminate the operation of a treaty, albeit in this case in due course. In the case of suspension, you actually maintain the treaty, but you have the possibility of not applying certain parts of the treaty for the time being. If circumstances clear up, if there is still a view of a treaty change agreed by both parties, the suspended treaty may revive. You don't have to make a new treaty.
ParlaMint-NL_2016-02-16-eerstekamer-5.u45	I would like to thank Mr Schrijver for his explanation of suspension and withdrawal. I would have understood it myself as Mr Schrijver explains it, but in both cases, both in the event of suspension and termination, there are in my humble opinion no consequences for the current current cases. Or is Mr Schrijver's intention actually to introduce a much more stringent measure, namely to ensure that all benefits are suspended for the time being? That cannot have been his intention, listening to Mr Schrijver's speech.
ParlaMint-NL_2016-02-16-eerstekamer-5.u46	Mr Schalk understood that very well. That is certainly not my intention, which is why I was the first alternative to calling for a legal examination of the possibility of provisional application of the substantive agreement. We have that kind of thing all the time. I would point out, hopefully without the President looking at me angry, the provisional application of parts of the association agreement with Ukraine. This is a treaty that has not yet been ratified, but parts of it are applied provisionally with the agreement of both parties. In this way, you can also suspend certain parts of a treaty, if necessary unilaterally, under certain circumstances. I would remind you of the unilateral decision taken by the Dutch Government in response to the December murders in Suriname, not to suspend the operation of a part of the whole of the cooperation agreement with Suriname. This is justified by the fact that there had been a fundamental change in circumstances. You can see a treaty as a living instrument, which should also be able to follow the trend in social security systems. An agreement had already been reached on this, not just between diplomatic delegations, but at the highest level, between the two ministers. The text of the Amending Protocol was ready. The minister said in the Lower House: we have already signed it. These facts also seem to me to be a very fundamental circumstance. I would like, in another capacity, to be the country's attorney to this minister in order to be able to include that as a legitimate reason in these treaty negotiations.
ParlaMint-NL_2016-02-16-eerstekamer-5.u47	I understand Mr Schrijver then as follows: accept the agreement which eventually included a few signatures..........................................................................................................................................................................................................................
ParlaMint-NL_2016-02-16-eerstekamer-5.u48	I think it is in the spirit of that Amending Protocol to do what is in that Amending Protocol. That is therefore a gradual phasing-out. I do not have the details in my head; Mr Schalk asked the Minister. The protocol provides for a phased phasing-out, including for new cases.
ParlaMint-NL_2016-02-16-eerstekamer-5.u49	Mr Schrijver mentioned three principles of the Vienna Convention on the Law of Treaties, which apply cumulatively. The first principle is that you must implement a treaty in good faith as a party to the treaty. The second principle is that you have to take account of changes in national legislation, which would occur. The third principle is that you should not make impossible demands in a treaty. In view of the first principle, I wonder whether there is indeed good faith on the part of Morocco in this negotiation process. What is Mr Schrijver's opinion on this? In confesso, there is far-reaching change in legislation in the Netherlands. The impossible requirement concerning Western Sahara has also been fulfilled. So I have a constitutional problem with moving to suspension. Suspension is, as Mr Schrijver himself said, an action that you take unilaterally in a very exceptional situation. He mentioned Suriname, which is a very good example in this respect. However, this is preceded by a period of years of negotiations. Mr Asscher has really done more than what is required on the basis of good faith in the Vienna Convention, in order to reach agreement. I therefore find it somewhat remarkable to opt for an interim solution to this situation on a one-sided basis. In addition, there is the element of "other treaties." These are legal aid and other aid based on treaties existing between the Netherlands and Morocco. It seems strange to my group that Morocco's withdrawal of these treaties is not under discussion in this House at the moment. What is Mr Schrijver's reaction to this?
ParlaMint-NL_2016-02-16-eerstekamer-5.u50	My colleague mentions my proposals as remarkable, but remarkable situations also require remarkable solutions and creative thinking. That's what I've been trying to practice. You may indeed expect your treaty partner to act in good faith, even during negotiations. Of course, the same goes for you. I did not say that merely an amendment to the national legislation of one of the contracting parties could be sufficient reason not to comply with treaty obligations. On the contrary, the Vienna Convention expressly excludes this. National legislation adopted should never be a reason for failing to comply with commitments you have entered into under a treaty. Mr Van de Ven says that there has been a long negotiation. You can argue about what "long" is, but it's quite a period. However, it is a fact that a substantive agreement was reached. The loyalty of the treaty requires that you take that into account in the follow-up steps to be taken now. That is why I may have made a remarkable proposal, but remember that the substantive agreement was only eight weeks ago. Along three strategies, which are compatible, but which can each be a good alternative to the horse's means of withdrawal, I try to propose solutions.
ParlaMint-NL_2016-02-16-eerstekamer-5.u51	If I'm right, there's only one treaty with Morocco. We are abandoning this agreement with Morocco, because we want social security to be regulated differently in accordance with the legislation. This means that all other matters, including mutual assistance and withdrawal obligations, will also disappear. That is the nasty thing about the withdrawal of this treaty. Isn't that right?
ParlaMint-NL_2016-02-16-eerstekamer-5.u52	I fully agree with Mrs Oomen. That's why you can't see the treaty completely in isolation. It is one element, an important element, in the whole of treaty relations, even political relations between the two countries. That is why I also tried to make it clear to Mr Schalk that suspension is still an unfriendly act, but a little less unfriendly than total withdrawal.
ParlaMint-NL_2016-02-16-eerstekamer-5.u53	On 4 February, the Minister already responded to the PvdA's proposal to suspend. In the opinion of the Cabinet, there is no situation in which the conditions for a successful appeal to one of these provisions are met. In fact, therefore, it is stated that suspension is not possible. Can Mr Schrijver respond to that?
ParlaMint-NL_2016-02-16-eerstekamer-5.u54	I found it interesting to hear that view from the government in this letter. I also noted that not many sentences have been added. That is why I have moved forward to come back to this point. My group invites the government to come up with a firm position on why this is a thought that would not be legal at all. If there is any doubt about it, I invite the government to consider with our Chamber whether it is possible to find a way out of this very difficult impasse.
ParlaMint-NL_2016-02-16-eerstekamer-5.u55	Would you like to finish your speech?
ParlaMint-NL_2016-02-16-eerstekamer-5.u56	Yes. If that is not the case, I have a third and final strategy. It's actually in the treaty itself. That is the establishment of an arbitration committee. That is a bit of a heavy word perhaps, but that committee can then give a binding decision on a salomon judgment if you want to discuss the dispute over the application and interpretation of the Treaty. Once again, in answering our questions, the government makes it rather loosely clear that there is no dispute about the interpretation and application of the present Convention. However, that is only very much the question. I have already mentioned the content of the Amending Protocol and the two signatures. The government also states in the note following the report itself that a treaty is a living instrument that reflects the systems of both countries and that I quote 'bilateral social security treaties must be able to follow developments in the systems of the parties to the treaty'. It seems to us that in this country, in this city of peace and justice, we must also have some confidence in the legal methods of settling disputes. For this reason, we ask the government to reconsider the invocation and opportunity of this alternative option to settle the dispute as a provisional alternative to possible treaty termination.
ParlaMint-NL_2016-02-16-eerstekamer-5.u57	I would like to put a question to this constitutional expert, for whom I have great respect. Is it going to work when there is only an international political problem? The Dutch Government then says that it does not want the Western Sahara there because this leads to international treaty problems. Europe says it can. Morocco says that if you don't mention it and you do, she's for it too.
ParlaMint-NL_2016-02-16-eerstekamer-5.u58	That could be very good. Of course, an arbitration committee must first of all assess matters on their legal merits. But it is not for nothing that the term "ex aequo et bono" is often used very often: according to law and fairness. This makes it possible to involve the issues referred to by Mrs Oomen. I can be very brief about the association decision, because the previous speakers have shown this very well. All in all, it raises the question of what the material profit of treaty termination is. Are you sure this bill's soup is worth the cabbage? We think it's a horse medicine. It raises the question whether the relationship between Morocco and the Netherlands, no matter how old, does not suffer enormous damage. Is this wise, given our partnership with Morocco on many fronts, including the fight against terrorism? I would ask the government to reconsider this and to consider whether it is prepared to explore the alternatives we have outlined. Or does it want to continue in great haste what should actually be avoided?
ParlaMint-NL_2016-02-16-eerstekamer-5.u59	Thank you very much, Mr Schrijver. I would remind you that not the European Union, but our own Rules of Procedure determine who sits in the chair when. I suggest that we keep it that way, because then we will also be able to give a single speaker just a little more time than we have given. If we had Brussels to decide that, it would all become a little more problematic. I note that there are no more Members who wish to speak in the first term.
