ParlaMint-NL_2016-03-03-tweedekamer-8.u1	I would like to welcome the Foreign Minister.
ParlaMint-NL_2016-03-03-tweedekamer-8.u36	Mr. Chairman. I would like to thank the Minister for his reply. A number of points have been clarified, but it is not yet sufficiently tangible. The problem is, of course, bigger than Qatar; others have already talked about it. We believe that greater clarity and openness are needed. After all, we also have the right to know who is really on our side in the fight against terrorism and who is merely faking it. Qatar is accused of the latter in all literature on Qatar and terrorist financing. Qatar is playing a double game. That needs to be clarified. I would like to see the cabinet report annually to the Chamber on how the fight against terrorist financing is actually taking place worldwide, with the focus in particular on Gulf states. Let's at least start with Qatar. That's why I'm filing two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that Qatar is making little effort to implement the fight against terrorist financing and the enforcement of international sanctions against terrorist financing;]] [[calls on the Government, in Qatar, to ask for clarification of the country's actual commitment to concrete actors in terrorist financing, and to inform the Court thereof,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member De Roon. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29754-359]]
ParlaMint-NL_2016-03-03-tweedekamer-8.u37	I am going to try to help Mr De Roon with a little extra speaking time by asking why he is tabling this motion after we have just had this whole debate. The reason for the debate were individuals who were not arrested at the time or placed under house arrest, but were implied. The Minister has explained in detail today and has mentioned almost all these people individually. Mr De Roon may not think it enough that these people are sitting at home with an anklet, but at least there is progress. The motion calls on the Minister to inform the Chamber again. Then let's add something new, as I did with the December 2015 report. I don't understand this motion. If I ask my group to vote against it, it is because the whole debate has already provided for this.
ParlaMint-NL_2016-03-03-tweedekamer-8.u38	I heard two names from the Minister's mouth. Those two were indeed placed under house arrest, but how does that work? I want to see that. What are the plans? How's that going? That's what I did with this motion. There are also a lot of people who have been mentioned by the Minister, but not mentioned, of whom I do not really know exactly what is happening to them. I just want to be more clear about that. That is the thrust of the motion. Mr President, if I may, I will read out the second motion very quickly. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there is insufficient clarity as to whether and how international sanctions and rules against terrorist financing are maintained in Qatar;]] [[Whereas this could seriously impede the international approach to terrorism and should therefore be exposed to this problem;]] [[calls on the Government to report annually to the Chamber on the extent and manner in which sanctions and rules against terrorist financing are maintained by Qatar and on the concrete results achieved,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member De Roon. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29754-360]]
ParlaMint-NL_2016-03-03-tweedekamer-8.u39	Mr. Chairman. In my first term, I have argued in detail that the intelligence of the United States can play a role in combating the financing of terrorist organisations. The intelligence of the United States is always important to the Netherlands, for example for the safety of Dutch soldiers in foreign countries, but also for the crossing of conflict zones. We discussed this issue in detail earlier this week. So I would say to Mr Knops and to the Minister: put me in that list too. It's a good thing they spotted that. For my question, I don't need a motion. The Minister said that he does not know exactly what the relationship is between the intelligence and the registration of the Americans on the one hand, and the actions of the Qatari government against individuals or organisations in Qatar that finance terror on the other. I invite the Minister to take a look at this and to share the results with the Chamber in a letter.
ParlaMint-NL_2016-03-03-tweedekamer-8.u40	Mr. Chairman. I thank the Minister for the answers. The Qatar issue is not a question of relying on the blue eyes and sitting back. Nor does the Minister intend and does he intend to do so. I call on him to continue to show this attitude towards Qatar, as rumours and media reports still indicate that Qatar is indirectly or directly involved in funding. If there is the slightest reason, I call on the Minister to take action. I would like a commitment from the Minister on that point. I would like to thank the Minister for his commitment to follow the same line with Qatar as Saudi Arabia: if weapons and ammunition can be used for wars in the near region, for example in Yemen, or for arms supplies to radicalist groups, this will also have consequences for the way we deal with Qatar.
ParlaMint-NL_2016-03-03-tweedekamer-8.u41	Mr. Chairman. This debate has been waiting for a very long time. It turns out that this is a bit revengeful, because in the Minister's update we can see that action has indeed been taken. Many of the individuals involved in 2014 have meanwhile been placed under house arrest. This is not least due to the commitment that the Netherlands always makes. The Netherlands is one of the few countries to bring this about. This reminds me of how we operate in Saudi Arabia and Bahrain and how we are constantly one of the few European countries that dare to raise this issue in the Gulf States. However, this requires the House to take the next step towards the good work that the Netherlands may have done because of our pressure; the Minister was always complimentary in this respect. I have added that there is new information. We are getting a letter on this; I thank the Minister for that. This concerns in particular the security situation of our military in Mali. I would add in particular that Ahrar al-Sham should also be mentioned. That is an organisation which is being discussed in the context of the Geneva process, but which is not on the lists. I would advise against arms exports and investigations in this respect, because then the entire entrance of the Netherlands could be counterproductive for the good work that is apparently being done now in relation to Qatar, a state with a double face; that is.
ParlaMint-NL_2016-03-03-tweedekamer-8.u42	Mr. Chairman. My group and the D66 group also thank the Minister for answering the questions in the first term. I have, of course, also heard the motions that have just been tabled. I share it when people are wondering: why have we just listened to this whole speech? I ask the Minister not to inform the Chamber every year but as soon as necessary, i.e. regularly, on terrorism, on the financing of terrorism and on sanctions. I call for this to be included in existing letters and debates as much as possible, because we cannot separate the financing of terrorism from all the other elements we need in the fight against ISIS and other organisations. I'd like to leave it at that.
ParlaMint-NL_2016-03-03-tweedekamer-8.u43	Mr Ten Broeke, one question.
ParlaMint-NL_2016-03-03-tweedekamer-8.u44	I think it's a brilliant idea from my colleague Servaes. It seems to me that all the reasons for this funding must therefore be taken into account. It would be good to include the direct relationship with the intensity, the increased intensity of air strikes on oil installations and oil convoys, for example. I am sure that Mr Servaes will agree with me.
ParlaMint-NL_2016-03-03-tweedekamer-8.u45	It is no longer a National Complimentary Day, but let me return this compliment: Mr Ten Broeke is taking this extremely nicely. I do think it is right to include these other causes in this. Let me say, even if only for the Acts, that oilfields which serve only an economic purpose and a civilian purpose cannot be regarded primarily as military targets and that we can see the impact of bombing them. But on all matters that contribute economically or financially, I say: of course, it would be a good idea to include them in Parliamentary letters in full integrity.
ParlaMint-NL_2016-03-03-tweedekamer-8.u46	Mr. Chairman. I would like to take this opportunity to thank the Minister for answering the questions and for the insight and update he has given. My colleague Servaes has already mowed the grass at my feet. I had intended to ask for a regular update, to repeat these kinds of sessions regularly. I do not need to add anything else. I can imagine that this also meets Mr De Roon's motion, although it is not just about providing information about Qatar, but about showing the whole spectrum. It might even be a reason to withdraw that motion, but I would like to leave that to Mr De Roon.
ParlaMint-NL_2016-03-03-tweedekamer-8.u47	Madam President. I would like to thank the Chamber for the second-term questions. My response concerns in particular the motions tabled and one or two proposals. I shall begin with Mr De Roon's motion on item No. 359. I'll tell you what I'm gonna do. It notes that Qatar is making little effort to implement the fight against terrorist financing. I've indicated to him that I think that's an incorrect characterization. He asked me to ask the Government of Qatar for clarification on the actual deployment of that country. I have pointed out to Mr De Roon that I have done so and that I have reported on it. I am therefore a little surprised by this motion. Then I think: we are here writing letters, doing research and sending ambassadors out, and so we are doing a number of things that Mr De Roon considers important, and then he repeats exactly what he asked for a year and a half ago. This doesn't get us very far. I therefore advise against this motion.
ParlaMint-NL_2016-03-03-tweedekamer-8.u48	A brief question about the motion, Mr De Roon.
ParlaMint-NL_2016-03-03-tweedekamer-8.u49	Yes, Mr. Chairman. I am particularly concerned that we should not only get the picture from now on, but that it should also be completed in the future. People have been put under house arrest. What's going to happen next? They're gonna be out in three months, aren't they? I want that kind of information administered structurally, hopefully through this minister.
ParlaMint-NL_2016-03-03-tweedekamer-8.u50	So that's not gonna happen. I said that we report to the Chamber every year in a variety of ways. I said that the FATF is doing the same, precisely on the points raised by Mr De Roon, and that he is also making those findings public. The United Nations is reporting as well. The United States also reports annually. We report in the progress reports on the fight against ISIS and terror. I would like to point out once again that Mr De Roon's motion really does have a different thrust, namely...
ParlaMint-NL_2016-03-03-tweedekamer-8.u51	The motion in part No. 360.
ParlaMint-NL_2016-03-03-tweedekamer-8.u52	The motion in part No. 359.
ParlaMint-NL_2016-03-03-tweedekamer-8.u53	No, now the motion in part No. 360.
ParlaMint-NL_2016-03-03-tweedekamer-8.u54	The motion in part No. 360 I would also advise against. I believe that, for the same reason, there is no need for an annual report for Qatar, precisely because the progress report in the fight against ISIS, the regular reports we give on the fight against terrorism in front of the financial and economic point, the reporting to the FATF, the United Nations and the United States, do all that. Mr Van Roon can be satisfied with this or not and then say that we do or do not do enough. All this is legitimate, but at least we do not need what is requested in this motion. I would therefore advise against the motion. Furthermore, I promised that we were just here to discuss this important element in the fight against ISIS in the progress reports. In my view, this includes almost all the aspects raised by the members of the Labour Party's political groups and the VVD. As far as Mali is concerned, I have promised to look for the right form in order to give the Chamber the best information.
ParlaMint-NL_2016-03-03-tweedekamer-8.u55	Thank you. That concludes this debate. We will vote on the motions tabled next Tuesday.
