ParlaMint-NL_2016-12-06-eerstekamer-9.u1	I would like to welcome the Minister for Housing and National Service to the Upper House.
ParlaMint-NL_2016-12-06-eerstekamer-9.u40	We've recently been able to read an investigation from the RIGO. WoON also gave us figures. The waiting lists were examined and it turns out that most of the waiting lists, two thirds, are not hard. Those people are waiting to save time. However, there is a part that is hard and there is also a part that is urgent. The bill mentions those regular house seekers. Why now should those urgent housing seekers, who need a home in the short term in order not to get into trouble, give that to them themselves should be disadvantaged compared to those who are given priority urgency?
ParlaMint-NL_2016-12-06-eerstekamer-9.u41	They are not disadvantaged at all. Also in the current law and in the current housing regulations it is stipulated that people with a residence status are the people we are talking about here urgent, as are all the other urgent ones, who are in some municipalities. Under the current legislation, they do not take precedence over those other emergencies, but rather over others who are on the waiting list, like all the other urgent ones, who are technically homeless.
ParlaMint-NL_2016-12-06-eerstekamer-9.u42	That doesn't solve the problem. There are too few homes, there is too little housing; so you cannot simply say that all these urgent needs come because they are urgent. At some point, however, a choice will have to be made in a specific situation. You can only assign a property once at that lowest municipal level; then it is still: either one or the other urgent.
ParlaMint-NL_2016-12-06-eerstekamer-9.u43	Of course. Fortunately, despite the long waiting lists and the large shortage of social housing, there are fortunately a lot of others in all the municipalities besides all the urgent ones, including the licence holders. Of the properties allocated, 10% or 20% of the total amount of housing saved per municipality is allocated to this group. Fortunately, the other 80% to 90% goes to others. That's all under the current law. But Mr Schouwenaar is right: you can assign a house, at least the same house at the same time, but only once, so where one comes in, the other cannot yet enter. The problem is that, in terms of housing requirements, there are too few homes, at least in very large parts of the country. That problem remains, even if we adopt this law. I will come to that in a moment, but that problem does not change at all. The same applies to the allocation to licence holders, as has already been shown by the VNG's quotation. I shall come back to that in a moment. My first point was that, under the current law, there is an equal treatment between licence holders and other urgent housing seekers who are in the same position. Nevertheless, the VVD in its fight with the PVV for voters, with the motion-Van der Linde in the Lower House.................................................................................................................................................... However, as far as we are concerned, the obligation for municipalities to provide permit holders with accommodation quickly remains in this legislative proposal. That will therefore also be the case in the future situation, if this bill were to become law, in most cases the allocation of a special rental house. Since this has to be done quickly, it is a priority. In some cases alternative housing will be provided, now that this housing, supported by subsidies, is created on a limited scale. However, this will allow only a limited group of licence holders to be provided for housing. The allocation of licence holders to such alternative housing may also be possible if this group is included in the housing regulation as an emergency seeker; this can therefore also be done under the current law. Therefore, where alternative housing is provided, which can only partially solve the problem, the urgent seeker or the beneficiary may be referred to. Then there is still a large part that will simply have to be placed in a social home, as a matter of priority, even if this bill is passed. Materially, therefore, nothing changes, even if a municipality under the new law on licence holders is no longer appointed as an urgent group. According to the other article, this is the article that Mr Schouwenaar could just as well list; I believe that Article 14 (1) is so much that the licence holders still have priority, i.e. within six months, to place them in a social home. That's gonna stay. This also leads to the displacement of other people looking for their homes; this is inevitable. The amended draft law now before us there is therefore no more than symbolic legislation by the PvdA Group on the other side. It has no material effect on the placement of asylum-seekers in housing in the municipalities. It is therefore logical that both the municipalities concerned and the housing corporations concerned say that they do not need this legislative amendment. Shouldn't all the groups in this Chamber, all of which assess the legislation on its merits, actually share that conclusion? The Minister mentions as an advantage of the new law that municipalities will think more about alternative accommodation for licence holders, as the automatic urgency for this group in the allocation of a social housing unit lapses. That sounds like an illusion to me. The municipalities are now thinking about that too. What were you thinking? All the municipalities with too few social housing units, we are talking here about waiting lists, and we have a housing regulation which regulates priority. All these municipalities receive a large allocation of asylum recipients. They have the opportunity to look at questions like "can we build more?" and "maybe we can offer more alternative housing?', And they're already looking at it. Why should they think about it if this automatic priority disappears, at least this automatic appointment as an "urgent house seeker" if they haven't done so yet? Can the Minister state one rational argument for that? The reaction of the G30, or the G32, does not seem to indicate that at all. Those cities all say that for us, that's not gonna change anything. Where does the Minister come up with the idea that people will now think more often that there might be a need to build up, whether or not in the form of alternative housing? The municipalities do not seem to be encouraged to do so. They do not see this law as something with which they can actually change or improve the situation. They are therefore asking us massively to reject this bill. What would make sense to tackle the problem of growing waiting lists and the displacement of house seekers is a considerable increase in the social rental stock.
ParlaMint-NL_2016-12-06-eerstekamer-9.u44	It is logical that all problems will be reduced quickly if we could build more homes. But could Mr Köhler, also as an ex-alderman of a large city, reflect on the fact that municipalities are given more powers rather than less, also given the existing housing stock and the existing rules on alternative facilities for licence holders? Municipalities always advocate greater powers vis-à-vis the Empire, for municipal autonomy, especially with regard to local issues. How then is it that, as soon as they are allowed to decide to simply maintain this category, municipalities are asking us massively to do so? I wonder what's behind that. Does Mr Köhler have any idea?
ParlaMint-NL_2016-12-06-eerstekamer-9.u45	Yeah, I have an idea. I don't think that idea is very original either. Under the existing law, municipalities have to place a hundred licence holders, let me mention that number for convenience -- in their scarce housing stock. Next, there will be a new law which deletes in one article that they must put those people first, while another article states that they must move them quickly. Municipalities do not get any more freedom of policy because of this; they end up in a ghost fight. They may change their housing regulations, but they usually won't, because that's very impractical. But even if they do, it will not have any material effect, because even if that group is no longer referred to as urgent in the housing regulation, they must all place these 100 people as a priority, preferably within six months and at least within one year, in the same small or equally large housing stock. Municipalities are therefore no longer given any more political freedom. They also do not get any more opportunities to provide alternative housing, because they already have that possibility. It is already subject to a subsidy scheme and it is not improving either, but that is another issue. In addition to making better or even more use of alternative housing, which could solve only a very small part of the problem, this is a substantial increase in the social rental stock, but it has only been reduced by the policies of this government and its predecessors. In this situation, I think it is a mistake that the Minister accused the housing corporations last week of not building enough social housing, in a transparent attempt to blame his failing policy on another. Minister, if it's snowing, it's a good thing you're cleaning up your street, but you don't have to deposit the shit in front of the neighbors' door. Finally, I would like to comment on the possibilities for permit holders entering alternative forms of housing in the housing market. Sometimes it's temporary housing, sometimes it's independent living space, sometimes it's both. Residents of this type of housing must then seek permanent, preferably independent housing. In the written consultation on this draft law, the Minister says that these licence holders, like others who are looking for a suitable home, may be on the waiting list, but in some municipalities it may take another ten years to get their turn for independent housing. I would therefore ask the Minister whether this can be the intention as far as he is concerned. Are people supposed to spend ten years in this alternative housing? The problem of passing on to a regular home can become even worse now that the legislative proposal deletes the provision that licence holders should not be disadvantaged by those seeking housing with an economic or social connection to the municipality. What is the point in the legislative proposal? As always, the SP group is looking forward to the Minister's response.
ParlaMint-NL_2016-12-06-eerstekamer-9.u46	Mr. Chairman. It is a matter of urgency that asylum seekers with a residence permit, so-called status holders, have been given priority in the allocation of social housing for many years. This is a mandatory priority position vis-à-vis many other house seekers in this country. In practice, status holder is not only a residence status, but also a privileged status. In addition to the privilege of a social rental house, municipalities provide generous allowances for the furnishing of these properties, sometimes up to €10,000, such as the municipality of Oisterwijk. There are also examples of municipalities that assign homes to status holders that a normal Dutch tenant can only dream of. As an example, I mention the municipality of Waalre, which housed a Syrian family with six children in a capital villa with a WPA value of more than half a million euros. The generosity of this municipality was shamelessly abused by this status holder by setting up a hemp farm there. This came to light when the villa recently burned to the ground by this hemp farm. The municipality then also provided a replacement housing for this family. These examples are typical of the insanity of asylum suffered by the authorities in this country. This law, which removes the legally mandatory emergency provision for housing status holders, formally restricts the privileged status of asylum seekers. Formally, because it is the question to what extent this will be the case in practice. Local authorities can still include an emergency provision for status holders in their housing regulations. Many municipalities may still do so, as the legal remit for the housing of status holders imposed by the Empire remains unchanged. In fact, according to the Administrative Agreement increased asylum influx, the cabinet now intends to charge the costs to municipalities that do not soon enough, within 12 weeks, to the status holders assigned to this municipality by the draft Act Cost Story Housing Authorisation Holders. This is due to additional costs for the COA due to the longer stay in an asylum seekers' centre, which is now based on €1,850 per month per status holder. And this in addition to the possible placement measure of the province if the municipality fails to achieve the mission of the number of status holders to be established, which in practice means that the province rents a house for status holders at the expense of that municipality. By placing these measures as a sword of Damocles above the municipalities, there is a good chance that in practice many municipalities will still allocate homes to status holders with urgency. Does the Minister see this effect? While the cabinet now threatens to pass on the costs of the COA to municipalities, many municipalities are already burdened with high costs, caused by the same Administrative Agreement increased asylum influx. Last year, asylum seekers' centres had to be set up in virtually every municipality. The cabinet had instructed the King's Commissioners in their role as the ruler of the state to optimally facilitate the mass asylum invasion. With an unparalleled "wir purchase tie" mentality, many provinces have started to do so, so diligently that, now that the COA has abandoned some azc locations, there are municipalities with large costs. As an example, I mention the municipality of Deurne, where €134.000 had already been spent on preparation costs for a former monastery, costs that the municipality cannot recover from the COA. Local authorities are also faced with other related costs of housing status holders, such as assistance, care and integration costs. Ultimately, these costs are for the tax-paying citizen, who does not have a privileged status. The aim of the present law is to remove the mandatory priority position for status holders in order to broaden the housing allocation possibilities of municipalities. However, these opportunities are not endless either, let alone to justify them to other house-seekers and taxpayers.
ParlaMint-NL_2016-12-06-eerstekamer-9.u47	If I understand Mr Van Hattem correctly, he is opposed to all the regulations that encourage asylum recipients from the asylum centre to move to places of residence in any municipality. If he is consistent, does he share the view that the asylum-seekers should all remain in the asylum-seekers' centres, even after they have been granted a residence permit?
ParlaMint-NL_2016-12-06-eerstekamer-9.u48	The best solution is reception in the region and not in the Netherlands.
ParlaMint-NL_2016-12-06-eerstekamer-9.u49	My question was not about that, Mr Van Hattem knows that.
ParlaMint-NL_2016-12-06-eerstekamer-9.u50	But that's my solution.
ParlaMint-NL_2016-12-06-eerstekamer-9.u51	Regardless of whether the Netherlands is closing the borders...
ParlaMint-NL_2016-12-06-eerstekamer-9.u52	That's what we should do.
ParlaMint-NL_2016-12-06-eerstekamer-9.u53	... and whether this could be done, there are now a number of asylum seekers in the Netherlands. They're in asylum-seekers' centres. Some of them are recognised as refugees and receive asylum and a temporary residence permit. Those people need to be housed somewhere. Mr Van Hattem is against all arrangements to house those people somewhere. Then the consequence of Mr Van Hattem's position is that they should be in those asylum seekers' centres at the cost of taxpayers of €1,850 a month.
ParlaMint-NL_2016-12-06-eerstekamer-9.u54	It's very clear. We opt for shelter in our own region. I shall come back to this later in my speech. A lot of people who come to the Netherlands come through illegal routes. That is one reason why we do not want and want to receive so many people here.
ParlaMint-NL_2016-12-06-eerstekamer-9.u55	This debate is not about people who are not entitled to asylum, but about people who are entitled to asylum and who are already in the Netherlands and about how we house them. That is what this legislative amendment is about, and that is what my questions to Mr Van Hattem are about. He apparently refuses to acknowledge that, if you do not find a single facility for this, the only possible consequence is that people stay in those asylum seekers' centres, something that costs the Dutch taxpayer a great deal more than to house them somewhere.
ParlaMint-NL_2016-12-06-eerstekamer-9.u56	I conclude that the SP is more concerned about the housing of those so-called asylum seekers than about the housing of our Dutch citizens. Now that building new rentals takes a lot of time, money and effort, some municipalities are purchasing existing homes. The municipality of Bladel, for example, receives an additional 3 million euros. Earlier this year, this municipality bought ten homes for status holders for 1.8 million euros in order to fulfil its mission. The policy of open borders quickly brings financial borders into sight. As long as we don't close the borders, it's mopping with the tap open. Because what else do the municipalities get for the choices? Yesterday it was announced that in November a record number of 5,000 status holders was allocated a residence. In one month alone, then. At that rate we reach 60,000 people on an annual basis, a complete city that needs to be housed. How does the Minister think the Netherlands can sustain this? Is he convinced that with the so-called expanded possibilities, the priority position of status holders disappears in practice and that Dutch tenants are not being replaced on the housing market and are faced with longer and longer waiting lists? I'd like a response. And then there are followers, the family members of status holders who come to the Netherlands through family reunification. This week, the NRC wrote that at least 20,000 Syrians from Turkey and Lebanon will be coming to the Netherlands in the coming months, following asylum seekers who have often come to the Netherlands via illegal routes, via Turkey, Greece and the Balkans, thus already leaving behind many safe countries, often women and children. These fortune seekers are not primarily looking for security, but for our prosperity. Does the Minister consider it justified that houses should be made available to them on a massive scale? I'd like a response. Quite maddening is that some of these asylum seekers complain when they have to live under one roof with multiple status holders. Last July, the Eritrean Hissen and the Syrian Mazin complained in the Volkskrant that they did not have an independent home, but a house they had to share with six. The attached photo showed a capital detached house, with large garden, on the green village edge of Veldhoven. That building used to accommodate disabled children. It is a property with a status that is not reserved for many Dutch house-seekers, nor for neighbours of asylum seekers, who are often extremely troubled and whose complaints are not taken seriously. For example in Ter Apel, where the neighbors of the azc can no longer leave string hanging from the mailbox. Not so long ago, in the reconstruction years, in the time when, according to Jan Terlouw, the strings were still hanging from the mailbox, many Dutch families lived under one roof in relatively small houses. Young couples had to marry parents or in-laws. Often Grandpa or Grandpa lived in and sometimes also a guest. And for asylum seekers, would this be too much to ask? The generations that the Netherlands built then, and their children and grandchildren, are now once again faced with years of waiting lists and priceless private-sector rentals. For them, the PVV says: enough is enough. For them, we're going to take back the Netherlands. Stopping the priority position of asylum seekers for rental homes is only a small but necessary step. Therefore, the PVV will vote for this bill.
