ParlaMint-NL_2016-02-09-tweedekamer-29.u1	I see Mrs Leijten at the interrupting microphone.
ParlaMint-NL_2016-02-09-tweedekamer-29.u28	Mr. Chairman. Today we have the second deadline on the bill to set the personal budget for nursing and care in the Health Insurance Act. The PvdA thinks that with the pgb people can organize their own care in a beautiful way. The PvdA therefore wants the pgb to be laid down in the Health Insurance Act. Three questions are central to the PvdA. How do we ensure good access to pgb in the Health Insurance Act? Is the level of the budget sufficient? Can you buy care with the available budget? How do we ensure that there is sufficient flexibility? In the first period, there has been a strong debate on the first point: good access to the pgb. In this second period, therefore, I shall confine myself to that subject. You can now see great differences in the way health insurers award or reject pgbs. If someone explains why that pgb is so important, it is simply granted by one health insurance company, but the other health insurance company is very reluctant and rejects almost any request, even from people who have been organising their care with a pgb to their full satisfaction for years. The PvdA considers it important that there is no difference in access to the pgb between health insurers and that the pgb criteria in the different health care laws are as similar as possible. There is thus legal certainty for the insured person. So we want uniformity and legal certainty. You should not first compare policies on access to the pgb with different insurers. I am pleased that the Secretary of State also indicated this in his first reply. For the PvdA, it is important that this uniformity and legal certainty are regulated. Last week I indicated that this is allowed in the law, or in a General Measure of Management. Several Members of Parliament have also said that it is a matter of getting it right. I am pleased that we have managed to reach an agreement between the coalition partners on this matter. We note that the access criteria for the Zvw-pgb are set out in a General Measure of Governance. This creates the desired uniformity and legal certainty. For the PvdA it is important that the Chamber can send along. That AMvB must pass the Chamber first.
ParlaMint-NL_2016-02-09-tweedekamer-29.u29	Only five days ago, the Labour Party and GroenLinks agreed that you should regulate this in exactly the same way in the three health legislations, namely in the law itself. What's changed now?
ParlaMint-NL_2016-02-09-tweedekamer-29.u30	I think we had a debate last week in which several people in this Chamber said that they wanted to ensure legal certainty for people and remove the differences between the laws, either left or right, whether in an AMvB or in a law. I signed with Mr Van der Staaij an opportunity for an AMvB. In that sense, the difference between last week and this week is that we agree, not only in the coalition but also in the Chamber. I think that's a win.
ParlaMint-NL_2016-02-09-tweedekamer-29.u31	That's not true. Mr Van Dijk pretends that he said last week that this could be regulated by law. No, he said this should be handled strictly and in front. That's what he said here. Now he says it's okay in an AMvB. I'm having trouble with that. These are people who need care and who also counted on the PvdA. Mr Van Dijk is now dropping it.
ParlaMint-NL_2016-02-09-tweedekamer-29.u32	I did say last week that it needs to be taken care of. But several of us in this Chamber... I wasn't the only one who said we should settle it, whether by law or in an AMvB. It wasn't about "an AMvB"; no, it's about an AMvB that needs to be there. It's about people having that security in advance. Legal certainty and uniformity are the two anchor points that I stand for and which I believe we all stand for in this Chamber.
ParlaMint-NL_2016-02-09-tweedekamer-29.u33	Let's look into what the PvdA stands for. The PvdA says that legal certainty is important for people. I have just tabled a sub-amendment with Mrs Dik-Faber to obtain the General Measure of Management by 1 July. Does the PvdA support this sub-amendment?
ParlaMint-NL_2016-02-09-tweedekamer-29.u34	You mean the amendment that requires an AMvB?
ParlaMint-NL_2016-02-09-tweedekamer-29.u35	That the AMvB should be there by July 1st.
ParlaMint-NL_2016-02-09-tweedekamer-29.u36	It seems logical to me that this AMvB will of course be there before the law enters into force. If that's before July 1st, it's before July 1st.
ParlaMint-NL_2016-02-09-tweedekamer-29.u37	At least we have support for the sub-amendment. That's good news, because then we'll have at least before 1 July...
ParlaMint-NL_2016-02-09-tweedekamer-29.u38	Well, or so much sooner than the law comes into force.
ParlaMint-NL_2016-02-09-tweedekamer-29.u39	Then we have a General Measure of Governance. However, I think it is important to make a distinction. Two weeks ago, we had the opportunity for a majority in parliament to get access criteria in the law. Why did the PvdA choose to include it in a vague General Measure of Governance? I don't understand. We do it in the Wlz, the Wmo and the Youth Act, but not in the Health Insurance Act. What's the reason the PvdA started running?
ParlaMint-NL_2016-02-09-tweedekamer-29.u40	In my opinion, we do not want it in a vague AMvB, but we want to ensure that there are criteria that people have a grip on, so that they have legal certainty and know where they stand. Whether that is regulated in a law or in a General Measure of Governance, I think there were several people last week who said that it doesn't matter as much as it does, as long as it is properly arranged. I am glad that we were finally able to settle this in this Chamber together and that the VVD, D66, the PvdA and eventually everyone says that we are going to take care of it.
ParlaMint-NL_2016-02-09-tweedekamer-29.u41	I hear Mr Van Dijk say: we have to regulate access to the pgb right or left. He gives the possibility of having kept open or that is done in the law or through a General Measure of Management, but until 19.45 hours there was just another amendment from Mr Van Dijk and Mrs Voortman which would regulate it in the law. That amendment has now been amended; the name of the Labour Party under that amendment has disappeared. That says something about the preference that the Labour Party really stood for. Otherwise it wouldn't have to be left or right, but would it be: let's settle it with each other in the law?
ParlaMint-NL_2016-02-09-tweedekamer-29.u42	For the Labour Party it is: let's settle it with each other. We had that intention last week, and we share it with each other. We did.
ParlaMint-NL_2016-02-09-tweedekamer-29.u43	100 people from this Chamber had voted in favour of Mrs Voortman's amendment and Mr Van Dijk's amendment to regulate it in the law. Mr Van Dijk has not grasped this opportunity and is now presenting another amendment, of which we have yet to see what the access criteria look like. There is no reference to criteria from the Wlz, which Mr Van Dijk considered to be so valuable last week and which were also included in the amendment he tabled with GroenLinks. So my question remains: why this change? This is just a huge turn of the Labour Party, isn't it?
ParlaMint-NL_2016-02-09-tweedekamer-29.u44	No. Last week we shared that it is important to align the criteria between the different laws as much as possible. This is also stated in the explanatory statement to the amendment, namely 'as laid down in other health legislation'. I can keep repeating it, but whether we arrange it to the left or to the right: the Chamber has stated that we want to regulate that access as best we can, and we do so with a General Measure of Management. The Chamber agrees and we are going to do so in this way.
ParlaMint-NL_2016-02-09-tweedekamer-29.u45	This amendment is really nada, niente, nothing at the moment. I would like Mr Van Dijk to be more honest about that. He looks like a vacuum cleaner salesman now. Why do I say that? Paragraph 4 states: "Rules may be laid down in the case of or by general measure of governance" on access criteria. "Can" still means you don't have to. If Mr Van Dijk really believes that he really wants to make a difference, he adapts the fourth paragraph and no longer stands "can" but "be." Then Mr Van Dijk changes something and maybe we'll get a mini-mini-mini-step further. But now it's nothing.
ParlaMint-NL_2016-02-09-tweedekamer-29.u46	What Mrs. Bruins Slot says is wrong. If it refers to paragraph 3 of the amendment, it says: "In the case of or by general measure of governance, rules are laid down on the conditions imposed on the insured person or his representative." Those provisions are also governed by other health care laws.
ParlaMint-NL_2016-02-09-tweedekamer-29.u47	That was not my question, because it was about the fourth paragraph. We have discussed it very extensively here that we want to get rid of the fact that the health insurance companies abuse the planning of care in order not to give people a personal budget. That important criterion of planning is set out in paragraph 4. The fourth paragraph speaks of "may." So there is no AMvB to be made about that. If Mr Van Dijk takes it seriously and really wants us to change something, then he makes the fourth paragraph a "become" clause, so that there will be an AMvB and something really will be dealt with by the Secretary of State.
ParlaMint-NL_2016-02-09-tweedekamer-29.u48	For the Labour Party it is central that the access criteria should be uniform and health insurers cannot set their own criteria for access to the pgb. This is dealt with by the amendment as it has now been tabled. In addition, there will be a monitor in April. We can take that with us in the AMvB, if we need to.
ParlaMint-NL_2016-02-09-tweedekamer-29.u49	In my view, we are now adopting unanimous exclusion criteria based on the characteristics of the budget holder or his representative. But precisely on the points of concern, Mr Van Dijk left the firm position he had taken last week. I have a question about that. Last week, the Labour Party, together with GroenLinks, proposed that admission criteria should be laid down in the law. Now, a week later, there will be an amendment which says: we will do so only when it becomes apparent that it is necessary. Last week, therefore, the Labour Party felt that it was necessary and now it is said that it is necessary. What has happened in the meantime and Mr Van Dijk is no longer convinced that it is necessary?
ParlaMint-NL_2016-02-09-tweedekamer-29.u50	The difference between last week's amendment and this week's amendment is that the criteria set out in paragraph 3 of the amendment, namely whether you are able to manage the pgb, should not be incorporated into the law but into a General Measure of Management. That's what it says here. So last week's amendment was not about those elements. This is regulated and at the same time we ensure that health insurers cannot impose additional requirements in this respect.
ParlaMint-NL_2016-02-09-tweedekamer-29.u51	I know Mr Van Dijk as a more honest politician. He talks about the third member all the time. The pain is, however, in the fourth paragraph. That's what Mrs. Bruins Slot just said. That's what Mrs. Voortman said. Mrs. Dik-Faber asked about that. Every time there's no answer. If a Member of Parliament has to withdraw his signature under an amendment to the law, it is very painful. So I understand that it's not nice to explain, but I'd like to know what happened. Why did Mr Van Dijk last week think that he also proposed that the eligibility criteria should be incorporated into the law, and why is that no longer necessary? It is clear in the explanatory statement that action can be taken if it proves necessary. When did the PvdA, Mr Van Dijk, realize that it is not necessary now? What happened?
ParlaMint-NL_2016-02-09-tweedekamer-29.u52	What is now in the fourth paragraph was in the third member of the government last week. That hasn't changed. These care-related criteria could already be drawn up on the basis of a General Measure of Management. What this amendment regulates is that these personalised criteria should not be included in the law, but should be established in a General Measure of Governance. That other possibility already existed. This is what's being arranged now.
ParlaMint-NL_2016-02-09-tweedekamer-29.u53	I note that we have all tried to ask what exactly has changed and what insights have led the Labour Party to remove the signature under the amendment that she has tabled together with Mrs Voortman. We can't get an answer to that.
ParlaMint-NL_2016-02-09-tweedekamer-29.u54	I will not go into the fourth paragraph further. This has already been mentioned by colleagues. Indeed, that is very similar to what is already stated in the legislative text, alone, in my opinion, the phrase under a, namely "the content of the care for which a Zvw-pgb is provided" is added new to the legal text. But the third paragraph, on these access criteria, has now been made mandatory instead of optional. That is indeed the real difference with the legislative proposal, which is very similar to the amendment I tabled together with Mr Voortman. Is there still a difference?
ParlaMint-NL_2016-02-09-tweedekamer-29.u55	That is a rather sharp observation by Mr Van der Staaij. It is very similar to the amendment tabled by Mr Van der Staaij with Mrs Voortman, which lays down that the criteria at AMvB are mandatory in order to prevent health insurers from giving their own interpretation. That is also settled in this case. We shared that with each other last week. Whether it's in the AMvB or in the law, we just want access to be properly arranged. That is what this amendment aims to do and what Mr van der Staaij is trying to do with his amendment.
ParlaMint-NL_2016-02-09-tweedekamer-29.u56	Since you now come up with your own wording, I have the following question. Is the wording now chosen in the Potters/Otwin van Dijk amendment sufficient guarantee that insurers will not be able to restrict access further? The wording of Mrs Voortman's and myself's amendment states that the conditions must be defined at AMvB. So that's a little more exhaustive. The amendment tabled by Mr Potters and Mr Otwin van Dijk states that rules are laid down on the conditions; that sounds a little more open. I would like to believe Mr Van Dijk, but I would like to see and confirm that it is not the intention that health insurers should be able to further restrict access with their own additional conditions.
ParlaMint-NL_2016-02-09-tweedekamer-29.u57	Here's to it.
ParlaMint-NL_2016-02-09-tweedekamer-29.u58	So does Mr Van Dijk also agree with the thrust of the motion tabled on that point, which Mrs Bruins Slot is the first signatory, that the AMvB should provide maximum legal certainty in terms of access criteria and that there should not be a practice whereby health insurers can restrict access further?
ParlaMint-NL_2016-02-09-tweedekamer-29.u59	Sure. In the explanatory statement to his own amendment, Mr Van der Staaij also notes that, although insurers may impose conditions in their regulations, they are, for example, about the administrative procedure, such as how to submit an application or a declaration. In this respect, health insurers can of course use their rules, but when it comes to accessing the pgb, I think we agree with each other.
ParlaMint-NL_2016-02-09-tweedekamer-29.u60	Mrs Voortman, you have already interrupted on this point.
ParlaMint-NL_2016-02-09-tweedekamer-29.u61	No, I have not yet interrupted the amendment tabled by Mr Van der Staaij and myself.
ParlaMint-NL_2016-02-09-tweedekamer-29.u62	Then it's okay.
ParlaMint-NL_2016-02-09-tweedekamer-29.u63	There are indeed similarities in that. I saw the amendment as a minimum variation. At what point does the Van der Staaij/Voortman amendment go too far for Mr Van Dijk?
ParlaMint-NL_2016-02-09-tweedekamer-29.u64	It's very similar. In this sense, I would have expected a little more enthusiasm about the amendment, but it also regulates the provision of a back-up clause, which will influence the Chamber on what is then dealt with in that AMvB. On this point, Mr Potters' and myself's amendment departs from what Mrs Voortman and Mr Van der Staaij are proposing.
ParlaMint-NL_2016-02-09-tweedekamer-29.u65	Right. So the point that Mr Van der Staaij and I point out that the Chamber should be able to influence the implementation of the AMvB, so that we can ensure that it is properly arranged for the Pgb holders, the PvdA does not consider it necessary. Also at this point the PvdA drops the pgb-holders.
ParlaMint-NL_2016-02-09-tweedekamer-29.u66	No, definitely not. It's the other way around. The amendment tabled by Mr Van der Staaij and Mrs Voortman does not contain a provision, whereas the amendment I tabled with Mr Potters does have such a provision, because we consider it important that the Chamber should be able to discuss the content of that amendment.
ParlaMint-NL_2016-02-09-tweedekamer-29.u67	Mrs Voortman, you may clarify your question.
ParlaMint-NL_2016-02-09-tweedekamer-29.u68	Mr Van Dijk did not answer my question because I asked what point Mr Van der Staaij's amendment goes too far. Our amendment is far more far-reaching than Mr Van Dijk's and Mr Potters' amendments. At what point does it go too far? Otherwise, they might as well have signed our amendment.
ParlaMint-NL_2016-02-09-tweedekamer-29.u69	This amendment regulates a number of issues, such as access to the pgb and the front. The observation made by Mr Van der Staaij and Mrs Voortman is true: it is very similar. But we're just taking care of a few other things, like the front.
ParlaMint-NL_2016-02-09-tweedekamer-29.u70	I will go to the third paragraph of the amendment. There seems to be an AMvB with the access criteria. Last week, the Labour Party said in the debate: we find the access criteria in the Wlz very appealing; they are good criteria that deserve to be taken one-on-one into the Health Insurance Act, so that there is a bit of clarity. Why aren't these criteria literally listed here? Why are they described in a single sentence? Why aren't they taken one-on-one from the Wlz?
ParlaMint-NL_2016-02-09-tweedekamer-29.u71	That is a bit of a semantic discussion, because the explanatory statement says: "as is stipulated in other healthcare laws." The criteria in the Wlz are very similar to those in the Youth Act and they are very similar to those in the Wmo. That set of criteria, for example, whether you can manage a pgb, whether it is effective, whether it is qualitatively justified, or if you can direct healthcare providers, is the aim of this amendment.
ParlaMint-NL_2016-02-09-tweedekamer-29.u72	I challenge the Labour Party and the VVD to make more explicit reference to the criteria in the Wlz, precisely because of Mr Van Dijk's plea for good access criteria last week. To be honest, I find it rather uncommittal as it stands in this amendment. We still have to wait and see what will come to us in that AMvB.
ParlaMint-NL_2016-02-09-tweedekamer-29.u73	Mr Van Dijk, please continue with your speech.
ParlaMint-NL_2016-02-09-tweedekamer-29.u74	No matter how well you manage access, there can always be conflicts between a budget holder and an insurer. If you do not agree with your health insurance provider's decision about your pgb, you can go to the SKGZ or the Zorgombudsman. However, this procedure can take a very long time, sometimes up to nine months. That's a long time. That procedure needs to be speeded up so that you have more clarity about whether your pgb has been rightly or wrongly rejected. The Secretary of State sent a letter to the Chamber the day before yesterday stating that the lead times are likely to be faster and that he is considering a special route for pgb holders. However, it is not yet clear what this route will look like. Can the Secretary of State indicate when he can inform the Chamber, for example within a month or within two months, about the development of the pgb-route at the SKGZ and the Zorgombudsman? I'm gonna finish up. The PvdA is pleased that with the inclusion of pgb in the Health Insurance Act, the pgb is finally laid down in all health care laws. That's a good time. This allows people to control their own lives and care. As a person with a disability, parent of a seriously ill child or older child, you can simply live the life you want, and that's how it's supposed to be.
ParlaMint-NL_2016-02-09-tweedekamer-29.u75	It was supposed to be a nice party, including the pgb in the Health Insurance Act, but it didn't turn out to be. I have one more question for you to understand clearly the PvdA's ideas. We've arranged access criteria in the Wlz, the Wmo and the Youth Act. They're just in there. Why don't we do that now in the Health Insurance Act? We have a year's experience. Why does the PvdA want to wait for a monitor when we already have that experience?
ParlaMint-NL_2016-02-09-tweedekamer-29.u76	We're not waiting for a monitor. In an AMvB, which needs to be established, we define the access criteria for the Zvw-pgb. We're not gonna wait for a monitor. There will be an AMvB and these criteria, which are also laid down in those other laws, will be laid down.
ParlaMint-NL_2016-02-09-tweedekamer-29.u77	Mr Van Dijk does not answer my question. My question is why we immediately arranged it in the Wmo, the Youth Act and the Wlz and why we do not immediately arrange it in the Health Insurance Act. I don't understand the difference.
ParlaMint-NL_2016-02-09-tweedekamer-29.u78	I note that the same questions are repeated, and the same answer.
ParlaMint-NL_2016-02-09-tweedekamer-29.u79	I'd like to repeat it one more time. I think we talked about that last week. Several of us have said: whether in an AMvB or in a law, we just want it to be arranged. That's what we do.
ParlaMint-NL_2016-02-09-tweedekamer-29.u80	I hear Mr Van Dijk saying he's not waiting for the monitor. He must then amend the explanatory statement on the amendment. It says literally: "The conditions of the content of the care for which the insured person is eligible for a Zvw-pgb may be laid down by or under general administrative measure, if findings of the Dutch Healthcare Authority and the monitor, the first of which will be available in spring 2016, show that this is necessary." That's what the amendment says. Mr Van Dijk says here: we are not waiting for the monitor. What are we gonna do now?
ParlaMint-NL_2016-02-09-tweedekamer-29.u81	Apart from the monitor, which sees on the health-related criteria, we have the personal criteria, which are also contained in the other laws. The Long-Term Care Act, the Youth Act and the Wmo do not contain any health-related criteria. It contains personal criteria. Those personal criteria will be in the AMvB anyway. Besides, we have the monitor.
ParlaMint-NL_2016-02-09-tweedekamer-29.u82	Mr Van Dijk is turning away again. He just said to Mrs Bergkamp: we don't wait for the monitor, we come directly with an AMvB. The amendment says: we are waiting for a monitor. If we really want to make progress, Mr Van Dijk will now amend the amendment. Then we come directly with an AMvB and we don't wait for a monitor.
ParlaMint-NL_2016-02-09-tweedekamer-29.u83	We are coming up with an AMvB in which the criteria "as stated in the explanatory statement of the amendment "as stated in other laws." Period. In addition, we have the possibility, which was also included in the bill, to draw up an AMvB on those other criteria. That's why you're waiting for that monitor. You can see whether or not something needs to be supplemented. The other criteria simply appear in an AMvB to be drawn up, a bit similar to the amendment tabled by Mr van der Staaij.
ParlaMint-NL_2016-02-09-tweedekamer-29.u84	I am making an observation and I would like to hear from Mr Van Dijk whether he agrees. We have a year's experience of admission, providing personalised budgets by health insurance companies, and therefore we know what kind of problems this poses. The Chamber has said that it wants uniform rules to apply. Before that, Mr Van Dijk's name was under an amendment. The health insurance companies said we don't want that. Now that Mr Van Dijk has got his signature from under that amendment, the health insurance companies win. Is my observation correct?
ParlaMint-NL_2016-02-09-tweedekamer-29.u85	No.
ParlaMint-NL_2016-02-09-tweedekamer-29.u86	I assume, then, that the Labour Party simply supports Mrs Voortman's amendment and Mr Van der Staaij's amendment. Is that the case?
ParlaMint-NL_2016-02-09-tweedekamer-29.u87	If Mrs Leijten had listened carefully to my speech...
ParlaMint-NL_2016-02-09-tweedekamer-29.u88	No, no, no, no, no. Yes or no? It's possible.
ParlaMint-NL_2016-02-09-tweedekamer-29.u89	... she would have heard that uniformity between health insurers and legal certainty for insured persons for the Labour Party are the two anchor points to settle. That is what happens with this amendment. This amendment states that there are no differences between health insurers in terms of access to pgb and that people with a pgb, budget holders or insured persons who want to be eligible know where they stand. That is the same discussion we had last week, in which Mrs Leijten also said: it does not matter whether we settle it in an AMvB or in a law, as long as it is settled. That's what we're doing to each other now, all of us in this room.
ParlaMint-NL_2016-02-09-tweedekamer-29.u90	My observation is a different one. The signature of the Labour Party was a modification of the bill that the health insurance companies did not want. The signature's gone and the majority's gone. What Mr Van Dijk says he wants to take care of, he does not deal with the proposal he makes together with the VVD. So this wins the health insurance companies.
ParlaMint-NL_2016-02-09-tweedekamer-29.u91	Mr. Chairman. Since January 2015, the health insurance companies have already implemented the Zvw-pgb on the basis of the administrative arrangements made, despite the absence of legal anchoring. As I indicated in the first term, it is good to make this anchor official now. The VVD also attaches importance to the proper incorporation of this into the law. In this way, insurance policies include the possibility of offering a pgb for a defined target group for the claim to community care. I have indicated that, as far as the VVD is concerned, it must remain so. The system of the Health Insurance Act remains unaffected, so are the agreements. That system represents very good care at a good price. We should be very proud of that. It is clear that we stand for that. In the first period of the debate, there was a clear desire to regulate a number of elements by AMvB. As far as the subject of personal criteria is concerned, that is understandable in itself. It would be weird if there were differences on that part. It must be clear in advance which requirements the person concerned must meet in order to be able to use the pgb properly. That is why I tabled an amendment on this point together with Mr Van Dijk. That amendment has been discussed a great deal here. We would like the outcome of the monitor, which will be ready in April, to be included in this AMvB. We want it to be submitted to the Chamber by means of a suspension procedure. We want us all to be able to talk about this in the Chamber one more time. I therefore hope that this amendment will receive broad support from the Chamber.
ParlaMint-NL_2016-02-09-tweedekamer-29.u92	Since it is a joint amendment with Mr Van Dijk, I would like to hear Mr Potters' confirmation that it is not the intention of this amendment that health insurers should be able to restrict access further, but that the access criteria should be clearly defined in the AMvB.
ParlaMint-NL_2016-02-09-tweedekamer-29.u93	I do not agree with what Mr Van der Staaij has just said. We have said that we clearly want to regulate the personal criteria. In the first period, we had an explicit exchange of views on how to regulate efficiency and procurement of care. That freedom and that customization must remain. As Mr van der Staaij now points out, all access criteria are by definition regulated. That is the Van der Staaij amendment. I'm not in favour of that. We are not in favour of that. That is why we have tabled another amendment.
ParlaMint-NL_2016-02-09-tweedekamer-29.u94	Do I understand that Mr Potters thinks that Mrs Voortman's amendment and myself, which states that the conditions under which the insured person is eligible for a pgb in an AMvB, are too far-reaching, and that the wording in Mr Potters's amendment and Mr Otwin van Dijk's amendment is therefore less far-reaching?
ParlaMint-NL_2016-02-09-tweedekamer-29.u95	Yeah, that's right. The amendment tabled by Mr Van der Staaij lays down the conditions under which an insured person is eligible for a Zvw-pgb. This amendment states that we want to define the personal criteria properly, so that that is clear. Paragraph 4 states that further rules can be laid down for each General Measure. That is a different amendment from Mr Van der Staaij's.
ParlaMint-NL_2016-02-09-tweedekamer-29.u96	I have a question following Mr Van der Staaij's question. This means that Mr Potters and Mr Van Dijk are, after all, also seeking to ensure that in points (a) to (d) the content of the care for which a Zvw-pgb is provided, the exclusion of forms of care or other services of the Zvw-pgb...; I will not leave it entirely read out still the room to make a difference. The amendment states that it might be possible for rules to be laid down, but rather not. Let me get this straight.
ParlaMint-NL_2016-02-09-tweedekamer-29.u97	It is no secret that I am not very much in favour of laying down rules now and that I think the monitor is very important. I also said in the first term of the debate: if the monitor shows that something really needs to be arranged and the parties agree on it, then so should we. I don't see that right now. However, clear personal criteria are laid down. I think they're clear. That way, you get access. That's fine. That's not different from the Health Insurance Act either. But when it comes to efficiency, procurement and content, there really is a difference between the Zvw and the Wlz. That is why this amendment has been tabled.
ParlaMint-NL_2016-02-09-tweedekamer-29.u98	This shows Mr Potters that he is concerned with the system, because the Health Insurance Act is a different system than the Long-Term Care Act. This means that people who have had a pgb for years from the then AWBZ can now be refused by health insurance companies. There are health insurers who already two thirds of people refuse to give a pgb while these people have successfully had a pgb for years. What does Mr Potters say to these people?
ParlaMint-NL_2016-02-09-tweedekamer-29.u99	I believe that we clearly exchanged in the debate last time that we all want to clarify where we can. But I also said that as Liberals, who actually invented the pgb and said that we should be able to do so and that we should be able to do so, we really want to anchor this in the law. That's what I stand for. But I want something else, too. The Health Insurance Act is also a great asset and I want to keep it up. That is not so much what I want to maintain the system, but to ensure that we get very good care at a very good price. The Netherlands is number one for a reason. That has to do with the system. Care is about people, not systems. That good care we have now, I want to keep up. That's why we're very focused on this. That is why we have had this debate. Again, I keep saying that we too simply want to anchor the pgb in the Health Insurance Act. It's being taken care of now.
ParlaMint-NL_2016-02-09-tweedekamer-29.u100	Of course, at any time a health insurance provider makes a decision for an individual whether or not a pgb is granted. Well, that's still custom-made, isn't it? The basis for this is, of course, uniform access criteria. I understand, on the basis of the debate and the input of the Labour Party, that these uniform access criteria will indeed come about with this amendment. This is stated in paragraph 3: Under General Measure of Management, rules are laid down on the terms and conditions etc. Does the VVD say: that is also optional; also health insurance companies are allowed to give different interpretations on the basis of that AMvB?
ParlaMint-NL_2016-02-09-tweedekamer-29.u101	No, what we have arranged in my view is that the insurer is capable of directing the healthcare providers he has elected on his own or with the help of a representative and aligning their work so that it can be done in an efficient way. The point is that it is clear what conditions you have to meet as a person and how we should handle a pgb in a good way. That doesn't really matter when it comes to Wlz and Zvw. There's no discussion about that. When it comes to procurement policy, efficiency and the question of whether it will be customised, it is important that we also want to have the role of health insurance companies and that they have made these administrative arrangements. If that monitor shows that there's something else to settle, then we need to take care of it. I don't think it's necessary. I think we should give that administrative agreement real strength. We say right now in the Chamber, before we have that monitor, that we are already putting a public legal anchor in this system regardless of the outcome of that monitor. I don't think that's right, because the more rules the government puts in front of the Health Insurance Act, the more we put the system at risk. I'm not here to defend a system. I'm standing here defending something that stands for good care. We have good care in the Netherlands. Here are all Spokesmen Health Insurance Act, who know how important it is to keep that up and guard it. That's why we're here. That is why I believe the Labour Party has also supported this amendment.
ParlaMint-NL_2016-02-09-tweedekamer-29.u102	The question also arises with me: what is the VVD first, the system or the people who it is? I would like to ask the VVD: is it the intention of the VVD for health insurance companies to compete on access to the pgb? Only then are insured people really hurt.
ParlaMint-NL_2016-02-09-tweedekamer-29.u103	I think we are going to regulate the personal criteria properly now, so we are certainly not going to organise competition on that access. I am also very far from saying that we are only standing here for the system and not for the people. The VVD invented the personal budget. Erica Terpstra defended that here on fire and on the sword and managed to do it. It's a liberal starting point. That's what we fought for. It's in the Health Insurance Act now, and I'm proud of that. But it is important that we also stand for the Health Insurance Act, which we regard as high and must maintain. I'll do that. I dare, to be honest. I'm not gonna say every time that the Health Insurance Act and the health insurance companies are nothing, because I know we have a very nice system. I want to keep that up, just because it stands for good care. We as VVD go for good care and not just for rules.
ParlaMint-NL_2016-02-09-tweedekamer-29.u104	This is tearful. If Mr Potters really sees himself as the guardian of the personal budget, he would have tabled a much better amendment. Then he would have had the guts that MP Schippers had when she tabled the amendment in 2006 for a fully personalised budget. This is a lousy broth. This isn't gonna work. Then I come to my question. I heard Mr Otwin van Dijk say: there will be an AMvB for the monitor. Does Mr Potters agree?
ParlaMint-NL_2016-02-09-tweedekamer-29.u105	The law does indeed show that there will be an AMvB. Maybe not specifically on this part, but it's going to happen. It is also our wish to take the results of the monitor with us. We need to take a good look at that. There may be elements in that that we still want to legally anchor, but I really don't have a preference for that. In fact, I think we should be cautious in this.
ParlaMint-NL_2016-02-09-tweedekamer-29.u106	I appreciate Mr Potters' honesty. He clearly says that there will be an AMvB, but that it may not be about this. But it's about this. It's about good access criteria. It is about people with a personalised budget having the guarantees that they can get a good personalised budget. So is Mr Potters, also on the basis of the crucial fourth paragraph, prepared to support an AMvB on good access criteria?
ParlaMint-NL_2016-02-09-tweedekamer-29.u107	In my view, there is now an amendment with a possibility. Again, I want to wait for the monitor and see what is needed on that part. Otherwise, it would have been a must-determine. It is clear, however, that it is a possibility on this point.
ParlaMint-NL_2016-02-09-tweedekamer-29.u108	The VVD says that we should not have competition on the personal criteria and we should therefore actually establish them. The amendment in part No. Twenty-five wants to take care of that now. So I don't understand why the VVD didn't make a distinction. For the other part the VVD apparently does not want to settle anything, but there is now a chance to at least settle those access criteria. Why doesn't the VVD want that?
ParlaMint-NL_2016-02-09-tweedekamer-29.u109	I think that is what we are dealing with in the Putters/Otwin Van Dijk amendment. The personal criteria are regulated and for the rest it is a determination. In doing so, I respond to Mrs Bergkamp's wish. Moreover, we have arranged for it to be properly discussed in the Chamber by means of a veil. So we have dealt with three things in one amendment at a time. That's my great preference.
ParlaMint-NL_2016-02-09-tweedekamer-29.u110	The VVD doesn't take people into account. People are insecure because of this. They want the certainty that a law is laid down which must be complied with. Now we had the chance. A number of amendments have been tabled, including those relating to item No. 25, to settle those personal criteria right now. Surely we don't have to wait for a monitor and a General Measure of Management? We have a chance to do that now. So I ask the VVD spokesman once again why people should be in uncertainty for so long. After all, we could have dealt with a number of things by now.
ParlaMint-NL_2016-02-09-tweedekamer-29.u111	The third paragraph states that the personal criteria are now regulated. To be honest, I do not understand that remark. The VVD considers the following important. Sometimes rules are needed; you have to be clear about that. What is happening now, however, is that before there is a monitor, before the administrative agreement runs, we in the Chamber record everything at the front. That affects the Health Insurance Act. Once again, it is not about the system, but about what that law stands for, namely the best care in the world. We'll keep an eye on that. That's what we're passionate about. I am also passionate about getting the pgb into the Health Insurance Act now. As far as I'm concerned, this is the best of both worlds.
ParlaMint-NL_2016-02-09-tweedekamer-29.u112	How different is Mr Potters here today than last week? Last week he was on his own. The whole Chamber said that not only personal criteria should be laid down, but also admission criteria. Last week he strongly advised the Chamber to accept the amendment of the Labour Party and GroenLinks, because that would go against the coalition agreement. He advised the Labour Party to continue with this. Does Mr Potters take democracy seriously when he puts so much pressure on his governing partner behind the scenes that he destroys a majority in the House of Representatives?
