ParlaMint-NL_2016-11-30-tweedekamer-9.u1	I would like to welcome the Minister and the Secretary of State for Security and Justice.
ParlaMint-NL_2016-11-30-tweedekamer-9.u51	What I have to do, we'll see. I am concerned about the system, Mr Van Nispen. That reasoning follows you very well. No, I don't have any money to open a can of 5,000 cops right now. Where's the money supposed to come from? This is not a gratuitous plea for another cabinet period. Surely you agree with me that the number of police officers at the moment does not fit in with the number of tasks that lie ahead and that we should discuss them? We have been doing this for a very long time, but perhaps it would be useful to investigate this in order to ensure that we do again, after so many years, a zero measurement, because we have not done that measurement, nor have we done it in the national police. Then we all said: we sweep it together, and this is the number of agents we have to do it with.
ParlaMint-NL_2016-11-30-tweedekamer-9.u52	What the VVD is doing now, I find deeply sad in all honesty. She is responsible for this ministry for six years and now she calls for serious consideration to be given to how many agents are actually needed. If we also look at the figures, we see that the employability of the police has been reduced. Last year it was 94%, but it fell to 90%. The neighborhood agents that were agreed are still not here. How can the VVD make a crack at her election program and tell more agents to come, while the cabinet lets this go? The VVD was at the wheel and ran this ministry as a VVD party office. That's shameless, isn't it?
ParlaMint-NL_2016-11-30-tweedekamer-9.u53	I didn't hear a question. I've only heard a very dramatic statement.
ParlaMint-NL_2016-11-30-tweedekamer-9.u54	That is fine; I will ask a specific question. What does Mrs Tellegen think, for example, that this cabinet still counts all the aspirants to make beautiful decorations? Those are people who are still learning, looking around the streets for the first time and facing a terrible crime. These people are fully included in the determination of police strength. This minister is beating himself up because that's how he's doing it. Isn't Mrs. Tellegen ashamed that these people are counted as policemen while they're just above water?
ParlaMint-NL_2016-11-30-tweedekamer-9.u55	I'm not ashamed of anything. It is very nice to see all this happening in this Chamber, but I am simply trying to make a plea here that is not based on the opening of a can of agents on the basis of this budget. After all, there is no money for that. I would like us to think more carefully about the tasks of the police in this country and how we can calculate how many people fit in. That is what I am advocating here, no more and no less.
ParlaMint-NL_2016-11-30-tweedekamer-9.u56	The humiliation of the Chamber is, of course, due to the fact that, after the VVD was responsible for this ministry for six years, the police are not in order, the parts of the police are not in order, the detectives are no longer able to handle it, the clearance rate has fallen, the willingness to report has fallen and the driving times are still appalling. That is why I say that the VVD should be ashamed, because beautiful promises do not make the Netherlands safer.
ParlaMint-NL_2016-11-30-tweedekamer-9.u57	My colleague from the VVD is under a lot of pressure here, so I'm gonna go help her out. She says she doesn't have the money to rip open a can of police officers, but she's willing to look at the police's duties. If the police have other tasks, it may well be used as priorities. Perhaps the amendment aimed at increasing funding for the police will not receive support, but the initiatives to legalise weed will at least receive that support. This is, after all, the prime means of generating police capacity. Now the police must count the plants on windowsills and be busy at the back door of the coffee shop. This leads to court cases where acquittal is almost the standard. We can then use these agents for genuinely socially useful tasks. Can we expect support from the VVD for this? Then we have solved part of the problem of police capacity.
ParlaMint-NL_2016-11-30-tweedekamer-9.u58	The answer is very brief: no.
ParlaMint-NL_2016-11-30-tweedekamer-9.u59	There's been a problem for six years. This is recognised by the VVD. More police capacity is needed and tasks need to be considered. This is obvious; in this way we can look at the tasks of the police. However, the only answer from the VVD is: no.
ParlaMint-NL_2016-11-30-tweedekamer-9.u60	This is lame. I agree with Mrs Van Tongeren's plea that we should look closely at who is doing what in the chain. I have also discussed this in many general consultations about the police. If the police do not need to be directly involved, other partners in the chain will have to complement or take over. For example, the police have lost a lot of capacity because of confused persons. This has often been the subject of discussion. In this respect, much better cooperation with other partners can be achieved. I therefore agree with Mrs Van Tongeren on that part.
ParlaMint-NL_2016-11-30-tweedekamer-9.u61	Finally, on this point.
ParlaMint-NL_2016-11-30-tweedekamer-9.u62	So after six years of VVD policy, it's found squeaking and cracking. There is no money for extra police, but a measure that is very obvious to free capacity, legalizing weed, is rejected by the VVD. So it is actually said that we have created a problem, but we are in no way prepared to solve it.
ParlaMint-NL_2016-11-30-tweedekamer-9.u63	That was a conclusion.
ParlaMint-NL_2016-11-30-tweedekamer-9.u64	There's some uncertainty about legalizing weed. A certain part of the Chamber says: it would be very good if municipalities were to grow and act, if the threshold for drugs were to be reduced a little. Another part of the Chamber says: no, the threshold for drugs must remain high. Mrs. Tellegen and I were always shoulder to shoulder. Now there has been a debate in her party and there is some ambiguity. One says that the Congress proposal doesn't really change anything, the other says that it's really good to regulate. Where does the VVD group stand in the fight against these terrible drugs?
ParlaMint-NL_2016-11-30-tweedekamer-9.u65	I'm taking Mr Segers to Noordwijkerhout. Two weeks ago, the VVD's election programme could be amended. There were incredibly many amendments on pot growing. A lot of amendments did not make it. In fact, the only amendment that has succeeded is that we have now settled it in a strange and inconsistent way and that we need to regulate it in a smarter way. Two aspects are very important. The first is security and the fight against crime. The other aspect is that we think it is primarily a national issue and not a municipal issue. These two aspects must be taken into account, but the thrust of the amendment itself is that the whole system must be reviewed.
ParlaMint-NL_2016-11-30-tweedekamer-9.u66	As unclear as it was in the coverage, it stays here. I have no idea what it means what Mrs Tellegen is saying. The Minister has pointed out here that most of the crop is for export and that we should not export it. That has been an important argument in the fight against drugs. We supported the Minister in that. We have said that we should not lower the threshold but raise it. That there is indeed a strange inconsistency between the front and the back door, I agree. But then what's the solution? Are you going to lower or raise that threshold? That's the choice we stand for. It is completely unclear to me whether the VVD will continue to fight drugs and addiction or whether the VVD will give up that fight.
ParlaMint-NL_2016-11-30-tweedekamer-9.u67	As I said, I fully support Mr Segers' plea on crime, exports and all the negative aspects. At the party congress, it was very clearly stated that it is also stated in the explanatory statement to the amendment that these problems must be resolved in any case, whatever solution is ultimately chosen. That is therefore a very strict condition. Another condition is that we want a national solution in advance to Mr Verhoeven of D66..................................................................................................................................................................................................................................................... We don't want local authorities to take it out on their own. The position is clear. This is a compromise following a discussion in our party. We have said that the whole system must be kept under review. You can actually choose two things, and that's what we're going to investigate. If you have a lock on the back, you must have it in the front. The other extreme is that you tolerate it at the front, allowing weed cultivation at the back. That's what we're gonna look at right now. Once again, that is what we are going to do with these two points: that we must, in any case, find the best solution to the crime and the insecurity it entails and that we are looking for a national solution to this problem.
ParlaMint-NL_2016-11-30-tweedekamer-9.u68	Finally.
ParlaMint-NL_2016-11-30-tweedekamer-9.u69	If it is proposed here to solve dilemmas, to be for safety and to be against addiction, 150 hands will go into the air here. But we're at a crossroads now. We are faced with a choice: do we support the Minister's policy or give up? That's the choice. Mrs Tellegen outlines the dilemma she is facing, but I ask for an answer.
ParlaMint-NL_2016-11-30-tweedekamer-9.u70	For the moment, we stand for the Minister's policy.
ParlaMint-NL_2016-11-30-tweedekamer-9.u71	There are now municipalities that say: we do have that resident criterion, but we do not maintain it. About the distance from schools, they say, "Well, we're a little out of control, we're letting that run a little bit. Are we actually gonna keep it? Are we going to continue that fight or not? The dilemma is clear, but the answer of the VVD is completely unclear to me.
ParlaMint-NL_2016-11-30-tweedekamer-9.u72	If Mr Segers asks me whether I support the Minister's policy, the answer is yes.
ParlaMint-NL_2016-11-30-tweedekamer-9.u73	I'm not talking about weed. The VVD Congress has made a clear statement and I am confident that the Congress will return Mrs Tellegen and the Minister and eventually choose the sensible path, namely the way to save a lot of police capacity and use it better. I listened with interest to Mrs Tellegen. The VVD made false promises before the elections and then all made cuts. She has formed the national police, but that has actually gone wrong on a lot of points. Then Mrs Tellegen beats herself on the shoulder and says that there is a solid budget. However, in 2021, 2,500 FTE police appear to be less. Mrs. Tellegen says it beeps and cracks. Then why does the VVD not just table a firm amendment instead of a weak motion on a new system? Mr Van Nispen also asked this and I think it is a very fair question. Why doesn't she put in an amendment to get more money for the police?
ParlaMint-NL_2016-11-30-tweedekamer-9.u74	This is the same question as Mr Van Nispen's.
ParlaMint-NL_2016-11-30-tweedekamer-9.u75	The answer is: the money is not there.
ParlaMint-NL_2016-11-30-tweedekamer-9.u76	The same answer as that given to Mr Van Nispen's question.
ParlaMint-NL_2016-11-30-tweedekamer-9.u77	Then why does Mrs Tellegen say it's squeaking and cracking and that she's so sorry? She says she's worried about it, she wants to make some of it, and she wants to change the system. You're kidding me, aren't you? Then we just better say, "There's no money, we have to do it and we don't talk about it anymore?" However, Mrs Tellegen now pretends to be very concerned, as if she were very sorry, but when she can finally do something, she does nothing. That's the VVD on Security and Justice in the last six years: the mouth full of tough language, but when it comes to it, it doesn't deliver anything at all.
ParlaMint-NL_2016-11-30-tweedekamer-9.u78	That wasn't a question.
ParlaMint-NL_2016-11-30-tweedekamer-9.u79	I think 200 million went to the police this year, but that's quite aside. I was working on soft drugs policy. In my opinion, if I have listened to her correctly, the VVD spokesperson says that the VVD could be in favour if there is a good arrangement which is firmly opposed to export abroad and which has not been motivated locally. The VVD can therefore vote in favour of any good solution that will secure this and solve the problem of the back door.
ParlaMint-NL_2016-11-30-tweedekamer-9.u80	I follow Mr Recourt, but he's moving too fast in this. I'm not going with it. This would also undermine the congressional amendment. We agreed there that we're gonna keep the whole system under review. This may have different results, however frustrating that may sound at the moment for Mr Recourt.
ParlaMint-NL_2016-11-30-tweedekamer-9.u81	I listened with interest to the discussion about the VVD and soft drugs. Can Mrs Tellegen summarise the conclusion? What else can we do?
ParlaMint-NL_2016-11-30-tweedekamer-9.u82	I can even read out the text of the amendment to Mr Van der Staaij, if he likes it. Then it's clear to everyone. That's how it's gonna be in our election program. "While the sale of cannabis at the front door is tolerated, its purchase is now illegal. The VVD wants to get rid of that strange situation and regulate the policy on soft drugs smarter. It is time to redesign the entire domain of and around soft drugs. That redevelopment can only take place nationally. Municipalities must stop experimenting with pot growing as soon as possible."
ParlaMint-NL_2016-11-30-tweedekamer-9.u83	The only clarity is therefore that municipalities should at least stop regulating weed cultivation. That sounds very concrete. Furthermore, there is no clarity at national level as to what this solution should look like. The world needs to be better, but we don't know how, is actually the summary.
ParlaMint-NL_2016-11-30-tweedekamer-9.u84	I have also mentioned the other aspect, from the explanatory statement to the amendment, namely that crime and security must be dealt with in the best way. A solution must also be found.
ParlaMint-NL_2016-11-30-tweedekamer-9.u85	D66 said it was obvious.
ParlaMint-NL_2016-11-30-tweedekamer-9.u86	Yeah, he's a rich man, but that's not right.
ParlaMint-NL_2016-11-30-tweedekamer-9.u87	He is wrongly reckoning rich; of which he is aware. Does this also mean that, unlike D66, there is a very real chance that the policy will be strengthened if the VVD is in charge?
ParlaMint-NL_2016-11-30-tweedekamer-9.u88	Mr Van der Staaij understood that very well. More blue should also be better blue. Modern times call for modern policemen. That is why it is a good thing that 10 million more should be made available in this budget for better equipment. The modern agent has his desk in his pocket, in the form of his smartphone. More work is now rightly being done on this. Apart from smartphones, money is made available for the introduction of bodycams, with everything aimed at faster and more effective action. The chances of getting caught are increasing and the public is even better informed. Mobile work is the future. The modern agent vlogs himself; he tweets, posts on Facebook and communicates directly. The modern agent is an information-driven agent for whom mobile work is the norm. All this can only be done if the ICT works optimally with the agent on the street, but also with the detectives and in all business systems. Companies all spend more than 10% of their budget on ICT. I know there will be another report from the General Court, but I would like to ask you how this is going to be with the police. I read that some 400 million is being spent. That's less than 10% of the total budget. How is ICT handled within the national police budget? With more blue is also an ambition. The end of the reorganisation is in sight. There's money being invested in CID. It is good to note that the criminality approach in the Netherlands is paying off, but we want more of the crimes committed to be resolved. For years, the clearing rate has fluctuated around 25. Although a much higher percentage of serious crimes is being resolved, we want the average to go up over the full width. There's been a million reports every year. Around 200,000 cases are resolved. The VVD would like to see clear and quantitative targets set with all partners in the chain for the flow and handling of cases in the criminal justice chain. I would like to hear from the cabinet what ambitions it has on this point. I come to my final point: the crime of the future. I'll start with organized crime. Mr Van Oosten has done a good job in tackling undermining crime and taking away criminal money. The cabinet is investing money again, namely 7 million, in order to make the most of this next year. That's good news. In line with this, the VVD is pleased that the Public Prosecutor is currently exploring the possibilities of banning motorcycle gangs. The scale and impact of organized crime in the Netherlands have such a huge impact on society that we will also have to work with it in the coming years. The same applies to cybercrime. The D.A.'s office predicts that we will increasingly be faced with this. By 2021, 50% of crime will be digital. The world is digitizing and so is crime. We come here before Christmas to discuss in detail the Law on Computer Crime III, a law that is urgently needed to give the police the same powers in the digital world as in the physical world. In the report Netherlands digital dry feet are very useful recommendations about this. Can the Secretary of State indicate what, with this report under the arm, needs to be done to make our systems digitally resilient? Shouldn't our investments in cybersecurity and countering cybercrime in the very near future be significantly increased? I'm rounding up. The Netherlands is getting safer. Crime is decreasing and yet people are not always experienced and feel that security. This is mainly due to threats from outside our borders. People want to know where they stand, whether the Netherlands remains the Netherlands, whether we can live our lives here in freedom. We can't take away that uncertainty. However, we can do everything we can to make the Netherlands as safe as possible and make every effort to do so day in, day out. The budget we are discussing today is an important and very strong start. I look forward to the Minister's answers.
ParlaMint-NL_2016-11-30-tweedekamer-9.u89	Mr. Chairman. Over the past period, the VVD has been firmly committed to making the asylum flow to our country manageable. At present, over 65 million people in this world are fleeing or displaced. This number is expected to increase further in the coming years. And I'm not even talking about the huge population explosion that the continent of Africa will be going through. Although many will understand that you are looking for a place for yourself and your family where you are safe or where you can live under better conditions, many people are at the same time concerned about the large numbers of migrants. Last year, in our country, we experienced a large uncontrolled influx of asylum seekers. This has led people to worry about the survival of the Netherlands as they know it. People wonder whether the Netherlands, with all its achievements and freedoms, for which generations have fought, will also be preserved for future generations. Is the Netherlands still the Netherlands or is it losing its identity because of the arrival of large groups of migrants with different cultural norms and values? We have seen that our society cannot cope with these groups. Our country was flooded with asylum seekers who travelled from safe countries to our country in search of the place with the best facilities and perspectives. This led to azc's in places that sometimes doubled the original population and unfortunately also to unsafe situations around these shelters. But even when these groups arrive in our society after first care, the problems are great. I'm not saying it for the first time: large groups don't integrate but segregate. A large proportion of these people end up in welfare. A large part of asylum seekers have a different culture of values and standards, with the result that they will not quickly embrace the freedoms of our society, but will question or even abuse them. That is what our society needs to be protected from. The fact that we had no control over the numbers and background of the asylum seekers who came in has made us feel unsafe. This has also reduced support for the reception of asylum seekers. That does not make us racist or heartless, but realistic. Most people do think it is important to reach out to real refugees, preferably by helping them in their own region, but if there is no other way to do it by providing temporary shelter for small groups here.
ParlaMint-NL_2016-11-30-tweedekamer-9.u90	Mr Azmani just said that large groups do not integrate. But then I do not understand why the VVD is blocking everything at the moment when there are great pleas for small-scale reception and for the reception of asylum seekers in the neighbourhoods as much as possible. The VVD says: no, it doesn't have to be all small-scale and we don't do priority on waiting lists for houses either. Instead, the VVD has people trapped in asylum seekers' centres. Surely this does not promote integration?
ParlaMint-NL_2016-11-30-tweedekamer-9.u91	These are two different elements, namely housing after the granting of a status and the reception of asylum seekers. In the debate I had with Mrs Voortman at the time, it was about realism. Last year we were confronted with the fact that in some weeks 4,000 asylum seekers had to be sought shelter. You can say very easily and cheaply that we should do so with reception facilities of about 100 people, but that would mean that the Secretary of State and the municipalities together should have ensured that 40 municipalities were provided with reception facilities every week. At that time, we saw that not many municipalities were keen to realize these reception conditions, let alone that we should have signed 40 municipalities every week with the question: can I have one more? You already have one, but you may realize a second reception facility. It was not real at the time to take the view that we should do it with small facilities. I have never been against small facilities, but I have always wanted to keep realism in the debate. I think it is too cheap a political message to say:'municipality, you only have to open a small supply'. Municipalities would then have to offer to open several facilities.
ParlaMint-NL_2016-11-30-tweedekamer-9.u92	The cabinet could also have chosen to make agreements with municipalities on the reception of 500 or 1,000 asylum seekers and then leave it to those municipalities themselves to deal with them. Municipalities would have been able to decide for themselves if they had done that with five times a hundred and ten times fifty. All of that could have happened. I note that Mr Azmani does not go into my other example, namely the example of the status holders who are now in the asylum-seekers' centres. They keep places occupied there, even though they want nothing more than to integrate. The VVD says here "large groups do not integrate," but why doesn't the VVD ensure that these people can live and integrate in those neighbourhoods and that they don't all stay together?
ParlaMint-NL_2016-11-30-tweedekamer-9.u93	We have always said that for people who can get a residence permit here and who are in this country, there are many single young men who come to the Netherlands through asylum procedures. When people leave their homes and they go to college, they start living in rooms. I'm sure Mrs. Voortman lived in rooms in Groningen, just like I did. Why would someone who gets refugee status have the privilege of getting a social rental? Well, no. So we have created more space and opportunities, but I fully agree that it is undesirable for a large group of people with status to remain in azc's. The task of municipalities is to look for alternative housing in cooperation with housing corporations, and not just a social housing.
ParlaMint-NL_2016-11-30-tweedekamer-9.u94	Mr Azmani says: large groups do not integrate, they segregate. However, today's research shows convincingly that most of these asylum seekers would love to integrate, that these people would like to learn the language and that they would like to take over the Dutch values. The problem is, however, that the Dutch language is not offered. This is not done by the cabinet or by the VVD. You have voted against the motion for a resolution, and you have stopped refugees from receiving one language lesson from day one for over a year. According to Mr Azmani, is it true that large groups are not integrating, or is it true that the VVD does not want them to integrate?
ParlaMint-NL_2016-11-30-tweedekamer-9.u95	The last point is really reprehensible. Once people are granted a residence permit in this country, it will help everyone to participate in society as soon as possible. This will therefore not prevent the VVD from offering language courses to asylum seekers. Asylum seekers who, if you look at the influx, come from safe countries, think of Moroccans, Algerians and Albanians, we offer a Dutch language course when it comes to D66. The VVD doesn't belong to that. But you need to get to work as quickly as possible with people who have perspective and get residence status in this country.
ParlaMint-NL_2016-11-30-tweedekamer-9.u96	That's sad, of course. That is a sad answer. I proposed this a year ago, at the height of the influx. I did that then a majority of that flow of refugees consisted of Syrians and people from Eritrea. The VVD also believes that these refugees can stay, but those people had to wait eight months before they were allowed to enter the asylum procedure at all. They've been on their hands for eight months. They haven't learned the language for eight months. As a result, these people are three times less likely to have a job, so they are three times more likely to have assistance. You've become a welfare machine!
ParlaMint-NL_2016-11-30-tweedekamer-9.u97	Well, Mr. Chairman. With all due respect, what nonsense! After we are confronted with such large numbers and we offer language lessons, the large groups are going to integrate into this society. Yeah, yeah, yeah, Look also at the past in which there was a lead time of eight days as far as the decision was concerned. For example, the Somali asylum seekers who have a residence permit: 60 to 70% of these people depend on the assistance. Look at the Iraqis, the Iranians and the Syrians: more than 50% of these people depend on the assistance. Large groups with a different pattern of standards and values than ours do not integrate into this society but they will segregate into this society. The VVD is therefore in favour of a selective and controlled admission policy.
ParlaMint-NL_2016-11-30-tweedekamer-9.u98	Finally, Mr Sjoerdsma.
ParlaMint-NL_2016-11-30-tweedekamer-9.u99	It's really fascinating. Now Mr Azmani brings history to mind. Then I say, look at the sixties, the migrant workers. Look at the nineties, the Yugoslav refugees. What was said then? All those people are going back! Let us not invest in integration. Let's not invest in the language. We are now reaping the sour fruit from that. All the research reports show that if we had invested in that language then, we wouldn't have bumped into that stone. Thanks to the VVD we are going to hit the same stone for the third time.
ParlaMint-NL_2016-11-30-tweedekamer-9.u100	This is bullshit. It is the VVD that takes measures for which D66 runs away: no Dutch, no assistance and having an effort to acquire the Dutch language at all. If people are stuck in benefits and they are not even willing to learn the Dutch language, what do you do in this society? How do you want to participate in society? Then D66 isn't home. However, when it comes to asylum seekers for whom it is not yet clear whether they are allowed to stay here, part of it is that: I am talking about Albanian Moroccans and Algerians who are now in the influx and who are currently in Ter Apel in Groningen to make society unsafe and want to offer D66 language courses. As far as I am concerned, this is not happening with the tax money of the Netherlands.
ParlaMint-NL_2016-11-30-tweedekamer-9.u101	In the end, after a number of generations, Mr Azmani will be fine, but I do not want to talk about that. Mr Azmani says, just as several VVD members have recently done, that the Netherlands will not remain the Netherlands because of the people who come here and who have a different pattern of standards and values. Can Mr Azmani outline for the country what the Netherlands is going to be, if the Netherlands does not stay in the Netherlands?
ParlaMint-NL_2016-11-30-tweedekamer-9.u102	Well, the Netherlands does not have a cafeteria model where you can shop in the freedoms. Mr Kuzu will not like what I am going to say, but we have been able to see very well this summer what happened on the Erasmus Bridge when we reported on demonstrations there. It was made impossible for the media to record that demonstration. That is not my country, that is not the Netherlands, that is not the country we stand for. You have the freedom to express your opinion and you have the right to demonstrate, no matter how unpleasant that may be for some people, but I defend that right. At the same time, I am defending the right to report on this. This is where freedom of the press is guaranteed. We saw very clearly that this was made impossible and that their country is not the Netherlands, but the country of Turkey; that their leader is not the leader of the Netherlands, but Erdogan, the Turkish leader. I think you're talking about integration issues. Mr Sjoerdsma rightly pointed out that, in the 1970s and 1980s, integration policy was mainly aimed at preserving one's own culture and identity. I say to Mr Kuzu that we are still reaping the bitter fruits of that, and Mr Kuzu knows that from his own point of view.
ParlaMint-NL_2016-11-30-tweedekamer-9.u103	We talked about this a lot just after the summer holidays. I don't think that's an unpleasant example. It shows exactly what the VVD now blames others. When people are demonstrating with Turkish flags, it is all a big problem and it is about integration and it is a problem of integration. If other groups in the House of Representatives are protesting with terrorist flags or Israeli flags, that is not a problem and we are not talking about integration. When we talk about the cafeteria model, I would also like to address other standards and value patterns. We often talk about equality in the Netherlands and about the fact that it is being put under pressure because of the arrival of refugees. We have very large groups in the Netherlands, whole areas, whole villages, who also do not recognise the equality between men and women or between homosexuals and heterosexuals. Let's talk about Urk, about Staphorst. Do we also have an integration problem there?
ParlaMint-NL_2016-11-30-tweedekamer-9.u104	I think it's very clear and very clear. We expect newcomers to embrace the freedoms we know in this country and to respect the equality between men and women, for which generations have been fighting for. We expect them to respect the fact that men here walk hand in hand through the streets. They shouldn't be whistled off or abhorred. That's what we have to stand for. We see the impact of the arrival of groups of asylum seekers on society. If you come from a very different country with a different pattern of standards and values, it is quite difficult to get used to the fact that in this country two men can walk hand in hand, or that a woman can dress like she wants to dress, without being called a woman who enjoys public life, if I may say so nicely.
ParlaMint-NL_2016-11-30-tweedekamer-9.u105	Finally, on this point.
ParlaMint-NL_2016-11-30-tweedekamer-9.u106	There's the cafeteria model! The VVD now says: it's only the newcomers. I specifically asked him whether the same applies to people who have lived here for centuries. Why is the VVD constantly trying to bring down problems in this society or challenges we face to newcomers in this society? The only answer could be that the VVD is competing with the PVV. The VVD is feeding the lower abdomen of a group of people. From the VVD, you might expect her not to.
ParlaMint-NL_2016-11-30-tweedekamer-9.u107	The only answer I would like to give is that the VVD understands the concerns in society and that the VVD does not want to increase the problem that exists by receiving large groups of migrants who actually have nothing to do with the free and tolerant society we know. We must protect that society and we must not be naive, I say through you, Mr President, to Mr Kuzu.
ParlaMint-NL_2016-11-30-tweedekamer-9.u108	I hear Mr Azmani expressing rather firm lyrics about integration. He says if you don't learn the Dutch language, you won't get a residence permit or lose it. How many times has that happened in the last four years, not getting a residence permit because someone doesn't comply with the duty of integration?
ParlaMint-NL_2016-11-30-tweedekamer-9.u109	It's a well-known question from the CDA. I would point out to Mrs Keijzer that it is a law of the CDA, Mr Leers, who brought this law to the Chamber at the time. In principle, people have to settle in within three years. It can be extended for another two years. We are now at a point where we see what consequences that should have. Mrs Keijzer also knows very well that you cannot simply withdraw refugee status because someone does not pass their integration exams, how often we may wish to do so, especially for other migrant groups.
ParlaMint-NL_2016-11-30-tweedekamer-9.u110	A you-bowl and practical objections. But the point is that Mr Azmani is being tough here. He has an oneliner: no Dutch learned, no residence permit.
ParlaMint-NL_2016-11-30-tweedekamer-9.u111	I said no Dutch, no welfare.
ParlaMint-NL_2016-11-30-tweedekamer-9.u112	Whatever. No citizenship, no residence permit. I note that the tough texts, including the part of the coalition agreement in which they are also included, have, of course, in practice resulted in not one withdrawn residence permit because of the influence of the VVD negotiators. You're kidding me, aren't you? Well, then you're gonna have to show those nuances here as VVDs, right? Otherwise, someone who sits and sees if this reads tomorrow "well, well, well, that VVD" when it turns out different in practice.
ParlaMint-NL_2016-11-30-tweedekamer-9.u113	This is more in line with the budget we are discussing next week. I expect the CDA to be on the same interrupting microphone again. I find it very remarkable that this political frame is constantly being rebuilt by the CDA, while it is a law submitted by their own minister in this Chamber. I have already said to a CDA spokesman, Mr Heerma, that we both end up in the same way. We both want it to have consequences, for example on the right of residence. We both want, if we can't, that it will have consequences for facilities that you would like to offer. Because if you stand with your back to our society, where do you get the right to say that that society should show solidarity with you? Look at our election program, too. There we have written a few things in addition to this. We should not now create the illusion that we can withdraw refugee status because someone is not here to settle in. But I think there are other ways to make the bath water very cold for such people.
ParlaMint-NL_2016-11-30-tweedekamer-9.u114	Finally, very briefly.
ParlaMint-NL_2016-11-30-tweedekamer-9.u115	This isn't about frames. What it's about, in essence, is whether you're honest about what's possible. I see the VVD constantly making promises and fine words swinging into society that are not being fulfilled in practice. That's dramatic for confidence in politics, and that's why I'm standing here.
ParlaMint-NL_2016-11-30-tweedekamer-9.u116	It's dramatic when you bring a law to the Chamber that's hard to enforce. In the coalition agreement, the VVD said that it does not apply to asylum seekers, to people with refugee status. Then you'll be fair, because you'll already say in the coalition agreement which group it doesn't apply to. Then there's family reunification. To explain it to Mrs Keijzer, we are talking about protecting the right to family life within the meaning of Article 8 ECHR. That requires a balance of interests. The Secretary of State also knows that I think that in certain situations you might also be able to make that balance of interests in favour of our state, our society. Those are things you need to build up to see if they're legally sustainable. I expect this Secretary of State to be working on that. But my mind doesn't stand still. We do not just have to look at the right of residence, if that is so difficult. In my opinion, we can also do other things, such as no longer granting assistance or saying that people are no longer entitled to allowances if they do not wish to burgeon. The principle must be: if you stand with your back to society, then you receive nothing from society.
ParlaMint-NL_2016-11-30-tweedekamer-9.u117	Mrs Keijzer, really only when it comes to a personal fact. We're not gonna have any interruptions in fours and fives and not that long. We still have 17 speakers to go.
ParlaMint-NL_2016-11-30-tweedekamer-9.u118	I agree with you, Mr President, but I appeal to you that if I ask a factual question, I get a short answer and not a you-bake and not a reproach to me. The net result is probably: zero refused or withdrawn residence permits.
ParlaMint-NL_2016-11-30-tweedekamer-9.u119	Please continue, Mr Azami.
ParlaMint-NL_2016-11-30-tweedekamer-9.u120	I'll follow the rules, Mr. Chairman. The fact that we had no control over the numbers of asylum seekers who came in and their background has made us feel unsafe. As a result, support for the reception of asylum seekers has been reduced. That does not make us racist or heartless, as I said before, but that makes us realistic. Protecting our society against large numbers of newcomers falls or stands with a manageable immigration policy. It is not for nothing that the VVD has been calling attention to the implementation of the March 2015 VVD plan, which advocates the reception of asylum seekers in its own region by making agreements with safe third countries in that region. For example, the agreements with Turkey last year have led to a substantial reduction in the influx of asylum. In 2015, we were still dealing with 58,000 asylum applications, which is likely to be half this year. If we had not intervened, we would have been expected to face 100,000 asylum applications this year. If we take the last month and drop it off by October last year, we can see that only a fraction of it is migrating through the south-east route, i.e. through Turkey and Greece, namely only 1%. That's the kind of arrangement that works. What doesn't work is opening the border to let anyone who wants to build a better life here. Our society simply can't handle that. What doesn't work either is the false solution of building a fence around the land. That would not only be practically impossible, but it would also cause great damage to our prosperity and jobs in the Netherlands. The VVD would therefore like to congratulate this Secretary of State and through him and this cabinet to the Prime Minister for the way in which they have managed the asylum influx in the past period. We are much better at it now than we were a year ago. Our country was in turmoil. Buses filled with asylum seekers drove through the country looking for shelter. Sports rooms were taken to serve as a place to stay. Now, a year later, the question is no longer whether there is sufficient shelter, but where we can close down locations. This is the kind of solution that benefits the Netherlands. I am glad that these rulers have taken matters into their own hands rather than, like the parties in this house, screaming on the sidelines without offering a solution, or, like others, sticking their heads in the sand and denying the problem. The rulers have identified the problems and then dealt with them.
ParlaMint-NL_2016-11-30-tweedekamer-9.u121	Am I hearing this correctly or is it a joke that the cabinet has reduced the number of refugees?
ParlaMint-NL_2016-11-30-tweedekamer-9.u122	The total number of refugees and displaced persons has only grown worldwide, but we can see that the number of asylum seekers, the number of asylum applications in the Netherlands, has fallen dramatically. We all know what this has to do with, namely the agreements that have been made with Turkey and because the Turkey route towards Greece has been blocked. That's what it's got to do with. I know this is hard for the CDA, but it has to do with that. During the Dutch presidency of the EU during the first half of this year, the cabinet also took very big steps in this direction.
ParlaMint-NL_2016-11-30-tweedekamer-9.u123	It's not a joke. The cabinet has reduced the number of refugees. However, it is very likely that it has been reduced by the fences that have been erected in the Eastern European countries. That's where it went down...
ParlaMint-NL_2016-11-30-tweedekamer-9.u124	That's bullshit. That would mean...
ParlaMint-NL_2016-11-30-tweedekamer-9.u125	Mrs Keijzer has the floor.
