ParlaMint-NL_2016-11-23-tweedekamer-8.u1	I would like to welcome the Secretary of State for Social Affairs and Employment.
ParlaMint-NL_2016-11-23-tweedekamer-8.u51	Yeah, but I always have to get the line back from where I left off. The municipalities will soon be obliged to offer this to someone who needs sheltered work, at least to some extent. Not only the municipality can let the UWV judge whether someone is eligible for such a place, but also the person himself. The College still has a decision to take, but I read the law in such a way that the advice of the UWV must always be followed. If I'm wrong, I'm happy to hear it, but that's how I'm reading the law right now. You would expect the influx into the sheltered work to take care of itself. After all, the municipality is obliged to offer someone sheltered work if necessary. Whether that's necessary, someone can be determined by the UWV. In order to keep that manageable, the government will soon be able to determine annually the number of places to be realized, also to steer at the appointment of 30,000 places. Can the Secretary of State indicate exactly how that will go? I imagine that every year the number of places to be realized will be looked at per municipality. Mrs Voortman also had this question: if the municipality has realized the number, what happens to the people who do not have to get a place because the municipality has already delivered their share? Are these people gonna be on the waiting list? Are they going to spend the day anyway? Can there be an exchange with municipalities where there are not enough places yet, but where there are no people who have been advised to go to the sw? I do not want to end up in a huge bureaucratic circus, in which every year a kind of tombola arises about how many people are to be offered sheltered work in a particular place. I come to a question that has been asked before. Cedris suggests that you should also be able to offer sheltered work temporarily. It was just about that in an interruption debate between the CDA and the VVD. What's the Secretary of State's reaction to this? We think it is an interesting proposal in itself, but perhaps there are certain things that we should not want to do. Can the Secretary of State respond to Cedris' suggestion? Additional resources will be made available for sheltered work. But we're also getting signals that there are shortages in the SW. The outflow is also less rapid than expected. How does the Secretary of State view this? SW companies can come back into the picture for the realization of sheltered work. I would like to hear the views of the Secretary of State. I read that sheltered workplaces must also be realized by regular employers. From the idea of inclusiveness, including work and the Participation Act, I think that's a nice thought. However, I can imagine that local authorities are embarrassed to adopt this approach, even now that an obligation is being introduced. You might get more of an automatism, because it all has to be organized itself instead of looking at whether regular employers can join. What can the Secretary of State do to encourage sheltered work by regular employers? Does she know any examples of places where this was properly picked up? And is it prepared to talk to municipalities about this in order to find out about the possibilities and the ways in which specific challenges can be addressed? What are the options for employers who would like to participate in this? I tabled an evaluation amendment together with Mr Heerma. In doing so, we can assess whether the current law, including its obligation, is actually doing what it is supposed to do. That's important to us. I understand Mrs Nijkerken-de Haan's remark, namely that we have so many moments already. It's not my job to add another moment, but we really need to keep our finger on the wrist. We want to know that the amendment also specifies how this is going to work out in practice, because this is a system change which will make it compulsory for us to do something which was essentially decentralised. It is important for us to look at how this is going to work out in practice. I hope that the Secretary of State can give a positive appreciation of that amendment. I'm waiting for the Secretary of State's answers.
ParlaMint-NL_2016-11-23-tweedekamer-8.u52	Mr. Chairman. Work has been paid more than once a month with the corresponding salary. It means that you make social contacts, gain life experience, develop yourself, participate and matter. Work makes people happy, according to all kinds of research. With the Participation Act, which entered into force on 1 January last year, we are trying to help people who, like you and I, want to move forward in, with and through their work in life but just a little more, or sometimes a lot more, need help in doing so. We do this by placing the direction in the hands of the municipalities. They are closest to the people and are supposed to know who these people are, what they can do, what they want and what it takes to get there. They have to take into account the personal circumstances of people and deliver customization. We also do this by creating at least 125,000 jobs in business and government for people with disabilities as a colleague between colleagues on the basis of the employment agreement made with employers and trade unions in the social agreement. Corporate social responsibility is more than giving Max Havelaar coffee and using recycled paper. It just means that you're giving the people who it's about in your company a chance. We are also doing this by making at least 30,000 sheltered places on top of them, by filling in municipalities, for people who are even more distant from the labour market. Local authorities are beginning to know their people more and more, thus increasing the chances of a match with a possible job, and business and government, according to last summer's intermediate measurement, are on track with regard to those 125,000 jobs, and sheltered work is quite different. A number of municipalities, not too much, are ugly in default. They do nothing, they do too little or they do not pay their people a decent wage through voluntary work or daily work.................................................................................................................................................................................... As a result, less than 10% of the 3,000 places that should be there by the end of this year have been realized. In other words, almost 3,000 people who have a great distance to the labour market are still receiving benefits at the moment, whereas that should have been a salary. That can't be the intention. It is an agreement to which municipalities and employers have committed themselves, as with those 125,000 guarantee jobs. So those 30,000 places just need to get there. That is why last year the Labour Party released EUR 100 million extra on Princess Day in order to make it financially more attractive for municipalities to work with sheltered work. For some time now, therefore, I have been calling for municipalities to comply by law with those agreements, even if they were made by them and on their own behalf. As far as I'm concerned, they're free in the way they shape that sheltered work. That can be a social workshop or an employer on site, it can be after a run through volunteering or daily spending if they end up with enough real sheltered work places. Places that include a salary that is also paid. I am glad that tonight we are discussing the bill that is going to ensure that, for all those people for whom a shelter is the way to work meaningfully and against a decent wage. Because work is much more than the paycheck, but surely the salary is part of it. It is also good that the Secretary of State has succeeded in agreeing with municipalities, employers and trade unions to impose that obligation. It is also good that she has managed to do so as part of a larger package of measures. A package that brings the inclusive labour market we and other parties stand for, a labour market where people with disabilities can simply participate, as a colleague between colleagues, and to which this law should contribute, one step closer. I will come back to that in a moment. Recently, I asked the Secretary of State to say that the extra EUR 100 million earmarked for this year, which has not yet been spent on sheltered work, remains available and therefore does not return to the Secretary of State. The Secretary of State made that commitment. Municipalities and social workshops welcome this. In addition, I would ask the Secretary of State to speak a little more firmly about the fact that she has recently promised me that she will be able to 'adjust a sleeve', if the actual payout figures from social services continue to deviate from the assumptions made when the law enters into force. I would ask her to resolve any financial problems arising from such a derogation, perhaps in the forthcoming Spring paper, and, if possible, to show some of them at the forthcoming budget debate. She has indicated that she is always in conversation with the industry, with Cedris, and with the municipalities. I myself will certainly come back to it on the occasion of the forthcoming budget debate. I just said that making it compulsory to create adequate shelter has become part of a total agreement made by the Secretary of State with municipalities, employers and trade unions. That is why, but also because we in the Chamber have insisted on this, the legislative proposal we are discussing this evening also regulates the so-called practical route. This is an adjustment of the procedure to create a guarantee job, which, according to friend and enemy, will lead to extra places and additional pay instead of a benefit. That's good news. If this can be done by making procedures less cumbersome, complicated and bureaucratic, then of course we as the Labour Party are in favour of it. However, I would ask the Secretary of State to ensure that the consequences of officially opening up this practical route are constantly and strictly monitored. I'd like to see if there are any easier places and who gets into them. I want to see if these are very different people from those who follow the normal path and who enter into orbit through the target groups register. As far as the Labour Party is concerned, it cannot be the case that people from the latter group will be much less likely to be caught up by, for example, people who can earn the minimum wage on their own or who cannot do so for a reason other than illness, accident or lack. The pilots held show that this will not be so bad, but still. I would like to hear from the Secretary of State that, as soon as the monitoring I have requested shows that it is completely different, she is going to table with trade unions and employers to see what that means for those 125,000 places we agreed on together. I'm gonna lock up. The Labour Party, as much as it is clear, welcomes the introduction of the so-called practical route, which has listened to practical suggestions and which will lead to more people from a distance from the labour market getting into a real job. We all benefit from that, those people themselves in the first place. I have just said what we need to keep an eye on and how we should do that as far as I am concerned. The Labour Party also welcomes the fact that, in addition to the at least 125,000 job guarantees for people with disabilities to enter, the 30,000 sheltered jobs agreed on on top of them are receiving the attention they deserve. By guaranteeing the latter now in the law, the people who it is all about are given a place of work that takes account of their talents and their limitations, at a decent salary, because they deserve it.
ParlaMint-NL_2016-11-23-tweedekamer-8.u53	Mr. Chairman. Mandatory job protection and the practical route: we have discussed this repeatedly in the House of Representatives. Colleague Heerma mentioned that as well. One half was in favour of not making sheltered work compulsory and the other half wanted to make the practical route possible. On the one hand, it is very nice that the Secretary of State in her office has linked the two. So we will all have to consider both aspects. On the other hand, this does not do justice to the real content of its discussion and to the fact that each of these instruments is good enough to make it possible in practice. However, we will now have to discuss these two together and consider them. I'll start with the practice route. D66 is very pleased with the practical route. We've often argued for that. Opening up the practical route to the target group of the job agreement is therefore a good step forward. In addition, we have also asked whether the practical route is also possible for sheltered work, at least to investigate whether that is a possibility. The Secretary of State has previously made a commitment to me: yes, I want to do that for you, we will find out and inform the Chamber about it. Now I read in the note on the report that this is not so clearly promised anymore. I'm being very gentle right now. Maybe the Secretary of State can clarify that. I come to the obligation of sheltered work. With the entry into force of the Participation Act, municipalities have been given the responsibility to help as many people as possible to work in need of support. Offering 30,000 sheltered places is part of that. D66 also sees that the numbers of sheltered areas are left behind. It is good that the Secretary of State is critical of that. We too are critical of this. But the law has only been in force for a year and a half and the number of 30,000 sheltered sites is not intended until 2048. That's a lot of years from now. D66 attaches great importance to the fact that municipalities really have the freedom of policy and responsibility assigned to them by the Act of Participation, precisely because municipalities have the best view of the needs of their own population and can offer local customization. The Council of State is also very critical of compulsory sheltered work, but at the same time my group sees the need to create adequate shelter for those who need such a place of work as soon as possible. I would therefore ask the Secretary of State once again to indicate what she has done to allow municipalities to create more sheltered places other than by means of an obligation. Could the Secretary of State elaborate on this? The municipalities indicate that they have not yet or are limited to creating places. In a year and a half I can imagine something about that. They can't find candidates or they can't afford it financially. Can the Secretary of State rule on this, too? How does she think the obligation will help in this? And how is she going to give space to the municipalities to properly implement this part of the new law? By the way, I am also very curious about the answers to the idea in the letter from Cedris to make sheltered work possible as an intermediate step. How does the Secretary of State see that? It could also be a response to the criticism of the Council of State, which sees a bottleneck here. Perhaps this will open the way to a better interpretation. Finally. In Tilburg it was chosen not to create new facilities with sheltered work. There people are always looking for an appropriate solution for residents of the target group on an individual level. This Tilburg alternative works. Even more people have been led to work, paid or unpaid, than in municipalities that officially offer sheltered employment. Isn't this what we had in mind with decentralisation? Isn't this a method that other municipalities could take up? Then we do not have to draw back to us a power that we have delegated.
ParlaMint-NL_2016-11-23-tweedekamer-8.u54	Mr. Chairman. We are discussing tonight the umpteenth amendment of the Participation Act, which replaced the Welfare Act, the Wajong and the Social Employment Act in 2015. With that law, one of the biggest and meanest cuts of this PvdA/VVD cabinet was also carried out, supported by most parties in the Lower House. I noticed something in the contributions to this. Mrs Schouten said: it should all be simpler, because then you can give the subsidies to the employers and then it is easier to hire people. Mrs Koşer Kaya spoke mainly about the municipal systems. That kind of characterizes this law. This law has no regard for the people who it's about. For who asked for their opinion when and how? What do people actually think of this law? I know a lot of people who are now working in social services and who are concerned about the future. I know a lot of people who got dumped in welfare. In other words, this very large group of hundreds of thousands of people has been made poorer and more insecure. These people need to be involved in the ratchet of flexibility and the passing off of the cuts in this cabinet's plans, which have been caused by the crisis. The aim of the law is to give everyone an equal chance: everyone a fair place and everyone honest work for a fair wage. Mrs. Voortman said the same thing. But the practice turns out to be so much different. It's a bureaucratic monster. Does the Secretary of State recognize that, too? What does the Secretary of State think about the fact that fewer and fewer people with disabilities have entered work in recent years, between 2009 and 2015? 240,000 to be exact. Isn't the agreement of 125,000 insecure jobs to be realized in ten years' time not shabby, if you look at it that way? All the more so because 70,000 real paid places in the social work facility are removed and a death home construction has been devised. Indeed, this was a pubess, I called it "Klijnsma's pubess" at the time, in order to conceal the cuts in social services. That's why the Chamber and MPs are so struggling with this. Because this is actually designed to leave a bit of certainty for the people who really can't do otherwise. At the same time, the finances were not provided. When the Labour Party says that there must be a collective agreement and certain conditions, the funding is not considered, because that is not what the VVD wants. Moreover, we have a problem about whether or not to oblige. And the people are just screwed. Nevertheless, the Secretary of State, I understand that, because she is the Secretary of State, she has to do with the practice and she has implemented this law and the corresponding austerity measures to manage the consequences. She does. She wants to do a number of things, such as obliging municipalities to create sheltered workplaces on closer inspection. In addition, it wants the municipalities to determine who belongs to the target group on a practical route. Let me start with that first point. We have insisted very strongly in the course of the treatment that, if your objective is to create another 30,000 places of old style, to put it that way, it is not entirely, but that was a bit the intention to achieve as a replacement for the death home construction, make sure that you regulate that right away in terms of funding and legislation. We have tabled a proposal, but almost all parties voted against it. And now we're here two years later. What has happened over the past few years to all those people who oh so badly want a real job with a real wage? Last year 1,600 jobs were to be created and 3,200 this year, but the number remained at 116. So, yeah, that commitment's good. We have always argued in favour of this, because there are also people who need it. It is also good that the Secretary of State opens the possibility for people to ask for such a place at the UWV. After all the dismantling of rights, they get the little bitch back to ask for their own advice. How are people informed about this? What about the necessary conditions for all this to work properly? Municipalities simply do not have enough resources and are already suffering from deficits. Others remembered that, too. It's over 300 million. The resources temporarily released from sheltered work by the Secretary of State are insufficient and not structural. Is the Secretary of State at least prepared to make the bonus for sheltered workplaces structural? There's another problem, too. The Secretary of State says: if municipalities realize less places than I dedicate according to a calculation by the Ministry of Foreign Affairs, not according to the needs of people, but according to a calculation by the Ministry of Foreign Affairs, that is allowed and then they can keep the money. But if a lot of people need a place like this, a real place to work, we're not gonna fund it. It serves people towards a waiting list. If the Secretary of State wants to take this step and not be a noose, why isn't the Secretary of State prepared to finance it as needed and to actually realized places? Then how do people, when placed on a waiting list, know where they stand and when they get to? I would also like to comment on that point. A not insignificant point and, at least for the Labour Party, the idea behind all this is: we have a death home for those oh beautiful SW companies, but instead something for those who need support, so that they can participate in workers' rights and full pay. However, I do not read anywhere that there will be a collective agreement for the people who are going to work in these shelters. Of course, that has to do with funding. I would therefore like to ask the Secretary of State: what is it now? Will it indeed be another temporary toy that we will then evaluate? Or are we building up a number of real workplaces? If so, does the Secretary of State share our view that a collective agreement should be achieved? Shouldn't this be the bet? I come to the second point, the practical route. That has everything to do with who is and is not covered by this law and what people with disabilities can take things to a job, to put it that way. We have tabled a lot of motions and amendments in the past to broaden the target population register, so that everyone with a disability is counted for the job deal and the quota. Unfortunately, we did not get a majority for that. It is therefore quite remarkable that the Secretary of State now broadens the target group register and the job deal through the so-called "practice route'. I understand all the concerns and practical obstacles, but at the same time I think: what does this mean for people? There has been a trial, and I believe all this, but how are we going to determine whether or not someone has a limitation? That's happening through the UWV now. This is said to be too theoretical. Municipalities do it in a practical way. But I want to be sure that the purpose of this law, namely to help people with disabilities to get a job, is maintained and that the law does not lead to repression, so that employers get good subsidies but that the hundreds of thousands of people who are looking for a job can eventually whistle for it. I have prepared two amendments for this. I would very much like the Secretary of State to listen to the SP on this point for once, so that we do not have to correct it years later. Finally, I have a question about releasing the re-employment conditions.
ParlaMint-NL_2016-11-23-tweedekamer-8.u55	Mrs Karabulut refers to me all the time when she talks about subsidies for employers, so I think she is referring to me.
ParlaMint-NL_2016-11-23-tweedekamer-8.u56	Mrs Schouten's point was so striking: making it easier for employers and then people get to work. The practice is completely different.
ParlaMint-NL_2016-11-23-tweedekamer-8.u57	Perhaps that is the crux for practice and perhaps Mrs Karabulut should reflect on it sometime. I also come to the country and sometimes speak to people with such an employer. In fact, I have spoken to employers a number of times who said: please do me a number of people, whom I really like to help out and which I really like to invest in; all I ask is to help me a little bit with the difference in pay value between what someone gets in pay and what they actually earn, because that makes the threshold for helping someone get to work a little easier. That is what I believe we are all pursuing here. Mrs Karabulut cannot be very angry at the moment when we are asking for a proper arrangement to be made so that those people can be helped to get to work.
ParlaMint-NL_2016-11-23-tweedekamer-8.u58	I don't get mad for that reason. Then Mrs Schouten completely misunderstands me. In fact, she misses the crux of where things go wrong. I am angry that we are first breaking down a pearl of a provision with a good collective agreement and a good wage for those people who need it, and then wanting to replace a b alternative and not even get it done. I am angry that workers' rights have been broken down and that subsidies are now going to employers, when we are not prepared to organise security for the people. That makes me angry, not to solve practical problems. Yeah, I know those employers, too. Of course, there are social entrepreneurs who are eager to get to work and who are hampered by bureaucracy. Of course we have to solve that, but the story is more than that. That's what I'm talking about.
ParlaMint-NL_2016-11-23-tweedekamer-8.u59	I would point out that Mrs Karabulut is creating a false contradiction, in which employers are getting a good subsidy and workers are being put in the cold. One can't do without the other. If an employee is to be employed, then there will really have to be an employer who can hire him. This is what all these measures are aimed at. That's what we've been trying to do. I find it really disgusting when Mrs Karabulut pretends that we are just trying to benefit employers. These are employers who want to invest in those people. The fact that we are helping them to do this seems to me to be more than right.
ParlaMint-NL_2016-11-23-tweedekamer-8.u60	The Christian Union has taken away many of these workers, people with disabilities who are looking for a job, their security, and is now looking for an alternative. Of course I'll help improve that alternative. But the Christian Union had done the right thing, and I am still very sad about it, not to break down the pearls and the certainties that we had, and then come back with uncertain alternatives, which indeed do not even seem to help. That's all I'm asking: a little self-reflection. That's all I'm asking. Mrs Schouten cannot deny that there are hundreds of thousands of people who are either unpaid work without pay or looking for a job or are being dragged from regulation to regulation, while we could also think about a way to organise decent contracts with each other. But that is not what Mrs Schouten is about, because she has signed up to abolish it.
ParlaMint-NL_2016-11-23-tweedekamer-8.u61	Mrs. Schouten, you're being addressed, so you can respond.
ParlaMint-NL_2016-11-23-tweedekamer-8.u62	In my view, the aim here should be to find the best opportunities, both for the employer and for the employee. The SP stays in its own record and is not willing to look at how to improve the existing practice. I admit that there is a need to improve things. I have put up my whole speech on this, but to make a caricature of employers who collect premiums, I really fit for that.
ParlaMint-NL_2016-11-23-tweedekamer-8.u63	I don't make a caricature of employers, the policy is just ridiculous. Over and over again, every study shows that the sec subsidises and opening up more schemes... I say that apart from the problems that exist. I have also made proposals for the solution of this. I want to build in certainties. Premium discounts and all that kind of stuff and allowance subsidies don't work when you haven't organized the place properly. That's what it turns out. What is being done in practice about these jobs, about these super-job agreements? Most of the jobs still go through existing SW companies. Why? Employers do not want this burden, employers do not want that responsibility at all. What I advocate is that we provide those guarantees for the people. They must not suffer.
ParlaMint-NL_2016-11-23-tweedekamer-8.u64	This is simply a factual error. We received the figures for the job agreement last time. Who would have done the best? Business. Business had employed most people, not the Empire. We have attacked this Secretary of State for that. Mrs Karabulut says: the companies do not employ the people at all. That's not true. Look at the numbers.
ParlaMint-NL_2016-11-23-tweedekamer-8.u65	Well, the figures show that 240,000 people with disabilities work less. It is true that, of course, a large proportion of the jobs are provided by employers through SW posting.
ParlaMint-NL_2016-11-23-tweedekamer-8.u66	There is a second term, Mrs Schouten.
ParlaMint-NL_2016-11-23-tweedekamer-8.u67	Mrs Karabulut and I have not often agreed in the debates on the Participation Act in recent years. In the beginning, however, we agreed on the fact that the Participation Act looked very much like the Work Act according to ability, as it was in the previous period.
ParlaMint-NL_2016-11-23-tweedekamer-8.u68	Well, that's what I'm talking about.
ParlaMint-NL_2016-11-23-tweedekamer-8.u69	Our parties have been consistent in the appreciation of that legislation. Although I very much disagree with many of Mrs Karabulut's points, I understand that she repeats the criticism she has always had here. That's consistent criticism. The further progress of your speech does raise questions for me. The bill contains amendments to legislation on which you have always been very critical. But what do you think of these adjustments and what is your appreciation of the present bill?
ParlaMint-NL_2016-11-23-tweedekamer-8.u70	I just explained that.
ParlaMint-NL_2016-11-23-tweedekamer-8.u71	You have explained a great deal about the previous legislation and, above all, what the criticism of the SP was about the Participation Act, a law that we have dealt with here and which has now entered into force. An appointment has been made in the Work Room, which can therefore count on support, and there are proposals to adapt a number of things. These are matters of which my party was in favour and which your party was critical and of which your party was in favour and which my party was critical. If you look at the whole thing, is this a proposal that your party can support or is it too little too late and a bad proposal that the SP is not going to support?
ParlaMint-NL_2016-11-23-tweedekamer-8.u72	I have looked at everything and in my view you cannot, of course, separate that from the law. It's about the Participation Act! I'm sad it has to be like this. I have also indicated what I like about both parts: yes, sheltered work must come. What I find problematic is that funding is insufficient. And what I'm struggling very much with is the practical route. Don't you open the door to subsidised cheaper labour at the expense of the people who it should be about? In other words, isn't this about displacement? I've made proposals to prevent that. I have asked questions and, on the basis of the answer, I will assess what we are going to do with this law. Because I haven't figured that out yet.
ParlaMint-NL_2016-11-23-tweedekamer-8.u73	You will end your speech.
ParlaMint-NL_2016-11-23-tweedekamer-8.u74	Mr President, I should indeed like to ask my last question about releasing the re-employment condition. The question to the Secretary of State is: how is the Secretary of State going to ensure that, as of next year, the people who have already been indicated and are already at work via SW, whether or not they are accompanied or posted, do not count? I'm asking because it was the initial agreement to actually create new jobs. That's it, Mr. Chairman.
ParlaMint-NL_2016-11-23-tweedekamer-8.u75	Thank you very much. That brings us to the end of the first term of office. I shall suspend the sitting until exactly 9.30 p.m. to allow the Secretary of State to prepare her reply.
ParlaMint-NL_2016-11-23-tweedekamer-8.u76	I am happy to give the floor to the Secretary of State for her answer in the first term.
ParlaMint-NL_2016-11-23-tweedekamer-8.u77	Mr. Chairman. I am of course grateful to the Chamber for its initial contribution, but not only that, I would also like to thank the Chamber for the speedy handling of this bill as well as for the speedy way in which it has been presented, in this case the Bureau. That's really fun. All the members of the Chamber who have spoken have stressed that we are talking here about three issues: the implementation of the practical route, the legal regulation of the sheltered work and the abolition of the re-employment requirement. A number of Members have asked me to reflect on this once again. How exactly did that go? I made administrative agreements with the social partners, the VNG and the UWV to further improve the Participation Act and the Jobs Agreement Act. We have, of course, always looked together with the spokesmen in recent years at how we can make improvements from the point of view of practice. The fact that we can now, for example, transmit the no-risk policy to employers for an indefinite period of time also helps enormously to provide jobs for an indefinite period of time. That is the kind of thing the Chamber has always wanted to do with me. I'd like to keep those administrative arrangements. I also notice that the Chamber understands that. She is quite equestrian in that, moreover, in the sense that one spokesperson says he is happier with one and that the other spokesperson also says very equestrian that he is happier with the other, which I can see very well. Administratively, we agreed that we would discuss these three measures in conjunction with each other. They are also a whole, one might say... to further improve the functioning of the Participation Act and the Jobs Agreement Act and thus contribute to the inclusive labour market. In fact, the whole Chamber has also contributed to this. Everyone supports this inclusive labour market. It really doesn't matter whether you're old or young, white or black or with or without a limitation. I think that I have also answered the question of the PVV. Decentralisation is, of course, the leitmotiv under the Participation Act. The starting point of the Participation Act is to lead people with work capacity to work and provide tailor-made work. This customization can, of course, be offered by municipalities. If you have that in mind, and you really have it in your mind, if I may put it this way, the agreements we have made with our fellow governments and the social partners, it is, to say the least, extraordinary that more than a quarter of the municipalities do not offer sheltered work at all, that the number of municipalities that do not offer sheltered work has even increased from 19% to 27% between 2015 and 2016. Some of the Members have asked what I have done to stimulate the situation. It has also been argued from the Chamber that financial resources have been provided, a bonus on sheltered work. Implementation support has been taken forward. The extension of the no-riskpolis to the target-group sheltered work has been done. I have also put the emphasis on this many times in my administrative consultations. Then there are municipalities that simply do not offer sheltered work. They do not offer tailor-made solutions and thus deprive the most vulnerable group in the labour market of the opportunity to work. I say this with emphasis, 'payed to work', because you simply want to, at least, I think that is also the leitmotiv of actually the whole Chamber that if people can stop their own pants, with help of course, we really have to back that up. That's what's happening with this law now. Mrs Schouten asks what exactly is going on with these municipalities; I will, of course, appoint a number of members. Why don't these municipalities do it? That's what several members asked for. I am told that municipalities find the facilities unattractive because they have a large impact on the available budget. Municipalities find alternatives like daily spending more attractive. Municipalities also say that they already have a lot of things to do and that they have come to this only limitedly, but that they might be looking at this in the next year's editions. Some municipalities say that they find the assessment by the UWV complicated. Other municipalities say they can't find candidates at all. On the other hand, a large number of municipalities do make sheltered places, sometimes many sheltered places. I mention the municipalities of Leiden, Almere, The Hague, Breda, Den Bosch, Amsterdam, Oss and Apeldoorn. In short, it can be done. This led the cabinet to submit this trio of measures to the Chamber. First of all, I should like to comment on the amendments as they stand.
ParlaMint-NL_2016-11-23-tweedekamer-8.u78	But not after Mrs Karabulut of the SP has posted an interruption.
ParlaMint-NL_2016-11-23-tweedekamer-8.u79	That was the administrative balance within the framework of the Participation Act, but has there been talk of a real alternative, namely to the infrastructure we already have and to the collective agreement SW? Why don't we make sure that people who need it can flow in there so we don't have to be complicated?
ParlaMint-NL_2016-11-23-tweedekamer-8.u80	Mrs Karabulut knows that I think the infrastructure of the SW companies in our country is very good. I see that all the municipalities I have just mentioned, which are now making new sheltered work or have already done so, are using the vehicle social work company if I may put it this way. Many of these municipalities and labour market regions are now transforming social work companies in such a way that the people covered by the WSW keep their place in those social work companies, but that new sheltered work can also be implemented there and that reintegration over the broad target group can also get hands and feet there. You could call that the SW company of the 21st century. I notice that the transformation is now taking shape more and more, as Cedris tells us. The Court has made funds available for this purpose. The infrastructure of the SW companies therefore remains intact. I have heard from a number of Members that they think that social work companies are failing. This is by no means the case, according to practice.
ParlaMint-NL_2016-11-23-tweedekamer-8.u81	The Secretary of State speaks with two tongues. Excuse me, "double tongue," indeed. But that's two!
ParlaMint-NL_2016-11-23-tweedekamer-8.u82	If you speak with multiple tongues, you have Holy Spirit, I believe!
ParlaMint-NL_2016-11-23-tweedekamer-8.u83	We'll be back at Pentecost, won't we?
ParlaMint-NL_2016-11-23-tweedekamer-8.u84	Yes. That's getting a little complicated!
ParlaMint-NL_2016-11-23-tweedekamer-8.u85	But the Secretary of State has indeed opted for a death home construction. Social work companies are indeed doing their best and a whole number of municipalities are doing their best, but they are structurally under 300 million. At the same time, the Secretary of State is now trying to turn a blind eye to a new provision against poorer working conditions. Why is it not in line with practice in this respect? Why doesn't she just let people re-enter, in accordance with a decent collective agreement?
ParlaMint-NL_2016-11-23-tweedekamer-8.u86	Just so we're clear and clear, this death home construction is not on the table. That's what you see in practice. The social work companies are simply continuing and are transforming. People who are working there now can keep their jobs there.
ParlaMint-NL_2016-11-23-tweedekamer-8.u87	But...
ParlaMint-NL_2016-11-23-tweedekamer-8.u88	Whoa, whoa! First, the Secretary of State finishes her sentence. In addition, we agreed to do interruptions in two. Only in the case of exceptional circumstances do I allow you to interrupt.
ParlaMint-NL_2016-11-23-tweedekamer-8.u89	I agree with Mrs Karabulut that when people are working, they need an orderly collective agreement. The same applies to people with sheltered work. This can, of course, be done in the context of the municipal collective agreement. If the municipality is an employer, then people who are now going to work sheltered can be covered. If municipalities choose to place sheltered work elsewhere, people will be covered by this collective agreement. Of course, it is also possible that the social partners want to design a whole new collective agreement for sheltered work. That's really up to them. I note that a new collective agreement has been concluded for the people working in the SW. I note that two weeks ago I made EUR 10 million available for the retirement provision of the 'old' SW'ers. I note that if social partners want to agree a collective agreement for people who are going to work in this new sheltered setting, they are completely free.
ParlaMint-NL_2016-11-23-tweedekamer-8.u90	I note that the Secretary of State is in the process of reshaping, but I also note that she is not actually telling the truth. After all, a death home construction was invented. There are 70,000 people who need to flow out and there is no new influx into the current SW construct. Contrary to the aim of this legislative proposal, namely clear regulations and fair work for fair pay, we now have A, B and C employees and some companies are incredibly difficult, with a deficit of 300 million. The Secretary of State is looking for a complicated way to accommodate the VVD and others who are facing worse working conditions. I think that's a shame. I find that incomprehensible.
ParlaMint-NL_2016-11-23-tweedekamer-8.u91	I really want to throw this far from me. The inspection report also shows that all municipalities that choose to have sheltered work carried out do so through the SW company. That infrastructure does not stop there. The House has invested EUR 30 million through the Christmas amendment in order to bring about the transformation into the 21st century. I note that in all labour market regions not only the municipalities but also the social partners say that they want to maintain the social work company tool, because they see how important it is for the infrastructure in their labour market region. That's just a fact, which I'm very pleased about, by the way. The ESC has also said that social work companies are essential for the future. Employers and employees both say that this instrument must remain upright. I agree.
ParlaMint-NL_2016-11-23-tweedekamer-8.u92	You would hardly believe it after our interrupting debate just now, but I have to go with Mrs Karabulut a little bit now. We received some kind of emergency letter from Cedris not so long ago indicating that most SW companies...
ParlaMint-NL_2016-11-23-tweedekamer-8.u93	There are only people who are still listening with us. I've heard that name a few times. Cedris is an interbranch association for social employment and reintegration. Did I get that correctly?
ParlaMint-NL_2016-11-23-tweedekamer-8.u94	You understand perfectly well.
ParlaMint-NL_2016-11-23-tweedekamer-8.u95	If we use words that people don't know at home, then we need to explain them.
ParlaMint-NL_2016-11-23-tweedekamer-8.u96	It's the umbrella of all social work companies.
ParlaMint-NL_2016-11-23-tweedekamer-8.u97	Even better!
ParlaMint-NL_2016-11-23-tweedekamer-8.u98	This umbrella has sent a letter stating that most social workers have counted on the low-income advantage and have also taken it into account in their multi-annual budget. They have now seen, among other things, that only part of the low-income benefit is due to them, which has now given them a problem. What did the Secretary of State do after she got this signal? Has she contacted the trade association about this with Cedris? Is she prepared to look with Cedris at the consequences of this and whether it is still possible to maintain the infrastructure if we really want to?
ParlaMint-NL_2016-11-23-tweedekamer-8.u99	We have, of course, with Cedris and with the VNG, the Association of Dutch Municipalities, chairman of the Dutch Association of Municipalities, always looked again and again at what happens per year. I also promised the municipalities that I would look again every year to see if the outflow figures of the old WSW are consistent with our assumptions on the front. That's what we're gonna do. In the meantime, that low-income advantage came. That was, you might say, an extra resource for SW companies to keep their finances in order. During the Chamber's treatment of that low-income benefit, things were adjusted. It is now too complicated in technology, Mr President, to measure all this widely.
ParlaMint-NL_2016-11-23-tweedekamer-8.u100	I understand that, too.
