ParlaMint-NL_2016-01-12-tweedekamer-10.u1	If he has stopped his phone, Mr Van Gerven has the floor first.
ParlaMint-NL_2016-01-12-tweedekamer-10.u22	No, the hard line is the ceiling. We're all there. That ceiling may, of course, vary from one year to the next when we consider that a different ceiling should be set. But, of course, that's a tough line, because you're not going through the ceiling. So you always decide here with each other what ultimately the ceiling is. Until now we have done the same and we see that this ceiling is not even half completed. We see, in particular, among certain age groups, that they do not know how to find the way because there are thresholds which, if we go back to our own time, we might still be able to imagine that they could exist. You have young people who feel depressed, and people who suffer from gambling, alcohol or game addiction. Those are the groups that can really benefit from this. Some of those groups are looking for help and another part feels ashamed to seek that help. Only effective interventions are subsidised and thus basic quality is guaranteed in principle. The IGZ simply supervises the quality of the care. I come to the question of the PvdA and the VVD whether it is the starting point that one gets into regular care. Yeah, that's the starting point. The subsidy is specifically intended for people for whom anonymity is a necessary condition. People can't claim that care for other reasons. A healthcare provider is required to make it clear that the appropriate category of persons makes use of it. A letter of amendment to split the bill could legally. This regulation has, moreover, come at great pressure from the Chamber, not only because of the motion of the SP. I have been having debates with your Chamber in the budget debate for many years about the need for an anonymous aid subsidy scheme. Of course, I could have allowed this subsidy scheme to continue, but I want to have these guarantees carried out by Zorginstituut Nederland, as I mentioned earlier.
ParlaMint-NL_2016-01-12-tweedekamer-10.u23	I think we'll get to the bottom of it. Can the Minister explain what the advantage of bringing this into the Health Care Institute and moving away from the methodology that has also worked in recent years? Why wasn't it chosen to go through a subsidy scheme through the Ministry?
ParlaMint-NL_2016-01-12-tweedekamer-10.u24	Apparently, there has been a need for a subsidy scheme for years. The need for this has been pointed out several times in this Chamber. You can let it go, but we think that Zorginstituut Nederland is the appropriate body to implement such a scheme and to check whether the scheme works, what additional requirements need to be added and whether there is more evidence based. Zorginstituut Nederland is our package manager. The Healthcare Institute can see if anything works or not. We would like the things that are being used to be properly investigated. Several MPs have asked for this. What is being applied is being examined, but there can of course also be a development in this scheme and in anonymous aid. We want what we believe should be carried out there. There is now a subsidy that runs through the budget. This will be a contribution-financed grant which will then be covered by the fund. We've let this go for a couple of years. You can say that the subsidy scheme is meant to try something out. Either you perpetuate this one or you say we don't need that arrangement anymore. We've decided on perseverance.
ParlaMint-NL_2016-01-12-tweedekamer-10.u25	That is clear in this proposal. We still have the necessary questions about commitment and effectiveness. That is why the Minister also argues that it would be good if the Healthcare Institute looked at this further. Wouldn't it be wiser to extend this subsidy scheme even further in order to get a picture of it? At the moment, the Healthcare Institute can play that role without the adoption of this bill. Then you have the certainty that resources will be used for good methodologies and that the help you want will be provided.
ParlaMint-NL_2016-01-12-tweedekamer-10.u26	The interventions offered are evidence-based. So we don't care about non-evidence based. That's what I'm saying about the first argument. The second argument is that Zorginstituut Nederland can do it without law. But you can't. That's why I come up with a law. So you're securing it in the system. It's nothing new. The Chamber itself has for years stated that it considers this to be extremely important. It's evidence based, but we've been implementing that grant scheme for three years. At some point, we were asking whether we're going to go through with it or not. If we continue, we will invest it where it is best, namely at Zorginstituut Nederland. The Healthcare Institute can also develop it further with the knowledge it has in its home. D66 asks whether we want to include in the evaluation in how many percent of the cases the guidance to regular care succeeds. I'm sure I'm willing to do that. I will also ask Zorginstituut Nederland if it wants to take that point. Does Grip fall for your Trimbos Institute Dip under the bill? Grip's interventions on your Dip are covered by the bill. This also applies to the other sites I have just mentioned. There is a whole overview of the sites that are covered. I come to the multi-annual grant. Grip's interventions on your Dip have been subsidised for years. However, there is an annual submission of the question. It does not apply to the information section, but it does apply to the intervention sector. I have just told Mr Van Gerven that I want to keep it that way, but I do want to include it in the evaluation.
ParlaMint-NL_2016-01-12-tweedekamer-10.u27	I have just said that it is also very important for D66 to be led to regular care. Websites like Grip on your Dip. There are also a lot of other.... are actually more preventive in nature. Does the Minister mean to prevent people from finding themselves in such a situation that they end up in regular care? Could this be measured, and could this possibly be taken into account in the evaluation? Can you establish that a certain percentage after an intervention of a number of treatments, anonymously via such a site, is ready and that you don't see the people who are involved again? Or is that hard?
ParlaMint-NL_2016-01-12-tweedekamer-10.u28	It's hard to evaluate the law. When evaluating the law, we evaluate the parts of each site that are covered by the law. There are all kinds of things we do in the preventive area. I think we can talk about this in another context. The importance of this is evident. This bill really looks at the area of care that is normally provided mainly by the Health Insurance Act, but which we are financing in a different way precisely because we want to catch these people. I really do not want to commit to this evaluation, because we are bringing in a very inappropriate element.
ParlaMint-NL_2016-01-12-tweedekamer-10.u29	I understand that, and I will certainly come back to it when this is discussed at another time.
ParlaMint-NL_2016-01-12-tweedekamer-10.u30	Fine. What steps will I continue to take to minimise the traceability of persons? As long as the bill has not entered into force, the pilot will continue. Together with the National Police, the Public Prosecutor and the Healthcare Institute, I am discussing improvements in the implementation of the scheme. I'll keep talking to them about that. The anonymity is already fully guaranteed for this group of people covered by this bill. Declarations shall be submitted via a unique registration number, not in the name of the endangered person. In the police department, these declarations are not handled by the ordinary administration department, but by a special department of conflict and crisis management. Would I like to inform the Chamber about the financing of care for threatened persons and about the course of events? I do. I'm talking to the Healthcare Institute, the National Police and the State's Attorney's Office about an improved implementation of the pilot that's still running. I'll share the results with the Chamber. Who sets criteria for when anonymity is necessary? It is the healthcare questioner himself who seeks this form of care. An intake takes place in which questions need to be answered showing that the care provider is not looking for regular care for important and relevant reasons. This gives the healthcare provider an idea of the need for anonymity. Sampling shall be carried out to verify whether this is actually the case. You also need an audition and there are screenshots. There are methods for that. Can I guarantee that e-health will always exist next to the treatment room? I totally agree with Mrs Bouwmeester that you really need to see who the caregiver is. What works best? What's the need? E-health I will never fulfill all the need for care. Care will always be provided in treatment rooms. I actually think that you will generally end up in a mix, where it complements one another. How does selective selection reference take place? The treatment has an anonymous character. Therefore, the healthcare provider cannot explicitly refer, but the person asking for help will point out that this is sometimes really necessary. It will certainly be dealt with in that intervention. How can you object if anonymity is not guaranteed? This is a boarded-up system. If you feel that your privacy has been violated at all, in any situation, you can always go to the College Protection Personal Data. If you think that the help given is not good, you can always go to a complaint counter. All the legislation we have made applies to these patients as well. However, the chance of someone complaining at a counter is less if he asks for help anonymously. However, the legislation does apply. Can the effectiveness of treatments be included in the evaluation? I have indicated that I will indeed ask the Dutch Health Institute. In his amendment, Mr De Lange proposes that, within two years of the entry into force of this law, I submit a report to the States-General on the effectiveness and effects of this law in practice. I think it is a positive amendment and leave it to the Chamber to decide on it. That's it, Mr. Chairman.
ParlaMint-NL_2016-01-12-tweedekamer-10.u31	Thank you very much, but Mr De Lange would like to ask you another question.
ParlaMint-NL_2016-01-12-tweedekamer-10.u32	As far as the scope is concerned, I believe it is relevant to what kind of mental illness it is actually about. What exactly is it about? I note that it started once from addiction care and that we are now talking about interventions aimed at teenagers around gambling. What is the Minister's framework for the interventions she intends to include in this? The number of interventions says something about the budget you have. Which way is it moving now? I see growth, but the question is, of course, whether it is effective. I'm glad to hear that this should eventually lead to regular care. To make it very concrete: that teenager comes in via the internet, but if I understand correctly, it is necessary that that teenager finally arrives at the GP. Otherwise, he will not end up in regular care in the follow-up. So my question is: will this not ultimately be an arrangement on which we will say in a few years' time: it is so outspoken that we no longer see the forest through the trees?
ParlaMint-NL_2016-01-12-tweedekamer-10.u33	I think that's a very small opportunity. If this was an arrangement that I would say you can have all kinds of care that you normally have to pay your own risk for, then I can imagine that people do not want to pay that risk and so ask for that help. But that is not the case here, we are talking about primary care. So I don't see any financial incentives here. The second point. If you have a problem and you have a treatment in front of you, you can have a relationship with it and get in touch with it. I mentioned the teenagers as an example. I really don't want to give the impression that it's just about teenagers. It may also be that someone has a gambling addiction and his wife doesn't know. It may be that he doesn't want her to know. It's possible he doesn't quite trust it. That is wrong, because there is a medical professional secrecy, but there are all kinds of reasons why people do not seek help, when we would like them to. Look at depression, look at addiction: the sooner you seek help, the faster and the better you can be helped. It is therefore limited and delimited to aid which is already accessible without barriers. You don't have to pay for that. You can now also get that help with your POH, at the ggz or at your GP, only then do so via the internet. We are trying to get these young people or the drunk woman, who thinks her husband doesn't know it yet, on the Internet, into a route as soon as possible, while they would otherwise avoid it themselves. And yes, at some point it stops. You can't prescribe medication, you can't give specialist complex care. That is why I said that it is a very limited proposal. To be honest, I do not see the growth that the Chamber sees. Where we have allocated a budget, it is far from being drawn up. This is a difficult group to reach, a group which is apparently still difficult to reach even by this route. We keep the stop on all sides or we decide on the ceiling ourselves. If we think it's not going well somewhere, we're totally screwed. This also applies if improper use is shown by the samples taken, by the auditors, by the IP addresses or by the screen tests, by everything you do to see if what we intended is happening. It is now being performed by the Zorginstituut Nederland, which can also see how we can improve it. It is evidence-based care, but over time all kinds of adjustments may prove necessary in these kinds of interventions, and then it's also where it belongs. That's all it really is.
ParlaMint-NL_2016-01-12-tweedekamer-10.u34	That's very simple! You're gonna learn something. I thank the Minister for her answer. There is a need for a second deadline.
ParlaMint-NL_2016-01-12-tweedekamer-10.u35	Mr. Chairman. In the second term, I would like to make a few brief comments. The Minister has explained clearly what is going on with anonymity. It has been secured, especially with the group of endangered persons. Apparently that's been the practice for two or three years. There's been a meeting with the D.A.'s office. Are there recent examples of cases where things have gone wrong? Mr De Lange mentioned a very poignant example from 2014, but a certain practice has now become topical. Have there been any calamities since? Did the minister know about that? A second point concerns the evaluation period mentioned in Mr De Lange's amendment. Isn't it wiser to keep a term of three years? I think two years is pretty short for a law review. Of course, I am not in a hard place, but a three-year period seems reasonable to me to judge this correctly. In any case, I will give my group a positive vote on this bill.
ParlaMint-NL_2016-01-12-tweedekamer-10.u36	Mr. Chairman. The PVV Group is concerned about the sucking effect of e-mental health that is anonymous and free. Abuse and fraud are then lurking. The starting point must always be that anonymous e-mental health is discouraged. The Minister stated clearly in her reply that this is also the case, because the aim is that anonymous e-mental health is eventually transferred to regular medical care, which is not anonymous. With that commitment and with Mr De Lange's amendment, which will ensure an evaluation of effectiveness in two years' time, I will advise my group to vote in favour of this proposal.
ParlaMint-NL_2016-01-12-tweedekamer-10.u37	Mr. Chairman. I would like to thank the Minister for his reply. Perhaps I should first respond to Mr Van Gerven's suggestion about the two-year period. D66 and the Labour Party have already indicated that they wish to support this amendment. I think it is important that we evaluate it in the short term, because this debate has made it clear that there are the necessary critical questions. That is why it seems appropriate to me to be able to do this within two years. I thank the Minister for his appreciation. So I think it's good to hold on to those two years. For Mrs Klever this is apparently an argument as well. For the VVD it remains that there is now an existing practice, which works on a number of fronts. Of course it is very good to work with proven methodologies, so evidence based, but the question remains how these methods lead people to go to regular care. It would therefore be much more sensible to continue the current practice, which has worked over the past three years, and to look at how it can be proven even better. As far as the VVD is concerned, people have to go to regular care. We remain particularly critical of this part of the law.
ParlaMint-NL_2016-01-12-tweedekamer-10.u38	Mrs Dijkstra waives her second term, so does Mrs Bouwmeester. The Minister has the floor.
ParlaMint-NL_2016-01-12-tweedekamer-10.u39	Mr. Chairman. I'd still like to ask my officials a question. Excuse me, I just wanted to make sure. There are cases where things went wrong and people could be found, for example through the health insurance company's declaration. We do not know whether this has happened in the pilot, which is now working under registration number. The pilot's being evaluated, and I'm sending that evaluation to the Chamber. Then we can see if that actually happened. Whether the evaluation period is too long or too short, I leave it to the Chamber. The House's amendment says two years. I can understand that, as there are questions about this law. Then maybe it's good to evaluate a little faster. I don't have any strong feelings about it myself, but I can imagine that. Mr De Lange asked whether it would not be much better to continue the existing practice on a part of the law, the anonymous question of aid. We have come to the conclusion that there is a great deal of political consensus about the fact that these people do not go to aid because of their anonymity and not for other reasons. For example, there are no perverse financial incentives. The anonymity is decisive. This arrangement was made once because it is much better, in the end, for those people to be treated much earlier. There is no reason to assume that there is a suction effect et cetera. To be sure, we have limited the scheme and we do have an annual contract round. If it has risen so quickly in a year that you have suddenly reached the ceiling and you want to find out, you can just say: next year we go again for one year, the ceiling is maintained and we figure it out first. There is no working with non-evidence based interventions. They're evidence based; it's been examined. All things considered, also because I really believe that such arrangements belong to the healthcare institution and that they can develop much better in the direction that also reflects the state of science, I see reason to make a law on them now. I think it's a responsible step with all the guarantees. In fact, I think it is very important that we do it on this route.
ParlaMint-NL_2016-01-12-tweedekamer-10.u40	I thank the Minister. The vote on this bill will take place next Tuesday.
