ParlaMint-NL_2016-03-09-tweedekamer-8.u1	The next item is the reply by the initiator. I am happy to give the floor to Mrs Lodders.
ParlaMint-NL_2016-03-09-tweedekamer-8.u82	Thank you very much, Mrs Lodders. Then we go to the further advice of the Secretary of State in one go.
ParlaMint-NL_2016-03-09-tweedekamer-8.u83	Mr. Chairman. I would first like to comment on the debate on the PPI that we had with Mr Omtzigt in our second term. The proposal provides that the Netherlands Bank may require a PPI to be insured or transferred, if necessary in connection with actuarial or business technical risks associated with the variable distribution. You could say that there is too much risk in a declining pool of participants, for example. The Netherlands Bank is in a position to do so.
ParlaMint-NL_2016-03-09-tweedekamer-8.u84	Madam Secretary of State, we now have a new audience in the gallery. So PPI's up?
ParlaMint-NL_2016-03-09-tweedekamer-8.u85	Premium pension institution.
ParlaMint-NL_2016-03-09-tweedekamer-8.u86	In doing so, the Secretary of State admits indirectly that they bear a biometric risk. So we can't carry them out.
ParlaMint-NL_2016-03-09-tweedekamer-8.u87	You know what: I am going to dig into this, because it is of course a pleasant idea that the Dutch Bank already has this guarantee. However, we have just said that we are providing a little more insight into the apf. The phenomenon of "PPI" in the context of biometrics will also be provided with some further colouring.
ParlaMint-NL_2016-03-09-tweedekamer-8.u88	That's nice. I would also like to hear a limitation when the Dutch Bank is allowed to intervene. The now proposed law allows the Dutch Bank the freedom to require a PPI to do something at any time. The Dutch Bank must have some, but not the full policy space. If there were a description in there, it would be enlightening for the history of law.
ParlaMint-NL_2016-03-09-tweedekamer-8.u89	Perhaps we can mention a few examples; I mentioned one just now. So that's got to be doable. I'm gonna go over the motions quickly, starting with the motion in part no. 19 by Mrs De Vries on banking savings. We would like to do this research. I shall therefore leave this motion to the House's discretion. In the motion in part No. 20, also by Mrs De Vries and co-signed by Mr Krol, Mr Van Weyenberg and Mrs Vermeij, the government is invited to "assess with the Association of Insurance Companies whether a new contract for a variable pension benefit is feasible for insurers and can be beneficial to those concerned and, if so, to promote the possibility of changing contracts." I shall also leave this motion to the House's judgement. In the motion in part No. 21 the government is invited to "enable explicitly in the lower regulation that the pension administrator ensures transparency of all costs charged to the members in connection with the variable pension." This has already been settled, because the operators must be transparent about the costs. They should include them in the annual report and publish them on their website. So we've already taken care of that. I find the thrust of the motion very sympathetic, but it is a little superfluous. I will leave her to the judgment of the Chamber, but I will look at the author, Mr Omtzigt. I'm sure he's drawing up a plan; that's how I know him. In the motion in part No. 22 the government is invited to "examine the pros and cons of all possible variants of projection interest rates for individual and collective contracts, including the expected return and risk-free interest rates, based on a single interest rate to be used." As Mrs Vermeij herself has just said, we have already taken a step forward in this respect, yet I shall also leave this motion to the House's judgement. It is good to carry out the wide-ranging research. We're doing the best we can to make it to May 1. If that doesn't work, I'll let the Chamber know. I'm out of motions. For my part, too, I would like to thank the applicant. I think that traffic with the Chamber has been very pleasant. We will also go to First Chamber together, I will again be in my role as advisor.
ParlaMint-NL_2016-03-09-tweedekamer-8.u90	I thank the Secretary of State for her advice. I thank the initiator for the initiative and wish her every success with the follow-up. I propose to the House that tomorrow we vote on the amendments and motions tabled and take a very clear look around to see if they can be accepted. Mr Van Weyenberg, if you want to say something, you should put it in the microphone, otherwise it will not work.
ParlaMint-NL_2016-03-09-tweedekamer-8.u91	That seems fine to me, but we will still have new amendments and the letter from the cabinet. I assume they are well before the votes.
ParlaMint-NL_2016-03-09-tweedekamer-8.u92	They will have to be there for the votes, otherwise it will not work. I said that we are going to vote on the motions and the amendments, but of course we are going to vote on the legislative proposal itself.
