ParlaMint-NL_2016-04-28-tweedekamer-13.u1	I welcome the Minister of Security and Justice.
ParlaMint-NL_2016-04-28-tweedekamer-13.u36	As far as the CDA is concerned, should someone be expelled from an administrative function if they are simply and exclusively associated with a possible preparatory act for terrorism? There has not even been a prosecution, let alone a conviction. Criminal law is not applicable to it. On that ground, someone needs to be kicked out of a board already. In any case, GroenLinks does not consider this method to be consistent with the fundamental principles of our rule of law.
ParlaMint-NL_2016-04-28-tweedekamer-13.u37	Then I really recommend to Mrs Van Tongeren to read very carefully what has really been arranged. It is, of course, a question of not taking these decisions lightly. If there is sufficient reason to assume that the money or the subsidy will make something possible, which means that national security is directly at stake there, should we be able to take action? GroenLinks apparently thinks it's okay that nothing happens, because the board members might not know that they themselves had someone in their ranks who wanted to do this. I am glad that action will be taken.
ParlaMint-NL_2016-04-28-tweedekamer-13.u38	Please continue, Mrs Van Tongeren.
ParlaMint-NL_2016-04-28-tweedekamer-13.u39	I would like to respond to this comment. If it were light, I wouldn't understand why the CDA is resisting a judicial test. If it is strong enough, a judge will also give immediate permission to impose such a measure in advance. Either there is sufficient evidence to convince a judge and have him impose the measure and suspend the subsidy, or there is not enough evidence. According to GroenLinks, it does not have a preventive effect. On what basis should a board of directors know that one of the board members in its ranks might be associated with it if even a judge could not be persuaded of it?
ParlaMint-NL_2016-04-28-tweedekamer-13.u40	Please continue.
ParlaMint-NL_2016-04-28-tweedekamer-13.u41	I just lost track of where I was. I was with the amendment. How does the Minister feel about doing that first? Then I came to the preventive action. I'd like to know from the Minister how something preventive can work, if you don't know for yourself that it's going to affect you. I asked the Minister if he could give us some examples. In what cases do we really need it? How does the Minister propose the practical effect of the imposed measure? Does he not also fear that the person concerned and his immediate surroundings are radicalising more quickly through the imposed measure? I would like to quote the state law professor Praise, who is also a member of the Human Rights College. He warns that people may feel that the normal requirements, which apply to everyone in public action, do not apply to them in this particular case. This will encourage alienation from Dutch society. How does the Minister intend to avoid this paradoxical effect of this bill? Does the Minister recognize this effect? GroenLinks continues to question whether the main problem in the end is not so much the current legal instruments as the operational area of the services concerned. There would be one district agent on every 5,000 inhabitants. With some creative accounting you can meet this standard. However, the question arises as to whether the district agents are there where they are most needed. Police stations are rapidly disappearing from the city scene. That affects the idea that a police force is physically present. My group chairman has already spoken out for the Special Interventions Service. It beeps and cracks at this service. Highly qualified personnel operating in the highest civilian spectrum of violence appear to be overburdening. My group welcomes the measures taken by the Minister for Special Interventions. However, we expect to be regularly informed about the practical improvements and reinforcements to that service. Classical is the conflict of interest between intelligence and security services, police and justice in the exchange of information. In addition, nothing must go wrong. This requires a culture of cooperation on both sides. How will this culture be strengthened in terms of cooperation? How can we trust that everything that is known about possible safety risks is adequately deployed in all relevant sections of the safety chain? In the end, the Netherlands is best protected with excellent detective work. Is the safety chain capable of doing so? That is a question which the GroenLinks Group strongly asks the Minister. Preventing and combating terrorist attacks here, and anywhere in the world, is one of the greatest challenges of the present. But perhaps even greater is the challenge of not becoming the greatest enemy of our own. It is now important to take effective measures that relate to the foundation of our enlightenment ideals: the democratic rule of law. Let us not, in the fight against terrorism, take measures that alienate peoples from us, that weaken the rule of law of our laws and that weaken the freedoms that come to us all, except for everyone's responsibility for the law. If we do, the terrorists will still win.
ParlaMint-NL_2016-04-28-tweedekamer-13.u42	Mr. Chairman. The fight against terrorism is aimed at prevention. That's a pretty simple observation. Criminal law, on the other hand, is always reactive. Criminal law responds to something that's happened. Criminal law has been stretched to the limit to be preventive as well. That started after the attacks on 11 September. We have discussed whether we really should. Do you have to stretch the criminal justice system so it works preventively? Or would you have to make a separate law for that, so a law of terrorism or whatever you'd like to call it? In the end, it is included in criminal law in the Netherlands. The laws adopted after 11 September have also been introduced with a temporary character, but they have never been undone. This aside. I welcome the fact that we are not going any further along the path of putting criminal law on the preventive side, but that we are using this instrument, which is administrative law. Administrative law is a review of legal protection and thus substantially different from criminal law. I hear this gets mixed up a couple of times. The second point I would like to make in advance concerns customization. Too much repression can be counterproductive. We can take people, groups of people who do not mean any harm, who, together with the government, want to fight terrorism as an ally, and turn away from us. We shouldn't have that. Only preventive measures ignore the ruthless nature of terrorism. The last report of the AIVD leaves no doubt about that. The people sitting there now, they're deadly dangerous. In short, think and apply customization. Only when you feel that it is not right, I say to Mrs Van Toorenburg, do you have to search until you know what is going on and then take appropriate measures. I support the bill. Although it goes a long way when the Minister imposes a duty of notification or an exit ban on a person on the basis of the national security criterion, this is unfortunately necessary given the threat posed by jihadism. That does not alter the fact that I would like to comment on a number of points on which my group has questions.
ParlaMint-NL_2016-04-28-tweedekamer-13.u43	Mr Recourt has a thing for judges and the rule of law. That's what's good for him. If we take these measures, doesn't he think it's important that a judge always looks at them?
ParlaMint-NL_2016-04-28-tweedekamer-13.u44	Yeah, I think that's important. A judicial test must always be carried out, especially on such far-reaching measures. We used to think it was ridiculous that the Soviet Union was working with travel bans and that it was said where you should and should not be. Now we're gonna do the same. This may be necessary because of terrorism, but with a judicial test.
ParlaMint-NL_2016-04-28-tweedekamer-13.u45	I assume that Mr Recourt also believes that this judicial test should be carried out in advance.
ParlaMint-NL_2016-04-28-tweedekamer-13.u46	No, it's not. I shall now return to my introduction. The measures we are discussing today are administrative measures. We have rightly set up these measures in such a way that the authorities decide and judge whether the government has done so correctly. I'll come back later on to exactly how the judge should do that. However, the judicial review shall always take place after the decision has been taken. It's not the judge, it's the government that decides. The judge then checks whether the government has done the right thing.
ParlaMint-NL_2016-04-28-tweedekamer-13.u47	We will therefore have freedom-limiting measures imposed by the Minister. That can't be the intention of a former judge, can it? If someone threatens or threatens to commit a terrorist attack, or facilitates that attack, in any way, we will take him in, we will intervene. We have all kinds of ways of doing that. A land ban, a notification obligation or an exit ban has very little to do with a concrete acute threat.
ParlaMint-NL_2016-04-28-tweedekamer-13.u48	Mr Van Raak asks two questions. To start with the last one, it's about customization. If you have concrete indications of an attack, the customisation does not consist of an administrative measure, but of a criminal measure. Someone has committed a criminal offence and criminal law offers ample opportunities. Mr Van Raak's other question was what I think as a former judge. I'm a former foreign judge. We put strangers in alien custody. That's what the board does. The foreign judge checks whether that was right. You do so by means of a provisional provision very shortly thereafter, but you do so in that order. The board decides, the judge controls.
ParlaMint-NL_2016-04-28-tweedekamer-13.u49	Can Mr Recourt explain to me why administrative law is better suited to such measures than criminal law?
ParlaMint-NL_2016-04-28-tweedekamer-13.u50	That's what I started my input on. Criminal law is reactive to its very nature. I think criminal law has already been stretched to the limit to get to the front of the crime. It can't be. That doesn't fit. We are a long way off with the preparatory work. I don't want to go any further. However, in the context of national security, we cannot, therefore, impose a measure as a punitive measure, for example, in order to prevent a person from leaving. Then administrative law is the most appropriate way and not criminal law.
ParlaMint-NL_2016-04-28-tweedekamer-13.u51	And if you look at the nature of the violation of fundamental freedoms, would that not justify a way through criminal law, given the guarantees contained therein, which are greater than those under administrative law?
ParlaMint-NL_2016-04-28-tweedekamer-13.u52	In fact, criminal law offers a very closed set of safeguards. It's densely defined, it has to be known. That's what criminal law is for. Now we're taking administrative measures. There are also safeguards and a judicial test, albeit in a different way, namely more afterwards. I think that is justified because we are not talking about penalties here, but about prevention, about security. That is why I do not think that the amendment tabled by GroenLinks and D66 is a good one, although I doubt it. The close definition of what exactly the terrorist purpose... I've lost the exact term.
ParlaMint-NL_2016-04-28-tweedekamer-13.u53	Activity. You don't remember!
ParlaMint-NL_2016-04-28-tweedekamer-13.u54	Activity. That doesn't make sense that it's primarily up to the board. You shouldn't introduce a criminal framework into an administrative procedure.
ParlaMint-NL_2016-04-28-tweedekamer-13.u55	At least you would expect, whether through the band of criminal law or not, that there will be a clear definition? Isn't that what administrative law requires?
ParlaMint-NL_2016-04-28-tweedekamer-13.u56	Of course, it must be clear that a measure is proportionate, that national security - which is the basic criterion - is at stake. All this must be substantiated in the sense that it must be demonstrated. We do not do this on the basis of feeling or on the basis of something hanging in the air. To this end, administrative law is also available. In fact, this is already happening in administrative law.
ParlaMint-NL_2016-04-28-tweedekamer-13.u57	Customization leads to randomness. We have seen this in several areas. The fact that administrative law already regulates this in this way can never be a legitimate argument. I put a specific question to Mr Recourt. What would be customised in relation to Article 2: a person who could be associated with or support a terrorist activity on the basis of his behaviour? I know Mr Recourt as a former judge, but I wonder what his behavioral qualities are in assessing behaviour in this respect.
ParlaMint-NL_2016-04-28-tweedekamer-13.u58	You can't think of that in advance. Reality is always multiform. You can think of the craziest things, but in reality it's always a bit crazier. It is precisely a question of establishing criteria on the basis of which, in the first instance, the board can decide and then review the judge. The administration must therefore clearly demonstrate that acts and behaviours related to terrorist activities are involved. How? That will have to be demonstrated in practice.
ParlaMint-NL_2016-04-28-tweedekamer-13.u59	We have different laws and rules. I remember the discussion about the mandatory ggz Act. That's where we're gonna ask the administrative judge on the front for a court order. We're doing it to psychiatric patients with a court order on the front, so before a care facility comes into use. Isn't it weird, then, in these activities, with this bill, to do it in a different way?
ParlaMint-NL_2016-04-28-tweedekamer-13.u60	The judicial authorization concerns the civil court, but that aside. The word already says it: it is a jurisdiction of the judge. The judge must determine whether a person poses such a danger to himself or his environment that he must be deprived of his freedom. That's one way to fix it. In criminal law, we also leave it to the judge to determine whether someone did it, yes or no and, if so, what punishment he then deserves. In the context of administrative measures, we leave it to the administration first. In the Netherlands, for example, we have a multitude of legal instruments. This seems to me to be an excellent measure that leaves you to the board. I explained why. Because criminal law doesn't have to come up front. You leave the measure to the board and afterward the judge will review it.
ParlaMint-NL_2016-04-28-tweedekamer-13.u61	It is not quite clear to me why Mr Recourt chooses the reverse order in this case. If we find together that the Minister's explanation of behaviour which may contribute to terrorist activities may differ from that of the judge, is Mr Recourt not afraid that he is forcing this minister to apply arbitrary measures?
ParlaMint-NL_2016-04-28-tweedekamer-13.u62	I'm not sure I understand that, but I do understand that there's a certain degree of arbitrariness if you want to deliver customization. I can understand the tension. If it is simply a generic measure, which is the same for everyone, then you no longer have randomness, but often no justice. It is always a search for a balance between clarity on the one hand and looking carefully at the particularity of an individual case on the other. I simply cannot link that to the question of whether it should be dealt with in administrative law, in criminal law or in civil law. As far as I am concerned, these are really administrative measures, because criminal law is at the back and not at the front. We're talking about the front here. I therefore consider this to be a legitimate choice of the cabinet.
ParlaMint-NL_2016-04-28-tweedekamer-13.u63	I assume that the PvdA does not support this law because it believes that it is symbolic legislation. The PvdA Group must therefore think that there are real groups that are deterred by this new law in order to be associated with the preparation of terrorist acts. If that is true, which I assume is true, how does Mr Recourt view the opinion of the College of Attorneys General? It states that, in fact, the requirement of national security must be met rarely or never. If that requirement is met, you can intervene through criminal law. Is it, then, symbolic legislation and does the PvdA say "this minister already has a few scratches on his head and there shouldn't be one more; it's not really going to happen to anyone, so just do it," or can the PvdA actually indicate a group that could be covered by this law and even better, for whom it can have a preventative effect? What group would suddenly think by this law "well, I won't do it"?
ParlaMint-NL_2016-04-28-tweedekamer-13.u64	I do not believe in preventive action. Some people might think 'I won't do it anyway', but I don't think that administrative measures imposed on others will get someone with radicalised thoughts off that path very quickly. So I am not so impressed by the preventive effect. It is precisely individual cases where criminal law is not yet in sight, but the administration can do something.
ParlaMint-NL_2016-04-28-tweedekamer-13.u65	The College of Attorney General says that those groups are actually not there. It says that it will rarely or never be able to meet the requirement of necessity for the protection of national security. That doesn't really leave a group. If there is no preventive action and if there is no group for whom you are doing this, then it is very much in the direction of symbol legislation. Or can Mr Recourt clearly indicate which group will be punished or dealt with under this law?
ParlaMint-NL_2016-04-28-tweedekamer-13.u66	It is not about a group and it is not about punishment, but it is about protecting national security. That's always in an individual case. You have two arguments for using an administrative measure and not a criminal one. Firstly, criminal measures are often used in a more serious situation. So that's in the context of customization. Secondly, the use of criminal law measures is always reactive. I'm just gonna say that again. You're gonna have to collect evidence for that, and you're gonna be working on it for a while. If you haven't imposed an exit ban, the bird could have flown long ago to Syria. In short, there is also a speed element in it.
ParlaMint-NL_2016-04-28-tweedekamer-13.u67	I don't understand. It must be important enough to damage national security, because that is the basis on which you take such an administrative measure. Mr Recourt cannot call a group of individuals deterred by this. He doesn't have to call me the name of a particular neighborhood, but it has to be more than one person every three years. If it can only theoretically affect one person every three years, then I think it is symbolic legislation. I'm assuming the PvdA will agree. It really has to be a whole group of people who do threaten national security but do not meet all the different conditions of criminal law. Incredible rapid action can also be taken on the basis of criminal law. That does not take weeks, as Mr Recourt knows.
ParlaMint-NL_2016-04-28-tweedekamer-13.u68	I don't understand Mrs. Van Tongeren. Again, these are individual cases. She asks which group is involved. It's about the group of radicalized or potentially radicalized people, but that's very broad. There's nothing legal about that. It is therefore an individual case in which the administration has a view that someone wants to travel through Turkey to Syria. An exit ban should be available at that time. This may, for example, be anticipating criminal action, if there is sufficient evidence to support it. If that is not the case, then it is good that we can already act on an administrative basis. It is precisely in order to provide tailor-made solutions that these administrative measures are needed. That is why there is no such thing as symbol legislation.
ParlaMint-NL_2016-04-28-tweedekamer-13.u69	Please continue.
ParlaMint-NL_2016-04-28-tweedekamer-13.u70	Mr. Chairman. I am defending the bill on all sides, but I do have some critical questions. I'll put it to you now. An exit ban is difficult to enforce. As there are in principle no border controls within Schengen, enforcement of an exit ban will mainly take place at the external borders of the Schengen area. However, there are still serious gaps. Persons subject to an exit ban shall be entered in SIS II. When persons who are alerted leave the Schengen area and are checked, they may run into the light. However, checks at the external border of Schengen do not take place systematically. The Minister also recognises that an alert of a person in SIS II may remain unseen. Persons with an exit ban can still travel to Syria with their expired Dutch passport. Moreover, if they are caught, they should not even be arrested. This requires a European arrest warrant. In order to increase the likelihood that someone will run into a problem, the second bill, which is not currently in question, annuls the passport of a person with an exit ban. These passports are entered in a register of identified passports: the Stolen and Lost Travel Documents Database (SLTD). That register can again be systematically checked at the external border of Schengen. However, the SLTD contains only the numbers of the expired documents and is not a personal register. In other words, someone with a second non-Dutch passport can then just cross the border, I think. Am I getting that right? And that, while it has turned out that a large majority of Dutch Syrians have a dual nationality. What happens if someone in the SLTD comes up? Can SIS II also be looked at? If so, what are the follow-up steps? The usefulness of an exit ban seems to be that the person with an exit ban who tries to leave the country via Schiphol will run into trouble because the exit ban is in the national search register: OPS. That person will be apprehended because of the violation of the exit ban. I don't suppose many potential jihadists will travel through Schiphol. There has been a lot of talk recently about European agreements and the sharing of information. In order to enforce the exit ban, there is still much to gain. How does the Minister take care of that? Another point is that the mayor already has many powers introduced by this bill, namely through the football law: reporting obligation, ban on territory and ban on contact. The mayor may use those powers in the context of public order and security. The Minister must do so in the case of national security. As far as I am concerned, this latter interest justifies the fact that the Minister must have those powers and not the mayor. However, the enforcement of the ban on the territory, the obligation to notify or the ban on contact will take place locally. How's that gonna happen? Think of the anklet, which was introduced by letter of amendment and in which the probation is given a role. Part of the information that is at the basis of one of these administrative measures may be of local origin. I would not like the Minister to use his powers and only discuss them with the local triangle afterwards or to inform them, with the exception of urgent decisions. How does this work in practice? Are the multidisciplinary cases also intended to assess whether the Minister will be able to make use of or should use his administrative measures? Or does the Minister only do so on the basis of AIVD's official messages? How will the Minister be informed of information coming from the case-by-case submissions?
ParlaMint-NL_2016-04-28-tweedekamer-13.u71	Can the Labour Party give an explanation of the way in which it looks at the amendment that we have tabled to give the mayor, in exceptional circumstances, also powers, for reasons of urgency, which he does indeed already have in order to be able to act quickly?
ParlaMint-NL_2016-04-28-tweedekamer-13.u72	In any case, that amendment touches on a point on which I myself also have concerns, as was also to be heard in my questions. However, I do not know whether this is the right solution. You then place the authority, albeit in exceptional situations, with the mayor with whom you get some sort of double-up. I am very curious to hear the Minister's reply. I can also imagine that you are making an arrangement whereby, in situations of exceptional urgency, the minister can be approached earlier by the municipalities or in some way the municipalities, the mayors and the minister cooperate very closely with each other. However, I agree with Mrs Van Toorenburg that there is a tension between the Minister on the one hand and the Mayor on the other as to who should act when.
ParlaMint-NL_2016-04-28-tweedekamer-13.u73	Then I hope that the Minister will be able to respond positively. The only intention we have is that it should be a supplement and that, in urgent cases, something should be done not only from the Minister's side, but also from the mayor's side in the context of local security.
ParlaMint-NL_2016-04-28-tweedekamer-13.u74	In the written round of questions, we and other groups have already drawn attention to the distinction between criminal law and administrative law in the context of this legislative proposal. When will one be used and when will the other be used? If there are conducts involving a suspicion of criminal offences, criminal law and the prosecution will appear. In the case of other conduct, which does not necessarily have to be punishable, criminal law is not involved; then it is the proposed administrative measures. In his reply to page 18 of the note following the report, the Minister acknowledges that the proposed administrative measures and criminal law are close to each other. Furthermore, the Minister argues that this distinction can be made, but I still miss a few concrete examples of conduct which does not give rise to suspicion of a criminal offence, but which may justify one of the administrative measures. Colleagues also asked about this and I am therefore not entirely critical of this point. Especially since there is no clear distinction to be made, some explanation of the differences is in order. Then I come to something I thought I could skip, but I can't. So I'm gonna give it to the Minister after all. In the bill concerning the withdrawal of the Dutch citizenship that we are discussing in a number of weeks' time, withdrawal can take place if the Dutchman has joined an organisation that is on a list of terrorist organisations compiled by the Minister of Security and Justice. Can it be linked to such an organisation as a reason for administrative measures such as the ban on the territory, the ban on exit and so on? If so, in this context too, I wonder how to distinguish between criminal acts and acts that justify the intervention of administrative law. Then I have a brief question about the manner in which the judge of the administration is to carry out the tests. It's not like the board judge only has a marginal test. There is a wide range of possibilities for the administrative judge to review. On the one hand, the most far-reaching marginal assessment of reasonableness. On the other hand, the administrative judge can sometimes even apply a full test. Also because of the Acts, my question is: what test should the administrative judge take here? A full test is very exceptional; that is usually for decisions for which there is actually no discretionary margin. However, a completely marginal test also seems to me to be a bit spacious. How are these future judges supposed to do that? Colleagues quoted the ex nunc test: new information may count in the decision by the administrative judge. In terms of efficiency, I can imagine something about that. That's what happens to other decisions. I am, however, sensitive to the argument that this leads to some laxity. You don't have to get your file in order yet, because you don't have to until you're in court. How are we gonna prevent that? Then I have now asked my practical questions and I am almost at the end of my time. I'm curious to hear the Minister's response.
ParlaMint-NL_2016-04-28-tweedekamer-13.u75	I have one more question for the PvdA Group, even though I have more. The Human Rights College points out the risk of increasing social tension and polarisation as a result of the application of these measures, as they encourage stigmatisation and discrimination against people with a migration background. How's the PvdA looking at that?
ParlaMint-NL_2016-04-28-tweedekamer-13.u76	I have already dealt with this in my introduction. There are two sides to tackling terrorism. Indeed, you must be very careful about stigmatisation, but that does not mean that you should not act very hard when it is necessary. That must always be individualized, testable and identifiable. I really am not afraid of stigmatisation if the government when it has a reasonable case and sees that people want to do very nasty things, is clear and intervenes. I fully agree with the general notion of 'beware', but I do not think that it is very much in line with this law.
ParlaMint-NL_2016-04-28-tweedekamer-13.u77	The College says that stigmatisation is mainly due to lack of effectiveness of measures, lack of predictability in legislative proposals, lack of clarity in the definition of jurisdiction and lack of legal protection. I would like to know from Mr Recourt how the government should give concrete expression to that'serious look out for stigmatisation', as he just put it. Then how do you do that, that serious look out for stigmatization, yet you're going to apply this law, with all its flaws?
ParlaMint-NL_2016-04-28-tweedekamer-13.u78	The only way to look out for that is to apply it in individual cases, with a good file, good justification, not on feeling, but on fact, and by having that checked by the judge.
ParlaMint-NL_2016-04-28-tweedekamer-13.u79	A brief question to Mr Recourt. What does the PvdA Group think about the amendment that is also on the table here, not to allow this law to be temporary, but to be permanently adopted? What does Mr Recourt think of the need for this law?
ParlaMint-NL_2016-04-28-tweedekamer-13.u80	Of the law or of the amendment?
ParlaMint-NL_2016-04-28-tweedekamer-13.u81	Of the law itself. If the temporary character is taken from it...
ParlaMint-NL_2016-04-28-tweedekamer-13.u82	I am certainly not in favour of that amendment. Why not? Because it's a serious breach, as I said before. It is justified, but at the moment when that justification comes to an end, that legislation must also be removed. A lot of legislation is being introduced and continues to last for days. Well, that's gonna have to get rid of it. Besides, you have to look at it every five years. I do not believe that terrorism will be resolved in five years, so it will be extended a number of times. But I think it's very good to have a horizon clause. If I understand correctly, the question is whether the PvdA will vote for this bill if the amendment is adopted.
ParlaMint-NL_2016-04-28-tweedekamer-13.u83	It's okay to rephrase this one.
ParlaMint-NL_2016-04-28-tweedekamer-13.u84	I should discuss this with my group. However, I do not think that this is so heavy that we will not vote in favour of this good law because there has been a bad element in it. I repeat, we are very much in favour of this horizon clause. You should do that with all this kind of terrorism legislation.
ParlaMint-NL_2016-04-28-tweedekamer-13.u85	Then I can only refer to what you said earlier in De Telegraaf: that it is good and necessary, but that there is a danger that you will not get rid of it.
ParlaMint-NL_2016-04-28-tweedekamer-13.u86	Yes, I couldn't agree more.
ParlaMint-NL_2016-04-28-tweedekamer-13.u87	Mr. Chairman. After the attacks in Paris and Brussels, fear is also good in our country. People wonder whether they will soon be able to go safely to the Adele concert or to the Feyenoord-Utrecht cup competition. They're wondering if enough security measures have been taken around King's Day to prevent an attack. Guards at Schiphol Airport, after all reports about Zaventem, worry about their own safety. A fellow HEMA worker told me last week that she was just as scared when suddenly two men with scary masks came into the store. The fear is in it, while we are a very sober country and don't let us drive us crazy quickly. Following the attacks in Paris and Brussels, our country has once again become more aware that an attack is possible in the Netherlands as well. Everyone's fear is getting tighter and tighter between their ears. No, we shouldn't be intimidated and yes, we should just live our lives. But that does not relieve us of the duty to ask ourselves daily here in the House of Representatives: do we do what is necessary to prevent an attack and are the measures we take visible and invisible, effective and effective? In the Lower House these weeks a number of anti-terrorism laws are being dealt with and that is a good thing. While attacks were needed in France and Belgium to bring about new legislation, this cabinet is proactively taking steps in many areas to minimise the risk of an attack in our country. We need to keep that proactive attitude up. We must not act only when it is too late, but we must continue to do everything we can to counter jihadism, to tackle potential terrorists and to put a stop to radicalisation in this country. With the anti-terrorism law that we are discussing today, the cabinet is doing everything it can to ensure that the activities of potential terrorists can be obstructed, obstructed and stopped at an early stage, i.e. preventively. In doing so, this law is an important complement to the current criminal law instruments to tackle potential terrorists. The AIVD annual report for 2015 identifies three groups with a potential threat to national security. First, the infamous returners: jihadists who travelled from the Netherlands to Syria, fought with ISIS and then returned to the Netherlands with combat experience. At the end of 2015, they were about 40 returners. The AIVD reports that the new returners are even more extremist, are better trained and have gained more combat experience. Some of the perpetrators of the recent attacks in Paris and Brussels were returning. Our position on returners is clear: make their presence on terrorist territory criminal, because then we have resolved it. Unfortunately, however, there is still no majority in this Chamber. Secondly, the extravagants: jihadists who have been stopped in the Netherlands in their attempt to travel and who are frustrated in the Netherlands, with all the dangers of that. Thirdly: jihadists who do not intend to travel at all, but want to fight in the Netherlands. None of these three groups are in the Netherlands. Of all these groups, there is a potential threat to Dutch security. You can wait until you can prosecute them, but you can also intervene earlier by taking preventive action to minimise the risk of a real risk. That is precisely the purpose of the law that we are discussing today: preventive measures to prevent worse. It will therefore not be surprising that the VVD is in favour of this law. During the last terrorist debate following the attacks in Brussels, there was a call from all the parties present to make every effort to monitor, monitor, harass and thwart potential terrorists. It is therefore a good thing that there is now a law that allows action to be taken, even if there is no criminal offence, freedom-limiting measures, or withdrawal of subsidies or benefits. After all, we are not going to stamp out public money for activities that may contribute to terrorism. I have a number of specific questions for the Minister about this law. It was mentioned earlier: the cabinet wants this law to expire in five years' time. That is why we are talking about "temporary" measures. The VVD would prefer an evaluation to be carried out and only then will it be decided whether or not that law will be enforced. How does the Minister view that? Mr Van Toorenburg has already indicated that we have tabled an amendment on this. Now the division of powers between the minister and the mayors. The VVD believes that in practice it will almost never prevent the minister from obstructing a mayor who sees reason to use his powers. However, the VVD sees the opposite possibility, namely that the Minister should encourage a mayor to use his powers, for example on the basis of information that the mayor does not have. Can the Minister take away our concern that this law will affect the speed of action of a mayor? When I read the law, I think: what if the Minister decides to impose an area ban and the person who it is going to be goes to the administrative court? Of course, the judge is only asking one question: on what information was this decision taken? That information may come from the probation, from the police or from the D.A.'s office, but in many cases also from the AIVD. If the decision is made on the basis of a notice of office, the judge will want to know what's in that notice. How exactly is that dealt with? This is an anti-terrorism law, which focuses specifically on behaviours that contribute to terrorist activities. We therefore focus strongly on Syrians and returners from Syria. I assume that this law can apply equally to people from other jihad regions, and will therefore be widely applicable. I'd like to hear if the Minister can confirm this. I now come to a sentence in the explanatory statement which I would like to explain. That sentence reads as follows: "The fact that someone has joined a terrorist struggle group abroad is therefore, in itself, insufficient to impose a measure, even if only because a returned warrior, disillusioned, may have averted himself from radical thinking." Isn't that a sentence that would allow every returner's attorney to exonerate him? And that is precisely when we want someone who is certain that he has not distributed blankets or flowers in Syria to be followed as closely as possible and monitored. I'd like a response from the Minister. It is good that this law extends the instruments of personalised measures. Does this law also offer opportunities with regard to networks? Is it also possible, for example, to impose these measures jointly on several individuals, or is it not appropriate for administrative law to do so? This law concerns three groups that we want to address: extravagants, returners and radicalised people. But there is a fourth group: the group that can still be influenced, the potentials that can still radicalize. The VVD welcomes the possibilities offered by this law in relation to that group. In this way, recruiters can be banned. But what about the hate preachers and, just as important, organisations and institutions that invite hate preachers and offer a platform? Can they be adequately dealt with by this law? The VVD wants hate preachers to be effectively banned from the Netherlands, both from outside and from within the EU. How can this law contribute to this? The same applies to the inviting party. We have to be able to act against that, don't we? Organisations and institutions in the country that provide a platform for hate preachers, should we be able to tackle them? I'd like to hear a response to this. In conclusion. The VVD strongly supports the two main objectives of this law: to protect national security and to prevent participation in or support jihadism. Danger to national security should be addressed as early as possible and as effectively as possible. Radicalisation, the spread of jihadist ideas and the pursuit of terrorist activities must be avoided. A person who poses or threatens to pose a threat to national security, for example by planning an exit to Syria or by recruitment practices, should be cut off. The existing measures are not sufficient at present. Every effort must be made to achieve a wide range of measures. This includes preventive measures. The VVD will therefore also vote in favour of this law.
ParlaMint-NL_2016-04-28-tweedekamer-13.u88	Mrs Tellegen of the VVD indicated that there are four groups against which this bill is addressed. I want to present her with a fifth group and I want to know if she sees it that way. There are also people in our society who intend to attack mosques and other prayer houses, such as synagogues and churches. Are they also part of the scope of this bill?
ParlaMint-NL_2016-04-28-tweedekamer-13.u89	I do not have that impression, because with this bill people are very clearly focusing on the jihadistic ideas and on those who radicalize. As far as I can tell here, this law doesn't extend to that.
ParlaMint-NL_2016-04-28-tweedekamer-13.u90	I will ask the Minister that question later. Doesn't the VVD have a one-sided image of terrorism? Then I would really like to know what the VVD considers to be the definition of terrorism. I have a strong impression that this bill and the thought that comes with this bill only focus on one type of terrorism, while there are several forms of terrorism. The Minister has also recognised this in the past.
ParlaMint-NL_2016-04-28-tweedekamer-13.u91	I fully agree with Mr Kuzu that terrorism has many faces, perspectives and perspectives and that action should be taken against any form of terrorism. I have read in the last letters of the cabinet that there is a very solid work being done to combat action against mosques. As far as I see it now, based on the way in which I read this law, this law is very specific to Syrians and returners and indeed it is often a jihadist idea.
ParlaMint-NL_2016-04-28-tweedekamer-13.u92	I will ask the Minister again later. When we talk about this bill and give a definition of terrorism, should we not fight all forms of terrorism, wherever and against anyone, and, when this is most likely to apply, will they not all fall under the same law?
ParlaMint-NL_2016-04-28-tweedekamer-13.u93	I think it's an interesting thought. I said it and I repeat myself: I agree that any form of terrorism must be dealt with. But once again, as I am reading this law at the moment, it is indeed written for countering the threat currently posed by those who radicalize from the jihadist point of view.
ParlaMint-NL_2016-04-28-tweedekamer-13.u94	According to the list of speakers, Mr Segers would now speak. Unfortunately, he's indisposed. I call Mr Van Raak.
