ParlaMint-NL_2016-03-08-eerstekamer-8.u1	We will continue with the first term from the side of the Chamber.
ParlaMint-NL_2016-03-08-eerstekamer-8.u38	I have a point about imaging. We have had the fundamental discussion on the neoliberal aspect. Last week we were both in Brussels. That's always interesting, because then you can collect some more information. The implementation of the country-specific recommendations from Coreper in 2014 is a rather staggering state. At 6% there is full progress, at 45% there is some progress..................................................................................................................................................................... The European structure is not good, but one cannot argue in reverse that the cause of the poor economic performance lies in the recommendations of the European Commission or the European Council. They have had relatively little effect. What is Mr Elzinga's opinion on this?
ParlaMint-NL_2016-03-08-eerstekamer-8.u39	In this way we run the risk of getting back into ideological discussion.
ParlaMint-NL_2016-03-08-eerstekamer-8.u40	Keep it short.
ParlaMint-NL_2016-03-08-eerstekamer-8.u41	I'm gonna try. I think both can do just fine. Very wrong policy recommendations can still have a very negative effect even if they are partially or poorly implemented. The fact that the European Union and the euro area are doing much worse than most Western, developed and non-euro countries within the EU. Developed countries outside the EU have been scrambled out of the crisis faster and easier than the EU in recent years. I believe that this has everything to do with the construction of the EU and the euro area.
ParlaMint-NL_2016-03-08-eerstekamer-8.u42	We are now entering into a debate of faith, and we should not have it.
ParlaMint-NL_2016-03-08-eerstekamer-8.u43	I am indeed not a believer of this order. It is time to stop the one-sided focus on the European Union as a body for European cooperation. Europe is bigger than the European Union. Mr Schrijver also pointed out that the European Union does not need to be decisive for cooperation between all 49 European countries. There are more partnerships that I think we are not making enough use of, precisely because of this one-sided focus on the European Union. I refer to the Organisation for Security and Cooperation in Europe, which is doing important work, in particular through ground observations, in the context of the protection of peace and security on our continent. It remains inconceivable that we should allow the OSCE staff to do this extremely risky work without any proper international legal protection. The Dutch parliamentary delegation in the OSCE Parliamentary Assembly has so far called for this protection to be improved without any success. This could well be done by giving the OSCE a legal title. I understand that the United States and the Russian Federation are mostly opposed to this. What is the Dutch government doing to break that resistance and to better protect our people on the ground? I also mention the Council of Europe, Europe's oldest and widest treaty organisation, based on the European Convention on Human Rights, the European Social Charter and many other extremely important conventions. My party has long argued for less EU and more Council of Europe, including in the financial sense. It remains bizarre that the European Union spends more per day and has more resources than the Council of Europe in a whole year. The Netherlands is not the worst contributor, but overall we undress the Council of Europe more and more, while we continue to babble the European Union. It is a shame to leave the organisation in which all European countries, including Belarus soon, to their fate. In a country such as Ukraine, where the Council of Europe has its greatest mission, good work is being done to improve the rule of law and reduce corruption. Can the Minister indicate how he assesses the possibilities of the Council of Europe and whether the Dutch Government supports the call by the Parliamentary Assembly, among others, to convene a new summit of Heads of State or Government in the near future to take decisions on the future of the Council? The previous summit was in Warsaw in 2005. It is high time to organise a new one, our group believes. With this plea for more European cooperation, I will conclude my speech in the first place.
ParlaMint-NL_2016-03-08-eerstekamer-8.u44	Mr. Chairman. Before the Dutch Presidency began, the Prime Minister and the Foreign Minister stressed that it would not be an ambitious Presidency. Frankly, I do not understand such a motto. Is ambition a dirty word? Why wouldn't you want to make as much of it as possible? We know that after us, the Presidents have more difficulty in terms of capacity and experience. In any case, there is no room for ambition for this six months. In many areas, the EU is being tested. In this context, I will address the refugee policy and the related problems with Schengen, two referendums that concern us, the Brexit and Ukraine, and the rule of law within and outside the Union. I shall now turn briefly to some of the financial aspects of Europe and, last but not least, to the climate. Mr President, dealing with refugees is the litmus test for the European Union. We are heading for a failure and the pressing question is therefore what the Netherlands, as President, is doing to reach a European solution, based on solidarity and the right to asylum. What I now see in particular is for every country to withdraw behind its borders and take measures to prevent asylum seekers from knocking in that country. Austria has set a daily quota and requires valid identity papers, a problem for refugees anyway; Denmark takes away their possessions and Austria and Germany keep them waiting for years for family reunification. Our government also hopes to discourage refugees with longer waiting times. The rights and interests of refugees in our countries are being put at risk in order to deter other refugees. The race to the bottom of asylum standards is therefore in full swing, whereas the common asylum policy was intended to stop that race. The attitude of EU Member States is full of contradictions: the redistribution arrangements are being abandoned massively and, at the same time, asylum seekers are being forced to stay in Greece, waiting in vain for redistribution. The Dublin Regulation has failed, the Commission, Germany and the Netherlands, and yet Dijkhoff insists on the enforcement of Dublin rules. The EU demands Turkey to introduce visa restrictions for Syria and Iraq, and to guard the eastern and southern borders. But if it stops Syrian refugees from fleeing the bombings, the EU is appalled. You lose credibility quickly, but you get oh so hard to get back. If we continue to step up the pressure unilaterally on Turkey, then the refugees will be the victims. They are not at the negotiating table, the interests of Turkey and the EU are at the forefront. The motto of the deal with Turkey was to improve their conditions, but now we see that they are deteriorating very quickly in Turkey. Moreover, they do so in Lebanon and Jordan, as far as possible. 70% of the million refugees in Lebanon are now living below the border of extreme poverty and a quarter of them are suffering from constant food insecurity. What about supporting them and relieving the pressure there? These countries are really struggling with the numbers, and without aid, those countries will succumb to economics and security. However, behind all the fine words about support are mainly attempts to bring migration to Europe back to zero. The EU is too one-sided towards reducing influx into Europe, and too little on real responsibility for refugees. Yesterday's statement clearly shows that: tough agreements that Turkey is monitoring the borders and taking back rejected asylum seekers, but buttery soft words about resettlement from Turkey. The agreement on one refugee for another is, in fact, very cynical, because it actually creates an incentive to continue crossing illegally, both for Turkey and for the refugees. After all, at least resettlement will take place. The EU now also wants to send refugees back to Turkey and not just rejected asylum seekers, while Turkey is far from a safe third country. Turkey does not recognise the Refugee Convention for non-European refugees and does not offer them sufficient guarantees. I am shocked to hear the spokesmen of the coalition parties VVD and PvdA say: people can apply for asylum there and do not have to do so in Europe. This is directly contrary to the European standards that we now have. Those who provide that there must always be access to the asylum procedure and that it is then assessed here individually whether Turkey, or any other third country, is safe enough to send someone back to. I would very much like to hear the Minister's assurance that the right to asylum is not affected and that an asylum procedure will always be followed here. I honestly rely more on judges to judge whether Turkey is safe than politicians. If we continue to put pressure on Turkey, more and more refugees will be deprived of protection, and more money alone will not solve this. How will our government, as President, work to ensure that substantial numbers of refugees are resettled from Turkey, Jordan and Lebanon? Does the Minister agree with our group that a binding system of resettlement is needed as a means of pressure for the Member States? And what measures does the government take to ensure that Syrians can continue to flee their country? I would like to make a comment. So far, you've seen every closing of borders, and that goes for the deal that seems to be closed now, that routes are moving. The routes for refugees became longer, more dangerous and more expensive, because the only people who really benefit from them are generally the smugglers. How does the Minister intend to prevent the emergence of such alternative routes? In the EU, too, a fair distribution of responsibility is to be sought. This year alone, more than 100,000 asylum seekers have travelled to Greece. The agreement to redistribute 160,000 asylum seekers was a sensible decision, but the numerator of actual transfer is now, six months later, less than 500. Is this a credible European Union? As of today, no refugee is allowed to travel through Macedonia to the north. Now, therefore, it is really important that the redistribution work, in order to prevent the congestion of refugees in Greece. Can the Minister explain in detail what steps are being taken to achieve this? Moreover, the redistribution is only for promising asylum seekers. This means that the most complicated and difficult asylum issues are left behind for the Greek authorities, and that the Greek asylum system has been very inadequate for years. What are we doing specifically to ensure that there is an accessible and sound asylum procedure in Greece? What is the EU doing to support Greece? What can we expect from the Commission's proposal to amend the Dublin Regulation? Is the government looking for ways to ensure that all Member States participate in a fairer distribution? Why, for example, should Schengen be excluded as a means of ultimate pressure? In short, where is the beginning of a truly sustainable and joint solution aimed at sharing responsibility and respect for the Refugee Convention? I'd like a vision from the Minister. Another challenge for the Presidency is the imminent Brexit. The agreement has been barely reached and the impression is already given that the United Kingdom is being knee-deeped by the Member States. But what does our government itself think of the agreements? The agreements on restricting access to social services for Union citizens strongly reminded me of the letter from Minister Asscher and the Social Affairs Ministers of Germany, Austria and the United Kingdom in 2013 to the Commission that the so-called large-scale fraud of Eastern Europeans had to be dealt with. The Commission then bounced the ball back; it wanted to see evidence from the Member States. Then it stayed quiet. Now, apparently, there is no need for evidence of abuse to undermine the rights of all Union citizens. Is the referendum not a gift from heaven to restrict the rights of Union citizens without any evidence of abuse? Former Prime Minister Kok called these restrictions absolutely unacceptable, because the agreement breaks with the principle of equal treatment of Union citizens. What is the Minister's position? Will the Minister promise that if the British vote 'no' and leave the Union, the agreements in the agreement will actually lapse? That is by no means an imaginary outcome, and yet my group is getting the impression that there is no plan B. Is that right? What exactly would the position of the United Kingdom with regard to the EU be after a possible Brexit? I would like to hear an explanation of that. There is another referendum that many Member States are following with suspicion, which is tense about its consequences. The timing could have been happier for the government, but it is there. The government is in favour of the association agreement with Ukraine. This minister has convinced the House of Representatives and the House of Representatives. I am convinced that with his arguments he can also win the Dutch public for the treaty. Then why does he seem to remain silent and leave it to other parties to understand the benefits of the treaty? In my view, reference is being made too quickly to the debacle of the Constitution, but even then, in fact, the cabinet did not act convincingly. Now this cabinet seems to be making the same mistake. By not trying to fall into a trap, it seems to fall into it with open eyes. If the cabinet is in favour of its signature, it should not be neutral as far as we are concerned. I assume that the other Member States expect the same from the Netherlands. What exactly is the government going to do during the campaign? What exactly is the government going to do if the outcome is no on 6 April? What scenarios has the government prepared for this? The referendum on the Association Treaty is, of course, also about the appreciation that Dutch people have of European cooperation. Transparency is one of the ways to combat the growing euroscepticism. It is therefore to be welcomed that transparency of European decision-making is a priority for the Dutch Presidency. In the Access Info Europe judgment, the Court of Justice made it clear that greater openness to the public is crucial for the democratic content of Europe. A logical step is therefore full compliance with this judgment. Nevertheless, the Council is stalling. Almost two years after this judgment, a limited agreement has been reached on the listing of Member States in the Council documents. They may be deleted if deemed appropriate, a concept that offers little guidance. Therefore, this agreement would also be evaluated after one year. Why hasn't that happened yet? Furthermore, the limité documents are not yet available to the public during the negotiation process. In any case, it is crucial for parliamentarians that experts should be able to see the negotiating documents in order to advise them. Does the Minister recognise this and, if so, is he prepared to agree with the Chamber on access for third parties who have an advisory role for Parliament? Is he prepared to take this into account when evaluating these agreements at EU level? The government is right to seek more openness towards the trilogue, but communicating about the outcome of the negotiations itself is not a satisfactory solution for my group. What possibilities does the cabinet see for better communication during the trilogue? One of the arguments for concluding the Association Treaty with Ukraine is the importance of stability, democracy and rule of law at our EU borders. This raises the question of whether we are doing enough to realise and support all these elements in the Balkan countries, countries that are actually practically surrounded by the EU. I congratulate the government on accepting the application for EU membership of Bosnia. For the Balkan countries, and in particular Bosnia, Albania and Macedonia, it is very important that the Union brings them closer. Over the last 20 years, after the break-up of Yugoslavia and the war, development towards a democratic, prosperous and stable rule of law has been extremely difficult in these countries. It would also be in the Union's interest to accelerate these developments. Just look at the refugee crisis. This would also counteract the isolation of Greece. The influence of Russia but also of IS is imminent. Without sufficient perspective and support from the EU, this influence can only increase. The King of Jordan is aware of the danger and is concerned about the fate of the Islamic population. What about the European Union? What are we doing to support them in such a way that the prospect of membership comes into view? Another area where ISIS is advancing and stability is threatened, including at the borders of our EU, is the North African countries. Tunisia, a Nobel laureate because the revolutions have been so peaceful and democratic, is still in danger of succumbing to threats from outside. Last summer, the country was shocked by attacks. It was good that the minister with his presence supported the country. After the attacks, economic life has become even more silent and the lack of perspective has led more young people to join IS or other terrorist organisations, including to provide their parents with a good income. More than 5,000 jihad fighters now reside abroad, more than the total of EU-based fighters. All these circumstances make the worst fear for the future. It is therefore not to be underestimated that the EU has concluded a trade agreement with Tunisia. What more could the EU do, in particular to strengthen the rule of law in Tunisia? Human rights in Turkey are downright bad. My colleague Elzinga has already pointed this out. President Erdogan is increasingly repressive against the Kurdish minority, opponents and critical media, and the judiciary cannot be described as being entirely independent. The repressive regime has already displaced 350,000 civilians. The recent coup at the Zaman consortium was rightly shocked and condemned worldwide. Commissioner Hahn immediately stated that human rights are not "negligible." This signal is, of course, very important at the moment when the EU is negotiating with Turkey on the basis of a strong self-interest. I would like to know from the Minister exactly what the EU's steps are towards Turkey to counter this human rights deterioration. Can the Minister explain what his reaction has been? It remained freezingly quiet from the Netherlands in the last few days. An adequate response from the EU President would have been more than appropriate. As far as we are concerned, human rights are the first chapter of the accession negotiations and we will not proceed until it has been satisfactorily completed. In any case, it is worrying that the EU's focus on Turkey is so one-dimensional. For example, Turkey is a strategic player in the global context, including in the Middle East. Can the Minister therefore explain what the broader strategy is for Turkey? The Minister will agree with my group that if the EU wants to appeal crediblely to other countries in the human rights situation, including in the context of an accession process, the Member States themselves must apply a high standard for themselves and each other. The rule of law mechanism should help in this. The first state-of-law dialogue took place in the General Affairs Council in October last year. How did it go and what did it do? Has that been the case in Poland and Hungary? Has the Commission indeed put Poland under surveillance, as Commissioner Oettinger announced at the beginning of this year? What concrete steps have been taken and with what effect? Then a sustainable economy in the European Union still deserves a lot of support. We have already mentioned the Greek crisis with regard to refugees, but the economic crisis in Greece is far from gone. The Netherlands and Germany make the third loan package conditional upon the IMF participating. What are the financial and political consequences if the IMF does not meet? What does the Minister think about the fact that the EU has made itself so dependent on the IMF to solve a financial problem in the euro area? Moreover, the European Investment Programme EFSI has not yet launched projects in Greece. These projects seem to mainly end up in the better organised countries such as Germany, France, Italy and the Netherlands. How do we ensure that Greece benefits more? The government calls itself a pioneer in tackling tax avoidance, but this is not yet reflected in its behaviour. Instead of supporting the fight against multinationals that avoid tax, the cabinet appeals against the ruling on Starbucks. Even after the announcement that IKEA has evaded a billion in taxes, the cabinet does not want to give Parliament an insight into the tax arrangements with this company. The Dutch ruling system remains hopelessly intransparent, people's representatives and the public cannot effectively check whether these tax arrangements are correct. Therefore, public country-by-country reporting is urgently needed, including information on tax rulings. Does this not fit well in the transparency ambition of the Dutch Presidency? How will the government promote this? Is it true that under the current proposal less than 1% of companies are subject to the country-by-country reporting obligation, because only multinationals with a turnover of more than 750 million are included? Does the Minister consider this to be sufficient and effective? Finally, one final point. It is high time that the EU took a leading role in combating climate change. There's a chance now. In Paris, world leaders agreed to keep global warming far below two degrees and also to do everything in their power not to allow it to exceed one and a half degrees. This means that our European policy needs to be considerably strengthened. Until now, the EU has applied an ambition level of limitation of warming to two degrees. Unfortunately, the Commission's new analysis of policy adjustment is very disappointing. We cannot afford to wait until 2023 to see whether climate policy needs to be strengthened after 2030. In order to reach the agreements we made in Paris, we will also have to increase the ambitions for the period before 2020. Is the government now ready as President of the EU to make efforts to strengthen European climate policy in the short term?
ParlaMint-NL_2016-03-08-eerstekamer-8.u45	Mr. Chairman. I too would like to start in my speech with what is currently at the centre of everyone's attention: tackling the refugee crisis. This crisis is now affecting cohesion, unity and, in some cases, the chances of survival of the European Union as we know it. Before I say anything about the political dimension of the issue, let me say that we see it as our expensive duty to provide humanitarian aid to people who have to flee their homes because of war violence. Anyone who has to save his or her life and is in danger of life must receive help without restrictions. That is what our humanitarian programmes are for, and to that end, the right of asylum exists as part of general human rights. I also have a deeper justification for this and it goes back to the biblical incentive to be hospitable to foreigners and to take it up for refugees, also from the understanding that existence is by definition finite for all of us. People can only cope with the uncertainty and effort of existence if they can count on each other. That is the basis of our solidarity and people on the run can appeal to it. Meanwhile, Europe shows how divided it is in one of the biggest humanitarian crises since the Second World War. The division and refusal of some countries to share in a solution is painful. The Europe that has often complimented itself on a post-war track record in the area of peace and prosperity can hardly accommodate people who are fleeing their lives or beliefs. Just in front of the picture: more than 4 million Syrians have fled their country and in Syria itself the double number has become displaced. Turkey captures 2.5 million Syrian refugees and Lebanon 1.1 million, often in wretched and hopeless conditions. Should Europe not be required to take on at least some of these people? This is a question alone which shakes the European Union's foundations. For those who thought Europe was a community of values, the word has already fallen a few times here today alongside an economic community, which it all started with, comes from a cold carnival home. There is no question of mutual solidarity. Member States close their borders and spread their problems to others. The debate is not about shared values and their application. What we see is maneuvering with the compass of national self-interest on the sea of geopolitical forces. Paul Valéry once, a century ago, talked about Europe as a "small cape of the Asian continent." This is about a Europe that has difficulty showing its own identity, a Europe with a lack of collective self-awareness and a Europe that cannot act together. If Europe is not to be a small cape of the Asian continent, it will have to make it clear what it is about and uphold the virtues of mercy and justice in a world that is dying under its own cynicism. That is why Europe must not lose itself in the solution we are currently working on. My group would have great difficulty if Europe were to pay the highest Turkish price, namely the acceleration of accession negotiations with Turkey. Mrs Strik pointed that out as well. Fundamental freedoms are already at stake in Turkey. Almost daily new examples of this come out. At the moment, sending the signal that Turkey can become a member of the European Union is also a signal about Europe's understanding of human rights and the rule of law. Does the Minister agree with me and would he like to say the same? As far as my group is concerned, Turkey cannot just be admitted as a member of the European Union, at least not in the way the cards are. I would also like to mention the point made today by the UNHCR as a comment on the preliminary outcome of yesterday's negotiations, namely that refugees sent back to Turkey should also be covered by the protection of international law. If the European Union wants to be more than an economic phenomenon and want to be more than a way of adapting European capitalism to the needs of a global era, as a historian said, there will have to be a constant discussion about the values which underpin Europe as a community of rights. These are values of human dignity and commitment to the common good. I see that Chancellor Merkel and also Claude Juncker, here in The Hague last week, spoke about the basis of our law and also about Christian values that are present under it. Can the Minister say anything about this debate on values in Europe? How does he see that? Is there perhaps a floor needed there? The Netherlands is currently committed to the European state-of-law dialogue. There are concerns about respect for the trias politicians in some Eastern European countries. How does the cabinet then assess the attitude of a number of European countries not to participate in the implementation of European asylum policy, simply to close their borders and not to cooperate in the distribution mechanism in Europe? Does he also want to involve these issues in the European judicial dialogue? In the meantime, so much uncertainty is causing the refugee crisis a lot of confusion in the Member States of Europe. Everywhere, counter-movement is taking place and citizens feel threatened by developments. The refugee crisis also reinforces the integration debate. However, anyone who finds protection for humanitarian reasons is not yet a future citizen, which is why return and expulsion policies really need to take shape. My group considers this to be an essential part of the refugee policy in order to get some rest in the social debate. What new agreements are currently being made on this subject? Then there are a few words about the State of the European Union 2015 and the Dutch Presidency. The President's version of that "State" sets out the ambitions and objectives of that Presidency and sets it out clearly. We're getting a clear picture of what the government is trying to achieve. Whoever reads the piece sees that suddenly we seem to be back in the reality of an administratively manageable world. However, it is not easy to say that European reality is unwieldy and that even where European countries have made agreements, implementation is not self-evident. This concerns not only the implementation of the European Commission's migration package and agreements on the refugee issue, but also the follow-up of recommendations under the European Semester. The government wants Europe to become more effective, to focus more on key issues, to reduce rules; it talks in the state of the Union about the beginning of a change in European governance. This striking expression of a change in European governance is also surprising. Those who watch closely see two stories at this point diametrically opposite each other. On the one hand, it is about reducing rules and reducing Brussels influence in the Member States and confirming control by national parliaments; on the other hand, there is an ongoing story about the need for the transfer of sovereignty to European institutions, which citizens are now deeply concerned about. What change in European governance is going on? In any case, we cannot continue along the road of democratic alienation, as the Council of State called it a few years ago. As far as I am concerned, this democratic alienation includes the contents of the Five Presidents' Report. Suddenly, there appears to be an authoritative plan that talks about the transfer of sovereignty to common institutions, which talks about economic union, a budgetary union and a political union. All 'in the long term', but steps are already being taken in this direction, there is a compelling agenda and governments are expected to act within this agenda. Is that just gonna happen? Was the message to the Member States since the Treaty of Lisbon not that the European Union should not act as a European government? The way in which the European Semester is now being looked at also feels as if the countries have been swimming in a trap. At first, the recommendations were only recommendations, but now there is a call for their actual implementation and they will soon be mandatory indications. Moreover, in the most recent country assessments, the Netherlands has also had to learn that the recommendations from previous years have not all been followed up. We just heard from colleague Backer where in that state of him there is also the Netherlands to situate. This also applies to Germany, which has also received a few messages. The Dutch government is "reserved" in relation to Juncker et al. "Thinking direction' outlined. However, my group welcomes this, as this direction of thinking is far-reaching and is hardly covered by prior democratic decision-making. But why are these reserves justified? Can the Minister explain them? The aim of the change in European governance, which we are talking about, is linked to a European Union which focuses on key issues and sets fewer rules. How does the Minister assess the commitment of Commissioner Timmermans on this issue? My group wonders whether the approach will lead to anything, as the underlying movement is still one of an extension and strengthening of European governance. I noticed that the government's motivation to support the reduction of regulatory pressure is mainly an economic one. Rules may hinder innovation, as is the case in the State of the Union. But an important source of discontent about European influence has to do with the feeling of losing control and the understanding that bureaucracy or neoliberal market logic displaces the functioning of democracy. In this context, I would like to ask about the cabinet's commitment to the fourth railway package. The negotiations will be concluded under the Dutch Presidency. In our last debate with Secretary of State Mansveld in this Chamber, she indicated her commitment: the Dutch concession model must be retained and the Netherlands has control over national rail transport. Will that also be the outcome of the fourth rail package negotiations? A theme related to this is about strengthening the position of national parliaments. The Dutch Government also considers this important. But what exactly does the cabinet mean? What is the strengthened position and when has that position been strengthened according to the Dutch government? I would like to comment on this point. Transparency is of the utmost importance for effective democratic control of European decision-making. The Netherlands is committed to this. By letter of 2 March, the Minister informed us of this. But what exactly is the underlying analysis here and what message does all these measures send? What transparency are we going to get and to what extent is transparency possible given the functioning of European decision-making? Connecting and fast. Those are the words typical of the Dutch Presidency; that motto was chosen. I'm sure it'll work with that connection. The Netherlands is used to doing politics in the polder with the task of keeping things together. But how fast the cabinet can be is unmistakable. It does not have the factors in its own hands, and in particular it does not have the will of countries to invest in joint solutions. We therefore wish the Minister much strength and wisdom in these extraordinary circumstances and look forward to the further exchange of views.
ParlaMint-NL_2016-03-08-eerstekamer-8.u46	Mr. Chairman. Europe has many advantages. Since the euro we no longer have to change money at the border, since Schengen we no longer have to stop at the border to show our passport and since the free movement of persons labour has become much cheaper. To a Dutch employee who complains about his salary, an employer can rightly say: for you ten others, Poland or Romania for example. Hungarian truck drivers drove a little less than €2 per hour on Dutch trucks, and of course that money can't be as much as a driver. We see them all camping in the parking lots next to Dutch gas stations, day in and day out. But for Dutch employers it is of course a pleasant windfall to be able to drive your truck around Europe for €2 per hour. And it could be a lot cheaper, it turns out. For less than €1 per hour you can have a welder from Romania or Poland working at your shipyard in Groningen. Quite simply: a Dutch temp agency spends a job on a foreign sister company so that it does not have to pay social contributions in the Netherlands. The companies say that there is a temporary job in the Netherlands and request a so-called A1 declaration for the "detached workers" through their foreign branch. Social contributions are paid over the much lower minimum wage in, for example, Romania or Poland. Creative, cheap. RTL News reports: "Hundreds of Romanians work at Dutch shipyards for €1 gross per hour, according to FNV figures." They're completely malicious practices. Employers, evade the Dutch collective agreement, lift the treasury and squeeze out the Romanians, says a dismissed employee who worked for GS Yard for five years at the Groningen Waterhuizen. He lost his job there as a crane operator. To a Romanian. "He is now on my crane without the proper papers. Doesn't speak the language and works 56 hours a week. For an apple and an egg." Nice for the employer, bad for Dutch employment. It's just a mosquito ear that pays attention to that. We are a European community of values and what difference does it make if a vacancy is filled by a Dutchman or a Romanian. Not that narrow-minded behind-the-dyke thinking, European community, we want that as I read on a packet of condoms that was handed out during an election campaign. It sounds cynical, but the situation is to it. It is a crisis on all fronts and that crisis is being used to speed up the process of unification. "There is no alternative," said an English Prime Minister once, although many British people feel that there is indeed an alternative by now. Brussels does indeed seem to be based on facts that have been fulfilled. The European train has been set in motion and cannot be stopped. Not only can employers within the EU benefit from the law of communicating vessels that brings about a free European labour market, but also tax-related benefits for Europe. For example, last year Facebook paid no more than €5,800 tax in the UK, less than a British employee with a modal salary. That makes citizens cynical. Europe, which should have been a project of fraternization, let there be no misunderstanding about it. It is a Europe of different speeds, a Europe in which the Member States have different economic temperaments, in which the north and the south seem to be opposite, in which not all Member States are members of Schengen, in which not all Member States have the euro, in which not all Member States give an unconditional commitment to EU membership and in which the refugee crisis only stirs up the split. Even "Mister Europe" Frans Timmermans openly doubts whether Europe is going to make it. Who could have thought that, except for the critics who have warned from the beginning of the European dream of a bubble that could explode at any moment with all the disruptive consequences of that. The Netherlands is on the eve of an unprecedented transfer of power. Three years ago, the Council of State identified a path towards a fiscal federation within the euro area, consisting of three steps: a banking union, budgetary contracts and a real fiscal union with its own taxes. The Council of State referred to these intentions as "sustainable," spoke of "provisioning consequences," warned of "large financial risks," spoke of "significant consequences for the role of national parliaments" and wondered whether "these decisions are actually being behaved democratically," especially now that "a growing proportion of citizens know and feel less responsible for and represented in the decision-making process by legislator or government, however much it takes place in accordance with democratic procedures." The Council spoke of 'democratic alienation', which is'very significant in terms of decision-making in the European Union'. That was three years ago, and the concerns of the Council of State are hardly unfounded. We must not ignore the serious concerns of the Council of State about far-reaching transfer of powers and hence far-reaching sacrifice of our country's sovereignty. Many people feel uncomfortable about the uncontrolled growing influence of the EU. The greatest monetary experiment in history, which cannot be said often enough, in which we are still in the middle, and the crisis resulting from it, is now being misused to give even more powers to Brussels, in slow pace, with steam and boiling water. The cabinet also feels that inconvenience, but has difficulty in coming up with solutions. The cabinet is in a split as regards the influence of the European Union, as is so many other issues. In fact, the cabinet wants more European regulation and less national influence. Under the guise of a level playing field, national headlines are being removed, but the Dutch voters are clearly not waiting for this. Faith in the European Union is rapidly crumbling. This has been the case since 2005, when the Dutch people massively "no!" said to the European Constitution, a wish which was then widely ignored by its people's representatives and expertly. In the meantime, more than 400,000 voters have forced a new referendum, no matter how high the bar was set by politics. Once again, the rhetoric of war by parties who believe that the people who have requested the referendum can best be accused. Through RTL News Good detectives have been able to learn about the communication strategy of the Cabinet, which should lead to a vote or turnout below 30%. Both are a desirable outcome for the cabinet. Can the Minister explain why the cabinet believes that fewer polling stations need to be open because a low turnout is expected? Is the wish possible the father of the thought? Does the cabinet feel it is democratically defending to make it difficult for voters to vote in a referendum where the cabinet does not expect a high turnout anyway? It will not be up to the referendum committee, because it will only pay out the subsidies requested less than a month before the referendum, which makes it difficult to run a good campaign, either in favour of it or against it or neutrally. In the context of the Ukraine referendum, I will present the next case. Dutch banks such as Rabobank and ING are investing hundreds of millions in a Ukrainian mega-chicken factory where 332 million chickens are slaughtered every year. European development funds and the Dutch credit insurance company Atradius are happy to kick out one of the largest laying batteries and one of the largest chicken factories in the world. This factory operates according to standards that are not allowed within the EU, but in Ukraine different laws apply. The factory is owned by billionaire and chicken farmer Yuriy Kosiuk, personal friend and also chief of staff of President Poroshenko. In the post of Chief of Staff, he is responsible for all military logistics. In addition, Kosiuk is a banker and owner of one of the largest recreational craft in the region. Kosiuk is a man with many talents and many side functions, and a man who pays little tax because the profit of the chicken factory is outside Ukraine and within the EU's tax havens. What causes our banks and our Brussels representatives to invest so exuberantly in the most corrupt country in Europe, according to Transparency International, with a friend of the Ukrainian president who is also running the Ukrainian army? There are, of course, similarities between bio-industry and war and logistics, but if, according to Forbes, the chicken farmer in question also produces another billion in subsidies and tax benefits and eggs according to a method banned in Europe, we should ask ourselves whether we are dealing with a good association. These cheap battery eggs from Ukraine can be the death blow for European and therefore Dutch farmers who try to comply with the minimum animal welfare standards that we have arranged here with each other.
ParlaMint-NL_2016-03-08-eerstekamer-8.u47	I'm interrupting now, because the sadness is now getting so big that I'm starting to have some existential problems with it. I hear that Ukraine has its own rules and that, in this case because of investments in the agricultural sector, it is becoming a deep lamentation. Wouldn't it be a celebration if we got Ukraine to take over European legislation?
ParlaMint-NL_2016-03-08-eerstekamer-8.u48	In addition, the wish is again the father of thought. A country doesn't take over your rules when you enter into an association agreement with that country.
ParlaMint-NL_2016-03-08-eerstekamer-8.u49	So I'd go one step further. Successfully, we are making a treaty which states that Ukraine is already introducing European rules. This creates a nice level playing field. At least we will have fair competition and animal-friendly farming.
ParlaMint-NL_2016-03-08-eerstekamer-8.u50	That seems to me to be a case of wishful thinking. It is clear that when Europe forbade the laying batteries, Dutch banks and Dutch producers of laying batteries chose to apply what is forbidden here just outside the European borders. At the moment when you could get it done, I wish Mr Schaap every success in trying to do so, although I have not yet seen him try to do so, but if he is going to do so, if Ukraine takes over the Dutch rules, our batteries will be welcome in the next neighbouring country. That next neighbour is Russia, which is not yet a member of the EU. In this case, these battery eggs can be released again across the European market. There is therefore no benefit whatsoever for animals and farmers. I find it special that Mr Schaap, who often acts as a representative of Dutch farmers, does not now stand up for them. Dutch farmers cannot compete with laying batteries in Ukraine and sigh under the fact that their Rabobank invests in a country with much lower animal welfare rules than our country. Those farmers should be protected from the VVD instead of the VVD advocating a treaty that would overwhelm the Dutch and European markets and would not stand a chance for Dutch farmers.
ParlaMint-NL_2016-03-08-eerstekamer-8.u51	I just wanted to cheer up Mr Koffeman by pointing out that the introduction of European legislation in Ukraine makes life much more interesting, including for animals. He doesn't even know what I'm doing in Ukraine. This includes promoting these kinds of developments. Mr Koffeman says that it is so terrible that the batteries were pushed across the border when they were banned here. However, we could very well avoid this by ensuring that battery storage is not allowed in Ukraine in this case either. Then we'll take Russia with us.
