ParlaMint-NL_2016-09-29-tweedekamer-8.u1	We shall continue with the second term of this debate.
ParlaMint-NL_2016-09-29-tweedekamer-8.u76	No, because this is perhaps also very sensible for reasons of substance, because there are also employers' and current pay responsibilities in this area. We're gonna have to keep looking at the whole chain, no matter what we make up with each other. Apart from the question of who will ultimately manage the portal, you need to stick with the players who are now active to make sure that there is a good portal. However, that is independent of the future, because we must, of course, keep the options open. Mrs Keijzer is right about that. In the motion-Keijzer/Voortman in part No. 268 states that the new payment system will become an open source system for the pgbs. I also advise against that motion. Not because we wouldn't want to, but because we have to look at what is cheapest and what produces the most quality. Sometimes that's buying a standard system and sometimes that's building a system yourself. If you go for that first option, you also depend on what you buy. I had already promised to include that point in the October letter, so perhaps it would be good if we discussed it further. In the motion in part No. 269 the government is invited to work with the VNG to find solutions to the obstacles currently experienced by small-scale housing initiatives. We exchanged in the debate that the government also pays particular attention to small-scale housing initiatives and promotes them wherever possible. I therefore leave the judgment to the Chamber. In the motion in part No. 270 is requested for pgb mediation. Maybe I can make Mrs. Dik-Faber a proposal? Mrs Keijzer also made a comment on this. There is, of course, some difference between a public-law scheme, as in the Wlz, and another scheme, as in the Youth Act and the Health Insurance Act. I'm sure I'd like to take a look at it. I would also like to take up the question of how far we can promote dispute resolution here. If I promise to look at it and come up with solutions as soon as possible, I hope Mrs Dik-Faber will continue this motion.
ParlaMint-NL_2016-09-29-tweedekamer-8.u77	If the Secretary of State wishes to point out once again when we are informed, I am prepared to hold the motion. It should not be next year, but in November or else early December.
ParlaMint-NL_2016-09-29-tweedekamer-8.u78	January.
ParlaMint-NL_2016-09-29-tweedekamer-8.u79	So?
ParlaMint-NL_2016-09-29-tweedekamer-8.u80	I'm sorry it's gonna take so long again. After all, we have been talking about this for a long time. But, yeah, I guess it's the only way. I'll have to accept this offer. It really should not be later than January, otherwise we will be too close to March. That would be very annoying. I would like to talk to the Secretary of State about this, and after March, of course, everything will become insecure again.
ParlaMint-NL_2016-09-29-tweedekamer-8.u81	So you're holding the motion?
ParlaMint-NL_2016-09-29-tweedekamer-8.u82	Yes.
ParlaMint-NL_2016-09-29-tweedekamer-8.u83	At the request of Mrs Dik-Faber, I propose her motion (25657, No. 270). That is what is decided.
ParlaMint-NL_2016-09-29-tweedekamer-8.u84	What was the verdict on the motion in part No. 269? There's some confusion with the members of the Chamber.
ParlaMint-NL_2016-09-29-tweedekamer-8.u85	That is the motion on small-scale housing initiatives. I have indicated that I think it is important to see how we can stimulate it. I've left that motion to judge Chamber.
ParlaMint-NL_2016-09-29-tweedekamer-8.u86	Mr Potters, you have not tabled any motions, have you?
ParlaMint-NL_2016-09-29-tweedekamer-8.u87	No, but the Secretary of State has promised me to come back on something in the second term. He would go into legislation to deal with caregivers instead of pgb-holders.
ParlaMint-NL_2016-09-29-tweedekamer-8.u88	I'm sorry about that. In the letter of 7 December, I stated that we have already arranged that by means of an act of assignment, the budget holder himself is not called upon. I have announced that we are looking at regulations to make this possible through a direct contact title. It now seems that all three laws do not require legislation but lower legislation. If that is the case, and I have almost 100% certainty about it, then that regulation could enter into force on 1 January.
ParlaMint-NL_2016-09-29-tweedekamer-8.u89	So the AMvB will come to the Chamber in the next few months?
ParlaMint-NL_2016-09-29-tweedekamer-8.u90	Yes. Moreover, I do not think that the Chamber should give a formal opinion on this, but I can imagine that the Chamber would be informed.
ParlaMint-NL_2016-09-29-tweedekamer-8.u91	I see Mrs Keijzer and Mrs Leijten, but they really must keep their interruptions short. Otherwise, we'll have some kind of third term.
ParlaMint-NL_2016-09-29-tweedekamer-8.u92	I'm holding my motion in part no. 268 on.
ParlaMint-NL_2016-09-29-tweedekamer-8.u93	At the request of Mrs Keijzer, I propose her motion (25657, No. 268). That is what is decided.
ParlaMint-NL_2016-09-29-tweedekamer-8.u94	The research on whether healthcare professionals can be dealt with is also done at the request of the SP. We went there together with the VVD. It has also been shown that children can be fully loaded with debts if their parents have applied for a pgb in their name. When they turn 18, they have a debt, while their parents or caregivers have applied for it. Can it be taken into account in the same regulation that this will no longer be possible in the future?
ParlaMint-NL_2016-09-29-tweedekamer-8.u95	It's a little different. We have said that we are looking for ways to prevent children from being burdened by their parents later with all kinds of extra costs. That means the parents need to be addressed. That's what happens in most cases. I don't know if that requires regulation. Mrs Leijten is right that this is part of the same discussion. I do not know whether we will include this in this regulation, because it may require different regulations, but we will at least ensure that children are not burdened with their parents' debts without their fault.
ParlaMint-NL_2016-09-29-tweedekamer-8.u96	In response to parliamentary questions, the Secretary of State writes that according to the system of the law on pgb, the applicant is to blame. If a child needs a pgb, that debt that was in his name expires after he was eighteen. If we can tackle the care providers instead of the budget holders, it seems to me that you can also deal with applicants, in this case the parents or caregivers, instead of the children. I urge you to take this with me, and I will also look at the Secretary of State's supporters. If caregivers can be dealt with by 1 January, then they must also be able to be protected in the future.
ParlaMint-NL_2016-09-29-tweedekamer-8.u97	We totally agree that these parents should be addressed if they cause a debt that will later rest on the children, and not those children. I just asked to give me the room to see if there is a need for regulation and, if so, what kind of regulation. I fully agree with Mrs Leijten that we should take care of this.
ParlaMint-NL_2016-09-29-tweedekamer-8.u98	This brings us to the end of this debate on the plan to limit the possibilities for a pgb. Motions have been tabled, which will be voted on next Tuesday. I would like to thank colleagues and the Secretary of State. In a few minutes we will continue the debate on the Education and Vocational Education Act.
