ParlaMint-NL_2016-01-14-tweedekamer-4.u1	I would like to welcome the Minister for Security and Justice.
ParlaMint-NL_2016-01-14-tweedekamer-4.u40	Yes, but Mrs Swinkels has seen the amendments. She knows that the idea lives to see if the punishments can be increased. We must bear in mind that the consequence can be that the punishment goes up. Does Mrs Swinkels still think that a judge is satisfied with the passage about red-hot eyes, unsteady steps and smells of alcohol? Or does the judge perhaps need that objective in order to actually increase the sentence, in accordance with the directives of the Public Prosecutor's Office?
ParlaMint-NL_2016-01-14-tweedekamer-4.u41	As Mrs Van Toorenburg knows, as the judges do, there is no direct relationship to alcohol and substance consumption. It increases the risk of being true, but that is extremely dependent on the suspect in question. Mrs Van Toorenburg said earlier that when she is angry she gets even more angry. I can say that when I finish two glasses of white wine, I always get happy. So that's where the two of us are different. So it's very subjective. Where the bill makes it appear that it is an objective handle, the test itself may be objective, but the weighing is very subjective. And that weighting must also be very subjective.
ParlaMint-NL_2016-01-14-tweedekamer-4.u42	Having heard this, I ask Mrs Schwinkels the question I have also asked Mrs Kooiman. What value does it attach as a representative of the D66 Group to the expert group headed by the NFI? There are all kinds of experts who say that the use of alcohol and drugs can be more aggressive than certain values. That doesn't mean that you get aggressive when you take a lot of booze, but it does mean that you can take responsibility for it when you've done it and then you're aggressive. How does Mrs. Swinkels feel about that?
ParlaMint-NL_2016-01-14-tweedekamer-4.u43	What Mr Van Oosten is proposing would be that you get some kind of risk liability if you drink alcohol. Anything you do wrong would be punishable. In Mr van Oosten's view, drinking alcohol or taking drugs would be a criminal offence.
ParlaMint-NL_2016-01-14-tweedekamer-4.u44	I ask Mrs Swinkels what importance she attaches to this statement by the expert group, which is also a basis for this legislative process. The expert group says that use above a certain value can promote aggression and that it is therefore relevant for the criminal trial, for the prosecutor and for the judge to know whether that value has been exceeded. The VVD therefore wants such a resource investigation at the moment when the suspect is suspected or likely to have exceeded that value.
ParlaMint-NL_2016-01-14-tweedekamer-4.u45	As Mr van Oosten rightly points out, the expert group is indeed saying that this increases the risk. However, it has not been said that any use of resources leads to aggression. Moreover, the College of PGs objected to the proposal made in the legislative proposal to include this as a penalty factor in the BOS/Polaris Directives, the criminal prosecution guidelines for the Public Prosecutor's Office, precisely because the use of resources does not have the same effect on everyone, even if a certain lower limit has been exceeded. Another critical consideration I have has to do with the potentially counterproductive effect. Mrs Van Toorenburg has already mentioned this. What happens if no test has been carried out, for example, because the suspect said he had used resources but came back on them later, or if the test results don't get into the file properly? We all know how difficult it is for the police to write this properly in the minutes and complete the file. In such a case, can the judge no longer include the use of resources in the penalty assessment? That's when you bring a discussion into the courtroom that doesn't play or hardly does.
ParlaMint-NL_2016-01-14-tweedekamer-4.u46	In her contribution, Mr Swinkels pretends that this bill is about whether or not to use alcohol and drugs, as an isolated act, but the reason for this bill is that police people see and experience that violence is often used by people who are under the influence of alcohol and drugs in entertainment areas. As a result, these people are no longer susceptible to any form of verbal correction. You can't talk to them anymore. When it comes to an arrest, it's just more mats. That combination and that heart cry of policemen makes it legitimate to have this legislation, which at least helps these policemen to have a handle...
ParlaMint-NL_2016-01-14-tweedekamer-4.u47	What is your question, Mr Marcouch?
ParlaMint-NL_2016-01-14-tweedekamer-4.u48	Does Mrs Swinkels also see that this law provides a tool for police officers to demonstrate that there is use of drugs and alcohol in combination with violence committed?
ParlaMint-NL_2016-01-14-tweedekamer-4.u49	I would like to draw Mr Marcouch's attention to the explanatory statement. It is not about a handle for the police, it is about a handle for the judge to weigh up the results of such a test, which is introduced with this bill. The test therefore serves to provide the judge with a tool. I wonder whether this is going to help judges and whether it is necessary for judges to be helped on this point, because judges are already taking it into account. It's already being considered. Moreover, as I have just said, a counterproductive effect is lurking. In this context, I ask the Minister why he ignores the opinions of the professionals in the field: the Dutch Order of Lawyers, the Council of Justice and the Council of State. How does he look at the danger of counterproductive action? I also ask him how he looks at this complex correlation between the use of drugs and the use of force, because even scientists have no clear opinion on this. I come to my second point of criticism. The bill is supposed to have a deterrent effect, but this is not substantiated. It's just the introduction of the drug test. I find it very difficult to imagine that a celebrater on King's Day would give up that fourth beer because he might have to blow if he might get involved in a fight later in the day. He would think: rather a Diet Coke, because maybe it'll be mats, maybe I should blow and maybe I'll get a higher sentence. We all know the calculating citizen, but this presupposes a great deal of sensible thinking in a situation that at least does not promote it. I'd like to get a response from the Minister. My third point concerns the proportionality of this bill. We must not forget that the bill infringes a fundamental right, namely the inviolability of the body. Mrs Van Toorenburg has already mentioned it. It is very beautiful in Article 11 of the Constitution and in Article 8 of the European Convention on Human Rights. Such a fundamental right can only be violated if there is an urgent need for society. You must never infringe on this when a less far-reaching product is also available. I have already mentioned witnesses, the statement of the defendant himself and also the police, who observe certain behavior. So far, the judge's been doing a great job with that. D66 is always critical of these fundamental rights. Then I come to my fourth point. If I read this bill and see the amended title, I cannot escape the impression that it is being presented as something that leads to an increase in punishment. Mrs. Helder already signaled it. However, that is misleading, because this bill does not in itself allow stricter penalties. Strict penalties and taking account of the use of resources are already possible and are already being done. The purpose of this legislative proposal is merely to provide a kind of objective handle that would make it easier and more difficult for the courts to assess the use of resources. I don't think that's necessary. It fits with this character in a series of repressive legislation which, as far as I am concerned, also has the character of symbol legislation. It fits into the series of minimum sentences, the burqa ban and its own contribution to prisoners. For that reason, you could call the bill gratuitous, but it's not free at all. There's a lot more work for the police and the justice system. The costs of the test alone are substantial and the introduction costs are €500,000. A lot more cops need to get involved in the arrest and taking the test. There are doctors and nurses involved. The Netherlands Forensic Institute may need to analyse saliva and blood samples. Those samples need to be kept. All this must be done carefully. Eventually they will be destroyed, which must be monitored again. All in all, this amounts to about six tonnes per year for the substance test itself and last but not least 15,000 extra FTE for the police, which, as we all know in this house, is already overloaded.
ParlaMint-NL_2016-01-14-tweedekamer-4.u50	I do hear contradictions in the story of Mr Swinkels. I can almost hear her say at the end that this bill has a repressive effect, but in almost the same sense she says it is symbolic legislation. It's either one or the other. I also hear her say that she has experienced in practice that a suspect admits that there is alcohol use at the hearing, because that would reduce the penalty. According to the same reasoning, if this bill becomes law, the same suspect thinks: there is now a result of the substance test, which is likely to increase the penalty. People who use those resources really follow that reasoning. I regret that Mrs Swinkels does take this with her if a suspect thinks that it will be punished less, but does not take it with her if a suspect thinks that it will be punished more. Colleague Swinkels continues to talk about customization. But then this bill is really good, isn't it? It is, after all, an objective means of ensuring that customisation can be applied.
ParlaMint-NL_2016-01-14-tweedekamer-4.u51	To start with the last question: it assumes that it is necessary to establish whether suspicious means have been used, which would depend on the own statement. That is not the case, and Mrs Helder knows that very well from her previous life. It's only up to the judge to impose a sentence. He must take into account all factors. That's already happening, so this bill doesn't change anything. The repressive and symbolic nature of the bill is very much in agreement, because it fits in with a series of symbolic legislation of a repressive nature that I have just mentioned. As we know, D66 is always much more for prevention. Prevention is much better served by a targeted punishment that is precisely designed to manage a possible problem of resources. The judge will be able to effectively send for that.
ParlaMint-NL_2016-01-14-tweedekamer-4.u52	My group believes that prevention is also served by the fact that, if a suspect has actually used up resources, he or she is rightly punished for that. Oh, that's... that's... that's... that's... that's... that's... that's... that's... that's... that's... that's... That is why my group does see what is in this test of resources, because it is objectively determined that there is use of resources and even if it is good, to what extent. Mrs. Swinkels knows from her practice, as I did from my previous life, that it's a snapshot. If an APB is holding someone, it's a snapshot. This is done either on the basis of external characteristics or after an alcohol test. But many months later, the case comes to trial. Then it is extremely useful that there is an objective result of such a resource test, so that customisation can be applied?
ParlaMint-NL_2016-01-14-tweedekamer-4.u53	I'll answer that question with a counter-question. What difference does it make that the quantity is fixed? It is a question of determining whether there is a problem and, if so, what to do about it. Is the use of drugs a problem and, if so, would it help to impose alcohol and prevention, for example? It's about that test all the time. On what Mrs Helder says about the repressive nature, that is not directly in this legislative proposal, but in the amendment she is proposing.
ParlaMint-NL_2016-01-14-tweedekamer-4.u54	You can explain exactly what you mean by your question.
ParlaMint-NL_2016-01-14-tweedekamer-4.u55	Mr Swinkels is talking about her own words, but I do not think answering a question with a second question is so chic. Anyway, I said that this objective test would allow us to establish that resources have been used and perhaps even how many. That is what Mr Swinkels is using to say: it is not about how much has been used. I said that if resources have been used, you should take them with you if you want to apply customization.
ParlaMint-NL_2016-01-14-tweedekamer-4.u56	I actually asked a rhetorical question in the sense that it is clear that the proposal for a resource test does not add anything. I was talking about the cost. I would just like to point out that the budget debate last November was still very difficult for the NFI and the Human Rights College; they had to fight for every million. Now we look forward to the Spring note and we are curious how it will be resolved. In doing so, however, the Minister is very generously spending money on the introduction of a coercive measure that no one in the profession who has to deal with it on a daily basis has actually asked for. In short, D66 is very critical of this bill, because it provides a solution to a non-existent problem. The effect, the alleged preventive effect, is based on the almost naive assumption that the test will lead to less violence. It leads to a violation of fundamental rights which is not justified by an urgent need for society. We have to abstain from any symbol legislation that does not produce any results but brings with it considerable structural costs.
ParlaMint-NL_2016-01-14-tweedekamer-4.u57	Mr. Chairman. For the sake of clarity on the part of my group, the VVD is in favour of the introduction of resource research as proposed by the Minister in this legislative proposal. In the written round that preceded this debate, we have already clearly highlighted why we find it and what added value it can have. Let me also make it clear: if someone chooses freely to snort drugs, or use sophisticatedly formulated "to" to pour a bottle of alcohol down his throat or to use excessive alcohol, we think it is perfectly normal that you should also be able to hold that person responsible for the behaviour that may arise as a result. Research shows that the use of drugs or alcohol can be a risk factor for violence, and often even serious violence, with serious injury. In that case, it is perfectly appropriate to provide investigators, the Public Prosecutor's Office and judges with a tool for objectively determining the use of resources, so that it is not possible for them to take such a position in answering questions from, I believe, the Christian Union, by chance, to play an excessive role in the legal process. Now it happens or happens not to be recorded in the minutes that "there is a suspicion of". Well, you haven't determined that for sure. Maybe one investigating officer will mention it and the other investigating officer won't. An added value, I am sure, is that co-operation in a drug investigation no longer depends on voluntary cooperation of the suspect, unless you are talking about traffic situations where it is already included in the criminal investigation. Cooperation can now simply be required. I think that's normal and a good thing, because a lot has happened. Violence has been committed and victims have often been killed. Then I think it's perfectly normal that you can have a drug investigation to see if there's alcohol and drugs. I also think it is perfectly normal that when excessive use is established, this can be taken into account in the penalty requirement and ultimately in the imposition of penalties on the part of the judge. Finally, I also think that it can form part of specific behavioural interventions; Mrs Helder has just mentioned this with Mrs Swinkels in an interrupting debate. As an example, I mention rehab, especially in order to prevent recurrence. In fact, if someone is alcoholic or drug addict and, as a result of this, goes beyond violence, aggression and so on, where there are victims, I think that society, to Mrs Swinkels, in relation to fundamental rights as laid down in Article 8 of the ECHR, will benefit our democratic society in order to be protected from it. However, I do have a few critical questions for the Minister about the increase in criminal penalties. It is, of course, under the introduction of that research on resources. However, do we necessarily realize it now as a result of that introduction? Doesn't it deserve a recommendation to anchor the possibility of punishment in the law? All the more so because, in those same documents to which I referred, I read that the Public Prosecutor's Office is not particularly pleased with the amendments to the directives in this area. Mr Helder has tabled an amendment this week which introduces a penalty provision into the law. Today, that amendment has been amended; we have been discussing it for a while. That amendment introduces a penalty increase in the law, at least a can-penalty clause. The Minister will respond to that. I was on the same track, but in a slightly different variant. I have chosen not to table an amendment at this stage, because I want to wait for the response to Mrs Helder's amendment, but in fact the reaction I am playing with is as follows. At the time when the lower limits on which the pleading is written by the expert group et cetera are exceeded, this can be taken into account in the penalty requirement. In part, this is actually the same as Mrs Helder's amendment. How does the Minister view this? Of course, the Public Prosecutor's Office is now free to do so. I realize that, but you will ensure that the standard I am testing with a lot of colleagues is laid down in the law that excessive use can lead to violence and that you have a responsibility for it. We are dealing with that law, because we have the task of shaping it in the best way possible. I'd like to hear the Minister's response. On that basis, I will decide whether or not I am going to come to such an amendment or whether I am going to see whether I can find a solution together with Mrs Helder.
ParlaMint-NL_2016-01-14-tweedekamer-4.u58	Under the heading 'you ask, we turn' I might be able to meet Mr Van Oosten. It now states that the penalty may be increased by a third party if the investigations referred to in Articles 55d and 56a of the Code of Criminal Procedure show that the offence was committed under the influence of alcohol or one or more means referred to in Article 55d (4). After 'under the influence of alcohol', I can insert the following phrase:'meaning that the lower limit laid down in the AMvB has been exceeded'. I think that actually covers the load.
ParlaMint-NL_2016-01-14-tweedekamer-4.u59	I think so too, but before I say yes or no, I would like to know what the Minister thinks of that. That's how faint I am, I tell you in all honesty. I also read in the documents that, along the way of these directions and so on, there is now an opportunity for the Public Prosecutor to take this into account. I think it is important to discuss this properly in this Chamber, because everything we are saying here is part of that legal history. This clearly indicates that this should lead to an increase in penalties. With that I will make a bridge to the next point; I will now proceed with my contribution. I absolutely do not want to see this happening. I really do want to see the exact opposite of the underlying objective of this law achieved. That is the opposite of what is suddenly going to be done insofar as it is not already happening, but with extra strength, because there is such a drug investigation; I heard that a little bit back in Mrs Kooiman's words 'because I have not acted with my full wit because of the bad alcohol or the terrible drugs, I cannot be completely blamed for what I have done'. In other words, it is then used as a kind of mitigating circumstance. The lawyer's gonna come up with that, but I really don't want the D.A. to take this into account in his or her demands. I'm not going over it, because I'm in politics and I'm not a judge, but I certainly wouldn't want the judge to take this into consideration and perhaps even put it up as a motivation to come to a lower sentence. In other words, I know that guarantees do not exist up to the front door in this life, but I would like to hear from the Minister how he is going to avoid that being the consequence. I am considering putting in a motion at this point to highlight that I really do not want to do so. I hope that this House will support this, so that we clearly mark with each other that we do not want to; we are the legislator. I come to my final point, which is financial administrative. My colleagues have already said a few things about this. I understand it's $2.5 million. The document mentions all kinds of amounts, but I read in the answer to the questions put by Mrs Swinkels or by the D66 Group that it costs 2.5 or 2.6 million in the end and that a calculation shows that 18 FTE of police force is involved. As the Minister himself points out, this can be covered by the Ministry's estimates and in the police department's work process as such. Fortunately, that consists of many more people than 18 fte. Mrs Swinkels and others have rightly pointed this out, and since the recent budget debate in this Chamber has really turned every euro and the V and J ministry has very strong and strong challenges, I would like to ask once again whether the financial and logistical consequences can and will be dealt with well and that we will be informed if this proves to be more complicated, so that at least the Minister acts in this area. I forgot, but I had highlighted it to formally congratulate you, Mr President, on your presidency along this path.
ParlaMint-NL_2016-01-14-tweedekamer-4.u60	Thank you.
ParlaMint-NL_2016-01-14-tweedekamer-4.u61	Mr. Chairman. I agree with all the fine words and the congratulations on your election as President of our Chamber late last night. It is no surprise that we are in favour of this bill. Granting the police authority to test for alcohol and drugs in the case of violent crimes makes it possible to include the use of alcohol and drugs in the case of violent crimes as a criminal element. That is what I have been trying to achieve with my restrained motion. I would therefore like to thank the Minister in advance for the work he has done. This proposal is good news for victims as well as for aid workers and service providers who get their picks on almost every weekend and sometimes daily violence, because the punishment is increased if the offender was under the influence of alcohol and/or drugs. It is also a good thing that we are less affected by violent violence under the influence of alcohol. It is important that they soon discover that they are not only punished for the violent crime, but are also held responsible and thus dealt with for their dangerous drinking or drug abuse. The trigger for my motion at the time was the huge nightlife violence. The turn of the year is still fresh in our memory. That was not as wretched and barbaric in our country as it was in Cologne, but as well in the Netherlands about 200 people were arrested in the Netherlands, I say "small," but it is frighteningly much one night because of their aggressive attacks on police, ambulance staff and firefighters. This happened in Utrecht and Tilburg. The D.A. stated that the average night out on a normal weekend equals the level of violence of the turn of the year. Every weekend there are cafés and football stadiums. That's where the party should be. The alcohol makes the men unmanageable. They're for agents. I'm also speaking from experience. It's a big and disconcerting problem. There are disturbingly many agents and aid workers sitting at home, partly because of that violence. They have street terror, burnout or trauma. It is to free those victims of violence from the crippling fear that we give the police this new power. The cops will be able to run tests without being dependent on the consent of the drunken force. It is required to undergo the test. That's profit. The agents will soon use this new competence as they already do in the case of traffic offences, for example. In the case of violent crimes, the test can also be taken without red tape, i.e. after the violence has taken place. This is very important for the families who are victims of domestic violence, where red tape is a rarity. I am glad that we tabled the motion at the time and I am glad, as I said earlier, that the Minister has worked it out in this way. I wanted to do two things with it. The first, not insignificant, is that as a society we simply set a standard. The test and punishment are a clear message for the unsub: he must be aware that his abuse of alcohol and drugs increases his aggression and that it is involved in the determination of the sanction. For the bystanders, the witnesses or the commentators, the message is also clear: violence is not normal, it is not part of it, even though the perpetrator is a very sweet man when he is sober. The second is that we are going to stand behind and next to the victim of violence, for example, by putting the perpetrator out of the house for a while, from the street, from the pub or from the neighborhood, whether or not to stop contacting or to admit him to a treatment clinic. Having said that, I have a number of questions. In the written round, we asked for a resource test for cases where there is no red tape. In itself, I see the usefulness and necessity of a test at a later date, for example after a report of domestic violence, as I have just said, but the time between the crime and the time when such a test is taken may be relevant to the taking of evidence. The Minister says that he will return to the effect in a General Measure of Management. I would like to hear from the Minister how this is going to be arranged and at what time he intends to send the AMvB to the Chamber or at least have it ready.
ParlaMint-NL_2016-01-14-tweedekamer-4.u62	I have one more question for you. I'm confused now anyway. I hear two things from you. On the one hand, you mention what this bill introduces: only the substance test. On the other hand, I hear you all saying things about increasing your sentence. Then I don't understand it anymore. The latter is only contained in Mrs Helder's amendment, isn't it? Am I to conclude that you are also in favour of this amendment?
ParlaMint-NL_2016-01-14-tweedekamer-4.u63	In the Minister's explanatory statement, for example in the explanatory statement, I am also in favour of the fact that we now have the power to objectively establish that someone is under the influence of alcohol or drugs. This bill will take care of that. I agree. At the same time, the Minister states that the directives will include a higher penalty requirement. I'm inclined to follow that line. In the case of a criminal offence which may be subject to pre-trial detention, the penalty is high enough to provide guidance on this in the D.A.'s guidelines and to give the judge, who is concerned with his own decisions, the room for customization, which you also mentioned. However, I believe that the directives should state that a identified combination of violence and the use of resources leads to a higher penalty requirement. As far as I am concerned, this can be done with the current legislation. As far as I am concerned, it does not necessarily need to be included in this article of law.
ParlaMint-NL_2016-01-14-tweedekamer-4.u64	You are right to say that the current legislation is already capable of doing so. Once again, I would like to ask you: would you vote in favour of Mrs Helder's amendment?
ParlaMint-NL_2016-01-14-tweedekamer-4.u65	No. In the explanatory statement, the Minister explained in detail that it is already possible to do so with the current legislation. I'm more on that line. I am not inclined to support the amendment in order to make it specific. As the Minister writes, you should not only look at the higher punishment, but also at, for example, behavioral measures. As a group, we want to ultimately make people responsible for their alcohol and drug use in relation to that violence and at the same time to stop people from doing so. Punishment is one way. I think you should set a standard, but all other behavioral measures are just as important. I would also like a response from the Minister to the fact that the police do not always have to use a test. The police can observe without applying the test. I would like to hear from the Minister whether the absence of this competence and the testing of resources does not mean that we do not have an objective measurement, whereas this possibility is indeed there. I'm more inclined to think you should apply that test at the moment you see bloodshot eyes, or alcohol-smelling breath, or someone who's unsteady. You should not be satisfied with that in the minutes, but you must take the test. That brings me to the end of my input.
ParlaMint-NL_2016-01-14-tweedekamer-4.u66	I promised to listen very carefully to my colleagues and I did so to Mr Marcouch. Personally, I'm running into the workload of the police. I should like to hear Mr Marcouch's opinion on this. When we introduced the element "blowing's blowing," it led to a huge workload with the police. I wonder if we should ask the police for an uncovered check to enforce this law.
ParlaMint-NL_2016-01-14-tweedekamer-4.u67	I thank Mrs Kooiman for this question. I would like to endorse this question and ask the Minister what this means for the capacity of the police, training and training. You can't expect the police to do that overnight. I would like a response from the Minister to the question of how the police can be facilitated in order to do this right.
ParlaMint-NL_2016-01-14-tweedekamer-4.u68	Perhaps Mr Marcouch would like to await the Minister's assessment of my amendment. In response to the interruption of Mr Swinkels, he states that he is inclined not to support it, because it can already be done through current legislation. I have heard his whole speech and, in a way, I agree with a large part of his speech. We're gonna go hard on the perpetrators of domestic violence under the influence of means, but then it can't be that you're gonna stand in the way of a penalty increase?
ParlaMint-NL_2016-01-14-tweedekamer-4.u69	I won't stand in the way of a penalty increase. I only note that the Minister writes to us that this will be done by means of directives. By the way, we do the same for a lot of other crimes. In criminal offences for which remand is allowed, there's room to demand a high sentence, so I'm assuming that's what's happening. This law is a very good step and, depending on the Minister's response, I would like to look at the amendments in this way. I hope that we can settle it in the way the Minister describes us in the explanatory statement. We can always decide to anchor it in the law if the evaluation indicates that what the Minister promises will not happen in this way. We are now taking a step forward by involving the use of resources in the penalty requirement and making a promise to the Minister that it will be included in the directives, which means that there will be an increase in the penalty rate. That comes next to everything else, because that's just as important to me. We need to force people to stop behavior by means of behavioural measures, because that is what we ultimately want.
ParlaMint-NL_2016-01-14-tweedekamer-4.u70	Mr. Chairman. First of all, I would like to ask your permission to congratulate one of your Members, Mrs Arib, on behalf of the government, on her election as President.
ParlaMint-NL_2016-01-14-tweedekamer-4.u71	Thank you.
