ParlaMint-NL_2016-02-18-tweedekamer-23.u1	I see Mr Omtzigt standing at the interrupting microphone.
ParlaMint-NL_2016-02-18-tweedekamer-23.u65	We know Mr Nijboer as a warm advocate of higher capital requirements. That's common knowledge. The question is, of course, how banks should strengthen their capital position. Do they have to do that through stock issues, through profit deductions, through the shortening of balance sheets or through coco's? According to the PvdA, what is desirable?
ParlaMint-NL_2016-02-18-tweedekamer-23.u66	I am a big supporter of more equity, of more real hard equity. This can indeed be achieved through profit retention, with fewer dividends being distributed. It can be further achieved through cost savings, but also through the issuance of shares. I am in favour of all three of these methods. I am a little less in favour of a reduction in the balance sheet, even though that is a method which politics cannot prohibit either. So these are the methods. I'm really in favour of that.
ParlaMint-NL_2016-02-18-tweedekamer-23.u67	So basically the PvdA is against the instrument coco's. This instrument, which is now being facilitated, is a very attractive instrument for banks. This will enable the banks to strengthen their capital position, as Mr Nijboer would like. At the same time, however, these coco's create a perverse incentive to take on as many loans and debts as possible, and that is precisely not what Mr Nijboer wants. In other words, the PvdA is against the hybrid instrument of coco's.
ParlaMint-NL_2016-02-18-tweedekamer-23.u68	I am in favour of the taxpayer no longer paying for the misery of banks. In my view, hard equity is the most important thing. Mr Van Dijck is quite right. I don't want 4%, but much more. That's really what matters to me. But even then, there may be moments when a bank gets into trouble. I believe that, in such a situation, it is not the taxpayer who should be responsible for what happened to ABN AMRO and to SNS.... but investors who buy bonds, including coco's, should be the loser. That's what cocoes are for. So I really am a big supporter of hard equity. I am one of the biggest supporters in the Chamber, along with other colleagues. On top of that hard equity, there must also be other debt securities, which are also written off if things really go wrong. Those are cocoes. That is what we agreed on in Europe. In that sense, I am in favour of coco's. However, I think that hard equity is more important.
ParlaMint-NL_2016-02-18-tweedekamer-23.u69	This is your last interruption, Mr Van Dijck.
ParlaMint-NL_2016-02-18-tweedekamer-23.u70	Now we see those coco's taking a giant flight. As I said, there is 25 billion involved in the Dutch banks alone. Can the PvdA go along with my demand that the hard capital requirement of 4%, which is now on the table, should not be filled in with coco's? Maybe we can get together at that point. Mr Nijboer is talking about keeping the taxpayer out of the wind, but 350 million tax breaks are now being granted through this deductibility. That will be at the expense of the taxpayer. In fact, if the banks had simply paid tax on this, the 350 million would have been paid to the public by means of a reduction in the burden.
ParlaMint-NL_2016-02-18-tweedekamer-23.u71	I fully agree with Mr Van Dijck when he says that these coco's should not replace own funds. They must be on top of that equity. I do not think that 4% equity is enough. That is the first demand, but as far as I am concerned, we are going even further to make these banks healthier. I therefore very much agree with Mr Van Dijck on this point.
ParlaMint-NL_2016-02-18-tweedekamer-23.u72	I would like to continue on the same point. Indeed, Mr Nijboer says that he does not want a crisis in a bank to be passed on to the taxpayer. An instrument with a high coupon, the coco, is now being created here. It is therefore a high-risk product. That interest is deductible. Does Mr Nijboer simply agree with me that this is also a form of passing on to the taxpayer?
ParlaMint-NL_2016-02-18-tweedekamer-23.u73	I agreed with what Mr Koolmees said. I always try to look very closely at how we make legislation here; you have read that in my input. I am in favour of taxing the financial sector more, I think it is an undertaxed sector that does not pay VAT and can contribute more to our society. In the election programme we were talking about 1 billion bank taxes, it was 300 million and it became 600 million in the government agreement. So we doubled it. I think that is the method of increasing the burden on banks, and we have increased it by 300 million. As regards debt and equity, you will see that I have co-signed Mr Koolmees' motion. I really think it should be more balanced, but not through a detour of more logical legislation than it is today, but through society as a whole, as for SMEs. For homeowners, we've already done that, and I think that's the method. I try to approach that fairly structuredly, but not to make the bite snap impossible in a system in which it fits. If you want to tax banks more, it is not the coco tax but the banking tax that is the way to go.
ParlaMint-NL_2016-02-18-tweedekamer-23.u74	Whether it's left or right, it's a sloppy 350 million. That's quite an amount. To be honest, Mr Nijboer's plea has nothing else to say. He had seen it all, he was alert, much more alert than me, my compliments for that, but he should have voted against at that time. It would have been consistent at that time to tell the Minister that he had to come up with a structural solution rather than with this gossip of the deductibility of the coco's. That makes sense, doesn't it?
ParlaMint-NL_2016-02-18-tweedekamer-23.u75	I find GroenLinks increasingly difficult to follow. We have a huge banking crisis in Europe. Fortunately I find GroenLinks on my side when we demand higher buffers, hard equity. I also think that GroenLinks is on my side when we say that investors and not taxpayers should pay if things go wrong. That is why these coco's have come, the first capital to be called upon when own funds are not enough. Those instruments did not exist and are spent. Now GroenLinks wants to maintain a special arrangement that does not fit. I don't think that makes any sense. I am in favour of favouring equity, for higher buffers, both in legislation and tax. I am also in favour of less subsidising debt, deductibility of debt. We finally got this in the proposals for the Tax Plan in a major fiscal debate, and you know how that landed. I'm in favour of that. I will support another motion for that today, unless the Minister agrees that that is no longer necessary.
ParlaMint-NL_2016-02-18-tweedekamer-23.u76	The last interruption.
ParlaMint-NL_2016-02-18-tweedekamer-23.u77	It is becoming increasingly unclear to me what Mr Nijboer actually thinks. Does he think this is essentially equity? If a bank gets into trouble, it's converted into shares, so you take the risk. Does he think there's nothing you could jerk off for this?
ParlaMint-NL_2016-02-18-tweedekamer-23.u78	No, because I would have voted against that law. In essence, it is debt and therefore it is deductible. I am not in favour of this whole system, but if you have it, it is reasonable to treat it like we do almost everywhere in Europe.
ParlaMint-NL_2016-02-18-tweedekamer-23.u79	Then Mr Nijboer simply agreed to a gift of 350 million to the banks.
ParlaMint-NL_2016-02-18-tweedekamer-23.u80	No, I agreed to the law because I thought it was reasonable. I think the SP is putting on a really big pair of pants for a little failing co-legislator. The SP is now very against a law that she was before. You explained that a colleague then read the consultation or I know what happened; you didn't pay attention, okay? Surely the First Parliamentary Group of the Party of European Socialists is only there to judge and review the laws very precisely? He also agreed to it. There's still a lot wrong in the financial sector. There's a lot else to do. The bank buffers are still far too low and the 4% that is ambitious in the Netherlands is still too low in Europe. We're gonna have to go up if we're gonna get this sector healthy. Is there diversity? On the supervisory boards and boards are all men of about the same age, all of whom have similar backgrounds. This is not a sustainable earning model, but also bad for the diversity of a company and the ambitions that have been expressed. That's gotta be different. What also needs to be changed is transparency in international banking regulation. There is now, in fact, going to be a European banking union that we have established, but who is cooking it for? What influence mechanisms play there? Which banks have an influence on that? What is the role of central bankers? What is on the agenda of the Basel Committee? Who's gonna decide that at the end of the day? What is the influence of politicians? In the end, I believe that politicians should not only write the law, but should also prescribe it for bankers. That's how it's gotta be. That is also why I invite the Basel Committee, fortunately with the support of colleagues, President, here in the Chamber to discuss it. We must then take action on the important issues of banking regulation. What do we think of cocoes, aren't they becoming too big a risk? I agree with Mr Van Dijck that things are going very quickly and will be very large. That could be another risk in itself. We must set limits to that. We must also be able to do this as a political one. I ask the Minister to include that agenda in the bank letter he promised to the Chamber. If he doesn't take the agenda, I'll try to get it in afterwards. In any case, this is the agenda for the PvdA. Fourthly, and finally, I have a very broad agenda, Mr President, but you cannot put everything on the agenda in such a four-minute debate, because the separation of utility and business banking, the Liikanen opinions, really is back on the agenda, because that has really gone too far behind the horizon, when it is necessary, useful and necessary.
ParlaMint-NL_2016-02-18-tweedekamer-23.u81	The final question, Mr Merkies.
ParlaMint-NL_2016-02-18-tweedekamer-23.u82	Mr Nijboer is now pretending that nothing has been covered up. We have received a whole package of wobbled pieces. I think he just didn't read it. I shall therefore read a very small part. "Although the text before us today".......................................................................................................................................................................................................................................................... The House of Representatives has already asked for this. A choice will therefore have to be made." It even says, "We can't keep diving." This is just one of many examples. Has Mr Nijboer read these examples? Does he agree with me that there is indeed a cover-up?
ParlaMint-NL_2016-02-18-tweedekamer-23.u83	No. I'm not falling for it, Mr President, but I think it's quite a testimonial to blame me for not reading the documents. Of course I've read them all, literally. I have also examined exactly which suggestions have been taken over and which have not. I have checked whether the Minister himself has given direction or whether he has been guided by ING bankers. In the end, I draw the conclusion, I feel the political judgment, that the Minister has given direction and made suggestions to bankers. I do think others should have that opportunity. I would be ashamed, Mr Merkies, if I dared to make such a remark.
ParlaMint-NL_2016-02-18-tweedekamer-23.u84	Mr. Merkies...
ParlaMint-NL_2016-02-18-tweedekamer-23.u85	This is really the very last interruption. Then you really have to get an uncomfortable feeling about that, don't you? I've been talking about diving. Mr Nijboer did not go into that at all. This is not about scuba diving or anything, it is about diving to inform the House of Representatives. What's his reaction to that?
ParlaMint-NL_2016-02-18-tweedekamer-23.u86	All considerations in the notes "a few lines have been painted away" are outlined. How do you inform the Room? There's only one way to do that. We get one letter, one letter of amendment. The Minister may or may not go to the Council of State. All these considerations, all the pros and cons, you've been able to read in the notes. The Minister finally made a decision. That's what happened and that's how it's supposed to be. Whatever's supposed to happen is that anyone can have influence. That didn't happen here, and I want it to be different. Whatever's supposed to happen is that there's gonna be a lobby section. That has not happened here, nor has it been agreed with the Chamber, but I want it in the future. Definitely things have to be different. The Minister should also have gone to the Council of State, I agree. You're sitting here doing a little bit about suspicions. We have just had some sort of arrangement on internal mails from tax officials. Mr President, do you not think that every legislative proposal should be accompanied by all the internal e-mails sent in a department when preparing a proposal? That would be really unworkable and undesirable. In fact, that is not at the heart of the matter either. The only core is then a little confusion, saying that it is all dark, even though it is not dark at all.
ParlaMint-NL_2016-02-18-tweedekamer-23.u87	I give the floor to Mr Grashoff for his final interruption.
ParlaMint-NL_2016-02-18-tweedekamer-23.u88	Now it seems as if the whole discussion, for example on state aid, took place in all transparency when we had to take decisions on this, but nothing is less true. How can Mr Nijboer put it this way? It's on the table now, but that's after things have been wobbled, after we've dived in and after investigative journalists have started working on it. Now it is on the table, but Mr Nijboer cannot say that there was nothing wrong; it was simply deliberately muffled away.
ParlaMint-NL_2016-02-18-tweedekamer-23.u89	I read the law. I understand exactly what this is about, and I have also asked those questions. I've asked what the effect is on other companies. The PVV also asked for this. I asked whether there is a level playing field between the financial sector and other companies and, if not, why this is not the case under this law. I have asked questions about the size and the budgetary loss. I have asked all these questions, and I have been given answers to them in the note relating to the report, which Mr Grashoff himself admitted, and of course that cannot be included in this. Surely things could have been better, as I indicated. I think everyone should be able to have influence. I think it should have gone to the Council of State. I think there should be a lobby section in the future. Those are all things that have to be better and different, but now to say: we knew nothing at all and I didn't know what law I voted for... I knew it, and I voted for it.
ParlaMint-NL_2016-02-18-tweedekamer-23.u90	Now Mr Nijboer turns it into such a general soup that he can always get something out of it that is true. It is quite clear that there was an internal discussion on how to deal with state aid risk. And that just hasn't been reported to the Chamber. It's very simple.
ParlaMint-NL_2016-02-18-tweedekamer-23.u91	I do not remember exactly how the Minister said it, but he indicated that there was a limited State aid risk but that he felt that everything was mainly possible and that other countries did. Mr Grashoff was able to take note of this, but he did not.
ParlaMint-NL_2016-02-18-tweedekamer-23.u92	Mr. Chairman. We have had a debate on post-tax. All internal documents showed that the government knew about it a week earlier, but she was still surprised. We had a debate on the remuneration of ABN AMRO. We had a debate on the NS Summit. We have discussed the report on the Fyra, in which the Minister of Finance said: if the Chamber wants everything from now on, she can have it. A detail had just fallen away, namely that a number of trains had to be sold before the Netherlands got something back. It is not by accident that I just referred to Article 68 of the Constitution. This includes the handle for obtaining information. That is why I would also like to ask the government when we will get the note promised by Van der Steur in the famous debate on the relationship between the WOB and Article 68. When are we gonna get information again? Because one thing this minister has learned: he does a "Van der Steurtje," but to make sure I can't show it, the pieces are not black but white. That makes a little less impression, that's right. It is not the intention at all to read all internal e-mails from the Ministry; Mr Nijboer is right about that. It is intended that the essential documents contained in the explanatory memorandum to the letter of amendment should be included and were not included. We received the letter of amendment on 11 June and a report was submitted here on 13 June, after more than six months behind the scenes on pastry products. I have a few questions about that. On 30 April there was a discussion with the European Commission and on 22 May it appeared that the officials Mr Merkies reminded me that there was a significant risk of State aid. The letter of amendment was submitted on 11 June. The word "state aid" is not included and there is no reference at all to European law. It can't be. That means we have to go through those e-mails, which should just be in the explanatory notes on the laws. Then we can check that here and only then can these kinds of amending notes be dealt with within 48 hours. That is at the heart of the problem we are talking about. Does the Minister recognize that, too? Does he now promise to get well and can we just get those documents to see, like he promised? Did the Commission warn in any way of State aid on 30 April? Has the proposal that has been assessed with the Commission changed compared to the proposal that has been submitted? I would like an answer to that. The Minister wrote in writing that he should have gone to the Council of State. That's right, so that's what we're gonna do in the future. I'm asking the Minister how we can ensure that. I would like to know the current state of the state aid investigation. Has a formal investigation been opened or are we still engaged in informal discussions with the European Commission? What are our chances now? That question is why this debate is now taking place. Are we at risk of implicating hundreds of millions, or are we not supposed to reclaim them? The CDA group was also a little surprised to read in the documents that the Dutch provinces bought 600 million in coco's. That is a special form of public investment. Perhaps the Minister will be able to tell us what the actual loss is at the moment. According to the documents that have gone to the European Commission, about 4 billion of coco products have been spent. The PVV just mentioned 25 billion. How big is this amount right now? What lessons does the government learn from this coco file?
ParlaMint-NL_2016-02-18-tweedekamer-23.u93	I'll give the Minister the floor.
ParlaMint-NL_2016-02-18-tweedekamer-23.u94	Mr. Chairman. One of the members of the Chamber held up a document. I also wanted to hold up a document. The NRC has paid a lot of attention to this issue. Honor to whom credit is due, they have revealed the scandal. But the scandal is framed as: ING writes the Banking Act on Finance. This is the Banking Act, ladies and gentlemen. It is one article, which has been found in a letter of amendment. I'll get right on that. That legislative process did not go well, of course, but this is the Banking Act, where according to NRC ING held the pen. Here's the explanation. It states clearly what the nature of the facility is, for which instrument, and that it is primarily intended for the financial sector. Four pages of explanation, which cannot have escaped the attention of the Chamber. Having said this, let me first say something about the character of coco's. Is it new, is it different, is it something, is it dangerous? Then I will deal with the very relevant discussion on debt or equity. I shall then turn to the question of whether or not it is state aid, the estimate, the method of production, the lessons we learn from this and how we deal with the lobby. Let's talk about cocoes first. Are cocos new? Yes and no. It's a hybrid instrument, but that's not new. Basel III defines the capital requirements that banks must meet. Under Basel III, requirements for this type of hybrid instruments for banks have become stricter. The employability, i.e. the extent to which they may be included in capital requirements, is also limited. The requirements of the instrument have therefore been strengthened and the amount that can be included in the capital requirements framework is limited. In the past, under Basel II, they were allowed much more generously and they were also tax deductible in our law. It is also important to realize that it is not new in that sense. In the risk-weighted assets, it may count as additional core capital up to 1,5%. It's also maximized. It should not contribute more than that much to the whole. In addition, you have first-quality core capital, so not additional. That used to be 2% and that has been increased to 7% to 12.5%. Why am I saying this and why am I looking at Mr Van Dijck? Because it is very popular in the Netherlands to say that nothing has changed. I have heard a leading economist at Buitenhof say: nothing has changed with the banks, the banking balance sheets and the capital requirements. But the requirement for core capital was 2% and it has been raised to 7% to 12.5%. I sent a letter to the Chamber this week because the debate in the Netherlands is so easy to say that nothing has changed. As a result, the debate is really starting to derail a little bit. I like debate, but let us make the facts a starting point for the debate. I have sent a comprehensive letter on this, not with new policies, but with a description of what has happened and what needs to be done. The name "coco" is exotic and so there must be something going on with it. They are indeed risky instruments. That's exactly what we need. Shares are also important. Therefore, it should only be used as a supplement to the core capital. It can only count for 1.5%. Of course, shares count in the real core capital. Therefore, the leverage ratio is important, so that it is a solid package together. Coco's gonna lose if things go wrong. If individual banks in financial markets suddenly suspect that something is going on, it will certainly have an effect on the confidence in the instrument coco with that bank. We've seen that in the past few weeks. Then you can say there's something wrong with that instrument. No, there's nothing wrong with that instrument, but there might be something wrong with that bank; that's what the markets think. This is exactly the type of mechanism we want. If we want the financial sector to be healthy, then investors in the financial sector must be aware of the risks in that sector. That risk awareness was far too limited for the financial crisis. Why not? The government will save the bank anyway. Those days are over. If you invest in a bank now, in shares, in coco's or in senior unions, you may be at risk of getting hit if things go wrong. In the case of coco's, that's possible even before a bank comes in resolution. Just "going concern." If there are losses to be suffered, the bank simply has the ability to pay the coupon, say the "interest rate" on the coco, or to pay less. If a given trigger is hit and the bank no longer meets its minimum capital requirements, there must even be a write-down of the value of the instrument. It's called "risk-bearing assets." That's this. We need such instruments in addition to equity.
ParlaMint-NL_2016-02-18-tweedekamer-23.u95	The Minister says that we need these instruments. Of course, that's just the question. We saw Deutsche Bank get into trouble last week. It seemed for a moment that Deutsche Bank was not going to pay the interest on the coco's. In Spain, with the Banco Popular Español, interest rates on the coco's increased to 18% and the value of the coco's decreased by 20%. In other words, the Minister pretends that it only happened to Deutsche Bank, but all of a sudden confidence in the coco's was lost throughout Europe. People invest in cocos. They are tempted by a high interest rate of 6% to 7%, but when things go wrong somewhere, you suddenly panic. We're just trying to avoid that panic.
ParlaMint-NL_2016-02-18-tweedekamer-23.u96	We're trying to get investors to take risks, so they're not just gonna run away with profits in good times, but they're also co-responsible for carrying the loss in bad times. We do that in different ways. It also depends on whether companies still meet the requirements and whether they are open to business, what we call "going concern." If they are in resolution and do not meet the requirements at all and are put under curate, then the capital instruments are used in a certain order of a bail-in hierarchy. The coco is a risky instrument. It has been said that the AFM has said that one should not invest in it. Indeed, I would strongly advise retail investors not to. You have to have a clear view of how risky the bank is where you buy coco's from and when you trigger it, so what the minimum requirement of capital is where the bank can just turn off the value of your coco. You need to know all that. The average retail consumer will not know or understand that. Professional investors do understand that, and very well. Indeed, financial markets respond to information or rumours about the reliability of and problems within banks. To anyone who says that the rules are too strict or the instruments are not good, I say: I am very sorry, but these instruments carry a risk. The sector itself must raise its risk, as must the financial markets. That's exactly what needs to be done.
ParlaMint-NL_2016-02-18-tweedekamer-23.u97	I'm afraid of panic and the perverse stimulation of high interest rates. People can start thinking: ING is a solid bank and 7% coupons should be possible. It can be triggered by Deutsche Bank or by any other, and ING can get into trouble again. That is the kind of waterbed effects we should try to avoid. I wonder why banks don't just do like any company, namely issue shares if they want to strengthen their capital position. At Delta Lloyd we see how difficult a stock issue is and how much resistance there will be. Just spending shares should actually be the line. So water those shares and raise capital. Or take the Rabobank today with that 2.2 billion: hold on to it, don't spend a dividend and pour 2.2 billion into your equity. That is the way it can be!
ParlaMint-NL_2016-02-18-tweedekamer-23.u98	It's all happening. Banks have kept a lot of profits in recent years. Banks have raised hundreds of billions of extra money. I am talking about the whole of Europe, about the whole process of starting the banking union. There have been large capital issues from large banks in Europe. And indeed, for a defined, limited low in the capital structure, there is the possibility to spend coco's. Cocos can contribute to risk-bearing rather than other capital instruments. So that's interesting. And yes, risk has a price. This means that investors will only step in if there is a return on this. Risk and return must also be related to each other. One of the problems in the financial sector was that it was not. There were also high returns in the financial sector in the past. Only when things went wrong, people weren't able to cope with the loss. What is more, the government went for hundreds of billions in.......................................................................................................................................................................................... We need to get rid of that. Are there any contagion risks in this? Mr Van Dijck also referred to this. He said, "That goes wrong with one bank, and then the house of cards collapses." That too is regulated. Banks may have only a limited amount of cocoes from other financial institutions on their balance sheets. If they go over that, they have to put 100% capital against it. You won't, because that won't be interesting. That's not an interesting investment. I realize it's all technique and it's complicated, but we have to cross that fundamental bridge with each other. The Chamber has always supported me in my commitment to bail-in. What is the principle of bail-in? That investors in the banks are going to carry the risks. Do investors like that? No. So they have to get used to that, too. And if there are bad reports about European banks, then you can see that investors are reacting now. People say that bail-in isn't good. No, that bail-in's fine. It also shows that investors in all countries, not only in southern Europe, are beginning to realize something. They say, "Wait a minute, I now have capital instruments, such as shares, bonds and coco's in banks, which can mean I'm gonna lose money at some point." And then they start asking critical questions. Then they ask: is that bank actually going to be okay, does that bank have its business in order? Transparency is extremely important. If banks do not better understand and account for what portfolios they have and what risks there are, then the market can also react wrongly to rumors. So here is really a movement going on that will make the banks healthier.
ParlaMint-NL_2016-02-18-tweedekamer-23.u99	The Minister gives a very good and clear exposé on the degree of riskiness of coco's. I also feel that no one here has said, perhaps apart from Mr Van Dijck, that the instrument of coco's as such would be wrong.
ParlaMint-NL_2016-02-18-tweedekamer-23.u100	I'll just get my notes.
ParlaMint-NL_2016-02-18-tweedekamer-23.u101	That's very good. You do that. It's about the fact that they're tax-deductible for the bank. What the Minister is describing here is a capital form that has all the characteristics of equity. It's risky, the coupon can be withheld, the value can fall, it's clearly loss absorbing capacity. It has all the characteristics of equity. The creativity, the exotic of the coco, is in it that a trick has been devised to see it as a debt. That is what the Minister has been involved in, and that is what the criticism focuses on. There is equity and not debt, but it is treated as debt. That's a present, and that's not necessary. Why did the Minister do that?
ParlaMint-NL_2016-02-18-tweedekamer-23.u102	I'll get back to all those questions that were asked in the first term. My first subject was the character of the instrument. If Mr Grashoff says that no one has talked about it, then he has been in another debate. It has been said: they are toxic products, they are dangerous products, they are risky products, people are deceived with these products. That's all been said. If you follow the social debate, read the NRC and look at Buitenhof, you can also see that this is how it is talked about. It's a very dangerous instrument. I say this because in this debate we must indeed separate it. Mr Grashoff is right about that. You're asking if they're dangerous, scary instruments. Then you certainly shouldn't stimulate them. Then we're gonna ban them anyway. The second question is: if they are then allowed, should you treat them as foreign or as equity, et cetera? That's what I'm here to talk about. I have already said at the beginning that it is a hybrid form of capital, a form between debt and equity. That's not new in itself. We already had them for the new capital requirements of Basel III. And then they were tax-deductible, too. That is one aspect that Mr Grashoff could also face.
ParlaMint-NL_2016-02-18-tweedekamer-23.u103	It is not for nothing that I choose to place that interruption at the moment. Of course they are risky instruments. There's no one denying that. But that doesn't necessarily mean they're wrong. I also said in my speech that it is a good thing that the AFM warns that you must have a lot of understanding before you invest in it. I believe that the Minister and I agree with each other with each other. The essence is that there is actually an equity instrument that is treated as debt. Does the Minister agree with me that it is really just a trick to get that done and to get the taxpayer to pay through the tax deduction?
ParlaMint-NL_2016-02-18-tweedekamer-23.u104	No. It's really a hybrid instrument. It's in between. It has properties of debt and it has properties of equity. The trick is that when a bank gets into trouble, things can get started. It'll look more like equity. But in normal circumstances, in which a company runs normally, it works as a debt. Deutsche Bank has said: we are simply going to pay the coupon rate on it, despite the turmoil in the financial market. So you have to make a decision in there. In the past, it has already been decided to make hybrid instruments deductible. That consideration had therefore to be re-examined. It has been said that it has taken a very long time. "We can't keep diving" was a quote Mr Merkies used. That was about diving in the sense of: we have to make some decisions about it. The banks were saying to us "and that's perfectly normal" "let's get this straight." From 1 January 2014, the new capital requirements would apply to what used to be called ordinary hybrid instruments and now coco's. The banks asked: do you still consider them hybrid instruments and are they deductible? We couldn't have made a decision about it either. Then the banks probably would have just subtracted them, and then there might have been lawsuits. They said, "Now make an explicit decision. Are you going to let them be deductible, just like the old hybrid instruments?" It has taken us too long. That is also one of the reasons why it has entered the legislative procedure in this way. In retrospect, we should have cut the knot earlier, but that did not happen. On the issue point, Mr Grashoff asked whether they had already been issued prior to the decision on deductibility. Mr Van Dijck also mentioned this. You saw that the Dutch banks waited for that decision and only then started to issue coco's again. The new hybrid instrument, coco, was only issued after the cabinet had made that decision. It is unclear what amount has been spent on coco products. I thought Mr Van Dijck was talking about 25 billion, but Mr Omtzigt already corrected him. In the Netherlands, 5.5 billion was spent on coco products. Dutch banks have only 100 million coco's in their balance sheet to coco's from other banks. This has to do with the strict requirements; it is not attractive to invest in them at all. Of the euro area total, 131 billion was spent on coco products. 5.5 billion is owned by financial institutions and all other coco's in the hands of institutional investors and such large investors. Those are the numbers. Mrs De Vries said that the Minister in the NRC opposed the banking lobby on the one hand, but then allowed the banking lobby on the other. My criticism in the NRC was not that there was lobbying. Anyone can lobby for their interests. My criticism was that you were quoting the false and incorrect arguments. It was all about capital requirements. I haven't heard so much lately, but there has been a lot of lobbying in recent years against raising capital requirements. Luckily, we seem to be crossing that bridge now. The Dutch banks have kept a lot of profits. The capital ratios have been increased. The leverage ratio is moving towards the four. We are therefore on the right path in this respect. The argument was always that this would be at the expense of lending. I have opposed this very much, and I have been very annoyed by it, because that is what you are saying: it is the fault of this terrible policy that SMEs cannot get credit. That's just wrong. That's what that article was about. Anyone in the Netherlands can lobby. I come to the lobby at the end of my speech, more generally. Then there is the discussion that is also evident from the e-mails that have been made public. I have one comment to make on this point. I've provided all the e-mails and internal documents to the Chamber in which you see what my responsibility has been. I have no problem with that either. You can address me to all the decisions I've made. That is quite exceptional, by the way. I do not believe that we have previously provided so many e-mails with all the Minister's scribbles to the Chamber, but if the Chamber attaches them, she can get them. What I do object to, however, is that we must now also send all kinds of exchanges of views between officials to the Chamber. That's really not good. Those scribbles of mine were, among other things, exactly about this point, because this was one of the discussions that we had in detail at the Ministry: the treatment of foreign and equity and whether you should draw them more evenly. There is a great deal to be said for economic reasons. In the context of the reform of the system, we have also made proposals to limit the tax deduction of interest. Unfortunately, that has not yet been achieved. We have not yet found the necessary support for the major tax reform. Interestingly, in the European Commission's proposal to combat tax avoidance, the same type of proposal comes back. So that is just on the table at Ecofin, where we, as President, will try to reach agreement on it. That's a limitation on the interest deduction. Of course, you can approach that in different ways. You can say that you have to give equity a similar deduction, or you can reduce the deduction on debt or even abolish it altogether. There is now a proposal to maximize that deduction. I continue to believe that this is really an important subject for the future. We simply want equity to play a more important role in the economy. This is important, also for the strength of our business. So at some point we need to retake that. Then I come to the question of state aid. The e-mails clearly show that this has been discussed extensively, including with the European Commission, which has made critical comments. I do not feel free, and that really has to do with protecting the relationship we have with the Commission and its officials, to further indicate what they have said or what changes that has led to. They are simply prepared to indicate at an earlier stage, before there is a legislative proposal, what risks there are. They haven't given a judgment on that either, which doesn't fit into such a phase. They never will. They only point to possible critical aspects. It was the consideration of Secretary of State Wiebes and myself that this facility does not constitute State aid. I have also explained this extensively in the written answers. The measure does not fulfil the four conditions for being an aid measure as defined in the Treaty.
ParlaMint-NL_2016-02-18-tweedekamer-23.u105	I see Mr Merkies at the interrupting microphone, but I want to see if the answers to the other questions can be given now. Otherwise there will be new questions halfway through and then it will be a bit tricky. I'm gonna take a look at the minister. How many questions do you have left?
ParlaMint-NL_2016-02-18-tweedekamer-23.u106	Mr. Chairman. We can all agree that I'm just going through it real fast. I'll try to answer all the questions. Then we can pick up business in the second term. It could be.
ParlaMint-NL_2016-02-18-tweedekamer-23.u107	Just for a second, though. Look, it's about very different aspects. On the lobby, but also on state aid. Perhaps the Minister would like to say a few words about state aid. I would like to ask a question once he has completed the answer, otherwise it will be very far off.
ParlaMint-NL_2016-02-18-tweedekamer-23.u108	I'm looking at the minister. Is that point finished?
ParlaMint-NL_2016-02-18-tweedekamer-23.u109	I was just about to start on the subject of state aid, Mr President.
ParlaMint-NL_2016-02-18-tweedekamer-23.u110	Then I suggest you do it first.
ParlaMint-NL_2016-02-18-tweedekamer-23.u111	I have a bunch of questions here about state aid.
ParlaMint-NL_2016-02-18-tweedekamer-23.u112	That's what I thought.
