ParlaMint-NL_2016-03-08-eerstekamer-3.u1	I would like to welcome the Foreign Minister to the First Chamber.
ParlaMint-NL_2016-03-08-eerstekamer-3.u46	Those are the generalities: "people are no longer being listened to." We have a democratic system in Europe. This ensures that people are listened to. Beyond all our electoral procedures, our representatives are doing their best day by day. In short, such a general, negative statement is bon ton but does not help us at all. Mr. Chairman. The VVD Group welcomes the fact that this negativity is regrettable, especially if the European Union becomes the target. If there are problems, name them, preferably as concrete as possible and seek solutions, preferably together with others. But don't lose yourself in uncontrolled accusations that also like to be removed far from the facts. I have already stressed the appreciation of the VVD Group for what the European Union has achieved. This union must develop further as a community of values and defend and promote them in a turbulent world. This is hardly possible for individual Member States. Those who overlook the global battlefield of imbalances must come to the conclusion that Europe will only be able to play a role in geopolitical and economic issues with united forces and jointly formulated positions. We must be extremely concerned about a situation prior to World War I. Large bandages were then disbanded, nationalism seized and we worked, as the title of an analytically penetrating book strikingly expresses, sleepwalking into destruction. The battlefield that is now developing around the European Union is extremely threatening. I am referring not only to the Islamic world, but also to Russia. This must not be allowed to move to Europe itself. Unfortunately, more and more forces are active who are enjoying such disruption. It is important to defend Europe as an achievement. I'd be delighted if the Minister would take this up. I would like to make a few comments on the basic tone of the Eurosceptics. I cannot let go of this subject entirely, because the withdrawal of power from Brussels and the so-called restoration of national sovereignty resounds day in and day out. The suggestion of lost sovereignty is a fiction. There is also a tragic point, typical of populism: the skeptics do not yet give an idea of what the national sovereignty to be regained would mean. Speaking of sleepwalking! At a time when research, technology, culture and the economy are becoming far removed from national borders, politics should return to its place. That's totally absurd. The European Union is a voluntary and binding form of cooperation between sovereign states. What is happening here is new in history. The great gain of this is the ratification of historically acquired values, such as our freedoms, our innovative strength, but also the safeguarding of the sovereignty of each Member State. The Member States are a union of equals, they are not covered by the decision of a superpower, as the situation is developing in the sphere of influence claimed by Russia. This profit therefore comes with the economic or trade advantage, a blessing for an open economy like the Dutch. There is hardly a country that has so much to gain from the level playing field that Europe offers, and hence from the harmonisation of legislation. This process must be pursued vigorously. I would like to add a few points of law, or perhaps I should say international law. The European Union is not a superstate and it is not even the beginning of it. And to be clear about this, the European Union must not become a state either. I am not just saying this because such a development would create a lot of resistance and cynicism, with the current noise still being child's play. There is also a state-of-the-art argument. The European Union as a supranational state would introduce a dual system of sovereignty: a national one and a supranational one. This means competition, confusion, conflicting situations and paralysis. A kind of Amsterdam, but in large. Double sovereignty leads to far-reaching uncertainties. The principle of sovereignty requires clarity and indivisibleity in the allocation of powers. In Europe, sovereignty lies with the individual Member States, and it must remain so. It is precisely this that makes the European Union so unique: there is now no transfer of sovereignty, only binding cooperation. That is why the European Union is in no way comparable to other conglomerates, such as the former Soviet Union or colonial empires. I am just saying this because today's critics sometimes suggest a comparison with the Soviet Union, for example with the terminology EUSSR. The VVD Group considers such a comparison absurd. In the Soviet Union, the sovereignty of the annexed republics had completely disappeared. This also applies to the legal personality of the inhabitants, since the citizen principle had been destroyed. Even in the later overwhelmed satellites there was no question of sovereignty at all. Absolutely no right to retire. In the EU, no sovereignty has been conferred by Member States. The possibility of retirement proves this. Nor has the Dutch State given up any sovereignty. It is only voluntarily limited, as is the case when international conventions are entered into. Compare this with the fate of Czechoslovakia or Hungary at the time of the Soviet Union. Although populist cynics are vague about the alternative to the EU, it is clear that the so-called regained sovereign national state does not fully reflect their understanding of sovereignty.
ParlaMint-NL_2016-03-08-eerstekamer-3.u47	I am listening to the interesting speech and the reflections on sovereignty. In Europe, we usually talk about sharing sovereignty and not about transferring it, although that is the case again in speech usage. However, that share of sovereignty also means the transfer of sovereignty to common institutions. I have here in my hand the Five Presidents' report, which Mr Knapen also mentioned. It is about the road to a fiscal union and a political union, all in a way where sovereignty is shared more closely with common institutions. These common institutions will indeed restrict the freedom of action of States. Is that your image, too?
ParlaMint-NL_2016-03-08-eerstekamer-3.u48	Right, that's my picture.
ParlaMint-NL_2016-03-08-eerstekamer-3.u49	The key to this is that countries can come out of this and say no to this.
ParlaMint-NL_2016-03-08-eerstekamer-3.u50	Yes.
ParlaMint-NL_2016-03-08-eerstekamer-3.u51	In the end, this will remove the strength of Europe, which you are also very much in favour of.
ParlaMint-NL_2016-03-08-eerstekamer-3.u52	Europe is a voluntary arrangement. We are now seeing this, although of course I regret that it is happening that the United Kingdom is making use of the opportunity to say 'goodbye' again. And that proves that no sovereignty has been granted, because this freedom could possibly have been restricted or eliminated.
ParlaMint-NL_2016-03-08-eerstekamer-3.u53	For the sake of clarity, I would like to point out that, for the VVD Group, the sovereignty of the national state must be preserved at all times. That's not idolatry, it's a political choice.
ParlaMint-NL_2016-03-08-eerstekamer-3.u54	Wait a minute, I'm not talking about popular sovereignty or anything like that. I shall now come to the question of nationalism. However, this is simply to keep the principle of sovereignty indivisible. In doing so, it is appropriate to limit it on a voluntary basis. And you always do that with contracts. This brings me to a dangerous undertone in nationalism. Today there is a desire for a nation state, with some form of popular sovereignty. I'm having a bit of a problem with that. Where the term "the people" appears, there is reason for great vigilance. People's sovereignty refers to people like Rousseau and his many followers and assumes a very questionable form of equality and consensus among people. Over the last centuries, the concept of "people" and the associated sovereignty have been given creepy ethnic or even racial content. This translation made it clear in particular that large numbers of inhabitants are not among the so-called fellow citizens. Many of those who are now expressing the concept of national sovereignty once again fill in the concept of nation or people ethnically. This fits well with today's thriving Islamophobia, but it also monitors what Europe-wide threatens to suffer from other minorities, such as our Jewish citizens. We must be very careful not to repeat nasty history in the popular idea. In our modern state concept, the principle of equality prevails before the law, i.e. equality as a citizen, regardless of ethnic, cultural or religious inequalities. This idea must be upheld by our national state and also by the European Union. The Dutch State is two centuries old and has been imposed with some hardness, quite a difference from the way in which the European Union was created. The Dutch State has put an end to the sad aspect of pre-national history, namely one of civil war, persecution, discrimination and whatnot. The Netherlands lived by that. The national State introduced civil equality before the law and thus imposed pacification. In the light of this state-building, the open project of European political cooperation is a model of civilisation. After all, everything in consultation, almost all decisions in unanimity or with major majorities. Innumerable amount of space for minorities. The dismantling of this open-ended project and the so-called restoration of national sovereignty can lead to a huge regression. How do you work together? With an unclear number of bilateral treaties? With association agreements? But why, in the consultative referendum, torpedo such an association agreement? It is completely unclear what exactly makes up the supranational alternative of the Eurosceptics. The British referendum shows how retirement can be the beginning of further dissolution. So reckless can play with popular sovereignty unfold. Anyone who wants to count the blessings of re-emerging folk nationalism has leading examples such as Russia or Venezuela. There is reason enough to hold a debate on Europe, but open, without taking the doom of taboo and without taking the prejudices of today's populism as the norm. The EU is clearly going through a period of crisis. This has to do with external circumstances, such as the refugee crisis, but also with the internal structure, such as the way in which decisions are taken. The EU is the famous polder model in large measure: a lot of long-term consultation, always compromise. As long as parties can find each other, this works fine, but when it becomes difficult, it threatens to be too little and too late. I will come to the refugee tragedy in a moment, but first I would like to draw attention to some other points on which I would like to hear the Minister. There is an enormous amount to be gained, even if it was only cost savings that could be achieved if expensive dossiers could be dealt with at European level. I would like to give examples of the authorisation policy for pesticides and veterinary and human medicines. Admission procedures consume time and money, in extremes if this is to be regulated separately for countries. In addition, smaller countries have little to contribute individually because of the costs and importance of producers. The same applies to biotechnology, although the European Union is largely powerless here because of the lack of political will on the part of individual Member States. Will the Minister address this subject and surprise us with his ambitions? In this context, I would like to highlight one more issue which is an opportunity for far-reaching harmonization: the organisation of education. I am referring here to the coordination of curricula at the various levels of training in the European Union and the question of the recognition of each other's diplomas and other certificates. Education and research internationalise extremely quickly; students swarm across the European field and graduates report themselves Europe-wide for jobs. That is how important it is to achieve greater harmonisation. This also applies to the financing and coordination of education, research and cooperation with industry. Here, too, harmonisation would be of great benefit. Does the Minister also want to discuss this issue? I would like to draw attention to one more specific point. The strength of any social and political organization is the institutionalization of responsibility, which ensures continuity. This strength can become a weakness if an institute is set up for practice out. The European Union is at risk of losing itself at times in an over-institutional drive. As an example, I would like to mention the establishment of a European Public Prosecutor's Office. Is it not better to encourage Member States to comply with their obligations and thus to test the effectiveness of the underlying instruments before setting up a new institute? I would like to hear the Minister's views on this. Finally, the refugee tragedy. This drama shows a weak side of the European decision-making process: that the polder model becomes too complex due to the excessive contradictions and the lack of binding procedures. Therefore, the binding nature of agreements does not exist, and in this case the Schengen Agreement is likely to be the victim. It is quite inconceivable that the influx of refugees will be reduced if each Member State tries to close its own borders. This is no more than a powerless emergency jump and whoever promotes this to folk deception. The political and economic damage of this emergency leap will be enormous. There has been a system error in the conclusion of the Schengen Agreement: internal border control has been abolished without external control. The current crisis shows that this error needs to be corrected. The current Frontex cannot handle the security of Europe's blue external borders in particular. Mr Knapen mentioned this as well. There is too little capacity for the deployment of warships in NATO. Moreover, this is not an ideal solution, because the ships are expensive and scarce. There is no question of a military task, but of a coastguard task. If Europe's blue external borders are to be properly protected, a fully-fledged European coastguard should be established at a rapid pace. The construction of some 40 ships is relatively cheap and operating costs are low. Ships should be flying the European flag so that asylum applications can be prevented on board. Crews must be supplied by the European Member States. The Berlin Agreement offers the possibility to use an existing NATO maritime headquarters.
ParlaMint-NL_2016-03-08-eerstekamer-3.u55	I hear Mr Schaap saying that asylum applications must be prevented on board. If you want to comply properly with the Schengen Borders Code, should migrants who are intercepted always have the opportunity to apply for asylum?
ParlaMint-NL_2016-03-08-eerstekamer-3.u56	Yes, that should be organised in such a way that they can submit that application at the place where they come from. This is also in line with what Mr Knapen said. The selection of those who do fall under the category of refugees and those who do not, will have to take place there.
ParlaMint-NL_2016-03-08-eerstekamer-3.u57	I do not have much to do with what Mr Knapen has said; I am concerned about the position of the VDD Group.
ParlaMint-NL_2016-03-08-eerstekamer-3.u58	No...
ParlaMint-NL_2016-03-08-eerstekamer-3.u59	According to EU rules, the application for asylum should be examined precisely on the basis of the Schengen Borders Code in the EU territory.
ParlaMint-NL_2016-03-08-eerstekamer-3.u60	Then we need to look again at how this can be better organised, but there is now a totally uncoordinated influx which makes it very difficult to distinguish between those who do fall within the category of refugee and those who do not. The latter must therefore be returned.
ParlaMint-NL_2016-03-08-eerstekamer-3.u61	I note that Mr Schaap, and with him the VVD Group, wants to change and restrict the right to asylum as it is now anchored.
ParlaMint-NL_2016-03-08-eerstekamer-3.u62	How it is now anchored is a subject that needs to be looked at again, but the right to asylum remains in force.
ParlaMint-NL_2016-03-08-eerstekamer-3.u63	But somewhere else.
ParlaMint-NL_2016-03-08-eerstekamer-3.u64	I have one final question. Do I hear Mr Schaap say that we should upgrade Frontex to a European Rapid Refugee Emergency, in line with the Juncker Committee's ruling and subsequent proposals?
ParlaMint-NL_2016-03-08-eerstekamer-3.u65	We can, of course, talk about whether it should be Frontex or whether it should be given a different denominator. But if you abolish internal borders, you must take the system of external borders seriously. It is therefore necessary to set up border surveillance.
ParlaMint-NL_2016-03-08-eerstekamer-3.u66	We agree on that. Mr Schaap said that Europe is complicated, but Dutch politics is also complicated. I invite Mr Schaap to take his partymates across the Binnenhof.
ParlaMint-NL_2016-03-08-eerstekamer-3.u67	We play that game all the time.
ParlaMint-NL_2016-03-08-eerstekamer-3.u68	I do not understand something for a moment and therefore I would like to ask a clarifying question. Suppose we get one of those upgraded Frontex, to put it that way. Then what's the point? Are these ships going to push back boats with refugees or will they pick up the refugees and still land them in the European Union?
ParlaMint-NL_2016-03-08-eerstekamer-3.u69	I'm not a seafarer, but pushing back seems a pretty creepy thing to me. Returning is possible and that discourages those who are now making big money from doing so. That is no longer possible, and it is therefore extremely preventive. That's the real point.
ParlaMint-NL_2016-03-08-eerstekamer-3.u70	Yeah, but by now, Frontex is already on the radar to see where certain boats are headed? The refugees are taken on board and brought ashore. How does Mr Schaap see this in practice? Those people come aboard a ship like that and then what? We cannot send them back to Turkey now. How are we supposed to do that?
ParlaMint-NL_2016-03-08-eerstekamer-3.u71	As I said, we must first pick up the refugees from the sea and bring them back. The real intention is that this discourages and that the sailing with those life-threatening boats stops. I repeat, we do recognise the right to asylum. The refugees must be sheltered in protected areas. The European Union will have to make a very generous contribution to this. What has been decided this morning points to that, and I welcome that. The introduction and implementation of such a solution seems to me to be a challenge for the Dutch Presidency. I would also like a response from the Minister. Perhaps we can give our hands and feet to this in the debate today. I await with interest the Minister's reply.
ParlaMint-NL_2016-03-08-eerstekamer-3.u72	Mr. Chairman. There is a very good play on tour in our country. It's called Anton Chekhov's Cherry Garden. The core of the story is that those with power and possession lack the omens of the new age. It plays around the turn of the century in Tsarist Russia. How can we in Europe, when we look at the wealth of the world, in the eyes of so many a continent of power and possession, understand the signs of time in time? Can we move the beacons in time? We've all been able to observe it. Russia never became a democracy, but it did become a formidable nuclear force. We also feel the consequences of this at this time. Ukraine is facing the threat of Putinism. The situation in Crimea illustrates this. Russia reminds our country of our own vulnerability. How can this be better illustrated than by the tragic events of the MH17? Let me make it quite clear, before any other suggestion is made on this basis, that Ukraine is not ready for EU membership. The association agreement with the EU is not an introduction to this either. They are instruments of cooperation such as the EU that work in cooperation with many countries in the world, such as Chile, South Africa and Israel. I see now the winner of the Aletta Jacob Prize, Petra Stienen, coming in. Congratulations! The EU is trying to promote trade with Ukraine within the EU and is trying to support the rule of law there. How hard is that? How long is the road to go with that? My group has no illusions about this. It is complicated, but it can give hope and direction to a country in difficulty; a European country that wants to opt for more freedoms, prosperity and democracy. I see it as a lifeboat, which does not provide prosperity, but offers citizens an opportunity. That's the minimum we could do. The events of the past year have put pressure on our common values, both from within and from outside. My colleague, Mr Schaap, has just spoken about this. My group does not see that as incidents. There are deeper causes. I'll give you three. The first is migration: local and regional conflicts generate large flows of refugees from situations that are military and politically difficult to control. I call Syria, Libya, Iraq and Afghanistan. We also know the causes: violence, increased mobility, connectivity, we know where to go, and fragility of failing states. The migrants in the EU are confronting us with the lack of organisation of the EU's common external borders. Mr Schaap was right to point out that if internal borders are to be removed, you must make sure that the external borders are put in order. The images of tear gas and water cannons on children at the border of Macedonia, the drowned on beaches, the marches on railway lines with children on the shoulder, in the rain and cold, it is poignant and humanitarianly unacceptable and it is not necessary. It is not necessary, because the EU is simply not prepared for a slightly bigger problem that it could have dealt with. In 1994, many more refugees entered Europe and many years earlier. It would not have been necessary; it is a matter of political priorities. The second cause lies in the financial and economic turmoil. Major financial and economic interdependences have emerged. Global capital flows do not concern themselves with national borders. There is a de facto debt-mutuality in the euro area. With the ESM fund, we have actually recognised this and in the Five Presidents' Report we want to go a step further in this respect. That is the need for coordinated economic, fiscal and monetary policies. But there is a lack of "perseverance" to use a term from domestic government. The third cause concerns the Union's own identity question. There is gloom, and my colleague Knapen started with it about the success of the European project. There are populist and other currents that respond to that discontent. The key issue I would like to discuss in this contribution is how to understand these events as fundamental signs of time and what responses are necessary and feasible. In Europe, it is a recurring phenomenon that national political leaders, especially at home and often even when they are gathered in the European Council, do not dare or can rise above the level of daily urgency, polls and attacks from the right flanks of the political spectrum. As a result, the EU as such is unable to act decisively and convincingly in the three areas I have just mentioned. There is no lack of ambition in the Juncker Committee. Read his State of the Union and his proposal to set up a joint investment fund. I say to Mrs Faber that the Juncker Committee, including Mr Schulz, was indeed elected by the European Parliament. Members are not appointed, as in some parties. No, the committee was elected by the European Parliament and by the citizens of Europe. What my colleague, Mr De Graaf, feared four years ago, happened: the European political forum seems to be a trade fair of national interests which is too often lost in small subjects. Whether they are burning candles or school fruit, they are subjects that give rise to a certain hilarity and also to the ridicule of the Union. My group believes it is of the utmost importance that we force citizens, parliaments and governments to break through at all levels. That is why this debate is important. Of course, it has become much more complicated with 28 Member States than with 6, 12 or 16 Member States. That goes without saying. It has an impact on the pace and depth of integration, but this does not alter the desire to achieve the very best for our citizens together. The Group of the European People's Party (Christian Democrats) and European Democrats knows that this European ambition is consistent. We're celebrating a birthday too. We are 50 years old this year. We are 11 years younger than the EU and 20 years younger than Mr Jschrijver's party, but nevertheless: mature. European cooperation is a very fundamental political choice for our group and all the groups in this House. We believe that European cooperation is the best guarantee of our citizens' opportunities for development, prosperity and fundamental values. Fundamental values are not a luxury for good times, but a necessity in bad times, and that is what we are dealing with now. What we think is nice, but the Member States also expressed their opinion in the Lisbon Treaty in 2012. The Treaty recalls the inspiration for the creation and development of the EU. The basis of cooperation is the common cultural, religious and humanist tradition of Europe, which underpins the development of the universal values of inviolable and inalienable human rights and of values such as freedom, democracy, equality and the rule of law. It was a historic interest to end the division of Europe and to lay the foundations for a future Europe. The urgency of this has not been reduced by time; it has increased. I think I am the third speaker to have noticed gloom. If I have to believe all the prophecies of doom, we face a permanent fault in history, which threatens the continuity of the European project. One says along geographical coordinates north-south, the other says along east-west, others say along the angry citizen and the cosmopolitan vanguard. Many see it as a permanent crisis in our values. I see above all a manifestation of a form of retro-nationalism and of the exploitation of the fear of the difference. The fear of the difference, the difference in Europe and between people, as if we know uniformity in the Netherlands. Not so long ago, the tune "15 million people, who let you in their value" was generally seen as representative of the view that in our society all kinds of different tones and colors can exist side by side. With 17 million people, that hasn't changed. I'm not just saying that, that's what the SCP says. There's been a lot of research on that. The EU is an extra complicated exercise in dealing with difference, peacefully and with the aim of increasing prosperity and happiness. There seems to be some sort of fear about a European identity, when we should not talk about replacing national or regional identity, but about developing an additional identity, or at least an identification with an ideal in the service of lasting peace, freedom and prosperity. I am not going to go any further on this subject, much has been written and spoken about over the years. I refer to all kinds of writers, like Amin Maalouf. Mr Schaap has just spoken about sovereignty, and that is a complement to this idea. I don't have to add much more to that. We do not believe that gloomyness and prediction of fault lines and their permanence, because we trust that we can find solutions to them. For example, look at Switzerland, where another xenophobia referendum was held. Everyone thought it would be another profit for the SVP, a family of the PVV-likes. Pillars in January showed that, too. But then there is a citizens' initiative led by Favia Kleiner of people who say 'that's not what we want'. So this operation, Libero, was indeed successful. You don't have to accept sentiment, citizenship can do something. That, in my opinion, is the message. I would like to comment on the three problems I have outlined. All three are not unique and not insoluble, but difficult to deal with. It makes sense to ask: who in the present time has shown to appreciate the signs of time? I am thinking in particular of Chancellor Merkel, although she is of a different political colour. Not only does she have a vision of the future that is hopeful. It is also a sign of the time that a politician who was always put away as a realpolitiker is now suddenly seen by many as an idealist. In my opinion, it is very consistent: the great challenges of today cannot be resolved nationally. Mr Knapen spoke of inspiration, there is also something of commitment, but where is the Dutch Government? "Netherlands guide country" is far behind us, I know, but if we are not allowed to use the word "vision," what is the commitment and spirit of the Dutch government? When a plan comes up for the Dutch Government, it is immediately called the Samsom plan to highlight that it is none other than Mr Samsom's and certainly not the Dutch Government's. So what is the Dutch Government's plan? With this debate, we have the great advantage that the Minister was in Brussels yesterday, I assume, and that we can therefore hear something about the Dutch commitment. In the documents from the beginning of the Dutch Presidency, the Dutch Government has said that it wants to be a 'honest broker'. One does not stand in the way of the other, in my opinion, but is that still the limited ambition, or could it perhaps be a little more instrumental and with more inspiration? I like to hear that. I would also like to hear more about the Prime Minister's attitude yesterday at the European Council. My group has the impression that the Dutch Government is ignoring a very urgent need on the part of the citizens of our country to get an explanation, to get a direction and a statement of the choices made. I do not mean in the form of an apology that another far-reaching European project has been added, such as the Banking Union, but an explanation of why we are participating. Let me try to give some explanation to three of the subjects I discussed. The issue of migration exposes a failure of the EU, which has been known for some time, but it is the Member States that are holding it back. It is not the EU as such, but it is the Member States that have failed to take action, especially at the external borders. Nor have they given the Commission the opportunity to do so. I would like to know from the Minister what the attitude of the Dutch Government has been in the run-up to the moment when we are now. What have we been encouraging, stopping or wishing for in the Commission's earlier commitment to genuinely giving hands and feet at the external borders? It is not the absolute numbers of migrants who cause the problems in the EU, but the allocation. Some countries have disproportionately absorbed many migrants and are at the limit of their absorption capacity. I am thinking of Hungary, Sweden and Austria. Other countries, on the other hand, received very few, such as France and the United Kingdom. The practical consequence of this problem is that, in any case, an urgent response needs to be found to the surveillance of external borders, the distribution of migrants, the system of applications for residence and the return policy. Without that, so by our own failure, we become hostage to others. One of the large countries with its own complex agenda is our NATO ally Turkey. My group supports the efforts of the Minister and Secretary of State Dijkhoff to force breakthroughs and release funds for Frontex. I cannot see what was or was not agreed in the talks with Turkey, I would like to hear it from them and cannot anticipate it. However, we have reached a very precarious point: the renationalisation of borders and the temporary freezing of Schengen. Can the Minister outline how he's going to prevent these dominoes from falling further down? How will Frontex be upgraded to a truly effective body? Mr Schaap and I had just had a little debate on this. If there is any evidence that the EU as a structure is still far from complete, then this is where it appears. This can only work in an EU-wide approach. Of course, removing the causes of conflicts is the very best approach, but we have seen how complicated that is and how little the international community is equipped to intervene. There is no infrastructure in these countries and the EU is already badly equipped. Many in the world see the EU as more than a partnership of 500 million consumers, namely as a political factor that can play an important role in the world. But we don't. I have looked at it again in the Treaty of Lisbon, and it simply says that ambition to pursue a common security policy. Mr Knapen referred to Rule 42 on which the French have invoked. It is possible, but there is always no political will. Maybe we can make a quantum leap forward now that things are getting so urgent. So far, the world hasn't seen much of that we have a common ship patrol. I would like to hear from the Minister what the scaling-up possibilities are in the short and medium term and whether his colleague from the Defence Department sees the possibility of doing so. I now come to the second point, the financial and economic aspects. The Five Presidents' Report could be worth a separate debate, but it is clear that the structure behind European monetary and financial-economic integration is shaky. Expenditure on Frontex shows how bizarre the structure of the European budget is, because it is not foreseen in the regular budget. Governance within the EU has always led to, for example, the extension of the ECB's mandate, or to dissatisfaction and emergency measures. They turn out to be effective in the end, such as the ESM fund. The Five President's Report gives a good road map for improvements. On a number of parts it could and should go much further. I am saving this subject for a debate with Minister Dijsselbloem, which seems wise to me. Let's not play puppets today. The report does not propose to reduce or unravel integration, but rather to deepen it. I find it remarkable, however, that the final point in the report is about democratic strengthening. There really should be something more done about that if it is to be seen as legitimate. Working for Europe is mainly practical manual work, harmonisation of legislation. At the Article 13 conference in Brussels, thanks to Mr Elzinga's own rules or procedure, the Vice-President of the OECD said something very practical during the afternoon programme. There was a report showing that economic growth of several percentage points in the euro area would be possible through further harmonisation of the internal market. Of course, that's not a brainbreaker at all. There are still incredibly many obstacles due to regulations that are incompatible, through qualifications that are not interchangeable or due to border problems. Try getting a Drent to work in Germany or the other way around. So there is not too much Europe, but too little. At the same time, digital markets are emerging across borders at a furious pace without much regulation. I would like to turn Mr Knapen's point on the 'ever stronger union' into a 'ever stronger and closer union'. Anyway, there are different views about that. In the context of the general financial considerations, fellow members of the SP have called for attention to be paid to poverty in the Netherlands. Let us look at the EU. The statistics are the subject of a wide range of debates. What is poverty or not? However, according to statistics, around 24% of the EU's population is at risk of poverty. In our country this risk is lowest after the Czech Republic. How valid is it for Europe to pay attention to this? On this international women's day, attention should also be paid to the backwardness of women's emancipation. The best chance of reducing the risk of poverty and falling behind in emancipation is a genuine internal market that allows sustainable economic growth in all countries, hand in hand with further improvement of training opportunities across national borders and by improving institutions to eliminate abuse of power.
ParlaMint-NL_2016-03-08-eerstekamer-3.u73	Mr Backer spoke warmly about the internal market and the fight against poverty. I would like to ask him how he looks at the fact that last year Hungarian truck drivers drove Dutch trucks for less than €2 per hour. Now that that problem seems to have been solved through the Dutch court, we are shocked by Romanian welders who work for €0.90 per hour in Dutch shipyards. This will not solve poverty in Groningen, not even in Romania. How does he see this ever-easier single market in a Europe of many different speeds? That leads to big frictions like this.
ParlaMint-NL_2016-03-08-eerstekamer-3.u74	You have already indicated it yourself: it leads to great frictions that need to be solved time and time again. That's complicated and leads to false constructions. We know them, too. We have dealt with a number of legislative proposals in this House against bogus constructions, and we have also supported them. It is not difficult at all, and you are right to do so, to point out where things are not going well. We have to ask: what is the solution? Is the solution then to protect the Dutch market for Romanian, Polish and other workers, or are we ensuring harmonisation within Europe with acceptable differences, but where these kinds of constructions are prevented? It is now attractive to bring in almost government-funded workers in such a construction. That will not be resolved in one day, but I do not believe in the reverse approach, which limits national borders, which means that we protect the Dutch employee from an unfair difference in pay compared to others. Ultimately, the European market is wider than this issue, as you can see. The European market not only means that we can work in each other's economies, but also that Dutch companies invest in Romania and in countries where they did not invest before. Economic growth in the former Comecon countries following their accession to the European Union is spectacular, although there are still considerable differences in prosperity. That is why I began by saying that there are great differences, but that Europe as a whole is still a much richer area than the rest of the world. We are in the process of harmonising the differences in prosperity. I believe that this can be achieved more through market forces than Mr Koffeman, but we are in favour of the same thing. There are abuses to be solved, and we must solve them.
ParlaMint-NL_2016-03-08-eerstekamer-3.u75	This ambition, this dream of harmonization, seems to run counter to its limits. You agree that we as Europeans are all brothers. But if you live just outside the EU and you arrive with a rubber boat, you don't appear to be part of that fraternity. Such a harmonised market is agreed with relative arbitrariness, and that has something naive. You can say that we are a European army and then we no longer have a war in Europe. Make a world army right away, I'd think, and you'd be out of a lot of trouble.
ParlaMint-NL_2016-03-08-eerstekamer-3.u76	I am surprised to hear such an argument from a representative of the Party for Animals. That party has launched an idealistic idea in Dutch politics and it is fighting for it. Some idealism, of course, is not wrong. If we have made it better for animals in the Netherlands, then that has not yet happened in Europe. I would remind you of the debate on ritual slaughter that we have had. Then it turned out what a colossal quantity is being exported in Europe. Surely it is not naive or idealistic to strive in Europe for an equal level of animal treatment? Then the people who come from outside. I have already spoken about this and I will say something about it later. To be honest, I do not follow that line of reasoning. We have signed a treaty with each other. We've been there. Mr Schaap has also spoken about this. We sometimes act skittish about it as if we were not there, as if Dutch representatives had arranged it behind closed doors, but that was all passed in Parliament. The fact that we agree that certain rules apply to the 28 Member States, and not to the countries outside them, does not mean that we should go straight to a world government? I think that's a little ridiculing about the case.
ParlaMint-NL_2016-03-08-eerstekamer-3.u77	Finally. I cannot go into all the points raised by Mr Backer, but anyone who stands up for ideals and realizes those ideals in the Netherlands has to do with a common market that works according to the law of the communicating vessels. We are dealing with regulations that move to the lowest level. We have abolished the batteries, even at European level. Then, with subsidies just across the border, in Ukraine, battery batteries are placed, which influxes the European market with battery eggs. Then you cannot say that this kind of cooperation strengthens the ideals; even more so, they undermine the ideals.
ParlaMint-NL_2016-03-08-eerstekamer-3.u78	That was a statement. I assume that the country where those batteries are located has been chosen at random.
ParlaMint-NL_2016-03-08-eerstekamer-3.u79	Please continue.
