ParlaMint-NL_2016-06-15-tweedekamer-4.u1	Speaking time shall be three minutes. I call Mrs Keijzer.
ParlaMint-NL_2016-06-15-tweedekamer-4.u54	Let me see if I understand Mrs. Van der Burg correctly. The inspection must take account of the quality of youth assistance. One part of this is that there are no unacceptable waiting lists or that the organisation of the institutions is not such as to create unnecessary waiting lists or to misdirect them. I actually think that's a good point. I think that, in view of the quality of the youth ggz, we should look at whether the inspection can also have a better view of the institutions, so that we can know why it is happening well at one institution and not at the other. So I am very prepared to include this with the inspection.
ParlaMint-NL_2016-06-15-tweedekamer-4.u55	If the inspection is to be checked, she must know what to do. We've always had Treek standards for that. Those Treek standards work in all kinds of different ways. The Secretary of State said that in regions where good agreements on waiting lists have been made, there is a more active referral to each other. There you can also see that the waiting lists are less rapid. We can learn from that that we must do so in all regions. If we define how long the waiting period should be, then the inspection can also be maintained, but then we have to set it up again. Is the Secretary of State prepared to say it's settled in six weeks? That was actually my only question. If that is not possible, it is necessary to consider the cause of this, for example that there is too little capacity, that there is too little buy-in or that there is no referral. Is the Secretary of State prepared to reset Treek standards?
ParlaMint-NL_2016-06-15-tweedekamer-4.u56	Mrs Leijten is talking about re-establishing the Treek standards. How did Treek standards work and work? Healthcare buyers and providers, the sector, sit together and see what they think is reasonable. That must be the starting point for their actions and procurement policy. These standards are then applied. That's how Treek standards work. I note that the VNG also wants the Treek standards to work that way. That is why we have raised this issue. The VNG has issued an opinion on this matter to the municipalities. Next month I will talk to the municipalities about the state of their procurement policy. Is that enough in order? I think the Treek standards are a very good tool. It has also been shown that they can be a good instrument. If these standards are not met or are likely to be met, there must be contact between the healthcare providers and the buyers to see what to do. Do they have to sign up or refer or is there something else going on? I promote the use of Treek standards in the procurement policy of the municipalities. That's the road we need to go on. I am very much in favour of that. That is exactly the item on the agenda that I would like to discuss with the VNG in the coming month.
ParlaMint-NL_2016-06-15-tweedekamer-4.u57	This Secretary of State is a system operator. A debate on this was requested exactly a year ago. A year later, it's just as topical. Apparently, no action is being taken at the Secretary of State's request. Waiting list appointments are made in each region. If you're system manager, you just say, "I'll make sure those waiting list appointments are set." I'd like to hear that from the Secretary of State. I don't want to hear him talk, that it's an item on the agenda and that he's looking at it, but that he's not gonna do anything. No, he has to say he's not fast enough and that Treek standards are there by the end of the summer. If the region has already taken care of it, it doesn't matter. A little more urgency would be nice with this secretary of state.
ParlaMint-NL_2016-06-15-tweedekamer-4.u58	By the way, I'm talking to the municipalities in a different tone than you just said. I'm usually not so hesitant at this point. Let me deal with the responsibilities. The city needs to buy in. The municipalities, through their organisation, the VNG, have said that they consider Treek standards to be very important. These standards are the starting point for their policies. That's what the VNG said to all the municipalities. In practice, you can see that there are similar agreements in a lot of contracts. I have here, for example, contracts from the Hague region, Twente and IJsselland. Sometimes it says that the contracting parties contact each other if waiting lists are likely to arise so that they can see what to do. Other contracts refer directly to the deadlines set out in the Treek standards. Both appointments can work. I think these Treek standards are important, because they are objective standards that come from the sector. For my part, therefore, I would also like to strongly promote that they are part of the procurement policy of the municipalities. I note that the UNG wants that, too. In July, I will talk again about what this means for the 2017 procurement policy. I am confident that the agreements will lead to the use of the Treek standards or to final agreements on what happens if the agreements are exceeded irresponsiblely. As a result, the responsibility remains with the municipalities, but we agree that it takes place within acceptable limits.
ParlaMint-NL_2016-06-15-tweedekamer-4.u59	Mrs. Leijten, only if you would like something new.
ParlaMint-NL_2016-06-15-tweedekamer-4.u60	It remains the responsibility of the municipalities and I am looking for the system responsibility of this Secretary of State. We've been on the road for a year and a half, and apparently this isn't coming off the ground. One more chat, that's fine, but there's a deadline to be set. I propose that the Secretary of State should say: if the municipalities have not arranged it in their region by the end of the summer, there will be national Treek standards that everyone has to comply with. Does the Secretary of State want to do that or not?
ParlaMint-NL_2016-06-15-tweedekamer-4.u61	Not in this way, because then we are going to take over something that is actually the responsibility of the municipalities, while at the same time we are seeing a movement in which agreements are being made between municipalities and healthcare providers on what are acceptable deadlines and on what happens if those deadlines are threatened with being exceeded. Isn't that how we're supposed to work with each other? In fact, I think it is right that the debate should also start on whether there should not be many more forms of youth aid and youth care that are different from those that exist within the current supply. This may lead to different arrangements for the provision of services. I note that there is a great willingness on the part of the municipalities to make these agreements. It is also exactly the point they are concerned with, namely that they also want to provide good help to children in time. Part of this is how to buy care for 2017. I think it is important to ensure that good agreements are made on this subject using the Treek standards. Where we see that there are problems or there are persistent signals about them, there are two things that I am also a little still from this debate. On the one hand, that is Mrs Keijzer's question as to whether I am prepared to investigate how regional differences and the causes of them can be found. I have indicated at that point that I am indeed prepared to take that floor. On the other hand, there is Mrs van der Burg's question as to how certain institutions are apparently unable to deal with this. Well, let's take a look at that, shall we?
ParlaMint-NL_2016-06-15-tweedekamer-4.u62	Mrs. Keijzer wants to interrupt. Let's try not to repeat moves.
ParlaMint-NL_2016-06-15-tweedekamer-4.u63	I have another question, although if I listen to the Secretary of State and I look at the overview, I have to say that only the four-week Treek standard is reached at the Rivierenland region, but that is not the case. Is the investigation that the Secretary of State has just announced also about the point I mentioned earlier? This concerns the fact that healthcare institutions, as well as municipalities, indicate that they will have to cut their purchases by 10% to 15% by 2017, which will have an irrevocable effect on the amount of youth care available in those municipalities. That's so weird because the discount on the macro budget was only 15% in three years. Is the Secretary of State going to find out how municipalities might feel compelled to cut down around 15% by 2015 and a similar high percentage for 2016 and 2017? I am very interested in that.
ParlaMint-NL_2016-06-15-tweedekamer-4.u64	This is taken into account, but with the following remark. Municipalities, healthcare providers and the industry have examined with each other the developments in youth aid. How, for example, can we ensure that heavy care is reduced afterwards and that preventive care at the front becomes a little stronger? In fact, the sector of youth aid providers and the VNG have indicated that this could be a movement that is around 30%. In these purchasing arrangements, we will slowly but surely see a decline in the residential supply and an increase in the outpatient supply. I may say it a little too simple now, but that is the movement that is being made and will also be seen in procurement policy in the coming years. It may mean that some institutions face larger discounts because of that shift from intramural to extramural. The signal that there is a higher reduction somewhere than that on the macro-budget may be true, but this should not, in general, lead to a failure to fulfil the obligation of youth aid. For example, it may prove that a municipality does not have a good purchasing policy. Well, that's got to come out.
ParlaMint-NL_2016-06-15-tweedekamer-4.u65	I see all these nuances too, but at the same time I see the crisis placements rising. That's weird. It may be that a municipality does not purchase sufficient specialist care, because it does not need that care. Well, that's good then. But if that leads to more crisis placements, then it goes wrong. I understand the Secretary of State answers my question with "yes." He is going to see how much more savings are being made in municipalities than the reduction in the macro budget. This is also important for the question of where the waiting lists come from.
ParlaMint-NL_2016-06-15-tweedekamer-4.u66	I would like to emphasise Mrs Keijzer's point. Mrs Keijzer asked a question about the increase in the number of crisis situations. How is that possible? Is the access not properly arranged or is the purchasing policy not good? I told you we should look into that. At my request, a number of municipalities will examine the basis for this. I hope that research will be available by 30 October.
ParlaMint-NL_2016-06-15-tweedekamer-4.u67	That's nice, but will the Secretary of State also look into purchasing outpatient youth care? I hear the same sounds about that.
ParlaMint-NL_2016-06-15-tweedekamer-4.u68	That's exactly the movement we need to make with each other. If we find that it is wise for many reasons that we do less residential and more out-of-arms, then of course it must be in line with each other. That must be a bit of a directed path, too. The development of this is slightly different from region to region. That is exactly why I am talking to the municipalities about this and doing that research.
ParlaMint-NL_2016-06-15-tweedekamer-4.u69	The Secretary of State continues his speech, but I believe that he has already given a number of answers in response to interruptions.
ParlaMint-NL_2016-06-15-tweedekamer-4.u70	I'll see if there are any specific questions. Mrs Keijzer has asked if ggz is medical care. Yeah, ggz is medical care. But we do see that new balances are being sought between extramural and intramural. I just answered her question about the cuts. It also asked a specific question on tariffs. That's what the Transition Authority has been investigating. It notes that the contracted tariffs are broadly stable compared to the tariffs in 2015 especially in the case of specialist services in 2016. The Transition Authority for Youth also keeps its fingers on the wrist there. In my opinion, I have already given sufficient consideration to the debate on the Treek standards. The same applies to the contractual arrangements. This was my first-term input.
ParlaMint-NL_2016-06-15-tweedekamer-4.u71	I see that Mrs Van der Burg has another question.
ParlaMint-NL_2016-06-15-tweedekamer-4.u72	I did ask a few other questions, though.
ParlaMint-NL_2016-06-15-tweedekamer-4.u73	I see the Secretary of State has found it by now.
ParlaMint-NL_2016-06-15-tweedekamer-4.u74	Is that right? Then I'll wait.
ParlaMint-NL_2016-06-15-tweedekamer-4.u75	Let me try. We have already discussed the possible causes of the waiting lists. Mrs van der Burg asked a specific question about PTSD, namely whether the sector complies with the directives. I imagine I'm just going to take a look at what's going on. Mrs Van der Burg has asked for further information before 30 June. I'd like to give you my word on that.
ParlaMint-NL_2016-06-15-tweedekamer-4.u76	It seems very serious to me if the sector does not comply with its own directives. If that is the case, then action must be taken on it or it must be eliminated. In both cases, that is valuable. I have also spoken about the specialists of the Centres of Sexual Violence and of, for example, Psytrec. They're professors, people who've been promoted. In determining trauma and finding that people suffer from post-traumatic stress syndrome, policy and training in the Netherlands are aimed at stabilising in particular. We've talked about that before. One does not take away the problem. This is happening to the great despair of people who have been in the aid for 16 years, who see all kinds of aid, from aid to an eating disorder to know what, in the ggz, but who are not being helped. It is only in an organization like a Centre Sexual Violence or Psytrec that the real problem is addressed. Those specialists tell me that nowhere in the scientific literature has been established that you need to stabilize. On the contrary. So I just want the Secretary of State to sit down with these parties and with the regular ggz, who apparently thinks otherwise. I think the Secretary of State has agreed to that, too. I think it is important that we help people and that we do not just keep pumping people around in the system and just stabilize them. Let us be clear: we do not want people to lose hope and take a step that we all do not want, but we do.
ParlaMint-NL_2016-06-15-tweedekamer-4.u77	That's exactly why I'm underlining that it's a serious point. I will come back to this in a separate letter which I would like to send to the Chamber before 30 June.
ParlaMint-NL_2016-06-15-tweedekamer-4.u78	I'd like the Secretary of State to do that, but is he going to have a conversation? I think it's time. After all, we have talked about this before. Will the Secretary of State also write about this in the letter of 30 June?
ParlaMint-NL_2016-06-15-tweedekamer-4.u79	I have a brief answer to that: yes.
ParlaMint-NL_2016-06-15-tweedekamer-4.u80	This brings you to the end of the reply. I'll take a look around to see if there's a need for a second term.
ParlaMint-NL_2016-06-15-tweedekamer-4.u81	Can we suspend for a few minutes? 'Cause I'm gonna have to change a motion.
ParlaMint-NL_2016-06-15-tweedekamer-4.u82	Is five minutes enough?
ParlaMint-NL_2016-06-15-tweedekamer-4.u83	I think so.
ParlaMint-NL_2016-06-15-tweedekamer-4.u84	I shall suspend the sitting a little longer, because the discussions between Members of Parliament have not yet been concluded.
ParlaMint-NL_2016-06-15-tweedekamer-4.u85	Mr. Chairman. I thank the Secretary of State for answering the questions. We are not yet entirely satisfied with the way in which the Secretary of State wishes to deal with the Treek standards, and I am going to table a motion on that. It's too much in the vein of "I'm gonna go in consultation with..." The VNG website says that the Treek standards are the basis. We need a little more strength in this. A year ago, I requested this debate. We are now a year ahead, and the waiting lists are still long; longer than the so-called Treek standards. Those are agreements about how long someone can wait for help. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[believes that Treek standards should apply to youth aid;]] [[calls on the Government, together with healthcare providers, municipalities and patient organisations to set Treek standards for access to the Youth Act, interpreting the duty of youth assistance in such a way as to require healthcare institutions to have a waiting list and to mediate to another healthcare provider if the waiting period is longer than the Treek norm indicates,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Keijzer, Mr Ypma, Mr Bergkamp and Mr Agema. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31839-522]]
ParlaMint-NL_2016-06-15-tweedekamer-4.u86	The motion may also be co-signed by Mrs Leijten.
ParlaMint-NL_2016-06-15-tweedekamer-4.u87	"Maybe" we don't know yet.
ParlaMint-NL_2016-06-15-tweedekamer-4.u88	I have a question about the motion. Of course, it sounds good: drawing up Treek standards, which we had in the past. They must be maintained, what happened in the past. I'll jiggle a little bit about when to do this. I know the Secretary of State: he embraces everything and then says "the field can figure it out nicely." I need to know when we've arranged this. Should this be settled at the end of the summer, so that it can begin on 1 January? How does the petitioner feel about that? That determines whether I want to put my name under it or whether I think: sympathetic, but it doesn't go far enough.
ParlaMint-NL_2016-06-15-tweedekamer-4.u89	Actually, I think that's a nice planning. It is now mid-June: if this motion is adopted, give the Secretary of State the summer time to establish it. It is not that complicated, because, as Mrs Leijten says, Treek standards have always applied. Then they can go in as soon as possible. I think that would benefit everyone.
ParlaMint-NL_2016-06-15-tweedekamer-4.u90	In that case, I will gladly have my name added to the motion.
ParlaMint-NL_2016-06-15-tweedekamer-4.u91	It will have to be changed for this purpose, which is a separate route.
ParlaMint-NL_2016-06-15-tweedekamer-4.u92	I have a question for clarification. It says that youth aid providers must indicate that they have a waiting list. They know their own sector best and they are the specialists at that time. Do they have to give advice where parents can take their children? This does not have to be binding, but at least they can give advice.
ParlaMint-NL_2016-06-15-tweedekamer-4.u93	Yeah, that's definitely the point. Otherwise, as the father and mother of a child with psychiatric problems, you're still empty-handed.
ParlaMint-NL_2016-06-15-tweedekamer-4.u94	Mr. Chairman. There should be nothing more simple for a Secretary of State than simply saying: there is a time limit within which someone should be given care. Whether it's a municipal task or not, there's an acceptable deadline. That deadline is not set by the municipality and by the providers, but by the State Secretary. It's called system responsibility. This is a bit like: seeing someone thirsty and saying "I think you should water." To which he says, "No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, Then the Secretary of State doesn't say "someone's gonna water" but "you're gonna have to talk to each other until someone's gonna water." If you wait too long, someone's dehydrated. Then you're just late. That's what the Secretary of State does in all his policies. I welcome the motion in which it is said that there should simply be another standard, that standard should be applied and that it should not be another standard in Pekela or in Middelburg. You just get the care you need within a decent time frame. Then you can say, "We're gonna throw our heads together if it doesn't work out." Then the municipality does not have to blame the institutions and the institutions do not have to blame the municipality; then the interest of the child is paramount, because that is why the standard has been set, for which we have a Secretary of State. That he is not prepared to do so on his own, but needs a Chamber to force him to do so, that says very, very much about the Secretary of State.
ParlaMint-NL_2016-06-15-tweedekamer-4.u95	Then I can give the floor to Mrs Agema on behalf of the PVV Group. I see she's refusing the word.
ParlaMint-NL_2016-06-15-tweedekamer-4.u96	I co-signed Mrs Keijzer's motion. That is enough, as far as I am concerned.
ParlaMint-NL_2016-06-15-tweedekamer-4.u97	Thank you very much for this explanation. I call Mrs Ypma on behalf of the Group of the Party of European Socialists.
ParlaMint-NL_2016-06-15-tweedekamer-4.u98	Same goes for me.
ParlaMint-NL_2016-06-15-tweedekamer-4.u99	Thank you for this explanation. I call Mrs van der Burg of the VVD.
ParlaMint-NL_2016-06-15-tweedekamer-4.u100	Mr. Chairman. I would like to thank the Secretary of State for the commitments. We are going to debate again on 30 June. In any case, one of the commitments will be given further information. I think it is very important that we not only investigate, but that we actually have the inspection check things that we have arranged. I really don't understand that children aren't being helped. After all, it is properly regulated in the law. The fact that there would be no money is not a reason either, because it has to be paid. I really do not understand that this is not just happening and we have to look at how we are tackling the cause of the problem. The inspection seems to me to be an excellent opportunity to shed light on that, so thank you for that. Another point that sometimes comes along here is the perseverance force. What about the independent customer support? We've arranged it in the law. I also know that this is not equally well arranged in all the municipalities, but it seems to me to be the ideal instrument for putting parents and children in a position with the municipality and the youth workers. Can the Secretary of State state state what's going on with that? We've talked about that before. Can he tell us how we're gonna make sure that's taken care of? We don't have to double-check everything. We've laid down a law. That law must now be implemented and people must abide by it. If this does not happen, the inspection must be carried out in order to monitor and take action. Can the Secretary of State answer that? Maybe the inspection can take that in one go.
ParlaMint-NL_2016-06-15-tweedekamer-4.u101	That brings us to the end of the second term on the part of the Chamber. I'm looking at the Secretary of State. Can he answer immediately? That's the case. But Mrs Leijten has another question.
ParlaMint-NL_2016-06-15-tweedekamer-4.u102	I have a technical question for you, Mr. Chairman. If an ongoing debate is said to change a motion or to add a signatory, then there is no need to table an amended motion. Then it can be processed, can't it? I think that's the procedure. When the debate is closed, you really need to table an amended motion, but I'm looking at the chairman.
ParlaMint-NL_2016-06-15-tweedekamer-4.u103	It is somewhat diffuse, but it is possible to do it as you wish. So those names are added to the signatories and that motion is now part of the debate, because I am now saying so at your request. I call the Secretary of State.
ParlaMint-NL_2016-06-15-tweedekamer-4.u104	Mr. Chairman. Two questions have been asked. I confirm to Mrs Van der Burg what she asked about the inspections. I'll be sure to. Indeed, I believe that customer support can play an important role. The subject of perseverance is exactly the point I would like to discuss with the VNG and, by the way, with the client organisations. Sometimes customer support is about helping the client with the care demand, while this perseverance often involves discussions between the insurer and the municipality, or between the social district team and education. This means that this customer support often has an extra aspect. Sometimes that can be very well combined with customer support. There are also cases where, for example, the municipality takes a heavy role. I refer to the Task Force Homeowners in the municipality of Rotterdam. There someone has been appointed by the municipality to pay specific attention to cases that are extremely complex and difficult, also on the part of the municipality. Nevertheless, I would like to ask Mrs van der Burg whether in many cases you would not be able to combine this with that independent customer support service. We are actually working with the VNG to bring this much more to the people's attention and answer yes. So I agree with Mrs van der Burg.
ParlaMint-NL_2016-06-15-tweedekamer-4.u105	Thank you for that commitment. I would also like to know when feedback will take place. I have one more point about those groups involved in that perseverance. The alderman is the final responsibility, isn't he? If so, I say that before we know it, we are introducing a new person to whom we can shift things off with the effect that the parents don't know where they can go at all. I would like to inform the Secretary of State that I have serious doubts about this. I very much believe in that independent customer support to put the parents in position, even towards an alderman or an institution if necessary. Does the Secretary of State agree? Furthermore, I note that it is not very well arranged everywhere. Does the Secretary of State also want to involve parents' organisations in this whole discussion? They stand up for the interests of the parents. Clients' organisations are there, but they still have interests in other places. I believe that parents and youth organisations should be involved in this particular issue.
ParlaMint-NL_2016-06-15-tweedekamer-4.u106	Mrs. Van der Burg is a bit of a smuggler. She is now asking several questions. But the Secretary of State will remember them.
ParlaMint-NL_2016-06-15-tweedekamer-4.u107	Yeah, the alderman's the ultimate responsibility. This means that it is very essential that ultimately the alderman himself can also interfere with the breaking of business and the cutting of knots. That's what he or she is for. In Rotterdam, for example, you can see that responsibility is being taken at that point. I also very much agree that consultation with these parents is very important, particularly with regard to the issue of perseverance. Those parents say: yes, it is nice that someone else is going to decide what the perseverance power is, but I am very much involved myself. In fact, they usually say that they know a lot about it and that they want to make sure that that happens what is best for their child. They say that's not for anyone else to decide for them. That's exactly what the conversation I'm having with the parents is about.
ParlaMint-NL_2016-06-15-tweedekamer-4.u108	Let us first wait for the answer to all the questions. Otherwise, things are gonna get really mixed up.
ParlaMint-NL_2016-06-15-tweedekamer-4.u109	I believe I have answered both questions.
ParlaMint-NL_2016-06-15-tweedekamer-4.u110	I think the Secretary of State was very quick. I hear from the parent organisations that they are not being listened to very well. I'm just gonna give that to you. I hear the others are getting over it with the advice "Perseverance, perseverance." I have expressed my doubts about this. After all, we have one person who has the power of perseverance and the mayor is still there for the safety of a child. I believe that we should invest responsibilities in a clear way. That's what we did in the law. So we must appeal to these people instead of creating a new perseverance force. The parents' organizations also indicate that. I hope the Secretary of State listens to them very carefully.
ParlaMint-NL_2016-06-15-tweedekamer-4.u111	Oh, yeah. It is no coincidence that we have organised a meeting this week on, among other things, the relationship between education and care. Where sometimes complex combinations have to be made and individual arrangements have to be made between care for children in need of intensive care and education. We have said that not only people who make or support that arrangement should have a voice in it, but also the parents who should have that voice. The parents made that clear loud and clear at that meeting. So we listen very carefully to them. I'll come to the motion in part No. 522. We share the view that we want to ensure that there is timely aid and that there are no irresponsible waiting lists. That is also stated in this motion. Mrs Leijten raised the question of how to interpret that. I'm just looking forward to doing well in practice. We can say here that we prescribe the Treek standard, but the point is that the problem needs to be solved at local level. This says very, very, very much about my intention, not because I am against local regulation, but because I want there to be rules that work and that are worn by those who have to implement it. I want municipalities to take responsibility for this and for healthcare providers to have that responsibility. And I want them, if healthcare providers have waiting lists and they have to refer them, they have a role to play in that too. That's all I care about. So I'm not talking about rules, but I'm talking about rules that work. That is why I consider this motion to support the policy and take it over.
ParlaMint-NL_2016-06-15-tweedekamer-4.u112	Before I ask the Chamber whether there is any objection to this, I give Mrs Leijten the opportunity to intervene.
ParlaMint-NL_2016-06-15-tweedekamer-4.u113	If the Secretary of State wishes to take over this motion, there is still the important question when he wants that Treek norm, made by the field, to be there. Is 1 January 2017 the deadline as far as he is concerned?
ParlaMint-NL_2016-06-15-tweedekamer-4.u114	As I indicated in the debate, I am in constant conversation with the club. In July I have further discussions with the municipalities. In the opinion that this should also play a role in the procurement policy for 2017. That means that 1 January is indeed a very good deadline.
ParlaMint-NL_2016-06-15-tweedekamer-4.u115	So the answer is yes.
ParlaMint-NL_2016-06-15-tweedekamer-4.u116	I will consult with the co-sponsors, and I will let them know this week whether we are happy with the adoption of the motion or whether we would prefer to put it to the vote, given its important nature. You asked if anyone had any objections.
ParlaMint-NL_2016-06-15-tweedekamer-4.u117	I haven't asked yet, but I'm gonna do that now. Does any of the Members object to taking over the motion?
ParlaMint-NL_2016-06-15-tweedekamer-4.u118	I had a visionary vision. I'm going to discuss with the petitioners whether I think that's the right way to proceed with this motion.
ParlaMint-NL_2016-06-15-tweedekamer-4.u119	But right now, you're objecting to taking over.
ParlaMint-NL_2016-06-15-tweedekamer-4.u120	At the moment, I object to that.
ParlaMint-NL_2016-06-15-tweedekamer-4.u121	Then the motion will simply be put to the vote, but it can always be held before the vote, or withdrawn.
ParlaMint-NL_2016-06-15-tweedekamer-4.u122	I'll wait and see. It is difficult for me to reconstruct the policy of taking over motions, because sometimes the Chamber says: take her over. And sometimes the room says, "Don't take her over." It is, of course, up to the Chamber to decide.
ParlaMint-NL_2016-06-15-tweedekamer-4.u123	The procedure is crystal clear. You take over the motion and then the Chamber says whether or not it agrees. Each individual member may disagree. That was Mrs Keijzer in this case.
ParlaMint-NL_2016-06-15-tweedekamer-4.u124	Top summary, Chairman.
ParlaMint-NL_2016-06-15-tweedekamer-4.u125	The procedure is clear to me.
ParlaMint-NL_2016-06-15-tweedekamer-4.u126	This brings us to the end of this debate. I thank the Secretary of State for the answers given. We will be voting on the motion before us next Tuesday, if it still exists.
