ParlaMint-ES-PV_2015-05-29.u0	Good morning, everyone. We'll start the whole meeting. First point in theme list: "The question is, "The question is, that the members of the staff of the U.S.A.R.R.A.R.R.R.R.A.R.R.R.R.A.R.R.A.R.R.R.A.R.R.A.R.R.A.R.R.R.A.R.R.A.A.R.R.R.A.A.R.R.A.S.A.S.A.S.S.S.A.A.S.S.A.A.S.A. Too much of a lady, it's your word.
ParlaMint-ES-PV_2015-05-29.u44	Thank you, Mr. Mazzu. Mrs. Tapia, your word is yours.
ParlaMint-ES-PV_2015-05-29.u45	Eskerrik asko, president anderea. There's no escape, Mr. Mazzu, because I've been through this last block, and if you read it, it's the position of fun. But, of course, the lawyer has allowed you to continue, and the only thing I answer is that the interaction is not the cause. There's a lot of things going on, but really in interpelation, I repeat, this: "What is it that makes you happy in respect to what is approved in the law? "I don't know. And, as far as I know, there's nothing here yet. You're giving your opinion every day, yes. Opportunities, decisions are not made. And when the decision is made, as in other matters, and as it was mentioned here today, this fun says a full respect to the parliamentary, so we'll accept it. But there's no attitude yet. You're talking about power: What will happen and how. Let us make this way and examine it. And we've always said that he who's studying this form will have his own career later, but you want to advance that course. Sometimes you go ahead and sometimes you don't. What are we stopping at? Where do you need to talk? So let's keep doing what we have to do. And please don't confuse things. Do you give me leave every day? Where are we giving the rights every day? Where? Please don't confuse things. We're doing things as I mentioned last time as best we can. And step by step. Things carry their trap, as you know. And we respect the decision we've made. But I repeat my decision. And there's no decision here. Your opinion and opinion of the rest of the teams, which are still undisputed. So, funk, as I say, really believes in the distribution of power. So we'll do what we have to do and respect what the law says. When he says. And, for the time being, you want to bring a discussion to the wrong place. Take it where it takes and then we'll go on. When it's settled, I'll answer what we have to do. But be sure we will respect him as in other matters. Thank you.
ParlaMint-ES-PV_2015-05-29.u46	Thank you, Mrs. Tapia. The seventh point on the theme list: "Interadelation, the Mist, of the Gorka Maniroy, a member of the President, a member of the President, a member of the House ofUPyD, with the steps to plan another law on public administration." Mr. Maneiro, your word is yours.
ParlaMint-ES-PV_2015-05-29.u47	Yes, thank you, President. Mr Councilman, two years ago we presented a parliamentary initiative to urge the Basque Government to present in this Parliament a draft law on transparency, which contains a number of principles which we consider to be fundamental, which are the following and which we continue to consider to be absolutely fundamental. The right of access to information is a fundamental right of everyone. The right of access to information applies to all public entities, to all the powers of the State and to all private entities performing public functions or receiving public money, regardless of their size. The right of access to information applies to all information produced, received or held by public entities, regardless of how it is stored. Making requests must be simple, fast and free of charge. Staff members have an obligation to assist applicants. All information held by the administrations, all the powers of the State and all private entities exercising public functions must be public. Denial of access to any information should be exceptional. Denials of access to information should be limited and duly motivated. Everyone has the right to appeal against denials of access or non-respondence to requests made. Public entities, on their own initiative, should make basic and essential information available to the public, without the need for an application. The right of access to information must be guaranteed by an independent body. The Government will be primarily responsible for the promotion of the right, ensuring and promoting the knowledge and use of the right. Penalties shall be imposed by law in respect of offences committed in respect of what is specified in the legislative text. We therefore ask, two years ago, for a law of transparency of its own and independent, i.e. a differentiated law, and in particular separate from the rule governing and regulating the work of the Basque public administration. A law, of course, that goes beyond national law, which we have already criticized in the Congress of Deputies for being clearly insufficient. In the justification of that initiative we said that citizens need access to all that information that allows them to know and evaluate objectively the activities of the different public institutions. Such information should be considered as the property of citizens. That public administrations and the public sector must actively generate information relevant to the understanding of their activity and must make it accessible to citizens. That any information recorded in any form, prepared or received and in the possession of the authorities, is public, so that access to this information can be limited only to protect other legally assessed legitimate rights and interests. That all persons have the right to request any information from all public administrations and institutions, without having to explain why they want it, and have the right to receive a reply in a short time and in a clear and understandable format. That an important, fundamental effect of management transparency measures is to reduce areas of opacity and obscurantist practices that favour corruption, waste and mismanagement. That any entity or person benefiting from public aid must also report publicly on the use of such aid. And from there, two years ago we asked this Parliament to urge the Basque Government to submit, within six months of the adoption of that initiative, a draft law on transparency. We also proposed to urge the Basque Government to develop a transparency portal that would accommodate all information relating to the Administration, where at least the remuneration and compensation for the service of elected officials, senior officials and members of the Basque Government would be reflected; the recording of the activities, assets and interests of elected officials, senior officials and members of the Government; the entire recruitment of the Basque public administration; the temporary recruitment lists of staff; administrative concessions; the updated inventory of administrative procedures; administrative and judicial decisions; public expenditure on institutional campaigns and their recipients. All this we asked for in that initiative two years ago. Therefore, clearly maximum demands for them to be carried out as soon as possible and launched by this Government. In addition, we called for the inclusion of a contract registry, a contractor registry, a collaboration agreement registry, and a grant registry within that transparency portal. Finally, the Basque Government decided to introduce its bill of the Basque public administration, which included matters relating to participation, transparency and access to information. It is clear, and I refer to the facts, and has thus been moved by the majority of groups in this Parliament, that this project was short and far from the principles that UPyD certainly continues to uphold. The draft submitted by the Basque Government preferred to make an absolute follow-up of the national law on transparency, a national law on transparency that we criticize at the time because it is clearly insufficient. Instead of using the powers of this Government to go further and be more demanding, what was done and envisaged was an absolute follow-up to that national law of transparency. By taking as a model a law that did not know how to adapt to the new times, this bill, therefore, was born very limited. And this project also included major shortcomings, such as the failure to provide for a legal sanctions regime. But it is also that the first part of the bill, which referred to the organization of the Basque public administration, was also frankly improveable. It was not an attempt to simplify, clarify, reduce and modernize the Basque institutional framework; it was a faracious bill; it was a bill that renounced the regulation and regulation of the public sectors of all Basque administrations, including historical territories and local authorities; it was not seen in that draft, nor was it even envisaged, a strategy to simplify and reduce the administrative framework or control externalisations or management orders. It was therefore a short and unambitious bill, which did not comply with the minimum principles that a transparency law should comply with, which renounced the regulation and regulation of the public sector of outside and local authorities, which did not go beyond what was already advanced by the national transparency law. It also did not include a sanctioning regime. A project which, therefore, gave up radical transparency and smoothed out existing duplications. This was understood by the majority of groups in this House, and as a result three amendments were tabled in their entirety, whose argument I must say is quite similar. Therefore, there was a fairly general coincidence, there were points in common at least, which we came to share clearly different groups, and from that moment on – and this is something that certainly draws my attention – the Government withdrew the project. And this is something that certainly – truly I tell you – left me puzzled. That is to say, the government did absolutely nothing, or at least did not do everything possible for this Parliament to take that bill into consideration, and from there the amendments could be discussed. He didn't do anything! The government did not contact UPyD, although at that time and on that subject the vote of UPyD could be absolutely fundamental! The Basque Government decided not to talk to the parliamentary groups, at least did not talk to the UPyD group, and let go of the days and finally decided to withdraw this project. And not only that, but he also accused the groups of doing electoralism. All this leads me to think on the one hand of what we have already seen, which was a clearly insufficient bill, much improved by everything I have said, but on the other hand it leads me to think that the Government did not want that bill to be passed. I mean, UPyD's vote could be decisive: there was no rapprochement, no negotiation. And, by the way, in the days we learned, when this draft was finally withdrawn, we learned that you said at a press conference that same morning that the Government was prepared to adopt three hundred partial amendments. And the rest of the groups don't know anything about it. Finally, what this Government is going to do about this bill, when it is going to resubmit it, what content it is going to have, that's what I ask. Thank you.
ParlaMint-ES-PV_2015-05-29.u48	Thank you, Mr. Maniro. Mr. Erkok is in the word.
ParlaMint-ES-PV_2015-05-29.u49	Thank you, Mr. President. Congressmen, good morning to all. Mr Maneiro, it seemed to me to warn three clearly differentiated parties in your speech. One, the usual in its interventions, of reproaches to the government, logical in a political formation of opposition, of reproaches of great caliber. We jurists, when the same clauses are repeated in the contracts in a systematic way, we call them the generals of the law, and then each contract contains the specific clauses applicable to each case. In their case, the generals of the law are always accompanied by large-scale criticisms of the Government: everything is absolutely impossible, everything is absolutely indispensable, everything is absolutely insufficient. Therefore, I take them simply as a style clause without more, which are essential in their interventions. This time it has accused us of inability to assume the minority position that we have in Parliament, an inability that I believe has no basis for reproaching us, because we are fully aware that the Government is supported by a parliamentary group, to which we thank very much for its revelations and efforts to defend the positions of the Government, and for its commitment to the Executive's approaches, but we are aware that 27 of 75 is a limited number. However, in the same way that we have to assume that minority situation we have in Parliament, I suggest that you too be consistent with this which suggests to me and therefore take your position as a minority. To say here that the Government has done nothing, did not negotiate with any parliamentary group, did not speak with any parliamentary group, because we do not talk to you or do not negotiate with you, is a lot to pretend. That you intend to convey here the idea that the majority which could be satisfied on the hypothetical day on which the amendments were to be discussed in their entirety depended on your vote is very much to be expected. You also assume your position as a free minority. It is one that can contribute at decisive times to making, forming or preventing the formation of majorities, but do not assume that, in the event that that amendment occurred to the whole and that plenary for which you were sighing, your vote would be decisive. In other words, there were other political formations that had not made full amendments, but nothing prevented them from supporting those that were registered. Your vote, therefore, has the strength and value of what you represent, which is one in a 75-room chamber. Beyond the reproach chapter, he has made a retrospective reference to the background to the regulation contained in that bill. A background that does not go back to the resolution that was adopted two years ago, which you have referred to. They go back a lot. During the past parliamentary term there was much discussion on this issue, not only on transparency, but also on all issues relating to the organisation, operation and regime of the public sector of the Autonomous Community. There were debates that were all concluded in March 2011, when the House adopted a resolution urging the Government to introduce a bill on this subject; a bill that, at the end of the legislature, has not yet been submitted and registered in the House. Therefore, the background goes much further, and we could go back further. In any case, this Government's commitment to transparency is unquestionable. Some of the issues and principles that you have cited here, which were reflected in that parliamentary agreement to which you referred, two years ago, are being rigorously and systematically implemented by the Executive. The Basque Register of Contractors, for example, to which you have referred, is in perfect operation, and there you can consult all the contracts that are being executed at this time by the Government. Everyone. There is not only the profile of the contractor, which was launched a few years ago: the Revascon, the Basque Register of Contracts, gives comprehensive and up-to-date information on all the contracts – analytics – of my department, of which they are subject at this very moment of execution. Therefore, comprehensive information, quite advanced... What can be improved? I won't question it. That much further progress can be made in this and other areas? I won't question it. But, look, the only minimally objective indicator we have to calibrate public administrations' commitments with transparency, which are the biannual audits of Transparency International, has given us the highest score. Finally, therefore, between Transparency International's objective indicators and its particular opinion in this forum, I believe, frankly, that it has more objective quality than the information that results from an agency specialized and recognized in the international field in this area. Well, on the content of the bill, on the content of the amendments recorded by the parliamentary groups, we could talk long and wide. We could be doing so right now in committee if three amendments to the whole of the bill had not been tabled during the election period, which objectively impeded the passage of the bill. I understand that you can try to convince me that everything was random, but, look, this bill was passed by the government on 16 September last year, it was registered in the House on 6 October last year; I myself appeared in committee, in the committee responsible, to discuss the case on 26 November, and I was almost three hours away from the contents of the bill. By the way, you weren't on that committee. Yeah, yeah, I'd see her, but she wasn't there to express her views, her discrepancies, such... The rest of the parliamentary groups were there. There were not many contributions, frankly (I invite you to review that), no positions were set, no one marked red lines, no one said "I think this is insurmountable and I radically disagree on this"... I offered to continue to dialogue and maintain contacts with all parliamentary groups regarding the contents of the law, and to listen to their contributions, because my approach was frankly open in that position. The period for tabling amendments was opened in December. The deadlines for tabling amendments were repeated successively, until, suddenly, on 23 and 24 March, we find ourselves with three amendments to the whole, after several months of incommunicado, that the parliamentary groups did not attend at all to the invitation of the Government to make their contributions, their allegations, express their views... Three amendments to the whole – see what I am going to tell you – the week before Holy Week, the three amendments to the whole, and with the intention that the whole plenary would be held the week immediately after Easter, when everyone knows that this Parliament has a very intense activity both in Holy Week and in Easter week. The advance to Holy Week is presented the three amendments in their entirety, with the intention of discussing them in the week immediately following Easter. Finally, the framework for successful negotiations and talks to address the substance of the matter was very broad. Today we could be discussing these issues in committee, but the amendments to the whole presented in those circumstances prevented it. I would have liked to go into depth on these issues, because I have my points of view, and I could defend the contents of the law and I could accept many of the contents that are contained in the amendments. On the amendments, which you say were similar to each other... A little less. Look, there were parliamentary groups in which the mismatch between the content of the amendment to the whole and the content of the partial amendments was radical. It was noted, it was too clear that they were working on a line with the partial amendments, and suddenly they found that they had to register one in full, and the whole had nothing to do with what the partials collected. This was evident in some cases. Therefore, the homogeneity you attach to the three amendments as a whole will not be so much, it was not so much. In any case, there was some aspect shared by the three of us. For example, the idea that, instead of a law, the content of the draft should be separated into two bills. All right, because I have no problem, it is a technical legislative formula. We were told: "Let the Spanish model be imposed, that in Spain there is a law for organization and operation, and another for transparency". In Spain it makes sense, because the Lofage, the Law on the Organization and Functioning of the General Administration of the State, is from the 1990s, and when we reach the 21st century we need a complementary law that talks about transparency and participation, which did not exist. Here, as there is no Lofage, as there is no Lofage, the logical thing was to integrate everything into the same legal norm, to integrate it into the same articulated, to facilitate things for the purposes of transparency, so that the legal operator had much more clarity by operating with a single legal norm. That you operated on the Spanish model had logic; that the Socialist Party did it also had logic; that EH Bildu said that the Spanish model was yours was stranger, it was a little weirder, but, finally, these things do exist in common. In any case, you ask about what we're going to do. Look, I actually promised that I would work on two articulated texts, as the House asked me (the Spanish model, which also enters Basque), we are working, but you know that, in the end, the procedure for drawing up general provisions is long, it is complicated. We are on it, as Aznar would say, we are working on it, and I can assure you that in a few months we will be in a position of power...
ParlaMint-ES-PV_2015-05-29.u50	Thank you, Mr. Erkorek. Mr. Maneiro, your word is yours.
ParlaMint-ES-PV_2015-05-29.u51	It makes me laugh, Mr. Erkoreka. Let us see, as regards the large-scale reproach that characterizes UPyD's control of the government, I have explained to him what kind of law we wanted, because I say that two years ago we defended an initiative for this government to present as soon as possible a transparency law that would make it feasible and implement and respect a number of very advanced principles. That is to say, we have already defended it in this Parliament. And I've made a comparison of what UPyD wanted, what kind of law it wanted, what kind of transparency law it wanted, and what kind of law we were brought into this Parliament. This is what I did in my first intervention. You call it a "large-calibre mirror," and I think it's been a fairly adjusted, measured, and reasonable intervention. But the curious thing is that you accuse the rest of the political parties of blocking the action of the government, or of preventing us from having today a law of public administration that we could be debating already. And the maximum responsibility for whether or not we have a law of transparency or a law of public administration lies with the Government. It's government. So, don't try to look guilty. If you are in a minority, in the end, you will have to look for agreements with the rest of the political parties, I suppose, in order to try to get certain laws to move forward. Yesterday, a member of parliament of the Basque Nationalist Party contacted a server to discuss the law of addictions. That's fine with me. Actually, that's the way it has to be. But it turns out that in a matter as fundamental as this, in a law as important as this, the law of public administration, it turns out that no one comes into contact with UPyD; that we are one, yes, but that could be fundamental in that debate, because three amendments were tabled in all: we were 38 parliamentarians versus 37. Therefore, it is possible that the UPyD vote could be key, and yet no effort was made to dialogue or negotiate with UPyD. Not one, not one call, no approach. And also, from what the rest of the groups have said, similar thing, very similar thing happened with those parliamentary groups. From what was said, the Government did not dialogue with either EH Bildu or the Socialist Group. You'll know why! They're accusing us of electoralism. On the part of UPyD there was no calculation. And finally, he points out that you showed up a few months ago... Finally, these are the usual parliamentary deadlines; time extensions are called for so that parliamentary groups can continue to study the different laws in detail, and the amendments are then presented. That is what each of the parliamentary groups did: in order to study the law well, to be able to present the best possible amendments, extensions of deadlines are presented. But this can't be an excuse, it's very ugly, it's a very cheap excuse. The responsibility lies with the Government. We didn't do any kind of electoralism. We have studied the law thoroughly, and we consider it to be a clearly improveable law. We tabled the amendment in its entirety, but we were hoping for a call from the Government to talk about management. And since you said at that press conference that you were willing to accept three hundred partial amendments from the different groups, man, it would have been normal for the Government to explain to those parliamentary groups how many of those amendments were to be accepted, because in that case perhaps the amendments in their entirety could have been withdrawn! Therefore, I do not know whether it is electoralism, but in any case electoralism would be on the part of the Basque Nationalist Party and the Basque Government, to try to cast that image that the rest of the groups did not want a certain law to be passed. I think it is rather that what the Basque Government does not want is for a law of transparency, a law of demanding transparency, a law of transparency that makes it possible to know the fate of up to the last euro of public money, which is what we propose. And, of course, if you review what principles we defend, of course in that law that you presented were not fulfilled at all. It was too far away. Therefore, what you have to do as soon as possible is to present a law that incorporates those principles, and, of course, if it is a law of differentiated transparency, much better. And as soon as possible, because it is a supposedly star law of the Basque Government, which, however, you have not been able to take forward because of your inability. Because of his inability, not because of ours. Thank you very much.
ParlaMint-ES-PV_2015-05-29.u52	Thank you, Mr. Maniro. Mr. Erkorek, your word is yours.
ParlaMint-ES-PV_2015-05-29.u53	Thank you, Mr. President. Mr Maneiro, I agree with you that, look, the past is, and what matters from now on is facing the future. What is of interest at this time is to clarify, to the extent that this is possible, what steps the Government is going to take in relation to the House to make it possible for Basque citizenship to enjoy two legal rules – now it would no longer be one – that will articulate, in a systematic way – something that has not happened to date – the organisation of the public sector of the Autonomous Community and the transparency regime applicable in the administrative field in Euskadi. The previous thing... Well, indeed, as you have done a retrospective reading that has occupied 60% of your speech, I have inevitably had to contribute my own reading. Surely the things that happen during the election campaign are coincidences, they are coincidences; my experience in politics leads me to conclude that this is not usually the case, that nothing happens by chance during the election period. But, I insist, this is not an issue that needs to be addressed at this time. The Government, in fact, following the indications expressed in these amendments (not in the entirety, but in the partials of the House), is redrafting the text. Both initiatives are in a fairly advanced state of development. We have made an effort to integrate many partial amendments, not one, but all the parliamentary groups. Of course, they are not all incorporated into the text, because there are some amendments, however much you insist that there was a single approach to the approaches of the parliamentary groups... Look, there are parliamentary groups who consider that the text we referred to the House was unambitious from the point of view of the linguistic normalisation of the Basque language, and yet you defend the opposite. "Here, of Basque, let nothing be said," you say. Therefore, reconciling such contrary oppositions is a bit complicated, but we are making an important effort to incorporate the maximum number of amendments. However, the Government is working as fast as possible, but at the same time respecting – as it cannot be otherwise – the guidelines, rhythms and formal and procedural requirements imposed on it by a law that is in force, that of General Provisions, which was approved by this House. That law is therefore in force, and we must respect the guidelines set out there. As far as the substance of the matter is concerned, there is a difference between the moment when the parliamentary resolution to which you referred was adopted and the present moment. And it is that, in the meantime, the General Courts of the State passed a law in December 2013, a basic law that regulates, among other things, transparency and good governance, which is not detractable. And there, in that rule, regulated on a basic basis, many issues that, whether we like it or not, link us. Logically, the basic rule does not prevent the transparency thresholds set out in it from being exceeded in some autonomous communities or in other administrative areas. Doesn't stop it. But it is true that there are limitations. For example, with regard to those aspects in which transparency does not operate, which are bound to bind, which are bound by respect on the part of all the autonomous communities. For example, when the basic rule speaks of the inexorable respect for the protection of personal data, and says that transparency cannot penetrate personal data, because it is not data of citizenship, but rather data that operate in the hands of public registers but that belong to each citizen, these aspects must necessarily be respected. When it says that access to information by citizens can be limited when elements linked to public security, the investigation of crimes and so on are at stake, there are limits to be respected. Therefore, that rule is binding, and we have to take it as a reference I believe inexorably, and I do not believe that there is anyone in the House who imposes it. But with that limit – I insist – we are already working on the text, we are working as quickly as possible, because we are aware of the time it takes to complete the legislature, but at the same time, respecting the rhythms and guidelines imposed on us by the regime established for the elaboration of general provisions. I cannot give you a specific date (it would be irresponsible on my part) to set the time when the government will be able to refer these two projects to the House, but I insist that we are working very rigorously, very intensively, very quickly, and making an effort to incorporate as many amendments as possible, so that it will be easier later on to process the project here. Thank you very much.
ParlaMint-ES-PV_2015-05-29.u54	Thank you, Mr. Erkorek. Before we proceed, I must say that the thirteenth point has been left for another. The eighth point in the subject list: "To ask the President, a member of the American laws of Cristina Ruiz Bujedo Euscal Group, with regard to the English government of France at great speed." Mrs. Ruiz, your word is yours.
ParlaMint-ES-PV_2015-05-29.u55	Si, gracias, presidenta. Good morning, everyone. The strategic stake for the Atlantic railway connection has been and is, as was demonstrated at the last Aquitaine-Euskadi summit, a matter of transcendental importance to the Basque Government. You, Lehendakari, along with Mr Rousset, last month reaffirmed your commitment to join Euskadi and Aquitaine with the high-speed train. At the last annual meeting of the Euroregion, it again recognized the priority of this railway project for the two regions. At the same time, the work of the high-speed train in Euskadi continues to move forward, and the Government of Spain remains resolute in its plans and commitments, with investments, deadlines and paces that could only be put at risk if the political configuration of the Government of Spain and the Basque Government changed in the short and medium term. The conviction that the Lisbon-Madrid-Paris-Helsinki Corridor would be of the utmost interest is very internalised within the European Union as a medium-term continental vertebrate plan, but unfortunately threats are being posed in the form of retractors and speeches. The added value that the Basque Y would lose if the worst high-speed wishes were to thrive in France leads me to ask you, Mr Lehendakari, what are your efforts and those of your Government, beyond public statements recalling the priority of the high-speed rail connection with France.
ParlaMint-ES-PV_2015-05-29.u56	Thank you, Mrs. Ruiz. To answer, Madam Oregi, your word is yours.
ParlaMint-ES-PV_2015-05-29.u57	Good morning, Mr. President, President, chief of departments, members of the legislature. Yes, Mrs Ruiz, indeed, as you know, we are very busy in the execution of the Basque Y on the part of this government, and also in pushing, in all places where we have a voice, the rest of the sections, both those being carried out by the Spanish Government and those being carried out by the French Government and other governments within the framework of the European Union. To frame for a moment an issue that I believe is already known to all, we are before one of the nine corridors defined in the Regulation of the European Union, the European Parliament and the Council of 11 December 2013 on Union guidelines for the development of the Trans-European Transport Network. Again and again, Europe reminds us that this is one of the Union's nine key and strategic corridors. Already in 2013, in March, the lehendakari, our lehendakari Iñigo Urkullu, sent a letter to Rajoy insisting and making him see this need, this priority of this network, at a time when the Spanish Government was not putting the necessary means to continue, to arrive in time with its sections. President Rajoy replied on 19 April, ratifying the importance of the network and the importance of these sections, but without putting in place any of the mechanisms that were necessary at that time to have been able to arrive within a more correct time frame than those that will be. Fortunately, things have continued, we have continued to insist both on the Congress of Deputies and on bilateral meetings with the Spanish Government, and at this time it seems that the Spanish Government is carrying out the necessary procedures to implement that 2019 commitment that Minister Ana Pastor said. But, apart from that letter to Mr Rajoy, also in each of the meetings we have with the Euroregion, within the framework of the Euroregion, we always insist and there are always demonstrations in this direction, because the Basque Government and the Aquitaine Regional Council work together in the Euroregion, and we repeatedly call on the Spanish State and the French State to fulfil this European commitment to build and put into service the priority trans-European corridor. In addition to all this, as it is a European network and is a European priority network, we also work in the European Parliament. We worked in the European Parliament through our European Parliament, and between 18 and 20 March 2015 we had a visit from the European Parliament's Committee on Transport, with Mr Cramer at the head of the German Greens, where Mr Cramer also issued a warning from Europe to France to fulfil the commitment and to continue this Y. Thank you.
ParlaMint-ES-PV_2015-05-29.u58	Thank you, Mrs. Oregi. Mrs. Ruiz, your word is yours.
ParlaMint-ES-PV_2015-05-29.u59	Yes, thank you again, President. I was a little surprised by the answer, especially when my question was not malicious. What I really want to know is what steps are being taken, beyond public statements when the Euroregion and the Lehendakari Urkullu and Mr Rousset make statements of demand. I was specifically asking what steps you are taking. And he talks to me about the letter to Rajoy, and the doubt about the determination of the Spanish Government I think is more than just discarded. And I'm saying it makes me a little disappointed in the answer. And also a little stunned, because he has mixed the efforts of the government, and I was also asking specifically the efforts of Mr Lehendakari, and he tells me about his parliamentarian, who I understand is talking to me about Mrs Bilbao, and about the visit that took place here in the Basque Country. I think you're wrong about plans. What I have seen is that the French paron is becoming less important, and that I am seeing in statements, and the speech on VAD is being reworded, which could be summed up in a few words that were said, "It is good in itself." And I don't think this is the most important thing. In our view, to insist on that speech, I believe that the actions and efforts that Mr Lehendakari and his Government could undertake to really advance our strategic interests remain strong. I have rarely heard in this rostrum claiming so little as the Basque Government and simply talking about the efforts and parliamentary activity of the Nationalist Party both in the Congress of Deputies and in the European Parliament. That's why I think I do share with you that, no matter what happens in France...
ParlaMint-ES-PV_2015-05-29.u60	Thank you, Mrs. Ruiz. Time is up. Mrs. Oregi, your word is yours.
ParlaMint-ES-PV_2015-05-29.u61	Yes, indeed, the lehendakari has repeatedly asked the Spanish President, Rajoy, that the summits between the French and Spanish states where the Gasteiz-Dax railway connection is concerned should emphasize these issues. And again and again, in the meetings with the ambassador, the bilateral meetings he can have with the ambassador, with the French embassy, is also insistently reiterated, the lehendakari personally insistently reiterates this need and this reality. Thank you.
ParlaMint-ES-PV_2015-05-29.u62	Thank you, Mrs. Oregi. 9th point on the subject list: "I'm asking you, members of Carmello Barrio Barroja Populacal team for the president, the Civil Guard as a terrorist team "about the mistake on the Euskio website." Mr. Barrio, your word is yours.
ParlaMint-ES-PV_2015-05-29.u63	Good morning, all of you. Thank you, President. Lehendakari, counselors and counselors, good morning. Well, an error has led Lehendakaritza to have to rectify, apologize, for the consideration of a terrorist group that for a while has occurred in relation to the Civil Guard on the website of the Basque Government. Covite, the Basque association of victims of terrorism, realized, denounced that so brutal information, and made them move in the General Secretariat of Mr Fernández. This issue, an unfortunate mistake, could have been less than that of hostility and criticism on the part of the Department of the Interior, which deploys the Director of the Police and his maximum responsibility towards the State Security Forces and Bodies. It is a climate that exists, which also feeds on these tremendous mistakes. The Government is also being unable to focus on a normalized, realistic relationship with the groups of victims of terrorism, and mischiefs like this do not help that climate, that normalization. You, Lehendakari, are the head of the Department of Presidency, Lehendakaritza, and the activity of this website is attached, and in that sense I think it is necessary not only a press release on this issue – that there is nothing more to see the information on the Internet to realize the expectation that caused that error, on the other hand, and some statements by some affected groups, no doubt within the framework of the apology and recognition of the error – but I think it is true that it is good that the appropriate explanations are given here. And in that regard, we asked him if he considered that this incident should be resolved by debugging responsibilities for the damage caused. Thank you very much.
ParlaMint-ES-PV_2015-05-29.u64	Thank you, Mr. Barrio. In reply, Mr. President, your word is yours.
ParlaMint-ES-PV_2015-05-29.u65	Chief of Parliament, members of the legislature, chief officers, ladies and gentlemen, all good days. Leaving aside, Mr Barrio, the judgments of value which you, in the full reading of the justification of your question, have repeated in your speech, you yourself describe as an "unfortunate error" this incident, the origin of which is alien to the Basque Government, Mr Barrio, and you know it. Look, I literally read the note sent to the Director of Victims and Human Rights of the General Secretariat of Peace and Co-existence by the company responsible for updating the website. And the note sent literally says: "First of all, apologize for what happened. I'm totally overwhelmed by the situation. The error was due to a technical process in which we did not consider that the menu could be published. I only have to assume my responsibility and make myself at your disposal to give the relevant explanations to whoever requires them." This is the company's note to the Director of Victims and Human Rights. The Basque Government accepted the explanations and also the apologies presented, but we did more: we offered a direct and immediate explanation to the Ministry of the Interior, to Covite – whom you mentioned – and to other victims' associations. The Government issued a note recognizing the mistake made and publicly apologizing. The ministry and victim associations appreciated the immediate reaction and apologies, accepting that this was an involuntary error and that there was no intentionality. You yourself know this I'm answering, Mr. Barrio. It is clear, therefore, that this was an unfortunate mistake, as I also insist, you mention, and it is not induced, much less, by the Basque Government. The error was immediately corrected, recognized, explained and apologized. This, Mr Barrio, is to assume responsibility in proportion to the reality of this case, originating from a company outside the Basque Government. Thank you.
ParlaMint-ES-PV_2015-05-29.u66	Thank you, Mr. President. Mr. Barrio, your word is yours.
ParlaMint-ES-PV_2015-05-29.u67	Thank you, President. Yes, I have to thank Mr Lehendakari, of course, for the recognition of the error, and for the appreciation that that happened and that we had to apologize. It is a pity, the truth that it is a pity that many times the Civil Guard, instead of recognitions, instead of thanks for its work, is found as it is, in criticisms, in insults and in mistakes. That's a shame, of course. Well, the government... I also spoke to Mr Fernández when what happened happened, and he already gave the explanations, but I think it was good for you to appear in Parliament and acknowledge that mistake. And I understand that he undertakes that all measures will be taken and that sufficient instructions have been given to the company so that these issues on such sensitive and committed issues will not occur again. Because it's not fair, not even by mistake, it's not fair that treatment, which is sometimes repeated. That is, the truth is that I liked one thing: after the incident, the Unified Association of the Civil Guard, after knowing what happened, moved the Executive of Urkullu to hold an act of recognition that deserves the very important work of the Civil Guard in the Basque Country. Let's face it, they've lost their lives, our floods...
ParlaMint-ES-PV_2015-05-29.u68	Thank you, Mr. Barrio. Thank you.
ParlaMint-ES-PV_2015-05-29.u69	Thank you very much.
ParlaMint-ES-PV_2015-05-29.u70	Mr. President, your word is yours.
ParlaMint-ES-PV_2015-05-29.u71	Mr. Barrio, I would appreciate it if you would not mix the criticisms that we can make of the management of the Ministry of Interior, and in the relationship with the Department of Security, introducing in this criticism the Civil Guard as a force and body of State security. State security force and body that, along with the rest of the state security forces and bodies – I invite you to look at the hemerotec also what are the decisions of the Basque Parliament – has had its recognition and pronouncements of the Basque Parliament itself, recognitions in which I myself have participated. I keep insisting, after the company's recognition of the error, that we are facing a new time, and that we should be all groups in the line of collaboration. I cannot understand that you continue to want to mix, when there has been a clear answer from the company, which you yourself have recognized as an unfortunate mistake and which you have set out in the justification of your question, that we continue in what may be intentionality, in what I understand to be value judgments, also mixing what is respect for the victims of terrorism. I insist that Covite, like other victim associations, was also given the relevant explanations, and so they were accepted. I believe that we are, I insist, in a new time, that it is worth working for a project to foster understanding and strengthen coexistence in Euskadi. It will therefore not be possible for this Government to accept what may be an intentionality in a mistake recognised by the company itself, which, I insist, is willing to explain to the person who requires it. Thank you.
ParlaMint-ES-PV_2015-05-29.u72	Thank you, Mr. President. The tenth point in the subject list: "The question is that Gorka Maniero Labay's Mistto-the member of the U.S.UPyD team has made for the president, who collects terrorist's biktime data in the "online" of the President's Web page in the middle of the terrorist team. " Mr. Maneiro, your word is yours.
