ParlaMint-NO_2001-01-31.ana.ud1670e27	It summons the alternate of the Nord-Trøndelag County, Astri Wessel, has a teke seat.
ParlaMint-NO_2001-01-31.ana.ud1670e471	The government wants to come back to this whole problem complex and discuss it with Stortinget. But it is such that the Storting has given its support to what is governed in Statkraft's strategy, which is based on Statkraft being active and buying part of the Norwegian hydroelectric power plants that are for sale. Otherwise, I think it's a little important when discussing this issue, that a mental pretence is that Norway in the energy context no longer exists, so that Statekraft no longer operates in a Norwegian market, but in a Nordic and northern European market, and of course, there is so that Statekraft – even if they get to carry out all the ambitions they have – will be a small company. While I support the strategy of the Swedish Government and want them to develop further, I also believe it is important to take care of other Norwegian energy companies, regional companies. There should therefore be no contradiction between investing in the regional companies that have built up and allowing Statkraft to invest more capital and thus be able to participate in developments in the Norwegian market. What we know is that very many of those who currently own the power companies are municipalities that now want to sell out, and then I think it is important that there is also a Norwegian operator who has the possibility to participate on the purchase page. What we know is that a lot of the big power companies in Norway have large sacks of money that they want to use in Norway as well, and as a counter-power to that, I think that Statkraft must also have the opportunity to participate in the restructuring of the industry.
ParlaMint-NO_2001-01-31.ana.ud1670e480	Government power has when the company's holdings in other companies in which they have decisive influence are included, a share of nearly 40 p.m. of Norwegian power generation. Normally, the limit is set when the competition authorities intervene in relation to a dominant operator. In the EU, both in relation to Spain and in relation to Germany, a limit has been set on how much an operator can become and on how much sales are required. So now Statkraft is going to spend billions expanding. Isn't the Council of State concerned that such a dominant player expands in this way when the consequence can be that one is left without other Norwegian actors who have the strength and strength to compete to take over the other companies that have to come for sale? Because that's exactly what the state council says he wants, namely several Norwegian players, but what's happening now is that State power is becoming so dominant that others lose the opportunity to participate in the competition.
ParlaMint-NO_2001-01-31.ana.ud1670e487	Here I'm probably a little bit confused in the reality of Kvassheim, but this still allows us to come back to the matter that is being presented by the Government with the first. But it's like comparing Norway with other countries in northern Europe, we have a lot of energy companies, and they're small. In Sweden, e.g. has the largest energy company over 50 pst. of the market, while in Norway, as we see it today, Statkraft has a place between 20 pst. and 25 pst. But in any case, it is obvious that the competition authorities will decide on all the purchases in question, as we have done up to now. So there are authorities in Norway to control that situation. But I think once again we have to do the intellectual exercise that Norway no longer exists, so what we're discussing is whether Norway should have a big company in the North European market or we shouldn't.
ParlaMint-NO_2001-01-31.ana.ud1670e496	There will be follow-up questions – Lars Sponheim.
ParlaMint-NO_2001-01-31.ana.ud1670e499	I'm going to continue the intellectual exercise, I'm going to say that Norway also exists in power context, and that it's important to see the huge structural changes we're now facing. There are enormous tens of billions of shares of power in Norway that come for sale in the next few years, and it is important for the Council of State and for the whole of the State and have a mindset and a policy on how to ensure that as much as possible of this becomes Norwegian owned, while ensuring that it does not become one completely dominant owner, because with that dynamics – and that is good – as we now see in Norwegian power generation, it is important that there are competing providers here. My question is: when the Council of State is now going to invite the Stortinget to discuss this, as he expressed himself, does he think about being concrete about how he can contribute instruments to ensure that some of the Norwegian regional units can become real competitors of Statkraft, where Statkraft is now growing at quite fast pace? And I have to say that 20-25 pst. must be the direct ownership of Statkraft, because they own a lot in many other companies as well, which makes them closer to 40 p.p., which is an important amount in terms of competition.
ParlaMint-NO_2001-01-31.ana.ud1670e506	Of course, we have to have a fix on all of these questions, but it's a little important to make it clear that it's the ones that own these companies today, who decide if they want to sell them, and who decides who they want to sell to. And so there are different ways to do this. It's not necessarily the case that one needs to sell for larger units. Local authorities can contribute to mergers and thus participate in and build regional companies. We've seen an example of that. Of course, it's so that we can look at the framework conditions. But if there's capital the issue of debt, I'm a little unsure whether it's going to be right for the government to help regional companies afford to buy up, for example. It's a mine. In any case, we want the Storting to be able to discuss all of these questions, because there are huge changes in the future, and it's important that the Storing has a hold on these questions.
ParlaMint-NO_2001-01-31.ana.ud1670e516	Jan Tore Sanner – for follow-up questions.
ParlaMint-NO_2001-01-31.ana.ud1670e519	It's a very important thing Left travels today linked to State Power. We are experiencing a state monopoly in the power sector. It's very unfortunate, and it'll also help that the price and the values will fall when there's only one buyer, as we've experienced in too many cases. The Council of State wants to do an ‘intellectual exercise’. Let me challenge him on one more, the clear parallel between Statoil's development and Statkraft's development. Both companies started out as political tools, later developed into more commercial companies and now operate both in an international market. Now we're doing a partial privatization of Statoil. Does not the Council of State not see that the same developments will force State power, both in order for State power to enter the market and collect money and not only put the suction pipe down into the state treasury, but also in order for the company to have the necessary freedom of action in an international market?
ParlaMint-NO_2001-01-31.ana.ud1670e526	I see parallels, but I also see differences. For the Workers' Party, it's very important that it's the public that takes care of the natural resource that the water force is. We want to participate in it differently. So now we see that those who are taking care of public ownership today, the municipalities, want to sell out. We thought it was natural for another public actor to be able to buy some of the parts that are for sale. So that's what we want to do. Otherwise, Statkraft has been discussed in different contexts here in the hall. For example, in the context of last year's budget, the Stortingen decided to convert loans into equity so that State power could be involved in the restructuring that is taking place. That's what we want to do now, and we want to put that matter before the Storting with the first.
ParlaMint-NO_2001-01-31.ana.ud1670e533	Then we go to the last main question.
ParlaMint-NO_2001-01-31.ana.ud1670e536	I will ask questions to the Minister for the Environment. Let me congratulate the Minister for the Environment as one of the most creative state councils in the government in order to request fees and unreasonable proposals. What I am thinking of here is the earlier plans of the Council of State to impose noise charges on car tires. Before Christmas, it was about imposing a charge on private parking spaces, which is an infringement of private property rights. And so the last thing was to forbid the building of cabins over 100 m2. This proposal has led to strong protests by a number of municipalities with cabin construction and tourism as a source of income. Why can't the Council of State let the municipalities decide their own areas?
ParlaMint-NO_2001-01-31.ana.ud1670e543	The debate on the area of cabins and my alleged proposal to help limit the ability of municipalities to decide this is due to a misunderstanding and a derailment of the debate I have wanted to travel. The challenge for us is that we build more and more cabins in this country. They confiscate large areas, and it is important for everyone responsible for planning to address the challenge of how to achieve good development in this area. I have wanted to participate in a debate on what local authorities can do and what central authorities can do. Later today, I get, among other things, the suspension of the Publicly Appointed Plan Law Committee, which has worked on how environmental considerations can be more closely addressed in planning. I see it absolutely as a task for the municipalities to continue to control the development of cabin construction. This should to a large extent be a local responsibility. But it must be a right priority for an Environment Minister to raise a debate on what we can do at national level, not least in terms of encouraging a sensible use of energy in the construction of cabins.
ParlaMint-NO_2001-01-31.ana.ud1670e552	I thank the Council of State for the answer. I realize that the Council of State has gradually moderated some of it in relation to what was the starting point, and that is to a great extent joyous. If the Minister for the Environment is serious about the so-called cabin proposal, in my view, there is more evidence of misunderstanding and envy than common sense. In many cases it is not just about cabins, but about investments made in the local environment to increase tourism and thus also the revenues of the municipalities that have facilitated it. Why can't people be allowed to invest and spend their money on measures that help to boost employment and also the economy in the districts, which the municipalities themselves want?
ParlaMint-NO_2001-01-31.ana.ud1670e559	The Minister for the Environment has not proposed any land restriction on cabins. On the contrary, many municipalities have proposed such an instrument – and why do municipalities do it? They do because they see it as an important tool precisely to get a desired development in cab construction, so that we can take care of the good cabin culture that we have in Norway. Some of the mountain communities may think that they will not get into the situation of the Oslofjord area and large parts of the Southland, where we have built too many cabins in areas that later turn out to be difficult for the public. Cabin construction will remain largely a local responsibility and there will be great opportunities for district municipalities to use it as an instrument for economic development in their own areas. That's the way it should be. But we have major environmental challenges in this area that also need to be addressed, as many municipalities have seen, and which I still think we will have a debate on.
ParlaMint-NO_2001-01-31.ana.ud1670e564	The time for the oral question time is now over, and we're going to go to the ordinary question hour.
ParlaMint-NO_2001-01-31.ana.ud1670e569	There will be a lot of changes in the set question list, and the President will show you in the context of the list that has been distributed in his or her seats in the room. The President proposed that the proposed changes in today's Question Time be approved. The President sees it as a matter of fact. The changes were as follows: Question 1, from the representative Inger Stolt-Nielsen to the Prime Minister, will be answered by the Minister for the Environment. Question 6, from the representative Arne Lyngstad to the Minister for Labour and Administration, will be drawn up by the representative Astri Wessel. Question 7, from the representative of Mr Hedstrom to the Minister for Finance, will be answered by the Minister for Labour and Administration on behalf of the Minister for Finance, who has been removed. Question 9, from the representative Einar Olav Skogholt to the Minister for Health, falls away when the questioner is not present. Question 13, from the representative of Magnhild Meltveit Kleppa to the Minister for Fisheries, will be answered by the Minister for the Environment on behalf of the Minister for Fisheries, who has been removed. Question 14, from the representative Morten Lund to the Minister for Fisheries, will be answered by the Minister for the Environment on behalf of the Minister for Fisheries, who has been removed. The question will be raised by the representative of Tor Nymo. Question 17, from Hallgeir H. Langeland to the Minister for the Environment, will be answered by the Minister for Development as appropriate. Question 18, from the representative Karin Andersen to the Minister for the Environment, will be answered by the Minister for Foreign Affairs as the appropriate representative. Following a request from the Minister for Foreign Affairs, this question is moved to Question 2 to be answered by the Minister for Foreign Affairs. Question 19, from Mr Ågot Valle to the Minister for Agriculture, will be answered by the Minister for Justice on behalf of the Minister for Agriculture, who has been removed. Question 22, from the representative, Mr Hernæs, to the Minister of Justice, falls because the questioner is not present. Question 26, from the representative Randi Karlstrøm to the Minister for Oil and Energy, will be answered by the Minister for the Environment as appropriate. Following a request from the Minister for the Environment, this question is moved to Question 16 to be answered by the same Council of State. The question will be raised by the representative of Kari Økland.
ParlaMint-NO_2001-01-31.ana.ud1670e601	This question, from Inger Stolt-Nielsen to the Prime Minister, will be answered by the Minister for the Environment.
ParlaMint-NO_2001-01-31.ana.ud1670e604	‘I assume that the Prime Minister, like the rest of the country’s population, is concerned about recent information that radioactive waste is to be transported on ships along our long-range and exposed coasts. This can lead to threats to the environment, which we have just feared from Kola, at the shipshavari near the Norwegian coast, creating national crisis conditions. Does the Prime Minister worry that initiatives to ensure better coastal preparedness have come a little late?’
ParlaMint-NO_2001-01-31.ana.ud1670e611	It is clear that the Russian plans, as they have been made, to transport radioactive waste along our coast give cause for concern. In view of Russia’s major problems with the treatment of its own nuclear waste, imports of such waste do not appear to be a sustainable solution. The shipment of nuclear waste along our coast represents a risk of radioactive contamination that cannot be accepted. We are now in the process of identifying the actual conditions of these plans. The issue was addressed at the political level with Russian environmental protection authorities at a meeting in Moscow yesterday. In any case, the government will try to prevent imports of nuclear waste into Russia which may affect Norwegian territories and interests. At the same time, we will look at whether existing alert agreements with Russia should be extended to cover, inter alia, the transport of goods. nuclear waste. After the “Cursk” accident last autumn, the Prime Minister had a meeting with the Russian Prime Minister Kasianov. They agreed on mutual commitments on warning and assistance in the event of serious incidents. This was reflected in the political documents of the meeting, and a further follow-up to that agreement is now being carried out. From before, there is also an agreement on warning of tow and other special transports from Murmansk along our coast. The recent shipowners have led the Government to consider a number of current measures to improve coastal safety and preparedness. This will include, in particular, preventive measures such as: better monitoring and alerting increased use of so-called fairway measures, such as labelling and required navigational leaders, better navigational charts extension of territorial waters from 4 to 12 nautical miles, to which the Minister of Foreign Affairs comes back in a question later in this Questionnaire In terms of preparedness for acute pollution, we will look at how the country's overall resource use can be improved, so that we get the most operational and effective preparedness. The government will come back to the Storing with proposals in these areas. In my opinion, there is no basis for saying that these initiatives are too late in relation to the possible transport of nuclear waste along the coast. We are following up the matter with the Russian authorities, while implementing a number of measures to improve our coastal preparedness.
ParlaMint-NO_2001-01-31.ana.ud1670e639	As the Council of State knows, a number of questions have been raised during the last few weeks related to coastal preparedness and the ability to monitor off-shore traffic and early warning by the relevant authorities. The size is well known that the Government intends to present a government note with proposals for action. I hope that the Government understands that the opposition is concerned about the shortcomings that have been revealed in recent times, and that proposals that only describe the need for further investigations and the establishment of selection and presentation in future budgets are not satisfactory compared to the present situation. Because that's now action is required. The last two budget proposals and defence opinions indicate that something must have been planned or investigated in order to meet the need for improved coastal preparedness at an earlier stage. Can the Minister provide a detailed description of what will contribute to better coordination of monitoring resources according to the propositions?
ParlaMint-NO_2001-01-31.ana.ud1670e649	The government has also answered a number of questions in recent Question Time related to our efforts to improve preparedness. We want to strengthen prevention, surveillance and coastal preparedness. I assume that the representative, Mr Stolt-Nielsen, agrees that this will require budgetary follow-up. Of course, it also requires proposals, which we will come up with. One very concrete proposal I would like to address is how we are going to use the radar data of defence more strongly in civil protection as an important element of prevention. Another is better marking of the master of the navigation. And a third is the actual preparedness, where we have just received concrete proposals from the State Pollution Control Agency on how to make better use of the equipment we have, the need for better training of crews to be prepared, and also more exercises.
ParlaMint-NO_2001-01-31.ana.ud1670e656	I must be allowed to ask the Council of State when she can expect these proposals to be realised. We have heard of proposals that we have heard that there are plans. However, it is not materialised in concrete measures. These are all new investigations, new plans, proposals. But the proposals are not coming. And while we've seen this crisis situation that we've got on the coast, we fear what can happen when we get this deadly nuclear transport along our coast. So when can we expect an overall commitment that will come concrete and be undertaken within a certain time?
ParlaMint-NO_2001-01-31.ana.ud1670e666	First of all, I would like to say that the last two accidents we've seen along our coast, both the accident of «Green Ålesund» outside of Haugesund and later the accident of «John R» in North Norway, have shown that we have a good preparedness. It worked when we needed it. Nevertheless, there will be a need for strengthening, and the proposals we have addressed will be implemented immediately, many of them, linked to monitoring and related to prevention. But we also need to go through concrete ways of strengthening preparedness, and these are proposals that will be expressed beyond this year and will have a budgetary follow-up in the next budget.
ParlaMint-NO_2001-01-31.ana.ud1670e674	I would like to ask the Minister for Foreign Affairs the following questions: ‘The Leknes Pilot Terminal has been costed 11 million. I was done 4 years ago. According to the Evening Item on 22 January 2001, the facility is now closed for landing fish from third countries because EU inspectors are not satisfied with their work on the site. According to ESA's plans, the installation is to be inspected every five years. Due to the closure, Russian trawlers are now landing their catches in EU countries. Does the Minister for Foreign Affairs understand that this decision is unreasonable and will he take the initiative to resolve the matter?’
ParlaMint-NO_2001-01-31.ana.ud1670e683	I agree with the representative, Mr Enoksen, that such a case is presented in the article in the evening post, it seems unreasonable. Norway has agreed to introduce strict EU controls on fish and fish products from outside the EEA area in order to ensure safe sea food. We have thus achieved that no veterinary border controls are carried out on the export of Norwegian seafood to the EU. Norwegian marine nutrition thus avoids delaying procedures and detours. The inspectors of the Director of Fisheries shall carry out veterinary border checks on all batches of fish imported from third countries. The EFTA Surveillance Authority – ESA – has accepted that such fish should continue to be delivered directly to Norwegian fishing establishments, if the establishment itself holds a so-called control centre that complies with EEA requirements. In order to approve such a control centre, certain premises and facilities shall be provided for the inspectors of the Directorate of Fisheries. The EEA rules for such control centres have not yet been clarified. As a result, ESA initially practiced the requirements less strictly in Norway than the EU control body did in the EU. If the legislation is not practised in the same way in the EFTA/EEA countries as in the EU, we could risk the EU reintroducing veterinary border controls against Norway. It appears that ESA has strengthened the requirements in order to avoid discrimination between different countries in the EEA territory. It is not appropriate for Norway to require less stringent veterinary checks than in other EEA countries. This could raise concerns about food safety and thereby damage the Norwegian seafood industry. Following an ESA inspection in February last year, ESA concluded that eight control centres of Norwegian seafood establishments had to be closed. The Norwegian authorities opposed the closure of three of these because it was considered that ESA had not provided sufficient professional reasons for closure. However, for the control centre of the Lofot Terminal, a number of specific deficiencies were identified in the ESA report, so that Norwegian authorities could hardly argue against the closure of this centre. From the turn of the year, the Directorate of Fisheries was given the other authority to approve some control centres on its own. This could reduce the period of approval, inter alia: in the case of the lofot terminal, when the conditions of this control centre are restored.
ParlaMint-NO_2001-01-31.ana.ud1670e700	I record that the Minister of Foreign Affairs has doubts about the production in the evening post. I agree with the Minister for Foreign Affairs that of course there is no requirement for a less stringent veterinary border control in Norway than in other EEA/EFTA countries. It should be lacking – it would raise doubts as to whether Norwegian products meet targets. But it's not just from Lofoten that kind of messages have come in. After I raised this question, there have been enquiries from several parts of the country where the same problem has been encountered, among others. from Averøy, where it is claimed that the inspectors were most concerned with the size of the wardrobe and office doors, and not with the physical premises. Similarly, compared with the Lofot terminal, it was claimed that there was a dissatisfaction with office and shower facilities for EU inspectors, who are therefore to be visited every five years. If this is the case, and if also the messages that have come from e.g. Averøy, keep going, I have to say that it is completely unreasonable that you should make that kind of demands for terminals.
ParlaMint-NO_2001-01-31.ana.ud1670e705	I do not know all of the cases that Enoxsen now mentioned. What I can say is that it wasn't just a shower for women, but it was listed six points after the inspection at the Lofot terminal. I have to say that it has to be better now to do something about the six points than to make a big procedure out of it with the danger that we get other problems compared to ESA. This list of six points should not be so very difficult to get fixed.
ParlaMint-NO_2001-01-31.ana.ud1670e710	From my point of view, I would like to maintain that what has emerged here is splinters. What must be important is to have legislation that ensures product quality in a satisfactory way, and that no Norwegian authorities accept that a level of detail would almost make it impossible to obtain approval of Norwegian production facilities and Norwegian plants, as it may seem that there are problems here. My final question will therefore be: Will the Minister for Foreign Affairs follow this question closely to ensure that we have a regulatory framework that can be observed by Norwegian operators in the industry?
ParlaMint-NO_2001-01-31.ana.ud1670e715	We have done so, as we have not accepted three of the complaints that came. But when you take up the Lofot terminal in concrete terms, you should go into these points. And it's not just tile nailing -- one of the points was, for example, that there was only storage room for frozen goods and not other goods. It is very important that you have proper storage space for the goods that you have to check. Since Enoxen has been very concerned with food security, I assume that it also applies to fish, and not just agricultural products. So we haven't found that you could go into this particular case that Enoxen has done, but in other circumstances, we've thought it's been tile nailing.
ParlaMint-NO_2001-01-31.ana.ud1670e720	We go to question 18.
ParlaMint-NO_2001-01-31.ana.ud1670e726	This question, from Karin Andersen to the Minister for the Environment, will be answered by the Minister for Foreign Affairs as the appropriate representative.
ParlaMint-NO_2001-01-31.ana.ud1670e729	‘The Minister for Protection of the Environment stated in regular Question Time on 24 January 2001 that the Government has decided to consider the issue of an extension of the territorial border in order to improve coastal safety. Could the Council of State provide a description of the new possibilities which this provides for intervention in relation to today vis-à-vis ships using their right to free passage in the territorial waters under applicable international law?’»
ParlaMint-NO_2001-01-31.ana.ud1670e736	In the investigations carried out so far, the extension of the Norwegian territorial waters from four to twelve nautical miles in particular could have an impact on the environment and safety of the sea. The environmental protection measures currently provided for in territorial waters — in the context of the right to ‘innocent transit’ — could then be enforced in a wider area, further off the coast. Enlargement will also provide better opportunities for the control of foreign ships and for the application of Norwegian legislation in efforts to preserve the marine environment and to prevent pollution. The opening of Norwegian sovereignty in a geographically larger area also improves the possibility of intervention earlier in the event of a breach of Norwegian law. Possibility of enforcement against foreign ships — including in the area between four and twelve nautical miles — will include: could be an advantage where there are serious grounds for suspecting that a ship in the territorial waters has carried out illegal discharges, such as: of oil. In such cases, a territorial waters of only four nautical miles would mean that the ship could quickly be located outside the Norwegian jurisdiction area, which in practice often means that the Norwegian authorities have been prevented from intervening. Furthermore, the right of innocent passage does not prevent the establishment of required navigational and traffic separation systems in the territorial waters, whether four or twelve nautical miles. An extension opens the way for the introduction of required navigational conductors to 12 nautical miles from the coast of ships presenting a potential pollution hazard. Under international law, tankers, nuclear-powered ships and ships loaded with nuclear or other substances which are inherently dangerous or harmful may be required to limit their passage to such masters. Let me, however, stress that an extension of the territorial sea from four to twelve nautical miles in itself will not solve all problems. The substance will continue to be the content of the legislation which may be applicable to shipping. A review of the enlargement issue therefore requires a review and is likely to update the legislation in accordance with international standards.
ParlaMint-NO_2001-01-31.ana.ud1670e749	I thank you for your answer. The Minister for Foreign Affairs stresses the need to be able to intervene early and to be able to enforce legislation. This assumes that you have an up-to-date device to intervene with. It doesn't help to expand the limit if you're not up-to-date in that area. Then there is a need for more effective coastal surveillance than what we have today. I would therefore like to ask, as there has been some confusion about this, the Council of State who has an overview and responsibility for the fact that coastal surveillance capacity is in place and how this is to be coordinated.
ParlaMint-NO_2001-01-31.ana.ud1670e756	Now this question went over to the question of something quite different than what the question originally did. The question to me is about the territorial waters. That's what I'm dealing with, and I've answered what positive sides an extension of it might have. But in terms of total preparedness, of course, the government has an overall overview of it. In addition, the Minister for the Environment replied to this in a previous question. The government is now looking at how the total resources of the state can be used even better, so that we get the most operational and effective preparedness. I also refer to what the Minister for the Environment said, that we also have a reasonable operational and effective preparedness, but it can, of course, be improved, also in the context of an extension of the territorial waters and possibly with new Norwegian legislation adapted to international standards.
ParlaMint-NO_2001-01-31.ana.ud1670e763	I think it must be fairly clear from the questions that have been raised today that this is about the safety of our coastal areas, and that that is the main point of the question. That the Government has chosen to send the Minister of Foreign Affairs to answer the question, I have to take note, but there is a need for the Storting to clarify who is responsible, and that the capacity is in place, which has been the important thing here. Then I get to ask the Minister for Foreign Affairs another question. In his reply, he points out that we should have required sailing managers and e.g. traffic separation. Then I have to ask the Minister for Foreign Affairs: what is the reason why this has not been necessary before? For you have seen the picture that shipping is increasing, and that transport has become more and more risky. What is the reason why you have waited so long to address this important question?
ParlaMint-NO_2001-01-31.ana.ud1670e770	The majority is probably aware that it is the Foreign Minister who is dealing with the issue of the extension of Norwegian territorial waters. That's why I'm here to answer that. As for the question that now came, I should not go into it too much, but you can ask the previous government why it has not been mentioned before. I find that there is now a need to take it up, and that's exactly what we're doing.
ParlaMint-NO_2001-01-31.ana.ud1670e777	Then we go back to question 3.
ParlaMint-NO_2001-01-31.ana.ud1670e783	I have the following questions for the Minister of Defence: ‘The Minister of Defence has informed Stortinget that the coastal radar chain contributes to the overall maritime surveillance in order to allow defence commands to form a picture of the activity, giving priority to the presence of vessels as necessary. We have now been informed that because of the change, the defence must now concentrate its investment on its core areas. Is it so to understand that monitoring our sea areas is not to be regarded as a core task of defence?’
ParlaMint-NO_2001-01-31.ana.ud1670e792	Coastal surveillance is and will remain a central task for the Defense. The monitoring of our very large maritime areas of interest is very demanding. To this end, the Defense uses considerable resources. The presence of ships from all over the Navy is an important factor in this context. Air defence maritime patrol aircraft, helicopters onboard coastguard vessels and inlet aircraft for the Coast Guard also contribute significantly to providing an overview of the activity in our sea areas and along the coast. Furthermore, defence commands receive important information from radar installations and satellite images. In addition to these instruments, we have more passive surveillance through the Defence Coastal Surveillance System, COSS, such as the one in question. based on ship-based notifications and other self-reporting. In other words, the coaster is just one element in the surveillance. Together, these sources contribute to the establishment by defence commands of an overview of the activities of the territorial sea and beyond and, on this basis, to the overall tasks of sovereignty and crisis management. As I said in my answer in Question Time on 17 January, the coastal radar chain in South Norway is approaching the end of its lifetime, while the northern chain is in a much better condition. It will therefore be necessary to assess the renewal of the radar systems. Coastals were established for a time with completely different security policy framework conditions. NATO has also contributed significantly to the financing of radars. In today’s security policy situation, the military operational need for this type of surveillance has been reduced. Investment in new coastal radar chains must, of course, be assessed against other operational needs and against the other elements which also contribute to the monitoring of marine areas, and how these could be better exploited. The defence’s ability to handle sovereignty and operate crisis management will in the future be at least as important as today. Good maritime surveillance and, not least, appropriate accident-related warning systems are now at the focus of the coordination work recently undertaken by the Minister for the Environment, and where several departments are now involved, which she also touched on in her answer to a question in the Questionnaire earlier today.
ParlaMint-NO_2001-01-31.ana.ud1670e805	I thank the Council of State for the answer. I understand from the Minister's reply that we can agree that maritime surveillance is an essential basis for the defence's execution of the mandate. Two weeks ago, the Minister of Defence was asked what was the cause of the diverging explanations from the Ministry of Defence and the Defence Command North Norway. The Minister then indicated that opinions given by a local war captain cannot be relied on. I would like to remind you that this local war captain gave these statements in an official maritime statement. On the same day, it also appears in the VG that the Defence Command system contains the same technical capacities as the Coastal Traffic Monitoring System. Is it so to understand that the Minister still disagrees with the Defence Command on what resources the Defence Command has available?
ParlaMint-NO_2001-01-31.ana.ud1670e812	No, I don't think so. At least I have no reason to say yes to it. What I answered was that the fact that a local officer in the defense says what he can use his capacity for, not necessarily means that he should use his capacity for it. He is subject to a command chain in the Defense that consists of that he himself does not describe his duties. It's up to others to decide. I take a certain reservation in the direction of saying that because the Maritime Defense has a lot of command and because the Coast Guard has a lot of command, they can be inserted right where the captain wants to put them in. They must be part of a system and, in this context, coastal surveillance must also find its place among the other tasks of maritime defence. Nothing of what he has said is wrong, but the description of the officers' duties overall in the defense is not left to the individual captain.
ParlaMint-NO_2001-01-31.ana.ud1670e817	I thank you again for the answer. Finally, I have a few short questions. What is the reason why, up to now, there have been wide-ranging answers to the questions raised about the defence’s ability to monitor traffic across the coast and to inform the relevant authorities as necessary? Could this be due to a misunderstanding of the concepts of traffic monitoring that fall under the responsibility of the Coastal Agency, and maritime surveillance or coastal surveillance that the Minister himself has stated is the responsibility of the Defence Department? Or is it only because of the concern that the defence will be assigned new tasks in an already needed economic situation? With regard to the situation in Kosovo, we have been informed through the media about the lack of preparedness related to the involvement of the defence in Kosovo. Is it in more than these two cases that the Storting has not been informed by anything other than the media?
ParlaMint-NO_2001-01-31.ana.ud1670e826	I do not fully understand what the representative means by the supplementary question. But, of course, there is a very broad need for coastal surveillance, how many departments and many agencies must contribute. Through the meetings I have had with state councils dealing with related areas, we have found no basis for any misunderstandings or misunderstandings. It's about better coordinating existing resources to get more out of it. Something more conflict and crisis than it is not. There are no crackdowns in this area, but there are issues about better coordination of resources based on the resources that we have. It's that simple. There's no mystery, there's nothing to clarify. It's about a spatula to make better use of the resources.
ParlaMint-NO_2001-01-31.ana.ud1670e834	My question goes to the Minister of Defence: ‘The defence has started working to identify the reason why many employees of Rødbergodden have been quickly and quickly affected by cancer. It is natural to leave behind those who have died of cancer, and others who have had connection to the foresight, feel anxiety and thus need information. How quickly and in what way will the Defence respond to the survivors and to those who have had their way through the foresight?’
ParlaMint-NO_2001-01-31.ana.ud1670e843	The information generated by the latent period of time is alarming, and the defense will do its utmost to bring the facts to the fore. I can assure you that the defense wants to get to the bottom of this case and do everything necessary to ensure a good and safe working environment in the future. The marine defense is now in the process of examining the specific matters at Rødbergodden and Meløyver. However, the effort to provide all the necessary data and quality assurance will take some time. It is in one case that this important to make sure that all relevant information is provided before any conclusions are drawn. It will also be necessary to draw on external and failed competences. The survivors will be informed of the work currently in progress. Maritime defence will also launch a major pilot project, consisting of a work environment monitoring, to provide sufficient data to elucidate any link between the working environment and disease. This study will not only focus on cancer, but will also address other health problems that marine defence employees may have experienced as a result of the service. Both the Cancer Register and the Occupational Medicine Department at the University of Bergen have agreed to participate in this work. What measures will then be taken depends on what the studies will reveal. Proposals on how to deal with the matter when the facts are clear are under ongoing review. I can therefore not now give a more specific answer as to what kind of follow-up might be relevant. However, there should be no doubt that the defence wants full transparency in the matter and that the personnel concerned will receive the necessary information when facts are available.
ParlaMint-NO_2001-01-31.ana.ud1670e859	I thank the Minister for a very positive response. There has been a great deal of interest in the local media and eventually in the national media for this matter, and I think the way the marine defence has handled it is very positive. I agree with the Minister of Defence that it is important to get the necessary information before drawing any conclusions on this matter. The survivors will be informed of the work currently being undertaken, and the Minister for Defence also says that the personnel concerned will be provided with the necessary information when facts are available. My question then is: Will they leave the same information as the personnel involved?
ParlaMint-NO_2001-01-31.ana.ud1670e866	Yes, I find that natural. I am pleased that the representative is satisfied with the answer so far. It's clear that a lot now lies in the further follow-up. I have good reason to believe that the Maritime Defense Agency, which also rightly complimented the representative for handling so far, together with the relevant professional bodies, medical and otherwise, has a serious work going on that will function as intended, so that we can best monitor this situation.
ParlaMint-NO_2001-01-31.ana.ud1670e871	With such a positive answer, I do not need to ask any more follow-up questions.
ParlaMint-NO_2001-01-31.ana.ud1670e879	I would like to ask the Minister of Labour and Administration the following questions: ‘In connection with the construction of the new Rikshospital, 15 million were used. crowns for artistic decoration. Unfortunately, several of the decorations were left in the old hospital. Why wasn't an estimated $200,000 of this sum used to move with these, thereby making better use of the money?'
