ParlaMint-NO_2001-03-21.ana.ud39e27	The called alternate of the Vest-Agder counties, Anne Berit Andersen, has taken the seat.
ParlaMint-NO_2001-03-21.ana.ud39e422	I would like to challenge the Prime Minister: SV has revealed that the oil fund invests our money, among other things. in landmine production. From 1999 to 2000, we have even tripled our investment in this company in Singapore. Norway was one of several countries that initiated an international ban on landmine production, and we also succeeded in obtaining an international agreement in 1997. Thank you! Then we experience that the Norwegian oil fund, which has no other policy than returns, invests money in this type of business. There's no other word in Norwegian than a shame that we're actually doing it. We are undermining Norwegian overall credibility and positions in this important international effort to enforce the ban on landmine production. My challenge to the Prime Minister is therefore very concrete and very understandable: will the Prime Minister ensure that the oil fund immediately withdraws the investment from this business in Singapore, so that at least we are not still in landmine production?
ParlaMint-NO_2001-03-21.ana.ud39e429	I've seen what SV has done. I have also seen that SV believes that we are going out of environmentally harmful businesses, that we are going out of arms production, that we are going out of businesses that invest in Burma, that we are going out of businesses that do not like other things like SV. There will be a quite extensive conversion of the guidelines for the petroleum fund. They've been evaluated several times in Stortinget. What we've done is put aside some funds to invest in environmentally friendly activities. Then we will gain experience of those investments before we possibly go further and impose further restrictions on investments with the petroleum fund. We also have to think about whether this is going to be the way to say no to, for example. investment in the production of weapons by the petroleum fund, but agree to investment in the production of weapons by the Folketry Fund or Norwegian pension insurance companies, which invest, for example, in the Nammo, Kongsberg group or other enterprises engaged in weapons production or other activities which we do not like.
ParlaMint-NO_2001-03-21.ana.ud39e434	It is quite incredible to hear a Social Democratic Prime Minister stand and defend investments in landmine production. He hasn't done his homework. We haven't talked about weapons production in general, we've been talking about landmine production. We've been talking about Burma, where all Norwegian prime ministers from Jagland have warned private Norwegian investors against going in, so the oil fund can enter Burma without moral scruples. We have been talking about genetically modified products, which the Prime Minister himself has warned against, and we have been talking about tobacco, which the Prime Minister himself has warned against. I have to say that it is quite shocking to experience that a social-democratic prime minister is not able to get up to saying yes, of course we are not going to be in landmine production, of course I am going to take the initiative immediately so that at least this business we are going to get out of. So there's going to be a question of the size of the oil fund now, man wants to make general guidelines for the oil fund. I have not mentioned that in my question. My question is whether the Prime Minister will now see to it that this company in Singapore is going to leave immediately.
ParlaMint-NO_2001-03-21.ana.ud39e441	I've been dealing with what Øystein Djupedal said when they presented the review of the petroleum fund, and then you went against a lot of businesses: you were against companies that invest in genetically modified activities, there are quite a few companies, you were against all companies that invest in tobacco, there are a lot of companies, you were against all companies that have their business in Burma, there are a lot of companies, and you were against companies that invest in environmentally hostile activities. And then you have to define what it is, for example. State power has invested considerable resources in nuclear power, and I expect SV to define it as environmentally harmful. My point is that if you're going out of all the companies involved in genetically modified activities, all those involved in tobacco activities, everyone operating in Burma, everything that's environmentally damaging and much of the weapon production -- or is it such that some weapons are in order and other weapons aren't? – then it involves a dramatic conversion of the petroleum fund, which has a scheme to ensure the best possible return at the lowest possible risk. The fact that one example is now chosen does not change that SV asked for a completely different policy in relation to the petroleum fund when it was presented.
ParlaMint-NO_2001-03-21.ana.ud39e451	There will be follow-up questions – Anne Enger Lahnstein.
ParlaMint-NO_2001-03-21.ana.ud39e454	I know that it is difficult to set guidelines for the oil fund, but the central government actually provided guidelines that meant saying no to the tobacco industry. It's completely possible. And we got a small provision – too small, but still – for the environment. I would like to repeat SV’s questions, which are also the central party’s questions, specifically related to landmines, because it was Norway — from Marit Arnstad in the first row — that the ban on landmines was fought to establish an international ban in 1997. It was almost shocking to see that the Norwegian oil fund is involved in the production of these landmines. And it must be possible to answer a simple question – whether it is not possible to withdraw Norwegian investment from such a project and rather take one thing at a time. I believe the government was defensive of tobacco. But let me now repeat SV's question: What about landmines?
ParlaMint-NO_2001-03-21.ana.ud39e461	The central government in the government offices for two and a half years managed the oil fund and invested in exactly the same companies. The central government proposed a restriction that was not about landmines, which was not about weapons production. You can invest in rockets, you can invest in bombing aircraft production, and you can invest in land mines according to the central government's guidelines. That central government was concerned about not investing in tobacco, but we could well invest in weapons and landmines. Then I think you should be a little more humble in your questioning a few months after you left the government offices.
ParlaMint-NO_2001-03-21.ana.ud39e466	Kristin Halvorsen – for follow-up questions.
ParlaMint-NO_2001-03-21.ana.ud39e469	Now SV needs only one clear answer to one question. Norway is working internationally to prohibit the use of landmines. It's the political title of the government's work. But our money speaks the opposite way. Our revenues are based, among other things, on: on the profit of landmine production, and we all know what kind of destruction they lead to. It must then be possible for the Prime Minister to give a clear answer as to whether this is the case in the future, or whether it is completely unacceptable for a social democratic Norway to make money on landmine production. It can be answered very simply – yes or no. So now big international groups have a completely different moral standard than the Norwegian Labour Party.
ParlaMint-NO_2001-03-21.ana.ud39e477	I have to deal with what SV has proposed and what SV has entered into, among other things. when they presented this report on the petroleum fund: it was out of all activities involving genetically modified products. They were against everyone in Burma. They were against environmentally harmful activities, which I expect, for example. investments in nuclear power carried out by Statkraft and other enterprises. That was a lot of things. Now, when you choose to take one thing out of the long sequence, I think we have to deal with what they've proposed, something far more than what's now being asked about. Then what I'm saying is that we've started in one area, we've started with environmental investment, and that's where we're starting to gain experience. Depending on how good the experience gets, we'll see if we can go further in relation to other types of limitations or designs of special funds within the oil fund.
ParlaMint-NO_2001-03-21.ana.ud39e482	Let's get on with the main questions.
ParlaMint-NO_2001-03-21.ana.ud39e485	I have a question for Councillor Terje Moe Gustavsen. Collective provision in Norway is too poor and too expensive. Norway is one of the countries in Europe which provides the lowest contribution to public transport. And the radio today recorded this with the increase in traffic by 30 pst. and a corresponding reduction of the public transport subsidy of 40 pst. from 1986 to 1997. The Council of State was not satisfied with this development. In the national transport plan, public transport was referred to very sparingly, as the Committee actually corrected in its position. Collective transport is important for the environment, accessibility and road safety, and in the budget conciliation in the autumn we received an extra effort on public transport. So state councils are admitting on the radio today for little effort both on the track and on the bus. What measures does the Council of State think should be put in place to make the collective offer attractive and allow more people to choose – and actually choose – the bus and the runway?
ParlaMint-NO_2001-03-21.ana.ud39e498	It was shown that we have had a growth in road traffic of 30 pst. and a reduction in the level of public transport subsidies. With regard to road development in the last 15 years, to which this refers, it has been mildly said that there has been broad support in the Stortingen, and here we have invested not least to support housing and business far beyond the whole country. I am reasonably sure that no one believes has been wrong, even so during the treatment of the national transport plan that there were strong ambitions to further invest in roads. As far as the collective side is concerned, it is my opinion that for many years we have had one too weak investment, and in many ways it has not matched the development we have had on the roadside. But we have grasped this. Through the National Transport Plan, we presented a proposal for the development of rail – the largest extension in many, many years – over the next decade. We propose to use more tools in relation to T-road development, for collective action. It is probably the largest collective effort, and at least as important as operating aid, precisely because it is expanding both in terms of where we have public transport, and not least in terms of capacity, which is at present as important as the price question. Then we have to align better. We want to improve the alignment of support. We will assess the so-called head restraint, i.e. the more passengers, the more support. We will try out new forms of organization, not least in the major urban areas, so that we can see the whole transport image in a larger context. With regard to future efforts in public transport, it is the government's clear goal to bet strongly in the future, and we hope to get the Stortinge with us on this in the years to come.
ParlaMint-NO_2001-03-21.ana.ud39e509	I thank you for your answer. I count as a matter of course that the government is following up what was said in the committee position in connection with the national transport plan on just collective action. Purchases of services from the NSB are part of the important collective effort and in the 2001 budget it was decided that train production should continue in 2001 as in 2000 and that the rate increase should not exceed the average price increase. If it turned out that it did not work, the government would come back to Stortinget with this. Nevertheless, we know that the offer of trains has changed significantly – there are still further reductions – in a negative direction. Unfortunately, people's opinion is also increasingly negative in relation to the NSB. The agreement to purchase services from the NSB should have been completed before the new year. Will the Council of State ensure that the Storting will soon be able to assess transport offers and resources for the purchase of services from the NSB, which is so important for the part of the collective offer actually held by the Ministry of Transport?
ParlaMint-NO_2001-03-21.ana.ud39e520	Of course, we will follow up the committee position on coming back with a broad explanation/review of the collective effort, at the latest in the context of the 2002 state budget. With regard to the purchase of services from the NSB, we have explained to the Storting that we are and have been in a difficult situation, because the offer made by the NSB has not been in line with the costs that this company has incurred. These are difficult negotiations because here we have to deal with sins of omission that have lasted several years and were also administered by the previous government. We are in the final phase of the negotiations. I hope to get back to Stortinget relatively quickly, but I see it as more important to get to Stortinget when we have a broad overview, when we can explain a good review of this – only then will we come. But I hope it can happen with the first.
ParlaMint-NO_2001-03-21.ana.ud39e527	There will be follow-up questions – May Britt Vihovde.
ParlaMint-NO_2001-03-21.ana.ud39e530	In the left we are busy getting a stronger commitment to collective development, and it has also been stated by the minister that he wants to follow with us. Then there's a circular that's gone out to the county councils and the road bosses, and which now makes the Bergen city track, which is the big bet to increase the collective section in Bergen, fallow. It is a circular that says that in such projects, which are the county councils and municipalities' responsibility, the county and the municipality should set up by 50 pst. self-esteem. This has not been done in Oslo, where the state set up with 75 pst. to the T-banning, but at the city track in Bergen – the big bet there – it must be 50 pst. self-esteem. This means that this project can be jeopardized. Will the Minister for Transport take the initiative to ensure that this project can have an increased State share? The Bergen programme is now under consideration, and the state politicians and city politicians have given priority to the city track. But it seems that the head of the road wants to give priority to a road project first.
ParlaMint-NO_2001-03-21.ana.ud39e539	The type of collective bets, such as the Bergen City Railway, the Oslo T-Bahn, tram in Oslo, tram in Trondheim, is initially a municipal responsibility – municipal responsibility as far as Oslo is concerned. And the state has contributed and will contribute to support for infrastructure development. I refer to Oslo and the expansion of the T-banning, where 80 pst. is supported by the State. In the case of the city railway in Bergen, I am not familiar with the circular to which the representative Vihovde refers, but I am aware that when the road manager in Hordaland has developed his programme of action, yes, he has referred to the urban railway in Bergen and has seen the possibilities of developing routes for public transport to the city railway at a later stage. For my own part, I have to say that I am positive about the development of the urban railway in Bergen, and also that the state can contribute to the establishment of the infrastructure. I think it's right to get that kind of a little bit heavier collective offer in our biggest cities.
ParlaMint-NO_2001-03-21.ana.ud39e550	Inge Myrvoll – for follow-up questions.
ParlaMint-NO_2001-03-21.ana.ud39e553	Unlike the Council of State, I'm familiar with it. Some of the dilemma we're facing here is to build highways in Bergen or Oslo, etc., it can be financed through government appropriations and the use of tolls. However, collective investment in T-Bahn, urban railway, etc. is required on the budgets of the municipality or county. Can the Council of State imagine going in and looking into whether it is not possible to finance it in such a way that, partly through government appropriations, some through toll revenue can receive the same type of financing on collective investment as on road investment? Then it will also be easier to motivate municipalities and municipalities to invest in collective investment, because they are not allowed to go on their own budgets. They can use tolls combined with government appropriations. As it is today, it will be a heavy burden to invest collectively, while not going into your own budgets if you invest in the way. It motivates road investment rather than collective investment.
ParlaMint-NO_2001-03-21.ana.ud39e561	In fact, the model described by the representative Myrvoll is the model that is the basis for today's T-banning in Oslo, which is the use of toll revenue from the bombing, state resources and municipal resources. I am therefore in no way unwilling to look at that kind of spice layer – so of course in Bergen. But it is important that we stress the division of responsibilities that we have, by pointing to the responsibilities of the municipalities and the municipalities of Oslo, in order that the county council and the municipality of Oslo should also do their part of the job. It is also necessary that they give priority to public transport in order to strengthen the offer. But the state should also set up, and we should also continue to use toll revenue in this context.
ParlaMint-NO_2001-03-21.ana.ud39e568	Thore Aksel Nistad – to the last follow-up question.
ParlaMint-NO_2001-03-21.ana.ud39e571	The Council of State was a little earlier about him sitting and negotiating with the NSB about the purchase of services – or what I briefly call subsidies. We in the Transport Committee have been waiting a very long time for those negotiations, and every year we spend almost $1 billion on buying these services, without even knowing what this money is going to, what the distances are, and what kind of figure material is behind, whether it's for travellers or the costs of these distances. Then my question is, why is this excluded from the public? I know VG has put the search light on this and tried to figure out the numbers for the different distances. I've tried through the committee to get the figures for the different distances and costs and revenues. I have not received an answer either. But anyway, we're going to have to spend almost $1 billion on something that we don't have any idea at all. How long has the Council of State planned for this to last?
ParlaMint-NO_2001-03-21.ana.ud39e580	Usually, the Progress Party is very concerned that the NSB should be treated as an ordinary company. For example, an ordinary company must: have the opportunity to lay down their market strategies and make their calculations without constantly having to deliver them to any competitor. That's why you've had a discussion about how much information you need to get out of here. Then I feel that the Progress Party in this context, referring to the purchase agreement, says that this should not apply to limited transparency. I see that there are clear reasons for giving insight into the purchase agreement, and we have been prepared to do so. Over the time we've been in government, we've been looking at this, for example. in communication with the Committee. And I want to provide the information that it is sound and proper to provide for the purpose of the purchase agreement, but at the same time take into account what is necessary in relation to the business operations of the NSB.
ParlaMint-NO_2001-03-21.ana.ud39e587	The time for the oral question procedure is now over, and we're going to the ordinary question procedure.
ParlaMint-NO_2001-03-21.ana.ud39e592	There will be some changes to the list of questions set out, and in this context the President will refer to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 8, from the representative Jon Olav Alstad to the Minister for Culture, is postponed until the next Question Time, when the Council of State has left. Question 9, from the representative Oddbjørg Ausdal Starrfeld to the Minister for Culture, will be answered by the Minister for Health on behalf of the Minister for Culture, who has been removed. Question 10, from the representative Leif Helge Kongshaug to the Minister for Fisheries, will be answered by the Minister for the Environment on behalf of the Minister for Fisheries, who has been removed. Question 12, from the representative of Mr Hedstrom to the Minister for Agriculture, will be answered by the Minister for the Environment on behalf of the Minister for Agriculture, who has been removed. Question 13, from the representative Steinar Bastesen to the Minister for Agriculture, will be answered by the Minister for Finance who is directing him. At the request of the Minister of Finance, this question is moved and answered in response to question 2, to be answered by the same Council of State.
ParlaMint-NO_2001-03-21.ana.ud39e612	I will ask the Minister for Finance the following questions: ‘Various signals have been received from county tax offices as to whether the ‘renting’ of boatyards is covered by the VAT extension from 1 July 2001. Many of these marinas are based on membership and hard work, and are not meant to make money. Can the State Council clarify whether the marinas are covered by the VAT extension?’
ParlaMint-NO_2001-03-21.ana.ud39e621	The reform of value added tax, which enters into force on 1 July 2001, implies the introduction of a general VAT obligation on the turnover of services. A general duty obligation implies that all services, like goods, are subject to the VAT obligation, unless they are expressly exempted. After the reform, the turnover of immovable property rights will, as a general rule, continue to be exempt from the duty. However, this does not apply to the rental of parking spaces and boat moorings for vessels less than 15 metres. This means that activities with the rental of boating sites will be required to calculate the value added tax payable on the consideration, while deducting from the input tax on acquisitions for use in the establishment. However, it is a prerequisite that the general requirements of the VAT law in other respects are met. These include: a requirement for rental to take place in the course of a business. Therefore, renting boat moorings for consideration would normally be subject to a charge. In the preparatory work, it has been shown that the rental of moorings and moorings for pleasure boats in guest ports and marinas will be subject to a charge. Rental of boat moorings often takes place through associations. In these cases, the remuneration is remunerated for membership quotas and/or hard work. The VAT law exempts the turnover of NPISHs and associations when the remuneration is received in the form of a membership quota and the quota covers goods and services which are part of the non-profit activities of the organisation or association. If the association is to be non-profit, it must take care of general social interests across special interests. The association must also be available to a wide range of people. On this basis, I assume that boat associations which are only intended to provide boating space for the members are not considered ideal and are therefore not covered by this derogation. As mentioned above, the exercise of an industrial activity is a general duty condition. For some boat associations there may be some doubts. I am referring to the fact that the Ministry of Finance has stated on a specific matter. There was a boat association that was intended to provide the members of the port and to provide winter storage of the members' boats. The membership quota covered the expenses of the association for the repair of buildings and other equipment, remuneration of an employee, rent, administration, etc. Some maintenance work, administration, etc. was also carried out on the basis of due diligence by the members. Members paid specifically for, inter alia: ice-free port, rental of lockers, towing of boats to and from escape, insurance of vessels in storage and share of quotas with other associations and associations. This is reflected in Opinions on VAT No. 4/75. The Ministry had doubts as to whether an association with the purpose and activity referred to could be regarded as a trader and decided on the basis of the VAT Act § 10 sixth paragraph that this boat association should not be regarded as a trader. I consider it appropriate to point out that this decision requires a strict assessment and that rental activities will normally take place in industry. This assessment becomes discretionary and must be determined in the specific case. Furthermore, I would like to draw attention to the fact that, in the context of the VAT reform, the Ministry will be subject to specific exemptions from the tax obligation granted by the charging authorities under the VAT law. This review may lead to amendments to the exemptions granted, even in relation to the abovementioned decision.
ParlaMint-NO_2001-03-21.ana.ud39e641	It was really a little hard to understand what the Minister of Finance is trying to suggest. Here is a boat – and, as I understand it. It is still assessed whether exemptions should be granted to marinas based on good practices and owned by members. Almost 80 pst. by the marinas are largely operated. The costs of installing a marina are covered by an entrance ticket and the operation is covered by either a rental or a membership quota. If you don't exempt such marinas, you're actually adding a rate of VAT to your diet. You also have to consider this to be a non-profit organization. I ask the Minister of Finance to clarify his answer a little more.
ParlaMint-NO_2001-03-21.ana.ud39e648	The starting point here is that these questions are not finally settled. There is a work going on in the Ministry of Finance around it. As is well known, many factors need to be clarified in the follow-up to the VAT reform. And then it's like renting out a boat yard that is considered to be an industrial activity will be subject to a charge, but to the extent that it is considered a non-profit organisation, it is not subject to a charge. It has to be defined in many cases on a case-by-case basis. That's why I can't give a totally definite answer to what's going on for associations in general.
ParlaMint-NO_2001-03-21.ana.ud39e653	If this is not prepared, it will indicate that it is the county tax managers in each state who will then clarify whether this is a business or not, whether it is a non-profit organisation or not. When you say that you still have to work on this, and there are many things that have not been clarified in connection with the VAT reform, I have to say that the Right has been right, that the VAT reform was carried out too quickly, and that you have not done the investigative work you should have done in advance. I am amazed that the Minister of Finance is not now able to give a clearer answer to this. I also assume that I have to report back to the small boat associations that they may have to consider being subject to VAT from 1 July, because there are so many uncertainties going out and going. We know that the County Tax Director in Østfold has said yes, VAT should be covered here, while the County Tax Director in Finnmark has said no. Small boat ports are operated in accordance with the same principles and in the same way, whether in Eastfold or in Finnland.
ParlaMint-NO_2001-03-21.ana.ud39e660	I don't know the statements of the different county treasure managers. What is clear, however, is that VAT obligations are linked to the concept of industry. This is why in many cases a balance has to be made for each activity. Although it would be desirable to be able to provide simple and clear answers, there have always been difficult balances in relation to VAT legislation. It also shows the individual case referred to here, as set out in Opinions on VAT No. 4/75, where it was concluded that it was not an industrial activity. But here I have to show that in very many cases a decision will have to be made based on an assessment of the specific case.
ParlaMint-NO_2001-03-21.ana.ud39e668	I allow myself to ask the following questions to the Minister of Finance: ‘As of 1 July 2001, all pole sales in Sweden are likely to be open on Saturday. This means, for example: the monopoly of wine sales in Kongsving is even more competitive with the Systembolaget in Charlottenberg. The same will apply to all Norwegian wine monopoly sales along the border with Sweden. How will the Council of States respond to this so that we do not receive a further increase in the so-called ‘swiss trade’?’
ParlaMint-NO_2001-03-21.ana.ud39e677	The experimental system of Saturday-open system companies in Sweden has been in operation for about one year. During the spring, it may be decided whether to make the scheme permanent. Border trade in alcohol may increase if several system companies along the border become open on Saturdays. However, figures from the State Institute for Alcohol and Drug Research suggest that less than 2 pst. of the total consumption of wine and spirits in Norway stems from border trade with Sweden. In addition, Norwegian quota provisions contribute to limiting border trade in alcohol. Border trade studies show that food, and in particular meat, are the main reason why Norwegians travel to Sweden to act. The decision to reduce food VAT from 1 July 2001 will lower the price of Norwegian food and is expected to reduce border trade with Sweden in general. The government is aware that the development of Swedish alcohol taxes could put pressure on our alcohol taxes over time. Therefore, in the light of developments in Sweden, the Government will keep under review the taxes on alcohol, including: in the budget for 2002.
ParlaMint-NO_2001-03-21.ana.ud39e693	I thank the Council of State for the answer. According to my data, of the total consumption of spirits in Norway, there is only about one. 45 pst. which is sold over the discs of the Vinmonopole. This means that the remainder of the consumption expenditure, approx. 55 pst., must come from so-called unregistered placing on the market, which involves illegal imports, i.e. smuggling, illegal production, tourist imports, duty-free sales and, of course, from turnover along the borders with Sweden, legally purchased just here. Tell this finance minister that Norway needs to do something about our ability to obtain this legal product in a simpler and cheaper way to just reduce the trade leakage we have to Sweden, and respect those of us who want, for example. a red wine bottle for the Saturday shoe without having to plan this long time in advance?
ParlaMint-NO_2001-03-21.ana.ud39e700	The government proposed to reduce the spirits tax by 17,5 p.m.. in the budget for 2001. So the government has followed up the problem that the representative here is dealing with. I find that we did not get a majority in Stortinget for that.
ParlaMint-NO_2001-03-21.ana.ud39e705	I thank the Council once again for the answer. In his first reply, the Minister of Finance indicated that the imports from Sweden represented under 2 pst. of the total consumption of wine and spirits in Norway. But if you look at the 2 pst, these represent a lot for the Norwegian wine monopolies along the border. For them, this means a lot more than 2 pst. That way, we get a big commercial leak, which will increase gradually. Sees the council that these 2 pst. are on a national basis, while for the wine monopolies along the border there is a large part of the turnover, which could have remained in Norway whose prices and opportunities had been present?
ParlaMint-NO_2001-03-21.ana.ud39e712	I just answered that. The government proposed a significant reduction in the spirits levy – contrary to the budgetary settlements where the Progress Party agreed with the centre, where no such reduction was made. However, I note that the Government did not endorse the proposal submitted to the Stortinget. But it's a question that we're going to consider on an ongoing basis.
ParlaMint-NO_2001-03-21.ana.ud39e717	So we go to question 13.
ParlaMint-NO_2001-03-21.ana.ud39e723	This question, from Steinar Bastesen to the Minister of Agriculture, will be answered by the Minister of Finance who is directing him.
ParlaMint-NO_2001-03-21.ana.ud39e726	I have asked the Minister for Agriculture the following questions: «We have previously heard that there is no coordinated coastal surveillance in this country. In the context of the outbreak of foot-and-mouth disease on the continent, there has been an established withdrawal of bovine and porcine products from this country, and border controls against Sweden have intensified. There are only 55 customs offices, while there are more than 1,000 ports. How can the Council of States guarantee an overview of all ships calling at Norwegian ports after being abroad?’
ParlaMint-NO_2001-03-21.ana.ud39e735	The driver of the vessel arriving in Norwegian port from abroad is obliged to go directly to the place where the customs and charging seat is stationed, unless permission to go elsewhere has been obtained in advance. When the ship has arrived from abroad, the driver is obliged to report the arrival. The driver usually provides information on the journey route and the load in the form of a prior notification to the customs and charging seat. No unloading or removal of goods from a ship arriving from abroad shall take place without the permission of the establishment. In the context of the temporary ban on the introduction of special animal products from the EU due to foot-and-mouth disease, the customs and charging seat has increased preparedness and implemented a number of measures which also include the control of ships arriving from abroad. It also follows from the Schengen cooperation that the master of vessels arriving in the Norwegian territory or port from abroad is obliged to notify his arrival to several public authorities, inter alia. the veterinary authorities. Vessel drivers also have obligations to provide police officers with an overview of crew and passengers.
ParlaMint-NO_2001-03-21.ana.ud39e744	I take it for granted that the Council of State does not know how to provide supplies on board a ship. But the minister is well aware that a shipowner mainly buys supplies on export, i.e. duty-free, when a ship is intended to sail abroad? This provision may have arrived from outside the EU, for example: Africa, or from a free port of transhipment of an EU/EEA country. Thus, a vessel can unhinderedly carry goods, i.e. supplies, from third countries, and consume food on board, while polluting packaging is thrown into containers on land. Is the Minister concerned about this potential source of infection as much as about the border trade?
ParlaMint-NO_2001-03-21.ana.ud39e751	As the Minister of Agriculture has repeatedly stressed, following up the temporary ban on imports will require a loyal follow-up from the public and from business activities, and it will require close interaction between the population and the authorities. Of course, this is also the case. We cannot ignore the fact that, in some cases, there will be situations in which you can circumvent the ban by illegally introducing goods or otherwise contributing by, for example: garbage is landfilled. But we have to assume here that the population has the same interest as the authorities, namely to avoid the risk of spread of infection, and then to be loyal in relation to the import ban.
ParlaMint-NO_2001-03-21.ana.ud39e758	The Council of State has not understood this. It's not just Norwegian vessels. Foreign vessels are, to a large extent, on this coast, and they are not very loyal to Norwegian regulations or orders. We have ten departments to control and monitor what is happening on the coast – I am going to ram them up in full speed: the Ministry of Defence, the Ministry of Fisheries, the Ministry of Industry, the Ministry of Justice, the Ministry of Environment, the Ministry of Municipal Affairs, the Ministry of Agriculture, the Ministry of Oil and Energy, the Ministry of Transport and the Ministry of Health – and no one knows what the other departments are doing. I have said this here in Stortinget once after time: you are exposed with your pants down! Let's say that a ship has previously been in the searchlight of the veterinary authorities. A few months later, the ship arrives again at a Norwegian port. How can the veterinary authorities keep themselves informed of the ship's approach?
ParlaMint-NO_2001-03-21.ana.ud39e767	As I explained in my first answer, it is such that there are clear rules as to how the ship, and the driver of the ship, should behave when they call at the Norwegian port after being abroad. I have to assume that the ship's driver follows these rules. I also have to assume that there is an interaction between the population, the business community and the authorities in their desire to limit the risk of spreading infection. Of course, there are many theoretical possibilities to bypass this. First, however, we must take the view that the legislation is being followed in good faith, and secondly, we must take control measures that help to strengthen the follow-up to the legislation.
ParlaMint-NO_2001-03-21.ana.ud39e774	We go back to question 3.
ParlaMint-NO_2001-03-21.ana.ud39e780	I would like to ask the following questions to the Minister for Local and Regional Affairs: «The Oslo Sikh Association has asked for a permanent visa scheme for specialised professionals. The association has provided a professional justification for why a desire for shifting performances over permanent employees, but has been refused. Thus, the law on alienation appears to prevent the congregation from exercising its religion satisfactorily. Will the Government take the initiative to amend the legislation if it is not possible to grant an exception in order to resolve the problem of the congregation?’
ParlaMint-NO_2001-03-21.ana.ud39e789	As Stortinget is well-known, I cannot comment on the individual issues on which the representative Rangtvedt's question is based. However, I have understood that the Sikh community does not want a permanent pastor in the congregation, but instead will recruit new pastors who will work in Norway for three months without a work permit, but on the basis of a visa. I have also understood that the congregation wants this as a permanent arrangement. A general rule under the Foreign Affairs Act is that a foreigner must have a work permit to work in Norway. A scheme proposed by the Sikh community would run counter to this. I am aware that the Sikh community was briefed on the rules in meeting State Secretary Meland in the Ministry of Justice on 8 May last year and in a letter from the Ministry of Justice dated 20 July last year. The Sikh Association has also been made aware of the possibilities for applying for a work permit. The government wants decorations and simplifications in foreign legislation, including: to facilitate the recruitment of skilled labour to Norway. However, the general rule that the person who is going to work in Norway must have a work permit is not to be waived. I hope that the proposals for simplification that the Government is in favour of will contribute to a more effective procedure also based on the need to recruit foreign ministers for work in Norwegian congregations.
ParlaMint-NO_2001-03-21.ana.ud39e798	I thank the Council of State for the answer, which I at least see as something positive. Norway has become a multicultural society with many different religious communities. But the treatment that the Sikh community has received from the Ministry of Justice suggests that we have a foreign legislation that is not flexible enough to take account of the special needs that can exist in a multicultural society. It may also seem that the department has not understood that there are very special experts asking for permission to collect, and that there is little time to work in Norway on the part of these experts. The experts requested have very long and very extensive training and experience. This is also the background to the fact that it is very small that they want to stay stuck in Norway. Without these experts, different ceremonies can only be carried out in simplified form in the congregation, and this limits the possibility of religious practice. Doesn't the Council of State see that this can mean that you have to take special care of yourself?
ParlaMint-NO_2001-03-21.ana.ud39e810	Foreign legislation is clear on the point that if one comes from other countries, one must have a work permit to work in Norway, and the Government does not intend to change that point. We do not want to allow one to work on the basis of that, for example. has a visa. Today, however, we are making a number of regulatory simplifications to get more people from other countries to come here and work where it is needed. Of course, there is also something that will apply to the clergy where there is a need for it. However, the general rule that a work permit must be the basis for working here or not, does not want to depart from the Government.
ParlaMint-NO_2001-03-21.ana.ud39e815	I thank you once again for the answer, and I am glad that there will now be an embellishment of the legislation. I really hope that the ministry will want to look at this matter again and see if it can be possible to find a solution in consultation with the community, which sees this situation as very frustrating. With common sense, it is difficult to understand why a person cannot find solutions or exceptions that allow the experts concerned to come to Norway and practice in the congregation for a time, then return to their main business in the home country. Such a system would not be burdensome for anyone and would be of great benefit to very many people. So there are 5,000 Sikhs in Norway, and most of them visit this congregation's collection site on a regular basis. The assembly has been refused on the grounds that they applied for three priests for three months at a time, and it has been established that this would be contrary to the legislation. The community is willing to find intermediate solutions, as far as I'm aware. Will the Council of States be open to review this matter in concrete terms in order to arrive at a solution?
ParlaMint-NO_2001-03-21.ana.ud39e824	I have no opportunity to go into such individual matters. I have no opportunity to instruct the UDI or the Foreign Affairs Department in individual cases according to the changes in the Foreign Affairs Act that have been made as of 1 January of this year. If the Sikh community has other information than what they have so far submitted to the UDI or, where appropriate, the UDI, they must take it up with them. But as far as the general legislation is concerned, the Government does not intend to change it.
ParlaMint-NO_2001-03-21.ana.ud39e833	‘The Ministry has refused to approve the construction of Follo Hospital. 140 000 people in Akershus and Østfold do not receive the promised local hospital. These have not been provided for in the planning of the new Central Hospital in Akershus and in a new central hospital in Eastfold. How will the Council of State cover the necessary health provision for the pass-by population of Akershus and Østfold?’
