ParlaMint-NO_2001-04-26-2.ana.ud1107e15	The representative of Ivar Østberg has asked for the floor to withdraw a private proposal.
ParlaMint-NO_2001-04-26-2.ana.ud1107e296	Today, it has been historic for part of the energy sector, namely the petroleum sector. Statoil has been partially privatized despite having parties wanting this for just a short time. The background step drawn by the Government as the reason for sub-privatisation of Statoil is almost identical to the background step drawn up in this case. It is a state-owned company that is no longer an instrument of energy policy but is a focused commercial enterprise in a competitive market. At the morning meeting, the Workers' Party's solution was to go into the sub-privatisation of Statoil. Now, at the evening meeting, the solution is to donate EUR 6 billion of taxpayers' money and to give the company guarantees to play in the market with another DKK 10 billion. I am convinced that the next time the Stortinget deals with a major issue related to Statkraft, it is partial privatisation – on the initiative of the board and the new management – that is on the agenda. As a young and inexperienced representative, I wonder why not the majority in this room can occasionally be able to point out the course itself, to take the initiative in the right solutions. Most people here know that this is going to be the end result, but why should the board of directors have the pleasure of putting the first premises in the case? It may seem that the Workers' Party is dependent on a recommendation from the Board of Directors of State companies before they can take control. I also want to subtract another parallel from the petroleum industry. The size is concerned that there will be two Norwegian-based strong oil environments. This is not least justified by the need for competition, which is designed to ensure that one has two strong environments of competence that are built up against one another for the benefit of society. State power, in the opinion of the Right, is in the process of gaining a dominant position in the Norwegian market through direct and indirect ownership. During 2001, State power, through direct and indirect ownership, may have an estimated 60 pst influence. of Norwegian power generation. In the opinion of the Right, it is then right to assess whether we are in the process of achieving a development that goes beyond the purpose of the free power market, namely to secure electricity for customers at an optimal price. Norway was in line with the new Energy Act. One managed to do something that the EU is currently struggling with, precisely because one had many competing environments. Now, tonight, we are about to position ourselves in the difficult situation the EU is in. We get a competitive energy market by establishing for dominant actors. Following the examination of the Committee, it has emerged that both the Central Statistical Agency and the Competition Authority share this concern. I'm quoting Tor Arnt Johnsen from the SSB: ‘If you have a few producers, they will be able to manipulate the price more easily, and it is very difficult to identify what the price would actually have been if competition had worked.’ In Norway, a number of factors are now moving towards a high electricity price, as explained by the Government in its Landfill Communication on Hydropower and the Power Balance. Some of these factors are the result of a misguided policy, such as the high electricity charge and the new surcharge adopted before Easter, and today one is dealing with a matter which can further reinforce this trend. It is also the responsibility of the authorities to ensure that there are a sufficient number of competing producers, both in terms of price and competitive environments. As a paradox to the Government's announcement of power balance, Bill Schjelderup, adm. You. in Bergen Energi: «Today's filling-in is completely uninteresting in comparison with 16 billion to State power. It will have a long-term, permanent impact on price developments in Norway. There is no discussion.» Another paradox in relation to this Communication is that in the State Power case, the Government places emphasis on the Nordic market, while in the force balance case, the problems that one faces in relation to the power transfer capacity between the Nordic countries. This also brings the Competition Authority forward in relation to the case of Skiensfjorden’s power team and Vestfold’s power team. There's someone operating with a South Norwegian market. This whole case shows the dual role of the State when one is the sole owner of the largest actor, while at the same time being responsible for the interests of consumers and society. With this in mind, I would like to address the joint proposal of the Right and the Advance Party, proposal No. 1st@item: inlistbox
ParlaMint-NO_2001-04-26-2.ana.ud1107e334	The representative, Höie, has taken up the proposal he referred to. It's going to be line change.
ParlaMint-NO_2001-04-26-2.ana.ud1107e339	Right-wing policy in the case of state-owned companies is well known. It hasn't even surprised me that you want a partial privatization of Statkraft. But what I don't understand is that this time you hide behind the Competition Authority and the danger of becoming too monopolistic. I asked in my post the question of a partial privatized State power that wants to make further purchases in Norway, would have a less dominant position than a full-time State power. I wish Bent Höie could explain this to me. So finally, competitive conditions. It is and must be such that once individual purchases have been made, competition supervision must enter into force and assess whether the purchases result in greater monopoly or not. It is the competition authorities that have to take care of this. But I wish that the representative Bent Höie could explain to me what is the difference between ‘a dominant role’ whether it’s an entire state company, or it’s a partial state company.
ParlaMint-NO_2001-04-26-2.ana.ud1107e348	On that question I will answer that it is actually possible to have two thoughts in your head at the same time. The right is clearly involved in the case in order to partly privatise the company. We think that's right, and that's – as Aud Blattmann says – no surprise for anyone. At the same time, we also see that the company is reaching a position that makes us get a good additional argument for this time too, which is also no surprise to Blattmann, to vote against adding State power to new capital. It's been the right position for a long time. This gives good additional arguments for that position. We who sit in this room actually also have a primary responsibility for consumers out there, who are getting reasonably tired of paying the high power price that is now developing. The government itself has shown that this development will continue if one continues this policy. Then there is a mistake now to make a grip, before one has thought through this situation, which further pushes up electricity prices.
ParlaMint-NO_2001-04-26-2.ana.ud1107e355	The right in the vote has called for a partial privatisation of State power, and rejects with that the proposal on capital injection and extended loan and guarantee frameworks to the company. It's a position that doesn't surprise, and I want to show respect for it. There is a clear position, which the right quite rightly has been for relatively long. For the Christian People's Party, our position in this matter represents, in our opinion, a reasonable medium-term solution, where, on the one hand, we see the need to have a strong State power, and we want a strong State power, while at the same time placing restrictions on the purchasing opportunities the company should have. That is why our proposal also includes reduced transfers of a total of NOK 4 billion, which would clearly limit the size and extent of the dominant State power in the Norwegian market. What happens, however, is that developments in the power market, perhaps not least internationally, are going very fast. There are shifts in owner structures and aggregations over a low shoe, and in the meantime, Statkraft becomes more or less attached to the fence and observe a process that we ourselves do not have the opportunity to participate in at all. This will, of course, in the long term lead to consequences for the state situation, not least internationally. If the Right Line had a majority and the objective of sub-privatisation were to be the basis, it would be a process that took a long time, and in the meantime, time goes by, and the changes take place regardless of whether State power can be involved or not. Wouldn't it also be natural with Right's eyes that during this period, at least, State power was given some power in the form of capital to participate in and buy up a little, and not to come completely gradually into a market that goes so very fast towards larger mergers and privatisations?
ParlaMint-NO_2001-04-26-2.ana.ud1107e362	That's exactly the situation that the representative here describes, which makes it necessary to stop. Because if one shares the Right and, to some extent, the Left's concerns – a concern that, because I understand, the Christian People's Party also shares – that State power can have a too dominant role, it may be time to say no and stop and think about it. The whole purpose of a liberalised energy market in Norway was to have healthy competition, which on the one hand contributed to lower prices, and on the other hand prevented unprofitable investments from being made. If one continues a policy of giving State power the capital they want, one is about to position itself back again in the previous situation, and it doesn't want Right.
ParlaMint-NO_2001-04-26-2.ana.ud1107e367	The representative Bent Höie did not like to answer the question I asked him, and therefore I do it quite directly now: in a competitive situation – if it is the competition one is afraid of – what is the difference between buying up from a sub-privatized State power and an all-time state power?
ParlaMint-NO_2001-04-26-2.ana.ud1107e377	As I have tried to explain a couple of times, it is quite obvious that if State power had been a partially privatized company today, as a representative of the authorities, I had hoped that the Competition Authority had intervened to prevent them from getting a too dominant position. Now we are in a situation where we also have a different tool: the opportunity to stop a capital injection to prevent this development, and to give some time to get a conversion in this area as well. This situation has been described by Aud Blattmann himself in relation to the position on Statoil, which is the different roles of the state, and it is now time to clean this up.
ParlaMint-NO_2001-04-26-2.ana.ud1107e383	The cord shift is over.
ParlaMint-NO_2001-04-26-2.ana.ud1107e386	Over time, there has been a restructuring of the power industry in Norway, and much of what we have seen in the wake of it has been positive. However, it is important to clarify the role of State power in such a restructuring process. I think it is good that an overall committee is behind the call for a separate case to the Stortingen to review the development of State power as a company and in the power industry for the rest. That State power has ambitions to be a leading Nordic energy company with peak competence in hydropower is well and good. But the increasingly dominant role of state power in the Norwegian market will, in our view, undermine the principles of free competition. This may also undermine the important principles of market deregulation on the basis of which the Energy Act was revised in the early 1990s. In our view, it is worrying that State power has acquired positions through purchase that give the entity significant influence both directly and indirectly. If all planned purchases are made, State power may, through direct and indirect ownership, be held with an influence above 60 pst. of Norwegian power generation in a short time. We will strongly warn against such a development towards a power monopoly, which could be the result of the capital injection we are dealing with today. This will clearly weaken competition in the market and, ultimately, consumers will have to pay the bill for this. With the last few days' forecasts of the evolution of electricity prices, it is clear that this is wrong to go. As if this isn't enough, it's clear that Statkraft will need an additional capital injection of DKK 8 billion in a few years to implement its plans. I have a great deal of understanding of Statkraft's desire and need for financial freedom. This can, however, be achieved in ways other than providing fresh money from the treasury. State power can bring money into the market. In my view, the government should therefore prepare a case of partial privatisation and stock market listing of State power as soon as possible so that they can thus obtain financial autonomy. I think it is quite incredible that on the same day that the Stortinget adopts a partial privatisation and stock exchange listing of Statoil, one goes the opposite way in this case. And in addition to spending 6 billion healthy tax dollars, as the majority will, we are at risk of increasing electricity prices to the consumer as a result of weakened competition. Of course, the party of progress will not be involved in this. We will vote against both the proposal to add new deposit capital of NOK 6 billion and the power to increase the loan and guarantee framework by up to NOK 10 billion. I would just like to end by recommending the proposal of the Right and the Advance Party on the partial privatisation and listing of State power, while recalling that the company per. today is the country's second largest network, and capital can also be acquired by realising this.
ParlaMint-NO_2001-04-26-2.ana.ud1107e401	In particular, it is unproblematic that a company is wholly owned by the state. It is only when the State behaves as an incompetent owner that there is reason to be disturbed. Such an assessment is relevant to all state companies, and to a particular extent to key actors such as Statoil and Statkraft. Therefore, the Central Party will contribute to the serious nature of the state ownership rather than to conduct a debate on privatisation, as the Right and the Advance Party will at least partially agree. What interests should the Storting keep as owner of Statkraft? It's easy to answer. A mass collapse wants Statkraft to be a leading Nordic energy company with peak competence before hydropower. A solid base in Norway is an important platform for achieving such a goal. Moreover, Statkraft should be strongly involved in the management of public capital and in securing Norwegian public ownership. Behind this political leadership is a solid plural – the Labour Party, the Christian People's Party, the Center Party, Left and SV. In order to carry out these tasks, Statkraft needs to be provided with both new inlay capital and increased loan and guarantee frameworks. There is also a solid number of large sizes. Even the Right Party and the Advance Party of my State Power need more capital – rightly it will be via sub-privatisation and stock market listing. On such a background, we might wonder that St.prp. No 51 has a weight boost. I read a difficult title in the Class Battle, where the transfer of money was referred to as a gift package for Statkraft. Newspaper, which is otherwise known to avoid using unprofessional headlines, made here an impression that, in my opinion, is wrong. As is known, there are large amounts of public capital and more and more are located abroad. Alternative locations are therefore most welcome, especially if they stimulate industrial and technological development. State power can channel public capital into the energy market, and in this way it is a useful and good instrument. Then we record some concern that State power can evolve to become the Right, the Progress Party and the Left as a real Statkraft monopoly. It is of course important that the market functions, that electricity prices are influenced by competition. But it's not in the cards at all that after getting their money, Statkraft will be able to maneuver itself into a monopoly situation. That's going to be stupid, the Stortinget or the Competition Authority. Desutan operates power producers all the time in a Nordic market, and soon in an even greater context, and no one can claim that Statkraft will become a giant in the new landscape. The centre party has been encouraging municipalities to maintain their power rights for all years. Local ownership is a good thing. The centre party has usually not gone into the broom to sell municipal ownership parts in power companies to get money for the municipal cash register. According to our ability, we have tried to donate money to municipalities in an ordinary way. This strategy is still up-to-date. But we register that local owners still come to the hall. Development has gained an amount that is really fast being referred to as the restructuring of Norwegian power supply. Strong foreign interests are positioned to ensure access to power generation as well. In such a situation, we should not sit with our hands in captivity. Statkraft should act actively to secure Norwegian public ownership. This will, of course, lead to the growth of the company, so that in a few years' time, State power can be put at 55 pst. of the Norwegian production capacity. The Ministry considers that the Competition Authority will assess the individual purchasers of Statekraft in the market. And I want to say that it is important to ensure that the purpose of the competition law is not challenged. The strong restructuring that is now taking place in the power supply sector is a challenge, not only for Statkraft, but also for regional energy companies. For example, Light Energy has ambitions to grow bigger, and the company is looking for partners abroad. We cannot ignore the fact that Statkraft and Luminous become competitors in specific cases. Equally, strengthening Statkraft will not contradict a desire for regional energy companies to grow and contribute to energy market shortages. The company has a different profile. State power has primary competence in hydropower production and wholesale trade. Other companies have a different starting point and are committed to developing the power grid, building other infrastructure, such as gas and telecommunications services, and offering different products and services to end-users. So the competition level against Statkraft is not as big as anyone wants it to be. Moreover, it is generally unthinkable — from a regional point of view — to define Statkraft as an opponent. The company is also an important partner for regional power companies, for example BKK. State power can count on support from the Storting to secure defined targets, not to pursue an aggressive buying-in policy along the lines drawn by the Storing. I would like to remind you once again of what I said in the introduction, that Statkraft needs active owners who take the consequences of the objectives defined for the company. The central party supports the Government's proposal to add more funds to the company. The proposal is in line with the policy adopted by the Bondevik Government. We also see the transaction as a good and interesting placement of public capital. It is a self-contained argument that Statkraft acquires a capital of around 40 p.m., as was the case at the time the company was established. This should be the basis for good development. A joint committee wants the Ministry to come back next year to the Stortinget with information so that the National Assembly is kept up to date with developments. That's a good sign. Finally, I would like to refer to the part of the setting that, in my view, is most interesting, because here we find a summary of important principles and conclusions that point forward. The Labour Party, the Christian People's Party, the Centre Party and SV believe that it is the government and the leadership of the State that will decide on investments on a commercial basis. This majority think it is necessary to give Statkraft additional resources in order to meet the goals Size has drawn up. The majority point to the fact that the ownership structure of Statkraft and the repatriation and concession laws are to be determined. The majority point out that the Government’s purchasing policy is to follow the agreed guidelines. And then it says, ‘By adding State capital, substantial public ownership of Norwegian hydropower is facilitated in a situation where municipalities and county municipalities sell themselves out.’ Let's hope that the Norwegian people in the fall will make sure that this policy will also have a solid plurality behind it in the coming boom.
ParlaMint-NO_2001-04-26-2.ana.ud1107e433	It's going to be line change.
ParlaMint-NO_2001-04-26-2.ana.ud1107e436	The representative expressed enthusiasm for some comments that concession law and repatriation should remain firm. Now we see how long it's going to take. I think we have to be open that the changes are so big that here the changes are going to force themselves even in Norway. Otherwise, the representative took away that the $6 billion that is now to be spent on taxpayers' money is a gift to State Power. He stressed that there is good governance and the use of public funds. What is the reality is that State power is now going to buy out the municipalities, and the municipalities are getting more money that they can spend for other good purposes. It is not that the state, by investing in State power, invests in new activities, in new industrial activities, but it swaps state capital with municipal capital, or vice versa – municipal capital with state capital. I am surprised at the views of the Central Party on this matter. The Central Party has previously expressed scepticism for a line in which State Power was to be inflated in order for State Power to use its muscles in a Nordic and European market. The centre party has previously been subject to domestic competition. Now, with open eyes, the situation in which Statkraft is given the opportunity to gain market power, which the Competition Authority strongly warns against. At the same time, open eyes are also introduced into a situation where this market power, which State Power will acquire, will lead to increased prices, cf. both the Competition Authority and the SSB’s assessments. I would like to ask the representative whether he believes that the situation is different, or whether he accepts the premises that the SSB and the Competition Authority are now using.
ParlaMint-NO_2001-04-26-2.ana.ud1107e445	I am sure that if I were to discuss the situation of a private company with the representative Sanner, we would soon become a few about what a good ownership would be. I think in that case it would quickly become clear that when an enterprise defines a goal, it is important in the next run to put in tools to achieve that goal. That's what's the state power situation. We have here a company that is owned by the public, and then we have government and big business that has clearly defined the goal Statkraft is going to work towards. In the next round, there are questions about setting up financial resources to achieve these objectives. It is a position that each owner must have if the owner is to appear to be serious and take his job seriously, which is very important in such a situation. But it seems that this is a difficult point to take for the representative Sanner, because in this case we are talking about a public enterprise and not a private enterprise. There's a reason why the representative Sanner should reflect a little bit more closely, in my opinion. Then I register that the representative Sanner with skin and hair identifies himself with the heading of the class struggle that I pointed out, where it was said that these money that is being given to Statkraft is a gift package. I want to repeat that it is not a gift package. It's not about taxpayers' money, but it's a good money placement, the capitalisation of public funds in a power sector where there's a need for investment.
ParlaMint-NO_2001-04-26-2.ana.ud1107e452	There can be no doubt that John Dale is now using the taxpayers' money. 6 billion kroner are due today to the taxpayers' money to enable State power companies to buy land and beach around. What do taxpayers get back? Well, according to the Competition Authority and the SSB, higher price. Here we are inside a classic mix of roles. I agree with the representative John Dale that it is clear that an owner wants ambitions on behalf of his company. However, the State also has a different role, and that is to provide effective competition for the benefit of consumers. That is precisely why the State should also sell into State power, in order to reduce this role conflict between ownership roles and the regulatory role, on the one hand, and the regulatory role is important for consumers on the other. That is why I do not agree that we will soon agree that this would be a sensible strategy if it were a private enterprise, because the Right is as sceptical to private monopolies as what we are to public monopolies. That is why we are concerned that the role of ownership and control should be more distinguished. The State must regulate, the State must control the market. As far as possible, ownership should be private. Then we avoid the role conflict that the state is up against here – on the one hand, the ambitions of ownership and on the other hand the regulatory role, the issue of competition.
ParlaMint-NO_2001-04-26-2.ana.ud1107e459	We're up here in a situation where we're talking about choosing between two options. The only thing to do is to follow the path of the Right, to privatize the company and raise the capital through the market. The second is to make the decision that we propose to be made today, simply to add the Statoil money via public budget. But in both cases, we will be ahead of companies that will meet exactly the same challenge vis-à-vis the competition rules. I want to repeat the point that the representative Aud Blattmann made in a previous line: the challenge will be exactly the same, either one model or the other. But in that situation, we must be able to rely on the proper functioning of the Competition Authority and the ability at any time to evaluate individual purchases in such a way that one can be sure that the competition law is respected.
ParlaMint-NO_2001-04-26-2.ana.ud1107e464	Several have not asked for the word for a line.
ParlaMint-NO_2001-04-26-2.ana.ud1107e467	I want to stay a little bit at the line change that was now between the Right and the Center Party. I have a certain understanding that the Right wants to fish a little bit in piped water, when you look at how the center part of today has kind of broken a little bit in different directions. When you also know that the Right is at the Beelar Course in relation to the Centre, I have a little bit of understanding that the Right now makes even more complex for the Centre, and they have received good support from the Left in this matter. I then understand that it is important to get that point out in this debate as well. However, I found that an over-inspectioner chooses a lot from the Right. But I understand that, too, because if you want to privatize Statkraft, it's clear that for some reason it's just a lot of horses to play on. This is the private person to run. For the Central Party, for the Workers' Party, for the SV – especially for the SV – and for the Christian People's Party, an important part of the negotiations in this matter was to establish that the public ownership is established. In plain text it says what is on page 2 of the setting: ‘This majority refers to the fact that the ownership structure of State power and the law of repatriation and concession are established.’ So there's a multiple that confirms this. It is clear that given the previous case, Statoil-saka, it is good to know that at least in this case the public ownership is sure. SV is committed to strengthening the public ownership. That's why it was absolutely necessary for us to be in a multiple and get this in as a plural comment. Otherwise, the case had hardly got a plurality today. Based on the fact that there is an indestructible resource we are talking about, it is important that it is the people's property, that it is not privatised and sold abroad, as I believe Right and the Progress Party actually stands for when it comes to the piece – perhaps also the Left, without me being entirely sure of it. There was one more thing that SV was concerned about in the negotiations. It was that we had to have a discussion about what we want with the ownership that we have in Statkraft. Therefore, SV is pleased that we have received a comment that one should have a review of the development of State power as an enterprise and of the power industry otherwise, in 2002. Then you can get a thorough discussion about how this has been done and how the road should continue. Bent Höie wondered why we should wait for Statkraft to come up with privatisation proposals. What the Central Party, the Labour Party and the Christian People's Party have established is that one should not wait for it, for it will not come. That's what Stortinget now tells Statkraft. So when the evening post on April 20th this year speculates on this, and the director of Vareberg says that one should look for a lease with an exchange competence, we can say from the plurality that it is completely unnecessary. The ownership's stuck. It should be state ownership, and then we need competence for state governance of a state ownership. From the Left and the Christian People's Party there is a lot of talk about – and that is true of many parties – the importance of public ownership and regionally publicly owned companies with power of impact. Who disagreed with that? At least there was no SV, the Center Party and the Workers' Party in their comments. The problem is that with the municipal economy that a majority of the municipalities in Stortinget provide, they come into a compulsion situation by having to raise income to make investments. And that's where, to my mind, it's only SV that has a grip that no other party follows up. Then they can say that they follow it when they decide the budget and the local economy, but I think if you ask the municipalities, they'll answer that it's not the reality. Local authorities lack money. There's something this plural should do. Therefore, SV suggests that one should be able to demand a minimum price for the hall, a price that is consistent with the expansion of new power. I think it's very reasonable, but SV is all about it. And when it comes to this issue with regard to regional strength, of which the Christian People's Party, the Left and others are busy, why will one not agree with a proposal to offer municipalities cheap loans, so that they can rely on regional strength by getting them capital and loans from the state? That would be the logic, but it doesn't follow the logic, but it doesn't follow the logic. Left and Christian People's Party up. And then this doesn't really hang out. Now SV in this case could have signed up and said no, we don't want to be on anything, we don't want to be on this extension of this loan, because we can't get through all of our suggestions. But we choose to be involved not least because of this with the guarantee that Statkraft will still be state owned. I still have to problematize this a little bit, and there's a lot going on at the center of my relationship with the environment. The center part is constantly on the track talking about important values, they say it is important to bet on the environment, and it is important to do something about climate problems. Yeah, that's totally agreeable. But when it comes to concrete things, one is not willing to give a signal of guidance or put leadership on state corporations. Then one will not associate with SV and will say that Statkraft will not invest in companies that are acting contrary to the Kyoto agreement or that will not phase out nuclear power. You won't be able to join it. So one doesn't want an active ownership with a goal, one will just let them operate as a regular raw capitalist. SV believes that when an operator has government money, whether it's in the oil fund or State power, as they are doing now, a lead should be put on the investments that make an actual world in the right direction – in this case in the environment sector. I note that when it concerns the centre party and this problem, one says yes, one would like to have a better environment, yes, one would like to do something in relation to the climate problems, yes, one is against nuclear power stations, but one must therefore invest in it in Europe. I have a problem understanding this, I think this is somewhat similar to double standards. As I said, SV is for a strong public ownership. We have nothing against strong public-owned regional actors and to facilitate it in our policies. With this I take up SV's proposals.
ParlaMint-NO_2001-04-26-2.ana.ud1107e506	Hallgeir H. Langeland has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2001-04-26-2.ana.ud1107e512	It seems that the representative of Langeland believes that today's decision should stand as a wall around State power and secure them against privatisation. Then I would like to remind the representative of Langeland that the majority here also thought that there was a need for three oil environments in Norway, until the board of directors of Hydro thought otherwise. I would also like to remind the representative of Langeland that the majority of this House felt that a full-time state oil company was necessary, until the government of Statoil thought otherwise. And the reason the majority then turned around was that reality gained the majority. I don't have ambitions for reality to collect the representative Langeland, but I don't think it's long before Statkraft comes and asks to be part-privatized. At least they should do that after hearing the debate today. But now let's turn the problem a little bit upside down. What if Statkraft had been a private company that was getting the market position that they now have? Then, to put it graphically, Langeland had been lying above the ceiling in relation to protests on behalf of people who were concerned about market developments. Now he gives them a gift package and says: Keep up with that development! And that means that neither in this case is SV concerned with the conditions of ordinary people and the electricity bill of ordinary people, but rather concerned with the welfare of state companies.
ParlaMint-NO_2001-04-26-2.ana.ud1107e521	Yes, Bent Höie's reality can look dark, and it can look bright. Today, she obviously has a light over her head. At least his line gives an expression for it. But the reality of the Right I take with me a pinch of salt, and I also take with me a big pinch of salt the care of the consumer, the buyer of the power. So one might say that the Right is against all charges and against almost everything in trying to steer things in the right direction. That's exactly what you can do if you want to, in relation to state ownership and in relation to the governance that's in this room. One can actually adopt higher charges and lower charges. One can do so if one wishes. One can also, but it doesn't want Right, strengthen the public ownership locally, for example. by providing municipalities with an economy that they can survive. It won't Right. The right-hand side gives the municipalities the bad economy. The only thing that a single municipality can do to get money is sell its power plants. That's a good right-wing policy. Then one might say that makes the consumer feel better. Yes, it may sometimes do so, but overall, right-wing policies seem to feel the market forces. When the market goes up, the price goes up, and then the consumer has to pay. It is then in Right's society that the one with a lot of money can manage, while others who don't have the economy that Right's people have, it gets monthly worse and has to struggle to cope with everyday life. But the users who wear in everyday life are not particularly interesting for the Right, nor in this case.
ParlaMint-NO_2001-04-26-2.ana.ud1107e528	SV is concerned that the centre parties will not be involved and provide environmental signals to guide Statkraft’s investment. I'm more concerned that SV gives Statkraft many billions that enable them to act contrary to the leaders that Langeland wants to lay down. The reality is that a company that has ambitions to expand also in the European market will have to deal with companies that produce both coal power, nuclear power and gas power. They have been given the tools they now have, among other things. with the help of SV. So there's a reason to ask if this is an illustration of the level of ambition SV has when they're going to relate to the Workers' Party's dream relationship in government, that is, that one should have the opportunity to say what you mean, so loyally agreeing with the Labour Party with obedient voices. State power is becoming totally dominant in Norway, and one does not hide the fact that it is a goal. It is part of a long-term strategy on which to base Norway on expansion in Europe. If one is to be able to intervene with major European players, either by purchase or by merger, there will be tens of billions of dollars. It is possible that SV wants to contribute $10 billion, but there will not be a majority in this room. It will be the opening of the privatisation that strong forces in Statkraft want. What happens is that state power throws one stage into its strategy, and SV will be remembered as a useful co-player. Back in the Norwegian market is one without other robust actors.
ParlaMint-NO_2001-04-26-2.ana.ud1107e535	I tried in my post to clarify what SV has achieved in negotiations with the Workers' Party. A central issue for SV, but not for Right Light or Left, is ownership issues. The fact that a person can secure and keep things in public ownership is a very central point for a socialist. It is true that if it was up to SV, one would also have adopted more control signal than one now gets. I take note that here we have to do a better job in the next round, to the cottage, if there were to be a current issue in relation to government negotiations, which Kvassheim had to deal with. I think that some of the weakness of Left's argument is that a strong regional company, but one does not want to help the municipalities get an economy to have such a company – that is, the Left's argument is hollow. There is actually an argument to attract foreign actors, such as a knowledge Light should do to get money. It's true that SV and left are two different parties. I thought that the left now position itself very much towards Petersen and the right. I hope that's what the voters see and take notice of.
ParlaMint-NO_2001-04-26-2.ana.ud1107e544	The representative, Hallgeir Langeland, answered the question from Bent Höie about taking a long run. The question from Bent Höie was simply: on which side is SV? Are they on the consumer's side, or is it for the state company Statkraft that SV will now spend 6 billion of taxpayers' money? Because it's not like we have to grant 6 billion to make sure that the power companies are going out of public ownership. The reality is that 6 billion of taxpayers' money is spent on power companies going from municipal to state ownership. That's what's real. The alternative is not necessarily between public and private, but between municipal and state. What is therefore the reality is that, by spending 6 billion of taxpayers' money, the Swedish government increases market power. If that's the point, you should also say it. The question from Bent Höie about how SV would have handled the situation if it was a private company we had been facing here, was not answered either. Right here is a principle that applies to both public and private companies. We want competition, we want diversity, we want consumers. But I think that Bent Höie is right that if it had been a private company that was about to achieve the market power that Statkraft is about to have, then there would not have been a way of how this company would thin ordinary people. But when it's a state-owned company, you go into a situation of open eyes, a situation of competition supervision and the SSB warns against, a situation where the price to consumers will rise.
ParlaMint-NO_2001-04-26-2.ana.ud1107e551	Let me start by saying that I'm a bad jogger, but I'm a good team player – on football. And that's my starting point on this case as well. When it's possible to get a good result and win a fight over public ownership, I'd like to join that team. And so that's SV in this case. And then it gets a weird cut when Right asks which side SV is on – the users or Statkraft's side. Yes, it is possible for men to create contradictions! But who are the consumers? Who really is Statkraft? It's the Norwegian people who own Statkraft. Truers can also, through their position here, be involved in controlling that company for the benefit of consumers if he so wishes. But that's not what this is about. The interests of Right and Jan Tore Sanner are first and foremost – as in the past – to focus on a user consultant and consultant for $1 billion to privatize a state-owned company, that's to say that the stock market and the price go like an oil lightning, so that those who have axes get something again – that's right-wing policy! Then I thought that it would be sought to talk about who is SV thinking about – State power or the consumer – when one knows that what is closest to Right's heart, is the market and the stock speculator.
ParlaMint-NO_2001-04-26-2.ana.ud1107e558	The cord shift is over.
