ParlaMint-NO_2001-02-21.ana.ud63e36	The representative of Kenneth Svendsen will make a private proposal.
ParlaMint-NO_2001-02-21.ana.ud63e434	It is the Directorate for Nature Management that has taken the decision on the felling of wolves in the Norwegian region, and it is therefore also the Directorate that has arranged for the hunt that is now taking place in the Østerdalen. I trust that they have arranged for an effective hunt. We'll have to evaluate the results after the hunt is over. I do not exclude other forms of extraction of the wolf in the future. The most important thing is that we get an effective withdrawal, and I will deal with the expert authorities' assessments of how best we can do that.
ParlaMint-NO_2001-02-21.ana.ud63e440	There will be follow-up questions – Per Roar Bredvold.
ParlaMint-NO_2001-02-21.ana.ud63e443	I would like to ask an additional question, which also includes the wolf's act. There's a lot of ways to act like a wolf. My question is whether it might be possible to use helicopters, in the same way as when you're going to mark the wolf. This is quite effective, it is fast, and I also think it is cheap. In addition, the use of anaesthetics also allows the choice of the wolves to be killed and the ones not to be killed. It is very important that you do not kill the lead wolf, because if the flock has no lead wolf, it can spread and spread anxiety and suffering further. Another question: I assume that the number that has been informed is maintained, no matter how long the hunt takes. And a little humorous about what the Swedish Environment Minister said yesterday: Was it a Norwegian or Swedish wolf, what nationality did it actually have?
ParlaMint-NO_2001-02-21.ana.ud63e452	What is now happening in the Østerdalen is an extraction of wolves on the basis of a decision taken by the Directorate of Nature Management. It's not hunting in the traditional sense. For this reason, a professional assessment of the best practices to be used for the exclusion covered by the decision and which there is also a judicial decision in the right of access to justice. I appreciate the input from Stortinget on how such hunting can best and most effectively happen, and take it with me in the assessments I'm going to make, also on the basis of technical advice from the Directorate of Nature Management, who has experience in hunting predators. With regard to the tribe in Norway, I can confirm that the government is working on the basis of Stortinget’s figures, which are eight to ten family groups of wolves, and the tribe in our areas is Norwegian/Swedish. The wolf we shoot now is clearly in Norwegian territory, and can be said to be Norwegian.
ParlaMint-NO_2001-02-21.ana.ud63e461	The time for the oral question procedure is now over, and we're going to the ordinary question procedure.
ParlaMint-NO_2001-02-21.ana.ud63e466	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 5, from the representative Morten Lund to the Minister for Finance, will be answered by the Minister for Transport on behalf of the Minister for Finance, who has been removed. Question 10, from the representative Finn Kristian Marthinsen to the Minister for Transport, will be taken up by the representative of Unni Hennum Lie. Question 19, from the representative of Olav Gunnar Ballo to the Minister of Justice, will be answered by the Minister of Labour and Administration who will direct him. At the request of the Minister of Labour and Administration, this question is moved and answered in response to question 4, to be answered by the same Council of State.
ParlaMint-NO_2001-02-21.ana.ud63e482	I have the following questions for the Minister for Foreign Affairs: ‘The winner of the Nobel Peace Prize 2000, South Korea’s President Kim Dae Jung, has recommended Norway to establish an embassy in North Korea. Will the Government create a foreign station in North Korea in the light of recent developments?’»
ParlaMint-NO_2001-02-21.ana.ud63e491	First, I would like to say that Norway actively supports the convergence process between North and South Korea, which speeded up at the Pyongyang Summit last year. Nobel Prize winner President Kim Dae Jung, as we all know, has been an active driver in this process. Norway's involvement in North Korea takes place primarily through humanitarian aid. Last year Norway contributed about 30 million. kr for various relief measures. The relationship with North Korea was achieved today through our embassy in Beijing, which is constantly following developments in the country. The Norwegian ambassador also regularly visits North Korea. In the light of the convergence process between the two Korean states, we aim to increase our commitment to North Korea. It is therefore the Government's view that contacts with North Korea should be developed. However, we see this happening through more frequent visits to North Korea from our embassy in Beijing, and therefore within the current budgetary framework. We're set to this.
ParlaMint-NO_2001-02-21.ana.ud63e507	I thank the Foreign Minister for the answer, but I think it was too defensive and static. The rapprochement between North and South Korea is one of the most promising things now happening in relation to regional conflicts that we have had in the world in recent years. It is good that Norway engages in humanitarian aid, but it is also important that Norway assess what we can do to stimulate the ongoing process politically. And when the President of South Korea, which is the most central figure in this, believes that Norway should also do something about diplomatic representation, it should deserve a thorough consideration from the Norwegian side. We now see that several countries are changing their diplomatic relations with North Korea. The United Kingdom has decided to establish an embassy in the capital of North Korea. Countries such as the Netherlands and Belgium are now changing their representation by side accreditation to North Korea from Seoul in South Korea. It also seems that there has been a change in North Korea's attitude to page accreditation, that they are now politically accepting that it can happen from Seoul in South Korea. If you don't want to set up your own foreign station in the north, I'll ask the Secretary of State to consider asking him if someone will consider a page accreditation from South Korea.
ParlaMint-NO_2001-02-21.ana.ud63e518	Let me do three points. Point one is that Norway is very much involved in many peace processes around the world. We have a huge foreign policy burden now by being a member of the Security Council, we are chairing the Sanctions Committee against Iraq, we are going to take over the leadership of KFOR in a month, and we are headed by the donor group for the Palestinian territories. So it's a very demanding foreign policy situation, and we don't think we can spread much more than what we've now done. We have to do the problems that we've already done. Second, other countries have already committed themselves to the Korean question in a good way. They can keep doing that. I do not see that Norway can do anything further. There was no proposal when we discussed the budget to extend the Ministry of Foreign Affairs' budget to include a representation in North Korea. The question of page accreditation from South Korea we have not evaluated, but it can of course be considered.
ParlaMint-NO_2001-02-21.ana.ud63e531	I still think the Minister for Foreign Affairs has a far too defensive attitude to this. Of course, Norway is not going to spread too much, and we cannot be involved in resolving all the world's conflicts. But when the President of South Korea asks us for something, it deserves to be taken more seriously than the Foreign Minister's answer now had to be. With regard to a budget, it has not been said that one needs to do something in the current year that has budgetary implications, but if one is to do something, for example. in view of the next year, it should be planned and prepared now. If one has come to the conclusion that at this stage one will not create a separate foreign station in North Korea, what we can contribute politically and otherwise, might be easier to deal with if it occurs through a side accreditation from South Korea. I would therefore like to ask the Minister for Foreign Affairs once again that he takes a closer look at this issue and does not settle for the fact that everything is well as it is now.
ParlaMint-NO_2001-02-21.ana.ud63e540	I just have to say that the Ministry of Foreign Affairs must take care of the tasks that we have undertaken and that we have budgetary frameworks to implement. This enquiry by Kim Dae Jung came before the budget for this year was discussed, and if Kjell Magne Bondevik had a strong desire to implement this, it could have been included in the budget discussions with the Workers' Party. I can say that the Ministry of Foreign Affairs would not have taken a negative attitude to that. But there was no sign of wanting to get this into the budget framework. When it comes to covering this from South Korea, I think maybe the Ministry of Foreign Affairs can go through it. I feel that this is not necessarily a matter to be discussed in Stortinget, but of course we should look at the appropriateness of it. But the important thing is that we have to deal with the foreign policy problems we've actually dealt with. Other countries do a very good job on Korean issues. We're going to get involved, but I just have to say that it can't be a top priority task for us now.
ParlaMint-NO_2001-02-21.ana.ud63e554	I would like to ask the Minister for Foreign Affairs the following questions: ‘8. In February 2001, a member of the International Organisation Peace Brigades International was attacked and threatened by a paramilitary group in Colombia. [[PBI]] At the same time, the PBI was declared a military target for this group. 5 Northmen are among the 35 peacemakers for the PBI in Colombia. What has the Government done to ensure their security and to protest against the threats to which they have been subjected?’
ParlaMint-NO_2001-02-21.ana.ud63e563	Colombia is one of the world's most violent societies. Norway has been involved in the peace process in the country and has joined a friend country group together with Spain, France, Switzerland and Cuba at the invitation of the country’s government and the ELN guerrilla. There's a dialogue going on between the government and the two major geril organisations. In order to facilitate negotiations, FARC, one of them, was granted by the government two years ago a zone of clearance of 41,000 km2 in the southern part of the country. The parties have not yet come particularly close to a peace settlement. Nor is it open to a formalized international role in the government-FARC dialogue. The Government and the ELN, assisted by the Friends Country Group, have recently reached agreement on the establishment of a smaller ELN zone of clearance. The intended son is located in a very conflicty area called Magdalena Medio in the northern part of Colombia. The event on which the representative Mr. Rangtvedt is based was just happening there. The armed conflict in Colombia has been going on for 40 years. The most frightening development in recent years has been the emergence of paramilitary groups. Like the guerrilla, they finance their activities through the collection of protection money from drug traffic and ransoms for kidnapping victims. They have gradually been given a prevalence and a force for impact that allows them to perform actions throughout Colombia. Massacre of what they themselves refer to as ‘gerile sympathizers’ is their method. Through the involvement of the buddy country group, we are particularly concerned by the implementation in Magdalena Medio of conflict mitigation measures that can help the ELN's intended zone of freedom to function as a kind of ‘peace laboratory’, thereby consolidating the general peace process. Meetings involving Norway in the context of the country of friends are always recommended to the parties to the conflict to respect international humanitarian law and to reduce the suffering of the population. As a direct consequence of the incident that involved a Swedish member of the PBI, I have written a letter to my colleague in Colombia expressing Norway's concern about the incident. At the same time, I asked the Colombian government to do everything in its power to stop the development of violence. Without in any way minimizing the last incident, I would nevertheless mention that the two paramilitaries who threatened the Swedish observer later came back to apologize, while they stated that the PBI was not considered a military target. Nevertheless, we consider the episode to be very serious. It illustrates the need for the government to cleanse Magdalena Medio of paramilitaries. At the same time, the Ministry of Foreign Affairs has made it clear to the PBI that if the lives and health of observers are at stake, they must make a decision to withdraw them. Through its accompanying role in the peace process, Norway hopes to contribute to peace and reconciliation in Colombia. Norwegian involvement is considered to be significant and constructive by the government, the guerrilla and not least the civil society of Colombia. But we're prepared that the road can be long and difficult.
ParlaMint-NO_2001-02-21.ana.ud63e580	I thank the Minister of Foreign Affairs for the answer, and I understand that the Minister of Foreign Affairs has done a good job in relation to the concrete threats that the PBI was exposed to. This organisation is doing a very valuable job in Colombia at my discretion. The idea behind their activities is that the presence of representatives of an international organisation will contribute to the protection of peace and human rights activists. There was therefore every reason to take it seriously and say that it was unacceptable that the PBI was declared a military target, which fortunately has been withdrawn. The paramilitary groups in Colombia are responsible for about 80 pst. of massacres and political killings in Colombia, and very unfortunate contacts have been revealed between the army and the paramilitary. It seems obvious that the authorities are not doing enough to combat the violence for which the paramilitaries are responsible. The European Parliament has also recently adopted a resolution which makes clear demands to combat violence. I would like to ask the Minister for Foreign Affairs whether he is of the opinion that the Colombian authorities have made sufficient efforts to combat the violence of the paramilitary and whether Norway intends to call on the Colombian authorities to combat the violence of the paramilitary groups.
ParlaMint-NO_2001-02-21.ana.ud63e593	It is difficult to say that the Colombian authorities have done enough to combat paramilitary groups, but at the same time I would say that there are clear attempts to get it under control. Among other things, I can mention that Norway has contributed by bringing people here to the country to train military personnel in how to run a military organisation on the basis of democratic principles. However, it is probably a long way to go, and Norway is constantly in contact with the Colombian authorities on this very serious issue, which is an important obstacle to the peace process in Colombia.
ParlaMint-NO_2001-02-21.ana.ud63e598	Once again, I thank the Minister for Foreign Affairs for the answer. As the Foreign Minister himself said, Colombia is one of the world's most violent countries and among them with the worst scrolls in terms of human rights. Trade unionists, student activists and peace fighters are among those who are subjected to violence and threats. At the same time, the fear of persecution and commitment to creating peace and justice in Colombia are absolutely essential. In the opinion of the SV, Norway should be active in ensuring protection for policy-makers from Colombia, who are threatened for short or longer periods of time. In the past, the NOAS, the Refugee Council and Amnesty have proposed, among others: lifting the visa requirement for Colombia, introducing an increased quota for refugees from Colombia to Norway and the possibility for Colombians to seek asylum in Norway from Colombia. Has the Government followed up these proposals, or does the Government intend to follow them up?
ParlaMint-NO_2001-02-21.ana.ud63e607	I can't go into that specific question now, but I'm afraid it doesn't have much to do with the matter – how to protect peace activists in the country. And there we have to keep in touch with the Colombian authorities, as well as those who act in this area, have to be aware of the dangers to which one exposes oneself and others. Unfortunately, Norway does not have the means to protect those who want to get involved in this area, but we are absolutely doing what we can. The question about refugees and about Norwegian visa policy seems to me to be a different question.
ParlaMint-NO_2001-02-21.ana.ud63e615	I have the following questions for the Minister of Defence: ‘The Government suggests that an extension of the territorial limit from 4 to 12 nautical miles could be an instrument to increase coastal preparedness. Such an extension means that the defence must be provided with additional resources. As a minimum, and probably the most effective instrument, radar surveillance is well combined with other information that can contribute to the effective enforcement of Norwegian sovereignty in the area. Can the Council of State explain what is needed to ensure overall maritime surveillance?’
ParlaMint-NO_2001-02-21.ana.ud63e624	I have now three times in Great Britain's Question Time explained different aspects of maritime surveillance, and on this occasion I do not want to repeat myself or the other government councils have said about this, but refer to various answers to various questions. As the representative of Bastisen is familiar with, the Government will assess the possibilities and consequences of extending the territorial sea. This action could help to strengthen coastal preparedness if combined with other measures. Of course, monitoring will be an element in this context. Another would be to move required sailing leaders further out of the coast. An extension of the territorial waters could improve the response time for vessels entering or in transit into Norwegian waters. An effective sovereignty exercise requires the defence to have sufficient presence and systems to monitor the activity. The impact of such a measure on the defence is under investigation.
ParlaMint-NO_2001-02-21.ana.ud63e633	I thank the Council of State for the answer. In St. prp. No 45 for 2000-2001 describes the need to monitor our areas and the defence must have effective and credible capacity for resource and environmental control. Effective and credible sovereignty requires sufficient resources to monitor the activity in our areas. The presence at short notice of appropriate materials and personnel, adequate monitoring, reinforcement of their usability and response time and border surveillance along the Norwegian-Russian border are mentioned as important tasks, but not border surveillance along the coast. Finally, it appears that the defence has an important role to play in coastal preparedness. Despite this, the defence's coastal radar and the lack of surveillance resources are not mentioned in one word. Is it so to understand that this is not to be regarded as structurally dependent resources and that an extension is within the scope of the plan, regardless of St.prp. No 45?
ParlaMint-NO_2001-02-21.ana.ud63e642	I am pleased that the representative Bastisen has come a long way to read St. prp. No 45. It is a very solid document, and I am pleased with the references to it. I've answered the question about the coastal radar chain before. It has an important role, regardless of what it says, and what it doesn't say, in the proposition, and nothing new has happened there in relation to the answers I've given in the Storting in the past. The problem is that while the chain in the north is in good condition, the chain in the south is not in good condition. And we can't count on much money from NATO's infrastructure resources, and so we have an economic problem with this part of the coastal radar chain, which I mentioned earlier. So we have to come back to that in a budgetary context. Unfortunately, it is not possible now to pre-shoot it.
ParlaMint-NO_2001-02-21.ana.ud63e651	I thank you for your answer. I have an additional question. On 14 February, the Coastal Director stated in a chronicle that the Coastal Agency is responsible for surveillance of the coast in peacetime, and the Defence primarily in wartime. He goes on to say that the Coastal Works must have the central role within this area, with the support of the Maritime Defense. This corresponds to the signals received by the Storting, where the Ministry of Fisheries has investigated the possibility of coordinating existing monitoring resources. In the light of the former opinion of the Minister of Defence, the contents of St.prp. No 45 and the fact that the defence has already investigated the technical solutions and the economic consequences, it seems strange – it may be time to promote the need and provide a recommended solution. Does the Minister have any comment on that?
ParlaMint-NO_2001-02-21.ana.ud63e660	Yes, it is always time to promote a recommended solution, but there have not been so many weeks since the Minister for the Environment took the initiative to meet the relevant government councils, which have followed up well internally in the government, and where the government has of course been in contact with the many – I stress many – underlying agencies, so that we can get the best possible overall management of the issues that the representative Bastes is rightly concerned with. And so it is not possible for me, as one of many expert councils concerned, to give the answer here and now, but it is in the initiative taken by the Government and coordinated by the Minister for the Environment that the overall response of the representative is coming.
ParlaMint-NO_2001-02-21.ana.ud63e668	I will be allowed to ask the following questions to the Minister of Labour and Administration: «In connection with the treatment of Innst. S. No 243 for 1999-2000 13 June 2000 the Government was asked to set up an investigation commission on the pioneer diving in the North Sea. Furthermore, it was asked that one assessor to give the North Sea dive alliance an observer spot in this commission. 8 months have passed since this decision was taken, and I therefore find reason to ask whether this Commission has now been reduced, what diving competence it has, and whether the North Sea Diving Alliance has received observers’
ParlaMint-NO_2001-02-21.ana.ud63e677	The work of setting up the Commission has taken longer than expected, and I regret that. This has its background in the fact that it has been difficult to find candidates with the right skills. The diving environment in Norway is small, so the number of current candidates has been relatively limited. Furthermore, the Commission shall be independent, which means that both authorities and persons who have previously been involved in the diving activities on Norwegian pedestal cannot be present in the Commission. This has also further limited the range of current candidates. It has been important for me to avoid any doubt as to the competence and the capacity of the Commissioners. For this reason, the selection process has taken time. However, I can assure you that the Commission will be set up in a very short time. I have also suggested that a relatively small commission be set up, consisting of four people. They will have legal, medical and technical competence. In addition, I have placed great emphasis on the Commission’s use of other available medical and technical skills both domestically and abroad. I noticed that the Storting has asked the Government to consider giving the North Sea dive alliance observer status in the Commission. The Government has not formally appointed the Commission yet. However, I can assure you that it is a prerequisite for me that the Commission should ensure a good dialogue with all stakeholders, including representatives of the divers, in order to clarify all matters.
ParlaMint-NO_2001-02-21.ana.ud63e688	I thank the Council of State for the answer, and I really hope, as the council says, that the interests, among other things. to the North Sea Diving Alliance and the North Sea Pioneer Divers will be properly maintained. It has per cent. Today, I must say, not only took a long time; I think it has taken an unreasonable amount of time to reduce this Commission. When it takes more than eight months from Stortinget's decision to the department implements the decision, I think it is really critical. And when the Council of State says here that there is a relatively small diving environment in Norway, I can't believe that it's going to take eight months to grasp the competence that's going on. I hope that the Council of State will now take the ball that he will once again assure that he will ensure that the North Sea dive alliance will be given observer status in the Commission.
ParlaMint-NO_2001-02-21.ana.ud63e697	I hear what the questioner says, and I just refer to my first answer. I agree that this has taken an unreasonable long time, perhaps a very unreasonable long time. We've been focusing on this, and we'll be appointing the Commission in the next few days. How we manage the relationship between the Commission as a Commission and all the interest groups, including the diving environment, which should have ample opportunity to bring their views on the ground – how to organise this in relation to whether it should be observer status, or there should be reference groups, or in what way we should organise it – I will come back to when the Commission is appointed. But I can assure you that these interests will come to light and be evaluated.
ParlaMint-NO_2001-02-21.ana.ud63e704	I thank you once again for the answer and look forward to these things being followed up. The North Sea dive alliance, which is a union for those who, among other things, In the North Sea, several resource people who have really put their lives and souls in the process of identifying and clarifying part of what has happened, and they have spent their private money for this. It's now reached a point where you've actually run out of money, and the last week even went with the computer of this alliance broken. In order to use the competences of these persons and the recorded data held by them, the Council of State will take an initiative to assess whether or not to go in and see if a project support can be provided to this organisation, including: can the necessary information be put in place and use this competence that these persons have? The Council of State will take an initiative towards these persons in order to get them on the road and to help in the work being done.
ParlaMint-NO_2001-02-21.ana.ud63e711	Of course, if I receive an application, it must be considered very seriously. I am also concerned that the experience, competence and information they hold are secured in such a way that it can be used both in the Commission's work and in the future.
ParlaMint-NO_2001-02-21.ana.ud63e716	Then we go to question 19.
ParlaMint-NO_2001-02-21.ana.ud63e722	This question, from the representative of Olav Gunnar Ballo to the Minister of Justice, will be answered by the Minister of Labour and Administration who will direct him.
ParlaMint-NO_2001-02-21.ana.ud63e725	I will ask the Minister for Labour and Administration the following questions: «A report on the news transmission of the TV 2 on 11 February 2001 shows that random persons can obtain the personal numbers of others by calling public files and asking for the number. The report also revealed the possibilities of abuse available for access to other person numbers, including through the use of false identity. What measures will the Council of State take to ensure better privacy than today?’
ParlaMint-NO_2001-02-21.ana.ud63e734	Initially, I would like to make a brief remark that a great deal has already been done to strengthen privacy in recent years. On 1 January 2001, a new law and new rules on personal data entered into force. The new law will help to strengthen privacy to a greater extent than previous laws. The question raised by the representative Olav Gunnar Ballo relates specifically to the misuse of the person number of others. I would like to point out here that, according to the Administrative Act, the personal number is not a language-related information. This is actually a conscious choice. Personal identification number is an excellent means when used for identification where there is a need for an overview of a number of persons. At the introduction of the personal identification number, it was precisely intended that each person should receive a unique number for identification and that the number should be used where there is a real need for it. Each person will be served with a good tool to identify and separate persons. Therefore, when the personal number is correctly used, it will be a strength for privacy that this is public. Therefore, it is not appropriate to exclude the personal identification number from the public. However, the personal identification number is not suitable for identification and its use as a means of identification should therefore not be accepted. As the report on TV 2 showed, it is now easy to obtain the person number of someone else and to easily abuse this knowledge. It is therefore important to have a general understanding that the personal identification number cannot be used in the same way as a pin code, which only the holder of the code should know. Therefore, the use of a personal identification number practice needs to be changed. It will initially be up to each enterprise itself to comply with this. In my opinion, it is not desirable to classify the personal identification number as a language-related information. The law, as it stands today, presupposes that individual businesses are following up their responsibilities in order to require a secure identification of the tasks that require it. However, I believe that the identified abuse potential makes it necessary to consider whether it should be specified in the law or regulation that the personal identification number should not be used as an identification. I would therefore like to take the initiative in such an assessment.
ParlaMint-NO_2001-02-21.ana.ud63e751	That was my natural follow-up question. I think what the Council of State says is completely logical. In order to obtain a personal identification number other than that of the person concerned, it is also necessary to ensure that it is not misused. My question in principle would then have been: Will the Council of State take the initiative to change the law and regulations in order to prevent abuse? Now I understand to the Council of State that he will take such an initiative, and I am pleased about that. Then I think I have achieved what I was looking for with the question I asked.
ParlaMint-NO_2001-02-21.ana.ud63e760	I can only confirm that the representative has achieved what he wanted.
ParlaMint-NO_2001-02-21.ana.ud63e765	So we go back to question 5.
ParlaMint-NO_2001-02-21.ana.ud63e772	This question, from the representative Morten Lund to the Minister for Finance, will be answered by the Minister for Transport on behalf of the Minister for Finance.
ParlaMint-NO_2001-02-21.ana.ud63e775	I will be asked the following questions: ‘Due to the EEA Agreement, Norwegian industry may be charged additional electricity taxes and other environmental taxes of more than 7 billion. krona per year, according to Today's Business. This could be imposed in Norway despite the recent decision of the Stortinget by a solid majority that the industry should be exempt from electricity taxation. The special exemption from the electricity charge in Finnmark and Nord-Troms may also be lifted. Will the Government accept that Norwegian tax policy is increasingly determined in Brussels?’
ParlaMint-NO_2001-02-21.ana.ud63e784	The tax area is not covered by EEA cooperation. This means that the Norwegian authorities themselves decide which taxes and taxes are to be imposed. The level of taxation is also determined nationally. However, the definition of national fiscal policy must take into account the general principles of non-discrimination and the rules on State aid contained in the EEA Agreement. State aid includes, in the EEA context, aid in any form, including tax and tax reductions that confer economic benefits on specific undertakings or activities. What obligations we have in the various contexts need to be clarified. The review of the current economic situation last week was linked to the recently adopted guidelines of the European Commission on the treatment of State aid granted for environmental reasons. The guidelines clarify the State aid rules. The ESA, in accordance with established practice, is expected to adopt similar guidelines and to address Norway with regard to the possible adaptation of Norwegian aid schemes covered by the guidelines. The Government will examine on its own initiative the existing exemptions/reliefs granted and assess whether they may be affected by the guidelines. I will come back to what leads this might have for, among other things. industry exemption from electricity charge.
ParlaMint-NO_2001-02-21.ana.ud63e795	I thank you for your answer. I guess that's about what I was expecting. We have come into a very special situation. We're allowed to decide our taxes and taxes ourselves, but ESA can try it out, and that's what's going on right now. So it was a solid majority in Stortinget that said that the industry would not pay the electricity tax. We were fully aware that this was an advantage for the industry. That's why we decided. We were also aware that there was a discrimination in relation to households, as the ESA has been involved. That's what we wanted, and the industry was very pleased with what happened. The EU has now come to the conclusion that this is illegal State aid, for ESA has said that they do not expect that there will be any political resistance in Norway based on what has happened here. In fact, in order to do something about this, Norway has to use the EFTA Court, because this is not a decision where we can use our right of reservation. We have to take this up in court. In order to defend the right of the Storting to determine our fees, will the Government go to the EFTA Court on this matter?
ParlaMint-NO_2001-02-21.ana.ud63e806	The representative of Lund refers to this as if all issues related to the EU clarification of the State aid guidelines have been clarified. They're not! As my main response showed, first of all, we expect ESA to develop guidelines. We have not received them. Secondly, we want to have a review of the arrangements we have, in the light of the guidelines we are now seeing adopted. That review has not been carried out. It is only when we have made the necessary assessments that it is also possible to assess what steps it is natural and appropriate to take in this situation. Our starting point is to provide arrangements that provide a good framework for business and housing, within the contract work we are obliged to do. This is the basis for the assessments we want to make.
ParlaMint-NO_2001-02-21.ana.ud63e815	My opinion is based on what is referred to in the media, the head of ESA, Knut Almestad. He calculates the matter as being settled – and clarified, and that the decision to pay the fee must be reversed. This is quite indicative of what the EEA Agreement is, it is not a bad housekeeper's contract, it is worse than that, because the farmer can change any point without notice. Industry was guaranteed zero-customs through the free trade agreement we had, with the exception of food. The EEA Agreement did not confer any benefit on industry, but now they are being penalised by virtue of the EEA Agreement, which has been mentioned as so beneficial. Industry itself has described the effects on employment if they are to be imposed such taxes as they now seem to have: many thousands of jobs can disappear. There are many people who have thought that it could be just as good, and that the flow used by the industry is being transferred to the private sector. Does the Council agree whether it should go so wrong that we have to introduce these environmental taxes, that it also has such positive effects?
ParlaMint-NO_2001-02-21.ana.ud63e826	As far as the general position on the EEA Agreement is concerned, it is not particularly eye-catching that the representative Lund here brings to the square, it is opinions that we are accustomed to from that point of view. However, with regard to the importance of the agreement for industry and business, it is clear that this needs to be seen in a much wider context. Then it is quite obvious that the Government does not share the view that this can be unequivocally negative. Of course, we will look into these assessments with a positive attitude, assuming that the decisions taken in the Stortinget are taken, and then we will make the necessary assessments and clarifications – and come back to these questions to the extent that it is necessary to get to the Storinget with this. That is where the matter stands today. Before we get any further into the assessments, it is also not possible to provide any concrete answers to the questions raised by the representative.
ParlaMint-NO_2001-02-21.ana.ud63e836	I will ask the following questions to the Minister for Local and Regional Affairs: ‘Women who have been persecuted and abused should be able to obtain residence permits in Norway, according to 1998 guidelines. In the newspaper on February 15, 2001, it appears that there is currently no permission to suspend women under these rules, although there are several examples of this rule being applied. What will the Council of State do to ensure that female victims of violence without Norwegian citizenship are protected under the 1998 guidelines?’
ParlaMint-NO_2001-02-21.ana.ud63e845	It is not right that asylum has not been granted under the new guidelines. Some Bosnian women have been granted asylum after rape on an ethnic basis. Some other women have also received asylum. The fact that women have been granted asylum on this basis has to be seen in the context of having their asylum application justified on the grounds that they are at risk of gender-based persecution. As is well known, it shall always be assessed whether a person who, by virtue of the rules, is entitled to an asylum refusal shall nevertheless be granted authorisation for reasons of high human interest, so-called a humanitarian residence permit. An overall assessment shall be carried out, where previous abuses are always central to the assessment of the existence of strong human considerations. Of those seeking asylum in Norway, nearly half are granted a humanitarian residence permit. Many women have received and are granted a humanitarian residence permit precisely because of abuse or because they have been subjected to serious abuse. The fact that an abused woman has no effective means of breaking out of a marriage because of divorce laws etc. in the country of origin, is another relevant moment. These women do not risk persecution in the sense of the Refugee Convention by return. However, they have received a residence permit, because we believe there are strong human concerns. There are no statistics on the number of women who have received a residence permit due to gender abuse, because the statistics do not distinguish the reason for granting a residence permit under the second paragraph of Section 8 of the Act. The aim of the 1998 guidelines was that several of those who until then received a humanitarian residence permit should receive asylum, not that more persons should be granted a total residence permit. One of several important changes in principle, which was clarified by the 1998 Guidelines, was that persons persecuted for sex or sexual orientation should be granted asylum. Women who are abused in living conditions are further entitled to a renewed residence permit under the foreign regulations of Section 37, sixth paragraph, if they or the children have been subjected to abuse in the relationship. The woman is required to have a residence permit in Norway for such a new authorisation to be granted on her own basis. There are low demands for evidence, and most of the cases are granted by the Directorate of Foreign Affairs.
ParlaMint-NO_2001-02-21.ana.ud63e856	I thank you for your answer. The aim of the softening in 1998 was to secure more abused and persecuted women's access to asylum. It is alarming that several organisations are now demonstrating serious examples of non-compliance. It is also alarming that there are many examples of abstinence based on sexual discrimination. Your daily headline is one example. Another example is a Chilean mistreated woman who was sent from Haugesund with her teenage children to a very insidious presence, and the man was sentenced to prison for assault. Will the Council of State take the initiative in softening the situation in order to ensure more upswing and asylum?
ParlaMint-NO_2001-02-21.ana.ud63e867	Firstly, the 1998 guidelines are followed. So it is not right, as the representative Meltveit Kleppa now says, that they are not being followed, but with the foreign law that applies, there are some criteria for staying on asylum grounds, among others. that there must be persecution from which one comes. But like the previous government – and we have no less commitment to gender perspective or women's perspective than the Government of Bondevik had – we believe that these are very important and serious issues in relation to women who are being abused and subjected to abuse. There is also the background to the fact that many of the women who are just staying in Norway on a humanitarian basis, that we believe that there are strong human concerns that make many of the women stay in the country. The size has now also to treatment St.meld. No 17. And I expect that in that context, too, we will have ample opportunity to discuss this further. I have now also taken the initiative to review the Foreign Affairs Act in its entirety in the light of the time we now live in, which is different from when the law was created, and one of the things that we have to look at is precisely what concerns the gender perspective and the women's perspective.
ParlaMint-NO_2001-02-21.ana.ud63e876	Governments may select two angles when receiving alarm messages in relation to the current situation. She could say, here's the law, here's the direction, this is good, the direction lines are followed. Or she could say, yes, I'm going to say that the guidelines are being practiced liberally, I'm going to change the law if necessary. She has power, she has the right to initiative. Stats state that statistics are not available here. Statistics can be used so often, but here it might be necessary as a supplement; it applies to all copies. Does she want to make sure that there are better statistics here, and will she, with the commitment that she says she has, sympathize with, when one of these examples clearly sees that there are strict guidelines here, that we get a softening?
ParlaMint-NO_2001-02-21.ana.ud63e883	It's not like I'm just saying I have a commitment to this, I have a commitment to this, and it's been a long time before the case was mentioned in the Newspaper, I've had it over several years in my various roles in political life, both in government and magnificence and in partisan context. And I'm at least as busy with this as the previous government was. So I don't think this case serves for one to drive and construct differences between two governments. The guidelines require me to be followed. With regard to the specific individual issues, I have no opportunity to go in and comment on each of them. I also do not have any authority to go in and instruct in individual matters any longer after the decision of Stortinget zejl. That's the situation after 1 January. So it is that I have taken the matter into account, in the sense that I have signaled a rather precise week ago today that I want a review of the Foreign Affairs Act. One of the things that I want to look at there is exactly what's about sex, and that's about women. So it's also so that we do a lot of things in the short term, and we get the opportunity to discuss it in the context of that message as well. Statistics are also something I want to assess in more detail.
