ParlaMint-NO_2001-12-05.ana.ud1368e69	Representative Rolf Terje Klungland will make a private proposal.
ParlaMint-NO_2001-12-05.ana.ud1368e843	The United States and the Allies are winning the war in Afghanistan. Now we have to make sure not to lose the peace. These include: on reconstruction. After 20 years of war, the infrastructure is completely destroyed. Large populations have fled from their homes. National construction in Afghanistan begins by repairing the ground wall. There is a lack of political stability. There are currently no public authorities capable of providing basic services such as education, health and safety for citizens. The country cannot do this on its own. The international community will have to make a determined and coordinated effort to win peace, including in the long term. Here we are faced with three difficult tests. The first is whether the international community is able to coordinate and provide effective assistance. The second is whether we are able to avoid the CNN effect and stand by the commitments over a longer period of time and carry out the reconstruction. The third test is whether we can make the political, the humanitarian and the aid work together. At the same time, we must not be tempted to forget other countries and regions that are in a critical phase after war and conflict – and many are there right now. We have proposed to increase the transitional assistance by 45 million. D in relation to the last government's proposal for a decision. Both in Afghanistan and in several areas of Africa, such Norwegian support will be used well in the coming year. I am pleased that the majority in the Committee concludes on this proposal. Transitional assistance is a good example of a field in which the United Nations system and international development institutions will be key actors. They will be most important to manage to close the gap between humanitarian aid and long-term development cooperation. The 10-point humanitarian strategy discussed by the United Kingdom in January 1999 also provides a solid basis for this. This showed that Norway will be at the forefront of a fully integrated and strategic approach to humanitarian aid, peace and reconciliation and development. This is a consciously poverty-oriented commitment to education and health, to the environment, democracy and human rights, and to funding mechanisms that fill a critical gap between emergency aid and long-term action. We're following this up now. The governance of cooperation will pursue a development policy with a focus on poverty reduction. We will contribute to the achievement of the international development goals to which the United Nations Millennium Assembly has joined. This applies not least to halving the number of people in extreme poverty by 2015. To do this in the most effective way possible, we will present an action plan on poverty reduction in February next year in connection with the 50th anniversary of Norwegian development cooperation. I am pleased that the budgetary suspension confirms the broad consensus that is now on the main lines of Norwegian development policy, and not least the escalation of the level of ODA-approved aid to 1 pst. of GNI. Evolution is to gain freedom, the freedom to choose a better life. This is what Norwegian development cooperation should really support: helping to create opportunities for people in poor countries and poor people to make use of their own resources and their own rights to rise and be raised by poverty. Aid alone is not sufficient to combat poverty. The rich countries also have a heavy responsibility to contribute to poverty reduction, to framework conditions. The first major breakthrough came with the so-called HIPC initiative around 1995. The need for an overall approach to solving debt problems was put on the agenda. The scheme has been significantly expanded and improved and is an important contribution to development policy. Today in the budget, our own debt plan is expanded in relation to middle-income countries and countries that are just coming out of conflict. This puts Norway back in the first place in the fight to solve the debt problems of poor countries. Trade is another prerequisite for development. Also in the field of trade, positive things have happened, and actually almost another breakthrough that we experienced in the developing world at the Doha WTO meeting last month. Here we need to be able to follow up not only the MUL Conference on Trade in May this year, but also the events that took place in Doha, so that the results of developing countries become a reality for the poor. Not least, it will be important to strengthen technical assistance for trade promotion, but also the market access of developing countries to Norway. Education will be job no. 1st@item: inlistbox That is the first priority of this government. Education is a fundamental prerequisite for combating poverty and for economic and social development, as well as the development of a democratic society. We want particular attention to be paid to the right to education for girls and women. In the supplementary proposal, we have proposed to increase aid for training of regional appropriations for Africa and Asia by a total of 31 million. kr. An important change in relation to the previous government’s draft budget is related to the civil society item, which is proposed to increase by 40 million in the supplementary proposal. kr. The reason is that we focus on volunteering and civil society, and not least on the voluntary organisations as good partners, and grassroots-oriented them, in the development work. It is essential to strengthen the development of their own democratic institutions and processes by the co-operative countries, and I am thinking in particular of the ‘watchtowers’ of society: free media, parties and various institutions of civil society. Here we will bet stronger in the time to come. We will also focus more on development cooperation that helps to strengthen the economic growth of developing countries themselves. We will therefore pursue the follow-up to the Strategy for the Development of Enterprise in South, launched in February 1999, through a number of actions. Health is a fundamental prerequisite for development. Therefore, we will put the fight against the HIV/AIDS epidemic in the high-seat. Work on setting up a new global fund to combat HIV/AIDS, tuberculosis and malaria is likely to be completed next week. In early 2002, we will take a position on the amount of funds to be channelled through the new fund and on the amount to be avoided through other channels. A great deal has happened in 50 years in terms of our own approach to development cooperation and our contribution to the international dialogue. It has become a broader and deeper recognition that economic growth, good governance and the fight against poverty are aspects of the same thing. And in the case of good governance, I can assure the representative, Höglund, that strict demands are being made on the Palestinian self-government authorities and their administration of Norwegian aid funds. As I have also stated in my own written reply to the representative, Höglund, we closely monitor the management of Norwegian aid funds, and we have no indications that there is any abuse. In the context of development, there is also a broader recognition that national ownership is a prerequisite for development. In particular, there is a growing understanding that assistance from different donors needs to be coordinated within a common framework. The decision of the OECD Development Committee on the decoupling of assistance last spring is important in this context. It will put developing countries in the driver’s seat. The increasing emphasis on developing countries developing national poverty strategies, on the need for donors to support their work, is an important step forward. However, there are still major challenges to ensuring implementation, not least in developing common requirements and procedures. As part of our efforts to achieve the best possible efficiency and concentration of our assistance, we have proposed a further review and reduction in the group of other cooperating countries and countries receiving support from regional allocations. Country elections are important to contribute to poverty reduction. By channelling our cooperation to countries where the effect is assumed to be greatest, and where we have a presence and comparative advantage to contribute, we will be able to get the most effect out of each krona. A guiding principle in our relationship with the main cooperation countries is that cooperation should be based on holistic thinking and long-term sustainability. We therefore need to give countries a thorough assessment when we include them in the group. There is a need for a more thorough review of Zambia’s status. The country's democracy is being put to the test at the presidential elections on 27 December this year, and we will come back to our assessments in relation to the Great Britain after that. We closely follow the developments in the peace process between Ethiopia and Eritrea. The peace process will enter a crucial phase in the next six months, and we will also focus on the review of this in relation to the assessment of whether we can get Ethiopia back into a main cooperation group, and not least on whether developments in the country are taking a positive direction in relation to democracy, political pluralism and the protection of human rights. Mali is qualified both according to poverty criteria and with regard to the situation of governance sets and its own development policies as a close co-operation country for Norway. In the light of the forthcoming elections in the country and after a detailed assessment of the comparative advantage Norway can have in order to contribute here, I will return to Mali’s status. With regard to the other countries mentioned in the referral, we will make a concrete assessment of the status of the countries on the basis of whether Norway has specific prerequisites for closer cooperation. As early as February, I will visit Rwanda and other countries in the conflict area around Great Lakes, the Great Lakes, along with my British, German and Dutch colleagues, and then get a better picture of the situation. It will provide the basis for the review we are going to do in this area, and then we will focus on the regional role and contribution to stability and the link between humanitarian transition and long-term cooperation. This will be the basis for the assessment for both Ethiopia and Rwanda. As the Committee and the European Parliament have requested, I will come back with a detailed assessment of all these issues and a report on the Storing of our assessments in relation to country elections in the context of the development policy presentation in spring 2002, in view of the follow-up to the 2003 State budget.
ParlaMint-NO_2001-12-05.ana.ud1368e894	It's going to be line change, limited to three lines.
ParlaMint-NO_2001-12-05.ana.ud1368e898	I understand that with a large aid budget and many projects it is difficult to know and to be aware of everything going on. Nor can we, as an aid provider, take responsibility for everything that happens. I'll put that in the bottom. I would like to return to the assistance to the Palestinian self-government areas, because it is given to an area of the world that is very intense and where there are many conflicts that are latent. It may be appropriate to be extra careful with that assistance. Some of the assistance is provided in relation to education: school buildings, retraining and teacher training. As far as I know, it is not necessarily directly related to teaching material, but nevertheless to teaching in general. The aim of the funds is, inter alia, to: promoting respect for human rights and contributing to dialogue and understanding between different peoples. At the same time, much of the literature used contains very strong claims that do not contribute to this. When children are taught with that kind of material, in our opinion, it has long-term negative effects. I want to take a simple little example from a sixth-class textbook: there is no alternative to the destruction of Israel. These are strong claims. My questions to the Council of State will then be: Is it acceptable that this form of propaganda be used in the teaching of Palestinian children, a teaching largely funded, at least indirectly, from Norway? If the Council of State agrees with me that this is unacceptable, what will the Council of State do with that?
ParlaMint-NO_2001-12-05.ana.ud1368e907	I can assure the representative, Mr Höglund, that precisely because the situation in the Palestinian territories and the Middle East is as intense and as difficult as the representative describes it as it is, we are particularly sensitive. We monitor the funds very closely. In fact, the National Audit Office has sent its own delegation to the Palestinian self-government areas, just to monitor how Norwegian aid has been used. The report they came back with was, in fact, that they did not find any criticism in the management of the Norwegian aid funds. Most people in Stortinget know the Riksrevision as being relatively careful. This means that we have been very careful in selecting sectors, in selecting areas of intervention and in choosing whom to cooperate with within the Palestinian authorities. Our people who, according to what we can judge, have done a very satisfactory job in this area. We have no indication that Norwegian aid has been misused. Then we have the question of education. One of the most important things to prevent conflicts and new spirals of violence in this area must, of course, be to support educational efforts, to provide children and young people with knowledge so that they can increase and improve their resources in order to take more responsibility for their own lives and families. When it comes to teaching materials, I have no indication that any of the teaching materials have been funded using Norwegian funds. On the contrary, we have tried to do this a little bit later in the seams, and as far as we are aware, it is not that Norwegian funds have been used for this. With regard to the content of the learning material, all nations in their sovereigns are entitled to choose the type of teaching material they want to use and the device on it. We don't have a chance to overdo it. But it is clear that these are issues that could be raised at a more political level, as part of a peace process dialogue with the Palestinian self-government authorities. In case the Minister of Foreign Affairs will have to be responsible for that.
ParlaMint-NO_2001-12-05.ana.ud1368e918	The support that is available to the population must be maintained at all times. Therefore it is good to see that the Peace Corps is now on the bed again. Now we need to learn from the errors one has done before. It was not for nothing that the Peace Corps was laid down a few years ago. From the point of view of the SV, we should learn from the work done by the Forum Syd in Sweden and the Central People's Cooperation in Denmark, in such a way that one suggests that parts of the activities of the Peace Corps become Norwegian voluntary organisations that engage in two-way exchanges, for example. youth groups over shorter periods of time. We must not forget the important people to the people-part of the aid, that a exchange of information, and that the Norwegian opinion is once again gaining knowledge about other countries. I know this part of the work of the Latin American groups in Latin America. Youth is there for six months, traveling around public high schools, in assemblies, and in trade shows, informing and displaying slides. One gets an unlikely amount again for a small amount of money. I want to ask the Council of State what kind of vision it has on the contents of the Peace Corps, and how one should organize it.
ParlaMint-NO_2001-12-05.ana.ud1368e927	tRepresentant Jacobsen and I fully agree on the importance of creating and stimulating such an engagement among young people, and that's exactly why we wrote about the Peace Corps. The last thing I actually did right before I left as a state council last time was to put in place a new peace corps. From being a peace corps of relatively old experts — to say the least — with an average age of 45 years, which seemed to be the same to everyone else in the context of development, it became a peace corps of young enthusiastic people who undertake over time to do solidarity work where the exchange goes both ways. So for information for the Stortinget, we now have representatives from several developing countries who are here as peace corps in Norway. I think that's an exciting and funny new twist, with which we have very good experience. So the first one is right over here. When it comes to what I think the representative is actually dealing with, it's a little bit in the younger age group, because the age group for the Peace Corps is from 22 to 35. In my opinion, we must not weaken the main point of the Peace Corps, which is solidarity efforts over time, a little long-term commitment, not just an exchange back and forth over a few months. I want to keep the intention and the arrangement for the Peace Corps. But the government and I are concerned that we will get a solution for the youth programmes that are operating on a shorter exchange scheme. I can promise the representative we're working on in the department. We want to have a dialogue with the Norwegian National Council for Children's and Youth's organisations and other environments on how to find a solution in relation to the young age groups, which are around the ages and around 20. That means keeping the Peace Corps the way it is made, as a long-standing commitment of solidarity, over one to two years. But we're going to find a system in relation to the youngest groups.
ParlaMint-NO_2001-12-05.ana.ud1368e936	State Councillor Hilde Frafjord Johnson said in his speech that the war in Afghanistan is over. Yeah, is it really? The war was also "over" when the Soviets withdrew, but history has shown that the war is not over. With regard to Afghanistan, the situation is that the North Alliance has secured a solid foothold and that some within the alliance have expressed that foreign peace forces are not desirable on Afghan soil. This suggests that there are some who do not want peace, with full democracy. The fact that it now looks like you've got a temporary government consisting of several parties, can be a start, and I'll ask the Council of State what the Government will do to ensure that the victories that the international force has achieved have not been in vain. As you know, the war has led against terrorism and not against Afghanistan as a country.
ParlaMint-NO_2001-12-05.ana.ud1368e945	I have to fix a little misunderstanding. I didn't say the war is over. I said that the US and the Allies are winning the war in Afghanistan. That's a difference. The representative is absolutely right that it is not over, and that major challenges remain for the international community and for the actors in Afghanistan. With regard to the comments in relation to the North Alliance's views on an international peace force, I think it has changed in a positive direction. But I think these are issues that the Foreign Minister might come back to, as this concerns the assessment of the situation in Afghanistan. So I can say a little bit about what I think is crucial to stabilising the situation and building up under the process that is now developing in the political field. It's that we don't repeat the mistakes that have been made before, that when the media disappears and the TV cameras go off, and the humanitarian actors and crisis actors disappear, the civilians are left to themselves. And then it takes a long time for development actors to come in, and then on a much smaller scale than what is needed. That is what has been called the gap in the international context, and there are a lot of people who have been in this gap for many years. What we now as international societies must be willing to do is to put up with a long-term effort in Afghanistan, and then I am talking about efforts in a number of areas. But reconstruction efforts may be one of the most important things — ensuring that we do not fail now by reducing the amount of effort. Then I think we can see that new conflicts occur. We need to take the long-term commitment seriously. It will require something from us, it will require something from very many other countries, and it will also require some of the amount of effort we are willing to put in. I would also like to say that this is not an effort to go beyond other regions of the world. We also have to be willing to set up there. That's why this will require a lot in the future.
ParlaMint-NO_2001-12-05.ana.ud1368e956	The cord shift is over.
ParlaMint-NO_2001-12-05.ana.ud1368e959	In the Sem Declaration, the Co-operation Government states that Norway should pursue a development policy at the centre of poverty reduction. In order to achieve that objective, the budget of the year is a good step on the road, and it builds on, among other things. on the following three elements: 1st@item: inlistbox Norwegian development assistance shall be gradually increased to 1 pst. of gross national income by 2005.2. Developing countries need better access to markets in developed countries.3. Norwegian assistance should contribute more to strengthening the democratic institutions and processes of developing countries and contribute to their own economic growth, inter alia. through improved framework conditions for investment and industrial development. In the long term, the objective is to provide countries with increased revenues to finance their own development. The right is with the Christian People's Party and the Left in the work to increase development assistance to 1 pst. during the four-year period. The amount of aid is gradually reaching a significant level – also because the yield from the petroleum fund is included in gross national income, thus ensuring that oil revenue is included and provides the basis for a high level of assistance. The more important it is to pay close attention to the use of funds, focusing on effective administration and an ongoing evaluation of the results achieved. Performance measurements in the field of aid work are difficult but not less important for that reason. Since the main objective of Norwegian development policy is linked to the international development objectives, these will be an important reference framework for assessments of the achievement of results and the impact of our efforts. The right considers it important to further develop this work. The assessments to be made need to focus on whether the co-operation countries have pursued policies that are effective in relation to the international development objectives. Quantitative performance measurements based on internationally recognised indicators used by the cooperating countries themselves will be important. The evaluation of Norway’s contribution to poverty reduction in each country also needs to be based to a large extent on qualitative analyses, while at the same time working to further develop management objectives and follow-up procedures. With regard to the annual status reports that the Secretary-General of the United Nations will present to the General Assembly, it is right that one from Norway expects integrated reporting, where the international financial institutions also cooperate. The right underlines the importance of continuing to develop adequate indicators for individual international development objectives and that a continuous focus is on improvements to the procedures ensuring that the conclusions and recommendations of the evaluation reports are followed up. A high focus on financial management and performance will help to increase the legitimacy of the extended aid effort in the Norwegian community. In this way, it is more important to ensure that assistance has the expected impact for as many as possible in the recipient countries. The right is satisfied with the thematic effort and the geographical concentration to which the budget gives rise. Combating poverty involves a strong commitment to education, health and social services, the fight against HIV and AIDS and, at the same time, increasing the emphasis on human rights, strengthening the rule of law institutions and public administration systems. Norwegian aid policy appears to be on track and in the right direction.
ParlaMint-NO_2001-12-05.ana.ud1368e988	Let me first take up proposal No. 3, which reads like this: ‘The Grand Duchy gives its consent under the Constitution § 25 to Norway's participation with voluntary military forces and equipment in the international coalition's fight against international terrorism, which has now begun in Afghanistan under the leadership of the United States under the authority of decisions of the United Nations Security Council.’.» As both the Right Party and the Labour Party have seen fit to doubt whether the Progress Party imposes any conditions to support this, I assume that they have noticed that this proposal for a decision does not contain any conditions at all. We will give our consent. I also want to mention that this kind of thing we think belongs in the staging room. It is clear that in confidential matters and in many cases it may be useful to consult the Storting through the enlarged Foreign Affairs Committee, but in major cases where it is not really something to be kept secret, it should be in Norway as in many other countries, to discuss it in the national assembly in plenary, and to take the necessary decisions. We are aware that there is disagreement as to the extent to which Section 25 of the Constitution requires and requires a decision and a mandate from Stortinget – a consent. We think that in order to sweep aside any doubt, one should rather give some consent too much than any consent too little. That is our position on this proposal. So to the interesting thing about funding. There it has become the view that this is so important that we should not talk about funding. We think it's important, too, but things are also sometimes important in Norway. For example, the President of the Right in the election campaign felt that securing the adopted defence structure was very important, that we had to ensure full funding of the defence according to the structure adopted in June, and when the Stoltenberg government presented its budget, the Right, to the extent I understood, felt that there was a lack of DKK 3 to 3.5 billion. The framework of the new government did not change this. So now, Councillor Frafjord Johnson said that what is being given in aid, humanitarian aid, should not go beyond other areas. Then it becomes interesting: how is this to be financed? Is that how we want to finance it in its entirety by reducing the government budget surplus for the next year – as is known at around 100 %. NOK 173 billion? When we want to finance other things in this way, it is said that it is in violation of the rule of action, so that you can do so per person. definition does not make. Is it so to understand that the rule of action does not limit the government’s funding – and that is the Government’s intention – of what has been offered, which can cost up to NOK 2 billion? Then it is interesting that suddenly the rule of action no longer applies. And then is the explanation, for example. the fact that this is money that is abroad is incurred abroad and has no impact on the Norwegian economy? If that is the reason why we are not going to apply the rule of action, it is that in principle we are going to say yes to our proposal for a foreign budget, just to keep out of the budgetary balance sheet assessments, expenditure incurred only in the rest of the world without any impact on the Norwegian domestic economy. It's also going to be interesting. But that's how we know it's not, because it's Norwegian forces, among other things. to be used and it has a direct impact on the Norwegian domestic economy. So at least that explanation can't be applied to what's going on with the salaries of those who are going to be in the forces. And if it's not going to go beyond other parts of the budget, what other methods are there left to increase taxes and taxes, if you're going to follow the rules of action? If it is not going to affect other parts of the defence budget, not other parts of the aid budget, is that when the school budget it is going to go down, is that the road budget it is going to go down? It would be interesting for Stortinget to know when the Stortinget is in the middle of the budgetary procedure, where, as I said, it is difficult to find both 10 and 15 million. in several committees. I think it's very interesting that none of the government parties, or the Workers' Party, even try to say how to finance something, just the same parties that are quick to talk about the limitations of the rules of action on the expenditure side, and otherwise they also talk about not increasing taxes and taxes. I think this is a remarkable idea, that you have no idea how to find $2 billion, while you're very ready to use it.
ParlaMint-NO_2001-12-05.ana.ud1368e1011	When SV has requested that this matter, which concerns whether Norway should contribute Norwegian forces under the US command to military action in Afghanistan, be addressed, it is because we disagree with what is the conclusion of the Great Britain majority, but it is also because we believe that matters of such importance should be dealt with in an open-ended magnificence. We have been in a similar situation for not so many years – then it was Kosovo that was up to us. If you were to sum up how Stortinget dealt with that matter afterwards, it was for treatment and voting in one big group before you decided to stand behind the threats of military action against Milosevic, if he did not act in relation to Kosovo, and the matter had not been dealt with in the main hall. There was a situation in which we believe that wholesale representatives individually and as a group should take a decision, and that is also the reason why we are today bringing this matter before the Storting. What happened in the situation around Kosovo was that one by one of the bigots representatives jumped and sprang around, and, after a while, really opposed it, and did not feel committed in any way to a matter that Norway had actually put itself behind. And that's what we see on SV's side can't be the situation. It is also necessary to consider serious international conflicts as a representative of the Gazette, and to express an opinion on what is right to do in such a situation, where the matter is at the forefront, as it was in Kosovo. Here I personally came to one conclusion, while in connection with Afghanistan I have come to another conclusion. In particular, in relation to the so-called major consequences that this case can have in its ultimate consequence, namely that military personnel can be put at the disposal, and where the consequences may be greater than the consequences of any other decision taken by this collapse, it is indeed important that the Storting also has this to deal with. So to what's the very concrete thing today. The government has for a long time made it clear that if you were asked by the United States to speak with forces, the government was prepared to do so. And that is really the request made through what was made to the enlarged Committee on Foreign Affairs, which is being discussed, and which has been explained both by the Minister for Foreign Affairs and by the Minister for Defence. There is now a long list of different contributions that Norway has notified or wishes to notify the United States. It's everything from F16 aircraft – which you can only imagine being used in a continuing air war – to personnel who can clear explosives or assist in humanitarian action. What is SV's position is that we don't want to put Norwegian forces at the disposal of the US command to continue the air war in Afghanistan. Now, at the same time, this is a little yesterday's debate, because what we hope for is a political solution in Bonn, where we are very much in the middle of discussing how to put together an international security force, how to put together a possible UN force, how to secure humanitarian aid – and perhaps military aid is also needed to bring in humanitarian aid for the winter to parts of Afghanistan. In these areas, the SV wants Norway to be open to contribute. It requires a clear UN mandate. I'm not sure Norway will be asked to stand in a security force in Afghanistan now, it may be wiser to put it together differently, but it requires a clear UN mandate, and it requires a different command than a US command, preferably a United Nations command. Similarly, it will be in the case of potential UN forces that can come in on a long-term basis, because the most important thing now is that the world community does not do as before – bombs and goes. So the Storting has to remember, when you're so quick to sum this up as a so-called successful action, that you've driven the Soviets out of Afghanistan once before, and then forgotten Afghanistan and the groups of the United States and Pakistan themselves built up, and then became terrorist networks. These have hit the United States in this round, but they can also hit other countries. I would like to take up with this the suggestions that SV has distributed, and immediately draw me for a new post.
ParlaMint-NO_2001-12-05.ana.ud1368e1026	Kristin Halvorsen has taken up the suggestions she referred to. Otherwise, the President will have the benefit of seeing big business representatives roaming around, but it will come once, too!
ParlaMint-NO_2001-12-05.ana.ud1368e1032	The representative, Halvorsen, has specialized in this with physical exercises for staging representatives. In a previous debate, the theme was 'jumping'; today it has been 'jumping', so it's exciting what's going to be the next challenge she's facing us with. Yesterday it was announced that Afghan groups are now some to form a transitional regime in Kabul. The participants at the Bonn conference were informed about a final document providing the basis for a government formation. So there's a deal about a transitional government. The last events give rise to optimism. It's not like that – and that's where I give the representative Halvorsen right – that it's a final solution that has been put forward, but it looks like it can now go against a solution. It shows that even if bombing was a difficult and controversial solution, it was unfortunately necessary – there was no other credible option. And that's in the area of the problem that the representative Halvorsen is doing in relation to the US command, what kind of strengths it should be osb., is difficult. I am coming home today from a meeting of the NATO Parliamentary Assembly, and one of the problems that a person has been dealing with in Kosovo, which is in a way the reason why it was as it was this time, was that one has had a problem with the command structure. For one through all of these bodies, bin Laden may have been given the opportunity to regroup and initiate new actions before something is actually done – just because there is such a big device to start. For this reason, it is sometimes actually necessary that NATO, on the basis of Article 5, and also the UN – as they have done this time – have agreed that one can have another type of force doing this job, and I did not think that the representative Halvorsen and SV have taken inwards. Therefore, it is quite right what the Government has done. When there's a wish that Norway should provide strengths, we have to. There is a clear sequence of NATO membership and Article 5. One for all and one-principle is a guarantee that provides security and of course must also apply when we are to contribute. Furthermore, there is no reason to change the practice that one has had when it relates to the Government’s powers in the kind of foreign policy issues. It is quite right that it is wise to debate such major issues in the Storting, so that one can have a fundamental discussion about them, but at the same time removing the powers of the Government to make the necessary decisions would be wrong. It would also be wrong today to vote in favour of the motion for a resolution tabled by Mr Hagen. It would institutionalise a new practice that, when the Government is to act in critical international situations, one must first go to plenary. It's after Christian People's Party's opinion wrong. So we're going to go against it. The international challenges may appear unbounded. Distance between rich and poor increases. In spite of a dark wallpaper, there are still some points of light, and we must never say that it doesn't work. If we have to build and run a school with money from aid, drill a well or vaccinate children in Africa, this is an example of its utility. 30 million people are being helped every year out of poverty. Too many people work leads to lasting change, to a life of meaning and to a life of freedom. A goal is that developing countries themselves can use their own resources. It is better to enable people to develop than to enable development for people. An important key in this work must always be education and education. In fact, it turns out that the best aid is to invest in primary education for girls. Maybe there's something in the saying that if you train a man, you train a man, but if you train a woman, you train an entire family. As part of the efforts to improve the quality of assistance, we have reduced the number of other co-operative countries and countries receiving support over regional commitments in the supplementaryproposal. This is for better coordination and pooling of resources. And it'll also give you better counting for each of these heads. I am pleased with the broad opening-up it is about this budget, and I will conclude by commending the Labour Party and the Leader of the Committee for the way he has dealt with the foreign policy situation, and for the way in which they have taken responsibility in the face of the debate between the Government and the Magnificence. One actually has a line. I think there's a reason to give credit for that.
ParlaMint-NO_2001-12-05.ana.ud1368e1049	Kristin Halvorsen had a rather strange representation of the Stortinget’s hold on the Norwegian effort in Yugoslavia and Kosovo. It was not correct. The size fully supports that action. If anyone jumped and jumped, at least it wasn't anything that affected the Storting's hold. The debate today is in a way a summary of the debate of many weeks and months. I think it is good that we have a debate in plenary on the efforts in Afghanistan, including on the Norwegian contribution to the strength. But we have had debates in plenary on Afghanistan before. The Prime Minister has even given a statement on Afghanistan. But, as I said, it is good that we have a public debate in plenary in the Stortinget. We see that there is a lot of interest among our co-representatives in this debate, and that is an eye-catching interest from the media. But after all, we get it down in the protocols, so that what has been said is mandatory, and that's the most important thing. The debate has given the impression that the financial contributions or payments to Afghanistan’s operations are comparable to those of this or the other kind. Thorbjørn Jagland commented on it, but I think the most important thing to establish here is that this is an abnormal situation that no one has found to circumvent the budget rules or budgetary decisions of the Stortinget. There's an abnormal, critical situation, and the majority in Stortinget says we'll deal with this when the government comes back with a proposal. It's cork more or less than that. No one wants to discover new Afghanistan conflicts just to circumvent self-imposed budgetary restrictions in large and government. The management of this issue is in safe tradition with how we have handled previous issues, and perhaps the most important thing about the debate is that it determines that this is the way that corruption and government manages international operations like this. It builds on a secure practice, such as the Foreign Minister, Thorbjørn Jagland and others have underlined, no last Jon Lilletun. It is this that has given the Norwegian Government the opportunity to act clearly and with the strength of international organisations to express the Norwegian duties and Norwegian contributions. Now, some may be tempted to think that if one votes against the proposal of Carl I. Hagen, if the Stortinget is against it, one also votes against Norwegian strength. Of course it's not like that, and that certainly doesn't mean Carl I. Hagen it is. If one is opposed to Norwegian contributions to Afghanistan, the SV shall vote in favour of the proposal. Nor does the Storting. The size joins with the government's arrangement through what the majority express in this plenary debate. If we had wanted to make a contribution, Norway would also have to make a reservation at a much earlier time. The logical thing for Carl I. Hagen and others would have been to make sure to summon the Greatness in plenary all early in September, so that the Government knew where the Greatness was already standing when NATO dealt with this question. It is not that the Government has acted with footnotes in the UN or NATO. It would be if the Government were to retain the budget coverage, the means of recovery or a decision in plenary in the Stortinget. But there's no such footnote in the government's handling, and two different governments have handled this with certain that there is a plurality in the Stortinget behind the line that Norway has stood for, behind Norway's participation in the NATO decision under Article 5, behind that we have said that we want to contribute forces if we have something that fits in, and if there is a need for it. This has been the Norwegian line. This has allowed two governments to act clearly and with strength without footnotes. I also hope that we don't have to introduce the kind of footnotes that obviously Carl I. Hagen may be interested in, through a vote on the proposal he has today. That's why I think this debate is actually pretty straightforward in clarifying what is the way of dealing with this kind of issue in the Stortinget. Otherwise, I think – and then I refer to the last thing I said about the treatment in NATO – it would also be just as neat if SV had made notice of what is SV's position in that very context, that one wants Norway out of NATO, and that one thus also does not feel obliged in relation to decisions in NATO, cork in this or in other contexts.
