ParlaMint-NO_2001-05-14-2.ana.ud860e24	The called alternate of the Nordland County, Kari Brodevoll, has now taken the seat.
ParlaMint-NO_2001-05-14-2.ana.ud860e293	First, to the proposal of the representative, Mr Rikvam, asking for his own orientation. We'll present a review in the autumn, and then we'll see in the next spring whether we're going to file a separate case on progress so far, early in the spring or as late as the revision. As far as his second proposal is concerned, the Ministry of Transport is already in the process of identifying the conditions for transport routes — the report will be available this summer — and also the question of coordinating the various ditches that are now being seen in several places. Its full monitoring could also contribute to more efficient broadband deployment. Otherwise, the representative from the Coastal Party asked what the state was going to contribute. It has been clear the whole time, since we presented the first IT statement, that the state should contribute where the market does not reach. But a large majority in Stortinget has taken the line that we are going to increase public demand, and that market players, as far as possible, are going to compete for the job. That way, we're assuming that we can get a faster development, and that there's going to be a smaller part that the state is going to go into. And then it's been set up that by the end of 2002, schools, public libraries, hospitals, etc. offer broadband connectivity and all households by the end of 2004. It is clear that this is what we are now laying down a progress plan, both in a report in the state budget, which the representative Lilletun has taken up, and by coming back with a specific matter on how far we have actually come, so that we should be sure that we can follow it up as far as possible, and be able to get it practical. But we've been quite aware the whole time that it's not everywhere the actors want to expand themselves. I fully agree with Mr Lilletun's representative on the renewal programme. It is a very important programme, but it is also the value programme. Then we have to make sure that SND, who is an actor here, doesn't have to change its arrangements about every six months. It makes it pretty unsatisfactory for those who are going to do it. Finally, with regard to the consultation on public transport to Fornebu, I would like to say that it is finished on 6 June. I hope you can get a solution, not least for the sake of IT Fornebu, but also Telenor, who is going out with so many employees there.
ParlaMint-NO_2001-05-14-2.ana.ud860e311	I don't think we'll be done talking about broadband development so quickly and in what way it's going to happen. A principle for development was adopted on the basis of a progress plan, which the Council of State will no longer guarantee. I noticed that it was said that the pressure on market players will decrease, and it would be unfortunate if there would be State involvement to help those who live extremely – most from the centre – in Norway to get broadband connectivity and ensure that they get it within the timescale that is. I think it's a shame, but we're going to discuss further if that's exactly what the majority of the Biggest decided. Then the representative, Opseth, says that there are always people calling at the state and saying that now the state has to come and help us. And those who do it today say the same thing that Thorbjørn Jagland said just before the government change. «... we have thought that it does not keep leaving this to the private players in the market – it must be government-led to," said Jagland at the time. So it's no more dramatic what's now being said than what was said at the time. So the representative, Brandsnes, says that there's a lot of reasons companies move to Oslo, and that the main reason why his business needs to be here is that this is where it happens. So his company has found out that to get jobs, to get close to those who are going to buy something, one actually has to be there physically. But the point of the IT revolution and our knowledge society is that the physical distance should be removed. It shall be possible to be present without being there physically. Then there are two situations that are mentioned: those who are being overlooked because they are not here, and those who are not being told about the jobs because they are not here. And that's what the state has to make sure that the missions become known. And that's what's in my proposal. Those who stay far away from Oslo must be treated and have opportunities on equal terms with those in Oslo. I see no reason to draw that proposal. Those who do not find it possible for them to vote in favour of the principle set out in the proposal must, of course, vote against it. I recommend that it be voted in favour.
ParlaMint-NO_2001-05-14-2.ana.ud860e320	I can assure the representative Morten Lund that the state should be a driver so that anyone who needs it can access broadband or high-speed networks to the needs they have. So there's no change in the Labour Party's policy in this area, even though some people are trying to make it like this. Once again, I call for local involvement to develop a network of access points that is in the interest of users, in order to ensure that users are taken care of in relation to the providers of the motorway services. It's quite obvious, with all the actors we get in that area, that those who have a access network have a strong competitive edge. Then to the representative Lilletun. Yes, I understand that there is still a need to present what is happening at Fornebu, as a property project. But as long as there's no possibility of using the existing locals adequately, or moving into the locals to move into, it's clear that it's not so good to prove that this is going to be like the multiples here in the hall think it will be, namely an engine in the development of information technology. And then we're going to hope that the next few days we're going to get past this bend that's right there, that those who are responsible for giving us licenses also give it. That's what I'm saying: if not, the state must also have a responsibility here – and there's nothing Stalinist about it. The law provides for state control plans, and it has been used in some circumstances. It can also be used in this respect if national considerations require it to be done.
ParlaMint-NO_2001-05-14-2.ana.ud860e329	I understand that some of the problems associated with the Fornebu area are now of such a nature that the Opseth democratic mindset is put to a tough test. Such trials are also required when one’s career is in good shape. That the state should take over the regulatory work so that his nearest last will could be carried out, I will at least register – and then I will talk about his last political will. What I could imagine asking the Council of State is whether she shares Opseth's suggestion that to the extent that you don't get what you want, you're prepared to use the rice behind the mirror that Opseth described relatively picturesquely. Kongshaug was dissatisfied with some essential points in the budget, and it is not unique to Kongshaug. Most of the Norwegian people, and not least the Norwegian business community, have signaled this for a relatively long time, and that this recognition has also come to Kongshaug, although after the national meeting, is of great interest. As for what has been said about broadband, I think I found Rikvam had a formulation that was not bad. He said this shouldn't be a new religion. I have to say that part of the most avid ‘megaphones’ for state funding in order to add broadband to the smallest outlets, to any fjord arm, in reality goes over all the boots. In the development of infrastructure, we have always laid the foundation of the food-benefit principle. And it's clear that you can't do this with 100 pst. a guarantee for such a short period of time as it has been provided. The strategy that the Council of State and the Government have chosen, and which has great upswing in the Storting, I think, in reality, is the only dangerous path in the real world. And most of us relate to the world of reality – at least for much of the year. I was also going to ask the Council of State for proposal No. 3, from Morten Lund, is a timely proposal as it exists. Is it true that there is a practice in the department and the directorate that contradicts what is in the proposal? Or is it a proposal that actually opens an open door to a practice that already exists? That's my question.
ParlaMint-NO_2001-05-14-2.ana.ud860e342	In response to the representative Gabrielsen, I would like to say that I take Opseth's views and opinions, just as I take with me what has come out of others. I hope that everyone will put themselves in the harness to get this case resolved in remembrance. I'll think that most people want jobs like, among other things. Telenor represents, in its municipality. It has been planning for a long time – and one can disagree with IT Fornebu – that Telenor should move out with several thousand of its employees, and they are so important to us with all of their development department, research and everything they do, that I would think most municipalities wanted them. I am also pleased with the opening-up of the broadband policy that has been set up in the past, while at the same time keeping up with the possible ‘black spots’ and ensuring that the State is involved and contributing. But it's interesting that now companies in Finnmark are appearing that are very offensive in relation to how much of Finnmark they can actually cover. Most of us would like to think that part of the edges had to be the first places where there were such black spots, but then maybe that's not entirely right, because there are actually initiatives and opportunities. So to the proposal that Morten Lund has put forward. I'm not sure what that means. For is it not the case with all the rules we have set up, EEA agreements, public acquisitions and what it would be like to follow certain procedures? So based on that, if that's what's actually now grounded in our laws at both state and local level, I can't see that there's anything in the way that this could get in touch with everyone – unless Morten Lund has hidden something in his sleeve with his formulations.
ParlaMint-NO_2001-05-14-2.ana.ud860e351	At least the President can't look into any more sleeves. That means that the debate on case No. 3 is over. [[Fotation, see page 2987]]
ParlaMint-NO_2001-05-14-2.ana.ud860e365	At the request of the Business Committee, the President will propose that the debate be limited to 50 minutes and that the speaking time be allocated as follows: The working party 10 minutes, the other groups 5 minutes each of the independent representatives 5 minutes. In addition, the President will propose that there be no repetitions after the individual speeches, and that those who have to sign up on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2001-05-14-2.ana.ud860e374	The proposal, which is being promoted today, will be examined more closely and dealt with in the context of the review of the revised national budget. That is why I see no reason to spend a lot of time on this matter today. However, I will be shown that there was an approximately overall food committee, with the exception of the Advance Party, behind the budget line from this autumn, where it says: ‘The majority of the Committee... considers that there is a need to monitor closely the development of various support schemes by the shipbuilding industry in the EU. In particular, this aid shall relate to winding-up, restructuring, innovation, R & D, environmental protection and regional investment aid.’;» Of course, it is of great importance for the Workers' Party that competitiveness is not impaired in relation to our competitors. The Government has signalled that it will continue to provide the Norwegian shipbuilding industry with internationally competitive framework conditions. It would be natural here to have close and good cooperation with all parties in the industry. In this context, an initiative will be taken by the Government to develop a conversion and innovation programme for the shipbuilding industry. For the Workers' Party, it is important to take care of our proud traditions as a shipbuilding and maritime nation and secure this industry for the future.
ParlaMint-NO_2001-05-14-2.ana.ud860e390	Should Norwegian shipyards claim to be in an increasingly tough competition, the key is competence. It's important that you're in place, and that you're in place at the right time. In Norway we have a fragmented shipbuilding industry with many small shipyards, subcontractors and ship consultants. We can be proud of the maritime cluster we have several places along the coast, not least in my own home country of Moor and Romsdal, which is among the foremost in the world. Some of us know about the project Seaway@2010. This project shall mobilise the maritime sector for increased research and development efforts. This is an initiative that the industry itself has taken. It is important for the public to become an effective team player in the economic context, and for the instrument to be adapted so that cooperation goes free of squeaks and unbureaucratic. Otherwise, I record that the EU is once again considering reintroducing yard support in some form. I urge the Council of States to follow closely – and I am reasonably sure that she will – in any new legislation that may be introduced into the EU, and that she return to the Stortinget case if necessary, so that the Norwegian shipbuilding industry is guaranteed a level playing field with other shipyards in Europe. In its reply to the Business Committee, the Council of State states that it will return to the content of Document No. the 8th proposal in the revised national budget. The revised national budget states that a forward-looking state budget for 2002 will assess the case. What matters to the Left is what I said in the introduction, that the distinction and the possibilities for Norwegian shipyards are to be in the lead in terms of competence, and that we are there in the right time. If competence is to be useful as a competitive factor, it is also essential that it is included in the course and early out. Therefore, the proposers stress that the matter is urgent, and that one does not have to come back all the time, but let things happen in public as well. One of the most important things that now has to happen is the investment in R & D, and there's little tolerance for postponing. With regard to the new concept of fast ferries, called FerryCat, I understand from the media that this has gone well. I have not hesitated to check what the Government says in the revised national budget about it, and whether there is anything about it there. But if the media were to be right this time, I would like to commend the Council of State for contributing to the necessary progress of this concept, for this is tomorrow's ferry solution project, in my opinion. I would also like to challenge the Council of State to comment on paragraph 2 of our proposal – whether there are any arrangements that can help to cover the development costs of the fast ferry journeys, so that the project with FerryCat gets the necessary progress.
ParlaMint-NO_2001-05-14-2.ana.ud860e405	I dare to argue that the Government is pursuing seduction policies in relation to maritime industries both to land and to water. Our EEA relationship imposes a good deal of obligations on Norwegian business, but it also opens up different aid schemes that could distort international competition if they are not followed up in the same way from country to country. It seems to me that the Government is behind other industrial nations in Europe in order to ensure the competitiveness of national businesses. When the State budget was presented in the autumn, it was stated by the Government that there would be a high level of readiness to meet any new support schemes aimed at the shipyards when the direct countermeasure fell away. Support for the development of new ship types is such a mechanism that it is possible to implement under EU legislation. But the Government's willingness to contribute to new developments in shipbuilding and the development of new types of ships, thereby contributing to the maintenance of coastal business, seems to me somewhat halfhearted. By St. Prp. No 84 it appears that the Government wishes to provide Norwegian shipyards with the same framework conditions as other shipyards within the EEA territory. - Closer to the same framework conditions. Why not the same ones? And why should Norway wait and see to it that everyone else has set up new schemes? Why not contribute to Norway’s primary role in the development of new technologies in maritime industries? Now I am aware that the order books are largely full until the end of 2003, and apparently there is no urgency about any new support measures. But it is true that if a person wants to maintain a level playing field, it is not useful to wait until the first redundancies come before taking the necessary steps to contribute to the research and development necessary to maintain and develop the competitiveness of Norwegian shipyards, and thus to employment in the yard industry. It has not been so long since the survey hours in the Storting were marked by the situation that occurred in the yard industry when the effect of reduced contracting aid went into effect, and when the investment in the oil-related shipyards almost simultaneously stopped abruptly. Structural unemployment hit the coast hard, but it was talked away as overcapacity and the need for labour conversion. The industry is now talking about the need for restructuring and specialisation, where the cluster effect can be better exploited, provided that the contracting volume is sufficiently large. If the industry is to make the necessary transition, it will be necessary to increase research efforts in the environments currently operating the shipbuilding industry. The industry will increase its own research efforts, but it is reasonable to expect that it will also contribute funds to ensure that the Norwegian shipbuilding industry retains both its competence and its competitiveness. To achieve the objective of strengthening Norway’s position as world leader in maritime transport, industry and offshore operations by 2010, the Government needs to show a positive attitude to contribute to research and development, and programmes and schemes focusing on the maritime cluster should be in the forefront of development elsewhere in Europe, otherwise we will be overlooked by nations that see the value of maritime competence maintenance and skills growth. Then there is no reason why the government should sit on the fence and wait and see what others are doing. The government must make use of the possibilities contained in authorised support schemes for restructuring, innovation, regional investment aid, research and development and environmental aid programmes. Then it does not seem that the Minister of Economic Affairs wants to, but does not, because the Minister of Finance has put himself on the money bag. That the Government pushes all the challenges in the maritime industries over to the next fiscal year, reinforces my impression that if only the Government is able to carry this out beyond the elections, then the Governing Board around any government change and intrusion wires in the submitted budget can draw attention away from the promises made during this process, and the Workers' Party does not have the political will to follow up. It may then be possible to get the development outlined in the Regional Communication that the maritime environments in the North West will collapse. Such a policy will be countered in the Coastal Party, and I do not believe that the Workers' Party should feel too confident that all coastal vigilance will be gone when new bulwarks come together for the harvest.
ParlaMint-NO_2001-05-14-2.ana.ud860e425	I would like to point out that, in the context of the revised national budget, the Government has also carried out a wide-ranging treatment of the shipbuilding industry. It's allocated a net of 850 million. in support of contracts concluded and signalled that the Government will continue to give international competitive conditions to the Norwegian shipbuilding industry. The Government aims to develop a conversion and innovation programme for the shipbuilding industry. This programme will be developed in consultation with industry. As part of this, it is also natural to consider strengthening the country-wide instruments of the State Food and Rural Development Fund and of the Norwegian Research Council. In this context, I would like to stress that if the efforts of the authorities are to be fully effective, it is necessary for the industry itself to take responsibility for specialising, adopting new technologies and adapting its own industry to new production principles. We know a lot about this, after the study that Arild Hervik has done by the maritime industries. Because, as is the case, they're far too low in competence. Although some are skilled, they use too little of their business to improve on the competence side. And it is absolutely necessary if this industry is to meet tomorrow's challenges. The Norwegian shipbuilding industry will be competitive in a market in which all compete under the same economic framework conditions. Therefore, it is an objective of the Government to reduce state aid to the shipbuilding industry through international agreements. And that's what the whole Storting has joined in. We are following very closely the development of what is now happening in the EU. The Ministers for Industry to meet with the Council of Ministers tomorrow. The reason why they may decide to continue with the aid is that South Korea, which has been in a very difficult situation, increases its capacity, not least within tankers and container ships. I have just been to Korea and addressed these issues directly with them, also because Norway is a large shipbuilder in Korea. I want to have my own meeting with the South Koreans this morning in Paris to discuss how to remedy this situation, so that it does not enter the WTO as a conflict. Because it comes as a conflict to the WTO, if the EU follows Korea, it will take several years before it can be decided to reduce the amount of shipbuilding aid. Therefore, we have to hope that it does not happen, and that we can get a system in which we can switch to competence development programmes, as we have been configured from the Norwegian side.
ParlaMint-NO_2001-05-14-2.ana.ud860e436	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2001-05-14-2.ana.ud860e439	I am aware of the international conditions in the shipbuilding industry that the Council of State Knudsen has now explained, but I am afraid that in Norway we are going to sit and keep Korea in our ears, while Europe is doing something quite different. So we can't wait too long. We must not lose the advantage of being a competent nation in the shipbuilding and shipping industries. We see that the industry itself is aware of its restructuring needs. They're willing to go in financially, they'll specialize. Our obligation as a wholesaler must then be to contribute within the regulatory framework in force in the EEA territory. But it has been a problem for the Norwegian industry that one just puts ten meters behind when the others set off. We always have something in Norwegian industry – extra taxes, extra taxes or somewhat lower support schemes – that makes our industries competitive compared to the Europeans. We can't have it like this. We must have an internationally competitive framework for all business if we are to survive in tomorrow's world. This also applies, of course, to the professions of competence. And what's related to maritime business are competence industries; it's actually a high level of competence and a high level of use of ICT. – But some still welding the plates.
ParlaMint-NO_2001-05-14-2.ana.ud860e448	Several have not asked for the floor on case No. 4th@item: inlistbox [[See page 2988]]
ParlaMint-NO_2001-05-14-2.ana.ud860e462	The EOS Committee has now been in operation for approx. five years. The committee delivered its own evaluation opinion, which was printed as Annex 1 to the configuration. The Control and Constitutional Committee has delivered an opinion, printed as Annex 2. The Presidency believes that the work of the sample must be said to have fulfilled the intentions of the Stortingen when the Control Act and the instructions were adopted in 1995. Therefore, the Presidency does not see the need for material changes in the work of the sample or in the legislation. The change now proposed by the Presidency in the instructions is purely formal and results from the fact that the sample no longer has access to appeals. The Presidency has noted the description by the sample of the voltage ratio between the application of the principle of subsequent verification by the sample and the ability of the sample to require transparency and to comment on ongoing issues. The committee has pointed out the importance of ongoing monitoring in a way that does not act as a governing body for services, and the Presidency, on its part, will stress the importance of this. As regards the right of access to the sample, the Presidency agrees with the sample that there is no need for regulatory changes. The committee believes that there could have been an advantage if, in very special cases, it had been possible to provide the Size Graded Information. The Presidency does not lack an understanding of this view but, after an overall assessment of the Committee's position, concludes that there should be no legislative or administrative changes in this area. Another issue raised relates to unannounced inspections. The Presidency does not consider it appropriate to propose that a provision to that effect be included in the instructions. As far as I can interpret the Storting, there is a broad consensus that the EOS Committee is working well. The job being done is completely satisfactory. The Presidency has therefore found no reason to go deeper into the issues discussed by the sample in its evaluation. Otherwise, I refer to the presidency's position, which is unanimous.
ParlaMint-NO_2001-05-14-2.ana.ud860e479	I do not need anything other than a brief comment on the position given by the Presidency after the Supervisory and Constitutional Committee has given its opinion on the matter. A little bit of a reflection, perhaps: this is a parliamentaryally appointed committee of inquiry, and the historical justification for that is known to all of us. We also know that of course there have been some initial problems – I think we can call it today – with regard to how the sample should perform its control functions. But it has happened gradually, and today I think a unanimous increase can be seen that we now have a control regime against the secret services that both the secret services and the public are served with. My only comment is that the sample has a very clear law and instructions to deal with. When the Presidency says that there is no reason to suggest that provisions be made on unannounced inspections, it must be understood that the sample must assess the manner in which it is to carry out its work on the basis of law and instructions, as they apply, and that it does not, of course, preclude unannounced inspections from being the best way to carry out its tasks. Otherwise, we are very pleased with the fact that this sample was reduced, that the law and instructions are as they are, and that they are. Both the service and the public have served to ensure that there are now clean conditions in this field.
ParlaMint-NO_2001-05-14-2.ana.ud860e490	Several have not asked for the floor on case No. 5th@item: inlistbox [[See page 2988]]
ParlaMint-NO_2001-05-14-2.ana.ud860e498	The cancellation goes to voting on the matter on today's map.
ParlaMint-NO_2001-05-14-2.ana.ud860e505	In the course of the debate, Mr Valle has put forward proposals. 1 and 2, on behalf of the Socialist Left Party. The proposals are distributed in the seats of the representatives in the Chamber.
ParlaMint-NO_2001-05-14-2.ana.ud860e508	I have received many strong requests that proposal No. 1 should be converted into a transmission proposal. It indicates that there are at least some people who want to look further at it. That is why I ask that proposal No. 1 is converted into a transmission proposal.
ParlaMint-NO_2001-05-14-2.ana.ud860e513	Proposal No. 1, from the Socialist Left Party, has thus been converted into a transmission proposal. The proposal then reads as amended: ‘It is recommended that the Government initiate an experiment where municipal and state agencies in some municipalities are included in a system of consumer guarantees and service statements linked to public service rights. Consumer guarantees and service declarations must include, inter alia: include quality and the provision of services at the agreed time.’;» The President proposes that this proposal be forwarded to the Government without any renunciation. – It shall be deemed to have been adopted. Proposal No. 2, from the Socialist Left Party, addressed to voting. The proposal reads as follows: ‘The Government asks the Government to initiate procedures for reduced working hours and shorter normal working days in the State sector.’ [[6-hour day]]
ParlaMint-NO_2001-05-14-2.ana.ud860e532	The President will propose that the statement by the Minister of Labour and Administration at the meeting on 10 May 2001 on administrative policy be annexed to the minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2001-05-14-2.ana.ud860e554	Four proposals have been put forward during the debate. It's: the proposals No 1 and 2, by Rolf Rikvam, on behalf of the Socialist Left Party, proposal No. 3, by Morten Lund on behalf of the Centre Party, proposal No. 4, from Marit Tingelstad on behalf of the Centre Party The proposals are distributed in the seats of the representatives in the Chamber. Proposals Nos. 1 and 2, by the Socialist Left Party, during the debate, has been converted into a transmission proposal. Proposal No. 1 sounds in changed form: ‘It is recommended that the Government provide its own information and assessment of the functioning of the market, so that all parts of the country have satisfactory access to broadband and that development takes place in parallel in the districts and in more central parts of the country.’ Proposal No. 2 sounds in changed form: ‘It is recommended that the Government implement instruments that stimulate developers to cooperate on infrastructure in order to avoid socio-economic waste and unnecessary pressures on the environment.’
ParlaMint-NO_2001-05-14-2.ana.ud860e585	With regard to the proposal that I have made, I have been advised that it should rather be promoted on a later occasion, in one case the Stortinget will consider later in the spring. I would like to draw the proposal.
ParlaMint-NO_2001-05-14-2.ana.ud860e590	The President noted that proposal No. 4, from Marit Tingelstad on behalf of the Center Party, has been withdrawn. The President is then left with one theme for voting. That is proposal No. 3, by Mr Morten Lund, on behalf of the Central Party. The proposal reads as follows: ‘The Government asks the Government to ensure that ICT providers from all over the country are given the opportunity to compete on an equal footing in the supply of goods and services to all departments and directorates.’
ParlaMint-NO_2001-05-14-2.ana.ud860e604	The President will propose that the statement by the Minister for Economic Affairs and Trade at the Storting meeting on 8 May 2001 on IT policy be annexed to the Protocol. – It shall be deemed to have been adopted.
ParlaMint-NO_2001-05-14-2.ana.ud860e679	No. 281 is proposed to the Judicial Committee, which shall submit its draft referral to the Defence Committee for an opinion before the vote is taken.
ParlaMint-NO_2001-05-14-2.ana.ud860e682	Sir. President!
ParlaMint-NO_2001-05-14-2.ana.ud860e689	Olav Gunnar Ballo is given the word of the procedure.
ParlaMint-NO_2001-05-14-2.ana.ud860e692	The rescue helicopter service should, in the SV’s view, be seen in the context of the air ambulance service, and the case should therefore, in the SV’s view, also be referred to the Social Committee for an opinion.
ParlaMint-NO_2001-05-14-2.ana.ud860e697	The President has not seen any other reactions, and the President will alternately allow votes between Mr. Mr Ballo's proposal, to send the matter to the Social Committee as well, and the presidency's proposal, which is to send it to the Judicial Committee, which then submits its draft position only to the Defence Committee before the vote is given.
