ParlaMint-NO_2001-05-03.ana.ud1912e95	The representative Ulf Erik Knudsen, who has been licensed, has once again taken the seat.
ParlaMint-NO_2001-05-03.ana.ud1912e496	The President makes it clear that "all, all" time has been exhausted.
ParlaMint-NO_2001-05-03.ana.ud1912e499	The representative Lånker was very concerned that we should not neglect being politicians. I agree. I also agreed with the Christian People's Party that we had to have a proper presentation when it came to the NRK – the Progress Party actually promoted a Document No. Eight proposals on this at an earlier date. But what's the difference here is that the Progress Party has at least "faced" itself. We've actually presented a 10-point plan for the future to the NRK. It is here that the representative Lånke and the Christian People's Party are neglecting themselves as politicians, because they have not put forward a single point, one option for future to the NRK! It's okay to ‘see’ a whole lot about what's going to happen in the future, but we've known about the situation in the NRK for a long, long time. That's where I want to challenge Loan: Can't even the Christian People's Party "see" something about the NRK in the future? Will the Christian People's Party contribute 3-5 billion dollars to the NRK's digital investment? Because I notice that the Christian People's Party also wants to keep and increase the license in the future because there is a need for NOK 3 billion – at least – to maintain the quality of the NRK. Then what I'm also asking for is what was Loan's claims in his posts, that one has been ahead and clarified strict financial management in the NRK. I am calling for the Christian People's Party's thoughts around the NRK in the future. Then neither can the Christian People's Party expect anything from the Government other than that there will be a message for the autumn, when they do not want to take any stand.
ParlaMint-NO_2001-05-03.ana.ud1912e510	The representative Sandberg touched on several aspects of my post and claims that we are neglecting when we have not seen the economic situation of the NRK and presented a wide range of points on how to solve these, and that is correct. I think it's a little bit about the Progress Party and the Christian People's Party having a slightly different form of work in Stortinget. We regard NRK's role and mission as very serious, while it's also an independent company in relation to Stortinget. The NRK itself has to very much dispose of its resources and make the necessary plans for financial management, control, etc. I don't think it would be right for us to ‘see’ about these things without getting a thorough explanation of what problems we are facing. It is not a political exercise to ‘see’ serious issues like this. I think that here lies the difference between the way in which the Advance Party and many of the other parties work in relation to the Storting. It's the government's job to present cases to the Storting in a properly and thoroughly worked-out way, and then we're going to take a decision on them. That's why we also agree that it is now being explained to the economy by the Government. In addition, the representative Sandberg was aware that the Christian People's Party would be involved in funding for digitisation. We didn't say that. On the contrary, I said that we would not take a decision on this now. We would wait for that to be explained. Nor is it right, as the representative Sandberg claims, that we want to increase the licence. On the contrary, I said that we had probably reached a limit now that we should not, with the first, increase the license. But we want to keep it, because we think that's the only way to fund the public broadcaster in Norway, like in a lot of other countries that it's natural to compare with.
ParlaMint-NO_2001-05-03.ana.ud1912e519	The representative Borrower was concerned about the NRK's economy. Today, the SV submits a proposal, which we also had in the budget last year, that the NRK should be equal to the newspapers in relation to VAT – zero rate on VAT and deduction for input tax. It will not help the NRK over cracks in relation to digitisation and the costs required there, but it would at least help the NRK a bit on the road. That would be NRK 80-120 million. kr extra per. years. I just want to challenge the representative to give his opinion on such a proposal. So to an even larger and more principled proposal. I wonder if Mr Lånke's representative was as surprised as I was that the Minister for Culture spoke so far about TV 2, NRK and Telenor, but did not give his view on it. It could be a portal company, it could also be a digital ground network. Based on the Minister of Culture's presentation, it looks like it could also be a portal company. It raises some important questions of principle. It raises the issue of vertical integration and then of diversity, and raises the question of who it is that should be able to control the portals, which in the future will also be able to develop into electronic programme guides. Clearly, controlling as limited resources as an electronic programme guide will provide very great power, also to be able to withstand what could be competitors, for example. local TV, which I know the representative Lånk is very busy. Would Loan agree that there must be an indispensable requirement if the NRK is to enter a portal company, that the portal – the EPG – should be open to local TV, to non-commercial websites, which in the future can broadcast and protect the universal rights of the network?
ParlaMint-NO_2001-05-03.ana.ud1912e528	The representative of Ågot Valle dealt with a number of slightly complicated questions in connection with the transition to a digitised reality. But at first she was also in a proposal to give zero VAT rates combined with the right to deduct input tax for the NRK. It is a proposal that has come up on the table today, and we will of course consider that. I think it is also within what will be natural to be assessed in connection with the forthcoming review that the Council of State has announced. I don't think it will be relevant for us to go on it today, but keep it under assessment and look at it more closely when we see the whole. With regard to the negotiations that have been conducted and that are certainly conducted, between NRK, TV 2 and Telenor on the future digital establishment, we are very little informed about how they are happening. So far, it's hard for us to really have a legitimate opinion about it – and whether we should have it, too. We must probably leave this to the negotiating parties to cancel. But I agree with the representative, Valle, that there are many questions related to this. I have also followed and seen a little what is said about it, but I think it is said very little in the meantime, and therefore it is not so easy to say so much about it either. However, it is clear that the vertical integration referred to by the representative should be of concern to us, and I am also concerned that distribution companies are not too much allowed to dominate programme production and in a way to deal with the whole vertical line. That the local media have to get their place in this, I am a hot champion for, and there must be a portal where they also have the opportunity to send. It also applies to television and radio, in the field concerned.
ParlaMint-NO_2001-05-03.ana.ud1912e537	The cord shift is over.
ParlaMint-NO_2001-05-03.ana.ud1912e541	Now there was a good president! [[with the Chair,]] The Minister of Culture's media act was, in effect, a NRK statement. I'm not going to criticize the Council of State for so unilaterally focusing on a review of the status of the NRK. It was necessary after the last year's turbulence and, as has been mentioned, several have asked for that type of review. However, I hope that the Council of State in its statement later in the debate will also address other issues, possibly commenting on the input that comes into this article and others. The right is dependent on Norway having strong public broadcasters capable of communicating Norwegian languages and culture. It is becoming increasingly important at a time when new foreign niche channels are emerging. The switch to digital TV is in full swing for those who have satellites and cable. It is therefore important to have a conscious strategy for the role of the NRC in this development. Governments see no law of nature that links the licence to analogue broadcasting. I also see no such law of nature, but the Council of State also stresses that the licence must have legitimacy. That is what will be interesting in a future digital channel universe. Would the viewers, all of whom have access to a dozen channels, be prepared to pay the license for the NRK? This is at least worth problematizing, and I expect that it will be done in the notified Storing Message. As regards the editorial comments of the Council of State on the NRK1 and NRK2 programme form, it may be possible to get the impression that the Council of State wants to manage the programme activities. In my opinion, feature films, American and others, have never been part of the core business of a public broadcaster, so I'm surprised that the Council of State is particularly concerned about this. The NRK2 was supposed to be a relief channel, and has largely proved to be so, but as long as not everyone gets in the channel, there will be reactions from those who do not get in the offer. It is therefore gratifying that the Council of State is now signaling the concession to expand a digital network. The right subscribes to the wish of the Council of State that such a development should take place as quickly as possible, while at the same time a concession award focusses on the network becoming a nationwide network. As long as this ground-based network, in combination with other broadcasting platforms, is to disseminate public broadcasting programmes and replace today's analogue broadcasting networks, it must be assumed that it is approximately 100 pst. coverage before switching off the old analogue transmitters. I see in the State Council's statement that she says that the ‘majority’ of the population should have access to digital TV before a switch off the analogue network. I would like a definition of the ‘majority’, because I expect that the small ripples we've had in the coverage of NRK2 will be like fluke breeze to calculate if one knocks off NRK's main transmitter when – let's say – 60 pst. has digital TV. I don't think so. The shorter the parallel end time, the less the cost of double distribution will be, so a rapid expansion is necessary. The NRK has presented its estimates of the cost of digitisation. It is unrealistic if the NRK expects the Storting to cover all of this bill, which I believe is written with fork, but the Right is not alien to the fact that the costs of double distribution can be met in an extraordinary way. I look forward to the announced growth report and expect the department to carry out a thorough analysis of what expenses it would be natural to cover. With licence revenue of more than DKK 3 billion, or as much as is granted for cultural purposes under the State budget, I believe that the NRK has to set annual amounts within its own budgets to cover the costs of digitisation. In connection with the alerted notification, it is natural to have a review, which I have previously asked for. What kind of minimum offer should everyone receive when using the digital groundnet? It is obvious that the general channels have to be included, as is the case with other Norwegian-language channels. What is positive and gratifying is that, in its statement, the Council of State announced that digital television should be introduced to new broadcasters wishing to operate nationwide broadcasts. This will increase competition, while at the same time making the concession to broadcast nationwide advertising-funded television, the TV 2 concession, almost worthless. A strategy for addressing this challenge should therefore be put in place. The concession notice for the TV2 concession extends to seven years from 2002. I hope this will not restrict the possibility of rapidly expanding digital television. When I first talk about TV 2: It is positive that the new concession has now been announced, and that the auction principle was rejected. Instead, hopefully a competition based on quality and content is now in place and is determined in a fair manner. In the new concession notice, I am not aware of any restrictions on ownership. The current TV 2 concession states that no one can own more than 33.3 pst. Right will support removing this constraint and preferably immediately. Schibsted has announced that they consider selling their shares, but has also signaled that it would be more interesting to remain on the owner’s side if the 33,3 p.m. rule was repealed. So you can ask yourself, ‘What would be the most useful thing to do — a strong Norwegian owner, or two foreign owners who control the company?’ It is very likely that the alternative is if Schibsted sells out his mail, or possibly a network company – such as Norwegian – enters the owner’s page. The right is skeptical as to whether ownership law and ownership supervision have any function in a media landscape characterized by strong international groupings. We also need strong Norwegian owners, and it seems to me that the Ownership Authority is most concerned about stabbing small local viewers who want strong owners. No, let competition law also work in this area. In connection with the announcement, I would like to ask the department to look at the local television station in today's and tomorrow's TV landscape. What will be the place in the digital multiplexes, what will be the place on the electronic programme guides, and what will happen if the ownership conditions in TVNorway change and the local television distribution agreement is dropped? I think it's important that we have a network of local television stations that are increasingly communicating local news, sports and culture. There has been a hard time for them for many years, but it now seems that some of the stations are starting to run with profits. Although the last year has been an economic downturn for the most technology-optimistic, with the fall in the stock exchange on IT and telecom shares, progresses further. Convergence is getting closer and closer, and the integration of different media continues with undiminished strength. Radio digitisation has been slower than expected, but there is still an interest in new concessions for nationwide digital radio. I expect the ministry to have the same radio attitude as the Council of State signaled in relation to TV, and that when it comes to the digital broadcasting platform, more concessions should be given to operate nationwide radio. I also want to pay tribute to the advertising-funded public broadcasting radio we have today, namely P4. They have long been criticized for too little effort on Norwegian music and for taking the concession obligations too little seriously. P4 has taken this challenge and is now sending much more Norwegian music, while in other concessional areas they take their responsibilities seriously. That's good, and shows a conscious attitude and policy of editorial management. The EU has recently adopted a large copyright directive which will also be important for Norway. It is often easy to forget that all the new channels have to be filled with content – content that is copyright. These are copyrights that with new storage media are becoming increasingly subject to copying. I now hope that you will soon cut through the battle between the Fund for Performing Artists and GRAMO, and that you will recognize that the fight of GRAMO is about demanding your own money. It is an important job fund for performers do, but in my opinion the job should be limited to an award organisation that benefits Norwegian artists and artists, not, as today, to be an recruitment organisation. The matter has now been raised out of the hands of the Council of State, and I expect a quick solution in line with the great majority last year. Media policy faces major and exciting challenges. Our job as politicians is to get involved in development without letting us blind ourselves to all new opportunities. The role of the public sector will be regulated in terms of technology, and the contribution of a small language society to the challenges of cultural policy facing the Norwegian economy.
ParlaMint-NO_2001-05-03.ana.ud1912e575	It's going to be line change.
ParlaMint-NO_2001-05-03.ana.ud1912e578	I agree with Trond Helleland that it is important in the future to have a strong public broadcaster in relation to both Norwegian language and culture, and that we need a strong NRK. The NRK2 should be a download channel, and there has been a bit of debate about what things are sent in the different channels. Trond Helleland asked questions about what is going to be the NRK’s public broadcaster, i.e. what to send in relation to NRK2. Does Trond Helleland think that Stortinget should not give a signal in relation to NRK2 as a download channel for NRK, and that the NRK itself should be able to assess it on an entirely free basis? We know that the costs of digitisation are ahead of us, and the representative of Greece said that the NRK should spend money annually on this in its budget. It might be a way to do it, but it might be interesting to know whether the representative of Greece and Right thinks that the NRK should be involved in and set all the costs of developing this within its budget. I agree that it is good that we have been given a new concession in relation to TV 2 and hope that we can get a quick clarification on it. The NRK has benefited from the competition that has taken place, among others. from TV 2, and it is of course important that they still have some competition in the future. There is reason, as the representative of Greece was in it, to give P4 honor, but when it becomes relevant to renewing and applying for a new concession, is Right interested in imposing a concession fee on P4? From the Christian People's Party's side, we have vented that thought, and believe that, among other things. Should be able to go to local media. It may not be right in agreement, but are they interested in assessing a concession fee?
ParlaMint-NO_2001-05-03.ana.ud1912e589	The representative of Molvær Grimstad was concerned about this with the public broadcasting role, and I am also concerned about it. I think it's important that it's the generalcasters who even largely develop editorial policy, and that we, as politicians, provide broad guidelines. And I can never imagine that Stortinget has said that feature films are part of the public broadcasting mission. What I think Stortinget has been concerned about are Norwegian-language programmes, children's programmes, minority programmes, etc. There I think we're completely in line, but I'm surprised that the Council of State, when there's been some reader letters in the newspapers and some enquiries to the Stortinget and the Government, is so easily tying to the simplest instrument, that's to say that here the NRK has to do something else. What I also wonder about is how the NRK, if they're going to follow this up, will be able to send all those feature films. They had a Monday movie before. After they got NRK2 and added the feature films to that channel, they have movies almost every day. And that's why people react. So my advice is to really get the digitization and expansion of NRK2 started as soon as possible, rather than having to go back on the transmission form that NRK1 has now established, which turns out to be a success measured against other channels. It's hard to put feature films into the programming surfaces. But this is the editor's responsibility to assess. In terms of digitization, I said, unlike the Christian People's Party, actually a little bit about what the Right was willing to be on. The Christian People's Party would just wait and come back. I said that the right is willing to participate in discussing the extraordinary cost of the parallel broadcasting of digital and analogue TV. I think that might be a reasonable matter for Stortingen to consider. As regards the concession fee for P4, I will wait for it. It's not sure that P4 is going to have the new concession either. We don't know that. It may also be that digitisation has come so far that there will be more concessions being announced. A digital nationwide radio concession has already been granted.
ParlaMint-NO_2001-05-03.ana.ud1912e600	Over the 1990s, the size has ranged from playing editors on the content to becoming much more professional in dealing with our different institutions. As far as I remember, the most recent feature in the main hall that interfered with the editorial coverage was held during a media policy discussion of the Right-Own Media Policy spokesman on election coverage in Israel, in 1994 or 1995. It's good to see there's some development in the right as well. It might also be nice to remind each other that NRK2 has a resolution of 2 pst. in spite of the fact that they all, most of them now accept those signals, so it is quite obvious that there is no popular requirement to have access to the programs, but of course we have a responsibility to try to meet the few who, after all, will have the channel. The right would, as you know, not be able to get this offer, but it may have changed as well. I have understood that the Right now wants an expansion of the digital ground plane. It's not an obvious position, but in my view it's a reasonable position. But then in today's debate I got the impression that the Right wants a much narrower NRK to stay away from, for example. the American films, used as an example by the Right in the best left-wing radical tradition. For us in the Workers' Party, it is quite obvious that it is also part of the public broadcasting mission to offer in those areas as well, and get sent out wide programmes that people are interested in and that people will see. If the Right could have explained to us in plain text a little bit more about what they put into this public broadcasting concept, it would have been a pleasure to listen to.
ParlaMint-NO_2001-05-03.ana.ud1912e614	The last question, if I want to define the general programming concept, I've answered before. I don't want to. I want the NRK to do that very much myself. That Stortinget can have general debates is okay. Otherwise, I perceived the first part of Alstad's line as a direct connection to my position in terms of the fact that NRK2 is not a wide channel that reaches so far out. When there is no popular requirement, it suggests that there is no need to make a big grab either. As far as the American feature films are concerned, I have a great sense of them and I like to see them on a huge number of channels that you get in for free, without paying a license. That's what it says. Is there something that is enough on Norwegian TV today – and then I'm talking about those who have a parabola or cable, and it's almost over 70 pst. by the population — there is an offer on film. I would like to have good feature films on both NRK1 and NRK2, but I didn't fully understand the point of raising it to a major point in the media policy statement. With regard to other issues that Alstad raised, it may be that the electoral campaign coverage from Israel has improved since 1994, and that there has therefore been no debate on it. That is not normal, and I do not want the Storting to have any debate on programme content. That's not our problem. Moreover, there has been a major change since 1994/1995. The NRK has become a share company. It's also important to remember, because sometimes both I and others forget when we give an opinion on media policy issues. I think the world is moving forward, and I hope that the NRK will be able to evolve in a good way. We do not want a narrow NRK, on the contrary. We want a broad, popular, good NRK that is funded by license, until you might have to consider other ways to finance it. But it is important for the Right to stress that a wide free advertising channel is important.
ParlaMint-NO_2001-05-03.ana.ud1912e623	I want to challenge Greece on a very popular concept that I have heard he has used twice, but first I have to say that it is very interesting to hear Greece talk about media policy. I am largely and largely on the way to agree, and I must say that he has put himself well into it, in the sense that there are many terms. But the representative uses the term fork. He used forks in this context, and I've heard it before, it's written with forks. I have understood that it is really a matter of having many large numbers presented in the media for the costs of digitisation. I think it's handled in a sensible way by the Minister of Culture when you've chosen to challenge the NRK to clarify what this is about, that it's therefore a sensible process going on, and that it's not wise for big numbers to comment on in time and out of time from actors in this image. That's the one. The second is the reasoning related to the feature films and the NRK2. I think it was highly justified that the Minister of Culture took up that relationship. It's not that it's the feature films in themselves that necessarily give this legitimacy, although I think people need it, but it's so annoying for people who don't take in the NRK2, to get this advertisement for the feature film, the NRK2, in NRK1. Nor is it true that all parts of the country have a cable. Of course, most people can have satellite antennas, but there are some people in the districts who are hit by the same thing, and who have a legitimate right to bring with them an offer that also includes feature films.
ParlaMint-NO_2001-05-03.ana.ud1912e630	I'm sure NRK's representatives, either at the PC screen, where they're listening, or at the diplomat lodge, will notice all the good performances compared to what people are annoyed about in the NRK2 and the marketing of films. The first thing that Enger Lahnstein was about was the concept of writing bills with forks. Then there would be a few more digits, and my point has been that I don't take the numbers from the NRK for good fish. I understand that this is actually the exact same Minister of Culture saying in a slightly more diplomatic and proper way, namely that the NRK's number is not necessarily the fasit. They need to be carefully examined, they need to be looked at, and the ways in which this is to be financed need to be assessed. I want to repeat that when the NRK now has these very large license receipts and still cannot get the skin trap to stretch, it's probably a signal that there's – and I think most people in this room have a sense of – the need for reorganization, rationalization in the NRK, and it's necessary to think about something new. I think it was quite illustrative that when the case concerning the possible sale of the ‘White House’ on Marienlys came up, there became a ramaskrik, especially from some older employees, because here was the culture in the walls, etc. I'm sure that's right. But if you could free a billion or two by moving into modern, temporal rooms, it's the type of grip NRK actually has to evaluate. That is why I have not rejected it either. I have no emotional relationship with Marienlyst. I think it's a nice environment they're in. But if they could save a lot of money on it, then why not? The NRK shall produce television and radio programmes for the Norwegian people, not primarily as a storage facility.
ParlaMint-NO_2001-05-03.ana.ud1912e639	The cord shift is over.
ParlaMint-NO_2001-05-03.ana.ud1912e642	The NRK shall be free of advertising and licensedly funded, the Minister of Culture Ellen Horn stated in his media policy statement in the Stortinget a few days ago, that the NRK shall be an independent public broadcasting service in the future Channel Jungle. This may sound correct, but the Progress Party does not agree. No matter who, you can ask yourself. The Progress Party believes that a media channel such as the NRK is not necessarily independent when one is dependent on a political majority to just get its income. The favor of the political majority is important precisely in order to obtain a suitable source of income in order to operate the NRC’s activities. The NRK is a large enterprise with over 3,500 employees divided into 17 district offices, Sami Radio and the main bases Marianlyst and Tyholt. The required NRK licence for 2001 will amount to 3 010 million. kr, which means a licence of 1715 kr per. license payments – I recall that the Progress Party had a lower proposal that unfortunately did not receive a majority – a sum that has increased over many years, and that will probably continue to increase in the future, especially with the challenges of digital development facing the NRC. In addition to the licence funding, the NRK also has a small income from sponsorship, a sponsorship that for many others is not so different from advertising. As everyone knows, the NRK is now inside a, if not difficult, challenging situation that requires action and conversion from both owners, i.e. State, government, management and employees. This process can be very painful if measures that adapt the enterprise to the new and changing framework conditions in the media sector are not put in place reasonably soon. Recent circumstances may indicate that in the NRC there is not the necessary crisis understanding that should have taken into account the challenges facing the enterprise. There is reason to believe that the situation in the NRC will have a significant impact on the news picture in the future. It is therefore important that we have a clear view of how we think the NRK should develop. The NRK is probably the company that is best known in Norway, and it is a company that many people want to think about. The NRK is struggling with a very heavy organization that requires a lot of resources. The NRK has therefore had financial problems in recent years, which has led to a deficit in the company that has had to be covered by cuts in the organisation. There is reason to believe that this situation will further intensify in the time to come. Therefore, the Progress Party believes that the NRC must become more economically oriented and that this must control the NRC's further work more than today. The NRK is currently operating on a competitive market, with competition from TV 2, TV Norway, TV3 and foreign operators. It is not natural for viewers to choose NRK in the future when watching TV. The question here is whether it will have consequences for the NRK, among others. with regard to the television licence and whether the owner should look at the NRK from a more commercial point of view. Should it be possible to open up advertising in whole or in part in the NRK, and then by gradually removing the television license? Yes, the Progress Party believes, both to strengthen the NRK and to ensure that people don't have to pay for a product they don't feel like they're getting 100 pst. again for. This is due, inter alia, to: that many do not gain NRK2, which has recently gained a greater role. For example, the Monday film and many children’s programs have moved from NRK1 to NRK2. When you can also share a football match between these two channels, yes then the desire is full too many. The Progress Party believes that the coverage of NRK2 is too low for the NRK to be able to break up the programme offer as they do today. About 15 pst. Norway’s population does not currently receive NRK2, and this also varies greatly from part of the country to part of the country. For example, Nordland only has a coverage of 74 pst. What is then extra sin is that those who are hit are those who otherwise have poor coverage of the media. Here I refer to a previous proposal that those who do not receive the NRK2 should be refused the licence. Unfortunately, this majority was not given in the hall. In today's tough television market, it is also necessary for the NRC to cooperate with commercial operators in some areas. An example of this is that it has now become known that the NRK, TV 2 and Telenor are talking about closer cooperation primarily in the development of a digital network for the transmission of television signals. Where appropriate, the NRK may also cooperate with, for example: TV 2 on a common Norwegian sports channel? Such a solution has been discussed in the past. The condition then was that such a channel should be advertised, possibly as a pay-TV. In the media sector today, there is a very rapid development in the introduction of the new digital technology, which will lead to an entirely new media sector compared to what we know today. In this development, it is important to act quickly. The media companies that cannot adapt to this change will appear as losers when the new technology is implemented. So concretely to the views of the Progress Party on the future of the NRK. The television broadcasting licence shall be permanently removed and replaced by either advertising, pay-TV or other sources of income. The removal of the television licence must be gradual by opening it up in order to enable the NRK to obtain revenue from, for example: advertising and that this results in a reduction of the television licence. The NRK shall be privatised in the long term. This must be done gradually by allowing the State to involve partners – this in order to raise capital, but also hopefully in order to gain more competence. The Governing Board of the NRC must be composed of members who have a high understanding of economic and organisational processes and who have a large social exposure. Nor should the NRC have greater obligations as a public broadcaster than TV 2 and other media companies, such as TV 2. Schibsted. Nor should the NRK have greater obligations than other media companies to preserve Norwegian culture. The party considers that selling a Norwegian product will continue to be a major competitive advantage. The viewers and listeners will be loyal to those who broadcast Norwegian-language programs. As long as the NRK is owned by the State, the enterprise should be placed under another department, so that the regulatory role and ownership role are separated. Such a model will also avoid too much mix-up between policy and business. As long as the NRC is in public ownership, the NRC is required to ensure preparedness for crisis situations. When the NRK is privatised, the state enters into an agreement with one or more broadcasters to ensure this. Otherwise, back to the media policy statement, some of which seemed to be too much NRK and too little on other issues. Once you spend so much time on the NRK, you should have used a few words on time perspectives and declarations of intent. The Progress Party calls for time-frames for important strategy and, in particular, investment decisions. Everything was postponed to next year's budget proposal and to a general and principled announcement for the autumn. Then it can go both winter and spring before there are any decisions. No one's earned either the NRK, their owners or the licensees. Einar Förde has stated that if no decisions are made, the NRK ends up as an analogue museum. I think we all have to think about this. The development takes place quickly, and is not the NRK with from the start, you lose your foot fast and fall. Otherwise, I have to mention in passing that TV 2 AS's concession call is being watched with great excitement, and let's all hope that there will be a decision that will benefit everyone. Unfortunately, the forward and backward policy that has shaped this matter has not been at the best. Here I would also like to mention the earlier proposal made by the Progress Party that this concession should be granted by auctioning between companies that fulfil the terms and conditions of the authorities. Otherwise, the Progress Party misses a mention of, among other things, the press support contained in the presentation by the Minister for Culture. We will also read about it in the notified press release, where the setting of the Daily Press Committee will be available, a setting that does not surprise the Progress Party if it supports an increase in the press support. So back to the economy. The NRK needs a large and significant growth to be included, among others. digital development. The Minister of Culture said that ‘the NRK must invest capital in the relevant portal companies’. This probably sounds right, but what money? The NRK does not have these, and then this might sound strange. It's going to be exciting to see if the NRK gets the NOK 3-5 billion they need. Although the Minister of Culture did not commit himself to any sum, I suppose the point was there. It would be strange if the Minister of Culture didn't follow up. Then the question is: Who is going to pay – and how much? Licensing is to be maintained, says the Minister for Culture.
ParlaMint-NO_2001-05-03.ana.ud1912e700	It's going to be line change.
ParlaMint-NO_2001-05-03.ana.ud1912e703	I have to say I'm surprised at where the Advance Party will get $3 billion from to the NRK in the future. From advertising funding and other funding, it is said, but it is quite difficult to get hold of. In the distribution, the Minister of Culture said that the advertising market is about NOK 2 billion. Of them, TV 2 takes 1.3 billion or something like that, and there are radio channels and others that take the rest. I wonder if the Progress Party has knowledge of a potential that we don't know about when it comes to advertising revenue, or whether they're offered to let the NRK be funded by advertising and let it go beyond the other channels. In fact, it won't be the case, but it will be the worst case. That means that the NRK might take a very large part of the advertising market, and that means that someone else is dying in that process. Has the Progress Party thought about the consequences, or do they know about, as I asked for introductoryly, some income we don't know about?
ParlaMint-NO_2001-05-03.ana.ud1912e710	To make a company profit, there are two ways to do it – and NRK AS is also a company: we can look at income, and we can look at expenses. And the Progress Party touches on both of these things. We say we should look at the company's expenses. We have 3 500 employees, we have to be more efficient, we can rationalize, so we save a lot of money. So this is the advertising market. The Progress Party believes that the NRK as a company will be able to obtain sufficient advertising revenue in addition to its efficiency so that the NRK can base its expenditure and revenues on this without necessarily having a compulsory licence. With a quality program, which we believe and hope the NRK will be able to produce Norwegian products, it will be more and more interesting to advertise and pay for advertising in the NRK. So I don't think this is a problem, I think we're going to get a commercial from the way it is today, on paper, on live images. I also believe that the market will benefit the NRK, so as I said in those who have Norwegian products, it would be interesting to buy advertising. So I don't see any of this as a problem.
ParlaMint-NO_2001-05-03.ana.ud1912e717	The representative, Bredvold, was within many aspects of the media challenges. The Council of State stated in its statement that the type of funding chosen for the public broadcasters also affects the profile and content of the companies. I want to challenge the representative of Bredvold on the relationship between the form of funding and the content of the channels. Does Bredvold agree with the Council's view on this, and does he see the value of having a non-commercial channel that is a little different, that can be a counterweight, and that can challenge the commercial forces of cultural life? Doesn't Bredvold see that this is a value and a good thing for Norwegian society? The representative Starrfelt challenged Bredvold on this with the advertising market and the possibility to finance the NRK with advertising. I guess I don't really think that the representative Bredvold gave some very good clarification on how it can be realistic. It falls a little into the series of ‘view points’ that the representative Sandberg drew up here in a previous line to me today, and testifies a little bit about the Progress Party’s way of thinking about media policy. So finally, the Progress Party will in the long term fully privatise the NRK. Then I would like to remind you of other countries, among others. England, where Margaret Thatcher privatized the most, but failed to privatize the BBC. Is it not a cross of thought for the Progress Party that our neighbouring countries and countries in the same situation have not dared to do so either? I think that if we were to follow the advice of the Progress Party on media policy, we would be left with a media offer that is a lot poorer than today.
ParlaMint-NO_2001-05-03.ana.ud1912e726	To the representative Ola T. Loan questions about advertising will be involved and influence the profile and content of NRK's programs: I don't think so. How's it going today? What characterizes NRK's programmes, from the point of view of the Progress Party, is precisely the majority of the Storting. It is clear that in order to get favor in the storeroom, it has a lot to say which programs a sender and how to present the programs. I don't think at all that we have that problem today with the majority we have in the main hall, so I don't think this advertising stuff will help to shape the future NRK. And I have so much faith in those who are going to sit and direct that advertising, that they do it in a sensible way, so that the advertising revenue and the advertising entries that come are of benefit to all of us. In addition, I would also like to mention, which I did not mention in my first post, this with volunteering, because that's exactly volunteering we're going to have in the case of the NRK. Freedom may, for example: be that we have pay-TV. Otherwise, we have not said that we should fully privatize immediately. We have said partial privatisation/full privatisation in the long term. Why we're going to do that, is just to get capital and skills so that in the future the NRK is going to be an even better offer than what we have today.
ParlaMint-NO_2001-05-03.ana.ud1912e735	It is quite clear that the recipe of the Progress Party is to give more power to the market and to market forces. And we can see what it's like in countries where market forces have a lot of control over the broadcasters. In the Nordic region, the newscasts are on top of what the viewers are looking at. In other countries, they are far, far down, while soap series make up 20 on top shipments. Does that representative, Mr Bredvold, not worry about the fact that the broadcasters should also have a democratic function, an information function? Then to the other thing I want to challenge the representative of Bredvold. We are quite convinced that having a strong and high-quality NRK affects what other advertising-funded broadcasters send. Without a NRK that is strong, unadvertised and of good quality, I am convinced that much more garbage TV will also be provided in the commercial channels here in Norway – more Big Brother TV, more TV that will harm society, which has entertainment where participants are humiliated in the name of entertainment. We're not going to ban these, but we're going to have to have quality as an alternative. I assume that it will concern the representative Bredvold if his kids are going to have to sit and look at the kind of entertainment that I'm quite convinced he doesn't want his kids to see. But it's going to be the results if you don't have a strong NRK.
ParlaMint-NO_2001-05-03.ana.ud1912e742	I'm glad we have a slightly different view here in the hall, because there's a different view of things that make us get a better product. As regards the quality of programmes, it is clear that the Progress Party will have quality, but at the same time we will give freedom of choice. And freedom of choice is that there should be a large range of TV programs, and that the individual can use the button, on and off, and look at the program you want. And as the representative Valle probably has registered, there are quite a number of people who like to watch Hotel Caesar, and there must be a reason for that – not that I'm necessarily the one who looks at it, but I accept that many want to watch that kind of program, and then they have to be allowed to do it. I don't think it's the commercial that makes people look at that kind of series, but they have a desire to look at them. So to this with news -- that's very important, and we're going to be involved. The Progress Party will also have broad guidelines here in Stortinget, and it is clear that the concession terms will apply to those who will be given the programme.
