ParlaMint-NO_2001-12-19.ana.ud51e69	The representative of Ågot Valle will make a private proposal.
ParlaMint-NO_2001-12-19.ana.ud51e500	Of course, the Prime Minister does not distance himself from his own government policy. That's what I'm defending.
ParlaMint-NO_2001-12-19.ana.ud51e505	His State Secretary.
ParlaMint-NO_2001-12-19.ana.ud51e510	Yes, I am aware that he referred to the Secretary of State, but Schjøtt-Pedersen asked the Prime Minister, and I am of course behind the government's policy. I would like to maintain that the production of the budget's impact on the districts has been very unbalanced. One has not taken it into account that there is a real strengthening of the local economy, in fact also in addition to the forecasts contained in the Schjøtt-Pedersen budget itself, because of a lower price forecast that alone means 250 million. kr in the session action room. Now we've got a reduction in interest rates that alone means 400 million. kr in increased action rooms for the municipalities, we have strengthened the road budget in addition to the budget provided by Schjött-Pedersen, we are going to remove the air passenger charge, with which Schjøtt-Pedersen has not done anything, and we have improved the operating tax. All these are measures that will gradually benefit the districts. Then it is clear that in isolation there are also some items that we would like to have higher in terms of appropriations. However, as a budget that would contribute to lower interest rates, this is a responsible budget, which I am convinced will gradually benefit the municipalities and districts, although many of them still have a sluggish economy, among other things. the municipality to which Schjøtt-Pedersen referred in Troms.
ParlaMint-NO_2001-12-19.ana.ud51e519	A budget that would bring interest down was already on the table when the Prime Minister joined, so there was no need to do anything special about it. But Bondevik's government is cutting the regional policy instruments by 350 million. kr. Economic policy is weakened by DKK 1.7 billion, and this clearly contrasts with the fact that the Christian People's Party, before the elections, said that regional policy instruments had to be strengthened – and not least it is in contrast to the policy of the Christian People's Party last time he was prime minister. The Bondevik I government proposed to strengthen municipal food funds, the Bondevik II government proposes to cancel them completely. Bondevik I proposed to introduce a major effort on regional coordination, Bondevik II proposes to delete it altogether. Bondevik I proposed increasing support for water quality in the companies, Bondevik II proposes to delete it altogether. Corresponding to the service braking for petrol, and in the case of the air passenger charge, overall for North Norway, except for Tromsø and Bodø, there is an increased charging burden. Does the Christian People's Party have a completely different district policy than before the elections? Or is it that the Christian People's Party has had to sacrifice district policy in order to go to government with the Right?
ParlaMint-NO_2001-12-19.ana.ud51e528	No, we haven't sacrificed district policy. We insist that many of the factors I mentioned, which Schjøtt-Pedersen elegantly overlooks, are for the benefit of the districts. When assessing the regional impact of the budget, a person should, in the name of truth, include factors that have a positive effect on the districts and not only those that in isolation may have a negative effect on anyone. So we haven't sacrificed district policy. But it is clear that this is a government of three parties working together to find a common budget. We've done that, and of course I'm behind it. And I maintain that there are several instruments in this budget that will work positively for the districts: corporate taxation, air passenger charges – the districts are of course slightly more than North Norway – road allocation and the general economic policy that is now beginning to deliver good results.
ParlaMint-NO_2001-12-19.ana.ud51e535	The President has subscribed three representatives for follow-up questions, the representatives Olav Akselsen, Karin Andersen and Magnhild Meltingsveit Kleppa. There are more than three who have tried, but there will be no more.
ParlaMint-NO_2001-12-19.ana.ud51e540	I am pleased that the Prime Minister is now confirming that in this area there is another party that has been implemented. However, I am surprised that he is trying to minimize the impact of the cuts that have now been carried out. The reactions have been very strong, especially in District Norway, and not least internally in the Christian People's Party. In our discussions, the Stortinget discussed district and regional policy and SND's future, and there was a Christian People's Party in a plurality that tried to set up a common front against the Right and the Progress Party its policy in this area. Now it is Right’s business policy that is being implemented. There are very many who warn against this policy. One of those who warned was the then Prime Minister candidate Bondevik, who in the VG on September 3rd this year, a week before the election, strongly warned and refuted the proposals from the Right, especially when it was a raging discovery. Today, Bondevik himself manages the policy he so strongly warns against. It must be allowed to ask: Is it the Prime Minister or the then Prime Minister's candidate who is right on this point?
ParlaMint-NO_2001-12-19.ana.ud51e549	The truth is that on several of the points that I warn the Right, it is not the Right Policy that has been followed up. I warned against cutting the aid. The aid has not been cut. It's high next year. We also disagreed on cutting sick pay. The sickness pay scheme is not affected. Many predicted that there would be a weak effort in the field of kindergarten development. High-recorded effort has been maintained. So at point-by-point, the Axis should, in the name of truth, acknowledge that the Christian People's Party and the Center Parties have had a significant impact in a cooperative government. With regard to the reactions in the districts, there's something the Axis shouldn't be completely unknown about. It was under the government he himself put in, that the district uprising was organized and seriously came, largely as a result of the policy he himself was responsible for.
ParlaMint-NO_2001-12-19.ana.ud51e556	Karin Andersen – for follow-up questions.
ParlaMint-NO_2001-12-19.ana.ud51e559	First, I would like to say that the Prime Minister's statement that the local economy is significantly improved is not correct, because the increases associated with increased pension expenditure, which are barely covered. So here's nothing to shout for. Government policies are now such that there should be less district policy in all common sectoral policies. There must be more competition, more privatisation. Everyone knows that it's an advantage for central struts, where it's a functioning market, because that's the only reason there can be any solution. In addition, the specific district policy should also be less important and less important. In a way, there will be very little district policy again, both in size and in size. The government also says it should be useful. Yes, SND has documented for several years that due to lack of funds, there are many companies that are not getting started. Does the Prime Minister think that SND is going to go wrong?
ParlaMint-NO_2001-12-19.ana.ud51e569	No, of course I don't mean that, but SND, like everyone else, takes care of its interests. When one hears the opposition, one can sometimes get the impression that SND is being closed from New Year's. In fact, billions are still going through the SND system. There have been down adjustments in some items, but I'm convinced that SND is going to play an important role in the years ahead, and it has this government as ambition. As far as more competition is concerned, there is also a call from the previous government in certain areas. I don't think it needs to mean loss for the district councils. On the contrary, if it is done in a sensible way under the responsibility of the municipality, a competitive outsourcing can also reduce costs for the municipalities in the districts. And the truth is, we don't go into 1.5 billion dollars in increased tax revenue for the municipalities this year when next year's price and interest rate reduction totals 650 million. kr in more action rooms.
ParlaMint-NO_2001-12-19.ana.ud51e576	Magnhild Melting Group Kleppa – for follow-up questions.
ParlaMint-NO_2001-12-19.ana.ud51e579	There is an eye-catching difference between Bondevik I and Bondevik II when it comes to district policy. There is both the eradication of municipal food funds, commercial gardens and the dramatic reduction in the SND example. The Prime Minister has today confirmed that he found it quite OK with more expensive air fares on the short-haul network and more expensive food and more expensive petrol in the districts. The Minister of Local Affairs has made some changes in the case of the House Bank, which weakens the potential for housing in the districts. She has warned about a transformation of the municipal economy. She wants to take out the districts and give more to the big cities. The big cities need more money, but it's worrying if it's going to affect smaller municipalities. She also has notice that she is open to experimental schemes that the big cities take responsibility for running further schools. There is a solid wedge into the holistic responsibility that the county has now had for further schools, both in districts and in the city. Is the Prime Minister behind such an announcement?
ParlaMint-NO_2001-12-19.ana.ud51e590	The big cities may need more resources, but we haven't thought it would happen at the expense of the district municipalities, which also need more resources. If we get to a growth in the economy, it's actually possible to get to both. As far as school is concerned, we are generally open to local trials. As you know, the secondary schools are not for the county, but the county municipality can be useful for the administration of secondary schools. Trials should not be anxious. But we have no plans to shut down the county. Then the representative Meltveit Kleppa says that there will be more expensive food and more expensive petrol in the districts. The truth is that there's going to be cheaper food and cheaper gasoline for people in the districts because of halves of food moms, for which we've fought together. And because of a reduced fuel tax, next year, people will experience cheaper food and cheaper petrol in the districts as well. It should have enjoyed the representative Meltveit Kleppa just before Christmas.
ParlaMint-NO_2001-12-19.ana.ud51e599	The President proposes that further exchanges be made in writing with Christmas cards. Let's move on to the next main question.
ParlaMint-NO_2001-12-19.ana.ud51e604	My question goes to State Council Victor D. Norman. The Council of State has stated that competition policy should be strengthened and that he should draw up an action plan for this, including: to review the public monopoly situation we have on the welfare side. Now, state councilman Norman has stressed that everything has to be done in close cooperation with employees and employees' organisations. And this is probably a proper approximation strategy. But we know that we can expect a hard ideological resistance from e.g. Norwegian Municipal Councils which seem to have zero modernisation measures in the direction of competitive outsourcing or privatisation in public welfare production. Can the Council of State show a great deal of will – I hope so – and the necessary strength in such a situation and not be too yielding to the forces that will fight against the modernisation policies of the public sector that now seem to be largely majority in favour of here on the Grand Duchy?
ParlaMint-NO_2001-12-19.ana.ud51e615	I think it's very important to be aware that modernisation in the public sector is completely impossible if not many of the 700,000 who work there, not only are willing to be involved, but actually take an active ownership of it. They're going to do a better job, they're going to want to do a better job, and that's why we need them on the team. This is our clear starting point for all the modernisation work. If we're to have the individual employees on the team, there's a lot of things to do. We need to decentralize responsibility and authority, we need to provide reward schemes that allow individual employees, if they actually do a better job, to see some of the results themselves, and then we need to have close contact with employees' organisations. What I, and the Government, have said is that we invite all relevant organisations to close and close cooperation. I am convinced – it is possible that I am naive – that there is a basic willingness to change among employees and within their organisations. As long as we make an invitation that is open in the sense that we are not dogmatic about the tools to be used in the modernisation, and are open to good ideas from the organizations, I think we'll get them along. But I want to make it clear that it's an invitation to active cooperation on modernisation, it's not giving organisations a veto on development. And if it's supposed to be the way organizations aren't as positive and changeable as I think they are, and as they have expressed themselves, then we have to see what we do in that case.
ParlaMint-NO_2001-12-19.ana.ud51e626	I thank the Council of State for the answer. The answer was that this is something the Council of State will do in the best way, and I believe that it promises well. However, it is clear that competition in the public service sector will, as some of us know, be able to trigger a large economic savings potential, and it could help to eliminate defects and shortcomings in the hospital system, in the care of the elderly and in the school system, which are currently suffering from this type of public welfare production. The Progress Party promises to follow closely what is going on in this area. We believe that competition is important in the public sector. The public sector monopoly in welfare production has long been a disadvantage in terms of reducing costs and improving quality. Norman is one of those who goes here to a formidable task, and I've got a confirmation that he's going to do what's in his power to do this the best way.
ParlaMint-NO_2001-12-19.ana.ud51e637	At least I believe I can confirm that I have great faith in competition both in the private sector and in the public sector. But I also think we should bear in mind that competition does not just have to be a formal competitive outing. It is probably so important that we have a dispute between different public service providers, and also more likely to have a conflict between the individual employees who work in the public sector. Competition is good, competition is fun, and it's encouraging. I also believe that the employees and their organisations agree at the end.
ParlaMint-NO_2001-12-19.ana.ud51e642	There will be follow-up questions – May Hansen.
ParlaMint-NO_2001-12-19.ana.ud51e645	Governments are still talking about competitive outsourcing, reconversion, education, efficiency. The main challenge will be to recruit staff for the public sector. What will the Council of State do with the manning crisis we now see, when he is occupied with the employees?
ParlaMint-NO_2001-12-19.ana.ud51e653	The most important thing is that we ensure that there is actually enough labour to meet both the tasks of the private sector and the excruciating need of the public sector. There's a very important inclusion agreement. It is also important to improve efficiency, so that in those areas of the public sector where we might think that we have a little too many, we can free up labour that can be deployed in areas where the manning crisis is quite obvious. This means that labour market policy and efficiency policy are both important elements of a policy to ensure that, in the future, we actually get enough people to provide care services, health services, education services – all the things we need more – and that we can do it in a way that means that we do not at the same time frustrate private business.
ParlaMint-NO_2001-12-19.ana.ud51e660	The time for the oral question procedure is running out, and we are moving on to the agenda.
ParlaMint-NO_2001-12-19.ana.ud51e674	The Financial Committee treats the ejaculation without particular resistance. This year, relatively few and relatively small changes have been proposed by the Government. That's why a strange reaction we've seen from the government parties in the last few days related to a transferable allocation of 54 million. kr which took place through the budgetary procedure of the Church, Education and Research Committee. The strange thing about that reaction is that the government itself is proposing to use the same mechanism on several chapters with varying reasons. We had an interesting debate on this yesterday, where the government parties went high in defending the importance of not making these kind of changes right before Christmas. But then it's tempting to remind you of a debate we had in this room exactly one year ago, related to a proposal made by the Progress Party to grant SEK 1 billion for the treatment of patients abroad. On this occasion, I would like to quote the fiscal spokesman for the Right – the current Minister for Finance – who said in that debate: ‘– when we grant DKK 1 billion to treat patients, it is actually intended for the benefit of patients, and then you are told what else you want about the proposal.’ Further in the same post, the then representative Per-Kristian Foss says the following: ‘I also think that the committee leader’s discussion of procedural rules is a bit side by side in this context. But I'm recording, and I'm taking note, that in a discussion about whether we're going to spend $1 billion to operate people abroad when there's no capacity in Norway, the Workers' Party's answer to that is: No, we can't discuss it now. This is contrary to Storting's allocation rules. That's way of being sour. There's a way to be angry because if you lose a debate. That's exactly what it's about this year as well. And I want to repeat the glistening quote from our current Minister of Finance: ‘There is a way to be angry’ because political realities are being lost in the Stortinget. I think it is necessary for a minority government to act with a significantly greater degree of humility in relation to the majority of the population's desire to make changes in the budget. The status just before Christmas is that the oil-corrected deficit is reduced by NOK 11.4 billion, and it is mainly because the tax revenue has become NOK 15.1 billion higher than assumed in the budget. That means we're increasing our profits, and now we're going to end up with a profit for the nation of 260 billion dollars for 2001. It seems that the Progress Party testifies that the fine-tuning and detailed management to which the ordinary budget is being dealt with is impossible and unnecessary – especially because there is considerable variation with stoic calm by means of a new aging process. It's pretty crazy that when you get trends towards government crisis and chaos-like conditions in the Storting because you can't agree on very few hundreds of millions of dollars in changes over a budget, you sit close and yawn over the fact that the state fund gets more in tax revenue than 15 billion dollars because the economy is going well. The only way to take this into account is to balance the budget so that what was adopted a year ago, namely to spend 12 billion kroner of our oil wealth in the Norwegian economy for 2001, has now become almost zero. We had a little round and corrected it in the revised budget where the 12 billion were reduced to NOK 3.7 billion, and now it's going to be reduced to zero. At each budgetary procedure it is important for the government which is in place at all times to stress the importance of the government's own budget being the only source of success, the only one responsible and the one that will make the economy go well over the years to come. But then I'm assuming that that means you're going to deal with the budgeting you're raising at the start of a new year. It must really mean that if the deviations become as large as they become, for example, for the current year, then you do something about it. The point for any finance minister is just to stress that this very device that we have now implemented is responsible. It must mean that when we adopted the budget a year ago, it was responsible, and good and correct, for the Norwegian economy to use 12 billion oil crowns for good purposes in Norway. Why is it suddenly no longer responsible — and especially when we have received significant increases in income? That could lead to some nice grip on the tamp of the year, which would benefit the Norwegian taxpayers, and which would show that we actually mean all the government we run when we adopt the budget one year before. But you don't have to do that. To this end, the Progress Party stands alone in the Committee's position on a proposal to use a little of this increased space of action and allowed Norwegian taxpayers to benefit from an exceptional tax-free payment to both taxpayers and insured persons, which is approximately equivalent. 3.2 million people. It would have been a nice and loving Christmas gift for most people in a situation where the economy has gone far better than expected. But you don't have to do that. No one can claim in such a context that it will be impossible to implement by the end of the year. Of course, it will be possible – if you want. Another suggestion the Progress Party has in the setting is to use 250 million. to strengthen our voluntary and humanitarian organisations. They're doing a fantastic job, not least now in Christmastime when we have a lot of people who are lonely, sick, tired of rushing and other things, and who are looking for the Salvation Army and other organizations to get help, food and warmth in a difficult Christmas time. It would have been a loving contribution to our non-governmental organisations that are making an effort. But neither will any of the parties support the proposal, which I find very strange. I would like to address all the proposals that have been made by the Progress Party in the position, either alone or together with others, and at the same time will end this article by asking that the Stortinget spend the same amount of time not only on budgeting, but also on a debate that we are going to have later, a little out next year, namely on the accounts. It is a matter that is overlooked in silence in this house, despite the fact that we then settle the status and see if we met when we made the budget one and a quarter years before. I would like it to be given the same attention, because it simply underlines that the detailed management we are trying to provide in relation to the budgetary procedure is very rare.
ParlaMint-NO_2001-12-19.ana.ud51e711	The representative Jensen has taken up the suggestions she referred to.
ParlaMint-NO_2001-12-19.ana.ud51e714	Let me join the committee leader's initial remarks that there must be limits to being angry, without giving it any specific address. But it is important that we both have good debates and glimpses in these. Otherwise, I have also read the debate from last year on the so-called foreign billion, without having to draw up the whole discussion we had yesterday. There were many words of wisdom in Mr. Foss" post at the time, just like it is now. What was the main point of yesterday's debate was that we wanted a derogation from Section 4 of the Appropriations Regulation. This was done in the debate last year. We also take note this year that the majority wants to allocate 56 million. kr more, even if it is contrary to the Storting’s own rules of allocation. But we expressed yesterday's wish, and I would like to repeat it today, that there should be concrete exceptions to Section 4 of the Financial Regulation, as was also done in the debate last year on the so-called foreign billion. Otherwise, both the oil fund, the rules of action and the rules of allocation are primarily instruments. It's the results that count and that's crucial. For this reason, I believe that it can be argued very well that it is not right to spend more money in the last two weeks in December. Now we see that interest rates go down, and it goes down because you've been in control of the economy. With regard to the five proposals from the Government to make items transferable, none of the proposals contravene the rules on appropriations. All the proposals are well justified and in line with incorporated practice. I also refer to the debate we had yesterday, and to the comments in the vote, and address the proposals behind the cooperation parties.
ParlaMint-NO_2001-12-19.ana.ud51e727	The representative Sanner has addressed the proposals he referred to.
ParlaMint-NO_2001-12-19.ana.ud51e730	The recent ageing that Stortinget is treating today is primarily an expression of one thing, and that is that the Norwegian economy is going very well. So you've got $65 billion more in income than you would expect. Of course that's good news. At the same time, there are a couple of things to think about. First, think about whether this is something that can persist over time. There are, in particular, two issues in the Norwegian economy on which emphasis should be placed. One is that the capacity is almost fully exploited. This means that it must be a primary task to free up free hands, get those who are not at work, work, so that you have the opportunity to further develop the welfare state. The welfare state needs free hands, and when the economy goes high, as it has done in the year that we're about to have behind us, it means that it's a huge challenge not only for the Storting but also for the Government, for the Norwegian industry and for the public sector to make sure that you can get more hands at work. The second is that this shows how extremely vulnerable the Norwegian economy is. Much of the additional revenue is due to activity related to oil and gas production. This means that the Norwegian economy, through this ageing process, clearly shows the degree of uncertainty that lies not only in the estimates of the oil price but also in the dollar rate. If there had been a fall in the oil price or the dollar would have been much lower, this might well have been the opposite. It shows how extremely vulnerable the Norwegian economy is, and how extremely dependent we are on having high oil revenues. For many years, the SV has been calling for a shift from investment in the North Sea to investment in mainland production and investment in the knowledge economy, with all possible clarity, in the ageing budget that is now ahead of us. I'm not going to deal with this whole debate, but just point to one thing: I agree with what may initially seem like a rather sober estimate from the Government, which means that you now get a significantly higher input of money than you could really have expected, because you could have had the opposite situation if the oil price and the dollar rate had been lower. This means that having a sense of urgency in relation to which estimates are initially to be presented to the Storting is wise. It's better to get a significant plus than to get a significant minus. However, I would just like to highlight an important point, namely that this budget clearly shows – and the government must be more serious now – that the whole economy is in fact based on two prices, namely the price of oil and the price of dollars. In previous newsdebate debates here in Stortinget, there has been a significant rematch on political issues. It was particularly obvious during the center government, which took up a whiskers' butt here and a whiskers' butt there. Fortunately, it's not like that in this newly aged budget. This is essentially plus and minus. That's what SV appreciates. However, together with the Labour Party and the Advance Party, we have found room to rectify some of the things that have been necessary in connection with the education budget. It's natural to imagine that it's being introduced into the ejaculation. It's a pleasure. In addition to this, we have no comments. We agree with the other parties mentioned here on the proposals to which it refers.
ParlaMint-NO_2001-12-19.ana.ud51e747	It is good that this year's ageing has become what it should be: a correction of the adopted budget based on the changes that have occurred. However, when the changes in some areas are so big, some comments are natural. It is good that oil prices and oil taxes continue to increase. It's good that we've arranged for the added value of this sector to benefit the community, and that we can distribute it to those who need it the most. The center party thinks it's a pity that we're about to sell this opportunity. If the partial privatization of Statoil and the sale of shares from HOUSE was a cheap sale, we don't know yet, but the Center Party thinks we could do better without those billions. I agree with the message from the Grand President during the Christmas break the other day: We can help them at the bottom of the table – if we want to. Who really wants to, we'll discuss it further – over and over again. It's going to be the big challenge at the turn of the year, and the big cross of thought. For the facts of the autumn, the Labour Party Government proposed a personal tax bill of 80 p.m. to those with top taxes, but became more concerned with those with low wages and those with no income later. Bondevik II also ended on 80 p.m. tax relief for those with a peak tax but calculated by a much higher amount. A total of NOK 5 billion in personal taxes is enormous. Then the will to distribute can really become visible. But the will to increase the differences was greater. A few millionaires received most of the gain by returning the dividend tax to zero. Bondevik II covered its additional tax base by cutting transfers, among others. to industrial development in districts. In agriculture, they serve half of the lower limit of top taxes. Hardly anyone lies lower for full effort in a business that is so high priority. Food producers had to contribute NOK 10 000 of each year's salary to tax reliefs for the richest. In fact, the proposals of the Progress Party for spontaneous allocation today have a much better social profile than both the Stoltenberg budget and the Bondevik II budget. That's why it wasn't so strange that quite a lot of people were wandering in the eye during lunch, where the will for fair distribution – at home – was launched. The centre lot's tax credits in the budget of the harvest have reduced differences as objectives. Almost all of our tax credits go to revenues less than NOK 200 000. We got 8 billion kroner compared to the draft budget that came from Stoltenberg. We prioritised the areas where it turned out that Bondevik II cut most: distribution, value creation, prevention, districts. We got the extra money for school, kindergarten, health and care that everyone promised in the election campaign. The major changes in the budget that have occurred this year — and which usually happen — put the only right balance point that dominates the financial debate in a strange light. Of course, there is no such exact size of oil-corrected surpluses or deficits that provide optimal development for the economy of society and its inhabitants. The most harmful thing for us is whether the Storting takes away all the opportunities to solve the pressing problems that there is a majority to solve here in the hall. In the opinion of the Centre Party, the use of free machines and hands to remove bottlenecks on the roads is an example of an area where the budget prison prevents us from doing what is widely agreed. Therefore, the centre party found a balance point different from that of the majority in the harvest. But the Central Party does not agree with the Progress Party in wanting to deprive the Minister of Finance and his office of all credibility. We must have rules that impose common disciplinary requirements on us in budgetary work. And today, of course, we must be able to enjoy the fact that the oil fund is now growing more than expected, because the mainland economy is flourishing. It is a good thing that we are moving in between just that: the conditions for doing business in this country are largely very good. There's been a lot of discussion about more than 50 million. additional appropriations for, inter alia: student housing. The action of the majority, in which the Central Party is involved, is closely related to the coercive majority of the population in the budgetary procedure and to the strong will that exists to give up such coercion. I will defend the majority's right to adopt what has now been done. I would like to remind you that there are many examples of creative budgeting and accounting from previous years. A year ago, the Christian People's Party was involved in adding 100 million dollars to the Defense. DKK for the year 2000 as compensation for 100 million. kr which was cut at the 2001 budget, in order to reach the balance point as defined at the time. It is exactly the same good intention and the same course of action that underlies today. When someone now raises the rule of action and the point of balance almost to religion and calls on higher powers to get the majority of illegal budgeting convicted, the argumentation is not credible.
ParlaMint-NO_2001-12-19.ana.ud51e777	In the past, we have taken political action in the budgetary procedure this autumn. Today, as the title of the setting says, there is a balancing, and that is a summary. The questions about the regulations on appropriations we had up to yesterday's discussion, and I will not go into that debate any more. Here I think we should go quietly in the doors some each. However, I would just like to stress that, on behalf of the Labour Party, we are committed to the allocation procedures and the rules we have for the budgetary procedure in Stortinget. We also stand by the rule of action we have for monetary policy, and we stand by the disposal of the oil fund. These are very important elements and very important headlines that we have now dealt with – fortunately with a large majority in the Stortinget – and I think in a good way. Now we see that there's a kind of a rash. It is clear that when we received the signal from Norway's Bank about the fall in interest rates, it was also based on the government's budget and the budget that was then presented, and what has been done in the Stortinget. It's important to say that we have to take care not to run running in different directions here. Then I believe the confidence in the treatment of the budget here in the Stortinget and our future economy will be greatly weakened. With regard to the political situation in the Grand Duchy, there has been a lot of discussion about the budget. What I think we can draw as a conclusion now, just before we take Christmas holidays, is that there has been a majority of the government's budget framework, but it has not been a majority of the government's policy. A minority government and the government parties in the Storting must also take note of this. I think I'll finish with that.
ParlaMint-NO_2001-12-19.ana.ud51e788	Finally, I have to say that, to a large extent, it is also the framework that creates policy, not least for most people, who have now been able to enjoy a first drop in interest rates – which is the result of the framework that has been maintained. It would not have been in the current situation in the same way conducive to a fall in interest rates if an additional billion had been used. I will not now go into the debate on Stortingen's allocation regulations. I note, not least with reference to the last speaker, the representative of the Workers' Party, that the largest opposition party insists that the rule of action must be respected – even in relation to amounts granted in the ageing, or in the re-balancing of a budget, and transferred to the next year – and that the regulation of appropriations still has broad support in the Storting. It is so reassuring that in any case the largest opposition batch confirms this. To keep me on the left – if I had said so – I would also like to say that I agree with the heart of the representative, Mr. Djupedal, in his observation that the Norwegian economy is facing a major capacity problem today. We still have a shortage of labour in a good number of areas. It is important to have more hands in use among those who are unemployed today, and it is also important that we open ourselves up to more people who want to seek work in Norway and contribute to the development of our welfare state. We have some unresolved issues in this area that the Government will pay particular attention to. This applies, inter alia, to: people with disabilities, where better arrangements are now being made for employers and businesses to offer jobs for them as well. Special arrangements are also in place to develop attitudes, so that people who come to Norway with a foreign name and a foreign background and who are willing to work get a job. Unfortunately, we see countless examples of people with a cultural background outside Europe having problems getting jobs. There is in many ways no worthwhile move in the Norwegian welfare state, and getting more hands at work is a challenge for all of us. I also agree with what was said by the committee leader that the volunteer organisations are doing a great job. We observe them especially around Christmas times. The Salvation Army has been mentioned – I'd like to join it. Several could also have been mentioned. But I want to add that these organizations are making a fantastic effort all year round. That's why the government, especially in the budget for next year, has given the voluntary organisations a lot of attention and has increased their appropriations. I think it's important to do it as part of a budget, and not as a result of some sort of Christmas effort. Finally, this is the recent ageing of a budget for which this government has not been substantially responsible. So let me just give you the following general reflection. It has often been suggested in this debate and in other debates that the Ministry of Finance and the Government are deliberately subservient to some incomes in order to create tightness in the economy, and that it always brings in much more tax revenue than is expected. I have therefore asked my ministry to provide an overview of the relationship between tax revenue, as predicted in the budget that the Stortinget deals with each harvest – for a few years it was a balancing of the budget, but in recent years it has only been the framework decisions themselves – and the actual revenue that appears when the accounts are drawn up. What's happening here as a very clear picture is that what's hard to predict is oil revenue, i.e. tax revenue from the oil sector. But even there, the numbers go in different directions. We've had years of formidable extra income from the sector, and we've had some years, if not many, with quite dramatic falls. I hope we don't get new years like this with dramatic falls, but predicting the development of the international oil market, I think, is very difficult. I've had the pleasure of meeting a couple – three of the international oil companies lately, and I've asked them about what kind of forecasts they have – it could be nice to compare it to the forecasts we've presented to the Stortinget – and let me say that, the uncertainty is the same there, and the certainty of the results seems to be well placed in relation to what we've presented to the Stortinget in the past. But there are different types of uncertainties here. There is uncertainty about production, oil prices and price developments, primarily about dollars. In the case of tax receipts for the rest, the certainty of the results seems to be quite high. What's typical, if you see this whole decade as a whole, is that this year, with a high economic cycle, you tend to get even more income than you expect, while the opposite is the case in periods of low economic activity. I can see that everything is the same in relation to a normal budget debate. Those who believe that more money should be spent at any time, believe it still, even in December, in the new era – which is what you would think about next year's budget, and probably also about the budget then, and then something is going on. I will not end by inviting a debate on the accounts next year – I look forward to it too – but I think it might be more appropriate to end by wishing good Christmas to all present.
ParlaMint-NO_2001-12-19.ana.ud51e809	It's going to be line change.
ParlaMint-NO_2001-12-19.ana.ud51e813	I understand that the Minister of Finance thought he would get away easily this time! I noticed a statement in the contribution to the finance minister, and I understand to the extent that the government's need to take credit for us now having a decline in interest rates. What the Council of State said, could at least be interpreted as the result of the fall in interest rates alone due to the framework decisions we have taken for the budget for next year. I would like to ask the Minister of Finance to confirm or cancel it, and in that case ask how it harmonizes with the regulation we now have for monetary policy and opinions given by the Governor over a longer period of time in relation to the perspective that the Central Bank has attached to inflation expectations, and thereby interest rate changes.
ParlaMint-NO_2001-12-19.ana.ud51e820	In my statements following the Norwegian Bank's interest rate decision, I underlined that the majority behind the framework decision on the budget must have a share of the credit for what has now happened. In other words, I didn't use the word 'government' there, if you notice it. I see that some newspapers actually made it a point. At least they sensed it. I did not say in my post that the interest reduction alone is due to the framework decision in Stortinget. There are several relationships that lie at stake. But let me say so that if the government hadn't adhered to the rule of action, if the Storting had granted significantly beyond the government's limits, this would not have been a contribution to interest reduction. In other words, it would not have been a contribution to keeping the tightness of the economy, which, in turn, is a prerequisite for real underlying inflation to stay below the target of 2.5 pst. in the two-year period.
ParlaMint-NO_2001-12-19.ana.ud51e827	Several have not asked for the word for a line. Several have not asked for the floor on case No. 2nd@item: inlistbox [[See page 1232]]
ParlaMint-NO_2001-12-19.ana.ud51e845	What this matter relates to is the right to deduct the individual taxpayer when it is owed to voluntary, non-commercial organisations. The proposers behind this Document No. The 8th proposal, Åslaug Haga and Morten Lund, has been in favour of providing tax exemptions for gifts given through local funds to local organisations, thus supporting an extension in relation to the current scheme both in terms of the size of the amount and perhaps an extension in relation to the local organisations that may be covered by the scheme. The Minister for Finance has a question on the subject. pointed out that such a new way of organizing it would be administratively expensive for all parties. The Minister of Finance has the majority in the Committee, all the non-participants of the Centre, joined. But the majority in the committee, all the non-accepted members of the Labour Party and SV, have the opinion that today's system, with a right to a deduction of up to NOK 900 per year. tax payers, should be expanded, but then within the way they are administered per. today. On the other hand, the majority of the Committee, all the non-participating members of the Progress Party, the Centre Party and the Coastal Party, conclude that the document is annexed to the Protocol without any substantive consideration. Right, Christian People's Party and Left point out that the Government is dealing with such an extension, and that a decision will therefore be unnecessary, while the Labour Party and SV, as far as I understand, do not want such an extension. The minority, consisting of the Progress Party, the Center Party and the Coast Party, have put forward a proposal asking the Government to propose a significant increase in deductions by donations to voluntary organisations. The comments show that a majority in this room is in principle in agreement with the content of the proposal, but that the government party still wants to vote against, considering this as an unnecessary proposal because the government has already said that it wants to extend this arrangement. However, the minority makes this proposal to give a positive signal to the Government that this work must be given a high priority, because we consider such voluntary efforts and work as so important and such a good investment for the future that it is urgent to get these voluntary organisations to have a better economy in order to be able to operate their important social activity. On this basis, I will present the minority proposal from the Progress Party, the Centre Party and the Coastal Party.
ParlaMint-NO_2001-12-19.ana.ud51e868	Gjermund Hagesetter has addressed the proposal to which he referred.
