ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e67	The representative, Erna Solberg, will present a private bill.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e403	In Document No: 8:76. The representatives of Storing Sponheim, Kvassheim, Dørum and Kongshaug submit a proposal for a so-called ‘sunset law’. Under the proposal, regulations shall be valid for a maximum period of 10 years. It is necessary to re-adopt regulations which are to apply for more than this. The proposal shall ensure that the rules applicable at all times are relevant and reflect real needs. I support the idea behind the proposal. Simplification of rules is a central part of the Government's renewal program. Simplification of legislation can increase legal certainty and lower the level of costs in both business and management. Complicated legislation with unnecessary demands and impositions creates irritation and weakens respect for the legislation. A number of measures are currently being taken to contribute to a simpler regulatory environment. The Ministry of Justice manages a project to simplify and clean up the regulatory system. The project focuses mainly on the design and not the content of the regulations. The aim is to create a better structure in the regulatory system. In addition, several projects are in progress leading to substantive changes. The Ministry of Economic Affairs and Trade deals with the simplification of rules and forms in relation to business. Another example is the work of the Ministry of Local and Regional Affairs on state legislation aimed at the municipal sector. The project shall give municipalities greater freedom of action. Several aspects of social development can counter the objective of a single regulatory framework. A more diverse and complex society creates the need for new regulation. International legislation increasingly imposes requirements on Norwegian legislation. In particular, I am aiming at the human rights conventions and the EEA rules. This makes regulatory simplification all the more important, both in terms of form and content. A more active post-control of legislation is a current instrument here. However, I would not recommend the Stortinget to adopt a general ‘sunset law’ for regulations. Such a law may have a number of unintended effects. The proposal for a ‘sunset law’ is primarily justified in order to avoid unnecessary burdens for the population. This is a good purpose, of course, which I support. However, it is important to stress that many regulations – even if they are not always heard about when regulations and regulations are being attacked – also confer rights that are of great importance to individuals. Examples are regulations that give entitlement to social security or social assistance. In the field of business, there are provisions allowing for the operation of a particular type of activity. A law that says that such regulations only apply for 10 years can create uncertainty and poor predictability. The proposed ‘sunset rule’ shall apply to all requirements of both municipal and central government. The proposal also includes existing regulations. It is therefore necessary to review many thousands of regulations within a relatively short period of time. I fear that the proposal – if adopted – will create a lot of bureaucracy and an increase in public expenditure. A prescription can rarely be put straight into an envelope and sent to the hearing. The management shall first examine whether, and where, adjustments may be necessary. Thereafter, letters of consultation shall be drawn up with proposals for any changes. After the hearing, the views of the hearing opinions shall be assessed and incorporated. It is then necessary to arrange for its adoption and publication. Without such a process, there is little point in a ten-year renewal round. Public resources are limited. The Norwegian population is required to use these resources where they are most beneficial. In my view, therefore, management should give priority to a more thorough back-testing of regulations that are important to citizens and businesses, rather than to a superficial assessment of all the regulations. I also stress that the quality assessment of legislation must be carried out on an ongoing basis. The aim is that the regulatory framework should be constantly adapted to societal developments. A ten-year validity rule may result in the suspension of changes to the overall review. It can be unfortunate for both individuals and businesses. There may be difficult situations if an administrative body fails to renew the regulation in time or if the regulation is ignored. The regulation work is so large that it is impossible to guarantee against defects. Such errors may be particularly unfortunate if legislation implements international legislation. As a result, Norway is breaking its obligations under international law, with civil liability as a consequence. Not all errors can be repaired afterwards. You can, for example: an administrative body forgets to renew a regulation prohibiting a dangerous chemical. The consequence may be that the substance is used and harms health or the environment without intervention by the authorities. What I have said does not mean that I am generally opposed to provisions on the period of validity of regulations. On the contrary, I believe that a «sunset rule» may have a lot to do in some cases. A ‘sunset rule’ may, for example: make sense if the legislation is important and there is uncertainty about its impact. The point is that the need for such a rule needs to be assessed in concrete terms. Rules on the period of validity should often be combined with a post-control plan. The aim of this verification will be, first and foremost, to verify the proper functioning of the legislation. In some cases, it may be sufficient to review the practices of the regulatory authorities. In other cases there is a need for empirical studies, such as: on the behaviour of individuals and businesses in relation to legislation. The Ministry of Social Affairs and Health is in the process of carrying out such an evaluation of the Social Services Act. I believe that administration should become more aware of the importance of active back-testing. Here we have an improvement potential. This is not a matter for the Norwegian administration alone. The need to focus on post-control and regulatory simplification is increasing also in other Western countries. The EU has launched measures to simplify EU legislation. Some directives require the European Commission to submit reports on the functioning of the legislation. The OECD is currently preparing guidelines for the post-control of industrial legislation. As part of the renewal programme, the Government aims to develop better regulatory back-testing procedures. It is my hope that such procedures can contribute to the achievement of the objectives of the proposal for a ‘Sunsets Act’ for regulatory purposes.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e441	Did Odd Einar Dørum ask for the word in line – or was it the next on the list of speakers?
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e444	The President decides in what form I'm going to keep the post.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e451	It's going to be line change. Odd Einar Dørum is given the floor in reply.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e454	There was a lot of sympathetic goodwill in the articles of the Council of State. She draws a different political conclusion, and I accept that. What made me take the floor was that I could see it as if it were behind the intention of us who have promoted the proposal, was that we should institute a practice that resulted in superficiality. It's an attitude that I don't recognize, and it's not our attitude either. On the other hand, in meeting a lot of the legislation in different stages of life – as a social worker, as a city commissioner, as a city councilman, as a government councilman – I have gradually become deeply puzzled by a superficiality that makes a number of rules and regulations almost live their own lives. In a number of situations, I've met people who almost pull their shoulders off it and thus introduce a kind of lawlessness state in relation to the code they're supposed to follow. And now I'm not talking about small and medium-sized enterprises, which are often standard themes, I'm talking about experiences related to school and health. In fact, in some areas people sit and produce quite a lot of paper – adults, well-educated people exchange papers with each other – but eventually there is no working time left to make the productive effort to make. This is what makes me react and, together with others, promote the proposal. I would have liked to mark this. The replica probably has more character of a case information and a comment and less character of a question, but I think it is important to emphasise that it is these heavy social experiences that make it necessary to draw a limit now.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e463	Does the State Council want Harlem to respond to the reply? - The chord change is over.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e466	We have built up a comprehensive public sector in Norway. It has grown as new tasks and as a result of a more complex and complex society. It is essential that we have an efficient and resilient public sector in order to maintain the welfare state in the future. The government is now carrying out a broad review of the public sector, including: is critical of the division of labour between levels of administration in order to simplify the administrative apparatus and to eliminate duplication of functions between and within the three main levels of State, State and municipality. The government has also expressed its desire to clean up the surveillance and control jungle. It is an important measure to ensure that control activities are not taken over completely. Delegation must be based on trust, not distrust. The government is therefore also willing to move on to new ways and to assess new instruments. The majority of the Committee therefore assumes that through its renewal programme, the Government will focus on changing the system and legislation in order to streamline and simplify management. The proposal by the staging representatives Lars Sponheim, Gunnar Kvassheim, Odd Einar Dørum and Leif Helge Kongshaug to introduce a law on the time-limited validity of regulations, or a so-called ‘sunset law’, aims at ensuring the quality of the legislation so that the rules and regulations in force at all times are in force and reflect real needs. This intention is supported by the entire Committee. The Committee considers it important to have simplified and more transparent legislation. The overall regulatory framework today gives both the administration and citizens significant obligations. It is also important to note that the more detailed requirements are to a large extent not imposed by formal laws given by the Stortinget, but by legislation in the form of regulations based on law. It is therefore important that the Government carry out a continuous review and evaluation and evaluation of regulations. This is also the background to the fact that the majority of the Committee does not support the proposal for a'sunset law'. The majority of the Committee cannot see that time-limiting rules necessarily make the legislation simpler and more transparent, as such a law could easily lead to more bureaucracy. The proposers also acknowledge that the proposal will, in isolation, impose new administrative burdens and that there is a difficult question of how long the period of validity should be. Nor does the majority of the Committee consider that a regulation should be valid for a period of 10 years if, after shorter working hours, it does not meet any need. Rather, the majority of the Committee considers that regulations need to be continuously evaluated and evaluated so that they are constantly up-to-date and meet real needs. The majority of the Committee imposes stricter requirements on the Government to review and simplify the overall regulatory framework than the Committee's minority, consisting of the Right Party, the Advance Party and the representative Kleppe, since the majority of the Committee requires a continuous review of regulations. The minority of the Committee only requires a review every 10 years. I therefore believe that the proposals of the minority are not sufficient to ensure the most simple legislation possible. I recommend Stortinget to follow the position of the majority of the committee.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e495	No more people have asked for the floor on case No. 7th@item: inlistbox [[Footing, see page 489]]
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e503	The odelsting should then go to voting.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e510	During the debate, Mr Simonsen, on behalf of the Progress Party and Mr L. Stang, presented a proposal.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e592	It's going to be over the first and second terms first.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e601	Paragraph 17b, third paragraph, contains a different proposal from the Progress Party and the representative Jørn L. Stang. The proposal reads as follows: ‘The third and fourth subparagraphs of Section 17(b) shall be replaced by the following:The police security service shall prevent organised crime and may, on request, assist the other police and cooperative services.The Ministry may decide that the police security service shall be entrusted with a responsibility in matters relating to crimes against humanity, genocide and serious war crimes.’ Alternatively, the recommendation of the Committee and the proposal of the Progress Party and the representative of Mr Jørn L. Stang will be rejected.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e660	The proposal from the Progress Party and the representative Jørn L. Stang to new § 17c no. 4th@item: inlistbox The proposal reads as follows: «New § 17 c nr. 4 shall be replaced by the following:
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e677	I voted wrong. I should have voted against it.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e684	Then there will be 18 voices for and 64 against the proposal of the Progress Party and the representative Jørn L. Stang. It was also recommended that:
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e735	It's going to go above the title of the law and promise at all.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e744	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e830	It's going to go above the title of the law and promise at all.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e839	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e961	It's going to go above the title of the law and promise at all.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e970	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e1013	It's going to go above the title of the law and promise at all.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e1022	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e1064	The Socialist Left Party has warned that they are going against it.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e1073	It's going to go above the title of the law and promise at all.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e1082	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e1120	It's going to go above the title of the law and promise at all.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e1129	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e1136	During the debate, Mr Hedstrom, on behalf of the Right, the Progress Party and the representative Mr Kleppe, presented a proposal. The proposal reads as follows: ‘Agreements to the law on time-limited validity of the rules laid down by law.§ 1Rules granted under the law shall not be valid for more than 10 years from the date of adoption. If the regulation has not been re-adopted, the provisions shall lapse.§ 2The rules of procedure applicable to the adoption of a regulation shall also be applicable for the purposes of a new adoption of the regulation.§ 3For the rules adopted before 1 January 1997, the period of validity shall be extended by 2 years in relation to the time-frame laid down in Section 1, but the existing rules shall in any event remain in force until 1 July 2003.§ 4This law shall enter into force immediately.» Alternatively, between the recommendation of the Committee to the I and submitted by the Right, the Advance Party and the representative Vidar Kleppe. The Committee had advised Odelsting to take such a decision:
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e1183	The recommendation of the Committee for II shall be sent to the Stortinget in accordance with the fourth paragraph of Section 30 of the Rules of Procedure.
