ParlaMint-NO_2001-05-29-lower.ana.ud2670e87	The representative Per Sandberg will present two private legislative proposals.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e414	There are two fundamental proposals for amendments to the National Act of Stortinget, and I am pleased that the vote by the Municipal Committee is in line with the Government's proposal. I would therefore now just like to comment very carefully on the proposal of the Right and the Advance Party, where the Government asked for the organisation of a more formal welcome ceremony relating to the award of Norwegian citizenship, and that proposals to that effect should be submitted to the Grand Duchy in the context of new changes in national law. It has been shown that a public sample has been subject to amendments to the Foreign Affairs Act. The committee referred to was held on 21 December last year and was led by the Supreme Court judge Jan Skare. As you know, they have proposed a completely new citizenship law. After the necessary consultations have now been held, the Government intends to return to the Grand Duchy with proposals for a new national law. The proposal for a separate welcome ceremony will be considered in that context, so I don't find it natural to go into it more closely here and now.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e423	No more people have asked for the floor on case No. 3rd@item: inlistbox [[Fooding, see page 584.]]
ParlaMint-NO_2001-05-29-lower.ana.ud2670e437	At the request of the Municipal Committee, the President will propose that the debate be limited to 45 minutes and that speaking time be allocated to the groups as follows: The working party 10 minutes and the other groups 5 minutes each. In addition, the President will propose that the opportunity be given to the exchange of lines of up to five lines with replies after contributions from members of the Government. In addition, the President will propose that those on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. - It's a note. The first speaker is the head of the committee, Berit Brørby, on behalf of the chairman of the case, who is a member of the Lamentations Committee.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e450	That is quite correct – the case rapporteur is a member of the Lagninget, which is why I shall say a few words. During this period, the Municipal Committee and the Stortinget have dealt with the rental law several times, and all parties have clarified their views both in relation to the rental law and dispute settlement. The Committee is, of course, aware that the situation on the rental market is very difficult both in terms of number of dwellings and in terms of prices. The majority, consisting of the Workers' Party, the Christian People's Party, the Progress Party and the Centre Party, indicate that relationships related to rental housing and housing policy instruments are also dealt with by the reduced Housing Committee, which has not yet given up its position. When this has happened, the Storting will be presented with a separate survey report on housing policy challenges. In a special comment from SV, it is claimed that it is government and majority policy that rentals in many rental homes should be greatly increased. The debate in Stortinget earlier today on the SV's proposal to secure reasonable rentals in social rentals clearly shows that we disagree on the use of the instrument, not on the objectives. The Labour Party has a social housing policy programme to deliver results whose municipalities and others use the tools we have put forward and to which the Stortinget has joined. But one can always discuss the dimensioning of the different instruments. SV says that they are not against the deregulation that has taken place, but that the time was wrong, and that one should wait until there was enough housing for those who have to have an offer through a screened rental market. When will it be? See what happens, for example. in Oslo. Here, dwellings owned by the municipality are sold at market prices. As I said, we are against the municipality selling its homes. We simply believe that they should have a more decent housing policy. Our government has, as I said, provided tools for the municipalities to use. Because the Workers' Party is also concerned about the development of the housing market, we have increased the framework of the House Bank, the grant for the construction of rental houses and the municipal access to start-up loans by 50 pst. The setting follows a comprehensive letter from Brustad State Council, where the various proposals from SVs Andersen and Halvorsen are widely discussed. Here is the question of the preparation of the rentals of people. The assertion from Andersen and Halvorsen that the lessor's access to demand rent for the new law is an unintended unfortunate consequence of the new law is rejected. The provision is deliberately designed as it is, to provide tenants with better price protection than under the old law. The lessee's security is important. We believe that in most cases the tenant will be offered a rent without this being legalised. We're totally dependent on the private rental market. But we don't want to make the law so that people refuse to rent out because it's created the impression that they'll never be able to end the rental relationship. The majority are in favour of attaching the matter to the Minutes. We will then see if it is relevant to look at this part of the House Rental Act when the Housing Committee is done with its work, and the Storing Message is provided.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e473	We have had a wide debate on rent and market price etc. Earlier today. In this case too, we can say that the intention is good – it is often in SV's proposals. Of course, we have a problem when it's so expensive that many people simply can't afford their own roofs over their heads. When the Christian People's Party, together with a plurality, says that the "introduction of lease regulation provisions" can possibly be dealt with in the context of the upcoming big business message, which is presented after the Bustadsvarektionen has given its position, it is not because we believe that strict regulation of the general rental market is the solution to the problems. We say that because a big message can address most of the issues, and that gives us a chance to do it. We believe, on the contrary, that for complicated and detailed price and detail adjustments of rental apartments will primarily lead to fewer rentals, in case of damage to all the young and new people on the house market and to all those who have to rent and not own for one reason or another. The only thing that can give a generally reasonable rental price in the long term is that there are enough rentals. Of course, municipal rentals are important. When 73 p.m. of such dwellings have a cost-covering rent, it is hardly those that are price-driven. In this case, public buildings will be much more expensive than those built in private. We have a good example in Bodø on how to get enough housing. There's Student Relations at ease with the approach and the price of hyblanes. Last year, all the students in Bodø got a decent money without any problem. The explanation is that the municipality has stimulated private construction and renting out building units. At least it's claimed. A municipality that wants to reduce the pressure on the housing market must, in addition to municipal housing, facilitate private housing and make it beneficial and attractive to have a rental area in residential buildings. It must of course be possible to buy land even in a press area, but large extra charges for having more housing units, as many municipalities have, are negative. The trend is that we live more alone on a larger and larger area, while some are homeless. In this context, I would like to stress that an active district policy that counteracts the fact that all lumps coexist in urban strips is an excellent measure for a better and cheaper housing market. I would like to add that the crisis in the housing market, e.g. in Oslo, actually is of old date. I bid in Oslo when the prices of apartments were regulated. At that time, it did not prevent the market from functioning. But one paid 'under the table', and only those with money on book or those with rich parents could get an apartment. It taught me that trying to regulate the market is scarce. I recommend the recommendation of the plural.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e492	SV is proposing a more stringent rental regulation than we have ever had in Norway. They propose to introduce a general house rental regulation, or deviations from market rentals, or the current definition of rents, for all rentals through these changes in the law. So it's a stronger regulation than we've ever had before. It is also a stronger regulation than that even SV suggested when we dealt with the new law on renting houses. In addition, if you go through this proposal, there is an extensive bureaucratic proposal for the determination of rents, including: The ministry shall make yearly rental market surveys in order to determine a difference less a part of the value, i.e. annual surveys which shall guide how to define rentals in one of the two defined areas. In addition, I would just like to say as an advocacy to the debate that was partly related to Document No. 8:82 earlier today – where the right of a previous draft had written that the rental should be under hire when the house is subsidized, and it was also a greater point from other parties that it had to be cost-effective – that there is therefore nothing in this proposal that actually says that the rent in all parts of the country should be cost-effective, covered by this proposal that has been put in. That the right is against this proposal because we are against rental regulation in general, I don't think anyone is in any doubt about it. I was not really in doubt that the other parties would not open up this kind of regulation either. But I was in doubt about that since it was proposed to attach the proposal to the Minutes and refer to the fact that these questions are to be addressed by the reduced housing committee. I thought there were some things that should be stuck in housing policy. One of them is that after a major review of the law, which has taken many years, we have received a new rental law, and that the principles for determining rent are now somewhat firm, and that not all markers are to be turned all the time. I am therefore amazed that the majority, including the Advance Party, is choosing to signal that it is in a way open that we can look at this again, by attaching that protocol and referring to the future big message. If it's not to be interpreted this way, I think we're doing a little special practice for when we're attaching things to the protocol, and when we're actually rejecting proposals. That is why the Right has proposed that we reject this proposal. The substance and the content of it is, in our opinion, wrong. We think that would give you a completely wrong look. One of the problems would be that where there has been no severe pressure in market rental, this could result in regulations that would prevent necessary maintenance from being carried out. I have lived in a rented dwelling and have experienced that the window blew out at night. So I know something about how poor regulation of the landlord actually leads to poor standards in a ‘non profit’ housing company. It is therefore important to ensure that the rent actually also covers the necessary maintenance. I'm absolutely sure the intentions of SV are the best. But in fact, the intention here is that we should do something about the rental problems and get more rental homes, so we need to build more dwellings in Norway, even for rental purposes. We all agree on that. But regulating more in the mass that is, in terms of price, an intervention in ownership, but it's also from experience a system that creates problems in that it's not targeted at who reaches with that kind of regulation, and that we quickly get a situation where you freeze the flats at a level that makes the homes fall due. I will be allowed to address the proposal contained in the vote.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e507	The representative Erna Solberg has drawn up the proposal she referred to.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e510	The House Rental Act has sometimes been adjusted in recent times to meet unforeseen rent increases. But SV clearly believes that this has not been enough. SV's belief that politicians can continue to regulate themselves from any problem in 2001 is thus reflected in the fullness of this proposal. Having an ideological conviction that political intervention in the form of regulation is a good thing for the rental market is at best a tragic misunderstanding. The problem is that there are precisely this kind of regulation of the rental market that we have had in the past and that SV will now reintroduce, which has created the imbalance in the rental market that SV is now worried about. For a long time it was not profitable to invest in renting because of house rental regulations in parts of the country, until this was changed in 1999. The time of strict house rental regulation is over. However, this regulation led to maintenance and new construction for rental purposes, for example: was of little interest, and we got significant defects in the rental market. When these regulations were essentially lifted a little ago, it is natural that the rental level will be adjusted up to the market level or re-rented quite quickly. No one had thought anything else. Increased rental income will in turn make it more attractive to invest in building more rental properties, so that the rental offer will increase and the pressure on rental prices will be stabilising as well as possibly decreasing. Increased provision of rental accommodation needs to be stimulated by a market situation with proper rental prices, making it attractive to build more rental homes and achieving a better market balance between supply and demand, which is itself price-regulating over time. Such a natural market balance between the supply and demand of rental dwellings is necessary to strive for. However, if – as SV will – one intervenes again and regulates itself back to the past and disrupts market mechanisms, it will be achieved by reducing the rental offer in the long term. SV should take on board the fact that the time of the regulatory society is good and that policy-driven regulation is inferior to the market, including in the case of offers related to rental of dwellings. Fortunately, the majority are so reasonable that they realize that the regulatory proposal promoted by SV is unreasonable and is rejected. And it can actually be those who SV is trying to help, happy, because SV's proposal would not stimulate rental offers at all. Thus, it is a bad proposal after the intentions. Nevertheless, when the Progress Party agrees that the proposal is annexed to the protocol, it means that we have an alert social eye for the situation of young people and disadvantaged people on the housing market, and with this we want to signal support for the intention of the proposal itself, but not through the concrete instruments proposed by SV.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e525	The centre party considers the proposal currently under consideration by Odelstinget as a logical follow-up to Document No. 8:82, a proposal that has been debated earlier today, and which spelled out a regulation that ensures permanent reasonable rentals in social rentals. We understand, of course, that this proposal goes a little further. There is a clear and large need for more rentals. There is a greater need for action here. It is both about own and reasonable plots, it is about a review of the economic situation of the municipalities and the possibilities they currently have to prioritize rentals in relation to a large number of other tasks that the municipalities have and which will be resolved with too little resources, and it is about a review of the lending and lending arrangements in the Husbank. We're in the multiple that refuses to make changes now. We are in the plural that recommends that this Document No. The 8th proposal is annexed to the Minutes. Here you can see the changes made to the housing lease in 1999. I don't want to be a hundred percent safe, as Erna Solberg is, that everything that happened was the best solution. I think it is natural that the issues that remain to be discussed, which are linked to rentals and housing policy tools, are dealt with in the Building Selection Board, and that they also look at the experience associated with the changes that took place in 1999. That is why the Central Party does not reject this proposal today, but agrees to attach it to the protocol.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e536	The rental market is too tough for young people and people with bad advice. When the house rent regulation regulations were lifted in Stortinget a few years ago, SV was the only party that voted against, and that was because we saw that it was not like the government then said in its submission, that they expected it not to be “notable consequences for the private parties”, as it says in the odelstingsproposition. It even says that for those tenants who are unable to pay the increased rental prices, it would be an alternative to move to a smaller and cheaper dwelling. Yes, it would have been so well that there had been many cheap homes to move to, had not this been any problem, but there are too few cheap homes. And now when the majority repeats that we have to build more dwellings in order for prices to go down, I say, "Come on! SV has made suggestions on this many times. But every time we increase the frames, the people who are now saying we're going to build more houses, the suggestions are going down. Therefore, SV believes that it is necessary to make changes to the rental law, because the rental law as it is now seems price-driven. The House Rental Act must, of course, promote the same political intentions as we do, namely that rents should not be so high as to exclude young and disadvantaged people from the housing market. We've taken a few points into consideration when it comes to this. Among other things, we believe that there is a need for a different definition of what is common rent. As it is now, rents can even sometimes be higher than market rents, if you think of a situation where market rentals go down. The system of renting units was supposed to be such that it was always a little lower and would represent a slightly more social level of rental than market rent, cf. the debate in place. It is the municipalities that now own most of the social rental homes, and many of them have chosen to move from the old system of general rental subsidies to a new system of market rental/renting combined with municipal housing support schemes. It also turns out in many cases that there is no way out. The provision we want to propose when it comes to renting people, I see that someone describes it as a bureaucratic system. But the point of it is that it's not going to be every tenant who has to figure out what's common rent, because it's very difficult. That's what the majority now proposes, while we believe that the authorities should actually have a certain responsibility to be involved and define this. Because what turns out now is that even very wretched living rooms are rented out at a very high price, because you're assuming that the market has a high price. So here the individual is left all the way to himself and gets no help at all. We therefore believe that we need to create a system where frequent rentals are always lower than market rentals, and get a system of what the authorities also have a responsibility to monitor the level of rentals and make sure that there is an unhidden body that can tell what market rentals and rents are. We also want to put a roof on how much rents can increase in one jaf. When we dealt with the house rental law last time, we had to deal with it twice afterwards because it all the time turned out that there was a huge hole in it that the majority of the Storting could not sit and look at was there. One of the holes that were closed again was that with the lifting of the mild regulation, a system was created in which the rent at first writing of a new contract could not increase by more than 25 pst. It was to make the transition lighter. Now we see that the rent for many people under the new house rental law increases by 100, 200 and 300 pst. And for very many, this is a bomb under the private economy. In fact, we believe that it is a social responsibility to ensure that there are no more problems in the rental market. And we think it's more important to make sure that people can handle their bountiful toxins than that the tenant at any time will be allowed to take out the market price. There is no doubt that the provisions as they stand today are price-driven in the market. So to the proposal to give tenants a protection so that they can write a new contract when the dwelling is still to be rented out. I perceive that is the proposal that the Government signals the most positive attitude, and that is joyous. Finally, I would like to address the proposal contained in the vote.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e555	The representative, Karin Andersen, has drawn up the proposal to which she referred.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e558	Odelstinget has, as several have already said, several times over the last few years dealt with rental and lease fixing issues. For the Workers' Party, housing security and protection against unreasonable rentals have been at the heart of such assessments. Since the new house rental law was passed, we have therefore been involved in changes that ensure tenants against unreasonable rental increases in the transition from old to new house rental laws, and we have also worked actively to establish alternative dispute resolution bodies that can handle conflicts in terms of rents and rental increases. The rental commission is now established in Oslo, and the processing time there is short. The signals I have received about the scheme so far are unrelentingly positive. However, the rental show commission has received only three cases of rental increase so far, and this concerns issues of whether the contracts give the right to regulation of the rentals now. Husleinenmenda in Oslo Municipality has not received any cases concerning the rental of crowds in the current year, nor has there been any matter of rent since August 2000 in connection with the transition from old to new house rental law. The landlord in Trondheim has had some oral enquiries about the rent of the gang, but no matter what is so far brought in for the denominator. In Bergen, a tax title recently issued by the city court has taken a position on the rental of crowds in 58 municipal dwellings — all of which are major specialised housing for elderly and mentally retarded people. 42 tenants reduced the rent by 150 to 900 kroner per person. month – the average was 400 kroner – and a few quite few were able to reduce the rent by 800 to 900 kroner per month. months. Nine tenants were confirmed that they paid the rent, while seven tenants were told that they paid a rental that was under the rent of the company. In my opinion, this information indicates that the new house rental law, with subsequent adjustments, now operates largely after the intention of a large majority in this house with the statutory audit. However, the figures from Bergen show that there was a basis for rental reduction in a not insignificant number, and the number of cases brought before the various dispute bodies is, of course, no guarantee that the scale of the problems is not greater. After the trial project with the Husleietvist Committee in Oslo has been evaluated, I think we need to assess whether it is desirable to extend the scheme to other cities, such as Sweden. Bergen or Trondheim. The Housing Committee will discuss rental and rent increases issues in its investigation. After that, the Government shall provide its housing notice. Based on the recommendations of the sample, we will come back to the Storting with a broader assessment of these issues. On this basis, and also on the basis of my assessments in a letter of 11 May this year to the Municipal Committee, I do not see the need for further legislative changes in this area now. I am also pleased to record that there is a broad political consensus on this assessment.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e574	It's going to be line change.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e577	The Council of State refers to some of the matters that have been raised, where the tenant has received assistance and has reduced his rental. It is good that the arrangements we have for this work well. It's positive. The situation is enough that very many on the rental market choose to pay too high a price because they are not familiar with the dispute settlement mechanisms we have, or because they do not dare to take such a conflict as it is, in fear of losing the housekeeper and perhaps ending up with an even higher rent. But my question is about the consequences of the changes in the laws we last made, and the changes in the laws that both the Government and the majority now oppose. And the consequence of that is that very many tenants have to invest in significant rent increases, because eventually there will be more and more people who get to sign new contracts under the new house rental law, and then there is a lot of rent and market rental that apply. Then I have to ask if it's the government's policy. Does the Council of State really believe that there is now a political desire to increase rents in rental homes? Because that's what's going to be the consequence of what the government is doing, and also the consequence that the government is not willing to support any of the proposals that SV is promoting, which would have made the rent increases stay at a much lower and more sensible level. What's good about the rentals increasing as much as they do today? And why does the Government not think it is important to put forward concrete measures to ensure that this does not happen?
ParlaMint-NO_2001-05-29-lower.ana.ud2670e586	Let me say again that I think we agree on the objective, but we also disagree a little bit on this matter about the instruments. Of course, there is no point for the workers' party government to get the highest price for these apartments. That is not the point, and I have also said that quite clearly earlier in the debate today. But I think we have to acknowledge the need for the extensive debate we had here on the new housing lease regulation law, with two important clarifications and adjustments in retrospect that I think were absolutely necessary because we discovered that there was quite a hole in the law that we were first presented and that we adopted. The background was that we were so clear that where there was the strongest regulation, there was very poor maintenance, so that some of the homes obviously needed a significantly better maintenance than was the case. Let's talk, for example. about private renting out. It is clear that their interest in maintaining a building will not be great if they do not get a little higher income on the building they own. So we'd also have done it in practice in some of the town halls that we're talking about here. That's why we were in favour of the principle of repeat rental. But here I also believe that there is a reason to distinguish a little between private landlords and municipalities. That's why we say it's important to go in and adjust with housing support, both municipal and state, and possibly with the help of social offices. But it is not the case that we want prices to be sky high – in no way. But I have faith in the temporary employment agency that is now established in Oslo, which has a short period of time. I think there may be a need to inform even better about that scheme, so that more people know it exists, but so far the experience with the sample has been unrivalledly positive. I think even more things can be solved by taking them up there. But I think, unfortunately, in this area too, that with the proposal that SV here has, as there are good intentions behind it, you will not achieve what is really the idea behind it.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e595	One of the arguments used to remove the rent regulation law was that it went beyond maintenance in some rental homes. But also within that system it was entirely possible to take it up with the tenants to increase the rent if the rent was to go to maintenance and refurbishment of the rental objects. Not everyone did, and you can regret that, but the statement that it was not possible then is not correct. Nor is it the case that when rents increase considerably, the quality of housing increases accordingly. There's no necessary connection at all. Now I think very many of those who rent out dwellings have an interest in keeping their building stock at home, and that they necessarily do. But increased rents are often a good profit for those who rent out, and nothing more than that. If you take a little walk and look at Oslo's rental stock, you shouldn't be impressed by the quality of a part of it. At least it's not in proportion to the price you have to pay to live in these housing units. I wonder why the Council of State attaches such great importance to that very context, and how she can in some way say that it is more important to open up far greater profits for those who rent out than to defend those in the housing market who have the biggest problems in coping with the increased rentals that have come, among other things. as a consequence of the repeal of the Housing Lease Regulations Act.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e604	The representative Karin Andersen is well aware of the debate we had in several rounds here in the house when we dealt with and adopted the new house rental regulation law. The representative is also well aware that the adjustments we made led to the protection of the tenants being significantly stronger than originally foreseen, also by setting some limits in relation to how much increase it is allowed to take per person. years. It's clear that there's no automation here, that keeping the house rent regulation law, as the majority now do, will automatically lead to an improvement in maintenance in the places we're talking about here. It's clear. But I think the chance for maintenance to get better, that there will be better upgrading of part of these apartments, is considerably greater with the possibility of adjusting the rental a little, while helping those who need it, through other means than regulating the rental to as low a level as SV here wants. At least then, it is quite certain – it has shown us in practice – that maintenance will be very poor in many of the places we are talking about here. Otherwise, as I said in my main post, the Housing Committee is going through this. Of course, we're following developments, and then the government will come back with a message to the Storting, and then we'll see if there is a need for any changes at that time. But I don't think that now, just quite a short time after we've passed a new law, there's a need to make some changes.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e613	No more words have been asked for. No more have asked for the floor on case No. 4th@item: inlistbox The time for the morning meeting has come. [[Footing, see page 585]] Negotiations will now be cancelled, and a new meeting will be scheduled at 2.30 p.m. 18th@item: inlistbox
