ParlaMint-NO_2001-02-08.ana.ud1394e38	No one has asked for the floor. [[Fotation, see page 1814]]
ParlaMint-NO_2001-02-08.ana.ud1394e326	The Progress Party agrees with the Minister for Fisheries that we have come a long way with the Norwegian aquaculture industry, while Norway’s potential is much, much greater. Reports from scientific institutions show that the fishery and aquaculture industries have a huge potential for growth not only in areas where salmon and trout are farmed but also in the most widespread sense where crustaceans, mollusks and carcassballs are considered to be interesting organisms, and are thus an important part of a nutritional effort in Norway. Species within these groups are particularly suitable for grazing on sea pastures, as filter feeders exploit plankton in the sea for feed. The concept of pasture does not benefit from scientific calibration against reality. The reality consists, inter alia, in: of the ecological framework conditions in the sea, which are largely poorly known. Some of the boldest assumptions behind the proposal for sea grazing are that sea productivity is limited by the number of juveniles, so that increased release will increase production. So back to breeding salmon and trout. All 95 pst. production goes to markets outside Norway. Norwegian seafood products are exported to more than 150 countries, and the EU is now known as the main market for Norwegian seafood. Exports are regulated by Protocol 9 to the EEA Agreement. Unfortunately, important products for Norway such as herring, mackerel, salmon, shrimps, pectinidae and marine crabs are not covered by the Agreement’s tariff reductions and are therefore met at high customs rates when exported to the EU. We must always have international agreements, especially the salmon agreement with the EU, in mind when designing our farming policy. Many aspects of the salmon agreement should be reworked or removed in the renegotiation of the agreement in 2002. It is necessary to have an official control system to demonstrate that production is sustainable and that seafood is safe. It is important that the feed for fish does not contain substances presenting a risk of damage to fish, then to humans and the environment. It was then discouraging to read some time ago in the newspaper Fiskeren that outbreaks of salmonella in Norwegian fishmeal, i.e. in the feed industry, are not uncommon. But the most shocking thing was that Norwegian fishmeal producers had agreed to keep salmonella outbreaks secret. It doesn't create trust outwards. It is a major challenge to provide adequate feed sources for the further growth of the industry while preserving the character of Norwegian farmed fish as first-class seafood. In this context, it is important to explore and research opportunities to exploit new feed sources from, for example: agriculture. The presentation lacks a strong vision for the marine sector in Norway. The statement bears the mark of many good wishes, which in themselves are reasonable, but which nevertheless lack the strong will and ability to carry out. The Progress Party believes that Norway should have a future as a world-leading breeding nation, where the aquaculture industry is to take over the place of the petroleum industry as the leading export industry, very many scientific issues need to be addressed. In recent years, the authorities have invested to some extent in aquaculture research. One can mention here the SND programme Numario and the new research fund. The research generated from such programmes is far on the way to user-driven and thus directly production-related, where single problems are solved. Such research is both relevant and very useful to the industry. On the other hand, considerable basic research is needed in this area. Our universities and other heavy research institutions are currently suffering from a lack of private and public funding for basic research in biology and other natural sciences. These include aquaculture-related subjects such as biotechnology, microbiology, molecular biology, genetic engineering and physiology. These are disciplines that are the very foundation for future aquaculture within both existing and new species in farming. We have to have clear visions that Norwegian aquaculture is going to assert itself internationally in the future as well. It is therefore appropriate to consider seriously earmarking funds for research into biology aimed at our aquaculture industry. The Council of State stated that there is room for the award of new concessions. There is a broad political consensus on this. Nor is the Council of State alien to the fact that consideration should be given to the granting of concessions for the production of edible fish from salmon and trout. It's true that concessions give an exclusive right to exercise. The overall position of the Progress Party is to repeal the entire concession scheme. Instead, only provisions regulating objective requirements for the environment, animal welfare, food hygiene, fish health, etc. shall be taken into account. Subsidiarity should be liberalised and the concession authority transferred to the municipalities. There have been some rumors in the industry about what kind of discretionary criteria will be used to grant new concessions. Many large business operators have for some time tried to position themselves according to what many believe these criteria will be based on. The discretionary criteria that have been mentioned are: rural policy – strengthening the economically poor areas to favour enterprises with plans for investment in local business and infrastructure to favour established enterprises that are set up in new farming areas such as cod, halibut, turbot and other marine species to favour actors new in farming contexts to favour knowledge businesses linked to research environments to favour small companies with few existing concessions; In any case, allocations on such a basis will have to be subjectively assessed. An obvious problem is: who should assess who meets these or other criteria on the basis of which the award is made? A problem related to the assessments based on district considerations is: how to ensure the establishment in economically poor areas when the concessions are negotiable? In any case, ESA claims that emphasising local links in the allocation of fish farming concessions is not in accordance with Article 31 of the EEA Agreement. Another thing is that if awarded for many new concessions, Norway may risk penal customs duties if, as a result of increased production, we also increase exports beyond the agreement with the EU.
ParlaMint-NO_2001-02-08.ana.ud1394e383	It's going to be line change.
ParlaMint-NO_2001-02-08.ana.ud1394e386	In my opinion, aquaculture should be a coastal industry run by people living along the same coast. I therefore think it is positive that the Government will strengthen the nutritional basis for the small actors. Who then thinks the Progress Party is the best to run this industry? And who will in the future own and control the coastal zone?
ParlaMint-NO_2001-02-08.ana.ud1394e393	I guess it's none of what Mimmi Bæivi said, which contradicts our program. The general position of the Progress Party is that we want to abolish the concession scheme. Instead, the fishing authorities could grant permission to produce salmon at approved sites and within the framework of laws and regulations regulating objective requirements for the environment, animal protection and food hygiene, as I said in my main post. However, both the listed and the small breeding companies and, for the part, the new actors in the industry would probably have benefited from such an attitude, because then capital would not be tied up in the financing of the concession papers. So, of course, the Progress Party welcomes and has in its programme that small and medium-sized enterprises should receive allocations and that allocations should take place according to criteria such as: that, within the municipalities which have made the most of their regulatory plans, these will be given priority in the award of new concessions. And then also the coastal communities will come into the picture.
ParlaMint-NO_2001-02-08.ana.ud1394e402	I have a question for the Advance Party about the deflagration of Hydro Seafood. Does the Progress Party think that it was entirely okay that Hydro Seafood was flagged out and bought up by a foreign company? And if you don't think so, in what way will the Progress Party ensure that there is no such thing with other companies in Norway that are growing up in the aquaculture industry? Then it was repeated that the Progress Party does not want us to have any management of the farming industry through the concession scheme. However, the association of fish farms recently adopted decisions on future structure and policies. They are based on the fact that we are going to have a concession scheme, and they are based on the fact that we are going to have a regulation of production through a limited allocation of new concessions. They go in order to distribute a limited number of new concessions for salmon and trout, max. 10 pst. annual growth and perhaps 100 concessions over the first five years. And they think it's the smaller companies with one concession that are going to have the first. Does the Progress Party still want such a system, according to what Terje Knudsen said in his last answer? Yet, do you want to have a system that allows you to give priority to the small ones? And then how does it relate to the party's fundamental vision? In what way should it be possible for small companies and those living along the coast to be given the new concessions when it is said that environmental and animal health considerations are the only thing that should govern development?
ParlaMint-NO_2001-02-08.ana.ud1394e409	It will always be a market for small players, and the Progress Party will not be able to make any headway in business. At all times, we want the market economy to decide who will be in this market. With regard to the award criteria, I said in my previous reply that we prefer to see the coastal communities that have come the farthest with their regulatory plans being prioritised in the award of new concessions. But whatever the case, on such a basis, allocations will have to be assessed subjectively, and an obvious problem is: who is to assess who meets these or other criteria on which we base the allocation? As I also said in the main post instead, there are problems related to criteria based on districts, on which the representative Morten Lund is concerned. How are we to ensure the establishment of these economically poor areas? When the concessions are negotiable, there are several questions that have to be answered, if you want to direct development to those you want to help here, namely, the small concessionaires with maybe one or two concessions in nutrient-poor strokes, will be satisfied.
ParlaMint-NO_2001-02-08.ana.ud1394e418	Several have not asked for the word for a line.
ParlaMint-NO_2001-02-08.ana.ud1394e422	Norwegian aquaculture has grown as a result of private initiative and creativity. The state has been a regulator and subsequently partly entered the owner’s side. In addition, it has made a modest contribution to research. The right is fully in line with the Minister for Fisheries when he says in his statement: ‘In principle, I believe that adaptation of production to market developments should be the responsibility of operators.’ However, he says, this cannot be the case in practice. The Minister for Fisheries and the Right strongly disagree. The Minister of Fisheries should at least strive to make it that way. The marine industry has been identified as a winner of the future, and much has been arranged for this to happen. But then it is imperative that Norwegian aquaculture be released from the coercion in which the state has introduced it. This is a key prerequisite for the industry to be able at all to achieve the objectives and visions that governments and others have for it. From the Right, the approach of the Minister for Fisheries to market conditions is passive. The marine industry is forecasting a future as one of Norway’s most remote industries. This requires an active trade policy, while at the same time deregulating the industry. Today's concession law and feed quota regime deserve redemption when the salmon agreement with the EU expires next year. We must not, in today's situation, become so navigable around state management tools as concessions, management of industry, auction of concessions, cubic metres regulations and coastal zone plans that we forget to lift our eyes up and out. Because we do, we discover that Norway – today the world’s largest producer and exporter of salmon – is losing market share. The largest growth in farming today takes place outside the borders of the country. This is the case even though the Norwegian coast appears environmentally likely to be the most attractive area for fish farming worldwide, and Norwegian competence in this area is, after all, unsurpassed. Billions of money are invested by Norwegian actors during these days in Chile. Yes, even the Norwegian State appears to be one of the largest foreign investors. On the right, there is nothing against Norwegian involvement internationally in breeding, but in Norway we have to ask why it has become so that the growth, investment and investment from the Norwegian side are today greater than within borders. We think it is more than strange that the bulk of the population has contributed to the Norwegian state being one of the most active in the Chilean culture adventure. Think of the same large number of people who had shown equal interest in taking a boost in marine research! In the alternative state budget of the Right this year, we proposed to introduce a scheme in which companies could deduct from 25 pst. of documented R & D expenditure of up to 4 million. kr. in the tax. For companies that are not in the tax position, we proposed a supplementary grant. Unfortunately, the majority voted in favour of our proposal. The proposal would strengthen research efforts and the development of small and medium-sized enterprises, characterised by the aquaculture industry. To reach the ambitions set on behalf of the farming industry, the Right expects the Minister for Fisheries to take an initiative similar to the Right's proposal to strengthen applied research and development in the fisheries and farming industry. Today, the industry itself contributes significant amounts to research. One of the most important tasks for the public is to stimulate enterprises to do even more. We need to ensure that operators in the aquaculture industry are given competitive framework conditions that can contribute to the future Norwegian coast becoming the main venue for investment, research and development. It is a major problem that producers abroad do not meet the same constraints as at home. Chile, for example, does not have strict production restrictions that prevent rapid growth. Therefore, Chilean production is increasing much faster than the industry is allowed to in Norway. The actual situation along the Norwegian coast is characterised in too many municipalities by stagnation in the population. It is unfair to coastal communities and to those initiators who wish to take part in the fisheries and aquaculture industry that many of those with investment and development plans are stopped. In its presentation, the Council of State gives great attention to the administration. Similarly, less attention has been paid to the framework conditions for the industry to develop itself. There is a risk that red tape and control systems may suffocate parts of the growth of the industry. The industry, for example, is characterised by a form field that helps to steal enormous time and attention. This must not be a major task of the Government of the Maritime Policy. Management now needs to put its weight into guidance to municipalities that have not yet received approved coastal zone plans in place. The Ministry needs to put its main emphasis on improving market access to the EU. Market access to the EU must be improved. It is not acceptable that the Government has given up as much as possible to improve market access to our main market. Only the EU’s central and eastern European enlargement should provide for a different level of commitment and pressure from the Government. Norwegian exports of salmon to the EU are regulated by the salmon agreement. This Agreement includes, inter alia: provisions on export duties, minimum prices and limits for export growth. The agreement expires on 30 June 2002. In its statement, the Minister for Fisheries said that the agreement has worked well. This may indicate that the Government’s objective is to continue the agreement. The agreement is the result of the 1995-96 EU Commission bowing to a protectionist pressure from Irish and Scottish breeders, where the anti-dumping weapon is a threat. Under the feed quota system and concessional regulation of start-ups, the Government ensures that the supply of Norwegian salmon is limited to the EU market. Although Norwegian salmon exports to the EU — despite the salmon agreement — have shown a steady increase in recent years, Norway is losing market share. A new salmon agreement with the EU after today’s norm will lead to Norway losing its leading position in this area. I believe that the agreement must be terminated or, at best, greatly improved. Norwegian farming is a powerful symbol of the impact and price we have to pay by being outside the EU. When the agreement is due to expire, Norwegian authorities will have to consider how best to ensure market access for farmed salmon. The Norwegian coast misses thousands of jobs because we are also stuck in the commodity clamp in this area. A central trade policy objective must be to secure us against new EU anti-dumping penalties, without imposing restrictions on the industry. The salmon price has largely been well above the EU’s minimum prices. Furthermore, increasing scepticism against meat by consumers in EU countries should make it possible to argue that the current salmon agreement should not be extended. The Minister for Fisheries should therefore now make every effort to replace the current salmon agreement with a renegotiation with a view to increasing market access, as the EEA Agreement actually opens up. Similarly, the Minister for Fisheries must work actively, not least within his own government, in order to improve the WTO rules on trade in fishery products, given the highest commercial policy priority. In addition, state councillor Gregussen should now take the initiative to increase the volume of existing breeders in its production facilities. The Minister for Fisheries proposes that the new concessions granted this year should cover areas which have been granted concessions under previous allocations. I would ask the Council of State to also take into account existing farming environments. The allocation round should therefore be as comprehensive as possible. The question of remuneration for concessions, as raised by the Council of State, should use today the opportunity to clarify. What kind of arrangement is the Council of State thinking? Are local settings to be tapped for income? The right will not impose additional costs on the farming industry which may help to impair the competitiveness of the industry. Norway, as the world’s major maritime action, has imposed a growth restriction on itself through the EU Agreement. As a result, the aquaculture industry in Norway is losing ground and market share. Such an artificial restriction must be avoided by the next EU agreement. If we don't, we'll see that Norwegian aquaculture continues to lose terrain relatively in the coming years. With our good natural conditions, we should absolutely avoid having to brake so that other countries take us back.
ParlaMint-NO_2001-02-08.ana.ud1394e458	It's going to be line change.
ParlaMint-NO_2001-02-08.ana.ud1394e461	Clearly, there is a lot of agreement between the various parties when it comes to Norwegian aquaculture policy. There might be reason to point to any of that, not least this that goes on research, which also Ivar Kristiansen was in. It is important that more research is done. He claimed that the industry itself provides monthly today in this field. We have now received a research and development fee that can make a contribution, but otherwise it is the general picture when it comes to Norway and industry’s research efforts, that there is a great potential for improvement, and we are forced to do so. The representative Kristiansen was in the middle of growing worlds before aquaculture increases. What is a defining factor for Norway – and we can see how we would have had it – is what kind of market access we have. Once again, to negotiate a new agreement, there are two parties. There's every reason to agree with the representative of Kristiansen that it would be nice if we could avoid the growth constraints that lie in the salmon agreement that we have today, but it's actually not just up to us to decide. Since the representative of Kristiansen has such a strong view of what we can accept and not accept with regard to the EU, which is, after all, our main trading partner, it would be nice if he could clarify to the assembly what he expects will be the countermeasure of the European Union if we are not closed with our wishes in this context. In my view, the WTO response is too simple, and at least it does not fit completely in time. We must have exports going to the EU all the time. What is Kristiansen’s answer?
ParlaMint-NO_2001-02-08.ana.ud1394e472	It is right that Mr Tveiten's representative pointed out that research and development in this area would be absolutely crucial in order to achieve the ambitions and objectives we have set ourselves in this area. We cannot label the bottom list in Europe as regards research and development costs in share of gross domestic product. This is a situation that so far seems to carry completely wrong of farms. We have verbal ambitions in this area that, within four years, we will reach an OECD average, but through the budgets, I just record that we are not following up words of action. I also think that if we're going to get on the road, we need to stimulate the breeding industry to go even a few steps further. Norwegian fishing industry is a model for any other industry in Norway to safeguard its own interests. This is the case in both research and development, and not least the industry itself pays a huge amount of export marketing costs. It is an example of follow-up for any other industry. The answer to the European question is, of course, that Norway should be a member of the EU. I see that with today's situation in Stortinget and in the Norwegian people, there is little evidence that we will come in as a member with the very first, but this outsidership has to worry us. With the role of the Norwegian breeding industry, where the foreign market receives 95 pst. of production, and where the EU, as the best paid market, accepts the essential part of this, we need to have a more active approach to the salmon agreement with the EU than what seems to be coming so far, and then I refer to the Secretary of Fisheries's statement.
ParlaMint-NO_2001-02-08.ana.ud1394e479	If the Right wants the coast to avoid the horror scenario that several people here have talked about, the house mannification – that is, you lose your rights – it's a little interesting what the Right believes about this. I perceive that the Right believes that this with ownership is important. I agree that ownership is important when engaged in business development. If local owners are an important part of industrial diversity in this industry, if a local administration is important to balance conflicts of interest and if a local partnership is important in developing the full range of opportunities available in a community, how is this to be achieved? Is it immaterial who is the owner? And how does the Right believe that this is going to be done in the future? Or to be even more concrete: should we decentralize the administration, closer to the users and communities, and how?
ParlaMint-NO_2001-02-08.ana.ud1394e484	It's an interesting theme the Karlstrøm representative brings up. She uses expressions like the 'fear scenario', and it actually stands out too much of this debate. So there's a kind of need to focus around the concept of control. I think it is very unfair to the coastal population and to the many people who have investment plans and want to start fishing and aquaculture along the coast, that they are meeting an administrative regime in Norway today that does not allow them to do so. I think the worst horror scenario we can imagine along the coast is if development continues as it does today. I believe that if Randi Karlstrøm takes a look at population statistics and development along the Norwegian coast from, for example, 1970 to the turn of the century, she will see that it is stagnation that characterizes development. This wants the Right to do something about it. This right wants to contribute in that way that we want to let go of those who sit with investment plans, lust and energy. And no food is better equipped to take on creating new optimism and glow along the coast than just the fishing and aquaculture industry. Of course, the right-hand side says yes to local ownership, that's what has brought the industry up and down to the level it has today, but we also say yes to diversity. We also believe that approved coastal zone plans are an instrument that should be good enough as a management tool to ensure that the veterinary requirements for development are adequately met.
ParlaMint-NO_2001-02-08.ana.ud1394e491	According to the representative Ivar Kristiansen, the development of the aquaculture industry is the very symbol of the problems we have that we did not become members of the European Union. But when a reader reads the Marine Policy Statement and looks at the curves that are at the back of the effects of the ‘problems’, I find it quite strange to come to such a conclusion. The sales and value creation are straight to heaven. Annual growth in the last few years is larger than the forecasts, which show that in 20 years the aquaculture industry will have much greater value creation than the oil today. With good development, this industry can take over what the oil means for the Norwegian economy — and it seems to be a problem and difficult development. There has been no shortage of capital in this industry and the market has not disappeared. The problems we have on the market have arisen because some of those who talk more about free trade do not want free trade – they are afraid of free competition. So we've had some problems. I think the most important barrier to positive development is that those living in the spring will not put the premises at the disposal, that the coastal communities say they will have more back than they get today; they see the workplaces disappear because the owners establish themselves elsewhere. It does not become local ownership by saying freely to those who want to pay the most. And it has to be right-wing to be involved and do something about if we're to get a positive development for the coast that makes the young people work in this industry, which makes the municipalities along the coast get income from it. They don't get it if it's the richest who take over.
ParlaMint-NO_2001-02-08.ana.ud1394e505	It's a little strange to hear the Central Party's argument in this debate. There is no batch that goes further into high dollar prices, high crude oil prices and high prices of Norwegian gas to be exported. The rest of us have to think a little bit further than that. It does not seem yet that Morten Lund has realized that the vast majority of Norwegian production goes to the foreign market and that there are conditions for the producer. When these are the prices achieved in the market that are essential for achieving the ambitions that the representative Morten Lund has also contributed to describe as being of high value, namely, that we should tidalize the turnover within this industry, he must also be able to understand that the conditions of the market to buy Norwegian products are crucial for how far we are going to reach this industry. And today, the Norwegian coast appears as a gallant symbol of the price we have to pay by standing outside the EU. Norwegian farming industry has x the number of thousands of processing jobs outside the country border, in the EU area, jobs that we had more than ever seen, and which are needed to strengthen settlement along the Norwegian coast. So to the issue of ownership. It's a paradox that it was under the Bondevik government, with the participation of the Center Party, that it was taken into account to phase out the Hydro Seafood in the state-owned Hydro, which made sure that this ended up on foreign hands. I did not hear very loud protests, nor from the representative of Morten Lund. Furthermore, it is a paradox that from the same centre parties there is a warm applause for the state itself to make the largest investment at present – outside the borders of the country.
ParlaMint-NO_2001-02-08.ana.ud1394e514	The cord shift is over.
ParlaMint-NO_2001-02-08.ana.ud1394e517	The Research Council, in a report called the ‘Marine Adventure’, has estimated the value-added potential of the fisheries and aquaculture industries to DKK 150 billion in a 20-year perspective. The potential for value creation, and whether those are the marine industries we're going to live off when the oil age ends, is, in my opinion, of less interest in the phase we're in now. After all, we want oil and gas resources that will generate revenues and seize resources for decades to come. What we can do, which is the biggest challenge, is to choose to bet on having a high-educated population, with peak competence in central areas. This means that education and research will create our competitive advantage. If we focus on a highly educated population, with an extensive research effort, we cannot lead Norway as a low-cost country. Instead of profiling ourselves as a low-cost country, we need to profile ourselves as a high-cost country, in order to attract our research skills. Our competitive advantage should therefore be a high level of costs. In the recommendation of the Research Communication, there was broad political agreement that the marine sector should be one of four thematic areas of activity. We believe that the marine sector has the potential to become a central sector in value creation. However, a prerequisite is that we create a sustainable nourishment. And there is reason to be concerned when, in the report we received from the Research Council, we see how the international environments have assessed our research efforts in this area. We thought we were good at marine research, but these international assessments show that we're not as good as we thought. Especially on the basics, we're too bad, and it should be a cross of thought for all of us. The Minister for Fisheries, in his presentation, was particularly concerned about the market side. It is important that we have access to the international markets and that resources are used to understand the different markets. The report from BI on ‘A value-creating Norway’ places particular emphasis on the market side, and I believe that the Minister for Fisheries has drawn much of his inspiration from this report. I believe that the main challenges, whether we succeed in this industry, are on the environment, and there are the main challenges, among other things. the feed situation. We cannot continue to take up large quantities of fish to feed – fish that can alternatively be used for human consumption. These are fish that are part of the ocean cycle. Over-taxation may have consequences for fisheries, which are at least currently larger than the aquaculture sector in terms of value creation. We think that's where the greatest research effort has to be put, if we're going to succeed. If we fail to make better use of the raw material and find new sources of raw material, this will limit production and value creation. We have to set clear targets on what we are going to achieve and what time horizon we have for this, and then I refer to our proposal No. 2, where we ask for a plan to replace the current raw material with other raw material in feed production, to be submitted to the Stortinget. It is also vital that we have coastal zone plans showing which areas are available without conflicts with other industries and outdoor interests. In this context, it is important to be concerned with farmed-free fjords in order to ensure the wild axis. That's where I refer to one thing that we'll get later. I also think it is important that we manage to maintain the aquaculture industry as a district industry, where local interests are mainly owned. There I also refer to our proposal No. 1, where we want to use state pre-purchase law to ensure exactly that. This is a proposal that, hopefully, will fall into good soil at the Centre Party and other stakeholders. The Research Council has also pointed out in its report that it is a major challenge to raise capital for the industry at that stage. There is a drought of capital, and it is important that state capital can enter and remedy that situation. I also refer to our proposal, No. 3rd@item: inlistbox In the end, I will address our proposals. I would point out that in proposal No. 5 is a couple of errors. The last sentence shall be replaced by the following: ‘The ramifications should mainly apply to the municipalities where the plants are established’.
ParlaMint-NO_2001-02-08.ana.ud1394e541	Rolf Rikham has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2001-02-08.ana.ud1394e546	Marine farming seems to be a new maritime adventure when the oil adventure ebbs out, and as a coastal woman, I see future pleasure in meeting. Norway is a coastal nation. When Norway is described by Oslo, it is very often wrong. One of the faults is the infrastructure and actually the road construction, an otherwise central matter in this house today. It's crazy when it's so expensive to carry the fish southwards, for example. costs Bergen to Stavanger NOK 2 300 more in ferry and toll fees to get the fish the way he is going. That's why the wagon train from Ålesund, Sogn and Bergen goes towards the continent of Eastfold, and this is ineffective. Leading fish to the market is faster and more environmentally effective, and therefore we need the coastal line. SV is generally negative to road development. Does it not seem that, with a great deal of pure seafood to be transported to Europe's table, we need a coastal line that leads the fish in good quality? That means he actually has to be good. And with the most reasonable and shortest path, it'll be environmentally effective, and the maritime adventure will be a success.
ParlaMint-NO_2001-02-08.ana.ud1394e555	I think it was a bad claim to say that we are negative to road development. We're dealing with a national transport plan for the time being, and we're also spending a lot of money on road development. But I think one of the most important challenges is to expand and facilitate railway development, so that we can carry a larger part of the fish on the railway, for example. Because I am quite convinced that one of the major environmental challenges is to find a more environmentally friendly way to transport the fish out of Norway. In this context, it's not just about the road, but it's also about processing the fish differently from what we're doing today. For as we sell the fish today, it is transport-intensive, and it is unfortunately environmental, and therefore efforts aimed at processing and research towards processing the fish at home will help reduce the transport needs of the large markets. There I think some of the major challenges lie, because no matter how many roads we build along the coast and elsewhere, I'm pretty sure we have to reduce the transport of fish by road to the large markets. We have to find other ways to do this, and we have to reduce transport by processing a larger part of the fish at home.
ParlaMint-NO_2001-02-08.ana.ud1394e562	Several have not asked for the word for a line.
ParlaMint-NO_2001-02-08.ana.ud1394e565	Norway has the best natural conditions in the world to produce clean, healthy food from the sea, produced in a sustainable way. We export seafood to more than 150 countries, and nothing indicates that we have reached the top. The value added potential of the marine industries is probably worth several hundred billion dollars. The farm was not created by the Norwegian State. There is a diversity of large and small private owners who have developed the industry to what it is today. The central government took many important initiatives to develop aquaculture. Marine farming was flashed out as one of Norway’s four priority research areas. We started cleaning up the marine form fields, which have been worse than any other part of the business. The Council of State confirmed in its statement that he was following up these initiatives. Left's happy. The left also believes that the industry must be taxed to invest in research. I think it is absolutely essential that a strategy for the marine industries includes the entire chain of value creation, that it goes from merd to envelope, to rewrite a slogan from agriculture, ‘from land to table’. The presentation by the Council of State met only partially that requirement. Further processing and product development are important keywords. A critical area of the state councils is transport. For an industry that sells fresh products with limited durability, fast and safe transport is essential. It is necessary to take a force to make road transport easier, including: by removing the main bottlenecks on the main road network and by targetedly reducing the large ferry costs that favour coastal business. The left will halve the holiday rates of industry and take the first step towards the budgetary agreement in the autumn. However, I think we need to realize that it is not possible or desirable to cover the enormous growth we expect in fish exports, by road transport. We need to find new solutions, and then maritime transport naturally flashes out. The left will take the initiative of a comprehensive research and development programme for the cost-effective and environmentally friendly transport of Norwegian fishery products, in cooperation with the breeding industry and the yard industry. New technologies for gas-fuelled ships should be a special area of activity, together with the development of good fishing ports. The availability of protein-rich feed for farmed fish can become another critical area for the further growth of aquaculture. Feed produced from natural gas has a high potential, while the research environment has come a long way in developing new plant species that can be used as protein for fish feed. In my view, this is particularly interesting and can provide an exciting interaction between agriculture and the fishing industry. The Left expects the Government to follow up on these and other opportunities, in cooperation with industry and the research community concerned. A good marine environment is a fundamental prerequisite for growth in the aquaculture industry. The industry itself has made great environmental progress, although important environmental challenges such as the escape and release of copper remain. Nevertheless, it is actually the external threats that are clearly the most serious. The Left expects, for the sake of the entire Coastal Norway, that the Government does its utmost to prevent the opening of shipments of radioactive waste along the Norwegian coast and to stop the radioactive emissions from the UK recovery facility Sellafield. Not only are these environmental threats serious in themselves, they can also damage Norway’s reputation as an exporter of pure food. The Left is pleased that the Workers’ Party’s proposal for an auctioning principle for breeding concessions was rejected in cash by the Stortinget. The combination of an auctioning principle that favors the large, capital-powerful actors and massive state drachma to Statkorn Holding would have been the worst case scenario for the structure of the farming industry. It also means much to the recruitment that the left and the centre have been given the advantage that schools in the field of aquaculture education can be awarded their own concessions. It can provide an essential boost to the recruitment of the maritime industries and is a political signal of the importance of providing attractive training services in the fisheries and aquaculture sectors. I assume that the Minister for Fisheries is now making sure that the remuneration scheme takes special account of schools, which are not supposed to exploit their concessions commercially. Finally, the Left believes that it is important that local communities along the whole coast that facilitate aquaculture as a future industry should be able to take part in the values created. I can't get into it now for the sake of time, but the left is that it can be a tax that benefits local communities through its own initiative and the organisation of the aquaculture industry.
ParlaMint-NO_2001-02-08.ana.ud1394e591	It's going to be line change.
ParlaMint-NO_2001-02-08.ana.ud1394e594	The left highlighted in its article the potential of this industry in a value creation aspect. Nothing indicates that we have reached the top, said among other things. the representative. But we clearly need these resources to be sold. It might be interesting to ask the representative how he and the Left look at the possibility of securing Norwegian exports of seafood in the forthcoming WTO negotiations. Is Left e.g. willing to sacrifice some of the import protection in relation to agriculture, in exchange for better market access to the EU for seafood?
ParlaMint-NO_2001-02-08.ana.ud1394e599	Like several speakers today, the aquaculture industry is an example of the fact that an industry producing clean and healthy food and producing goods that people want is the market for. We remember the EU debate and the debate on access to the market, as it was falling at worst. The fishing industry and the salmon industry were then predicted north and down because we did not get the market access that membership of the EU would have led to. Now it turns out that this industry has grown considerably, adventurously, quite frankly, and the expectations for the future are still great. It has actually evolved into one of the supports of our future business and value creation potential. I think it's too clever to try to say that if we don't have membership of the EU, we won't sell our products either. It is clear that the EU is an important market, but if we have good goods, healthy food, produced according to good principles, this will be a market. And we see that in the different situations that have arisen in Europe now. We come to a point where people are willing to pay for food that is healthy and safe. Norwegian fishing industry must continue to invest in this, that is where our potential lies. I do not think it is necessary to facilitate Norwegian import protection in the case of agricultural products in order to have our fish products sold.
ParlaMint-NO_2001-02-08.ana.ud1394e606	Several have not asked for the word for a line.
