ParlaMint-NO_2001-03-22-lower.ana.ud1197e31	The representative of Øyvind Waksdal will present a private legislative proposal.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e330	I'll have to ask a question and illustrate it with a very simple example. A Norwegian youth with little formal education is employed by an employer. He thrives very well. One immigrant - or another - applied for the same job. This person complains and considers himself discriminated against by law because he can refer to both better and more relevant education and to more practices. Should the employer then have to fire the Norwegian youth who finally got a job, and rather hire the immigrant because the law forces him to do so when the immigrant actually has better formal qualifications to refer to? He can go to a time-consuming and costly trial, which the employer is likely to lose anyway, and he may have to go out with a larger sum in compensation for this person. They have to be able to give an answer to this dilemma, these parties that then wholeheartedly go in to make the law just like that.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e339	I think that this question should really be answered by Magnhild Meltveit Kleppa, I! So I'm going to leave to her to answer this line when she keeps her post.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e344	The cord shift is over.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e347	Disability should no longer be discriminated against after the decision today. Unfortunately, in a society where objectives are still far from everyday life, a paragraph 55(A) of the Work Environment Act, which prohibits discrimination when added, is necessary. The decision today is a direct follow-up to both previous work from the previous and current government and also from previous statements from the Storting and from experience with the law that is in force today. The centre party wants an inclusive work life. When the number of young people with disabilities increases, and when there are many concrete examples that disabled people have to fight social security offices and other public services and experience it as a giant to try out in the workplace, we also have a way to go from Stortinget’s side – with all our fine formulations about a society for everyone. In St.meld. No 8 for 1998–99, On the Action Plan for Disability 1998–2001, measures to ensure work for people with disabilities are particularly focused. In the Smoothing message, there are several suggestions that include a softer work line and a more inclusive working life. I personally know several employers who see the resources of the individual and who see the positive in the lack of disability and people with a minority background included in their workplace. Unfortunately, both investigations and facts show that far from all of us are equally concerned about this. The Centre Party understands that employers may have counterparties against disclosure obligations, burden of proof and liability. We still think this is necessary to ensure that the law changes do not become a toothless purpose paragraph. At the same time, there is a clear signal in such a case that it is not a problem, a problem for employers or for employees. We hope that the change we are making today will help more employers to see the possibilities instead of all constraints. We also hope that the decision taken today will contribute to a greater awareness and a change in attitudes in the individual workplace. In this case, there is also an assessment of the need for a change in the laws of the people. The Committee gives a clear signal to the Council of State to help reduce the duration of treatment in the emergency centres. SV proposes a change to the laws themselves that will facilitate the economic situation of the individual employer by facilitating conditions at work when a permanent disability is added. I would ask the Government to consider this proposal in the context of the 2002 budget or in the context of the follow-up to the Sandman Selection. I could like to challenge the Council of State to answer what will come first, and how quickly the Storting will be sent to a case that involves a follow-up to the Sandman Selection. I received a direct question from the Progress Party. I want to make the Progress Party aware that it is now making suggestions, not actually about the privilege of some groups, but about non-discrimination.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e364	It's going to be line change.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e367	I'm sorry for the little deception I showed instead. However, I will be given a reply to the representative from the Central Party about some of the things I asked for last time, and I hope I can get an answer. It's said that this law is very difficult to deal with. Several representatives have been involved in just that. And there will be many examples, I think, that will show that that is the case. For example, a Norwegian youth with a formal lack of education has been employed and preferred by an employer. Then there is a person, who comes under one of the groups mentioned in Section 55 A, who claims that there is discrimination on the grounds that this person was not employed before the Norwegian youth. Should the employer then have to fire the Norwegian youth, whom he thought was well suited for the job, and thus also hire e.g. an immigrant because the law forces him to do so, because the immigrant can refer to both more relevant practice and professional experience and better formal education? It is possible to take a legal action on this, but the likelihood that the employer will lose such a legal case is striking, and the fear of liability may make it not appropriate to take such a legal action. I will once again ask the Center Party to answer the question I have just asked.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e378	The representative Erna Solberg reminded Stortinget that I don't have that long seagoing time in the municipal committee. I now have a certain sense of the fact that the representative Torbjørn Andersen is actually taking a fight against a law that has been passed and has been in force for a long time, and is thus subject to a ban on discrimination against a number of groups, among other things. by people with a different skin colour. I want to remind you that what's going on today is two things. The one thing is whether disability should also be included in such a prohibition. I'm recording that the Progress Party is in agreement. The second is whether there should be sanctions. But what this debate is not about today is whether there are groups that are going to pluck out and give preference to others. Torbjørn Andersen re-shows something that is sad, but not surprising, simply a concern about assigning people with a minority background, with a different color of skin, to work. It is clear from the law that there is a ban on discrimination, and therefore a ban on discrimination also applies to enforcement of non-discrimination. Then it's up to the individual workplace to evaluate the individual case and situation. And let's hope that the law helps us to get more equal treatment.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e390	No more words have been asked for.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e393	I would first like to address the proposal that has been included in the vote. This is a very happy day for SV, and it's a happy day for disabled people. We have worked on this matter for a long time, and today it is a full victory. I'm also very happy that today, unlike when we treated Ot.prp. No 16 for 1997-98 and document No Last year's 8th proposal, promoted by SV, does not have a debate with the Labour Party and the central parties on the matter. It may be a mixed pleasure to have a debate with the Progress Party and the Right, but it is not so disturbing when it comes to the lines of conflict. I think that most people outside this room would be quite confused if they knew that until today it has not been legal, but that it has not been explicitly stated in the law that you are not allowed to discriminate against disabled people in the event of employment. I think that most people's legal awareness is completely in line with the provision we're now making. There have been many strange counter-conceptions during the debate. If the employer is now able to decide what to pay attention to. Yes, the employer can. When you place an advertisement for a new job, the employer can write in it exactly what you want. You can require as much competence as you want, in most jobs where there are no special technical requirements for operating machines or for having special functions. You can only focus on personal properties, if you want to, you can focus on experience only if you want to. It is up to the employer to ask what you are actually looking for. Personal fitness can be the most important thing – then you write it. If formal qualifications are required, you write it. What is not allowed is to say that one has not assessed the person because he is disabled, and that one has assessed it in such a way that disability has a negative impact on employment if it cannot be proven that he does. It's no worse than that. This is about mental work, says Right. I tried instead to get a line on the Right, but I realized that it went to the Advancement Party, which actually had a line to Magnhild Meltveit Kleppa. But mental work also depends on how we talk about things. During the whole discussion of the case, both the Progress Party and the Right have systematically spread the rumor that the governing right is under threat. There is discrimination, and there are prejudices, and such prejudices are growing when you talk about the matter each time you talk about it, talking about how difficult it will be if you get a rule of law in place to sort out these issues. Employers have feared that the involvement in the recruitment process, such as: Erna Solberg from the Right took up – was going to be very big and annoying. I think that the fear of interference might lead you to think carefully about and make a proper assessment on a factual basis, and that through it you will get employment that you might not have got elsewhere, and that will give disabled people the chance. The employers I have spoken to, who have employed people with disabilities, have basically very positive experiences, and say that they are a little surprised at how positive it actually is. So I actually have more faith in the employer's side than it seems that the right parties have in this case. In addition to this, employers are asked for the removal of 1⁄2 G. It can be discussed whether this is a major and important matter for many employers. There is not much money involved, and perhaps you can discuss whether an employer who cannot afford to do so should hire someone at all. But now they have stated this as a very important point of appeal against employing disabled people, because there are a few dollars here. Then we have chosen to take them up and say that we are now putting leadership in place here and demanding that they justify their employment, and we are going to make sure to remove the small extra cost that they might get after some time by hiring a person with a disability that might require some adjustment. Disabled people encounter a lot of problems. They are often not seriously assessed by employment, and that is what we get into place with this bill that we are adopting today.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e412	Karin Andersen has drawn up the proposal to which she referred. It's going to be line change.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e418	With regard to the need for the legislative amendment that we are adopting today, there are some who have asked questions about it, and whether there is really so much discrimination in this area and among the groups included in Section 55(A) of the Working Environment Act. It has been claimed that this has been too unexplained. Where can it be demonstrated that the need for those degrees is present in order for the sanctions to be enforced, as they are now entering? I ask myself the question of an actual creation of complications with regard to the part that goes on the sanctioning provisions. We're going to have a simpler Norway, someone's talking about it. Now we make Norway more difficult with all these laws. And how can SV really be so sure that there was an overwhelming need to introduce so – I would call it – drastic sanctions rules for, as they say, making this law more effective? Where does SV get its information? For my part, I have tried to get information. I have not been able to find evidence that this has a volume that suggests that such drastic regulation was necessary, and I am thinking about the sanctions.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e427	The evidence is that disabled people have a much lower employment rate than other parts of the population, and that in periods when unemployment has fallen sharply in all other groups, it has been high and, in part, rising among the disabled. This means that in a situation where employers cry out for labour, people with disabilities, even if they have received a good education — people with disabilities usually have lower education than the general population — do not work. Very many of them face great barriers when they are looking for a job. Very many of them never get answers, their application ends up in the trash. It is also completely impossible to bring cases after a law that does not exist. So far, disabled people have not been included in this legal paragraph, and then it has also been completely impossible to raise such cases. It may also be understandable that some of them actually have neither the economic nor the ability to do so, when there have been no proper legal provisions. So to what it is that makes Norway easier and easier. For SV, at least the most important thing is to make Norway easier and easier for people with disabilities. That's our main goal. Nor do we believe that this provision makes it particularly difficult for employers, because we believe that most employers, when they get the strong signal, go through their recruitment procedures and get a system in place where they assess people factually and properly. Then a few more disabled people will have work to do. In addition, there are many other things that need to be put in place to make people with disabilities equal.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e436	No more words have been asked for.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e439	I think it is nice that a collective municipal committee joins the Government's proposal to extend the prohibition of discrimination in the Working Environment Act § 55 A, second paragraph. In this way, disabled people also receive protection against discrimination when employed in line with other groups that have been given a special basis for listing in Section 55(A). Unfortunately, we see many examples of disabled people being discriminated against when applying for a job. There is reason to believe that, among other things. are attitudes or prejudices of employers or employees, which form the basis for such discrimination. It is important to combat these prejudices. It's important in relation to the individual disabled, but it's also important in relation to the quality we're going to have in this society. Legislation against discrimination against workers with disabilities will give an important signal that discrimination on this basis is not accepted. An overall objective of the Government is to be able to participate as much as possible in the labour market so that they can support themselves through work. Social differences are more than anything else related to lack of work. A job ensures individual income, a social network and the ability to use their abilities and resources. Disabled persons are an important labour resource and they must be given the opportunity to find their special place in the labour market. An important prerequisite for this is that disabled people do not encounter barriers to their entry into the labour market. It is important that all groups who are exposed to discrimination in the workplace are effectively protected, whether because of ethnic origin, sexual orientation or disability. Experience with the current prohibition of discrimination in Section 55(A) shows that it is necessary to propose amendments to strengthen the provision. The government's proposal to introduce information obligations for employers, shared burden of proof and liability will make the prohibition of discrimination more effective for all grounds of discrimination in Section 55(A). Those rules shall ensure more effective enforcement of the prohibition of discrimination. I have also noticed the general objections of the minority to interfering with the employer's right of governance. To this end, I would like to point out that the employer will always have to operate within certain socially accepted standards, whether justified on grounds of protection or non-discrimination, and even if this would have certain consequences for employers, they will have to deal with this. I stress that this is not a new situation for employers. In this case, consideration of the right of governance must give way to the non-discrimination of job-seekers, irrespective of their possible disability, ethnic origin or sexual orientation. I am referring to the fact that the proposed sanctions provisions are based on similar rules in the Equality Act, in Swedish Special Laws and in two EU Directives on non-discrimination, respectively, on grounds of ethnic origin and the prohibition of discrimination in employment. The provisions of the Equality Act have worked well, and according to the employer’s opinions, these provisions have in practice had no adverse effect on the individual enterprise. Then I was asked by the representative of Meltveit Kleppa about when we could count on the government to present the Sandman Committee's assessments to the Stortinget for both public debate and decisions. It's a little early to say, and it's a little hard for me to say it, because I'm not the one who's responsible for the follow-up of this. That's what the Ministry of Social Affairs and the Minister of Social Affairs is. But we've been working on all the questions related to the Sandman Committee's setting, and will come to Stortinget as soon as these are processed in the Government and ready for treatment in the Stortinget. In this respect, let me also mention that it would then be right to consider the questions that SV raises in his proposal, and to have this put into a large context. That the proposal is rejected today, I do not see that the Storting is in principle opposed to such thinking, but that it is requested that this be assessed in a slightly larger context. And I agree.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e456	It's going to be line change.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e459	I just want to follow up some of what I've been into in my previous lines. The SV representative claimed, inter alia: there was ample room for assessment of characteristics other than purely formal, substantiated qualifications. The Council of State was also involved in this, and I would like to hear the Council of State's assessment of exactly what it is to be able to assess other characteristics, such as personal fitness. Is it so that there is a liberal discretion in this area? I think it's important that the Council of State makes its point of view aware of that, because I feel that if there's a judicial decision in this context, then some of the dividing lines and some of the discretion will lie right at this point of intersection – which weight you can attribute properties as personal suitability. In terms of purely documentary, purely formal, qualifications, these are much easier to identify and compare. But if there's going to come in a great deal of discretion about what's personal fitness, it's pretty interesting. I have understood this in the debate today that this is how it is interpreted here, and I would like to hear the Council of State's assessment of whether it is and will be a liberal judgement to consider other characteristics in terms of employment than the purely formal, purely documented, qualifications.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e466	I allow myself to say that if we invited the Storting to make a decision that everyone should feel good, I think it would have been unanimously adopted. But at the moment that we were going to start defining what is good, and then putting some tools in place to achieve it, there was going to be a lot of disagreement. It's my definite impression that here we have the same thing. One is willing to say that there should be no discrimination, but when the Stortinget is invited to decide on the means to be used to avoid discrimination, the Progress Party in particular becomes opposed and finds out the most incredible curvatures to justify its opposition to the proposal. I find that amazing. The employer himself determines the qualifications to be required when applying for a job vacancy. And if applicants meet the qualification requirements, the applicants should be assessed against each other. Discrimination is not allowed because of disability, but it is, of course, possible to make an opinion about the personal characteristics of the individual. That's what you like to do in an interview. However, if an application is made by a disabled person who fulfils the qualification requirements and nevertheless chooses to hire a person who does not meet the qualification requirements imposed by the employer himself, it is clearly discriminatory and should no longer be allowed under this law. I don't think it should be so hard to understand this. Most of the employment in the labour market today is employment that takes place without both a call and an interview. And I have no particular belief that this provision will lead to more direct employment and fewer applications. I believe the employers who are looking for qualified personnel, advertise and employ those who are most qualified.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e475	The Council of State now started a legislative interpretation process here in relation to a given example. I personally agree that the example he gives is an example that is largely to be regarded as discrimination. It may be that there are candidates with completely different qualifications that are good for an employer, but these are not the things that I am most concerned about. There is uncertainty in the cases where applicants are close to each other and where the employer has to choose one of the applicants. So if, for example: The disclosure requirements have not been so very specific, and the applicants are almost similar, is it the feeling of stomach of the employer who employs, who will be allowed to be dominant in this context? Or is it that the employer must then have very clear, objective criteria for why one was chosen? This is not always the case – I assume that the Council of State has also been through recruitment processes – that there are objective criteria to be considered. You often have to choose between candidates who may be somewhat alike, and then you have to trust the personality impression and the gut feeling you have.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e480	It is true that if the applicants are similar, as the representative of Solberg says, the employer chooses from this similarity. The point of this legal paragraph is that it is not permitted to disqualify a disability with good qualifications, in some cases perhaps the best qualifications in relation to what is requested. That is what is the legal issue in relation to this. Then it's not possible to set up a whole lot of hypothetical problems. What we have said here is that when the employer chooses, and if there is a case, it is the employer who has a duty to prove that the criteria on which he has based are not contrary to the law that there is unanimity in the Grand Duchy that we are to adopt. Then it's only the court that can decide on it. But I guess there won't be a need for so many trials in court on such questions until you get a case-law that you can simply deal with. And I repeat: these provisions have been laid down in the Equality Act, and it has not created the complete chaos in the labour market – rather, on the contrary. It has meant that we have got a lot of good women into a number of jobs where it is necessary to have representatives from both sexes. This was not the case in the past, and I believe that the Equality Act has helped upgrade and upgrade Norwegian working life in general.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e487	No more people have asked for a line, and others have not asked for the floor in case No. 2 [[See page 332]]
ParlaMint-NO_2001-03-22-lower.ana.ud1197e495	Odelstinget then goes to voting.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e529	It's going to go above the title of the law and promise at all.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e537	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e543	During the debate, Mr Andersen presented a proposal on behalf of the Socialist Left. The proposal reads as follows: «The government asks the Government to amend the guidelines on the social security clauses 10 to 7 so that the employer's share of 1/2 G in the organisation of workplace conditions for disabled persons is abolished.» The proposal will be sent to Stortinget in accordance with the fourth paragraph of Section 30 of the Rules of Procedure.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e601	The Right Party and the Progress Party have notified that they will oppose it.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e624	It's going to go above the title of the law and promise at all.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e632	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e641	There is no record available.
