ParlaMint-NO_2001-05-09.ana.ud2047e27	The called alternate of the Uppland County, Gry Larsen, has taken the seat.
ParlaMint-NO_2001-05-09.ana.ud2047e576	I thank you for your answer, and I have not really drawn the substance of your answer. But this unit feels that it's a long time to wait four months for an answer they think they don't answer all the questions raised in that meeting either. They will then request that there be no further 4 months before they are given an answer. I appreciate the dialogue that the Council of State has with the industry, and I just want to ask for a confirmation that an initiative will be taken quickly in this matter. Then there is a pretty big deal in the fishing industry that the mackerel and herring quotas have come out unevenly in relation to the EU. In any case, it documents the industry quite well in the contact with the signatures with it. I therefore ask for a material and qualified opinion from the Council of State. Is he in agreement with what is claimed in these cases? And is he willing to take forward initiatives that are correcting the historical disk distribution that is now emerging?
ParlaMint-NO_2001-05-09.ana.ud2047e583	First of all, I have explained that I think these legitimacy processes are going to go their way, and then we can look at the questions these mackerel fishermen have raised. It will be done whenever possible. As far as the relationship with other nations and quota negotiations is concerned, as I said, every year we try to argue logically and rationally for the Norwegian positions. We feel that we have had too little herring, and that we have had too little mackerel. But we need to assess our own ability to conduct tough negotiations on fisheries afterwards. This will include, inter alia: depend on, for example, the extent to which you can be expected to be involved. in the case of herds, it is assumed to be present in the quota zones of the other nations if no agreement is reached. We're also assessing this for the current year, and to the extent we think we have the opportunity to achieve with a tough grip, we're going to take this grip.
ParlaMint-NO_2001-05-09.ana.ud2047e590	The time for the oral question procedure is now over, and we're going to the ordinary question procedure.
ParlaMint-NO_2001-05-09.ana.ud2047e595	There will be a wide range of changes in the list of questions drawn up, and the President will refer in the context to the overview distributed at the premises of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 1, from the representative Hilde Frafjord Johnson to the Minister for Foreign Affairs, is postponed to the next Question Time, when the Minister for Foreign Affairs has left. Question 2, from the representative Odd Einar Dørum to the Minister for Foreign Affairs, will be answered by the Minister for Development on behalf of the Minister for Foreign Affairs, who has been away. Question 4, from the representative of Mr Harald T. Nesvik to the Minister for Finance, will be raised by the representative of Mr Lodve Solholm. Question 8, from the representative Sonja Irene Sjøli to the Minister for Culture, will be answered by the Minister for Church, Education and Research on behalf of the Minister for Culture, who has been removed. At the request of the Minister of Church, Education and Research, this question is moved and answered before question 22, to be answered by the same Council of State. Question 9, from the representative May-Helen Molvær Grimstad to the Minister for Culture, will be answered by the Minister for Church, Education and Research on behalf of the Minister for Culture, who has been removed. At the request of the Minister of Church, Education and Research, this question is moved and answered before question 22, to be answered by the same Council of State. The question will be raised by the representative of Elsa Scarbøvik. Question 10, from the representative John I. Alvheim to the Minister for Social Affairs, will be answered by the Minister for Labour and Administration who will direct him. At the request of the Minister of Labour and Administration, this question is moved and answered in response to question 3, to be answered by the same Council of State. Question 12, from the representative Terje Johansen to the Minister for Transport, will be raised by the representative Borghild Tenden. Question 18, from the representative of Gunnar Kvassheim to the Minister for the Environment, will be answered by the Minister for Fisheries, who will direct him. Question 20, from the representative Bjørn Hernæs to the Minister for Agriculture, will be answered by the Minister for the Environment on behalf of the Minister for Agriculture, who has no opportunity to be present. The question will be raised by the representative of Magnhild Byseth Olrud. Question 21, from the representative Per Sandberg to the Minister for Children and Family Affairs, will be answered by the Minister for Health on behalf of the Minister for Children and Family, who has been away. At the request of the Minister of Health, this question is moved and answered in response to question 7, to be answered by the same Council of State.
ParlaMint-NO_2001-05-09.ana.ud2047e633	This question has been postponed to the next Question Time.
ParlaMint-NO_2001-05-09.ana.ud2047e639	This question, from Odd Einar Dørum to the Minister for Foreign Affairs, will be answered by the Minister for Development on behalf of the Minister for Foreign Affairs.
ParlaMint-NO_2001-05-09.ana.ud2047e642	In accordance with the President's information, I ask the Minister for Development this question: ‘At the forthcoming World Conference on Racism in Durban, there will be one or more representatives of non-governmental organisations/NGOs in all the Scandinavian and many of the official delegations of the European countries, the exception being Norway. A number of Norwegian NGOs are actively working to combat racism and will play an important role in the follow-up to adopted measures. Will the Minister for Foreign Affairs ensure that the Norwegian organisations participate in the official delegation?’
ParlaMint-NO_2001-05-09.ana.ud2047e651	Norwegian non-governmental organisations are central to the fight against racism. We therefore consider it important and natural to involve the voluntary organisations in both the preparations and the implementation of the World Conference on Racism. During the preparatory work, the Ministry of Foreign Affairs has established close cooperation with, in particular, the Anti-racist Centres, which coordinate the work of the Norwegian voluntary organisations towards the World Conference. With regard to the participation of voluntary organisations in national delegations to the World Conference, the Ministry of Foreign Affairs has maintained close contact with, among others. the other Nordic countries. Like us, many will take a final position on the composition of the official delegations only after the last meeting of the United Nations Preparatory Committee at the end of May. Since no final position has been taken on the composition of the Norwegian delegation, there is no basis for claiming that Norway should not include representatives of non-governmental organisations in the official delegation. On the contrary, the fact is that representatives of Norwegian non-governmental organisations, as at previous UN conferences, will of course be invited to participate in the Norwegian delegation. Finally, I would like to remind you that, in parallel with the World Conference, an NGO forum is being organised. The Ministry of Foreign Affairs provides financial support to ensure the participation of representatives of Norwegian non-governmental organisations in this Forum. The government has also provided support through the UN and the country of organiser South Africa. Some of these funds are supposed to be used to allow representatives of non-governmental organisations from developing countries to participate in the conference.
ParlaMint-NO_2001-05-09.ana.ud2047e666	I see the answers of the Council of State as clarifying. However, it has not been perceived as so clearly in the landscape referred to by the Council of State, in the past. The more positive it is that I perceive that in the post she now clearly says that representatives of Norwegian non-governmental organisations will be invited to participate in the Norwegian delegation. I see that as a clear and positive clarification on the question I have asked.
ParlaMint-NO_2001-05-09.ana.ud2047e671	It surprises me that there has been no clarity on this issue. It is a long tradition from Norway to include representatives of voluntary organisations in this type of official delegation. I myself have had the pleasure of, on a number of occasions, being an NGO representative in a number of different Norwegian official delegations. This is one of the Norwegian ways of working at this type of event.
ParlaMint-NO_2001-05-09.ana.ud2047e676	The fact that this is the Norwegian way of working is very clear to me. But I also have my hearing and hear concerns. That's why I think there was reason to express the concern. It is all the more gratifying that this unrest has been remedied and that what has been the tradition has been confirmed as a rule in Norway.
ParlaMint-NO_2001-05-09.ana.ud2047e681	I have nothing more to add besides what I have said. There is no cause for concern either in this context or in a number of other contexts regarding the participation of voluntary organisations.
ParlaMint-NO_2001-05-09.ana.ud2047e690	I will ask the Minister for Employment and Administration the following questions: ‘Competition supervision has asked the oil companies on the base in order to assess whether a possible merger between Kværner and Aker Maritime may be accepted. Based on the previous statements of the companies, it was expected that the answers could be negative for those seeking a merger. According to the media, the Council of State has instructed that the deadline for replying is extended to after the General Assembly of Kværner on 4 May. Why will the Council of State prevent actors from becoming aware of the consequences of a law before decisions are taken?’
ParlaMint-NO_2001-05-09.ana.ud2047e699	Any merger between Aker Maritime and Kværner will be of such a nature that it is natural to consider it under the Competition Act. Competition supervision may act against corporate services if the supervision considers that the acquisition would result in or strengthen a significant restriction of competition contrary to the purpose of the law. This is the background to the Competition Surveillance Authority’s request for the opinion of the stakeholders concerned for a possible merger between Aker Maritime and Kværner. Getting consultation opinions from stakeholders is a common practice in business services matters. The supervision had set a deadline of 27 April, only a few days before the General Assembly in Kværner was to be held. I stress that the Competition Authority is to do its professional work under the law, to assess any merger against the provisions of the law, without interference from the Ministry as the overall authority. But I thought it was very unfortunate if the very process that the Competition Authority had initiated – not the decision, but the process – was to have a direct impact on the general meeting. I therefore asked the Competition Authority to postpone the consultation period until after the general meeting had taken place, precisely because I did not want these hearing opinions to be interpreted in favour of one of the parties. In this case, it is not a matter of preventing the actors from getting to know the consequences of a law before a decision is taken, as the representative Morten Lund claims. The consequences of this legislation would be clear only after a proper assessment of any merger. Competition supervision would never be able to properly assess the competitive effects of such a merger in such a short time as from 27 April to 4 May.
ParlaMint-NO_2001-05-09.ana.ud2047e708	I thank you for your answer. It is clear, then, that the Council of State has instructed the Competition Authority to stop the investigation and postpone the consultation period. He has then stopped the ordinary job of the Authority, which is laid down in laws and regulations, and it is about taking care of important social interests. It is rare for a state council to do so, and there must be very important motives behind it. Then there are many questions. Who asked the Council of State to do this, who could benefit from the fact that the skepticism of the oil companies did not become known in the dispute over Kværner? If it was a mistake for the Competition Authority to ask the questions, another question could have been asked. My question to the Council of State is then: Is it common for the Council of State to intervene in such a process, in the day-to-day work of supervision, and was the motive, when the discussion around it went as it went, only that the process could disrupt the discussion?
ParlaMint-NO_2001-05-09.ana.ud2047e717	To the last question I have to answer an unconditional yes. We have no intention in the ministry, nor do I as the Minister of Administration, nor the Government, of giving any kind of view in connection with such an important process as this, where it is the shareholders who are to decide whether to set up a board for a business meeting in such a way as to achieve certain objectives. This is not a government question. What is a matter of authority is the ex-post assessment of the actual process and its competitive significance. The assessment of the Authority of any merger would be a matter for the Competition Authority to decide entirely on an independent basis. It will then be up to the parties to appeal against a decision of the Competition Authority. I stress once again that what was my ambition and my intention was just to avoid speculation that the authorities had specific interests. That is why we postponed the consultation period.
ParlaMint-NO_2001-05-09.ana.ud2047e724	Now the situation is that there has been a decision that was of such a nature that I think we should have celebrated it as if our country team beat Brazil in football. But according to the media, there can be a new round of Kværner’s future relatively soon in the general meeting. Smoking isn't going to go away, says the media. The skepticism of oil companies is now confirmed. And the Competition Authority is then going through the authority process that the Council of State is now saying he should not intervene. Oil companies believe that competition is being weakened, that our base is becoming more expensive, and that Norwegian jobs can thus be lost. The current knowledge of the Competition Authority will be important – according to the Council of State, disturbing – also at the next crossroads, i.e. in the General Assembly of Kværner. Will the Council of State, on the basis of what he has done in the past, instruct the Competition Authority to lock in the statements and scepticism of the oil companies to the merger that may occur?
ParlaMint-NO_2001-05-09.ana.ud2047e729	Of course not. Competition supervision also acts as advisers in a number of contexts. It will never be the case that the Competition Authority gives any kind of prior commitments, either positive or negative. However, the Competition Surveillance Authority will provide a preliminary response in any context, if actors turn to the Competition Surveillance Authority and ask for their assessment of special dispositions, without obliging the Competition Surveillance Authority to face any objections in the future. That will continue to be the situation, and the Competition Authority will deal with those questions and enquiries on an independent basis.
ParlaMint-NO_2001-05-09.ana.ud2047e734	So we go to question 10.
ParlaMint-NO_2001-05-09.ana.ud2047e740	This question, from the representative John I. Alvheim to the Minister of Social Affairs, will be answered by the Minister of Labour and Administration who directs him.
ParlaMint-NO_2001-05-09.ana.ud2047e743	I will then be asked the following questions to the Minister of Labour and Administration: «A recent study by the Norwegian Fire Protection Association reveals a serious failure of the fire protection system by a significant number of care establishments in the country. It is also clear from the report that a quarter of our health institutions have had fires in the last year, and in some cases with a serious starting point. What will the Council of State do to improve the fire safety of public care institutions?’
ParlaMint-NO_2001-05-09.ana.ud2047e752	Fire protection in institutions, both public and private, is primarily a responsibility for the owner of the institution. Satisfactory fire protection must be a measure for the owner of the care institution in line with, for example: good care, hygiene and well-being for patients. Fire protection in nursing institutions has for a number of years been the focus of fire protection authorities. The legislation imposes strict requirements on the fire safety of buildings where there is a greater number of people and where fire can lead to more than a general risk of loss of human life. Nursing establishments belong to this category of buildings. The owner himself must work actively and continuously to improve fire safety. The fire service is set to supervise fire safety. Such supervision shall be carried out once per. years. Fire protection authorities may impose obligations on owners to implement measures and pursue them through coercive measures. Otherwise, there is continuous work to evaluate whether the current legislation is satisfactory. Among other things, special fire investigations are carried out. to identify any legislative weaknesses or other factors which the authorities must follow, such as enhanced and improved supervision and requirements for sprinklers, which are at the top of the list in this type of institution. Recently St.meld became. No 41 for 2000-2001 concerning fire and explosion protection submitted to Stortinget. It provides a broad range of fire protection areas, including a discussion of the need for stricter requirements for structural and fire technical measures in features with major-accident potential. I expect that the material presented in the big news gives Stortinget a good opportunity to discuss different measures to reduce the fire risk of our institutions.
ParlaMint-NO_2001-05-09.ana.ud2047e767	I thank the Council of State for the answer. Hospitals and nursing institutions need to have the most stringent fire safety requirements, since a fire in hospitals, and especially in nursing establishments, can be disastrous due to the physical and mental condition of patients. Head of Division Thor Kristian Adolfsen of Norsk Brannvern The Association states that the legal knowledge of the local fire department is not good enough, and that the head of the fire department in the municipalities has problems in making the necessary demands for their own employer, who is the municipality. Will the Council of State ensure that the Directorate of Fire and Explosion Protection is strengthened in relation to local fire surveillance to ensure that the expertise is in place and that they do the job they are to do, regardless of the fear of represals from their own employer?
ParlaMint-NO_2001-05-09.ana.ud2047e778	This issue is mentioned in the Storing Communication – and devoted wide space. It is quite obvious that the Ministry, through the Directorate of Fire and Explosive Protection, will work intensively to increase the quality of Fire Safety and to ensure that the combination of the municipalities as well as the owner of the Fire Service and of certain buildings does not lead to unnecessary supervision and necessary instructions being carried out. But I can mention as an example that in the terrible fire at Hovseter's home, the police have, even though no one could be loaded into the Hovseter's home for the fire itself, concluded with a fine because the owner has not followed up the necessary oversight instructions given during inspections. That's the way I think it should actually work. The focus and priority shall be given to fire surveillance and those to supervise, irrespective of who is the owner, and there shall be no opportunity for municipalities to disregard any obligations arising from their own fire services.
ParlaMint-NO_2001-05-09.ana.ud2047e785	Once again, I thank the Council of State for the answer. The so-called municipal autonomy must not be so engrossed as to compromise the fire safety of hospitals and nursing institutions. I think we all have to agree on that. Could the Council of State agree that the local fire-protection officer should be entrusted with the same authority as the main protection officers have in enterprises and businesses, so that, like the main protection officer, the fire-protection officer could impose directly without creating problems for the same fire-protection officer in relation to the employer?
ParlaMint-NO_2001-05-09.ana.ud2047e794	In my opinion, in the current Fire Act, it is quite certain that the local Fire Service can actually impose a stoppage on the operation if the activity is considered to operate contrary to the directives and fire protection regulations that exist. The local fire service has an obligation under the law to allow the consideration of residents of institutions, residents of single dwellings and workers in enterprises to take precedence over the consideration of the owner. In fact, I believe that the law today is so strict that it could be imposed automatically without any risk of any representations from the owner. If that were to happen, I would like to agree to sue the owner in order to know such a reprisal invalid.
ParlaMint-NO_2001-05-09.ana.ud2047e804	This question, from Harald T. Nesvik to the Minister of Finance, is raised by Lodve Solholm.
ParlaMint-NO_2001-05-09.ana.ud2047e807	On behalf of Harald T. Nesvik, I would like to ask the Minister of Finance the following questions: ‘No deductions are made for the purchase of motor caravans registered as lorries for industrial use. Motor caravans with large cargo spaces and overnight accommodation can be a suitable means of functioning in industry. Many suggest that several Equations Offices and County Tax Offices have accepted a deduction from the input VAT on the purchase of motor caravans for industrial use. Will the Council of State take the initiative to amend the legislation so as to provide a clear basis for granting such a right of deduction?’
ParlaMint-NO_2001-05-09.ana.ud2047e816	Under the VAT law, there is no right to deduct from input VAT the value added tax on goods and services used exclusively for the transport of persons, including acquisition, maintenance, use and operation. It also applies to establishments registered in the VAT staff and therefore does not entitle the acquisition of a passenger vehicle for use in taxable activities to deduction. What should be regarded as a passenger vehicle is further defined in its own regulation of the VAT Act. Motor caravans are considered a passenger vehicle in this context. In that case, the right of deduction for the inward charge is generally curtailed, even if the vehicle, in addition to the passenger transport itself, is used for the transport of goods and the overnight accommodation. The acquisition of a lorry for use in taxable activities entitles to deduction of input VAT, provided that normal use for the transport of goods is made. The Ministry does not know that in practice the deduction of input VAT from the purchase of camping cars has been accepted in contravention of the rules mentioned herein. I would like to stress that the VAT is a consumption charge. The abovementioned provisions are intended to abolish the right of deduction for input VAT for the acquisition of a consumption-like nature in the context of taxable activities. Other countries have similar provisions, such as Sweden. I cannot see that there is a basis for extending the right of deduction for acquisition, etc. of passenger vehicles, including caravans. In this context, I also point out that these provisions were continued in the context of Stortingen's treatment of the VAT reform. I would also like to draw attention to the fact that the tax law applies to other rules regarding the deduction of costs for a car in industry.
ParlaMint-NO_2001-05-09.ana.ud2047e833	I thank the Council of State for the answer; I am of course disappointed about it. One sees that the motto of the Workers' Party stays up: with taxes, taxes and public intervention, we should become weighed down. If you buy a truck with lockers and sleeping places and perform the same service – I know one who has such a camper – everything is fine. And when a camper can be registered as a truck, I don't see the problem here, because we don't have the ability to treat it the same way. The Council of State then says that VAT is a charge on consumption. Can the council then explain to me how the use of a camper registered as a truck for the transport of goods and as a bus space is consumption, while the use of a truck for exactly the same purpose is not?
ParlaMint-NO_2001-05-09.ana.ud2047e842	I just want to point out what I said in my main response, that if you buy a truck for a fee-paying business, it gives it the right to deduct input VAT, provided that it is normal use for the transport of goods. The key question here is, of course, the question of goods transport and industrial activity.
ParlaMint-NO_2001-05-09.ana.ud2047e847	The Council of State also states that the Ministry does not know that there may be a discrimination between individual tax offices. We're in the middle of a statement that it's likely that this will happen, because this may be a question of judgement. As the legislation opens up the possibility for a motor caravan to be registered as a lorry, it is not so difficult to understand that a discretionary decision by some offices will then be that yes, ok, when a motor caravan is registered as a lorry and may be in accordance with the legislation, perhaps also the motor caravan in commercial activities should be assessed in the same way as a lorry. It is only then to note that the Council of State is not willing to change this, to facilitate the development of jobs, so perhaps others will have to do so.
ParlaMint-NO_2001-05-09.ana.ud2047e854	I would just like to stress in general that there are many particularly difficult limitations in VAT legislation. Here we are facing one of them. I have also shown that it is not known from the department that in practice an in-depth VAT reduction on the purchase of camping cars has been accepted in contravention of the rules that I have explained here.
ParlaMint-NO_2001-05-09.ana.ud2047e864	I will ask the Minister for Finance the following questions: ‘The countries most active for exports to Norway of the greenhouse product during the Norwegian production period, e.g. Denmark and the Netherlands, have comprehensive exemption schemes for energy taxes and also agreements on energy saving measures. In Norway, the greenhouse industry has had a marked decrease in income, among others. as a result of a high oil price. Will the Council of State take initiatives to ensure a more stable and predictable framework for this industry?’
ParlaMint-NO_2001-05-09.ana.ud2047e873	Let me first show that the general framework conditions of the greenhouse industry and the development of income are largely regulated by the agricultural agreement. Agricultural organisations have the opportunity to address issues related to the framework conditions and income development of this industry in the negotiations with the country. Since the agricultural negotiations between the organisations and the state are now under way, as I know, I do not think it is right for me to address specific questions that are now being debated. The representative Meltweit Kleppa refers to the framework conditions of the greenhouse industry in other countries. I would like to remind you that the Norwegian greenhouse industry is essentially delivering products to the domestic market. By practicing import protection at some very high customs rates, the industry is largely protected from competition from other countries. For many products, customs duties are set in order to comply with the provisions of the agricultural agreement on target prices. This includes, inter alia: compensation for overall higher costs and lower efficiency in Norwegian greenhouse industries compared to the greenhouse industry in other countries. Since many products in this way are largely protected from foreign competition, it is not particularly relevant, in my opinion, to see this issue in relation to the competitive situation with other countries. The representative points out that the greenhouse industry has suffered adverse income trends as a result of high oil prices. However, high oil prices generate increased real economic costs that affect all uses of petroleum products. The fee for fuel oil proposed and introduced in 2000 by the Bondevik government has, among other things, intended to prevent an increase in the electricity charge from providing a transition to an increase in the use of oil for heating purposes. Only the three processing, herring and fishmeal industries are exempt from this levy. These are industries which, unlike the greenhouse economy, are highly competitive. In addition, the growth industry has a good tax framework. The industry is exempt from the electricity charge and has a higher depreciation rate for operating buildings than for other buildings. In addition, the greenhouse industry is also subject to other specific tax rules applicable to agriculture, including: the specific deduction from entrepreneurial income and lower social security contributions.
ParlaMint-NO_2001-05-09.ana.ud2047e882	I thank you for your answer. This is about reduced revenues, and it is about a weak competitive situation in Norway. For an oil-only tomato/gurgatory crop, the price rise from 1998 to 2001 is 103 pst. The increase in costs due to increased oil prices is estimated by the industry itself to be NOK 110 000-120 000 per year. annual work. This may be called an accidental effect. I assume the Minister of Finance agrees with me on that. The growth industry, as the Council of State says, has an exemption from the electricity charge. The basic fuel oil charge, which is introduced to prevent the transition to oil as a result of increased power prices, thus frames users who do not have the possibility of such a transition. Will the Minister of Finance take a closer look at the situation that the industry itself is now doing?
ParlaMint-NO_2001-05-09.ana.ud2047e896	I record what the representative here says, and I also record the views that have come from the industry. In general, I would like to underline what I said in my initial reply, that the agricultural industry has the opportunity to address issues related to the framework conditions and income development of the industry through the negotiations with the state, and that it is a natural place to address these kinds of questions. The second is, as I also pointed out, that the fuel oil tax proposed and introduced in 2000 by the Bondevik government was intended to discourage an increase in the electricity charge from providing a transition to an increase in the use of oil for heating, and thirdly, that the industries with such an exemption are highly competitive and in a somewhat different situation than that of the greenhouse industry. However, I will take with me the views that the representative here is going to take, in the further consideration.
ParlaMint-NO_2001-05-09.ana.ud2047e905	When it comes to the competition situation in Norway, let me say that the industry itself has a different opinion. But I'm glad that the Minister of Finance also says that he wants to take these points back. I find reason to remind you that for the first time in history there was a section on gardening/ horticulture — and potatoes — in the treatment of the agricultural message last year. There is something that the Minister of Finance should pay attention to. A collective committee says: ‘The Industry Committee considers that the industry continues to have the potential for further development and production, value creation and employment. The Committee would therefore point to the need for instruments that provide optimism and investment incentives.’.» Then, following the finance minister’s proposal, the Storting has now in 2001 aggravated the situation when it comes to fuel oil taxes and, therefore, to a decision outside the agricultural negotiations. I ask the Minister of Finance to follow up on optimism and investment.
ParlaMint-NO_2001-05-09.ana.ud2047e917	I must again be allowed to show that the reasons given by the government Bondevik in relation to the fuel oil levy were precisely that this non-discrimination compared to the electricity tax should not lead to a generally increased transition and that no exemptions were proposed for the greenhouse industry in the same way as for the woodworking, herring and fishmeal industries. Despite that, I notice, as I said, what the representative says, and take it back with me.
ParlaMint-NO_2001-05-09.ana.ud2047e925	I would like to ask the Minister for Health the following questions: ‘In 2000, 14 635 abortions were carried out. This is 356 more than the year before. The increase has been strongest in the youngest age groups, the highest since 1990. We are also aware that after the attack was non-prescription, there has been a sharp increase in sales of this, in the first 3 months an increase of 83 pst. What is the Government doing to follow up the action plan ‘Prevention of unwanted pregnancy and abortion 1999-2003’, which the central government presented?’
ParlaMint-NO_2001-05-09.ana.ud2047e934	It's true that last year it was done 365 or 2 1⁄2 pst. more abortions than in the previous year and that the rate of increase was greatest in the age groups below 25 years. Over the entire period we have this statistics for, i.e. However, for the last 22 years, there have been fluctuations between years. Health authorities monitor developments closely and constantly assess whether specific trends or causalities can be identified. In general, care should be taken to attach too much importance to individual observations in such a context. Action plan on the prevention of unwanted pregnancy and abortion is followed up by the State Health Authority and the Ministry of Social Affairs and Health in the same way as under the previous government. Substances that are given particular attention in the implementation of the action plan include: measures that contribute to strengthening young people’s sexual security of good knowledge of sexuality and prevention local, easily accessible health services for young people, easily accessible to prevention; There are a number of ongoing measures to prevent unwanted pregnancy and abortion that can help to strengthen boys and girls’ ability to set borders. This work is directed by the school, the health centre for young people, school health services, organisations and teams, and I attach great importance to this work. Centrally, the Department follows up the following actions: the SUSS telephone is a youth counselling phone aimed at preventing unwanted pregnancy and abortion and the Sexual Health Phone is a service for adults. In cooperation with the Ministry of Church, Education and Research and the Ministry of Social Affairs and Health, the Educational Centre develops guidance material for teachers for the teaching of togetherness, sexuality and prevention. The guidance material will be distributed to all teachers in secondary school before school starts in the fall. The project ‘Tests on community life and prevention guidance in municipalities 1997-2000’ is part of the final phase. The aim of the experiment is to increase the availability, to strengthen information and guidance on and to increase confidence in pills such as safe contraception through the right of prescription for healthcare sisters and midwives and in the case of free distribution. The results of the project will be published in the near future. It is important to follow closely the trend in abortion among young people in order to counteract adverse trends. Increased abortion rates among the youngest in some counties are to be taken seriously and the special efforts made in relation to teenagers and young adults in the counties are to be continued.
ParlaMint-NO_2001-05-09.ana.ud2047e964	I thank you for your answer, but I will follow up. One thing is that one cannot take the swings as seriously as the minister answers, but when we see that there is a strong increase in the younger ones, I thought we should take it as a precaution. It's simply the most vulnerable group. Now we've actually given more information, we've made the contraception more accessible, we've done a lot of things to get the number of abortions. And those who want the attack to be non-prescription have said that if it does, it will lead to fewer abortions. But when we see that it doesn't happen, my question is, how much weight has actually been attached to the ethical dimension of the prevention and abortion counseling? One thing is to get answers to techniques and what one can use to not get pregnant, but the other that one must also pay attention, especially to the younger ones, is the ethical dimension: to be able to stay out of it, to have a grip on it – not only that the prevention should be available, but also that a focus on ethical matters.
ParlaMint-NO_2001-05-09.ana.ud2047e973	I want to go back again to my answer to the main question and say that the follow-up to the action plan on which it was asked happens according to the same guidelines and with the same effort as was the case under the previous government. I fully agree that when you get single observations as in this case, there is every reason to take it as a warning and follow developments very closely to see if this can be an expression of a trend that is not desirable. What I meant to say is that you might want to be careful to draw conclusions about trends or causalities based on individual observations. I would also like to say that it has been relatively short of time from the pill that this is about – the emergency prevention game – was approved for non-prescription sales, until you have the observations that are shown here. I believe that it is too short to draw any clear conclusions on causality. But I would also like to say that the ethical aspects of this work are very important.
ParlaMint-NO_2001-05-09.ana.ud2047e982	The action plan also focuses on research into the prevention of unwanted pregnancy, including in particular: Norway’s Research Council’s Research Programme, Preventive Health Work, for the 1997-2000 programming period. Has the government gained new and useful knowledge through this work that can be used as a basis for preventive action in the future? That's the one part of my question. The other one is that we may have two ways to look at preventive work. One is to prevent pregnancy, and the other is to prevent abortion when pregnancy is a fact. Then I would like to ask the Minister of Health to answer whether the Government will ensure that good guidance is available in the future, and that one does not add up to a cut, for example. in the voluntary provision we have when it comes to aid and support for unwanted pregnant women, simply an alternative to abortion in Norway. The budget proposed by the Government for the last time was cut quite drastically. We were able to fix these cuts again and more. Could the Minister at least be a spokesman for this organisation to keep its support?
ParlaMint-NO_2001-05-09.ana.ud2047e987	I feel so absolutely responsible for ensuring that good guidance is given in these areas. I can confirm that, without allowing me to go any further into the budgetary implications of that. However, it is a clear responsibility to ensure that good guidance is provided both in the prevention of unwanted pregnancy and in the general context of abortion. With regard to the first question, what knowledge or conclusions can be drawn from the research that the representative here refers to, I just have to admit that at the moment I do not have an overview of what gives me the basis for giving an adequate answer. So I have to get back to that.
ParlaMint-NO_2001-05-09.ana.ud2047e997	I will allow myself to ask the Minister for Health the following questions: « State health surveillance considers the state of the school health service to be critical, according to the Evening Post on 26 February 2001. Reports from county medical practitioners reveal violation of laws and regulations in 63 pst. by the municipalities surveyed. The political leadership of the Ministry of Social Affairs and Health would not comment on this information at the time. What does the Council of State think should be done to strengthen school health services in both primary and secondary schools?’
ParlaMint-NO_2001-05-09.ana.ud2047e1006	The preliminary reports of the supervision of the school health service, published in the Evening Post on 26 February of this year, were taken up in the Questionnaire on 7 March by the representative John Alvheim. I commented on the facts that had been revealed by this supervision. The final report of the State Health Authority has not yet been completed and transmitted to the Ministry. It is planned to be available in the near future. In a preliminary report by the State Health Authority, from the joint supervision of school health services by county doctors in 60 municipalities, it is said, among others.\t\t You can change the settings of the grid. \t\t \t ‘Surveillance shows that most municipalities offer school health services. The municipalities prioritise school students in primary and secondary schools. Most of the shortages are in secondary schools where the offer is absent [[10 municipalities]] I quote: ‘It is also apparent in some municipalities that their own evaluation and reporting do not lead to changes despite the awareness of regulatory infringements. The deficiencies identified in the supervision will be followed up by the county doctors.’» School health services are governed by local health law and by regulations on health services in schools. The school health service is a municipal responsibility and is financed through the framework appropriations for the municipalities. Health promotion and prevention for children and young people is a focus of the Government. The main national health centre and school health initiatives are as follows: 1st@item: inlistbox The action plan for mental health 1999-2006 is intended to be central to the development of health centre and school health services, especially in the field of youth provision. In order to increase efforts in the psychosocial field of health station and school health services, the State has earmarked funds for these services during the planning period of 800 annual works.2. National Cancer Plan 1998–2003 proposes a total of 100 million. to strengthen the local involvement of municipalities in the prevention field of diet, exercise and freedom of smoke, the planned period as a whole. Some of the funds are distributed between the State Tobacco Injury Council and the State Nutrition and Physical Activity Council. Work on children and young people in the field of nutrition, exercise and smoking is followed up by prevention advisers at county medical centres. In municipalities, health station and school health services are important actors in this field.3. In the Action Plan for the Prevention of Unwanted Pregnancy and Abortion 1999-2003, it will be made available annually for approx. Ten million. kr such as, inter alia: shall go to municipal projects by strengthening the provision of services at the youth health centre, prevention guidance and multidisciplinary and cross-sectoral cooperation with the school health service.4. ‘Head of Health Station and School Health Service’, which was sent to all municipalities in 1998, is intended to increase health promotion and primary prevention efforts in a way that has a positive effect on the health of children and young people. The overall objective of the activities is to support the municipalities in the desired conversion and the continuous quality improvement work of the health centre and school health service.5. In the field of training, dissemination and research, the State Institute for Public Health has competence in these key areas of health centre and school health. Furthermore, the State Institute for Public Health develops methods of knowledge management and disseminates research-based information and knowledge to relevant users in municipalities.It aims to build up the environment of competence, to strengthen multidisciplinary provision of continuing training in health promotion and prevention, and to focus on children and young people and the health and health services in, among others. «Prevention health research programme» by the Norwegian Research Council. Finally, I would like to say that the report by the State Health Authority will contain concrete proposals for the follow-up to the supervision of the school health service. Further action towards municipalities will be assessed in the light of this final report and the proposals it contains, as soon as it is available.
