ParlaMint-NO_2001-11-15.ana.ud687e26	The representative of Ola D. Glötvold will make a private proposal.
ParlaMint-NO_2001-11-15.ana.ud687e349	Yeah, that's right. Everyone must take responsibility for the positions they take in difficult situations. I am amazed that a man as sharp as Blankenborg can already be so sure that the acts of war carried out against Afghanistan can be summed up as successful. What is now on the ground in Afghanistan are many reasons to be very concerned about. It is a feared vacuum in relation to human rights and the current situation of the civilian population, but it is also extremely unclear how an alternative to the Taliban can be established. It's also paradoxical that most of those who did the terrorist acts against New York and the Pentagon have not been trained in Afghanistan. They do not have their background from Afghanistan, nor have they been in favour of Afghanistan. This is a kind of terror that's spread in networks around the world, and it's hard to see that you can pull it up with the root, as Oddvard Nilsen said here earlier today, by bombing in Afghanistan. We fully agree that the Taliban regime must be overthrown and replaced in Afghanistan – for several reasons, because they live in bin Laden, but also because it is a oppressive regime. So the question is, how do you do it with the least civil suffering possible? Now it seems that the Taliban's uprising among the pashtunes is about to crack. We think you would have come further if you had gone in massively with humanitarian aid to build up what could have been an alternative, and all of us know that it means building an alliance that also includes the population group that the Taliban has largely seized.
ParlaMint-NO_2001-11-15.ana.ud687e356	There shall be serious grounds for defending the use of military action. In contrast to the Socialist Left, a broad majority believes that the documented link between the 11 September terrorist attack, bin Laden’s network and the Taliban regime in Kabul necessitated military action and bombing in Afghanistan. I note that SV still does not have the power to explain to us what the options could be. The Afghan people were hard tried before the war broke out. A repressive regime was responsible for gross violations of human rights and legal certainty, which, together with poverty and drought, had sent millions to flee internally and to neighbouring countries. At the same time, this was the humanitarian crisis to which the world had largely turned its back. The serious victim of the Afghan people during the bombing must be weighed against the results, which, fortunately, we can now begin to sum up as follows: the Taliban regime is in decline. It provides the basis for a new political solution in the country. In that process, the United Nations must ensure the transition to stability and respect for human rights. Without Taliban protection, bin Laden’s network is more open to roll-up, and the world’s attention has again turned against the acute and long-term needs of Afghanistan. Continued efforts are required for humanitarian emergency work, for the construction of the country, for the security of the political solution and for systematic action against the root causes of terrorism. Through its leadership role in the Afghanistan Support Group in 2002, Norway will have a special opportunity to make targeted efforts. We do this with motivation, with strength and great respect for the people involved, and for their culture.
ParlaMint-NO_2001-11-15.ana.ud687e365	It must be allowed to point out in this debate that the reasons for the actions taken in relation to Afghanistan have changed both from the United States and in the Norwegian debate along the way. So it wasn't to run the Taliban that was the starting point. The starting point was to find and pick up bin Laden and strike back the terrorists. Then you've changed the reasoning along the way. I have to say I'm impressed if you can be so sure that you've now brought the world forward and forward. The lesson you have to learn from what happened in this area before is: first, you have to take responsibility for the fact that the United States itself has recruited and trained these environments. Secondly, this kind of action cannot be initiated without having a special look at the whole region, and at what else you can recruit from fundamentalists. And that must be said, in the Norwegian debate and otherwise. That's not a special point that SV has. These are just discussions that I expect to take place, at least behind closed doors – if not really scary. And it's taken up in many conversations and referred to in many conversations with those who dare to say their heart's opinion to Powell, or have their own heart's opinion when they meet American authorities. And I would like more people in this big business to take responsibility for it.
ParlaMint-NO_2001-11-15.ana.ud687e375	It always surprises me that Kristin Halvorsen still points out that it is the U.S. that has taught bin Laden and his associates about terrorist actions. I guess that doesn't excuse the fact that they've gone to acts of terror. Otherwise, I think Thorbjørn Jagland made a good contribution here today, and I fully agree with what he says, and in his views. But in a line to Jagland, Kristin Halvorsen used the expression about him that he was “fast” and “screamproof”. If someone in their comments and opinions about the action in Afghanistan has just been quick and sloppy, it is SV – and in my opinion, it has made such a serious mistake. And it doesn't surprise me that SV, after it now seems like the action in Afghanistan is successful, is constantly trying to divert attention by constantly talking about other things. The humanitarian situation in Afghanistan is one thing, and we agree on that, but they are still trying to talk about outside things, including. They're withdrawing the United States' payment to the United Nations. The U.S. has now started its payment, although it is well late – we can agree on that – but they have at least perceived this as being time to settle. So that action is going on. I see this as an attempt by SV to divert attention away from the complete misinterpretation of what has happened in Afghanistan, which is just SV. And then I have to ask: is SV still saying that the bombing in Afghanistan was wrong in order to achieve the goal? And so on: NATO has played a central role in this action. What is SV's attitude to NATO now, and will they follow up their program to shut down NATO?
ParlaMint-NO_2001-11-15.ana.ud687e384	I guess it's true that I used the term "screamproof" about Jagland, and I think that was actually a little too strong. So if I can withdraw it, I'll do it immediately, for he was more reflected, especially in relation to the situation in Palestine, than such a term covers. Then I have to say that the Progress Party has nothing to learn about international policy. If you think it's talking about something else to underline the long-term gambling by doing this kind of action, then I really have to say that I should hope that the party's representative lived on a different globe than mine. It is precisely this situation that we have a responsibility to manage, namely that what we do in the short term makes sense in the long term. And that's exactly what's failed so far, and that's why you're standing up in this situation. Then it must be in place to emphasize how short-sighted one has had in the past, and what is the reason why one can recruit people to terror, which is so fanatical that they neither fear their own lives nor cherish the lives of others. This is exactly what makes the spiral of violence and the fear of terrorism in the world have taken a new turn. It's hard to see how to defend yourself against people who don't live their own lives or take others into consideration. It's just the kind of action that can be performed with bestial outcomes. And they don't even need very advanced weapons. The planes that crashed into the World Trade Center were hijacked with toll knives and wallpaper knives. Then bombs are not a simple answer to that. Then you just have to have that perspective all the time: how do you prevent recruiting to these kinds of environments? That is the only thing that can fight terrorism in the long term.
ParlaMint-NO_2001-11-15.ana.ud687e394	The population of Afghanistan has been oppressed by brutal war and has had a dramatic humanitarian situation over the past 22 years. Now we see a stream of hope for a new political development in Afghanistan. The situation is still unclear, but it appears that the Taliban forces have now collapsed as a shorthouse across large parts of Afghanistan. Time and again, Kristin Halvorsen has stated that every day it is bombed, the Taliban is strengthened. She believes that the bombing increases terrorist support and strengthens the Taliban forces. The last time we stood up in a situation of bombing, by Serbia, Kristin Halvorsen supported the bombing, but she got to undergo quite strongly in SV for it. However, the military actions were very successful and have now resulted in a halt to the murders in Kosovo. And Milosevic is in The Hague accused of war crimes and crimes against human rights. At that time, the bombing was defined by the UN Secretary-General as in international law, but no decision was taken in the Security Council. This time we see the widest alliance we've probably ever had in world history, an alliance where Iran and Libya are shoulder to shoulder with NATO, the United Kingdom and the United States. The bombing has been under international law, we have decisions from the Security Council and decisions in NATO under Article 5, and it has been very successful. Kristin Halvorsen's vision bears the mark that she has never sat in government and does not think through the consequences of her actions. She believes that the actions should be stopped now. But what kind of message is that to Osama bin Laden? Will he continue to operate freely in planning and carrying out more cruel acts of terror? On September 11th, that was the fourth time he struck. He has enormous resources. I must also ask Kristin Halvorsen the question that she was unable to answer in the evening post: Was it wrong to bomb? Three times the Evening Post journalist asked that question, and Kristin Halvorsen, who is usually reasonably prepared, could not say that it was wrong for the United States to bomb.
ParlaMint-NO_2001-11-15.ana.ud687e403	Yes, I think it was wrong to start the bombing of Afghanistan, and I think it was right to demand a bomb stop. I believe that the situation that is now in Afghanistan is very inconceivable. It is not right that the Taliban is strengthened. On the contrary. They're obviously very weakened. But what's the situation on the ground, the way in which you can put in place an alternative regime, and the way in which you can ensure law and order and that this country is not once again raging into civil war, is a very demanding task for the world community. And at least that requires one thing: that you keep this in focus and take responsibility for many, many years to come. Then I am amazed that Lars Rise – who has a good knowledge of the Pakistani environment in Norway and Pakistan and of the conflict in Kashmir – does not see what you can also gamble with in relation to instability in the region, in relation to recruiting new conflicts, and has no sense of thinking in the long term and asking questions about getting this back on a different and new and perhaps more brutal way in the future. In fact, no one else has so far asked that question in the debate. Have you now done actions that allow bin Laden to recruit more people who are willing to carry out the kind of extreme terrorist actions that we saw in New York and the Pentagon, or haven't you? Is the world prepared to focus on human rights and democratic development in other countries in order to prevent it from happening, or has it now faced such a situation that it helps to increase recruitment to terrorism? You actually don't know that.
ParlaMint-NO_2001-11-15.ana.ud687e410	Kristin Halvorsen quite rightly states that the situation in Afghanistan is unclear. Therefore, it may be difficult to be non-slip. But it gets a little weird when one was so sloppy in a period when one actually almost didn't know anything about the situation inside Afghanistan. Then the suggestions were as crystal clear from SV as they are now. That's why, once again, I want to give Kristin Halvorsen the opportunity to reflect on his own suggestions, not only on the suggestions of others – let's just say that SV was against a military action starting – but the consequences of stopping the military action in the process. What would that lead to? Would this mean that the situation in Afghanistan would have improved for those who live there? Well, that's all that's going to happen, isn't it? Would this lead to a more effective fight against terrorism? This could have given us more terrorist actions if one had stopped along the way. And as Kristin Halvorsen says, the Taliban regime was not the target of this in itself. It was a goal because they covered the terrorists. This regime is now disappearing. This will also remove the protection of terrorist groups and terrorist groups. Then we're going to work together in the long term along the targets that Kristin Halvorsen mentions. But at least try to see if there's a string of hope for people in Afghanistan, just as a product of what's happened lately. I'm pretty sure there's a lot of uncertainty. But is it possible to see a ray of hope after what has now happened? Is it possible to see that a stop along the way might have resulted in us having been given years with the same terrorist regime in Afghanistan, the same protection of international terrorists for many years to come, that it would be a consequence of the proposals put forward by Kristin Halvorsen and SV? I ask because SV is a big party, which also has to reflect and take the consequences of its own proposals, not just discuss the consequences of others' proposals.
ParlaMint-NO_2001-11-15.ana.ud687e417	I don't know if it's me that's sloppy and Blankenborg that's questionable and reflective or if it's the other way around, or maybe we're now showing up with the strongest arguments you have on both sides. I guess I don't think we're inviting to discuss with open doubts. Anyone who sees how it can be interpreted, you can read the Evening Post of yesterday. I'm more convinced now than when the bombing started that it could be wise to take a bomb stop and try to get a humanitarian solution in place. For the Taliban, when they were first pressured, they have appeared to be weaker among the pashtunes than it could be while it was going on. A large number of humanitarian organisations were despondent and demanded bombing to obtain humanitarian aid. Very soon winter is around the corner. If we succeed in making an alternative to the Taliban regime, it depends a lot on whether the Taliban has a population of its own. If there is going to be continued gerlia war in Afghanistan in the future, it will depend on whether the Taliban guerrilla receives support from the population. They have fewer players from outside than before. If they do not have support for the local population, they have a much worse starting point. And I think that would actually be a better starting point than if you hadn't.
ParlaMint-NO_2001-11-15.ana.ud687e424	The cord shift is over.
ParlaMint-NO_2001-11-15.ana.ud687e427	I have to say that I have heard the representative Kristin Halvorsen argue more eloquently for things than she did now in the last round, but it was of course a subjective opinion from my side. It's a pleasure to have such a broad dissension about the nuanced and good figure that the Prime Minister had last week. There have already been major changes on a week, but the distribution is because it was nuanced and long-term. Of what has happened to events, there is also an air crash in New York. It showed us how to fear ourselves. In Afghanistan, on the other hand, it now appears that we are closer to a political solution: a stream of hope is lit. No solution in a situation that after 11 September has been simple. There are many reasons for doubt. Just as well, the military developments in Afghanistan in the last few days show that the bombing has worked so far after that. Bombing was a controversial solution, but it was necessary – there was no other credible alternative. Terrorism, however, is about much more than defence, technology and money. For me, it's natural to focus on the humanitarian. Terror is a deep threat to the individual, to civil society and to fundamental values such as freedom and security. The very tense situation in Afghanistan calls for large-scale humanitarian aid. Mary Robinson is now appealing to the world community. Here we go! We must act quickly to avoid a humanitarian disaster in Afghanistan before the very cold winter sets in. World society follows the situation closely, and must, among other things. the need for a new regime in Kabul to build on human rights and to represent the many different ethnic groups in the country. The UN must play a central role in the establishment and construction of a new governance set. Coordination and long-term viability in reconstruction will be at the heart of the work when Norway takes over the leadership of the Afghanistan Support Group in the new year. The Minister for Development is now in Pakistan, on the border with Afghanistan. She has already visited some of the camps for Afghan refugees, and told of strong impressions. We must now take seriously the injustice that has been some of the germ of the attack. The suffering we see in Afghanistan now is more an explanation of what has created the desperate acts of terror than a consequence of the bombing. The example of Afghanistan shows the need to distribute resources from rich to poor countries. What we need are holistic strategies that are based on a globalised and at the same time vulnerable value. Aid, trade and debt are the most important pillars here. The fight against poverty and humiliation is the most important fight we're in. Let's never lose sight of it. Fortunately, the new situation in Afghanistan increases the possibilities for receiving aid missions and assistance in the country. Among other things, there's a base in Uzbekistan to do this. In the Ministry of Foreign Affairs' budget, the Government has proposed to increase the level of commitments to areas on the way out of serious humanitarian crises up to 345 million. kr. Norway is providing 80 million in addition. kr for humanitarian action in Afghanistan. Over half of this amount goes to the United Nations. So to a completely different thing that settles the same thing. The dimension of life’s vision may not often appear to be visible in international policies. This may have serious consequences for the understanding of conflicts, including this one. Many in the West use too easily the concept of 'fundamentalism' when we refer to the Muslim world. Unfortunately, the necessary empathy is replaced by unclear enemy images. On the contrary, we must work to establish and improve the dialogue. This has to happen nationally and globally. Political solutions must also include dialogue on life's vision. Fundamentalist attitudes such as the fact that dialogue is a betrayal must be countered. Trust and respect — not mistrust — must be the starting point for science and fear. I find it sad to see that young Muslim children in Norway feel that they have downsetting characteristics related to their religion. I would therefore like to praise those who are behind advertising campaigns with posters such as «The world is not sweet» and «Not everyone happens over a comb». Let it apply to all of us. With their veils, some women are obvious in relation to their faith. For these, it is so important that we can distinguish between unscrupulous terrorists and all those who worship their religion in peace and patience. The distance between a peaceful Muslim in the streets of Oslo and a fanatical marine killer terrorist is endless. Even more innocent people must not be framed – none of us can afford it.
ParlaMint-NO_2001-11-15.ana.ud687e453	It's going to be line change.
ParlaMint-NO_2001-11-15.ana.ud687e456	We have now got there in the Afghanistan war that it should be stopped as soon as possible and move on to the perhaps most difficult piece: trying to help resolve the conflict throughout the region in the long term. In SV, we have a long list of measures that we believe in the long term could help resolve the conflict. One of them is the creation of a Palestinian state. The fact that the Palestinians themselves will have their own legitimate state is a prerequisite for peace in the Arab world. In addition, it could be the start of a democratisation process across the region. As has been said here before, the Arab countries are not known for too much democracy. There can even be a contribution to the democratic experience of Israel. I would like to ask the representative Lilletun how the Christian People's Party will use its position in the Government so that Norway will exercise influence beyond what we already do today, both in the United States and in Israel, so that the establishment of Palestine becomes one piece of a puzzle that can contribute to a new start for the whole region.
ParlaMint-NO_2001-11-15.ana.ud687e467	The representative Halvorsen said in an article that the first, second and third residents of this matter of terror were thinking about long-term. Here SV and the Christian People's Party are quite a few, long-term thinking is important. I hope that we can also be equal to some of the other bodas. When it comes to the question from the representative Jacobsen, I would like to reiterate that I do not fully understand what had improved in stopping the war – either before or now. Now one more has to go to the police forces. That one still needs armed forces in Afghanistan to prevent assault, I think we have to be a few, but I also believe we are going into a new phase in much of Afghanistan, at the same time as one might have to take the rest of the forces of the Taliban and bin Laden, and then there is a need for regular warfare. Therefore, it is not stopping an option. When it comes to the Middle East, it's obvious that there's a central area to win. And I'm glad that the representative assumed that there is only one democracy in the Middle East. That's easy for Israel. But at the same time, there must be a negotiated solution that both gives Israel safe borders and creates a democratic Palestinian state with human rights and with living conditions that can contribute to getting terror off the road. Therefore, I am pleased that the Prime Minister is already engaged in a close dialogue with the leaders both for Israel and for the Palestinian territories, and that the role of Norway will be continued. But I think it's right that Minister of State Melchior says that we also need to strengthen the religious dialogue in the Middle East, we should move on. It's one of the problems that we haven't solved it that far.
ParlaMint-NO_2001-11-15.ana.ud687e476	Several have not asked for the word for a line.
ParlaMint-NO_2001-11-15.ana.ud687e479	The situation in Afghanistan is, as many have experienced, incalculable. The dangers of civil war are present, and the law and order situation are critical. The dangers of this going wrong are still present. However, taking into account the evolution, it appears to be moving in a positive direction. In my five minutes, I will focus on five points that, in the opinion of the Centre Party, will be crucial to ensure continued positive development. Firstly, the Taliban regime seems to be collapsing, but no one is ready to take over the rule of the country. No one other than the United Nations will be able to establish an Afghanistan-based regime that ensures a unified Afghanistan. That's why there's got to be all sorts of weight in giving the United Nations muscles to solve this problem. It is difficult to see that this is possible without the deployment of a UN force in any form. This should be planned immediately and Norway should be the first to announce participation. Secondly, the UN's political work will be impossible if emergency work is not stepped up. 5.5 million Afghans need help over the winter. 50000 tonnes of food per day. week must enter the country. That's far more than what's coming in now. The government has to admit that the need for emergency aid is not covered, and that it is not useful to hide behind the fact that there is more emergency aid to the country now than before the bombing started. Thirdly, parallel to political work and emergency aid efforts, long-term reconstruction needs to be planned immediately and started as soon as possible. Past experience suggests that this must be done with sufficient respect for local organisations and structures. Afghans must not be deprived of the responsibility to build their own country. The reconstruction work must be led by the UN, but – and I can't stress this strongly enough – that the long-term reconstruction is led by the UN, does not relieve the West of responsibility. We must not, for the most part, make the loss again: roll the responsibility over to the UN, then forget the country just as quickly as the flashlights go off, and leave the UN in the grip of the problems and also the blame when things go wrong. NATO has financial resources for a military operation. Then, too, NATO countries have the means to rebuild and thus prevent history from repeating itself. Norway has to take responsibility for reminding NATO partners about this. Fourthly, diplomatic work on Afghanistan's neighbouring country needs to be intensified. It will be essential to involve the countries of the region in continuing international work and to ensure that neighbouring countries have a humanitarian rather than a political issue with regard to Afghanistan. Stability in Pakistan must be ensured in order for us to have a positive development in Afghanistan as well. Norway, inter alia as head of the Afghanistan Support Group, should definitely strengthen its diplomatic involvement in the region. And my fifth and final point is to emphasise the following: the fight against terrorism has not been won by the fall of the Taliban and possibly by the fact that Osama bin Laden and parts of his networks are being set up for terrorist actions. The fight against terrorism can only be won if we understand and recognise the underlying causes of terrorism. Work on creating a common international understanding of the causes of terrorism must begin. This is demanding and perhaps uncomfortable for some countries, but it has to be done. We are therefore repeating our proposal for a special session in the United Nations on terrorism, where this process can start cautiously. A start could clearly be the follow-up to UNSCR 1373, which is crucial in the fight against terrorism, but which very few countries will be able to follow up because they have neither financial nor administrative capacity.
ParlaMint-NO_2001-11-15.ana.ud687e497	It's going to be line change.
ParlaMint-NO_2001-11-15.ana.ud687e500	I'm actually written in all that Åslaug Haga said. I only have one comment when it comes to Norway being in the first row to contribute with a United Nations force. I'm sure we'll consider that when that day comes. I assume that then there are economic resources and not clusters, because there is perhaps a little more limited in relation to personnel – even the central party troops are fewer than before, so it can be impossible where it needs to be retrieved, and especially many other places are not too soon. I'm assuming that the Center Party here is talking about economic resources first and foremost. Then I've also seen in the newspapers – and it's supposed to be very careful – that the Central Party has thought that this military action should be stopped. Now nothing was said about it, so it's a good time. That is why I also thought that we should allow the Centre Party to be recorded here in the house that this is not actually the Central Party's position and does not have our Central Party's position, that the Centre Party is majoring the action and is now in favour of the long-term measures that everyone is aware of.
ParlaMint-NO_2001-11-15.ana.ud687e507	With regard to the first Blankenburg, on a United Nations force, I put it this way: ‘a United Nations force in some form or another’. There may be different types of effort the UN will have to put up with. There will be significant financial resources related to it, seafaringly, with which Norway should set up. I also do not exclude that it may be relevant with personnel in some form. So to the second question. I must tell the representative of Blankenborg that the Central Party has never asked for a final bombing location. What we asked for was a bomb break with the aim of ensuring emergency aid would enter Afghanistan. We were in a situation where the bombing had taken place for several weeks without any progress information. We knew that winter was approaching in Afghanistan too, and we knew that the emergency needs were great. At the same time, we saw that the public opinion related to the actions in Afghanistan fell dramatically, and it was not least related to the concern about the humanitarian situation. That's exactly why we thought it wise, also to maintain the popular upswing of the actions, that we took a break to get emergency help in. That was our reason for asking for a bomb break, and by the knowledge that we had at that time, I believe it was a wise approach.
ParlaMint-NO_2001-11-15.ana.ud687e520	The terrorist attacks against the World Trade Center and the Pentagon on 11 September showed us a new threat picture, where terrorists armed with hate and wallpaper knives put their lives in order to achieve their goals. The actions were cruel, innocent, and frightening all over the globe. The actions also showed us to the full vulnerability of our modern societies. The Vulnerability Committee, led by Kåre Willoch, presented its position last July. In this public investigation, the security threats facing our society are, in a thorough manner, discussed with a number of proposals for action. It seems clear to the Vulnerability Committee that invasion from the east is not the biggest safety challenge for this country in the coming years. In SV we share that view and welcome a genuine security policy debate. It can no longer be that we are going to spend all our resources on the defence budget for the purchase of expensive boats, expensive aircraft and other equipment intended for invasion from the east, when the threats are completely different and more complex, which we are now so painfully aware of. I would like to challenge the Central Party to take over this new debate and not just be part of the usual majority in this Chamber calling for more resources for the conventional defence – a conventional defence that is rooted in the idea of the cold war of the past and which does not sufficiently capture today's threat picture, where we, for example, are. to ensure one of Europe's largest food barrels and our vulnerable oil installations. I would also like to thank the support of the proposal for a special session of the United Nations against terrorism.
ParlaMint-NO_2001-11-15.ana.ud687e536	The centre party is primarily about recognising that we have a new security policy threat image. The challenges are many. They relate to what we have witnessed in later times, to terrorism. They are not least related to safety in relation to safe food. So here the spectrum is wide, and we fully recognize that. The new security policy challenges need to be met with instruments other than those we have traditionally done. There we are prepared to use funds both in relation to ensuring safe food, which I used as an example, and in relation to contributing to international regulation so that the causes of terrorism disappear as far as possible. I don't think it's wise to draw a direct link between what we're talking about now and the challenges we have in the more traditional security policy arena. We have been through a broad discussion in relation to the defence structure. There is a relatively broad political consensus about it in Stortinget, and we are also behind it. We believe it is fully possible, and that it is wise, in parallel, to maintain the defence, as it has been discussed in the Stortinget, and the Stortinget is behind, while being even more active than what we have been in some of the new security policy areas, where we have major challenges.
ParlaMint-NO_2001-11-15.ana.ud687e543	Let me first say that I agree with many of the points that Mr Haga has listed in relation to the further work now to help fill the vacuum of power in Afghanistan, to help stabilise the situation, and also in relation to the long-term work to combat international terrorism. However, as has also been shown, the Central Party is the second party that has considered that the Government should address the bomb stop or the bomb break on the basis of the humanitarian situation in Afghanistan. After all, it has gradually emerged from the United Nations and from other humanitarian aid organisations that it is primarily the Taliban and not the military actions that have prevented humanitarian aid from reaching Afghan needy victims. The Taliban is responsible for the plundering of UN humanitarian aid and also for the harassment of relief workers. I also think there is reason to dwell a little bit on what a demand for bombing would mean for the obligations we have in relation to NATO, and especially after we agreed in NATO that this was a situation that triggers the use of Article 5 of the Alliance, that is, the article that says that an armed attack on one of the parties should be considered an attack on all, and that solidarity in NATO means that one should assist the affected party. The centre party places great emphasis on the importance of NATO for our security, both during the Cold War and in the current security policy situation. So what does the Central Party think that NATO solidarity really means? Does she think that a demand for a bomb break would in some way be defended also within the solidarity of which we are part within the NATO alliance?
ParlaMint-NO_2001-11-15.ana.ud687e554	The answer to the question is a very clear yes. In the context of Article 5, it may be possible to request a bomb break and to carry out a bomb break. I believe that I have read the articles of the NATO Treaty relatively carefully, and there is nothing in those texts that it is not possible to carry out a bomb break sail if you are inside an action, so I think this is completely unproblematic formally. What would have been more problematic would have been to bring the other NATO countries with them on a bomb break. And that would be the political job that I think would be wise if Norway had undertaken to do. It would be demanding, but not impossible in my opinion. But in relation to the question, whether there were formal problems related to a bomb break in relation to Article 5, the answer is quite obvious that there are no such problems.
ParlaMint-NO_2001-11-15.ana.ud687e559	In general, I would also like to endorse the views expressed by Åslaug Haga. It was a good analysis of what must now happen in the future, except that it might be a little early to make a detailed decision, at least to Norwegian participation in some kind of UN force, maybe a KFOR-like force, which I think there is a great need. I mean, it's been the TV pictures for the last few days. There is now at least as much need in Afghanistan to prevent atrocities as in Kosovo. But when the Center Party demands a break in the bomb – what does that mean? The central party knows that there has not been as much emergency aid to Afghanistan in many years as it is now. What I'm asking is, should this be a bomb break over winter, or how long do you think this stop in the bombing will last? And then I'm going to ask, "Does the Center Party still require a bomb break, and in case how long?" Does the Central Party believe that Norway, by breaking out of an alliance to which it has given full support, can fulfil its obligations in NATO? Norway has first taken part in the Security Council and voted in favour of the military actions, and then in NATO, where the same strategy has been voted on. Was it wrong for Norway to set up and be prepared to send its own forces and participate in the planning of further military actions? I want to ask that we get a clarification on this, and whether the Central Party still believes that the military actions have to be stopped.
ParlaMint-NO_2001-11-15.ana.ud687e566	I do not really believe that the representative Rise is uncertain about the starting point of the Central Party in this matter. We ended up dealing with actions when they were started, and we made that clear in Stortinget when this question was raised in the first round. It is not, of course, the intention of the Centre Party to ‘break out of an alliance’ – as the representative Rise put it. What we were talking about was creating an understanding within the alliance that it would be wise to carry out a bomb break based on the need that existed – and to some extent still exists – in order to get emergency aid into the country, that it would be wise because at the same time it would give us time for active diplomatic work, and it would also be wise to maintain the popular upsurge of the actions. That was our starting point for asking for a bomb break. Such a situation has developed in Afghanistan in the last few days – a situation that I believe nobody in this room was able to predict just five to six days ago – is little reason to believe that it would now be appropriate to carry out a bomb break. But there's a situation that's evolved rapidly over the past few days. With the knowledge we had of the situation at the time this was taken up, it seemed like a very wise approach.
ParlaMint-NO_2001-11-15.ana.ud687e575	I understood from the representative Haga's response to the last line that the assessment they made at the time of the bomb break was not necessarily correct, and I think that's very good. One argument from the Center Party – and Haga – was that popular support for the bombing was severely weakened. We should listen to that, we should always listen when we receive popular signals. But does Haga not agree with me that in a situation of continuous military action, it is important to stick to one's goals, to mix listening to the people's opinion with the military assessments that are being made all the time, and to have faith in what has been started? It may otherwise be difficult to carry out these types of actions. Another question: they talked about bomb break. Can Haga give any indication of the conditions under which the bombing would be resumed? What had to be done to make that happen?
ParlaMint-NO_2001-11-15.ana.ud687e585	We are committed to firmness in dealing with the situation in Afghanistan. That's why there was a bomb break the center party went in for, not a final bomb stop. We have a lot of people to listen to in relation to how we should deal with a current situation. The military side, on which the representative, Høglund, was concerned, is one of the aspects to be listened to. We were not least concerned about listening to the humanitarian aid organisations that were insistently asking for a bomb break in order to avoid a further reinforcement of the humanitarian disaster that was underway and that is in part in Afghanistan. So here, in my opinion, there is a need to listen to many and not just focus on the attitudes and judgements promoted by the military. When it comes to the question of how long a possible bomb break would be, it would depend on how fast a person would be able to get that emergency aid into the country that we thought it was necessary to get in. And let me stress: there's still a huge need to get emergency help into Afghanistan. That would be the one starting point. The second starting point would be that one realized that through this bomb break one did not move on when it was about diplomatic work.
ParlaMint-NO_2001-11-15.ana.ud687e594	So the chord change is over.
ParlaMint-NO_2001-11-15.ana.ud687e597	I have listened to the debate and decided to throw out the post I had intended to hold. I think it is absolutely necessary – when we live in peaceful, kind and democratic Norway – to take one perspective of what has happened in Afghanistan, and what has happened after 11 September, seriously. That's what's called the asymmetric terrorist threat. That means that someone from their own moral worldview believes that they have the right to use any kind of means against others – no matter who it is. Then we can all, inside ourselves and together with others, conduct an ongoing spiritual debate and reflect on what is most important in the short term and in the long term to do something. But it does not relieve us of the responsibility to act in the short term, even if it may be painful-full. Political life is usually not about choosing good, but about choosing between the right evils. What does it have to say about the domestic situation in Norway? At least it has to say that the Vulnerability Committee – as one of the representatives was in the past – was set up in my previous time as Minister of Justice, and whose position Kåre Willoch presented in the summer of 2000, has been drastically updated in many ways. It's been updated because we've been reminded that a modern society is vulnerable. In this situation, both the previous government, the Labour Party government, and the government in which I sit, have taken a number of practical steps to strengthen the police, the police surveillance service and civil protection, and we have taken the necessary steps to prepare ourselves for possible situations of biological/chemical terror. What I want to dwell on is the democratic consideration we are facing. Is it going to be like this, because something's new and unfamiliar, that you're not going to talk about it? Do we pass the test as democracy that we can talk about crises that go beyond our own lives, but that affect a society? I'm convinced that we have to pass that test, because it's only when we can maintain the normality of our lives, while we think about the unimaginable. The most important insurance premium in Norway is that we have a strengthened and upgraded civil protection with all its different components, that we have a good police force, that we have a state-of-the-art surveillance service that, together with popular organisations, provides knowledge and a basis for action, which reduces vulnerability and defends our democracy. Part of that discussion is to be serious about the threat images we can face. We have to do that at the same time as we live our normal lives. What does this have to do with the military operations in Afghanistan? Well, it has to do with the fact that even on the international stage, it happens that one is facing situations where one has the choice of acting in a moment or acting now. And I am absolutely convinced that the actions that have been taken – to use the terminology that I have applied – were necessary and correct, because in my opinion, the alternatives were far more untransparent. It is part of the political essence to stand by the actions that have been taken. I am in a government that has been involved in those actions, and I stand by those actions. It then, of course, opens up, as many have been involved, an opportunity to also take other long-term and necessary measures, including: now providing humanitarian aid into the country of Afghanistan. In our own country, it's about when we get so far that we know the threats to our society, we have to let people own it. We're actually well served that we have a surveillance service that works in such a way that we know that much of what it's working on is going to be there, while we know that much of it can't be known, because then we don't have a surveillance service at all. But it is my duty to talk about it, and it is my duty to seek the widest possible connection and legitimacy of the kind of services in the service of society and democracy to be sure that it will work. That means that in Norway too, regardless of what we have now had to do with bin Laden and his networks and the support they have had in the Taliban regime, we need to think about possible unimaginable situations in our own country without taking any action, while at the same time getting ready to meet them. And I feel like a completely necessary duty to leave these things there. I have noticed a newspaper commentator, who at some point after what happened on September 11th, asked the following fundamental and very challenging questions: Can modern people deal with crises that might affect society, or have we become so accustomed to the society we know, that we can't think of those thoughts? I believe that the normality of our lives, our democracy, is protected only if we are able to sort out the difficult as well. That's a correct answer. It's getting insight, it's having agencies that are well prepared. It concerns civil protection and the monitoring service. It is my vision that we should have an upgraded civil protection, an upgraded surveillance service, which, together with popular organisations, gives us knowledge and ability to act, which both reduces vulnerability and protects our democracy.
