ParlaMint-NO_2001-06-07.ana.ud2377e87	The representative, Inger Stolt-Nielsen, will make a private proposal.
ParlaMint-NO_2001-06-07.ana.ud2377e341	When talking about the environment and environmental protection, it should be borne in mind that almost all human activity causes more or less pollution. In the opinion of the Progress Party, measures to limit pollution must meet two requirements. Firstly, they must be effective, and secondly, the principle of equality of laws must be respected. Something that causes pollution is all the basic and shipwrecks that have taken place along the Norwegian coast lately. The experience gained from these licences suggests that a broad review of today’s oil protection preparedness is essential and that the state’s own preparedness is analysed. An example showing that the standby is not good enough is what happened in connection with the disaster of the bulk ship ‘John R’ off the Troms coast. It took a very long time, closer to a week, before the bunker oil was discharged. The reasons for this are more, but poor organisation, lack of equipment and a long distance between the Hagarist and the Depoe are probably some of the main elements. Poor oil protection is becoming extra worrying when it comes from North-West Russia to export 7.5 million tonnes of crude oil annually. The transport of the crude oil shall be carried out by tankers bound to the coast of North Norway. It is important that oil protection equipment includes both preventive measures and has a structure that provides rapid and effective clean-up in the event of an accident. I am therefore pleased that there is a majority for proposal V, so that there will be a necessary improvement in oil protection in the north. It's not just in the north, it's oil carried. Similar and larger transport is also carried out elsewhere in the country, for example in the West. And then, in the Progress Party, we are of the opinion that oil protection should be strengthened with the necessary equipment and landfills in other parts of the country as well. The Progress Party assumes that the Minister for the Environment will follow this up when a broad review of the preparedness is now being undertaken and that it will be presented to the Stortinget during the autumn. Following shipwreck operations are important. The progress party has been involved several times in this respect. I would like to refer here to questions in the Question Time from the representative of Kenneth Svendsen concerning the oil spills from the old war wreck at Narvik port, as well as more questions from me regarding ‘Boiki’ and ‘Murmansk’. These questions pose a risk to oil pollution from old havoc ships as well as to the visual grubbing-up of old shipwrecks. The answers from the various Ministers for the Protection of the Environment are that what is to be done, if any, is constantly being investigated, but there is very little willingness from the government to do something concrete about these shipwrecks. In any case, it is gratifying that these days one of the old wrecks, namely 'Boiki', is being destroyed in 1988. When it takes 13 years from a ship crash and stays in the middle of the view of the local population until it is removed, it shows in my view that the government has no strategy to remove boats that are lying and paving. What the reason for this is, the Council of State might say something about it. There are many shipwrecks along the coast, and only in the three northernmost states there are registered over 500 wrecks. There are probably only a few of these that pose a risk of pollution, and a few are of visible shyness, but I hope that the government in the context of the 2002 state budget will make proposals to limit possible oil spills from old shipwrecks and do something to remove shipwrecks that cause visual distress to the population. Effective management of waste from households and businesses is important. The waste should be burned as far as possible in modern combustion plants where the heat is recovered for water heating, for district heating or for electricity generation. The progress party is skeptical about today's source sorting system, as it has been found that the system is different in many municipalities. In this context, I would like to refer to the Central Bureau's research report, which states that today's source sorting system is unprofitable and in many areas less environmentally friendly compared to landfilling or incineration. In many municipalities it has been found that the waste is sorted at source in households, but that at the end of the treatment of the waste, it is mixed again. The intention is to do so, and the result is that you have managed to get households to pay an additional fee. In principle, there should be two reasons why we should carry out source sorting: either to reduce the extraction of natural resources or to limit emissions from waste facilities. Now it has become so that the source sorting has almost become a goal in itself. Take, for example, paper. Trees are not an overtaxed resource in Norway. There's now actually twice as much forest here to land as 70 years ago. In other words, it should not be a goal to reduce the extraction of forest or recover paper here to land. If we burn the paper waste, we get energy that can replace imported coal power from Denmark. In the calculation of the Statistical Central Bureau, the time spent by individuals to sort the waste, including, and beyond, the time it takes to bring the waste to the collection sites, as well as the community's efforts to fine-sort and, not least, to transport it to the recovery facility – for the paper's sake to Sweden or the East. The same applies to glass. Of course, stone glass is not a limited resource. Glass is not a type of waste that produces toxic emissions and landfilling can be an alternative. The same applies to metal. It is a paradox that governments offer cheap energy to the powerful metal producing industry while supporting recycling to limit the same production. It goes towards summer, and for some it means salmon fishing. For those who run that kind of business, it's probably a hope that this year's salmon fishing will be near last year's, which was one of the best in a very long time. The reason for the good salmon fishing last year can be more and more natural, as for example: good management of rivers for many years, little lice, virtually no catch at sea, and good quality in grazing areas, with warmer water, leading to better grazing conditions for salmon. Therefore, caution should be exercised to believe that extensive protection is what is needed to rescue the wild species. We in the Progress Party are sure that the management of salmon in rivers is best done through landowners, river companies and associations. Any system of quota fishing for salmon in the rivers must be based on cooperation and volunteering, and not forced by the authorities, as the Government wishes. One thing that kills most of the stuff is Rotenon. The Directorate for Nature Management has known for more than five years that aluminium liquid is a very effective method against the salmon parasite Gyrodactylus salaris. As is known, rotenon kills all life in a river, while aluminium kills only the salmon parasite. Despite this, rotenone treatment has continued and alternative treatments have not been explored. During this five-year period, millions have been spent on the treatment of watercourses by rotenone, with very unsuccessful results. It is not every day that you remove a fee in this room, and I am glad that the Progress Party was given a majority in favour of the proposal to remove the State fishing fee. The loss of this inland fishing fee amounts to about 11 million. kr, money used mainly for the cultivation of fish water and for research. There are funds that should be covered in our view, and this should be done by re-priorities within the budget of the Ministry of the Environment. At the end of the day, I just want to signal that we in the Progress Party are opposed to the proposal for Decision III, which is to make it attractive to choose bicycles as a means of emergence. We think it's nice to make it attractive to use the bike, but we want to bet more on the road sector in this regard.
ParlaMint-NO_2001-06-07.ana.ud2377e382	It's going to be line change.
ParlaMint-NO_2001-06-07.ana.ud2377e386	I have to tell the representative of Korsberg that the Government in the open air message, which is now out there, has proposed to remove the fishing fee. So it's probably not Korsberg who suggested it in the committee. But what is a little eye-catching, and I still have to ask the representatives of the Progress Party, is their view on climate change and policy. In fact, the Progress Party, in relation to its previous policies, closes watchful enough to the Kyoto Protocol, where greenhouse gas emissions in Norway are now to be reduced to 1 pst. in 2012 compared to 1990. At the same time, however, they come in their committee's comments with framework criticism. They talk about ‘the so-called greenhouse gases’ etc. They refer to the United Nations Panel on Climate Change, to which they then refer almost contemptuously, and believe that these are not real things they are talking about and that more research needs to be done. Is it, then, that the Progress Party does not see the need at all for us to discuss climate policy here in Norway and for us to define a climate policy both nationally and internationally? Is it so that the Progress Party rejects all of this? What is the policy of the Progress Party now, as they join the Kyoto Protocol and as we are going to deal with it in Norway, according to what they said earlier, but at the same time the UN Climate Panel breaks down and says that this does not have credibility at all? What is the climate policy of the Progress Party now, and how will they deal with the climate communication when it comes? Is it completely unnecessary, in relation to the Progress Party?
ParlaMint-NO_2001-06-07.ana.ud2377e393	Let me first comment on the fee that the chairman of the committee, Mr President. Nordtun, started with initially. We will ensure that we vote in favour of all the proposals to eliminate charges that the ministry may bring – and we hope that they will be many. But it's possible you have to have a government shift to get it done. But then to climate change, not in the government quarter, but more globally. It is quite right that, in the vote, we point out that, under the Kyoto Protocol, Norway should only have 1 pst. higher greenhouse gas emissions in 2012 compared to 1990. We're referring to what's a large number, it's not a majority we've been in. Our climate policy is firm. We record that what the Intergovernmental Panel on Climate Change comes with is predictions, and that there are other scientists who have completely different views about what affects the climate, among other things. solar activity, clouds, ocean currents and such things. We do not want to enter into a climate agreement that would lead to a distortion of competition for Norwegian industry, loss of Norwegian jobs and such things. If you want a climate regime, it should include most of the industrialized countries on the globe. It's to avoid distortions of competition. And it's not without reason that the United States has put its foot down for such a distortion of competition.
ParlaMint-NO_2001-06-07.ana.ud2377e402	Let me just first take up the suggestions that we have in the setting, which I forgot to include in my main post. Then to the representative of Korsberg, a follow-up to Tore Nordtun's question. I get strong associations when he talks about fortune-telling and the United Nations Climate Panel, to a man who lies asleep while the fire alarm goes. Then you throw out the fire alarm and think it's the one that's technically wrong, then you go to sleep, and then the house burns down. It's about the position that I feel the Progress Party is taking in climate policy, it's not made clear at any point that you live by the precautionary principle, whether it's in climate policy or in other areas. So I'm bringing this over to a local commitment, which is also reflected in the setting today, and which I was in on in my post. This is an intensified monitoring work for Eidangerfjorden, after the Stortinge decided to place the NOAH special waste facility out there. Would it not be natural, in Korsberg's view, that the Stortinget also took responsibility for following up the possible consequences of this, negative to the environment, not least in the interests of the population, and perhaps to the members of the Progress Party, not least in order to give some support from this House to the strong commitment of the Progress Party in Telemark in this respect? My specific question is: what is the very concrete reason why the Progress Party does not want to intensify the monitoring of this fjord arm and of the Brevik plants after they were placed there on the basis of the Storting decision?
ParlaMint-NO_2001-06-07.ana.ud2377e415	Brother Yngve Rahm has taken up the suggestions he referred to.
ParlaMint-NO_2001-06-07.ana.ud2377e418	This is not the first time you hear a doomsday prophet from the Christian People's Party. When it comes to climate issues, at least we want to be a lot more certain about what action to take before doing so. It is clear that if you go into what is Kyoto, that will lead to a huge cost for our country. And, as I said in my previous answer, this leads to a distortion of competition and the loss of Norwegian jobs, and we have no desire to do so. That's what other parties want, but at least we don't want it. It is true that the Progress Party locally has engaged in this matter; the Advance Party locally engages in a lot of things. But it's the way we in Stortinget have to make some decisions, and it's not always possible for us to meet the wishes that come locally. And in connection with the defense proposition that is being dealt with here in the house, I think all parties have experienced that local wishes cannot be fulfilled. This also applies to the involvement of the Progress Party locally in Telemark. But we're glad they have that commitment, and of course they'll follow that matter closely. We believe that the monitoring that is, is good enough, and sees no need to make populist decisions here in the house in order to possibly sign up for election voters in Telemark.
ParlaMint-NO_2001-06-07.ana.ud2377e427	That was a fairly clear speech from Korsberg. At the same time, it appears that the Progress Party is gradually taking over the existence of greenhouse gases and that they may have adverse consequences. I record that Carl I. Hagen stated to the Evening Post on 20 February 2000 that CO2 emissions are not pollution in the normal sense, pollution is when emissions run into rivers and water so that the fish die, and when people get sick of air; CO2 does not pollute. I'd like to ask Korsberg if he agrees with that consideration, whether he believes that for the climate the amount of CO2 is subordinate, uninteresting, it kind of doesn't matter as much if it's there. Carl I. Hagen also said in the interview that the plants live on CO2. Does this mean that for the Progress Party, what kind of deposits, quantities of CO2 are generated and how CO2 is generated is entirely uninteresting and therefore there is no need for concrete measures to do anything about the amount of CO2? Can Korsberg specifically answer that question?
ParlaMint-NO_2001-06-07.ana.ud2377e436	In the case of greenhouse gases, or so-called greenhouse gases, about 97 pst. of the global CO2 emissions from nature itself – 97 pst. 3 pst. is man-made. CO2 is a small part of the greenhouse gases present in the atmosphere. So it's about small, small amounts. But what's a little interesting to follow up on in the climate debate is that every time you have a storm, a flood, or something like that, climate scientists come forward and say that this is man-made. We remember that there was a lot of rainfall in this area in the autumn, and then one climate researcher after another stood up, pictured far out in a river of water up to life, and said that this is due to climate change. But now we have had a normal climate – if you can call it a normal climate – to the future, and there has not been one climate scientist who has stood up. In 1997, we had two and a half meters of snow in Tromsø. At that time, climate scientists stood up in the snow and cried out that this is man-made. After that, we have had normal winters, and there has not been one climate researcher who has stood and cried out about climate change. Climate scientists are using bad weather to market themselves and their views, and I think you should start thinking a little about it in the future.
ParlaMint-NO_2001-06-07.ana.ud2377e445	So the chord change is over.
ParlaMint-NO_2001-06-07.ana.ud2377e448	It is gratifying that the broad lines of environmental protection policy have wide cross-political support. In the Committee, the parties have written in a row and created a deal on an important point. There is an unobserved fact that the election campaign stands at the door. Even within classic conflict areas such as the nature reserve, outdoor motor travel and power development, the situation is having a good time. An exception is the policy of predators, where the Senterpartie clearly rejects the idea of investing in viable populations of predators in Norway. When this is said, do we recognize stagnation? Yes, in any case, the environmental struggle is fragmentedly linked to a bridge, a highway, a waterfall or mining on Svalbard. Climate issues may lead to environmental protection being put at the top of the agenda. It'll turn out. The media community is visible but splits simultaneously. Official environmental protection policy does not involve most people. It's too bureaucratic and pointy. Nevertheless, there are light points. The government wants local communities and municipalities to take a greater part in the responsibility for environmental protection policy. It was also the central government's clear position, and at that point the committee follows with strong wording. We should thus be able to hope that the intentions of Local Agenda 21 will come to fruition in practice. By shifting power and responsibility from the central level to the local level, knowledge of environmental problems will increase, and people will want to engage in a development that has sustainable development as their goal. But nothing comes of itself. We know that moving on power is difficult. It takes a political pressure to get it done. And the counter-representations are many, for example, that communities lack both competence and will, and that people are near-sighted, selfish and little occupied with the future. Everything goes wrong without a central environmental policy. In political philosophy, Thomas Hobbes and John Locke stand as counter-polar. One has a pessimistic, the other has an optimistic view of man's ability to act morally without having to force it. There can hardly be any doubt that Hobbes's, negative thoughts about man dominates in our time. Power gathers on the tops, where its few that think they can and know best. That's the trend. But fortunately, it's not one-off. It is interesting and also uplifting that Norwegian environmental protection policy in 2001 shows a willingness to bet on local responsibility. And with good reason, for people are clearly better than their reputation. We must believe that theory and practice in this case will go hand in hand. If that happens, distrust will be replaced with trust, just what it takes to ensure that both sustainable development and democracy will have a future. The tension in environmental policy is in the extension of such an approach. It is in the metropolises of the world and culture that the offensive is currently lying. There are powerful representations that man is a monster that has no natural place in the wilderness. Such tanks have also been imported into Norway. We all know maps where wilderness is defined as the area so and so many kilometers away from the nearest human intervention and activity. After such a definition, there is little left of wilderness in Norway. But that's where we have reason to ask questions, for Norwegian lightning and tradition is constantly contrasting to the thoughts people in the metropolis have about nature. More than most other peoples in Europe still live in and out of the wilderness. We're not outside, as ecophilosopher Sigmund Kvalau Setreng has reminded us many times. In such a perspective, Norway is involved in Europe and the world. The problem is that foreigners and also some Norwegian environmental organisations have difficulty understanding this when, for example, a TV camera is viewed as a quack and a wolf's act. It is important for the global society’s deficiency that Norway takes care of its peculiarity. Our challenge is to show respect for everything that lives and grows, not by withdrawing from nature, but by changing our behavior in line with the principle of sustainable development. Our challenge is to reject globalisation trends that are tearing down national and local cultures that have found natural adaptation in an interaction with nature. Finally, I'd like to say a few words about polar strokes. It is in the Arctic that the results of environmental policy can be recorded regionally and globally – progress and failure. Winds, currents and rivers lead pollution northwards to a highly vulnerable landscape. In this area, instruments measure the state of environmental health in the soil. There is serious local pollution in the north, especially associated with nuclear waste. The main point, however, is that it is in the north of modern civilization that it can acquire knowledge of its environmental policy status. That censure should be at the heart of Norwegian diplomatic work in the future.
ParlaMint-NO_2001-06-07.ana.ud2377e471	It's going to be line change.
ParlaMint-NO_2001-06-07.ana.ud2377e474	We know that the Defence Committee is now considering the long-term defence plan. The central parties have put forward a proposal to use the sale of properties released by the conversion of the Norwegian defence to finance the defence arrangements of the central parties. In this setting that we are dealing with today, the centre parties are associated with the Workers' Party and the Right about a comment, where we say: ‘This majority considers that areas freed by conversion of Norwegian defence should be allocated to free areas.’ In other words, on the one hand, the centre parties say that the proceeds of the sale of the properties will be used to finance the defence. In the setting of this message, the centre batches indicate that the areas are to be allocated to clearance areas. Is this double accounting, or is it so that the municipalities are going to buy these properties from the Defense? These aren't small sums we're talking about. If I don't remember completely wrong, the center parties want 2 billion kroner from the sale of the defence property to go into the financing of the defense, while saying that the land should be allocated to the open spaces. I look forward to the answer.
ParlaMint-NO_2001-06-07.ana.ud2377e485	When we listen to the representative from the Right here, we get the impression that there is a big gap between what is discussed in the Defence Committee, the positions that one is about to take, and the positions we are taking and discussing here today. That's probably not the case. What we're talking about here is free space - space that can be freed up and useful to what we're busy about. Of course, we're in favour of that. I can't see, as I said, that in this process there are such great contradictions that the representative Sanner drew up here.
ParlaMint-NO_2001-06-07.ana.ud2377e490	The Government's report on the state of the environment and the submission of the Government's environmental policy through annual reports also opens up a debate on the issues at the main hall, and we see that changing issues arise, such as PCBs this year. You get themes in focus, and maybe in some areas you can see that you're taking new steps in the right direction. There are examples in the setting up of the Energy and Environment Committee. However, reducing the frequency of government reports to every two years, as proposed by the majority, means that there is less room for this type of debate in the main hall. It may well come up as a case-by-case proposal on other issues, but that means that less debate on energy and environmental policy is very rapid in volume terms, and other issues are taking over. I note that the Central Party is also part of the majority that is in favour of no longer producing annual reports on the state of the State's environment from the Government, but only every two years. I would like to ask the Central Party what kind of considerations have been used in order not to continue to have a claim that the reports should come annually, precisely on the basis of the reasons I have given here.
ParlaMint-NO_2001-06-07.ana.ud2377e499	When we have proposed what we have done, it is because we feel confident that such a scheme will be able to take care of the interests of the representative, Ballo, who was busy with it. It is true that, through the normal work in Stortinget, we always have the opportunity to request documentation that we believe is of particular interest to us. And precisely in this combination that is in the normal work that goes on in Stortinget, and the procedure that we propose, we will be able to fully follow up on the areas that we would like to see.
ParlaMint-NO_2001-06-07.ana.ud2377e504	It is obvious that the representative Dale was not very comfortable when he was going to answer my question, so I almost have to be allowed to repeat it and ask which version is the correct one. The central part is in a comment that says: ‘This majority considers that areas freed by the conversion of Norwegian defence should be allocated to free areas.’ At the same time, the Central Party of the Defence Committee says that the proceeds of the sale of properties, which will amount to NOK 2 billion, will be used to invest in new defence equipment. It's not possible for the Center Party to mean these two things at the same time. If you are going to bring in NOK 2 billion from the sale of properties, there are significant properties, but in the environment setting they say that derelict land should be ‘used to free areas’. Which version is the correct one? Is that what the Centre Party says in the Defence Committee, where they want to sell the properties and get income to invest in defence material, or is that the comment in this position, where the Centre Party is with the Right, saying that areas should be outsourced to the public?
ParlaMint-NO_2001-06-07.ana.ud2377e516	I'm glad I'm able to clarify what was my point. The areas that the Defense owns, which are suitable for being released for outdoor purposes, will be realized in such a way. But of course, there are a lot of these areas that are not suitable for such a purpose, and that can be disposed of, and where the money is used within the Defence Framework. So what I said, it's solid. There is an area here which can be used to free the general public, but large parts of the area it is talking about have to be realized within the Defence Framework.
ParlaMint-NO_2001-06-07.ana.ud2377e523	The cord shift is over.
ParlaMint-NO_2001-06-07.ana.ud2377e526	The SV notes that the Committee is united on overall considerations in relation to the environmental policy to be pursued in Norway. The Committee states that ‘a sound management of the environment must be based on three principles’. One principle is that the limit of tolerance of nature must not be exceeded, the other is that the precautionary principle must be applied, and the third is that the polluter must pay the pollution damage. But at the same time, there's something symptomatic about it, because once you can agree on these kind of general principles, it becomes the majority and minority as soon as you start discussing the consequences of the principles. Looking at nature’s limit of tolerance, it can be seen that in a number of areas it has already been significantly exceeded today. PCBs have just been mentioned here as an environmental pollutant, which causes the tolerance limit to be broken. Nevertheless, you don't want to do anything about the problem that PCBs represent, in such a way that you stay within the limit of nature's tolerance. So you can't live up to the goals of an overall committee. It is said that the precautionary principle should be taken into account. Then we'll hear Korsberg in a line exchange and also in his main post, where he totally rejects the precautionary principle as a principle. He ridicules it – excuse me, ‘laughing’ is certainly not a parliamentary expression – and seems to ignore the fact that one is dependent on looking into the future, trying to predict what can happen, and that in that case the negative consequences must be taken into account, that one will get into big problems if that happens. So the pre-goods principle is not taken into account by an overall committee, even if a the light committee has such a comment. We also see it in climate policy, that neither the Workers' Party nor the Government are willing to comply with a precautionary principle. Thus, it has not yet been possible to present an action plan in relation to climate policy, under the Kyoto Protocol. Pollutants have to pay for the damage, you say. A number of environmental taxes have just that as their purpose. There may be car charges; there may be charges in other areas related to emissions. And then we hear, as from the representative of the Progress Party, that it will be an objective for any fee proposed by any government to reduce those charges, possibly to eliminate them. It is moving away from the objective that the polluter should pay. We see here that there is a gap in a common type of considerations that makes them not able to be complied with in practice. The Stockholm Convention on Environmental Toxins requires that the 12 most dangerous pollutants, those which are at least degradable, be restricted or banned – DDT as environmental toxins and PCBs another. PCB is a gigantic environmental problem, with medical effects affecting the genetic material. They've also seen deformed genital organs in animals, and obviously they can also do it in humans. We know more than enough about PCBs to get speedy. There is also a strong need for an in-depth investigation into the way clean-up work is to be carried out, and pilot projects need to be carried out in this area. However, it is entirely symptomatic of the Government's environmental policy that the Workers' Party also has such low ambitions in the area that they only propose one pilot project, while the majority of the Committee is happily in favour of a much higher level of ambition with several parallel projects. Norway is unable to comply with its obligations under the North Sea Agreement regarding nitrogen emissions. The situation is somewhat better in the case of phosphorus. But also in the case of phosphorus, there are examples of unacceptable occurrences. I noticed that the representative Sanner mentioned the Vansjø-Hobøl watercourse, where one has a drinking water source for approx. 60,000 people. The water contains large amounts of phosphorus, not least because of over-fertilisation in the areas adjacent to the source of drinking water. The consequence is the flowering of algae to a level where water can become toxic. There has been a strong local commitment to doing something about the situation, but there has been a lack of funds in neighbouring municipalities. SV has committed itself strongly locally and is very pleased that the Right has engaged so strongly in the Committee on Energy and the Environment, and that a majority is now in favour of action. Together with the centre parties, SV promotes a proposal asking the Government to ensure a State co-financing of a package of measures to reduce phosphorus emissions to an acceptable level. Thus, the government has not yet been able to present an action plan for climate policy, which also mentions the quota arrangements. The government has announced that the action plan will be delayed. The size is now being resolved without a decision on how to meet the commitments under the Kyoto Protocol, and it is difficult to accept. It's totally unacceptable. I refer to the suggestions that SV has made in the setting.
ParlaMint-NO_2001-06-07.ana.ud2377e556	Olav Gunnar Ballo has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2001-06-07.ana.ud2377e561	The representative, Mr Ballo, was concerned about this with the precautionary principle and the Progress Party and the Kyoto Agreement. We will, of course, be in favour of a precautionary principle, but there must be reasonable grounds for doing so. We believe that with regard to the Kyoto agreement, the whole protocol is based on very uncertain grounds, and it also turns out that there are many countries that do not want to ratify this agreement. Scientists other than those in the Intergovernmental Panel on Climate Change, who have completely different theories about why the climate is changing, are not taken into account. It may be a little important for the representative Ballo, and to the extent that others in this room, to be aware that we do not live on a climate-static planet. The climate is changing, and both species and fauna are coming and going. I've been watching TV about the dinosaurs, and I have to say that I might be a little happy that we've had some climate change since then. Maybe others should be. I do not know if I can please the representative Ballo from SV, but in terms of fees, SV and the Progress Party have agreed on a fee that we thought should go to improve the environment, namely to a fund to reduce emissions of sulphur dioxide. We want the fee now paid by the process industry to go to a fund to develop a technology to clean emissions, but it doesn't want a majority here on the Stortinget. It is absolutely right that we have a principle, which the whole committee agrees with, that the polluter should pay the damage from the pollution, and then I will ask the representative Ballo – he can look out of the window, where there is someone who has fired the lions on the outside today: Does the representative Ballo think that those who put a guy on the lions should now stand out and wash them instead of a rented company?
ParlaMint-NO_2001-06-07.ana.ud2377e572	Yeah, I think so. I think it's an excellent idea. The progress party as a law and order party should have no problem bringing in those who have dirty to the lions and get them to wash them. I think we should. I'm going straight to the next one. I have a book by Ronald Reagan with quotes from him, and a lot of the quotes are related to environmental problems. I have to say that the statements Ronald Reagan has made should be able to go directly into the Progress Party's work programme. There is one example that is more serious than the other. One is e.g. to the effect that plants and forests are the largest environmental polluter of all. I note that Peter N. Myhre on September 2, 1989, said to the Evening Post: ‘I find that in five to ten years’ time no one is talking about the greenhouse effect or the holes in the ozone layer. The left side, especially in Norwegian policy, has always tried to find things that lie outside the world of reality. Since the late 1970s, these have been combined, the homophiles, the nuclear weapons and now the greenhouse effect/ozonholes.» So it's a prophecy that Peter N. Myhre brought. I know we in SV have quoted it before, but it's a good quote. I am tempted to ask – of course via the President – back to the representative Korsberg: Do you agree with the prediction that the Progress Party came with just ten years ago, that in ten years' time no one would talk about the greenhouse effect, about the ozone layer? Does Korsberg perceive, in other words, that what is happening here today is a non-debate, it's not something that someone says anything about, no one talks about these terms? In this area, it may at least appear that the predictions of the Progress Party have been somewhat erroneous in the future. Then I have to say that it would be a wonderful lead principle if the only thing to be led was on, are areas where you can be reasonably sure of the consequences. I perceive that the precautionary principle just means that the uncertainty you might have about the consequences for the future means that you have to choose the solutions you are sure of giving the least adverse effects. That is the whole basis for the precautionary principle. If the Progress Party perceives it in a completely different direction, namely that it should only apply when the consequences are known in advance, it is not what SV sees as a precautionary principle.
ParlaMint-NO_2001-06-07.ana.ud2377e590	Several have not asked for the word for a line.
ParlaMint-NO_2001-06-07.ana.ud2377e594	The Government of Bondevik presented the first major report on the Government's environmental protection policy and the state of the state of the state of the state in the autumn of 1999. It was an important innovation. This Communication and the subsequent Communications invite systematisation and further development of environmental policy. Two different governments have taken advantage of the opportunity to promote important, new proposals, take important steps in the right direction, in relation to these messages. The size has followed up and taken its own, important initiatives. We also see in today's attitude that the majority is moving environmental protection policies in important areas beyond what the Government proposes. In addition, the debate and process around these messages is important. It helps to put and keep environmental issues on the agenda. The Left therefore considers annual notifications and subsequent processes related to them important in the Stortinget. The setting accepts that only SV share this view. The position also shows that the Left, the other central parties and the SV have more offensive environmental policies in important areas than the majority, consisting of members of the Labour Party, the Right and the Progress Party. The Communication also states that in some areas the Right actually goes further than the Workers' Party and that the Workers' Party forms a majority together with the Advance Party. That is the case in the case of cultural memory funds and the follow-up there. There was a broad consensus in Stortinget that the matter was to be presented last autumn. There did not follow up the Government, they did not prioritize this area, as the Storting had asked. Once again, when you are invited to renew this decision and link it to the budget for the autumn, the Workers' Party is going to drop. This is very disappointing, and it cannot, at least, be seen as a priority in this area. The recent debate has also shown that part of the cultural memory effort carried out by the Storting has been undermined by the transfer of funds from priority areas to other areas in the budget of the Riksantik product. This has been going on on a large scale and over several years, and it is crucial now that the Minister for the Environment confirms that this undermining of the Storting's priorities will be halted and that there will be consequences in relation to the Riksantik product and the powers he has. In another area, too, the Labour Party and the Advance Party ensure that there is a majority. This is something the Left has been working for, namely getting a monitoring programme related to the activity of NOAH and Norcem. It is disappointing that we are not launching a systematic monitoring programme related to these large plants. It would have earned the local population, and it would have been quite natural in relation to the environmental challenges that one is facing. In some areas, there are good objectives, but it is the practical follow-up that fails. The government determines that the ecological perspective should form the basis for policy-making in all areas of society. Climate and energy policies are areas where this has not been implemented and where there is a need for more offensive policies than the government proposes. There is also a need for a more offensive policy in terms of coniferous protection than the government puts up, and I refer in this connection to the comments of the Christian People's Party, Left and SV. There has been a positive development in waste policy, and I would like to stress, as indicated in the remarks, that the aim must be to reduce the amount of waste and to seek reuse, recycling and energy use, and, as a final element, to treat the waste properly. The left is in favour of a waste hierarchy based on a policy approach in this area. I would like to say a few words relating to two specific projects. This Communication states that a priority should be given to open-air life and to facilitating the making available of properties to the general public. Then it is alarming that the government seems to charge well for important quay properties, which are now desired by an open-air council in Rogaland. It is important that the Government coordinate policies in the various areas, so that one can achieve the ambitious objectives set out in the Communication, and I hope that the Minister for the Environment will contribute to it. So another example. On Christmas 1st day in 1999, a boat went on land outside Karmøy in Rogaland. Now the rescue operation requires VAT, with the result that it stops, even though a few years have passed since the boat crashed. In this context, it is important for the State to enter and, where appropriate, to contribute a larger subsidy to compensate for VAT, so that the failed ship, standing in a priority natural area, can be removed.
