ParlaMint-NO_2003-03-05.ana.ud730e28	The representative of Inge Ryan, who has been licensed, has once again taken his seat.
ParlaMint-NO_2003-03-05.ana.ud730e505	The representative, Enoxsen, points to a very important issue. Of course, it's challenging to focus on two situations at the same time. We're going to get through this winter with the necessary force, and we're working purposefully to avoid a rationalization state. I hope we can do that. But we are very dependent on the weather and how early spring comes. It's also true, as Enoxen points out, next year's situation is worrying, both because we have low magazine fillings, and because the amount of snow so far has been minimal. It is clear that the department has to prepare for worst possible cases. We are looking at what measures can be introduced to the market to avoid such a rationalisation. I pointed out that I was willing to open up gas power plants on lighters as an emergency solution in areas that had a particularly difficult supply situation. I do not exclude such a solution or other solutions in an emergency situation, if it should occur.
ParlaMint-NO_2003-03-05.ana.ud730e511	Sylvia Brustad – for follow-up questions.
ParlaMint-NO_2003-03-05.ana.ud730e514	My supplementary question goes to the Minister for the Environment. The situation today is that we are now importing coal and nuclear power into buckets and buckets because this government, despite the fact that the Right agreed to grant concessions, is doing what it can to prevent us from building gas power plants with the technology available today. When companies are informed by a government council that they prefer to build a gas power plant with CO2 management, it is clear that companies are listening to a government council. The right has been quite silent in this winter's energy debate. I think that's quite eye-catching, because we agreed that gas power had to be built to do something to close the gap between what we use and what we produce. My question is: does the Council of State think that it is good environmental policy to import as much coal and nuclear power as we are now doing, or does the Council of State think that there should actually have been an initiative from the Government to try to realize the gas power stations it has actually granted concession?
ParlaMint-NO_2003-03-05.ana.ud730e519	The size has determined that three conventional gas power plants can be built in Norway – two in the West and Industrial Power Mid-Norway in the North-Trundelag. You can start tomorrow that day, stick the spade in the ground and start building these conventional gas power stations. The reason why these companies don't, I guess, is that you think there's too much risk associated with this. Statoil has been through a round in relation to calculations, among others. related to Snow White, where you will certainly undergo very carefully whether it is business-economically profitable. The criteria for these conventional gas power stations include, inter alia: The working party, and also the right, were involved in designing. I assumed that the Workers' Party accepted those criteria, and felt that these were reasonable criteria. So if you want, you can start building three conventional gas plants. If they can replace coal-fired power stations, it's very good, but it's up to the companies. We cannot take the financial responsibility and impose this on anyone.
ParlaMint-NO_2003-03-05.ana.ud730e524	Øyvind Waksdal – for follow-up questions.
ParlaMint-NO_2003-03-05.ana.ud730e527	It's an undeniable fact that if we had used our gas resources for power generation, we would have avoided the power crisis we've had this winter. The Norwegian people have now understood that, according to polls, but this is not going to take place by the government. The government says that one is for gas power plants, but only gas power plants with CO2 handling – despite the expertise we have, it might take 10–15 years before this technology, which is currently known, is commercially sound. Does this not really mean that we can expect a power crisis every year for the next 10 to 15 years, because of the government's apparent paralysis of action in this matter?
ParlaMint-NO_2003-03-05.ana.ud730e534	As I said in a previous answer, gas power plants are part of the Government's strategy to ensure better supply of energy in the Nordic electricity market. But we aim to ensure that when such a gas power plant is commercially viable, it will be a gas power plant with CO2 management, and the Government has agreed to co-finance the additional costs that such a technology will entail in relation to the conventional ones. We see that it is important to have an eye on security of supply. We also know that the vulnerability of security of supply has become particularly evident this year, because it is over 70 years since we have had such a dry harvest, and the combination of a dry harvest and an early, strict winter – snowy in addition – makes it probable that we will have to both 100 and 200 years back in time to find a similar situation. It's exceptional, but the statistics can trick us. We can never know if we will have such a situation next year, and therefore it is important that we have a thoughtful policy to improve security of supply.
ParlaMint-NO_2003-03-05.ana.ud730e539	Karin Andersen – for follow-up questions.
ParlaMint-NO_2003-03-05.ana.ud730e542	First to the expensive stream: It is obvious that the circular government has sent out today is contrary to the decision of the Storting. It has to be withdrawn, and you have to send out a new one, so that people get the help that Stortinget and the Council of State have promised. Then I am glad that the Council of State does not support the Workers' Party in wanting more environmentally unfriendly and expensive electricity. But in a response to me a few minutes ago, the Council of State showed the success of the grant of alternative heating now has been. There are a lot of people who have applied, this is a success, you can get a lot of alternative energy, environmentally friendly, you can get people out of the power trap so they don't go to the social office until next year. And so you've set an application deadline, March 15. Is it so wise to have such an application deadline when people have obviously now seen the light? They want environmentally friendly electricity, they want cheaper electricity, and there can also be a lot of jobs here. Will the Council of State take the initiative to remove this deadline for application?
ParlaMint-NO_2003-03-05.ana.ud730e547	It is the Stortinget that has adopted that deadline. In a recently decided case here in Stortinget, the majority for an application deadline of 15 March, and all applicants within that period, if they fulfil the other conditions, will be awarded the advertised aid of 20 p.m., up to NOK 5000. I see that this has been a great success, and I also said in Stortinget that we must not make a success of a problem. On the other hand, with regard to the assessment by the Storting of the most appropriate means of generating more environmentally friendly energy, Enova, the company in Trondheim, has pointed out that there may be other measures that are more appropriate. The government has put in place this measure to stimulate increased interest and attention to the possibilities represented by both heat pumps, pellet stoves and energy management systems. But these are profitable projects, and households can invest this in safe assurance that they get their money back.
ParlaMint-NO_2003-03-05.ana.ud730e552	Let's move on to the next main question.
ParlaMint-NO_2003-03-05.ana.ud730e555	I have a question for the Environment Minister about Sellafield. When he was in Bergen not so long ago and had a meeting with the British Environment Minister, the cranes in Sellafield, after I was informed, were open, and it was released technetium-99, which it takes 220 years to halve. Technetium-99 we get back in shellfish and fish, and it comes drifting with the ocean current up the Norwegian coast. What kind of faith does our Minister for the Environment have for the British Minister for the Environment, when, at the same time as he claims that he will not allow emissions, are emissions?
ParlaMint-NO_2003-03-05.ana.ud730e563	With regard to the representative Bastisen's description of the serious environmental impact of these technetium-99 emissions from the plant in Sellafield, I fully share it. These radioactive emissions, which are completely unnecessary because they can be cleaned or stored instead, and which will last until 2006 if the British government does not turn around, have the effect that we now have increased radioactivity along the Norwegian coast all the way up to Svalbard. In fact, radioactivity is higher on the west coast than it is on the tipped Russian submarine ‘Cursk’ in the Barents Sea. So this is the most important source of increased radioactivity. As for the British Government and the confidence I have in it in this matter, I have to say that it is falling. I react very strongly to the fact that they continue with these emissions because they have an alternative. They can clean and store instead. But Bastesen believed that Environment Minister Michael Meacher of the United Kingdom had acted unfairly by saying that he made an assessment of whether they should stop emissions while they release. I have never understood Michael Meacher so that he has promised that they will stop emissions while assessing this. Of course, I should have liked to, but I've always said that I think it's a completely unsustainable practice. I am also afraid that this spoke as the British Government stands for, that one should now consider ending these discharges and coming up with a moratorium, enough to stay in Norway with good talk. We must continue to cooperate, inter alia. with the Coastal Party and everyone else and indicate very strongly that we are against the British pollution of the North Sea Common Mater.
ParlaMint-NO_2003-03-05.ana.ud730e572	I thank the Council of State for the answer and am pleased that he agrees with me that the problem is big. We have just visited a TV team and a journalist from the United Kingdom, and I had an interview. As far as the UK Government is concerned, it has virtually one single instrument, and that is the emissions permit. It's a private company running and releasing technetium-99 into the sea. It's not a political-run company. But the emissions permit is governed by the British government. They actually have an emission permit. My supplementary question is this: what does the Council of State do to the political authorities in England to prevent them from releasing technetium-99 into the sea when they can store it on land? If it's not dangerous, as they claim, they should eat it. What does the Minister for the Environment do to British politicians?
ParlaMint-NO_2003-03-05.ana.ud730e579	First, I'm glad that Steinar Bastesen has been interviewed by that BBC team that was over here with a number of other British journalists. They were invited to Norway by the Norwegian Embassy in London in cooperation with the Ministry of Environment. Our strategy now is that this issue must also be raised in the United Kingdom, and so far it is far too much of a matter on which the Nordic countries and Ireland are concerned. We also need to show more strongly that the English fish and shellfish are being contaminated, that we are invading our common dish, which is the North Sea. So ask the representative what I can do to prevent this. Now it's not about the neighboring law. I'm not in the United Kingdom government, so I can't decide that the emissions permit that Environment Agency has given to Sellafield will stop. But I've been to the United Kingdom several times and picked it up. I have recorded it in many conversations with the United Kingdom along with the other Nordic countries. We have also coordinated ourselves in relation to Ireland, and we are running a campaign against the unsustainable practice of letting this into the sea when it can be stored instead. This campaign is going to continue the government, and we're not satisfied until we get to the end of it.
ParlaMint-NO_2003-03-05.ana.ud730e586	The time for the oral questioning procedure is running out. We're going to the ordinary Question Time.
ParlaMint-NO_2003-03-05.ana.ud730e591	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Questions 1 and 2 from Einar Holstad and Steinar Bastesen, respectively, to the Minister for Foreign Affairs, will be answered by the Minister for Development on behalf of the Minister for Foreign Affairs, who has left. Question 3, from the representative of Karita Bekkemelm Orheim to the Minister for Justice, will be answered by the Minister for Transport on behalf of the Minister for Justice, who has been removed. At the request of the Minister for Transport, this question is moved and answered before question 13, to be answered by the same Council of State. Question 10, from the representative Sigbjørn Molvik to the Minister for Social Affairs, has been withdrawn. Question 18, from the representative of Marit Nybakk to the Minister for Defence, lapses because the questioner is not present. Question 20, from the representative Torbjørn Andersen to the Minister for the Environment, will be answered by the Minister for Fisheries who directs him.
ParlaMint-NO_2003-03-05.ana.ud730e611	This question, from the representative Einar Holstad to the Minister for Foreign Affairs, will be answered by the Minister for Development on behalf of the Minister for Foreign Affairs.
ParlaMint-NO_2003-03-05.ana.ud730e614	‘Sexual exploitation of children is a global problem. If we are to combat abuse, we must work both nationally and internationally. It is not sufficient for Norway to prohibit the purchase of sex from children under the age of 18 when, for example: Russia does not have it. The attackers tend to operate abroad. In addition, illegal child pornography material is often spread over the Internet from servers in countries with insufficient legislation. What will the Minister of Foreign Affairs do to contribute to, inter alia: Russia improves its efforts against sexual abuse against children?’
ParlaMint-NO_2003-03-05.ana.ud730e621	Russia is one of many countries where children are particularly vulnerable to crime and sexual exploitation in the form of child pornography, prostitution, child sex tourism and trafficking. We are deeply concerned about developments in this area and give priority to strengthening children's rights, among other things. through our work in a number of international forums. The Ministry of Foreign Affairs has committed 30 million in 2003. to the Government's action plan on trafficking in women and children, launched in February this year. The plan includes measures to prevent the recruitment of children to the sex industry in the Baltic, the Balkans, the former Soviet Union and Central Asia. It also includes measures to protect and assist the victims and to investigate, i.e. the justice sector, by helping to take the backers. These measures shall be channelled, inter alia: through the Nordic Council of Ministers, the Baltic Council, the Council of Europe, the OSCE, the Stability Pact for South-East Europe and through voluntary organisations. I can perhaps add here that, although the questioner is concerned about Russia, this also involves action in relation to countries in the south. In addition, Norway participates in several international forums for police and judicial cooperation where trafficking in human beings is high on the agenda, including: Interpol, Europol and the Baltic Sea Task Force. The government has supported a campaign directed by the travel industry and Save Children against the purchase of sex from minors during foreign stays. Norway has committed itself to establishing an IT network which is a tool to combat commercial sexual exploitation of children in the Baltic Sea region. Support has been given to an action plan and cooperation project for safer use of the Internet, where combating child pornography is one of the highest priority objectives. Since 2002, a Baltic Council Children’s Group has been set up with the aim of putting important issues about vulnerable children on the agenda. Under the auspices of the Nordic Council of Ministers, an action plan for children and young people has been drawn up in the neighbourhoods. During Norway’s presidencies in 2002, the focus was on projects in North and West Russia. During the anniversary summit of Barents in the Churches in January 2003, the participating Heads of State declared that they would make joint efforts to stop trafficking in human beings in the Barents region. There is now a draft mandate for a working party to look into these problems, a draft mandate we support from the Norwegian side.
ParlaMint-NO_2003-03-05.ana.ud730e638	I thank the Minister for the answer. Today, 50 years after Stalin's death, there's probably a lot to talk about in connection with Russia. According to a survey in the Evening Post on 25 February of this year, the revenue from trafficking in human beings is said to be greater than the income from drug sales. This should be an opinion of a representative of the Duma. In its action plan, the Government states that it aims to prevent trafficking in human beings by working to prevent the recruitment of women and children by contributing to the strengthening of knowledge and living conditions in the country of origin. Many voluntary and non-profit organisations in Norway have for a long time worked in the Balkans and the former Soviet Union with assistance programmes aimed at people in the poorest parts of society. We also know that poverty, war and conflict, lack of educational opportunities and lack of equality between women and men are important causes of trafficking in human beings. Will some of the 100 million. kr notified by the action plan could be used for the work of those organisations?
ParlaMint-NO_2003-03-05.ana.ud730e647	As I said in my reply, the Ministry of Foreign Affairs is actively involved in the follow-up to the Action Plan, where we have set aside 30 million. kr. This is distributed in the areas in which the representative is involved, namely the Russia–Baltic region, but also to countries in the south that are important in preventing trafficking in human beings and trafficking in women and children. This is a very high priority area for the Government. That is the background to the offensive action plan that we have presented. There is also a background for non-governmental organisations to be an important player in the follow-up process. They have previously received support for this type of project, and they will continue to receive it. Thus, an important proportion of these funds will be channelled through the voluntary apparatus and through the voluntary support organisations.
ParlaMint-NO_2003-03-05.ana.ud730e656	This question, too, from the representative Steinar Bastesen to the Minister for Foreign Affairs, will be answered by the Minister for Development on behalf of the Minister for Foreign Affairs.
ParlaMint-NO_2003-03-05.ana.ud730e659	I have the following questions for the Minister for Foreign Affairs, who will therefore be answered by the Minister for Development: ‘It has become known through the newspapers that the EU redefines the concept of island to islands with a fixed residence of at least 50 persons. If an enlarged EU, with Norway as appropriate, decides to use the same guidelines for the baseline of territorial waters as the British requirement before 1951, there will be consequences in relation to the current baseline. Can the Minister for Foreign Affairs explain what this will mean for our territorial waters with such an EU-defined baseline?’
ParlaMint-NO_2003-03-05.ana.ud730e668	The representative of Bastesen refers in his question to the criteria set by the European Commission for the islands to be covered by the statistical studies carried out by the Commission as part of its regional policy. These include, inter alia: a minimum size and minimum population. In other words, the criteria have no consistency with, or impact on, the rules of international law as to whether a land area should be defined as an island and could be taken into account when establishing baselines, calculating the outer boundary of the territorial sea and assessing inter alia. whether the land area gives rise to a continental shelf outside. The latter questions are answered by the established principles and rules of maritime law for islands. There is no doubt that the baseline is calculated from the extremes of the coast, including on islands. The principles for drawing straight baselines, including: around mainland Norway and the archipelago around the latter, was confirmed by the International Court of Justice in 1951, to which the representative also referred. These EU studies will have no impact on the rules of international law in this field, nor on our territorial waters.
ParlaMint-NO_2003-03-05.ana.ud730e677	We have experienced in this Chamber that even the Constitution has had to give way to EU legislation. The Ministry of Foreign Affairs is now pressing for a new EEA Agreement to be signed, while extending the EU to the east. Today’s EEA Agreement is increasingly ingesting into areas that were to be determined nationally under the terms of the agreement. The requirement for the free flow of capital in the breeding industry, which is within the current baseline and is part of Norwegian fisheries, is an example of this. The requirement for increased ownership of Norwegian fishing fleets has already been presented by the EU. What kind of guarantee does the Minister for Foreign Affairs have that Norway, through a new EEA agreement, could risk losing additional self-determination in national territory within today's baseline?
ParlaMint-NO_2003-03-05.ana.ud730e682	I think it is important to distinguish between what this EU proposal actually involves and what international law says in relation to established principles. As far as the proposal from the European Commission is concerned, it is, as far as is known, linked to the regional policy to be pursued by the European Union, also to islands with regard to minimum size and minimum population. This will, of course, be relevant in relation to other issues related to the EU, which we certainly have the opportunity to come back to. However, with regard to the issue of the impact on the territorial waters in relation to which Norway operates, there are other types of legal conditions. There are the established principles and rules of maritime law on island status as international customary law and are particularly reflected in Articles 2 to 7 and 121 of the 1982 United Nations Convention on the Law of the Sea. The other aspect is related to the International Court's 1951 ruling, and I could possibly come back to that question, since time is up. [[President clubs]]
ParlaMint-NO_2003-03-05.ana.ud730e691	The basic principle was one of the most controversial foreign policy issues for Norway before the Hague court ruling in 1951. Through subsequent maritime law treaties, Norway’s right of withdrawal and conservation obligations have been extended in relation to fishing resources, which the EU would circumvent in 1994 through negotiations on membership and the EEA Agreement. Is there any reason to believe that the EU will respect the current baseline if Norway enters the EU and the EU decides that the common basic principle should be established as their common fisheries policy?
ParlaMint-NO_2003-03-05.ana.ud730e698	Yes, then I have the opportunity to come back to this very question. The judgment of the International Court of Justice in The Hague in 1951 is, as the representative had said, a very important judgment. It concerned a case between the United Kingdom and Norway. However, the principles of the judgment are subsequently enshrined in Article 7 of the United Nations Convention on the Law of the Sea and are thus deemed to have a customary status. There is therefore no danger in this respect that EU legislation should be able to prevent the customary and Article-based law that Norway has in relation to the basic principle and to our territorial waters.
ParlaMint-NO_2003-03-05.ana.ud730e705	Question 3 will be answered later.
ParlaMint-NO_2003-03-05.ana.ud730e711	I have the following questions for the Minister of Health: ‘According to the Evening Post of 14 February 1990. a number of municipalities terminate operating arrangements with physiotherapists. This will affect many patients financially and lead to high self-payment. Patients are guaranteed the right to physiotherapy services if necessary by the Local Health Service Act. Will the Council of State ensure that the offer of physiotherapy is maintained in all Norwegian municipalities?’
ParlaMint-NO_2003-03-05.ana.ud730e720	As the representative Alvheim mentions, physiotherapy is one of the services that all municipalities under the Local Health Services Act are obliged to provide. After the municipalities were entrusted with this responsibility in 1984, there has been a steady growth in service of a total of more than 50 pst. Physiotherapy services have been relatively unevenly geographically distributed, but growth has provided better needs across the country and has led to a reduction in geographical imbalances. Municipalities can meet the needs of the population for physical therapy by employing physiotherapists in permanent pay positions or by entering into operational arrangements with private physiotherapists. The rights and obligations of the local authority and the physiotherapist in an operating contract relationship are governed by the framework agreement concluded between the Local Governments’ Central Association and the Norwegian Physiotherapy Association. The State is not a party to this Agreement. Usually, individual operating contracts are unlimited in time. The central association of the municipalities assumes that if a municipality intends to withdraw from a contract, this should, as a general rule, be done in the case of home leave. Physiotherapists with an operating contract shall have substantially the same protection against dismissal as a municipal employee – neither more nor less. This implies that factual justification is required to terminate an operating agreement on the part of the municipality. In the event of a review of dismissals in the name or court, the municipality will also have to rely on evidence that, despite the termination, the physical therapy coverage will not be significantly weaker than in comparable municipalities. Termination of operating agreements by municipalities has been very rare since the scheme was introduced in 1984. Like the representative Alvheim, I am somewhat concerned about the notifications in the last few months that several municipalities now seem to be assessing such terminations, although it should also be said that in most cases the proposal does not seem to be implemented. With musculoskeletal disorders as the main cause of sick leave, and with increased efforts by the social security system and the social partners in connection with the intentional agreement on an inclusive working life, I believe that there are very few, if any, municipalities that may claim to have overcapacity in the physiotherapy service. I cannot instruct the municipalities in this matter. It is the responsibility of municipalities to dimension healthcare in relation to the needs of the population, but they should have a physical therapy service. I will follow developments. If there is a risk that the provision of services in a municipality will become unwarrantedly low, so that the law cannot be said to have been complied with, the supervisory authorities must act against this.
ParlaMint-NO_2003-03-05.ana.ud730e733	I thank the Minister of Health for the answer, which I feel is positive. According to the Health Services Act of the municipalities § 1-3, the physiotherapy service is referred to as one of the municipal tasks and has been done in practice only by establishing an operating agreement with one or more therapists. Now, when some municipalities obviously get rid of the operating arrangements with physiotherapists, it affects patients quite financially, as they have to pay the entire fee themselves, and it is quite high. Will the Minister for Health get an overview of the municipalities that have terminated their operational agreements with physiotherapists, and will the Minister for Health in that case ensure that operating agreements are restored under the law?
ParlaMint-NO_2003-03-05.ana.ud730e742	As I said in my main response, I assume that the county doctors and the Health Service will follow up on whether the development of this service is contrary to the law and is developing in a way that is not sound. I want to ask the Health Inspectorate to have an alert eye on this. Making sure that any change in the contractual relationship between physical therapy is stopped, I can't promise, because I don't have the authority to. This is the responsibility of the municipalities. But they have to comply with the law, and I want to stress that it's a clear oversight task to see that happens.
ParlaMint-NO_2003-03-05.ana.ud730e749	Once again, I thank the Council of State for the answer. Poor local economy or not, statutory tasks must be performed by the municipalities. The system of roof II has been adopted, and how will this affect this group of chroniclers, who are in need of physical therapy on a relatively large scale? In my opinion, municipalities cannot rely on the II scheme to terminate such operating arrangements in order to save money, as there are a significant number of patients in municipalities who need shorter physiotherapy treatment and who are not to be charged with more than usual side effects of treatment. I find it reasonable that the Minister of Health here intervenes and ensures that the municipalities fulfil their statutory duties, so that one does not experience that the Norwegian Physiotherapy Association is running legal proceedings against a number of municipalities in the future.
ParlaMint-NO_2003-03-05.ana.ud730e760	I agree with the representative Alvheim that using roof II as a reason to reduce the supply of physiotherapy in the municipalities will not be a matter of fact. On the contrary, the introduction of Roof II, which provides access to physiotherapy services to a greater extent and becomes more reasonable for patients, will mean that the need is not reduced but rather increased. As far as interventions against municipalities are concerned, I refer to what I have already said, that the supervisory authorities have a responsibility to monitor whether the service falls to an irresponsible level, and intervene if that happens.
ParlaMint-NO_2003-03-05.ana.ud730e770	I have the following questions for the Minister of Health: ‘Ski hospitals have become part of Aker University Hospital. It is unclear whether the Ski Hospital should become the Aker after-treatment department or whether it should be developed as a local hospital for the Follos population. This shall be determined internally in Aker and Health East. The inhabitants of Follo are completely disconnected from the decision-making processes. In 1997–98, the Stortinge decided to build a new local hospital in Follo when mention was made of the location of the new Rikshospital to Gaustad. How will the Council of State follow up its decision?’
ParlaMint-NO_2003-03-05.ana.ud730e779	Let me start by reminding you that the hospital reform, among other things, The goal is to get more health for each of the heads. This will be done by exploiting the potential of seeing services across borders and thus improving accessibility. Regional health undertakings shall achieve these objectives within the limits laid down by the size scheme. As far as Ski Hospital is concerned, I can inform you that the emergency outpatient clinic for internal medicine and surgery will be maintained as it is today. One also assesses the potential for an extension of the activity or new activity in, for example, small surgery, elective surgery and gastrointestinal disease-related activities. I believe this shows that Health East does not take lightly or neglect the needs of the Follo region. On the contrary, Health East assures me that they will take care of this, and that they will also ensure active dialogue and contact with municipal and county authorities. As far as the last point is concerned, I fully agree with Haga's representative that this is very important. I trust that Health East will carry this out in a good way, and that the questions raised by the representative Haga will be clarified through those processes that Health East has now initiated. Let me then go over to the part of the question that is related to the expansion of hospitals. Prior to the hospital reform, the then hospital owners, county councils, had determined or planned new buildings or upgrading of existing hospitals at a total cost of well over 50 billion kroner. It is therefore very important to give priority to which measures should be implemented first. This is primarily a task for regional health enterprises, which together have to assess both needs and treatment capacity. Akershu County began planning a new Follo Hospital in the mid-1990s. Later, the planning of New SiA, now New Ahus, started in parallel with the Follo hospital. In the acquisition of ownership of hospitals, responsibility for the further design and realisation of hospital projects was added to Health East, which is now revising the Main Function Programme for New Aarhus with a view to reducing the total costs. My ambition, as previously announced by Stortinget, is to present this question in the consideration of the revised national budget in the current session. In addition to the plans for New Aarhus, Health East is now investigating a «Overall plan for major development projects». Here, one looks at the extent to which there is a need to build new and replace existing hospitals, to repair and modernise the building stock – just in order to meet the development of a future demand for specialist health services. When this investigation is available, it will be possible to decide on the construction of a new hospital in Follo. I feel confident that the need for health care is well cared for, and that Health East is conscious of its responsibility. A planning and notification system is in place between the regional health establishments and the ministry under the Health Enterprise Act § 34. In this context, the Ministry of Health will consider significant changes in structure and service provision. I would therefore like to have both an overview of how the service provision is designed and the possibility to intervene and to give notice of correction if the offer does not meet overall health policy objectives.
ParlaMint-NO_2003-03-05.ana.ud730e794	My question to the Minister of Health specifically focused on how he would follow up the decision to build the Follo Hospital. It was not answered in concrete terms. We have become accustomed to the fact that the Minister of Health does not respond to specific questions about health policy, mainly because the majority of the population have chosen a form of management for hospitals which means that the Minister of Health has very little influence on the very design of hospital policy. But it is usually possible for the Minister of Health to have an attitude, and therefore I will follow up on asking quite concretely: What is the position of the Council of State on the construction of the Follo Hospital?
ParlaMint-NO_2003-03-05.ana.ud730e799	I have to take note that the Central Party and the Central Party's intrusive leader will not take on board the fact that the Stortinget has actually adopted a hospital reform that involves a division of responsibilities. In the form of legislation, the size of the population has placed responsibility on regional health enterprises, among other things. in these areas. It does not imply, as Haga’s representative now claims, that the Government and the Storting have been deprived of influence over health policy. On the contrary, it means that the overall health policy leadership is provided by the Stortinget and the Government, and is implemented in the governance set out in the Health Business Act. It is not that I did not answer the specific question asked by the representative Haga. On the contrary. I said that the question of the Follo hospital was now investigated by those who have been given responsibility by Stortinget for this, and that the question will be settled when that investigation is available. And that's the answer to the specific question.
ParlaMint-NO_2003-03-05.ana.ud730e811	Now there are major changes in Health-Norway, which include: In reality, local hospitals are often drained to hospitals or health centres, and the local population is deprived of the possibility of influencing the hospital facilities where they live. My question to the Council of State, also on the basis of what he answered my previous question, is this: Is it satisfactory for the Minister of Health that there are such major changes in Health-Norway as it is now doing, without the Council of State having a significant opportunity to influence that development? My question is also about the ambitions of the Minister of Health for political governance in the health sector.
ParlaMint-NO_2003-03-05.ana.ud730e816	I have to ask that the representative Haga stick to the facts. No decision has been taken on the conversion of local hospitals diluting them into hospitals. There are no such decisions. There is now a comprehensive review of the whole structure of hospital services because the Stortinget has provided for this to be done through the requirements for improving efficiency and through the reorganisation of the healthcare adopted. Nor is it true that the local population is deprived of any opportunity to influence this. Public meetings, torches, signature actions and communication are taking place at many levels between hospital services and the local population and local political bodies. And it should, that's good for democracy. The overall political governance has been added by Stortinget to the Minister of Health. I can assure you that as the owner of the regional health care companies, I have the clear ambition that large, extensive or radical changes in health care in the counties, such as: The closure of a hospital will be – if it is proposed – going to end up on my table and be dealt with politically.
ParlaMint-NO_2003-03-05.ana.ud730e826	I would like to ask the following questions to the Minister for Development: ‘25. February d.o.b. the requirements of the EU in WTO service negotiations became known through a leakage from the Canadian Polaris Institute. The EU demands liberalisation to 94 developing countries. This concerns the opening up of vital sectors to the development of an autonomous and sustainable economy, such as banking, water supply and energy. The requirements are mainly promoted in areas where the EU has market-leading companies. Is this a form of development policy supported by Norway?’
ParlaMint-NO_2003-03-05.ana.ud730e835	I do not think it is right to comment on the EU's requirements for developing countries. Norway has not been given access to the EU’s adopted requirements. What I am concerned about is what profile Norway has had in presenting proposals and demands to developing countries, and how this is related to Norwegian development policy. And I'm going to focus on that. Promoting trade and business development is an important part of Norwegian development policy. The majority of WTO member countries are developing countries. Developing countries are also increasingly active in the WTO and want to increase their share of world trade. Fair and efficient services, e.g.: transport is an important input for the export of goods. Therefore, countries exporting goods, many of which are developing countries, also have interests in service negotiations. Norway has generally not imposed normal negotiating requirements on developing countries, but instead has its own proposals where we invite to contact and cooperate in the areas of negotiation proposed. This has been an approach that has been well received by the developing countries with which we have so far had bilateral talks on the proposals. The Norwegian proposals are intended, inter alia, to: to actively seek to include poor countries in the negotiation process. Let me stress – and this is important – that the bilateral negotiating requirements reflect the expectations and wishes of the countries in the negotiations. However, it is up to each developing country to assess for itself whether it will meet the requirements and what any obligations it will assume.
ParlaMint-NO_2003-03-05.ana.ud730e848	I thank you for your answer. As the Minister for Development is aware, the Stortinget has not been given access to the Norwegian requests in the first rounds of the GATS negotiations, so it is difficult to ask specific questions about it. However, one must assume that both EU requirements and Norway’s requirements will affect a number of laws that currently protect local business in the developing world. In the nation on 4 January this year, the Secretary of State of the Minister for Development says: ‘Norway may take a different view of developing developing countries than the countries themselves.’ At the same time, the Ministry of Foreign Affairs’ web pages state that Norway’s bilateral proposals in the GATS negotiations reflect the main Norwegian export interests in the world market for services. Which of these two perspectives is the basis for Norway's requirements? Is it the development interests that are most important, or is it, as stated on the U.D.'s website, Norwegian export interests that take precedence?
ParlaMint-NO_2003-03-05.ana.ud730e864	The government's positions in the WTO negotiations are anchored in the Storting. In dealing with these negotiating positions, the Stortinget has agreed that we should take strong account of the development interests of the negotiations in general, while, of course, as all countries, taking account of our own interests, the so-called offensive interests and defensive interests. This is rooted in the attitude of the majority of the population. With regard to the details of this, the representative is well aware that we are obliged by the traditions of the WTO in this area, and should therefore not publish the course we are putting into the negotiations at present. However, let me stress that, in relation to developing countries, it is clear that no matter what we may think, developing countries themselves are the ones who decide. In the field of services, it is up to their own assessment whether they will at all deal with the requirements being imposed, whether or not they seem at all relevant, and whether or not they are interested in taking on any commitments at all. This is up to each country. Here you are the sovereign to make your own decision and to deal with any demands that may be made.
ParlaMint-NO_2003-03-05.ana.ud730e873	I'd like to arrest you the last time. It is known that Norway has addressed requirements in excess of 30 developing countries, the EU to 94 and the United States to a similar number. The Minister of Development is not at all concerned that the sum of this will be a considerable pressure on developing countries to open up sectors that they may not initially want to open, especially if these negotiations are linked to other negotiations, such as the United States. market access in relation to agricultural negotiations? Is not the Minister concerned that Norway, with its demands, is contributing to a pressure that the EU and the United States are building for a liberalisation that it may not initially want? And is it, in the opinion of the Minister for Development, that liberalisation is generally good for developing countries, or is it the sectors that the Minister for Development believes Norway should give the developing countries the opportunity to protect themselves?
ParlaMint-NO_2003-03-05.ana.ud730e878	I'm not so concerned about what I think developing countries have the greatest pleasure of. In my opinion, developing countries' own assessments are the most important in this context. I'll take that into account. As I indicated in my reply, Norway has generally not imposed normal negotiating requirements on developing countries, but instead invited to contact and cooperation in the areas of negotiation proposed. So we're going to take a different approach. This has been an approach that has been well received by the developing countries themselves, and that is what we must base. With regard to possible pressures on developing countries, it is very important to note that the GATS states that in this area, which in other areas has the right to make its own regulations in order to meet national and political objectives, they are not obliged to privatise or launch competition. It is not even a topic for the negotiations. So developing countries themselves can make this happen and decide whether they want to take these negotiating requirements seriously or not. And in my opinion, they have full rights and opportunities to do so, and Norway will support that.
