Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e48	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1205	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.GJH	Hagesæter, Gjermund	M	1960	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1236	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.OKD	Djupedal, Øystein	M	1960	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1249	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.SAF	Flåtten, Svein	M	1944	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1256	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ØYVH	Halleraker, Øyvind	M	1951	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1272	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	V	Venstre	Coalition	Centre	person.MABV	Vihovde, May Britt	F	1958	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1291	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PEM	Monsen, Per Erik	M	1946	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1306	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ØYVH	Halleraker, Øyvind	M	1951	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1319	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1326	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1457	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1500	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1527	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e1587	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
